[00:00:00.050 --> 00:00:00.660]  Jones Show.
[00:52:19.192 --> 00:52:21.072]  It's a disinfectant called chloramine.
[00:52:21.593 --> 00:52:26.074]  But with a trusted Big Berkey water filter, you can keep chloramine out of your water.
[00:52:26.374 --> 00:52:38.979]  New NSF EPA Certified Lab Tests show EPA Berkey Water Filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride and much more.
[00:52:39.239 --> 00:52:42.741]  Big Berkey Water Filters are the original and most trusted on the market.
[00:52:43.041 --> 00:52:45.323]  The gold standard in water purification.
[00:52:45.703 --> 00:52:49.725]  And our filters last for years at less than two cents per gallon.
[00:52:50.005 --> 00:52:50.626]  Big Berkey.
[00:52:50.826 --> 00:52:54.328]  The one that's powerful enough to purify stagnant pond water.
[00:52:54.528 --> 00:52:56.129]  Get your Big Berkey today.
[00:52:56.289 --> 00:52:58.571]  Call 1-877-99-BERKEY or click BigBerkeyWaterFilters.com.
[00:52:58.591 --> 00:52:59.271]  That's 1-877-99-BERKEY.
[00:52:59.411 --> 00:53:00.692]  Big Berkey Water Filters.
[00:53:00.732 --> 00:53:01.793]  For the love of clean water.
[00:53:09.798 --> 00:53:14.641]  Two little tablets is all it takes to make your thin hair feel and look thicker and fuller.
[00:53:14.841 --> 00:53:15.562]  Guaranteed!
[00:53:15.862 --> 00:53:19.544]  Viviscal is the number one drug-free hair growth supplement in the U.S.
[00:53:19.604 --> 00:53:22.126]  with one box being sold every minute globally.
[00:53:22.286 --> 00:53:30.951]  It's clinically researched to promote existing hair growth for men and women and now a 90-day supply of Viviscal is offered in your area risk-free plus free shipping.
[00:53:31.111 --> 00:53:31.391]  Call 800-328-9953.
[00:53:34.093 --> 00:53:36.135]  Viviscal nourishes thinning hair from within.
[00:53:36.255 --> 00:53:38.778]  You'll love your hair growth results, guaranteed!
[00:53:38.958 --> 00:53:41.881]  Viviscal is so effective, it's recommended by top doctors.
[00:53:41.941 --> 00:53:44.744]  Here's Dr. Grant Stephens, board-certified plastic surgeon.
[00:53:44.764 --> 00:53:50.370]  I feel confident recommending Viviscal to women with hair loss, thinning hair, or even dry or brittle hair.
[00:53:50.530 --> 00:53:54.615]  It's 100% drug-free, and it's backed by years of clinical research.
[00:53:54.935 --> 00:53:56.096]  Want to try Viviscal?
[00:53:56.236 --> 00:54:00.697]  Every listener that calls now gets a 90-day risk-free supply plus free shipping.
[00:54:00.757 --> 00:54:01.338]  Call now!
[00:54:01.358 --> 00:54:01.398]  800-328-9953.
[00:54:01.418 --> 00:54:01.458]  800-328-9953.
[00:54:01.518 --> 00:54:01.698]  That's 800-328-9953.
[00:54:19.013 --> 00:54:20.494]  Welcome back to the Alex Jones Show.
[00:54:20.554 --> 00:54:30.098]  I'm David Knight, and we're going to be joined by economists, as well as a commentary from Alex Jones, coming up in the next hour about what is going on with the economy.
[00:54:30.118 --> 00:54:33.900]  And of course, as I'm looking at this, we've got the major markets in the United States down.
[00:54:34.580 --> 00:54:37.801]  Three to three and a half percent across the board.
[00:54:37.881 --> 00:54:40.082]  Everyone is very concerned about what's going on.
[00:54:40.822 --> 00:54:44.223]  We see the Chinese economy plummeting.
[00:54:44.283 --> 00:54:45.683]  We see oil plummeting.
[00:54:45.723 --> 00:54:46.784]  Demand is plummeting.
[00:54:46.864 --> 00:54:49.965]  So we're up for some rough roads coming up.
[00:54:50.405 --> 00:54:52.605]  Alex is going to be talking to us in the next hour.
[00:54:52.625 --> 00:54:53.986]  He's got a special report that he's cut.
[00:54:54.006 --> 00:55:00.908]  We're going to be talking to Gerald Salenti and the program as well as Peter Schiff about what's going to happen with the economy.
[00:55:01.668 --> 00:55:04.591]  Now, we also got some articles up on Infowars.com.
[00:55:04.731 --> 00:55:08.354]  Noam Chomsky says Erdogan is aiding terrorists.
[00:55:08.374 --> 00:55:10.776]  Of course, that'd be the head of Turkey.
[00:55:10.876 --> 00:55:16.742]  And there was an interesting article about him, the same guy, Erdogan, in Turkey.
[00:55:17.402 --> 00:55:22.245]  The same guy who's been buying millions of dollars worth of oil a day from ISIS.
[00:55:22.285 --> 00:55:32.149]  You've seen the videos if you watch our broadcast of the massive caravan of oil coming from ISIS-controlled territories into Turkey.
[00:55:32.590 --> 00:55:39.593]  Well, he has arrested a dozen professors for simply signing a petition denouncing military operations against Kurds in the South
[00:55:39.673 --> 00:55:40.073]  I don't know.
[00:55:53.973 --> 00:56:00.958]  Erdogan's our ally in Turkey, just like the guys who cut off 50 people's heads at the beginning of the year.
[00:56:01.659 --> 00:56:03.540]  Happy New Year in Saudi Arabia.
[00:56:04.141 --> 00:56:07.363]  Let's kill all of our political opponents and just chop their heads off.
[00:56:07.383 --> 00:56:10.966]  They kill more people than ISIS, but those are our allies in the area.
[00:56:11.426 --> 00:56:15.850]  RT says Washington's new and improved plan for Syria is to have a Sunni-stan.
[00:56:16.630 --> 00:56:18.132]  A safe zone for terrorists.
[00:56:18.172 --> 00:56:21.715]  I think that's a brilliant way to refer to that.
[00:56:21.735 --> 00:56:28.843]  Of course, we had Gary North, years past, would talk about the areas underneath Russia as chaos, Stan.
[00:56:28.863 --> 00:56:38.613]  And of course, one of the reasons it was chaos, Stan, was because it was a policy of the United States government from the 1960s to use Islamic radicals to destabilize Russia.
[00:56:39.213 --> 00:56:42.617]  As they're using Islamic radicals to destabilize the West now.
[00:56:43.137 --> 00:56:44.078]  It is the same people.
[00:56:44.139 --> 00:56:46.901]  The people who are our government are doing that same thing.
[00:56:47.202 --> 00:56:50.705]  I think it's brilliant that Trump has rented an Iowa theater.
[00:56:51.772 --> 00:56:54.673]  To show the movie 13 hours for free to people.
[00:56:55.433 --> 00:57:03.956]  You know this is a story and we got an article up on Infowars.com that by Kurt Nemo says the real story of what happened in Libya will take down Hillary Clinton.
[00:57:04.236 --> 00:57:07.597]  Says unfortunately the film doesn't mention Hillary Clinton or Barack Obama.
[00:57:07.617 --> 00:57:08.677]  It avoids politics.
[00:57:09.037 --> 00:57:17.280]  It steps around the real reason for the CIA mission in Benghazi and that was to ship CIA arms from Libya to Syria.
[00:57:17.420 --> 00:57:18.120]  How about that?
[00:57:18.720 --> 00:57:19.741]  That's where it all began.
[00:57:19.781 --> 00:57:20.581]  It was going on there.
[00:57:21.081 --> 00:57:22.202]  And of course, it's going to miss that.
[00:57:23.343 --> 00:57:26.765]  And this is going to be a very powerful movie because, you know, movies are visceral.
[00:57:27.265 --> 00:57:29.527]  As Stalin said, one death is a tragedy.
[00:57:30.468 --> 00:57:32.189]  A million deaths are just a statistic.
[00:57:32.289 --> 00:57:36.812]  If you watch a movie, then it becomes especially concerning.
[00:57:36.852 --> 00:57:41.235]  Especially when you watch the death by betrayal of heroes.
[00:57:41.896 --> 00:57:43.317]  And that's what we're going to see in this movie.
[00:57:43.337 --> 00:57:44.338]  That's really what happened.
[00:57:44.898 --> 00:57:51.264]  But I think the sad thing is, is that we've had a death and betrayal of our Constitution.
[00:57:51.284 --> 00:57:53.526]  We've had a death and betrayal of...
[00:57:56.369 --> 00:57:58.712]  Our nation, morally and politically.
[00:57:58.752 --> 00:58:08.641]  And of course, I guess, you know, instead of it being a statistic, it's just going to be a historical footnote that America died when we ignored the Constitution thoroughly.
[00:58:08.681 --> 00:58:09.823]  And that's what I was talking about.
[00:58:10.383 --> 00:58:13.546]  That's the real issue behind what's going on with a natural-born citizen.
[00:58:13.586 --> 00:58:17.771]  And let me just read you one more quote before we move on to another subject.
[00:58:18.667 --> 00:58:32.005]  In 1868, when they wrote the 14th Amendment, many people take that out, one of the commentators there, one of the key authors, Senator Howard, who wrote most of the 14th Amendment said, this will not, of course, include persons who are born in the United States who are foreigners.
[00:58:33.413 --> 00:58:36.134]  How do you get born in the United States and be a foreigner?
[00:58:36.614 --> 00:58:39.394]  Well, that's because your parents aren't American citizens.
[00:58:40.014 --> 00:58:41.455]  Okay, so do some research.
[00:58:41.735 --> 00:58:42.795]  The Constitution matters.
[00:58:43.055 --> 00:58:44.335]  We can understand what it says.
[00:58:44.595 --> 00:58:49.676]  And if you're going to run for office and you're a constitutional scholar and say you're going to be a written list, explain that to us.
[00:58:49.776 --> 00:58:50.416]  We'll be right back.
[00:58:51.937 --> 00:58:54.097]  Thank you for listening to GCN.
[00:58:54.557 --> 00:58:55.958]  Visit GCNlive.com today.
[00:59:00.143 --> 00:59:03.325]  When cells become toxic, they die early and aging sets in.
[00:59:03.625 --> 00:59:11.630]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:59:11.870 --> 00:59:16.913]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:59:17.293 --> 00:59:19.575]  You want the best that's out there at the lowest price anywhere?
[00:59:19.815 --> 00:59:21.636]  We now have the synergistic solution.
[00:59:21.916 --> 00:59:26.118]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:59:30.135 --> 00:59:34.338]  Used since before the days of the Roman Empire to support the body's natural systems.
[00:59:34.499 --> 00:59:38.462]  Introducing the new Infowarslife.com oil of oregano formulation.
[00:59:38.642 --> 00:59:43.425]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:59:43.606 --> 00:59:48.109]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:59:48.209 --> 00:59:51.592]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:59:51.732 --> 00:59:55.074]  Now available in our limited first run at Infowarslife.com.
[00:59:55.195 --> 00:59:57.016]  That's Infowarslife.com or call 888-253-3139.
[01:00:02.190 --> 01:00:08.434]  You're listening to The Alex Jones Show.
[01:00:22.082 --> 01:00:26.765]  Live from the Infowars.com studios, it's Alex Jones.
[01:00:31.545 --> 01:00:33.026]  Welcome back to the Alex Jones Show.
[01:00:33.106 --> 01:00:33.747]  I'm David Knight.
[01:00:33.787 --> 01:00:38.330]  In the next segment, we're going to have Alex Jones joining us with a special report on what's going on with the economy.
[01:00:38.830 --> 01:00:44.294]  As I continue to watch this, it's still about three to three and a half percent down.
[01:00:44.334 --> 01:00:46.836]  The major markets here in the United States, of course, are going to be closed.
[01:00:47.376 --> 01:00:48.758]  On Monday, that's part of the panic.
[01:00:48.999 --> 01:00:59.894]  People are concerned that the Asian markets are going to continue to drop over the weekend, that they're going to drop on Monday, and they're trying to offload this on this Friday before the markets close.
[01:00:59.914 --> 01:01:01.577]  That's a big part of what's going on with that.
[01:01:02.827 --> 01:01:07.730]  We're going to have Gerald Cilenti as well as Peter Schiff joining us later in the program.
[01:01:08.310 --> 01:01:11.752]  Gerald Cilenti is going to join us at the bottom of the hour, and then Peter Schiff after him.
[01:01:11.772 --> 01:01:13.713]  We're going to talk to them about the economy.
[01:01:13.793 --> 01:01:26.801]  Also, we'll ask them about what they thought about the debate last night and the real state of the union, not the one that was at Fantasyland that was given to us by Barack Obama.
[01:01:28.035 --> 01:01:37.500]  One of the things that came up, that did not come up in the debate last night, but came up today on the news, Justin Amash has offered a bill to repeal the new cyber security law.
[01:01:37.540 --> 01:01:38.380]  That would be CISA.
[01:01:38.940 --> 01:01:43.703]  He points out, he introduced this bill on Wednesday, to repeal CISA.
[01:01:43.743 --> 01:01:48.525]  He says this is the worst anti-privacy law since the USA Patriot Act.
[01:01:48.965 --> 01:01:54.209]  He says it gives businesses legal protections to encourage them to share more data on hacking threats with the government.
[01:01:54.229 --> 01:01:54.910]  See, that's the whole thing.
[01:01:54.950 --> 01:02:09.201]  You offer immunity to the corporations to give up the data that they've collected on other people under the legal fiction that that's not my data, but that data belongs to Verizon or to AT&T and they can do with it whatever they wish.
[01:02:09.881 --> 01:02:11.262]  And so then they would come back.
[01:02:11.302 --> 01:02:15.306]  Some of them would say, well, I don't feel comfortable with this.
[01:02:15.346 --> 01:02:22.692]  I feel like I've got some moral responsibility, some legal liability if I violate the privacy of my customers.
[01:02:22.752 --> 01:02:24.633]  And so they say, OK, you don't have that anymore.
[01:02:25.034 --> 01:02:26.115]  So turn it over.
[01:02:26.795 --> 01:02:28.076]  That's what's really behind this.
[01:02:28.777 --> 01:02:33.981]  And as Amash says, he said, the Cybersecurity Act was negotiated in secret by a few members of Congress.
[01:02:34.361 --> 01:02:39.525]  It was added quietly to the 2009 page Omnibus Bill to avoid scrutiny.
[01:02:39.605 --> 01:02:43.989]  Most representatives are probably unaware they even voted for this legislation.
[01:02:44.369 --> 01:02:46.009]  Because they've offered it multiple times.
[01:02:46.029 --> 01:02:48.090]  They offered CISPA two times.
[01:02:48.110 --> 01:02:49.970]  They offered SOPA, ACTA, PIPA.
[01:02:50.010 --> 01:02:53.311]  You know, they had all these different variations all doing the same thing.
[01:02:53.351 --> 01:02:57.352]  Removing liability for corporations so they can pressure them to give up the information.
[01:02:57.372 --> 01:03:01.193]  Of course, we had a short question on this last night during the debate.
[01:03:01.653 --> 01:03:02.593]  They asked Jeb Bush about it.
[01:03:02.613 --> 01:03:10.155]  He goes, well, I would get Tim Cook, you know, the CEO of Apple and other corporations in here, would talk about encryption and privacy and that sort of thing.
[01:03:10.215 --> 01:03:10.935]  And it's like, oh,
[01:03:11.075 --> 01:03:11.315]  Really?
[01:03:11.636 --> 01:03:18.443]  So that's the way in a Bush administration, let's be honest, the way it would happen in virtually all these guys' administrations.
[01:03:18.463 --> 01:03:20.365]  They wouldn't consult the Constitution.
[01:03:20.946 --> 01:03:26.132]  They would talk to the multinational corporate bosses who run them and say, well, what do you have?
[01:03:26.172 --> 01:03:26.952]  What can we negotiate?
[01:03:27.193 --> 01:03:28.794]  How can we sell this to the public?
[01:03:29.355 --> 01:03:32.399]  How can we make this palatable to them?
[01:03:32.599 --> 01:03:33.500]  I've got my own goals.
[01:03:33.540 --> 01:03:34.901]  I want to know what everybody is doing.
[01:03:35.282 --> 01:03:36.443]  You want to make money, right?
[01:03:36.583 --> 01:03:37.624]  We can make that happen.
[01:03:37.945 --> 01:03:43.872]  So let's work out something on how we can keep these people under our feet and pick their pockets.
[01:03:44.372 --> 01:04:01.599]  Now, joining Justin Amash in this effort is a bipartisan group of privacy-minded, civil liberties-focused co-sponsors, including Democrat John Conyers, Democrat Zoe Lofgren, Republicans Thomas Massey from Kentucky, Ted Poe from Texas, and Jared Polis from Colorado.
[01:04:01.719 --> 01:04:02.240]  Thank you.
[01:04:02.520 --> 01:04:09.423]  Regardless of what party you're in, we need to join with people on these fundamental issues of obeying the law,
[01:04:10.063 --> 01:04:18.136]  Obeying our privacy, obeying the Fourth Amendment, and not turning this country into this surveillance state that it's becoming.
[01:04:18.637 --> 01:04:21.721]  And that's one of the things that concerned me yesterday as well, just before the debate.
[01:04:22.697 --> 01:04:26.240]  We saw Ted Cruz had shifted his position on Ed Snowden.
[01:04:26.260 --> 01:04:34.527]  He had originally said, if it's the case that the federal government is seizing millions of personal records, yes it is the case, Mr. Cruz, about law-abiding citizens.
[01:04:34.667 --> 01:04:40.732]  And if it is the case that there are minimal restrictions on accessing or reviewing those records, yes that is the case, Mr. Cruz.
[01:04:41.294 --> 01:04:43.795]  Then I think Mr. Snowden has done a considerable public service.
[01:04:43.856 --> 01:04:51.040]  But now he says, today we know that Snowden violated federal laws, that his actions materially aided terrorists.
[01:04:51.400 --> 01:04:53.361]  Now that's not true, Mr. Cruz.
[01:04:54.342 --> 01:04:57.644]  And so he says, under the Constitution, giving aid to our enemies is treason.
[01:04:57.684 --> 01:05:01.746]  So he joins the chorus that wants to call Snowden a traitor.
[01:05:02.126 --> 01:05:02.306]  No.
[01:05:02.847 --> 01:05:06.589]  He exposed criminal activity by the traitors who run our government.
[01:05:06.649 --> 01:05:07.069]  Stay with us.
[01:05:07.309 --> 01:05:09.751]  We'll be right back with Alex Jones, breaking down economic news.
[01:05:10.279 --> 01:05:15.101]  Hillary Clinton is running for president as an advocate for women's rights.
[01:05:15.261 --> 01:05:21.362]  But there is a shocking side to her story that has been carefully covered up until now.
[01:05:21.503 --> 01:05:24.744]  The notion that Hillary has somehow been an advocate for women.
[01:05:24.784 --> 01:05:29.565]  No, Bill rapes them physically and then Hillary rapes them psychologically.
[01:05:29.585 --> 01:05:44.295]  That's GOP presidential consultant Roger Stone talking about his book, The Clinton's War on Women, from the Alex Jones Show, where Roger Stone says Hillary Clinton played a huge role in the cover-up of her husband's rape allegations.
[01:05:44.335 --> 01:05:46.377]  Well, Hillary's the one who runs the cover-up.
[01:05:46.437 --> 01:05:55.343]  Now, on the campaign trail, Hillary refuses to answer any questions about the women involved in Bill Clinton's sex scandals.
[01:05:55.543 --> 01:06:06.073]  Donald Trump, appearing on Fox News Sunday over the weekend, said that some of the women involved in Bill Clinton's sexual assault allegations have been totally destroyed.
[01:06:06.193 --> 01:06:09.396]  And you can learn more right now at InfoWars.com.
[01:06:10.036 --> 01:06:16.062]  Again, ladies and gentlemen, you can get six months free at PrisonPlanet.tv, but only for one more week.
[01:06:16.242 --> 01:06:18.224]  We've never offered six months free before.
[01:06:18.784 --> 01:06:26.254]  I really want to get more people to join and to be able to watch the nightly news, live reports, the special reports, all my films, ebooks, and so much more.
[01:06:26.834 --> 01:06:30.239]  One person can share their membership with 20 people.
[01:06:30.499 --> 01:06:35.145]  We have to have our own platform that is harder for them to censor, harder for the system to shut down.
[01:06:35.305 --> 01:06:36.966]  PrisonPlanet.tv.
[01:06:37.066 --> 01:06:42.709]  We put out the daily radio show free with a video and audio feeds at InfoWars.com forward slash show.
[01:06:42.909 --> 01:06:50.172]  But it is the members that are paying it forward and helping so many other people see the truth.
[01:06:50.353 --> 01:06:57.016]  And it's PrisonPlanet.tv that finances so much of the cameras, the equipment, the crew, the reporters.
[01:06:57.396 --> 01:07:02.983]  You get exclusive HD, higher quality, get it first, and then you can download it, share it with friends and family.
[01:07:03.223 --> 01:07:07.408]  It's a win-win, and then you're helping finance to put it out for free to everybody.
[01:07:07.588 --> 01:07:09.570]  PrisonPlanet.tv.
[01:07:10.231 --> 01:07:15.537]  InfoWarsLife and InfoWarsLife.com is extremely excited to announce our latest release.
[01:07:15.877 --> 01:07:19.479]  Winter Sun, a revolutionary type of vitamin D3.
[01:07:19.719 --> 01:07:24.300]  Winter Sun is a premium quality vitamin D3 nutritional supplement.
[01:07:24.400 --> 01:07:28.842]  It is produced by extracting oil from healthy nutrient-dense plants known as lichens.
[01:07:29.182 --> 01:07:32.084]  Every batch is analyzed for purity and D3 content.
[01:07:32.224 --> 01:07:34.324]  It's completely free of toxins and allergens.
[01:07:34.665 --> 01:07:38.046]  Simply put, if you want the best at an extremely low price, this is it.
[01:07:38.206 --> 01:07:42.047]  Winter Sun is the result of our pursuit of the best source of vitamin D3.
[01:07:42.087 --> 01:07:50.770]  The research and development took over two years, but the result, as verified by independent laboratories, is the best vegan vitamin D3 product in the world.
[01:07:51.150 --> 01:07:55.892]  Read the facts at InfoWarsLife.com about Winter Sun vitamin D3.
[01:07:56.172 --> 01:08:01.734]  Not only does vitamin D3 promote a healthy mood, but vitamin D supports our memory and brain function.
[01:08:02.094 --> 01:08:03.895]  Something the globalists are targeting.
[01:08:04.235 --> 01:08:07.097]  Visit InfoWars.com today or call 888-253-3139.
[01:08:07.177 --> 01:08:08.118]  Another world.
[01:08:08.138 --> 01:08:08.758]  Another time.
[01:08:08.838 --> 01:08:12.641]  In the age of wonder.
[01:08:38.779 --> 01:08:43.162]  If you are receiving this transmission, you are the resistance.
[01:08:43.422 --> 01:08:49.306]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:08:54.069 --> 01:09:02.635]  Ladies and gentlemen, you read the headlines, you heard it come out of my mouth hundreds and hundreds and hundreds and hundreds of times the last two years.
[01:09:03.155 --> 01:09:04.016]  Really longer than that.
[01:09:05.040 --> 01:09:21.585]  Since 2008, that a global economic designed meltdown was coming, and out of it they're going to announce a new planetary government backed up by strategic drawing rights, SDRs.
[01:09:22.266 --> 01:09:31.769]  It's just digital made-up money backed up with carbon taxes, digital money transfer taxes, VATs paid by regional
[01:09:33.084 --> 01:09:33.684]  We're good to go.
[01:09:59.551 --> 01:10:02.892]  They put so many taxes on us, it's hard for them to avoid them all, but it's incredible.
[01:10:03.192 --> 01:10:12.734]  Whether it's the Socialist government of France, caught while we Swiss bank accounts, not paying taxes and they don't get in trouble, or the EU bureaucrats not paying taxes, look it up, they're unelected.
[01:10:12.854 --> 01:10:22.537]  The EU Parliament is advisory to the permanent bureaucracy that's now creating an international police force and controls NATO.
[01:10:23.377 --> 01:10:26.659]  I mean, you want to be conquered by 21st century tyranny?
[01:10:26.879 --> 01:10:29.080]  It isn't Napoleon, it isn't Hitler, it isn't the Russians.
[01:10:29.540 --> 01:10:31.201]  It's this global corporate combine.
[01:10:31.301 --> 01:10:33.502]  It's the New World Order.
[01:10:35.183 --> 01:10:41.786]  And I've put out a bunch of Facebook mentions, a bunch of YouTubes the last month saying, global collapse imminent.
[01:10:42.817 --> 01:10:43.518]  Emergency.
[01:10:44.518 --> 01:10:54.805]  I talked to top elites, you see all the high-powered folks that come on the show, from congress people to famous special forces commanders, to top movie producers, to major bankers.
[01:10:54.945 --> 01:11:00.709]  I mean, for every person you see on the show or hear on the show, there's five or six prominent I talked to off-record.
[01:11:02.010 --> 01:11:07.934]  I was told five years ago by a billionaire defense contractor owner, multi-billionaire,
[01:11:10.131 --> 01:11:16.413]  That they were leaving the United States and then I had four to five, maybe six years until it was quote, gone.
[01:11:16.433 --> 01:11:19.854]  And they were going to New Zealand and also the Cook Islands with their money.
[01:11:20.794 --> 01:11:22.455]  And they knew who I was, came to me, talked to me.
[01:11:22.475 --> 01:11:25.116]  They saw me in a lawyer's office in a building.
[01:11:25.136 --> 01:11:27.656]  I kind of knew, I knew I'd seen them before, but then I looked them up.
[01:11:27.676 --> 01:11:29.117]  I was like, oh my God, that is who they said they were.
[01:11:29.137 --> 01:11:31.317]  I had like a 15 minute conversation with them.
[01:11:31.357 --> 01:11:33.178]  And I said, well, what is it that's happening?
[01:11:33.198 --> 01:11:34.858]  And they said, you already know, you already say it.
[01:11:35.279 --> 01:11:36.579]  You're going to be getting very popular.
[01:11:36.859 --> 01:11:37.939]  You're going to be getting very big.
[01:11:38.320 --> 01:11:39.560]  You're going to be getting very, very famous.
[01:11:41.460 --> 01:11:43.522]  I was like, well, I don't want to get famous off that.
[01:11:43.542 --> 01:11:44.603]  She said, look, you're just dead on.
[01:11:46.144 --> 01:11:46.644]  Now we're here.
[01:11:46.744 --> 01:11:48.326]  Walmart's closed hundreds of stores.
[01:11:48.346 --> 01:11:53.650]  100 million Americans are on some form of welfare and 98 million are out of the workforce.
[01:11:54.310 --> 01:11:57.893]  They're flooding us with unskilled workers on record to drop down wages and bankrupt us.
[01:11:58.153 --> 01:12:00.015]  Obamacare is designed to bankrupt the country.
[01:12:00.655 --> 01:12:01.516]  The Cloward and Pevin.
[01:12:03.137 --> 01:12:05.539]  They're just doing everything to bankrupt our fracking industry.
[01:12:05.820 --> 01:12:07.041]  People demonize it all day.
[01:12:07.101 --> 01:12:08.562]  OK, it was the only economy we had left.
[01:12:10.111 --> 01:12:19.774]  We're sitting here watching all this happen, and Obama's on the news last week saying, you know, anybody that says that we don't have the best economy and it's not great, you know, is basically full of bull.
[01:12:20.034 --> 01:12:21.814]  I'm going to go show you the clip in a moment, the actual quote.
[01:12:22.655 --> 01:12:26.816]  It's like he said, there are no ISIS in America, no threat, and two days later there's an attack in San Bernardino.
[01:12:28.100 --> 01:12:29.240]  So if he says up, it's down.
[01:12:29.260 --> 01:12:30.220]  If he says left, it's right.
[01:12:30.240 --> 01:12:31.221]  If he says black, it's white.
[01:12:31.501 --> 01:12:33.061]  If he says it's polka-dotted, it's not.
[01:12:33.141 --> 01:12:36.582]  I mean, it's incredible, and it's on purpose lying to us.
[01:12:37.762 --> 01:12:39.162]  They also say, well, don't be gloom and doom.
[01:12:39.202 --> 01:12:40.162]  That'll destroy confidence.
[01:12:40.222 --> 01:12:40.862]  It'll get worse.
[01:12:41.463 --> 01:12:42.643]  That's not what's doing this.
[01:12:42.703 --> 01:12:45.363]  I've seen thousands of comments over the years saying, you're gloom and doom.
[01:12:45.403 --> 01:12:46.443]  You're going to cause the collapse.
[01:12:47.264 --> 01:12:51.925]  I didn't cause the derivative to be 1 plus quadrillion in 2008.
[01:12:54.625 --> 01:12:56.846]  Now it's 2.2 as of last year.
[01:12:56.886 --> 01:12:58.247]  We haven't gotten new numbers in six months.
[01:12:58.567 --> 01:13:02.868]  I mean, you're talking about mega massive information here.
[01:13:03.409 --> 01:13:06.530]  It's hundreds of times all the real wealth in all the world.
[01:13:06.550 --> 01:13:07.710]  It's impossible to pay.
[01:13:07.930 --> 01:13:08.671]  It's not our debt.
[01:13:08.891 --> 01:13:09.871]  It was created.
[01:13:10.471 --> 01:13:16.574]  It was absolutely set up and developed so that
[01:13:18.188 --> 01:13:24.871]  We could be tied to all that debt, bail out the big banks, and in bailing it out, we become their slaves and in debt to them.
[01:13:26.311 --> 01:13:27.532]  This is economic warfare.
[01:13:27.552 --> 01:13:30.193]  And look, I don't respond to the trolls, but there's national trolls.
[01:13:30.213 --> 01:13:35.935]  The New York Times and others, you know, saying I'm a fear peddler, porn, fear porn, Gerald Salente is.
[01:13:36.175 --> 01:13:36.596]  No, we're not.
[01:13:37.076 --> 01:13:39.397]  The fundamentals are 2 plus 2 equals 4.
[01:13:42.395 --> 01:13:44.416]  And everything has been to shut down small businesses.
[01:13:44.596 --> 01:13:46.836]  Everything has been to vertically integrate and consolidate power.
[01:13:47.156 --> 01:13:49.597]  Everything has been to take over local banks and real lenders.
[01:13:49.757 --> 01:13:51.418]  The big banks get their own free money now.
[01:13:51.578 --> 01:13:52.778]  They don't even lend anymore.
[01:13:52.798 --> 01:13:54.639]  And it's getting worse.
[01:13:54.699 --> 01:13:56.799]  This is a controlled economic takeover.
[01:13:57.019 --> 01:13:57.840]  That's the problem.
[01:13:58.020 --> 01:14:01.220]  It'd be one thing if it was just a normal deal, but 29 was staged.
[01:14:01.260 --> 01:14:02.201]  That's come out in Congress.
[01:14:02.941 --> 01:14:04.201]  This is totally staged.
[01:14:04.261 --> 01:14:05.982]  It's going to be worse, probably.
[01:14:06.262 --> 01:14:07.062]  It's going to be real bad.
[01:14:07.162 --> 01:14:08.022]  It's happening for sure.
[01:14:08.583 --> 01:14:09.323]  But it's going to be bad.
[01:14:10.043 --> 01:14:15.766]  They can't pump up the markets forever, and they're just giving themselves the money when they do it, and destroying the overall economy.
[01:14:15.786 --> 01:14:17.307]  So you're damned if you do, you're damned if you don't.
[01:14:17.667 --> 01:14:21.469]  Now we're going to play this report on the show today as well, as David Knight and others break it down.
[01:14:21.509 --> 01:14:24.270]  And they've already played this clip on the show today.
[01:14:25.170 --> 01:14:31.113]  But here is Obama, you know, openly saying, anyone who says economy declining is lying.
[01:14:31.133 --> 01:14:32.214]  Okay, here you go.
[01:14:37.094 --> 01:14:42.577]  Anyone claiming that America's economy is in decline is peddling fiction.
[01:14:44.297 --> 01:14:49.179]  And then he goes on to say it's wonderful when all the fundamentals are the opposite.
[01:14:49.199 --> 01:14:52.281]  Now, for the globalists, things are wonderful because they're consolidating control.
[01:14:52.301 --> 01:14:53.141]  They're crony capitalists.
[01:14:53.461 --> 01:14:53.802]  Look at this.
[01:14:54.122 --> 01:14:55.462]  Walmart closed 629 stores.
[01:14:55.502 --> 01:14:56.183]  CNBC... I said that wrong.
[01:14:56.203 --> 01:14:56.623]  269 stores.
[01:15:04.901 --> 01:15:09.483]  And they're going to lay off 16,000 people.
[01:15:09.823 --> 01:15:14.045]  There's the article from Zero Hedge up on Infowars.com.
[01:15:14.325 --> 01:15:16.186]  So check that out for yourself.
[01:15:16.466 --> 01:15:18.668]  Look, I can show you a bunch of clips.
[01:15:19.528 --> 01:15:21.489]  I can sit here and go over it with you all day long.
