[00:00:13.634 --> 00:00:22.982]  Yeah, we're in Chevy.
[00:42:57.422 --> 00:42:59.063]  K-A-D-C-I-C-K.
[00:42:59.103 --> 00:42:59.724]  That's news.
[00:43:00.244 --> 00:43:02.705]  He works with a law firm in Washington, D.C.
[00:43:02.745 --> 00:43:04.206]  called Dixstein Shapiro.
[00:43:05.027 --> 00:43:06.468]  I know Dixstein Shapiro.
[00:43:06.548 --> 00:43:08.249]  I know their senior partner, Barry Levin.
[00:43:10.796 --> 00:43:15.520]  They're not very good lawyers, qua lawyers, but they're extremely good at lobbying.
[00:43:15.540 --> 00:43:19.663]  10, 15 years ago, they would charge me something like $600 per hour.
[00:43:20.344 --> 00:43:25.588]  So you know they're not the smartest lawyers, but they could be the most corrupt lawyers in the business.
[00:43:26.048 --> 00:43:35.711]  Peter Kaczyk was brought into the Justice Department as a result of being Podesta's lawyer, and Peter Kaczyk got Podesta off of criminal charges.
[00:43:36.391 --> 00:43:41.653]  Podesta, who's as stupid as the day is long, made a comment saying, this is my kind of lawyer.
[00:43:42.173 --> 00:43:44.034]  He makes sure that I never go to prison.
[00:43:44.634 --> 00:43:46.875]  So what we have is a Jewish law firm
[00:43:47.575 --> 00:43:58.599]  Dickstein Shapiro with a Jewish representative, Peter Kaczek, who is in turn going to evaluate and investigate a corruption trial with Uma Abedin.
[00:43:58.920 --> 00:44:00.400]  That's a complete farce.
[00:44:01.340 --> 00:44:14.866]  And the farce continues because the corruption that's going on between Hillary Clinton and Obama is so serious that when I said weeks ago that we had a civilian coup and that we in the intelligence community
[00:44:15.666 --> 00:44:17.967]  And formally initiated a counter coup.
[00:44:18.367 --> 00:44:20.648]  That's a major, major statement.
[00:44:38.015 --> 00:44:44.301]  About why this has been activated, what you think is now going to unfold in the next five days, where we're going.
[00:44:44.321 --> 00:44:47.564]  I mean, explain to folks, talk to us like we're not, you know, former spy chiefs.
[00:44:48.735 --> 00:44:54.057]  What's been activated is really an American revolution through the words of Donald Trump.
[00:44:54.897 --> 00:45:06.261]  He may or may not know the specifics, but that's not as important as the fact that he brought up the temperance and the anger that the American public feels, including what you said.
[00:45:06.281 --> 00:45:11.262]  Sure, he's being advised by people that I know full well are part of the counter-operation.
[00:45:11.402 --> 00:45:13.043]  Michael Flynn, I have
[00:45:13.063 --> 00:45:15.425]  In the highest respect, I can't say anything more.
[00:45:15.445 --> 00:45:19.307]  He was the Director of Intelligence in the Defense Intelligence Agency.
[00:45:19.448 --> 00:45:24.691]  So there are those in the Defense Intelligence Agency with whom I have worked and still continue to work.
[00:45:25.252 --> 00:45:26.613]  So we're at a key point.
[00:45:26.893 --> 00:45:35.259]  What the intelligence community is saying is that there are several charges that want to be dealt with with regard to Hillary Clinton.
[00:45:35.339 --> 00:45:38.601]  They want her to be indicted for bribery, corruption,
[00:45:39.699 --> 00:45:40.639]  I don't know.
[00:45:56.567 --> 00:45:56.667]  Yes.
[00:46:19.650 --> 00:46:20.250]  With Russia?
[00:46:20.511 --> 00:46:21.971]  Where do we go from here?
[00:46:22.452 --> 00:46:24.613]  We have five to six days to go.
[00:46:25.073 --> 00:46:31.378]  If she is elected, there will be an initiative to impeach her as the President of the United States.
[00:46:31.718 --> 00:46:34.600]  Our suspicion is that Obama will not pardon her.
[00:46:34.620 --> 00:46:37.602]  The reason for that is Obama is too smart.
[00:46:37.942 --> 00:46:42.665]  He too came in through the intelligence system, as I said before, particularly the CIA.
[00:46:42.685 --> 00:46:44.006]  He worked for Peter Geithner.
[00:46:44.026 --> 00:46:46.347]  He worked for the Asian Society.
[00:46:46.927 --> 00:46:49.049]  He is a front for many of these groups.
[00:46:52.585 --> 00:46:57.047]  He's not a initiator of civil action on the local level.
[00:46:57.568 --> 00:46:59.889]  He was very much a product of the CIA.
[00:47:00.890 --> 00:47:02.771]  But you've got to remember two things.
[00:47:02.971 --> 00:47:10.095]  Saudi Arabia's had a major influence on our government since the Clintons, the Bush Seniors, the Bush Juniors, and now Hillary.
[00:47:10.195 --> 00:47:15.878]  They wanted to make sure that they had somebody very close to the hand of power.
[00:47:16.298 --> 00:47:19.660]  And in this case, they initiated or penetrated
[00:47:20.080 --> 00:47:20.820]  Well, we have diversity.
[00:47:41.849 --> 00:47:49.572]  Because Israel has also penetrated our intelligence, as you've seen with Michael Chertoff and the other people involved in 9-11.
[00:47:50.112 --> 00:47:56.054]  So this is a continuation of the corruption and collusion that our government in Washington, D.C.
[00:47:56.394 --> 00:47:58.554]  has committed against the American people.
[00:47:58.915 --> 00:48:00.535]  Sure, so let's boil it down then, Dr. Puccini.
[00:48:00.975 --> 00:48:02.536]  I mean, you put out powerful videos.
[00:48:02.676 --> 00:48:03.396]  You've gone public.
[00:48:03.456 --> 00:48:05.757]  You haven't been seen on video in two decades.
[00:48:06.477 --> 00:48:09.860]  You got out of the Council on Foreign Relations 15 years ago and rebuked them for 9-11.
[00:48:10.200 --> 00:48:11.261]  You've been exposing it all.
[00:48:11.281 --> 00:48:14.724]  You've been dead on about the de-evolution back in the States, the Brexit.
[00:48:15.044 --> 00:48:18.427]  Catalonia predicted it here five years ago before it even happened.
[00:48:18.807 --> 00:48:21.309]  So you're talking to folks inside the government.
[00:48:21.670 --> 00:48:23.872]  You're talking to all your contacts, different agencies you were with.
[00:48:23.892 --> 00:48:25.773]  The State Department, you were basically with them all.
[00:48:26.774 --> 00:48:29.917]  And now clearly people understand we have to act.
[00:48:29.957 --> 00:48:31.098]  And the intel I've gotten is
[00:48:31.678 --> 00:48:34.719]  We have to act because Hillary knows time is not on her side.
[00:48:35.099 --> 00:48:40.001]  They're going to move to sew up the country, shut down internet freedom, and try to basically shut us down.
[00:48:40.381 --> 00:48:44.522]  So that's why we've got to go into high gear, because they realize long term we have the momentum.
[00:48:44.842 --> 00:48:46.783]  They want to shut down the peaceful process.
[00:48:47.623 --> 00:48:50.705]  We've been using to counter them because they know we're winning.
[00:48:50.925 --> 00:48:55.988]  They want to push it into a destabilization program activated with Soros and others, the Black Lives Matter.
[00:48:56.329 --> 00:48:58.210]  And so this is a critical juncture right now.
[00:48:58.250 --> 00:49:03.813]  As you said, history is happening right now, a major moment in history, probably one of the most important in our history.
[00:49:04.374 --> 00:49:08.256]  What can the public do to make sure this criminal is brought to justice?
[00:49:08.897 --> 00:49:15.721]  Well, they can support Trump with the fact that he said this election is rigged.
[00:49:16.021 --> 00:49:16.642]  In other words,
[00:49:17.302 --> 00:49:22.508]  When the results come in, they can defy the results and stand up and say,
[00:49:23.643 --> 00:49:24.184]  We're good to go.
[00:49:48.246 --> 00:49:51.448]  There will be no way that Hillary can win legally.
[00:49:51.508 --> 00:49:53.529]  Well, there's no question that Trump will be in the forefront.
[00:49:53.570 --> 00:49:56.171]  There's no question that Trump will not accept the results of the election.
[00:50:14.660 --> 00:50:16.423]  Except the results of the election.
[00:50:17.164 --> 00:50:21.731]  The most honorable thing that Hillary could do, and I doubt she'll do it, is to resign.
[00:50:22.657 --> 00:50:30.762]  Probably the only person I can appeal to within that family, whom I do know and I think I regard her quite high, is Chelsea.
[00:50:31.062 --> 00:50:32.763]  I've known her since she was a teenager.
[00:50:33.344 --> 00:50:37.466]  She has had the same concerns about the Clinton Foundation that we've had.
[00:50:37.907 --> 00:50:45.792]  She's had major concerns about the corruption, about the fact that the foundation was taken over by the Podestas and banned or whoever.
[00:50:46.292 --> 00:50:48.494]  The man was working with Bill Clinton.
[00:50:48.554 --> 00:50:58.661]  She's also the one who gave us the tip off on the fact that 10,000 Haitians were killed because of the Clinton initiatives in Haiti and she was dismissed.
[00:50:59.281 --> 00:51:03.144]  So I can appeal to her on the part of the United States to say to her...
[00:51:09.718 --> 00:51:12.459]  Hopefully civil, hopefully without violence.
[00:51:12.520 --> 00:51:13.260]  Let me bring this up.
[00:51:13.280 --> 00:51:15.521]  You're one of the foremost psychological warfare guys ever.
[00:51:15.561 --> 00:51:17.142]  You got the Camp David Accords passed.
[00:51:17.162 --> 00:51:19.223]  You're credited for running those, the only successful court ever.
[00:51:19.923 --> 00:51:21.724]  And then right through to modern times, behind the scenes.
[00:51:23.225 --> 00:51:24.866]  What would you say about Hillary?
[00:51:24.946 --> 00:51:25.927]  I know you personally know.
[00:51:26.307 --> 00:51:27.648]  She seems to have degenerated.
[00:51:28.088 --> 00:51:33.331]  What I can say about Hillary, you don't need a psychiatrist to basically say what I've said all along.
[00:51:33.991 --> 00:51:43.134]  It's a woman who has come to the point of such self-destruction that she, in turn, will bring the whole country into a self-destructive mode.
[00:51:43.274 --> 00:51:48.957]  It's a woman who never really could achieve the aspirations that she stated.
[00:51:48.977 --> 00:51:51.598]  In other words, she claims she went to Yale.
[00:51:51.678 --> 00:51:52.198]  That's true.
[00:51:52.418 --> 00:51:55.359]  But unfortunately, she's not as bright as she thought she was.
[00:51:55.759 --> 00:51:58.360]  She wasn't as accomplished as she maintains she is.
[00:51:58.700 --> 00:52:00.121]  Her judgment is terrible.
[00:52:00.541 --> 00:52:03.302]  Her ability to assess strategy and tactics is terrible.
[00:52:03.322 --> 00:52:07.463]  By the way, her WikiLeaks, all her colleagues say she's a disaster and a horrible person.
[00:52:07.483 --> 00:52:07.763]  That's it.
[00:52:07.783 --> 00:52:08.343]  That's correct.
[00:52:08.863 --> 00:52:19.446]  Well, I'm going to quote not only Podesta, but I'm going to quote General Colin Powell, who said, everything she touches she messes up, and then he adds the word hubris with pride.
[00:52:19.906 --> 00:52:26.728]  So you have an arrogant, ineffectual, dysfunctional woman who wants to be the President of the United States,
[00:52:28.865 --> 00:52:29.906]  He's a clear and present danger.
[00:52:35.560 --> 00:52:37.281]  She's a total clear and present danger.
[00:52:37.561 --> 00:52:42.144]  However, in that sense, I do not want any attempts at assassination.
[00:52:42.265 --> 00:52:44.886]  I do not want an overthrow of the government.
[00:52:45.227 --> 00:52:51.551]  This is a natural evolution in the world, in the world of the internet and the binary numbers.
[00:52:51.611 --> 00:53:04.760]  What makes this so interesting is the fact that you, Matt Drudge, Limbo, Sean Hannity, Fox News, Brit Hume, and a whole bunch of others have really pushed the agenda that we've had and understood
[00:53:05.280 --> 00:53:07.881]  How did the breed all of the nonsense that went on?
[00:53:07.901 --> 00:53:15.943]  I want to give special thanks to Lou Dodds, who on the major networks really kept pushing on and saying, look, you Republicans are a failure.
[00:53:16.444 --> 00:53:18.184]  You Democrats are a failure.
[00:53:18.324 --> 00:53:20.785]  And we know the White House and Hillary targeted him and had him removed.
[00:53:20.945 --> 00:53:22.405]  So let's stop there in the time we have.
[00:53:22.686 --> 00:53:23.786]  This is amazing, Dr. Buchanan.
[00:53:25.287 --> 00:53:26.007]  This moment in history.
[00:53:26.027 --> 00:53:29.689]  Let's look at who the players are behind her, what she might pull.
[00:53:30.169 --> 00:53:32.731]  Clearly the Communist Chinese are in a very belligerent mode.
[00:53:32.971 --> 00:53:35.412]  They say they're buying all six Hollywood studios.
[00:53:35.952 --> 00:53:39.894]  They've got Philippines running around, hopping up and down, insulting us.
[00:53:40.175 --> 00:53:41.775]  Obama has to get off the back of planes.
[00:53:42.096 --> 00:53:43.276]  They think she's getting in.
[00:53:43.316 --> 00:53:46.238]  They're really with the Saudis behind all this from my research.
[00:53:46.658 --> 00:53:47.899]  Why would our elites allow this?
[00:53:47.939 --> 00:53:49.940]  This is literally insane.
[00:53:49.980 --> 00:53:51.040]  Even we have corrupt elites.
[00:53:51.380 --> 00:53:56.983]  This is like letting us be completely decapitated when America has been the whole power of this modern empire.
[00:53:57.802 --> 00:53:58.963]  Let me explain something.
[00:53:59.463 --> 00:54:03.086]  I know you think the Chinese are involved in all of this.
[00:54:03.186 --> 00:54:06.469]  First of all, I've worked in Hollywood, and I'm a member of the Producers Guild.
[00:54:07.029 --> 00:54:08.030]  Hollywood is finished.
[00:54:08.270 --> 00:54:10.332]  For the most part, they can buy whatever they want.
[00:54:10.752 --> 00:54:14.895]  No, I know you know that, but you've personally told me that Hillary is a Chinese operative, though.
[00:54:14.935 --> 00:54:15.196]  No, no.
[00:54:15.376 --> 00:54:16.417]  I have never doubted that.
[00:54:16.437 --> 00:54:19.599]  What I want to get to is a far more important point about China.
[00:54:19.719 --> 00:54:22.561]  And China is listening right now, and they know I know this.
[00:54:23.662 --> 00:54:27.304]  If we want to bring down China, it's very easy for us to do it.
[00:54:28.305 --> 00:54:33.769]  Half a billion Chinese above the Yangtze and Yalu River have absolutely no water.
[00:54:35.086 --> 00:54:39.028]  The Chinese are poised against the Indian Army as well as the Pakistani Army.
[00:54:39.068 --> 00:54:42.009]  No, I know we can bring them down, but we don't have the elite to do it.
[00:54:42.049 --> 00:54:42.829]  That's my problem.
[00:54:42.909 --> 00:54:43.269]  I understand.
[00:54:43.289 --> 00:54:44.309]  No, no, no, no.
[00:54:44.670 --> 00:54:49.031]  You always keep your gun loaded, but you don't pull the trigger.
[00:54:49.591 --> 00:54:54.293]  The Chinese have been warned repeatedly that water, without water, they cannot... I agree.
[00:54:54.313 --> 00:54:55.794]  So why are they so belligerent right now?
[00:54:56.314 --> 00:54:57.414]  They're not.
[00:54:57.454 --> 00:54:59.295]  They're doing what's best for their interests.
[00:54:59.435 --> 00:55:02.716]  Right now, you know, everybody claimed the Russians were belligerent.
[00:55:02.756 --> 00:55:03.236]  They weren't.
[00:55:03.376 --> 00:55:14.720]  The Chinese are really far more interested, and I'm not apologizing for the Chinese, they're far more interested in building a merchant supply system along the lines that the Dutch did around the 15th or 16th century.
[00:55:14.740 --> 00:55:16.180]  They're not interested anymore.
[00:55:16.220 --> 00:55:17.261]  Dutch East India Model.
[00:55:17.321 --> 00:55:17.681]  Yeah, I get it.
[00:55:18.750 --> 00:55:20.992]  It's the Dutch-Indian model.
[00:55:21.072 --> 00:55:27.518]  They are now building railroad tracks in Djibouti, in Africa, in the Indian Ocean.
[00:55:27.558 --> 00:55:30.161]  They're far more interested in picking up the resources.
[00:55:30.281 --> 00:55:31.142]  Sure, so here's the bottom line.
[00:55:31.162 --> 00:55:32.923]  I know I'm jobbing around, Dr. Pchenik.
[00:55:33.264 --> 00:55:34.285]  Major counter-coup.
[00:55:34.365 --> 00:55:35.806]  How is that coup taking place?
[00:55:36.226 --> 00:55:38.088]  Obviously, Wikileaks, more coming.
[00:55:38.368 --> 00:55:40.530]  Talk of press conferences if Hillary doesn't do the right thing.
[00:55:40.550 --> 00:55:41.932]  I mean, what else can you impart?
[00:55:42.492 --> 00:56:00.731]  The fact that you and I are talking, the fact that Hillary had to mention Alex Jones and the presumed nonsense that came out of our stations, the fact that you have become a very serious threat to the establishment has already been a very major accomplishment of the counter coup.
[00:56:00.892 --> 00:56:02.934]  And that's why our intelligence services
[00:56:09.121 --> 00:56:14.153]  Sure, none of us are manipulating each other, we just see the same thing happening.
[00:56:19.218 --> 00:56:24.464]  Well, the point is, what you want is a definitive end to this person.
[00:56:24.664 --> 00:56:25.865]  That's not going to happen.
[00:56:25.965 --> 00:56:40.641]  What's going to happen, because the way we work in America, is that gradually we will take away every political power that she has, including Omar Abedin, Peter Kaczyk, Podesta, and all those... So we'll undermine and bring down Armenians?
[00:56:41.553 --> 00:56:42.894]  Well, exactly correct.
[00:56:42.974 --> 00:56:47.696]  We're warning them now that we will go after them, and they are highly vulnerable.
[00:56:48.096 --> 00:56:53.358]  And everyone who's been a part of the Clinton Foundation or received money, we have their names.
[00:56:53.859 --> 00:56:58.881]  We have their names, we know the amount of money that they've received, and it's very easy for us to pick it off.
[00:56:59.201 --> 00:57:03.103]  For example, this Peter Tadczyk, he better resign because we can go
[00:57:03.183 --> 00:57:04.484]  We can go after him for pollution.
[00:57:04.784 --> 00:57:07.766]  We can go after him for irregular activities as a lawyer.
[00:57:08.266 --> 00:57:12.549]  If we want, we can go after Dixie Shapiro, for many other travesties.
[00:57:12.909 --> 00:57:16.091]  They can come back and say whatever they want, but I know Barry Levin.
[00:57:16.591 --> 00:57:19.152]  And what I'm saying is, this is a warning to them.
[00:57:19.613 --> 00:57:21.234]  This is a warning to everyone there.
[00:57:21.294 --> 00:57:23.355]  Now, you know I do not give a warning.
[00:57:23.675 --> 00:57:28.080]  You know as well that what I've said comes around in time.
[00:57:28.680 --> 00:57:38.471]  I cannot give you an end point, but I will tell you, come November 8th, Trump will declare the fact either he's won or it's a corrupt election.
[00:57:38.751 --> 00:57:45.419]  Once it's a corrupt election, the American public can protest in the streets peacefully and refuse to accept
[00:57:46.039 --> 00:57:48.321]  The inauguration of Hillary Clinton.
[00:57:48.442 --> 00:57:49.663]  We will not accept that.
[00:57:50.043 --> 00:57:57.150]  So there are many months in between November 8th and January before the time she's inaugurated as a president.
[00:57:57.591 --> 00:58:00.233]  Hopefully she will resign or she becomes sick.
[00:58:00.314 --> 00:58:01.495]  It's not relevant to us.
[00:58:02.135 --> 00:58:05.118]  But if Obama thinks he can pardon us, that will not happen.
[00:58:05.999 --> 00:58:09.021]  If Biden thinks he can co-opt that, that will not happen.
[00:58:09.742 --> 00:58:14.705]  What will happen again is either we will call for a re-election with another candidate they pick.
[00:58:14.745 --> 00:58:16.287]  We will not accept Tim Kaine.
[00:58:16.907 --> 00:58:18.328]  He is part of the CIA.
[00:58:18.368 --> 00:58:21.530]  He's part of an unsensible collusion that's occurred.
[00:58:21.991 --> 00:58:25.213]  We're also asking that John Brennan resign because he
[00:58:25.213 --> 00:58:30.777]  He's been a major source of problems for many, many things since 9-11 and onward.
[00:58:31.298 --> 00:58:36.802]  This is an issue that's come up among the 16 different intelligence communities, primarily military.
[00:58:37.383 --> 00:58:38.644]  All right, Steve Patinick, amazing.
[00:58:38.984 --> 00:58:40.865]  And again, Drudge is linked to your video from yesterday.
[00:58:40.905 --> 00:58:42.186]  It's going viral, millions of views.
[00:58:42.747 --> 00:58:45.289]  We'll be right back in 70 seconds for five more minutes.
[00:58:45.609 --> 00:58:47.711]  And Joseph Farah of WorldNetDaily is joining us.
[00:58:47.731 --> 00:58:48.171]  Stay with us.
[00:58:51.634 --> 00:58:52.795]  Thank you for listening to GCN.
[00:58:54.437 --> 00:58:56.629]  Visit GCNlive.com today.
[00:58:59.989 --> 00:59:10.454]  We have an article up on our website, written by Paul Joseph Watson, details a former British ambassador saying, hey John Podesta, the email leak was done by a Washington insider, not Russians.
[00:59:10.594 --> 00:59:11.915]  Well, that's pretty obvious.
[00:59:12.055 --> 00:59:14.075]  You should look to Washington and not to Moscow.
[00:59:14.096 --> 00:59:23.520]  I'm talking about British Ambassador Craig Murray, who says the source of the John Podesta email leak was a Washington insider and not the Russians, as the Clinton camp would like us all to believe.
[00:59:23.900 --> 00:59:28.062]  He says, quote, the source of these emails and leaks has nothing to do with Russia at all.
[00:59:28.342 --> 00:59:33.185]  I discovered what the source was when I attended the Sam Adams Whistleblower Award in Washington.
[00:59:33.445 --> 00:59:42.691]  He then goes on to blast the narrative that WikiLeaks is a conduit for Russia by asserting that the claims are designed to divert attention from their content and material.
[00:59:42.851 --> 00:59:44.332]  Well said, Craig Murray.
[00:59:44.512 --> 00:59:53.038]  And it goes hand in hand with the narrative that the Democrats are so desperate that I didn't even realize how absurd it sounds to blame the KGB for hijacking our democracy.
[00:59:53.198 --> 00:59:55.880]  I'm Margaret Hall reporting for InfoWars.com.
[01:00:01.807 --> 01:00:04.412]  You're listening to The Alex Jones Show.
[01:00:20.626 --> 01:00:25.627]  Before America can be great again, she must be free again.
[01:00:26.187 --> 01:00:28.988]  You're listening to the Alex Jones Show.
[01:00:30.068 --> 01:00:31.568]  Everybody knows I'm not a wishful thinker.
[01:00:31.848 --> 01:00:33.309]  If Trump was really behind, I'd tell you.
[01:00:33.349 --> 01:00:34.769]  You can see it in the scientific polls.
[01:00:35.269 --> 01:00:40.790]  Where they're sampling 9, 12, 15, 20 points, he's still winning by 2, 6, 7, 8, 10 points.
[01:00:40.890 --> 01:00:43.631]  I mean, it's like a landslide.
[01:00:43.671 --> 01:00:45.491]  America is just waking up across the board.
[01:00:45.971 --> 01:00:47.172]  All these WikiLeaks are coming out.
[01:00:47.612 --> 01:00:48.332]  Dr. Steve Pucinich,
[01:00:49.879 --> 01:00:52.001]  Again, talking about the soft coup that's happening.
[01:00:52.021 --> 01:00:54.703]  You've got a lot of ambassadors, other people concurring with what you're saying.
[01:00:54.723 --> 01:00:59.426]  The WikiLeaks came from inside the United States, not from Russia.
[01:01:00.467 --> 01:01:04.790]  Other key points in the five minutes we have about the counter coup and the warning to Hillary.
[01:01:05.111 --> 01:01:10.394]  I am seeing a lot of Democrats in the Chicago Tribune and others on TV exiting from her.
[01:01:10.735 --> 01:01:12.876]  We're seeing Obama cancel a lot of events with her.
[01:01:13.437 --> 01:01:18.701]  We are seeing some movement that looks like they're starting to understand they bet on the wrong horse.
[01:01:20.077 --> 01:01:26.344]  I think probably the most important part right now that the President Obama could do before he leaves office.
[01:01:26.785 --> 01:01:30.969]  And, you know, I respect the fact that he served eight years and he's done some good.
[01:01:30.989 --> 01:01:33.212]  There are other things I have a problem with.
[01:01:33.292 --> 01:01:36.535]  It's probably to convince Hillary Clinton to step down.
[01:01:37.276 --> 01:01:42.959]  I think that would be the most historical and most grandiose plan that he's ever done.
[01:01:42.979 --> 01:01:54.866]  I know he's not thinking about it, but I suggest to his advisors, particularly Valerie Jarrett, who's an extremely sophisticated woman from Chicago.
[01:01:54.886 --> 01:02:06.072]  I knew about her father, who was a very great hematologist who worked in Iran and worked for our country, that she should talk to him and Michelle Obama and say, look,
[01:02:06.872 --> 01:02:08.434]  This is not good for our country.
[01:02:08.774 --> 01:02:15.902]  This really, we need a peaceful transition and perhaps one of the greatest things that Obama could do as the President of the United States.
[01:02:16.243 --> 01:02:18.065]  He did two things that were very important.
[01:02:18.565 --> 01:02:21.309]  Turned around the economy and he made us independently
[01:02:21.869 --> 01:02:21.969]  Yes.
[01:02:42.446 --> 01:02:42.706]  I think
[01:03:18.909 --> 01:03:19.009]  Yes.
[01:03:40.607 --> 01:03:47.429]  And I encourage the President of the United States to allow him to talk to Hillary and say, look, those days are over.
[01:03:47.469 --> 01:03:48.310]  The time is over.
[01:03:48.350 --> 01:03:51.171]  The American public is very upset.
[01:03:52.271 --> 01:03:58.033]  Exactly, but we know she's going to, like an arrogant creature with the media, still bull her way in, trying to steal it.
[01:03:58.053 --> 01:04:00.213]  I'm not sure of that, and I will tell you why.
[01:04:00.233 --> 01:04:01.714]  Axelrod
[01:04:05.447 --> 01:04:05.887]  I don't
[01:04:25.759 --> 01:04:25.919]  I think?
[01:04:46.258 --> 01:05:02.853]  The most important thing for our community and both the intelligence, financial, and political community... Alright, Doc, we gotta go to break, and I got Farrah coming up, but come back and do three more minutes if you can, speaking for the intelligence community that you've been talking to informally, what their message is to Hillary and Obama and the world.
[01:05:02.893 --> 01:05:03.354]  We'll come back.
[01:05:03.614 --> 01:05:04.595]  We only have three more minutes.
[01:05:04.635 --> 01:05:04.935]  Thank you.
[01:05:05.155 --> 01:05:06.697]  We'll be back, and then Joseph Farrah, stay with us.
[01:05:09.215 --> 01:05:11.196]  We're red on election day.
[01:05:11.316 --> 01:05:14.277]  Perhaps the biggest election in American history is just days away.
[01:05:14.437 --> 01:05:19.018]  We know that in past elections, there have been thousands of cases of voter fraud and election fraud.
[01:05:19.058 --> 01:05:26.300]  From dead people voting, to people registering false identifications, to government leaders providing fast-track amnesty to give illegal immigrants votes.
[01:05:26.460 --> 01:05:27.921]  This is happening right in front of us.
[01:05:28.141 --> 01:05:32.542]  Now we are seeing the establishment send all its hitmen after the Republican nominee, Donald Trump.
[01:05:32.602 --> 01:05:34.503]  Government shills are campaigning for Clinton.
[01:05:34.623 --> 01:05:37.806]  Mainstream news attacking Donald Trump all day like rabbit hounds.
[01:05:37.986 --> 01:05:44.731]  Rigged polls being broadcast daily to provide the fake optics that Hillary Clinton is actually winning and to discourage people from voting Trump.
[01:05:44.851 --> 01:05:47.412]  Fake celebrities endorsing Clinton across all platforms.
[01:05:47.633 --> 01:05:50.855]  So with all this, what are we doing to keep this election from being stolen?
[01:05:51.095 --> 01:05:52.958]  What can we do to prevent election fraud?
[01:05:53.098 --> 01:05:56.202]  I propose that all Donald Trump supporters wear red on election day.
[01:05:56.322 --> 01:06:00.107]  On November 8th, when you head to the polls to vote Donald Trump, be decked out in red.
[01:06:00.187 --> 01:06:06.215]  This way, just as we dominated in rally turnout, we can prove and provide the optics that we also dominated in voter turnout.
[01:06:06.335 --> 01:06:09.219]  Wear red on election day and make America great again.
[01:06:09.699 --> 01:06:14.061]  We have the new product at Infowarsandlife.com, BioTrue Selenium.
[01:06:14.161 --> 01:06:25.107]  We've had so many requests over the years for selenium, and just recently, we were able to source a certified organic, bioavailable selenium from mustard seed extract.
[01:06:25.287 --> 01:06:30.210]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[01:06:30.310 --> 01:06:32.832]  It helps balance the thyroid gland.
[01:06:32.892 --> 01:06:34.393]  It helps detoxify.
[01:06:34.613 --> 01:06:37.435]  Selenium is another one of those absolute must-haves.
[01:06:37.495 --> 01:06:42.238]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[01:06:42.278 --> 01:06:46.401]  As a matter of fact, there's 25 genes in the body that are directly
[01:06:46.821 --> 01:06:53.825]  Dependent upon selenium, so it really is a all-around nutrient that everybody really needs.
[01:06:53.945 --> 01:06:55.386]  I'm taking it now, every day.
[01:06:55.566 --> 01:06:56.307]  This is so key.
[01:06:56.547 --> 01:07:00.849]  BioTrue Selenium is the product, the best selenium that we could bring you.
[01:07:00.889 --> 01:07:02.970]  We believe it's the best out there at a very, very low price.
[01:07:03.090 --> 01:07:06.552]  Exclusively available at m4warslives.com or by calling toll-free 888-253-3139.
[01:07:09.818 --> 01:07:18.822]  Alex Jones here to tell you about how you can help spread liberty worldwide, also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[01:07:18.902 --> 01:07:26.985]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[01:07:27.285 --> 01:07:31.987]  We have now managed to secure the sought-after beans in a highly customized blend.
[01:07:32.167 --> 01:07:38.870]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[01:07:38.970 --> 01:07:46.034]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[01:07:46.134 --> 01:07:52.997]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[01:07:53.157 --> 01:07:57.521]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[01:07:57.641 --> 01:08:00.904]  Available in original or with our immune support infusion blend.
[01:08:01.044 --> 01:08:07.169]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[01:08:07.329 --> 01:08:09.050]  Available at Infowarslife.com.
[01:08:14.795 --> 01:08:15.656]  Five days.
[01:08:16.637 --> 01:08:17.918]  Five short days.
[01:08:17.938 --> 01:08:19.499]  We're already halfway into one of them.
[01:08:19.539 --> 01:08:20.940]  Until the election.
[01:08:24.084 --> 01:08:38.408]  And this old lady that's our country isn't perfect, but it's been the apple of the world's eye because it had more freedom than the other nation.
[01:08:38.688 --> 01:08:40.389]  And I want to preserve what made America great.
[01:08:40.849 --> 01:08:47.151]  This country is fighting for its life right now, and this election is about nationalism, it's about populism, it's about sovereignty.
[01:08:47.751 --> 01:08:49.154]  That's about rebuking the elites.
[01:08:49.194 --> 01:08:58.154]  Dr. Steve Pucinich's gone in three minutes, run of Joseph Farah, founder of the Western Journalism Center, WorldNet Daily, the trailblazer in the new media, targeted by the Clintons.
[01:08:59.096 --> 01:09:05.162]  Before they even got an office to shut down a future media they thought would overtake them, and it's now they failed.
[01:09:05.863 --> 01:09:09.547]  So before Drudge, there was Joseph Farah, and so we stand on his shoulders.
