[00:00:00.169 --> 00:00:01.050]  and get free shipping.
[00:46:28.948 --> 00:46:45.519]  Walk into a bathroom, changing room I was in, going on The Conspiracy Zone, a show that was on television, I don't know, 10 years ago, 12 years ago, and he walks in in L.A., into the bathroom, and he says, you're Alex Jones.
[00:46:46.160 --> 00:46:47.421]  And it was like a gangster in a movie.
[00:46:47.761 --> 00:46:52.904]  While I'm at the urinal, he stands there looking at me, intimidating, looking, I don't care, okay, I keep going, yeah, yeah.
[00:46:53.645 --> 00:46:55.586]  So I went out and debated him right after that, tore him up.
[00:46:56.247 --> 00:46:57.588]  Gotta try to find that somewhere online.
[00:46:58.336 --> 00:47:00.617]  And he goes, we're going to kill you.
[00:47:01.457 --> 00:47:03.918]  Did this thing on his teeth and I said, really?
[00:47:04.378 --> 00:47:07.799]  And somebody, one of the aides comes walking in, you know, wanting to get us out there.
[00:47:08.119 --> 00:47:09.259]  I go, you're going to kill me.
[00:47:09.299 --> 00:47:10.019]  Why'd you say that?
[00:47:10.039 --> 00:47:13.060]  Because I'm already thinking, I'm going to say he just threatened to kill me, but he thinks we're alone.
[00:47:13.220 --> 00:47:14.361]  He'll threaten to sue me instantly.
[00:47:14.381 --> 00:47:14.601]  Boom.
[00:47:15.061 --> 00:47:16.361]  I go, why'd you threaten to kill me?
[00:47:17.341 --> 00:47:19.302]  He looks at the person, he goes, oh, I was just joking.
[00:47:19.882 --> 00:47:21.823]  I go on air, say he threatened to kill me.
[00:47:22.003 --> 00:47:23.643]  His lawyers call, send letters.
[00:47:23.863 --> 00:47:25.944]  I sent a letter back going, I've got the witness.
[00:47:27.073 --> 00:47:28.434]  That he said it, go ahead and sue.
[00:47:31.375 --> 00:47:36.317]  The head of the President's Commission walked into a bathroom and said, we're going to kill you.
[00:47:37.037 --> 00:47:39.218]  And he works for the President of the United States.
[00:47:39.798 --> 00:47:42.439]  How's that for a real X-Files for you boys and girls?
[00:47:45.841 --> 00:47:47.021]  You think it intimidates me?
[00:47:47.041 --> 00:47:50.503]  That I'm standing at a urinal and you get in my space and start looking down at what I'm doing?
[00:47:50.683 --> 00:47:52.363]  You think, you think I'm that big of a wimp?
[00:47:53.424 --> 00:47:54.344]  I'm ashamed of something?
[00:47:54.364 --> 00:47:55.865]  You think, you think I'm afraid?
[00:47:57.110 --> 00:47:59.872]  You think, oh my gosh, you get in my space, I'm so scared?
[00:48:00.112 --> 00:48:01.714]  Oh, you threaten to kill me, I'm so scared?
[00:48:02.074 --> 00:48:04.476]  I know what I'm doing, boys!
[00:48:06.077 --> 00:48:07.378]  I'm not a coward like you!
[00:48:07.538 --> 00:48:08.659]  I don't run in packs!
[00:48:08.919 --> 00:48:10.300]  I don't run in gangs!
[00:48:11.982 --> 00:48:16.966]  I don't run to the biggest evil thing I can find and cozy up to it, because I think it's going to get me a head life.
[00:48:18.030 --> 00:48:20.953]  I do what I think is right, and I stand up for honor.
[00:48:21.273 --> 00:48:21.773]  Period.
[00:48:22.194 --> 00:48:23.875]  And you can't beat ideas like that.
[00:48:24.135 --> 00:48:31.122]  You can cut down my flesh, but you can't cut down those ideas, no matter how many lies you put out, no matter how much you weaponize the media.
[00:48:31.802 --> 00:48:36.727]  And to have Chris Carter come out and say, Alex Jones isn't right-wing, he's a libertarian.
[00:48:36.847 --> 00:48:38.328]  A lot of what he's saying has come true.
[00:48:38.528 --> 00:48:41.050]  I think there is a danger of a world government takeover.
[00:48:41.911 --> 00:48:43.653]  That's in Entertainment Weekly, folks.
[00:48:44.875 --> 00:48:48.277]  We're gonna address this from a positive position, but also look at the other side.
[00:48:49.257 --> 00:48:49.957]  Go read the article.
[00:48:51.818 --> 00:48:54.760]  An Alex Jones character, based on Alex Jones.
[00:48:55.960 --> 00:48:56.861]  What's that smell like?
[00:48:59.222 --> 00:49:00.142]  Smells like victory.
[00:49:02.043 --> 00:49:03.684]  I love the smell of napalm in the morning.
[00:49:05.204 --> 00:49:06.245]  Charlie don't surf!
[00:49:08.166 --> 00:49:09.086]  I love Robert Duvall.
[00:49:10.087 --> 00:49:10.767]  I'm digressing.
[00:49:13.433 --> 00:49:17.498]  It's not a power trip for me to see things like this going on because I already knew it was going on.
[00:49:18.319 --> 00:49:21.003]  The fact that they're saying it is a hat tip.
[00:49:24.594 --> 00:49:31.977]  And shows that the system knows they can't cover this up anymore, and they can't stop Hollywood chomping at the bit to want to come out with all this.
[00:49:32.197 --> 00:49:44.421]  And I know for a fact, because I was told this by members of the cast, and I'm going to get Carter on, I hope, to talk about it all, a lot of it's contractually blocked, that he didn't do a new X-Files because they wouldn't let him do these topics a decade ago.
[00:49:45.702 --> 00:49:49.403]  And then he did Lone Governor to try to do these topics, and still was controlled.
[00:49:49.583 --> 00:49:53.725]  So the only reason he's coming back with the X-Files is because they're going to let him make what he wants now.
[00:49:56.462 --> 00:50:04.527]  Because that's really the big secret, is that 10 years ago, shows like Lone Gunman were greatly based on this show.
[00:50:04.987 --> 00:50:13.673]  And it's not bragging when I told people years ago, oh, I've gone out hanging out with Mike Judge of King of the Hill, Beavis and Butt-Head, and so much more.
[00:50:14.453 --> 00:50:18.676]  Idiocracy, extract, I mean, Office Space.
[00:50:20.808 --> 00:50:22.929]  It just shows the power of what you could have done.
[00:50:23.369 --> 00:50:26.010]  I was on AXS TV in 95, 96, and 97.
[00:50:29.431 --> 00:50:37.474]  And then he came on the show and said this, and then I am the composite with two other people of Hank Hill and Gribble.
[00:50:39.428 --> 00:50:40.569]  And people said, you liar!
[00:50:40.589 --> 00:50:41.930]  And then he comes on the show and says it!
[00:50:42.350 --> 00:50:43.011]  I'm not lying!
[00:50:43.391 --> 00:50:45.273]  The point is, that's the power you have!
[00:50:45.953 --> 00:50:48.595]  What would have happened if you would have gotten on Access Television?
[00:50:48.675 --> 00:50:49.776]  If you would have spoken out?
[00:50:50.417 --> 00:50:52.699]  And again, that's just the power of influence.
[00:50:53.599 --> 00:50:54.480]  All of us have power.
[00:50:54.700 --> 00:51:00.164]  This is not me up here tooting my horn, oh look, the new X-Files is gonna be based on me, you know, with 30 million viewers a night or whatever.
[00:51:00.485 --> 00:51:04.408]  It shows how culturally we're having victories, ladies and gentlemen.
[00:51:05.188 --> 00:51:06.910]  And yeah, the system's gonna try to co-opt it.
[00:51:08.050 --> 00:51:10.912]  See, now if I don't kinda join with this, the real knives come out.
[00:51:10.932 --> 00:51:11.932]  Are you prepared to bug out?
[00:51:12.092 --> 00:51:19.877]  Infidel Body Armor and an Army Ranger have produced a high-speed DVD and book to show you how to drive in combat, patrol, and how to survive in combat.
[00:51:19.937 --> 00:51:21.918]  Skills you'll need when it hits the fan.
[00:51:22.018 --> 00:51:23.619]  Go to DrivenDVD.com.
[00:51:23.739 --> 00:51:25.400]  DrivenDVD.com.
[00:51:25.760 --> 00:51:29.482]  Advertising your business with GCN is simple, effective, and more fun.
[00:51:31.124 --> 00:51:34.651]  Visit advertise.gcnlive.com for more info.
[00:51:34.771 --> 00:51:36.495]  Take your business to the next level.
[00:51:36.735 --> 00:51:38.479]  That's advertise.gcnlive.com.
[00:51:40.410 --> 00:51:43.152]  My dad was 59 when he collapsed from a heart attack late last year.
[00:51:43.472 --> 00:51:46.074]  Just this past August was when we spread his ashes on the St.
[00:51:46.094 --> 00:51:46.534]  Croix River.
[00:51:46.834 --> 00:51:48.856]  I loved my dad, but boy was he stubborn.
[00:51:49.076 --> 00:51:51.798]  He hadn't been to the doctor in over 25 years.
[00:51:52.038 --> 00:51:52.558]  His excuse?
[00:51:52.918 --> 00:51:53.979]  He simply couldn't afford it.
[00:51:54.239 --> 00:51:55.540]  He wasn't a rich man by any means.
[00:51:55.860 --> 00:52:01.364]  At less than $107 per month, LibertyOnCall.org would have been the perfect alternative for my father.
[00:52:01.624 --> 00:52:02.345]  Don't wait.
[00:52:02.645 --> 00:52:05.026]  Go to LibertyOnCall.org right now.
[00:52:05.307 --> 00:52:07.548]  For not just your sake, but for the sake of your loved ones.
[00:52:07.808 --> 00:52:09.409]  Again, that's LibertyOnCall.org.
[00:52:10.791 --> 00:52:13.460]  The following statements have not been evaluated by the FDA.
[00:52:13.521 --> 00:52:17.012]  This product is not intended to diagnose, treat, cure, or prevent any disease.
[00:52:18.211 --> 00:52:21.372]  Something shocking just happened in a Coast Guard unit in San Diego.
[00:52:21.693 --> 00:52:26.775]  The old guys in the unit have turned the tables and are now destroying the young bucks in head-to-head fitness tests.
[00:52:27.135 --> 00:52:28.356]  How is this even possible?
[00:52:28.636 --> 00:52:35.939]  Turns out the old guys in this unit have been part of a special test group for a doctor formulated fountain of youth drink called Patriot Power Greens.
[00:52:36.159 --> 00:52:43.582]  Patriot Power Greens has been so effective for many of the older soldiers that it's made their achy joints, stiff muscles and lack of energy a thing of the past.
[00:52:43.802 --> 00:52:47.024]  Previously this drink was only available to elite military units.
[00:52:47.304 --> 00:52:54.709]  But for a limited time, the creator of Patriot Power Greens has set aside a small number of free samples specifically for our conservative friends.
[00:52:55.109 --> 00:52:57.810]  All they ask is that you chip in a few bucks to cover shipping.
[00:52:58.271 --> 00:53:02.333]  To claim your free samples of Patriot Power Greens, go to Greens75.com.
[00:53:02.393 --> 00:53:03.074]  That's Greens75.com.
[00:53:03.094 --> 00:53:03.494]  Greens75.com.
[00:53:09.505 --> 00:53:11.906]  Hunters, anglers, campers, and survivalists.
[00:53:12.106 --> 00:53:13.046]  Get back to nature.
[00:53:13.206 --> 00:53:20.247]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[00:53:20.367 --> 00:53:23.568]  Slingbow products are compact and models start from just $17.98.
[00:53:23.748 --> 00:53:26.989]  They're perfect for your bug out bag or storing in your vehicle.
[00:53:27.229 --> 00:53:31.129]  Give yourself and your loved ones the excitement and tradition of slingbow.
[00:53:31.369 --> 00:53:35.670]  A new frontier in archery and truly modern twist on this primitive survival tool.
[00:53:35.890 --> 00:53:38.491]  Feel the thrill only at slingbow.com.
[00:53:39.076 --> 00:53:43.618]  There's one major factor affecting the health of millions, and most people are completely unaware.
[00:53:43.878 --> 00:53:49.480]  Acid levels, soda, meat, dairy, caffeine, and sugar can all lead to elevated acid levels in the body.
[00:53:49.600 --> 00:53:54.122]  AlkaVision Plasma pH Drops get the body's pH levels back in perfect balance.
[00:53:54.302 --> 00:53:59.804]  It's a holistic, natural, and powerful approach that will give you greater health, vitality, and zest for life.
[00:54:00.024 --> 00:54:01.865]  AlkaVision Plasma pH Drops.
[00:54:01.985 --> 00:54:04.185]  Visit ALKAVision.com.
[00:54:04.365 --> 00:54:05.386]  Alkalize your body.
[00:54:05.546 --> 00:54:08.047]  Supercharge your health at AlkaVision.com.
[00:54:28.507 --> 00:54:30.567]  So who are you?
[00:54:30.787 --> 00:54:31.647]  So who are you?
[00:54:32.668 --> 00:54:36.809]  Who are you?
[00:54:36.849 --> 00:54:44.511]  Are you just gonna go along with the establishment dribble?
[00:54:45.331 --> 00:54:47.092]  No, I know our general audience isn't.
[00:54:50.094 --> 00:55:01.140]  But I'm talking about the countless millions every week that tune in for entertainment or come across something we're talking about and think, oh, this guy claims they're growing humanoids inside cows.
[00:55:01.160 --> 00:55:04.702]  Yeah, and I'm holding up an MIT News article about it.
[00:55:06.283 --> 00:55:15.928]  That's what's so frustrating is that most of what I've been talking about for 21 years, 21 years in April, is stuff that was in white papers and government documents.
[00:55:16.128 --> 00:55:19.310]  Now it's in the news because it's so far along.
[00:55:22.014 --> 00:55:23.856]  What about the rights of these creatures?
[00:55:24.096 --> 00:55:27.360]  Oh, well there's no rights for unborn babies, so now there's no rights for old people.
[00:55:27.600 --> 00:55:28.541]  Now there's death panels.
[00:55:28.841 --> 00:55:29.662]  See how that works?
[00:55:30.303 --> 00:55:33.887]  We have a very dark force in control.
[00:55:34.828 --> 00:55:37.651]  We have a globalist force taking control of humanity.
[00:55:38.191 --> 00:55:43.316]  So, yeah, it's fun to go see a documentary.
[00:55:45.546 --> 00:55:48.907]  About Gore Vidal and William F. Buckley and the movie ends with a clip of Alex Jones.
[00:55:49.667 --> 00:55:54.749]  It's fun to get up and hear the new X-Files is based in great part around what you cover and do.
[00:55:55.589 --> 00:55:56.529]  But really it's not.
[00:55:58.690 --> 00:56:06.612]  It was a hundred times more satisfying to see top generals come out and say our government ordered us to help create ISIS, it's horrible, we should stop it.
[00:56:07.662 --> 00:56:09.864]  It was way more satisfying to have Cy Hirsch come on.
[00:56:10.244 --> 00:56:12.506]  It was way more satisfying to have Matt Drudge in studio.
[00:56:12.726 --> 00:56:16.529]  It was way more satisfying to have Donald Trump on or to get an interview with Louis Farrakhan.
[00:56:17.290 --> 00:56:18.931]  Because that's the real world, folks.
[00:56:20.773 --> 00:56:23.395]  We're fighting against stuff that's world-ending.
[00:56:23.735 --> 00:56:26.057]  This TV stuff is fantasy land.
[00:56:27.228 --> 00:56:39.695]  That's a reflection that we're doing a good job in the real world informing people that the fantasy land is now being influenced by what we do and more reality is being brought to it.
[00:56:42.616 --> 00:56:48.299]  And who deserves credit for helping Infowars explode?
[00:56:48.319 --> 00:56:52.041]  I mean, when I say 28 million people a week now, you know, it was 20 million a few months ago.
[00:56:52.221 --> 00:56:53.602]  That's conservative.
[00:56:56.052 --> 00:56:59.656]  And then it bounces around the information and causes all these chain reactions.
[00:57:00.137 --> 00:57:02.860]  So I'm not gonzo journalism where I report on myself.
[00:57:03.140 --> 00:57:04.502]  It's though we are now the story.
[00:57:05.523 --> 00:57:06.464]  Who do you think for it?
[00:57:07.307 --> 00:57:24.373]  George Norrie taking coast-to-coast AM 12, 13 years ago, whatever it was, from 90% UFO and goblins and ghosts, which is interesting and entertaining and fine and wonderful, not judging anybody, to 60% New World Order, vaccines, checkpoints, police state, what the X-Files is doing.
[00:57:25.013 --> 00:57:29.475]  So, George Norrie deserves huge credit for his courage.
[00:57:29.515 --> 00:57:32.856]  I know he had to really put himself on the line with Premier Networks.
[00:57:34.091 --> 00:57:36.333]  And I'm not going to get into the inside baseball.
[00:57:36.353 --> 00:57:37.914]  He put everything on the line to put me on.
[00:57:38.214 --> 00:57:39.875]  That's how much credibility that guy's got.
[00:57:40.836 --> 00:57:47.841]  He is super Americana, super manly, super confident, super patriot.
[00:57:50.282 --> 00:57:59.709]  I mean, 14 years ago, when he first had me on there talking to 16 million people a night, they said, your job is in your hands, buddy, if something goes wrong with this.
[00:58:01.690 --> 00:58:04.633]  Some of the producers and people were hyperventilating about Putin.
[00:58:04.673 --> 00:58:07.276]  It was on national news the next day that he'd had me on.
[00:58:08.538 --> 00:58:09.459]  Phone calls were made.
[00:58:09.479 --> 00:58:15.506]  Everything else but they couldn't stop the signal because a bunch of executives above that are sick of what's happening too and realize what's happening.
[00:58:15.606 --> 00:58:17.288]  There's rebellions going on at every level.
[00:58:17.488 --> 00:58:18.930]  Highest level, lowest level, you name it.
[00:58:19.150 --> 00:58:20.572]  And then who deserves the credit after that?
[00:58:20.892 --> 00:58:21.933]  In an even bigger way,
[00:58:22.898 --> 00:58:25.439]  But George Norrie helped launch us an even bigger platform.
[00:58:25.459 --> 00:58:28.120]  We were already huge, but he helped it go even larger.
[00:58:28.400 --> 00:58:33.281]  And then Matt Drudge took that another order of magnitude and expanded it.
[00:58:34.021 --> 00:58:45.765]  So, DrudgeReport.com, Coast2CoastAM.com, great jobs on what they've done, because the topics shifting away from UFOs on X-Files to chemtrails, checkpoints, FEMA camps, world government,
[00:58:46.641 --> 00:58:50.743]  That's a big deal, folks, because it's all being announced now in the real world.
[00:58:51.003 --> 00:58:52.424]  It shows they've collapsed.
[00:58:52.944 --> 00:58:54.485]  They can't hold it back anymore.
[00:58:54.905 --> 00:58:57.027]  This is a devastating victory.
[00:58:57.427 --> 00:58:59.708]  To just hold any audience, they now have to join us.
[00:59:00.649 --> 00:59:05.471]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[00:59:05.751 --> 00:59:10.674]  Longevity integrates years of scientific research into creating fantastic products
[00:59:10.834 --> 00:59:14.376]  Like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[00:59:14.577 --> 00:59:18.299]  Youngevity also offers you an ingenious way to augment your income.
[00:59:18.519 --> 00:59:19.200]  And the best part?
[00:59:19.320 --> 00:59:21.862]  You'll be helping your friends and family along the way.
[00:59:22.182 --> 00:59:24.623]  Visit InfoWarsTeam.com today.
[00:59:24.804 --> 00:59:25.424]  Become a member.
[00:59:25.584 --> 00:59:29.647]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[00:59:29.867 --> 00:59:36.349]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[00:59:36.590 --> 00:59:37.310]  Another win-win.
[00:59:37.550 --> 00:59:41.131]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[00:59:41.291 --> 00:59:42.292]  And you can be too.
[00:59:42.512 --> 00:59:43.012]  It's simple.
[00:59:43.072 --> 00:59:45.893]  Just go to Infowarsteam.com today.
[00:59:46.013 --> 00:59:47.934]  Complete a short sign-up and you're part of the team.
[00:59:48.114 --> 00:59:51.195]  That's Infowarsteam.com or Infowarshealth.com.
[00:59:51.375 --> 00:59:57.517]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[00:59:57.677 --> 00:59:58.978]  Check it out for yourself today.
[01:00:02.672 --> 01:00:05.375]  You're listening to The Alex Jones Show.
[01:00:11.761 --> 01:00:16.806]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[01:00:17.186 --> 01:00:19.469]  Because there's a war on for your mind.
[01:00:22.503 --> 01:00:32.191]  Alright, I was getting into the state of the Matrix propaganda system, and the fact that the Matrix has got a lot of glitches in it, and the global awakening is expanding exponentially.
[01:00:32.251 --> 01:00:34.052]  Trump is one manifestation of that.
[01:00:34.332 --> 01:00:44.920]  Whether he's good or bad, he's a manifestation of the uprising, the rebellion, the awakening, where, oh, every mainstream media outlet and all the Republicans attack him and say he's a demon?
[01:00:46.442 --> 01:00:48.223]  The RNC puts all this money against him?
[01:00:48.703 --> 01:00:49.464]  He must be great.
[01:00:51.974 --> 01:00:53.115]  What a huge manifestation.
[01:00:53.155 --> 01:01:03.239]  That's what I was getting into earlier with Chris Carter coming out and saying the new X-Files is basically going to be based around a lot of the things I cover and the character around myself.
[01:01:05.120 --> 01:01:07.041]  And Glenn Beck, who's a character based around me.
[01:01:07.101 --> 01:01:07.741]  I'm a real person.
[01:01:07.781 --> 01:01:08.802]  He's a character based around me.
[01:01:08.822 --> 01:01:10.983]  So now there's a TV show based on it.
[01:01:12.243 --> 01:01:13.724]  It's very weird to have Glenn Beck
[01:01:15.100 --> 01:01:20.141]  Try to become me, but with his own flavor, and then try to destroy me on top of it.
[01:01:20.462 --> 01:01:25.023]  But I guess if you're like a pod person, in Body Snatchers, you know, they get rid of the old body.
[01:01:27.884 --> 01:01:29.604]  Or I guess the pod grows over you.
[01:01:30.304 --> 01:01:31.005]  No, no, that's right.
[01:01:31.405 --> 01:01:33.645]  They put the pod beside you, and then it basically absorbs you.
[01:01:34.666 --> 01:01:40.567]  So, but I mean, the pod wasn't ever able to absorb me, so now, it doesn't look quite like me either, doesn't quite talk like me either.
[01:01:41.968 --> 01:01:42.588]  But it's there.
[01:01:43.686 --> 01:01:48.348]  And so they go, well our show's based on Alex Jones and we think he's a pretty good guy and all this stuff's coming true.
[01:01:48.728 --> 01:01:51.050]  And the pod, because it mentions the pod.
[01:01:52.410 --> 01:01:53.931]  And then says something bad about Bill O'Reilly.
[01:01:55.692 --> 01:01:56.552]  So it's a weird feeling.
[01:01:56.612 --> 01:01:57.973]  Now I'm not going to get into this anymore.
[01:01:59.139 --> 01:02:07.505]  Until our guest leaves us in about 35-40 minutes, and then I'm going to get into the trailer for the new X-Files that again looks just like the intros to the TV show.
[01:02:08.185 --> 01:02:08.826]  The radio show.
[01:02:09.366 --> 01:02:10.767]  The promos that Darren McBrain makes.
[01:02:12.008 --> 01:02:16.271]  Maybe Darren Mc... Darren, maybe we'll get Chris Carter on and you can make the new intro for the X-Files.
[01:02:17.171 --> 01:02:18.312]  Or Jakari Jackson.
[01:02:19.092 --> 01:02:23.455]  We don't just have talented reporters, there's just amazing artists when it comes to putting together the material.
[01:02:24.296 --> 01:02:26.918]  And I want, from their unique perspectives,
[01:02:28.154 --> 01:02:34.557]  Liberty-based optics should be super successful as well.
[01:02:36.619 --> 01:02:39.560]  I mean, I don't want Jakari Jackson to be the black Alex Jones.
[01:02:40.300 --> 01:02:43.222]  I want him to be the Jakari Jackson of the Liberty Movement.
[01:02:44.142 --> 01:02:47.524]  I don't want Darren McBrain to be the Irish Alex Jones.
[01:02:47.684 --> 01:02:48.425]  I want him to be
[01:02:50.250 --> 01:02:52.111]  The Darren McBrain of the Liberty Movement.
[01:02:52.131 --> 01:02:57.376]  I would love to hire a reporter or a crew member or a writer that ends up being more successful than me.
[01:02:57.396 --> 01:03:00.358]  I mean, I made Paul Watson go on big TV radio shows.
[01:03:00.458 --> 01:03:01.719]  I make him come on TV.
[01:03:02.840 --> 01:03:04.801]  He's very calm, very mild-mannered.
[01:03:04.821 --> 01:03:05.822]  He doesn't lack attention.
[01:03:06.663 --> 01:03:07.824]  At least 15 years ago.
[01:03:08.624 --> 01:03:09.325]  Now he likes it.
[01:03:09.805 --> 01:03:11.306]  Now he does a great job.
[01:03:12.127 --> 01:03:14.088]  And now he is his own person.
[01:03:14.909 --> 01:03:16.831]  You know, out there as his own character.
[01:03:17.611 --> 01:03:18.372]  In the real world.
[01:03:19.386 --> 01:03:22.688]  But still, the whole world is a stage and each of us players upon it.
[01:03:23.789 --> 01:03:42.119]  So I'm kind of getting into some of the inside stuff around Infowars, but I, you know, the problem is I want patriots that love liberty who want to fight tyranny and who want to be a personality, to use the power of personality to promote freedom, not to promote being an egomaniac narcissist.
[01:03:44.821 --> 01:03:47.903]  You see, people take my aggression, my confidence, my anger,
[01:03:48.897 --> 01:03:50.618]  As narcissism, but it's the opposite.
[01:03:50.918 --> 01:03:51.939]  Narcissists don't tip.
[01:03:52.059 --> 01:03:53.419]  Narcissists don't care about other people.
[01:03:53.680 --> 01:03:55.701]  Narcissists don't give their crew members big bonuses.
[01:03:57.662 --> 01:04:02.404]  Narcissists wouldn't hire a bunch of people around them and try to give them their platform.
[01:04:04.445 --> 01:04:06.046]  I'm building a weapons system.
[01:04:06.787 --> 01:04:08.107]  I'm trying to build a crew.
[01:04:09.028 --> 01:04:14.751]  I'm trying to train and educate and lift people up
[01:04:16.374 --> 01:04:21.676]  So that they can go out and fight the globalists and expose what they're doing.
[01:04:22.696 --> 01:04:32.380]  And you do that not just with the information, but you also do that with your own humanity and your personality that people then resonate with out there.
[01:04:35.501 --> 01:04:36.281]  And that's what's happening.
[01:04:36.921 --> 01:04:39.762]  And you the viewers, you the listeners have incredible power.
[01:04:40.022 --> 01:04:41.403]  Take action, get involved.
[01:04:42.452 --> 01:04:46.815]  The great animating contest of liberty and the future of humanity is being set right now.
[01:04:47.636 --> 01:04:49.397]  Now, there's so much on Hillary corruption.
[01:04:49.697 --> 01:04:51.959]  Could we be about to witness the fall of Hillary Clinton?
[01:04:53.500 --> 01:05:01.325]  We're going to talk to one of the top folks over at Breitbart, on the other side, about what's unfolding.
[01:05:01.405 --> 01:05:02.546]  Breitbart's in the news today.
[01:05:02.626 --> 01:05:09.091]  Twitter got rid of their Twitter account, basically in censorship, saying they were unverified, to the Breitbart editor.
[01:05:10.495 --> 01:05:17.744]  The latest Gallup poll finds loyalty to Democrats and Republicans is at or near historic lows, reports U.S.
[01:05:17.804 --> 01:05:18.725]  News.
[01:05:18.845 --> 01:05:22.489]  In 2015, or the fifth straight year, at least four in ten U.S.
[01:05:22.549 --> 01:05:25.052]  adults identified as political independents.
[01:05:25.292 --> 01:05:28.056]  Forty-two percent said that they were independent last year.
[01:05:28.876 --> 01:05:33.559]  43% listed themselves that way in 2014, reflecting little change.
[01:05:33.800 --> 01:05:38.182]  29% said that they were Republicans, and 26% said that they were Democrats.
[01:05:38.563 --> 01:05:44.566]  The Democrats' share was the lowest for the party in Gallup's 65 years of asking about party identification.
[01:05:44.927 --> 01:05:48.349]  The previous Democratic low was 30% in 2014.
[01:05:48.809 --> 01:05:55.313]  The 26% who identified with the GOP was just one percentage point higher than the historic Gallup low of 25%,
[01:05:56.494 --> 01:05:59.155]  Self-identified Republicans in 2013.
[01:05:59.596 --> 01:06:05.319]  Gallup found the big reason for the increase in independence was frustration with political gridlock.
[01:06:05.559 --> 01:06:08.460]  You can find more reports on InfoWars.com
[01:06:10.416 --> 01:06:15.219]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[01:06:15.480 --> 01:06:24.146]  Longevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[01:06:24.166 --> 01:06:28.109]  Longevity also offers you an ingenious way to augment your income.
[01:06:28.289 --> 01:06:28.969]  And the best part?
[01:06:29.069 --> 01:06:31.651]  You'll be helping your friends and family along the way.
[01:06:31.951 --> 01:06:34.393]  Visit InfoWarsTeam.com today.
[01:06:34.573 --> 01:06:35.194]  Become a member.
[01:06:35.334 --> 01:06:37.195]  Get discounts on the amazing products.
[01:06:37.295 --> 01:06:37.715]  We're good.
[01:07:07.436 --> 01:07:08.730]  Check it out for yourself today.
[01:07:10.220 --> 01:07:13.182]  A clean, toxic-free body is the foundation of true health.
[01:07:13.403 --> 01:07:15.564]  Deep Cleanse by Infowarslife.com.
[01:07:15.764 --> 01:07:22.470]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[01:07:22.770 --> 01:07:27.954]  Using our proprietary multi-step extraction technology, Deep Cleanse is our most affordable all-in-one cleanser.
[01:07:28.094 --> 01:07:37.101]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanse doesn't hold back.
[01:07:37.501 --> 01:07:46.126]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[01:07:46.386 --> 01:07:53.310]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary SpiteGerex herbal processing technique.
[01:07:53.470 --> 01:07:58.873]  We use only the highest quality organic herbs, backed by serious research, and we still bring it to you at the best.
[01:07:59.133 --> 01:08:04.563]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit Infowarslife.com.
[01:08:04.763 --> 01:08:06.706]  That's Infowarslife.com or call 888-253-3139.
[01:08:21.741 --> 01:08:23.365]  The answer to 1984 is 1776.
[01:08:23.666 --> 01:08:30.241]  You're listening to The Alex Jones Show.
[01:08:31.625 --> 01:08:33.426]  Welcome into the second hour, my friends.
[01:08:33.666 --> 01:08:36.227]  Three hours are left that lie before us.
[01:08:36.247 --> 01:08:39.769]  Peter Schweitzer is going to be with us to the bottom of the hour.
[01:08:39.789 --> 01:08:46.552]  He is the editor-at-large of Breitbart.com and the president of the Government Accountability Institute and best-selling author.
[01:08:46.572 --> 01:08:53.295]  His new book is Extortion, How Politics Extract Your Money, Buy Votes, and Line Their Own Pockets.
[01:08:55.148 --> 01:08:58.869]  He's also been featured in 60 Minutes documentaries, the New York Times, Foreign Affairs.
[01:08:59.189 --> 01:09:00.209]  I'm not going to go any further.
[01:09:00.549 --> 01:09:04.510]  The point is, he is a major investigative journalist.
[01:09:05.690 --> 01:09:08.771]  And the reason this is so important is, look at Hillary with the emails.
[01:09:09.391 --> 01:09:12.892]  Lying about them, being caught with classified ones, and she still hasn't gotten in trouble.
[01:09:12.972 --> 01:09:13.892]  Will they go after her?
[01:09:14.412 --> 01:09:16.413]  Or does she have too much blackmail on other people?
[01:09:18.700 --> 01:09:20.561]  How deep does the corruption go?
