[00:00:12.829 --> 00:00:15.790]  Wednesday, April 20th, 2016.
[00:43:39.001 --> 00:43:40.721]  And he goes, there are no peels.
[00:43:40.801 --> 00:43:42.122]  I looked up and said, you see those?
[00:43:42.562 --> 00:43:43.582]  He goes, I didn't do that.
[00:43:44.143 --> 00:43:49.185]  And I said, you're grounded for a week, brother, and you're out of tennis practice and everything else.
[00:43:51.185 --> 00:43:52.866]  And he looked at me, and he's so honest.
[00:43:52.886 --> 00:43:53.526]  He's so good.
[00:43:55.007 --> 00:43:57.268]  But when they're young, they get to that age, they want to test stuff out.
[00:43:58.530 --> 00:43:59.511]  He goes, well, I don't really remember doing it.
[00:43:59.551 --> 00:44:02.593]  And I said, you subconsciously stuffed him under there right in front of me an hour ago.
[00:44:03.393 --> 00:44:04.734]  And it's just little stuff like that.
[00:44:05.614 --> 00:44:10.337]  And I didn't really get mad at him, but he's not a 50-something-year-old U.S.
[00:44:10.377 --> 00:44:10.698]  Senator.
[00:44:11.358 --> 00:44:15.240]  I watched stuff the orange peels under the seat, under the red sofa.
[00:44:16.261 --> 00:44:16.801]  I watched it.
[00:44:17.842 --> 00:44:19.703]  Don't tell me, Cruz, I didn't see it.
[00:44:20.544 --> 00:44:22.305]  Stop treating me like a moron!
[00:44:23.766 --> 00:44:27.729]  He's got top psych warfare British firms writing his scripts now.
[00:44:28.710 --> 00:44:33.653]  Oh, you're paying millions so they come up with total bald-faced con lies to keep stating?
[00:44:34.714 --> 00:44:36.155]  The democracy isn't spoken?
[00:44:36.375 --> 00:44:37.336]  Landslides?
[00:44:37.936 --> 00:44:42.340]  I get all the delegates, I'm winning, the people have spoken, this is an uprising?
[00:44:42.360 --> 00:44:48.404]  You know, I could have told you those lies for nothing!
[00:44:51.676 --> 00:45:01.400]  I mean, notice how the con man goes to the bigger con man, like the Emperor's New Clothes, and pays them for the imaginary gold-sewn outfit he's gonna wear, and there's nothing there.
[00:45:01.600 --> 00:45:06.542]  And Ted Cruz has put on this outfit and walked out naked in front of everyone and went, I'm winning!
[00:45:06.562 --> 00:45:08.283]  The grassroots, I'm the king!
[00:45:08.303 --> 00:45:10.084]  Everybody's going, he's butt-naked.
[00:45:10.444 --> 00:45:12.405]  But the media goes, no he's not, it's beautiful, it's beautiful.
[00:45:12.665 --> 00:45:14.746]  And finally people just go, you know what, he is naked.
[00:45:15.526 --> 00:45:17.707]  Man, put it away, put some underwear on, Cruz.
[00:45:17.907 --> 00:45:18.968]  He's like, it's golden!
[00:45:20.063 --> 00:45:21.624]  You know this parable, the emperor's new clothes?
[00:45:21.684 --> 00:45:22.464]  I'm sure you do, folks.
[00:45:23.144 --> 00:45:24.025]  If not, just Google it.
[00:45:25.885 --> 00:45:26.906]  So let's go to Hannity.
[00:45:26.926 --> 00:45:30.827]  I'm not going to play the whole thing because it's long, but he just starts flipping out on him, as he should.
[00:45:30.847 --> 00:45:33.028]  This is the normal behavior.
[00:45:35.529 --> 00:45:36.570]  When you're being lied to, hear this.
[00:45:37.461 --> 00:45:39.082]  It's more than a process question.
[00:45:39.443 --> 00:45:45.967]  It's an integrity of the election question, and everybody's asking me this question, so I'm giving you an opportunity to explain it.
[00:45:46.388 --> 00:45:50.571]  Sean, the only people asking this question are the hardcore Donald Trump supporters.
[00:45:50.831 --> 00:45:53.693]  Why do you do this every single time?
[00:45:54.073 --> 00:45:55.034]  No, you've got to stop.
[00:45:55.274 --> 00:45:59.937]  Every time I have you on the air and I ask a legitimate question, you're trying to throw this in my face.
[00:45:59.977 --> 00:46:00.738]  I'm getting sick of it.
[00:46:01.078 --> 00:46:04.481]  I've had you on more than any other candidate on radio and TV.
[00:46:05.276 --> 00:46:09.277]  So if I ask you, Senator, a legitimate question to explain to the audience, why don't you just answer it?
[00:46:09.977 --> 00:46:11.838]  Sean, can I answer your question without being interrupted?
[00:46:11.858 --> 00:46:12.338]  Go ahead.
[00:46:12.398 --> 00:46:16.399]  In the last three weeks, there have been five elections in five states.
[00:46:16.759 --> 00:46:21.501]  Utah, North Dakota, Wisconsin, Colorado, Wyoming.
[00:46:21.901 --> 00:46:22.941]  We've won all five.
[00:46:23.241 --> 00:46:27.222]  Over 1.3 million people voted in those five states.
[00:46:27.642 --> 00:46:27.882]  What?
[00:46:28.122 --> 00:46:29.303]  We won all five.
[00:46:29.423 --> 00:46:29.583]  What?
[00:46:29.643 --> 00:46:33.264]  All of this noise and complaining and whining has come from the Trump campaign.
[00:46:33.684 --> 00:46:33.844]  Wow.
[00:46:33.884 --> 00:46:34.925]  He does it again.
[00:46:51.451 --> 00:46:53.612]  We won landslides in all five.
[00:46:53.732 --> 00:46:59.136]  Now there is a second component beyond the elections, which is the individual delegates are elected by the people.
[00:46:59.296 --> 00:47:03.178]  Donald Trump's campaign does not know how to organize on the grassroots.
[00:47:03.278 --> 00:47:14.745]  And so when the delegates are elected, conservative activists, real conservative activists, and they elect delegates, and we are winning those elections over and over and over again, the Donald Trump campaign doesn't know what they're doing.
[00:47:14.785 --> 00:47:15.585]  They don't show up.
[00:47:15.725 --> 00:47:16.546]  In Colorado,
[00:47:17.560 --> 00:47:23.044]  Okay, so they go and they claim, oh, you were all delegates from years ago.
[00:47:23.324 --> 00:47:24.044]  That's how it works.
[00:47:24.545 --> 00:47:33.030]  You show up, and there's just no election, and then they organize who they think has pledged to Cruz, and they claim he wins all 34 delegates.
[00:47:34.211 --> 00:47:35.652]  And he calls that a voter.
[00:47:35.712 --> 00:47:44.438]  This is the new, weird, again, alchemy, twisting, turned lead into gold baloney that they're engaged in.
[00:47:45.785 --> 00:47:55.033]  And then he goes into states where he wins the popular vote in Arizona and all these other places, Louisiana, Tennessee, and then takes them, Georgia.
[00:47:56.634 --> 00:48:02.179]  And then it turns out in many cases, the party's just claiming these superdelegates are representatives.
[00:48:02.199 --> 00:48:03.220]  They're just making it up.
[00:48:03.680 --> 00:48:04.861]  Lawsuits are being filed.
[00:48:06.782 --> 00:48:11.867]  And then, just like a lawyer would do, a fancy Goldman Sachs lawyer would do,
[00:48:14.605 --> 00:48:16.187]  I mean, I love New Yorkers.
[00:48:16.227 --> 00:48:16.947]  I love Northerners.
[00:48:17.208 --> 00:48:18.649]  I love real Americana Yankees.
[00:48:18.669 --> 00:48:24.635]  I don't like a bunch of foreigners move in and then say they don't like Donald Trump because he's not an American and then the person that wasn't even born here.
[00:48:24.655 --> 00:48:27.958]  Nothing against people that weren't born here, but folks bashing Donald Trump.
[00:48:28.499 --> 00:48:30.761]  But I'll tell you, you got somebody from Canada
[00:48:33.936 --> 00:48:39.057]  Talking about Donald Trump and New York values and bashing Donald Trump?
[00:48:39.497 --> 00:48:50.219]  The folks with New York values that he was talking about, slicksters, con artists like Goldman Sachs people like himself, they're the ones that voted for you, Cruz.
[00:48:52.480 --> 00:48:54.420]  That's where he got votes, was in Manhattan.
[00:48:56.201 --> 00:48:57.461]  The people, the farmers,
[00:48:59.813 --> 00:49:05.618]  The shop owners, the factory owners in the smaller towns in rural New York, they went basically 100% for Trump.
[00:49:06.379 --> 00:49:08.801]  Those are New York values and those are Texas values.
[00:49:10.503 --> 00:49:16.088]  It makes me sick to see somebody from Canada play the region card on the American people.
[00:49:17.193 --> 00:49:19.034]  Who are battling for this country's future.
[00:49:19.054 --> 00:49:20.436]  This country is at a death battle.
[00:49:20.976 --> 00:49:27.761]  And Americans have to come together now against the globalists, and the communist Chinese, and the Saudi Arabians, and everybody else lecturing us.
[00:49:28.522 --> 00:49:37.689]  And I don't want to hear any more of that Hillary Clinton bashing Southerners with her crud, or fake Southerners bashing Northerners.
[00:49:37.809 --> 00:49:39.431]  It's a load of bull.
[00:49:39.711 --> 00:49:43.454]  It's more balkanization, more race baiting, more garbage.
[00:49:46.547 --> 00:49:51.890]  Now, by the way, I've gotten to where when we have a special, I end it on the day we're going to end it, generally.
[00:49:51.910 --> 00:49:56.592]  And it's normal because we can only have a special so long because if something gets ready to sell out, we've got to hold something back.
[00:49:56.612 --> 00:50:00.974]  If you sign up for AutoShip, you get 10% off everything at InfoWareStore.com.
[00:50:00.994 --> 00:50:01.954]  You can cancel anytime.
[00:50:02.715 --> 00:50:04.335]  Set it for 15 days, 30 days, 60 days, 90 days, and out.
[00:50:06.854 --> 00:50:08.615]  Free shipping on orders of $50 and more.
[00:50:08.655 --> 00:50:09.536]  Inforestore.com.
[00:50:09.556 --> 00:50:15.740]  Whether it's t-shirts, books, videos, non-heirloom, non-GMO, high quality seeds, lowest price, huge selection.
[00:50:15.960 --> 00:50:17.201]  Probably one of the biggest selections out there.
[00:50:17.221 --> 00:50:18.142]  That's what we set out to do.
[00:50:18.942 --> 00:50:20.643]  Weldon and Tim are always adding more to it.
[00:50:20.883 --> 00:50:21.604]  Other great companies.
[00:50:22.124 --> 00:50:22.885]  But we're extending it.
[00:50:23.903 --> 00:50:27.727]  Maybe just a few more hours, because I need to hold some back and not just sell out of it before it gets here in a month.
[00:50:28.127 --> 00:50:29.488]  Brain Force, our top nootropic.
[00:50:29.749 --> 00:50:32.411]  We've got enough to keep going a few more hours at the sale.
[00:50:32.431 --> 00:50:33.212]  I'm going to hold some back.
[00:50:33.232 --> 00:50:34.053]  We'll go to regular price.
[00:50:34.073 --> 00:50:35.934]  45% off retail right now.
[00:50:36.495 --> 00:50:42.100]  Find out about L-Theanine, Alpha, GPC, and other key compounds it has with these upload.
[00:50:43.221 --> 00:50:46.684]  Assets that are patented to be able to really deliver to the brain.
[00:50:48.305 --> 00:50:49.266]  It's got a lot in it.
[00:50:49.386 --> 00:50:50.087]  Go check it out.
[00:50:50.427 --> 00:50:52.028]  And it's got vitamin B12 and a bunch of other things.
[00:50:52.068 --> 00:50:55.611]  Barcopa Herb Extract.
[00:50:56.772 --> 00:50:58.453]  It's got a bunch of other stuff I can't pronounce.
[00:50:58.613 --> 00:51:01.636]  But the top physicists, scientists, and chemists and folks have come up with this.
[00:51:01.676 --> 00:51:03.818]  And it's very popular on the third-party review sites.
[00:51:04.118 --> 00:51:04.858]  Five-star reviews.
[00:51:04.978 --> 00:51:05.459]  Infowars.
[00:51:05.759 --> 00:51:06.460]  Life.com.
[00:51:06.520 --> 00:51:07.621]  It is ending in a few hours.
[00:51:08.261 --> 00:51:09.142]  BrainForce available.
[00:51:11.204 --> 00:51:12.225]  Brain Force is here.
[00:51:12.745 --> 00:51:15.047]  Ladies and gentlemen, I've been on this the last few months.
[00:51:15.307 --> 00:51:23.112]  You've probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of Brain Force.
[00:51:23.891 --> 00:51:27.474]  One of the worst things with most energy products is it's not sustainable, right?
[00:51:27.494 --> 00:51:29.835]  You're gonna crash and gonna feel really bad afterwards.
[00:51:30.195 --> 00:51:33.718]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:51:33.758 --> 00:51:36.900]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:51:37.401 --> 00:51:42.204]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[00:51:42.744 --> 00:51:44.566]  For example, the L-Theanine inside of it.
[00:51:44.926 --> 00:51:49.349]  That is activated by the different compounds in the Yerba Mate that we put inside of it as well.
[00:51:49.509 --> 00:51:51.510]  This just increases the compounds you already have.
[00:51:52.131 --> 00:51:53.592]  This is what you're actually designed to run on.
[00:51:53.752 --> 00:51:53.992]  Exactly.
[00:51:54.012 --> 00:51:57.833]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[00:51:58.313 --> 00:52:06.296]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:52:11.098 --> 00:52:14.059]  A clean, toxic-free body is the foundation of true health.
[00:52:14.339 --> 00:52:23.921]  Introducing Deep Cleanze by InfoWarsLife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:52:24.221 --> 00:52:29.422]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:52:29.502 --> 00:52:38.364]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:52:38.624 --> 00:52:47.206]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:52:47.466 --> 00:52:54.368]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigerex herbal processing technique.
[00:52:54.508 --> 00:52:59.809]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you the best.
[00:53:00.069 --> 00:53:05.594]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[00:53:05.754 --> 00:53:08.837]  That's InfoWarsLife.com or call 888-253-3139.
[00:53:08.937 --> 00:53:14.001]  The globalist social engineers are not just targeting us with propaganda.
[00:53:14.182 --> 00:53:16.444]  They are manipulating our genetics.
[00:53:16.624 --> 00:53:24.871]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[00:53:25.251 --> 00:53:28.574]  The key is to be aware of this attack and to fight back against it.
[00:53:28.734 --> 00:53:39.223]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate, non-GMO, organic, super male vitality formula.
[00:53:39.403 --> 00:53:46.669]  Sourced from powerful organic herbs, harvested around the planet, and then concentrated for maximum potency.
[00:53:46.869 --> 00:53:48.751]  I've always believed in nutrition and herbs.
[00:53:49.091 --> 00:53:56.759]  Supermail Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[00:53:57.040 --> 00:54:03.226]  Supermail Vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:54:03.526 --> 00:54:10.454]  Visit InfoWarsLife.com today to secure your Supermail Vitality and other powerful products from InfoWars Life.
[00:54:40.013 --> 00:54:45.398]  Just slid back into the chair here a little bit late, almost a little bit late, because I was busy sending a tweet out.
[00:54:50.163 --> 00:54:57.209]  And I don't normally tweet at Drudge or tweet at Trump, but I really think there's been a missed opportunity here, partially.
[00:54:57.670 --> 00:55:01.373]  Drudge hasn't missed it, he linked to it yesterday and linked to it a few weeks ago in the first broker last week.
[00:55:01.994 --> 00:55:02.814]  Phyllis Lafley is
[00:55:04.642 --> 00:55:12.806]  A true intellectual woman, super smart, founded the modern conservative movement that tried to stop the globalist takeover, the whole Barry Goldwater deal.
[00:55:13.206 --> 00:55:14.246]  She's 91 years old.
[00:55:14.787 --> 00:55:18.188]  My grandmother's about to be 91, and she's sharper than my grandmother, who's still completely there.
[00:55:19.049 --> 00:55:26.672]  And there was a coup by Cruz operatives to take over her very powerful organization, Eagle Forum, because she supported Trump.
[00:55:26.932 --> 00:55:32.675]  They said that she was mentally ill, basically, and crazy, really, along with the majority of other Americans.
[00:55:35.290 --> 00:55:42.793]  Maybe the Republicans have a rule that Ted Cruz is allowed to take over the millions of the bank accounts and all the chapters and organizations of women and others in equal form around the country?
[00:55:43.433 --> 00:55:43.813]  Maybe so.
[00:55:44.634 --> 00:55:47.695]  Maybe that's the case.
[00:55:47.735 --> 00:55:55.158]  But I think, you know, routinely, Donald Trump tweets InfoWars.com videos and articles.
[00:55:59.568 --> 00:56:12.573]  I don't know, a lot of my thoughts get telegraphed over to Trump, and he resonates a lot, but I really think he should make an issue about Phyllis Schlafly, not just with conservatives, but everybody, about how Cruz tried to take over this lady's organization.
[00:56:15.011 --> 00:56:16.272]  So she's on with us in one hour.
[00:56:16.772 --> 00:56:17.873]  I should have added that earlier.
[00:56:18.354 --> 00:56:19.695]  She'll be joining us in the third hour.
[00:56:20.535 --> 00:56:23.557]  We have another informative guest joining us in the next segment.
[00:56:23.818 --> 00:56:26.099]  Stan Day, really an expert, predicted all of this.
[00:56:26.119 --> 00:56:35.727]  I don't have the staff to even go back when he was on last year and predicted that this year would be incredible earthquakes and more, but now you see that he's going to be joining us to talk about earth changes and more in the second hour.
[00:56:36.987 --> 00:56:39.589]  And then in the third hour, we've got David Knight always does a great job.
[00:56:39.830 --> 00:56:42.452]  He'll be honchoing and quarterbacking the operation.
[00:56:43.612 --> 00:56:47.874]  But Phyllis Schlafly is going to be on and I just tweeted it out.
[00:56:47.894 --> 00:56:53.617]  You can go to RealAlexJones and retweet that everybody with the link to Infowars.com forward slash show.
[00:56:54.938 --> 00:57:00.681]  So that everybody at the Eagle Forum that survived the coup, and everybody else can hopefully retweet this.
[00:57:00.741 --> 00:57:05.663]  And again, this tweet won't save the world, but I'm just getting better at actually trying to promote the show, which is growing.
[00:57:05.703 --> 00:57:10.986]  But if we just do a few other things, kind of like untying the boat from the dock when the motor's going, we'll go a little bit faster.
[00:57:11.866 --> 00:57:14.548]  And you, the listeners, really are the engine of this whole operation.
[00:57:14.588 --> 00:57:16.769]  So, InfoWars.com forward slash show.
[00:57:17.309 --> 00:57:18.430]  Send that link out to everybody.
[00:57:18.750 --> 00:57:20.371]  InfoWars.com forward slash newsletter.
[00:57:20.671 --> 00:57:22.252]  Put in your email if you want key alerts.
[00:57:23.895 --> 00:57:30.041]  I want to get into this whole rap video saying basically kill Donald Trump and the people on it
[00:57:42.867 --> 00:57:45.448]  Really look like they're proud of themselves and think they're doing well.
[00:57:46.029 --> 00:57:48.370]  There's a, there's a, there's a jolliness to it.
[00:57:48.990 --> 00:57:51.171]  Like, you know, Santa Claus talking about this stuff.
[00:57:51.772 --> 00:57:55.634]  Because it's like, hey, the mainstream media says it's okay to do and everybody jumps in on it.
[00:57:56.634 --> 00:58:04.078]  It reminds me of that, uh, you know, lighthearted video where folks are like, when looking for the leprechaun, they're like, everybody see the leprechaun?
[00:58:04.098 --> 00:58:05.119]  Say, yeah, yeah.
[00:58:05.139 --> 00:58:05.979]  It's like, it's fun.
[00:58:06.639 --> 00:58:08.040]  So there's this jolliness to it.
[00:58:08.060 --> 00:58:09.321]  That's what's so scary about it.
[00:58:10.367 --> 00:58:23.658]  Is that it's just, whether it's, you know, UT students or whether it's women or whether it's whoever it is, uh, you know, at a feminist meeting, they just really think it's the right thing to talk about killing people because you disagree with them.
[00:58:25.240 --> 00:58:27.922]  And the media and the Secret Service and everybody else just lets them do it.
[00:58:27.942 --> 00:58:30.004]  In fact, there's an article out today, Secret Service is overwhelmed.
[00:58:30.024 --> 00:58:31.125]  They can't even deal with all this.
[00:58:32.486 --> 00:58:34.247]  So, Donald Trump's pretty mild.
[00:58:34.287 --> 00:58:35.268]  He's just a nationalist.
[00:58:35.748 --> 00:58:37.590]  And he's got them so scared, folks.
[00:58:38.070 --> 00:58:38.551]  It's crazy.
[00:58:39.485 --> 00:58:40.906]  We'll be back with the second hour.
[00:58:40.926 --> 00:58:43.387]  If you're listening to us on AM and FM stations, oh, that's so important.
[00:58:43.707 --> 00:58:52.913]  Tell everybody, everybody at your work, you name it, lunch is coming up right now, to tune in to their lunch hour to this local affiliate you're listening to, or send out that link to infowars.com forward slash show.
[00:58:53.693 --> 00:58:54.674]  That's how we win the war.
[00:58:55.534 --> 00:58:58.736]  People power, grassroots, nothing can stop you.
[00:59:00.934 --> 00:59:01.934]  BrainForce is here.
[00:59:02.475 --> 00:59:04.756]  Ladies and gentlemen, I've been on this the last few months.
[00:59:05.016 --> 00:59:12.839]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of BrainForce.
[00:59:13.618 --> 00:59:17.201]  One of the worst things with most energy products, this is not sustainable, right?
[00:59:17.221 --> 00:59:19.562]  You're gonna crash and gonna feel really bad afterwards.
[00:59:19.922 --> 00:59:23.445]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:59:23.485 --> 00:59:26.627]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:59:27.128 --> 00:59:31.931]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[00:59:32.451 --> 00:59:34.293]  For example, the L-theanine inside of it.
[00:59:34.633 --> 00:59:39.056]  That is activated by the different compounds in the yerba mate that we put inside of it as well.
[00:59:39.236 --> 00:59:41.237]  This just increases the compounds you already have.
[00:59:41.858 --> 00:59:43.319]  This is what you're actually designed to run on.
[00:59:43.479 --> 00:59:47.562]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[00:59:48.042 --> 00:59:56.227]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:59:56.267 --> 00:59:59.129]  You're listening to the Alex Jones Show!
[01:00:11.840 --> 01:00:16.882]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[01:00:17.262 --> 01:00:19.583]  Because there's a war on for your mind.
[01:00:22.524 --> 01:00:25.565]  Phyllis Schlafly mugged by the cruise operatives.
[01:00:25.945 --> 01:00:27.526]  Unsuccessfully, they kind of hit her on the head.
[01:00:27.646 --> 01:00:28.746]  Got the purse away for a minute.
[01:00:28.986 --> 01:00:30.727]  Bystanders tackled him, got the purse back.
[01:00:30.747 --> 01:00:33.528]  I mean, that's by allegory of them trying to take over the Eagle for him.
[01:00:35.526 --> 01:00:38.210]  She's gonna be joining us, popping in in the third hour today.
[01:00:38.570 --> 01:00:41.774]  We have Stan Dale and huge Earth changes coming up in the next segment.
[01:00:41.794 --> 01:00:46.340]  I mean, I really cannot stress to you enough that you know I don't really cover Earth changes, though I follow them.
[01:00:46.721 --> 01:00:49.765]  I never get into the Planet X, or I never get into all this stuff, but man...
[01:00:50.906 --> 01:01:02.657]  Now, all crazy, it's like, National Geographic, there is a giant Kuiper belt gas giant the size of Jupiter, you know, coming in and earthquakes and record levels and just, it's crazy.
[01:01:02.917 --> 01:01:03.738]  I don't know what's going on.
[01:01:04.058 --> 01:01:06.400]  But I know Stan Day up predicted on the show last year.
[01:01:06.420 --> 01:01:07.941]  Can we look up the date when he was here?
[01:01:07.961 --> 01:01:10.844]  Because I mean, I guess I never even asked you guys to do this.
[01:01:10.884 --> 01:01:14.667]  We could go find where he said next year is going to be just the most, you know, tectonic ever.
[01:01:14.727 --> 01:01:17.390]  And back then, California was
[01:01:18.854 --> 01:01:19.294]  That's right.
[01:01:36.581 --> 01:01:54.065]  But it's back in the news today, and I really want to do a piece where I look at Mono, I mean Bono, and when I look at George Clooney and all these guys, because I've talked to a lot of big insiders in Hollywood, and I've actually been at parties before where some of these people have been there, and I mean exclusive parties where there's like 60 people, 20 people.
[01:01:55.885 --> 01:02:04.967]  And they are the most insulated, fake, intellectual, know-it-alls, pampered, but on a very short leash from the producers.
[01:02:07.509 --> 01:02:14.152]  And I don't want to bash people like Matt Damon and George Clooney and Alec Baldwin.
[01:02:14.613 --> 01:02:19.135]  It's been very useful to me to quote Kim Jong-il in Team America.
[01:02:20.035 --> 01:02:23.737]  But what shocked me the last few years was talking to people and they go, no, no, no.
[01:02:24.217 --> 01:02:25.738]  With Clooney, it's all an act.
[01:02:26.518 --> 01:02:28.139]  And with Matt Damon, it's all an act.
[01:02:28.299 --> 01:02:30.440]  And with Ben Affleck, it's all an act.
[01:02:31.301 --> 01:02:34.082]  And that behind the scenes, there's other big stars that told me this.
[01:02:34.442 --> 01:02:36.063]  They literally know about everything.
[01:02:37.199 --> 01:02:37.639]  I don't know.
[01:02:59.571 --> 01:03:11.234]  But instead, these guys know about everything and have decided, Leonardo DiCaprio, you name it, to wallow with the establishment when they know it's all a giant fraud just for their careers.
[01:03:11.474 --> 01:03:18.636]  People go, well yeah, that's how you climb ladders, that's how you brown nose, and I guess that's the separation right there.
[01:03:19.857 --> 01:03:27.979]  I'd rather go out and create my own media system and make films that are seen hundreds of millions of times and really interface with humanity and have a future for my progeny
[01:03:29.175 --> 01:03:33.303]  Then just fly around in helicopters and have these weird, neurotic, anorexic lives.
[01:03:33.703 --> 01:03:34.906]  I've been out in LA a lot, folks.
[01:03:35.928 --> 01:03:37.070]  They are so depressed.
[01:03:37.170 --> 01:03:38.052]  It's horrible.
[01:03:38.893 --> 01:03:39.354]  It's horrible.
[01:03:41.971 --> 01:03:44.814]  But again, they're just actors who play the part for the producers.
[01:03:44.934 --> 01:03:52.440]  And so you have people like Chris Carter, who's a listener, and says he likes my work, and the world government's a threat, and I haven't gone out to meet him yet, and he says he wants to, and I want to too.
[01:03:52.901 --> 01:03:59.407]  But see, I'm kind of at that level where, and I'm not bragging, I'm just saying, being a liberty lover, see, is I'm not down there as an actor like one of these people.
[01:04:00.592 --> 01:04:05.874]  Who just gets up there and I guess acts again like they, you know, want a carbon tax to save the Earth and the polar bears.
[01:04:05.894 --> 01:04:07.115]  I really care about humanity.
[01:04:07.475 --> 01:04:12.677]  And so the good news is I'm interfacing with the producers and the people that these folks like George Clooney work for.
[01:04:14.357 --> 01:04:22.240]  That's why George Clooney wants to be a director and a producer and has other people basically make his films and then, you know, he can be like the big wig and pretend he has a brain.
[01:04:22.580 --> 01:04:24.061]  But the truth is he does have a brain.
[01:04:24.361 --> 01:04:25.201]  That's what's scary.
[01:04:27.022 --> 01:04:28.843]  These guys all know about this stuff.
[01:04:30.310 --> 01:04:38.995]  Brad Pitt has seen my films, he has seen the late great Aaron Russo's film, and what does he do?
[01:04:39.035 --> 01:04:44.478]  He goes and grovels to the UN, and his wife goes and joins it, and the CFR.
[01:04:48.280 --> 01:04:52.802]  I mean like 10 years ago, or 11, 12 years ago, oh Brad Pitt's waking up, oh really cool, oh yeah.
[01:04:54.663 --> 01:04:59.046]  Have these interactions, I'm not gonna even get into it, it doesn't even matter, it's so stupid.
[01:05:00.182 --> 01:05:03.384]  I mean, I'm not into Billy Corgan because he's a big rock star or whatever.
[01:05:03.484 --> 01:05:08.307]  I'm into it because he's informed and knows what's going on and has the courage to speak out when they try to penalize him.
[01:05:08.367 --> 01:05:09.688]  It's not about worshipping celebrity.
[01:05:10.548 --> 01:05:19.553]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[01:05:19.633 --> 01:05:27.738]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[01:05:28.038 --> 01:05:32.720]  We have now managed to secure these sought-after beans in a highly customized blend.
[01:05:32.901 --> 01:05:39.624]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[01:05:39.704 --> 01:05:46.787]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[01:05:46.888 --> 01:05:53.731]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[01:05:53.911 --> 01:05:58.272]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[01:05:58.372 --> 01:06:01.633]  Available in original or with our immune support infusion blend.
[01:06:01.773 --> 01:06:07.895]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[01:06:08.075 --> 01:06:10.295]  Available at InfoWarsLife.com.
[01:06:10.515 --> 01:06:12.056]  My name is Alex Jones.
[01:06:12.436 --> 01:06:18.357]  Most of you know me from my syndicated radio program and my documentary films, as well as InfoWars Nightly News.
[01:06:18.577 --> 01:06:19.738]  When I got on air 20 years ago,
[01:06:21.138 --> 01:06:35.289]  I had discovered the Globalist program, their plan to take over the world, and my focus went from running six miles every other day, swimming two, three miles a couple times a week, and lifting weights, to focusing on fighting the Globalists.
[01:06:35.669 --> 01:06:39.772]  I've gone from 279 pounds all the way down to 235 pounds, and the weight's going off even faster.
[01:06:43.695 --> 01:06:50.841]  And it wasn't just that my weight loss accelerated, my muscle mass increased, my stamina, my energy levels exploded.
[01:06:51.101 --> 01:06:56.846]  Super Male has the key concentrated natural compounds that my body needed to go to the next level.
[01:06:56.966 --> 01:07:03.151]  Today is the day to take the InfoWarsLife.com challenge and to secure your bottle of Super Male or Super Female Vitality.
