[00:00:23.038 --> 00:00:29.301]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:27:39.022 --> 00:27:39.883]  It's top trends.
[00:27:40.263 --> 00:27:41.404]  They create fake trends.
[00:27:42.824 --> 00:27:50.149]  But see, true patriots, beyond conservatism, just pro-humans, renaissance folks, come out and we dominate Facebook.
[00:27:51.309 --> 00:27:51.649]  And so?
[00:27:53.130 --> 00:27:55.332]  Oh, we're getting every video on Facebook a million views.
[00:27:55.472 --> 00:27:57.513]  Oh, they just put a deal on there where we can't share a video.
[00:27:59.804 --> 00:28:04.027]  And then have Facebook people reach out to us and say, stop doing this and we'll let your stuff get spread.
[00:28:04.067 --> 00:28:09.930]  See, and I respond, okay, this is an off the record meeting, but I'm going to go and say that you did this.
[00:28:09.950 --> 00:28:11.311]  I'm not going to say who did it, but you know.
[00:28:12.312 --> 00:28:18.896]  Meanwhile, Beck gets invited to meet with Zuckerberg and then grovels before him.
[00:28:20.137 --> 00:28:22.838]  So that's why this is so, so painful.
[00:28:22.898 --> 00:28:27.141]  See, Beck was only given his radio show with no ratings and put up there by Clear Channel.
[00:28:28.308 --> 00:28:30.269]  Government-sponsored, government-funded, government-run.
[00:28:30.849 --> 00:28:31.929]  Beck is the government.
[00:28:32.110 --> 00:28:33.250]  Beck is the Democratic Party.
[00:28:33.790 --> 00:28:36.131]  Beck has always been Zuckerberg's buddy.
[00:28:36.871 --> 00:28:39.412]  They've always been this snickering, evil team.
[00:28:40.913 --> 00:28:44.314]  He is a narcissistic, power-mad satanist, in my view.
[00:28:45.615 --> 00:28:49.577]  And I don't mean he gets around black holders at night, but he's all about himself and his little power.
[00:28:49.597 --> 00:28:50.117]  You can see him.
[00:28:50.137 --> 00:28:51.177]  He's so weak.
[00:28:52.018 --> 00:28:54.218]  He's just incredible.
[00:28:55.499 --> 00:28:56.259]  Preying on people.
[00:28:56.279 --> 00:28:57.820]  I mean, the guy is literally
[00:28:59.689 --> 00:29:00.430]  Such a predator.
[00:29:00.630 --> 00:29:04.033]  I mean, he looks like a serial killer.
[00:29:04.073 --> 00:29:05.554]  My cells cry out against him.
[00:29:05.614 --> 00:29:08.336]  He is a counterfeit.
[00:29:09.657 --> 00:29:15.602]  Prepping for disaster and societal unrest has now gone so mainstream that even Realtor.com is writing about it.
[00:29:15.722 --> 00:29:24.870]  But the Realtors are still embarrassed to cover the subject and eager to set themselves apart from what they call Uncle Travis' guns and canned foods militia vision of preparedness.
[00:29:24.990 --> 00:29:27.332]  Well, the ants may have the last laugh
[00:29:27.532 --> 00:29:28.512]  On the grasshoppers.
[00:29:28.693 --> 00:29:31.754]  But the grasshoppers will still sing the tune if they can make money.
[00:29:31.954 --> 00:29:38.497]  But maybe you don't have a Hollywood mansion where you can drop another million dollars to turn your home theater into a radiation-proof bunker.
[00:29:38.637 --> 00:29:42.879]  There are still very effective, low-tech, low-cost things you can do to prepare.
[00:29:43.119 --> 00:29:50.562]  In fact, even realizing that there's a need to prepare and doing anything to act on that realization increases your chances of survival.
[00:29:50.922 --> 00:29:56.985]  Things that you do to prepare for an Armageddon scenario will help you to weather storms, to absorb an economic shock,
[00:29:57.245 --> 00:29:59.006]  Or to protect you from home invasion.
[00:29:59.367 --> 00:30:05.130]  Prepare for the worst case scenario while you educate yourself and others and work for the best case scenario.
[00:30:05.351 --> 00:30:07.752]  Get more information at InfoWars.com.
[00:30:08.232 --> 00:30:08.773]  I'm David Knight.
[00:30:17.634 --> 00:30:22.417]  Alex Jones here with a very important news update to anybody out there that wants to be prepared.
[00:30:23.097 --> 00:30:24.678]  But it goes beyond being prepared.
[00:30:25.078 --> 00:30:30.061]  Our bodies absolutely must have the good halogen iodine or we will die.
[00:30:30.421 --> 00:30:35.865]  And you look at all of the thyroid problems and all the people that don't have energy and that have all sorts of hormone problems.
[00:30:36.265 --> 00:30:42.849]  And from my research and a lot of just mainline research, it leads back to iodine over and over and over again.
[00:30:43.509 --> 00:30:44.650]  It's as important as vitamin C.
[00:30:45.490 --> 00:30:47.451]  If you don't get iodine, you die.
[00:30:47.772 --> 00:30:50.713]  But most people are just efficient, so they're low-energy, they're sick.
[00:30:51.154 --> 00:30:54.776]  You gotta have iodine in your body so that your body can produce the hormones you need.
[00:30:54.956 --> 00:30:57.538]  It is the base to so many things.
[00:30:57.578 --> 00:31:09.926]  And since I got into iodine four years ago, we've helped change the entire paradigm by developing and bringing to the public deep-earth crystals from 7,000 to 12,000 feet of the purest iodine available.
[00:31:10.146 --> 00:31:15.250]  Other iodine comes from the ocean, or from other byproducts of chemical facilities, and it's tainted.
[00:31:15.370 --> 00:31:16.711]  It's bound.
[00:31:16.771 --> 00:31:17.992]  It's not absorbable.
[00:31:18.412 --> 00:31:18.832]  I tried it.
[00:31:19.413 --> 00:31:22.975]  And I had incredible effects, even with dirty iodine, because the body needs it.
[00:31:23.195 --> 00:31:28.099]  When you don't have iodine, it absorbs the chlorine, the fluoride, and all these other bad halogens.
[00:31:28.439 --> 00:31:32.182]  It's such a game changer if you'll just research iodine for yourself.
[00:31:32.342 --> 00:31:44.431]  It's a fact that the federal government in the Midwest back in the 20s mandated a grungier form of iodine to the salt because people had low IQs, they had huge goiters, major problems directly connected to it.
[00:31:44.591 --> 00:31:47.134]  There are some studies that show a 15 point increase.
[00:31:47.254 --> 00:31:48.255]  Others show even higher.
[00:31:48.435 --> 00:32:01.868]  But it really is crazy to realize that this is something that is so deficient in our food chain, so deficient in our played out fields where different crops are being grown, but the federal government isn't educating people and telling them about it.
[00:32:02.068 --> 00:32:13.610]  That's why, for a limited time, I want to encourage everyone to go to Infowarslife.com and get 20% off on the best nascent iodine out there from our research, Truly Pure Survival Shield X2.
[00:32:13.850 --> 00:32:16.471]  Again, that's Survival Shield Nascent Iodine X2.
[00:32:16.711 --> 00:32:19.671]  Thank you for joining us in this brief news update.
[00:32:20.071 --> 00:32:24.952]  Do yourself and your family a favor and check out the importance of iodine for yourself.
[00:32:25.052 --> 00:32:26.192]  I think you're going to be blown away.
[00:32:26.353 --> 00:32:28.933]  And whatever you do, support the broadcast and get a bottle.
[00:32:29.093 --> 00:32:30.274]  I don't think so.
[00:32:51.937 --> 00:32:54.579]  You've got to have vitamin C. You've got to have iodine to live.
[00:32:54.599 --> 00:32:55.640]  You've got to have water to live.
[00:32:55.940 --> 00:32:56.680]  Iodine is key.
[00:32:56.700 --> 00:32:57.321]  You must have it.
[00:32:57.681 --> 00:33:05.226]  But consult your physician first before you get powerful survival shield niacin iodine, X2, at Infowarslife.com or call toll free.
[00:33:05.246 --> 00:33:06.107]  We can answer your questions.
[00:33:06.127 --> 00:33:06.487]  888-253-3139.
[00:33:06.527 --> 00:33:07.728]  You're listening to the Alex Jones Show.
[00:33:30.934 --> 00:33:33.075]  Waging war on corruption.
[00:33:33.536 --> 00:33:36.597]  It's Alex Jones.
[00:33:37.938 --> 00:33:41.100]  Tucker Carlson's father was the head of Voice of America.
[00:33:42.060 --> 00:33:46.823]  Comes from a very old, prestigious American family.
[00:33:46.863 --> 00:33:50.945]  That's why he was invited to the Zuckerberg Summit.
[00:33:52.859 --> 00:34:00.705]  But, he understands what's happening, and he understands his viewers aren't going to support him either, if he goes along with the New World Order.
[00:34:01.586 --> 00:34:14.236]  For whatever reason, Tucker Carlson has a soul, and came out, even though he had to sign a non-disclosure agreement, and said that Glenn Beck groveled on his knees, basically, there at that private meeting with Zuckerberg.
[00:34:14.256 --> 00:34:17.419]  We're going to play the clip in a moment, we're getting him on this week.
[00:34:18.900 --> 00:34:20.020]  And I really like Tucker Carlson.
[00:34:20.060 --> 00:34:21.461]  I met him in person.
[00:34:25.322 --> 00:34:28.603]  Now that there's more opposition to the New World Order, he's really coming along.
[00:34:29.624 --> 00:34:30.504]  I'm not territorial.
[00:34:31.544 --> 00:34:35.726]  I want to see people dominate and take action against the globalists.
[00:34:35.786 --> 00:34:36.386]  I want to defeat them.
[00:34:37.906 --> 00:34:42.428]  So if somebody was not 100% in the past, but they're getting closer to it today, I would love it.
[00:34:43.108 --> 00:34:46.149]  Rush Limbaugh, deep down, he's a good guy.
[00:34:46.169 --> 00:34:46.789]  He's a patriot.
[00:34:46.829 --> 00:34:47.810]  Sean Hannity, same deal.
[00:34:49.132 --> 00:34:50.393]  Michael Savage coming on this week.
[00:34:50.493 --> 00:34:51.153]  Great guy.
[00:34:51.173 --> 00:34:54.555]  None of us are perfect.
[00:34:54.855 --> 00:34:56.095]  But they care about America.
[00:34:56.135 --> 00:34:57.156]  They care about humanity.
[00:34:57.516 --> 00:34:58.657]  They really like free market.
[00:34:58.677 --> 00:34:59.357]  They like prosperity.
[00:34:59.377 --> 00:35:00.057]  It's like Donald Trump.
[00:35:00.317 --> 00:35:01.958]  He just doesn't have it out for America.
[00:35:03.519 --> 00:35:04.439]  He likes prosperity.
[00:35:06.440 --> 00:35:07.361]  He cares about people.
[00:35:09.542 --> 00:35:11.522]  And you can read that and pick that up from them.
[00:35:13.103 --> 00:35:14.084]  You look at the globalists, man.
[00:35:14.124 --> 00:35:15.684]  They want you poor under their control.
[00:35:15.724 --> 00:35:16.845]  They want to dominate you.
[00:35:19.005 --> 00:35:20.186]  And that's why Beck's so bad.
[00:35:20.246 --> 00:35:25.188]  I mean, going to this meeting to be the front guy to try to sell conservatives, everything's okay.
[00:35:26.108 --> 00:35:28.169]  Let Zuckerberg block these right-wingers.
[00:35:28.189 --> 00:35:28.849]  He actually came out.
[00:35:29.269 --> 00:35:35.772]  Type in Glenn Beck, Zuckerberg, Glenn Beck, Facebook meeting, and he's all over putting articles out saying, yeah, there are bad people on Facebook.
[00:35:35.792 --> 00:35:36.633]  They're doing their job.
[00:35:36.673 --> 00:35:37.433]  They're not censoring.
[00:35:37.453 --> 00:35:38.193]  They're good liberals.
[00:35:39.454 --> 00:35:41.775]  So they'll then force-feed him to everybody?
[00:35:41.795 --> 00:35:46.637]  I mean, that's his business plan?
[00:35:48.561 --> 00:35:50.042]  The Globalists are all about betrayal.
[00:35:50.082 --> 00:35:51.424]  They're going to betray Beck.
[00:35:52.244 --> 00:35:53.385]  Beck betrayed himself.
[00:35:55.107 --> 00:35:56.608]  So again, this isn't about Glenn Beck.
[00:35:56.628 --> 00:35:58.450]  People are like, Glenn Beck who?
[00:35:59.130 --> 00:35:59.611]  I get that.
[00:36:01.853 --> 00:36:06.417]  But I'm talking about him because his office used Judas Iscariot.
[00:36:07.778 --> 00:36:08.839]  The 30 pieces of silver.
[00:36:10.280 --> 00:36:14.384]  And when he finally figures that out, whether it's this year or next year or the next,
[00:36:17.762 --> 00:36:19.284]  Is he gonna go out there and hang himself?
[00:36:21.306 --> 00:36:23.489]  On the side of a hill and cut his guts open?
[00:36:25.580 --> 00:36:26.180]  I don't think so.
[00:36:27.080 --> 00:36:28.381]  He's worse than Judas Iscariot.
[00:36:29.241 --> 00:36:55.027]  I mean, this is the guy that claims he ran our movement and was this priest of all this stuff, and he's hanging around with Zuckerberg, who is an admitted Bilderberg attendee and an admitted globalist, pushing Black Lives Matter, anti-family agenda, got Obama into office, is gaming the internet, taking over the web, and is the number one contributor to Hillary, and then we're going to see this creature
[00:36:56.741 --> 00:37:01.164]  Manifest in front of us and tell us that he's our leader.
[00:37:05.207 --> 00:37:05.987]  That's disgusting.
[00:37:06.227 --> 00:37:16.654]  I mean, we have seen persecution of Christians, libertarians, conservatives, veterans, returning veterans, gun groups, by the IRS, by the tens of thousands.
[00:37:16.795 --> 00:37:19.176]  Arrest, persecutions, bank accounts taken.
[00:37:19.737 --> 00:37:23.019]  And MSNBC goes on TV, I've played the clips, you've heard them, and says,
[00:37:24.502 --> 00:37:25.744]  Yeah, the Tea Party's racist.
[00:37:25.764 --> 00:37:26.725]  They deserve to be arrested.
[00:37:28.668 --> 00:37:39.863]  These soft, taxpayer-funded weirdos sit up there and, like, get a thrill out of, oh, we're gonna arrest our opposition.
[00:37:40.144 --> 00:37:41.526]  They don't even put thought into that.
[00:37:46.923 --> 00:37:50.884]  These journalists don't even have the instinct when they sit up there and smirk on CNN.
[00:37:50.904 --> 00:37:56.945]  Dinesh D'Souza just finished his nine-month prison sentence for trying to give money in a campaign to a Senate friend.
[00:37:58.345 --> 00:37:59.605]  Didn't just fill out some paperwork.
[00:38:00.506 --> 00:38:06.387]  While Hillary gets money from dictators and a hundred million dollars from Gulf Emirates sheiks that keep women as slaves.
[00:38:10.868 --> 00:38:12.648]  There's an article out from the Wall Street Journal
[00:38:13.936 --> 00:38:17.399]  Former White House reporter, media happy to be managed by Obama.
[00:38:17.439 --> 00:38:22.944]  It's the former top writer, one of the editors at the USA Today, Richard Benedito.
[00:38:26.387 --> 00:38:28.369]  And he says, you know, they want to lie.
[00:38:28.509 --> 00:38:31.552]  You get in these meetings and it's like, how do we grovel more?
[00:38:31.632 --> 00:38:32.433]  How do we deceive?
[00:38:33.914 --> 00:38:34.615]  It's like Gruber.
[00:38:36.638 --> 00:38:49.167]  Remember when all those dozens of videos came out of him sitting around on C-SPAN with the professors, going, this is how we lie to people, and everyone fawning about, you wrote the deception, you lied, you doubled the taxes, oh, oh!
[00:38:49.187 --> 00:38:52.109]  They were just like, oh, wonderful, teach us how to lie.
[00:38:54.711 --> 00:39:04.058]  They're just totally sold-out sociopaths and psychopaths and minions that just hop around going, gee, how do I climb the ladder?
[00:39:07.830 --> 00:39:13.912]  Carlson wrote notes of what Beck did in this two-hour meeting, and it was just fawning, groveling.
[00:39:16.413 --> 00:39:17.913]  Colt wanted to be his man-child.
[00:39:21.354 --> 00:39:36.319]  But then Carlson, because of the non-disclosure, says, well, the guy that won't be named, you know, the guy that... See, the crazy part was, days after he did this, Beck put it all on himself and came out and said, yeah, we gotta control dangerous right-wingers, yeah, we need to censor people, yeah, these are good liberals, we need to work with Facebook.
[00:39:40.674 --> 00:39:44.996]  Tucker Carlson, Glenn Beck acted like he was auditioning to be Zuckerberg's manservant.
[00:39:47.957 --> 00:39:50.879]  He doesn't even have the good sense to not go to a meeting like that.
[00:39:51.639 --> 00:39:55.041]  Or if he does, he then prostrates himself before it.
[00:39:58.302 --> 00:40:07.427]  And world governments out in the open, global carbon taxes that everybody's exempt except Europe and the US and Canada, we're openly being screwed over.
[00:40:08.217 --> 00:40:09.397]  They're openly being dumbed down.
[00:40:09.557 --> 00:40:10.818]  They're openly getting rid of cash.
[00:40:10.838 --> 00:40:12.478]  They're openly announcing all this tyranny.
[00:40:16.099 --> 00:40:21.580]  And they've just got all these legions of people that are such followers.
[00:40:21.620 --> 00:40:24.040]  They all just gang up because they're so weak.
[00:40:25.041 --> 00:40:33.342]  But that's why they want to shut down Infowars and talk radio and Matt Drudge and everybody else because we just don't have it out for humanity.
[00:40:34.903 --> 00:40:36.703]  We just can't sleep at night if we lie to you.
[00:40:38.015 --> 00:40:39.476]  We just can't be traitors.
[00:40:43.377 --> 00:40:47.980]  And it's not like we're just against being taken over by some new better system.
[00:40:48.040 --> 00:40:51.421]  The globalists are horrible anti-humans.
[00:40:52.121 --> 00:41:01.766]  It's a society of psychopaths and their sociopath followers and their mercenary followers and their, then below that, just servants looking for power.
[00:41:03.107 --> 00:41:06.088]  Like moths to flame, they're attracted to Lucifer's light.
[00:41:10.891 --> 00:41:13.413]  I've got all this news I'm going to cover when we come back and play some clips.
[00:41:13.513 --> 00:41:16.916]  It's just really wild to see this and it's saddening.
[00:41:18.017 --> 00:41:19.899]  And I really think, is humanity that weak?
[00:41:19.959 --> 00:41:25.003]  Are we that broke back that we can't see what they've done to us and what they want to do to us?
[00:41:26.604 --> 00:41:34.071]  And they really have all these quote liberals that want to arrest conservatives and put us in jail and shut us up and
[00:41:35.313 --> 00:41:37.895]  Shut down websites and just all of this.
[00:41:37.975 --> 00:41:41.137]  It's like, wow, you really are evil!
[00:41:43.839 --> 00:41:46.341]  But they were never brought up with any culture or any spirit.
[00:41:46.921 --> 00:41:57.769]  They were set in front of television sets and brought up in peer pressure and taught to be fearful and cowardly to the point of they were so desperate and so scared they would join anything that invited them to have a seat at the table.
[00:41:58.509 --> 00:42:01.011]  Even if it was a seat at a banquet where they're the main dish.
[00:42:04.295 --> 00:42:05.156]  And they don't have souls.
[00:42:07.077 --> 00:42:07.558]  They're gone.
[00:42:08.759 --> 00:42:10.600]  They've turned themselves over to great delusion.
[00:42:10.640 --> 00:42:22.190]  They are just empty, shark-toothed, little piggy-eyed people that just boil around in their own delusion.
[00:42:24.171 --> 00:42:28.135]  And they don't even want the birthright of true consciousness and honor.
[00:42:31.517 --> 00:42:32.098]  It's very sad.
[00:42:34.502 --> 00:42:38.263]  And I just thank God every minute that we still have free will and consciousness, at least some of us.
[00:42:39.783 --> 00:42:51.406]  And we know this planet is a beautiful place with a lot of great history, but the thing trying to control it is not the universe and is not God and has always tried to dominate humanity and life and has always failed in the end.
[00:42:53.327 --> 00:42:54.767]  And that really is the good news.
[00:42:54.787 --> 00:42:55.327]  They're going to fail.
[00:42:55.347 --> 00:42:56.728]  We're going to play the Tucker Carlson clip and come back.
[00:42:56.768 --> 00:42:59.428]  Then I'll get into all the 2016 news, economic news.
[00:42:59.648 --> 00:43:00.228]  There's a lot of it.
[00:43:00.609 --> 00:43:01.529]  Infowars.com.
[00:43:01.549 --> 00:43:01.949]  Stay with us.
[00:43:10.316 --> 00:43:12.318]  My friends, listen up and listen up good.
[00:43:12.498 --> 00:43:21.584]  For the next 48 hours, this Friday through Sunday, we are offering 50% off the best-selling Hillary for President shirts and Molon Lave shirts.
[00:43:21.604 --> 00:43:27.169]  Hillary for President shirt that's sending shockwaves to the media, patriots are meeting like-minded people.
[00:43:27.269 --> 00:43:27.809]  It's amazing.
[00:43:27.889 --> 00:43:30.231]  And because I want to see even more of these shirts out there, 50% off, $9.99.
[00:43:32.012 --> 00:43:32.493]  We're good.
[00:43:47.353 --> 00:43:48.414]  And this special will end.
[00:43:48.514 --> 00:43:49.454]  But here's the key.
[00:43:49.635 --> 00:44:02.483]  You've got to go to InfoWars.com forward slash newsletter and sign up for our free newsletter and we will send you the promo code directly to your email at checkout to get these t-shirts, one or both, for 50% off.
[00:44:02.683 --> 00:44:07.046]  InfoWarsStore.com at InfoWars.com forward slash newsletter.
[00:44:07.266 --> 00:44:09.948]  Sign up and get 50% off with the promo code.
[00:44:10.188 --> 00:44:11.549]  Clean, pure drinking water.
[00:44:11.829 --> 00:44:13.129]  You can't survive without it.
[00:44:13.329 --> 00:44:14.230]  But where do you get it?
[00:44:14.530 --> 00:44:20.292]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:44:20.512 --> 00:44:26.234]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:44:26.434 --> 00:44:43.284]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:44:43.684 --> 00:44:45.806]  Filter capacity up to 5,000 gallons.
[00:44:46.166 --> 00:44:47.367]  Stainless steel construction.
[00:44:47.647 --> 00:44:48.408]  Easy assembly.
[00:44:48.668 --> 00:44:49.309]  Low maintenance.
[00:44:49.589 --> 00:44:51.411]  Replacement filters are simple to install.
[00:44:51.691 --> 00:44:58.797]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off the retail price and get free shipping.
[00:44:58.977 --> 00:45:03.280]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[00:45:04.141 --> 00:45:08.446]  Go to InfoWarsStore.com or call 888-253-3139.
[00:45:09.827 --> 00:45:11.208]  Clean, pure drinking water.
[00:45:11.489 --> 00:45:12.790]  You can't survive without it.
[00:45:12.970 --> 00:45:13.871]  But where do you get it?
[00:45:14.192 --> 00:45:19.958]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:45:20.158 --> 00:45:25.884]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:45:26.064 --> 00:45:42.946]  Pairing the unprecedented superfiltration power of an all-new gravity block core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:45:43.326 --> 00:45:45.447]  Filter capacity up to 5,000 gallons.
[00:45:45.807 --> 00:45:47.007]  Stainless steel construction.
[00:45:47.287 --> 00:45:48.067]  Easy assembly.
[00:45:48.308 --> 00:45:48.948]  Low maintenance.
[00:45:49.228 --> 00:45:51.048]  Replacement filters are simple to install.
[00:45:51.328 --> 00:45:58.471]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off a retail price and get free shipping.
[00:45:58.611 --> 00:46:03.612]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[00:46:03.792 --> 00:46:06.373]  Go to InfowarsStore.com or call 888-253-3139.
[00:46:09.454 --> 00:46:15.398]  Prepping for disaster and societal unrest has now gone so mainstream that even Realtor.com is writing about it.
[00:46:15.518 --> 00:46:24.665]  But the Realtors are still embarrassed to cover the subject and eager to set themselves apart from what they call Uncle Travis' guns and canned foods militia vision of preparedness.
[00:46:24.785 --> 00:46:27.127]  Well, the ants may have the last laugh
[00:46:27.347 --> 00:46:28.367]  On the grasshoppers.
[00:46:28.528 --> 00:46:31.569]  But the grasshoppers will still sing the tune if they can make money.
[00:46:31.749 --> 00:46:38.292]  But maybe you don't have a Hollywood mansion where you can drop another million dollars to turn your home theater into a radiation-proof bunker.
[00:46:38.452 --> 00:46:42.674]  There are still very effective, low-tech, low-cost things you can do to prepare.
[00:46:42.934 --> 00:46:50.397]  In fact, even realizing that there's a need to prepare and doing anything to act on that realization increases your chances of survival.
[00:46:50.717 --> 00:46:56.780]  Things that you do to prepare for an Armageddon scenario will help you to weather storms, to absorb an economic shock,
[00:46:57.060 --> 00:46:58.781]  Or to protect you from home invasion.
[00:46:59.161 --> 00:47:04.923]  Prepare for the worst case scenario while you educate yourself and others and work for the best case scenario.
[00:47:05.143 --> 00:47:07.544]  Get more information at InfoWars.com.
[00:47:08.025 --> 00:47:08.605]  I'm David Knight.
[00:47:13.287 --> 00:47:15.928]  You're listening to the Alex Jones Show.
[00:47:26.283 --> 00:47:31.847]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
[00:47:32.327 --> 00:47:34.929]  You're listening to the Alex Jones Show!
[00:47:34.949 --> 00:47:38.131]  If you study,
[00:47:56.812 --> 00:48:03.414]  The trajectory of the global controller's system.
[00:48:05.195 --> 00:48:10.277]  You realize that it's taking us into a nightmare.
[00:48:11.978 --> 00:48:15.419]  And every fiber of your being resists it.
[00:48:18.120 --> 00:48:25.603]  Then you can see on its face, prima facie, that it's bad for you and bad for your family.
[00:48:26.636 --> 00:48:46.847]  And I see all these trendies buying into the system, dressing like they're told, marrying like they're told, buying like they're told, and they're so desperate, they're so unhappy, they don't know why they're fulfilled, they follow what they're told, and it doesn't bring them to some type of nirvana.
[00:48:49.128 --> 00:48:55.272]  Some type of heavenly Valhalla.
[00:48:58.649 --> 00:49:21.393]  Because if you're conscious and aware and dialed into history and the animating contest of liberty, you would see what a sick, broken joke it is and how we're being held back desperately by lesser men and women who, if humanity flowers, will be left so far behind they will be obsolete.
[00:49:25.020 --> 00:49:31.024]  That's why they claim they're the guardians of the earth, the guardians of the environment, when they're the authors of the earth's peril.
[00:49:32.344 --> 00:49:33.685]  The vandals of the mother.
[00:49:36.847 --> 00:49:45.392]  That's why they claim they're the guardians of racial equality and all these other things, when their real actions are destruction, civil war.
[00:49:47.493 --> 00:49:53.417]  Our CIA, run by Rothschild Intelligence, beyond British intelligence,
[00:49:55.040 --> 00:49:55.440]  And others.
[00:49:57.161 --> 00:49:59.181]  Openly puts dictators in power.
[00:50:00.041 --> 00:50:03.262]  Openly puts in regimes that create the most poor possible.
[00:50:05.803 --> 00:50:06.823]  It's an alien force.
[00:50:11.144 --> 00:50:21.307]  The American project, the New Atlantis of Sir Francis Bacon and others, was only partially realized.
[00:50:22.819 --> 00:50:27.280]  Only part of its booster systems launched and still took us to heights never before seen.
[00:50:28.040 --> 00:50:33.061]  And so you still had some of that energy, some of that spirit of innovation leading the world into the future.
[00:50:33.742 --> 00:50:35.102]  But America was then captured.
[00:50:35.202 --> 00:50:36.262]  The West was then captured.
[00:50:39.003 --> 00:50:51.426]  And enlisted now, while we're de-industrialized, while we're dumbed down, what's left of our best, our remnant, is thrown into wars, thrown into technological advances that are siphoned off
[00:50:52.654 --> 00:50:55.016]  To offshore combines.
[00:50:59.860 --> 00:51:01.521]  Well, we pay the bill and get the blame.
[00:51:03.443 --> 00:51:04.924]  I've seen their system, I understand it.
[00:51:08.927 --> 00:51:10.588]  These are very, very twisted people.
[00:51:10.608 --> 00:51:20.716]  I mean, I look at Zuckerberg and he is animated with hellish evil, cloaking himself in a
[00:51:21.678 --> 00:51:24.959]  Non-threatening uniform, but those eyes say it all.
[00:51:25.940 --> 00:51:31.902]  He walks through a crowd of his employees, all wearing goggles, sitting there like slaves, typing, dying.
[00:51:31.922 --> 00:51:34.583]  And he walks a man in reality.
[00:51:35.583 --> 00:51:37.124]  They are entering his world.
[00:51:37.144 --> 00:51:38.424]  We can put that image up.
[00:51:38.925 --> 00:51:41.446]  They are coming into his planet, his vision.
[00:51:41.806 --> 00:51:47.088]  And all Zuckerberg is, is a frontman of In-Q-Tel and the Central Intelligence Agency.
[00:51:49.589 --> 00:51:50.549]  And a pump and dump.
[00:51:57.412 --> 00:52:02.617]  And you see Glenn Beck, servile, rolling around on the ground before him like a snake.
[00:52:04.518 --> 00:52:05.359]  Good God!
[00:52:06.920 --> 00:52:07.941]  Good Lord!
[00:52:08.982 --> 00:52:10.563]  Deliver us from these serpents!
[00:52:16.388 --> 00:52:22.954]  From birth, men are told you're a man because you play football, you're a man because you play fantasy football, you're a man because you go to the sports bar and drink and act tough.
[00:52:23.891 --> 00:52:32.979]  No, a man is aware of what's happening on the planet and is involved and cares about their ancestors and their future progeny and is innovating and is building.
[00:52:36.482 --> 00:52:38.024]  That's why men are more unfulfilled than ever.
[00:52:38.064 --> 00:52:41.107]  So are women, because our humanity has been stolen from us.
[00:52:45.600 --> 00:52:57.328]  Once they sell the young people on the idea of a free lunch, once they sell the young people on the idea of just being lazy and you get ahead caring about nobody but yourself, the truth is you don't even care about yourself then.
[00:52:58.329 --> 00:53:01.051]  You can't care about yourself until you care about others.
[00:53:01.071 --> 00:53:03.312]  Until you have empathy.
[00:53:06.535 --> 00:53:10.577]  But to the psychopath and the sociopath, empathy is a weakness.
[00:53:13.039 --> 00:53:14.200]  Not a transcendental
[00:53:16.360 --> 00:53:17.661]  Doorway into perception.
[00:53:21.183 --> 00:53:21.884]  Look at these articles.
[00:53:22.424 --> 00:53:24.325]  Venezuela, this is AFP.
[00:53:25.146 --> 00:53:26.867]  Venezuela, where a hamburger is officially $170.
[00:53:26.907 --> 00:53:34.172]  That's what communism brings you.
[00:53:37.634 --> 00:53:45.920]  But before I go there, I want to play this Tucker Carlson clip, because I mentioned it, where he's talking about this meeting with Zuckerberg,
[00:53:48.717 --> 00:54:08.865]  And notice the story changes from hundreds of employees of Facebook go to the Senate and say they're censoring, like, China, individual users and political parties and organizations and it's total control and they're very concerned and then... Then it just turns into Glenn Beck says it's all nice and they're not, no, they're helping!
[00:54:13.527 --> 00:54:14.047]  Good Lord!
[00:54:14.507 --> 00:54:15.448]  I mean, what happens next?
[00:54:16.539 --> 00:54:23.161]  And it's the nakedness of it, how they parade in front of all of us, and rub our faces in it.
[00:54:26.342 --> 00:54:32.864]  I mean, I read newspaper headlines from mainstream newspapers last Friday, where it was all over the country, it was a talking point.
[00:54:33.565 --> 00:54:34.585]  Okay, now let's test this.
