[00:00:10.973 --> 00:00:11.673]  And they are panicking.
[00:47:04.034 --> 00:47:11.441]  Now, all of a sudden, here in the last month, people are just starting to go like, they're realizing, you know, we better get with Trump or we're really going to, it's really going to go downhill.
[00:47:12.375 --> 00:47:26.042]  Well, I mean, I'm really, my gut told me he was really good, but kind of intellectually, I don't like the peacocking, you know, but man, now he's proving himself through the crucible, through everything, and he's hitting them so hard, it's irrevocable damage welded to the globalist.
[00:47:27.643 --> 00:47:33.467]  I hate to say, I get chill bumps when I even think about Trump now, what he's gone through and how good he is and all the dirty tricks.
[00:47:33.547 --> 00:47:37.810]  I mean, it's like the movie Gladiator, where they keep cheating more and more, trying to kill him and just can't do it.
[00:47:37.830 --> 00:47:38.751]  Here's the good thing about it.
[00:47:39.191 --> 00:47:48.298]  I've tried for years, you know, just working here, talking to other people, trying to expose how biased the mainstream media is, how bought and paid for the mainstream media is.
[00:47:48.898 --> 00:47:55.904]  And this election right here, Alex, is really waking up lots of people that I couldn't quite wake up over the years.
[00:47:57.219 --> 00:47:58.180]  Yeah, I mean, I'll say this.
[00:47:58.200 --> 00:48:00.843]  I'm like, why are we having record food sales?
[00:48:00.883 --> 00:48:01.824]  So they go, well, get ready.
[00:48:01.844 --> 00:48:02.585]  We're about to lower.
[00:48:02.605 --> 00:48:04.988]  We already have this plan for a month, 30, 40 percent off.
[00:48:05.048 --> 00:48:06.150]  And I said, OK, we'll still do it.
[00:48:06.170 --> 00:48:07.832]  But why are we having record food sales?
[00:48:07.892 --> 00:48:11.576]  People are scared of civil unrest and they're scared of nuclear war.
[00:48:11.616 --> 00:48:12.257]  And I'm like, look.
[00:48:14.395 --> 00:48:19.901]  There's a chance that's going to happen, but just overall, with the depression coming, that's why I've got storable food.
[00:48:19.941 --> 00:48:22.884]  That's why I've got more solar generators, got more storable food.
[00:48:23.205 --> 00:48:25.046]  I'm personally beefing up what I'm doing.
[00:48:25.367 --> 00:48:29.251]  I'm personally looking at moving even further away from town because I have to.
[00:48:29.351 --> 00:48:33.295]  I don't want to, but I'm really concerned that this damn thing is unraveling.
[00:48:33.555 --> 00:48:35.578]  Now hopefully if Trump gets in, we can back this off.
[00:48:36.078 --> 00:48:36.778]  But I don't know.
[00:48:37.139 --> 00:48:41.881]  My best friend I've had for years, best man at my wedding, for years I would talk to him about these kind of things.
[00:48:42.241 --> 00:48:43.581]  He would always say, Weldon, you're a kook.
[00:48:43.621 --> 00:48:44.982]  Blah, blah, blah, blah, blah, blah, blah.
[00:48:45.002 --> 00:48:54.046]  Let me tell you what, he called me last month, Alex, and he said, I just purchased my land way out in the middle of East Texas, and I'm storing up on food, ammo, gold.
[00:48:54.066 --> 00:48:56.207]  And I was like, I haven't talked to you in like three months.
[00:48:56.247 --> 00:48:57.067]  What's going on, Mike?
[00:48:57.087 --> 00:48:57.988]  He's like, that's it.
[00:48:58.148 --> 00:48:59.308]  I can't handle it anymore.
[00:49:00.029 --> 00:49:02.230]  He's like, I know I said you were a kook years ago.
[00:49:02.992 --> 00:49:04.734]  I was like, wow, that's opened my eyes.
[00:49:04.774 --> 00:49:06.935]  You were an Air Force guy that loaded nukes on planes.
[00:49:06.975 --> 00:49:09.137]  What do you make of the escalation with Russia and all this?
[00:49:10.018 --> 00:49:13.581]  What I make of it is it's damn terrifying, is what it is.
[00:49:14.101 --> 00:49:19.165]  Hillary Clinton gets in, we're going to war, and this isn't World War II type warfare.
[00:49:19.205 --> 00:49:21.007]  This is nuclear warfare, right?
[00:49:22.448 --> 00:49:22.968]  In front of us.
[00:49:23.869 --> 00:49:24.450]  It's scary.
[00:49:25.190 --> 00:49:26.031]  And it's not hard to do.
[00:49:26.051 --> 00:49:27.212]  I can tell you that much.
[00:49:29.369 --> 00:49:31.550]  And these idiots go, we have better missiles than they do.
[00:49:31.570 --> 00:49:32.551]  It doesn't matter, everybody gets killed.
[00:49:32.831 --> 00:49:36.733]  It's not like I shoot you in the head with a 12 gauge, you shoot me in the head with a 410.
[00:49:37.693 --> 00:49:38.333]  It just doesn't matter.
[00:49:38.914 --> 00:49:46.257]  I was walking through a store the other day and some lady was talking and she goes, I just don't trust Trump because he's kind of friends with Putin and Russia.
[00:49:46.337 --> 00:49:53.421]  And I wanted to say, don't you want to be friends with people that have nuclear wars or nuclear bombs that you can go to nuclear war with?
[00:49:53.921 --> 00:49:56.762]  You want to have some kind of, you know, communication.
[00:49:56.782 --> 00:49:58.403]  Meanwhile, Hillary's the one in bed with them.
[00:49:59.645 --> 00:50:00.106]  Exactly.
[00:50:00.126 --> 00:50:01.427]  All right, Weldon, great job.
[00:50:01.447 --> 00:50:02.868]  Thanks for reminding me about that shirt.
[00:50:02.908 --> 00:50:04.049]  When it's sold out, it's sold out.
[00:50:04.390 --> 00:50:05.190]  So is Hillary for President.
[00:50:05.210 --> 00:50:05.851]  That's limited edition.
[00:50:05.871 --> 00:50:07.573]  But wearing red is key, folks.
[00:50:07.613 --> 00:50:09.094]  Same day shipping, right now.
[00:50:09.535 --> 00:50:10.135]  Get your order in.
[00:50:10.195 --> 00:50:10.976]  It ships out today.
[00:50:11.456 --> 00:50:12.197]  Absolutely, Weldon.
[00:50:12.217 --> 00:50:13.098]  Thank you so much, my friend.
[00:50:13.118 --> 00:50:13.679]  Yes, sir.
[00:50:13.699 --> 00:50:15.020]  All right, we're going to go to break in a moment.
[00:50:15.200 --> 00:50:15.901]  I'll talk to you more.
[00:50:15.961 --> 00:50:18.824]  I'm going to come back, and I'm going to get into the illegals.
[00:50:19.284 --> 00:50:21.565]  ...who are being used as pawns in their collapsing countries.
[00:50:21.885 --> 00:50:25.487]  They're victims as well, but still very, very dangerous in what's happening.
[00:50:25.887 --> 00:50:32.090]  Protesters closed the upper level of George Washington Bridge, wanting open borders, spiking immigrants illegally crossing into the U.S.
[00:50:32.130 --> 00:50:35.491]  ahead of election, believing Hillary's going to make them legal, which she said she's going to do.
[00:50:35.872 --> 00:50:40.254]  Sanctuary City illegal immigrants sparked 61 million fire in Sequoia National Forest.
[00:50:41.514 --> 00:50:47.057]  I've told people where I've been on the hike and bike trail now, in deeper areas, and run into little immigrant camps.
[00:50:48.570 --> 00:50:51.090]  And all I'm saying is the third world's collapsing, folks.
[00:50:51.170 --> 00:50:51.971]  We're collapsing.
[00:50:52.271 --> 00:50:53.751]  Our health departments are collapsing.
[00:50:54.111 --> 00:50:56.231]  And this is all part of a plan to collapse our country.
[00:50:57.011 --> 00:50:58.852]  Just like the globalists have collapsed the third world.
[00:50:58.872 --> 00:50:59.492]  We'll be right back.
[00:50:59.512 --> 00:50:59.952]  Stay with us.
[00:51:11.814 --> 00:51:17.815]  It's great to be here with a thousand wonderful people, or as I call it,
[00:51:19.096 --> 00:51:23.559]  A small, intimate dinner with some friends.
[00:51:23.620 --> 00:51:28.463]  Or as Hillary calls it, her largest crowd of the season.
[00:51:29.924 --> 00:51:46.217]  And even tonight, with all of the heated back and forth between my opponent and me at the debate last night, we have proven that we can actually be civil to each other.
[00:51:46.966 --> 00:51:58.212]  In fact, just before taking the day, Hillary accidentally bumped into me, and she very civilly said, pardon me.
[00:52:05.215 --> 00:52:11.778]  And I very politely replied, let me talk to you about that after I get into office.
[00:52:12.959 --> 00:52:14.640]  But one of the things I noticed tonight,
[00:52:17.094 --> 00:52:19.095]  And I've known Hillary for a long time.
[00:52:19.155 --> 00:52:29.978]  This is the first time ever, ever, that Hillary is sitting down and speaking to major corporate leaders and not getting paid for it.
[00:52:33.139 --> 00:52:37.841]  You know, last night, I called Hillary a nasty woman.
[00:52:40.441 --> 00:52:41.802]  But this stuff is all relative.
[00:52:43.161 --> 00:52:54.489]  After listening to Hillary rattle on and on and on, I don't think so badly of Rosie O'Donnell anymore.
[00:52:55.930 --> 00:53:01.233]  In fact, I'm actually starting to like Rosie a lot.
[00:53:02.454 --> 00:53:09.019]  You know, the president told me to stop whining, but I really have to say to media,
[00:53:10.097 --> 00:53:12.979]  Is even more biased this year than ever before, hasn't it?
[00:53:15.221 --> 00:53:15.981]  You want the proof?
[00:53:16.982 --> 00:53:25.228]  Michelle Obama gives a speech and everyone loves it, it's fantastic.
[00:53:25.268 --> 00:53:28.630]  They think she's absolutely great.
[00:53:28.670 --> 00:53:33.474]  My wife Melania gives the exact same speech.
[00:53:36.656 --> 00:53:39.418]  And people get on her case.
[00:53:42.406 --> 00:53:54.556]  I wasn't really sure if Hillary was going to be here tonight, because I guess you didn't send her invitation by email.
[00:53:55.617 --> 00:54:01.902]  Or maybe you did, and she just found out about it through the wonder of WikiLeaks.
[00:54:30.785 --> 00:54:40.831]  Starting in about 2007, I began to warn that by 2016, we would see a rapid global decline in the economy and massive civil unrest on a planetary scale.
[00:54:42.212 --> 00:54:44.073]  In the West, not just in the Middle East.
[00:54:44.874 --> 00:54:49.696]  That was because the British Ministry of Defense and then the Pentagon both put out reports that we've covered ad nauseam.
[00:54:49.736 --> 00:54:50.617]  Anybody can Google it.
[00:54:51.397 --> 00:55:00.283]  Ministry of Defense report warns of civil unrest, flash mobs, worldwide collapse, and you'll pull up the London Guardian, the Associated Press, you name it.
[00:55:02.793 --> 00:55:08.895]  But then I understood the globalists were actually orchestrating this collapse to consolidate control, which we now have in the Wikileaks.
[00:55:09.435 --> 00:55:10.375]  This is their operation.
[00:55:10.975 --> 00:55:15.837]  Gruber is back in the news, this clip's coming up, on rising premiums.
[00:55:15.877 --> 00:55:17.857]  He says Obamacare working as designed.
[00:55:18.698 --> 00:55:20.378]  We have Ezekiel Emanuel saying that.
[00:55:22.899 --> 00:55:27.240]  We have all these different folks, Hillary's email saying that.
[00:55:28.732 --> 00:55:29.652]  This is the plan.
[00:55:29.732 --> 00:55:32.893]  People bankrupt it and bring something in even worse.
[00:55:33.654 --> 00:55:35.074]  They can't compete with free market.
[00:55:35.474 --> 00:55:41.176]  So they've got to weigh it down, make it fall apart, and then keep offering the solution that only consolidates control.
[00:55:41.256 --> 00:55:43.877]  It's not even socialism they're bringing in, but fascism.
[00:55:45.797 --> 00:55:50.439]  But meanwhile, we have a news report dealing on the surge of illegals
[00:55:51.584 --> 00:55:55.147]  Coming into the United States, crossing illegally, ahead of the election.
[00:55:55.387 --> 00:55:57.549]  Because, quote, they believe they're going to be made legal.
[00:55:57.829 --> 00:55:59.691]  No, Hillary has said she will.
[00:55:59.731 --> 00:56:00.151]  Here it is.
[00:56:03.014 --> 00:56:11.521]  Every day, dozens of men, women, and children stream through the streets of McAllen, Texas, to this migrant center at Sacred Heart Catholic Church.
[00:56:14.079 --> 00:56:16.462]  They've just illegally crossed into the U.S.
[00:56:16.502 --> 00:56:19.285]  and have been released by border patrol with ankle monitors.
[00:56:22.269 --> 00:56:23.691]  While they file for asylum.
[00:56:24.091 --> 00:56:25.773]  Brenda Aguilar fled Honduras.
[00:56:28.196 --> 00:56:29.558]  Single mother looking for work.
[00:56:33.422 --> 00:56:35.825]  And also to flee the violence in Honduras.
[00:56:37.006 --> 00:56:41.491]  We're getting mass spikes of people crossing and turning themselves in.
[00:56:41.611 --> 00:56:44.755]  Agent Chris Cabrera is with the local border patrol union.
[00:56:45.095 --> 00:56:50.221]  He says on some days they've encountered up to a thousand immigrants along this stretch of the border.
[00:56:50.761 --> 00:56:51.682]  What's driving them?
[00:56:52.597 --> 00:56:59.005]  The smugglers are telling them if Hillary gets elected, that there'll be some type of amnesty, so they need to get here by a certain date.
[00:56:59.426 --> 00:57:03.952]  They're also being told that if Trump gets elected, there's gonna be some magical wall that pops up overnight.
[00:57:04.593 --> 00:57:06.936]  And once that wall gets up, nobody will ever get in again.
[00:57:08.774 --> 00:57:12.455]  Something Edward Cerritos of El Salvador fears.
[00:57:12.796 --> 00:57:14.216]  This is your last option, you feel?
[00:57:17.318 --> 00:57:24.362]  Yes, he says, because if Trump wins, we won't be able to come in and ask for asylum.
[00:57:26.743 --> 00:57:29.905]  At the church, it's time for this group to head to the bus depot.
[00:57:30.365 --> 00:57:34.367]  The routes scribbled on envelopes show they're continuing the journey north.
[00:57:36.297 --> 00:57:42.520]  Now, critiquing that piece, analyzing it, at least they're reporting that the border's open, they're just bringing these people in.
[00:57:43.400 --> 00:57:48.243]  But most of the people aren't wearing ankle bracelets, as we sent our reporters down there two years ago and first broke it in that very town.
[00:57:48.263 --> 00:57:54.926]  In fact, that very Border Patrol spokesperson was very honest about the fact that they're ordered to complete the smuggling process.
[00:57:56.567 --> 00:58:00.609]  And the fact that they're bringing the illegals in, in contravention of our law,
[00:58:01.667 --> 00:58:06.369]  To produce a permanent underclass, not to drive up their wages.
[00:58:08.109 --> 00:58:09.530]  So this is more social control.
[00:58:09.590 --> 00:58:11.030]  It's why the elites are for this.
[00:58:12.231 --> 00:58:27.456]  And it's truly, truly despicable to see the way that the social engineers and all these different mafia organizations that have become so legitimate, they've become above the law.
[00:58:28.672 --> 00:58:33.034]  Are really trying to create a giant permanent underclass made up of everyone.
[00:58:33.614 --> 00:58:37.616]  Again, they're trying to kill the golden goose because they can't compete with it.
[00:58:37.956 --> 00:58:39.617]  Obamacare is a chief example.
[00:58:39.997 --> 00:58:42.038]  Stay with us, second hour straight ahead.
[00:58:44.639 --> 00:58:46.240]  Thank you for listening to GCN.
[00:58:46.260 --> 00:58:48.201]  Visit GCNlive.com today.
[00:58:53.479 --> 00:59:01.827]  The Islamic State has taken control of towns near the Jordan-Syria border, all while expanding their grip in remote western Iraqi towns also near the border.
[00:59:01.847 --> 00:59:13.998]  They're supporting the security forces who are reporting that ISIS has attacked the town of Radba on Sunday this week, in a bid to relieve pressure on the northern city of Mosul, where they're fighting off an offensive by the Iraqi army and Kurdish fighters that are
[00:59:14.178 --> 00:59:14.498]  We're good.
[00:59:29.175 --> 00:59:31.476]  You're listening to the Alex Jones Show.
[01:00:17.814 --> 01:00:19.915]  Waging war on corruption.
[01:00:20.435 --> 01:00:27.196]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:00:27.997 --> 01:00:41.400]  So the Clintons have come a long way from the Dixie Ku Klux Klan mafia in Arkansas to the halls of
[01:00:42.921 --> 01:00:47.564]  State Department and the White House, and they want back in to continue their criminal operations.
[01:00:49.325 --> 01:00:51.166]  There is so much to get to in this hour.
[01:00:51.186 --> 01:00:57.790]  I have Project Veritas joining us with big breaking news in about an hour and a half.
[01:00:59.311 --> 01:01:01.513]  That news is set to break any minute now.
[01:01:01.933 --> 01:01:03.053]  Another giant bombshell.
[01:01:03.714 --> 01:01:06.376]  We'll have it as soon as it goes up on Infowars.com.
[01:01:06.596 --> 01:01:08.097]  You can bet it'll be on Drudge and everywhere else.
[01:01:08.617 --> 01:01:10.138]  What matters is you get it out to everybody.
[01:01:12.216 --> 01:01:15.258]  Then we've got Roger Stone also popping in.
[01:01:15.278 --> 01:01:19.782]  I'm going to get him on almost every day in the next 12 days until the election because so much is unfolding.
[01:01:20.363 --> 01:01:21.283]  So much is happening.
[01:01:21.744 --> 01:01:26.347]  I'm tempted to start doing special broadcasts even on Saturday.
[01:01:27.008 --> 01:01:31.572]  In fact, we've done some of those on the next two Saturdays headed in because I'm already working seven days a week.
[01:01:32.132 --> 01:01:34.134]  It is such a critical time to track everything.
[01:01:35.375 --> 01:01:36.816]  But we're looking at two different systems.
[01:01:38.188 --> 01:01:40.829]  An organized crime system versus a free market system.
[01:01:41.250 --> 01:01:56.918]  There's always a mix of the two, but globalism is corporate combines with criminal mafias over each nation, some religious, some cultural, some just economic, tying together to set up a worldwide fraud.
[01:01:58.820 --> 01:02:02.582]  And that's why we've got mafias in the Catholic Church, we've got mafias in the Communist Chinese,
[01:02:03.564 --> 01:02:14.169]  We've got just corporate mafias at the Council on Foreign Relations that all interface and basically lock together and get power and control through scams.
[01:02:14.929 --> 01:02:19.731]  And what Donald Trump has been talking about is trying to break that.
[01:02:21.314 --> 01:02:25.998]  And trying to create more of a level playing field, which always creates incredible prosperity.
[01:02:26.458 --> 01:02:35.325]  And then they come out a few weeks ago and say, Donald Trump and Alex Jones are deeply anti-Semitic because any talk of a global banking cabal or any talk of rigging must mean Jews.
[01:02:35.545 --> 01:02:37.267]  They're the ones injecting that.
[01:02:38.848 --> 01:02:44.012]  They're the ones that want to take the guilt of World War II and somehow project it onto Americans that fought Hitler.
[01:02:44.953 --> 01:02:46.114]  It's just crazy.
[01:02:47.329 --> 01:03:05.674]  And that's why I made the point yesterday that if you want to look at Jewish Mafia, the Emanuels, in my opinion, and going back to some of the folks that they were involved in in terrorism in Israel, even Michael Savage has talked about this, are involved in Mafia-style tactics to take our guns, to take over with self-driving cars, to take over with health care.
[01:03:06.414 --> 01:03:08.415]  But it's not a Jewish conspiracy.
[01:03:09.235 --> 01:03:18.744]  But there are thugs and gangsters of Jewish persuasion who then protect themselves when they're involved in these type of activities by screaming anti-semitism before anyone's even bringing it up.
[01:03:18.984 --> 01:03:26.852]  And that's the point I made, knowing full well they'd then run with it and put it in some newspapers, which they've done, because this needs to be debated.
[01:03:27.653 --> 01:03:31.677]  This needs to be discussed, you know, because it's out of control.
[01:03:34.511 --> 01:03:37.092]  Rule by the people, not by different gangs.
[01:03:37.232 --> 01:03:48.554]  And every group and every organization, whether they're Vietnamese or Russian, whether you're Mexican or whether you're from Venezuela, cultural groups tend to form into gangs and mafias.
[01:03:49.754 --> 01:03:59.876]  And it is a fact that we have a lot of gangs and mafias that basically are special interest that don't give a good you-know-what about basic peace on this earth.
[01:04:01.400 --> 01:04:05.263]  I don't care if it's the KKK, Southerners, and the Democratic Party.
[01:04:05.383 --> 01:04:09.867]  I don't care if it is the Italian Mafia, whatever it is.
[01:04:09.907 --> 01:04:13.589]  There is this arrogance that comes with it, and it needs to stop.
[01:04:14.830 --> 01:04:15.611]  And it needs to stop now.
[01:04:15.631 --> 01:04:21.736]  Now, when we come back from break, before our guest joins us, I want to run through
[01:04:23.049 --> 01:04:31.294]  The latest news with the election, the latest news on the polls, the latest news on where Donald Trump is going, and what I expect to happen.
[01:04:31.334 --> 01:04:33.235]  But here's the bottom line.
[01:04:33.895 --> 01:04:38.858]  In poll sampling at the lowest level, 9% more Democrats, Trump is ahead 2 to 5 points.
[01:04:40.530 --> 01:04:42.512]  In battleground states as people are seeing in the polls.
[01:04:42.933 --> 01:04:43.934]  That shows a landslide.
[01:04:44.855 --> 01:04:57.768]  So when they sell this idea that Hillary is preparing for her transition into power, and that Hillary is preparing for all of this, it is again to create a perception that Trump is already lost.
[01:04:58.288 --> 01:05:00.971]  This is a major mind control con and I don't think it's going to work.
[01:05:01.271 --> 01:05:02.453]  Today with us, I'm Alex Jones.
[01:05:03.989 --> 01:05:07.491]  Telecom giant AT&T has secretly been cooperating with the U.S.
[01:05:07.551 --> 01:05:12.855]  government employing a controversial project known as Hemisphere and they've been doing it by some reports since 2007.
[01:05:12.935 --> 01:05:18.319]  Now it's a key moneymaker for AT&T as they're selling the information for profit.
[01:05:18.440 --> 01:05:19.560]  Hemisphere gives the U.S.
[01:05:19.600 --> 01:05:23.844]  government access to a large database that stores telephone records spanning decades.
[01:05:24.004 --> 01:05:28.387]  AT&T is earning millions of taxpayer money by secretly helping the government store
[01:05:28.607 --> 01:05:28.948]  I think so.
[01:05:48.689 --> 01:05:51.352]  Something we know that they've been doing for a very long time.
[01:05:51.552 --> 01:05:59.461]  It looks like the program's expansion is in full swing, and if you use the carrier AT&T, chances are your personal data has been sold to the highest bidder, i.e.
[01:05:59.501 --> 01:05:59.962]  the U.S.
[01:05:59.982 --> 01:06:00.422]  government.
[01:06:00.623 --> 01:06:02.625]  I'm Margaret Hell reporting for InfoWars.com.
[01:06:03.866 --> 01:06:09.129]  If you look at Bill Clinton, far worse, minor words, and his was action.
[01:06:09.730 --> 01:06:11.251]  His was what he's done to women.
[01:06:11.291 --> 01:06:16.954]  There's never been anybody in the history of politics in this nation that's been so abusive to women.
[01:06:17.194 --> 01:06:19.496]  Bill Clinton was abusive to women.
[01:06:19.856 --> 01:06:26.039]  Hillary Clinton attacked those same women and attacked them viciously, four of them here tonight.
[01:06:26.160 --> 01:06:31.463]  So much of what he's just said is not right, but he gets to run his campaign any way he chooses.
[01:06:42.301 --> 01:06:45.064]  There is an information warfare happening right now.
[01:06:45.906 --> 01:06:47.367]  It's a fight for our minds.
[01:06:48.028 --> 01:06:49.971]  And InfoWars.com is on the front lines.
[01:06:50.291 --> 01:06:54.496]  Download our free multimedia app at InfoWars.com forward slash app.
[01:06:54.636 --> 01:06:57.981]  It's free, it's on Droid, it's on Apple, you name it.
[01:06:58.081 --> 01:06:59.623]  InfoWars.com forward slash app.
[01:07:03.843 --> 01:07:12.849]  Alex Jones here to tell you about how you can help spread liberty worldwide, also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[01:07:12.929 --> 01:07:21.035]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[01:07:21.315 --> 01:07:26.017]  We have now managed to secure these sought-after beans in a highly customized blend.
[01:07:26.197 --> 01:07:32.920]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[01:07:32.980 --> 01:07:40.062]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[01:07:40.162 --> 01:07:47.025]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[01:07:47.185 --> 01:07:51.528]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[01:07:51.668 --> 01:07:54.931]  Available in original, or with our immune support infusion blend.
[01:07:55.051 --> 01:08:01.175]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[01:08:01.356 --> 01:08:03.057]  Available at Infowarslife.com.
[01:08:03.137 --> 01:08:08.020]  They took my saddle in Houston.
[01:08:08.040 --> 01:08:10.823]  Broke my leg in Santa Fe.
[01:08:12.984 --> 01:08:15.306]  Lost my wife and a girlfriend.
[01:08:18.971 --> 01:08:22.076]  In defense of human liberty, Alex Jones.
[01:08:33.632 --> 01:08:37.953]  Well, ladies and gentlemen, here's Obama, back in 2015, lying.
[01:08:37.973 --> 01:08:40.795]  And he's now been caught red-handed.
[01:08:40.855 --> 01:08:41.895]  We need to clean this up.
[01:08:41.935 --> 01:08:48.778]  ClintonAid's newly public email shows the president's been using a secret name and secret email with Hillary.
[01:08:49.178 --> 01:08:52.019]  We've got to cover this up because there's a congressional investigation.
[01:08:52.339 --> 01:08:53.340]  Here's Obama lying.
[01:08:55.080 --> 01:09:00.082]  Mr. President, when did you first learn that Hillary Clinton used an email system outside the U.S.
[01:09:00.102 --> 01:09:04.004]  government for official business while she was Secretary of State?
[01:09:04.624 --> 01:09:07.746]  At the same time, everybody else learned it through news reports.
[01:09:07.966 --> 01:09:08.826]  Were you disappointed?
[01:09:09.886 --> 01:09:14.629]  Let me just say that Hillary Clinton is and has been an outstanding public servant.
[01:09:15.069 --> 01:09:17.350]  She was a great Secretary of State for me.
[01:09:18.991 --> 01:09:21.693]  The policy of my administration is to encourage transparency.
[01:09:22.374 --> 01:09:30.180]  And that's why my emails, the BlackBerry that I carry around, all those records are available and archived.
[01:09:30.561 --> 01:09:41.110]  And I'm glad that Hillary has instructed that those emails that had to do with official business need to be disclosed.
[01:09:42.216 --> 01:09:51.542]  Now here's the White House having to admit that indeed President Obama emailed Hillary's private email address and now we even have more emails saying they wanted to cover it up.
[01:09:51.582 --> 01:09:52.042]  Here it is.
[01:09:52.743 --> 01:10:00.448]  We heard from the President in his interview with CBS about this and he said that he first became aware of it in news reports last week.
[01:10:01.308 --> 01:10:09.574]  So I'm wondering if the implicit in that is that the President and Secretary Clinton never emailed one another when Secretary Clinton was serving in the State Department.
[01:10:10.954 --> 01:10:15.017]  That may be one conclusion to draw from the President's remarks, but it would not be an accurate one.
[01:10:16.297 --> 01:10:23.561]  The President, as I think many people expected, did, over the course of his first several years in office, trade emails with his Secretary of State.
[01:10:24.261 --> 01:10:30.525]  I would not describe the number of emails as large, but they did have the occasion to email one another.
[01:10:30.825 --> 01:10:36.468]  And the point that the President was making is not that he didn't know Secretary Clinton's email address, he did.
[01:10:37.669 --> 01:10:53.262]  But he was not aware of the details of how that email address and that server had been set up or how Secretary Clinton and her team were planning to comply with the Federal Records Act.
[01:10:54.804 --> 01:10:57.486]  So not even Josh Earnest can lie as hard as Obama.
[01:10:57.506 --> 01:11:00.929]  The smoking gun, Cheryl Mills tells Podesta, we need to clean this up.
[01:11:01.069 --> 01:11:02.631]  Obama has emails from her.
[01:11:03.786 --> 01:11:09.748]  This goes back to a time when they were first lying to the press saying that none of this was going on.
[01:11:09.808 --> 01:11:14.090]  Look, you know they're lying, I know they're lying, but they lied in criminal investigations.
[01:11:14.130 --> 01:11:15.870]  This is smoking gun proof.
[01:11:17.131 --> 01:11:18.651]  This is why Nixon had to leave office.
[01:11:19.471 --> 01:11:23.673]  This is why the head of the EPA a few years ago had to leave because she got caught doing the same thing.
[01:11:24.872 --> 01:11:26.233]  And it's just going to get worse and worse.
[01:11:26.533 --> 01:11:28.054]  12 days out, more WikiLeaks coming.
[01:11:28.814 --> 01:11:30.915]  That's why I really see how smart Assange is.
[01:11:30.935 --> 01:11:33.216]  That's why I've apologized for getting mad when he didn't release more earlier.
[01:11:33.896 --> 01:11:36.618]  It's just that a watched pot never boils, as they say.
[01:11:37.538 --> 01:11:40.480]  He says he's going to keep releasing stuff after, even if she gets in or steals it.
[01:11:40.940 --> 01:11:42.701]  I'm told even more hardcore is coming out.
[01:11:42.801 --> 01:11:47.903]  So, the whole world is against Hillary and this crime combine.
[01:11:48.023 --> 01:11:49.364]  Everyone is sick of them.
[01:11:49.384 --> 01:11:50.985]  They know how dangerous they are.
[01:11:53.095 --> 01:12:01.359]  In March of 2015 interview, President Obama said that he had learned about Hillary's use of a private email server as Secretary of State the same time everybody else had learned it.
[01:12:01.399 --> 01:12:03.940]  We just played that report through news reports.
[01:12:04.660 --> 01:12:13.884]  But that assertion concerns aides of Mrs. Clinton who knew the President himself had received emails from private addresses according to a hacked email.
[01:12:15.100 --> 01:12:17.401]  Made public yesterday by WikiLeaks.
[01:12:18.081 --> 01:12:18.902]  We need to clean this up.
[01:12:18.962 --> 01:12:20.042]  He has emails from her.
[01:12:20.742 --> 01:12:23.023]  They do not say state.gov.
[01:12:23.324 --> 01:12:29.566]  Cheryl D. Mills, a top aide, wrote John D. Podesta, another senior advisor, on March 7th, 2015.
[01:12:31.047 --> 01:12:34.508]  We need to clean this up.
[01:12:34.568 --> 01:12:35.649]  We need to cover this up.
[01:12:35.669 --> 01:12:38.110]  We need to abscond from Congress and subpoenas.
[01:12:38.130 --> 01:12:40.471]  We need to engage in fraud.
[01:12:41.852 --> 01:12:42.652]  The smoking gun.
[01:12:45.256 --> 01:12:50.818]  Obama lied about Hillary's private server, WikiLeaks proves, and they've lied to Congress, they've lied to the American people.
[01:12:53.119 --> 01:13:06.765]  We have a report by Mr. Schroer, one of our great reporters, dealing with this, and it's Hillary supporters beg for election fraud.
[01:13:06.785 --> 01:13:10.687]  We're going to play this in just a moment, but if you really listen to them,
[01:13:11.974 --> 01:13:15.257]  They just don't care about corruption, and they're involved in double-think.
[01:13:16.317 --> 01:13:23.883]  Because they say, this is downtown Austin, Texas, that election fraud doesn't exist, and Trump's insane when he raises it, but it's a serious threat with the Russians.
[01:13:24.604 --> 01:13:27.146]  But, yeah, there's a fraud going on, but just don't worry about it.
[01:13:27.526 --> 01:13:29.548]  So only worry about it if it's fraud against Hillary.
[01:13:30.608 --> 01:13:32.610]  I mean, I hope there's not fraud against Hillary.
[01:13:32.670 --> 01:13:34.051]  I want her beaten fair and square.
[01:13:34.832 --> 01:13:41.557]  But it's the immorality of these people, and I love how soft these immoral people, in my opinion, are.
[01:13:43.473 --> 01:13:44.274]  They love tyranny.
