[00:00:16.280 --> 00:00:18.282]  Ladies and gentlemen, wow!
[00:53:29.784 --> 00:53:32.425]  And remember also, in Germany and across Europe,
[00:53:33.223 --> 00:53:39.227]  It's only because of the luck and incompetence on the part of these terrorists that there aren't attacks like last night weekly.
[00:53:39.687 --> 00:53:44.771]  And there was a 12-year-old about a week ago who was trying to take a nail bomb and do another festival.
[00:53:45.191 --> 00:54:01.062]  You know, if an attack of sufficient magnitude happens even under President Trump, it really wouldn't be that much of a different outcome if there's, say, a grid attack, you know, or even just a simple kinetic rifle attack against enough, you know, power substations.
[00:54:02.040 --> 00:54:05.546]  Putting this country into a grid-down scenario is gonna be ugly no matter who's in charge.
[00:54:22.318 --> 00:54:24.140]  This is the heart of 1776.
[00:54:24.440 --> 00:54:27.123]  You're a white male!
[00:54:27.223 --> 00:54:31.668]  It's also what happens when you listen to the radio host, Alex Jones.
[00:54:32.509 --> 00:54:33.390]  Move, bitch!
[00:54:33.711 --> 00:54:36.734]  Get out the way!
[00:54:36.774 --> 00:54:40.138]  We pledge allegiance to one flag, and that flag
[00:54:40.438 --> 00:54:42.519]  The flag is the American flag!
[00:54:42.739 --> 00:54:47.121]  Infowars helped fuel the rumor that President Obama is an ISIS supporter.
[00:54:47.301 --> 00:54:50.522]  It's been a cozy relationship from the beginning.
[00:54:50.662 --> 00:54:51.862]  I will not let you down.
[00:54:51.882 --> 00:54:55.044]  You will be very, very impressed, I hope.
[00:54:55.264 --> 00:54:56.764]  And I think we'll be speaking a lot.
[00:54:56.804 --> 00:54:58.865]  Donald Trump and Alex Jones.
[00:54:58.985 --> 00:55:04.647]  This means that Donald Trump will be the 45th President of the United States.
[00:55:04.687 --> 00:55:06.708]  Waging war on corruption.
[00:55:07.228 --> 00:55:08.249]  It's Alex Jones!
[00:55:10.413 --> 00:55:13.034]  Waging war on corruption, as I keep telling people.
[00:55:13.654 --> 00:55:15.835]  We're promoting freedom and prosperity.
[00:55:17.176 --> 00:55:19.737]  Americana, the sexiest thing this planet ever produced.
[00:55:19.797 --> 00:55:22.658]  Not perfect, but a hell of a lot better than what other countries had.
[00:55:22.678 --> 00:55:27.199]  Because we expropriated all the good and tried to throw the bad to the side.
[00:55:28.400 --> 00:55:29.500]  Doesn't mean we were perfect.
[00:55:30.701 --> 00:55:35.983]  But they're now selling global poverty and global pain and global austerity.
[00:55:36.443 --> 00:55:39.564]  It's not hard to beat that if we've got a platform to challenge it.
[00:55:41.203 --> 00:55:43.865]  And the globalists thought the internet would be their system of control.
[00:55:43.946 --> 00:55:44.786]  It blew up in their face.
[00:55:45.767 --> 00:56:05.906]  I'm going to open the phones up in the next hour ahead of Matt Bracken, former Navy SEAL bestselling author, to look at the next 24 days and how he believes they may try to destabilize things to stop Trump from getting into office or have him go into such a crisis that they can take control of his administration before he ever gets in.
[00:56:07.403 --> 00:56:09.144]  Clearly, they're killing Russian diplomats.
[00:56:09.284 --> 00:56:12.767]  Clearly, they're trying to start a war with Russia, shooting down this aircraft.
[00:56:13.247 --> 00:56:21.854]  I predicted hundreds of times you'd start seeing, in the Black Sea, in the Mediterranean, aircraft being shot down by ISIS-slash-Al Qaeda, al-Nusra.
[00:56:23.395 --> 00:56:28.899]  We've seen three Russian passenger liners, in the last year, blown up.
[00:56:30.460 --> 00:56:34.563]  And in two cases, the jihadis released video of the missiles being fired.
[00:56:36.308 --> 00:56:38.730]  Putin does not want to promote this, but he is investigating it.
[00:56:39.410 --> 00:56:43.033]  They're trying to say it's not terror, they hope, because they don't want to have to be goaded into response.
[00:56:43.434 --> 00:56:46.736]  They're hoping things change once Trump gets in.
[00:56:47.056 --> 00:56:55.303]  The problem is there's so many sleeper cells and globalist operatives in NATO and in our own military, and so many Arabists and others.
[00:56:56.766 --> 00:56:58.927]  That we're not out of the woods by a long shot.
[00:56:59.747 --> 00:57:00.887]  I'm going to tie this into Kerry.
[00:57:00.907 --> 00:57:02.428]  I'm going to tie this into Israel.
[00:57:02.508 --> 00:57:06.809]  I'm going to tie it into the cold facts, not which side we want to take here.
[00:57:07.569 --> 00:57:09.170]  I've got issues with things Israel's done.
[00:57:09.290 --> 00:57:10.830]  I've got issues with the Palestinians.
[00:57:11.430 --> 00:57:13.471]  Most of the Palestinians are just Sunni invaders.
[00:57:13.931 --> 00:57:16.212]  They're trying to take over lands they couldn't take over Israel.
[00:57:17.652 --> 00:57:23.856]  So they're now trying to take over Syria, they're murdering Shiites and Christians and others en masse, and there's nobody crying for them.
[00:57:24.676 --> 00:57:42.846]  Our same media saying Israel's illegitimate, our same media saying have UN resolutions against it, and Hollywood, is the same media that cheerleaded hundreds of thousands of Syrian people being killed when Wahhabis invaded from all over the world, from Chechnya to Pakistan to Qatar to Saudi Arabia.
[00:57:45.805 --> 00:57:48.347]  And now it's up on InfoWars.com.
[00:57:48.567 --> 00:57:53.912]  John Kerry is working on another UN resolution that would officially recognize a Palestinian state.
[00:57:55.133 --> 00:58:01.919]  And Michael Schneider of the Economic Collapse blog links to all the actual statements where they admit the resolution is being prepared.
[00:58:03.200 --> 00:58:06.923]  And the Times of Israel says that Netanyahu is also anticipating it.
[00:58:07.924 --> 00:58:09.205]  I know it's trendy to hate Israel.
[00:58:09.886 --> 00:58:11.888]  I know it's really cool with the right wing and left wing.
[00:58:14.187 --> 00:58:18.771]  I'm not an enemy of Israel, even though I've been attacked by the Israeli lobby that does go around bullying.
[00:58:20.132 --> 00:58:25.456]  That said though, I'm not siding with the Islamicists that are running around having their kids suicide bombed.
[00:58:25.816 --> 00:58:27.137]  I'd go to hell before I do that.
[00:58:28.498 --> 00:58:39.126]  So just because a bunch of leftists in the whole Israel lobby lie about me and stuff, doesn't mean I'm falling to their level, or to the level even below that of the crazy fricking Islamicists.
[00:58:40.672 --> 00:58:43.554]  But again, this is a larger geopolitical move to get us into a war with Russia.
[00:58:43.834 --> 00:58:44.475]  I'm gonna break it down.
[00:58:44.535 --> 00:58:45.976]  I'm also gonna get into this AI stuff.
[00:58:46.296 --> 00:58:47.237]  I haven't gotten to yet.
[00:58:47.357 --> 00:58:48.698]  Second hour is key.
[00:58:48.998 --> 00:58:49.458]  Stay with us.
[00:58:50.679 --> 00:58:52.500]  You are listening to GCN.
[00:58:54.201 --> 00:58:56.263]  Visit GCNlive.com today.
[00:59:00.780 --> 00:59:03.982]  Have you ever witnessed a more arrogant president and first lady in your life?
[00:59:04.262 --> 00:59:14.348]  It wasn't enough that Michael, Michelle and Barack Obama were consistently campaigning for Hillary Clinton, telling you how to vote if you're black, telling you Trump could never win, forcing their communist lunch and healthcare down our throats.
[00:59:14.508 --> 00:59:19.411]  No, even in the face of total repudiation of the president and the first lady, check election results.
[00:59:19.571 --> 00:59:21.112]  Their arrogance remains supreme.
[00:59:21.312 --> 00:59:26.034]  On her way out of the White House, Michelle did an interview with Oprah when she said Trump supporters were like toddlers.
[00:59:26.234 --> 00:59:26.514]  Really?
[00:59:26.694 --> 00:59:28.314]  Did we cry about the election results?
[00:59:28.434 --> 00:59:30.475]  Did we say accept the results and then challenge them?
[00:59:30.655 --> 00:59:37.078]  She went on to say people are now feeling hopeless even though all new polls and markets are indicating this is the most hopeful people have felt in years.
[00:59:37.418 --> 00:59:40.159]  On Barry's way out, he claims he would have beaten Donald Trump
[00:59:40.419 --> 00:59:45.542]  Even though Hillary lost, whom he campaigned for, and basically told us it's Hillary or end of America.
[00:59:45.802 --> 00:59:52.105]  All this after finalizing their Christmas vacation tab to $35 million on the taxpayer's dime.
[00:59:52.185 --> 00:59:53.966]  This is Owen Schroer for InfoWars.
[00:59:54.447 --> 00:59:56.588]  Get Obama out!
[01:00:01.931 --> 01:00:07.834]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:00:13.968 --> 01:00:18.738]  Resurrected in Rogue One, Princess Leia has made the jump into hyperspace.
[01:00:22.293 --> 01:00:27.115]  Big Brother, mainstream media, government cover-ups.
[01:00:27.135 --> 01:00:28.556]  You want to stop tyranny?
[01:00:28.816 --> 01:00:29.976]  Well, so does he.
[01:00:30.476 --> 01:00:35.639]  Live from the InfoWars.com studios, it's Alex Jones.
[01:00:36.019 --> 01:00:36.999]  This just in!
[01:00:37.499 --> 01:00:47.984]  Carrie Fisher, who was flying in over the Christmas holiday from London into New York, had a heart attack on board, was in critical condition over the weekend, and it's just been announced she has died.
[01:00:49.011 --> 01:00:52.372]  So Princess Leia has made the jump into hyperspace.
[01:00:54.413 --> 01:00:58.155]  This shows you not everybody is going to make it out of 2016.
[01:00:58.355 --> 01:01:02.937]  Carrie Fisher dead in Los Angeles.
[01:01:03.857 --> 01:01:06.458]  And that is posted up on the Drudge Report right now.
[01:01:08.819 --> 01:01:10.440]  We'll also get that up on Infowars.com.
[01:01:13.328 --> 01:01:14.930]  Now, I've got a ton of news.
[01:01:14.950 --> 01:01:16.771]  That's right, Carrie Fisher dead at 60.
[01:01:17.112 --> 01:01:20.294]  This just broke like two minutes ago.
[01:01:21.235 --> 01:01:22.516]  Scroll down, I'll let you read the article.
[01:01:22.557 --> 01:01:22.837]  Thank you.
[01:01:25.606 --> 01:01:31.350]  Carrie Fisher died Tuesday morning, days after suffering a massive heart attack, on board a flight from London to LAX.
[01:01:31.391 --> 01:01:35.274]  A family spokesperson had confirmed TMZ broke the story.
[01:01:35.314 --> 01:01:39.737]  Fisher was on a flight from London to LAX Friday when she suffered the heart attack.
[01:01:39.757 --> 01:01:43.600]  15 minutes before landing, people on the plane tell TMZ she appeared lifeless.
[01:01:44.241 --> 01:01:53.548]  A passenger who had EMT performed CPR on Carrie and once in the flight landed, paramedics rushed her to UCLA Medical Center where she remained in intensive care until her death.
[01:01:54.619 --> 01:01:57.422]  Looks like she pretty much died on the plane.
[01:01:57.442 --> 01:01:58.443]  They just resuscitated her.
[01:01:59.164 --> 01:02:04.710]  The family had said she was in stable condition, but were told she was not responsive after her medical emergency.
[01:02:05.350 --> 01:02:09.375]  Carrie had been on a publicity tour for her new book, The Princess Dearest.
[01:02:10.805 --> 01:02:18.010]  Book recently made headlines before she wrote about having an affair with co-star Harrison Ford while shooting the original Star Wars movies.
[01:02:18.471 --> 01:02:33.542]  I'm not going to kick off a conspiracy theory here, but you hear about star killers and different stars that say as soon as you're not big, as soon as your name isn't big, as soon as you're not making them money, whether you're a rock and roll star, a country star, or a movie star,
[01:02:35.171 --> 01:02:38.016]  Look out when a big movie comes out about you or a big book.
[01:02:38.336 --> 01:02:41.661]  If you die though, it'll make it incredibly valuable.
[01:02:42.881 --> 01:02:48.363]  When that second hurrah comes around and sometimes, basically the mafia that's out in Hollywood will kill you.
[01:02:48.803 --> 01:02:58.606]  And I've talked to some high-powered people in Hollywood, not just some of the people that have been public, you know, who ran off to Canada and others, who said, indeed, this is something you've really got to worry about.
[01:02:58.886 --> 01:03:06.748]  So you want to stay big, you want to stay, you know, basically in the spotlight and have value, because then only killing you
[01:03:08.032 --> 01:03:12.915]  Gives you value because of a new burst of money that your managers or others are going to have.
[01:03:12.955 --> 01:03:21.781]  Now, she looked a little old for her age, and I know her and Mark Hamill reportedly liked to party a little bit, so that's probably not what happened.
[01:03:21.821 --> 01:03:32.868]  But when you got Joan Rivers saying, Michelle Obama's a tranny, everybody knows, and a couple weeks later she gets killed getting some plastic surgery, you know there's an issue.
[01:03:33.962 --> 01:03:45.688]  So that's all I'm saying is it should always be investigated when rich, powerful people in entertainment die because it's well known that managers and people get folks drugged up to control them.
[01:03:45.708 --> 01:03:48.929]  I mean, you talk about a cult, you talk about a mafia, Hollywood is it.
[01:03:50.210 --> 01:03:54.932]  Let me tell you, there is incredible mafia in L.A.
[01:03:55.732 --> 01:03:57.113]  People think, oh, you mean Italian mafia?
[01:03:57.133 --> 01:03:57.893]  Well, there's that.
[01:03:57.913 --> 01:03:58.113]  But
[01:04:03.680 --> 01:04:05.762]  There's also just other mafias.
[01:04:05.782 --> 01:04:08.905]  We always think of Italians being the only mafia that are out there.
[01:04:08.925 --> 01:04:10.286]  Did we ever get the Darth Vader clip?
[01:04:12.788 --> 01:04:15.871]  I recognized your foul stench when I was brought on board.
[01:04:17.213 --> 01:04:18.133]  Charming to the last.
[01:04:18.153 --> 01:04:19.535]  We need to get some actual clips here.
[01:04:21.109 --> 01:04:22.810]  Don't act so surprised, your highness.
[01:04:23.190 --> 01:04:25.292]  You weren't on any mercy missions this time.
[01:04:25.712 --> 01:04:27.793]  Several transmissions were beamed to this ship.
[01:04:28.173 --> 01:04:30.315]  I want to know what happened to the plans they sent you.
[01:04:30.595 --> 01:04:33.537]  I have to get in Darth Vader mode, and then I can actually do Darth Vader.
[01:04:34.017 --> 01:04:45.144]  And see, when James Earl Jones goes, I actually haven't tried for this, but I have done some commercials that are rip-offs of it, and been paid handsomely, but I have to get in the mode.
[01:04:45.604 --> 01:04:48.266]  I have to actually practice with the, this is CNN.
[01:04:48.526 --> 01:04:49.447]  See, now I'm starting to get into it.
[01:04:50.336 --> 01:04:53.680]  Closed Caption provided by Belaglanti, the heart of Closed Caption Communication.
[01:04:54.621 --> 01:04:59.106]  We can end this destructive conflict and bring order to the New World Order.
[01:04:59.807 --> 01:05:00.388]  We'll be back!
[01:05:00.788 --> 01:05:02.770]  Harry Fisher, more Viage!
[01:05:03.471 --> 01:05:03.852]  Stay with us.
[01:05:10.660 --> 01:05:15.464]  More than 20 years ago, when I started InfoWars, I was a fitness addict.
[01:05:15.604 --> 01:05:22.749]  As time went on, my metabolism slowed down, I quit working out, I was working 18 hours a day, and I gained right at 100 pounds.
[01:05:22.929 --> 01:05:25.331]  I started to exercise really hard again.
[01:05:25.791 --> 01:05:31.412]  And I started to try to eat healthy, started taking third-party supplements, started seeing some more gains.
[01:05:31.933 --> 01:05:42.275]  But when I started working with Dr. Group and some of the other top formulators in the country, they said, Alex, it's all about trace elements and things that the population is absolutely deficient in.
[01:05:42.475 --> 01:05:42.735]  Boom!
[01:05:43.155 --> 01:05:46.576]  Weight started pouring off, toxins started coming out of my body.
[01:05:47.056 --> 01:05:48.217]  Then, by early 2016,
[01:05:50.277 --> 01:05:53.619]  I was in the best shape of my life since I've been in really good shape in my 20s.
[01:05:53.639 --> 01:05:54.719]  But the election heated up.
[01:05:54.759 --> 01:05:57.140]  I started working 14, 15, 16 hours a day.
[01:05:57.260 --> 01:06:06.504]  But more importantly, I stopped taking supplements because we rearranged the kitchen and somebody took the Lazy Susan off the kitchen table where I took some every morning and I just kind of forgot about it.
[01:06:06.705 --> 01:06:07.685]  It was out of sight, out of mind.
[01:06:07.865 --> 01:06:11.547]  And so then I realized this morning, I said, we're going to put the Lazy Susan back on the table.
[01:06:12.367 --> 01:06:18.410]  And I'm going to start taking it religiously again, and I'm going to work out like I've been the last few weeks at the same level.
[01:06:18.430 --> 01:06:19.790]  It's the holidays, so I'll probably eat more.
[01:06:19.850 --> 01:06:23.392]  And whatever the results are, I'm going to publish the findings.
[01:06:25.253 --> 01:06:32.056]  I put the Lazy Susan back on the table, I'm religiously taking the products, and in just one week, I thought I'd lose two or three pounds.
[01:06:32.396 --> 01:06:38.859]  I've lost five pounds religiously taking just, what, four or five of the products.
[01:06:39.259 --> 01:06:39.799]  It's amazing.
[01:06:40.099 --> 01:06:42.460]  Infowarslives.com products are incredible.
[01:06:42.740 --> 01:06:45.441]  Go read the five-star reviews for yourself.
[01:06:45.641 --> 01:06:54.225]  And to be clear, I'm exercising the same amount, it's the holidays, so I'm eating pumpkin pie, pecan pie, I ate a candy bar last night,
[01:06:55.657 --> 01:06:58.800]  I mean, quite frankly, I eat more junk during the holidays like everybody else.
[01:06:59.260 --> 01:07:00.501]  So I'm eating worse.
[01:07:01.142 --> 01:07:08.509]  But because I've got these trace elements, or whatever it's doing in DNA Force and X2 and Supermail, I have lost 5 pounds.
[01:07:08.669 --> 01:07:09.190]  It's incredible.
[01:07:10.210 --> 01:07:12.132]  I thought I might lose 10 to 15 in a month.
[01:07:12.372 --> 01:07:13.634]  If this continues, it'll be 20.
[01:07:13.754 --> 01:07:16.156]  But generally, it's more dramatic up front.
[01:07:16.777 --> 01:07:17.637]  This is an experiment.
[01:07:17.757 --> 01:07:18.518]  Everybody's watching.
[01:07:18.758 --> 01:07:19.579]  We'll see what happens.
[01:07:20.020 --> 01:07:20.880]  This is Part 2.
[01:07:24.991 --> 01:07:25.612]  Well, here we are.
[01:07:25.672 --> 01:07:26.753]  Another week has passed.
[01:07:27.354 --> 01:07:39.447]  If memory serves, I lost 5 pounds the first week, 3 pounds the next, and only 1 pound this week because it's the holidays, there's fudge, there's candy, it's everywhere, and I've been picking out eggnog, you name it.
[01:07:39.487 --> 01:07:41.429]  This is the worst time of year, but usually you're gaining weight.
[01:07:41.889 --> 01:07:42.790]  I've lost a pound.
[01:07:43.311 --> 01:07:44.292]  So we're now up to 9 pounds.
[01:07:45.839 --> 01:07:50.023]  And I've only got a week and a half left or so until we see what happens in this experiment.
[01:07:50.043 --> 01:07:51.664]  But I'm pretty happy with nine pounds.
[01:07:51.684 --> 01:07:53.746]  But I want to lose five or six more.
[01:07:54.607 --> 01:07:59.271]  But as I said, I'm working out less, I'm eating more, I'm taking the supplements, I'm losing weight.
[01:07:59.831 --> 01:08:02.293]  Whatever's doing to me metabolically is amazing.
[01:08:02.394 --> 01:08:03.995]  Let's see what happens next week.
[01:08:22.597 --> 01:08:27.741]  He aligns himself with the truth, and it's time for you to choose a side.
[01:08:28.241 --> 01:08:32.023]  You're listening to Alex Jones.
[01:08:32.264 --> 01:08:33.705]  24 days out, ladies and gentlemen.
[01:08:34.205 --> 01:08:37.707]  Got a big hour here in the second hour before our guest joins us.
[01:08:37.727 --> 01:08:38.568]  I'm gonna open the phones up.
[01:08:38.928 --> 01:08:40.109]  The toll-free number to join us is 800-259-9231.
[01:08:40.129 --> 01:08:40.169]  800-259-9231.
[01:08:40.189 --> 01:08:41.410]  Again, I'm your host, Alex Jones.
[01:08:41.430 --> 01:08:43.231]  Thank you so much for joining us here today.
[01:08:51.601 --> 01:08:54.582]  Darth Vader, only you could be so bold.
[01:08:54.602 --> 01:08:55.963]  The Imperial Senate will not still them.
[01:08:56.623 --> 01:09:00.044]  When they hear you've attacked a diplomatic... You're to act so surprised, Your Highness.
[01:09:00.084 --> 01:09:02.525]  You weren't on any mercy mission this time.
[01:09:02.585 --> 01:09:05.867]  Several transmissions were beamed to the ship by Rebel spies.
[01:09:05.887 --> 01:09:09.068]  I want to know what happened to the plans they sent you.
[01:09:09.548 --> 01:09:10.809]  I don't know what you're talking about.
[01:09:10.909 --> 01:09:14.790]  I'm a member of the Imperial Senate on a diplomatic mission to Alderaan.
[01:09:14.810 --> 01:09:17.512]  You are part of the Rebel Alliance and a traitor.
[01:09:17.892 --> 01:09:18.412]  Take her away!
[01:09:23.359 --> 01:09:26.142]  Carrie Fisher makes a new appearance, literally.
[01:09:26.662 --> 01:09:34.290]  With the computer graphics, they're able to show her as she was in episode four, A New Hope, that came out in the late 1970s.
[01:09:34.430 --> 01:09:36.952]  I think it's 1977.
[01:09:38.333 --> 01:09:41.396]  And then the film ends where A New Hope begins.
[01:09:42.317 --> 01:09:45.661]  She was on a PR tour and died
[01:09:47.557 --> 01:09:50.260]  This morning in Los Angeles after coming back from London.
[01:09:51.101 --> 01:09:52.202]  I was just talking to Anthony Guicciardi.
[01:09:52.242 --> 01:09:53.503]  He said, yeah, I saw Rogue One.
[01:09:53.823 --> 01:10:00.030]  It's a lot better than the newer ones, but man, the villains are so much cooler that you just make movies with them.
[01:10:00.931 --> 01:10:03.053]  Especially the end scene with Darth Vader.
[01:10:03.113 --> 01:10:03.954]  That's the best ever.
[01:10:04.354 --> 01:10:05.435]  Why wasn't there more of that?
[01:10:05.856 --> 01:10:07.598]  And that's the big complaint about the movie.
[01:10:07.698 --> 01:10:08.679]  Not enough Darth Vader.
[01:10:11.024 --> 01:10:12.385]  At least there's no Jar Jar Binks.
[01:10:13.065 --> 01:10:15.746]  People ask, Alex is very serious with the New World Order.
[01:10:16.106 --> 01:10:17.547]  Very serious with war in the Middle East.
[01:10:17.607 --> 01:10:18.687]  Why are you talking about Star Wars?
[01:10:19.307 --> 01:10:20.888]  You gotta have some gallows humor.
[01:10:20.928 --> 01:10:22.249]  You gotta have some distractions.
[01:10:23.749 --> 01:10:24.950]  It's like talking about Kaepernick.
[01:10:25.270 --> 01:10:27.231]  You know, it's popular culture.
[01:10:27.571 --> 01:10:29.291]  It's how we reach out to new audiences.
[01:10:30.272 --> 01:10:32.573]  Plus, we all grew up watching Carrie Fisher and she's dead.
[01:10:33.533 --> 01:10:40.656]  It's always interesting when famous people die because it reminds you of your own... ...immortality.
[01:10:42.264 --> 01:10:56.594]  The fact that you are mortal, that you're not immortal, and that death's the great equalizer, and that death will touch us all, both in the loved ones we lose, but also personally.
[01:10:57.534 --> 01:11:02.598]  It is the great unifier that binds us all together, just as birth and consciousness is.
[01:11:03.098 --> 01:11:08.782]  Birth, consciousness, life, the great continuum, on into death, like rivers flowing to the sea.
[01:11:11.553 --> 01:11:14.333]  I want to hear from you specifically about the Israel situation.
[01:11:14.353 --> 01:11:30.556]  I want to hear from you specifically about the fact that it's reported that John Kerry is working on another UN resolution that would officially recognize the Palestinian state and the hell that'll break loose if that happens and why that's coming now.
[01:11:31.296 --> 01:11:34.457]  Have the Chinese aircraft carrier prowling the Pacific sending a message.
[01:11:36.597 --> 01:11:40.078]  We've got big news here with Obama coming out and signing
[01:11:41.431 --> 01:11:57.019]  The new legislation, it's titled, Countering Information Warfare Act, S-2696, the NDAA 2017, and specifically says they're going to federalize all media.
[01:12:00.401 --> 01:12:02.002]  Of course, he signed that on Friday night.
[01:12:03.103 --> 01:12:08.105]  Everybody was basically asleep on the eve of the Christmas holiday.
[01:12:09.006 --> 01:12:10.827]  It wasn't hard to predict that was going to happen.
[01:12:13.157 --> 01:12:20.640]  So we're gonna be breaking all of that down and tying it into the latest calls for massive censorship that are taking place and how we counter that.
[01:12:25.162 --> 01:12:29.583]  But before I go any further, let me just get the number out 800-259-9231.
[01:12:29.603 --> 01:12:29.943]  And by the way,
[01:12:34.721 --> 01:12:36.864]  There are people that bash me saying I hate Israel.
[01:12:37.185 --> 01:12:38.246]  They don't know what they're talking about.
[01:12:38.346 --> 01:12:40.269]  They're liars or they believe mainstream media.
[01:12:40.870 --> 01:12:51.125]  There are people that also make an entire religion and sport and way of life out of hating me and making up stuff about the fact that I supposedly work for Israel.
[01:12:52.639 --> 01:12:57.320]  This is a fad created by MSM obsessing over Israel all day.
[01:12:57.500 --> 01:12:58.840]  I'm sick of hearing about Israel.
[01:12:59.300 --> 01:13:00.881]  Israel's a tiny part of the Middle East.
[01:13:01.201 --> 01:13:02.261]  It's not going anywhere.
[01:13:02.661 --> 01:13:19.805]  Israel has hundreds of nuclear weapons, high-tech delivery systems, and every right-winger that thinks they're, you know, trendy, and every liberal that thinks they're trendy, obsesses over bashing Israel and worshiping Palestinians.
[01:13:20.779 --> 01:13:30.354]  Well, there are some people that had lands that were basically robbed of them during the colonization of the British and then when Israel was set up in the 40s.
[01:13:31.135 --> 01:13:32.657]  And you can certainly have some beef there.
[01:13:36.092 --> 01:13:49.875]  Most of the quote Palestinians are people that have immigrated or gotten into Israel and who claim that they're Palestinian in background and they want to overthrow Israel and they want all of the country and they want to drive all the Jews into the ocean.
[01:13:50.135 --> 01:13:51.595]  That's not going to happen.
[01:13:52.675 --> 01:13:53.756]  So you have to understand something.
[01:13:53.776 --> 01:13:58.516]  This is a political football that's used to threaten a war in the Middle East over and over again.
[01:13:58.877 --> 01:14:00.857]  Saudi Arabia doesn't take one Palestinian.
[01:14:01.912 --> 01:14:03.553]  Jordan doesn't take one Palestinian.
[01:14:04.073 --> 01:14:05.653]  Egypt doesn't take one Palestinian.
[01:14:06.254 --> 01:14:12.876]  And they oppress their own people all day long, and then obsess and claim that every problem in the world is caused by Israel.
[01:14:14.597 --> 01:14:20.239]  The left, on the other hand, claims that everyone who's pro-gun or anti-Obamacare is anti-Semitic and hates Israel.
[01:14:20.259 --> 01:14:27.902]  So there's also the sickening left on that front, the very same left that is attacking
[01:14:29.224 --> 01:14:32.306]  Info wars on a routine basis and pushing for gun control.
[01:14:32.686 --> 01:14:39.471]  So my biggest issue with Israel is a large part of the Israel lobby is anti-free speech and anti-gun in this country.
[01:14:41.112 --> 01:14:42.913]  And I've got a big problem with U.S.
[01:14:42.953 --> 01:14:48.416]  taxpayers paying for Israelis to have M16s, but then you're trying to block citizens here from having guns.
[01:14:48.716 --> 01:14:49.517]  So let's get something straight.
[01:14:49.537 --> 01:14:51.979]  I don't like the communist Chinese.
[01:14:52.972 --> 01:14:54.173]  I don't like the Israelis.
[01:14:54.753 --> 01:14:55.833]  I don't like the Brits.
[01:14:55.933 --> 01:14:56.914]  I don't like the Mexicans.
[01:14:57.014 --> 01:14:58.074]  I don't like the Canadians.
[01:14:58.635 --> 01:15:02.576]  Anybody involved in our domestic politics and trying to control what we're doing.
[01:15:03.997 --> 01:15:04.818]  And Israel is.
[01:15:05.238 --> 01:15:13.922]  But I don't put those provisos out with criticism of Israel to try to curry favor with the snot-nosed pseudo-intellectual anti-Semites out there.
[01:15:14.973 --> 01:15:16.394]  I state it because that's what I do.
[01:15:16.454 --> 01:15:27.422]  I break down wide spectrum analysis of what's really happening and try to look at each geopolitical player in their real historical role, not in some weird fantasy land.
[01:15:32.657 --> 01:15:41.503]  The issue here is, why is Obama launching this abstention vote now, basically saying, with the other members of the U.N.
[01:15:41.523 --> 01:15:46.006]  Security Council, go ahead with sanctions against Israel, and the U.N.
[01:15:46.046 --> 01:15:56.954]  now coming out and will officially condemn the state of Israel's existence, putting Israel into complete war mode, and encouraging Arab states around Israel to start a war.
[01:15:58.140 --> 01:16:22.343]  And why is Obama, who wouldn't do this for eight years, handing this to America like a hand grenade, the minute we try to disengage from foreign entanglements, kick out ISIS and al-Qaeda out of Syria, something Obama did as destabilization, and try to get our country moving forward economically, and working with Russia, and not spend trillions of dollars in a stupid new Cold War with them?
[01:16:23.160 --> 01:16:30.602]  It's a realignment with Russia, Japan, the UK, helping break up the EU and the globalist system and bringing real peace and prosperity.
[01:16:30.942 --> 01:16:40.985]  The globalists are moving on every front to open our borders, implode our currency, raise interest rates to drive down the Trump euphoria, and get a war started in the Middle East.
[01:16:41.025 --> 01:16:52.589]  And I've been saying every day since Trump got elected five weeks ago, on November 8th, I've been saying every single day they're trying to start a war in the Middle East.
[01:16:53.800 --> 01:17:03.244]  They're going to launch provocations against Russia, shoot down their aircraft, killing of their top diplomats, and they're going to try to start a war with Israel using the Islamicists.
[01:17:03.484 --> 01:17:04.364]  Now how do I know that?
[01:17:04.604 --> 01:17:06.225]  Because they admit that's their plan.
[01:17:08.606 --> 01:17:10.367]  They have a destabilization program.
[01:17:12.648 --> 01:17:20.991]  And so whereas I get tired of Israel's arrogance at some point, and I get tired of some of Israel meddling in our affairs, Israel's not trying
[01:17:22.790 --> 01:17:24.451]  Let's start a nuclear war with Russia right now.
[01:17:24.891 --> 01:17:31.274]  Israel is not involved in trying to dissolve our borders right now.
[01:17:33.375 --> 01:17:39.979]  If you're a Westerner, and you try to go to a lot of these Muslim countries, you can't preach the gospel, you have no rights, women are kept as animals.
[01:17:40.279 --> 01:17:42.420]  There's a billion, three hundred million Muslims.
[01:17:43.040 --> 01:17:46.222]  Our government's bringing them in as part of a destabilization program.
[01:17:48.376 --> 01:17:52.057]  So I'm asking listeners, we look at this, this is not a good idea.
[01:17:52.717 --> 01:18:08.742]  Even if you don't like Israel, some of you out there, what is the point of Obama, the New World Order, the globalists, the anti-gunner, the guy trying to sabotage our program to jumpstart the republic, as he leaves with 24 days left engaging in this train wreck?
[01:18:11.872 --> 01:18:14.534]  There are a lot of people out there on InfoWars, I see you commenting.
