[00:00:17.463 --> 00:00:17.884]  17 seconds.
[00:40:05.865 --> 00:40:20.233]  I mean, you know, a lot of the things I hear on InfoWars Alex talk about as far as Trump maybe being the only hope here and that, you know, we're not 100% sure that he really stands for the people if everything that he says is legitimate.
[00:40:20.814 --> 00:40:22.295]  But I would have to agree as far as
[00:40:23.596 --> 00:40:24.737]  Hope for this nation.
[00:40:24.857 --> 00:40:32.381]  We do need a leader who will stand up and speak the truth, speak about the 28 pages, because it's God's will that we expose darkness.
[00:40:33.461 --> 00:40:42.106]  At the same time, we could have a person that has all the right intents, of all the right motivations, that really wants to represent the people and represent righteousness.
[00:40:42.646 --> 00:40:50.650]  But if us as a common man of this country doesn't repent and return to God, embrace His commandments, stop slaughtering the innocent,
[00:40:51.270 --> 00:41:02.159]  Come out of our churches because the churches are corrupt and God is speaking all these things to a true prophet at trumpetcallofgod.com So I hope that Trump, you know means what he says.
[00:41:02.179 --> 00:41:09.124]  I hope that he's true And I'm praying that we can turn around individually because we can all have an impact on
[00:41:09.384 --> 00:41:14.030]  Daniel in the Bible was just one man, but he had an impact to shake up nations and kingdoms.
[00:41:14.350 --> 00:41:17.053]  And God's calling his people forth to come out and to embrace him.
[00:41:17.474 --> 00:41:19.175]  So political activism is great.
[00:41:19.196 --> 00:41:20.777]  We've got to speak out on these things.
[00:41:21.038 --> 00:41:23.420]  But in our own hearts, we have to do work with the Lord.
[00:41:24.201 --> 00:41:26.324]  As for the debate, you know, I like
[00:41:27.024 --> 00:41:37.527]  Some of the things that Cruz says, but he's just got that vibe with me that doesn't sit well, and I don't want to judge my brother because he says to be a child of God, but at the same time you'll know them by their fruits.
[00:41:37.947 --> 00:41:46.770]  Well, one good thing about Cruz though is he talks a lot about the Constitution too, which I count him as a fellow info warrior as far as bringing more people to
[00:41:47.410 --> 00:41:58.775]  This uprising, to this movement, because I think, actually, I think if Trump and Cruz worked a little bit more together, I think we'd see 75-80% going anti-establishment right here.
[00:41:58.995 --> 00:42:02.576]  Richard, we're going to go back, the debate is about to start.
[00:42:03.757 --> 00:42:16.642]  We're going to join the debate because they're about to start with the first questions here, but I agree with what he was saying and I heard a pastor today saying, essentially, that so many times Christians have, they're wondering what's going on with the evangelical vote.
[00:42:17.122 --> 00:42:22.806]  And he said he believes that a lot of Christians are looking at this and saying, you know, we have tried to achieve this politically.
[00:42:23.286 --> 00:42:27.869]  Now we're just looking for somebody who can pragmatically run the country as a manager.
[00:42:28.169 --> 00:42:32.532]  And we understand that these spiritual issues are something we're going to have to take care of locally.
[00:42:32.632 --> 00:42:33.793]  I think that's a healthy idea.
[00:42:34.093 --> 00:42:39.776]  And I think it's a healthy thing for us to say we're going to fight for our liberties individually in our communities.
[00:42:39.916 --> 00:42:44.959]  Let's just try to make sure that we've got our borders taken care of, that we're not being destroyed and managed.
[00:42:45.059 --> 00:42:47.020]  Our economy is not going to be managed by foreign power.
[00:42:47.041 --> 00:42:49.822]  I think that's going to be a very important thing for us to do moving forward.
[00:42:50.002 --> 00:42:50.863]  Let's go to the debate now.
[00:42:50.883 --> 00:42:52.324]  We'll come back to you, Richard, in a few minutes.
[00:42:52.364 --> 00:42:52.844]  Thank you so much.
[00:42:52.884 --> 00:42:53.844]  Richard Reeves in Houston.
[00:42:53.864 --> 00:42:55.105]  Let's join the debate here.
[00:42:55.165 --> 00:42:56.146]  This is the first comment.
[00:42:56.166 --> 00:42:57.306]  They're introducing themselves.
[00:42:57.366 --> 00:43:01.309]  Who am I this week to you American people?
[00:43:05.836 --> 00:43:06.376]  Governor Kasich.
[00:43:06.396 --> 00:43:12.579]  Well, you know, on the way over here, even getting ready earlier, sitting in the green room and watching the early coverage.
[00:43:13.419 --> 00:43:15.400]  You know, my father... Now, what did Kasich say today?
[00:43:15.420 --> 00:43:18.321]  Well, he's giving you his canned speech.
[00:43:18.381 --> 00:43:21.743]  Let me tell you what he said kind of off the cuff earlier this week.
[00:43:21.763 --> 00:43:25.484]  Somebody asked him, they said, well, you know, are you going to live out your purpose?
[00:43:25.564 --> 00:43:26.665]  And Kasich said this, he said...
[00:43:27.225 --> 00:43:29.867]  Well, I don't know if my purpose is to be president.
[00:43:30.287 --> 00:43:32.989]  My purpose is to be out here doing what I think I need to be doing.
[00:43:33.009 --> 00:43:34.170]  We'll see where that ends up.
[00:43:34.470 --> 00:43:36.251]  And if it's not this crusade, it'll be another.
[00:43:36.291 --> 00:43:39.634]  And maybe it'll be a really small one, like somewhere in my kid's school.
[00:43:39.714 --> 00:43:42.716]  And it's like, yeah, that's kind of what the poll numbers are telling him.
[00:43:43.016 --> 00:43:48.860]  I think that he may be going back and crusading in his kid's school because I don't think he's going to make it too far in the presidential race.
[00:43:49.361 --> 00:43:49.581]  Yeah.
[00:43:52.222 --> 00:43:57.066]  And to convince everyone he's not part of the establishment and he's against the big banks and everything.
[00:43:57.647 --> 00:44:01.270]  I got my golden parachute and now I'm against it just like Hillary Clinton.
[00:44:01.470 --> 00:44:04.793]  I'm against big money in politics just as soon as I get elected.
[00:44:05.624 --> 00:44:08.186]  36 years ago, Ronald Reagan and George H.W.
[00:44:08.226 --> 00:44:09.988]  Bush began the Reagan Revolution.
[00:44:10.148 --> 00:44:16.092]  For a generation, they defined conservatism as limited government and free enterprise and a strong national defense.
[00:44:16.232 --> 00:44:17.593]  He'll talk about ISIS a lot, too.
[00:44:17.674 --> 00:44:20.736]  He loves to drop Reagan and ISIS names.
[00:44:20.756 --> 00:44:23.058]  That's just something you will see over and over again.
[00:44:23.138 --> 00:44:24.038]  It's under the programming.
[00:44:24.139 --> 00:44:27.081]  I think there's some foam party suds on his forehead.
[00:44:28.723 --> 00:44:34.029]  I just, I mean, even when you just look at him, there's no way that he's gonna stand up to ISIS.
[00:44:34.449 --> 00:44:36.291]  I just, you know, it's just not gonna happen.
[00:44:36.351 --> 00:44:37.072]  Sorry, Marco.
[00:44:37.092 --> 00:44:38.914]  I agree with everybody else.
[00:44:39.535 --> 00:44:40.576]  Go get some experience.
[00:44:44.449 --> 00:44:49.252]  It's interesting because the guys who are running as senators, they haven't even finished a single term yet.
[00:44:49.472 --> 00:44:52.914]  Ted Cruz has only finished about two-thirds of a single term.
[00:44:52.954 --> 00:44:56.397]  Here my mom became the first in our family ever to go to college.
[00:44:57.057 --> 00:45:03.641]  Here my dad fled Cuba and washed dishes making 50 cents an hour to pay his way through the University of Texas.
[00:45:04.262 --> 00:45:07.464]  I graduated from high school at Second Baptist, not too far away from here.
[00:45:08.104 --> 00:45:08.805]  He skipped over the Canada part.
[00:45:08.825 --> 00:45:09.405]  He forgot about that.
[00:45:09.445 --> 00:45:10.906]  And that's when I renounced my Canadian citizenship.
[00:45:10.926 --> 00:45:11.347]  Here's the thing.
[00:45:11.487 --> 00:45:14.229]  If he wants to appoint an originalist constitutionalist, Mike Scalia.
[00:45:30.161 --> 00:45:36.164]  If he wants to promote a Supreme Court judge like Scalia, then he should tell us why he's a natural born citizen, but he doesn't.
[00:45:36.524 --> 00:45:37.084]  Great again.
[00:45:37.564 --> 00:45:39.205]  We don't win anymore as a country.
[00:45:39.665 --> 00:45:40.826]  We don't win with trade.
[00:45:41.386 --> 00:45:42.787]  We don't win with the military.
[00:45:42.967 --> 00:45:44.788]  ISIS, we can't even knock out ISIS.
[00:45:44.928 --> 00:45:46.909]  And we will, believe me, we will.
[00:45:47.629 --> 00:45:50.150]  We don't win in any capacity with healthcare.
[00:45:50.210 --> 00:45:51.731]  We have terrible healthcare.
[00:45:51.991 --> 00:45:54.612]  Obamacare is going to be repealed and replaced.
[00:45:55.092 --> 00:45:56.653]  We just don't win.
[00:45:56.673 --> 00:45:57.673]  You look at our borders.
[00:45:57.833 --> 00:45:59.014]  They're like Swiss cheese.
[00:45:59.174 --> 00:46:00.194]  Everybody pours in.
[00:46:00.815 --> 00:46:02.275]  We're going to make a great country again.
[00:46:02.295 --> 00:46:03.816]  We're going to start winning again.
[00:46:03.836 --> 00:46:05.056]  We're going to win a lot.
[00:46:05.416 --> 00:46:06.757]  It's going to be a big difference.
[00:46:06.857 --> 00:46:07.337]  Believe me.
[00:46:07.377 --> 00:46:08.898]  It's going to be a big, big difference.
[00:46:11.889 --> 00:46:16.030]  Wow, he had some cheers there from the six students in attendance.
[00:46:16.090 --> 00:46:18.311]  It's now time to begin questions.
[00:46:18.411 --> 00:46:33.554]  Voters in the first four states have spoken and Mr. Trump has emerged as the frontrunner, but in five days the candidates will face their biggest test yet, Super Tuesday, when nearly half of the delegates needed to win the Republican nomination will be awarded.
[00:46:33.874 --> 00:46:37.475]  We're going to take a quick break and we'll be right back with the debate.
[00:46:37.495 --> 00:46:39.516]  We're going to be joining it and of course there's going to be
[00:46:40.276 --> 00:46:41.885]  This is going to be quite a debate tonight, I think.
[00:46:41.925 --> 00:46:42.407]  Stay with us.
[00:46:42.689 --> 00:46:43.232]  We'll be right back.
[00:47:00.899 --> 00:47:01.900]  Brain Force is here.
[00:47:02.440 --> 00:47:04.722]  Ladies and gentlemen, I've been on this the last few months.
[00:47:05.003 --> 00:47:12.850]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of Brain Force.
[00:47:13.635 --> 00:47:17.218]  One of the worst things with most energy products is it's not sustainable, right?
[00:47:17.238 --> 00:47:19.600]  You're gonna crash, you're gonna feel really bad afterwards.
[00:47:19.960 --> 00:47:23.483]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:47:23.543 --> 00:47:26.685]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:47:27.185 --> 00:47:32.009]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[00:47:32.550 --> 00:47:34.391]  For example, the L-theanine inside of it.
[00:47:34.731 --> 00:47:39.175]  That is activated by the different compounds in the Yerba Mate that we put inside of it as well.
[00:47:39.335 --> 00:47:41.356]  This just increases the compounds you already have.
[00:47:41.977 --> 00:47:43.458]  This is what you're actually designed to run on.
[00:47:43.598 --> 00:47:43.738]  Exactly.
[00:47:43.758 --> 00:47:47.681]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[00:47:48.182 --> 00:47:56.228]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:48:01.110 --> 00:48:06.092]  Introducing Secret 12, the new InfoWars Life vitamin B12 formulation.
[00:48:06.352 --> 00:48:12.474]  Most forms of vitamin B12 are highly processed and synthetic, and cannot be properly absorbed by the body.
[00:48:12.654 --> 00:48:19.636]  That's why for real results, so many are having to turn to painful B12 injections, which are known to have higher absorption rates.
[00:48:19.976 --> 00:48:29.819]  Now, InfoWarsLife.com is excited to announce that we can bring you our most bioactive, powerful form of B12 that has been developed with our exclusive perfected process.
[00:48:30.479 --> 00:48:36.423]  Secret 12 is a binary of nutrimedical grade, bioavailable, coenzyme forms of B12.
[00:48:36.643 --> 00:48:39.325]  Methylcobalamin, the same kind used in B12 injections.
[00:48:39.725 --> 00:48:41.186]  And adenosylcobalamin.
[00:48:41.467 --> 00:48:44.809]  Secret 12 is simply taken by mouth, right on the tongue, and then swallowed.
[00:48:45.069 --> 00:48:46.690]  No needles, no injections.
[00:48:46.950 --> 00:48:48.451]  Don't take my word for it.
[00:48:48.611 --> 00:48:49.672]  Try it for yourself.
[00:48:49.812 --> 00:48:50.813]  Discover the secret.
[00:48:51.053 --> 00:48:51.373]  Secret 12.
[00:48:52.114 --> 00:48:57.257]  Secure your revolutionary Secret 12 formula right now at Infowarslife.com or call 888-253-3139.
[00:49:00.179 --> 00:49:00.432]  We're good.
[00:49:11.920 --> 00:49:14.461]  Welcome back to our live coverage of the Houston debate.
[00:49:14.581 --> 00:49:18.262]  And as we were on break, they asked the first question about immigration.
[00:49:18.282 --> 00:49:20.723]  Will you expel the 11 million people?
[00:49:20.783 --> 00:49:25.385]  And Trump pointed out, we wouldn't even be talking about this in these terms if it wasn't for me.
[00:49:25.465 --> 00:49:26.325]  Let's go back to the debate.
[00:49:26.345 --> 00:49:31.947]  Ted mentioned Arizona because probably the toughest man on borders is Sheriff Joe Arpaio.
[00:49:32.027 --> 00:49:34.448]  And two days ago, he totally endorsed me.
[00:49:34.548 --> 00:49:35.829]  So, thank you.
[00:49:38.996 --> 00:49:48.242]  Senator Rubio, Senator Rubio, Senator Cruz has called your immigration plan amnesty and has an ad out there comparing it to President Obama's.
[00:49:48.502 --> 00:49:57.769]  He says both of you support allowing undocumented immigrants legal status here in the United States after a background check, paying a fine, and paying taxes.
[00:49:58.169 --> 00:49:59.550]  Are those claims correct?
[00:49:59.810 --> 00:50:07.877]  Well, first of all, before we do anything, and I've been abundantly clear on this, when I'm President of the United States, before we do anything on immigration, we are going to secure the border.
[00:50:07.937 --> 00:50:11.540]  And that's not just the physical border with Mexico, it's visa overstays.
[00:50:11.980 --> 00:50:18.446]  Well, why'd you triple the amount of H-1B worker visas that the President was given and able to hand out?
[00:50:18.766 --> 00:50:19.547]  And that's not even the H-2B visas.
[00:50:19.567 --> 00:50:21.728]  And Donald mentioned, because he mentioned me in his answer,
[00:50:26.412 --> 00:50:27.493]  Is your plan Obama's plan?
[00:50:27.573 --> 00:50:28.554]  Thanks to me because I tripled
[00:50:52.176 --> 00:50:53.177]  Oh my gosh!
[00:50:53.197 --> 00:50:58.760]  He tripled the H-1B visas to allow these people to come in and take American jobs.
[00:50:58.780 --> 00:50:59.040]  Wow.
[00:50:59.401 --> 00:51:02.623]  Answer the question, Marco Rubio.
[00:51:02.643 --> 00:51:06.745]  Of course they're going to pay the fines because 90% skipped the court appearances.
[00:51:06.825 --> 00:51:07.326]  Right, yeah.
[00:51:07.426 --> 00:51:10.468]  Of course they're going to pay the fines.
[00:51:10.508 --> 00:51:13.850]  As soon as they get a job, one of your jobs is to pay for it.
[00:51:13.910 --> 00:51:17.612]  In the 1950s, they started moving people out and the rest of them left.
[00:51:17.953 --> 00:51:19.414]  Self-deportation, as I
[00:51:20.174 --> 00:51:24.778]  Really define it, and that's the way I define it, is you're gonna get some to go and the rest are gonna go out.
[00:51:25.118 --> 00:51:34.347]  As far as the people that I've hired in various parts of Florida during the absolute prime season, like Palm Beach and other locations, you could not get help.
[00:51:34.407 --> 00:51:35.348]  It's the up season.
[00:51:35.688 --> 00:51:37.570]  People didn't want to have part-time jobs.
[00:51:37.590 --> 00:51:41.633]  There were part-time jobs, very seasonal, 90 day jobs, 120 day jobs, and you couldn't get.
[00:51:43.895 --> 00:51:45.375]  Everybody agrees with me on that.
[00:51:45.696 --> 00:51:52.957]  They were part-time jobs you needed, or we just might as well close the doors because you couldn't get help in those hot, hot sections of Florida.
[00:51:54.318 --> 00:51:57.879]  My point that I made was that you had criticized Mitt Romney for self-deportation.
[00:51:57.919 --> 00:51:59.979]  You're trying to avoid the question that you were asked.
[00:51:59.999 --> 00:52:02.000]  Mitt Romney isn't running.
[00:52:02.040 --> 00:52:03.580]  How do the people in Florida feel?
[00:52:03.600 --> 00:52:05.401]  Politico said that Rubio is Romney 2.0, Rob.
[00:52:10.382 --> 00:52:27.518]  How do the people in Florida feel when all of their jobs went to their foreign replacements and people there in Disney they actually had someone testify today and cry about the fact that he had to train his replacement and that this is not
[00:52:28.938 --> 00:52:36.360]  And he's never going to end up answering that question.
[00:52:36.480 --> 00:52:37.621]  He just went after Trump.
[00:52:37.641 --> 00:52:48.084]  He's going to flip all over this self-deportation, he's going to ignore amnesty, he's going to ignore his tripling of the H-1B visas, criticize somebody for using what he provided out there, and then focus on self-deportation.
[00:52:52.905 --> 00:53:02.914]  And you were, you were curious, you were, you were wondering would they actually talk about issues or would they just try to attack each other and that's obviously the tactic that he's been given tonight because he didn't answer.
[00:53:02.934 --> 00:53:05.216]  That was a great comeback.
[00:53:05.756 --> 00:53:07.218]  Okay, so he says, well you hired people.
[00:53:07.258 --> 00:53:09.580]  He goes, I'm the only one on the stage that's hired people.
[00:53:09.640 --> 00:53:10.841]  You haven't ever hired anybody.
[00:53:12.994 --> 00:53:14.755]  You've just given away people's jobs.
[00:53:14.775 --> 00:53:17.036]  Don't talk to me about how you managed your credit cards.
[00:53:17.056 --> 00:53:18.337]  Rubio's trying to put on his big boy pants.
[00:53:18.357 --> 00:53:18.897]  Not gonna happen.
[00:53:18.917 --> 00:53:21.098]  Somebody needs to tell him to go after the visas, man.
[00:53:37.285 --> 00:53:40.866]  And you're just so against it that you just fought so hard.
[00:53:40.926 --> 00:53:42.987]  He's smiling because he avoided the question.
[00:53:43.167 --> 00:53:44.747]  Triple the amount of visas.
[00:53:45.207 --> 00:53:46.228]  Keep a beak wide.
[00:53:46.248 --> 00:53:47.608]  Just speak wide.
[00:53:47.688 --> 00:53:48.228]  Let me talk.
[00:53:48.628 --> 00:53:50.709]  I've hired tens of thousands of people.
[00:53:51.289 --> 00:53:53.249]  He brings up something from 30 years ago.
[00:53:53.589 --> 00:53:54.750]  It worked out very well.
[00:53:54.870 --> 00:53:55.810]  Everybody was happy.
[00:53:55.870 --> 00:53:58.151]  And by the way, the laws were totally different.
[00:53:58.171 --> 00:53:58.491]  Look at him.
[00:53:58.511 --> 00:53:59.851]  He's like, I'm winning this debate.
[00:53:59.871 --> 00:54:01.091]  But I've hired people.
[00:54:01.451 --> 00:54:03.432]  Nobody up here has hired... Senator Cruz.
[00:54:04.867 --> 00:54:08.749]  Why doesn't Trump say, hey, you should answer the question?
[00:54:08.789 --> 00:54:17.054]  I guess they're not going to press him on answering the question.
[00:54:17.114 --> 00:54:20.475]  Maybe their parents would take them with them.
[00:54:20.616 --> 00:54:23.057]  Yeah, this is what's happening in Rubio's state right here.
[00:54:23.197 --> 00:54:26.419]  Pink slips at Disney, but train your foreign replacements first.
[00:54:26.519 --> 00:54:30.421]  I don't understand this whole thing about, what about the children who are left behind?
[00:54:30.881 --> 00:54:34.223]  What kind of a parent would leave their kids behind if they were getting deported?
[00:54:34.423 --> 00:54:35.343]  I don't understand that.
[00:54:35.403 --> 00:54:43.167]  I mean, if I went somewhere, and I was violating the law going there, and I took my child there, or had children there, and they deported me, I would take my children with me.
[00:54:43.187 --> 00:54:48.649]  Some of the same parents that are sending their kids over in trains, and they're dying trying to come across the border, they're not even coming with them.
[00:54:49.289 --> 00:54:49.449]  Yeah.
[00:54:49.469 --> 00:54:49.609]  Yeah.
[00:54:55.126 --> 00:54:56.807]  And indeed, if you look at the Gang of Eight.
[00:54:57.167 --> 00:54:58.568]  A very successful show.
[00:54:59.228 --> 00:54:59.928]  It was huge.
[00:55:00.449 --> 00:55:04.991]  Broke his promise to the men and women who elected him and wrote the amnesty bill.
[00:55:05.831 --> 00:55:07.932]  But Donald funded the Gang of Eight.
[00:55:08.052 --> 00:55:10.113]  See, it's all about attacking Donald.
[00:55:10.133 --> 00:55:21.598]  Hey, by the way guys, don't forget, I'm waiting on the edge of my seat here because remember they're saying that there's supposed to be a huge scandal about Donald Trump that's supposed to break sometime this week.
[00:55:21.939 --> 00:55:24.720]  Mitt Romney has been going around all week on... He had something with his tax records.
[00:55:25.220 --> 00:55:25.641]  Exactly.
[00:55:25.681 --> 00:55:43.554]  Mitt Romney said that it was bombshell information we had earlier this week on the Alex Jones Show as political strategist and Trump insider Roger Stone who said that he thought the establishment Republicans were going to make up some BS story about Trump cheating on his taxes or maybe saying that he is married to the mob.
[00:55:44.395 --> 00:55:47.278]  Well, and of course, they didn't make up anything, what he did.
[00:55:47.298 --> 00:55:57.547]  One of the reasons, I think, that you saw Donald Trump going after Romney, criticizing him for being a loser, running a bad campaign, is because Romney just threw out a lot of baseless innuendo.
[00:55:57.607 --> 00:55:58.447]  Well, I don't know.
[00:55:58.487 --> 00:55:59.548]  It could be this, it could be that.
[00:55:59.588 --> 00:56:00.129]  We'll have to see.
[00:56:00.189 --> 00:56:02.371]  But, you know, there's something there because he's not putting...
[00:56:02.611 --> 00:56:08.013]  People were begging Romney for a couple of months to release his tax returns before he finally did.
[00:56:08.433 --> 00:56:16.497]  And of course... And I've said it before, you gotta be careful when you attack Trump, because that what doesn't kill him only makes him stronger, so it could come and backfire on him big time.
[00:56:16.557 --> 00:56:20.278]  And he's already admitted, he's a billionaire, he's paid off all the politicians.
[00:56:20.438 --> 00:56:21.399]  Right.
[00:56:21.419 --> 00:56:31.483]  I mean... You don't have one Republican... You don't have one Republican Senator and you work with them every day of your life, although you skipped a lot of time, these are minor details.
[00:56:33.047 --> 00:56:35.229]  One Republican Senator backing you.
[00:56:35.309 --> 00:56:35.809]  Not one.
[00:56:35.849 --> 00:56:40.212]  You don't have the endorsement of one Republican Senator and you work with these people.
[00:56:40.232 --> 00:56:40.712]  Senator Cruz.
[00:56:40.952 --> 00:56:41.713]  Him and Rubio.
[00:56:47.031 --> 00:56:50.973]  He is promising if he's elected he will go and cut deals in Washington, and he's right.
[00:56:51.333 --> 00:56:55.375]  He has supported, he has given hundreds of thousands of dollars to Democrats.
[00:56:55.395 --> 00:57:00.477]  Anyone who really cared about illegal immigration wouldn't be hiring illegal immigrants.
[00:57:00.537 --> 00:57:07.520]  Anyone who really cared about illegal immigration wouldn't be funding Harry Reid and Nancy Pelosi, wouldn't be funding the Gang of Eight.
[00:57:08.020 --> 00:57:09.160]  And, you know, he is right.
[00:57:09.280 --> 00:57:14.583]  Anybody who really supported the Constitution, Ted, wouldn't be running when they're not eligible to either.
[00:57:14.603 --> 00:57:15.443]  That's the whole thing.
[00:57:15.963 --> 00:57:19.467]  That's what his former Harvard professor said.
[00:57:19.587 --> 00:57:22.369]  So the kind of judge at a point would say that you're not qualified.
[00:57:22.730 --> 00:57:24.251]  Because they read the Constitution.
[00:57:25.472 --> 00:57:30.177]  It is easy for him to say, oh, you would do this if you really... but he hasn't hired anyone.
[00:57:30.617 --> 00:57:35.121]  And if he was a smart business person, he, like the rest of the corporate world, would be...
[00:57:35.902 --> 00:57:36.842]  Iron people for cheap.
[00:57:54.990 --> 00:57:57.071]  You can respond, but let me get Governor Kasich in.
[00:57:57.091 --> 00:57:58.032]  He's been waiting patiently.
[00:57:58.692 --> 00:57:59.793]  Governor Kasich.
[00:57:59.933 --> 00:58:07.256]  He does have 3 or 4% of the polls, so we should give him a chance to respond to something at some point in the future.
[00:58:07.376 --> 00:58:08.437]  And he's from Ohio.
[00:58:08.777 --> 00:58:12.879]  Should people be allowed to break the law just because it's not feasible?
[00:58:13.159 --> 00:58:16.841]  And one of the polls that I just saw shows him losing in his own state.
[00:58:17.714 --> 00:58:19.196]  Why do you cry?
[00:58:39.115 --> 00:58:40.776]  Look, I think there is an answer here.
[00:58:41.337 --> 00:58:49.261]  The answer is you complete the border, you let people... Okay, so John Kasich is getting very nostalgic about those halcyon days of the Bush administration.
[00:58:49.862 --> 00:58:51.663]  We're going to take a quick break and we'll be right back.
[00:58:51.723 --> 00:58:52.123]  Stay with us.
[00:59:01.090 --> 00:59:02.291]  Knockout is back.
[00:59:02.611 --> 00:59:13.718]  If you want a product that has 10 known ingredients that naturally get your body to relax, your brain to relax, so you get deep restful sleep, Knockout's it.
[00:59:14.118 --> 00:59:15.819]  Infowarslife.com.
[00:59:16.299 --> 00:59:17.020]  L-Theanine.
[00:59:17.680 --> 00:59:25.425]  Hops flower extract, lemon balm extract, valerian root extract, chamomile flower extract, L-tryptophan extract, melatonin, and more.
[00:59:25.825 --> 00:59:27.586]  All organic, all the natural sources.
[00:59:28.167 --> 00:59:32.549]  It's the same price as leading brands of melatonin that are three milligrams a piece.
[00:59:33.010 --> 00:59:38.653]  It has three milligram, the standard recommended dose for an adult, and it just synergistically puts everything in there.
[00:59:38.993 --> 00:59:40.234]  Infowarslife.com.
[00:59:40.394 --> 00:59:42.355]  That's Infowarslife.com or call 888-253-3139.
[00:59:45.956 --> 00:59:49.878]  You are watching the InfoWars Nightly News, which airs 7 p.m.
[00:59:49.918 --> 00:59:52.379]  Central at InfoWarsNews.com.
[00:59:52.519 --> 00:59:56.060]  And your support is helping us defend liberty worldwide.
[01:00:04.004 --> 01:00:07.805]  And let's dispel once and for all the suspicion that Barack Obama doesn't know what he's doing.
[01:00:07.845 --> 01:00:09.106]  He knows exactly what he's doing.
[01:00:22.722 --> 01:00:24.403]  Welcome back to the InfoWars Nightly News.
[01:00:24.443 --> 01:00:26.004]  Live coverage of the GOP debate.
[01:00:26.044 --> 01:00:28.925]  The final GOP debate before the Super Tuesday election.
[01:00:29.005 --> 01:00:30.066]  Five days away.
[01:00:30.426 --> 01:00:32.427]  Let's return back to the debate.
[01:00:32.647 --> 01:00:32.887]  Some audio.
[01:00:32.907 --> 01:00:34.608]  We've got Ben Carson to tell you a question.
[01:00:34.908 --> 01:00:36.889]  I'll just tell those who are watching our broadcast.
[01:00:37.149 --> 01:00:41.231]  From here on out, we'll be synchronizing with the station breaks that CNN had.
[01:00:41.291 --> 01:00:45.053]  We had some hard breaks that we need to do for our network sponsors in this first hour.
[01:00:45.073 --> 01:00:46.153]  Let's go back to Ben Carson.
[01:00:46.674 --> 01:00:48.074]  They have to pay a back-tax penalty.
[01:00:48.094 --> 01:00:49.575]  They have to pay taxes going forward.
[01:00:49.595 --> 01:00:51.376]  But they don't have to live underground anymore.
[01:00:52.268 --> 01:00:57.531]  And I think they do not become American citizens, they do not vote.
[01:00:57.871 --> 01:01:02.854]  If they want to become an American citizen, they go through exactly the same process that anybody else goes through.
[01:01:03.375 --> 01:01:06.416]  I think that's the kind of situation that is actually fair to people.
[01:01:06.817 --> 01:01:12.540]  And we have other ways of utilizing our facilities and our talents as foreign aid.
[01:01:13.140 --> 01:01:21.285]  Doing things in South America and Central America and Mexico that improve the economy there so that they don't feel the need to come over here.
[01:01:21.465 --> 01:01:23.066]  How about ending the war on drugs?
[01:01:23.086 --> 01:01:24.286]  Would that improve the economy?
[01:01:24.326 --> 01:01:25.606]  Would that stop the violence?
[01:01:26.146 --> 01:01:30.528]  And maybe we can improve our economy here by getting rid of the welfare entitlement state.
[01:01:30.788 --> 01:01:31.288]  Right.
[01:01:31.448 --> 01:01:39.831]  So those two issues, the welfare entitlement state and the war on drugs, are both a magnet to bring people in as well as to import crime into our country.
[01:01:39.851 --> 01:01:43.192]  But we're not going to touch those because those are untouchable programs.
[01:01:43.232 --> 01:01:45.072]  They make the government stronger.
[01:01:45.112 --> 01:01:47.293]  They don't work for the people, but they make the government stronger.
[01:01:47.313 --> 01:01:49.114]  The war on drugs, the welfare state.
[01:01:50.114 --> 01:01:54.562]  The last two presidents of Mexico say that will never happen.
[01:01:54.622 --> 01:02:00.932]  In fact, the former president of Mexico, Vicente Fox, he said today, and I'm quoting him... Do it for your host country!
[01:02:01.353 --> 01:02:02.975]  Vote for your host country.
[01:02:04.056 --> 01:02:08.420]  That's no pasara for you, uh, Spanish speakers out there.
[01:02:08.480 --> 01:02:10.041]  No pasara.
[01:02:10.081 --> 01:02:10.621]  Yeah.
[01:02:10.681 --> 01:02:11.222]  Yeah.
[01:02:11.242 --> 01:02:17.086]  He's not appealing to Hispanics that he's angry with for voting for Trump.
[01:02:17.126 --> 01:02:20.649]  Okay, I'm not saying this is about race, but, you know, do it for your host country.
[01:02:20.709 --> 01:02:22.611]  If it's a host country, you don't have to worry.
[01:02:24.992 --> 01:02:27.234]  I was talking to some college students yesterday.
[01:02:27.254 --> 01:02:30.936]  I was talking to some college students yesterday at the University of Texas.
[01:02:31.217 --> 01:02:35.900]  And this guy's like, I asked him, I said, if you could tell Donald Trump right now anything, what would it be?
[01:02:36.140 --> 01:02:38.702]  I said, look into the camera, be completely honest.
[01:02:39.082 --> 01:02:40.824]  He goes, well, I think he's racist.
[01:02:41.104 --> 01:02:42.085]  And I go, well, why is that?
[01:02:42.105 --> 01:02:45.307]  He goes, well, he wants to build a wall between us and Mexico.
[01:02:45.667 --> 01:02:48.469]  I said, hey, buddy, you know there's a wall in southern Mexico?
