[00:00:22.239 --> 00:00:25.670]  Resistance to tyrants is obedience to God.
[00:25:48.588 --> 00:25:53.932]  But we know that they try to use these crises, both manufactured and real, to get more power.
[00:25:53.952 --> 00:25:55.734]  And that's why they're being defeated.
[00:25:58.856 --> 00:26:01.918]  And the guys... Oh, no, not another one.
[00:26:02.198 --> 00:26:02.719]  Where is he?
[00:26:08.543 --> 00:26:09.584]  How old is this kid?
[00:26:12.068 --> 00:26:13.068]  How old is this kid?
[00:26:13.088 --> 00:26:15.369]  Get out of here.
[00:26:15.389 --> 00:26:16.989]  Get out of here.
[00:26:17.009 --> 00:26:18.129]  Still wearing diapers.
[00:26:19.550 --> 00:26:19.950]  Look at this kid.
[00:26:19.990 --> 00:26:29.172]  I'm telling you, the kid looks like he's ten years old.
[00:26:29.212 --> 00:26:29.972]  I've never seen him.
[00:26:33.613 --> 00:26:34.513]  It's unbelievable.
[00:26:36.113 --> 00:26:38.153]  That's the youngest protester I've ever seen.
[00:26:38.213 --> 00:26:40.194]  Actually, Ted Cruz had a very young one also.
[00:26:43.870 --> 00:26:45.251]  I've never seen anybody like that.
[00:26:45.391 --> 00:26:46.312]  All right.
[00:26:46.852 --> 00:26:50.576]  Trump is just mainlining what the majority of Americans are already concerned about.
[00:26:51.576 --> 00:26:52.838]  And we're tired of being lied to.
[00:26:53.778 --> 00:26:58.943]  And the system is in full panic mode, turning all these thugs loose to try to shut down free speech rallies and more.
[00:26:59.143 --> 00:27:00.224]  And that's only backfiring.
[00:27:01.205 --> 00:27:03.047]  The system is so scared right now.
[00:27:03.087 --> 00:27:06.750]  But bottom line, America's culture is a conspiracy culture since 1776.
[00:27:09.554 --> 00:27:12.376]  We were ruled by far away land, by far away empire.
[00:27:12.917 --> 00:27:16.239]  We were born out of not trusting the government and wanting a small government.
[00:27:16.259 --> 00:27:18.921]  We're just rediscovering who we were and what made us great.
[00:27:19.782 --> 00:27:24.205]  We've been occupied by multinational globalists that say they're establishing a world government.
[00:27:25.026 --> 00:27:26.087]  Is this global governance at last?
[00:27:26.107 --> 00:27:26.547]  Is it one world?
[00:27:26.567 --> 00:27:27.487]  The central bankers in charge.
[00:27:27.507 --> 00:27:30.408]  But aren't we all just living and dying for what the central banks do?
[00:27:30.508 --> 00:27:31.629]  Of course we are.
[00:27:31.649 --> 00:27:33.370]  We are absolutely slaves to central banks.
[00:27:45.735 --> 00:27:49.518]  You people want to have a full takeover of America when you've already seized its institutions.
[00:27:49.718 --> 00:27:50.879]  You want to shut down free speech.
[00:27:51.420 --> 00:27:52.340]  We're not flat-footed.
[00:27:52.500 --> 00:27:53.441]  We warned everybody.
[00:27:53.902 --> 00:27:55.923]  Patriots, 60 years ago, got the word out.
[00:27:56.704 --> 00:28:00.707]  And now, we held your system back for so long, it finally is getting here.
[00:28:00.787 --> 00:28:06.571]  You're behind schedule, but people are now awake and were warned that you were coming and what your system would be.
[00:28:07.392 --> 00:28:09.954]  People like Ron Paul, 30, 40 years ago.
[00:28:10.034 --> 00:28:10.515]  People like
[00:28:11.593 --> 00:28:12.534]  Oh, it's just amazing.
[00:28:12.614 --> 00:28:15.775]  People like Barry Goldwater 50 years ago, they were so on target.
[00:28:16.435 --> 00:28:17.736]  And we stand on their shoulders today.
[00:28:18.376 --> 00:28:19.777]  This is just an incredible time.
[00:28:19.857 --> 00:28:20.918]  So spread the word.
[00:28:20.938 --> 00:28:32.223]  People are ready to wake up to the fact that we have an occupied government of takeover artists, and we're going to restore our republic if we understand these people are illegitimate, break the trance, and take our republic back.
[00:28:33.444 --> 00:28:35.645]  Their takeover was so big and so over the top.
[00:28:35.685 --> 00:28:37.586]  That was its advantage because it was just so incredible.
[00:28:38.373 --> 00:28:41.656]  But once the hoax that it doesn't exist is gone, it's game over.
[00:28:42.397 --> 00:28:45.641]  InfoWars.com is just one key outpost in this fight.
[00:28:46.502 --> 00:28:51.627]  Please intensify our efforts against the globalists, restore our republic, and free the world from the hands of the New World Order.
[00:29:10.023 --> 00:29:11.385]  Clean, pure drinking water.
[00:29:11.665 --> 00:29:12.947]  You can't survive without it.
[00:29:13.148 --> 00:29:14.049]  But where do you get it?
[00:29:14.349 --> 00:29:20.117]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:29:20.338 --> 00:29:26.086]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:29:26.246 --> 00:29:43.113]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:29:43.513 --> 00:29:45.635]  Filter capacity up to 5,000 gallons.
[00:29:45.995 --> 00:29:47.176]  Stainless steel construction.
[00:29:47.456 --> 00:29:48.236]  Easy assembly.
[00:29:48.497 --> 00:29:49.117]  Low maintenance.
[00:29:49.417 --> 00:29:51.238]  Replacement filters are simple to install.
[00:29:51.499 --> 00:29:58.644]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off the retail price and get free shipping.
[00:29:58.784 --> 00:30:03.507]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[00:30:03.527 --> 00:30:06.569]  Go to InfowarsStore.com or call 888-253-3139.
[00:30:09.631 --> 00:30:18.654]  Alex Jones here to tell you about how you can help spread liberty worldwide, while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:30:18.714 --> 00:30:26.817]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:30:27.117 --> 00:30:31.819]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:30:31.999 --> 00:30:38.722]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:30:38.782 --> 00:30:45.864]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:30:45.964 --> 00:30:52.827]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:30:52.987 --> 00:30:57.353]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:30:57.473 --> 00:31:00.737]  Available in original or with our immune support infusion blend.
[00:31:00.857 --> 00:31:07.005]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:31:07.165 --> 00:31:08.847]  Available at Infowarslife.com
[00:31:10.714 --> 00:31:17.078]  I got so busy fighting the globalists for 15 years, I turned into a giant fat slob when I was an exercise fanatic before.
[00:31:17.458 --> 00:31:20.580]  Now in the last five years, I set out to try to get back in shape.
[00:31:20.980 --> 00:31:32.828]  And to help turbocharge that, I talked to top scientists and nutraceutical developers and said, I want something that blocks these estrogen mimickers, something that helps me get back to what a real male was like instead of this globalist bombardment.
[00:31:33.388 --> 00:31:36.189]  We developed Super Male and Super Female Vitality.
[00:31:36.369 --> 00:31:37.229]  They're best sellers.
[00:31:37.429 --> 00:31:38.770]  They're loved across the industry.
[00:31:38.930 --> 00:31:39.550]  They're amazing.
[00:31:39.810 --> 00:31:44.192]  You owe it to yourself to get a bottle of Super Male Vitality today at InfoWarsTore.com.
[00:31:44.572 --> 00:31:47.633]  Folks, it's so amazing what Mother Nature gave us.
[00:31:47.913 --> 00:31:51.134]  You're crazy if you don't at least try a bottle of this, because you can't lose.
[00:31:51.354 --> 00:31:59.837]  You're fighting the Info War and the fight for freedom worldwide, while at the same time getting a game-changing supplement at InfoWarsTore.com.
[00:31:59.977 --> 00:32:02.199]  Super Metal Vitality is now back in stock.
[00:32:02.439 --> 00:32:03.960]  It's been sold out for several months.
[00:32:04.180 --> 00:32:07.182]  That's available at M4WarStore.com or by calling toll-free, 888-253-3139.
[00:32:10.276 --> 00:32:13.800]  Crooked Hillary is finally losing her grip on the establishment media.
[00:32:14.000 --> 00:32:30.659]  An Inspector General audit of her private emails revealed that not only was Clinton's server hacked into on multiple occasions, and that her highly competent IT guys suggested turning the machine off for a few minutes to stop another attack, but Clinton never reported those hack attacks to the State Department.
[00:32:30.919 --> 00:32:38.248]  Plus, emails between Hillary and her top aide, Huma, prove that Clinton really didn't want the State Department looking at her private emails.
[00:32:38.448 --> 00:32:41.512]  And that's why she set up her own homebrew server.
[00:32:41.652 --> 00:32:47.019]  Now even the Washington Post is calling her actions inexcusable and a willful disregard for the rules.
[00:32:47.259 --> 00:32:56.907]  And an exasperated panel on MSNBC's Morning Joe slammed Hillary Clinton Friday, wondering why none of her aides have told her to stop telling lies regarding the email scandal.
[00:32:57.067 --> 00:33:01.290]  Are we finally witnessing the end of the Clintons' cozy relationship with the media?
[00:33:01.391 --> 00:33:04.213]  Will we finally be able to handcuff Hillary?
[00:33:04.473 --> 00:33:06.835]  Leanne Mackitt reporting for InfoWars.com.
[00:33:13.540 --> 00:33:16.162]  You're listening to the Alex Jones Show.
[00:33:23.316 --> 00:33:31.124]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:33:35.348 --> 00:33:38.051]  And we are back again on Alex Jones, your host, InfoWars.com.
[00:33:38.271 --> 00:33:38.691]  I think so.
[00:34:10.212 --> 00:34:14.155]  And welcome back here on Info Wars at Nightly News and this Friday evening edition.
[00:34:14.615 --> 00:34:29.605]  Now, we've already seen civil unrest at record levels since the 60s here in the United States, mainly Bernie and Hillary supporters attacking our own Ja'kari Jackson, hitting him with a rock, attacking police horses with barricades they're throwing at people.
[00:34:31.046 --> 00:34:34.108]  The New York Times calling for somebody to kill Trump.
[00:34:34.529 --> 00:34:36.010]  Glenn Beck saying he wants to stab him.
[00:34:36.810 --> 00:34:37.891]  The establishment media
[00:34:38.311 --> 00:34:38.712]  I think?
[00:34:53.510 --> 00:34:55.351]  With continuity of government and things like that.
[00:34:55.712 --> 00:34:56.812]  Now, he didn't tell me that.
[00:34:56.832 --> 00:34:59.114]  I know folks that are involved in that and they say he's one of the top guys.
[00:34:59.474 --> 00:35:01.876]  But he says, yes, I'm an expert and that he can speak to it.
[00:35:02.336 --> 00:35:15.284]  And so I want him to kind of repeat to us what he said behind the scenes about how concerned he is about what is coming, what is already here, and how bad it could get, and how we stop it and maintain our free, open republic.
[00:35:15.304 --> 00:35:22.029]  Because make no mistake, the Soros-backed globalists want civil disobedience, civil emergencies, riots, looting, race war.
[00:35:22.489 --> 00:35:24.930]  to bring in even greater control later.
[00:35:25.411 --> 00:35:28.632]  They're pushing us to take everybody's free speech in the end.
[00:35:28.972 --> 00:35:35.556]  So, for about eight minutes we have left here, in this final segment of InfoWars Nightly News tonight, I'm going to give the floor to Tim Kennedy.
[00:35:36.690 --> 00:35:37.630]  It's a scary thing coming up.
[00:35:38.411 --> 00:35:45.413]  What we know is coming is the perfect petri dish for bad things to happen.
[00:35:45.933 --> 00:35:47.973]  You don't see riots in Chicago in the middle of winter.
[00:35:48.174 --> 00:35:48.694]  It's too cold!
[00:35:48.814 --> 00:35:49.894]  People don't want to go outside, right?
[00:35:50.734 --> 00:35:57.756]  So for really civil unrest to happen, you have to have a bunch of little things that set up for the perfect situation.
[00:35:58.277 --> 00:35:59.837]  You have to have a reason, right?
[00:35:59.877 --> 00:36:02.478]  People are so emotionally involved in this
[00:36:03.393 --> 00:36:09.695]  Presidential election right now and finally for the first time realizing that there's something wrong with our country.
[00:36:10.275 --> 00:36:15.898]  That there's been like the existential perspective that the eyes are open, eyes wide open.
[00:36:15.958 --> 00:36:17.418]  We know that something's not right.
[00:36:17.978 --> 00:36:27.782]  The racial segregation that, you know, even though we have a president saying, I'm trying to break down borders, we've never had so much hate between different racial segments, which
[00:36:28.849 --> 00:36:28.929]  It's
[00:36:44.787 --> 00:36:46.488]  Us sending troops back into Iraq.
[00:36:46.668 --> 00:37:03.892]  We're looking at groups and segments of people that are supporting specific presidential nominees that are losing their guy, that are furious over the fact that, you know, Ted Cruz, you know, the never-Trump people, or the never-Hillary people, or the never-Sanders people, all those people are losing their guys and they're only gonna have two options.
[00:37:04.913 --> 00:37:09.894]  And now we have a perfect conducive environment for some serious problems.
[00:37:10.294 --> 00:37:12.895]  You think riots in, you know, Missouri was bad?
[00:37:13.715 --> 00:37:14.716]  Just wait until July.
[00:37:15.136 --> 00:37:15.877]  Just wait until August.
[00:37:15.957 --> 00:37:21.181]  So if the dominoes are set up and lined up, and Soros and others want to kick them over, what do we do?
[00:37:21.201 --> 00:37:23.243]  Now, you say dominoes, I say the gasoline.
[00:37:23.483 --> 00:37:27.787]  You know, like, the trench has been dug, and it is just full of accelerants.
[00:37:27.807 --> 00:37:34.212]  You know, like, you have every single thing for that fire to just explode, and now... So the climate's perfect.
[00:37:34.332 --> 00:37:39.837]  Yes, the climate is perfect, the temperature is perfect, everything is right for things to go really well.
[00:37:39.857 --> 00:37:48.145]  So if the planets are aligning, and most analysts are saying that, it's happening all over the world, we've seen some of the globalists funding Arab Spring to put radical Muslims in, and other things.
[00:37:49.186 --> 00:37:50.006]  How do we counter this?
[00:37:50.087 --> 00:37:51.047]  I mean, educating the public?
[00:37:52.289 --> 00:37:53.149]  Being prepared, first of all.
[00:37:53.169 --> 00:37:55.812]  You know, as an individual, you have to get ready.
[00:37:55.832 --> 00:37:59.916]  You have to do all the little things that, you know, don't think that people
[00:38:01.505 --> 00:38:03.327]  Don't care if people think that you're crazy.
[00:38:03.427 --> 00:38:06.370]  Don't think that you're being a fanatic, that you're being a prepper.
[00:38:07.191 --> 00:38:08.652]  I'm only responsible for my family.
[00:38:08.793 --> 00:38:09.894]  My family's going to have food.
[00:38:10.074 --> 00:38:11.375]  My family's going to have water.
[00:38:11.555 --> 00:38:12.556]  We are going to be safe.
[00:38:13.317 --> 00:38:17.461]  And if you think I'm crazy because I want to make sure my family's protected, fine, that's the way it is.
[00:38:17.742 --> 00:38:24.689]  But as an individual, you need to look and research about ways that you need to prepare for what would happen in whatever city you live in.
[00:38:25.089 --> 00:38:33.097]  If you're in Albuquerque, New Mexico, and Trump comes to town, and the whole entire city loses its mind, they're breaking horses' legs, they're throwing Molotov cocktails.
[00:38:34.378 --> 00:38:37.881]  That's in May, before we even have him as a nominee.
[00:38:37.901 --> 00:38:43.606]  What do you think is going to happen in August, when we're just a couple of months away from the election, when things are really ripe?
[00:38:43.867 --> 00:38:45.708]  It can get bad, and it can get bad fast.
[00:38:45.768 --> 00:38:50.633]  You need to do the research and figure out what you have to do to really prepare to make sure that your family's safe.
[00:38:51.053 --> 00:38:52.655]  So August, September, key times.
[00:38:53.135 --> 00:38:56.860]  Yeah, July, August, September, all the way up into, you know, finally November.
[00:38:56.900 --> 00:39:09.473]  When it starts cooling off, people get a little bit, while their emotions get higher, because we're getting closer to an election, you know, the temperature and the environment will maybe preclude people from getting out in the streets.
[00:39:10.626 --> 00:39:12.787]  Also, I see political solutions to this.
[00:39:13.007 --> 00:39:19.871]  Letting Hillary Clinton, George Soros, Obama and others who can't win political debates but want to try to throw the country into crisis.
[00:39:20.271 --> 00:39:25.154]  It's important to know that they've done this all over the world and to let them know and the public know that they're going to be held accountable.
[00:39:25.534 --> 00:39:27.575]  I mean, I think at a certain point when George Soros is spent
[00:39:28.155 --> 00:39:34.320]  In just Ferguson alone, $35 million or $33 million trying to cause race war and attack on the police.
[00:39:35.021 --> 00:39:36.763]  I mean, it's clear that's sedition.
[00:39:37.303 --> 00:39:39.105]  And how long is this guy allowed to do this?
[00:39:39.125 --> 00:39:40.646]  I mean, I defend the First Amendment.
[00:39:41.006 --> 00:39:41.887]  I'm a constitutionalist.
[00:39:41.907 --> 00:39:42.527]  So are you, Tim.
[00:39:42.868 --> 00:39:51.775]  But at a certain point, when you've got some outsider trying to destabilize the country, that's criminal sabotage in my view.
[00:39:51.815 --> 00:39:53.437]  There's got to be some limit to this.
[00:39:53.457 --> 00:39:54.458]  I mean, if I went to Europe,
[00:39:55.492 --> 00:40:01.874]  And if I had billions of dollars, or some other country or region, and tried to finance destabilization, people would come after me.
[00:40:02.154 --> 00:40:02.914]  Yeah, they'd hang you.
[00:40:03.434 --> 00:40:07.155]  If you walk into a movie theater, and you scream fire, you go to jail.
[00:40:08.816 --> 00:40:09.256]  You know?
[00:40:09.636 --> 00:40:10.596]  You have committed a crime.
[00:40:10.656 --> 00:40:11.076]  Absolutely.
[00:40:11.116 --> 00:40:18.118]  And that is what they're doing on a micro-scale into individual cities, into even states.
[00:40:18.238 --> 00:40:23.100]  And now, nationally, they are inciting and encouraging racial wars and riots.
[00:40:24.220 --> 00:40:28.863]  It's like our worst nightmare has come to fruition.
[00:40:28.923 --> 00:40:40.050]  We are actually realizing that you put these people in front of a camera and give them a microphone and they're enabling other people to hurt police officers, to go and stab and riot and
[00:40:41.638 --> 00:40:44.760]  Everything that we're against as a nation, these people are encouraged.
[00:40:45.000 --> 00:40:51.885]  And it's the very same Peter Southerland, George Soros and others that are in Europe that have let five million quote refugees in that you've talked about.
[00:40:54.187 --> 00:40:55.047]  How big are these cells?
[00:40:55.267 --> 00:40:57.449]  How big is the danger of what's happened in Europe?
[00:40:57.469 --> 00:41:01.992]  Because, you know, here they use a bunch of leftist mobs and others brainwashed by the public school system.
[00:41:02.332 --> 00:41:06.695]  Over in Europe, they're bringing in five million jihadis, 80% are military age men, I'm told.
[00:41:07.356 --> 00:41:08.997]  From your connections and research, is that accurate?
[00:41:09.497 --> 00:41:09.677]  Yeah.
[00:41:10.117 --> 00:41:17.981]  So, if you bring in, let's say, 100 people, we know somewhere between 10 to 15 of them have been radicalized.
[00:41:18.121 --> 00:41:18.901]  But they're extremists.
[00:41:19.561 --> 00:41:25.624]  So, when you're talking that you're bringing in a million people, how many of those now do we know are extremists?
[00:41:26.264 --> 00:41:25.624]  150,000.
[00:41:27.064 --> 00:41:30.286]  50,000!
[00:41:27.645 --> 00:41:30.286]  Now look at what one does in San Bernardino.
[00:41:30.606 --> 00:41:34.327]  One guy and his stupid wife go and start mowing down people.
[00:41:35.608 --> 00:41:36.428]  That's one dude.
[00:41:36.468 --> 00:41:37.449]  They're liberal co-workers.
[00:41:38.882 --> 00:41:41.344]  Think about what 100,000 of them could do in this country.
[00:41:41.364 --> 00:41:44.947]  Or what they're going to do in Europe in the next five years.
[00:41:45.928 --> 00:41:46.288]  It's coming.
[00:41:46.869 --> 00:41:48.931]  So why would Merkel and Hollande and others bring them in?
[00:41:49.571 --> 00:41:53.034]  Use the civil emergency to ban nationalist and patriot speech.
[00:41:53.054 --> 00:41:53.615]  That's what they've done.
[00:41:54.376 --> 00:41:56.818]  If you want to be able to shut people up, you have to use fear.
[00:41:57.318 --> 00:42:04.064]  So the definition of terrorism is to use fear or violence as a tool, as a weapon to achieve your objectives, right?
[00:42:06.414 --> 00:42:15.158]  If you're a politician, you can use that same fear to take away freedoms, to pass acts that give you access to every single iPhone out there.
[00:42:15.238 --> 00:42:16.219]  Be like, no, no, no, it's a terrorist.
[00:42:16.239 --> 00:42:17.680]  We need to be able to get inside of that guy's phone.
[00:42:17.980 --> 00:42:18.660]  He's really bad.
[00:42:18.880 --> 00:42:22.922]  Just give us access to all iPhones so we can protect you.
[00:42:23.282 --> 00:42:24.923]  That's terrorism in my definition.
[00:42:25.143 --> 00:42:27.024]  You're using fear as a weapon.
[00:42:29.218 --> 00:42:29.818]  Absolutely.
[00:42:30.519 --> 00:42:32.519]  Wow, Tim Kennedy, that was powerful info.
[00:42:32.579 --> 00:42:41.061]  The whole country, the whole world's in danger of escalated civil unrest, like Google financing the Arab Spring to just bring in that tyranny and these vultures sit on top of it.
[00:42:41.361 --> 00:42:45.883]  You're getting folks ready with sheepdogresponse.com and more.
[00:42:45.903 --> 00:42:47.563]  We're trying to get people ready by informing them.
[00:42:47.863 --> 00:42:52.264]  Thanks for coming in with your geopolitical and military and just common sense analysis.
[00:42:52.624 --> 00:42:54.385]  It's great to have you here with InfoWars.
[00:42:55.109 --> 00:42:58.090]  All right, folks, that's it for this edition of InfoWars Nightly News.
[00:42:58.471 --> 00:43:04.113]  Lord willing, I'll be back this Sunday, 4 to 6 p.m., with a Sunday transmission, and back Monday with the 4-hour radio-slash-TV show.
[00:43:04.213 --> 00:43:08.255]  You can find all the listings and more at InfoWars.com forward-slash-show.
[00:43:08.575 --> 00:43:09.336]  Have a great weekend.
[00:43:10.476 --> 00:43:12.638]  You won't believe what happened in Anaheim.
[00:43:12.738 --> 00:43:19.845]  While anti-Trump protesters were outside kicking, spitting, and burning American flags, Trump was showing his patriotism.
[00:43:20.025 --> 00:43:27.212]  Event organizers were pressed for time for TV, so they decided to scrap singing the Star Spangled Banner, while Trump wasn't having it.
[00:43:27.232 --> 00:43:29.093]  We're gonna do the national anthem, okay?
[00:43:29.534 --> 00:43:31.616]  So, Sherry Wilkins, come up.
[00:43:31.796 --> 00:43:32.176]  Sherry!
[00:43:32.256 --> 00:43:32.897]  Come on, Sherry!
[00:43:36.704 --> 00:43:38.388]  We're good to go.
[00:43:47.613 --> 00:44:06.922]  Somewhere on her private jet, Hillary Clinton is wringing her hands trying to figure out a way to stage a patriotic display at her next rally.
[00:44:07.042 --> 00:44:09.343]  Leanne Mackett reporting for InfoWars.com
[00:44:10.413 --> 00:44:12.594]  You won't believe what happened in Anaheim.
[00:44:12.694 --> 00:44:19.778]  While anti-Trump protesters were outside kicking, spitting, and burning American flags, Trump was showing his patriotism.
[00:44:19.959 --> 00:44:27.123]  Event organizers were pressed for time for TV, so they decided to scrap singing the Star Spangled Banner, while Trump wasn't having it.
[00:44:27.163 --> 00:44:29.044]  We're gonna do the national anthem, okay?
[00:44:29.484 --> 00:44:31.545]  So, Sherry Wilkins, come up.
[00:44:31.725 --> 00:44:32.846]  Sherry, come on, Sherry.
[00:44:38.004 --> 00:44:38.224]  We are!
[00:44:38.244 --> 00:44:40.889]  We are!
[00:44:50.056 --> 00:45:06.868]  Somewhere on her private jet, Hillary Clinton is wringing her hands trying to figure out a way to stage a patriotic display at her next rally.
[00:45:06.988 --> 00:45:09.310]  Leanne McAdoo reporting for InfoWars.com
[00:45:11.485 --> 00:45:17.869]  I got so busy fighting the globalists for 15 years, I turned into a giant fat slob when I was an exercise fanatic before.
[00:45:18.229 --> 00:45:21.311]  Now in the last five years, I set out to try to get back in shape.
[00:45:21.731 --> 00:45:33.599]  And to help turbocharge that, I talked to top scientists and nutraceutical developers and said, I want something that blocks these estrogen mimickers, something that helps me get back to what a real male was like instead of this globalist bombardment.
[00:45:34.059 --> 00:45:36.940]  And we developed Super Male and Super Female Vitality.
[00:45:37.120 --> 00:45:37.980]  They're best sellers.
[00:45:38.180 --> 00:45:39.521]  They're loved across the industry.
[00:45:39.681 --> 00:45:40.301]  They're amazing.
[00:45:40.561 --> 00:45:44.963]  You owe it to yourself to get a bottle of Super Male Vitality today at InfoWareStore.com.
[00:45:45.323 --> 00:45:48.384]  Folks, it's so amazing what Mother Nature gave us.
[00:45:48.684 --> 00:45:51.885]  You're crazy if you don't at least try a bottle of this, because you can't lose.
[00:45:52.125 --> 00:46:00.588]  You're fighting the InfoWare and the fight for freedom worldwide, while at the same time getting a game-changing supplement at InfoWareStore.com.
[00:46:00.748 --> 00:46:02.948]  Super Mel Vitality is now back in stock.
[00:46:03.188 --> 00:46:04.709]  It's been sold out for several months.
[00:46:04.929 --> 00:46:10.170]  That's available at InfowarsStore.com or by calling toll-free, 888-253-3139.
[00:46:10.450 --> 00:46:11.830]  Clean, pure drinking water.
[00:46:12.110 --> 00:46:13.390]  You can't survive without it.
[00:46:13.590 --> 00:46:14.491]  But where do you get it?
[00:46:14.791 --> 00:46:20.552]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:46:20.772 --> 00:46:26.493]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:46:26.693 --> 00:46:43.540]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:46:43.940 --> 00:46:46.061]  Filter capacity up to 5,000 gallons.
[00:46:46.421 --> 00:46:47.622]  Stainless steel construction.
[00:46:47.902 --> 00:46:48.603]  Easy assembly.
[00:46:48.943 --> 00:46:49.563]  Low maintenance.
[00:46:49.843 --> 00:46:51.664]  Replacement filters are simple to install.
[00:46:51.944 --> 00:46:59.048]  And now, as part of an exclusive limited time introductory offer, you can save $20 off a retail price and get free shipping.
[00:46:59.208 --> 00:47:04.231]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:47:04.411 --> 00:47:06.992]  Go to InfowarsStore.com or call 888-253-3139.
[00:47:14.082 --> 00:47:16.805]  You're listening to the Alex Jones Show.
[00:47:23.293 --> 00:47:24.774]  We are on the march.
[00:47:25.135 --> 00:47:27.557]  The Empire is on the run.
[00:47:28.318 --> 00:47:31.982]  Alex Jones and the GCN Radio Network.
[00:47:37.042 --> 00:47:40.143]  That's right, this is the Alex Jones Show, and I'm Anthony Gucciardi.
[00:47:40.163 --> 00:47:42.705]  I'll be your host for the rest of the program.
[00:47:43.345 --> 00:47:46.687]  And I'll tell you what, today, Memorial Day weekend, right?
[00:47:47.347 --> 00:47:49.208]  Lots of insane things going on.
[00:47:49.928 --> 00:47:59.433]  It's actually funny, I wasn't going to make it in today because of something I'm going to tell you about in a moment, but once I talked to Alex on the phone, I read some of this news, I had to come in here.
[00:48:00.733 --> 00:48:09.137]  Vandals defacing war memorials, Vietnam war memorials in California, different areas.
[00:48:09.217 --> 00:48:11.138]  It's unfortunately more than one story.
[00:48:12.879 --> 00:48:16.441]  Caregivers accused of murdering World War II veterans today.
[00:48:17.101 --> 00:48:19.883]  Crime scene declared after looting at Virginia battlefield.
[00:48:20.603 --> 00:48:26.166]  Lots of stuff going on on Memorial Day weekend that unfortunately is on the very, very sad side.
[00:48:27.150 --> 00:48:42.076]  So we've got Joe Biggs coming up next hour, in fact, live from DC, and he's going to talk about some of the looting and the defacing of the war memorials, and how he was talking about it and covering it, and protesters came up, protesting him covering the defacing of the war memorials.
[00:48:42.096 --> 00:48:48.919]  So you get to see firsthand what these people look like, who I guess are in favor of defacing the war memorials.
[00:48:49.139 --> 00:48:50.279]  Very, very sad stuff.
[00:48:50.620 --> 00:48:52.260]  We've also got plenty of other news.
[00:48:52.781 --> 00:48:54.261]  I mean, stacks and stacks of news.
[00:48:54.601 --> 00:48:55.802]  Just this amount here.
[00:48:56.442 --> 00:48:59.183]  We're not even going to be able to cover it most likely.
[00:48:59.703 --> 00:49:00.603]  I've got show points.
[00:49:00.963 --> 00:49:02.504]  How about 100,000 in the U.S.
[00:49:02.524 --> 00:49:03.764]  now work for Chinese firms.
[00:49:03.844 --> 00:49:06.445]  New generation buying books to express their personalities.
[00:49:06.925 --> 00:49:16.828]  ISIS is using 50,000 civilians as human shields as Iraqi forces blitz Fallujah and they're apparently now getting into the sex trade.
[00:49:17.108 --> 00:49:19.389]  We've got lots of very interesting news coming up.
[00:49:20.325 --> 00:49:27.713]  First, as I was alluding to, I almost didn't make it into this program today for a very absurd and bizarre reason.
[00:49:28.354 --> 00:49:41.368]  This morning, and I think that shows how good of a show it's going to be, this morning I had the worst pain of my entire life, 10 out of 10 pain, like someone was stabbing me repeatedly with a knife, and I passed a kidney stone
[00:49:42.509 --> 00:49:44.930]  A sizable, very sizable kidney stone.
[00:49:45.350 --> 00:49:48.212]  From my understanding, it's actually very, very large.
[00:49:48.612 --> 00:49:58.116]  And if you're watching on Infowars.com forward slash show right now, live on television, or listening on radio, basically what it looks like is a war weapon.
[00:49:58.316 --> 00:50:05.720]  I mean, if you could create some type of torture device, biological torture device, that's what this kidney stone looks like.
[00:50:05.920 --> 00:50:08.101]  Jagged, sharp, it was terrible.
[00:50:08.181 --> 00:50:09.982]  Hours and hours of agonizing pain.
