[00:00:15.359 --> 00:00:23.066]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:27:13.501 --> 00:27:14.581]  So that's what it comes down to.
[00:27:17.324 --> 00:27:18.465]  It's just amazing.
[00:27:19.426 --> 00:27:21.267]  No, I will be in Cleveland with no bodyguards.
[00:27:21.307 --> 00:27:21.927]  That's what I do.
[00:27:22.728 --> 00:27:24.149]  I get down there in the street, folks.
[00:27:24.169 --> 00:27:24.789]  That's who I am.
[00:27:25.590 --> 00:27:28.952]  And good Lord above is my protection.
[00:27:29.953 --> 00:27:35.938]  And I mean, I guess I've had a few concealed carry people here and there now when I'm out.
[00:27:35.998 --> 00:27:36.858]  But I mean, whatever.
[00:27:36.918 --> 00:27:38.880]  The point is some loon is going to do what a loon is going to do.
[00:27:40.111 --> 00:27:46.357]  And so, I'm here openly saying I'm not a coward like Bloomberg, who has 15 bodyguards on average.
[00:27:46.497 --> 00:27:51.561]  We have video of it in New York, but after he was out, we visited Austin, other cities, trying to ban our right to own guns.
[00:27:51.741 --> 00:27:53.363]  People who don't have the money have 15 bodyguards.
[00:27:55.100 --> 00:28:00.102]  He'll have 15 bodyguards with guns, but he wants you disarmed and alone and cold in your home.
[00:28:01.082 --> 00:28:10.686]  And so many low-level predators aren't even part of the establishment, but they get this instinct to serve the establishment, and they love it, and they get off on it, and they think of themselves as the elite.
[00:28:10.886 --> 00:28:20.050]  And they love the idea of lots of little disarmed slaves, and they imagine how they're commissars and political apparatuses of the system.
[00:28:21.527 --> 00:28:25.388]  But the first thing I'm going to cover when we return, I'm going to start now getting into the articles.
[00:28:25.408 --> 00:28:27.129]  I've mentioned a smattering of what's coming up.
[00:28:27.169 --> 00:28:28.129]  Now we're going to start covering it.
[00:28:30.850 --> 00:28:32.451]  Do I get a Pulitzer Prize?
[00:28:32.611 --> 00:28:33.491]  Not that I want one.
[00:28:33.531 --> 00:28:42.174]  I mean, I wouldn't want a Nobel Prize for Literature or a Nobel Prize for Journalism or a Nobel Prize for Peace because they give them to Al Gore, Henry Kissinger, Barack Obama.
[00:28:42.674 --> 00:28:49.977]  It's like, it's like, you know, being given, you know, Tyrant of the Year Award or something.
[00:28:50.993 --> 00:28:58.878]  But I don't get an award for being the first to say they were going to stage an attack before 9-11 and then on 9-11 and that Saudi Arabia was involved and our government stood down.
[00:28:59.018 --> 00:29:00.779]  It's now all over mainstream news.
[00:29:01.159 --> 00:29:05.022]  Headlines, Saudi Arabia threatens to pull $750 billion from the U.S.
[00:29:05.062 --> 00:29:08.224]  economy and Congress allows them to be sued for 9-11 terror attacks.
[00:29:09.482 --> 00:29:19.914]  Hey everyone, Far- Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:29:19.994 --> 00:29:28.043]  For more than a decade, my favorite coffee has come from the high mountains of Southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:29:28.383 --> 00:29:33.085]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:29:33.245 --> 00:29:39.987]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:29:40.047 --> 00:29:47.130]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:29:47.210 --> 00:29:54.072]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:29:54.252 --> 00:29:58.598]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:29:58.739 --> 00:30:01.983]  Available in original or with our immune support infusion blend.
[00:30:02.123 --> 00:30:08.252]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:30:08.433 --> 00:30:10.095]  Available at Infowarslife.com
[00:30:10.836 --> 00:30:15.202]  Get Brain Force at 25% off for a limited time at Infowarslife.com.
[00:30:15.342 --> 00:30:17.545]  Ladies and gentlemen, I've been on this the last few months.
[00:30:17.645 --> 00:30:24.474]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of Brain Force.
[00:30:24.694 --> 00:30:27.958]  One of the worst things with most energy products is it's not sustainable, right?
[00:30:27.978 --> 00:30:29.140]  You're gonna crash afterwards.
[00:30:29.440 --> 00:30:35.844]  And the cool thing about this is it's not just a bunch of energy compounds that are going to fire your brain up to a higher RPM or whatever, which it does do.
[00:30:36.084 --> 00:30:36.885]  This is sustainable.
[00:30:37.005 --> 00:30:41.008]  This isn't going to spike and you're going to collapse and you're going to feel really bad afterwards.
[00:30:41.208 --> 00:30:44.370]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:30:44.870 --> 00:30:48.993]  We're looking at the television screen.
[00:30:49.033 --> 00:30:54.737]  For research purposes, whatever we've been doing, trying to learn something, or staring at the computer all day, working, doing good, you're still damaging your brain.
[00:30:54.777 --> 00:31:00.621]  You will find Brain Force and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:31:03.823 --> 00:31:09.928]  Get Brain Force at 25% off for a limited time at Infowarslife.com and we thank you for your support.
[00:31:10.489 --> 00:31:13.511]  A clean, toxic-free body is the foundation of true health.
[00:31:13.732 --> 00:31:22.619]  Introducing Deep Cleanse by Infowarslife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxins.
[00:31:22.639 --> 00:31:23.319]  Toxic metals.
[00:31:23.600 --> 00:31:28.822]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:31:28.902 --> 00:31:37.727]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:31:38.027 --> 00:31:46.591]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:31:46.851 --> 00:31:53.714]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigyrex herbal processing technique.
[00:31:53.894 --> 00:32:00.101]  We use only the highest quality organic herbs backed by serious research and we still bring it to you at the best price out there.
[00:32:00.261 --> 00:32:05.026]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[00:32:05.166 --> 00:32:07.108]  That's InfoWarsLife.com or call 888-253-3139.
[00:32:10.091 --> 00:32:13.413]  The globalist social engineers are not just targeting us with propaganda.
[00:32:13.573 --> 00:32:15.835]  They are manipulating our genetics.
[00:32:15.995 --> 00:32:24.381]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[00:32:24.641 --> 00:32:27.983]  The key is to be aware of this attack and to fight back against it.
[00:32:28.143 --> 00:32:38.450]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate, non-GMO, organic, super male vitality formula.
[00:32:38.770 --> 00:32:46.055]  ...sourced from powerful organic herbs, harvested around the planet, and then concentrated for maximum potency.
[00:32:46.255 --> 00:32:48.156]  I've always believed in nutrition and herbs.
[00:32:48.496 --> 00:32:56.061]  Supermail Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[00:32:56.441 --> 00:32:58.602]  You're listening to the Alex Jones Show!
[00:33:30.107 --> 00:33:32.975]  Another time in the Age of Wonder.
[00:33:48.463 --> 00:33:52.385]  If you are receiving this transmission, you are the resistance.
[00:33:53.085 --> 00:33:59.808]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:33:59.848 --> 00:34:15.434]  Now coming up next hour, we're getting into election 2016 with Richard Reeves popping in from on the road, Rob doing the crew at the Dallas airport flying in from Portland, where the left announced at the Portland State College there,
[00:34:17.024 --> 00:34:30.192]  We do not allow free speech, we do not allow students to have Trump events, or basically any other conservative events, and so hundreds of Infowarriors showed up to say no to that, and they were out there all day trying to stop our free speech.
[00:34:30.392 --> 00:34:31.213]  They were shut down.
[00:34:32.094 --> 00:34:33.474]  That footage is there and more.
[00:34:33.534 --> 00:34:43.961]  Also our crew up there reporting, and openly being biased for voters being able to vote, being openly biased to tell the truth, being openly biased to promote America and freedom.
[00:34:45.523 --> 00:34:57.446]  We were out there covering the hundreds and hundreds of people, the estimated about 400 Rob Dew did, demonstrating in front of the RNC headquarters there in Denver, where they just said we're not going to have voters this time.
[00:34:57.466 --> 00:35:02.287]  We're going to suspend it and the party is going to give the 34 delegates to Ted Cruz.
[00:35:02.767 --> 00:35:04.187]  And that's now happened a week later.
[00:35:05.107 --> 00:35:07.348]  Cruz wins another voterless contest in Wyoming.
[00:35:07.728 --> 00:35:08.388]  Again, he won.
[00:35:10.566 --> 00:35:13.528]  Georgia, but it's been given to Ted Cruz, even though they had a vote there.
[00:35:14.108 --> 00:35:20.872]  The voters are just being ignored, and they're saying you are now ceremonial, and everything's normal, and you're a conspiracy theorist if you don't buy into that.
[00:35:20.892 --> 00:35:21.513]  That's coming up.
[00:35:23.514 --> 00:35:35.541]  But don't worry, the Saudi Arabian government is on the Human Rights Commission, and it's headed up by the Jordan government, that's the chair, and they're criticizing Donald Trump and investigating him, saying we should have borders.
[00:35:36.262 --> 00:35:38.023]  They have total control of their borders,
[00:35:39.048 --> 00:35:45.723]  And chop thousands of people's heads off every year, including people for their sexual preference and orientation.
[00:35:47.415 --> 00:36:00.503]  But don't worry, Cirque du Soleil, I'm going to be covering this, is banning coming to a bunch of states that have passed pro-Christian laws saying Christians can't be persecuted, you know, if they won't bake a cake for somebody or something.
[00:36:01.563 --> 00:36:12.430]  But Cirque du Soleil is going to the Middle East, to all the top countries that murder anyone for their sexual preference that isn't, well they'll kill you if you commit adultery too.
[00:36:14.187 --> 00:36:15.348]  It's all bull.
[00:36:15.408 --> 00:36:17.609]  It's all about bullying America.
[00:36:18.209 --> 00:36:20.050]  Oh, Donald Trump said we might have a border!
[00:36:20.070 --> 00:36:22.471]  That's so evil!
[00:36:22.812 --> 00:36:27.174]  Wall Street Journal, Chinese finance minister takes aim at Donald Trump's trade policies.
[00:36:27.214 --> 00:36:30.936]  Yeah, they have 35 to 40 percent currency tariffs on us.
[00:36:31.556 --> 00:36:42.060]  And then they tell us, we're screwing you, nothing's made in your country, ah, the Chinese general's on everything, we murder political dissidents, kill Buddhists, and sell their organs, and you listen to us, you Hitler?
[00:36:42.100 --> 00:36:42.781]  They called Trump Hitler.
[00:36:43.061 --> 00:36:44.121]  You Hitler?
[00:36:45.502 --> 00:36:47.223]  Does Trump have mobile execution vans?
[00:36:47.243 --> 00:36:48.603]  Does he kill Buddhist priests?
[00:36:49.584 --> 00:36:50.784]  No, you do.
[00:36:51.424 --> 00:36:52.045]  You do.
[00:36:52.445 --> 00:36:54.005]  And so you say he's Hitler.
[00:36:56.526 --> 00:36:57.527]  Ridonkulous!
[00:36:59.278 --> 00:37:01.480]  There is no end to the level of this bull.
[00:37:01.760 --> 00:37:05.383]  But now, let's get into Saudi Arabia.
[00:37:05.423 --> 00:37:06.364]  This is a big deal.
[00:37:06.384 --> 00:37:07.805]  Let's go to DrudgeReport.com.
[00:37:08.406 --> 00:37:16.172]  And I tell you, you go to Infowars.com, there's one little article link there from a couple days ago when they first made this threat on Friday, down at the bottom of the page.
[00:37:17.893 --> 00:37:19.735]  You talk about a day late, a dollar short.
[00:37:20.355 --> 00:37:25.840]  We're a thousand days early and got 10 trillion too much.
[00:37:26.681 --> 00:37:28.122]  I mean, that'd be the example of this.
[00:37:30.666 --> 00:37:41.132]  Because you'd think something that we're so on top of, that we were the progenitors of, that we took all the heat on, we'd be governing.
[00:37:42.233 --> 00:37:47.176]  When our time comes, but see we don't do that, we're already light years ahead, dealing with the latest.
[00:37:47.216 --> 00:37:55.821]  Like we told you 10 months ago, they're gonna cancel elections and just give all the delegates to whoever the Republican anointed one is, we now know it's Ted Cruz, and here it is!
[00:37:56.241 --> 00:37:59.023]  RNC defends voterless elections, don't give a darn!
[00:38:02.469 --> 00:38:03.249]  But look right here.
[00:38:03.369 --> 00:38:04.389]  I'm at DrudgeReport.com.
[00:38:04.649 --> 00:38:05.490]  Drudge is cutting edge too.
[00:38:05.510 --> 00:38:10.490]  I'm just pointing out that he's cutting edge before and then when it's time to be cutting edge to take credit.
[00:38:10.750 --> 00:38:13.151]  We are way before and then never give us credit.
[00:38:13.311 --> 00:38:16.191]  And I'm not bragging about how accurate we are.
[00:38:16.251 --> 00:38:28.473]  I'm just telling you folks you should pay attention to us and realize we're already ahead to the next big thing because we tend to launch any new movement or understanding of what's going on.
[00:38:28.833 --> 00:38:31.494]  Just like last week we first reported on Russian jets buzzing
[00:38:33.655 --> 00:38:33.855]  U.S.
[00:38:33.915 --> 00:38:35.116]  aircraft carriers and ships.
[00:38:35.296 --> 00:38:36.237]  No one else was covering it.
[00:38:36.657 --> 00:38:38.239]  Now it's all over mainstream news.
[00:38:38.619 --> 00:38:43.042]  Drudge linked to our article on Friday, and then new events have happened, and Drudge has got those linked.
[00:38:44.684 --> 00:38:46.065]  And that's how Drudge leads the news.
[00:38:46.185 --> 00:38:47.226]  We lead the news as well.
[00:38:47.466 --> 00:38:52.530]  I'm just pointing out to you that, remember, in 2001, 9-11 took place, I was on over 120 affiliates.
[00:38:52.590 --> 00:38:53.811]  I was already on 120 affiliates, or more.
[00:38:53.831 --> 00:38:55.552]  A lot of them big stations.
[00:39:01.624 --> 00:39:12.757]  And the station manager started calling and they said, stop saying that there was a stand down order and that Saudi Arabia hijackers were CIA and stop saying that the FBI says they were ordered to stand down.
[00:39:12.837 --> 00:39:15.200]  Stop saying the government did it or you're off the air.
[00:39:16.701 --> 00:39:19.945]  And I lost probably 80 affiliates.
[00:39:20.005 --> 00:39:21.046]  I lost close to 70 percent.
[00:39:23.424 --> 00:39:24.845]  But it's better than losing my soul.
[00:39:24.965 --> 00:39:27.086]  Now, a lot of those stations came back later and picked us back up.
[00:39:27.106 --> 00:39:34.070]  A lot of them have been bought or sold since then, but what I'm getting at is, in the beginning, a patriot's a scarce man, hated, feared, and scorned.
[00:39:34.331 --> 00:39:38.233]  But in time, when his cause succeeds, the timid join him, because then it costs nothing to be a patriot.
[00:39:39.474 --> 00:39:41.515]  The media misrepresented what I said about 9-11.
[00:39:42.055 --> 00:39:43.056]  They also built Strawman.
[00:39:44.571 --> 00:39:47.413]  And they tried to shut us up, but we didn't shut up.
[00:39:47.934 --> 00:39:49.615]  And I had the FBI agents on.
[00:39:49.755 --> 00:39:51.236]  I had the whistleblowers on.
[00:39:51.636 --> 00:39:52.737]  I had them all on, folks.
[00:39:52.837 --> 00:39:58.621]  I had Springman, the head of the visa section of the embassy, whose associates told him they were ordered to let the hijackers in.
[00:39:58.661 --> 00:40:00.162]  It was a secret CIA program.
[00:40:00.463 --> 00:40:04.305]  I told you there were drills on 9-11 from our sources of the exact same targets being hit.
[00:40:04.545 --> 00:40:06.147]  That later all came out in mainstream news.
[00:40:07.287 --> 00:40:17.873]  And I risked my life doing that to tell the truth, because I'm not going to sit here when something comes out that is destroying human liberty and freedom and threatening our whole future.
[00:40:18.353 --> 00:40:22.036]  They used the attacks to take our freedoms and try to butcher our republic, folks.
[00:40:23.657 --> 00:40:33.862]  So I had a responsibility to expose it, and now I've had members of Congress on, former members of the Senate on, FBI translators on, NSA translators on, Sybil Edmonds and others.
[00:40:35.023 --> 00:40:36.124]  I've had them all on, folks.
[00:40:37.253 --> 00:40:38.955]  And now NBC News headline.
[00:40:39.375 --> 00:40:43.260]  Secret 28 pages of 9-11 report under new scrutiny.
[00:40:43.760 --> 00:40:47.284]  Saudi Arabia threatens to pull $750 billion from U.S.
[00:40:47.324 --> 00:40:51.388]  economy if Congress allows them to be sued for 9-11 terror attacks.
[00:40:52.930 --> 00:40:54.091]  That's New York Daily News.
[00:40:55.172 --> 00:40:57.915]  Continuing, and this is the really important article right here.
[00:40:58.840 --> 00:41:04.463]  Secret 28 pages of 9-11 report under new scrutiny, and then it goes into the U.S.
[00:41:04.523 --> 00:41:06.144]  government standing down.
[00:41:06.604 --> 00:41:10.366]  Here is the New York Post, how U.S.
[00:41:10.426 --> 00:41:12.207]  covered up Saudi role in 9-11.
[00:41:12.867 --> 00:41:15.248]  And when you cover up a role, you're now complicit.
[00:41:15.568 --> 00:41:18.990]  And they covered it up day one, ordering a NORAD stand down.
[00:41:19.410 --> 00:41:24.513]  And I've interviewed members of Congress that said they cried when they read the secret congressional report.
[00:41:24.833 --> 00:41:28.177]  Not the 9-11 Commission, the congressional report that was done the first year.
[00:41:28.537 --> 00:41:35.665]  And then six of the ten commissioners have gone public and said there's a cover-up and that you need to have their report released.
[00:41:36.186 --> 00:41:38.168]  Not the public one, but their secret one as well.
[00:41:39.109 --> 00:41:40.151]  Who's vindicated?
[00:41:40.171 --> 00:41:42.854]  Who told you Saudi Arabia, working with criminal elements of our government,
[00:41:43.971 --> 00:41:58.137]  And you see Obama today, this is bipartisan, working with the jihadis, working with them in Libya, in Syria, in Egypt to overthrow governments, working with them all over the world, protecting them, giving them weapons, giving them Stinger missiles, Benghazi, all of it.
[00:41:58.217 --> 00:41:59.697]  We have been proven right.
[00:41:59.897 --> 00:42:01.158]  And let me tell you why I savor this.
[00:42:02.378 --> 00:42:08.961]  Not because it proves I'm right, but because I did the right thing, I sacrificed career and future and tons of money.
[00:42:10.131 --> 00:42:14.992]  You ought to try being 26, 27, 28 years old.
[00:42:15.612 --> 00:42:18.753]  I'm 42 now, however old I was on 9-11.
[00:42:19.393 --> 00:42:28.916]  And to be sitting there out of my home studio on over 100 plus stations, some of them big, and the biggest syndicators in the world saying, we want to hire you right now.
[00:42:30.156 --> 00:42:32.917]  We want to pay you $5 million a year and a book deal.
[00:42:32.937 --> 00:42:33.597]  Come work for us.
[00:42:34.878 --> 00:42:35.358]  And you know what?
[00:42:35.618 --> 00:42:36.118]  I didn't do it.
[00:42:36.952 --> 00:42:49.617]  And I can stand here and be an honorable person, and know I was right, I was proven right, I did the right thing, and now the globalists are panicking and in deep trouble, and it will come out, and all the rest of it will come out, and nothing on earth can stop it.
[00:42:49.798 --> 00:42:55.140]  You guys can start wars, you can have al-Qaeda attack you brought into the country and divert from this, it won't work.
[00:42:55.760 --> 00:43:05.185]  We know criminal elements of our government and the Global Federal Reserve Combine are running jihad operations as their secret proxy army with Saudi Arabia.
[00:43:05.365 --> 00:43:08.747]  And the whole thing's been blown wide open and the Pentagon is now exposing it.
[00:43:11.458 --> 00:43:12.878]  My name is Alex Jones.
[00:43:13.378 --> 00:43:19.301]  Most of you know me from my syndicated radio program and my documentary films, as well as InfoWars Nightly News.
[00:43:19.521 --> 00:43:33.686]  When I got on air 20 years ago, I had discovered the Globalist program, their plan to take over the world, and my focus went from running 6 miles every other day, swimming 2-3 miles a couple times a week, and lifting weights,
[00:43:34.286 --> 00:43:36.208]  You're focusing on fighting the globalists.
[00:43:36.608 --> 00:43:44.414]  I've gone from 279 pounds all the way down to 235 pounds and the weight's going off even faster.
[00:43:44.634 --> 00:43:51.779]  And it wasn't just that my weight loss accelerated, my muscle mass increased, my stamina, my energy levels exploded.
[00:43:52.060 --> 00:43:57.784]  Super Male has the key concentrated natural compounds that my body needed to go to the next level.
[00:43:57.904 --> 00:44:04.089]  Today is the day to take the InfoWarsLife.com challenge and to secure your bottle of Super Male or Super Female Vitality.
[00:44:04.329 --> 00:44:10.853]  Check them out today at Infowarslife.com or give our crew a call at 888-253-3139.
[00:44:11.133 --> 00:44:14.075]  A clean, toxic-free body is the foundation of true health.
[00:44:14.375 --> 00:44:23.080]  Introducing Deep Cleanze by Infowarslife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and
[00:44:23.080 --> 00:44:24.682]  Deep Cleanse doesn't hold back.
[00:44:38.675 --> 00:44:47.238]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:44:47.498 --> 00:44:54.401]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigerex herbal processing technique.
[00:44:54.541 --> 00:45:00.623]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you at the best price out there.
[00:45:00.903 --> 00:45:05.605]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[00:45:05.805 --> 00:45:09.247]  That's InfoWarsLife.com or call 888-253-3139.
[00:45:10.807 --> 00:45:12.188]  Clean, pure drinking water.
[00:45:12.468 --> 00:45:13.749]  You can't survive without it.
[00:45:13.949 --> 00:45:14.849]  But where do you get it?
[00:45:15.149 --> 00:45:20.872]  Alexa Pure Pro is a brand new groundbreaking gravity-fed water filtration system that is like no other.
[00:45:21.132 --> 00:45:26.874]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:45:27.034 --> 00:45:43.901]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:45:44.301 --> 00:45:46.422]  Filter capacity up to 5,000 gallons.
[00:45:46.783 --> 00:45:47.983]  Stainless steel construction.
[00:45:48.264 --> 00:45:49.024]  Easy assembly.
[00:45:49.284 --> 00:45:49.925]  Low maintenance.
[00:45:50.205 --> 00:45:52.026]  Replacement filters are simple to install.
[00:45:52.306 --> 00:45:59.431]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off a retail price and get free shipping.
[00:45:59.591 --> 00:46:04.614]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[00:46:04.794 --> 00:46:07.356]  Go to InfowarsStore.com or call 888-253-3139.
[00:46:10.518 --> 00:46:14.860]  Get Brain Force at 25% off for a limited time at Infowarslife.com.
[00:46:15.000 --> 00:46:17.181]  Ladies and gentlemen, I've been on this the last few months.
[00:46:17.301 --> 00:46:24.104]  You probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of Brain Force.
[00:46:24.344 --> 00:46:27.626]  One of the worst things with most energy products is it's not sustainable, right?
[00:46:27.646 --> 00:46:28.806]  You're gonna crash afterwards.
[00:46:29.107 --> 00:46:35.489]  And the cool thing about this is it's not just a bunch of energy compounds that are gonna fire your brain up to a higher RPM or whatever, which it does do.
[00:46:35.750 --> 00:46:36.570]  This is sustainable.
[00:46:36.670 --> 00:46:40.651]  This isn't going to spike and you're going to collapse and you're going to feel really bad afterwards.
[00:46:40.851 --> 00:46:44.012]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:46:44.092 --> 00:46:47.132]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:46:47.172 --> 00:46:48.653]  We're looking at the television screen.
[00:46:48.693 --> 00:46:54.394]  For research purposes, whatever we've been doing, trying to learn something or staring at the computer all day, working, doing good, you're still damaging your brain.
[00:46:54.434 --> 00:47:00.255]  You will find BrainForce and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:47:03.476 --> 00:47:09.622]  Get Brain Force at 25% off for a limited time at Infowarslife.com and we thank you for your support.
[00:47:14.067 --> 00:47:16.670]  You're listening to the Alex Jones Show!
[00:47:23.345 --> 00:47:26.346]  Crashing through the lies and disinformation.
[00:47:26.926 --> 00:47:31.127]  It's Alex Jones on the GCN Radio Network.
[00:47:34.609 --> 00:47:41.471]  Now I use DrudgeReport.com as an example pretty much every show because it's the dominant news site in the world.
[00:47:41.931 --> 00:47:44.472]  More traffic than Facebook and the New York Times combined.
[00:47:46.832 --> 00:47:47.433]  And why?
[00:47:47.573 --> 00:47:48.553]  Well, I mean, drudge
[00:47:49.932 --> 00:48:06.688]  He sees them canceling elections all over the country or taking elections where Trump's won now in six states and giving it to Ted Cruz and he says, wow, let's link to a headline pointing out it's voterless.
[00:48:07.629 --> 00:48:10.692]  And then Ted Cruz and the dinosaur media and the RNC come out.
[00:48:11.713 --> 00:48:18.255]  And say, Matt Drudge used to be good till he started listening to Alex Jones and came to visit him.
[00:48:18.655 --> 00:48:20.536]  Alex Jones has done something to him.
[00:48:20.896 --> 00:48:22.457]  That's been in multiple newspapers.
[00:48:22.497 --> 00:48:24.257]  Glenn Beck says that.
[00:48:24.277 --> 00:48:24.317]  No!
[00:48:25.698 --> 00:48:30.199]  Drudge was on radio 15 years ago talking about human cloning and how dangerous it is.
[00:48:30.219 --> 00:48:31.240]  I mean, what are you talking about?
[00:48:31.540 --> 00:48:32.160]  And GMO.
[00:48:35.697 --> 00:48:42.542]  I mean, we got people like Ted Nugent and Chuck Norris coming out concerned about GMO, because they've read the studies.
[00:48:42.562 --> 00:48:44.204]  It isn't a left or right issue.
[00:48:45.144 --> 00:48:48.467]  It's common sense that when you don't have an election, you've got a problem.
[00:48:50.148 --> 00:48:52.570]  Bernie Sanders keeps winning states, and they're giving it to Hillary.
[00:48:53.131 --> 00:48:55.993]  I can't stand Bernie Sanders, but I'm worried about the integrity of our system.
[00:48:56.253 --> 00:49:00.597]  When they steal it in the open, they've been stealing it for a while, here and there.
[00:49:00.937 --> 00:49:01.938]  Trying to, at least.
[00:49:03.612 --> 00:49:07.033]  But now they just do it in the open in this big psy-op?
[00:49:09.933 --> 00:49:14.034]  And why else is Drudge successful, just like Infowars.com is?
[00:49:15.335 --> 00:49:31.699]  Well, because when it's in, you know, a congressman comes out a year ago, like Walter Jones, and comes on our show and says, you know, this is what's inside the 28 pages, and Saudi Arabia ran the attacks, and NORAD was ordered to stand down, and it's going to implicate the Clintons and the Bushes, and probably bring down a major government, but it needs to come out.
[00:49:31.759 --> 00:49:32.859]  Drudge linked to our article!
[00:49:34.602 --> 00:49:36.123]  Because I guess Drudge was concerned.
[00:49:36.443 --> 00:49:40.125]  Oh, and look at the results of the families and Trump talking about it.
[00:49:40.825 --> 00:49:42.366]  We advised Trump to talk about it.
[00:49:42.386 --> 00:49:43.206]  He's also a New Yorker.
[00:49:43.226 --> 00:49:43.987]  I'm just going to leave it at that.
[00:49:44.707 --> 00:49:46.588]  We asked Trump to come out against the Federal Reserve.
[00:49:46.628 --> 00:49:47.448]  He did one week later.
[00:49:47.468 --> 00:49:49.910]  Roger Stone said, watch what happens next week.
[00:49:51.030 --> 00:49:51.811]  And it happened, didn't it?
[00:49:52.711 --> 00:49:54.252]  By the way, he didn't tell Trump what to say.
[00:49:54.532 --> 00:49:56.053]  Trump was already mad at the Federal Reserve.
[00:49:56.273 --> 00:49:57.473]  He just reminded him to bring it up.
[00:49:58.594 --> 00:50:02.576]  Turns out Trump's been reading books like None Dare Call a Conspiracy since the 70s.
[00:50:02.856 --> 00:50:03.877]  And I'm going to stop right there.
[00:50:04.773 --> 00:50:05.473]  But I'm going to tell you.
[00:50:06.974 --> 00:50:12.638]  I've been told by Dr. Corsi and a bunch of other folks that have known him for 40 years, Trump is a closet anti-New World Order guy.
[00:50:13.298 --> 00:50:20.362]  He just knows the stigma the media's pushed and is just bringing the issues out instead of the buzzwords, like the 28 pages a few months ago.
[00:50:20.682 --> 00:50:21.803]  And look at what's happening.
[00:50:21.843 --> 00:50:28.107]  See, pebble in the stream, pebble in the pond, and the ripples it sends out.
[00:50:30.387 --> 00:50:33.388]  Just like I told you a few months ago, the 9-11 hoax is coming down.
[00:50:33.949 --> 00:50:42.932]  They want to come out and say, Jones says Bush blew up the towers with Wiley Coyote and TNT, and Jones says there's no radical Muslims, and Jones says all these things we didn't say.
[00:50:43.433 --> 00:50:44.573]  There is radical Islam.
[00:50:44.793 --> 00:50:45.914]  It is trying to attack us.
[00:50:46.394 --> 00:50:50.976]  Our government's bringing them into Europe and the U.S., not vetting them, so when they do attack, they'll take our liberties.
[00:50:51.556 --> 00:50:52.336]  That's the false flag.
[00:50:54.137 --> 00:50:55.778]  Open and shut, that you're letting them in.
[00:50:57.202 --> 00:50:58.102]  You're letting it happen.
[00:50:58.643 --> 00:51:03.164]  Just like in Europe, declaring civil emergency and banning free speech after they allow these attacks to take place.
