[00:00:12.389 --> 00:00:14.530]  He said in October I'd be dead in six months.
[00:29:20.335 --> 00:29:25.877]  Hundreds more died during their first terms, and the scourge continues to this day.
[00:29:28.012 --> 00:29:36.695]  Staffer after DNC staffer that speaks out against election fraud or leaks information to WikiLeaks ends up gunned down.
[00:29:37.555 --> 00:29:41.977]  And the Clinton crime family and their backers is now in the spotlight.
[00:29:43.237 --> 00:29:47.539]  If I die, if they kill me, it was done for a worthy cause.
[00:29:48.419 --> 00:29:50.580]  Somebody's got to stand up against these people.
[00:29:51.497 --> 00:30:02.970]  Long before George W. Bush had taken office, or Senator Obama was even thinking about being president, I was there, exposing the crimes of the Clintons.
[00:30:03.871 --> 00:30:11.080]  So it is fitting that I, Alex Jones, called the Dark Heart by Hillary Clinton, would be your chronicler.
[00:30:12.009 --> 00:30:17.452]  A chronicler who risked his very life exposing these evil ones.
[00:30:17.792 --> 00:30:20.674]  It's also what happens when you listen to the radio host, Alex Jones.
[00:30:20.694 --> 00:30:24.116]  Just a few days ago, Hillary Clinton, one of the most powerful criminal kingpins in history,
[00:30:36.385 --> 00:30:42.265]  Came out on national television and said that I had a horrible dark heart.
[00:30:42.785 --> 00:30:49.407]  I don't know what happens in somebody's mind or how dark their heart must be.
[00:30:49.887 --> 00:30:56.568]  I thought back to the history of the Clinton's reign of criminal terror in the last 20 plus years on this planet.
[00:30:57.348 --> 00:31:07.791]  And I have to tell you, it's surreal to realize that Alex Jones, little old me, is one of the main opposition points against these monsters.
[00:31:09.168 --> 00:31:18.932]  Once they were in the White House, they expanded the bombing to hundreds and hundreds and hundreds of attacks a year on the infrastructure of Iraq.
[00:31:19.412 --> 00:31:32.477]  They got the UN to pass the most draconian sanctions ever in modern history, where medicine and food and all forms of technology were basically blocked from coming into the country.
[00:31:33.477 --> 00:31:37.679]  Over a million and a half Iraqis starved to death and died.
[00:31:38.779 --> 00:31:53.342]  And Hillary Clinton's mentor, Madeleine Albright, bragged on 16 Minutes and other channels that 500,000 dead Iraqi children were a good price to pay of the sanctions.
[00:31:54.402 --> 00:31:56.823]  We have heard that half a million children have died.
[00:31:57.703 --> 00:32:02.944]  I mean, that's more children than died in Hiroshima.
[00:32:03.104 --> 00:32:06.065]  And, you know, is the price worth it?
[00:32:07.128 --> 00:32:11.809]  I think this is a very hard choice, but the price, we think the price is worth it.
[00:32:12.309 --> 00:32:22.212]  But when you are a Machiavellian sociopath, or a sadistic psychopath, you don't look at things about alliances and who's right and who's wrong.
[00:32:22.712 --> 00:32:24.913]  You look at a billion plus Muslims.
[00:32:25.653 --> 00:32:27.233]  And you look at Syria.
[00:32:27.994 --> 00:32:33.195]  And you look at the invasion points where you can come into all of Europe and take over.
[00:32:34.420 --> 00:32:36.722]  But first, you've got to get the weapons to invade.
[00:32:37.623 --> 00:32:38.463]  And you see Libya.
[00:32:39.004 --> 00:32:40.906]  And Muammar Gaddafi was set up.
[00:32:41.346 --> 00:32:46.070]  Jihadists out of Saudi Arabia, via the State Department and Hillary, were brought into Benghazi.
[00:32:46.110 --> 00:32:47.091]  They attacked the country.
[00:32:47.511 --> 00:32:50.694]  The West had a bombing campaign to back the takeover.
[00:32:51.074 --> 00:32:52.655]  Islamists were put in control.
[00:32:53.316 --> 00:32:53.856]  Christians
[00:32:55.009 --> 00:32:59.992]  Blacks, non-radical Muslims, Shiites and others were killed by the tens of thousands.
[00:33:00.612 --> 00:33:04.274]  And Hillary formed, by design, a failed state.
[00:33:04.654 --> 00:33:08.296]  We came, we saw, he died.
[00:33:15.840 --> 00:33:18.542]  You're listening to the Alex Jones Show.
[00:33:34.148 --> 00:33:37.153]  Crashing through the lies and disinformation.
[00:33:37.734 --> 00:33:41.900]  It's Alex Jones on the GCN Radio Network.
[00:33:46.920 --> 00:33:59.411]  I'm here to say, and this is the reason why I came to see you, Alex, is you are one of the very few who are operating under this theory to be an independent American, in a big way.
[00:33:59.632 --> 00:34:01.333]  If your calling is media, fine.
[00:34:01.373 --> 00:34:03.215]  If your calling is sports, whatever it is.
[00:34:03.715 --> 00:34:05.317]  But you've got to be the greatest you can be.
[00:34:05.997 --> 00:34:06.377]  Now.
[00:34:06.797 --> 00:34:17.282]  I don't know why they've been successful in pushing everybody into these little ghettos of these Facebooks and these tweets and these Instagrams, these Instas.
[00:34:17.922 --> 00:34:19.082]  This is ghetto.
[00:34:19.503 --> 00:34:20.263]  This is ghetto.
[00:34:20.303 --> 00:34:21.423]  This is corporate.
[00:34:21.463 --> 00:34:23.784]  They're taking your energy.
[00:34:24.244 --> 00:34:26.545]  They're taking your energy and you're getting nothing in return.
[00:34:26.946 --> 00:34:27.286]  Nothing.
[00:34:27.306 --> 00:34:28.546]  They're dumbing the language down.
[00:34:28.786 --> 00:34:31.447]  Twitter's designed to reduce the language directly out of 1984.
[00:34:31.487 --> 00:34:31.767]  It's Ingsoc.
[00:34:33.468 --> 00:34:36.991]  I had a Supreme Court justice tell me to my face it's over for me.
[00:34:37.211 --> 00:34:38.332]  He said, Matt, it's over for you.
[00:34:38.672 --> 00:34:40.894]  They've got the votes now to enforce copyright law.
[00:34:41.154 --> 00:34:41.735]  You're out of there.
[00:34:41.935 --> 00:34:44.257]  They're going to make it so headlines you can't even use headlines.
[00:34:44.597 --> 00:34:51.383]  To have a Supreme Court justice say that to my face, that it's over, they've got the votes, which means time is limited.
[00:34:51.823 --> 00:34:53.064]  Time is not forever.
[00:34:53.385 --> 00:34:58.350]  How many more moons and sunrises will you see in your life rise and fall?
[00:34:58.570 --> 00:34:59.551]  There's not that many.
[00:34:59.651 --> 00:35:01.152]  It's a small amount.
[00:35:01.673 --> 00:35:07.219]  So for people to be saying with this attitude, Oh, I'll get on with my life and my greatness sometime.
[00:35:07.799 --> 00:35:08.580]  No, no, you can't.
[00:35:08.720 --> 00:35:10.622]  We're being enslaved now, and that's it.
[00:35:10.802 --> 00:35:15.726]  Under the TPP, they admit you can't put a headline to the New York Times.
[00:35:16.006 --> 00:35:17.987]  You're sending massive traffic to them.
[00:35:18.348 --> 00:35:20.769]  They're claiming you're taking their words.
[00:35:21.050 --> 00:35:21.850]  This is insane.
[00:35:21.930 --> 00:35:25.093]  And you had the Justice Stephen Breyer said we need to look at a global law.
[00:35:25.473 --> 00:35:27.674]  Now, remember just recently- We're getting lined up with it.
[00:35:27.954 --> 00:35:30.434]  So, they're getting ready for these decisions to come.
[00:35:30.454 --> 00:35:32.055]  You thought Obamacare was shocking.
[00:35:32.455 --> 00:35:34.255]  You thought some of these other decisions were shocking.
[00:35:34.315 --> 00:35:45.058]  Wait until these copyright laws work their way up and the Supreme Court decides you cannot have a website with news headlines linking across the board.
[00:35:47.785 --> 00:35:49.846]  Waging war on corruption.
[00:35:50.427 --> 00:35:55.651]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:36:03.696 --> 00:36:12.062]  Thematically, every day, looking at hundreds and hundreds of news stories, a theme will emerge.
[00:36:13.403 --> 00:36:15.885]  And more often than not, the number one theme
[00:36:17.364 --> 00:36:20.887]  Is global censorship of news and information.
[00:36:22.808 --> 00:36:29.233]  Many people will look at the collapse of the dinosaur media and the collapse of its credibility as something positive.
[00:36:29.393 --> 00:36:30.314]  And I do overall.
[00:36:30.374 --> 00:36:33.076]  But really now, what do they have to lose?
[00:36:34.677 --> 00:36:41.122]  They have only intensified and then intensified again and then intensified again and again and again.
[00:36:42.475 --> 00:36:47.078]  The unification of deception and twisting information.
[00:36:49.179 --> 00:36:52.200]  But we have parallel media that is exposing it in real time.
[00:36:53.701 --> 00:36:58.624]  The next logical move for them to engage in is the takeover and the shutdown of that media.
[00:36:59.364 --> 00:37:00.325]  We were warned last year.
[00:37:01.823 --> 00:37:08.286]  I brought around this time of year by Matt Drudge, and he was told massive censorship was coming to the internet this year.
[00:37:08.746 --> 00:37:14.368]  And now we have even the Wall Street Journal today, an internet giveaway to the UN.
[00:37:15.289 --> 00:37:17.389]  The agreement with ICANN has been kept secret.
[00:37:20.451 --> 00:37:23.872]  And now they've gotten parts of it, and it is the turnover to the UN.
[00:37:24.692 --> 00:37:25.533]  And that dovetails
[00:37:28.134 --> 00:37:31.617]  With the fact that we have new documents from the Daily Caller.
[00:37:31.938 --> 00:37:33.839]  We need to do a unified story about this.
[00:37:34.560 --> 00:37:35.621]  Soros document.
[00:37:36.041 --> 00:37:39.104]  Regulate internet to favor open society supporters.
[00:37:39.885 --> 00:37:41.587]  These are bloodthirsty monsters!
[00:37:42.427 --> 00:37:43.208]  And they're moving!
[00:37:43.749 --> 00:37:44.930]  Hillary puts out a fundraiser!
[00:37:46.374 --> 00:37:53.519]  Originally, President Obama promised that the Fed's handover of the Antitrust Protected Internet Corporation for Assigned Names and Numbers, or ICANN, would not involve the United Nations.
[00:38:15.394 --> 00:38:25.241]  If we fall for, you know, a bunch of okie-dokie... Was this, yet again, a naive move by an incompetent President of the United States?
[00:38:25.501 --> 00:38:28.123]  Or has this been the plan all along?
[00:38:28.283 --> 00:38:33.126]  Time and time again, Congress has failed to pass draconian laws to control the Internet.
[00:38:33.226 --> 00:38:49.539]  The Communications Decency Act of 1996, the Intellectual Property Enforcement Act of 2007, the Cybersecurity Act, the Protect IP Act of 2011, and SOPA, to name a few, all failed miserably against the ironclad integrity of the First Amendment.
[00:38:49.680 --> 00:38:54.524]  The globalists, scurrying to their den of iniquity at Bilderberg, would hear none of it.
[00:38:54.664 --> 00:38:57.786]  Their very fortunes and lives depend on it.
[00:38:57.866 --> 00:38:59.608]  The public knows too much already.
[00:38:59.788 --> 00:39:01.049]  Control of the Internet,
[00:39:01.329 --> 00:39:03.990]  ...had to be torn from the protection of the U.S.
[00:39:04.070 --> 00:39:04.891]  Constitution.
[00:39:05.091 --> 00:39:23.139]  Larry Strickland of the National Telecommunications and Information Administration, a Commerce Department agency, which has overseen ICANN since 1998, said, "...we will not accept a proposal that replaces the NTIA role with a government-led or an intergovernmental solution."
[00:39:23.559 --> 00:39:28.421]  Now, after the full weight of Edward Snowden's revelations opened a treasure trove,
[00:39:28.561 --> 00:39:35.872]  The United States, in pure Hegelian dialectic fashion, offered to cede control to a multi-stakeholder, i.e.
[00:39:35.973 --> 00:39:37.575]  lobbyist-dominated model.
[00:39:37.715 --> 00:39:43.885]  That's right, the internet will be in the hands of lobbyists, the very bottom feeders of the whims of globalism.
[00:39:44.065 --> 00:39:44.845]  How bad is it?
[00:39:45.005 --> 00:39:50.408]  In the intervening years, the United Nations and the European Union had jostled for control of the Internet.
[00:39:50.488 --> 00:40:00.713]  During a meeting in Dubai, the International Telecommunications Union, the telecom branch of the United Nations, demanded rules governing the Internet to be rewritten.
[00:40:01.053 --> 00:40:10.878]  Specifically, the international organization proposed Deep Packet Inspection Authority that would allow it to monitor and censor content on the Internet.
[00:40:11.038 --> 00:40:14.302]  The United States walked out of that conference in protest.
[00:40:14.542 --> 00:40:28.097]  What appears to be the mundane task of assigning parking spaces for internet businesses will more than likely face in the very near future a level of censorship that will make the free-thinking people of the World Wide Web's headspace
[00:40:28.097 --> 00:40:28.297]  Yeah.
[00:40:58.117 --> 00:40:59.697]  Transition that stewardship to the global community.
[00:41:25.911 --> 00:41:28.953]  Fadi Chahadi has been the CEO at ICANN since 2012.
[00:41:30.013 --> 00:41:44.462]  After having negotiated the full-scale globalization of the internet, Chahadi will be aptly rewarded by the New World Order, acting as a senior advisor at Abri Partners, a private equity firm that controls an already monopolized media.
[00:41:44.722 --> 00:41:49.888]  Also as a co-chair of the newly formed World Internet Conference in Wuzhen, China.
[00:41:50.088 --> 00:41:57.576]  And last but not least, a senior advisor to Klaus Schwab, founder and chairman of the World Economic Forum.
[00:41:57.836 --> 00:41:59.958]  Schwab attended Bilderberg in 2016.
[00:42:00.979 --> 00:42:06.305]  An internal proposed strategy from George Soros' Open Society Justice Initiative
[00:42:06.485 --> 00:42:16.315]  Calls for international regulation of private actors' decisions on, quote, what information is taken off the internet and what may remain, end quote.
[00:42:16.475 --> 00:42:23.863]  Those regulations, the document notes, should favor, quote, those most supportive of open society, end quote.
[00:42:24.063 --> 00:42:27.246]  Open society being George Soros' organization.
[00:42:27.466 --> 00:42:39.749]  Soros and company, rather than striking directly at free speech progenitors like Infowars.com, are one month away from recklessly pulling the rug out from under everything.
[00:42:39.929 --> 00:42:53.011]  Now that ICANN has relinquished control of the medium, globalist institutions can move forward with plans to scrub the internet of all content unacceptable to the global elite and their minions at the United Nations.
[00:42:53.252 --> 00:42:55.252]  John Bound for Infowars.com.
[00:43:08.771 --> 00:43:09.002]  Yeah.
[00:43:15.771 --> 00:43:23.233]  On July 30th, Alex Jones made a request that Donald Trump make rigged elections one of the central campaign issues.
[00:43:23.954 --> 00:43:29.295]  On August 1st, Donald Trump went on Sean Hannity and spoke with Sean about rigged elections.
[00:43:30.116 --> 00:43:36.558]  Vladimir Putin came out a few days later and spoke about how American elections have been rigged in the past.
[00:43:37.178 --> 00:43:38.759]  Here's a recap of those events.
[00:43:39.399 --> 00:43:42.440]  Mr. Trump, I'm not going to lay things out here that you don't already know.
[00:43:43.380 --> 00:43:56.308]  But I am going to ask you to seriously think about making the issue of Hillary's election fraud in the primaries one of the central issues to defeating her in November.
[00:43:56.628 --> 00:44:00.670]  And I'm telling you, November 8th, we better be careful because that election's gonna be rigged.
[00:44:00.810 --> 00:44:01.571]  First of all, it's rigged.
[00:44:02.131 --> 00:44:04.754]  And I'm afraid the election's gonna be rigged, I have to be honest.
[00:44:05.334 --> 00:44:09.118]  And I hope the Republicans are watching closely or it's gonna be taken away from us.
[00:44:09.278 --> 00:44:12.841]  America teaches everybody how to live in, quote, democracy.
[00:44:13.261 --> 00:44:13.742]  But what?
[00:44:14.142 --> 00:44:17.085]  You actually believe that they have democratic elections there?
[00:44:17.445 --> 00:44:25.673]  If Hillary steals the nomination, and then she openly is engaged in chicanery and things don't add up with Trump, you have to say it must be thrown out.
[00:44:26.153 --> 00:44:34.883]  Hillary Clinton has had every advantage, every break given to her from the very beginning by this Democratic Party.
[00:44:34.983 --> 00:44:35.884]  It has been rigged.
[00:44:35.945 --> 00:44:38.768]  The political parties choose their nominee, not the general public.
[00:44:39.709 --> 00:44:41.251]  Contrary to popular belief.
[00:44:41.491 --> 00:44:43.113]  Then why is Biden holding the primaries?
[00:44:44.102 --> 00:44:45.302]  That's a very good question.
[00:44:45.442 --> 00:44:59.686]  It is clearly the case that when given truth serum, Debbie Wasserman Schultz vastly prefers Hillary Clinton to be the nominee, obviously, and to the extent there are things that can be done institutionally and marginally to facilitate that outcome, they are being done.
[00:44:59.806 --> 00:45:04.767]  When did the press see it as their role to protect the prerogative of the powerful?
[00:45:04.827 --> 00:45:05.807]  Actually, I think that's part of it.
[00:45:06.067 --> 00:45:09.773]  And we're not going to recognize Queen Hillary if there's evidence of fraud.
[00:45:10.094 --> 00:45:10.955]  And guess what there is?
[00:45:11.215 --> 00:45:13.098]  She stole the nomination!
[00:45:13.339 --> 00:45:15.562]  Of course the elections will not be rigged.
[00:45:15.602 --> 00:45:16.323]  What does that mean?
[00:45:17.099 --> 00:45:18.921]  How would the party pick a new nominee?
[00:45:19.161 --> 00:45:20.062]  Today is the day!
[00:45:20.142 --> 00:45:23.685]  They're really thinking about maybe getting him off the top of the ticket.
[00:45:23.885 --> 00:45:26.587]  He now looks increasingly like the Kamikaze candidate.
[00:45:27.188 --> 00:45:30.070]  An implosion the likes of which I have never seen.
[00:45:30.090 --> 00:45:33.253]  The biggest problem we have is we have a very dishonest media.
[00:45:33.914 --> 00:45:44.603]  If Mr. Trump is suggesting that there is a conspiracy theory that is being propagated across the country,
[00:45:46.368 --> 00:45:48.689]  Including in places like Texas.
[00:45:50.970 --> 00:45:51.591]  That's ridiculous.
[00:45:51.691 --> 00:45:52.691]  That doesn't make any sense.
[00:45:52.751 --> 00:45:54.672]  And I don't think anybody would take that seriously.
[00:45:55.332 --> 00:45:58.674]  Ladies and gentlemen, InfoWars is now controlling the narrative.
[00:45:59.154 --> 00:46:04.677]  Go to InfoWars.com for more information and InfoWarsStore.com to support the fight for truth.
[00:46:11.254 --> 00:46:13.095]  It's not just our water we need to filter.
[00:46:13.135 --> 00:46:15.016]  It's not just our food that needs to be cleaned.
[00:46:15.157 --> 00:46:17.998]  It's the air we're breathing, especially for our children.
[00:46:18.078 --> 00:46:23.922]  The artificial particulates, the chemicals, is absolutely weighing down our immune systems.
[00:46:24.142 --> 00:46:31.507]  The same team based right here in America that brought you the Alexa Pure groundbreaking water filtration systems have now developed
[00:46:31.647 --> 00:46:33.008]  Alexa Pure Breeze.
[00:46:33.308 --> 00:46:40.613]  Whether it's your home or office, you owe it to yourself, your co-workers, your family, your children to do the best job you can to purify your air.
[00:46:40.853 --> 00:46:48.578]  The elite are masters at poisoning our environment while themselves doing things that mitigate or avoid most of the toxic effects for themselves.
[00:46:48.898 --> 00:46:49.859]  The general public doesn't.
[00:46:51.068 --> 00:46:53.368]  The Alexa Pure Breeze would be a steal at $300, $400, $500.
[00:46:55.009 --> 00:46:58.429]  One of these systems can keep 800 square feet incredibly clean.
[00:46:58.569 --> 00:47:05.031]  This is a system I'm personally putting in throughout my house, replacing older, more expensive filters that didn't do as good a job.
[00:47:05.271 --> 00:47:09.571]  Find out why this system is so revolutionary today at m4wrestore.com.
[00:47:15.332 --> 00:47:17.933]  You're listening to The Alex Jones Show.
[00:47:31.116 --> 00:47:38.763]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:47:41.565 --> 00:47:47.891]  I cannot help asking those who have caused this situation, do you realize now what you've done?
[00:47:59.756 --> 00:48:01.978]  We even know year by year what's going to happen.
[00:48:02.258 --> 00:48:03.359]  And they know we know.
[00:48:03.779 --> 00:48:08.262]  It's only you that they tell these fables and you buy it and spread it to the citizens of your countries.
[00:48:08.683 --> 00:48:12.145]  And your people do not feel a sense of the impending danger.
[00:48:14.127 --> 00:48:15.388]  This is what worries me.
[00:48:16.068 --> 00:48:20.091]  How do you not understand that the world is being pulled in an irreversible direction?
[00:48:21.832 --> 00:48:22.753]  That is the problem.
[00:48:22.773 --> 00:48:25.275]  But they pretend like nothing's going on.
[00:48:25.295 --> 00:48:28.017]  I don't even know how to get through to you people anymore.
[00:48:29.958 --> 00:48:41.363]  Putin will try to destabilize Ukraine, but the Ukrainians, the large majority of Ukrainians, are determined to be independent of Russia.
[00:48:41.703 --> 00:48:44.245]  Well then, why are you interfering in our business?
[00:48:44.645 --> 00:48:45.865]  Don't meddle in our business.
[00:48:46.145 --> 00:48:47.926]  Sort out your own issues first.
[00:48:48.286 --> 00:48:53.109]  Mr. Trump declared that he's ready to restore full cooperative relations with Russia.
[00:48:53.129 --> 00:48:55.270]  What's so bad about that?
[00:48:55.710 --> 00:48:56.570]  We all welcome that.
[00:48:56.870 --> 00:48:57.311]  Do you not?
[00:49:07.904 --> 00:49:25.879]  In recent years, we have seen a cacophony of geopolitical experts, historians, statisticians, statesmen come out and warn that the world
[00:49:27.111 --> 00:49:32.974]  is hurtling towards major military conflict between the United States and Russia.
[00:49:33.714 --> 00:49:40.957]  And that the climate that we see in the world today is very similar to what we saw before World War I and World War II.
[00:49:42.618 --> 00:49:46.900]  Vladimir Putin has come out multiple times in the last six months
[00:49:48.846 --> 00:49:58.998]  At press conferences and warn the world that the West, under the guise of missile defense systems, is moving offensive nuclear weapons up to the border with Russia.
[00:50:00.921 --> 00:50:01.682]  I study the facts.
[00:50:02.983 --> 00:50:05.887]  I know that two years ago, George Soros bragged on CNN.
[00:50:07.304 --> 00:50:13.030]  That he had the major part with the State Department in overthrowing the elected government of Ukraine.
[00:50:13.991 --> 00:50:28.707]  First on Ukraine, one of the things that many people recognized about you was that you, during the revolutions of 1989, funded a lot of dissident activities, civil society groups in Eastern Europe, in Poland, the Czech Republic.
[00:50:29.427 --> 00:50:31.288]  Are you doing similar things in Ukraine?
[00:50:31.308 --> 00:50:31.728]  Now!
[00:50:50.214 --> 00:50:55.176]  In the eastern area of Ukraine, that has always been part of Russia, the Crimea.
[00:50:55.796 --> 00:50:57.117]  It means the border in Russian.
[00:50:58.217 --> 00:51:02.418]  We have proxy armies of NATO battling Russian troops.
[00:51:03.279 --> 00:51:05.539]  And the Russian losses have been high.
[00:51:06.340 --> 00:51:14.783]  Just last week, Vladimir Putin came out in a press conference and pointed out that Kiev is launching basically asymmetrical attacks, or what he called terrorism.
[00:51:15.883 --> 00:51:23.829]  And whether you support Russia or Putin, or don't, or whether you're just neutral, it should be a major news item here in the United States.
[00:51:24.609 --> 00:51:26.370]  Here's a segment of that news conference.
[00:51:27.511 --> 00:51:39.860]  It is true that our special forces have foiled an attempt by a group of sabotage infiltrators belonging to the Ukrainian Defense Ministry's intelligence agency, who were seeking to penetrate the Crimean territory.
[00:51:41.607 --> 00:51:48.752]  And in view of these events, it has become pointless to meet with the Ukraine's current authorities at the Normandy format.
[00:51:49.853 --> 00:51:52.515]  We have suffered losses as a result of this operation.
[00:51:53.255 --> 00:51:57.358]  We undoubtedly cannot turn a blind eye to the deaths of our servicemen.
[00:51:57.899 --> 00:52:00.721]  But I would also like to address our American and European partners.
[00:52:02.881 --> 00:52:13.084]  I think today it has become obvious for everyone that Kiev's current authorities are not seeking ways to solve problems through negotiations, but have turned to terrorism instead.
[00:52:13.104 --> 00:52:17.185]  This is a highly troubling development.
[00:52:17.425 --> 00:52:27.888]  There are no other reasons for conducting such actions other than to distract the Ukrainian people and divert their attention from the disastrous economic situation.
[00:52:28.368 --> 00:52:32.289]  And the miserable conditions most of them are living in.
[00:52:33.369 --> 00:52:40.430]  And here we are, two years after George Soros and the State Department brag that they overthrew the elected government of Ukraine.
[00:52:41.130 --> 00:52:56.733]  And now as NATO and Western forces mass on the Russian border, and as Russia puts 40,000 troops on its border and goes on high alert, and as Putin says, no more detente, no more talk with Ukraine, you are attacking Russian citizens in your east.
[00:52:58.035 --> 00:53:07.164]  Zero coverage here in our media unless there's stories saying that I'm a Russian agent or that InfoWars or Donald Trump have sold out to Putin.
[00:53:08.064 --> 00:53:12.508]  No, we've sold out to common sense and decency and not having a nuclear war.
[00:53:13.329 --> 00:53:22.658]  And I see the emails that come in and the comments on InfoWars by a vocal minority saying that I'm a fear monger because I'm concerned about global conflict.
[00:53:24.212 --> 00:53:28.876]  Yes, I'm concerned about the West funding Al Qaeda and ISIS to take over the Middle East and North Africa.
[00:53:29.617 --> 00:53:38.165]  I'm upset about our governments creating thousands of trillions of dollars of fake derivatives to buy up the world.
[00:53:39.086 --> 00:53:44.471]  I'm concerned about the Clinton Foundation taking money from third world dictators and Middle Eastern
[00:53:46.025 --> 00:53:48.045]  Governments that oppress women and homosexuals.
[00:53:48.686 --> 00:53:51.706]  I'm concerned about the laissez-faire attitude of our elites.
[00:53:52.566 --> 00:53:56.087]  But I'm even more concerned about the general population.
[00:53:56.727 --> 00:54:03.029]  Because I've had people that I know personally say to me, Alex, we've been hearing about nuclear war since the 1960s.
[00:54:03.929 --> 00:54:04.949]  It's fear-mongering.
[00:54:05.629 --> 00:54:06.569]  It's never gonna happen.
[00:54:07.449 --> 00:54:09.870]  And the New York Times makes jokes about fear porn.
[00:54:11.576 --> 00:54:16.060]  We have the power to destroy life on this planet many times over.
[00:54:17.261 --> 00:54:22.726]  We have promethean fire that will either take us to the stars or turn this whole planet into a giant tombstone.
[00:54:23.827 --> 00:54:24.628]  I have three children.
[00:54:25.368 --> 00:54:26.589]  I study geopolitics.
[00:54:26.750 --> 00:54:28.951]  I'm involved in trying to build a better world.
[00:54:29.472 --> 00:54:31.334]  I want peace with Russia and China.
[00:54:31.954 --> 00:54:32.615]  I don't want war.
[00:54:33.195 --> 00:54:46.948]  And I see our very elites that tell us don't worry about war being the ones that gave nuclear reactors to North Korea so they could create atomic bombs, and who gave the missile secrets for ICBMs to China in the 1990s.
[00:54:47.628 --> 00:54:54.074]  The very people telling us don't worry about all this are the very ones that are pushing our world towards the brink
[00:54:55.006 --> 00:54:55.386]  I think?
[00:55:16.653 --> 00:55:23.745]  That we have aircraft carriers and fleets openly lined up against Chinese ships in the South China Sea in the last two months.
[00:55:24.767 --> 00:55:30.377]  With the People's Daily and the President of China saying war with the United States is imminent!
[00:55:33.649 --> 00:55:43.398]  And there's a thousand times more news, literally, about some American athlete in South America at the Olympics who might have lied about being robbed.
[00:55:44.059 --> 00:55:46.281]  That's the big story and not this.
[00:55:47.102 --> 00:55:51.245]  World Net Daily is reporting that six plus trillion dollars is missing from the Pentagon.
[00:55:52.246 --> 00:55:57.068]  The last time CBS News reported the day before 9-11 that 2 trillion was missing, you saw what happened.
[00:55:57.308 --> 00:55:59.269]  And that's just the beginning of what I'm talking about.
[00:55:59.489 --> 00:56:04.451]  The elite is all basically running to armored fortresses and redoubts in New Zealand.
[00:56:04.471 --> 00:56:05.492]  They're going underground.
[00:56:05.532 --> 00:56:06.112]  It's admitted.
[00:56:06.672 --> 00:56:10.714]  They're building huge walls from Hillary's palace to Zuckerberg's around their houses.
[00:56:11.354 --> 00:56:14.916]  They're acting like it's the end of the world while telling us don't worry about it.
[00:56:15.436 --> 00:56:16.556]  It's a conspiracy theory.
[00:56:16.756 --> 00:56:20.058]  If you even talk about Putin, discussing nuclear war.
[00:56:21.758 --> 00:56:32.021]  These are crazy times to be alive, and I'm simply here ringing the alarm bell saying, we've gotten by without a nuclear war so far, and we're very close to one right now.
[00:56:32.881 --> 00:56:39.403]  Let's have a debate about this instead of whether or not somebody on the Olympic team lied about being assaulted.
[00:56:40.443 --> 00:56:42.583]  Let's force real issues out there in the open.
[00:56:43.864 --> 00:56:47.825]  I'm Alex Jones, asking all of you to think about the facts.
[00:56:48.956 --> 00:56:49.757]  To weigh the evidence.
[00:56:51.177 --> 00:56:51.838]  And to decide.
[00:56:52.919 --> 00:56:55.580]  Is having 50,000 nuclear weapons on this planet safe?
[00:56:57.722 --> 00:56:59.803]  Is massing troops on the Russian border a good idea?
[00:57:01.104 --> 00:57:03.346]  Is funding ISIS and Al-Qaeda a good idea?
[00:57:06.247 --> 00:57:06.728]  The decision.
[00:57:08.191 --> 00:57:09.072]  Is up to all of us.
[00:57:09.332 --> 00:57:10.813]  And we should have a serious debate about it.
[00:57:11.334 --> 00:57:13.036]  The globalists don't want that debate to happen.
[00:57:13.736 --> 00:57:16.899]  But we're here to force that debate front and center.
[00:57:17.239 --> 00:57:18.761]  Just like we've done about election fraud.
[00:57:19.181 --> 00:57:20.542]  Just like we've done about GMO.
[00:57:20.983 --> 00:57:24.086]  Just like we've done about our government funding ISIS on every front.
[00:57:24.626 --> 00:57:32.894]  InfoWars is the tip of the spear because we have 28 million viewers and listeners just like you that are awake and who are involved.
[00:57:34.781 --> 00:57:36.429]  So my friends, it's time to take action.
[00:57:37.273 --> 00:57:39.462]  And to stop a new world war.
[00:58:01.684 --> 00:58:07.849]  We're selling a product, DNA Force, that is the very best nutraceutical that we can produce.
[00:58:08.230 --> 00:58:11.112]  Dr. Grip, you took years for you to develop DNA Force for us.
[00:58:11.452 --> 00:58:16.637]  It's been something that I've been working on for a long time, Alex, because I think it's very, very important.
[00:58:17.057 --> 00:58:23.042]  What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[00:58:23.182 --> 00:58:26.325]  Telomeres are the little cups on the end of our chromosomes.
[00:58:26.465 --> 00:58:27.906]  And when it runs out, you start dying.
[00:58:28.106 --> 00:58:32.250]  We chose the PQQ because it has over 175 different clinical trials.
[00:58:32.450 --> 00:58:35.313]  It's one of the most effective substances in the world.
[00:58:35.393 --> 00:58:36.954]  It works like an antioxidant.
[00:58:37.054 --> 00:58:40.237]  It works to repair nerve growth factor.
[00:58:40.517 --> 00:58:42.860]  So this is a formula to deliver the maximum amount.
[00:58:43.120 --> 00:58:44.101]  It's in powder form.
