[00:00:06.568 --> 00:00:07.403]  Sounded real when Chevy.
[00:40:20.464 --> 00:40:27.286]  I will go to... I will go to hell before I sit here and I watch this country and the world turned over to these savages!
[00:40:27.546 --> 00:40:28.086]  I'm done!
[00:40:28.367 --> 00:40:28.847]  I'm pissed!
[00:40:28.867 --> 00:40:30.767]  And I'm not putting up with it anymore!
[00:40:30.948 --> 00:40:33.609]  You... Let me tell you something, you filthy traitors in the government.
[00:40:33.769 --> 00:40:34.629]  You pieces of crap!
[00:40:35.782 --> 00:40:50.295]  You are the most degenerate, twisted, mentally ill people I've ever seen wanting to gang-rape this republic and this country and the West that has been the literal cornerstone, the absolute jewel in the crown!
[00:40:51.056 --> 00:41:01.225]  of free Western Renaissance societies and the very best literature, music, technology, science, medicine, culture the world's ever seen.
[00:41:01.426 --> 00:41:04.529]  You Satanists want to sacrifice the West.
[00:41:05.049 --> 00:41:08.372]  You want to kill the beautiful goddess that is the West.
[00:41:08.392 --> 00:41:13.497]  You people are enemies and we're going to get your asses and we know what you're up to and we're coming for you.
[00:41:15.099 --> 00:41:16.060]  I've had enough of these people.
[00:41:16.400 --> 00:41:17.821]  I've been containing this for the last week.
[00:41:17.841 --> 00:41:22.724]  That's why I've been sweating and getting pissed.
[00:41:28.727 --> 00:41:31.208]  It is an absolute fact that they're coming for all of us, okay?
[00:41:32.049 --> 00:41:37.092]  And I have just come to that realization and I am so pissed at the filth that runs our government and I'm even more
[00:41:38.220 --> 00:41:49.323]  I'm pissed at the collaborators in our media, and our military, and our police forces, and the general population that can't see a total takeover when it's staring you in your eyeballs.
[00:41:52.104 --> 00:41:54.404]  It's not like it's some threat coming from a thousand miles away.
[00:41:54.444 --> 00:41:57.745]  It's not like it's over the hill and around the Dale.
[00:41:58.245 --> 00:41:58.566]  It's here.
[00:42:03.027 --> 00:42:03.667]  Let me start over.
[00:42:09.221 --> 00:42:09.542]  We?
[00:42:09.562 --> 00:42:14.557]  We have launched an information warfare against the globalists trying to wake people up.
[00:42:15.734 --> 00:42:30.664]  We've proven we know exactly what their battle plans are, and hackers have gotten all their information, and it's exactly what we told you they were doing, because most of these globalists have already written books and brag about 95% of what they're doing, we've just got the other 5% of what they're planning, and it just completes our worst nightmares.
[00:42:31.445 --> 00:42:43.453]  So there's no going back, there's no discussion of this, we all know the truth now, and you either choose the side of liberty and freedom, or you choose the side of the New World Order, allied with the stinking, filthy, third-world woman-raping
[00:42:45.571 --> 00:42:53.418]  I've been holding this back, not blowing up on air for a few weeks.
[00:42:53.458 --> 00:42:54.118]  I'm sure you've noticed.
[00:42:54.138 --> 00:42:56.540]  I've been trying to control myself, trying to be professional about this.
[00:42:57.161 --> 00:42:59.963]  But at a certain point, I'm just really getting pissed.
[00:43:01.364 --> 00:43:05.508]  I'm pissed about the attack on language, the attack on reality, the attack on common sense.
[00:43:05.888 --> 00:43:07.289]  I am so sick of these people.
[00:43:07.409 --> 00:43:08.310]  But I'll tell you the good news.
[00:43:09.051 --> 00:43:11.613]  That lying witch, Hillary Clinton, is on her last legs.
[00:43:12.614 --> 00:43:13.635]  And so thank you, God.
[00:43:13.855 --> 00:43:15.917]  Thank you for the hand of doom coming against her.
[00:43:16.217 --> 00:43:20.180]  I don't wish her any harm, but I wish you to have judgment on Hillary Clinton.
[00:43:20.400 --> 00:43:22.842]  I want everyone to pray for judgment on Hillary Clinton.
[00:43:22.862 --> 00:43:23.203]  Let's pray.
[00:43:23.223 --> 00:43:30.709]  Our dear Heavenly Father, please help us to be strong and help us to protect the innocents, and please help us to rebuild this nation.
[00:43:30.729 --> 00:43:36.754]  And we repent for how evil we've been, but please, please, please, please don't put us into the hands of these people, for God's sakes.
[00:43:37.314 --> 00:43:37.655]  Please.
[00:43:38.395 --> 00:43:39.676]  I know we've killed 50 million babies.
[00:43:39.957 --> 00:43:41.178]  We're so horrible, but my God,
[00:43:41.738 --> 00:43:46.140]  This country's trying to wake up, will you just please let us not be taken control of by the filth of the planet?
[00:43:46.500 --> 00:43:46.760]  I'm in.
[00:43:50.141 --> 00:43:50.642]  Oh my God.
[00:43:52.282 --> 00:44:08.109]  Let me tell all the scum and all the leftists, you're going to lose all your jobs soon, the whole mainstream media is dying, we're going to be in a huge depression, you're going to be living in your mother's basements, and I hope your little fake liberal culture you've got that's totally fascist and satanic, I hope it keeps you warm at night, because that's all you're going to have, and it's all you're ever going to have, okay?
[00:44:09.369 --> 00:44:10.210]  I just hope you understand that.
[00:44:11.786 --> 00:44:12.446]  Get back to what I was saying.
[00:44:13.127 --> 00:44:18.249]  We have, ladies and gentlemen, a new app that has a lot of great features.
[00:44:18.549 --> 00:44:22.350]  And you go to InfoWars.com forward slash app to get it for free.
[00:44:22.650 --> 00:44:25.111]  And it's on Droid, it's on Apple.
[00:44:25.912 --> 00:44:26.972]  It's a very, very nice app.
[00:44:27.052 --> 00:44:28.013]  It's totally free.
[00:44:29.213 --> 00:44:37.436]  And it sends you news alerts, and it's got videos, and the daytime show, and select clips, and the nightly show, and special reports, and a lot of other exclusive things.
[00:44:37.456 --> 00:44:38.297]  And it's absolutely free.
[00:44:39.767 --> 00:44:43.269]  At InfoWarsStore.com.
[00:44:43.289 --> 00:44:44.430]  We have links to it free there.
[00:44:44.450 --> 00:44:46.692]  And InfoWars.com forward slash app.
[00:44:47.012 --> 00:44:50.534]  And I've never done a pop-up in 19 years of the InfoWars website.
[00:44:51.675 --> 00:44:56.738]  Never done an app or a pop-up is what I meant to say.
[00:44:56.978 --> 00:44:59.580]  But we're gonna have a pop-up popping up later today if you are on a
[00:45:02.699 --> 00:45:03.320]  Smartphone.
[00:45:04.661 --> 00:45:10.846]  If you are one of these little globalist devices, most people have already gone to, then a pop-up will pop up if you're able to go and get it free.
[00:45:10.886 --> 00:45:12.187]  Just X out of it if you don't want to.
[00:45:12.567 --> 00:45:13.648]  That's another way to get the free app.
[00:45:13.668 --> 00:45:16.510]  Let me go ahead and read to you about the app here before I have a heart attack.
[00:45:18.772 --> 00:45:20.473]  The new free app from InfoWars.
[00:45:20.573 --> 00:45:26.598]  Stay informed and up-to-date with InfoWars Live, your top source for independent alternative news.
[00:45:26.798 --> 00:45:28.139]  Breaking news alerts.
[00:45:28.620 --> 00:45:33.484]  Watch the Alex Jones Show live in HD from your phone or tablet.
[00:45:34.244 --> 00:45:40.849]  Get the latest headline news free from the distortions of the enemy filth
[00:45:42.449 --> 00:45:44.992]  Garbage media that absolutely hates you and your family.
[00:45:45.352 --> 00:45:46.113]  I mean they do!
[00:45:46.153 --> 00:45:47.074]  They hate you!
[00:45:47.394 --> 00:45:48.155]  They hate you!
[00:45:48.175 --> 00:45:49.136]  Get that through your head!
[00:45:49.176 --> 00:45:49.816]  This isn't rhetoric!
[00:45:50.016 --> 00:45:51.218]  They hate you!
[00:45:52.058 --> 00:45:53.019]  They hate God!
[00:45:55.708 --> 00:45:57.569]  We're not just fighting regular enemies here, folks.
[00:45:58.229 --> 00:46:01.910]  Every story is organized by category so you can find the information you want when you want it.
[00:46:02.330 --> 00:46:03.211]  Share news with your friends.
[00:46:03.251 --> 00:46:05.691]  It's all formatted to phones and save stories for later viewing.
[00:46:05.991 --> 00:46:09.573]  This app also features radio mode so you can listen to the Alex Jones Show while you're on the run.
[00:46:10.513 --> 00:46:14.474]  You can download the app and join us for the fight to save humanity, which this is.
[00:46:14.594 --> 00:46:15.175]  It's not rhetoric.
[00:46:15.875 --> 00:46:18.896]  Available now for free at both the Apple App Store
[00:46:19.756 --> 00:46:22.819]  In the Android Play Store, search for InfoWars Live.
[00:46:23.139 --> 00:46:24.140]  InfoWars Live.
[00:46:24.541 --> 00:46:25.281]  That's the name of the app.
[00:46:25.562 --> 00:46:28.464]  Or go to InfoWars.com forward slash app for the direct links.
[00:46:29.485 --> 00:46:30.206]  Please share.
[00:46:30.226 --> 00:46:30.766]  This is the key.
[00:46:31.327 --> 00:46:31.587]  Key.
[00:46:31.707 --> 00:46:32.648]  That means key!
[00:46:33.329 --> 00:46:36.832]  Share this app now with all your family and friends.
[00:46:36.932 --> 00:46:38.674]  The future of the Republic depends on it.
[00:46:45.267 --> 00:46:46.948]  Alright, now, I'm gonna be honest with you.
[00:46:47.228 --> 00:46:56.894]  What puts me over the edge is watching Hillary Clinton get up there and say, yeah, I know about the bombings, and then they go, well, what about Donald Trump calling it a bombing?
[00:46:56.914 --> 00:46:57.775]  And she goes, oh, that's horrible.
[00:46:58.795 --> 00:47:06.620]  And the fact that the media is so mind-controlled, they go along with that, and actually are trying to cue her in to do that, shows you how trashy these people are.
[00:47:08.473 --> 00:47:09.054]  But it gets worse.
[00:47:09.974 --> 00:47:14.038]  Then I have to sit there every day and watch UN-sponsored and other ads.
[00:47:14.098 --> 00:47:15.099]  And I know who's behind it.
[00:47:15.159 --> 00:47:17.781]  Peter Sutherland, George Soros.
[00:47:18.081 --> 00:47:19.803]  We have their emails, we have their operations.
[00:47:19.823 --> 00:47:20.964]  They admit they want to overthrow us.
[00:47:21.164 --> 00:47:22.325]  They admit they want to make us poor.
[00:47:22.545 --> 00:47:23.086]  They hate us.
[00:47:23.126 --> 00:47:24.227]  They're just horrible demons.
[00:47:25.888 --> 00:47:27.369]  Connected to every form of evil you can imagine.
[00:47:29.031 --> 00:47:31.913]  And now they come out and they run all these different ads.
[00:47:33.044 --> 00:47:34.205]  Saying there's no turning back.
[00:47:34.405 --> 00:47:38.168]  Swedish TV ad says Swedes must accept multiculturalism.
[00:47:38.948 --> 00:47:39.749]  There's no going back.
[00:47:40.149 --> 00:47:43.291]  It's called closing your borders and creating a deportation squad.
[00:47:44.973 --> 00:47:56.581]  But see, they're bringing in the client groups, ladies and gentlemen, with leftists to then outvote and control and then instill the quote minorities with anti-western racism.
[00:47:56.961 --> 00:48:00.584]  Some of these people are bad inherently if they were educated.
[00:48:01.581 --> 00:48:02.781]  But they've been re-educated.
[00:48:03.142 --> 00:48:07.303]  They've already come out of an authoritarian system, so they will comply immediately with the new tyranny.
[00:48:07.623 --> 00:48:08.523]  This is an alliance.
[00:48:08.843 --> 00:48:09.624]  This is a takeover.
[00:48:10.164 --> 00:48:18.847]  The article's on Infowars.com, and it ties into all the other videos we've been playing lately with, oh, I wear the hijab, I'm a German woman, I'm like Turkish now, brought to you by the United Nations.
[00:48:19.247 --> 00:48:20.787]  This is how they're pushing all this garbage.
[00:48:20.807 --> 00:48:24.929]  Let's go ahead and play this clip without our bug, so I can read the subtitles, please.
[00:48:25.862 --> 00:48:26.742]  I'm going to play this clip.
[00:48:27.343 --> 00:48:30.684]  This is from a Swedish government-funded ad.
[00:48:31.245 --> 00:48:34.386]  Imagine what they're teaching kids if you think this is bad.
[00:48:34.746 --> 00:48:41.289]  Here it is, with a key quote at the end about how this is the quote, new country.
[00:48:41.329 --> 00:48:48.113]  Let's go ahead and go to it.
[00:48:48.153 --> 00:48:49.533]  There's no way back, Sweden.
[00:48:49.593 --> 00:48:50.494]  We'll never be what it was.
[00:48:50.654 --> 00:48:51.414]  Let's start over again.
[00:48:51.434 --> 00:48:53.975]  I want to start over again because I have people talking in my head and I'm sorry.
[00:48:53.995 --> 00:48:55.056]  I got to start over again.
[00:48:56.650 --> 00:48:57.791]  The crew is giving me a note.
[00:48:57.871 --> 00:48:58.671]  I want to start over.
[00:48:58.991 --> 00:49:00.232]  Let's play the ad.
[00:49:02.733 --> 00:49:03.433]  Here we go.
[00:49:03.453 --> 00:49:04.654]  There's no way back.
[00:49:04.694 --> 00:49:08.015]  Sweden will never be what it was once.
[00:49:08.095 --> 00:49:12.777]  Europe is changing and Sweden is needing a safe space for people to live in.
[00:49:13.277 --> 00:49:15.738]  Now we must look forward and find a way to live side by side.
[00:49:17.079 --> 00:49:17.959]  Now we must look forward.
[00:49:18.119 --> 00:49:23.262]  It's time to realize that new Swedes will claim their space and bring their culture, language and habits.
[00:49:23.642 --> 00:49:25.903]  And it's time to see that as a positive force.
[00:49:27.232 --> 00:49:29.940]  To be Swedish must be more than skin color and place of birth.
[00:49:29.960 --> 00:49:31.645]  This must be you and everybody together.
[00:49:31.885 --> 00:49:32.848]  That means submitting.
[00:49:33.009 --> 00:49:33.410]  No culture.
[00:49:35.012 --> 00:49:37.093]  It's not only new Swedes that need to integrate.
[00:49:37.173 --> 00:49:40.595]  Everyone needs to integrate, even established Swedes.
[00:49:40.996 --> 00:49:41.936]  He must immigrate to them.
[00:49:42.316 --> 00:49:44.538]  Immigration is about finding mutual understanding.
[00:49:45.258 --> 00:49:49.160]  Let's create a future that is based on equal parts reality and belief in the future.
[00:49:50.601 --> 00:49:53.083]  Let's build a country where we put hate and fear aside.
[00:49:54.203 --> 00:49:58.506]  We all have the new country within us, in our worldview, thoughts and actions.
[00:49:59.746 --> 00:50:04.069]  It's time to react and create a country together that is proud, inclusive and sustainable.
[00:50:04.798 --> 00:50:07.341]  It's time to create something new, the new country.
[00:50:07.942 --> 00:50:10.826]  Okay?
[00:50:11.187 --> 00:50:13.550]  And then the something new is a woman in a hijab.
[00:50:14.611 --> 00:50:17.876]  Because you're bad fundamentally, you have to create a safe space.
[00:50:17.896 --> 00:50:22.121]  This is all social justice warrior nomenclature from the UN.
[00:50:23.553 --> 00:50:25.895]  And this is saying you must submit, Sweden.
[00:50:26.235 --> 00:50:28.817]  You've only taken in, what, a million Muslims the last few years.
[00:50:28.837 --> 00:50:29.958]  They're only record rates.
[00:50:30.238 --> 00:50:31.359]  The police were ordered to cover it up.
[00:50:31.599 --> 00:50:32.920]  They're only, you know, doing all the stuff.
[00:50:32.941 --> 00:50:33.581]  But it's okay.
[00:50:34.282 --> 00:50:37.284]  Because you need to submit to it and you need to accept it.
[00:50:37.344 --> 00:50:38.425]  And they have accepted it.
[00:50:38.685 --> 00:50:41.928]  So the answer is more, more, more, more, more.
[00:50:43.129 --> 00:50:44.850]  And when they bomb you, it's not a bombing.
[00:50:45.230 --> 00:50:49.594]  When they stab you screaming Allah Akbar, well, you better put a hijab on and submit to them.
[00:50:51.082 --> 00:50:53.263]  This, how do you bring down national sovereignty?
[00:50:53.323 --> 00:50:55.224]  How do you do this if you're mega banks offshore?
[00:50:55.304 --> 00:50:58.726]  You bring in people that are incompatible for total divide and conquer.
[00:50:59.387 --> 00:51:01.708]  I'll admit though, it's so bold it makes my head spin.
[00:51:02.268 --> 00:51:03.189]  We'll be back, stay with us.
[00:51:04.620 --> 00:51:07.683]  Is Hillary Clinton completely losing her cognitive abilities?
[00:51:07.923 --> 00:51:15.809]  Hillary was caught in an embarrassing moment when someone at her rally yelled Hillary for prison, to which the presidential candidate responded, let's make it happen.
[00:51:15.989 --> 00:51:19.972]  The video is up on Infowars.com and an article by Paul Joseph Watson.
[00:51:20.153 --> 00:51:29.260]  Given how she's notoriously confused in her day-to-day life due to her previous brain injuries, according to insiders, it's not surprising that Hillary would agree to her own imprisonment.
[00:51:29.560 --> 00:51:35.647]  The slogan Hillary for Prison has become a nationwide meme ever since InfoWars began selling the t-shirts bearing the phrase last year.
[00:51:35.867 --> 00:51:41.694]  It's even been rumored that Hillary for Prison t-shirts and its variants have sold more than official Hillary Clinton campaign shirts.
[00:51:41.894 --> 00:51:45.578]  Think about it this way, when was the last time you saw a hardcore Hillary supporter?
[00:51:45.819 --> 00:51:47.881]  In fact, you probably still see more cars with
[00:51:47.961 --> 00:51:48.421]  Brainforce is here.
[00:51:48.441 --> 00:51:50.342]  Ladies and gentlemen, I've been on this the last few months.
[00:51:50.362 --> 00:51:55.063]  You've probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of Brainforce.
[00:52:17.185 --> 00:52:20.768]  One of the worst things with most energy products is it's not sustainable, right?
[00:52:20.788 --> 00:52:23.130]  You're gonna crash and gonna feel really bad afterwards.
[00:52:23.490 --> 00:52:27.013]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:52:27.053 --> 00:52:30.195]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:52:30.695 --> 00:52:35.479]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[00:52:36.020 --> 00:52:37.861]  For example, the L-theanine inside of it.
[00:52:38.201 --> 00:52:42.625]  That is activated by the different compounds in the yerba mate that we put inside of it as well.
[00:52:42.785 --> 00:52:44.806]  This just increases the compounds you already have.
[00:52:45.427 --> 00:52:46.888]  This is what you're actually designed to run on.
[00:52:47.028 --> 00:52:47.288]  Exactly.
[00:52:47.308 --> 00:52:51.093]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[00:52:51.593 --> 00:52:58.882]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com.
[00:52:59.142 --> 00:52:59.583]  Or call 888-253-3139.
[00:53:04.201 --> 00:53:08.604]  We have the new product at Infowarsandlife.com, BioTrue Selenium.
[00:53:08.685 --> 00:53:19.633]  We've had so many requests over the years for selenium and just recently we were able to source a certified organic bioavailable selenium from mustard seed extract.
[00:53:19.793 --> 00:53:24.715]  When you take selenium in the body, it actually benefits the detoxification systems in your body.
[00:53:24.835 --> 00:53:27.335]  It helps balance the thyroid gland.
[00:53:27.395 --> 00:53:28.896]  It helps detoxify.
[00:53:29.116 --> 00:53:31.957]  Selenium is another one of those absolute must-haves.
[00:53:31.997 --> 00:53:36.739]  The highest concentration of selenium is in the thyroid gland, but it's actually used all over the body.
[00:53:36.779 --> 00:53:40.900]  As a matter of fact, there's 25 genes in the body that are directly
[00:53:41.340 --> 00:53:42.942]  ...dependent upon selenium.
[00:53:42.982 --> 00:53:48.348]  So it really is a all-around nutrient that everybody really needs.
[00:53:48.448 --> 00:53:49.889]  I'm taking it now, every day.
[00:53:50.070 --> 00:53:50.810]  This is so key.
[00:53:51.071 --> 00:53:55.375]  BioTrue Selenium is the product, the best selenium that we could bring you.
[00:53:55.395 --> 00:53:57.477]  We believe it's the best out there at a very, very low price.
[00:53:57.618 --> 00:54:01.081]  Exclusively available at InfowarsLive.com or by calling toll-free 888-253-3139.
[00:54:48.127 --> 00:55:02.837]  I've been trying to control myself, but... When I see actual scientific tyranny taking place, and I have the battle plans, I have the emails of the multinationals to flood Europe and the US and Canada and Australia and collapse us, and they admit to collapse us and make us poor!
[00:55:04.497 --> 00:55:09.721]  And they're bringing in the most intolerant, savage, backward people from the Middle East and Africa.
[00:55:09.762 --> 00:55:16.367]  I mean, it's a fact, folks, where women are absolute slaves in North Africa and Western Africa in certain areas.
[00:55:16.387 --> 00:55:20.971]  And the countries where they're not, like Kenya, our president is working with the Muslims to take over.
[00:55:22.693 --> 00:55:26.036]  There are many countries in Africa where women are in charge of many areas.
[00:55:26.096 --> 00:55:28.257]  I mean, it's not like I'm kissing women's asses.
[00:55:28.698 --> 00:55:29.258]  I have a mother.
[00:55:29.358 --> 00:55:29.979]  I have daughters.
[00:55:30.640 --> 00:55:32.141]  It fundamentally pisses me off.
[00:55:33.422 --> 00:55:34.262]  At a primitive level.
[00:55:34.442 --> 00:55:35.183]  I'm primitive too.
[00:55:35.203 --> 00:55:40.505]  I mean, we're showing images for TV viewers of Paris with the North Africans and the Somalis and all the rest of it.
[00:55:40.545 --> 00:55:44.546]  I mean, it's millions and millions and millions and millions and millions more than they're saying.
[00:55:45.467 --> 00:55:45.767]  Okay?
[00:55:46.347 --> 00:55:48.188]  It is so bad, people.
[00:55:49.128 --> 00:55:50.649]  It is so out of control.
[00:55:50.669 --> 00:55:58.812]  And I've got stacks of videos here where Minneapolis Muslims prefer Sharia, want blasphemy laws in the U.S.
[00:56:00.690 --> 00:56:04.190]  And we just played Swedish TV says Swedes must accept multiculturalism.
[00:56:05.615 --> 00:56:13.902]  I have other clips where, you know, the imam of Jerusalem says, Europe is weak and the blonde-haired blue eyes are bad.
[00:56:14.122 --> 00:56:17.005]  We take their women and we will take all their heads.
[00:56:17.265 --> 00:56:19.527]  Their governments are under our control.
[00:56:19.767 --> 00:56:22.189]  I mean, it's even like a cartoon, like, some like Klingons.
[00:56:22.429 --> 00:56:24.311]  Black, black, and blah, blah, blah.
[00:56:24.351 --> 00:56:26.573]  Black, black, and blah, blah, blah.
[00:56:26.593 --> 00:56:28.914]  And it's like, oh, liberal, it's not a bombing.
[00:56:29.175 --> 00:56:31.537]  It's not an Allah Akbar stabbing at the mall.
[00:56:33.206 --> 00:56:38.087]  And it's our government covering it up, and the plan, and the admissions of all this.
[00:56:39.168 --> 00:56:55.653]  Let's go out to break with Amy Horowitz, interviews Muslims in Minneapolis, and he finds a few, or Amy, finds a few common threads in the unanimous opposition to the freedom of speech and support for criminalizing criticism of Islam by penalty of death for those who insult Mohammed.
[00:56:56.333 --> 00:56:59.194]  So, well I'm not insulting Mohammed, but I'm going to tell you something right now.
[00:57:01.411 --> 00:57:03.391]  We're told Russia is infiltrating America?
[00:57:03.491 --> 00:57:05.932]  No, Russia's being destroyed by the same globalists destroying us.
[00:57:06.232 --> 00:57:10.213]  Russia's battling orthodox and radical Islam, and God bless Russia.
[00:57:10.853 --> 00:57:13.053]  Russia isn't doing anything to this country!
[00:57:13.393 --> 00:57:21.914]  George Soros, the Democratic Party, Hollywood, Goldman Sachs, the big megabanks, they're the ones gang-raping this country!
[00:57:23.215 --> 00:57:29.096]  And if you work at JPMorgan or Goldman Sachs, I'm not attacking you as a person, but go look at who funds all this, and that's your bosses.
[00:57:29.296 --> 00:57:30.476]  Do you really stand for that?
[00:57:32.230 --> 00:57:35.396]  You ought to start giving money to the opposition politically if you work there.
[00:57:35.937 --> 00:57:37.059]  To balance out what you've done.
[00:57:37.079 --> 00:57:38.462]  Oh, I forgot.
[00:57:38.942 --> 00:57:41.387]  Goldman Sachs just banned giving to state candidates.
[00:57:42.790 --> 00:57:44.332]  Basically, Republicans.
[00:57:46.021 --> 00:57:50.545]  We'll play this clip coming up before Michael Savage joins us, because I've got to end the shower, and then I'll play more.
[00:57:50.605 --> 00:57:52.026]  But I did blow up earlier.
[00:57:52.046 --> 00:57:52.606]  That's real.
[00:57:52.726 --> 00:57:53.407]  I shouldn't do that.
[00:57:54.268 --> 00:57:55.849]  I have tens of millions of listeners.
[00:57:56.009 --> 00:57:59.172]  The media takes it out of context when I do, so I try not to do it.
[00:57:59.192 --> 00:58:00.933]  It's probably not helpful, but I'm going to be honest with you.
[00:58:01.494 --> 00:58:05.217]  It's better than me doing it at home or on the highway, which where I don't do it.
[00:58:06.078 --> 00:58:07.881]  Okay, because those things don't piss me off.
[00:58:07.901 --> 00:58:09.443]  Somebody cut me off, I don't care.
[00:58:09.863 --> 00:58:12.607]  You know, dropping something on my toe, I don't get mad.
[00:58:13.208 --> 00:58:20.397]  When I sit here and I watch political surrender and sell out of this republic, and then I watch the traitors that are doing it saying, we're the traitors.
[00:58:21.098 --> 00:58:28.683]  And lying about Donald Trump, and lying about who we are, saying we're the intolerant racist, when they're bringing in the most radical Muslims you can imagine.
[00:58:29.384 --> 00:58:33.827]  It makes me fundamentally hate their guts at a survival level.
[00:58:34.047 --> 00:58:34.888]  It's beyond hatred.
[00:58:35.268 --> 00:58:36.589]  It's just an energy that says,
[00:58:38.511 --> 00:58:43.536]  We're gonna beat you!
[00:58:43.556 --> 00:58:45.479]  The giant is rising!
[00:58:45.699 --> 00:58:46.820]  Get the free app now!
[00:58:47.801 --> 00:58:48.222]  Now!
[00:58:48.482 --> 00:58:49.883]  Infowars.com app!
[00:58:49.944 --> 00:58:50.804]  Get it!
[00:58:50.885 --> 00:58:51.746]  It's a war!
[00:58:52.106 --> 00:58:52.727]  Rise up!
[00:58:52.807 --> 00:58:53.467]  It's a war!
[00:58:55.520 --> 00:58:59.383]  Introducing Vitamin Mineral Fusion from Infowarslife.com.
[00:58:59.664 --> 00:59:06.950]  We have worked for years with our chemists and scientists to create the most powerful and affordable grape-tasting multivitamin formula available.
[00:59:07.150 --> 00:59:18.160]  The all-new Vitamin Mineral Fusion drink mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:59:18.600 --> 00:59:26.123]  In the history of InfoWars life, we've brought out a lot of amazing products like Survival Shield X2, Super Metal Vitality, and so many others.
[00:59:26.423 --> 00:59:35.747]  But I am most proud of the product we're now launching today with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[00:59:36.067 --> 00:59:40.308]  This formula is the platinum standard of multivitamin mineral products.
[00:59:40.508 --> 00:59:47.531]  The ingredients in Vitamin Mineral Fusion are either plant derived or of the highest quality lab standard.
[00:59:47.571 --> 00:59:48.891]  That means it's clean.
[00:59:49.031 --> 00:59:50.132]  That means it's pure.
[00:59:50.192 --> 00:59:52.993]  That's infowarshife.com and Vitamin Mineral Fusion.
[00:59:53.093 --> 00:59:54.833]  Take action now before we sell out.
[00:59:56.674 --> 00:59:59.255]  You're listening to the Alex Jones Show.
[01:00:04.380 --> 01:00:08.862]  When Hillary tells you not to use the word bomb or terrorism, when it's clearly that, it's to demoralize you.
[01:00:09.042 --> 01:00:10.043]  It's to break your will.
[01:00:10.603 --> 01:00:11.704]  Michael Savage is coming up.
[01:00:11.864 --> 01:00:14.805]  First, a key report on the weaponized system Hillary's using.
[01:00:18.527 --> 01:00:19.167]  My running mate.
[01:00:21.768 --> 01:00:25.310]  We're described in the most deplorable of terms.
[01:00:25.710 --> 01:00:31.213]  And that did help me reconnect with what this whole campaign is about.
[01:00:32.563 --> 01:00:35.285]  People like me, we're lucky.
[01:00:36.726 --> 01:00:41.010]  It will be abundantly clear soon, you great big basket of deplorables.
[01:00:41.390 --> 01:00:45.073]  I want the entire pool scrub sterilized and disinfected.
[01:00:46.214 --> 01:00:49.296]  It's no big deal.
[01:00:50.157 --> 01:00:54.921]  You can put half of Trump's supporters into what I call the basket of deplorables.
[01:00:56.042 --> 01:00:58.003]  It is said that the people are revolting.
[01:00:58.123 --> 01:00:58.844]  Who said it?
[01:00:58.864 --> 01:00:59.945]  They stink on ice.
[01:01:00.797 --> 01:01:02.898]  No, Your Majesty, this is a very serious problem.
[01:01:03.199 --> 01:01:03.999]  The peasants feel.
[01:01:04.039 --> 01:01:05.220]  You have no regard for them.
[01:01:05.680 --> 01:01:05.920]  What?
[01:01:06.941 --> 01:01:08.382]  I have no regard for the peasants?
[01:01:09.043 --> 01:01:10.023]  They are my people!
[01:01:10.443 --> 01:01:11.484]  I am their sovereign!
[01:01:12.465 --> 01:01:13.065]  I love them!
[01:01:14.166 --> 01:01:14.306]  Oh!
[01:01:19.209 --> 01:01:19.970]  Drifting to the left.
[01:01:20.811 --> 01:01:23.753]  This is a call to all American citizens.
[01:01:24.034 --> 01:01:26.035]  This is our America.
[01:01:26.275 --> 01:01:30.198]  And your very citizenship refuses that you be divided.
[01:01:30.419 --> 01:01:36.764]  Ideological subversion is the process which is legitimate, overt,
[01:01:37.927 --> 01:01:38.627]  And open.
[01:01:38.707 --> 01:01:40.368]  You can see it with your own eyes.
[01:01:40.748 --> 01:01:48.051]  All you have to do, all American mass media has to do is to unplug their bananas from their ears, open up their eyes, and they can see it.
[01:01:48.651 --> 01:01:53.153]  The demoralization process in the United States is basically completed already.
[01:01:53.653 --> 01:01:58.695]  Most of it is done by Americans to Americans, thanks to lack of moral standards.
[01:01:59.235 --> 01:02:04.217]  A person who was demoralized is unable to assess true information.
[01:02:04.237 --> 01:02:06.778]  The facts tell nothing to him.
[01:02:07.899 --> 01:02:13.721]  Even if I shower him with information, with authentic proof, with documents, with pictures.
[01:02:14.241 --> 01:02:20.444]  Even if I take him by force to the Soviet Union and show him concentration camp, he will refuse to believe it.
[01:02:21.144 --> 01:02:25.529]  Until he is going to receive a kick in his fat bottom.
[01:02:25.669 --> 01:02:42.206]  If you start right now, here, this minute, you start educating new generation of American, it will still take you 15 to 20 years to turn the tide of ideological perception of reality back to normalcy and patriotism.
[01:02:42.947 --> 01:02:44.848]  The next stage is destabilization.
