[00:00:14.902 --> 00:00:16.103]  Isn't this Bing Crosby?
[00:23:57.369 --> 00:23:59.210]  Mike Pence is trusted by Trump.
[00:23:59.450 --> 00:24:00.931]  I trust the Vice President.
[00:24:01.894 --> 00:24:12.839]  He's a patriot, he's pro-gun, pro-sovereignty, he wants to control our borders, he's a little too pro-war towards Russia, but compared to Hillary Clinton, he is a peachenik.
[00:24:14.580 --> 00:24:25.625]  Now all of that said, I should have written notes about what I would talk about in my discussion with the President-elect Friday, because some of it would be newsmaking.
[00:24:26.125 --> 00:24:27.086]  Trump is just so real.
[00:24:29.844 --> 00:24:31.005]  It was all very, very positive.
[00:24:31.846 --> 00:24:34.928]  But later in the broadcast, I'm going to sit here and think about it during the break.
[00:24:34.948 --> 00:24:40.493]  I'm going to write down a few notes of what he told me, what we talked about, that I can relay to the viewers out there.
[00:24:40.553 --> 00:24:45.497]  But number one, he just called me to thank you.
[00:24:47.178 --> 00:24:48.739]  And to thank, of course, myself and the crew.
[00:24:48.759 --> 00:24:52.242]  They're fully aware that we had $85 million.
[00:24:52.262 --> 00:24:53.743]  We thought it was $75 million, the seven days.
[00:24:57.133 --> 00:24:59.482]  From a few days before the election right through to yesterday.
[00:25:00.225 --> 00:25:00.887]  So we're talking...
[00:25:02.732 --> 00:25:06.154]  80 plus million, conservatively, just on videos online.
[00:25:06.174 --> 00:25:06.874]  That's not counting.
[00:25:07.674 --> 00:25:09.055]  5 million a day terrestrial radio.
[00:25:09.095 --> 00:25:12.177]  We've gone from... We could never get above 170 affiliates.
[00:25:13.017 --> 00:25:17.359]  It's a few times 190, but it would always... Stations change hands, they sell, they change formats.
[00:25:17.899 --> 00:25:18.620]  We never got to 200.
[00:25:18.860 --> 00:25:19.940]  We're at, like, 250.
[00:25:20.160 --> 00:25:22.161]  It was, like, 230 a week ago.
[00:25:22.181 --> 00:25:23.282]  We're, like, 250 now?
[00:25:23.302 --> 00:25:26.703]  And we're talking blowtorch stations, AM, FM, across the country.
[00:25:27.804 --> 00:25:29.165]  The M4's taking over, folks.
[00:25:29.245 --> 00:25:29.865]  It's a big deal.
[00:25:31.411 --> 00:25:40.195]  Now some people, and I want to address this now because it's so important, and I'm going to come back and play all the clips for the next long segment, are saying, Alex, you're the establishment now.
[00:25:40.875 --> 00:25:41.695]  You're the elite now.
[00:25:42.956 --> 00:25:45.997]  We've gotten a beachhead in Washington that's tenuous.
[00:25:46.877 --> 00:25:47.798]  A big beachhead, though.
[00:25:47.858 --> 00:25:49.378]  Getting that beachhead is half the battle.
[00:25:51.419 --> 00:25:55.681]  In fact, if Trump has the initiative and we back him, I'd say 70% of the battle's won.
[00:25:57.315 --> 00:26:01.196]  The rest of it's moral for us individually in our own lives to work hard, be good people, and do the right thing.
[00:26:02.377 --> 00:26:07.599]  But we're at least 50% of the way there right now, but hey, that's a long way to fall as well.
[00:26:08.959 --> 00:26:10.160]  I'm the opposite of establishment.
[00:26:10.320 --> 00:26:18.823]  I want to be the guy out in the wilderness that's trying to wake folks up and being able to be the purest and talk about what's right and what's good like Ron Paul does.
[00:26:19.203 --> 00:26:26.666]  It's a different thing to have your hands in the guts doing the emergency surgery with how big this government is in bureaucracy, the biggest thing in the world.
[00:26:29.039 --> 00:26:34.283]  But believe me, Trump is in there, he is moving to get it done, and he is the outsider.
[00:26:34.323 --> 00:26:35.464]  He's the consummate outsider.
[00:26:35.824 --> 00:26:37.885]  They hit him with everything they had and it failed.
[00:26:39.767 --> 00:26:41.268]  Every lie, every fake poll.
[00:26:41.708 --> 00:26:53.056]  And the big win is, the establishment is totally discredited, it's a huge joke, and the only way Trump loses is by being gracious and giving quarter.
[00:26:54.810 --> 00:27:00.314]  And if folks don't know about fencing or war, they say before a battle, no quarter taken, no quarter given.
[00:27:00.795 --> 00:27:02.076]  A white flag means you're giving up.
[00:27:02.396 --> 00:27:07.200]  If an army's running black flags, from the beginning of a fight, it means we're not giving up.
[00:27:07.480 --> 00:27:12.004]  If there's a skull on a flag, pirates didn't invent this, by the way, folks, it means we're going to kill you.
[00:27:12.584 --> 00:27:14.225]  We don't just take prisoners, we're going to kill you.
[00:27:14.486 --> 00:27:17.288]  If blood's coming out the skull, it means we're going to torture you.
[00:27:19.790 --> 00:27:21.011]  And armies would fly those flags.
[00:27:23.697 --> 00:27:25.159]  So the black flag means no surrender.
[00:27:25.620 --> 00:27:27.222]  They're running a black flag up, folks.
[00:27:27.242 --> 00:27:28.383]  They're not surrendering.
[00:27:30.406 --> 00:27:33.070]  So, it's not we want to persecute Hillary.
[00:27:33.891 --> 00:27:34.532]  It's justice.
[00:27:34.572 --> 00:27:35.733]  He's got to keep his promises.
[00:27:36.581 --> 00:27:40.702]  They're promising him now, they'll back off, let him have his agenda, if he just is nice to them.
[00:27:41.302 --> 00:27:50.064]  Once he gets in, they're going to start up a bunch of controversies, they're going to sap out his first hundred days or so, and then he'll be pretty much a lame duck.
[00:27:50.524 --> 00:27:53.565]  They're going to start impeachment proceedings run by the Republican Party itself.
[00:27:53.645 --> 00:27:56.686]  Get ready, that's already leaked, I'm going to get to that later.
[00:27:57.146 --> 00:27:59.447]  And people finally know to listen to me, that I know what I'm talking about.
[00:27:59.787 --> 00:28:00.947]  This is the current thinking.
[00:28:04.804 --> 00:28:06.905]  Sure, reconciliation, let's all be nice.
[00:28:07.005 --> 00:28:10.467]  No one in the liberal media is saying that except Dave Chappelle.
[00:28:10.547 --> 00:28:11.187]  And he's a maverick.
[00:28:13.048 --> 00:28:17.711]  And he's always bitched about black leaders only taking money from black folks and then selling them out.
[00:28:18.251 --> 00:28:19.151]  He likes what Trump's saying.
[00:28:19.171 --> 00:28:26.115]  I mean, if you really listen to what Trump's saying, you know, I think black people should have lower taxes in predominantly black areas and tax incentives because it's not taking money from somebody else.
[00:28:26.355 --> 00:28:27.276]  It's your money, let you keep it.
[00:28:27.736 --> 00:28:28.296]  I'm all for that.
[00:28:28.856 --> 00:28:30.357]  Give folks a leg up that have been disadvantaged.
[00:28:30.977 --> 00:28:32.918]  I'm all for cutting poor people's taxes across the board.
[00:28:32.939 --> 00:28:33.739]  I don't care what color you are.
[00:28:37.622 --> 00:28:42.643]  The way you break down his main tax plan, $40,000 or less, zero federal tax.
[00:28:43.343 --> 00:28:45.444]  Zip, zero, zero, zero.
[00:28:45.844 --> 00:28:47.164]  Boy, they don't want you to hear that, do they?
[00:28:48.664 --> 00:28:51.165]  So, Trump just wanted to say thank you to the listeners.
[00:28:51.205 --> 00:28:53.145]  He said what amazing people say all over the country.
[00:28:53.725 --> 00:28:56.386]  He's just, oh my God, I can't believe the influence you've got, obviously.
[00:28:56.406 --> 00:28:58.586]  It's just amazing, and we're aware of the numbers.
[00:28:58.626 --> 00:29:00.247]  We've looked at it, it's just phenomenal.
[00:29:01.067 --> 00:29:03.667]  We talked about, yeah, he was like, what is it, 75, 80 million a week?
[00:29:03.787 --> 00:29:05.568]  We're like, yeah, something like that.
[00:29:05.608 --> 00:29:06.448]  It was a good discussion.
[00:29:06.488 --> 00:29:07.308]  We'll be back, stay with us.
[00:29:13.431 --> 00:29:16.053]  Here's to all the patriots standing up for humanity worldwide.
[00:29:16.934 --> 00:29:21.217]  Whether they be Japanese, Chinese, Russian, American, Mexican, it doesn't matter.
[00:29:21.978 --> 00:29:23.599]  We're all in this together, and I salute you.
[00:29:23.780 --> 00:29:25.601]  The truth is the globalists are dehumanizing us.
[00:29:26.462 --> 00:29:28.123]  They're jacking our food and water supply.
[00:29:28.143 --> 00:29:29.784]  They're trying to destroy the family.
[00:29:30.205 --> 00:29:31.966]  They hate it that I know their attack plan.
[00:29:32.186 --> 00:29:35.249]  They hate it I don't care what they say, and I just go with the facts.
[00:29:36.969 --> 00:29:39.311]  I operate as if they don't exist, because they don't.
[00:29:39.471 --> 00:29:41.472]  They're frauds, they're sellouts, they're traitors.
[00:29:41.792 --> 00:29:48.296]  Anthony, break down the level, because as of yesterday, it was the second biggest DDOT, Spambot attack they've ever seen.
[00:29:48.676 --> 00:29:50.698]  Now they're saying it's about to be the biggest, Anthony.
[00:29:50.718 --> 00:29:56.762]  Well, you know, let me just say, we're living in a world, we're living under a society where we can't even make our own decisions anymore about what we want to read.
[00:29:57.322 --> 00:30:03.186]  The EU government, the United States House gets to pass quietly a bill that could censor so-called fake news.
[00:30:03.206 --> 00:30:05.187]  You know, Facebook says, that's okay, we're going to put a big
[00:30:05.707 --> 00:30:06.528]  We're good to go.
[00:30:21.138 --> 00:30:25.099]  Number one, we can't even intellectually choose what we want to consume anymore, to that level.
[00:30:25.519 --> 00:30:30.920]  There is a lot of fake news out there, sure, but a lot of it's going to be opinion-based, and everyone is inherently biased one way or another.
[00:30:31.320 --> 00:30:37.461]  But then, in a more direct attack, you go on, let's say InfoWars Life, I just went on it over here, and it's down.
[00:30:37.481 --> 00:30:38.461]  The InfoWars store is down.
[00:30:38.821 --> 00:30:41.562]  Now, you would say, well, gee, what about InfoWars?
[00:30:41.762 --> 00:30:49.623]  Well, InfoWars.com is under attack, too, but these people are smart, and they're attacking the Lifeblood InfoWars Life.com and InfoWars store,
[00:30:50.083 --> 00:30:53.346]  This is what it costs to run an operation against the New World Order.
[00:30:53.547 --> 00:30:55.809]  People say, why doesn't somebody build a media system to fight them?
[00:30:56.149 --> 00:30:57.290]  They come after you.
[00:30:57.610 --> 00:30:58.391]  They demonize you.
[00:30:58.411 --> 00:30:59.652]  But here's the deal, we're winning!
[00:30:59.993 --> 00:31:02.255]  The great news is, every time we fight back, we win.
[00:31:02.535 --> 00:31:09.222]  So flood the web with HUMET, spreading our links, spreading our articles, spreading our videos, explaining what's happening.
[00:31:09.582 --> 00:31:18.544]  As an independent group, as an independent organization, not taking money from megacorporations, not taking money from government subsidies and groups and saying, oh, well, you know, we're here for the people.
[00:31:18.624 --> 00:31:22.465]  But meanwhile, getting back to our payments, we actually need to sell stuff that is really good.
[00:31:22.485 --> 00:31:25.026]  I mean, they try and attack you over and over again, say you're crazy or whatever.
[00:31:25.386 --> 00:31:29.207]  But your millions of listeners that actually know you, they say, well, hey, you know, we like him.
[00:31:29.427 --> 00:31:30.367]  So what else are they going to do?
[00:31:30.407 --> 00:31:32.188]  They're going to try and cut down your funding arm.
[00:31:32.208 --> 00:31:34.888]  They're going to try and stop you any way they possibly can.
[00:31:35.268 --> 00:31:36.829]  What are control freaks afraid of?
[00:31:37.489 --> 00:31:41.971]  They're afraid of losing control of their little fake perceived paradigm that they have control under.
[00:31:42.331 --> 00:31:43.652]  And they hate independent groups.
[00:31:43.692 --> 00:31:44.812]  They hate independent media.
[00:31:45.032 --> 00:31:49.334]  They hate anything that doesn't follow the chippering mouthpiece of the establishment system.
[00:31:49.554 --> 00:31:52.996]  They're desperately afraid of people like you because there's actually no control.
[00:31:53.436 --> 00:31:55.417]  There's no control through your back end.
[00:31:55.437 --> 00:31:56.977]  They don't come in here and tell you what to say.
[00:31:57.577 --> 00:32:05.801]  So, kind of like a loose cannon that could actually fire, you know, proverbially and intellectually at the target very, very frequently and just blasting things off.
[00:32:10.350 --> 00:32:19.362]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[00:32:19.443 --> 00:32:27.514]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:32:27.834 --> 00:32:32.536]  We have now managed to secure the sought-after beans in a highly customized blend.
[00:32:32.696 --> 00:32:39.379]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[00:32:39.499 --> 00:32:46.583]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[00:32:46.683 --> 00:32:53.526]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[00:32:53.686 --> 00:32:58.047]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[00:32:58.167 --> 00:33:01.428]  Available in original or with our immune support infusion blend.
[00:33:01.568 --> 00:33:07.709]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[00:33:07.869 --> 00:33:10.109]  Available at Infowarslife.com.
[00:33:11.890 --> 00:33:17.811]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:33:46.735 --> 00:33:51.518]  You can't always get what you want.
[00:33:53.527 --> 00:33:54.407]  That's pretty funny.
[00:33:55.028 --> 00:34:01.530]  If you're a radio listener, we'll post... Can we get whoever's on this weekend or whoever's on today to post that video to Infowars.com?
[00:34:02.190 --> 00:34:03.430]  A video from the UK.
[00:34:03.450 --> 00:34:05.851]  Hillary can't always get what she wants.
[00:34:06.091 --> 00:34:10.053]  The dog, that dirty dog Donald Trump, steals it from her every time.
[00:34:10.493 --> 00:34:12.733]  The Russians are pulling out of the global corporate government.
[00:34:13.254 --> 00:34:14.454]  The UK is pulling out of it.
[00:34:14.714 --> 00:34:17.035]  All 25 members of the EU are trying to pull out.
[00:34:18.160 --> 00:34:20.302]  Trump is trying to get us to pull out of the New World Order.
[00:34:20.322 --> 00:34:23.905]  We have huge carbon taxes and open borders and everything else.
[00:34:23.985 --> 00:34:26.246]  It's a very, very important time to be alive.
[00:34:27.948 --> 00:34:34.033]  And we're attempting to restore the real American establishment that is due process, a Bill of Rights, a Constitution.
[00:34:34.793 --> 00:34:37.155]  Free speech, not political correctness.
[00:34:38.756 --> 00:34:43.800]  We're not supposed to have an establishment in this country, you see, because the establishment globally is the Fortune 500.
[00:34:45.202 --> 00:34:50.927]  And they're all lockstep to take your guns and shut down your company or your business to consolidate control.
[00:34:52.108 --> 00:34:56.612]  That's why Donald Trump, myself, and others are opposing them.
[00:34:57.773 --> 00:34:58.634]  Now let's continue.
[00:34:58.674 --> 00:35:01.676]  Donald Trump comes out and says, oh, TPP's dead.
[00:35:01.716 --> 00:35:02.377]  They admit that.
[00:35:03.712 --> 00:35:05.574]  One of the biggest global government moves in history.
[00:35:05.914 --> 00:35:08.036]  Makes Napsin get pale in comparison.
[00:35:08.397 --> 00:35:10.199]  Trump reportedly looking for a way to pull U.S.
[00:35:10.279 --> 00:35:11.140]  out of a climate agreement.
[00:35:11.540 --> 00:35:12.201]  Fox News.
[00:35:12.321 --> 00:35:14.944]  President-elect Donald Trump is reportedly looking for ways for the U.S.
[00:35:14.964 --> 00:35:19.568]  to back out of the landmark climate pact, which would defy an agreement to cut carbon emissions across the globe.
[00:35:19.909 --> 00:35:20.990]  Defy an agreement!
[00:35:22.892 --> 00:35:24.133]  They say Fox is right-wing.
[00:35:24.153 --> 00:35:25.474]  How about nationalistic?
[00:35:25.514 --> 00:35:25.675]  No.
[00:35:26.883 --> 00:35:35.866]  Obama defied Congress and signed on to that outside of law, then ordered the EPA to follow it, and they shut down more than half our power plants that were totally clean.
[00:35:36.606 --> 00:35:40.868]  How do we compete when China has energy three times cheaper than ours and builds coal plants every week?
[00:35:43.289 --> 00:35:44.709]  That's why they all moved to Mexico, folks.
[00:35:44.729 --> 00:35:46.910]  They moved the coal plants down there and built the factories there.
[00:35:47.010 --> 00:35:47.690]  It's crazy.
[00:35:48.530 --> 00:35:49.170]  It's crazy.
[00:35:50.011 --> 00:35:50.591]  But don't worry.
[00:35:51.051 --> 00:35:53.392]  Kerry says you have to push ahead on climate pact before Turkey.
[00:35:54.898 --> 00:35:55.819]  Another sign-on to it.
[00:35:55.919 --> 00:35:56.139]  U.S.
[00:35:56.159 --> 00:35:59.181]  to push ahead of climate pact before Trump takes over.
[00:35:59.201 --> 00:36:02.403]  They're trying to get a bunch of other countries to sign on, like New Zealand and others, to get it done.
[00:36:04.885 --> 00:36:05.566]  So there you go.
[00:36:05.726 --> 00:36:07.127]  Now, let's look at some of the other news here.
[00:36:07.407 --> 00:36:10.809]  Analysts say Trump stocks rally could persist.
[00:36:10.829 --> 00:36:19.476]  Yeah, they tried to plunge it the first day, but it still picked back up with the stock market ground analysts and traders chanting, lock her up!
[00:36:19.956 --> 00:36:20.717]  Lock her up!
[00:36:21.445 --> 00:36:34.974]  Because it's the big mega banks and brokerage firms that are shutting down all the rest of Wall Street and rigging it with fractional systems and currency fixing and other price fixing, with interest rate fixing.
[00:36:35.014 --> 00:36:36.355]  It's all come out.
[00:36:36.395 --> 00:36:38.236]  The LIBOR scandal, it's all rigged.
[00:36:38.897 --> 00:36:43.020]  And most of our real diverse stock market systems that built the country have been shut down.
[00:36:43.902 --> 00:36:54.326]  And you have the super high frequency trading systems run by Goldman Sachs that are literally consolidating power with a little guy, the little gal can't win anymore and they want that to change as well.
[00:36:54.926 --> 00:36:55.386]  And guess what?
[00:36:55.446 --> 00:36:57.887]  Trump is on the side of that.
[00:36:58.427 --> 00:37:02.789]  But before I get to all the other huge news, I want to get to some more of these clips.
[00:37:04.730 --> 00:37:09.231]  We have Sidney Blumenthal says right wing FBI agents took down Hillary in coup d'etat.
[00:37:09.432 --> 00:37:10.232]  Is that really true?
[00:37:11.789 --> 00:37:18.651]  I'll give you my honest analysis of that in a moment, but first, we've got to play this because there's different compilations.
[00:37:18.671 --> 00:37:24.793]  I played several this week, earlier this week, but here's a new one I saw on Infowars.com earlier today.
[00:37:25.573 --> 00:37:30.434]  When people laughed at the idea of Trump actually being elected president compilation.
[00:37:30.454 --> 00:37:32.035]  Now before I air this, I want to point something out.
[00:37:35.612 --> 00:37:38.794]  And I even said this myself, and I don't say that to brag.
[00:37:38.834 --> 00:37:41.557]  It's so people understand, I know how these people work.
[00:37:41.597 --> 00:37:42.397]  I've studied history.
[00:37:43.098 --> 00:37:44.799]  I've studied this establishment.
[00:37:47.101 --> 00:37:49.002]  And they really think they're better than you.
[00:37:49.963 --> 00:37:51.004]  Pride goes before a fall.
[00:37:51.664 --> 00:37:53.806]  And they really give these echo chambers of yes-men.
[00:37:57.549 --> 00:38:01.452]  And Hillary, in these emails, was telling her own party.
[00:38:03.717 --> 00:38:05.218]  Don't attack Trump too much.
[00:38:05.458 --> 00:38:08.499]  Let's let him get in the lead with these other Republicans.
[00:38:08.559 --> 00:38:09.540]  He's such a clown.
[00:38:10.000 --> 00:38:11.401]  He's going to be easier to beat.
[00:38:13.001 --> 00:38:15.363]  And we'll be able to say he's racist, wanting a border wall.
[00:38:15.883 --> 00:38:16.543]  Let him go.
[00:38:17.944 --> 00:38:19.084]  Plus, they were all getting ratings.
[00:38:19.925 --> 00:38:21.746]  I remember at the time saying they think they can beat him.
[00:38:21.766 --> 00:38:22.406]  They don't get it.
[00:38:23.146 --> 00:38:24.827]  Being radical is what's popular.
[00:38:25.187 --> 00:38:26.988]  They're playing by old playbooks.
[00:38:27.008 --> 00:38:30.670]  We were all bullied into political correctness and scared and doing what we were told.
[00:38:32.975 --> 00:38:37.137]  Sure enough, they panicked when it was clear he was going to get the nomination.
[00:38:37.177 --> 00:38:39.778]  So they started saying, oh, you don't get the nomination now.
[00:38:40.098 --> 00:38:41.378]  That backfired even more.
[00:38:41.458 --> 00:38:48.121]  And the critical game changer was DrudgeReport.com and InfoWars to a secondary extent.
[00:38:48.141 --> 00:39:01.426]  But let's just, it's not about the credit, but the history needs to know with those headlines, another voterless victory for Ted Cruz, another voterless victory for Hillary, though it didn't stop Hillary from stealing it.
[00:39:02.588 --> 00:39:10.914]  The number one website in the world, with a 50 to 60 to 70 million people or more a day, seeing that went, yeah, that's not right.
[00:39:11.755 --> 00:39:24.744]  They would have the whole mainstream media say it was okay, but just a small voice in the wilderness, compared to all the rest of the media together, the truth coming out, they couldn't stand against it.
[00:39:25.925 --> 00:39:26.786]  And they're all discredited.
[00:39:27.927 --> 00:39:30.609]  So we should celebrate that, but if Trump doesn't press it,
[00:39:31.420 --> 00:39:35.401]  And does it continue to point out that they're the traitors we're trying to get rid of?
[00:39:35.421 --> 00:39:36.662]  They're the swamp we're trying to drain.
[00:39:37.062 --> 00:39:50.085]  They will only bite him in the ass because they understand fundamentally, at every level, that what he represents is the end of their good old boys club, where they don't have to produce anything, they just gotta stay in control.
[00:39:50.386 --> 00:39:51.606]  So here's the victory video.
[00:39:52.206 --> 00:39:55.647]  People laughed at the idea of Trump actually being elected president.
[00:39:55.867 --> 00:39:58.248]  This was their own delusion.
[00:39:58.288 --> 00:39:58.648]  Here it is.
[00:39:59.246 --> 00:40:03.867]  Donald Trump, just last week, he confirmed to the National Review that he is again considering a run in 2016.
[00:40:03.947 --> 00:40:04.127]  Do it.
[00:40:04.167 --> 00:40:04.507]  Do it.
[00:40:04.567 --> 00:40:05.127]  Look at me.
[00:40:05.247 --> 00:40:05.627]  Do it.
[00:40:05.667 --> 00:40:20.470]  I will personally write you a campaign check now, on behalf of this country, which does not want you to be president, but which badly wants you to run.
[00:40:21.410 --> 00:40:27.311]  Donald Trump has been saying that he will run for president as a Republican, which is surprising, since I just assumed he was running as a joke.
[00:40:29.254 --> 00:40:31.255]  Is that people think that Donald Trump is a clown?
[00:40:31.635 --> 00:40:33.256]  Donald Trump is a clown.
[00:40:33.276 --> 00:40:38.859]  I mean, does anybody seriously think that Donald Trump is serious about running for president?
[00:40:38.939 --> 00:40:42.440]  You know, he's a clown.
[00:40:42.600 --> 00:40:43.481]  So manly.
[00:40:43.621 --> 00:40:47.262]  Which Republican candidate has the best chance of winning the general election?
[00:40:48.263 --> 00:40:50.824]  Of the declared ones right now, Donald Trump.
[00:40:58.110 --> 00:40:58.890]  They're all followers.
[00:40:58.910 --> 00:41:00.111]  They're followers, we're leaders.
[00:41:00.131 --> 00:41:00.791]  How's it feel, folks?
[00:41:00.811 --> 00:41:01.071]  Yep, 44, he's 45.
[00:41:18.078 --> 00:41:20.302]  So basically this is the beginning of the end for Trump.
[00:41:20.322 --> 00:41:21.363]  The beginning of the end.
[00:41:21.403 --> 00:41:22.164]  Beginning of the end.
[00:41:22.184 --> 00:41:25.549]  This is probably starting of the beginning of the end for Donald Trump.
[00:41:26.110 --> 00:41:29.315]  Donald, you're not going to be able to insult your way to the presidency.
[00:41:29.776 --> 00:41:33.682]  The strongest person usually isn't the loudest one in the room.
[00:41:34.382 --> 00:41:36.723]  So right now, we have Hillary's about 75% favorite.
[00:41:36.743 --> 00:41:38.424]  We have different versions.
[00:41:38.444 --> 00:41:41.365]  The poll has Hillary Clinton up by double digits.
[00:41:41.485 --> 00:41:44.186]  Nationally, 12 points, 50 to 38 in the four-way race.
[00:41:44.766 --> 00:41:45.846]  Clinton leading in Florida.
[00:41:45.866 --> 00:41:47.167]  Clinton leading in North Carolina.
[00:41:47.227 --> 00:41:48.267]  Clinton leading in Ohio.
[00:41:48.287 --> 00:41:49.788]  Clinton leading in Nevada.
[00:41:49.908 --> 00:41:51.188]  I could go on and on and on.
[00:41:52.749 --> 00:41:55.069]  I continue to believe Mr. Trump will not be president.
[00:41:55.089 --> 00:41:56.110]  He'll go on and online, Dan.
[00:41:56.810 --> 00:42:04.496]  And so, right now, Mr. Trump, to answer your call for political honesty, I just want to say... You're not going to be president, alright?
[00:42:04.516 --> 00:42:05.777]  It's been fun!
[00:42:05.837 --> 00:42:08.559]  It's been great!
[00:42:09.440 --> 00:42:11.942]  You overthrew them!
[00:42:11.982 --> 00:42:12.102]  What?
[00:42:12.122 --> 00:42:12.902]  You overthrew them!
[00:42:12.942 --> 00:42:13.023]  What?
[00:42:13.043 --> 00:42:14.143]  You broke the mind control!
[00:42:14.223 --> 00:42:15.144]  Come on, buddy!
[00:42:15.164 --> 00:42:15.965]  You broke the trance!
[00:42:16.005 --> 00:42:19.447]  ...major projection right now, Donald Trump will take Ohio.
[00:42:19.487 --> 00:42:20.728]  That's the projection.
[00:42:20.748 --> 00:42:24.311]  Donald Trump will carry the state of Florida!
[00:42:24.551 --> 00:42:25.412]  Wait, Donald Trump...
[00:42:26.262 --> 00:42:28.044]  He's so evil.
[00:42:28.244 --> 00:42:32.389]  He doesn't want to blow up Russia.
[00:42:32.489 --> 00:42:35.612]  Oh, Russia's done nothing to us.
[00:42:36.012 --> 00:42:37.374]  I've seen as weak.
[00:42:37.394 --> 00:42:39.056]  The globe has turned to war.
[00:42:39.116 --> 00:42:39.496]  Winning.
[00:42:39.676 --> 00:42:39.957]  Winning.
[00:42:40.017 --> 00:42:40.437]  Winning.
[00:42:46.563 --> 00:42:49.726]  Sorry to keep you waiting, complicated business.
[00:42:49.806 --> 00:42:53.550]  A lot of people have laughed at me over the years.
[00:42:53.610 --> 00:42:56.473]  Now they're not laughing so much, I'll tell you.
[00:43:05.501 --> 00:43:06.021]  We'll be back.
[00:43:06.041 --> 00:43:06.442]  Stay with us.
[00:43:06.482 --> 00:43:07.102]  I'm Alex Jones.
[00:43:07.142 --> 00:43:08.163]  This is the InfoWar.
[00:43:08.863 --> 00:43:10.685]  We hold these truths to be self-evident.
[00:43:10.785 --> 00:43:12.506]  That all men are created equal.
[00:43:12.706 --> 00:43:16.209]  That they are endowed by their creator with certain unalienable rights.
[00:43:16.409 --> 00:43:19.511]  That among these are life, liberty, and the pursuit of happiness.
[00:43:19.831 --> 00:43:26.636]  That to secure these rights, governments are instituted among men, deriving their just powers from the consent of the governed.
[00:43:26.876 --> 00:43:33.861]  That whenever any form of government becomes destructive of these ends, it is the right of the people to alter or to abolish it.
[00:43:34.464 --> 00:43:36.037]  ...and institute new government.
[00:43:37.660 --> 00:43:39.181]  Independence isn't a day.
[00:43:39.462 --> 00:43:40.242]  It's a mindset.
[00:43:40.502 --> 00:43:43.164]  An attitude that says, I will not be your dependent.
[00:43:43.264 --> 00:43:44.585]  I will not be your slave.
[00:43:44.886 --> 00:43:50.410]  Dependence and slavery is a chain that is forged link by link with gradual infringements.
[00:43:50.950 --> 00:43:55.214]  When you trade your liberty for safety, to that extent, you become their slave.
[00:43:55.914 --> 00:43:57.355]  Slaves are never safe.
[00:43:57.796 --> 00:44:00.097]  You won't get rich by being a slave.
[00:44:00.798 --> 00:44:01.478]  Guard your liberty.
[00:44:01.879 --> 00:44:04.641]  Regard with suspicion anyone who tries to take it.
[00:44:05.181 --> 00:44:07.143]  For InfoWars.com, I'm David Knight.
[00:44:08.556 --> 00:44:16.682]  Our fellow info warriors across the United States and across the planet really love the Hillary for Prison 2016 shirts that we began to put out in 2015.
[00:44:17.662 --> 00:44:26.488]  It became a global meme against globalism and corruption, and a very strong maxim that's now being continued on today.
[00:44:26.869 --> 00:44:30.751]  So we now have George Soros, because the media attacked me on this whole goblin meme.
[00:44:30.831 --> 00:44:33.813]  They've made huge jokes about it, but it's totally blown up their face.
[00:44:33.833 --> 00:44:35.334]  We now have George Soros
[00:44:36.415 --> 00:44:37.176]  As a goblin.
[00:44:37.836 --> 00:44:41.499]  On the back, and it says, with a cross through him, you know, an X, like Ghostbusters.
[00:44:41.839 --> 00:44:42.500]  No Soros.
[00:44:42.880 --> 00:44:43.640]  Him as a goblin.
[00:44:44.381 --> 00:44:48.744]  It says, Deport Soros on the bottom, and on the top it says, InfoWars established 1996.
[00:44:50.986 --> 00:44:54.208]  So, it is a limited edition, Deport Soros on the back.
[00:44:54.708 --> 00:44:55.889]  Hillary for President on the front.
[00:44:56.270 --> 00:44:58.071]  Right hand shoulder, InfoWars.com.
[00:44:58.431 --> 00:44:59.012]  It's powerful.
[00:44:59.032 --> 00:45:00.072]  Hope you get out to everybody you know.
[00:45:00.332 --> 00:45:02.114]  InfoWarsStore.com, or call 888-253-3139.
[00:45:08.743 --> 00:45:15.847]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[00:45:16.228 --> 00:45:29.436]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[00:45:30.376 --> 00:45:41.611]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
