[00:00:12.901 --> 00:00:14.126]  Ladies and gentlemen, we're live.
[00:45:01.351 --> 00:45:03.832]  I'd be in the deer stand when I was like, I started shooting deer when I was about seven.
[00:45:04.770 --> 00:45:08.013]  You know, then taking them back and gutting them, chopping them up, preparing them.
[00:45:08.033 --> 00:45:09.274]  The average tree is going to be, ugh, gross.
[00:45:09.555 --> 00:45:11.476]  Animal cruelty, you know, buy the meat and eat it, but that's okay.
[00:45:11.497 --> 00:45:14.700]  But actually going out and being real humans, you know, I want to just kill something.
[00:45:14.740 --> 00:45:19.584]  No, it's about turning on those genes, those genetics, flipping ritual switches.
[00:45:20.649 --> 00:45:26.414]  Killing your first deer and gutting it is the same thing as kissing your first girl or planting your first tomatoes.
[00:45:26.854 --> 00:45:32.419]  Something happens when you get in the soil and plant, or the first time you go on a night hike, or the first time you get in a real fight.
[00:45:32.839 --> 00:45:37.302]  All of a sudden you just, all these things switch on, and it's like, whoa, it's next level.
[00:45:38.223 --> 00:45:40.165]  But see, they don't ever want you going next level.
[00:45:40.625 --> 00:45:42.266]  The truth is life is like a video game, folks.
[00:45:42.286 --> 00:45:46.590]  You go up next level, next level, next level, next level, next level, developing yourself.
[00:45:46.610 --> 00:45:47.751]  They don't want you ever to have that.
[00:45:47.911 --> 00:45:48.932]  They want a rest of development.
[00:45:50.199 --> 00:45:55.702]  And so many times, we'd be sitting there, and a little buck would come out, first some doe would come out, females.
[00:45:56.402 --> 00:45:57.983]  My dad would say, well you want one of those?
[00:45:58.023 --> 00:46:02.425]  You know, that's better for cooking stew, or I guess you want to get a rack to show off.
[00:46:02.465 --> 00:46:05.166]  He goes, well then, I bet a little buck comes out here in a minute.
[00:46:05.687 --> 00:46:12.730]  But let's wait and see, because there'll be a bigger buck probably in there, and if that little buck doesn't get shot, he's going to come out and run him off.
[00:46:13.410 --> 00:46:15.771]  And a couple times that didn't happen, but a lot of the time it would.
[00:46:15.791 --> 00:46:18.673]  My dad would say, see I heard him snorting back there, like 200 yards away.
[00:46:19.554 --> 00:46:20.715]  My dad was like, just relax your eyes.
[00:46:20.735 --> 00:46:21.636]  You're going to see everything moving.
[00:46:21.676 --> 00:46:22.917]  Don't look for the animals.
[00:46:23.197 --> 00:46:24.078]  Just open your eyes.
[00:46:24.098 --> 00:46:25.399]  This is in the woods with little clearings.
[00:46:25.980 --> 00:46:28.602]  And I opened my eyes up and I could suddenly see all these different animals.
[00:46:29.482 --> 00:46:34.247]  A badger, a weasel, crows, you know, an eagle fly by.
[00:46:34.307 --> 00:46:35.528]  It's going to hunter mode.
[00:46:35.548 --> 00:46:38.210]  My dad's sitting there like, basically relaxed.
[00:46:38.230 --> 00:46:39.391]  He almost hypnotized me.
[00:46:39.631 --> 00:46:42.994]  That's just ancient male passing that down, all being broken.
[00:46:43.274 --> 00:46:45.076]  I haven't even given my son all that training.
[00:46:45.396 --> 00:46:51.498]  You know, how to see different signs in the wind, and how to hunt, and how to fish, and how to fight, and everything else.
[00:46:52.079 --> 00:46:55.860]  And so, all of a sudden, out come the doe.
[00:46:56.480 --> 00:46:57.581]  They're sitting there eating the oats.
[00:46:58.601 --> 00:46:59.181]  Plant the oats.
[00:46:59.561 --> 00:47:00.602]  Eating little green oats.
[00:47:01.442 --> 00:47:01.862]  In the winter.
[00:47:02.462 --> 00:47:03.823]  All of a sudden, out comes that little buck.
[00:47:05.283 --> 00:47:06.524]  Don't take him out yet.
[00:47:06.604 --> 00:47:07.844]  Wait until the big one comes.
[00:47:08.205 --> 00:47:11.066]  And then sure enough, five minutes later, he comes out, runs him off.
[00:47:11.606 --> 00:47:12.026]  Boom!
[00:47:12.086 --> 00:47:13.286]  Shoot that big buck right there.
[00:47:14.007 --> 00:47:14.587]  Right there in the heart.
[00:47:17.250 --> 00:47:18.171]  And that's what they're doing.
[00:47:18.191 --> 00:47:20.973]  They're just holding back with everybody going, don't take Jones out yet.
[00:47:21.353 --> 00:47:22.134]  We want to get them all.
[00:47:22.334 --> 00:47:24.376]  Wait, wait, wait till we got them all in the noosh.
[00:47:25.097 --> 00:47:26.077]  They don't want to raise alarms.
[00:47:26.097 --> 00:47:27.298]  They don't want to take Drudge down yet.
[00:47:27.318 --> 00:47:31.782]  They're going to wait till the economy drops, ISIS hits, there's terrorists taking action.
[00:47:32.182 --> 00:47:34.644]  Oh, we got to shut the web off because the terrorists are using it to communicate.
[00:47:34.664 --> 00:47:35.785]  They're using cell phones.
[00:47:35.986 --> 00:47:38.368]  We just got hit by 200 cells in one day.
[00:47:38.788 --> 00:47:40.149]  And the martial law comes in.
[00:47:40.349 --> 00:47:41.870]  They put the radical jihadis down.
[00:47:42.631 --> 00:47:48.475]  But say, you don't have free speech anymore, you caused them to do it, and we're arresting other radicals that were anti-Islamic.
[00:47:49.256 --> 00:47:53.438]  And the sheep public will line up and say, good, arrest them, shut their speech down.
[00:47:53.679 --> 00:47:54.399]  That's what we want.
[00:47:54.699 --> 00:47:55.820]  I have war-gamed the enemy.
[00:47:56.541 --> 00:48:05.367]  But I also have contacts in the military as high up as Delta Force, you name it, who concur with my analysis that this is exactly what's going on.
[00:48:06.169 --> 00:48:07.950]  Because my analysis is the analysis.
[00:48:08.331 --> 00:48:10.972]  It's not like I came up with it and that's reality now.
[00:48:11.453 --> 00:48:15.636]  Anyone that studies this and knows the ballgame can see it for themselves without hearing Alex Jones.
[00:48:16.917 --> 00:48:17.817]  I'm just on target.
[00:48:25.583 --> 00:48:26.804]  Now, I'm going to stop right there.
[00:48:28.174 --> 00:48:32.997]  And just let everybody know that we have one of the biggest specials we've ever engaged in, and funding our operation is critical.
[00:48:33.037 --> 00:48:34.478]  But more importantly, this is stuff you need.
[00:48:34.498 --> 00:48:40.602]  I said that when May ended, I would end the 20% off on survival shield nascent iodine X2, the good allergen.
[00:48:41.242 --> 00:48:48.467]  To introduce it to you, even though it's about to sell out, I just went ahead and said, you know what, we're going to go 20% another day.
[00:48:48.527 --> 00:48:50.248]  But I mean, it's ending today.
[00:48:51.283 --> 00:48:51.663]  I think so.
[00:49:11.365 --> 00:49:16.209]  If you're a veteran, give yourself the gift of good health with Vitamin Refusion, Supermineral Vitality, X2, Liver Shield, you name it.
[00:49:16.490 --> 00:49:26.138]  But regardless, if you've got friends and family that are vets, so many times they have been toxified by what they went through in war, or the vaccines, or the rest of it, and we really should help out.
[00:49:26.158 --> 00:49:34.705]  So give a vet some Vitamin Refusion today, give a vet some X2 today, Supermineral Vitality today, because so many times folks get given these products, and then they become
[00:49:35.646 --> 00:49:41.631]  Customers of InfoWars and listeners because of it, and that's symbiotic and helps continue the broadcast.
[00:49:41.691 --> 00:49:43.593]  So, pay it forward.
[00:49:43.653 --> 00:49:46.355]  Give the gift of X2, our super male and super female vitality.
[00:49:47.196 --> 00:49:48.797]  By the way, we sell our super male for months.
[00:49:48.877 --> 00:49:49.398]  It's back in.
[00:49:49.458 --> 00:49:54.722]  I'm discounting it for the listeners and for the veterans, but also for folks who've never tried it before.
[00:49:55.163 --> 00:49:56.204]  Give yourselves an opportunity.
[00:49:57.782 --> 00:50:00.243]  Now on orders of $50 or more, we go further.
[00:50:00.423 --> 00:50:01.603]  Free shipping on top of that.
[00:50:02.063 --> 00:50:02.823]  And then we go further.
[00:50:02.923 --> 00:50:17.928]  You sign up for auto-ship on things like the Nutraceuticals or anything else for that matter, but it makes sense with coffee and the things you reuse, like X2 or Knockout or oregano oil or joint bone formulas, all of it.
[00:50:20.922 --> 00:50:21.503]  Lung Cleanse.
[00:50:21.523 --> 00:50:23.885]  There's so many different products there at InfoWarsLife.com.
[00:50:24.526 --> 00:50:26.688]  You get 10% off when you sign up for AutoShip.
[00:50:27.049 --> 00:50:29.271]  Free shipping on orders for $3 or more.
[00:50:29.291 --> 00:50:30.953]  30% off Vitamineral Fusion.
[00:50:30.973 --> 00:50:34.557]  30% off Super Mel Vitality, Super Female Vitality.
[00:50:34.877 --> 00:50:35.778]  30% off the Liver Shield.
[00:50:36.946 --> 00:50:39.367]  So many other specials at InfoWarsLive.com.
[00:50:39.407 --> 00:50:45.688]  Take advantage today and know the small profit we make on each shot, which is so much discounted, funds the Operation 888-253-3139.
[00:50:46.209 --> 00:50:50.170]  It's a toll-free number to call and order as well.
[00:50:50.190 --> 00:50:50.750]  888-253-3139.
[00:50:51.090 --> 00:50:56.531]  We're sending reporters to Europe, to the migrant camps, and to Bilderberg for 10 days.
[00:50:56.851 --> 00:50:58.892]  We're going to have reporters all over the country currently.
[00:50:59.172 --> 00:51:00.672]  We've got Joe Biggs going up to California.
[00:51:01.413 --> 00:51:01.913]  We've got
[00:51:03.094 --> 00:51:03.816]  So much coming up.
[00:51:03.836 --> 00:51:07.606]  The RNC, the DNC, and it's your support of the InfoWars that makes it all possible.
[00:51:08.749 --> 00:51:09.850]  The brain force is here.
[00:51:10.371 --> 00:51:12.653]  Ladies and gentlemen, I've been on this the last few months.
[00:51:12.933 --> 00:51:20.760]  You've probably noticed I've been more crazed, more focused, less brain fog, more energy, more special reports, and it's because of brain force.
[00:51:21.541 --> 00:51:25.124]  One of the worst things with most energy products is it's not sustainable, right?
[00:51:25.144 --> 00:51:27.486]  You're gonna crash, you're gonna feel really bad afterwards.
[00:51:27.847 --> 00:51:31.390]  This has a bunch of different antioxidants and compounds and polyphenols.
[00:51:31.410 --> 00:51:34.533]  Everybody's on these drugs to knock their brain out because the brain's so fried.
[00:51:35.013 --> 00:51:40.235]  We kept changing this formula over and over and over again until it became sort of a grand puzzle.
[00:51:40.355 --> 00:51:42.196]  For example, the L-Theanine inside of it.
[00:51:42.536 --> 00:51:46.958]  That is activated by the different compounds in the Yerba Mate that we put inside of it as well.
[00:51:47.138 --> 00:51:49.139]  This just increases the compounds you already have.
[00:51:49.759 --> 00:51:51.220]  This is what you're actually designed to run on.
[00:51:51.380 --> 00:51:51.620]  Exactly.
[00:51:51.640 --> 00:51:55.484]  It's kind of like a car will run on one form of junky gas, but it runs really good on what it's designed for.
[00:51:55.944 --> 00:52:03.230]  You will find Brain Force, Survival Shield X2, and other game-changing products at InfoWarsLife.com.
[00:52:03.490 --> 00:52:03.951]  Or call 888-253-3139.
[00:52:08.720 --> 00:52:11.681]  A clean, toxic-free body is the foundation of true health.
[00:52:11.961 --> 00:52:21.566]  Introducing Deep Cleanze by Infowarslife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:52:21.846 --> 00:52:27.048]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:52:27.148 --> 00:52:35.972]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:52:36.252 --> 00:52:44.841]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:52:45.101 --> 00:52:52.008]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigyrex herbal processing technique.
[00:52:52.148 --> 00:52:57.454]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you the best.
[00:52:57.694 --> 00:53:03.243]  If you wish to find deep cleanse and experience the all-in-one cleansing visit Infowarslife.com.
[00:53:03.403 --> 00:53:05.327]  That's Infowarslife.com or call 888-253-3139.
[00:53:08.639 --> 00:53:14.804]  ISIS reportedly uses hundreds of families as human shields to protect Fallujah, reports Fox News.
[00:53:15.105 --> 00:53:22.030]  Several hundred innocent families were trapped in the center of a bloody battle for the Islamic State's Iraqi hub of Fallujah.
[00:53:22.291 --> 00:53:30.878]  Used as human shields for the terror group, the United Nations Refugee Center warned on Tuesday as a leading aid group called it a human catastrophe.
[00:53:31.398 --> 00:53:36.445]  Over the weekend, the fighting left at least seven members of one family dead or wounded.
[00:53:36.766 --> 00:53:39.750]  An estimated 50,000 people remained trapped.
[00:53:40.050 --> 00:53:48.682]  A witness claimed, ISIS fighters distributed some sweets for the kids for the first time, trying to get people on their side as they know their end is so close.
[00:53:49.082 --> 00:53:54.804]  The witness also told USA Today they're locking some families down inside the hospital building.
[00:53:55.024 --> 00:54:02.667]  They're making people freak out over the arrival of Iraqi forces by telling them the army and militia are coming to kill you all.
[00:54:03.007 --> 00:54:05.688]  You can find more reports on InfoWars.com.
[00:54:05.708 --> 00:54:13.751]  Eastbound and bound, loaded up and truckin'.
[00:54:21.028 --> 00:54:25.991]  It's a long way to go.
[00:54:26.432 --> 00:54:28.153]  And a short time to get there.
[00:54:28.793 --> 00:54:31.035]  Mr. Reid bringing us in.
[00:54:34.432 --> 00:54:40.898]  Some never mind them brakes.
[00:54:40.998 --> 00:54:53.148]  If the globalists can't counter is real culture, they're destroying everybody's culture and replacing it with this globalist, politically correct, homogenized garbage.
[00:54:53.568 --> 00:54:56.591]  They plan to use radical Islam as a bizarre authoritarian
[00:54:58.334 --> 00:54:58.834]  Enforcer.
[00:54:59.635 --> 00:55:04.998]  And I used to hear this ten years ago from right-wingers, and I would just roll my eyes and go, you people are crazy.
[00:55:05.558 --> 00:55:07.400]  Yes, they're doing a clash of civilizations.
[00:55:07.820 --> 00:55:09.341]  Yes, they're destabilizing the Middle East.
[00:55:09.781 --> 00:55:10.762]  Yes, that's wrong to do.
[00:55:11.749 --> 00:55:16.031]  A lot of Muslims and Arabs and people send me constant emails going, you used to not be anti-Islam.
[00:55:16.351 --> 00:55:17.312]  Why are you bashing us?
[00:55:17.392 --> 00:55:18.372]  I'm going to explain this to you again.
[00:55:19.092 --> 00:55:20.653]  I was against destabilizing your countries.
[00:55:20.993 --> 00:55:24.075]  I'm against Saudi Arabia installing all these corrupt groups.
[00:55:24.575 --> 00:55:25.875]  I'm against Wahhabism.
[00:55:25.996 --> 00:55:28.817]  I was against attacking Iraq because they didn't carry out 9-11.
[00:55:29.057 --> 00:55:35.980]  And now the whole place has been destabilized by design and they're putting radicals in charge and bringing them in.
[00:55:36.300 --> 00:55:37.361]  And these are real people.
[00:55:38.391 --> 00:55:45.974]  Real Sunni Wahhabis that kill the non-radical Muslims around them, and are taking over Islam, whether it was bad before or good before, or whatever.
[00:55:46.874 --> 00:55:54.057]  It's being radicalized, it's dangerous, now the jihadi threat is real, and the Western governments at the top plan to let them attack.
[00:55:57.398 --> 00:55:59.759]  And they're going to take our liberties and freedoms in the process.
[00:55:59.819 --> 00:56:00.960]  I mean, I had Tim Kennedy
[00:56:02.108 --> 00:56:04.349]  Who's involved in the highest level national security stuff.
[00:56:04.649 --> 00:56:05.590]  And he hasn't told me all that.
[00:56:05.630 --> 00:56:06.491]  I know that separately.
[00:56:06.751 --> 00:56:08.632]  And he was concurring, saying, yes, that's their plan.
[00:56:08.652 --> 00:56:10.073]  I had him in the studio last week.
[00:56:11.133 --> 00:56:13.815]  But I don't need to talk to people in Delta Force to know all that.
[00:56:14.255 --> 00:56:20.679]  I can sit here and tell you right now, ladies and gentlemen, the globalists mean business.
[00:56:20.699 --> 00:56:26.882]  They didn't put $50 billion of internet kill switch in, that's conservative, the last 15 years to play games.
[00:56:30.204 --> 00:56:30.524]  Okay?
[00:56:30.685 --> 00:56:31.025]  It's here.
[00:56:32.523 --> 00:56:36.686]  And they need us to just not be aware of it, like TPP and all this other crap.
[00:56:37.227 --> 00:56:44.193]  Let's play Matt Drudge again, talking about the Supreme Court Justice warning him a year ago, face-to-face, they're coming in 2016 for the free speech.
[00:56:44.713 --> 00:56:46.434]  And look, all over the world, it's happening.
[00:56:46.675 --> 00:56:48.176]  Because they have this on timetables.
[00:56:48.496 --> 00:56:52.960]  Because next year, folks, I'm sure of it now, the real global meltdown's gonna happen, I believe.
[00:56:53.180 --> 00:56:56.443]  It's already here in most areas of the world, but still in isolated pockets.
[00:56:56.463 --> 00:56:56.863]  The U.S.
[00:56:56.923 --> 00:56:57.523]  is doing okay.
[00:56:57.864 --> 00:56:58.965]  The bottom is falling out.
[00:56:59.025 --> 00:56:59.945]  I don't want that to happen.
[00:57:01.021 --> 00:57:02.502]  Some people say, well, be more optimistic.
[00:57:02.542 --> 00:57:03.002]  Maybe it won't.
[00:57:03.603 --> 00:57:05.164]  Mathematically, it's impossible.
[00:57:06.825 --> 00:57:08.847]  It's like an 89-year-old guy who's had 15 heart attacks.
[00:57:09.127 --> 00:57:10.448]  He's going to have a new one at some point.
[00:57:10.668 --> 00:57:11.409]  The heart's rotten.
[00:57:11.449 --> 00:57:12.750]  It's going to blow into 10 pieces.
[00:57:14.231 --> 00:57:17.553]  And I'm just here trying to tell folks they're going to use the crisis to try to take all of our freedoms.
[00:57:17.793 --> 00:57:18.294]  Here's the clip.
[00:57:18.894 --> 00:57:22.377]  I had a Supreme Court justice tell me to my face, it's over for me.
[00:57:22.397 --> 00:57:24.958]  I said, Matt, it's over for you.
[00:57:25.299 --> 00:57:27.500]  They've got the votes now to enforce copyright law.
[00:57:27.780 --> 00:57:28.341]  You're out of there.
[00:57:28.996 --> 00:57:31.316]  They're going to make it so headlines you can't even use headlines.
[00:57:32.317 --> 00:57:40.058]  To have a Supreme Court Justice say that to my face, that it's over, they've got the votes, which means time is limited.
[00:57:41.959 --> 00:57:48.500]  You know, I want to take that whole interview, and it was an excellent interview, but you know, I jumped in quite a bit because it was a surprise visit.
[00:57:48.520 --> 00:57:52.721]  If I would have had a better job, I could have been prepared, but it was fun to have Drudge pop back in.
[00:57:55.370 --> 00:58:03.375]  We need to take that and edit it down to like 15 minutes and air that I think all the time or have a bunch of intros and outros that we're talking about because he doesn't do interviews but every five years or so.
[00:58:04.296 --> 00:58:05.677]  But again, time is compressed.
[00:58:05.717 --> 00:58:06.598]  I know Drudge is listening.
[00:58:07.698 --> 00:58:11.441]  I think Drudge should probably be heard from a little bit more because he kind of is the symbol of free internet.
[00:58:12.978 --> 00:58:15.959]  And he links to mainstream government documents, alternative, grassroots stuff.
[00:58:15.979 --> 00:58:29.724]  The point is, it's a different filter of a guy that's a populist and a patriot, instead of Mark Zuckerberg, the king of Facebook, and his filter that's telling you Obama's God and free speech is bad and let's get rid of our borders and let's bring jihadis in.
[00:58:30.604 --> 00:58:37.406]  And they are coming and saying, this is what they're arguing in the TPP, that we're going to say you can't link to someone's website.
[00:58:37.687 --> 00:58:41.768]  Well, how are you supposed to even... People come to your site to see what you're linking to.
[00:58:43.513 --> 00:58:43.994]  It's crazy.
[00:58:44.014 --> 00:58:45.676]  They want to end communication, folks.
[00:58:45.696 --> 00:58:47.258]  They want a new dark age.
[00:58:47.358 --> 00:58:47.839]  Stay with us.
[00:58:47.859 --> 00:58:50.062]  Sign up for our free email to counter the censorship.
[00:58:50.322 --> 00:58:51.123]  Infowars.com.
[00:58:51.143 --> 00:58:52.265]  Visit GCNlive.com today.
[00:58:59.679 --> 00:59:01.061]  Clean, pure drinking water.
[00:59:01.341 --> 00:59:02.622]  You can't survive without it.
[00:59:02.822 --> 00:59:03.723]  But where do you get it?
[00:59:04.024 --> 00:59:09.790]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:59:10.010 --> 00:59:15.736]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:59:15.916 --> 00:59:32.792]  Pairing the unprecedented superfiltration power of an all-new gravity block core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:59:33.172 --> 00:59:35.294]  Filter capacity up to 5,000 gallons.
[00:59:35.654 --> 00:59:36.855]  Stainless steel construction.
[00:59:37.135 --> 00:59:37.896]  Easy assembly.
[00:59:38.176 --> 00:59:38.796]  Low maintenance.
[00:59:39.076 --> 00:59:40.898]  Replacement filters are simple to install.
[00:59:41.178 --> 00:59:48.283]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off the retail price and get free shipping.
[00:59:48.463 --> 00:59:53.467]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[00:59:53.647 --> 00:59:56.229]  Go to InfowarsStore.com or call 888-253-3139.
[01:00:01.326 --> 01:00:04.047]  You're listening to the Alex Jones Show.
[01:00:11.570 --> 01:00:17.572]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:18.193 --> 01:00:21.174]  It's Alex Jones and the GCN Radio Network.
[01:00:25.120 --> 01:00:32.248]  All right, I've always told Roger Stone, who really is the consummate Trump insider, that he can come on anytime he wants when there's breaking news.
[01:00:33.069 --> 01:00:34.091]  And he just called us.
[01:00:34.111 --> 01:00:35.512]  He's coming on at the bottom of the hour.
[01:00:36.013 --> 01:00:39.757]  We're going to get a 30-minute update with Tosh Plumlee and Colonel Matt Smithmech.
[01:00:40.518 --> 01:00:46.079]  Just out of the Marine Corps, has been death-threatened, physically attacked, you name it, for trying to expose a current shipment.
[01:00:46.859 --> 01:00:48.680]  I'm saying this just calmly.
[01:00:49.360 --> 01:00:57.922]  Oh, put out on Twitter that we know about the next massive shipment from a Marine Corps base of military weapons to Mexico to be sent to ISIS.
[01:00:58.402 --> 01:01:00.142]  Oh, we're trying to stop an ISIS shipment.
[01:01:01.702 --> 01:01:08.924]  I mean, I know the FBI people want to stop it, but I probably, we should probably call to see something, say something, Homeland Security line.
[01:01:11.088 --> 01:01:16.930]  Get me that regional 1-800, I mean it's a national number, but they have regional numbers that are for your region.
[01:01:17.290 --> 01:01:24.833]  And I'm going to put it on air when they join us coming up and just say, I've called FBI before on air and people don't believe I actually get FBI agents on the phone and start talking to them.
[01:01:24.853 --> 01:01:26.033]  People are like, that's fake.
[01:01:26.533 --> 01:01:27.374]  Alex isn't doing that.
[01:01:27.434 --> 01:01:28.474]  No, we really do do that.
[01:01:28.974 --> 01:01:30.615]  I mean, that's not that bold of a move.
[01:01:30.695 --> 01:01:32.315]  I mean, supposedly public servants.
[01:01:32.675 --> 01:01:33.876]  I'm trying to stop this stuff.
[01:01:33.896 --> 01:01:35.156]  People go, why are you involved?
[01:01:36.016 --> 01:01:37.277]  Well, I'm no hero here, but
[01:01:39.688 --> 01:01:41.429]  I see something, I'm supposed to say something, right?
[01:01:41.449 --> 01:01:47.314]  Oh, they want you to report the neighbor you saw cleaning a deer in their garage.
[01:01:47.794 --> 01:01:49.636]  I see that article every few months.
[01:01:50.799 --> 01:01:54.022]  Because as the suburbs grow out to the countryside, it's just always the same story.
[01:01:54.062 --> 01:02:15.259]  There'll be some old veteran, outside his trailer, on some 40 acres he's had, it's deer season, and he'll be right by the road, you know, at a tree, with a deer hauled up in it, gutting it, and the Californians have moved in, it's always Californians, and they see the guy gutting the deer, and they call the cops, and then the cops don't do anything, but then animal cruelty comes!
[01:02:16.901 --> 01:02:17.942]  And then they get arrested.
[01:02:19.025 --> 01:02:21.708]  Because it freaks animal cruelty out to see a deer hanging up.
[01:02:21.728 --> 01:02:22.989]  And you're like, that didn't happen.
[01:02:23.310 --> 01:02:24.050]  Look up for yourself.
[01:02:24.271 --> 01:02:26.093]  Police called on man cleaning deer.
[01:02:27.474 --> 01:02:28.315]  You see it all the time.
[01:02:28.615 --> 01:02:31.178]  And that's just the alien-ness of the general public.
[01:02:31.298 --> 01:02:34.502]  And by alien, I mean alien from normal human activity.
[01:02:35.723 --> 01:02:36.424]  My dad's dad.
[01:02:38.507 --> 01:02:43.908]  Well, I'd been in construction, oil, uh, you know, drilling, and then been in county government and stuff like that.
[01:02:43.948 --> 01:02:49.689]  He was a smart guy, you know, had a college degree in agriculture from A&M and, and, and engineering going from memory.
[01:02:49.729 --> 01:03:05.772]  The point is, is that I've been with the stories that he would grab a shotgun and go out and shoot birds for 15 minutes on the back 40, literally a couple hundred acres out front, like 40 acres out back.
[01:03:07.012 --> 01:03:07.112]  And
[01:03:09.255 --> 01:03:12.936]  Shoot a squirrel in the yard and come in and cut him up in a matter of like three minutes.
[01:03:13.456 --> 01:03:31.319]  He can skin a squirrel so fast, he'd nail their feet down, just rip the fur off, cook it, chop it up, throw it in the skillet, tear the breast out of the quail or out of the dove, no matter what time of year it was, boom, throw it right in there and just put some toast in there.
[01:03:32.699 --> 01:03:37.640]  And in an hour, 45 minutes, he'd have a nice lunch cooked and just bam on the table and everybody
[01:03:38.544 --> 01:03:39.664]  My grandma was an even better cook.
[01:03:40.305 --> 01:03:56.209]  But, I mean, he would just fix, like, tractors and combines with pieces of rubber band and tin cans and weld and electricity and just... My dad was still like a spider, just fixing everything, like a robot or something.
[01:03:56.569 --> 01:03:57.669]  Me, I'm like, ooooh!
[01:03:58.190 --> 01:04:02.311]  And I'm, like, super good at changing tires and fixing stuff compared to the average man today.
[01:04:02.651 --> 01:04:06.372]  I mean, I can roof a house and I can do basic plumbing and I can fix some things.
[01:04:08.544 --> 01:04:10.345]  People, when they see me do it, they go, I didn't know you could do that.
[01:04:10.465 --> 01:04:16.848]  I'm like, you know, the wife's like, because I'm too busy fighting the New World Order, calling a handyman, but oh, I can do it.
[01:04:17.228 --> 01:04:21.370]  But compared to the average person, I've got some skills.
[01:04:21.470 --> 01:04:22.570]  And I talk about this all the time.
[01:04:22.630 --> 01:04:24.791]  It's just that we are so domesticated.
[01:04:26.192 --> 01:04:33.816]  And then you go and you talk to the average trendy.
[01:04:34.776 --> 01:04:35.596]  It isn't about race.
[01:04:35.636 --> 01:04:36.357]  It isn't about color.
[01:04:37.202 --> 01:04:38.003]  Isn't about religion.
[01:04:38.563 --> 01:04:43.108]  You go to San Diego, you go to LA, you go to downtown Austin, you go to trendy areas, the more trendy.
[01:04:43.148 --> 01:04:46.571]  These people literally are walking into walls with their phones.
[01:04:46.832 --> 01:04:47.773]  They don't know who they are.
[01:04:47.793 --> 01:04:49.034]  They are in deep trances.
[01:04:50.035 --> 01:04:51.957]  And they are so stupid, like this video coming up.
[01:04:52.317 --> 01:04:54.439]  Americans have no idea what Memorial Day is.
[01:04:54.840 --> 01:04:57.703]  A big blitz of insanity.
[01:04:58.163 --> 01:05:00.385]  Speaking of Mark Dice, another video Watson wrote an article about.
[01:05:01.420 --> 01:05:07.626]  Has this poor Mexican three-year-old been taught, you know, that saying kill Trump's a good idea by his parents?
[01:05:09.648 --> 01:05:15.153]  This is the answer for your children to totally absorb the multivitamins, the minerals, the amino acids, everything at once.
[01:05:15.653 --> 01:05:16.174]  Unveiled!
[01:05:16.574 --> 01:05:19.617]  Vitamin Mineral Fusion Advanced Multi-Vitamin Formula.
[01:05:20.318 --> 01:05:20.778]  30 servings.
[01:05:20.958 --> 01:05:23.561]  Fruit punch flavor dietary supplement.
[01:05:23.881 --> 01:05:24.942]  It is simply amazing.
[01:05:25.002 --> 01:05:25.943]  Infowarslife.com.
[01:05:26.323 --> 01:05:30.727]  There's a million different products like this out there that they're, you know, they're good in different ways.
[01:05:31.247 --> 01:05:44.357]  But this takes all of the vitamins, all the essential amino acids, all the essential compounds and minerals that you need, puts it into something that's great tasting as opposed to like clumpy, gross stuff.
[01:05:44.738 --> 01:05:45.919]  And you can put it in your drink every morning.
[01:05:45.959 --> 01:05:47.160]  I put it in my protein shake.
[01:05:47.760 --> 01:05:53.262]  It is the platinum standard, in my view, of multivitamins in terms of an advanced multidrink vitamin.
[01:05:53.282 --> 01:05:56.303]  The cleanest, the purest, new stuff had to be invented.
[01:05:56.343 --> 01:05:58.564]  That's why it took this long to even bring us something that's good.
[01:05:59.184 --> 01:06:05.286]  Some companies are gonna take a small amount of vitamins and make it, you know, so there's so much filler it looks like there's a lot.
[01:06:05.526 --> 01:06:06.766]  This is ultra-concentrated.
[01:06:06.786 --> 01:06:07.907]  We're not playing games here.
[01:06:08.307 --> 01:06:09.527]  Well, that's my philosophy.
[01:06:09.547 --> 01:06:10.787]  That's your philosophy.
[01:06:11.308 --> 01:06:13.508]  But again, there's some great stuff out there.
[01:06:13.668 --> 01:06:17.469]  And there's other powders I promote at Infowarshealth.com that are excellent.
