[00:00:10.407 --> 00:00:11.214]  Silent Railway Chevy.
[00:55:39.248 --> 00:55:43.492]  Or evidence of Clinton carnage and hate to be released Wednesday.
[00:55:43.572 --> 00:55:44.313]  I mean, I don't know.
[00:55:45.694 --> 00:55:46.435]  Special report.
[00:55:46.795 --> 00:55:49.077]  The Haitians absolutely hate the Clintons.
[00:55:49.097 --> 00:55:50.238]  The Clintons are enemy number one.
[00:55:50.438 --> 00:55:51.959]  I mean, there's so many stories to this.
[00:55:52.600 --> 00:55:53.361]  You've got the U.N.
[00:55:53.401 --> 00:55:55.262]  there refusing to give aid to the people.
[00:55:55.282 --> 00:55:55.963]  We have the video.
[00:55:59.445 --> 00:56:01.505]  You're not going to see Vice Magazine down there doing it, though.
[00:56:01.525 --> 00:56:02.646]  They're owned by HBO now.
[00:56:02.686 --> 00:56:03.446]  They're part of the team.
[00:56:03.926 --> 00:56:04.846]  You're not going to see anybody doing it.
[00:56:04.866 --> 00:56:08.407]  They're just going to sit around and say they're liberals and drive Subarus.
[00:56:11.727 --> 00:56:17.088]  I'm not against the fact you drive a Subaru, but Portlandia is not a real way of life.
[00:56:17.208 --> 00:56:18.268]  It's a delusion.
[00:56:20.189 --> 00:56:25.130]  And we've got a bunch of Portlandians, like, out of the movie, out of the TV show, starting World War III.
[00:56:25.150 --> 00:56:26.290]  You people are crazy!
[00:56:29.520 --> 00:56:31.260]  And now you want to shut down the free press!
[00:56:32.721 --> 00:56:34.241]  You want to play Storm Trooper!
[00:56:36.021 --> 00:56:40.782]  All because you've weakened the country and created such a massive domesticated people.
[00:56:40.802 --> 00:56:42.242]  I don't want to call men feminized.
[00:56:42.982 --> 00:56:44.943]  Women aren't inherently weak or stupid.
[00:56:46.463 --> 00:56:49.603]  It's spoiled rotten cults disconnected from reality.
[00:56:52.104 --> 00:56:53.004]  It's what we're dealing with.
[00:56:53.024 --> 00:56:58.605]  41% of voters nationwide say election could be stolen from Trump.
[00:56:59.650 --> 00:57:01.471]  It's almost 80% when they only ask Republicans.
[00:57:01.491 --> 00:57:03.072]  Well, of course it could be stolen.
[00:57:03.293 --> 00:57:06.415]  Everybody knows about election fraud and all the battles and all the rigging.
[00:57:06.615 --> 00:57:08.356]  I mean, who, who, who, who doubts?
[00:57:08.376 --> 00:57:09.177]  We have all the WikiLeaks.
[00:57:09.817 --> 00:57:11.638]  The rigging of the election against Bernie Sanders.
[00:57:11.858 --> 00:57:12.719]  It's all confirmed!
[00:57:13.580 --> 00:57:18.723]  But they sit there laughing on CNN and NPR to make you feel alone.
[00:57:18.923 --> 00:57:19.524]  You're not alone.
[00:57:20.930 --> 00:57:22.110]  And they're talking about the danger.
[00:57:22.570 --> 00:57:29.732]  Hillary Clinton has put out new videos and is going to spend $20 million attacking Alex Jones and the fact that Trump likes him.
[00:57:31.032 --> 00:57:39.554]  Let's go to that clip first as we go out to break because they want Trump to run from what's made him so successful.
[00:57:39.614 --> 00:57:40.294]  He's not doing that again.
[00:57:40.694 --> 00:57:43.894]  He saw how he was nice to her and got destroyed in the first debate.
[00:57:44.234 --> 00:57:47.035]  He went after her and it was like Valhalla.
[00:57:48.097 --> 00:57:51.422]  So let's go out to break with, where does Trump get his talking points from?
[00:57:51.442 --> 00:57:53.445]  This is the new official Hillary Clinton ad.
[00:57:55.949 --> 00:57:57.351]  I will not let you down.
[00:57:57.491 --> 00:58:00.396]  You'll be very, very impressed, I hope.
[00:58:00.956 --> 00:58:02.299]  And I think we'll be speaking a lot.
[00:58:04.548 --> 00:58:12.014]  Sandy Hook is a synthetic, completely fake, with actors, in my view, manufactured.
[00:58:12.194 --> 00:58:13.555]  I will not let you down.
[00:58:13.695 --> 00:58:17.498]  The official story is a fable and that inside job is the only explanation.
[00:58:17.818 --> 00:58:20.720]  You will be very, very impressed, I hope.
[00:58:20.820 --> 00:58:21.861]  They're the ones running ISIS.
[00:58:21.881 --> 00:58:27.445]  I mean, I've interviewed the cops and the people that saw the feds planting the bombs on Oklahoma City.
[00:58:27.605 --> 00:58:28.766]  I think we'll be speaking a lot.
[00:58:28.786 --> 00:58:29.847]  I think she's going to show up.
[00:58:30.667 --> 00:58:32.248]  Thank you for listening to GCN.
[00:58:32.268 --> 00:58:32.768]  Visit GCNlive.com today.
[00:58:58.212 --> 00:59:02.073]  Introducing Vitamin Mineral Fusion from Infowarslife.com.
[00:59:02.373 --> 00:59:09.656]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[00:59:09.836 --> 00:59:20.859]  The all-new Vitamin Mineral Fusion drink mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[00:59:21.279 --> 00:59:28.826]  In the history of InfoWars life, we've brought out a lot of amazing products like Survival Shield X2, Super Metal Vitality, and so many others.
[00:59:29.126 --> 00:59:32.789]  But I am most proud of the product we're now launching today.
[00:59:33.009 --> 00:59:42.977]  With its unique delivery system and proprietary manufacturing process designed for maximized effects, this formula is the platinum standard of multivitamin mineral products.
[00:59:43.217 --> 00:59:49.963]  The ingredients in Vitamin Mineral Fusion are either plant-derived or of the highest quality lab standard.
[00:59:50.263 --> 00:59:51.644]  That means it's clean.
[00:59:51.724 --> 00:59:52.825]  That means it's pure.
[00:59:52.905 --> 00:59:55.707]  That's Infowarslife.com and Vitamin Mineral Fusion.
[00:59:55.807 --> 00:59:57.528]  Take action now before we sell out.
[01:00:00.630 --> 01:00:03.252]  You're listening to the Alex Jones Show.
[01:00:09.804 --> 01:00:16.725]  From the front lines of the Information War, it's Alex Jones.
[01:00:38.269 --> 01:00:39.530]  All right.
[01:00:57.009 --> 01:01:03.175]  So, desperate Hillary has already tried for a year to make a big deal out of the fact that Donald Trump talks about global government.
[01:01:03.795 --> 01:01:05.897]  That Donald Trump talks about the fact that there's a new world order.
[01:01:06.217 --> 01:01:18.889]  That Donald Trump talks about the fact that in her email she's working for foreign mega banks to sign over our sovereignty to all these different multinational corporate institutions like TPP, the IMF, the World Bank, the Ex-Im Bank, the World Trade Organization, on and on and on.
[01:01:19.269 --> 01:01:22.772]  I mean they can't have their cake and eat it too and have thousands of news articles
[01:01:23.789 --> 01:01:29.675]  Calling for world government and pushing it and saying, don't we all just work for central banks on CNBC?
[01:01:30.075 --> 01:01:32.878]  And five guests say, yes, we work for central banks.
[01:01:33.118 --> 01:01:34.299]  They control the world now.
[01:01:34.640 --> 01:01:36.261]  We're not in a democracy or a republic.
[01:01:36.501 --> 01:01:38.043]  We're run by multinational banks.
[01:01:38.323 --> 01:01:39.104]  CNBC.
[01:01:39.845 --> 01:01:42.968]  The host and five guests all agree on show after show.
[01:01:44.775 --> 01:01:49.117]  Trump comes out, points out we're giving up our sovereignty, our borders have been dissolved outside of law.
[01:01:49.877 --> 01:01:51.518]  Of course I'm saying the same thing.
[01:01:51.578 --> 01:01:53.899]  Of course Nigel Farage is saying the same thing.
[01:01:53.999 --> 01:01:58.501]  And yes, Trump is awake to this and has learned a lot the last 10 years.
[01:01:58.561 --> 01:02:01.923]  He was always against NAFTA and GATT 25 years ago before I was on the air.
[01:02:03.251 --> 01:02:07.313]  But I'm not saying that so, oh, I'll defend Trump because, oh God, they're connecting me to him.
[01:02:08.074 --> 01:02:14.077]  They create much ado about nothing to create the illusion that talking about the New World Order is bad.
[01:02:14.377 --> 01:02:18.660]  On Friday, remember they said, it's anti-Semitic to talk about foreign cabals.
[01:02:19.240 --> 01:02:25.484]  They inject the race issue to try to get us off this subject, not because it's discrediting
[01:02:26.226 --> 01:02:34.851]  But if we start talking about how we're run by foreign megamanks, if we start talking about how we're run by these foreign institutions, and how we've lost sovereignty, it's game over for them.
[01:02:38.413 --> 01:02:44.535]  I love how they take Howard Stern interviews he's done where he gets asked racy questions and act like, new Howard Stern discovered!
[01:02:45.295 --> 01:02:45.636]  New!
[01:02:45.696 --> 01:02:49.137]  Where he got asked about, you know, threesomes 15 years ago.
[01:02:49.157 --> 01:02:50.117]  Oh my gosh!
[01:02:50.717 --> 01:02:51.558]  He's done for now!
[01:02:51.978 --> 01:02:54.238]  We just discovered new Alex Jones interviews!
[01:02:54.759 --> 01:02:58.440]  Why they were hidden like, oh investigative report, all this fanfare.
[01:02:59.491 --> 01:03:03.914]  As they ignore all the WikiLeaks, all the criminality, all the real news, all the horrible things.
[01:03:04.194 --> 01:03:06.716]  The fact there's new stuff about her health being bad in the WikiLeaks.
[01:03:06.976 --> 01:03:07.876]  Of course it is!
[01:03:08.477 --> 01:03:10.298]  And Podesta trying to cover it up.
[01:03:10.438 --> 01:03:11.018]  Of course!
[01:03:14.180 --> 01:03:16.742]  Let's go to the new national ad, Hillary's Hope.
[01:03:17.623 --> 01:03:19.003]  She's sending out to all her constituents.
[01:03:19.063 --> 01:03:19.584]  It's online.
[01:03:19.624 --> 01:03:20.564]  It's airing on TV.
[01:03:20.765 --> 01:03:21.085]  Here it is.
[01:03:23.702 --> 01:03:25.086]  I will not let you down.
[01:03:25.247 --> 01:03:28.136]  You'll be very, very impressed, I hope.
[01:03:28.718 --> 01:03:30.103]  And I think we'll be speaking a lot.
[01:03:32.327 --> 01:03:39.770]  Sandy Hook is a synthetic, completely fake, with actors, in my view, manufactured.
[01:03:39.970 --> 01:03:41.310]  I will not let you down.
[01:03:41.471 --> 01:03:45.272]  The official story is a fable and an inside job is the only explanation.
[01:03:45.612 --> 01:03:48.493]  You will be very, very impressed, I hope.
[01:03:48.593 --> 01:03:49.654]  They're the ones running ISIS.
[01:03:49.674 --> 01:03:55.236]  I mean, I've interviewed the cops and the people that saw the feds plant the bombs on Oklahoma City.
[01:03:55.376 --> 01:03:56.536]  I think we'll be speaking a lot.
[01:03:56.556 --> 01:03:57.617]  I think she's going to show up.
[01:03:58.637 --> 01:04:00.359]  And, uh, on drugs, though.
[01:04:00.379 --> 01:04:01.220]  She's gonna be blacked out.
[01:04:01.461 --> 01:04:02.802]  I will not let you down.
[01:04:03.483 --> 01:04:06.006]  She's a frickin' demon, and she stinks, and so does Obama.
[01:04:06.046 --> 01:04:06.686]  I go, like, what?
[01:04:06.847 --> 01:04:07.187]  Sulfur.
[01:04:07.607 --> 01:04:12.994]  I have the government documents where they said they're gonna encourage homosexuality with chemicals so that people don't have children.
[01:04:13.274 --> 01:04:17.218]  I don't like them putting chemicals in the water that turn the friggin' frogs gay!
[01:04:19.901 --> 01:04:28.293]  And I'll tell you, it is surreal to talk about issues here on air and then word for word hear Trump say it two days later.
[01:04:29.754 --> 01:04:30.916]  It is amazing.
[01:04:31.397 --> 01:04:32.138]  It is amazing.
[01:04:35.903 --> 01:04:37.084]  I should be happier about that.
[01:04:37.879 --> 01:04:39.741]  But it is just such an amazing time to be alive.
[01:04:39.781 --> 01:04:40.681]  I have too much energy right now.
[01:04:40.701 --> 01:04:41.802]  I've been working seven days a week.
[01:04:42.202 --> 01:04:45.345]  I've cut back my caffeine intake like almost to nothing.
[01:04:46.126 --> 01:04:48.407]  And I'm bouncing off the walls because this is so epic.
[01:04:48.908 --> 01:04:52.390]  Let me calm down a little bit and come back and give you the good news.
[01:04:53.231 --> 01:04:55.993]  And I mean, let me tell you, it's some really good news.
[01:04:57.034 --> 01:04:58.195]  Amazing time to be alive.
[01:04:58.515 --> 01:05:05.681]  But I got to tell you, I'm very frustrated right now because the Haiti stuff we got so powerful that I don't even know how to do it justice.
[01:05:05.741 --> 01:05:06.922]  I mean, this is over the top.
[01:05:08.914 --> 01:05:17.400]  As reported by Breitbart, Matt Drudge of the Drudge Report has warned presidential hopeful Hillary Clinton that he is about to drop a bombshell about her, quote, sex stuff.
[01:05:17.600 --> 01:05:18.781]  In a tweet, Drudge said,
[01:05:38.914 --> 01:05:39.534]  We're good to go.
[01:06:08.604 --> 01:06:17.633]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[01:06:17.693 --> 01:06:25.920]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[01:06:26.101 --> 01:06:30.765]  We have now managed to secure the sought-after beans in a highly customized blend.
[01:06:30.965 --> 01:06:37.690]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[01:06:37.750 --> 01:06:44.834]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[01:06:44.934 --> 01:06:51.799]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[01:06:51.959 --> 01:06:56.302]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[01:06:56.442 --> 01:06:59.644]  Available in original or with our immune support infusion blend.
[01:07:00.644 --> 01:07:10.688]  I'm gonna lay it out short and sweet.
[01:07:12.389 --> 01:07:18.051]  I got so dedicated to fighting the globalists and their program for world government that I stopped working out.
[01:07:18.751 --> 01:07:22.633]  I was a total fitness nut 20 years ago.
[01:07:23.615 --> 01:07:25.838]  About 15 years ago, I just stopped working out.
[01:07:25.918 --> 01:07:27.059]  I gained close to 100 pounds.
[01:07:27.740 --> 01:07:30.303]  I have lost 50, 60 pounds of fat.
[01:07:31.284 --> 01:07:31.624]  Or more.
[01:07:31.725 --> 01:07:33.707]  I've gained 20 pounds of muscle.
[01:07:34.147 --> 01:07:36.150]  I'm stronger than I was when I was 22.
[01:07:36.851 --> 01:07:38.673]  When I could bench press close to 400 pounds and squat 600.
[01:07:38.713 --> 01:07:39.514]  It's actually scary.
[01:07:41.816 --> 01:07:51.903]  And it's because I take products that our researchers developed that block the estrogen mimickers that basically feminize men.
[01:07:52.904 --> 01:08:05.733]  We've produced these products with top scientists and researchers like Dr. Group to help you counteract the globalist onslaught and at the same time support Infowars in our fight to promote human liberty and freedom.
[01:08:09.867 --> 01:08:11.308]  It's Monday, October 17, 2016.
[01:08:12.328 --> 01:08:18.430]  We are now 21 days out from the election.
[01:08:18.450 --> 01:08:23.492]  You're listening to the Alex Jones Show, broadcasting worldwide from Austin, Texas.
[01:08:30.295 --> 01:08:35.697]  Alright, Gary Byrne, former Secret Service agent, is going to be our guest at the bottom of the hour.
[01:08:35.737 --> 01:08:37.258]  Then I'm going to get into all these clips.
[01:08:38.371 --> 01:08:50.982]  of Donald Trump coming out and basically destroying the mainstream media, calling them on what they're doing, and getting into the fact that there is a conspiracy against the American people by 20 media executives.
[01:08:51.082 --> 01:08:59.450]  Zuckerberg admits it, the head of Google all admits it, Bezos admits it, the Washington Post, that they want to deliver this to Hillary.
[01:09:00.430 --> 01:09:04.174]  And there she is getting all of these endless corporate
[01:09:05.219 --> 01:09:09.242]  Donations at levels we've never before seen, and Trump gets zero.
[01:09:09.643 --> 01:09:12.886]  Then Trump raises $170 million.
[01:09:15.968 --> 01:09:17.630]  Think about that.
[01:09:17.690 --> 01:09:18.390]  $170 million.
[01:09:18.651 --> 01:09:21.973]  And they're supposed to give him half of it for ads.
[01:09:22.914 --> 01:09:27.138]  Zero Republican money for him, because the same establishment we all claim we're against
[01:09:28.868 --> 01:09:32.310]  Wants to keep him out because they've got this country under their control.
[01:09:32.690 --> 01:09:35.812]  Hillary Clinton is out raising Trump 20 to 1 among billionaires.
[01:09:38.654 --> 01:09:43.436]  Oh, but she's the anti-establishment candidate who's against TPP that Trump's been against for a decade.
[01:09:43.676 --> 01:09:45.177]  Turns out she helped write a bunch of it.
[01:09:45.477 --> 01:09:46.158]  In the emails.
[01:09:46.238 --> 01:09:47.839]  And all the new WikiLeaks are coming out.
[01:09:48.979 --> 01:09:49.780]  So here's the good news.
[01:09:50.320 --> 01:09:55.203]  Even if they steal this election, and Trump's still in a lot of battleground states, is ahead, but it is close.
[01:09:57.068 --> 01:10:00.590]  This whole corrupt system of crony capitalism is coming down.
[01:10:01.910 --> 01:10:03.711]  And our republic is being restored.
[01:10:03.731 --> 01:10:06.432]  It took them 25 years to get out of the euro in England.
[01:10:06.452 --> 01:10:07.233]  That's still ongoing.
[01:10:07.893 --> 01:10:10.654]  We're going to get out of this whole global system a lot quicker.
[01:10:12.996 --> 01:10:14.956]  There it is, RNC-TV ad spinning for Trump.
[01:10:15.157 --> 01:10:15.697]  Zero.
[01:10:16.697 --> 01:10:18.318]  And he's raised them record money.
[01:10:19.959 --> 01:10:21.920]  He's brought record numbers into the Republican Party.
[01:10:22.220 --> 01:10:24.301]  Four million more people in the Republican Party than there's ever been.
[01:10:25.657 --> 01:10:28.038]  Let's see, they're all bought and paid for by the same lobbyists.
[01:10:28.098 --> 01:10:28.959]  It's an amazing time.
[01:10:29.139 --> 01:10:34.781]  But the good news is the facade has fallen, the metrics, the online numbers show it.
[01:10:34.821 --> 01:10:41.464]  Even Google admits 2,500 times more interest in WikiLeaks than all of the Trump scandals.
[01:10:42.085 --> 01:10:50.849]  I noticed we covered that and broke that last week and Fox and friends on Saturday morning had it up there with Juan Williams attacking Trump.
[01:10:52.153 --> 01:10:52.854]  Simply amazing.
[01:10:52.874 --> 01:10:55.616]  Gary Byrne, Crisis of Character, Book.com.
[01:10:56.017 --> 01:11:02.263]  He's a veteran Secret Service officer in the Clinton White House, served in federal law enforcement for nearly 30 years in the U.S.
[01:11:02.343 --> 01:11:09.810]  Air Force, Security Police, and Uniformed Division of the Secret Service, and most recently as a federal air marshal.
[01:11:09.830 --> 01:11:14.774]  While serving as a Secret Service officer, Gary protected President Bill Clinton and First Lady
[01:11:15.757 --> 01:11:23.424]  The first family in the White House, and his book is Crisis of Character, and it ties in with other Secret Service agents that have gone public.
[01:11:23.865 --> 01:11:29.950]  Bongino's not gone public, but they've broken his house and threatened his family and his car, and he calls me up and says,
[01:11:31.007 --> 01:11:35.188]  I know you're not saying I'm your source of this stuff, but God, can I come on and tell people I'm not just so they stop?
[01:11:35.828 --> 01:11:40.490]  No, we had Secret Service on the ground telling us she's fallen down, she's got a special ambulance vehicle, it's got lift gates.
[01:11:40.910 --> 01:11:43.151]  We're not telling you anything secret, just watch what's going on.
[01:11:43.171 --> 01:11:44.011]  We said, well, what does she have?
[01:11:44.231 --> 01:11:45.611]  We're not going to tell you, just start watching.
[01:11:45.872 --> 01:11:47.012]  She's falling down all the time.
[01:11:47.927 --> 01:11:59.390]  That's why they get her on medication, she disappears for a week, she can come back out for a few hours, but they're rolling the dice having her up here Wednesday, and that's why they're saying that Axelrod wants her to drop out now.
[01:11:59.410 --> 01:12:01.010]  Because he destroyed her last time.
[01:12:01.070 --> 01:12:02.531]  So, so much is happening.
[01:12:02.551 --> 01:12:05.371]  But just, Gary, we've gone over your story, people should read the book to get it.
[01:12:05.731 --> 01:12:09.953]  White House Secret Service officer discloses his firsthand experience with Hillary Bill and how they operate.
[01:12:09.973 --> 01:12:13.313]  But Mangino just said this, of course he was the head of their fire in detail, very senior.
[01:12:13.753 --> 01:12:15.354]  He said it's quote, worse than you know.
[01:12:16.548 --> 01:12:17.909]  And we know they stole the plates.
[01:12:17.949 --> 01:12:20.330]  We know they stole George Washington's, you know, silverware.
[01:12:20.910 --> 01:12:23.091]  We know that they've done all these... It's all in the WikiLeaks now.
[01:12:23.171 --> 01:12:26.772]  I mean, now that more and more of the WikiLeaks have come out, you've never really given up the secrets.
[01:12:26.792 --> 01:12:28.733]  You've just talked about what type of person she was.
[01:12:29.053 --> 01:12:29.954]  But now it's admitted.
[01:12:30.034 --> 01:12:31.374]  Throwing fits constantly.
[01:12:31.935 --> 01:12:33.075]  Treating people horribly.
[01:12:33.935 --> 01:12:35.216]  Being very unstable.
[01:12:35.596 --> 01:12:38.877]  Like General Flynn has said that she's known to be very unstable.
[01:12:39.078 --> 01:12:42.339]  For you as an insider, and by insider somebody that's, you know, been a fly on the wall,
[01:12:43.305 --> 01:12:44.486]  First of all, thank you Alex.
[01:12:44.526 --> 01:12:45.386]  It's great to be with you again.
[01:12:45.546 --> 01:12:46.006]  Thank you, sir.
[01:12:55.916 --> 01:12:58.319]  And from my perspective, it was almost comical.
[01:12:58.539 --> 01:13:04.126]  And what I mean by that is, I mean, it was demoralizing to the people that she would berate.
[01:13:04.527 --> 01:13:11.796]  But like, for instance, we talked about before when she berated me, it didn't really bother me because, you know, consider the source, Alex.
[01:13:12.076 --> 01:13:13.218]  I didn't take her seriously.
[01:13:13.859 --> 01:13:14.379]  Watching her
[01:13:15.380 --> 01:13:21.183]  With her dictator-type attitude and walking around the West Wing and the White House berating people, who could take her seriously?
[01:13:21.303 --> 01:13:21.904]  It was a joke.
[01:13:22.044 --> 01:13:32.069]  And the idea that she has the gravitas to be President of the United States, clearly, in my opinion, what I witnessed in those eight years that I protected her, she wasn't a very good First Lady.
[01:13:32.449 --> 01:13:35.171]  She was a complete failure as Secretary of State.
[01:13:35.511 --> 01:13:38.373]  And as far as her eight years in the Senate, what did she do there?
[01:13:40.934 --> 01:13:46.297]  The Hillary Clinton that I know, that I wrote about in my book, Crisis of Character, is completely incompetent.
[01:13:46.578 --> 01:13:51.441]  And you know, the truth is, if people pay attention, they've also heard that from the director of the FBI.
[01:13:51.881 --> 01:13:58.865]  He either told us she was completely incompetent, or she was just too stupid to understand the security measures that were supposed to be in place.
[01:13:58.885 --> 01:14:06.030]  Well, it looks like extreme recklessness, because to lie to Congress after she knew it had been hacked, or she knew she'd deleted the emails, she's all been caught in lies now.
[01:14:06.590 --> 01:14:06.810]  Yes.
[01:14:06.850 --> 01:14:08.451]  That's what WikiLeaks said, she should be indicted.
[01:14:08.791 --> 01:14:10.953]  The problem is, I guess Loretta Lynch won't let that happen.
[01:14:11.593 --> 01:14:11.873]  Right.
[01:14:12.634 --> 01:14:13.935]  I see the same thing you do.
[01:14:14.435 --> 01:14:20.539]  And the other thing too is, and I know your listeners are smart, and I know you are too, but I just want to repeat again.
[01:14:21.119 --> 01:14:31.406]  Everything that you hear come out of their mouths, especially her mouth, is, if it's not a lie, well it's a lie first of all, and two, it's something that has to do with polling.
[01:14:31.866 --> 01:14:35.549]  Nobody knows how this woman really feels about anything because everything is poll driven.
[01:14:36.329 --> 01:14:44.971]  I mean we see that with this negative attitude towards law enforcement because polls show them in certain demographics in certain cities that plays well.
[01:14:45.669 --> 01:14:46.530]  That's all it is.
[01:14:46.730 --> 01:15:03.539]  So you're saying from your criminology background, Gary Krip, if I'm wrong, profiling her, Trump operates clearly off what he thinks is right and ignores the polls, that way you actually change society, you lead and get folks that are dumbed down and want to shoot cops in the back of the head to actually wake up and realize that's wrong, that's not how you reform things.
[01:15:03.719 --> 01:15:10.522]  But with her, if the polls show with her demographic, saying cops are the devil is a great thing, she's going to go with it because is she a sociopath?
[01:15:10.743 --> 01:15:11.563]  Is she a psychopath?
[01:15:11.603 --> 01:15:13.044]  I mean, that sounds like the M.O.
[01:15:13.084 --> 01:15:14.805]  of somebody that doesn't have a personality.
[01:15:15.495 --> 01:15:20.404]  Yeah, she definitely... I mean, I'm not a psychologist, as you know, or doctor, but... Yeah, but cops are smart.
[01:15:20.444 --> 01:15:21.947]  You were a cop before you were in the Secret Service.
[01:15:22.007 --> 01:15:24.070]  I mean, the Secret Service is all about psychology.
[01:15:24.090 --> 01:15:26.795]  If you were profiling Hillary, give us a Secret Service profile.
[01:15:27.372 --> 01:15:34.975]  Yeah, my expertise is an observation, and my observing her, there's clearly something wrong with her.
[01:15:34.995 --> 01:15:37.436]  You just do not act like she does towards people.
[01:15:37.956 --> 01:15:43.579]  I mean, I've told you the stories about her telling a uniformed division officer, after he said good morning to her, to go F himself.
[01:15:44.079 --> 01:15:51.982]  And I've also told you the story about, which is in my book, Crisis of Character, where she gets so angry, she hits a Secret Service agent in the back of the head with a Bible.
[01:15:52.362 --> 01:15:55.424]  Alex, you can't explain that in a way other than just bone crazy.
[01:15:56.212 --> 01:16:00.675]  I mean, and she thought she could get away with it because, Al, she's gotten away with it her whole life.
[01:16:00.895 --> 01:16:05.258]  Well, I had Bill Clinton's long-term girlfriend on record, Dolly Kyle, in here.
[01:16:05.299 --> 01:16:07.440]  They were on record going to school together, on record dating.
[01:16:07.480 --> 01:16:12.984]  I mean, they've been on TV together back when he was running for office, even before Hillary was around.
[01:16:13.604 --> 01:16:21.030]  And she said that Hillary flips out around cops and authority and literally sees the military as the enemy.
[01:16:21.130 --> 01:16:23.812]  And that's what she saw back when Hillary was young.
[01:16:24.292 --> 01:16:25.634]  Yeah.
[01:16:25.954 --> 01:16:27.475]  And that's exactly what I saw.
[01:16:29.237 --> 01:16:32.681]  And that goes exactly to one of the reasons I wrote my book.
[01:16:33.402 --> 01:16:38.927]  And the message I'm trying to get at, Alex, is that the Hillary Clinton and the Bill Clinton that we heard about in the early 90s,
[01:16:39.768 --> 01:16:57.083]  Of all the crazy stuff in Arkansas, and you know it as well as I do, and in some cases even better, all the stories about the women and their relationship with each other and the state police's statements of how they fought so badly and how crazy it was, and the Clinton machine tried to pass it off as, oh, that's just Arkansas Republican politics.
[01:16:57.523 --> 01:17:03.488]  They brought that same show to Washington, D.C., and I stood there with many other people and watched it firsthand.
[01:17:03.748 --> 01:17:04.809]  That is the real Clintons.
[01:17:05.069 --> 01:17:06.731]  That's the real Hillary Clinton.
[01:17:07.301 --> 01:17:12.990]  Now, I know you've got to be careful because you swear an oath, but you also, you're covering the Constitution, but the Secret Service is not supposed to talk about inside baseball.
[01:17:13.311 --> 01:17:14.573]  You've told as much as you can in the book.
[01:17:14.813 --> 01:17:15.654]  It's a page-turner.
[01:17:15.995 --> 01:17:19.220]  It's important for every Democrat to read and really think about what they're doing.
[01:17:20.754 --> 01:17:22.235]  Other tidbits you've never revealed.
[01:17:22.255 --> 01:17:30.980]  I know it's all been vetted so you can legally and lawfully do this, but I mean to have somebody like Bongino, who's a tough guy, former New York cop, head of the detail, house getting broken into, cars, threats, you name it.
[01:17:31.220 --> 01:17:34.682]  You know, getting to him for even speaking out against him, not telling any secrets.
[01:17:35.002 --> 01:17:36.283]  You've told a lot more secrets than that.
[01:17:37.344 --> 01:17:39.565]  What is it about her that makes people be so concerned?
[01:17:41.146 --> 01:17:45.629]  Well, it's the fact that anybody that's been around her, like myself, like Dan,
[01:17:46.811 --> 01:17:52.136]  Anybody in the Secret Service or staff, the people that are really terrified of her are people that work for her.
[01:17:53.297 --> 01:17:56.179]  Because they know the real Hillary Clinton, the one that I described to you.
[01:17:56.539 --> 01:17:59.582]  Not this fictitious thing you see on the mainstream media.
[01:18:00.182 --> 01:18:02.064]  The real Hillary Clinton is cold, distant.
[01:18:02.784 --> 01:18:03.905]  She's a dictator.
[01:18:03.965 --> 01:18:13.453]  She literally wants to follow no rules, but she wants to invoke all these large government policies that have nothing but pages and pages of rules and regulations for the rest of us.
[01:18:15.393 --> 01:18:21.194]  The reason I think people that... I mean, basically I kind of get the impression you're trying to ask me if I'm afraid of her.
[01:18:21.274 --> 01:18:21.834]  No, I'm not.
[01:18:22.914 --> 01:18:28.515]  And I know... I know... I mean, I can't speak for Dan, but... No, I don't think you're afraid of her, and I mean, neither is he.
[01:18:28.576 --> 01:18:33.456]  It's just that... What I'm saying is you've gone further than anybody else, is what I'm getting at.
[01:18:33.476 --> 01:18:34.417]  Why are other people afraid of her?
[01:18:35.117 --> 01:18:41.278]  So, they're afraid of her because they've seen firsthand, either they've seen it or the rumors
[01:18:42.500 --> 01:18:42.920]  We're good to go.
[01:19:01.024 --> 01:19:01.304]  Right.
[01:19:01.545 --> 01:19:03.166]  Now, I don't know exactly what happened.
[01:19:03.346 --> 01:19:05.448]  But I will tell you this, that's what scares people.
[01:19:06.069 --> 01:19:08.732]  Now, if that's just coincidental, that certainly helps them.
[01:19:08.972 --> 01:19:11.634]  And if it's not, again, I hope it's being investigated.
[01:19:11.935 --> 01:19:15.398]  But those are the kind of things, those stories Alex, that have been around forever about them.
[01:19:15.898 --> 01:19:17.880]  And it's not that I ignore them, but you know...
