[00:00:00.149 --> 00:00:00.969]  What is a globalist?
[00:40:04.298 --> 00:40:05.359]  And why is this so important?
[00:40:05.859 --> 00:40:11.302]  Because everything Biden's doing is about a false flag here in the next 294 days ahead of the midterms.
[00:40:11.802 --> 00:40:12.662]  The whole thing's set.
[00:40:12.782 --> 00:40:13.503]  They're preparing it.
[00:40:13.683 --> 00:40:16.504]  So I agree with General Keene that governments do prepare false flags.
[00:40:16.524 --> 00:40:17.305]  You see the signs.
[00:40:17.525 --> 00:40:18.405]  You see the propaganda.
[00:40:18.425 --> 00:40:22.567]  You see the preparation that Putin's getting for his people to go to war.
[00:40:23.388 --> 00:40:24.708]  Now, will he stage a false flag?
[00:40:24.748 --> 00:40:25.509]  I don't think he needs that.
[00:40:25.549 --> 00:40:28.130]  The Russians are sick of this and know it's their country, basically.
[00:40:28.630 --> 00:40:29.271]  Their birthplace.
[00:40:30.691 --> 00:40:31.432]  Not just their country.
[00:40:31.492 --> 00:40:31.732]  Their ethos.
[00:40:31.752 --> 00:40:31.892]  Their...
[00:40:35.842 --> 00:40:36.523]  Origin story.
[00:40:37.685 --> 00:40:39.467]  You know, Superman came from Krypton.
[00:40:40.308 --> 00:40:42.511]  Americans came from New York and Virginia.
[00:40:42.951 --> 00:40:44.413]  The Russians came from Ukraine.
[00:40:46.496 --> 00:40:47.938]  That's their nest.
[00:40:48.799 --> 00:40:49.840]  It's the house they were born in.
[00:40:50.081 --> 00:40:53.845]  And they're being told it's not theirs, that it belongs to Joe Biden's son?
[00:40:55.512 --> 00:40:56.413]  And so, here we are.
[00:40:56.433 --> 00:41:02.259]  But the fact that Keene has to admit that the groundwork's being laid, and you can see the pre-signs of a false flag, well, that's how it works.
[00:41:02.279 --> 00:41:04.081]  That's how I knew before 9-11 they were about to do it.
[00:41:04.262 --> 00:41:06.804]  That's how I know all this, because you see the pre-programming first.
[00:41:07.605 --> 00:41:10.008]  And yeah, they're telling you now that we're already at war with Russia.
[00:41:10.288 --> 00:41:14.373]  And within the middle of this month, the middle of next month, it's going to start, and Putin's going in.
[00:41:14.853 --> 00:41:16.236]  Because they know they're not going to stop.
[00:41:16.256 --> 00:41:17.297]  They're expanding NATO.
[00:41:17.598 --> 00:41:19.481]  They're expanding color revolutions all over the place.
[00:41:19.862 --> 00:41:21.985]  They've got operatives all over the former Soviet Union.
[00:41:22.246 --> 00:41:25.912]  And you're going to see an attempted overthrow of the Russian government very, very soon.
[00:41:26.112 --> 00:41:28.577]  And the Russians put their nuclear subs on alert?
[00:41:30.222 --> 00:41:33.283]  They announced the world three weeks ago, they launched them, and they've got them all around the U.S.
[00:41:33.323 --> 00:41:33.763]  coastlines.
[00:41:33.783 --> 00:41:35.043]  We're like, well, we've got more than them!
[00:41:35.123 --> 00:41:36.344]  We'll kill them better!
[00:41:36.724 --> 00:41:37.424]  Yeah, great!
[00:41:37.844 --> 00:41:41.405]  They've only got 20,000 warheads, and we've got 50,000 warheads!
[00:41:41.665 --> 00:41:42.325]  This is wonderful!
[00:41:42.365 --> 00:41:43.365]  Let's kill everybody!
[00:41:43.966 --> 00:41:47.687]  And then, the best part about a nuclear war is the nuclear power plants are going to go down, even if they're not hit.
[00:41:48.167 --> 00:41:52.688]  And then, when they go down, they melt down, and they're thousands of times worse than a hydrogen bomb.
[00:41:52.848 --> 00:41:55.268]  Because a hydrogen bomb dissipates almost all its radiation.
[00:41:55.929 --> 00:41:57.029]  Nuclear reactors don't.
[00:41:58.729 --> 00:41:59.649]  Let's use a gross analogy.
[00:42:00.509 --> 00:42:08.052]  A hydrogen bomb blows up and burns up your city, has a little bit of fallout, but it's the equivalent of passing gas with radiation.
[00:42:09.832 --> 00:42:18.654]  A major reactor melting down and blowing up is the equivalent of a major city sewage treatment plant blowing up.
[00:42:19.355 --> 00:42:20.815]  That's how much more crap there is, okay?
[00:42:21.475 --> 00:42:27.757]  And this is untenable, unlivable, suicide, insane asylum, crazy town, but that's where we are!
[00:42:28.939 --> 00:42:41.088]  Because there is a demonic, evil force that wants to destroy life on planet, and wants us to decapitate our children's genitals, wants us to turn our little boys into girls, wants us to do all this, and Russia and China are saying no!
[00:42:41.348 --> 00:42:42.649]  And they've got their own problems!
[00:42:43.710 --> 00:42:47.112]  But they are not flowing the satanic energy quite like our leaders.
[00:42:47.893 --> 00:42:50.235]  I'll start the next hour with what General Keane had to say, but...
[00:42:51.516 --> 00:42:53.377]  Let's just play the first minute now, because this is amazing.
[00:42:53.417 --> 00:42:53.777]  Here it is.
[00:42:55.298 --> 00:43:15.731]  I'm particularly interested, and I guess disturbed, to get your take on it, this talk about a false flag operation, that suddenly the White House is saying mid-January to mid-February, and oil markets around the world are now seizing up, so you're up about 10 or 12 bucks just in the last few days.
[00:43:16.491 --> 00:43:17.812]  What do you make of it, General Keene?
[00:43:20.109 --> 00:43:22.009]  Well, I believe it, to be sure.
[00:43:22.610 --> 00:43:22.910]  Do you?
[00:43:23.670 --> 00:43:28.171]  The administration is releasing classified information that they have, and I think they're doing absolutely the right thing here.
[00:43:28.191 --> 00:43:30.351]  All right, like I said, we're going to come back in the next hour with all this.
[00:43:30.391 --> 00:43:32.792]  So see how everything I told you about all these years is now out in the open.
[00:43:32.832 --> 00:43:33.932]  And it's not about I'm right.
[00:43:34.272 --> 00:43:39.593]  I focus on the actual leaders and what they're doing, not on, oh, CNN, ABC News, and all the crap they feed you.
[00:43:40.613 --> 00:43:44.574]  But now we've gotten to the point where it's finally the endgame, World War IV, all of it.
[00:43:45.074 --> 00:43:47.535]  And it's just insane, because the bad guys are running our country.
[00:43:48.661 --> 00:44:03.074]  I am recording this announcement on the afternoon of January 6, 2022, and that means there are only seven days left of us being able to offer our best-selling product, Vitamin Mineral Fusion, at 50% off.
[00:44:03.474 --> 00:44:06.637]  It has all the vitamins, all the minerals, incredible amino acids.
[00:44:07.337 --> 00:44:12.622]  It is a game changer for your immune system and every other function in your body, and it's a must-have.
[00:44:13.123 --> 00:44:16.925]   That's why, despite the facts, That is selling out at current sales rates.
[00:44:17.446 --> 00:44:21.669]  We're going to keep it on sale for another seven days.
[00:44:22.069 --> 00:44:25.151]  So we're running this until next Thursday.
[00:44:25.311 --> 00:44:27.292]  And your purchase supports the broadcast.
[00:44:27.312 --> 00:44:29.874]  I want to thank you all for shopping with InfoWars.
[00:44:30.274 --> 00:44:35.278]  Without you, we would not have been on air and the world would be a much worse position right now that it's in.
[00:44:35.798 --> 00:44:42.863]  Thanks to you supporting InfoWars, we have now become the number one beacon of truth, exposing the Great Reset and the New World Order.
[00:44:43.203 --> 00:44:48.207]  So, support your immune system and support free speech and the fight for liberty at the same time at InfoWarsTore.com.
[00:44:48.627 --> 00:44:49.948]  Others wouldn't stand for that.
[00:44:52.009 --> 00:44:54.491]  The cross was the solution.
[00:44:56.312 --> 00:44:57.533]  And he rose again.
[00:44:58.994 --> 00:45:00.575]  Wise men follow him.
[00:45:00.595 --> 00:45:05.598]  Wise men.
[00:45:08.906 --> 00:45:10.547]  All across the world, from the U.S.
[00:45:10.567 --> 00:45:19.289]  to Canada, from Australia to Germany, people are being arrested in stores because they're not wearing masks or they're caught not having their vaccine passport.
[00:45:20.589 --> 00:45:21.830]  The tyranny is here.
[00:45:23.110 --> 00:45:24.951]  And it's only going to get worse until we say no.
[00:45:25.691 --> 00:45:26.831]  First, here's a key report.
[00:45:26.671 --> 00:45:28.911]  we are witnessing the end of America question mark.
[00:45:28.911 --> 00:45:40.991]   America has been captured by very evil multinational corporate crime syndicate
[00:45:40.991 --> 00:45:44.831]   run out of the Bilderberg group and its public arm the DeVos group.
[00:45:45.095 --> 00:45:51.703]  They are not intending to allow the population of the planet to continue on as it is, to say the least.
[00:45:52.364 --> 00:46:00.446]  And depopulation is what's been carried out through covert means through the so-called vaccine program, and that's now coming out and mounting.
[00:46:00.786 --> 00:46:10.348]  And then you ask the logical question, how did the technocracy engage in this mass murder that's now unfolding with these slow-kill, soft-kill weapons?
[00:46:10.928 --> 00:46:12.169]  How will they get away with that?
[00:46:12.229 --> 00:46:14.969]  And the answer is further destabilization.
[00:46:15.029 --> 00:46:21.111]  So horrible that you forget the last major insult to the human ecosystem.
[00:46:21.651 --> 00:46:24.553]  So we are being treated as a disease, as a cancer to be cut out.
[00:46:25.013 --> 00:46:36.921]  And the big lie is people working for the system believe that they are positioning themselves with the winning team and that they are going to be taken care of because they are going to execute this operation.
[00:46:37.161 --> 00:46:58.170]   When you read deeper into leaked documents out of the Davos Group and Bilderberg Group that we and others got at great danger to ourselves, You will then discover that they plan to implode all the Western governments and then even have show trials of the bureaucracies that are going to engage in the initiation of the civil war that has already begun and not just here but other parts of the world.
[00:46:58.371 --> 00:47:13.736]   So all the ministers in Australia and ministers in the Netherlands and the UK and the US that are doing all of this Really believe their position, because they went to the Davos Group School, they went to the Bilderberg School, they have a school, and that they're on the winning team.
[00:47:13.776 --> 00:47:18.638]  But if you actually read some of the deeper stuff that they're not giving, no, they're gonna all be wiped out as well.
[00:47:19.038 --> 00:47:28.782]  And I have a sense of being able to look myself in the mirror, and a sense of that I'm starting to measure up to my ancestors that were pretty amazing people, and that I didn't join these scum.
[00:47:29.682 --> 00:47:32.883]  But that means I will be set up and put in prison or killed very soon.
[00:47:33.283 --> 00:47:35.984]  And let's just get down to being honest about this with you, okay?
[00:47:36.324 --> 00:47:37.265]  I'll tell you this, be dramatic.
[00:47:37.285 --> 00:47:39.765]  We're at the end of the road here, okay?
[00:47:39.825 --> 00:47:41.026]  It's 298 days out from the election.
[00:47:41.046 --> 00:47:42.826]  They're never going to let us have a free or fair one again.
[00:47:43.407 --> 00:47:44.747]  And they're going to devalue the dollar.
[00:47:44.767 --> 00:47:45.807]  They're going to gut the country.
[00:47:46.067 --> 00:47:49.869]  And you just need to get right with God and realize we're being judged for abortion.
[00:47:50.529 --> 00:47:56.611]  I also want to say that I am not offensively, as I've told you, going to be involved in any type of military operations.
[00:47:57.418 --> 00:48:00.020]  You're going to obviously hear that when they stage terror attacks.
[00:48:00.040 --> 00:48:11.027]  They're already blaming myself and Rush Limbaugh posthumously, in his case, for the January 6th fiasco and the provocateur false flag extravaganza.
[00:48:11.127 --> 00:48:14.369]  We're supposed to be horrified by the protesters.
[00:48:16.290 --> 00:48:38.179]   Meanwhile, four years of a coup launched in the Oval Office of Barack Obama To overturn the election results of 2016 and not a single word of concern about the potential damage to our Constitution.
[00:48:38.720 --> 00:48:42.242]  There's a reason 75 million people voted for Trump.
[00:48:42.262 --> 00:48:53.471]  There's a reason that when he made that trip down the escalator on June 5th of 2015, there was a reason that he had majority support in the Republican Party.
[00:48:54.315 --> 00:48:59.356]  And that is the people that voted for Trump know exactly what the left has been doing to our country.
[00:48:59.376 --> 00:49:00.337]  It's nothing to do with race.
[00:49:00.357 --> 00:49:02.637]  It has nothing to do with white supremacy.
[00:49:02.677 --> 00:49:04.558]  Nothing to do with white this or that.
[00:49:05.678 --> 00:49:09.499]  It has to do with the left destroying Western civilization.
[00:49:09.919 --> 00:49:15.401]  And so I just, I have to really just get down to brass tacks with you and say this is the end of the line.
[00:49:15.741 --> 00:49:16.021]  Okay?
[00:49:16.641 --> 00:49:25.850]   So a lot of people seem to think that if you storm the US Capitol and act like an idiot, That you're going to defeat the New World Order.
[00:49:26.874 --> 00:49:27.495]  Not a lot of people.
[00:49:27.515 --> 00:49:29.036]  We had a million people there in DC.
[00:49:30.197 --> 00:49:34.400]  And when Trump said go to the Capitol, there was already 100 plus thousand marching there.
[00:49:34.420 --> 00:49:35.901]  About 200 plus thousand got there.
[00:49:36.602 --> 00:49:38.644]  And out of that, a few hundred attacked police.
[00:49:38.684 --> 00:49:40.285]  The police basically were ordered to stand down.
[00:49:40.305 --> 00:49:45.489]  A thousand plus armed FBI watched, we now know, from the buildings around it.
[00:49:45.709 --> 00:49:46.870]  Let the attack take place.
[00:49:46.970 --> 00:49:47.771]  Let people break in.
[00:49:47.791 --> 00:49:54.537]  And then had the police wave in the crowd, knowing the crowd didn't know that they would then be charged for going in and walking between the velvet ropes.
[00:49:55.137 --> 00:49:57.219]  True criminal activity.
[00:49:57.279 --> 00:50:01.564]  A true false flag against America by opening the door.
[00:50:03.186 --> 00:50:07.590]  By putting your baby, say, in a pit of alligators.
[00:50:08.091 --> 00:50:09.592]  You didn't eat the baby.
[00:50:09.732 --> 00:50:11.254]  You didn't physically kill the baby.
[00:50:11.634 --> 00:50:16.760]  But you knew the alligators were going to get hungry when that baby was crying and make a noise and come over and eat it.
[00:50:17.987 --> 00:50:21.288]  And that's what they did, bare minimum, was stand down on 9-11.
[00:50:22.248 --> 00:50:27.349]  And stand down with cities burned across this country in the summer of 2000.
[00:50:27.969 --> 00:50:30.650]  And stand down when the fentanyl was getting shipped in.
[00:50:31.830 --> 00:50:41.993]  And follow their illegal orders, stand down when over a thousand armed FBI, including 300 plus HRT, highly trained commandos, the very best of our military, gets into that program.
[00:50:43.178 --> 00:50:49.080]  And they just stood there while a couple hundred thugs, mainly Antifa and others, broke through and went in.
[00:50:50.901 --> 00:50:52.361]  Now, why am I making such a big deal about that?
[00:50:52.741 --> 00:50:53.802]  I'll cover it next segment.
[00:50:53.822 --> 00:51:03.765]  But Biden has officially had his minions say that it is the fault of his constituents that the tyranny isn't working properly.
[00:51:04.946 --> 00:51:07.447]  That's what you really see from the most corrupt regimes.
[00:51:07.487 --> 00:51:08.267]  That clip's coming up.
[00:51:10.162 --> 00:51:22.025]  But I have this whole stack of new news here, where they're declaring the American people terrorists and saying they got to round up all the conservatives, while there's headlines about round up the unvaccinated and put them in camps and take their children away.
[00:51:22.806 --> 00:51:38.050]  The majority of Democrats in a Rasmussen poll want to put, 48%, and because if you add the 15% of Republicans, it's a large portion of people, want to put the uninjected in camps.
[00:51:41.482 --> 00:51:43.824]  See, it's not camps coming, it's camps that are here.
[00:51:44.105 --> 00:51:45.546]  And what's the backdrop of the camps?
[00:51:46.287 --> 00:52:02.404]  The global financial crisis, global hyperinflation beginning, stagflation, signs everywhere, a depression in the economy while at the same time there's not enough goods and services, and massive price increases.
[00:52:03.931 --> 00:52:11.034]  China threatening to take Hong Kong and Taiwan, already moving into the Philippines, moving into Vietnam, grabbing islands in Vietnam, grabbing islands in the Philippines.
[00:52:11.114 --> 00:52:12.054]  War's already begun.
[00:52:14.055 --> 00:52:19.276]  And of all the factions, we have the worst people running our country, because they hate us more than the Chinese or the Russians!
[00:52:22.538 --> 00:52:35.433]   And you have the backdrop then of General Keene, four-star General, top Fox military analyst, telling the truth that False flags are a real thing, they really happen, and you see the signs of them, and that most major wars start with a false flag.
[00:52:35.653 --> 00:52:40.677]  World War I started with one, with the Crown Prince of the Austrian-Hungarian Empire being killed.
[00:52:42.859 --> 00:52:44.760]  World War II started with false flags, look it up.
[00:52:46.021 --> 00:52:47.602]  Operation Glywods, Operation Hemler.
[00:52:48.103 --> 00:52:50.665]  These are real things I'm saying, I don't just mutter stuff here.
[00:52:51.665 --> 00:52:54.728]  And it's all lining up the same way again.
[00:52:55.632 --> 00:53:03.297]  But then there's the globalist corporations posing as the good guys above running the biomedical attack on everybody while they get ready to distract us with this attack.
[00:53:04.858 --> 00:53:05.938]  So Saki came out.
[00:53:05.958 --> 00:53:07.179]  In fact, let's play the Saki clip.
[00:53:07.199 --> 00:53:09.500]  I never got to this today, but I want to play it.
[00:53:10.421 --> 00:53:11.642]  Let's play the Saki clip first.
[00:53:11.662 --> 00:53:12.982]  We'll play the General King clip next.
[00:53:13.423 --> 00:53:20.987]  But she says, we have information that indicates Russia has already pre-positioned a group of operatives to conduct a false flag operation in eastern Ukraine.
[00:53:21.888 --> 00:53:35.820]   Now, I don't believe a word comes out of her mouth, but If you think the Russians won't stage a false flag to get their people fully behind a war, if they think they're about to go into World War 4, and they've got their nuke subs ready to, yeah, I think Putin probably would kill a couple of his troops.
[00:53:36.540 --> 00:53:39.741]  I think even the troops in the main military will probably know what happened.
[00:53:39.881 --> 00:53:40.981]  It's called a sacrifice.
[00:53:41.581 --> 00:53:54.094]   And if you're going to kill people in a pawn sacrifice like this, That's classic, going back thousands of years, where they would piss their troops off by sending a small contingent out as a probe, knowing they'd be wiped out, just to watch their troops get killed.
[00:53:54.335 --> 00:53:55.676]  They would piss their armies off.
[00:53:56.257 --> 00:53:57.078]  That's how men used to be.
[00:53:58.024 --> 00:54:00.145]  Nowadays, men saw their men getting killed, they'd piss themselves.
[00:54:00.445 --> 00:54:04.108]  In the old days, all over the world, you saw your buddies getting killed, you got into a rage.
[00:54:04.408 --> 00:54:05.929]  So this is how war is done, folks.
[00:54:05.969 --> 00:54:07.069]  Let's just grow up and admit it.
[00:54:07.710 --> 00:54:14.614]  But the fact that Shabbat Russia probably is getting ready to stage something, but regardless, it's the globalists that move their forces in first.
[00:54:15.374 --> 00:54:19.817]  And when Russian troops get attacked, regardless, they're going to say it wasn't an attack.
[00:54:20.137 --> 00:54:30.910]   So it could be a false flag, it could be a false flag, but how big is it that they're admitting false flags in the tool shed Let's say you got a big tractor and a little tractor and a small tiller.
[00:54:31.210 --> 00:54:32.851]  They're getting the big tractor out.
[00:54:36.574 --> 00:54:37.655]  This is for big war.
[00:54:38.815 --> 00:54:40.517]  This isn't getting the little hand tiller out.
[00:54:42.218 --> 00:54:43.739]  This isn't getting the little paring knife out.
[00:54:43.779 --> 00:54:45.320]  They're getting the big butcher knife out.
[00:54:47.141 --> 00:54:50.323]  All because of the chutzpah and bravado of the globalists.
[00:54:50.343 --> 00:54:51.564]  They just can't stop pushing.
[00:54:51.744 --> 00:54:52.645]  They can't stop grabbing.
[00:54:52.765 --> 00:54:54.126]  Because they gotta have their world government.
[00:54:54.266 --> 00:54:55.547]  They gotta have their depopulation.
[00:54:56.462 --> 00:55:00.183]  They can't have Russians taking a different vaccine than us and we all die and the Russians live.
[00:55:00.384 --> 00:55:02.024]  This is a plan to kill almost everybody.
[00:55:02.184 --> 00:55:03.485]  This is a new world order!
[00:55:04.645 --> 00:55:08.367]  Gotta make room for Psaki and Obama and Lord Rothschild.
[00:55:08.427 --> 00:55:09.367]  They're the anointed ones.
[00:55:09.407 --> 00:55:11.288]  They're in the sick freak club with Macron.
[00:55:12.968 --> 00:55:15.449]  Gotta make room for the CIA director who's running all this.
[00:55:16.490 --> 00:55:16.850]  Here it is.
[00:55:18.456 --> 00:55:25.178]  We have information that indicates Russia has already pre-positioned a group of operatives to conduct a false flag operation in eastern Ukraine.
[00:55:25.518 --> 00:55:32.840]  The operatives are trained in urban warfare and in using explosives to carry out acts of sabotage against Russia's own proxy forces.
[00:55:33.260 --> 00:55:43.944]  Our information also indicates that Russian influence actors are already starting to fabricate Ukrainian provocations in state and social media to justify a Russian intervention and sow divisions in Ukraine.
[00:55:45.024 --> 00:56:05.453]  I'm particularly interested, and I guess disturbed, to get your take on it, this talk about a false flag operation, that suddenly the White House is saying mid-January to mid-February, and oil markets around the world are now seizing up, so you're up about 10 or 12 bucks just in the last few days.
[00:56:06.213 --> 00:56:07.554]  What do you make of it, General Keene?
[00:56:09.835 --> 00:56:11.736]  Well, I believe it, to be sure.
[00:56:12.316 --> 00:56:12.556]  Do you?
[00:56:13.388 --> 00:56:18.374]  The administration is releasing classified information that they have and I think they're doing absolutely the right thing here.
[00:56:18.855 --> 00:56:20.777]  Because we've seen this pattern before.
[00:56:21.378 --> 00:56:28.727]  This is the phase of the operation where Putin attempts to justify why he's going in with military forces.
[00:56:29.547 --> 00:56:32.548]  And certainly he's going to create unrest.
[00:56:33.068 --> 00:56:34.089]  Back down to ten seconds.
[00:56:34.349 --> 00:56:38.670]  This is the phase of the operation where they're going to create the false flag.
[00:56:39.210 --> 00:56:44.412]  Just like Biden's announcing imminent white supremacist attacks and it's all Alex Jones' fault.
[00:56:44.992 --> 00:56:47.813]  In hundreds of papers, Jones is going to cause a bloody revolution.
[00:56:48.093 --> 00:56:48.933]  It's all his fault.
[00:56:49.233 --> 00:56:52.274]  So when they blow stuff up or let some lunatic do something, I get the blame.
[00:56:52.955 --> 00:56:54.315]  And who is Alex Jones a symbol of?
[00:56:54.575 --> 00:56:55.275]  The American people.
[00:56:56.256 --> 00:56:57.036]  I'm the deplorable.
[00:56:57.768 --> 00:56:59.489]  I'm not trying to, like, hey, I'm big!
[00:56:59.569 --> 00:57:00.169]  I'm the target!
[00:57:00.889 --> 00:57:03.070]  I'm telling you, this is all being done for a reason.
[00:57:03.251 --> 00:57:06.372]  They're laying all the predicate, all the foundation, all the things.
[00:57:06.712 --> 00:57:08.193]  And I'm just saying, I'm not playing.
[00:57:08.713 --> 00:57:09.714]  I'm not for any violence.
[00:57:10.054 --> 00:57:10.934]  I'm not for any of this.
[00:57:11.394 --> 00:57:13.615]  I don't want the globalists to stabilize our country and start a war.
[00:57:13.875 --> 00:57:14.796]  I don't want war with Russia.
[00:57:15.116 --> 00:57:16.317]  I just want to have a human future.
[00:57:16.337 --> 00:57:18.097]  I want to love everybody.
[00:57:18.438 --> 00:57:21.439]  I want people to learn how these tricks work so that we stop falling for them.
[00:57:22.159 --> 00:57:23.620]  I am not going to be your puppet.
[00:57:25.074 --> 00:57:29.738]  I'm not like these other people that love being the demon in the news and love being attacked and play along with it.
[00:57:30.319 --> 00:57:34.062]  I don't want to be in this garbage.
[00:57:34.182 --> 00:57:35.022]  I want it to stop.
[00:57:35.383 --> 00:57:37.264]  I don't want to be a fancy person in D.C.
[00:57:37.525 --> 00:57:38.706]  I don't want to be a big politico.
[00:57:38.726 --> 00:57:39.606]  I don't want to be in L.A.
[00:57:39.646 --> 00:57:40.127]  or New York.
[00:57:40.347 --> 00:57:41.528]  I don't want to be around you people.
[00:57:41.948 --> 00:57:43.309]  I want to just have a future.
[00:57:43.830 --> 00:57:44.851]  And that's why I've been fighting you.
[00:57:46.454 --> 00:57:48.695]  You, General Keene, are going to destroy the planet.
[00:57:49.095 --> 00:57:53.078]  You, Kudlow, are going to destroy the planet with all your tough, macho stuff about Russia.
[00:57:53.518 --> 00:58:00.241]  If Russia was in Mexico trying to announce that they were going to take half of Texas, I'd say we've got to have a war.
[00:58:00.622 --> 00:58:02.142]  They're not in there.
[00:58:02.463 --> 00:58:04.744]  It's the globalists conquering our country with foreigners.
[00:58:05.004 --> 00:58:06.445]  It's the globalists breaking our country down.
[00:58:06.665 --> 00:58:08.086]  It's the globalists destroying our dollar.
[00:58:08.286 --> 00:58:10.807]  It's the globalists coming after our children, General Keene.
[00:58:11.127 --> 00:58:12.388]  Let's finish up with a little bit of the clip.
[00:58:13.499 --> 00:58:15.420]  Because we've seen this pattern before.
[00:58:16.021 --> 00:58:23.405]  This is the phase of the operation where Putin attempts to justify why he's going in with military forces.
[00:58:24.206 --> 00:58:34.292]  And certainly he's going to create unrest, greater unrest, in eastern Ukraine to justify the movement of forces as he's beginning.
[00:58:34.292 --> 00:58:36.174]  Okay, so let's go back to what really happened six years ago.
[00:58:36.214 --> 00:58:38.135]  The West went in with Proxy Gribbs and George Soros.
[00:58:38.395 --> 00:58:39.236]  They declassified it.
[00:58:39.276 --> 00:58:44.921]  Soros bragged on Fareed Zarkaria that they put $5 billion of State Department money in to overthrow the government and cause a civil war.
[00:58:45.481 --> 00:58:48.744]  So the West causes a civil war, and six years later, it's the Russians' fault.
[00:58:48.764 --> 00:58:49.604]  We've got to have war with them.
[00:58:50.885 --> 00:58:58.832]  I'm sending out an SOS, my friends, for humanity to come together and realize we're about to repeat history in a very bad way with massive war.
[00:59:00.307 --> 00:59:08.834]  I know for a long time the average American hasn't had to fight in a war or hasn't been part of something where you're burying a lot of your family members really since Vietnam or World War II in large numbers.
[00:59:09.375 --> 00:59:14.479]  There's still been a lot of sacrifice, not trying to make a lot of that, but this is major war stuff.
[00:59:15.480 --> 00:59:22.786]  And when you've got the Fox News general up there, analyst, old cold world, cold war dinosaur.
[00:59:22.806 --> 00:59:25.148]  Couldn't say that for some reason.
[00:59:25.407 --> 00:59:31.407]   a Cold War dinosaur, lusting after a new war and saying that the troops have to go in there
[00:59:31.407 --> 00:59:33.708]  and we're about to have a big conflict with Russia.
[00:59:33.708 --> 00:59:39.367]   This is just the stuff that total and complete destruction is made of.
[00:59:39.367 --> 00:59:46.507]   And when I look at everything else that's happening and I look at the leadership the
[00:59:46.507 --> 00:59:51.367]   globalists have put here in the United States to discredit the United States while they
[00:59:51.367 --> 00:59:54.967]   wage war against Russia, while they wage war against China, while they wage war against
[00:59:54.967 --> 00:59:55.926]  African countries.
[00:59:56.298 --> 00:59:58.739]  The globalists are at war with everyone.
[01:00:00.240 --> 01:00:01.401]  They're the main power group.
[01:00:03.142 --> 01:00:06.745]  They're the corporate allied wolf packs.
[01:00:08.240 --> 01:00:09.821]  They are the new world order infrastructure.
[01:00:10.701 --> 01:00:11.502]  What is a globalist?
[01:00:11.562 --> 01:00:13.203]  My 17 year old daughter asked me.
[01:00:13.603 --> 01:00:38.937]   And the best answer is, a globalist is a member of the global corporate combine that is attempting to establish an authoritarian world government whose The eventual aim of world government is to be able to carry out a transhumanist revolution that results in the death of the vast majority of the world population, and out of that cataclysm, a new super race.
[01:00:40.918 --> 01:00:41.978]  There, there's your definition.
[01:00:41.998 --> 01:00:50.121]  I hope somebody takes that and puts it to print and gets it out there, because that's a very accurate, quick, two-line analysis of what we're dealing with.
[01:00:52.472 --> 01:00:56.136]  What you're told globalism is, is kumbaya and everybody loves each other.
[01:00:56.976 --> 01:00:57.997]  No, that's Christ vision.
[01:01:00.560 --> 01:01:01.240]  That's Christendom.
[01:01:01.421 --> 01:01:04.804]  It's stabilized areas and incredible things, even though it was only partially implemented.
[01:01:05.264 --> 01:01:08.667]  The other system is predatory and destructive.
[01:01:08.968 --> 01:01:14.433]  And if there were only 20 globalists left in a room after we've all been killed, they would then set about killing each other.
[01:01:15.729 --> 01:01:19.710]  There's only room for one conscious entity in their system.
[01:01:20.410 --> 01:01:23.230]  Not their wives, not their children, none of it.
[01:01:23.450 --> 01:01:24.071]  Only them.
[01:01:24.351 --> 01:01:29.091]  Because their religion is about one thing, and that is selfishness.
[01:01:29.912 --> 01:01:30.512]  Or the self.
[01:01:31.552 --> 01:01:32.312]  Being alone.
[01:01:33.292 --> 01:01:35.993]  Everything must be mine, me, me, me, me.
[01:01:38.053 --> 01:01:38.253]  Mine.
[01:01:39.473 --> 01:01:39.673]  Mine.
[01:01:40.594 --> 01:01:42.914]  Like the seagulls in Finding Nemo.
[01:01:43.991 --> 01:01:44.211]  Mine.
[01:01:44.712 --> 01:01:44.912]  Mine.
[01:01:45.312 --> 01:01:49.937]  Except they'll do anything to get what they want and they won't stop.
[01:01:49.957 --> 01:02:05.272]  So you've got to discover their programs, you've got to discover their operations, you've got to become aware of what they're doing, and you've got to decide whether or not you're going to comply, which greases the skids for their operation.
[01:02:09.482 --> 01:02:12.783]  I mean, the globalists call themselves globalists for 60 years.
[01:02:13.664 --> 01:02:18.485]  And then we expose their plans, and the New York Times says it's a Nazi term.
[01:02:18.565 --> 01:02:18.765]  What?
[01:02:19.306 --> 01:02:33.191]  No, the Nazi term is cutting off people's power, saying they're going to de-industrialize, saying they're going to depopulate, saying they're going to force experimental drugs on you, saying they're going to track and trace everywhere you go and what you do, saying they're going to lock people up in camps.
[01:02:34.131 --> 01:02:35.612]  Just now my phone's blowing up today.
[01:02:35.672 --> 01:02:36.532]  We covered it last week.
[01:02:38.507 --> 01:02:39.708]  But just now my phone's blowing up.
[01:02:39.988 --> 01:02:51.217]  Did you see the national Rasmussen in-depth national poll of tens of thousands of people where the majority of Democrats want to take the children away from people that don't take all the shots and put them in camps?
[01:02:53.738 --> 01:02:54.419]  Yeah, I saw that.
[01:02:54.459 --> 01:02:56.661]  We covered it on Friday, on Saturday, on Sunday.
[01:02:57.661 --> 01:02:58.842]  And we've got the poll right here.
