[00:00:00.149 --> 00:00:04.870]  Ted Cruz coming out and saying that the people that attacked the Capitol were terrorists.
[00:43:24.421 --> 00:43:26.281]  Only way we fail is if you don't take action.
[00:43:29.031 --> 00:43:30.751]  You know, folks, we should be upset.
[00:43:30.812 --> 00:43:32.432]  We should be outside our comfort zones.
[00:43:32.472 --> 00:43:34.272]  We should be really freaked out right now.
[00:43:35.353 --> 00:43:47.776]  Because I have a stack of news here where they're just killing people with these poison shots and they're doing all sorts of horrible things to our bodies and they are growing nano-matrixes in us.
[00:43:47.856 --> 00:43:48.916]  That's what they're doing.
[00:43:51.997 --> 00:43:54.478]  They have hit us with a super weapon.
[00:43:55.418 --> 00:43:58.039]  It just does so many things, hits you so many ways.
[00:43:59.221 --> 00:44:01.722]  And we've now cracked the code on exactly what's going on.
[00:44:02.883 --> 00:44:04.804]  But does it even matter if I tell people?
[00:44:05.384 --> 00:44:06.065]  I mean, seriously.
[00:44:09.867 --> 00:44:37.469]   Listen to Kamala Harris, the woman who had less than one half a percentage point support by Democratic voters when she ran for the primary, telling you that they're battling people that are trying to silence their voices, and that the few hundred people that they tricked into fighting with the police And the 500 or so that then got waved into the Capitol, that they're trying to silence people.
[00:44:37.969 --> 00:44:39.550]  No, it's the left burning down cities.
[00:44:39.610 --> 00:44:40.811]  It's the left censoring everybody.
[00:44:41.072 --> 00:44:46.756]  It's big tech and the corporate structure taking away millions of people's bank accounts and PayPal because they're gun owners.
[00:44:47.957 --> 00:44:53.282]  It's NASCAR now saying, well, we may not let somebody have a Let's Go Brandon thing on their car.
[00:44:55.157 --> 00:45:01.699]  Oh, we may not let the world champion tennis player into Australia because, you know, he doesn't have the shot.
[00:45:01.979 --> 00:45:03.539]  This is all oppression.
[00:45:04.420 --> 00:45:06.500]  It's all classical tyranny.
[00:45:08.221 --> 00:45:09.961]  But with a science fiction gravy.
[00:45:12.022 --> 00:45:27.076]   But here's Kamala Harris gaslighting the world, telling you and telling everybody that We're the ones silencing them because we wanted to go and have a 10-day investigation by the Senate, which is in the law.
[00:45:28.816 --> 00:45:30.696]  And to Ted Cruz's credit, he did vote to do that.
[00:45:30.716 --> 00:45:31.897]  He was one of eight senators that did it.
[00:45:33.397 --> 00:45:35.958]  Now he's backpedaling to be able to actually investigate.
[00:45:35.978 --> 00:45:37.478]  But no court ever investigated.
[00:45:37.758 --> 00:45:38.798]  Nobody ever investigated.
[00:45:38.818 --> 00:45:42.959]  They just said, well, Democrats got consent decrees from these seven states.
[00:45:43.379 --> 00:45:46.860]  So they would accept mail-in ballots with no signatures or confirmation.
[00:45:47.340 --> 00:45:48.501]  And so that's just the way it is.
[00:45:48.541 --> 00:45:50.261]  We're just letting it through and certifying it.
[00:45:51.781 --> 00:45:58.864]  And Georgia re-ran the election in spot areas and ran the exact same computer program over again and said, oh, look, it's been done.
[00:45:59.124 --> 00:46:08.789]  But when you actually did a real audit in Arizona, a spot audit, it showed just off the votes of that spot audit in one county, Trump won massively.
[00:46:09.549 --> 00:46:11.730]  That's the reality and we all know it.
[00:46:14.132 --> 00:46:14.932]  Here's Kamala Harris.
[00:46:16.293 --> 00:46:19.214]  What was at stake then and now?
[00:46:20.839 --> 00:46:27.962]  is the right to have our future decided the way the Constitution prescribes it.
[00:46:29.342 --> 00:46:31.623]  By we, the people.
[00:46:33.144 --> 00:46:34.144]  All the people.
[00:46:36.045 --> 00:46:49.310]  We cannot let our future be decided by those bent on silencing our voices, overturning our votes, and peddling lies and misinformation.
[00:46:51.193 --> 00:47:09.597]  Her family, literally including her father, had slave labor in Jamaica.
[00:47:10.577 --> 00:47:12.197]  She has no African blood in her.
[00:47:13.358 --> 00:47:15.158]  She's a fraud on every level.
[00:47:18.059 --> 00:47:25.967]   And then she talks about how They're not going to be oppressed by us.
[00:47:29.588 --> 00:47:30.089]  Unbelievable.
[00:47:32.490 --> 00:47:33.490]  And look how fake she is.
[00:47:33.510 --> 00:47:34.550]  Look at what a joke she is.
[00:47:34.991 --> 00:47:36.071]  Everybody knows it.
[00:47:37.692 --> 00:47:38.832]  You didn't win the election.
[00:47:40.133 --> 00:47:46.015]  And that's what's so sad about Trump going sideways right now is that he did a lot of good and they stole it from him.
[00:47:46.055 --> 00:47:46.755]  They hate his guts.
[00:47:47.956 --> 00:47:50.417]  Again, I just want this to sink in for everybody.
[00:47:53.087 --> 00:48:18.051]  That they are giving you an injection that erases your immune system, and they're giving you an injection that begins growing nanoparticles in your body, that eat holes in your tissue, that then white blood cells then also attack, and then once the spike protein has embedded itself in your cells, then your own body starts chewing holes in it.
[00:48:20.430 --> 00:48:24.092]  And it migrates the ovaries and the testicles and attacks fertility.
[00:48:26.873 --> 00:48:27.694]  And it's all confirmed.
[00:48:27.734 --> 00:48:29.775]  I mean, look at these headlines I've got today.
[00:48:30.695 --> 00:48:35.998]  Report 1 in 70 vaccinated students suffer microcarditis at private school.
[00:48:36.018 --> 00:48:44.983]  1 in 70 vaccinated students suffer microcarditis at private school.
[00:48:46.844 --> 00:48:57.813]   A fourth report Microcarditis at a private children's academy in California brings the incidence rate to roughly 170, pathologist Stephen Kirsch estimates.
[00:49:01.376 --> 00:49:23.381]   On Wednesday, Kirsch reported via Substack, and it's Kirsch reporting on what the pathologist is saying, on Wednesday Kirsch reported via Substack that he'd privately received a report From a concerned parent that a fourth student at the Monte Vista Christian School in Watsonville had been diagnosed.
[00:49:24.081 --> 00:49:31.664]  Kersh had already documented three cases at the school with an enrollment of about 855 students last month.
[00:49:32.584 --> 00:49:42.347]  So now there are four cases in 285 vaccinated boys, bringing the incidence rate to nearly 1 in 70, assuming all the cases are boys.
[00:49:43.188 --> 00:49:44.208]  And he does the math right there.
[00:49:45.154 --> 00:49:47.715]  This is not rare, this is a disaster, he added.
[00:49:48.796 --> 00:49:50.536]  And he's got all the epidemiologists quoted there.
[00:49:51.977 --> 00:49:55.318]  And the pathologist that he's got in his articles.
[00:49:56.299 --> 00:49:56.859]  Here's another one.
[00:49:58.099 --> 00:50:05.002]  CNN coronavirus tracker not featured 24-7 despite 1 million daily cases under Biden.
[00:50:05.743 --> 00:50:08.964]  But again, it's all a fraud because they're counting the new variant.
[00:50:10.410 --> 00:50:15.692]  And they're counting the common cold in the new PCR test that they have admitted to fraud the whole time.
[00:50:15.992 --> 00:50:18.594]  So it's fraud built on fraud built on fraud.
[00:50:19.754 --> 00:50:21.655]  And some people are sick and dying from the shots.
[00:50:22.135 --> 00:50:24.896]  Other people are sick, getting other colds, other problems.
[00:50:25.256 --> 00:50:26.177]  They're going to the hospital.
[00:50:26.217 --> 00:50:27.197]  They're not getting treatment.
[00:50:27.237 --> 00:50:27.858]  Then it gets worse.
[00:50:27.878 --> 00:50:28.458]  Then they die.
[00:50:28.478 --> 00:50:35.001]  Because they're calling the cold and flu COVID-19 and Delta variant and Omicron.
[00:50:35.381 --> 00:50:35.941]  But it's not.
[00:50:36.601 --> 00:50:38.022]  It's denial of care.
[00:50:39.426 --> 00:50:42.188]  What did Trudeau just say last night?
[00:50:42.609 --> 00:50:46.872]  He said, we have lockdowns and we have sick people and we have all these problems.
[00:50:47.453 --> 00:50:50.976]  We have people not getting healthcare because of the unvaccinated.
[00:50:51.076 --> 00:50:51.396]  Really?
[00:50:51.416 --> 00:50:55.840]  It's almost the first year of the lockdown in Canada, they didn't even have the damn vaccine.
[00:50:56.120 --> 00:50:57.441]  No, you ordered the lockdown.
[00:50:57.681 --> 00:50:58.742]  You caused the crisis.
[00:50:59.002 --> 00:51:01.204]  That caused the mass starvation in the third world.
[00:51:01.444 --> 00:51:02.866]  You did, you little murderer!
[00:51:02.886 --> 00:51:05.488]  And you will face God for what you've done.
[00:51:08.516 --> 00:51:09.697]  He went to the Davos Group.
[00:51:09.917 --> 00:51:15.882]  He got the degree from Klaus Schwab's Bilderberg Group as a young world leader 20 years ago.
[00:51:16.382 --> 00:51:22.447]  And look at him up there carrying out the operation lockstep and saying he's carrying out lockstep.
[00:51:22.647 --> 00:51:24.609]  And now he says he wants carbon lockdowns.
[00:51:24.629 --> 00:51:26.871]  They're just getting you used to lockdowns.
[00:51:28.732 --> 00:51:30.434]  The man is a complete fraud.
[00:51:34.014 --> 00:51:38.516]  Omicron spreads faster than Delta within vaccine individuals Danish study finds.
[00:51:39.056 --> 00:51:41.957]  Another big story up on Infowars.com from the Epoch Times.
[00:51:43.877 --> 00:51:48.239]  Whoopi Goldberg shocked at catching COVID despite being triple vaxxed.
[00:51:51.860 --> 00:51:55.941]  Unvaxxed Aussies told they won't be allowed to exercise or go to work or leave their houses.
[00:51:58.182 --> 00:52:00.263]  Rand Paul creeps closer to the truth.
[00:52:01.852 --> 00:52:11.360]  Tells Fox News that he slams hysteria over renewed shutdown of schools, vaccine absolutism, but it's the collapse of civilization.
[00:52:12.541 --> 00:52:17.585]  And once you destabilize it and collapse it enough and train people not to work, then everything breaks down.
[00:52:17.866 --> 00:52:25.212]  And then you bring in third world populations that are collapsing because of it to weigh down the lifeboats even more, and then this whole system sinks.
[00:52:29.175 --> 00:52:29.696]  Djokovic.
[00:52:32.529 --> 00:52:41.857]  Immediate fate revealed as tennis star fights deportation over vaccination status.
[00:52:42.837 --> 00:52:44.539]  So they tell him, yeah, you can get your waiver.
[00:52:44.579 --> 00:52:46.000]  Come here once he gets to Australia.
[00:52:46.160 --> 00:52:47.541]  Oh, no, we're not sure we may kick you out.
[00:52:47.881 --> 00:52:49.082]  All obsessing over it.
[00:52:49.503 --> 00:52:50.423]  Total control.
[00:52:50.964 --> 00:52:53.306]  He has to wait in an Australian detention hotel.
[00:52:55.811 --> 00:52:57.732]  It's all just training you to live in martial law.
[00:52:58.193 --> 00:52:59.253]  Is your life worth it?
[00:52:59.334 --> 00:53:00.554]  Is being the champion worth it?
[00:53:00.815 --> 00:53:01.495]  Boycott it!
[00:53:01.555 --> 00:53:08.400]  We all have to say no now or consign ourselves to a living hell under the control of these people.
[00:53:10.681 --> 00:53:12.102]  And that ties into Aaron Rodgers.
[00:53:12.543 --> 00:53:13.223]  He's a bum.
[00:53:13.243 --> 00:53:18.387]  Aaron Rodgers calls out NFL MVP voter who won't back him because he's unvaccinated.
[00:53:18.687 --> 00:53:19.908]  So that's a social credit score.
[00:53:20.088 --> 00:53:21.649]  It's not about if he's the best player.
[00:53:22.489 --> 00:53:27.072]  It's not about if he's the most valuable, it's about that he submit to the social credit score.
[00:53:28.773 --> 00:53:30.614]  That's the system we live in, folks.
[00:53:31.494 --> 00:53:32.915]  That's the globalism.
[00:53:33.395 --> 00:53:38.218]  Not creeping in, but rushing in.
[00:53:38.238 --> 00:53:40.119]  And where are we as a civilization?
[00:53:40.860 --> 00:53:51.646]  USPS seeks temporary relief from the Biden administration's vaccine or test mandate, warning of potentially catastrophic impact to the service.
[00:53:52.404 --> 00:53:53.846]  And if the oldest U.S.
[00:53:54.026 --> 00:54:01.553]  agency, after the Army, but technically an agency, not a bureau, collapses, what does that say?
[00:54:01.573 --> 00:54:02.894]  Well, everything else collapses.
[00:54:02.954 --> 00:54:17.772]   Medicine, other people's jobs, people's companies, confidence in the system, our system, the model of the world now being erased by the hysteria over, You've got Omicron, the common cold.
[00:54:17.932 --> 00:54:22.374]  Oh, you've got to stay home two weeks now, and everybody else around you's got to stay home.
[00:54:22.394 --> 00:54:26.955]  And then it breaks down, it collapses, the system unwinds.
[00:54:27.235 --> 00:54:30.096]  You go home, watch TV, get more depressed, take more Prozac.
[00:54:32.457 --> 00:54:34.678]  They know what they're doing.
[00:54:37.791 --> 00:54:41.873]  According to VAERS' website, there are now over a million adverse reactions.
[00:54:42.113 --> 00:54:44.394]  They say about one in a hundred get reported, Harvard estimates.
[00:54:44.875 --> 00:54:51.478]  So according to VAERS' website, there are now over a million adverse reaction cases of COVID-19 vaccine and over 21,000 deaths.
[00:54:51.618 --> 00:55:02.604]  We've got so much more on this, but we've got a Gregory's report dealing with the nanotech that is the vaccine.
[00:55:03.487 --> 00:55:04.488]  But it's beyond that.
[00:55:04.688 --> 00:55:10.791]  After we play the report, I'm going to explain the rest of the story and lay it all out for you.
[00:55:10.811 --> 00:55:12.651]  But this is incredibly important information.
[00:55:13.152 --> 00:55:21.636]  Separately, if you're not taking vitamin mineral fusion or another really good multivitamin mineral amino acid system, you're insane.
[00:55:22.316 --> 00:55:23.477]  It's got the vitamin D3.
[00:55:23.537 --> 00:55:24.237]  It's got the zinc.
[00:55:24.277 --> 00:55:32.061]  It's got all the essential vitamins and minerals from really good sources with a bunch of key amino acids that help absorb it into the body and get it into the cells.
[00:55:32.950 --> 00:55:36.512]  It is a top-flight formula with no additives and no garbage, and people love it.
[00:55:36.892 --> 00:55:45.195]  It's wonderful for adults and children and people of all ages, and it is going to sell out really in the next week or sooner at current sales rates, but I don't care.
[00:55:45.255 --> 00:55:47.356]  I want you to get it and have it.
[00:55:47.396 --> 00:55:59.942]  So it's 50% off at infowarestore.com, and more will come in hopefully in about a month or so, it looks like, and I'll try to discount it again once it comes in, but it helps fund the operation, and it's something your body needs.
[00:56:01.743 --> 00:56:09.743]  Infowarsstore.com or 888-253-3139.
[00:56:09.743 --> 00:56:13.743]  888-253-3139.
[00:56:13.743 --> 00:56:19.743]   And X2, the deep earth crystal iodine that supercharges all your cells.
[00:56:20.227 --> 00:56:22.448]  Critical essential electrochemical activity.
[00:56:22.888 --> 00:56:24.168]  Over-the-top immune system.
[00:56:24.468 --> 00:56:30.231]  Even the UN estimates over 2 billion people have cognitive disabilities and lower IQs because of iodine deficiency.
[00:56:30.511 --> 00:56:34.872]  Most iodine is bound to other elements, so it doesn't get absorbed into the cells.
[00:56:34.912 --> 00:56:36.193]  This is pure atomic.
[00:56:36.773 --> 00:56:42.617]  This is the purest, best quality you're going to find anywhere out there, and I take it under the tongue when I forget to every day.
[00:56:42.717 --> 00:56:43.518]  Boy, do I feel it.
[00:56:43.978 --> 00:56:48.080]  So it's 50% off, sold out for months at infowarstore.com.
[00:56:48.101 --> 00:56:55.565]  And then we also have the Super Coral Whitening Toothpaste that has the tea tree oil and the iodine in it as well.
[00:56:56.006 --> 00:56:57.667]  So good for your mouth, so good for your body.
[00:56:58.147 --> 00:56:58.807]  It's discounted.
[00:56:58.827 --> 00:57:02.490]  We have the Activated Charcoal Toothpaste and Mouthwash with essential oils as well.
[00:57:02.990 --> 00:57:05.392]  It's all there at InfoWarsTore.com.
[00:57:05.412 --> 00:57:11.557]  But the big sales are Vitamin Mineral Fusion and X2 for 50% off at InfoWarsTore.com.
[00:57:11.597 --> 00:57:13.558]  And folks, I'm sorry I keep getting mad and throwing fits.
[00:57:13.979 --> 00:57:20.864]  I mean, I'm probably just going to have to take off a couple weeks or something because, I mean, folks, they're really killing everybody.
[00:57:21.204 --> 00:57:22.986]  I mean, I can't just sit here like it's no big deal.
[00:57:23.166 --> 00:57:24.487]  They are murdering everybody!
[00:57:24.947 --> 00:57:31.953]  All right, we're going to play a Greg Reese report right now that is completely documented.
[00:57:33.800 --> 00:57:38.923]  And then I'm going to give you the rest of the story after we play this report.
[00:57:39.403 --> 00:57:44.466]  Evidence of self-assembling nanochemistry in the Pfizer vaccine.
[00:57:44.586 --> 00:57:50.670]  Again, evidence of self-assembling nanocircuitry in the Pfizer vaccine.
[00:57:50.750 --> 00:57:53.432]  It's on Band.Video in the Gregory section.
[00:57:53.452 --> 00:57:56.814]  It's also been posted to the front page of InfoWars.com.
[00:57:56.834 --> 00:58:00.216]  I'm going to have it added to the live show feed of the broadcast.
[00:58:00.276 --> 00:58:02.337]  It needs to get 10 million views.
[00:58:03.208 --> 00:58:05.229]  It went up a few hours ago, it's got 64,000.
[00:58:05.509 --> 00:58:06.790]  That's wonderful, that's good.
[00:58:07.150 --> 00:58:11.033]  We're trying to cause a mass chain reaction awakening.
[00:58:12.454 --> 00:58:15.876]  And that's not going to happen with 300,000, 400,000 views on the video.
[00:58:15.916 --> 00:58:19.038]  It's going to happen when these videos start getting millions apiece.
[00:58:19.478 --> 00:58:20.519]  And the enemy knows that.
[00:58:21.259 --> 00:58:24.121]  That's why they're working around the clock to block this information.
[00:58:25.122 --> 00:58:35.534]   Remember, you are the resistance and believe me, Believe me now or experience it later, it's going to get progressively worse and more hellish for you as they shut civilization down.
[00:58:36.795 --> 00:58:42.058]  And we can criticize America for all its problems, but notice we're one of the freest and most open countries left.
[00:58:43.138 --> 00:58:47.200]  And the blue cities are occupied by the enemy, literally by globalist forces.
[00:58:47.861 --> 00:58:52.343]  And as soon as we start realizing that and understanding how much trouble we're in is the sooner we fix it.
[00:58:53.324 --> 00:58:54.004]  That's what they've got.
[00:58:54.717 --> 00:58:56.378]  Over on us is that it's so evil.
[00:58:56.759 --> 00:58:57.899]  It's so coordinated.
[00:58:58.000 --> 00:58:59.120]  It's so psychotic.
[00:59:00.762 --> 00:59:06.706]  It's like having Jeffrey Dahmer for the president, that people have trouble believing it or understanding it.
[00:59:07.426 --> 00:59:18.995]  But I remember talking to a lot of experts last year and others, and then it came out in government documents that COVID-19 is a synthetic nanoparticle.
[00:59:20.347 --> 00:59:25.572]  And that's why they said it's a virus out of a wet lab or a virus out of one of these markets or whatever.
[00:59:26.373 --> 00:59:33.821]  It's because that's just the cover for them to introduce a whole family of spike proteins that are self-replicating nanotech.
[00:59:33.861 --> 00:59:45.861]  Here's Greg Leach's report.
[00:59:45.882 --> 00:59:51.528]  His postgraduate studies included microbiology, epidemiology, and immunology.
[00:59:51.968 --> 00:59:53.650]  He is the founder of the fifth column.
[00:59:54.410 --> 01:00:07.342]  Delgado has published videos of electron microscopy taken at the University of Almeria in Spain of the Pfizer mRNA vaccine showing what can best be described as self-organizing nanostructures.
[01:00:08.343 --> 01:00:14.931]  The videos show that as the Pfizer mRNA vaccine evaporates, nano-sized structures begin to form.
[01:00:15.612 --> 01:00:18.415]  Multiple structures that appear to be the same things.
[01:00:19.176 --> 01:00:23.121]  Things that look like microchips and electronic circuitry.
[01:00:24.162 --> 01:00:33.329]  Pfizer has reportedly made 33 different batches, which have all been cataloged in a database, some dangerous and others seemingly innocuous.
[01:00:34.110 --> 01:00:42.617]  So these things maybe aren't in every vial, but the FDA has said that they need 75 years to tell us all the details, so maybe they are.
[01:00:43.517 --> 01:00:51.864]  At a World Economic Forum 2018 conference, the Chief Executive Officer of Pfizer expressed excitement for invasive nanotech.
[01:00:52.484 --> 01:00:59.286]  Referring to the recent FDA approval of a tablet with a sensor that can notify medical authorities of compliance.
[01:00:59.926 --> 01:01:04.627]  It is basically a biological chip, but it is in the tablet.
[01:01:05.627 --> 01:01:10.888]  And once you take the tablet and it dissolves into your stomach, it sends a signal that you took the tablet.
[01:01:11.768 --> 01:01:13.869]  So imagine the applications of that.
[01:01:14.109 --> 01:01:14.709]  Compliance.
[01:01:15.929 --> 01:01:21.375]  Later that year, a nanotransistor chip is unveiled that replaces silicone with air.
[01:01:22.496 --> 01:01:28.682]  Just this week, a COVID implantable microchip developer claimed, we will be chipped whether we like it or not.
[01:01:29.863 --> 01:01:34.248]  There has been much talk about graphene oxide and nanotech in the vaccines.
[01:01:34.748 --> 01:01:37.571]  Which the media vehemently claims is not true.
[01:01:38.172 --> 01:01:39.052]  But how would they know?
[01:01:39.533 --> 01:01:42.956]  And why would anyone trust a word that they say about any of this?
[01:01:43.837 --> 01:01:52.245]  If there are nanocircuits being created within the bodies of the vaccinated, this would explain the videos we've seen of IP addresses coming from the jabbed.
[01:01:52.906 --> 01:01:57.530]  A newly activated network of nanocircuits, unique to each individual.
[01:01:58.991 --> 01:02:17.255]  One of the leading experts of nanotechnology, Charles Lieber, has written patents describing a technology that has the potential to self-assemble into tiny computer systems capable of controlling human neurology, which is exactly what Delgado's electron microscopy of the Pfizer jab appears to be.
[01:02:18.195 --> 01:02:26.937]  Charles Lieber was just convicted on numerous crimes for working with the Communist Chinese in Wuhan, where Pfizer ran a research and development facility.
[01:02:28.057 --> 01:02:39.281]  Elon Musk expects to be implanting his Neuralink into human beings this year, and claims that they could put you fully into virtual reality, as if this is somehow important for humanity.
[01:02:39.981 --> 01:02:41.402]  For humanity, it isn't.
[01:02:41.922 --> 01:02:44.563]  But for the transhumanist, it's a necessity.
[01:02:45.163 --> 01:02:51.525]  And if you listen to the psychopaths orchestrating all of this, transhumanism is officially their stated goal.
[01:02:52.345 --> 01:02:54.506]  And they won't need Elon's implantable chip.
[01:02:55.146 --> 01:03:03.493]  With injectable nano-sized circuitry in the human brain and nervous system, non-intrusive wearable tech will do the job just fine.
[01:03:04.213 --> 01:03:19.245]  And this is rapidly being developed by WelcomeLeap, a privately run umbrella corporation connecting DARPA, Silicon Valley, and the military, who has tripled their network in less than a year, boasting success for the deadly mRNA vaccines.
[01:03:19.685 --> 01:03:35.463]  And pushing to accelerate new ones designed to correct every so-called flaw of the human psyche that stands in the way of productivity to an authoritarian state run by artificial intelligence that monitors and controls their neurological functions 24-7.
[01:03:37.425 --> 01:03:39.827]  This is exactly what they say they want by the year 2030.
[01:03:41.128 --> 01:03:50.055]  So either the vaccines are a way of interfacing the new transhuman with AI technology or they're lying and it's all about depopulation.
[01:03:51.176 --> 01:03:52.897]  Which is what the latest data is showing.
[01:03:53.602 --> 01:03:58.803]  Natural News recently estimated billions of deaths if it isn't stopped in the next year.
[01:03:59.623 --> 01:04:08.305]  It obviously isn't about public health, and whether it's about depopulation or transhumanism, it is a threat to all of humanity.
[01:04:09.065 --> 01:04:16.966]  We could ponder until the end about why anyone would want to do this, but the real question is why are we letting them?
[01:04:18.246 --> 01:04:20.707]  Reporting for InfoWars, this is Greg Reese.
[01:04:22.321 --> 01:04:34.484]  And you've got Yuval Harari, the main science head of Debo, saying, quote, the future is not human and we're going to put things in your food and water that migrate to your brain to make you merge with AI.
[01:04:34.784 --> 01:04:35.665]  They're not asking.
[01:04:35.705 --> 01:04:36.885]  This is their revolution.
[01:04:37.785 --> 01:04:54.527]   And what they found is, in psychological studies they've done, once they abuse people and do this to them, They're gonna like the abuse, and they're gonna go, oh, you're trans now, you mutated, you're a beautiful new creature, and criticizing that will get you sent to a death camp.
[01:04:55.949 --> 01:05:04.156]  That's why there's all the movies about being mutants, and how cool it is, and, oh, a man can be a woman, and a woman can be a man, and, oh, adults can have sex with children, or whatever we want to be.
[01:05:04.596 --> 01:05:06.337]  That's what this whole thing is.
[01:05:07.719 --> 01:05:12.763]  And so for those that merge with the silicon, they survive and go into the future.
[01:05:13.003 --> 01:05:14.084]  Those that don't, it kills you.
[01:05:14.958 --> 01:05:16.839]  And this is the giant experiment they're doing.
[01:05:18.539 --> 01:05:19.600]  And they admit they're doing it.
[01:05:19.640 --> 01:05:20.440]  That's what's so frustrating.
[01:05:20.460 --> 01:05:22.161]  When we come back, I'm going to get to the rest of the story.
[01:05:22.181 --> 01:05:24.182]  Because I have all the documents right here.
[01:05:24.202 --> 01:05:28.963]  I mean, are we asking if this is nanotech?
[01:05:30.184 --> 01:05:31.744]  COVID-19 is nanotech.
[01:05:33.485 --> 01:05:39.807]  And the so-called vaccines they created that make your body create the spike protein in the cells are nanotech.
[01:05:40.448 --> 01:05:43.169]  It is artificially made and replicates artificially.
[01:05:43.249 --> 01:05:43.949]  It's alien.
[01:05:44.631 --> 01:05:47.054]  As if it never has been on this planet before.
[01:05:47.074 --> 01:05:50.738]  I'm not saying it's from aliens, but it's alien to human biology.
[01:05:51.519 --> 01:05:54.042]  And now it's spreading into all the Earth.
[01:05:54.422 --> 01:06:00.149]  Remember the Johnny Depp movie, Transcendence, where he becomes a dust that infests everything the AI takes over that way?
[01:06:01.390 --> 01:06:03.012]  So here we are on January 6, 2022.
[01:06:05.962 --> 01:06:07.803]  And it's open and shut now.
[01:06:08.124 --> 01:06:23.854]  We know the Feds ran the attacks, did the whole thing, had thousands of troops there, all stations in plain clothes, obviously some of them helping break into the Capitol and run the whole operation, and they set us all up, and now they're trying to put all of us, they tried to set up in prison, even though we tried to stop what happened.
[01:06:24.455 --> 01:06:27.457]  Because they are a criminal, globalist, ruthless group taking over.
[01:06:28.996 --> 01:06:35.078]  And they are the same ones that launched the whole COVID-19 operation, that cooked it up and released it.
[01:06:35.158 --> 01:06:42.481]  So here's the riddle of COVID-19, and here is what is really going on.
[01:06:44.182 --> 01:06:49.924]  If you release a bioweapon on people, folks are going to find out who did it, and that means war.
[01:06:49.944 --> 01:06:57.627]  So you get the UN together, you get a bunch of countries together, you have a multinational lab with a bunch of countries working in it, more than a dozen.
[01:07:00.160 --> 01:07:12.443]  In China, and then you're Bill Gates and you send the emails out in November and December of 2019 saying, here's the vaccine we need made for this spike protein and this virus, and it's COVID-19.
[01:07:13.643 --> 01:07:15.624]  That's open and shut, send them to prison right there, right?
[01:07:16.644 --> 01:07:32.277]   And then they tell more than a dozen vaccine makers around the world, we don't care how you do it, but you need to have the body Make the spike protein of this virus in itself to quote, learn how to defeat it or whatever, and instead it just colonizes you with it.
[01:07:33.177 --> 01:07:48.122]  And then you read deeper into what Peter Daszak brought to the Pentagon and to DARPA in 2017 and said, oh, we've got nanotech spike protein of COVID-19 that we can just spray on people.
[01:07:48.162 --> 01:07:49.683]  Would you like to buy this from us?
[01:07:50.183 --> 01:07:52.584]  Would you like to be part of testing this open air?
[01:07:53.385 --> 01:07:55.887]  And the Pentagon said, are you crazy?
[01:07:55.907 --> 01:07:56.867]  That would start a war.
[01:07:57.488 --> 01:07:59.829]  You want to spray it out in the public in China?
[01:08:01.850 --> 01:08:06.093]  So that's the level of crazy town that's been going on.
[01:08:06.133 --> 01:08:14.778]  That's the level of this garbage that has been unfolding at every single facet of our society.
[01:08:14.818 --> 01:08:21.122]  And that's why I'm sitting there talking to people that I know personally, who in the last year and a half say they've had COVID three times.
[01:08:25.703 --> 01:08:27.164]  You ever get smallpox three times?
[01:08:27.184 --> 01:08:27.504]  You ever get?
[01:08:27.544 --> 01:08:28.404]  No, no, no.
[01:08:28.844 --> 01:08:36.108]  If it's supposedly a virus, COVID-19, you're going to get immunity to real mutations of that virus for many, many years.
[01:08:37.128 --> 01:08:38.489]  If you've already had it, naturally.
[01:08:38.989 --> 01:08:42.611]  And a normal vaccine would give you 10 years or more, but these aren't vaccines.
[01:08:43.691 --> 01:08:47.033]  So people that haven't taken the shots are getting sick two, three, four times.
[01:08:47.293 --> 01:08:50.354]  The people that have taken the shots are even getting sicker and more often.
[01:08:51.595 --> 01:08:52.195]  And what's going on?
[01:08:53.843 --> 01:09:02.788]  Because they had to release COVID-19 and the spike protein is the cover for all the other nanotech releases they're doing of COVID-19 spike protein.
[01:09:03.948 --> 01:09:11.312]  That they can spray in a movie theater or spray out of a plane or they can give somebody the injection and their body creates it and sheds it.
[01:09:11.672 --> 01:09:18.576]  Pfizer's own website says, and they got the EU to even pass a law, that they're allowed to do that.
[01:09:19.056 --> 01:09:22.038]  So this is a colonizing protein crystal.
[01:09:23.615 --> 01:09:24.535]  That's artificial.
[01:09:25.696 --> 01:09:29.498]  That Anthony Fauci has the patent to jointly with Bill Gates.
[01:09:29.518 --> 01:09:30.218]  It's on record.
[01:09:30.979 --> 01:09:35.141]  And they have hit us with their invention and with their weapon.
[01:09:36.601 --> 01:09:38.442]  And they're in a race to make everybody take it.
[01:09:38.482 --> 01:09:39.763]  So everybody will be so sick.
[01:09:40.843 --> 01:09:42.284]  They won't be able to resist into the future.
[01:09:43.105 --> 01:09:46.086]  And that can give you an idea of what are they going to pull to cover up this event.
[01:09:46.756 --> 01:09:47.577]  Something much bigger.
[01:09:48.057 --> 01:09:52.861]  Power outages, fake cyber attacks, new wars, terror attacks.
[01:09:52.941 --> 01:09:54.743]  I mean, it's all going down.
[01:09:55.283 --> 01:09:56.384]  And I am so upset.
[01:09:56.804 --> 01:09:58.486]  We're living inside the New World Order.
[01:09:58.506 --> 01:10:01.168]  We tried to stop this from happening, but now we're here.
