[00:00:00.000 --> 00:00:02.000]  [Gun cocks]
[00:28:49.068 --> 00:28:52.989]  It can't get more predatory than this.
[00:28:53.689 --> 00:29:05.113]  These are true psychotic monsters that point at those of us that oppose them and say we're bad for questioning the big events.
[00:29:05.773 --> 00:29:11.295]  In almost every case they have staged the events or provocateured the events.
[00:29:12.595 --> 00:29:17.257]  So is Alex Jones the villain like all the corporate media tells you or is it Klaus Schwab?
[00:29:19.286 --> 00:29:20.907]  Is it Bill Gates?
[00:29:23.008 --> 00:29:24.229]  Is it Prince Charles?
[00:29:25.309 --> 00:29:27.010]  They fly around on private jets.
[00:29:27.030 --> 00:29:28.171]  They live like kings.
[00:29:28.551 --> 00:29:30.912]  But they tell you, you should starve to death.
[00:29:31.593 --> 00:29:34.134]  They tell you, you should go away.
[00:29:35.935 --> 00:29:36.996]  This has been their project.
[00:29:37.016 --> 00:29:37.896]  It's been their operation.
[00:29:37.916 --> 00:29:40.317]  It's how I can predict the next phases of it.
[00:29:42.218 --> 00:29:51.807]   We can get off this ride, though, at any time by recognizing how predatory and how evil How evil these people are.
[00:29:53.207 --> 00:29:57.769]  Now, we've got Drew Hernandez joining us, who's an amazing reporter.
[00:29:58.509 --> 00:30:02.231]  He's got hundreds of millions of views, conservatively, of his videos.
[00:30:03.011 --> 00:30:13.216]  And he's now being censored and banned off of YouTube because he simply showed drag queen pedophile time events where they admit they're grooming our children.
[00:30:13.736 --> 00:30:15.617]  They say we're grooming your children.
[00:30:16.479 --> 00:30:17.599]  He'll join us next hour.
[00:30:18.420 --> 00:30:21.941]  Because remember, they claim they care about the children all day.
[00:30:23.421 --> 00:30:27.303]  But what they want to do is destroy the children's innocence.
[00:30:28.203 --> 00:30:30.584]  That's coming up next hour.
[00:30:31.704 --> 00:30:35.525]  But let me go ahead and mention this, because we're front and center in the news.
[00:30:37.846 --> 00:30:48.168]   Whether it's Texas or Connecticut in blue city-controlled zones, I'm being sued by Soros-backed Democrat operatives We're questioning a mass shooting 10 years ago.
[00:30:48.488 --> 00:30:50.089]  And I'm the worst man in the world.
[00:30:50.589 --> 00:30:52.590]  I didn't lie about WMDs on purpose.
[00:30:53.911 --> 00:30:55.131]  I didn't promote pedophilia.
[00:30:55.471 --> 00:30:57.652]  I didn't human traffic children over the border.
[00:30:57.732 --> 00:31:02.475]  No, I simply said gun owners aren't to blame for mass shootings.
[00:31:02.995 --> 00:31:04.216]  Criminals and crazies are.
[00:31:05.776 --> 00:31:06.657]  But look at this headline.
[00:31:07.981 --> 00:31:08.261]  U.N.
[00:31:08.281 --> 00:31:11.882]  warns of worrying and dangerous conspiracy theories.
[00:31:12.583 --> 00:31:13.043]  The U.N.
[00:31:13.103 --> 00:31:19.905]  calls for censoring anyone questioning open borders, elections, gun control, or forced injections.
[00:31:21.886 --> 00:31:25.187]  Alex Jones and a $65 million fine.
[00:31:25.787 --> 00:31:26.468]  It's not even right.
[00:31:29.042 --> 00:31:33.083]  Forty-something million, it's capped at five million, but it doesn't matter.
[00:31:33.603 --> 00:31:34.503]  That's meant to scare you.
[00:31:35.364 --> 00:31:47.667]  And now, we have Raw Story and ABC News and the New York Times all saying Alex Jones' lawsuit verdict is bad news for the conspiracy viewing host at Fox Legal Expert.
[00:31:49.527 --> 00:31:50.908]  Another headline, Apple News.
[00:31:51.308 --> 00:31:52.208]  Top of Apple News.
[00:31:53.729 --> 00:31:58.030]  We need honest reporting, less conspiracy theory, and more facts, which they give us.
[00:31:58.610 --> 00:32:03.131]  Why Alex Jones is only one who lost big in the Sandy Hook verdict.
[00:32:03.411 --> 00:32:07.171]  And they go on to say we're going to silence everyone in the Apple News story.
[00:32:10.352 --> 00:32:15.693]  The Sandy Hook lawyer says it's time to take Alex Jones out and everybody else like him.
[00:32:18.693 --> 00:32:19.793]  And it goes on from there.
[00:32:20.554 --> 00:32:37.428]   But thank God that Charlie Kirk and Mike Cernovich and Jack Posobiec and Steve Bannon and countless others have come to our defense realizing it's us today, it's them tomorrow.
[00:32:37.768 --> 00:32:42.970]  Representative Taylor Greene says InfoWars founder Alex Jones being politically persecuted.
[00:32:44.751 --> 00:32:48.613]  Roger Stone calls for contributions to help Alex Jones after a $45.2 million verdict.
[00:32:51.852 --> 00:32:54.814]  Drew Hernandez coming up says what happens to Alex Jones's criminal?
[00:32:55.294 --> 00:32:58.136]  He was the first to be censored by big tech everywhere.
[00:32:58.576 --> 00:33:06.661]  Now he is the first to be persecuted with defamation cases that set him up to lose all because of free speech.
[00:33:07.481 --> 00:33:09.183]  And we've got more coming up.
[00:33:09.423 --> 00:33:13.665]  But I am honored to be in this position because I believe in you and know we're going to win.
[00:33:13.685 --> 00:33:15.246]  And Texas caps these things.
[00:33:15.666 --> 00:33:17.047]  All we need is the money for appeals.
[00:33:17.548 --> 00:33:19.769]  All we need is the support through the bankruptcy.
[00:33:19.789 --> 00:33:20.910]  We're going to keep fighting.
[00:33:21.880 --> 00:33:25.702]  The money you donate, the money you give buying products will not go to them.
[00:33:26.223 --> 00:33:27.203]  It will go to keep us on air.
[00:33:27.584 --> 00:33:28.484]  Infowarshort.com.
[00:33:29.925 --> 00:33:31.266]  A lot of folks are rallying behind us.
[00:33:33.267 --> 00:33:43.267]  [Music]
[00:33:43.267 --> 00:33:51.267]   Right now, you are listening to the most forbidden information on planet Earth.
[00:33:51.267 --> 00:33:53.267]  Think about that.
[00:33:53.487 --> 00:34:01.693]  The enemy is running thousands of articles a day and hundreds of TV programs conservatively trying to shut us down.
[00:34:02.514 --> 00:34:03.174]  Why is that?
[00:34:03.715 --> 00:34:04.375]  Ask the question.
[00:34:05.456 --> 00:34:10.459]  Because they know we've got their number and they know the people resonate with us.
[00:34:11.300 --> 00:34:20.827]  So if you'll simply spread the word about the live feeds, if you'll simply support the broadcast, if you'll simply support the products at InfowarsTour.com, it's game over.
[00:34:23.356 --> 00:34:24.837]  Let's play these clips back to back.
[00:34:26.018 --> 00:34:35.083]  This is Bannon talking about what Trump's going to do if he wins again, and how they were caught flat-footed six years ago, and I believe him.
[00:34:35.964 --> 00:34:38.265]  And then, we've got another clip here.
[00:34:38.285 --> 00:34:40.547]  We're going to hear it back to back.
[00:34:41.967 --> 00:34:51.561]   Of Harriet Hagman, who is set to defeat Liz Cheney in the run That congressional seat.
[00:34:52.121 --> 00:34:53.001]  Powerful stuff.
[00:34:53.161 --> 00:34:55.161]  Well, Sarah Lee's back-to-back.
[00:34:55.161 --> 00:35:00.161]  That's why Kash Patel, this great patriot, actually...
[00:35:00.161 --> 00:35:09.320]   People think Kash is just a genius about counter-terrorism and national security and everything like that, and he is,
[00:35:09.320 --> 00:35:12.161]  and he'll be the head of the CIA in the second term.
[00:35:12.161 --> 00:35:19.161]  But Kash understands the administrative state.
[00:35:19.155 --> 00:35:21.196]  This is more than a bureaucracy, right?
[00:35:21.436 --> 00:35:23.476]  This is an organic thing that's grown.
[00:35:23.516 --> 00:35:24.577]  It has its own courts.
[00:35:24.697 --> 00:35:27.018]  It puts its own legislation out in the Federal Register.
[00:35:27.338 --> 00:35:29.799]  It has its own enforcement capability.
[00:35:29.959 --> 00:35:34.520]  It's an absolute government that must be taken apart brick by brick.
[00:35:36.361 --> 00:35:38.782]  And Cash gave us, Cash showed us how.
[00:35:38.942 --> 00:35:40.082]  Axios has been reporting it.
[00:35:40.622 --> 00:35:45.584]  Remember, we have 4,000, 4,000 political appointees in any administration.
[00:35:46.526 --> 00:35:46.887]  Roughly.
[00:35:46.907 --> 00:35:48.949]  1,000 have to be Senate-confirmed.
[00:35:49.090 --> 00:35:49.971]  So they're going to take a while.
[00:35:51.653 --> 00:35:56.338]  3,000 can hit the beach day one.
[00:35:56.639 --> 00:35:58.981]  In 16, obviously it was a come-from-behind victory.
[00:35:59.262 --> 00:35:59.983]  We didn't have this.
[00:36:00.023 --> 00:36:01.124]  We didn't have the troops.
[00:36:01.184 --> 00:36:03.687]  We hadn't really gotten organized like that.
[00:36:04.568 --> 00:36:05.809]  But now we have no excuse.
[00:36:05.849 --> 00:36:07.891]  This is why you have all these great think tanks coming up.
[00:36:08.151 --> 00:36:13.635]  We're going to have a well-trained cadre of people that will hit the beach day one.
[00:36:13.495 --> 00:36:18.615]   and their number one thing is to start taking apart the federal bureaucracy brick by brick.
[00:36:18.615 --> 00:36:27.735]   We're fed up with the Green New Deal and the socialists who created it.
[00:36:27.984 --> 00:36:32.368]  We're fed up with the attacks on our fossil fuel and energy industries.
[00:36:32.828 --> 00:36:34.770]  We're fed up with an open border.
[00:36:35.390 --> 00:36:37.472]  We're fed up with human trafficking.
[00:36:37.492 --> 00:36:40.154]  We're fed up with fentanyl flooding our country.
[00:36:40.295 --> 00:36:47.295]  And we're fed up with illegal immigration.
[00:36:47.295 --> 00:36:49.295]  We're fed up with critical race theory.
[00:36:49.295 --> 00:36:51.295]  We're fed up with boys competing in girls sports.
[00:36:51.846 --> 00:37:04.684]   We're fed up with the liberal media, Twitter, Facebook, Google, and YouTube for blocking
[00:37:04.684 --> 00:37:05.925]  conservative speech.
[00:37:06.059 --> 00:37:12.423]  We're fed up with our government and universities censoring conservative thought, cancelling debate, and rewriting history.
[00:37:13.003 --> 00:37:17.986]  We're fed up with the corruption in the FBI, the Department of Homeland Security, the CIA, the NSA, and the ICE force!
[00:37:18.046 --> 00:37:35.963]   We're fed up with mask mandates, vaccine mandates, The CDC, the NIH, the WHO, and the misinformation campaign surrounding COVID-19.
[00:37:36.784 --> 00:37:40.784]  And we're fed up with Anthony Fauci.
[00:37:40.784 --> 00:37:50.784]  We're fed up with the politicians and the elitists in DC.
[00:37:51.051 --> 00:37:54.774]  who are getting rich while the middle class falls further behind every year.
[00:37:54.794 --> 00:37:57.075]  We're fed up with Joe Biden!
[00:37:57.116 --> 00:37:57.716]  With Nancy Pelosi!
[00:37:57.736 --> 00:38:13.889]  We're fed up with the January 6th Commission and those people who think that they can gaslight us!
[00:38:13.709 --> 00:38:23.709]  [Applause]
[00:38:23.709 --> 00:38:30.709]   We are putting everyone on notice. As of November 8th, we're taking our country back.
[00:38:30.709 --> 00:38:40.709]  [Applause]
[00:38:40.709 --> 00:38:43.709]  So the globalists are in free fall.
[00:38:44.203 --> 00:38:44.924]  They're desperate.
[00:38:44.964 --> 00:38:45.584]  They're losing.
[00:38:46.445 --> 00:38:51.668]  And they think they can target the Alex Joneses of the world and shut us down.
[00:38:53.314 --> 00:38:54.294]  And demonize us.
[00:38:55.215 --> 00:38:58.276]  But they'll be able to intimidate everybody else to not speak up.
[00:38:59.356 --> 00:39:02.157]  But I bet on you a long time ago, and I know you're gonna win.
[00:39:03.598 --> 00:39:04.278]  It's gonna be hard.
[00:39:04.298 --> 00:39:05.479]  It's not gonna be easy.
[00:39:07.760 --> 00:39:08.640]  But we're gonna win together.
[00:39:10.901 --> 00:39:16.043]  Now coming up, we have Drew Hernandez, who's exposed the government pedophile rings and is being censored.
[00:39:17.617 --> 00:39:27.103]  And then we've got my Connecticut lawyer in the Sandy Hook anti-free speech globalist takeover situation joining us and then Owen Schroer is coming up as well.
[00:39:28.143 --> 00:39:29.364]  So it's a big broadcast.
[00:39:29.844 --> 00:39:31.805]  We still have left and we have so much more.
[00:39:32.606 --> 00:39:36.868]  The illegal aliens being shipped by Texas to New York City and D.C.
[00:39:36.888 --> 00:39:37.709]  and they're freaking out.
[00:39:38.029 --> 00:39:39.029]  We have the videos of that.
[00:39:39.350 --> 00:39:39.950]  That's coming up.
[00:39:42.291 --> 00:39:45.113]  But before I go any further, I'm going to tell you bottom line.
[00:39:46.854 --> 00:39:48.515]  We're not backed by George Soros.
[00:39:48.855 --> 00:39:50.456]  We're not backed by the Democratic Party.
[00:39:50.796 --> 00:39:52.817]  We're not backed by the Rockefeller Foundation.
[00:39:53.097 --> 00:39:54.198]  We're backed by you.
[00:39:54.818 --> 00:39:56.198]  And we will never give up.
[00:39:57.079 --> 00:39:58.219]  And we know God's in charge.
[00:39:58.500 --> 00:40:01.721]  And you've done incredible things spreading the word about this broadcast.
[00:40:02.622 --> 00:40:03.982]  And praying for this broadcast.
[00:40:04.102 --> 00:40:06.083]  And financially supporting it.
[00:40:06.123 --> 00:40:07.524]  But I'm telling you now.
[00:40:09.244 --> 00:40:13.645]  We can stay on air for years, no matter what they do, if you back us.
[00:40:14.285 --> 00:40:17.806]  You make the decision whether we stay in attack formation.
[00:40:18.747 --> 00:40:19.547]  It's up to you.
[00:40:21.668 --> 00:40:30.630]  So I need you now to make the decision to go to infowarestore.com and get this little baby.
[00:40:31.130 --> 00:40:36.152]  The original Super Blue you asked so much for, back in stock, available 50% off.
[00:40:38.049 --> 00:40:49.173]  With the other products, the Super Whitening, Coral Calcium, Super Silver Coral, and of course, the Activated Charcoal Toothpaste.
[00:40:49.553 --> 00:40:52.634]  Get them separately, 40% off, or together, 50% off.
[00:40:52.754 --> 00:40:56.175]  I need you to go to infowarshaw.com and get Vitamin Refusion.
[00:40:56.195 --> 00:40:57.175]  It's already an amazing product.
[00:40:57.515 --> 00:40:59.076]  And get Body's Ultimate Turmeric Formula.
[00:40:59.804 --> 00:41:01.925]  I need you to go there and get Diet Force.
[00:41:01.965 --> 00:41:02.806]  It's almost sold out.
[00:41:02.846 --> 00:41:09.730]  A bunch of concentrated known enzymes and compounds that naturally speed up your metabolism to lose weight.
[00:41:10.070 --> 00:41:12.391]  I'm still a husky guy, still big.
[00:41:12.832 --> 00:41:21.317]  I've lost, I weighed today, 46 pounds, ladies and gentlemen, in three months with just the samples we got before it came in.
[00:41:22.478 --> 00:41:32.650]  DietForce, InfoWarStore.com, X2, Pollen Block, Ultra 12, InfoWarStore.com.
[00:41:33.931 --> 00:41:34.992]  And I just trust in God.
[00:41:35.713 --> 00:41:37.015]  I trust in God to work through you.
[00:41:38.390 --> 00:41:49.352]  And just to go to InfoWarStore.com and get Brain Force Ultra and Brain Force Plus, and to get Knockout, and to get Living Defense, and to get Lung Cleanse, and to get it all, Bazzo Beach, you name it.
[00:41:49.852 --> 00:41:52.492]  InfoWarStore.com.
[00:41:55.053 --> 00:41:58.093]  Because we're a rallying point.
[00:41:58.373 --> 00:42:12.237]   We are something the globalists hate because the spirit we have is the same spirit you have, and they want to shut it down, and there's nothing I want more than to never bow to these people and never let them win.
[00:42:12.538 --> 00:42:13.718]  We played you earlier.
[00:42:13.958 --> 00:42:18.881]  We'll play it the first five minutes of the next hour before Drew Hernandez, a beautiful soul, joins us.
[00:42:22.130 --> 00:42:31.278]  Where the lawyers for the Democratic Party say, once we silence Jones, we'll silence all of the conservatives, all the populists, all the Christians.
[00:42:31.318 --> 00:42:40.966]  They said it in the fake trial where I was already found guilty by the blue-haired, crazy, she's not an old lady, she actually wears like blue wigs, SJW.
[00:42:42.627 --> 00:42:43.928]  People say, man, how are you taking it?
[00:42:43.968 --> 00:42:44.468]  How's it going?
[00:42:44.929 --> 00:42:46.911]  I expect to be attacked by these people.
[00:42:47.471 --> 00:42:48.312]  I expect to be...
[00:42:50.523 --> 00:42:51.103]  Persecuted.
[00:42:51.203 --> 00:42:58.567]  But I expect, because I know who you are, that you're going to support yourself and your family and not let these bastards win.
[00:42:59.047 --> 00:43:02.149]  So I want you to go now to InfoWarsStore.com.
[00:43:02.849 --> 00:43:12.574]  If you will simply buy the products that already enrich your life, it will empower us to not just fight back during this huge attack, but win during this attack.
[00:43:12.594 --> 00:43:16.316]  InfoWarsStore.com.
[00:43:16.817 --> 00:43:21.459]   And then, Take the live feed of Infowars.com forward slash show.
[00:43:21.800 --> 00:43:25.604]  Support that local radio station or TV station picking this up.
[00:43:26.205 --> 00:43:33.413]  And just say, the rebellion's now, this is the black sheep, this is the real outlaw, this is the rebel, this is what we support.
[00:43:33.493 --> 00:43:38.178]  And I want to thank all of the patriot, conservative, and nationalist leaders.
[00:43:38.478 --> 00:43:39.820]  It lets me know there's a lot of good people.
[00:43:40.947 --> 00:43:46.370]  From Tucker Carlson to Joe Rogan that have been backing us in this fight to realize they're next if we fall.
[00:43:47.090 --> 00:43:48.831]  So we are winning big time.
[00:43:49.352 --> 00:43:51.033]  And that's why our enemies are so panicked.
[00:43:51.413 --> 00:43:52.574]  Because they bet on the wrong horse.
[00:43:52.874 --> 00:43:53.674]  They bet on Satan.
[00:43:54.295 --> 00:43:56.896]  Infowarsstore.com or 888-253-3139.
[00:43:57.076 --> 00:43:59.257]  Please buy the products now.
[00:43:59.117 --> 00:44:06.117]   to the phone line at 1-855-253-3139. Please buy the products now. We'll be right back.
[00:44:06.117 --> 00:44:13.117]  We'll be right back.
[00:44:14.117 --> 00:44:14.027]   And it's time for humanity to stand up in the info war and say, "I don't know what's going to happen at the end of
[00:44:14.027 --> 00:44:22.117]  this, but you want to fight? Then fight!"
[00:44:22.698 --> 00:44:24.861]  You better believe you've got one!
[00:44:26.803 --> 00:44:32.803]   From the front lines of the information war, it's Alex Jones.
[00:44:32.803 --> 00:44:56.803]  [Music]
[00:44:56.803 --> 00:45:02.803]   For less than 20 minutes, Alex Jones questioned the official narrative of the Sandy Hook school shooting.
[00:45:02.951 --> 00:45:06.972]  Because for the so-called truther community, that was the big story.
[00:45:07.252 --> 00:45:09.573]  And so he did his job and covered the story.
[00:45:10.033 --> 00:45:14.254]  Just like he's done for the other 1.8 million minutes of his career.
[00:45:14.674 --> 00:45:24.680]  Alex Jones has been questioning the official narrative of the corrupt mainstream media and exposing the authoritarian cabal hiding in the shadows for 28 years.
[00:45:25.180 --> 00:45:30.624]  And over time, this revival of truth has grown into millions worldwide.
[00:45:31.284 --> 00:45:39.789]  Alex Jones expanded his broadcast by selling a line of products focused on healing from the toxic world of a corrupt system.
[00:45:40.129 --> 00:45:49.154]  ...which has allowed InfoWars to remain a free public broadcast to combat the dangerous lies of the mainstream media.
[00:45:49.254 --> 00:45:58.280]  In 2018, with zero evidence of their wild claims, a George Soros-funded lawsuit was filed against Alex Jones and InfoWars.
[00:45:58.820 --> 00:46:03.282]  Four months later, big tech removes InfoWars from the internet.
[00:46:03.562 --> 00:46:13.146]  We were meant to be destroyed four years ago, but thanks to an awakened audience that cares about the truth, the InfoWars signal has only grown stronger.
[00:46:13.446 --> 00:46:25.311]  And now they are no longer hiding the fact that they are standing on the graves of dead children and using their grieving parents as a political weapon to silence all of alternative news media.
[00:46:25.611 --> 00:46:34.280]   I ask that with your verdict, Take Alex Jones' platform that he talks about away.
[00:46:34.300 --> 00:46:39.382]  I ask that you make certain he can't rebuild the platform.
[00:46:39.842 --> 00:46:40.803]  That's what matters.
[00:46:42.950 --> 00:46:53.134]  Take him out of this discourse, of this misinformation, of this peddling of lies, and make sure he can't do it again.
[00:46:54.154 --> 00:47:03.557]  Alex Jones is patient zero for our society's inability to speak without lies.
[00:47:04.338 --> 00:47:18.365]   He is patient zero for alternative And according to Judge Gamble, acting like O'Brien straight out of George Orwell's 1984, the judge decides what is true.
[00:47:18.405 --> 00:47:24.508]  You may not say to this jury that you complied with the discovery.
[00:47:25.969 --> 00:47:27.089]  That is not true.
[00:47:27.890 --> 00:47:29.290]  You may not say it again.
[00:47:29.931 --> 00:47:33.292]  You may not tell this jury that you are bankrupt.
[00:47:33.813 --> 00:47:35.613]  That is also not true.
[00:47:36.074 --> 00:47:38.295]  You're already under oath to tell the truth.
[00:47:39.602 --> 00:47:45.946]  You've already violated that oath twice today in just those two examples.
[00:47:46.746 --> 00:47:56.152]  It seems absurd to instruct you again that you must tell the truth while you testify, yet here I am.
[00:47:56.533 --> 00:47:59.414]  You must tell the truth while you testify.
[00:47:59.434 --> 00:48:01.856]  This is not your show.
[00:48:02.096 --> 00:48:03.257]  Do you understand?
[00:48:03.597 --> 00:48:09.836]   what I have said. Yes, I believe what I said was true. So I guess you believe everything you say
[00:48:09.836 --> 00:48:16.557]   is true, but it isn't. Your beliefs do not make something true. That is what we're doing here.
[00:48:16.557 --> 00:48:22.717]   Just because you claim to think something is true does not make it true. There's going to be a large
[00:48:22.717 --> 00:48:27.757]   set of plaintiffs who are going to be dividing up the corpse of InfoWars in the bankruptcy estate.
[00:48:28.717 --> 00:48:35.517]   The decision to terminate the InfoWars broadcast is not in the hands of this crooked cabal.
[00:48:36.382 --> 00:48:41.566]  It is and always has been the will of our audience that decide our fate.
[00:48:42.106 --> 00:48:48.110]  The InfoWars audience has mobilized and awakened the world to the threat that is globalism.
[00:48:48.571 --> 00:48:51.373]  And with your continued support, we will keep going.
[00:48:52.053 --> 00:48:54.475]  Join us now and support the InfoWars.
[00:48:55.993 --> 00:48:58.856]  You have the decision in your hands now.
[00:48:58.876 --> 00:48:59.876]  You spread the word.
[00:48:59.896 --> 00:49:00.777]  You pray.
[00:49:00.797 --> 00:49:01.658]  You buy products.
[00:49:02.038 --> 00:49:02.919]  You never surrender.
[00:49:03.019 --> 00:49:03.940]  We will win.
[00:49:03.840 --> 00:49:10.840]  If not, it's a fate worse than death.
[00:49:11.840 --> 00:49:20.840]   Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:49:20.840 --> 00:49:24.179]  [MUSIC PLAYING]
[00:49:24.179 --> 00:49:27.179]  [Music]
[00:49:25.070 --> 00:49:43.309]   Fernandez Feeling like a woman
[00:49:43.309 --> 00:49:47.309]   I'm a honey flame on Yeah
[00:49:47.309 --> 00:50:04.990]   If you're a radio listener The pedo armies are now literally parading children
[00:50:04.990 --> 00:50:10.749]   in public with men with giant fake breasts children on stripper poles
[00:50:10.749 --> 00:50:14.911]   and I mean, this is satanic as it gets.
[00:50:16.092 --> 00:50:20.015]  This is their religion, and now they're censoring people across the board.
[00:50:20.872 --> 00:50:27.872]  that exposing.
[00:50:27.872 --> 00:50:32.231]  This is an open lunatic asylum.
[00:50:32.231 --> 00:50:34.032]  [MUSIC PLAYING]
[00:50:34.063 --> 00:50:34.663]  Taking over.
[00:50:38.066 --> 00:50:43.070]  And I've got some breaking news for you, here, that just came out today.
[00:50:45.332 --> 00:50:46.012]  God help us.
[00:50:48.454 --> 00:50:48.935]  Busted!
[00:50:51.687 --> 00:50:57.569]  Counselor who organized drag queen Showtime arrested for having sex with a 15-year-old student.
[00:51:00.089 --> 00:51:03.130]  Political correctness hampers crackdown on child sex grooming.
[00:51:05.631 --> 00:51:09.852]  Breaking YouTuber moves Drew Hernandez anti-grooming videos for hate speech.
[00:51:11.173 --> 00:51:16.834]  Governor Gavin Newsom signs bill reducing penalties for sodomy with minors raping children.
[00:51:20.407 --> 00:51:26.052]  Weiner says gays shouldn't avoid sex parties or orgies during monkey pox, though they caused it.
[00:51:27.913 --> 00:51:32.097]  Stressed out STD clinic struggle handles surge in monkey pox patients as the U.S.
[00:51:32.177 --> 00:51:32.817]  outbreak grows.
[00:51:34.158 --> 00:51:40.583]  Christian high school in Manhattan at a church hosted a mandatory drag queen in place of church service.
[00:51:43.146 --> 00:51:47.189]  Trans activist pledges to send hormone drugs to youth across state lines.
[00:51:48.820 --> 00:51:52.643]  Quote, gay couple charged with using adopted kids to make child porn.
[00:51:56.086 --> 00:52:00.850]  Victor Orban, the president of Hungary, says, less drag queens, more Chuck Norris.
[00:52:03.612 --> 00:52:07.916]  And it goes on from there.
[00:52:09.537 --> 00:52:16.543]  James Lindsay, blacklisted for Twitter for criticizing the left, the grooming of children, top academic.
[00:52:18.186 --> 00:52:27.031]  Meanwhile, we have a video we'll play at the start of the next segment of the wife of John McCain saying they all knew Epstein was raping children, but they covered it up.
[00:52:27.331 --> 00:52:28.252]  We'll show you that video.
[00:52:28.892 --> 00:52:32.774]  Drew Hernandez is an investigative reporter, commentator, and host of Frontlines.
[00:52:33.955 --> 00:52:34.955]  Andrew Hernandez Live.
[00:52:35.076 --> 00:52:36.496]  DrewHLive.com.
[00:52:36.917 --> 00:52:39.818]  And he's being censored for exposing this evil attack.
[00:52:39.878 --> 00:52:43.360]  Big Tech is complicit in every crime we can imagine.
[00:52:43.400 --> 00:52:44.601]  Drew Hernandez, thanks for joining us.
[00:52:45.794 --> 00:52:47.215]  Alex, thanks for having me, man.
[00:52:47.235 --> 00:52:47.935]  Good to see you.
[00:52:48.295 --> 00:52:52.998]  And shout out to the InfoWars family and InfoWars Army in the getter chat and worldwide.
[00:52:53.018 --> 00:52:53.999]  I mean, here we are, Alex.
[00:52:54.019 --> 00:52:55.500]  You're no stranger to censorship.
[00:52:55.520 --> 00:53:01.503]  You're no stranger to exposing the pedophile rings and the pedo groups here in the United States and worldwide.
[00:53:01.563 --> 00:53:23.699]   But as of recently, here with my own little lane, my own channel on the Turning Point USA channel, YouTube decided to take down six episodes and three on my own personal channel that were all specifically reporting on the majority of stories like the ones you just read off and the clips when I was at Pride LA literally exposing these drag freaks on floats offering lube to children.
[00:53:24.159 --> 00:53:34.787]  YouTube drew a line in the sand and they took down six episodes that were exposing the groomer agenda because they called it hate speech, which everyone watching this is like, yes, Drew, we know that's what YouTube does.
[00:53:35.088 --> 00:53:36.489]  They've drawn a line in the sand.
[00:53:36.929 --> 00:53:43.430]  What's interesting right now is we're going to continue to push back right now because we are going to continue our show on Rumble as well.
[00:53:43.931 --> 00:53:52.172]  And by God's grace, we're going to have our show airing every single night on Real America's Voice, every single night on the app, and everywhere you could watch it at 7.30 p.m.
[00:53:52.212 --> 00:53:53.253]  Pacific Standard Time.
[00:53:53.273 --> 00:53:54.253]  That's 10.30 p.m.
[00:53:54.293 --> 00:54:02.315]  And by the way, we apologize for having to show this for TV viewers, and radio listeners are lucky not to see this, but we have a response.
[00:54:02.355 --> 00:54:03.335]  This is happening to children.
[00:54:03.355 --> 00:54:03.915]  This is going on.
[00:54:05.129 --> 00:54:05.890]  Exactly, Alex.
[00:54:05.930 --> 00:54:08.033]  I mean, see, this is what they do.
[00:54:08.093 --> 00:54:12.859]  This is why censorship is an obvious slippery slope because of free speech.
[00:54:13.300 --> 00:54:16.063]  But it also can damage the innocence of children.
[00:54:16.384 --> 00:54:23.213]  Because there are legitimate stories, like the one you just cited in Arizona, legitimate stories of children being raped.
[00:54:23.653 --> 00:54:27.599]  By people who identify in the LGBTQ community actual groomers.
[00:54:28.019 --> 00:54:31.684]  Now you can't report on that on YouTube because that's hate speech.
[00:54:31.904 --> 00:54:34.047]  So who do you think takes advantage of that, Alex?
[00:54:34.087 --> 00:54:34.728]  You know the answer.
[00:54:34.748 --> 00:54:35.429]  Well, it's the same.
[00:54:35.449 --> 00:54:37.592]  We know big techs run by pedophiles.
[00:54:37.612 --> 00:54:38.473]  The whole new world order is.
[00:54:38.513 --> 00:54:40.576]  So, this is just incredible.
[00:54:41.994 --> 00:55:01.724]  Absolutely, but what happens here is anytime someone comes out and reports on a genuine story on YouTube, Big Tech, here on social media or whatever, you actually call a groomer a groomer, that's offensive and we don't want to hurt the feelings of the gay people or anyone that might identify in the LGBTQ community.
[00:55:02.124 --> 00:55:03.865]  They're now hiding behind that.
[00:55:04.105 --> 00:55:12.268]   So now we have actual pedophiles and groomers that are getting a pass Because now they could just hide behind the LGBTQ community and the rainbow flag, Alex!
[00:55:12.768 --> 00:55:14.068]  So that's where we're at!
[00:55:14.088 --> 00:55:16.689]  This is the total depravity, and they're gonna censor anyone.
[00:55:17.069 --> 00:55:21.830]  Doesn't matter what you politically affiliate as, whether you're left or right, gay, straight, doesn't matter.
[00:55:22.230 --> 00:55:32.932]  If you come out and call out groomers on YouTube, you're gonna get silenced and canceled and censored, and you're gonna be deplatformed, which is not anything new, but we're talking about the innocence of children.
[00:55:33.253 --> 00:55:35.333]  You cannot report on this on YouTube anymore.
[00:55:35.433 --> 00:55:37.194]  Because it would bring them down if it was shown.
[00:55:37.234 --> 00:55:39.016]  They want to do it instead with their captured children.
[00:55:39.676 --> 00:55:43.218]  Again, every day they're busting the drag queen story time raping children.
[00:55:43.699 --> 00:55:45.360]  I've got stacks of articles showing this.
