[00:00:00.290 --> 00:00:00.791]  It's here.
[00:44:43.049 --> 00:44:47.692]  I know because I've had dinner with him and hung out with him and in a film with him and consulted on it.
[00:44:48.959 --> 00:44:49.840]  He's a listener to the show.
[00:44:50.320 --> 00:44:52.102]  Now you can see how he's hardcore publicly.
[00:44:52.842 --> 00:44:55.725]  I told you two years ago, Joe Rogan said, you know, I apologize.
[00:44:55.745 --> 00:44:56.606]  You were right about all this.
[00:44:56.666 --> 00:44:59.928]  I've woken up and I just didn't believe the system was this evil.
[00:44:59.948 --> 00:45:00.329]  You're right.
[00:45:01.169 --> 00:45:05.033]  And I told you, watch the transformation because he's very smooth how he does things.
[00:45:05.473 --> 00:45:07.875]  Now he's out defending the second amendment to the hill.
[00:45:09.116 --> 00:45:12.819]  And I only put this out to you to not say, look how important I am.
[00:45:13.580 --> 00:45:15.542]  I want you to realize how important you are.
[00:45:16.789 --> 00:45:20.350]  Because the best hope we've got of beating these people is this broadcast.
[00:45:20.850 --> 00:45:23.351]  This broadcast changed the world, and that means you changed the world.
[00:45:23.891 --> 00:45:26.012]  And I salute you and thank you before we start the second hour.
[00:45:26.472 --> 00:45:27.732]  We've got so much next hour.
[00:45:27.912 --> 00:45:28.572]  It just happened.
[00:45:29.312 --> 00:45:38.455]  The rigged jury, full of Hillary Clinton and Democratic Party operatives, acquitted Sussman on charge brought by Special Counsel Durham.
[00:45:39.695 --> 00:45:45.177]  We've got massive Big Pharma news on the COVID front, the new monkeypox lockdowns.
[00:45:46.385 --> 00:45:48.147]  And so much more coming up.
[00:45:48.828 --> 00:45:59.721]  We have a special guest for the third hour, but I intend to open the phones up specifically on the topic of Justin Trudeau and Biden tipping his hand that they are going to go after.
[00:45:59.741 --> 00:46:00.441]  Oh, that's the key.
[00:46:00.461 --> 00:46:01.483]  I should have said the start of the segment.
[00:46:02.466 --> 00:46:03.807]  They're going to go after the ammunition.
[00:46:03.967 --> 00:46:05.528]  They're going to try to ban calibers now.
[00:46:05.928 --> 00:46:06.709]  And that's been announced.
[00:46:06.749 --> 00:46:07.730]  They've done that in other countries.
[00:46:07.750 --> 00:46:10.331]  The Democrats have proposed it in California, other areas.
[00:46:10.371 --> 00:46:22.680]  So that's the moral of all that BS you just heard from Biden, is they are coming for your calibers and pretending like if a gun can kill somebody, it's illegal, when that's the whole damn point of them.
[00:46:23.420 --> 00:46:26.202]  As a deterrent or to defend yourself in a last ditch operation.
[00:46:26.603 --> 00:46:29.004]  We'll be back with our number two, Infowars.com.
[00:46:29.004 --> 00:46:36.004]  Tomorrow's News.
[00:46:36.004 --> 00:46:40.164]  InfoWars has made history.
[00:46:40.835 --> 00:46:42.997]  You have made history in your support of InfoWars.
[00:46:43.518 --> 00:46:58.232]  And one of the biggest tools we've had to circumvent and override the censors has been Patriot apparel, so we can identify each other, so we can spread the word, and so we can push people to websites like InfoWars.com so they can understand the globalist plan and how to stop it.
[00:46:58.672 --> 00:47:04.915]  Now, ladies and gentlemen, two months ago we announced we're blowing out of all of our designs of t-shirts, some of which go back more than 25 years.
[00:47:05.415 --> 00:47:06.616]  All these shirts are limited edition.
[00:47:06.656 --> 00:47:11.398]  They are about to be history and will only exist in your closet, your drawer, or your wardrobe.
[00:47:11.839 --> 00:47:15.140]  So, there's only 15,000 shirts of 60-plus thousand left.
[00:47:15.460 --> 00:47:17.802]  In a couple weeks, they'll all be gone and they'll be history.
[00:47:18.042 --> 00:47:22.464]  We're selling them all at cost at InfoWarsTore.com.
[00:47:22.844 --> 00:47:24.245]  So, thank you all for your support.
[00:47:24.565 --> 00:47:33.788]   Please visit InfoWarsTore.com and get One of these historic shirts, hoodies, long sleeves, ball caps, you name it, while you still can, I want to thank you all for your support.
[00:47:34.009 --> 00:47:46.168]   InfowarStore.com And it's time for humanity to stand up in the Infowar and
[00:47:46.168 --> 00:47:49.809]   say, "I don't know what's going to happen at the end of this, but you ought to fight!"
[00:47:49.794 --> 00:47:51.655]  You better believe you got one!
[00:47:54.178 --> 00:47:59.178]   From the front lines of the information war, it's Alex Jones.
[00:47:59.178 --> 00:48:13.178]  [Music]
[00:48:13.178 --> 00:48:23.178]  [Music]
[00:48:23.178 --> 00:48:28.178]   In Davos, Switzerland, Klaus Schwab and his fellow wannabe tyrants
[00:48:28.178 --> 00:48:32.178]   have come out into the open as the arbiters of world government.
[00:48:32.890 --> 00:48:37.332]  They are openly calling for world war and the end of national sovereignty.
[00:48:37.872 --> 00:48:41.853]  And they openly acknowledge that they must move quickly to be victorious.
[00:48:43.294 --> 00:48:52.441]  Many are celebrating the fact that the people of Sri Lanka are rising up against their corrupt politicians, burning their homes and destroying city property.
[00:48:53.222 --> 00:48:54.663]  But this is nothing to celebrate.
[00:48:55.143 --> 00:48:58.466]  This is exactly what the World Economic Forum is hoping for.
[00:48:59.146 --> 00:49:04.310]  They want governments to be destroyed and the people to lose all faith in the nation-state.
[00:49:05.191 --> 00:49:11.176]  Their plan is to starve the people into destroying their own governments so they can act as saviors.
[00:49:13.140 --> 00:49:18.601]  It is important for Americans to realize that the current administration is not failing at all.
[00:49:19.602 --> 00:49:22.362]  They are accomplishing exactly what they set out to do.
[00:49:23.202 --> 00:49:26.603]  They did not steal the 2020 election to secure power.
[00:49:27.163 --> 00:49:31.324]  They did it to destroy America and destabilize the entire system.
[00:49:31.925 --> 00:49:33.525]  And they are rapidly succeeding.
[00:49:34.895 --> 00:49:38.879]  The voices calling for violence are as ignorant and mad as they sound.
[00:49:39.500 --> 00:49:40.781]  Violence towards who?
[00:49:41.282 --> 00:49:42.283]  How will you organize?
[00:49:42.663 --> 00:49:43.744]  And who are you going to fight?
[00:49:44.245 --> 00:49:45.967]  Your brainwashed sheep neighbors?
[00:49:46.848 --> 00:49:49.570]  That is exactly what the globalists want you to do.
[00:49:50.231 --> 00:49:57.399]  And if your plan is to wait until they come to your door, then you'll just be a dangerous animal in a cave on someone else's private property.
[00:49:59.164 --> 00:50:00.386]  But there are solutions.
[00:50:01.067 --> 00:50:12.865]  For example, before passing in March of 2022, the great Jordan Maxwell's last project was to save America from global governance with America 21.
[00:50:14.928 --> 00:50:30.139]  America 21's mission is to gut the system of globalist interference and reclaim all of America by 2025, so that we can rebuild our agriculture, production, and energy, and become a self-sufficient nation that serves the people.
[00:50:30.679 --> 00:50:39.025]  America 21 is calling for a complete withdrawal from all treaties and influences of the United Nations and World Economic Forum.
[00:50:39.505 --> 00:50:43.608]  Washington DC is just a symbol of our old corrupt federal government.
[00:50:44.108 --> 00:50:51.150]  The New World leaders are living abroad, and the only way they can control us is through the compliance of our local governments.
[00:50:51.990 --> 00:50:57.991]  According to America 21, your focus needs to be where you live, in your county and city.
[00:50:58.572 --> 00:51:02.813]  Global governance ultimately depends on your county being taken over.
[00:51:03.133 --> 00:51:05.193]  This is where you need to resist now.
[00:51:05.813 --> 00:51:11.575]  This is how the United Nations and the globalists have been doing it, and it's the only way to properly reverse it.
[00:51:12.836 --> 00:51:31.045]  America 21 has been having success in Montana, and they freely share their working model and support at America21Century.com, such as learning what language to look for in your local governments to detect UN initiatives and protocols being deployed by your local officials.
[00:51:31.545 --> 00:51:36.808]  Keywords such as 2030, sustainable development, and carbon neutral.
[00:51:38.231 --> 00:51:43.533]  Your local officials have to live with you, and in most cases will prefer to keep their jobs.
[00:51:44.113 --> 00:51:49.174]  Our voting system may be broken, but our elected officials still work for us.
[00:51:49.614 --> 00:51:57.017]  And if enough of us come together, we can put the pressure on them to renounce global governance and to serve the will of the people.
[00:51:57.517 --> 00:51:59.417]  This is the law of the land.
[00:52:00.037 --> 00:52:01.738]  It really is just that simple.
[00:52:02.178 --> 00:52:04.459]  But we have to come together and get active.
[00:52:05.689 --> 00:52:07.170]  Americans have a choice.
[00:52:07.570 --> 00:52:16.914]  We can either take action to purge the system of corrupt politicians and their thugs, or we can stop complaining about them and be good slaves.
[00:52:18.635 --> 00:52:21.136]  Reporting for InfoWars, this is Greg Reese.
[00:52:22.917 --> 00:52:24.378]  All right, my friends, we're going to go to break.
[00:52:25.819 --> 00:52:31.061]  We spent the whole first hour on the gun confiscation starting in Canada under the World Economic Forum's control.
[00:52:31.081 --> 00:52:33.682]  We're going to get all the other big news when we come back in 60 seconds.
[00:52:33.702 --> 00:52:34.443]  Stay with us.
[00:52:36.824 --> 00:52:48.227]  So, Barack Obama's third administration puppet, Biden, has come out and said, yeah, they're looking at banning high-powered ammo, like 9mm.
[00:52:48.267 --> 00:52:50.028]  This isn't even high-powered, it's weak.
[00:52:51.668 --> 00:52:54.209]  Kamala Harris says time to ban all semi-autos.
[00:52:55.289 --> 00:53:00.151]  Canada announces a freeze on selling or transferring any handguns ahead of confiscation.
[00:53:01.011 --> 00:53:02.131]  Unbelievable information.
[00:53:02.171 --> 00:53:04.852]  But now, I want to hit a bunch of other news.
[00:53:06.167 --> 00:53:07.828]  And then come back at the bottom of the hour.
[00:53:07.848 --> 00:53:09.209]  I'm going to give the number out.
[00:53:09.629 --> 00:53:13.172]  We'll take six, seven calls in the last two segments of the hour.
[00:53:14.958 --> 00:53:26.920]  On your view on Trudeau and the WEF puppet carrying out their agenda of banning free speech, coming after the guns, and Klaus Schwab bragging in an earlier clip that he is directly under his command.
[00:53:27.000 --> 00:53:28.301]  I mean, this is just insane.
[00:53:28.941 --> 00:53:31.461]  If you realize, the Democratic Party uses all the same nomenclature.
[00:53:32.221 --> 00:53:34.422]  They follow the same directives, the same scripts.
[00:53:34.902 --> 00:53:38.303]  This is global government staring us in the face, and Klaus Schwab bragged last Monday.
[00:53:38.323 --> 00:53:40.063]  He played the clip probably 10 times.
[00:53:41.536 --> 00:53:45.683]  That the WEF is in control of the major governments and that they rule the world.
[00:53:46.124 --> 00:53:54.017]  And they went on to say, we're going to censor you, we're going to take over your bodies, we're going to disarm you, we're going to make you obsolete, we're going to make you live in your house in the metaverse.
[00:53:54.137 --> 00:53:54.878]  It's all been announced.
[00:53:56.479 --> 00:53:59.840]  Moving so incredibly quickly right now.
[00:54:00.540 --> 00:54:02.261]  And where are our leaders even talking about it?
[00:54:02.301 --> 00:54:03.361]  Well, they're starting to some.
[00:54:03.901 --> 00:54:04.722]  Senator Paul and others.
[00:54:04.762 --> 00:54:20.807]  But this should be the number one issue of an outside multinational corporate combine exerting its power over the world and preparing new lockdowns that they war-gamed a year ago for May and June to roll out the monkey pox with the lockdowns implemented in August.
[00:54:21.147 --> 00:54:22.007]  Now that's their plan.
[00:54:22.067 --> 00:54:23.528]  It's all scripted like you're idiots.
[00:54:25.094 --> 00:54:28.276]  They got to script it and prepare it, and they just think you won't notice.
[00:54:29.576 --> 00:54:30.937]  They ordered the vaccine before.
[00:54:31.957 --> 00:54:32.958]  They war-gamed it all.
[00:54:34.159 --> 00:54:34.799]  Unbelievable.
[00:54:34.839 --> 00:54:37.100]  We've got some big news, huge news on that front.
[00:54:37.120 --> 00:54:39.181]  But first, let me give you the number.
[00:54:40.021 --> 00:54:41.202]  The toll-free number to join us is 877-789-2539.
[00:54:41.222 --> 00:54:41.382]  877-789-Alex.
[00:54:41.402 --> 00:54:41.442]  877-789-2539.
[00:54:41.262 --> 00:54:52.262]  877-789-2539, 877-789-Alex, 877-789-2539.
[00:54:52.262 --> 00:54:56.861]  First-time callers on one topic, the gun grab.
[00:54:57.405 --> 00:54:57.885]  Canada.
[00:54:57.965 --> 00:54:58.685]  The W.E.F.
[00:54:58.745 --> 00:54:59.426]  in control of it.
[00:55:00.326 --> 00:55:01.647]  What do you think's coming next?
[00:55:01.727 --> 00:55:12.033]  And you understand that I'm telling you that they do intend to try major gun confiscation in this country to try to trigger a civil war because they want to collapse the United States.
[00:55:13.053 --> 00:55:21.538]  That's why we need to be nonviolent and not let them push us into a confrontation because they've already stolen the last election.
[00:55:21.578 --> 00:55:25.020]  They plan on stealing the midterms and they plan on triggering violence.
[00:55:26.351 --> 00:55:41.379]  If we can keep from being violent back, at least in the first phase, it'll cause an even bigger realignment, and you'll see more leaders in Congress, more governors and others, fully energize and stand up, and our victory will be assured.
[00:55:41.999 --> 00:55:44.720]  They'll have their own people turn against them, whistleblowers, you name it.
[00:55:45.141 --> 00:55:50.383]  There are a lot of people in the establishment that know the globalists have this plan, and think it's just too dangerous to try to execute.
[00:55:50.423 --> 00:55:55.086]  They're for it, but they think they're failing, and that gambling like this is dangerous.
[00:55:56.690 --> 00:56:00.091]  And so the New World Order is very, very weak in their own internal documents.
[00:56:00.551 --> 00:56:01.232]  They admit that.
[00:56:01.292 --> 00:56:04.453]  So your calls are coming up at the bottom of the hour.
[00:56:04.513 --> 00:56:05.573]  Love to hear from Canadians.
[00:56:06.133 --> 00:56:08.674]  Particularly, you'll go to the head of the line at 877-789-2539.
[00:56:08.894 --> 00:56:13.616]  I see the first call come in as Craig from Canada.
[00:56:14.076 --> 00:56:16.117]  I thought, oh yeah, obviously, Canadians.
[00:56:16.897 --> 00:56:20.138]  We'll put you to the head of the line, 877-789-2539.
[00:56:20.158 --> 00:56:21.679]  What is your view of the situation?
[00:56:22.839 --> 00:56:24.400]  Okay, let's move quickly through a bunch of other news.
[00:56:25.589 --> 00:56:27.049]  Talk about lawlessness in the government.
[00:56:27.069 --> 00:56:27.990]  Talk about above the law.
[00:56:28.630 --> 00:56:30.030]  Sussman lied to the FBI.
[00:56:30.310 --> 00:56:43.713]  Sussman took fake documents created by Hillary Clinton, gave them to them to try to then get Trump spied on, which they did, and to get billions of dollars of CIA funding to use domestically against the American people.
[00:56:44.713 --> 00:56:53.295]  Sussman acquitted on charge brought by Special Counsel Durham, the jury that had a bunch of people that actually worked for Obama and Hillary, not just voters, but actually worked for him.
[00:56:54.892 --> 00:57:11.473]   The jury acquitted Michael Sussman, 57, on charges that he lied when he allegedly denied he was acting on behalf of any client and alerting the FBI to claims that a secret server Link Trump to a Moscow bank.
[00:57:11.533 --> 00:57:12.294]  It was all fake.
[00:57:12.934 --> 00:57:13.894]  They knew it was fake.
[00:57:14.354 --> 00:57:15.575]  He said it wasn't paid for.
[00:57:15.655 --> 00:57:17.155]  He said it was the Democratic Party.
[00:57:17.915 --> 00:57:20.336]  He filed a fake report and fake dossier.
[00:57:21.216 --> 00:57:23.137]  And of course the higher-ups, the FBI, knew this.
[00:57:23.937 --> 00:57:25.417]  They've come out and defended Sussman.
[00:57:25.457 --> 00:57:26.498]  This is disgusting.
[00:57:28.238 --> 00:57:31.999]  Ex-Clinton campaign lawyer Sussman not guilty in Trump-Russia trial.
[00:57:33.039 --> 00:57:38.041]  A green light for them to engage in even more criminal activity.
[00:57:39.582 --> 00:57:44.835]  Absolutely insane that that is going on.
[00:57:45.837 --> 00:57:46.880]  Now let's look at this stat.
[00:57:48.732 --> 00:58:02.036]  Big Pharma boss caught faking his COVID vaccination status, injected himself with salt water instead, now facing criminal charges along with hundreds of other celebrities who, by the way, pushed the shots.
[00:58:02.616 --> 00:58:07.818]  This is in Spain, which is a total police state, never came out of martial law under Franco.
[00:58:08.258 --> 00:58:09.078]  Very, very sad.
[00:58:09.918 --> 00:58:15.240]  Big Pharma boss caught faking his COVID vaccination status, injecting himself with salt water instead.
[00:58:16.837 --> 00:58:22.358]  Well, the WHO and our political leaders want us to trust the COVID vaccines and push for legal measures to force it upon us.
[00:58:22.779 --> 00:58:26.419]  It seems even big pharma executives don't even trust the safety of the vax.
[00:58:27.360 --> 00:58:31.801]  I talked to a billionaire, well-known owner of a biotech company, in person.
[00:58:32.681 --> 00:58:33.241]  Ran into him.
[00:58:33.261 --> 00:58:35.322]  Didn't know who they were at the time when I looked him up.
[00:58:35.802 --> 00:58:36.462]  Big scientist.
[00:58:37.802 --> 00:58:39.883]  Two years ago, he said, don't take that vaccine.
[00:58:41.123 --> 00:58:42.244]  It'll destroy your immune system.
[00:58:43.344 --> 00:58:43.624]  And more.
[00:58:46.818 --> 00:58:49.940]  Spanish actress investigated for buying fraudulent COVID pass.
[00:58:51.241 --> 00:58:52.222]  That's your global pass.
[00:58:52.922 --> 00:58:58.567]  The president of PharmaMar, among more than 2,200 falsely vaccinated with COVID.
[00:58:58.587 --> 00:59:00.668]  We're talking about arresting hundreds.
[00:59:02.189 --> 00:59:08.994]  Many questions remain over the false COVID-19 vaccine certificates bought by stars, sports personalities, and business leaders.
[00:59:10.335 --> 00:59:20.117]   Meanwhile, Fauci It's revealed, had a war game of the mousepox being released shortly before that began spreading in the global outbreak.
[00:59:20.918 --> 00:59:23.901]  And his answer, of course, forced inoculation.
[00:59:23.941 --> 00:59:28.044]  He got a $10 million grant to run the Fairmongering program.
[00:59:29.845 --> 00:59:41.622]   So Tom Cruise was right to giving kids Ritalin and Adderall and All these other dangerous drugs is out of control, but what about the gene therapy shots?
[00:59:41.642 --> 00:59:45.265]  They're giving five and ups and causing heart attacks and so many problems.
[00:59:46.346 --> 00:59:49.368]  Bill Gates says the next pandemic likely to be caused by climate change.
[00:59:49.588 --> 00:59:50.849]  It's gonna come out of the jungle.
[00:59:50.949 --> 00:59:53.551]  It's your fault, not out of the labs he controls.
[00:59:53.591 --> 00:59:54.472]  Told you that was coming.
[00:59:54.711 --> 00:59:56.711]  tomorrow's news today.
[00:59:56.711 --> 01:00:06.992]   And some good news, in the UK they've got big petitions saying do not sign the WHO pandemic treaty unless it is
[01:00:06.992 --> 01:00:09.711]  approved via public referendum.
[01:00:10.680 --> 01:00:11.920]  Count Dankula is laying it out.
[01:00:11.780 --> 01:00:20.139]   Now please explain to me how again democracy is power to the people.
[01:00:20.139 --> 01:00:21.139]  Now look at this one.
[01:00:21.164 --> 01:00:25.026]  Report, more than 3,000 diabetics in the UK died because of COVID lockdowns.
[01:00:26.164 --> 01:00:30.828]  They were denying people basic medical care during all of that as well.
[01:00:31.349 --> 01:00:33.711]  All part of the death panels in their own words.
[01:00:37.608 --> 01:00:46.715]  Who's out of the Gateway Pundit, one of the largest egg factories in the U.S., torched in the middle of the night amid outbreak of fires in food processing facilities across the nation.
[01:00:46.796 --> 01:00:48.637]  On average, one is burning a day.
[01:00:49.177 --> 01:00:50.739]  And you wonder why there's food shortages.
[01:00:51.619 --> 01:00:54.001]  And Royce White asked the question, we're at war.
[01:00:54.502 --> 01:00:56.844]  The question is whether the enemy is foreign or domestic.
[01:00:56.864 --> 01:00:58.165]  Well, who's shutting off the pipelines?
[01:00:58.725 --> 01:00:59.826]  Who's dissolving the borders?
[01:01:00.307 --> 01:01:02.128]  Who's doing all of this?
[01:01:02.789 --> 01:01:05.451]  I ask you that, ladies and gentlemen.
[01:01:06.601 --> 01:01:08.142]  Now the big news when we come back.
[01:01:09.363 --> 01:01:11.625]  Russia threatens to wipe out the entire U.S.
[01:01:11.745 --> 01:01:15.748]  with just four Satan 2 missiles and chilling warning over Ukraine.
[01:01:17.329 --> 01:01:19.510]  And that ties into some other big news on that front.
[01:01:19.550 --> 01:01:25.274]  Mainstream media praises Ukraine's Azov battalion for dropping Nazi patches from the uniform.
[01:01:25.755 --> 01:01:27.676]  That's the Times of London.
[01:01:28.096 --> 01:01:29.857]  Talk about surreal, ladies and gentlemen.
[01:01:30.378 --> 01:01:32.519]  You cannot make this up.
[01:01:32.659 --> 01:01:45.316]   More details of that When we come back and also reports on who controls the World Health Organization, it's now admitted that Communist China controls the panel.
[01:01:45.416 --> 01:01:51.416]   They've now just elected another member of the World Health Organization Executive Board with no objections.
[01:01:51.416 --> 01:01:59.416]  We'll be right back, my friends.
[01:01:59.526 --> 01:02:00.607]  This is the Great Reset.
[01:02:00.687 --> 01:02:01.507]  What are you going to do about it?
[01:02:02.788 --> 01:02:03.549]  I'll tell you about it.
[01:02:04.594 --> 01:02:12.678]  It is possible to admit that the special operation of Russia on Ukraine is over, in the sense that the real war has begun, and the third world war.
[01:02:12.818 --> 01:02:20.062]  We are forced to demilitarize not just Ukraine, but the entire North Atlantic Alliance.
[01:02:20.082 --> 01:02:20.982]  Why am I talking about this?
[01:02:20.842 --> 01:02:28.842]   The war is a third world war, and we have to demilitarize not only Ukraine, but the whole North Atlantic Alliance.
[01:02:28.842 --> 01:02:30.842]  Why am I talking about this?
[01:02:30.842 --> 01:02:35.842]   The strikes on Donetsk were not only launched by the missiles of the Russian Air Force "Smerch" from the Kasyan.
[01:02:35.871 --> 01:02:37.612]  Russia threatens to wipe out the entire U.S.
[01:02:37.432 --> 01:02:44.432]   The remarks were made from the very American howitzers, the American howitzers M3.
[01:02:45.432 --> 01:02:53.432]   National Russian television is putting out state propaganda threatening to nuke the United States.
[01:02:53.432 --> 01:03:01.432]   Russia threatens to wipe out the entire US with just four Satan 2 missiles and chilling warning over Ukraine.
[01:03:01.432 --> 01:03:11.432]   A chilling moment on Russian state TV on Monday saw a host issue the latest in a long line of threats,
[01:03:11.432 --> 01:03:17.432]   this time warning Putin could "destroy the entire east coast of the US with just four Satan 2 missiles."
[01:03:17.253 --> 01:03:18.194]  with just two missiles.
[01:03:18.934 --> 01:03:29.364]  In footage from Russia's flagship propaganda show, a member of Russia's parliament boasts about the nation's military might for also labeling two million Ukrainians as incurable.
[01:03:31.741 --> 01:03:34.261]  Russian propaganda declares World War III has already started.
[01:03:34.322 --> 01:03:38.482]  A terrifying Kremlin TV threat reads another headline.
[01:03:39.783 --> 01:03:41.783]  Meanwhile, here's the Times of London.
[01:03:43.363 --> 01:03:48.764]  Azov battalion drops neo-Nazi symbol exploited by Russian propagandist.
[01:03:49.684 --> 01:03:50.745]  Talk about propagandist.
[01:03:50.805 --> 01:03:52.025]  It is a Nazi battalion.
[01:03:52.045 --> 01:03:53.545]  They are Nazis at Heil Hitler.
[01:03:54.425 --> 01:03:55.586]  And now they're the good guys.
[01:03:56.766 --> 01:03:57.826]  Isn't that just cute?
[01:04:01.007 --> 01:04:07.554]  Mainstream media praises Ukraine's Azov battalion for dropping Nazi patches from their uniforms.
[01:04:08.695 --> 01:04:10.878]  So that's where we are in the globalist proxy war.
[01:04:12.159 --> 01:04:25.560]   And the neocons, crazy leftist, wanted Biden to transfer long-range missiles Heavy missiles to Ukraine.
[01:04:26.040 --> 01:04:28.121]  Ukraine's already been attacking inside Russia.
[01:04:29.082 --> 01:04:33.965]  And Biden did something smart, or whoever's handling him did, and said no.
[01:04:34.626 --> 01:04:43.992]  And now his own party's calling him a traitor because he doesn't want to send offensive weapons to the Ukrainians.
[01:04:44.052 --> 01:04:53.820]   I guess the 60 billion in the last couple months isn't enough, and the new 5 billion They're demanding every single month.
[01:04:55.621 --> 01:04:57.261]  So pray for peace, ladies and gentlemen.
[01:04:58.641 --> 01:05:01.442]  That's where we are in the year 2022.
[01:05:03.203 --> 01:05:17.767]  And I have to just ask all of you listening, who do you think is destroying our country?
[01:05:21.257 --> 01:05:24.579]  Who do you think is dismantling our nation?
[01:05:27.040 --> 01:05:30.662]  Who do you think is carrying out the economic warfare?
[01:05:32.683 --> 01:05:37.785]  Who do you think is pushing the transgenderism to break up the family?
[01:05:40.287 --> 01:05:43.548]  Is it the Russians?
[01:05:44.709 --> 01:05:47.130]  Or is it the World Economic Forum and the megacorporations?
[01:05:48.111 --> 01:05:49.852]  Who's allied with the Communist Chinese?
[01:05:50.922 --> 01:05:51.762]  World Economic Forum.
[01:05:53.243 --> 01:05:54.944]  We see these headlines in the UK.
[01:05:54.984 --> 01:05:56.065]  We see these headlines here in the US.
[01:05:56.085 --> 01:05:57.346]  This is out of the BBC.
[01:05:58.946 --> 01:06:01.008]  Is this the end of retirement as we know it?
[01:06:01.408 --> 01:06:01.988]  That's right.
[01:06:02.068 --> 01:06:07.811]  In the world of robots, in the world of the future, you work more and you have less because of inflation.
[01:06:09.232 --> 01:06:11.853]  Eurozone inflation reaches 8.1 in May.
[01:06:12.854 --> 01:06:14.735]  Russian oil exports in India jumped 25 times.
[01:06:16.894 --> 01:06:20.657]  Russia starts cutting off gas in the Netherlands and its government refuses to pay in rubles.
[01:06:22.078 --> 01:06:24.860]  Households worldwide wrecked by soaring gas prices.
[01:06:25.560 --> 01:06:30.224]  French economy shrank unexpectedly in the first quarter amid surging inflation.
[01:06:30.964 --> 01:06:37.689]  Lavrov, the Russian foreign minister, says West prevents Russian ships from docking at ports to exacerbate the food crisis.
[01:06:38.450 --> 01:06:40.251]  Yeah, who shut down the baby formula factories?
[01:06:42.653 --> 01:06:45.355]  The unpopular puppet.
[01:06:47.648 --> 01:06:51.690]  Of the New World Order, Joe Biden.
[01:06:54.032 --> 01:06:55.272]  And the list goes on and on.
[01:06:57.274 --> 01:07:03.557]  And looking at the attacks on our children, there's got to be light at the end of the tunnel.
[01:07:05.138 --> 01:07:12.422]  And there is, as governors and legislatures pass laws saying, don't talk to children about their sexual preference.
[01:07:13.083 --> 01:07:14.784]  Don't talk to them about how they can be another sex.
[01:07:16.212 --> 01:07:18.533]  Don't do it until at least the eighth grade.
[01:07:21.555 --> 01:07:26.877]  And the answer is they say that they're banning the word gay and that's not what's happening.
[01:07:26.917 --> 01:07:29.298]  Our children are being targeted politically and sexually.
[01:07:30.359 --> 01:07:40.944]  Biden admin K-12 schools, that's five-year-olds and up, must put boys in girls bathrooms to get federal lunch money.
[01:07:42.004 --> 01:07:44.706]  How perverted and sick and evil.
[01:07:44.806 --> 01:07:52.541]   Killing The classic division of the sexes and the human dynamic and the mammalian dynamic.
[01:07:53.301 --> 01:07:54.181]  But there's good news.
[01:07:54.262 --> 01:07:56.143]  Doctors say the sky is blue.
[01:07:57.563 --> 01:08:00.965]  Top doctors say trans swimmer has unfair advantage.
[01:08:01.685 --> 01:08:03.186]  A Paul Joseph Watson article.
[01:08:04.327 --> 01:08:13.792]  Top doctors told the New York Times that transgender swimmer Leah Thompson has had an unfair advantage over biological females despite the athlete having undergone testosterone suppressing therapy.
[01:08:14.372 --> 01:08:21.675]   A transgender swimmer who was born a man Stoke Controversy after winning the 500-yard NCAA Women's Championship in March.
[01:08:22.776 --> 01:08:29.281]  Florida Governor Rhonda Santus responded by asserting that the real winner was the biological female competitor who came in second place.
[01:08:29.961 --> 01:08:44.131]  After entering female competitions, Thomas has soured international rankings, soared international rankings, jumping from 20th, 32nd place in men's meets to 8th in women.
[01:08:45.390 --> 01:08:46.771]  And it's moving up the chart.
[01:08:46.871 --> 01:08:48.892]  I mean, this is just asinine.
[01:08:48.932 --> 01:08:53.854]  And the answer is, create a trans league, they're saying.
[01:08:56.255 --> 01:09:18.310]   And of course, as they come out with human-animal hybrids and human-splice hybrids that aren't really humanoids, as people get their designer babies, this is all just getting us ready for the whole transhumanist revolution that is here, that is using Gender dysphoria and confusion and mental illness as the pretext to take over society.
[01:09:19.931 --> 01:09:21.932]  And I don't hate any men that think they're women.
[01:09:22.893 --> 01:09:25.474]  I don't hate anybody for what they do as adults.
[01:09:25.794 --> 01:09:27.075]  As long as they don't hurt innocent people.
[01:09:27.515 --> 01:09:28.976]  And I'm not judging anybody.
[01:09:28.996 --> 01:09:32.498]  I was just on Blair White's first big podcast going viral now.
[01:09:33.059 --> 01:09:33.939]  Very nice person.
[01:09:33.979 --> 01:09:34.599]  Very smart.
[01:09:35.240 --> 01:09:36.821]  Against the targeting of children.
[01:09:38.641 --> 01:09:41.664]  Is a genuine real person who's very nice and I think a good person.
[01:09:42.465 --> 01:09:47.189]  And I'm not judging Blair White any more than I can judge anybody else.
[01:09:49.011 --> 01:09:54.776]  And so they try to say, oh, anybody that doesn't want five-year-olds taught about this hates people.
[01:09:55.197 --> 01:10:14.377]   I don't want a five-year-old taught about heterosexual sex, homosexual sex, any of this and be labeled by the state and then Put into a category where the state begins to take parental rights from the parents and prepare them to be sterilized basically.
[01:10:15.797 --> 01:10:19.078]  That's why you see in California upwards of half the children say they're transgender.
[01:10:19.399 --> 01:10:21.780]  That is brainwashing.
[01:10:22.400 --> 01:10:24.961]  That is by design and it must end.
