[00:00:00.757 --> 00:00:02.158]  World War Three.
[00:35:08.249 --> 00:35:09.629]  They all got invited to the White House.
[00:35:10.249 --> 00:35:12.710]  They get paid to promote Democrat Party propaganda on Twitter.
[00:35:12.790 --> 00:35:14.711]  Twitter then forces that into your newsfeed.
[00:35:14.771 --> 00:35:16.632]  Whether you follow them, block them, it doesn't matter.
[00:35:16.672 --> 00:35:20.834]  So everyone's getting Democrat propaganda forced into their newsfeeds.
[00:35:21.977 --> 00:35:28.919]  While Republican candidates are banned and can't even get into your news feed, it's just forced propaganda.
[00:35:30.040 --> 00:35:37.102]  And one of them said, oh, my daughter just got her student loan forgiven and now she's going to buy a new house.
[00:35:37.762 --> 00:35:43.204]  And then people were responding saying, but they didn't issue the student loan debt relief.
[00:35:43.244 --> 00:35:44.064]  It hasn't happened yet.
[00:35:44.585 --> 00:35:46.885]  And then that individual had to say, OK, yeah, that's true.
[00:35:47.406 --> 00:35:48.206]  Yeah, I made it up.
[00:35:49.172 --> 00:35:50.053]  They just make crap up.
[00:35:50.073 --> 00:35:53.515]  It's like, oh yeah, my daughter got student loan debt, forgive us, now she can buy a house.
[00:35:53.535 --> 00:35:55.035]  Yeah, it never happened, he just made the whole thing up.
[00:35:56.576 --> 00:35:57.177]  That's what they do.
[00:35:57.997 --> 00:36:08.003]  So now he's lying about the student loan bailout and saying it got passed in Congress, never went to Congress, never got voted on, but here he is claiming that in clip 6.
[00:36:08.723 --> 00:36:12.405]  Secondly, if you don't have one of those loans, you just get $10,000 written off.
[00:36:12.746 --> 00:36:13.266]  It's passed.
[00:36:13.346 --> 00:36:14.807]  I got it passed by a vote or two?
[00:36:15.487 --> 00:36:15.647]  No.
[00:36:15.927 --> 00:36:18.369]  There was no vote, never went to Congress, a total lie.
[00:36:19.799 --> 00:36:22.501]  And I don't think, I don't know if we have this one, guys.
[00:36:23.602 --> 00:36:26.565]  I don't see it on the video list, but I've got the news headline here.
[00:36:27.005 --> 00:36:30.548]  It was part of the same interview from before where he said he could drop dead from Joe Biden.
[00:36:30.968 --> 00:36:34.091]  Joe Biden on Kamala Harris, she's smart as hell.
[00:36:34.491 --> 00:36:36.693]  She has a backbone of a ramrod.
[00:36:39.455 --> 00:36:40.756]  Does anybody know what that means?
[00:36:41.516 --> 00:36:48.658]   Maybe we could ask Montel Jordan, or was it Montel Jordan that was running around with Bimbo Kamala?
[00:36:48.678 --> 00:36:48.838]  Yeah.
[00:36:49.318 --> 00:36:49.518]  Yeah.
[00:36:50.419 --> 00:36:51.599]  Kamala was looking good, wasn't she?
[00:36:52.079 --> 00:36:53.620]  Bimbo Kamala.
[00:36:53.840 --> 00:36:57.141]  Maybe he can tell us if Kamala has the backbone of a ramrod.
[00:36:58.721 --> 00:37:00.401]  Not sure what that means from Joe Biden.
[00:37:00.742 --> 00:37:02.162]  He might not be so sure either.
[00:37:04.523 --> 00:37:12.665]  Now, I'm going to come back to this issue later, maybe on the War Room or maybe later on the Jones Show, but I want to play the clip now before I get into the rest of the political news here.
[00:37:13.587 --> 00:37:15.047]  So your border is wide open.
[00:37:15.908 --> 00:37:17.888]  Record amount of illegal immigrants coming through.
[00:37:18.468 --> 00:37:20.009]  You've got record high inflation.
[00:37:20.369 --> 00:37:22.750]  You've got record high consumer price index growth.
[00:37:22.930 --> 00:37:24.750]  Record high producer price index growth.
[00:37:26.391 --> 00:37:29.132]  Violent crime is skyrocketing across the country.
[00:37:29.592 --> 00:37:31.372]  We've got supply chain problems.
[00:37:31.572 --> 00:37:35.734]  I mean, there's disaster on top of disaster on top of disaster here in the Biden administration.
[00:37:37.441 --> 00:37:39.743]  Biden has his priorities straight, ladies and gentlemen.
[00:37:40.083 --> 00:37:48.430]  And so he wants you to know that sex reassignment surgery and puberty blockers for kids is a top issue of the Democrats heading into midterms.
[00:37:48.710 --> 00:37:55.996]  So he brought in a man dressed as a woman to really hammer that point home here in clip four.
[00:37:56.016 --> 00:38:00.860]  Do you think states should have a right to ban gender affirming health care?
[00:38:01.220 --> 00:38:03.803]  I don't think any state or anybody should have the right to do that.
[00:38:04.781 --> 00:38:06.663]  As a moral question and as a legal question.
[00:38:07.323 --> 00:38:08.304]  I just think it's wrong.
[00:38:08.324 --> 00:38:10.806]  It's a big issue.
[00:38:11.387 --> 00:38:17.672]  It's a big issue is chopping up little boys and girls' body parts and aborting little babies and selling their body parts.
[00:38:17.692 --> 00:38:18.833]  That's what the Democrats are all about.
[00:38:18.853 --> 00:38:22.476]  So they bring a guy dressed as a woman to tell you how important it is.
[00:38:23.537 --> 00:38:24.758]  That's the Democrat Party.
[00:38:25.498 --> 00:38:28.601]  And they think that that's going to have them get political victories.
[00:38:29.001 --> 00:38:32.044]  And we all know that that's not what's going to lead to the political victories.
[00:38:32.184 --> 00:38:33.025]  It's the voter fraud.
[00:38:33.936 --> 00:38:36.660]  But I'll come back to that issue later because they really care about it a lot.
[00:38:36.700 --> 00:38:41.187]  They really like chopping up little boys and girls either in the womb or out of the womb.
[00:38:42.149 --> 00:38:45.534]  But here's some of the other news just two weeks out from the midterms.
[00:38:46.977 --> 00:38:49.756]   Chuck Todd Meet the press.
[00:38:50.176 --> 00:38:51.517]  New NBC poll.
[00:38:52.097 --> 00:38:55.399]  Red flag for the Democrats ahead of midterms.
[00:38:55.799 --> 00:38:56.999]  71% of Americans say U.S.
[00:38:57.060 --> 00:38:58.380]  is on the wrong track.
[00:38:59.120 --> 00:38:59.921]  Boy, oh boy.
[00:39:00.261 --> 00:39:02.202]  What could make them believe that?
[00:39:02.942 --> 00:39:04.383]  The record high violent crime.
[00:39:04.423 --> 00:39:05.523]  The record high inflation.
[00:39:05.543 --> 00:39:07.804]  The supply chain crisis close to World War III.
[00:39:08.104 --> 00:39:08.965]  Wide open borders.
[00:39:09.285 --> 00:39:13.107]  Fentanyl overdoses becoming the leading cause of death amongst middle-aged men.
[00:39:13.567 --> 00:39:14.787]  What could it possibly be?
[00:39:14.807 --> 00:39:18.309]  Of course, all Democrat Party policies.
[00:39:20.208 --> 00:39:22.989]  And this is what they're really panicked about, and we're going to be monitoring.
[00:39:23.410 --> 00:39:42.359]  Apparently Merrick Garland, that goon, is going to be having a press conference in about 40 minutes or so about the upcoming elections, and they're going to probably claim that Russia's getting ready to steal it for the Republicans or something, or maybe they'll address the poll watchers, the ballot drop box watchers.
[00:39:42.972 --> 00:39:48.676]  New York judge rules that continued absentee mail-in voting based on COVID is unconstitutional.
[00:39:48.796 --> 00:39:53.900]  Now, if it's unconstitutional now, which it is, it was unconstitutional then in 2020.
[00:39:54.341 --> 00:39:54.681]  And it was.
[00:39:58.092 --> 00:39:59.433]  And that's what Trump was arguing.
[00:39:59.834 --> 00:40:15.627]  That's what we wanted to be presented on January 6th to Congress to say, look, look at all the unconstitutional rulings that were made just ahead of the presidential elections to get millions of mail-in ballots that shouldn't have counted and all this other crap.
[00:40:16.980 --> 00:40:25.227]  And that's why the Democrats wanted the violence that day, that's why the Democrats led the violence that day, stood down the National Guard, stood down the police.
[00:40:25.607 --> 00:40:28.549]  Nancy Pelosi had the documentary film crew ready to go.
[00:40:28.569 --> 00:40:33.833]  I mean, folks, that was the ultimate proof that the Democrats knew this whole thing and it was their operation from the beginning.
[00:40:34.254 --> 00:40:38.997]  Nancy Pelosi had a documentary film crew with her on January 6th to film all their madness.
[00:40:40.599 --> 00:40:41.499]  I mean, think about that.
[00:40:42.960 --> 00:40:52.436]   And let's say that, let's just pretend for a second That Nancy Pelosi and Chuck Schumer had no idea that January 6th was going to go into violence like that.
[00:40:52.977 --> 00:40:59.022]  Why would they keep their documentary crew there and filming if it was an insurrection and it was so dangerous for them?
[00:40:59.442 --> 00:41:00.483]  They knew it never was.
[00:41:00.623 --> 00:41:02.285]  They knew they had control over the whole thing.
[00:41:02.505 --> 00:41:06.348]  They knew as soon as they sent out the emergency alert, everybody would went home just like they did.
[00:41:06.668 --> 00:41:10.511]  The Democrats ran the January 6th insurrection, not Donald Trump and Republicans.
[00:41:11.252 --> 00:41:19.921]  But now I'll be considered a terrorist for saying that and they may come bust into the studio and arrest me because don't you know we live in the Democrat Party fascist authoritarian state now.
[00:41:20.361 --> 00:41:27.108]  So okay, mail-in voting is unconstitutional now and it was in 2020 as well.
[00:41:28.169 --> 00:41:30.752]  Now here's what I think is going on.
[00:41:33.083 --> 00:41:46.076]  Because you probably saw, now look, there are multiple groups, some of them directly affiliated with the Republican Party, others just independent groups, that are watching the ballot drop boxes.
[00:41:47.057 --> 00:41:56.426]  And of course, this is all after the film, the documentary film, 2000 Mules, showed how cheating happened in the 2020 election with the drop boxes.
[00:41:57.642 --> 00:42:09.704]  Now these groups, none of them, all of them have the same policy, which is we don't confront any individuals that we think might be up to criminal activity at the mail-in drop boxes.
[00:42:09.864 --> 00:42:10.765]  We don't confront them.
[00:42:11.105 --> 00:42:21.407]  So for example, somebody drives up multiple times to the mail-in drop box with their license plate covered, they just film it, they just capture it on camera, and that's it.
[00:42:21.707 --> 00:42:23.067]  No confrontation, no nothing.
[00:42:24.676 --> 00:42:26.358]  And this is going on all around the country.
[00:42:26.378 --> 00:42:32.704]  The New York Times, the Washington Post, they've all written stories about how worried they are about that because they know they're going to use the mail-in ballots to cheat.
[00:42:32.945 --> 00:42:33.786]  And they're going to get caught again.
[00:42:35.174 --> 00:42:58.192]  So what they did, and this is what I believe, I believe because there's one group, there's one image now going everywhere of two supposed mail-in dropbox watchers sitting in military garb, full-on military garb, with weapons and their faces covered, and now all the Democrats are saying, look at this, Republican terrorists, look at this, voter intimidation.
[00:42:59.172 --> 00:43:00.834]  I believe that's a false flat.
[00:43:02.227 --> 00:43:22.399]   I don't know of any poll watchers, I don't know of any mail-in dropbox watchers that go out there and military garb and cover their faces and that's not what any of the groups that are running these mail-in dropbox watching Initiatives have told them to do they've always said no don't don't don't dress like you're in military.
[00:43:22.439 --> 00:43:36.804]   Don't cover your face Don't brandish a firearm don't confront these people and then those individuals somehow are the only two that have ever been Filmed ever been caught on camera, and then every Democrat is complaining about it To me, that has false flag written all over it.
[00:43:36.864 --> 00:43:39.865]  And if they make the press conference about it today, I think that confirms it.
[00:43:39.705 --> 00:43:46.245]   So until I hear from that group, those two individuals or somebody that claims that they were officially watching
[00:43:46.245 --> 00:43:51.575]   drop boxes for that group, I believe those are Democrat party operatives out there to
[00:43:51.575 --> 00:43:56.705]   start the narrative that Republicans are engaging in voter intimidation at the drop boxes.
[00:43:56.705 --> 00:44:02.705]  [Music]
[00:44:02.705 --> 00:44:06.705]  Everybody says they want people to stand up and fight tyranny.
[00:44:07.025 --> 00:44:09.690]  But when you fight tyranny, the new world order comes after you.
[00:44:10.171 --> 00:44:10.952]  Now, I knew that.
[00:44:11.774 --> 00:44:16.021]  And for 28 years, I've been on air exposing these people, and together we've had a great effect.
[00:44:16.442 --> 00:44:16.823]  But listen.
[00:44:17.349 --> 00:44:18.469]  They're coming after us right now.
[00:44:18.489 --> 00:44:22.790]  They're trying to shut us down, but they can't beat the power of we the people, of you and I together.
[00:44:23.310 --> 00:44:30.332]  So please visit InfoWarsTore.com and get incredible game-changing products while at the same time keeping us on air.
[00:44:30.652 --> 00:44:39.013]  We have the biggest sale of the year running right now at InfoWarsTore.com and you get an additional 10% off on the deals that are at least 40% off.
[00:44:39.434 --> 00:44:44.735]  Many are 50% off on Vitamineral Fusion, X3, DNA Force Plus, you name it.
[00:44:44.755 --> 00:44:52.811]   So on top of 50% off, at checkout with promo code 1776 or 1776 an additional 10%
[00:44:52.811 --> 00:44:54.371]  off and no pay for your points.
[00:44:54.371 --> 00:44:58.351]   This is by far the biggest sell of the year, keeps us on air, plus they're great products.
[00:44:58.351 --> 00:45:03.911]  Check them out at infowarestore.com with promo code 1776.
[00:45:03.911 --> 00:45:10.330]   So Republicans, conservatives, Americans have organized after seeing the documentary film
[00:45:10.330 --> 00:45:17.571]   2000 mules, groups to legally, lawfully, peacefully watch, mail in, drop boxes to keep an eye
[00:45:17.571 --> 00:45:18.691]  out for any voter fraud.
[00:45:18.673 --> 00:45:24.856]  And they all have the same priorities, they all have the same initiatives told to them.
[00:45:24.996 --> 00:45:25.957]  We don't confront.
[00:45:26.757 --> 00:45:28.278]  We don't brandish firearms.
[00:45:28.318 --> 00:45:29.298]  We don't cover our faces.
[00:45:29.338 --> 00:45:30.339]  We don't do anything illegal.
[00:45:30.799 --> 00:45:32.020]  We do everything by the books.
[00:45:33.080 --> 00:45:35.381]  And if we see something sketchy or illegal, we just film it.
[00:45:35.502 --> 00:45:36.042]  That's it.
[00:45:37.250 --> 00:45:46.962]  And so now all of a sudden you've got this image that every Democrat is sharing, that every Democrat is complaining about voter intimidation on, and now I suspect Merrick Garland about to have a press conference on.
[00:45:47.482 --> 00:45:56.113]  Two individuals, brandishing firearms, full military garb, sitting outside of a mail-in drop box with their faces covered.
[00:45:57.199 --> 00:46:02.064]  Now again, no group has claimed that these individuals are working for them.
[00:46:02.565 --> 00:46:06.249]  I've not seen these individuals come out and make any statements about their activities either.
[00:46:07.170 --> 00:46:10.613]  So I'm suspicious that these are Democrat Party operatives out there.
[00:46:11.094 --> 00:46:24.202]   Now again, I don't know that, I just know that that's what the Democrats would do if they were afraid that their big voter fraud scheme at the Dropboxes was going to be exposed and shut down.
[00:46:24.622 --> 00:46:30.846]  They would find some way to shut down the Dropbox watchers and this would be the means to do so.
[00:46:31.847 --> 00:46:45.997]   So that's my suspicion here, especially after you've seen all the attacks on watching the mail-in Dropboxes and then every single Democrat sharing that image as if that's the only Those are the only two people that have ever watched a mail-in dropbox.
[00:46:46.017 --> 00:46:46.698]  That's not the case.
[00:46:46.938 --> 00:46:48.359]  There's hundreds of them out there, if not more.
[00:46:49.160 --> 00:46:56.848]  But the real question would be, why would you be so concerned about people watching mail-in ballot dropboxes?
[00:46:56.908 --> 00:46:58.289]  Why would that scare you so much?
[00:46:58.329 --> 00:47:00.652]  Well, the answer's obvious, because that's how they plan to cheat.
[00:47:01.997 --> 00:47:07.920]  Now Trump had a rally over the weekend in Rompstown, Texas and he said the problem with the U.S.
[00:47:07.980 --> 00:47:12.763]  media is that they won't talk about the massive corruption in the 2020 election.
[00:47:13.183 --> 00:47:16.105]  Well that's because they were a part of it.
[00:47:17.345 --> 00:47:22.448]  So of course that's because they were a part of it.
[00:47:23.592 --> 00:47:24.974]  We're looking at something very different.
[00:47:24.994 --> 00:47:27.437]  The press being part of the intelligence community.
[00:47:27.717 --> 00:47:29.760]  Lee Smith describes the latest roll of fake news.
[00:47:30.481 --> 00:47:36.068]  Yeah, you have to make the understanding here, and most in this audience already have, you have to make the understanding.
[00:47:36.589 --> 00:47:39.273]  You're not watching the news, you're watching...
[00:47:39.793 --> 00:47:40.974]  Party propaganda.
[00:47:40.994 --> 00:47:43.837]  You're watching state government, state propaganda.
[00:47:44.077 --> 00:47:53.385]  When you watch MSNBC, when you watch CNN, when you watch most of the nightly news programs, you're not watching news, you're watching fake news, but even fake news isn't the right way to cover it.
[00:47:53.425 --> 00:47:55.867]  You're watching state-run propaganda.
[00:47:56.828 --> 00:47:57.569]  That's what it is.
[00:47:58.189 --> 00:47:59.671]  Americans are starting to understand this now.
[00:47:59.931 --> 00:48:02.433]  So yeah, they were in on the big, on the big steal.
[00:48:03.914 --> 00:48:14.811]   That's why Ted Cruz ...gets Whoopi Goldberg to admit that when they deny election results, it's fine, but when you do it, it's bad.
[00:48:15.131 --> 00:48:19.433]  So here's Ted Cruz on The View getting Whoopi Goldberg to make that stunning admission right here.
[00:48:20.016 --> 00:48:25.855]   say the election was fair and square and legitimate. You know who y'all don't do that to? You don't do it to Hillary
[00:48:25.855 --> 00:48:28.016]  Clinton who stood up and said Trump stole the election.
[00:48:28.016 --> 00:48:31.016]   But they didn't form the Capitol. They didn't try to kill my former boss.
[00:48:31.016 --> 00:48:36.016]   They didn't do it to Stacey Abrams who said that the election was stolen. They sat here and said it was illegitimate.
[00:48:36.016 --> 00:48:37.016]  And it was.
[00:48:37.016 --> 00:48:41.016]   And you guys were fine with it. Okay, so it's illegitimate when Republicans win, but not when Democrats win.
[00:48:41.016 --> 00:48:46.755]   No, you know, here's the thing. We may not like when Republicans win, but we don't go and we don't storm. We don't
[00:48:46.755 --> 00:48:49.215]   try to change the- Oh, yeah, you do.
[00:48:49.215 --> 00:48:51.516]  Actually, you literally do.
[00:48:50.993 --> 00:48:52.274]  Look at Trump's inauguration.
[00:48:52.173 --> 00:48:54.653]  Look at the riots during Trump's inauguration, you liar.
[00:48:54.653 --> 00:48:59.534]   The Tefa riots where cities across this country were burning and police cars were being firebombed.
[00:48:59.534 --> 00:49:02.574]   Your position is the left doesn't engage in violence, really?
[00:49:02.574 --> 00:49:05.134]  No, they wanted to nuke our friend Mike Pence.
[00:49:05.134 --> 00:49:06.653]  Like, how do we make sense of that?
[00:49:06.653 --> 00:49:09.692]  You just accused us of doing something we didn't do.
[00:49:09.692 --> 00:49:10.653]  So there you go.
[00:49:10.653 --> 00:49:11.614]  They don't live in reality.
[00:49:11.614 --> 00:49:12.974]  They're liars, they're frauds.
[00:49:12.974 --> 00:49:14.173]  It's just unbelievable.
[00:49:14.173 --> 00:49:21.213]   Now, folks, here's what I think is kind of a big whale waiting to come to the surface here.
[00:49:21.869 --> 00:49:27.291]  Dominion voting system CEO caught in major lie on 60 minutes on his voting machine capabilities.
[00:49:28.252 --> 00:49:30.272]  Well, that's the story headline at the Gateway Pundit.
[00:49:31.133 --> 00:49:34.734]  I think Dominion is already suing Fox News for billions of dollars.
[00:49:35.555 --> 00:49:44.819]  I think I would not be surprised if Dominion starts going with the Alex Jones precedent and suing anybody and everybody who says anything negative about their voting machines for trillions of dollars.
[00:49:46.018 --> 00:49:48.201]  Do not be surprised if that starts happening.
[00:49:48.902 --> 00:49:52.006]  Why don't we just go back to paper mail-in or paper ballots?
[00:49:52.026 --> 00:49:53.849]  Just a paper, a pen and paper, a pencil and paper.
[00:49:53.869 --> 00:49:54.790]  Why don't we just go back to that?
[00:49:55.111 --> 00:49:55.571]  Good question.
[00:49:56.573 --> 00:50:03.136]  And we've got Drew Hernandez with us from Drew Hernandez Live, his great talk show.
[00:50:04.077 --> 00:50:05.878]  And Drew has been very active lately.
[00:50:05.918 --> 00:50:07.319]  He and his crew are doing great work.
[00:50:07.339 --> 00:50:09.420]  They're infiltrating Biden events.
[00:50:09.760 --> 00:50:11.941]  They're infiltrating AOC events.
[00:50:12.041 --> 00:50:16.343]  They were recently at a protest against Matt Walsh's event in Nashville.
[00:50:16.403 --> 00:50:17.564]  And so Drew joins me now.
[00:50:18.304 --> 00:50:20.665]  Drew, I'd like to talk to you about all three of these things.
[00:50:20.705 --> 00:50:21.406]  Where do you want to start?
[00:50:22.793 --> 00:50:23.993]  Wherever you want to start Owen, man.
[00:50:24.053 --> 00:50:25.114]  Great for having me back.
[00:50:25.354 --> 00:50:26.854]  It's always good to be with you, man.
[00:50:26.914 --> 00:50:29.134]  A lot of mental illness to go through, bro.
[00:50:29.555 --> 00:50:29.915]  A lot.
[00:50:30.475 --> 00:50:33.135]  Well, you guys are capturing it on camera, no doubt.
[00:50:33.275 --> 00:50:35.976]  Especially, we can talk about Matt Walsh's event.
[00:50:36.596 --> 00:50:37.616]  What is it about this?
[00:50:37.737 --> 00:51:14.720]   What is it about, you know... What is it about Matt Walsh or a conservative having an event that draws hundreds of mentally deranged lunatics out there, and then they think that this behavior is somehow Endearing to their cause or they think this is somehow going to help their cause and I don't see that at all Any neutral observer can see these people are deranged and filled with hate you sit there and watch it firsthand I mean do they ever try to explain that to you like I know you've asked before Like do they know that they're hurting their cause I mean look at that psycho good lord
[00:51:16.109 --> 00:51:18.710]  I mean, I mean, these people have severe cotton mouth.
[00:51:18.930 --> 00:51:21.812]  It's like, it's like falling into a black hole.
[00:51:21.932 --> 00:51:24.193]  I mean, you've been to these things and you know exactly how it goes.
[00:51:24.233 --> 00:51:31.056]  It's, it's quite literally like the soundtrack to hell, uh, when you go to this stuff and these people are the figures that are probably gonna go there.
[00:51:31.436 --> 00:51:34.578]  Uh, but I also will say is this, is this was a rally.
[00:51:35.293 --> 00:51:39.756]  To put a stop to the mutilation of the genitals of little kids and children.
[00:51:40.136 --> 00:51:50.402]  And so when you show up to something like that and you protest against that, you counter protest against that, you're either a pedophile, you're satanically deranged, you probably have some skeletons in your closet.
[00:51:50.862 --> 00:51:56.388]  I think you can pretty much see that these people, dude, this isn't like Trump's a Nazi anymore.
[00:51:56.488 --> 00:52:04.757]  This isn't like, oh, Republicans, we hate them and we're just gonna scream our heads off and everybody's a straight white male with your infamous clip.
[00:52:04.817 --> 00:52:09.322]  This is now, these people want to rip apart the bodies of little kids.
[00:52:09.875 --> 00:52:14.361]  And they sit there and they praise it, they defend it, and they call for it.
[00:52:14.381 --> 00:52:17.384]  They're a bunch of LGBTQ little mini Jeffrey Donners.
[00:52:17.725 --> 00:52:21.609]  I think the next step for these people is they're just gonna start eating genitals and eating little kids.
[00:52:21.629 --> 00:52:23.211]  I mean, I don't know, Owen.
[00:52:23.532 --> 00:52:24.433]  Like, where do we go from here?
[00:52:24.946 --> 00:52:26.627]  Well look, this is a progression.
[00:52:26.727 --> 00:52:33.950]  There's no doubt this is a progression of mental illness that we're witnessing here on the left that is certainly reaching new levels every day.
[00:52:33.990 --> 00:52:34.430]  You're right.
[00:52:34.790 --> 00:52:36.811]  The question is, where does it go from here?
[00:52:36.891 --> 00:52:37.931]  Where does it go?
[00:52:38.391 --> 00:52:47.575]  Screaming in the streets at random people is not going to give them whatever closure or whatever it is they're looking for in life, whatever dark energy they're searching for.
[00:52:48.035 --> 00:52:50.437]  Do they really love killing babies that much?
[00:52:50.477 --> 00:52:52.799]  Do they really love chopping up babies that much?
[00:52:52.859 --> 00:52:55.241]  Do they really love pedophilia that much?
[00:52:56.081 --> 00:52:57.823]  And, of course, you can't get an answer out of them.
[00:52:57.843 --> 00:53:00.244]  They just scream and shout and flick you off and everything.
[00:53:00.685 --> 00:53:06.149]  But, yeah, I mean, if this mental illness is not addressed for what it is, that's a fair question.
[00:53:06.269 --> 00:53:07.030]  Where does it go?
[00:53:07.430 --> 00:53:09.471]  Where does this mental illness go next?
[00:53:09.531 --> 00:53:12.173]  Because it's not going to just stay screaming in the streets forever, folks.
[00:53:12.474 --> 00:53:13.955]  It's going to go, like, Ed Buck level.
[00:53:15.475 --> 00:53:16.155]  I'll just say this.
[00:53:16.555 --> 00:53:20.896]  I think the next step is actual open pedophilia for these people.
[00:53:21.156 --> 00:53:23.477]  That's why they advocate for maps, right?
[00:53:23.617 --> 00:53:24.757]  Minor attracted people.
[00:53:25.117 --> 00:53:38.781]  That's why they have these brag shows with little children's bouncing on their on their on their on their hips and bouncing on their laps as if it's totally normal sitting there, you know, squatting and twerking and flashing, you know, their bulging genitals in front of little kids.
[00:53:39.041 --> 00:53:43.081]   I mean, when I was in Pride LA, they were literally speaking to little kids in the crowd,
[00:53:43.081 --> 00:53:44.441]  offering them lube.
[00:53:44.441 --> 00:53:51.201]   So I would say the next step for these people is out in the open pedophilia, where it's normalized,
[00:53:51.201 --> 00:53:54.081]  where they're not calling to try and make it normal anymore.
[00:53:54.081 --> 00:53:58.280]   If these people could have their way, it would be all over the mainstream media.
[00:53:58.280 --> 00:54:00.080]  It would be accepted on Disney.
[00:54:00.080 --> 00:54:04.559]   It would be accepted all over your TV, all over your social media apps,
[00:54:04.559 --> 00:54:07.181]  all over anything you could think of in your entertainment.
[00:54:07.181 --> 00:54:11.401]   If they could have their way, And there's a great clip right... Look at that!
[00:54:11.641 --> 00:54:16.563]  That's a great example of the total depravity these people want to take us into.
[00:54:17.003 --> 00:54:17.964]  And they cheer it on!
[00:54:17.984 --> 00:54:19.224]  They cheer it on!
[00:54:19.344 --> 00:54:19.725]  Exactly!
[00:54:19.745 --> 00:54:20.405]  They cheer it on!
[00:54:20.425 --> 00:54:24.547]  I had a record skip there because I wasn't aware of this.
[00:54:25.087 --> 00:54:28.688]  You were at an event where they were giving children lube?
[00:54:29.749 --> 00:54:33.210]  They were offering children lube at Pride LA during Pride Month.
[00:54:35.007 --> 00:54:37.729]  Uh, they were floating around on a float like it was Disneyland.
[00:54:37.769 --> 00:54:46.413]  This drag freak was, you know, they were going up and down the street on Hollywood Boulevard and one of them was literally communicating to the kids, offering them lube with the parents.
[00:54:46.453 --> 00:54:52.297]  They're just sitting there clapping, thinking it's all okay and liberal and progressive, but that's what these people are doing.
[00:54:52.337 --> 00:54:54.158]  They hide behind the pride flag.
[00:54:54.178 --> 00:54:56.339]  They hide behind the LGBTQ term.
[00:54:56.539 --> 00:55:01.842]  They hide behind the ability to be a protected class and they're going to usher in their pedophilia through that.
[00:55:02.262 --> 00:55:15.451]  People just need, that's literally what they're, to me, and I'm not saying this positively like I agree with it, to me, it's actually a good idea for the pedophiles because they get to just come in and be accepted in society, but that is what total depravity is.
[00:55:15.891 --> 00:55:16.992]  And that is how they're doing it.
[00:55:17.032 --> 00:55:19.513]  They're doing it through the LGBTQ banner.
[00:55:19.754 --> 00:55:23.316]  Well, see, but you just nailed their entire operation right there.
[00:55:23.496 --> 00:55:24.737]  That's exactly what it is.
[00:55:24.777 --> 00:55:28.200]  They don't really care about gay people, just like they don't really care about black people.
[00:55:28.501 --> 00:55:37.129]  You notice as soon as a gay person or a black person goes against their party politics, they hate them, they want them destroyed, they want them censored, they want them killed.
[00:55:37.609 --> 00:55:39.070]  So they really don't care about these people.
[00:55:39.411 --> 00:55:52.426]   You just know that all they care about is having the virtue signal and having that behind them so that they can hide behind that movement and then say, I'm an ally, or oh, I'm LGBTQ, and if you criticize me, you're a bigot!
[00:55:52.766 --> 00:56:05.702]  And then somehow that gives them the intellectual victory, and then that gives them the right, as you see in the video here, to pick up little children, dance with them on a stage like a hooker, half-naked, rub their genitals in their face, take money like they're strippers...
[00:56:06.643 --> 00:56:12.225]  And they just say, oh, this is LGBTQ pride and if you don't like that, then you're not an ally and you're a bigot.
[00:56:12.566 --> 00:56:14.466]  No, you're hiding behind that.
[00:56:15.047 --> 00:56:22.089]  You build that up as a victim group to make it untouchable so that you can get away with your sordid behavior right in front of the people's faces.
[00:56:23.150 --> 00:56:24.110]  That's what they do, Owen.
[00:56:24.130 --> 00:56:25.271]  I mean, really think about it.
[00:56:25.311 --> 00:56:31.219]   Take a look at Probably some of the most immoral, disgusting, depraved things taking place right now.
[00:56:31.639 --> 00:56:45.624]  You have this LGBTQ sick, twisted agenda that's going after the children, going after the minds of children in the classroom, trying to warp their minds and teach them about sex, anal sex, gay sex, whatever sex, whatever, it doesn't matter.
[00:56:45.664 --> 00:56:49.985]  They're trying to warp their minds, okay, and their innocence in the classroom.
[00:56:50.485 --> 00:57:01.840]  And then you also have the agenda that's taking it further and going after mutilating their genitals, telling them that they're not actually a biological male if they're a little boy, they're not actually a biological female if they're a little girl.
[00:57:02.261 --> 00:57:03.763]  Again, going after the children.
[00:57:03.783 --> 00:57:04.944]  Look at the common thread here.
[00:57:04.964 --> 00:57:10.308]   And then also, We have to always bring up the abortion conversation because that's always at the forefront.
[00:57:10.328 --> 00:57:17.651]  They want to kill children, murder children, mutilate children, and they want to sexually manipulate the minds of children.
[00:57:17.932 --> 00:57:21.613]  The next step, Owen, is they want open pedophilia.
[00:57:21.813 --> 00:57:23.494]  Let's just call it right now for what it is.
[00:57:23.774 --> 00:57:24.775]  It's been in the shadows.
[00:57:24.835 --> 00:57:26.456]  It's getting exposed in Hollywood.
[00:57:26.696 --> 00:57:33.559]  But right now, I think post, I would say 2021, 2022, they're pushing to normalize and make pedophilia mainstream.
[00:57:33.699 --> 00:57:34.699]  It's just clear by now.
[00:57:34.699 --> 00:57:38.699]   Well, and I think too, we kind of, you know, we almost have to check ourselves for a second
