[00:00:00.731 --> 00:00:01.532]  Monday Live!
[00:39:01.981 --> 00:39:06.202]  Everyone from across America, come here peacefully!
[00:39:06.242 --> 00:39:08.023]  We're occupying D.C.!
[00:39:08.103 --> 00:39:15.605]  All right, hang everybody out of the way, because I've got to get this crowd off there, because they're trying to provide deterrence so Trump won't come.
[00:39:15.765 --> 00:39:21.347]  Easy, watch the tree, watch the people sitting down.
[00:39:21.767 --> 00:39:22.228]  USA!
[00:39:24.308 --> 00:39:24.568]  USA!
[00:39:26.209 --> 00:39:26.469]  USA!
[00:39:28.349 --> 00:39:28.529]  USA!
[00:39:28.669 --> 00:39:28.769]  USA!
[00:39:28.809 --> 00:39:29.850]  Listen to me.
[00:39:30.050 --> 00:39:31.070]  Listen to me.
[00:39:31.090 --> 00:39:34.611]  We've got a permit on the other side.
[00:39:34.771 --> 00:39:36.751]  It's great that this happened.
[00:39:36.791 --> 00:39:40.692]  But the Trumps aren't going to come when we've taken this over.
[00:39:40.712 --> 00:39:42.293]  We're not Antifa.
[00:39:42.313 --> 00:39:42.973]  We're not DLM.
[00:39:43.693 --> 00:39:44.273]  You're amazing.
[00:39:44.293 --> 00:39:45.434]  I love you.
[00:39:45.494 --> 00:39:48.634]  Let's march around on the other side.
[00:39:49.134 --> 00:39:53.375]  And let's not fight the police and give the system what they want.
[00:39:53.455 --> 00:39:55.376]  We are peaceful.
[00:39:57.020 --> 00:40:09.911]  We won this election, and as much as I love seeing you and the Pro-Christ flying over this, pleading to not have the confrontation with the police, we're going to make that the story.
[00:40:11.032 --> 00:40:18.038]  I'm going to march to the other side where we have a stage where we can speak and occupy peacefully.
[00:40:18.059 --> 00:40:21.141]  Tell everybody behind you, march to the other side.
[00:40:21.321 --> 00:40:22.863]  March to the other side.
[00:40:25.012 --> 00:40:30.980]  You guys are great, but the police provocateurs have caused a problem and the police are throwing flashbangs.
[00:40:31.020 --> 00:40:32.502]  We don't want to have a kid stay here.
[00:40:32.522 --> 00:40:33.323]  So, I love you.
[00:40:33.363 --> 00:40:34.164]  We're saving the republic.
[00:40:34.004 --> 00:40:38.004]  We don't want to have a kid stay here.
[00:40:38.004 --> 00:40:40.004]  So, I love you.
[00:40:40.004 --> 00:40:42.004]  We're saving the republic.
[00:40:42.004 --> 00:40:44.004]  This is beautiful.
[00:40:44.004 --> 00:40:46.004]  But please tell everyone you know.
[00:40:46.038 --> 00:40:46.999]  We're going to march.
[00:40:47.019 --> 00:40:47.939]  Trump is going to speak over here.
[00:40:48.199 --> 00:40:49.240]  Trump is coming on the other side.
[00:40:49.260 --> 00:40:49.741]  So march with us, go slow.
[00:40:49.561 --> 00:40:59.561]  [NOISE]
[00:40:59.561 --> 00:41:09.561]  [INAUDIBLE]
[00:41:09.561 --> 00:41:20.280]  Look how many people are pulling out of there.
[00:41:20.280 --> 00:41:22.280]  I'm telling you!
[00:41:21.426 --> 00:41:24.189]  They got so many emails and calls in person.
[00:41:24.209 --> 00:41:25.149]  People were going to go in.
[00:41:25.190 --> 00:41:25.710]  They didn't know.
[00:41:25.730 --> 00:41:26.951]  They thought the Capitol was open.
[00:41:27.011 --> 00:41:27.572]  We saved them.
[00:41:29.793 --> 00:41:30.454]  And probably police, too.
[00:41:30.534 --> 00:41:31.154]  It's an ongoing fight.
[00:41:31.174 --> 00:41:32.535]  We're not stealing the stage like the Democrats did.
[00:41:32.555 --> 00:41:33.076]  You've done a great job.
[00:41:33.096 --> 00:41:33.736]  Come down off of there.
[00:41:33.756 --> 00:41:35.418]  Let's peacefully go over here, so everyone will know what's on the other side.
[00:41:35.438 --> 00:41:35.498]  USA!
[00:41:35.478 --> 00:41:42.478]   You've done a great job, come down off of there, but peacefully come over here, tell
[00:41:42.478 --> 00:41:45.478]  everyone you know, props on the other side.
[00:41:45.478 --> 00:41:57.478]  USA, USA, USA, USA, USA, USA, USA, USA, USA.
[00:41:57.478 --> 00:42:01.478]   I get a chance to get their attention, so they listen to me.
[00:42:01.478 --> 00:42:09.478]   What's happening, I salute you, tell everyone you know, that is the other side of the Capitol,
[00:42:09.478 --> 00:42:11.478]  and we're talking.
[00:42:11.478 --> 00:42:16.478]  Hey, hey, hey, hey, hey.
[00:42:17.063 --> 00:42:21.426]  Let's just move and then the people will come out.
[00:42:21.786 --> 00:42:22.927]  Get off that building now!
[00:42:22.987 --> 00:42:24.107]  Get off the building!
[00:42:24.207 --> 00:42:24.568]  I agree.
[00:42:24.588 --> 00:42:25.668]  Do not be part of this!
[00:42:25.728 --> 00:42:28.550]  Tell everybody to come out on this side!
[00:42:28.590 --> 00:42:30.831]  The Boxers are shutting us up!
[00:42:30.891 --> 00:42:32.652]  Hey, hold on for a second.
[00:42:32.812 --> 00:42:34.894]  Alex, take a look behind you.
[00:42:34.834 --> 00:42:47.834]  [crowd noise]
[00:42:47.834 --> 00:42:49.834]  Hey guys, let's take a break right here.
[00:42:50.075 --> 00:42:53.721]  Let me talk to this cop and see if I can get Alex up there and de-escalate the situation.
[00:42:54.122 --> 00:42:55.364]  Bubble up, take a pause.
[00:42:55.625 --> 00:42:55.705]  Bro.
[00:42:59.460 --> 00:43:00.080]  No hand, nothing.
[00:43:00.460 --> 00:43:01.501]  I'm with Alex Jones, man.
[00:43:01.621 --> 00:43:04.061]  I'm telling you right now, he just tried to de-escalate this stuff.
[00:43:04.361 --> 00:43:07.462]  If we can talk to someone and get him up there, we can get them to back off.
[00:43:07.482 --> 00:43:07.882]  Take him to the east.
[00:43:07.902 --> 00:43:08.943]  The east front's a problem now.
[00:43:09.223 --> 00:43:09.943]  This is the problem?
[00:43:09.963 --> 00:43:10.963]  The east front is a problem now.
[00:43:11.083 --> 00:43:13.844]  Okay, so we need to get him up there to tell people to... The east front's a problem now.
[00:43:13.924 --> 00:43:14.524]  Alright.
[00:43:14.704 --> 00:43:17.065]  Is there a way that we can get him to a position?
[00:43:17.105 --> 00:43:18.505]  Through the hole you guys breached right there.
[00:43:18.705 --> 00:43:19.566]  We didn't breach anything.
[00:43:19.726 --> 00:43:21.206]  Well, the whole group is with you guys.
[00:43:21.226 --> 00:43:21.866]  We just showed up.
[00:43:21.986 --> 00:43:22.627]  We just showed up.
[00:43:22.647 --> 00:43:23.427]  We're trying to help.
[00:43:23.887 --> 00:43:24.647]  Up through there.
[00:43:24.807 --> 00:43:26.168]  All they are up there, take them up there.
[00:43:26.348 --> 00:43:26.828]  Alright, let's go.
[00:43:27.991 --> 00:43:28.676]  Come on.
[00:43:28.736 --> 00:43:30.125]  Can I talk to you?
[00:43:34.366 --> 00:43:35.587]  I'm with Alex Jones, man.
[00:43:35.667 --> 00:43:38.769]  He's a big, big, like, populist movement guy.
[00:43:39.129 --> 00:43:42.291]  He will de-escalate this situation, but we gotta put him somewhere to speak to them.
[00:43:42.851 --> 00:43:45.672]  We just did it on that side to pull people off the scaffolds.
[00:43:45.812 --> 00:43:46.853]  If not, the mob's the mob.
[00:43:46.893 --> 00:43:49.555]  But I'm telling you, this entire crowd will listen to him.
[00:43:49.615 --> 00:43:50.115]  It's a fact.
[00:43:50.655 --> 00:43:56.238]  So where can we take him and talk to the people so that this doesn't turn into something it doesn't need to be?
[00:43:57.639 --> 00:43:58.560]  Who can we coordinate with?
[00:43:58.600 --> 00:44:00.641]  We got tons of law enforcement with us.
[00:44:01.792 --> 00:44:05.315]  Is there somebody you can speak to?
[00:44:05.495 --> 00:44:05.895]  I get it.
[00:44:05.955 --> 00:44:06.916]  And we're trying to help, dude.
[00:44:06.976 --> 00:44:09.238]  And I'm telling you, you will see a miracle happen if it happens.
[00:44:09.538 --> 00:44:09.998]  With the vest?
[00:44:10.018 --> 00:44:13.141]  Boss, I was told to speak to you.
[00:44:13.161 --> 00:44:15.743]  I'm one of the Alex Jones security guards.
[00:44:16.143 --> 00:44:20.707]  He can de-escalate this entire situation if you give him a little platform to speak to the crowd.
[00:44:21.047 --> 00:44:22.188]  I promise you.
[00:44:23.129 --> 00:44:23.469]  I know.
[00:44:23.729 --> 00:44:25.390]  I don't want him to turn into something he's not.
[00:44:25.611 --> 00:44:26.391]  I'm telling you, you can help.
[00:44:26.671 --> 00:44:28.493]  We got tons of law enforcement on our team, man.
[00:44:28.973 --> 00:44:29.554]  He wants to help.
[00:44:30.094 --> 00:44:30.854]  They will listen to him.
[00:44:30.934 --> 00:44:32.075]  No, I'm not authorized to do that.
[00:44:32.095 --> 00:44:35.916]  Okay, what do you recommend?
[00:44:36.196 --> 00:44:36.956]  See what you can do.
[00:44:36.776 --> 00:44:43.776]  I promise you he can make it happen.
[00:44:43.776 --> 00:44:45.776]  We don't want to be rebellious.
[00:44:45.679 --> 00:44:46.579]  He can fix this.
[00:44:49.400 --> 00:44:50.741]  He can de-escalate the whole thing.
[00:44:50.981 --> 00:44:51.541]  I'm telling you.
[00:44:53.221 --> 00:44:54.382]  I'm telling you it'll work, dude.
[00:44:54.462 --> 00:44:55.302]  We're on your side.
[00:44:55.802 --> 00:44:57.103]  He can move this whole populace.
[00:44:57.363 --> 00:44:58.123]  They all follow him.
[00:44:59.005 --> 00:45:00.226]  We do.
[00:45:00.686 --> 00:45:01.006]  We do.
[00:45:01.146 --> 00:45:06.750]  I just want to put him in a place where they'll hear him and see him and he'll tell everyone, we're not here to be violent.
[00:45:06.890 --> 00:45:07.170]  Stop.
[00:45:07.550 --> 00:45:10.332]  You're letting the provocateurs turn this into some shit it don't need to be.
[00:45:11.383 --> 00:45:13.003]  Guys, I don't know who's in charge.
[00:45:13.023 --> 00:45:14.044]  We tried to get him to call.
[00:45:14.424 --> 00:45:17.725]  If we can get Alex up there, we can de-escalate this whole thing.
[00:45:17.805 --> 00:45:18.705]  They all follow him.
[00:45:19.405 --> 00:45:20.526]  It'll all turn peaceful.
[00:45:20.786 --> 00:45:21.666]  He just has to speak.
[00:45:21.746 --> 00:45:22.426]  I'm telling you, dude.
[00:45:23.106 --> 00:45:24.147]  We're all on the same team.
[00:45:24.467 --> 00:45:25.947]  This shit is not going to be good.
[00:45:28.648 --> 00:45:29.788]  But I don't want to break the law.
[00:45:29.828 --> 00:45:30.528]  I'm on your team.
[00:45:32.889 --> 00:45:33.989]  That doesn't make it okay.
[00:45:37.961 --> 00:45:39.462]  Folks, I'm going back down, because Trump's not going to come when we go down.
[00:45:39.482 --> 00:45:41.323]  Let's go and stand for what we want, and I'm going to go back down and wait for Trump to come.
[00:45:41.343 --> 00:45:41.543]  I love you.
[00:45:41.563 --> 00:45:41.783]  Stop Brazil!
[00:45:41.603 --> 00:45:43.603]  I'm going to go back down and wait for Trump to come.
[00:45:43.603 --> 00:45:44.603]  I love you.
[00:45:44.603 --> 00:45:54.603]  [crowd shouting]
[00:45:54.603 --> 00:45:57.603]  Stop hostile! Stop hostile!
[00:45:57.603 --> 00:46:02.603]  [crowd shouting]
[00:46:02.603 --> 00:46:06.603]   Guys, I'm telling you, Trump's not going to come if we don't come down.
[00:46:06.603 --> 00:46:08.603]  Let's be peaceful. You're doing a great job.
[00:46:08.603 --> 00:46:10.603]  Everybody be peaceful.
[00:46:10.603 --> 00:46:13.603]  [crowd shouting]
[00:46:13.603 --> 00:46:16.603]  I love you all so much.
[00:46:16.603 --> 00:46:22.603]  USA! USA! USA! USA! USA!
[00:46:22.603 --> 00:46:26.603]  We have to get this on record because I'm being framed.
[00:46:26.603 --> 00:46:28.603]  You as Trump supporters.
[00:46:29.434 --> 00:46:38.103]  And just populist Americans that love this country are being framed as terrorists when 98% of you were totally peaceful that day that were there.
[00:46:39.364 --> 00:46:42.227]  And you went there to exercise your sacred First Amendment rights.
[00:46:42.287 --> 00:46:43.748]  So I salute you for being there.
[00:46:43.788 --> 00:46:46.231]  We're not going to let them frame us or set us up.
[00:46:46.431 --> 00:46:48.293]  But that's why Infowars is so precious.
[00:46:49.074 --> 00:46:51.076]  Because imagine if Bandot Video wasn't there.
[00:46:51.116 --> 00:46:52.017]  Millions of views a day.
[00:46:53.015 --> 00:46:54.957]  They've shut down almost everything else.
[00:46:54.997 --> 00:46:57.699]  That's why it's so exciting to see Parler getting bigger.
[00:46:57.999 --> 00:46:59.441]  Parler's having problems actually.
[00:46:59.681 --> 00:47:05.366]  Gab and Rumble and Getter and others that have streaming and videos now.
[00:47:05.446 --> 00:47:10.931]  And what Mike Adams is doing with Brighteon and his live streaming he's doing now.
[00:47:11.932 --> 00:47:14.494]  And we're trying to launch that for folks on Bandai Video.
[00:47:14.514 --> 00:47:15.175]  We're very close.
[00:47:15.775 --> 00:47:17.156]  So we just got a lot of things going on.
[00:47:17.176 --> 00:47:18.798]  We can't pay for this infrastructure.
[00:47:21.075 --> 00:47:25.397]  To peacefully wake up America and peacefully counter globalist lies without you.
[00:47:25.437 --> 00:47:26.518]  So this is a war.
[00:47:26.978 --> 00:47:28.159]  It's an information war.
[00:47:28.199 --> 00:47:31.341]  And I thank you for your support for myself and yourself and our families.
[00:47:31.701 --> 00:47:33.322]  But I need you to go to InfoWarsTore.com.
[00:47:33.342 --> 00:47:39.966]  There's only a few days left on Brain Force Plus at 40% off back of stock, our great new Tropic.
[00:47:40.385 --> 00:47:44.186]   And I'm only running this till next week 'cause we're getting already halfway through it.
[00:47:44.186 --> 00:47:47.445]  Whole food, multivitamin, highest quality, 40% off.
[00:47:47.445 --> 00:47:52.804]   And a super strong vitamin C zinc with rose hips that is so critical for every part of your body.
[00:47:52.804 --> 00:47:59.085]   Antioxidant, anti-cancer, just everything, your immune system, it's 40% off as well.
[00:47:59.085 --> 00:48:02.206]  T-shirts, books, films, 10% off on storable food.
[00:48:02.206 --> 00:48:05.085]  It's all available at infowarstore.com.
[00:48:05.085 --> 00:48:07.206]  And without you, this show will be shut down.
[00:48:07.206 --> 00:48:08.706]  With your support, we'll stay on air.
[00:48:08.706 --> 00:48:09.965]  So thank you all for what you do.
[00:48:09.965 --> 00:48:12.346]  We'll be right back with Owen Schroeder.
[00:48:12.346 --> 00:48:16.244]   All right, ladies and gentlemen, welcome back to the Alex Jones Show.
[00:48:16.244 --> 00:48:19.545]  Owen Schroeder takes over in T-minus six minutes.
[00:48:20.414 --> 00:48:27.879]  Well, Brian Stelter and the creeps over at CNN have taken their creepiness to the next level.
[00:48:28.600 --> 00:48:31.302]  I could spend an hour on this, but I've just got five minutes right now.
[00:48:31.982 --> 00:48:36.346]  Look at this image of Brian Stelter man-spreading, literally.
[00:48:37.261 --> 00:48:43.763]  For these little kids, video, Brian Stelter visits school kids to teach them to spot misinformation.
[00:48:44.124 --> 00:48:46.164]  And boy, did Twitter have a heyday.
[00:48:46.664 --> 00:48:47.185]  And others.
[00:48:47.645 --> 00:48:50.286]  I mean, yeah, this is what misinformation looks like.
[00:48:50.786 --> 00:48:53.247]  Masks don't protect you, they don't work, he's wearing that.
[00:48:53.707 --> 00:48:57.248]  He's telling them, don't even trust satire, don't trust anything but CNN.
[00:48:57.589 --> 00:49:02.270]  CNN has less viewers on record than even Censored Info Wars does.
[00:49:02.911 --> 00:49:06.052]  Joe Rogan's program now has.
[00:49:07.590 --> 00:49:10.352]  20 plus times the viewers on average of CNN.
[00:49:10.752 --> 00:49:11.593]  And that's Joe Rogan.
[00:49:12.093 --> 00:49:13.694]  So they can try to censor and shut me down?
[00:49:13.714 --> 00:49:16.336]  10 more pop up even bigger.
[00:49:17.257 --> 00:49:20.159]  So it's a very crazy time to be alive.
[00:49:20.199 --> 00:49:21.940]  And look, I'm not saying Brian Stelter is a pedophile.
[00:49:21.960 --> 00:49:22.540]  I've never said that.
[00:49:22.900 --> 00:49:30.926]  I've said if I was going to cast somebody as like an evil hit the clown goblin that lives in sewers and eats children, it would be Brian Stelter.
[00:49:30.946 --> 00:49:33.968]  So here they are in New York City, that dungeon of tyranny.
[00:49:35.231 --> 00:49:45.579]  And here comes Brian Stelter climbing out of the manhole cover to try to come in and indoctrinate them that you need to only believe me.
[00:49:45.899 --> 00:49:51.944]  So they're already used to pay to be in airports, but people complain so much, CNN can't even pay to be in airports anymore.
[00:49:53.097 --> 00:50:01.604]  When I grew up in high school, CNN paid for TVs in the schools, and every second period, we had to watch 15 minutes a day of CNN propaganda.
[00:50:01.904 --> 00:50:05.947]  So they've always been basically the propaganda channel, and now that's not enough.
[00:50:06.547 --> 00:50:12.872]  Now they're coming directly into the schools so he can sit there and weirdly spread his legs.
[00:50:12.912 --> 00:50:15.554]  I mean, who sits on a chair like that and spreads their legs?
[00:50:15.975 --> 00:50:19.457]  It's like with Drag Queen Storytime, when they come and spread their legs for the kids.
[00:50:20.098 --> 00:50:21.479]  It's absolutely disgusting.
[00:50:21.959 --> 00:50:22.760]  Here's part of the report.
[00:50:25.603 --> 00:50:28.164]  Barbara King wants to arm this eighth grade class.
[00:50:28.444 --> 00:50:31.386]  All right, so today's topic is misinformation.
[00:50:31.486 --> 00:50:36.268]  With the tools they will need in a world of information saturation.
[00:50:36.348 --> 00:50:40.370]  We're going to learn to identify the various types of misinformation.
[00:50:40.491 --> 00:50:42.412]  And there is a lot to learn.
[00:50:42.752 --> 00:50:52.719]   They're called satire, false context, imposter content, Manipulated content and fabricated content.
[00:50:52.979 --> 00:50:56.600]  Just imagine trying to make sense of all of this as a teenager.
[00:50:57.041 --> 00:50:58.781]  Now we go to imposter content.
[00:50:58.801 --> 00:50:59.802]  What does imposter mean?
[00:51:01.743 --> 00:51:03.344]  I mean, everything they just said there.
[00:51:03.524 --> 00:51:05.965]  Manipulated content, manufactured content.
[00:51:06.405 --> 00:51:10.487]  It just makes you think of CNN, CNN, CNN, CNN.
[00:51:11.287 --> 00:51:16.830]  CNN calls us for comments, we give them comments on time, and they say they do not respond to comment.
[00:51:18.533 --> 00:51:46.316]   So just imagine, you pay all these property taxes and send your children to school, and then they sit there and can't teach them to read and write, the country's going illiterate, by design, but you can learn all about how you're racist and all about how boys can be girls and girls can be boys and all about how boys can be on the girls track team and on the girls swim team and how men can come in the bathroom of little girls and In comes Brian Stelter, wearing a mask to keep the psychological fear going.
[00:51:46.837 --> 00:51:48.361]  It's all garbage.
[00:51:48.742 --> 00:51:50.046]  It's all theater.
[00:51:52.711 --> 00:51:54.752]  And the blue cities have turned into literal hell holes.
[00:51:55.052 --> 00:51:57.994]  It's CNN that lied to us about the WMDs.
[00:51:58.934 --> 00:52:08.159]  It's CNN that's lied to us on so many fronts and helped cover up the murder of people in nursing homes in New York during COVID.
[00:52:08.199 --> 00:52:14.403]  It's CNN that has blood on its hands and it's CNN that is like a zombie network because nobody watches it.
[00:52:15.430 --> 00:52:23.259]  Except people that make fun of it and hate it, but still the big money of AT&T keeps it propped up and it just won't go away.
[00:52:23.840 --> 00:52:25.201]  So that's what you learn in public school.
[00:52:25.221 --> 00:52:32.369]  A lot of the private schools now is how to take deadly shots, how to tattle on your parents, how to wear masks and get carbon dioxide poisoning.
[00:52:33.010 --> 00:52:35.611]  And how to only trust CNN.
[00:52:35.651 --> 00:52:38.031]  This is truly an establishment in decline.
[00:52:38.311 --> 00:52:39.271]  We don't want to fight with it.
[00:52:39.512 --> 00:52:47.573]  We want to remove ourselves from it and step out of the way as this globalist, neoliberal political system collapses and politically dies.
[00:52:48.034 --> 00:52:56.836]  That's our mission is to survive and thrive and love God and build a better human world for all God's children together.
[00:52:57.336 --> 00:52:58.176]  And that's the mission.
[00:52:58.636 --> 00:53:00.500]  Of Infowars.com.
[00:53:00.880 --> 00:53:03.004]  Tomorrow's news, today.
[00:53:03.405 --> 00:53:04.988]  Owen Schreier takes over!
[00:53:07.932 --> 00:53:13.237]  Well, I'm very excited for several reasons that two of our very popular products are back in stock.
[00:53:13.718 --> 00:53:28.473]  Whole Food Multivitamin, a central nutrient multivitamin from natural healthy sources, not synthetic, and Vitamin C and Zinc with Rosehips, the classic Linus Pauling Nobel Prize winning formula to supercharge your immune system and every cell in your body.
[00:53:28.733 --> 00:53:31.236]  They're both back in stock, sold out for more than four months.
[00:53:31.556 --> 00:53:32.556]  at 40% off.
[00:53:32.556 --> 00:53:39.474]   Another reason I'm very, very excited about this is this will fund our operation and keep
[00:53:39.474 --> 00:53:40.474]  us on air.
[00:53:40.474 --> 00:53:46.914]   So again, it's a 360 win, but whatever you do, go out and get an organic, whole food,
[00:53:46.914 --> 00:53:50.036]  multivitamin, antac vitamin C, antac zinc.
[00:53:50.036 --> 00:53:53.316]   And we also have some great vitamin D products at infomarttore.com you can eat as well.
[00:53:53.646 --> 00:53:56.888]  But whatever you do, defend your body's immune system.
[00:53:57.168 --> 00:53:59.569]  We want to keep patriots in the game against the New World Order.
[00:53:59.890 --> 00:54:00.710]  So it's a 360 win.
[00:54:00.850 --> 00:54:05.680]   Get something essential for your body and your health and your longevity and your immune system while funding the
[00:54:05.680 --> 00:54:24.930]   info war at info war store.com Info Wars
[00:54:24.275 --> 00:54:25.197]  Tomorrow's news.
[00:54:25.278 --> 00:54:41.918]   today. Ex-head of respiratory research at Pfizer, Mike Yeadon, and researchers including Craig
[00:54:41.918 --> 00:54:48.317]   Pardecouper have sourced VAERS data on vaccine death and injury in the US.
[00:54:48.447 --> 00:54:56.213]  A database of over 700,000 adverse reactions caused by the Moderna, Pfizer, and Janssen vaccines.
[00:54:56.713 --> 00:55:02.157]  These vaccines have been deployed in different batches, officially referred to as LOTS.
[00:55:02.816 --> 00:55:09.818]  This has allowed Yeadon's team to back-engineer Big Pharma's COVID-19 vaccine deployment agenda in the U.S.
[00:55:10.618 --> 00:55:16.379]  All their information is published at howbadismybatch.com and howbad.info.
[00:55:17.119 --> 00:55:18.899]  And what we learn is quite telling.
[00:55:19.620 --> 00:55:30.042]  About 0.5% of all the different batches are highly toxic, resulting in hospitalization, disability, and death within days or weeks of injection.
[00:55:30.882 --> 00:55:36.065]  Other batches cause minimal adverse reactions and most appear to be harmless placebos.
[00:55:36.946 --> 00:55:46.431]  When plotting on a timeline, we can see that these three companies have been working together to quietly monitor the lethal effectiveness of specific deadly batches.
[00:55:47.592 --> 00:56:00.977]  While one company is deploying a lethal batch, the other two deploy harmless ones, creating the scientific environment to perform dose range finding, or the maximum tolerated dose for each specific batch.
[00:56:01.837 --> 00:56:13.441]  The timeline shows that each lethal batch deployment is preceded and followed by a quiet period, allowing them time to establish their baseline before the next deadly batch is deployed.
[00:56:14.403 --> 00:56:21.311]  Private leaked documents from the CDC show a list of expiry dates and only certain lots are included.
[00:56:22.032 --> 00:56:26.157]  The very same lots found to be highly toxic in part of Cooper's database.
[00:56:26.958 --> 00:56:27.699]  Which makes sense.
[00:56:28.159 --> 00:56:31.984]  There would be no reason to list expiration dates for saline placebo.
[00:56:32.905 --> 00:56:33.886]  Only the deadly ones.
[00:56:35.057 --> 00:56:43.687]  This mode of deployment allows governments the ability to direct deadly batches into specific populations, such as red states.
[00:56:44.648 --> 00:56:54.199]  Analysis of the number of dying per 100,000 vaccinated in 50 states shows us that the overwhelming majority of vaccine deaths are happening in red states.
[00:56:55.320 --> 00:57:00.383]  Some red states are experiencing 11 times more vaccine deaths than other states.
[00:57:01.263 --> 00:57:06.425]  On average, red states are experiencing twice the amount of vaccine death and injuries than blue states.
[00:57:07.286 --> 00:57:17.831]  After ruling out other possibilities, Parda-Cooper concluded that this can only be due to the fact that red states received at least twice as much of the lethal batches than blue states did.
[00:57:19.665 --> 00:57:30.590]  Among several other crimes, they are tipping the scales of the democratic process by killing people who voted against the New World Order's woke, Build Back Better, Great Reset.
[00:57:31.731 --> 00:57:36.573]  While at the same time, endlessly flooding the borders with unvaccinated foreigners.
[00:57:37.973 --> 00:57:39.314]  And it's happening right now.
[00:57:40.894 --> 00:57:43.454]  Reporting for InfoWars, this is Greg Reis.
[00:57:43.454 --> 00:58:03.134]  Broadcasting live from the UN Center.
[00:58:03.223 --> 00:58:05.744]  stronghold, Austin, Texas.
[00:58:05.824 --> 00:58:08.985]  You're listening to The Alex Jones Show.
[00:58:09.245 --> 00:58:12.206]  And now, your host, Owen Troyer.
[00:58:12.926 --> 00:58:15.487]  And so there is your Gregory's Report.
[00:58:16.207 --> 00:58:17.087]  Very startling.
[00:58:18.147 --> 00:58:21.428]  On Bandot Video, almost with a million views.
[00:58:21.989 --> 00:58:29.571]  And you just gotta think about what an enemy operation would do in a time of war.
[00:58:31.314 --> 00:58:40.248]  As a backdrop, as the frame of context for that video, and it makes even all the more sense, as diabolical as the notion may be.
[00:58:41.331 --> 00:58:44.712]  All right, ladies and gentlemen, here's what we have coming up the rest of this transmission.
[00:58:44.732 --> 00:58:53.215]  We're going to have a doctor on with us in the next hour discussing the end of the mandates rally, the pro-life rally from over the weekend.
[00:58:53.915 --> 00:58:59.577]  And there is a hearing happening right now with Ron Johnson and others.
[00:58:59.938 --> 00:59:00.978]  Dr. Malone is there.
[00:59:01.058 --> 00:59:02.218]  Dr. McCullough is there.
[00:59:02.298 --> 00:59:03.339]  Dr. Kirsch is there.
[00:59:04.417 --> 00:59:07.039]  Happening in Washington, D.C., and it's just incredible.
[00:59:07.079 --> 00:59:09.822]  I've been popping in and out of this all day.
[00:59:09.862 --> 00:59:11.664]  It's been going on for about an hour and a half.
[00:59:13.265 --> 00:59:14.887]  And it's just unbelievable information.
[00:59:14.907 --> 00:59:18.670]  I mean, they've completely destroyed all the vaccine narratives.
[00:59:18.770 --> 00:59:21.753]  They've completely destroyed all the COVID narratives.
[00:59:21.793 --> 00:59:22.574]  I mean, it's all there.
[00:59:22.594 --> 00:59:24.996]  Now, this isn't being covered by Fox.
[00:59:25.036 --> 00:59:29.080]  This isn't obviously going to be covered by all of the New World Order media.
[00:59:30.165 --> 00:59:33.166]  The Build Back Better Great Reset Biden media is not going to cover this.
[00:59:33.186 --> 00:59:35.946]  They just want you to think the vaccine is the greatest thing since sliced bread.
[00:59:36.366 --> 00:59:37.587]  So they're not going to be covering this.
[00:59:37.867 --> 00:59:39.847]  The whole world should be seeing this.
[00:59:39.887 --> 00:59:42.148]  The whole world should be watching this.
[00:59:42.188 --> 00:59:50.769]  So we may be going in and out of that as well as covering the latest news that I have here on my desk in front of me.
[00:59:52.070 --> 01:00:14.335]   But it's kind of like what we saw in December, and then January, and then even some months after that, where you had these hearings in Wisconsin, in Michigan, in Pennsylvania, in Arizona, and you'd have the election workers go up and say, okay, here's what I saw.
[01:00:15.868 --> 01:00:18.889]  Yep, they brought in truckloads of ballots at 2 a.m.
[01:00:18.909 --> 01:00:19.989]  and they were all for Biden.
[01:00:20.829 --> 01:00:29.471]  Yeah, they were triple counting ballots in Atlanta because they knew it would increase the margins for Biden since 60% of Atlanta, Fulton County, votes for Biden, so they just quadruple counted them.
[01:00:29.991 --> 01:00:32.392]  Yeah, I was counting fake ballots.
[01:00:32.432 --> 01:00:40.014]  I've been a ballot counter for 20 years and I remember counting fake ballots and pointing it out to the poll watchers, the head of them, and saying, hey, these are fake.
[01:00:40.034 --> 01:00:41.274]  And they said, well, just count them anyway.
[01:00:41.894 --> 01:00:46.116]  They remember mail-in ballots that weren't creased, meaning they were never mailed.
[01:00:46.216 --> 01:00:48.396]  There was no crease on them, so how did you put them in an envelope?
[01:00:48.576 --> 01:00:48.937]  You didn't.
[01:00:49.837 --> 01:00:52.758]  They talked about how a lot of them had no signatures.
[01:00:52.858 --> 01:00:54.519]  Anyway, I'm pontificating here.
[01:00:54.559 --> 01:00:58.160]  The point is, those hearings actually happened.
[01:00:59.140 --> 01:01:12.455]   But because the media didn't cover them, they just got to act like it didn't exist, and all of the shenanigans that went down to put Biden in the White House For the most part, went uncovered.
[01:01:13.596 --> 01:01:15.578]  And now you're dealing with the worst president in U.S.
[01:01:15.598 --> 01:01:15.938]  history.
[01:01:16.639 --> 01:01:20.262]  Which, even the Democrats are admitting is the case now, only a year in.
[01:01:20.583 --> 01:01:22.625]  So it's that same energy, it's that same vibe.
