[00:00:00.000 --> 00:00:06.000]  [Screaming]
[00:45:04.755 --> 00:45:08.296]  But Jack, for folks that don't understand, the globalists admit there are cycles.
[00:45:08.336 --> 00:45:08.936]  They know they're there.
[00:45:08.956 --> 00:45:09.556]  We all know they're there.
[00:45:11.116 --> 00:45:16.977]  The fourth turning's here, and they want their institutions to take over from their old institutions collapsing.
[00:45:16.997 --> 00:45:18.398]  That's why right now is such a critical time.
[00:45:19.518 --> 00:45:26.859]  Can you spend a few minutes explaining to people what Klaus Schwab is talking about when he writes a book called The Fourth Turning and why this is so important?
[00:45:28.027 --> 00:45:34.034]  Right, so Klaus Schwab, he plays this little game with it where he calls it the fourth industrial revolution.
[00:45:34.514 --> 00:45:40.641]  But Strauss-Howe, they call it their generational theory, it's the fourth, essentially the fourth turnings.
[00:45:40.961 --> 00:45:46.127]  And that there are four generational turnings that come on within, it's pretty much 80 year cycles.
[00:45:46.527 --> 00:45:57.590]  So when you look at the 80-year cycles, you see the American Revolution, you see the Civil War, you see World War II, and now you see the world that we're living through now, the 80th cycle after World War II.
[00:45:57.950 --> 00:46:00.171]  They know the great restructuring is on hand.
[00:46:00.191 --> 00:46:04.872]  By the way, Putin actually kind of referenced this himself in a speech recently.
[00:46:04.892 --> 00:46:05.673]  He was talking about Ukraine.
[00:46:07.259 --> 00:46:08.461]  All sorts of other things that are going on.
[00:46:08.501 --> 00:46:13.509]  By the way, they're going total martial law in those four disputed territories right now in Ukraine.
[00:46:13.870 --> 00:46:18.978]  But Putin actually mentioned, he said, the period following World War II has now ended.
[00:46:19.540 --> 00:46:20.861]  He said the period following World War II.
[00:46:20.881 --> 00:46:21.582]  So what's he talking about?
[00:46:21.622 --> 00:46:23.783]  He's talking about that 80-year period.
[00:46:23.824 --> 00:46:27.506]  So people at the high levels, they understand what this is, they understand what we're getting into.
[00:46:27.547 --> 00:46:30.429]  And Trump, Trump is somebody who can understand that energy.
[00:46:30.509 --> 00:46:40.877]  He can understand the energy and knows that when energy is building, when energy is dissipating, he understands entropy, he understands neg-entropy, so when energy is building, or when energy is dissipating into a large system.
[00:46:41.378 --> 00:46:46.502]  This fourth turning, these systems, what comes on, you can actually see these cycles.
[00:46:46.542 --> 00:46:47.903]  Now there are memes about this.
[00:46:48.183 --> 00:46:51.186]   They talk about You know, hard times and good times.
[00:46:51.486 --> 00:46:54.989]  Essentially, bad times create strong men.
[00:46:55.410 --> 00:46:56.651]  Strong men create good times.
[00:46:57.172 --> 00:46:59.334]  Good times create weak men, soft men.
[00:46:59.974 --> 00:47:02.196]  Weak men create hard times again.
[00:47:02.617 --> 00:47:14.657]   And so it's at that point, at that point in the fourth period, in that fourth turning, when it's time for the strong men to rise up again in their communities, Right, in their cities.
[00:47:14.737 --> 00:47:17.919]  And I'm not talking about, you know, Caligula or anything like that.
[00:47:18.179 --> 00:47:20.240]  What I'm talking about is the men.
[00:47:20.740 --> 00:47:23.921]  To actually rediscover who they are and what their role is in society.
[00:47:23.961 --> 00:47:29.484]  And why do you think you see such an attack on strong men and masculinity today in this country?
[00:47:29.884 --> 00:47:31.104]  Okay, why do you see that attack?
[00:47:31.404 --> 00:47:32.765]  Because, and the attack, what do they attack?
[00:47:32.785 --> 00:47:36.907]  They attack police, they attack law enforcement, they attack first responders, right?
[00:47:36.927 --> 00:47:42.129]  And that goes right back, by the way, to this whole issue with George Floyd and the new Candace Owens documentary.
[00:47:42.710 --> 00:47:47.429]   where they point out, you know, this guy had enough fentanyl and methamphetamine cocktail in him
[00:47:47.429 --> 00:47:49.829]  to kill pretty much anybody, even a guy as big as he was.
[00:47:49.829 --> 00:47:51.349]  George Floyd was six foot four.
[00:47:51.349 --> 00:47:56.148]   Okay, he did have heart problems, by the way, and the medical examiner admitted on the stand,
[00:47:56.148 --> 00:47:59.108]   well, if we'd found him in his home with this level, these levels in him, then yes,
[00:47:59.108 --> 00:48:03.829]   we would have, we would have given that and considered that a overdose.
[00:48:04.340 --> 00:48:05.440]  But what did we see?
[00:48:05.780 --> 00:48:10.643]  We saw the targeting of our police officers, one of the bedrocks of our society.
[00:48:10.763 --> 00:48:17.127]  One of the institutions, and by the way, don't get me wrong, you know, I'm the first person to come out here and talk about bad cops and we have issues with cops.
[00:48:17.287 --> 00:48:20.289]  Sure, but they're attacking those institutions to bully them and take them over.
[00:48:21.218 --> 00:48:21.358]  Right.
[00:48:21.438 --> 00:48:22.979]  They want to take over these institutions.
[00:48:23.039 --> 00:48:24.600]  And by the way, Al Sharpton mentioned this once.
[00:48:25.080 --> 00:48:27.362]  Al Sharpton mentioned the reason they do this.
[00:48:27.642 --> 00:48:28.663]  You can see the examiner's report.
[00:48:28.683 --> 00:48:30.063]  It's right up on HennepinCounty.com.
[00:48:30.083 --> 00:48:30.804]  You can go look at it.
[00:48:30.824 --> 00:48:31.925]  I just pulled it there yesterday.
[00:48:31.945 --> 00:48:33.986]  I put some red circles on it so everyone could see.
[00:48:34.935 --> 00:48:36.717]  This has been on their website the entire time.
[00:48:36.817 --> 00:48:39.359]  No life-threatening injuries, but we did find what?
[00:48:39.579 --> 00:48:41.521]  Fentanyl, norefentanyl, methamphetamines.
[00:48:42.362 --> 00:48:44.824]  They want to nationalize the police force.
[00:48:45.065 --> 00:48:46.206]  This was Obama's plan.
[00:48:46.426 --> 00:48:52.672]  This was the original plan going all the way back to the start of Black Lives Matter in 2013 and 2014, okay?
[00:48:53.012 --> 00:48:55.915]  Ferguson with Zimmerman and everything that we saw.
[00:48:57.415 --> 00:49:08.380]  They've wanted to take out this police force because they don't want your municipality to have its own police force and they really don't want sheriff's departments to be out there because the sheriff obviously has a constitutionally elected office.
[00:49:08.780 --> 00:49:10.080]  They don't want any of that going on.
[00:49:10.200 --> 00:49:13.042]  They want the federal government to achieve this so they have total control.
[00:49:13.402 --> 00:49:17.944]  So I want you to understand the predictive programming that you're looking at here when you see these situations.
[00:49:17.984 --> 00:49:24.186]  When you look, by the way, and they'll only ever show you one angle of Derek Chauvin's knee on the neck.
[00:49:24.206 --> 00:49:31.512]   They show you the angle from Sure, I mean, whether Kanye's right or wrong, and he's obviously right, they're suing him for it because of his political views.
[00:49:31.532 --> 00:49:32.713]  Jack Massovic, back in 60 seconds.
[00:49:32.533 --> 00:49:37.172]   off of the neck and then puts it onto the back so it's not directly pressing
[00:49:37.172 --> 00:49:42.173]   the neck. They never show the other. Sure, I mean whether Kanye's right or wrong and he's
[00:49:42.173 --> 00:49:45.613]   obviously right, they're suing him for it because of his political views. Jack
[00:49:45.613 --> 00:49:50.853]   Posobiec back in 60 seconds. I want to move into all the other big issues that
[00:49:50.853 --> 00:49:58.693]   are unfolding. Well the great Jack Posobiec joins us, ladies and gentlemen.
[00:49:57.019 --> 00:49:58.420]  TPUSA.com.
[00:49:58.440 --> 00:49:59.240]  You can find him everywhere.
[00:49:59.260 --> 00:50:01.581]  Nobody needs to have Jack Posobiec introduced to them.
[00:50:02.001 --> 00:50:06.783]  I get really excited to see the amazing work he's done in the last seven, eight years that I've known him.
[00:50:07.484 --> 00:50:08.164]  Jack Posobiec.
[00:50:09.620 --> 00:50:11.942]  Obviously there's a battle, not just for America, but the world.
[00:50:12.342 --> 00:50:13.683]  A fourth turning happening right now.
[00:50:13.703 --> 00:50:14.503]  We're talking in the break.
[00:50:14.924 --> 00:50:16.225]  I said, what's front and center for you?
[00:50:16.305 --> 00:50:19.287]  And you said, the normalization of nuclear war.
[00:50:19.787 --> 00:50:25.411]  Niels deGrasse Tyson, Sean Penn, not just him, government agencies, mainstream media.
[00:50:25.931 --> 00:50:27.512]  Oh, nuclear war is good for the environment.
[00:50:27.532 --> 00:50:28.513]  It'll lower the temperature.
[00:50:29.293 --> 00:50:31.595]  Oh, hydrogen bombs aren't radioactive.
[00:50:31.615 --> 00:50:32.456]  Yeah, they are.
[00:50:32.476 --> 00:50:35.578]  And plus they make nuclear reactors that are giant dirty bombs go off.
[00:50:36.158 --> 00:50:37.419]  What is behind that?
[00:50:37.479 --> 00:50:41.263]  Because you were in Naval Intelligence, but that, you know, a lot of folks have been in intelligence scrims.
[00:50:41.303 --> 00:50:43.625]  You're proving you're really smart, you can predict the future.
[00:50:44.186 --> 00:50:48.150]  What do you make of the Ukraine war, this normalization of nukes, and how big an issue this is?
[00:50:48.170 --> 00:50:51.033]  The Nord Stream being blown up, the bridge being blown up.
[00:50:51.173 --> 00:50:52.174]  Where do you see all this going?
[00:50:53.902 --> 00:51:05.710]  Well, Alex, when I look at these articles just flying across the news desk every day, the same the way that when I'm doing my show prep, the same way that you do show prep, you're just seeing what's coming across, you know, the news.
[00:51:05.750 --> 00:51:15.256]  And all of a sudden you're getting all of these articles, literally dozens, maybe hundreds at this point of articles every day talking about, here's what would happen if a nuclear weapon hit New York City.
[00:51:15.556 --> 00:51:19.379]  Here's what would happen if one hit Washington, D.C., where I live with my wife and children.
[00:51:19.739 --> 00:51:20.320]  Here's what happened.
[00:51:20.340 --> 00:51:21.460]  We all live right downtown, by the way.
[00:51:21.480 --> 00:51:23.882]  I don't want to keep them that close to the politicians.
[00:51:26.523 --> 00:51:29.625]  What we're seeing here is a very dangerous normalization.
[00:51:30.225 --> 00:51:35.147]  This idea that, well, it's just a couple of nuclear weapons, because we all understand, we've forgotten something.
[00:51:35.307 --> 00:51:37.928]  And I actually think that our elites have forgotten something over the years.
[00:51:38.008 --> 00:51:44.511]  It's like, you know, they go to skull and bones, they go into these institutions, they go into these secret societies, right?
[00:51:44.531 --> 00:51:46.432]  The mystery, you know, mystery cult and everything like this.
[00:51:46.892 --> 00:51:54.032]   But the problem is, it's, it's like they, they got spent all their time They spend all their time focusing on just being corrupt.
[00:51:54.292 --> 00:51:55.953]  They don't actually run the system anymore.
[00:51:56.314 --> 00:51:57.295]  So they don't run the system.
[00:51:57.315 --> 00:51:58.736]  So that's why our infrastructure is falling apart.
[00:51:58.756 --> 00:52:00.237]  That's why our energy grid is falling apart.
[00:52:00.437 --> 00:52:01.658]  That's why buildings just fall down.
[00:52:01.698 --> 00:52:06.402]  You know, we don't, you know, the Kerch Bridge was attacked by a truck bomb in Crimea.
[00:52:06.742 --> 00:52:07.823]  That's how it was blown up.
[00:52:08.163 --> 00:52:10.445]  We know, obviously, that Nord Stream 2 was blown up.
[00:52:10.505 --> 00:52:11.786]  Nord Stream 1 is also blown up.
[00:52:11.806 --> 00:52:12.807]  We don't know who did it yet.
[00:52:13.147 --> 00:52:17.030]  I think it's kind of silly to think that the Russians would blow up their own pipeline in a time of war.
[00:52:18.651 --> 00:52:19.792]  I must have missed that chapter in status.
[00:52:19.812 --> 00:52:21.713]  Yeah, they wouldn't blow up their own leverage over Europe.
[00:52:22.533 --> 00:52:25.834]  No, no, their leverage over Europe is sitting at the bottom of the Baltic Sea right now.
[00:52:26.275 --> 00:52:33.718]  But what I'm also seeing are these articles talking about, oh, it's, you know, tactical nukes, it's perfectly fine to see them, it might not be as bad.
[00:52:33.758 --> 00:52:35.238]  They've actually forgotten, Alex.
[00:52:35.638 --> 00:52:39.400]  They've actually forgotten the importance of the Cuban Missile Crisis.
[00:52:39.660 --> 00:52:45.302]  They've forgotten everything that we've learned through the nuclear era and the fact that we didn't see nuclear weapons.
[00:52:45.342 --> 00:52:51.746]   Because there's an interesting dichotomy that comes up because on one hand nuclear weapons
[00:52:51.746 --> 00:52:54.125]   are the most powerful weapons known to man.
[00:52:54.125 --> 00:52:56.286]  You can obliterate cities with these things.
[00:52:56.286 --> 00:53:01.425]   But at the same time they also ensure more peace because of mutually assured destruction
[00:53:01.425 --> 00:53:04.965]   because the idea that you've got, you know, we can take out Moscow, they can take out
[00:53:04.965 --> 00:53:06.646]  DC, but guess what?
[00:53:06.646 --> 00:53:10.085]   We've got our submarines out of Kings Bay, Georgia and out of Bremerton, Washington.
[00:53:10.085 --> 00:53:11.085]  Exactly.
[00:53:11.085 --> 00:53:15.085]   This has stopped major world wars and there are a bunch of crazy chicken hawks, almost
[00:53:15.085 --> 00:53:19.006]   none of them have been in combat, who want to legitimize going ahead and using them when
[00:53:19.006 --> 00:53:22.766]  every scenario shows that it always escalates.
[00:53:22.766 --> 00:53:28.086]   That's the issue is the ladder of escalation shows it almost always leads to a full scale
[00:53:28.086 --> 00:53:29.965]  total commitment tactical nuclear war.
[00:53:29.965 --> 00:53:33.325]   Why don't you explain to folks, to somebody trained by the US government, what that would
[00:53:33.325 --> 00:53:34.325]  look like?
[00:53:34.325 --> 00:53:38.644]   I mean, what it would look like is eventually you'd get to the point where.
[00:53:39.418 --> 00:53:42.101]  Imagine attaching this to one of these hypersonic glide vehicles.
[00:53:42.542 --> 00:53:45.566]  Imagine that we can't shoot down that they can't shoot down.
[00:53:45.626 --> 00:53:48.930]  Imagine attaching these to the space planes in the secret space program that we have.
[00:53:50.191 --> 00:53:54.797]  You would get to the point where we've got unstoppable nuclear missiles on both sides.
[00:53:55.237 --> 00:54:02.261]  What that does, it creates a situation where, you know, we've always referred to it by the acronym of MAD, Mutually Assured Destruction.
[00:54:02.561 --> 00:54:14.107]  It would lead us to the point that, even if, by the way, if it's just rogue elements of the military, because that's all that's left, but if you've got one submarine that's got nuclear ballistic missiles on that thing, that cannot be stopped, right?
[00:54:14.348 --> 00:54:16.029]  And that's the key, cannot be stopped.
[00:54:16.229 --> 00:54:25.374]   Whether we've got them, the North Koreans have got them, the Chinese have got them, all right, Israel's got, you know, it's, you know, obviously it's, you know, it's classified, but Israel does and has maintained a program over the years.
[00:54:25.714 --> 00:54:28.216]  Iran, more than likely, has a few at this point.
[00:54:28.236 --> 00:54:29.917]  I mean, they keep telling us, they keep jerking our chains.
[00:54:29.937 --> 00:54:31.278]  And what you're saying is very astute.
[00:54:31.338 --> 00:54:38.682]  Most of the war games show that if the US and Russia get in a war, even limited, suddenly Pakistan and India go to war.
[00:54:39.122 --> 00:54:42.424]  India and China, which most analysts think is actually the main threat.
[00:54:42.925 --> 00:54:44.786]  Once you let Pandora out, it's over.
[00:54:46.374 --> 00:55:17.514]   It's completely over and that's why if you notice very carefully one of the things that Russia has to do with this new coalition that they're forming is a balancing act between India and China because while as Russia obviously is backstopped by both maintains relations with both what Russia has to do though is maintain these open relations but at the same time India and China hate each other and everybody knows that the only land army in all of the world that could stand stand up to the People's Republic of the People's Liberation
[00:55:17.514 --> 00:55:19.523]  Army, the PRC, would be India.
[00:55:19.523 --> 00:55:24.804]   That's why the Chinese focus so much on maintaining total control over Southeast Asia, over Burma,
[00:55:24.804 --> 00:55:26.164]  focusing on Laos, etc, etc.
[00:55:26.164 --> 00:55:27.824]  But Vietnam, of course, hates China.
[00:55:27.824 --> 00:55:30.684]  So you've got these huge issues that are going on.
[00:55:30.684 --> 00:55:35.783]   And you walk through the Kashmir, the Indians just defeated a Chinese proxy army.
[00:55:35.783 --> 00:55:40.823]   So the real first battle of the World War Three isn't just happening in Ukraine.
[00:55:40.823 --> 00:55:42.684]  It's really happening in Kashmir.
[00:55:42.684 --> 00:55:43.684]  Right.
[00:55:43.684 --> 00:55:48.164]   And the problem is, so here's the way it looks, just to get out of the nitty gritty of it.
[00:55:48.164 --> 00:55:49.043]  The way it looks is this.
[00:55:49.409 --> 00:55:56.293]  Do we want these to stay at the level of regional conflicts or do we want these, think of a history book that's written 50 years from now.
[00:55:57.014 --> 00:56:21.042]  Do we want this to be Chapter 1, the prologue of World War 3, or do we want these to maintain their status as regional conflicts, India-China, Russia-Ukraine, maintain it as a regional conflict that's contained under containment theory, which used to be something that our elites would use, or do we want it to spill over into a full-on world conflict?
[00:56:21.083 --> 00:56:22.283]  And there's that great quote out there.
[00:56:22.864 --> 00:56:28.364]   If World War III is fought with nuclear weapons, then World War IV will be fought with sticks and stones,
[00:56:28.364 --> 00:56:30.864]  because that's all the survivors will have left.
[00:56:30.864 --> 00:56:35.364]   Exactly. So why, again, our elites aren't peace snicks before,
[00:56:35.364 --> 00:56:39.664]   but they war-gamed it all and said it doesn't work, any equation ends life on Earth.
[00:56:39.664 --> 00:56:43.864]   So why have our own elites, they had a UN event just a year ago saying no nuclear war,
[00:56:43.864 --> 00:56:47.864]   our government agreed, Russia agreed, China agreed, suddenly now they're telling us it's good.
[00:56:47.864 --> 00:56:54.864]   Since when did they throw all their own war-gaming, super-computer analysis in the trash pile?
[00:56:54.864 --> 00:57:01.262]   Well, I think we're dealing with a new set of elites, one that we haven't really seen yet so far in American or
[00:57:01.262 --> 00:57:05.472]   Western history, because you see people who are so completely disconnected
[00:57:05.472 --> 00:57:08.864]   from their own countries, they view themselves as global citizens.
[00:57:08.987 --> 00:57:14.508]  You heard Barack Obama say that multiple times, that he viewed himself as a citizen of the planet, a citizen of the earth.
[00:57:14.788 --> 00:57:20.710]  And what they really mean, Alex, is that for them, they don't care about what happens to the rest of us, the hoi polloi that's living in the cities.
[00:57:20.730 --> 00:57:21.870]  We're just insects to them.
[00:57:22.910 --> 00:57:23.951]  They want Elysium.
[00:57:23.991 --> 00:57:24.792]  They want their yachts.
[00:57:24.832 --> 00:57:26.233]  Jeff Bezos has his starships.
[00:57:26.553 --> 00:57:28.715]  They'll be perfectly fine in any of these scenarios.
[00:57:28.755 --> 00:57:30.356]  They've already got their bug-out shelters.
[00:57:30.616 --> 00:57:32.137]  They've already got their seed bunkers.
[00:57:32.357 --> 00:57:34.439]  They've already got all their places, their secret islands.
[00:57:34.459 --> 00:57:34.759]  That's right!
[00:57:34.779 --> 00:57:44.406]  They've already sold themselves on the idea that a nuclear war is survivable from them, when every equation shows total breakdown of society, nuclear reactors melting down everywhere.
[00:57:45.126 --> 00:57:45.787]  They're crazy!
[00:57:45.927 --> 00:57:59.511]   One of the questions that I've seen in one of these high-level discussions Well, once we get to the point where it's all of us just living on the compound, living on the secret island, what do we do if the security forces decide to turn on us?
[00:57:59.832 --> 00:58:03.292]  Because at some point they realize that we won't have any money left to be able to pay them.
[00:58:03.652 --> 00:58:06.133]  So how do we deal with the security forces?
[00:58:06.173 --> 00:58:10.194]  And they started asking these, well, can we inject things into their food?
[00:58:10.694 --> 00:58:12.655]  This is the level of pre-planning.
[00:58:12.715 --> 00:58:13.275]  They're already planning.
[00:58:14.415 --> 00:58:15.077]  For a collapse.
[00:58:15.478 --> 00:58:17.042]  They already see a collapse coming.
[00:58:17.343 --> 00:58:18.586]  And they're planning ahead for it.
[00:58:18.606 --> 00:58:19.829]  5 years ahead, 10 years ahead, 20 years ahead.
[00:58:21.192 --> 00:58:22.613]  They understand what's coming on.
[00:58:22.973 --> 00:58:24.973]  They don't care what happens to the rest of us, Alex.
[00:58:25.333 --> 00:58:30.315]  They only care about themselves, their own interests, and them being able to continue on.
[00:58:30.615 --> 00:58:39.958]  That's why, by the way, at the same time, they're so focused on transhumanism, and I love that they've got Joe Allen up in Pennsylvania covering John Fetterman as the world's first cyborg candidate.
[00:58:40.839 --> 00:58:44.800]  Because, by the way, you know they're talking about letting Fetterman use the computer during the debate.
[00:58:44.820 --> 00:58:52.746]   You know they're saying that, because my question with that thing is, Is that thing just giving him the questions, or is it giving him pre-prompted answers as well?
[00:58:53.126 --> 00:58:55.408]  So is it giving him the answers to respond to?
[00:58:55.428 --> 00:58:58.932]  And at that point, you have to question yourself, at what point does he end and the machine begin?
[00:58:59.272 --> 00:59:09.862]  So the ultimate apotheosis that our current elites, our corrupt elites, are trying to achieve is full-on immortality through mind-machine merger.
[00:59:10.062 --> 00:59:12.064]  And John Fetterman, he's just a prototype of this.
[00:59:13.160 --> 00:59:13.860]  Deep stuff.
[00:59:13.901 --> 00:59:15.141]  Jack Posobiec, final segment.
[00:59:15.161 --> 00:59:16.082]  You're absolutely right.
[00:59:16.762 --> 00:59:20.465]  They are trying to secure their future while destroying ours.
[00:59:21.205 --> 00:59:24.167]  Securing their future would be securing our collective future.
[00:59:24.827 --> 00:59:28.269]  Any aristocrat knows their power is through empowering the people.
[00:59:28.289 --> 00:59:28.810]  We'll be right back.
[00:59:29.810 --> 00:59:34.613]  Well, what Jack Posobiec has been laying out is absolutely the most critical information.
[00:59:35.374 --> 00:59:35.894]  Period.
[00:59:37.695 --> 00:59:42.018]  If the globalists that have robbed and controlled society consolidate power, they live in a post-human world.
[00:59:43.669 --> 00:59:53.716]  Have now set in motion something that makes them have to run to armored redoubts in the middle of very, very obscure, faraway places.
[00:59:54.396 --> 00:59:55.557]  They've really destroyed themselves.
[00:59:55.577 --> 01:00:02.082]  They've been delusional in their greed, not building a powerful, successful world that creates security for all.
[01:00:03.134 --> 01:00:10.716]  They're different from past elites because anybody that knows rich people and knows their children knows that their children are horrible spoiled brats and their kids are like psychotics.
[01:00:11.296 --> 01:00:25.820]  That's why any smart elites, whether it was British royalty, you name it, would send their young children to boarding schools where they got beat up and attacked and basically made to be tough or you'd have a worthless blob.
[01:00:26.789 --> 01:00:48.665]  Well, the last generation or so didn't do that with the elite families, and I'm not saying that's a good thing they do to their own kids, kind of a trauma-based mind control, but they've created totally disconnected individuals who run technocracies, who just want power and control and have all these sycophants beneath them that are yes-men, and the New World Order global government transhumanist project is going to destroy the planet.
[01:00:49.349 --> 01:00:50.369]  It should be abandoned.
[01:00:50.409 --> 01:00:51.450]  It should be rejected.
[01:00:51.490 --> 01:00:56.472]  The gain of function, preparing all these deadly viruses, it should be rejected.
[01:00:56.832 --> 01:01:01.614]  We should collectively decide to not do it, but we're already pretty far down the path here.
[01:01:01.634 --> 01:01:03.135]  So, we've got about eight minutes left.
[01:01:03.155 --> 01:01:04.795]  Jack Posobiec, knocking it out of the park.
[01:01:05.115 --> 01:01:06.356]  TPUSA.com.
[01:01:06.816 --> 01:01:09.017]  And of course, you do your great human event shows as well.
[01:01:09.097 --> 01:01:10.458]  It'll be premiering Sunday.
[01:01:10.518 --> 01:01:11.278]  I was on with you for an hour.
[01:01:11.318 --> 01:01:11.978]  It was great to be with you.
[01:01:12.398 --> 01:01:14.339]  In closing, I'm not going to interrupt for the next seven minutes.
[01:01:14.659 --> 01:01:16.020]  What do you want to finally impart to folks?
[01:01:17.588 --> 01:01:26.736]  Well, Alex, I would always want to impart to folks, and it's similar, you know, you and I go deep on this on the Sunday special at Human Events.
[01:01:26.756 --> 01:01:28.737]  You'll be able to see it at humanevents.com.
[01:01:28.757 --> 01:01:36.484]  You'll be able to see it Sunday morning, Human Events Daily, and then in the evening it's going to air, Real America's Voice, but Alex and I go deep on the question of God.
[01:01:37.193 --> 01:01:38.955]  And the power of God in our world today.
[01:01:39.075 --> 01:01:41.256]  Because here's what the elites are trying to do.
[01:01:41.317 --> 01:01:42.818]  Here's what the Great Reset is all about.
[01:01:42.838 --> 01:01:44.199]  And these are current elites, by the way.
[01:01:44.219 --> 01:01:49.083]  And I'm not someone who's saying that I'm against this idea of all elites, right?
[01:01:49.203 --> 01:01:51.265]  I'm for a meritocracy.
[01:01:51.305 --> 01:02:00.232]  If you are the best, if you are the smartest, if you are the strongest, if you excel the most at your field, then yes, you should obviously be the one who's at the head of it.
[01:02:00.332 --> 01:02:01.713]  I'm for all of those things.
[01:02:01.854 --> 01:02:05.035]   I want Michelangelo to be the The one who's doing the sculpting.
[01:02:05.075 --> 01:02:10.777]  I don't want someone to come up and say, oh, Michelangelo can't do it because his team doesn't have the right diversity quotient or something like that.
[01:02:11.177 --> 01:02:11.978]  That's ridiculous.
[01:02:12.018 --> 01:02:12.758]  That's what's killing us.
[01:02:13.038 --> 01:02:22.701]  By the way, to turn that into something more realistic, I want to live in a society where our pilots are, you know, if I'm getting behind the seat of an airplane, my children are getting on an airplane.
[01:02:22.721 --> 01:02:27.062]  I want to know that my pilot is the best one that we could possibly find in the world.
[01:02:27.523 --> 01:02:32.044]  Not just somebody who was able to pass through whatever woke filter they put on the entire process.
[01:02:33.030 --> 01:02:35.851]  This was the world that God designed for us.
[01:02:36.511 --> 01:02:42.613]  But what our corrupt elites are now doing is they're attempting to replace God with ourselves.
[01:02:43.173 --> 01:02:46.094]  They're trying to replace God with their own pagan cults.
[01:02:46.114 --> 01:02:54.276]  You see this, by the way, with these alphabet cults, you see it with the climate cults, you see it with so many other pagan forms of worship.
[01:02:54.296 --> 01:03:01.958]  You know, Media Matters attacked me last week for calling the worship of Gaia a pagan cult, when it obviously is a pagan cult, give up Pachamama, etc.
[01:03:02.558 --> 01:03:15.628]  But also, the very next day, they went and started to desecrate one of the greatest paintings of all time by Vincent van Gogh, and they went and attacked this thing and said, our cult and our beliefs are more powerful than yours.
[01:03:15.668 --> 01:03:16.228]  And what is that?
[01:03:16.708 --> 01:03:18.810]  And here's something very interesting about that situation.
[01:03:18.850 --> 01:03:23.353]  We can laugh about them, and we can point out and make fun of them and say, oh, look at these crazy kids.
[01:03:23.393 --> 01:03:24.694]  But you know what they have?
[01:03:25.355 --> 01:03:27.376]  They have something that's very powerful.
[01:03:27.696 --> 01:03:28.717]  And we need to understand this.
[01:03:28.737 --> 01:03:29.718]  They have moral clarity.
[01:03:30.618 --> 01:03:33.579]  They have moral clarity behind their actions.
[01:03:33.939 --> 01:03:35.999]  They have moral clarity behind their words.
[01:03:36.320 --> 01:03:40.721]  They have moral clarity of task matched with purpose.
[01:03:41.581 --> 01:03:44.242]  Do we have that in Western societies today?
[01:03:44.762 --> 01:03:46.142]  Where is our moral clarity?
[01:03:46.202 --> 01:03:47.403]  Where is our moral center?
[01:03:47.783 --> 01:03:53.264]  Well, it used to come from the words of the Holy Bible, the Old Testament, the New Testament.
[01:03:53.584 --> 01:03:54.324]  I just took the family.
[01:03:54.645 --> 01:03:55.325]  We went on a trip.
[01:03:55.364 --> 01:03:57.043]  It was a turning point trip.
[01:03:57.043 --> 01:03:58.203]  Went all through the Holy Land.
[01:03:58.203 --> 01:04:01.283]  Alex, if you haven't done that, highly, highly recommend.
[01:04:01.283 --> 01:04:03.563]  I followed your trip, it was amazing.
[01:04:03.563 --> 01:04:07.924]   Walked the steps of all of it, and we got into, and I even get into some of this stuff in the Bible
[01:04:07.924 --> 01:04:09.244]  that you're not supposed to look at, right?
[01:04:09.244 --> 01:04:13.243]   You know, some of the references to Enoch, the references to the Nephilim,
[01:04:13.243 --> 01:04:19.924]   the references to Mount Pesha, all that stuff, the giants, the fact that the Book of Joshua was actually talking about
[01:04:19.924 --> 01:04:24.444]   the early Israelites fighting these remnants of the Nephilim, remnants of the giant clans.
[01:04:24.444 --> 01:04:27.243]   That's what's really going on in there, and so we're walking through these lands,
[01:04:27.243 --> 01:04:34.763]   but also understanding that when you go to the place where God touched down on our world and in our world,
[01:04:34.763 --> 01:04:38.164]   met with the Virgin Mary, when we went to the Rock of Golgotha
[01:04:38.164 --> 01:04:41.564]   and put your own hand on it, when you stand next to and put your hand
[01:04:16.784 --> 01:04:23.024]   the fact that the book of Joshua was actually talking about the early Israelites fighting these remnants of the Nephilim,
[01:04:23.024 --> 01:04:25.623]   remnants of the giant clans, that's what's really going on in there,
[01:04:25.623 --> 01:04:30.284]   and so we're walking through these lands, but also understanding that when you go to the place
[01:04:30.284 --> 01:04:35.784]   where God touched down on our world and in our world, met with the Virgin Mary,
[01:04:35.784 --> 01:04:39.344]   when we went to the Rock of Golgotha and put your own hand on it,
[01:04:39.344 --> 01:04:43.565]   when you stand next to him, put your hand on the stone of unction
[01:04:43.565 --> 01:04:47.184]   that our Lord and his body lay immediately after the crucifixion,
[01:04:47.184 --> 01:04:52.864]   before they laid him in the tomb, you are connected to a deep, powerful energy,
[01:04:52.864 --> 01:04:55.105]  and that energy is divine providence.
[01:04:55.105 --> 01:04:58.024]   And so that was what, and I believe that when our founders
[01:04:58.024 --> 01:05:00.884]   put this country together, they were relying upon that.
[01:05:00.884 --> 01:05:04.484]   You know, there's a reason that they don't talk about this very much.
[01:05:04.219 --> 01:05:09.482]  You know, our Constitution isn't set up to necessarily be a moral judgment.
