[00:00:00.149 --> 00:00:00.549]  It's on.
[00:39:30.262 --> 00:40:02.284]   Take George W. Bush, who launched illegal wars all around the world, whose sanctions killed millions of people, who lied about WMDs, who helped open our borders, who helped sign us onto the New World Order, and he has a Freudian slip and talks about the horrible evil murderers That, not blaming the troops, but that commanded that lie and that fraud of the second Iraq war, 2003, that cost us over five trillion dollars.
[00:40:02.925 --> 00:40:04.166]  That went on for over a decade.
[00:40:05.607 --> 00:40:07.428]  And it killed so many of our great troops and others.
[00:40:08.469 --> 00:40:09.230]  And wounded so many.
[00:40:10.511 --> 00:40:17.096]  And here he is, talking about himself, out of the mouths of babes.
[00:40:18.677 --> 00:40:36.591]   Here's a guy, admittedly on a bunch of psychotropic drugs, Talking about himself while he tries to talk about Vladimir Putin, when even the Pope admits the West went and overthrew the elected government eight years ago in Ukraine, started the war, attacked the Russian borders to get them to invade, they wanted that, they admit that.
[00:40:37.552 --> 00:40:40.354]  Does that mean pooty-poot, as Bush called him, is perfect?
[00:40:40.414 --> 00:40:40.634]  No.
[00:40:40.975 --> 00:40:50.323]  But the person that starts the fight, under common law, under natural law, is the person that gets the main blame.
[00:40:52.597 --> 00:40:53.799]  Am I glad Putin invaded?
[00:40:53.879 --> 00:40:54.060]  No.
[00:40:54.140 --> 00:40:55.663]  I said it was a mistake and it was a trap.
[00:40:55.903 --> 00:40:57.246]  And Putin's finding that out right now.
[00:40:58.648 --> 00:41:01.293]  But regardless, they're the ones under attack.
[00:41:02.561 --> 00:41:03.041]  Not us.
[00:41:03.942 --> 00:41:04.582]  From the Russians.
[00:41:05.443 --> 00:41:15.808]  But we're under attack by the very same Soros criminal combine setting up a world government right now to take over all your medical freedom and run the CDC and cut off your fossil fuels.
[00:41:15.828 --> 00:41:16.769]  They've announced the plan.
[00:41:17.389 --> 00:41:18.409]  They're accelerating it.
[00:41:19.250 --> 00:41:21.391]  They're not going to get rid of fossil fuels by 2040.
[00:41:21.731 --> 00:41:22.872]  Now it's 2030.
[00:41:24.273 --> 00:41:26.013]  And I've got all that coming up third hour.
[00:41:26.434 --> 00:41:28.175]  Three stacks full of videos.
[00:41:28.615 --> 00:41:29.355]  Prince Charles.
[00:41:29.875 --> 00:41:30.636]  All of them saying it.
[00:41:32.145 --> 00:41:34.546]  Bill Gates, Ted Rose, all of them.
[00:41:36.907 --> 00:41:38.508]  The economy is energy.
[00:41:40.229 --> 00:41:42.870]  You cut it off, society collapses.
[00:41:43.950 --> 00:41:47.112]  With our sprawling cities, we're not even designed to be able to operate without it.
[00:41:47.132 --> 00:41:52.074]  If we were rural farms and spread out across the country, we don't need their fossil fuel.
[00:41:52.374 --> 00:41:55.015]  But they're holding us hostage and they know it.
[00:41:55.516 --> 00:42:04.669]   Here's George W. Bush, the war criminal, Henry Kissinger's footstool, Inadvertently talking about himself while he tries to attack Russia.
[00:42:05.789 --> 00:42:09.390]  In contrast, Russian elections are rigged.
[00:42:10.870 --> 00:42:17.631]  Political opponents are imprisoned or otherwise eliminated from participating in the electoral process.
[00:42:19.172 --> 00:42:32.201]   The result is an absence of checks and balances in Russia and the decision of one man To launch a wholly unjustified and brutal invasion of Iraq.
[00:42:32.802 --> 00:42:33.662]  I mean, of Ukraine.
[00:42:35.423 --> 00:42:35.824]  Iraq, too.
[00:42:35.964 --> 00:42:36.684]  Anyway.
[00:42:38.325 --> 00:42:36.684]  75.
[00:42:39.006 --> 00:42:42.328]  He'll be fine.
[00:42:44.249 --> 00:42:46.611]  I'm really good at killing people with drones.
[00:42:46.691 --> 00:42:47.351]  No, I'm serious.
[00:42:47.371 --> 00:42:48.912]  I'll kill you, said Obama.
[00:42:48.992 --> 00:42:49.693]  Oh, he's black.
[00:42:49.713 --> 00:42:50.534]  He can kill everyone.
[00:42:50.614 --> 00:42:51.274]  Oh, it's so liberal.
[00:42:52.975 --> 00:42:54.336]  Let's hear that one more time.
[00:42:55.437 --> 00:42:56.578]  Beyond a Freudian slip.
[00:42:56.598 --> 00:42:56.938]  Here it is.
[00:42:58.410 --> 00:43:11.460]  The result is an absence of checks and balances in Russia, and the decision of one man to launch a wholly unjustified and brutal invasion of Iraq.
[00:43:12.061 --> 00:43:12.942]  I mean, of Ukraine.
[00:43:14.703 --> 00:43:15.123]  Iraq, too.
[00:43:15.203 --> 00:43:15.464]  Anyway.
[00:43:15.484 --> 00:43:15.464]  75.
[00:43:15.684 --> 00:43:17.684]  (laughter)
[00:43:17.684 --> 00:43:19.684]  I'm 75.
[00:43:19.684 --> 00:43:21.684]  (laughter)
[00:43:21.684 --> 00:43:23.684]  Here's the...
[00:43:23.684 --> 00:43:30.043]   Alright ladies and gentlemen, let me just do this, if we get ready to end the hour and bring a special guest on with
[00:43:30.043 --> 00:43:30.684]  a big victory.
[00:43:30.812 --> 00:43:33.473]  Let me tell you what's coming up today.
[00:43:33.493 --> 00:43:41.535]  I have a stack of mainline science reports and studies that the JMJ shot particularly is liquefying people's livers, including children.
[00:43:43.295 --> 00:43:45.456]  We have the giant stack on Biden handing over U.S.
[00:43:45.496 --> 00:43:49.497]  sovereignty to the World Health Organization and draft copies of the treaty leaking.
[00:43:51.237 --> 00:43:52.198]  They're already telling you what's in it.
[00:43:53.358 --> 00:44:00.394]   We have another NATO leader voices opposition to Sweden and Finland and Russia moves withdrawal from the WTO, WHO.
[00:44:02.794 --> 00:44:09.056]  We have unbelievable developments with the currencies of the world and inflation.
[00:44:10.956 --> 00:44:19.318]  We have the sexual harassment and brainwashing of five, six, seven-year-old children and transgenderism, where they're expelled if they don't learn all the pronouns.
[00:44:21.139 --> 00:44:22.219]  It's all coming up next hour.
[00:44:23.629 --> 00:44:28.174]  But I'm not going to sit here and even ask you to go to m4wrestore.com and buy great products that you already need.
[00:44:28.675 --> 00:44:29.576]  I appreciate your support.
[00:44:29.916 --> 00:44:30.877]  We've been getting a lot of support.
[00:44:30.938 --> 00:44:31.278]  Thank you.
[00:44:31.758 --> 00:44:32.800]  These are great products you already need.
[00:44:34.155 --> 00:44:44.584]  But I am going to ask you to pray for this broadcast, and I am going to ask you to tell everybody you know, as we go to break, on your email list, however, hey, Alex Jones is having a key guest on.
[00:44:44.924 --> 00:44:46.606]  Tune in now and see what you're not supposed to see.
[00:44:47.246 --> 00:44:49.468]  Text message some friends, some neighbors, some family, some strangers.
[00:44:49.828 --> 00:44:56.835]  Tell people that the resistance lives and is fighting as hard as it can with We The People at Band.Video and InfoWars.com.
[00:44:57.668 --> 00:45:01.113]  Hour number two starts in T-minus two minutes.
[00:45:02.015 --> 00:45:03.117]  So much coming up today.
[00:45:02.937 --> 00:45:09.937]   And in the words of John Paul Jones, "I have only begun to fight."
[00:45:09.937 --> 00:45:16.937]   Ladies and gentlemen, Ultra 12, the highest quality B12 you're going to find on the market.
[00:45:16.937 --> 00:45:24.656]   Has been sold out for many months, but now it's back in stock at InfoWareStore.com.
[00:45:25.008 --> 00:45:39.838]  Now, in the next 45 seconds, I don't have time to get into vitamin B12, but do your own research and realize when it is organic, high quality vitamin B12, it energizes every other vitamin mineral in your body and all of your hormones and so much more.
[00:45:40.438 --> 00:45:41.519]  Ultra 12 is incredible.
[00:45:42.259 --> 00:45:46.861]  You take it out of the tongue, so it's better absorption to your body, and it is a game changer.
[00:45:47.362 --> 00:45:58.447]  InfoWarsStore.com has Ultra 12 back in stock, and despite the fact it's back in stock, despite the fact it's sold very quickly, it is 40% off for a limited time.
[00:45:58.747 --> 00:46:12.476]   So act now, fund the Info War, and experience the purest, highest quality B12 now at InfoWarsStore.com, or call toll-free In the midst of the worst health crisis we're facing in more than a century, don't tell your supporters, don't be afraid of COVID.
[00:46:12.296 --> 00:46:15.796]  and get your bottle of Ultra 12.
[00:46:15.796 --> 00:46:21.456]   In the midst of the worst health crisis we're facing in more than a century, don't tell your supporters,
[00:46:21.456 --> 00:46:23.735]  don't be afraid of COVID.
[00:46:23.735 --> 00:46:25.936]  Everyone should be afraid of COVID.
[00:46:25.936 --> 00:46:28.675]  (dramatic music)
[00:46:28.675 --> 00:46:39.696]  Don't tell your supporters, don't be afraid of COVID.
[00:46:39.813 --> 00:46:43.214]  Everyone should be afraid of COVID.
[00:46:43.295 --> 00:46:47.176]  Everyone should be afraid of COVID.
[00:46:48.596 --> 00:46:51.017]  I just want to say they gave me Regeneron.
[00:46:51.317 --> 00:46:54.755]   We have hundreds of thousands of doses that are just about ready.
[00:46:54.755 --> 00:46:58.916]   And if you're in the hospital and you're feeling really bad, we're going to work it so that you
[00:46:58.916 --> 00:47:02.675]   get them and you're going to get them free. And especially if you're a senior, we're going to get
[00:47:15.637 --> 00:47:21.717]   everyone should be afraid of COVID. Everyone should be afraid of COVID. Everyone should be afraid of
[00:47:21.717 --> 00:47:27.715]  COVID.
[00:47:27.965 --> 00:47:30.347]  Is there no one who can tell them don't do this?
[00:47:34.926 --> 00:47:37.729]  There are, of course, those who do not want us to speak.
[00:47:37.789 --> 00:47:38.850]  Let me think, just let me think.
[00:47:38.870 --> 00:47:44.456]  I suspect even now, orders are being shouted into telephones and men with guns will soon be on their way.
[00:47:44.476 --> 00:47:45.897]  It's Chancellor Sutler.
[00:47:45.937 --> 00:47:46.378]  Damn it!
[00:47:46.558 --> 00:47:46.878]  Why?
[00:47:47.599 --> 00:47:53.605]  Because while the truncheon may be used in lieu of conversation, words will always retain their power.
[00:47:54.226 --> 00:47:57.109]  Words offer the means to meaning and for those who will listen.
[00:48:00.126 --> 00:48:04.927]  The truth is, there is something terribly wrong with this country, isn't there?
[00:48:04.967 --> 00:48:05.947]  You decided, sir.
[00:48:05.987 --> 00:48:06.908]  You wanted it foolproof.
[00:48:06.928 --> 00:48:08.328]  You taught me every television in London!
[00:48:08.588 --> 00:48:10.508]  Cruelty and injustice.
[00:48:10.688 --> 00:48:12.089]  Intolerance and oppression.
[00:48:12.489 --> 00:48:22.131]  And where once you had the freedom to object and think and speak as you saw fit, you now have censors and systems of surveillance coercing your conformity and subverting your submission.
[00:48:22.171 --> 00:48:22.351]  Cameras.
[00:48:22.371 --> 00:48:23.031]  We need cameras.
[00:48:23.331 --> 00:48:24.732]  How did this happen?
[00:48:24.792 --> 00:48:25.532]  Who's to blame?
[00:48:26.533 --> 00:48:29.197]  Well, certainly there are those who are more responsible than others.
[00:48:29.217 --> 00:48:31.059]  They will be held accountable.
[00:48:31.079 --> 00:48:36.988]  But again, truth be told, if you're looking for the guilty, you need only look into a mirror.
[00:48:38.186 --> 00:48:39.967]  I know why you did it.
[00:48:40.167 --> 00:48:42.467]  I know you were afraid, cooling me.
[00:48:42.908 --> 00:48:44.988]  War, terror, disease.
[00:48:45.589 --> 00:48:51.951]  There were a myriad of problems which conspired to corrupt your reason and rob you of your common sense.
[00:48:52.031 --> 00:48:57.773]  Fear got the best of you, and in your panic you turned to the now High Chancellor, Adam Sutler.
[00:48:58.233 --> 00:49:05.233]   He promised you order, he promised you peace, and all he demanded in return was your silent, obedient consent.
[00:49:05.233 --> 00:49:13.233]  There is a war.
[00:49:12.994 --> 00:49:13.994]  It's happening now.
[00:49:14.855 --> 00:49:16.676]  It will decide the fate of humanity.
[00:49:17.236 --> 00:49:19.037]  The time to choose sides has come.
[00:49:19.838 --> 00:49:21.299]  We are the resistance.
[00:49:21.539 --> 00:49:23.539]  We are the InfoWar.
[00:49:23.539 --> 00:49:44.539]  [Music]
[00:49:44.539 --> 00:49:46.539]  I'm watching the midterms.
[00:49:46.675 --> 00:49:50.077]  Man, you would think our country is Mad Max Thunderdome.
[00:49:50.538 --> 00:49:53.060]  This guy is like, they're coming from Guatemala.
[00:49:53.100 --> 00:49:54.221]  They're coming from Mexico.
[00:49:58.204 --> 00:50:00.045]  There's a liberal mob that's coming.
[00:50:00.286 --> 00:50:01.547]  You voted Trump!
[00:50:01.607 --> 00:50:03.889]  You voted Trump!
[00:50:03.929 --> 00:50:04.169]  Yeah!
[00:50:05.950 --> 00:50:11.074]  I don't want to be president!
[00:50:11.094 --> 00:50:13.016]  I don't want to!
[00:50:13.436 --> 00:50:14.237]  You're the president.
[00:50:16.162 --> 00:50:17.002]  What's the word?
[00:50:17.002 --> 00:50:17.841]  (beep)
[00:50:17.841 --> 00:50:18.662]  Muslims.
[00:50:18.662 --> 00:50:21.402]  (crowd cheering)
[00:50:21.402 --> 00:50:41.361]   And you would think everybody in the country is just like, to the bunker.
[00:50:41.361 --> 00:50:44.102]  (dramatic music)
[00:50:44.102 --> 00:50:46.841]  (dramatic music)
[00:50:47.302 --> 00:50:50.042]  (dramatic music)
[00:50:50.042 --> 00:50:52.802]  (dramatic music)
[00:50:52.802 --> 00:50:55.542]  (dramatic music)
[00:50:55.542 --> 00:50:58.281]  (dramatic music)
[00:50:58.281 --> 00:51:01.021]  (dramatic music)
[00:51:01.021 --> 00:51:03.781]  (dramatic music)
[00:51:03.781 --> 00:51:06.521]  (dramatic music)
[00:51:06.521 --> 00:51:09.262]  (dramatic music)
[00:51:09.262 --> 00:51:12.002]  (dramatic music)
[00:51:12.002 --> 00:51:14.762]  (dramatic music)
[00:51:14.762 --> 00:51:17.341]  (crowd cheering)
[00:51:17.341 --> 00:51:21.942]   Well, he was on with us several times, a year and a half ago, during the thick of the lockdowns
[00:51:21.942 --> 00:51:24.541]  that Fauci now says doesn't exist.
[00:51:24.541 --> 00:51:34.541]  [BLANK_AUDIO]
[00:51:25.938 --> 00:51:36.225]  Pastor Tony Spell arrested, demonized, fined, attacked, church shut down for refusing to close while they let all the big box stores continue to operate.
[00:51:36.586 --> 00:51:39.888]  Congress has no authority over religion and the First Amendment.
[00:51:40.648 --> 00:51:46.693]  And now, major ruling says that it was unconstitutional what happened to this man.
[00:51:47.705 --> 00:51:52.087]  The days of criminal trouble are all over for Central Pastor Tony Spell.
[00:51:52.147 --> 00:51:59.591]  Today, the State Supreme Court dismissed all charges against him and said the governor's COVID restrictions on worship actually violated his rights.
[00:51:59.951 --> 00:52:06.594]  While there's still a civil case pending, the pastor and his attorney told us today's ruling could shape future emergency orders from the government.
[00:52:08.581 --> 00:52:10.563]  I'm glad we listened to God and not the governor.
[00:52:10.883 --> 00:52:21.973]  Pastor Tony Spell says he's already planning a triumphant Sunday sermon following a state Supreme Court decision that declared state COVID restrictions violated his First Amendment rights.
[00:52:22.613 --> 00:52:35.204]  We've been mocked, we've been ridiculed, we've been slandered, defamed, but now we're thankful that we have finally been vindicated by the highest court in the state of Louisiana.
[00:52:35.544 --> 00:52:47.169]  Spell was arrested in April of 2020, accused of violating executive orders from Governor John Bel Edwards that laid out restrictions on businesses and in-person gatherings during the peak of the pandemic.
[00:52:47.730 --> 00:52:54.093]  Despite those orders, Spell continued to hold massive in-person services at Life Tabernacle Church in Central.
[00:52:54.833 --> 00:53:04.299]  In a 19-page ruling, State Justice William J. Crane overturned lower court rulings saying the governor's COVID restrictions violated First Amendment rights.
[00:53:04.800 --> 00:53:17.208]  Specifically, the justice argues the state could not prove that large church gatherings posed a greater risk of exposure to the virus than shopping at a secular business or attending work as an essential employee.
[00:53:17.468 --> 00:53:24.418]   The ruling can be summed up in this line, "We interpret Pastor Spell's request not as one for special treatment,
[00:53:24.418 --> 00:53:25.868]  but for equal treatment."
[00:53:25.868 --> 00:53:27.868]  "You know, there's a lot of politics against us."
[00:53:27.868 --> 00:53:32.067]   Spell's attorney, Jeff Wittenbrink, believes the ruling will set a new precedent for future...
[00:53:32.099 --> 00:53:44.330]  The implications long term are that from now on, when there's an emergency, the justice has made it clear that government has to pay attention to those rights that we have that are protected by the Constitution.
[00:53:45.879 --> 00:53:50.225]  The governor's office also responded to the ruling saying, while they disagree, they accept it.
[00:53:50.585 --> 00:53:57.414]  He said in part, each and every action Governor Edwards took throughout the COVID pandemic was done with the goal of protecting their congregations.
[00:53:57.655 --> 00:54:00.375]  You can read his full statement and the ruling in full.
[00:54:00.375 --> 00:54:09.014]   It's the first amendment, not the second, not the fifth, not the tenth, not the twentieth.
[00:54:09.135 --> 00:54:09.855]  It's the first.
[00:54:10.555 --> 00:54:25.220]  Congress shall make no law respecting and establishing religion, or prohibiting the free exercise thereof, or abridging the freedom of speech, or the press, or the right of the people to peaceably assemble, and to petition the government for a redress of grievance.
[00:54:26.780 --> 00:54:32.334]   But it's not just equal treatment That local governments and the national government should give.
[00:54:32.654 --> 00:54:40.937]  The country was founded over religious freedom and there is no jurisdiction over the church because we do not have a state religion.
[00:54:41.017 --> 00:54:42.538]  We are not Iran.
[00:54:45.151 --> 00:54:48.734]  We are the United States of America and people came here for their religious freedom.
[00:54:48.994 --> 00:54:59.481]  Congress shall make no law respecting the establishment of religion or prohibiting the free exercise thereof.
[00:55:00.002 --> 00:55:04.085]  Our entire Bill of Rights starts with those words.
[00:55:05.410 --> 00:55:21.362]  Congress shall make no, no, no, no, no, no law respecting the establishment or prohibiting the free exercise thereof.
[00:55:22.481 --> 00:55:24.944]  Pastor Spell got demonized on national news.
[00:55:25.324 --> 00:55:26.605]  He got attacked as a criminal.
[00:55:26.866 --> 00:55:28.007]  He was a horrible person.
[00:55:28.607 --> 00:55:35.174]  While the Walmarts and the Targets and the topless bars were open, the left worldwide, not just here, said churches need to stay shut.
[00:55:35.434 --> 00:55:37.817]  There are still pastors in Canada in jail!
[00:55:40.379 --> 00:55:43.200]  Many of them held without bond for what's happening here.
[00:55:43.720 --> 00:55:49.123]  So what Tony Spell has done with his strength and his honor and his very successful, powerful church is amazing.
[00:55:49.663 --> 00:55:51.684]  LTCBR.com.
[00:55:52.424 --> 00:55:53.545]  Tony Spell on YouTube.
[00:55:53.945 --> 00:56:02.128]  I'm not going to go over his whole background, but he is a faithful visionary of life, tabernacle church, a multicultural and multi-generational church in Baton Rouge, Louisiana.
[00:56:02.568 --> 00:56:10.236]   He and his beautiful wife, Since 2009, he is known as the Pentecostal Apostle.
[00:56:10.616 --> 00:56:17.645]  Faith because of his unwavering faith in Almighty God, his powerful preaching, and his intense laboring in the Gospel.
[00:56:18.942 --> 00:56:20.043]  And he joins us now.
[00:56:20.543 --> 00:56:26.867]  Thank God for the First Amendment, but thank God for him making them force the issue when so many others buckled and backed down.
[00:56:27.347 --> 00:56:33.371]  I go to a lot of different churches in Austin, some non-denominational, some others.
[00:56:33.391 --> 00:56:34.131]  I have a lot of friends.
[00:56:34.171 --> 00:56:35.272]  We go to different churches every week.
[00:56:35.632 --> 00:56:38.974]  The point is, is that most of them were shut down, even though they're good people.
[00:56:39.254 --> 00:56:40.315]  They followed those orders.
[00:56:40.375 --> 00:56:42.796]  You didn't follow those orders, sir.
[00:56:43.116 --> 00:56:44.557]  This is a big, big deal.
[00:56:44.597 --> 00:56:45.678]  Thank you so much for joining us.
[00:56:47.369 --> 00:56:48.029]  Thank you, Alex.
[00:56:48.109 --> 00:56:49.330]  It's good to be with you again.
[00:56:49.350 --> 00:57:00.275]  Throughout the ages, men have suffered death rather than to subordinate their allegiance to Almighty God over to the authority of the state.
[00:57:01.216 --> 00:57:06.799]  Chief Justice of the United States Supreme Court, William Evans Hughes in 1931.
[00:57:07.859 --> 00:57:16.421]   We hold these truths to be self-evident that all men are created equal and are endowed by their creator with certain inalienable Rights.
[00:57:16.921 --> 00:57:29.006]  Inalienable means the government did not give us the right to practice our religion and peaceably assemble, therefore they cannot take from us our rights to practice our religion and freely assemble.
[00:57:29.366 --> 00:57:40.050]  Now, of course, in March the 17th, 2020, our tyrant of a governor, King John Bel Edwards, thought that he could close down the churches.
[00:57:41.099 --> 00:57:52.604]  And he learned differently, because not only did he not close our church, but because of his afflicting us, we multiplied and grew.
[00:57:52.785 --> 00:58:08.992]  Over 2,500 people since that day have been water baptized in our church, people have been healed of incurable diseases, and people in our congregation found hope and help and life in a time of death, in a time of religious persecution.
[00:58:09.577 --> 00:58:18.484]  Now, NBC News there, in your lead-up to this story, said that spells sought equal but not greater than protection.
[00:58:19.184 --> 00:58:38.339]  If that's all they pulled out of this 29-page verdict by the Louisiana Supreme Court, which these Supreme Court justices, five out of seven, said, everything that the governor did to us for the past 27 months was illegal and unconstitutional.
[00:58:39.187 --> 00:58:41.267]  We did not ask for equal protection.
[00:58:41.747 --> 00:58:45.288]  What we said, Alex, is that Congress should make no law.
[00:58:45.608 --> 00:58:52.829]  Meaning, if the Congress cannot do it, what give the executive branch the idea that they could?
[00:58:53.750 --> 00:59:17.695]   And what you can take away from this 5-2 ruling, which was the greatest win for religious freedom in American history over 245 years, and it's the greatest win because there's never been A time in our nation's history where the churches were demanded to be closed while liquor stores were open and abortion clinics were open and retail stores were open.
[00:59:18.236 --> 00:59:33.789]   What you could take away is, is that these judges said, as judges, we have no more noble duty than to preserve the rights of our citizens from And protect them from government overreach.
[00:59:34.129 --> 00:59:40.413]  Therefore, we find the governor's orders against the defendant unconstitutional.
[00:59:40.893 --> 00:59:44.375]  They're talking like the framers of the United States of America.
[00:59:44.795 --> 00:59:59.783]  And where better to have a win than in Louisiana, the great state of Louisiana, where a Democratic governor, who is the poster child for the Biden policies and for democratic policies.
[01:00:00.530 --> 01:00:06.574]  And even in a Republican-led legislature, we got no help from the legislature.
[01:00:06.954 --> 01:00:18.042]  We got several losses in the district, federal, and the circuit courts, but now the highest court in the state of Louisiana came through for us in 5-2.
[01:00:18.702 --> 01:00:24.246]  They said things like that your religious rights are inviolate.
[01:00:25.123 --> 01:00:27.305]  Meaning, you cannot violate them.
[01:00:27.626 --> 01:00:29.668]  You do not have the authority to violate them.
[01:00:29.788 --> 01:00:32.370]  They said that our religious rights are inalienable.
[01:00:33.031 --> 01:00:39.598]  There was only one written dissent, and that was by the Chief Justice of the Supreme Court, Weimer.
[01:00:40.287 --> 01:00:44.371]  Who had zero law in his two and a half page dissent.
[01:00:44.572 --> 01:00:46.572]  It was all emotional and sensational.
[01:00:46.572 --> 01:00:51.451]   Pesterspell, I can tell, we're gonna post a link in the live show feed to the ruling,
[01:00:51.451 --> 01:00:54.771]   but I can tell you wanna go through it, so we're gonna give you the floor when we come back.
[01:00:54.771 --> 01:00:57.972]  And this is amazing, stay with us, we'll be right back.
[01:00:57.972 --> 01:01:01.771]   And you know, America's not perfect, but compared to the rest of the world, it's incredible.
[01:01:01.502 --> 01:01:05.766]  Because it's founding ideas were ordained and inspired by God.
[01:01:06.346 --> 01:01:15.217]   And I have to thank Pastor Tony Spell in Louisiana and Baton Rouge for his courage for my children's Birthright and their future.
[01:01:15.978 --> 01:01:19.140]  Because our ancestors fought for freedom and now we've got to do it.
[01:01:19.721 --> 01:01:22.543]  And he stood up and he got arrested and he got shut down.
[01:01:22.563 --> 01:01:23.204]  He got fined.
[01:01:23.224 --> 01:01:23.764]  He got attacked.
[01:01:24.064 --> 01:01:28.027]  But he persevered and now has had this big victory that they're trying to black out.
[01:01:28.548 --> 01:01:29.548]  They're trying to shut down.
[01:01:29.568 --> 01:01:30.329]  They're trying to cover up.
[01:01:30.369 --> 01:01:31.330]  But here's what's really important.
[01:01:33.885 --> 01:01:35.165]  Just as important as what I just said.
[01:01:36.046 --> 01:01:40.147]  Fauci and the UN have announced they got plans for new lockdowns after the midterms.
[01:01:40.567 --> 01:01:42.447]  This is their planetary control system.
[01:01:43.087 --> 01:01:44.928]  This is their world treaty they're getting set up.
[01:01:44.968 --> 01:01:49.949]  This is how the beast system's coming in with this digital tracking vaccine passport.
[01:01:49.989 --> 01:01:53.890]  So the tip of the spear is what Pastor Spell is doing.
[01:01:54.270 --> 01:01:55.470]  You've got the ruling right there.
[01:01:55.490 --> 01:01:58.951]  It's a big deal for the First Amendment, for the press, not just for churches.
[01:01:59.351 --> 01:02:00.552]  It's absolutely amazing.
[01:02:00.572 --> 01:02:01.552]  Please continue, Pastor.
[01:02:02.941 --> 01:02:19.845]  On page 7 of this beautiful 5-2 precedent-setting ruling from the Louisiana Supreme Court, Justice Crane stated, No liberty is more essential to the continued vitality of the free society which our Constitution guarantees than is the religious liberty.
[01:02:20.145 --> 01:02:26.366]  The most sacred right to freely exercise one's religion is both fundamental and inalienable.
[01:02:28.066 --> 01:02:42.946]   So, for the past 27 months, As I've said, we've been arrested, put on house arrests, forbidden to travel, been out of the city of Baton Rouge four times in the past 27 months because of bond restrictions and what have you.
[01:02:43.306 --> 01:02:46.827]  However, the victory came on Friday the 13th.
[01:02:47.087 --> 01:02:56.288]  That used to be the day notoriously and infamously noted as an evil day for nightmares and murder and what have you in Hollywood.
[01:02:56.728 --> 01:03:11.093]   But the Louisiana Supreme Court have now taken that day For the Lord Jesus Christ, when they said your rights were violated because you were arrested for holding church during the pandemic.
[01:03:11.733 --> 01:03:14.836]  Now, Alex, something very important to take away.
[01:03:15.577 --> 01:03:37.028]   If Amera will last long enough, In the history books, you can quote State of Louisiana versus Spell, instead of the 1906 Jacobson versus Massachusetts, where the Supreme Court of the United States ruled in favor of a Swedish-born pastor because he refused to take the smallpox vaccine, and he claimed religious exemption.
[01:03:37.689 --> 01:03:52.327]   You won't have to quote Smith versus Division of Employment, State of Oregon, who was terminated from his job because this Native American With smoke peyote as part of his religious conviction and worship, ceremonial rights.
[01:03:52.967 --> 01:03:59.891]  And he won, of course, in the Supreme Court because he was terminated from his employer in the state of Oregon.
[01:04:00.291 --> 01:04:01.993]  You won't have to quote that anymore.
[01:04:02.593 --> 01:04:09.277]  We have pure as the driven snow, the purest wind in religious history in our great nation.
[01:04:10.464 --> 01:04:18.127]  In the 5-2 State of Louisiana versus Spell, where they wanted to imprison me for six months per violation.
[01:04:18.627 --> 01:04:23.529]  Six months per violation, without fines, but six months of imprisonment.
[01:04:24.069 --> 01:04:26.330]  And we were facing several years in prison.
[01:04:27.010 --> 01:04:37.294]  But these beautiful justices in the great state of Louisiana came through and said, Governor John Bel Edwards, what you've done was unconstitutional legal.
[01:04:38.034 --> 01:04:43.103]   His emergency orders We're so irrelevant and full of holes.
[01:04:43.823 --> 01:04:50.024]  They say in here that going to and from an individual's place of worship was legal.
[01:04:50.404 --> 01:04:53.244]  However, you could not go into the place of worship.
[01:04:53.824 --> 01:05:07.687]  They go on to say that you could go into a retail store with hundreds where 10,000 cars would go into a retail store several several hundred feet from my church on a day-to-day basis.
[01:05:08.308 --> 01:05:20.750]  But if the same people would walk across the street into a cavernous 106,000 square feet building on 41 acres, they would be arrested and cited for violation of the law.
[01:05:20.870 --> 01:05:23.591]  Number one, there was no law made.
[01:05:24.291 --> 01:05:25.711]  We never broke a law.
[01:05:26.071 --> 01:05:29.552]  However, the executives broke laws.
[01:05:29.632 --> 01:05:31.032]  The governors broke laws.
[01:05:31.212 --> 01:05:32.532]  The mayors broke laws.
[01:05:33.152 --> 01:05:36.993]  These lesser magistrates, policemen and sheriffs broke laws.
[01:05:37.594 --> 01:05:41.556]  Whenever they arrested us and forbade us to preach.
[01:05:42.016 --> 01:05:43.377]  You know what this has been about?
[01:05:43.777 --> 01:05:45.698]  It's spiritual warfare, Alex.
[01:05:45.778 --> 01:05:52.942]  We just had a Health Freedom Rally where people like Dr. Peter McCullough and Drs.
[01:05:53.002 --> 01:05:56.544]  Rhett Magellan came together and said, this has all been spiritual.
[01:05:57.144 --> 01:06:02.387]  The virus and the attack against the church and the First Amendment has been spiritual.
[01:06:02.627 --> 01:06:04.228]  So it's spiritual warfare.
[01:06:05.069 --> 01:06:13.838]  I'm glad McCullough, who's in the studio tomorrow, said that, because privately, I said, you've looked at this, you're a smart guy, a renowned scientist, not a cardiologist, I said, what do you think is happening?
[01:06:13.858 --> 01:06:15.099]  He said, it's being directed by Satan.
[01:06:15.539 --> 01:06:18.762]  You look at how they're doing it, it's so sophisticated, it's that mystery of evil.
[01:06:20.344 --> 01:06:23.747]  It is the mystery of iniquity that already worked.
[01:06:24.168 --> 01:06:25.509]  Only he who now letteth.
[01:06:25.889 --> 01:06:29.653]  The word let in the Greek of 2 Thessalonians 2, 7 means the hinder.
