[00:00:00.309 --> 00:00:04.113]  The COVID crisis was the beginning of the collapse of civilization by design.
[00:38:15.862 --> 00:38:17.983]  And they were just giving me these weird demonic smiles.
[00:38:18.403 --> 00:38:20.525]  These people are turned over to evil, folks.
[00:38:20.865 --> 00:38:22.546]  This is truly the rise of hell.
[00:38:23.246 --> 00:38:23.766]  Unbelievable.
[00:38:25.007 --> 00:38:25.867]  Absolute tyrants.
[00:38:26.488 --> 00:38:29.769]  Here is Shep Smith trying to pull a fast one and shoehorn in.
[00:38:29.790 --> 00:38:31.871]  A judge saying you're guilty.
[00:38:31.911 --> 00:38:32.271]  Here it is.
[00:38:32.790 --> 00:38:33.490]  Alex Jones.
[00:38:33.751 --> 00:38:41.015]  They already found him guilty of defaming Sandy Hook families by claiming that that massacre was a hoax with crisis actors.
[00:38:41.635 --> 00:38:47.759]  Today, testimony in the civil trial began to decide how much he owes them for his words and actions.
[00:38:48.460 --> 00:38:53.983]  Neal Helsen and Scarlett Lewis' six-year-old son died in the school massacre.
[00:38:54.003 --> 00:38:54.644]  Okay, that's enough.
[00:38:54.664 --> 00:38:54.924]  That's enough.
[00:38:57.944 --> 00:38:58.764]  Well what a fast one.
[00:38:59.064 --> 00:39:10.328]  Oh, he was found guilty, implying I'm a criminal, that was a judge in a civil trial, found me guilty, in both the trial she's having and the one in Connecticut, exact same attack profile.
[00:39:11.628 --> 00:39:15.029]  He's been found guilty and now in the civil trial they'll decide.
[00:39:15.049 --> 00:39:15.170]  What?
[00:39:15.190 --> 00:39:16.970]  That's not even how the law works.
[00:39:17.730 --> 00:39:19.911]  But none of it works that way.
[00:39:19.931 --> 00:39:21.612]  I've got mainline, major U.S.
[00:39:21.652 --> 00:39:26.335]   institutions saying It is now man breastfeeding.
[00:39:26.755 --> 00:39:27.695]  Men breastfeed.
[00:39:27.775 --> 00:39:31.696]  I mean, it's just a total, absolute attack on civilization.
[00:39:32.677 --> 00:39:33.857]  Here's just some of the tweets about it.
[00:39:35.137 --> 00:39:38.718]  Alex Jones faces jury trial over Sandy Hook, says Reuters.
[00:39:39.619 --> 00:39:41.439]  But I don't face it over Sandy Hook.
[00:39:41.479 --> 00:39:43.540]  They're deciding how guilty I am because I've already been...
[00:39:45.219 --> 00:39:45.859]  Said that I'm guilty.
[00:39:46.199 --> 00:39:53.643]  Mike Cernovich read the Yahoo News article that basically admitted all this but said it was good and said, this is the most rigged case I've ever read about in all of U.S.
[00:39:53.683 --> 00:39:54.023]  history.
[00:39:54.723 --> 00:39:55.564]  Because it really is.
[00:39:56.104 --> 00:39:56.804]  That's where we are.
[00:39:57.084 --> 00:39:57.665]  And he's a lawyer.
[00:39:59.526 --> 00:40:03.507]  Judge admonishes Alex Jones for speaking outside courtroom on the first day of the Sandy Hook Affirmation Trial.
[00:40:03.788 --> 00:40:05.208]  She told the media to set up up there.
[00:40:05.468 --> 00:40:07.449]  They're out there screaming at me when I walk in.
[00:40:08.350 --> 00:40:09.150]  You're getting it!
[00:40:09.190 --> 00:40:09.970]  You're guilty!
[00:40:10.030 --> 00:40:10.831]  We're gonna ruin you!
[00:40:13.234 --> 00:40:16.676]  But I walk out and talk to the press and she goes, you don't talk when you're on this floor.
[00:40:16.776 --> 00:40:17.277]  That's a quote.
[00:40:19.618 --> 00:40:21.520]  You can talk to people in the basement, which is closed.
[00:40:23.223 --> 00:40:27.465]  Sandy Hook parents are cashing in, is what Fun Times on Twitter says.
[00:40:27.946 --> 00:40:31.147]  A million dollar industry, they are out there every week making money.
[00:40:31.187 --> 00:40:33.188]  Somebody needs to write a story about their industry.
[00:40:33.669 --> 00:40:36.810]  I never said Heslin or Lewis's names.
[00:40:36.850 --> 00:40:39.572]  They were married back when their son was tragically killed.
[00:40:39.852 --> 00:40:40.573]  Never said their names.
[00:40:40.713 --> 00:40:41.053]  Never did.
[00:40:41.633 --> 00:40:45.015]  But they sat up there and said, for 10 years I persecuted them and destroyed their lives.
[00:40:49.577 --> 00:40:50.138]  Unbelievable.
[00:40:51.397 --> 00:41:06.020]  And we're not supposed to, I guess, talk about, the judges said that that man and woman just won a seventy-two, the insurance companies caved in, seventy-three, excuse me, million dollar lawsuit that bankrupted Remington.
[00:41:07.001 --> 00:41:07.581]  It's the same group.
[00:41:10.221 --> 00:41:11.622]  The same organization.
[00:41:12.202 --> 00:41:13.142]  Seventy-three million.
[00:41:13.182 --> 00:41:13.822]  That's not enough.
[00:41:14.182 --> 00:41:15.803]  They won a hundred and fifty million from me.
[00:41:16.223 --> 00:41:17.223]  Good luck.
[00:41:18.995 --> 00:41:21.277]  Unbelievable, ladies and gentlemen.
[00:41:23.058 --> 00:41:24.799]  And they love the attention.
[00:41:25.039 --> 00:41:28.421]  The judge and the media and the lawyers and all of it.
[00:41:29.302 --> 00:41:36.346]  And the Sandy Hook families that have sued are all over the news constantly saying that I got famous off Sandy Hook when I barely ever even talked about it.
[00:41:36.366 --> 00:41:37.387]  It was a big controversy.
[00:41:37.907 --> 00:41:39.788]  People didn't believe it because the government's so unbelievable.
[00:41:40.409 --> 00:41:46.633]  And then they say that I had a secret plan to get rich off of it when I tried to settle with them with every dime of cash we had.
[00:41:48.379 --> 00:41:50.600]  Months ago, and said, look, I don't want to have a show trial.
[00:41:50.880 --> 00:41:51.580]  I know what you're doing.
[00:41:52.481 --> 00:41:57.863]  I said, if you really, you know, just want everything I got, here it is.
[00:41:58.563 --> 00:42:00.884]  But now there's nothing to settle with in the future because there is nothing.
[00:42:01.545 --> 00:42:03.185]  And we'll just stay on air one way or the other.
[00:42:03.526 --> 00:42:04.666]  Thanks to our listeners and supporters.
[00:42:04.706 --> 00:42:09.148]  That's who I wanted to thank is all of you that have stood with us.
[00:42:09.808 --> 00:42:17.436]   We're going to have to raise more money and they're going to do their show trials and have their I mean, I would imagine, hell, the next verdict might be a billion dollars.
[00:42:17.456 --> 00:42:18.176]  Make it ten billion.
[00:42:19.397 --> 00:42:20.677]  I've already been told I'm guilty.
[00:42:20.757 --> 00:42:21.878]  The judge tells him he's guilty.
[00:42:21.918 --> 00:42:22.858]  He's guilty right in front of me.
[00:42:22.878 --> 00:42:23.759]  This man is guilty.
[00:42:23.779 --> 00:42:24.419]  Do you understand that?
[00:42:24.739 --> 00:42:25.580]  No judge ever did that.
[00:42:26.340 --> 00:42:27.440]  How about prejudicing a jury?
[00:42:27.460 --> 00:42:29.721]  She's got people on the hall screaming at me.
[00:42:30.682 --> 00:42:31.522]  Oh, they're good.
[00:42:32.322 --> 00:42:33.383]  They're hanging out with the plaintiffs.
[00:42:35.785 --> 00:42:48.634]  And so, as long as we have the funds, folks, we are going to appeal and we're going to battle for years in the courts while the whole New World Order takes over and our credibility shoots to the top and we either defeat the New World Order or we all go down with the ship.
[00:42:49.515 --> 00:42:50.035]  That's where we're at.
[00:42:51.356 --> 00:42:54.038]  And so, the funds is what we need.
[00:42:54.058 --> 00:43:06.605]   That's why they want a $150 million judgment because then you've got to get, depending on how it works, 10, 20, 30% of the bail, we won't be able to get that and they want to then send a receiver in to turn the
[00:43:06.605 --> 00:43:07.014]  lights out.
[00:43:07.014 --> 00:43:08.014]  They admit that.
[00:43:08.014 --> 00:43:10.535]  They said, "Our goal is to silence him and shut him down."
[00:43:10.535 --> 00:43:12.014]  But we got other folks out there.
[00:43:12.014 --> 00:43:15.775]   As long as it's not my studio or my money, we'll be able to operate somewhere else, but
[00:43:15.775 --> 00:43:17.375]  it'll be very disruptive.
[00:43:17.375 --> 00:43:19.054]  I want to fight through this.
[00:43:19.054 --> 00:43:20.615]  We'll be able to do the appeals.
[00:43:20.615 --> 00:43:22.735]  We'll be able to move forward, but we need funds.
[00:43:22.735 --> 00:43:26.535]   So thank you for going to InfowarsTore.com, getting an Alex Jones is Right T-shirt, for
[00:43:26.535 --> 00:43:29.935]   ordering a signed or unsigned copy of the new book, The War for the World, The Great
[00:43:29.935 --> 00:43:31.854]  Reset by yours truly.
[00:43:31.854 --> 00:43:37.015]   Get the Body's Ultimate Turmeric Formula, get the Diet Force, get all the great products
[00:43:37.015 --> 00:43:41.135]  that are now available at InfowarsTore.com.
[00:43:41.111 --> 00:43:44.514]  But Diet Force, Body's, Vitamin Mineral Fusion, the bestseller!
[00:43:45.214 --> 00:43:49.398]  Unfortunately, we've already sold out like 10% of what we had come in just yesterday.
[00:43:49.438 --> 00:43:51.741]  So that brought in a lot of funds, but we got goals we got to meet.
[00:43:52.021 --> 00:43:54.043]  So get your Vitamin Mineral Fusion while you still can.
[00:43:54.103 --> 00:43:57.947]  All the vitamins, all the minerals, all the amino acids in one place.
[00:43:58.287 --> 00:44:03.012]  High quality, organic, so good for your immune system at InfoWarStore.com.
[00:44:04.164 --> 00:44:08.027]  Or by calling toll-free, 888-253-3139.
[00:44:08.047 --> 00:44:10.308]  Thanks for backing us in this fight.
[00:44:10.468 --> 00:44:11.289]  We're fighting for you.
[00:44:11.349 --> 00:44:12.169]  We're in this together.
[00:44:12.690 --> 00:44:16.492]  As Benjamin Franklin said, we're all going to hang together or hang separate.
[00:44:16.512 --> 00:44:17.713]  And we are hanging together.
[00:44:17.773 --> 00:44:19.835]  And we're going to beat the New World Order with God's help.
[00:44:20.075 --> 00:44:21.136]  So pray for the Global Awakening.
[00:44:21.176 --> 00:44:22.096]  Pray for M4s.
[00:44:22.576 --> 00:44:24.098]  And pray for these tyrants to be exposed.
[00:44:24.378 --> 00:44:27.260]  We'll be right back in the next hour with a critical report by Greg Reese.
[00:44:27.140 --> 00:44:39.460]  and then Robert Barnes.
[00:44:39.657 --> 00:44:45.099]  But humanity is not being caught flat-footed because of info wars and because of your support.
[00:44:45.739 --> 00:44:57.964]  Ladies and gentlemen, it is now more important than ever, as we reach the critical heart of the battle, that you spread the word and that you support liberty and that you warn people like you've never done before.
[00:44:58.484 --> 00:44:59.985]  We have come so far together.
[00:45:00.605 --> 00:45:02.165]  Please help keep us on the air.
[00:45:02.345 --> 00:45:03.846]  We're under massive attack right now.
[00:45:04.266 --> 00:45:05.848]  But we're going to win with your help.
[00:45:05.868 --> 00:45:08.610]  We're going to overcome this with your help and with God's blessing.
[00:45:09.051 --> 00:45:11.933]  Please go to InfoWarsTore.com and get this book.
[00:45:12.514 --> 00:45:14.596]  Many, many, many years of research have gone into this.
[00:45:14.956 --> 00:45:20.241]  The Great Reset and the War for the World, available right now at InfoWarsTore.com.
[00:45:20.361 --> 00:45:22.884]  There's also signed copies available as well.
[00:45:23.783 --> 00:45:33.027]  We got a lot of other big projects we're working on that are about to start launching as well, but this is the cavalry because we need the funding and you need this book because it warns the world of the globalist plan.
[00:45:33.468 --> 00:45:35.469]  Get The Great Reset at InfoWarsTour.com.
[00:45:36.149 --> 00:45:44.753]  After being deleted by YouTube and social media in 2018, most people did nothing to defend Alex Jones or InfoWars.
[00:45:45.353 --> 00:45:52.437]  Instead, they obediently learned the new rules and rationalized their submission as a necessary evil.
[00:45:53.237 --> 00:45:56.379]  As a result, things have only gotten worse for everyone.
[00:45:56.900 --> 00:46:00.122]  And without any recourse, they are about to get much worse.
[00:46:01.043 --> 00:46:10.970]  Alex Jones is now patient zero for America's new de facto justice system, brought to you by the fear, complacency, and inaction of the people.
[00:46:11.431 --> 00:46:15.314]  Because we take it, here's how we can all expect to now be treated.
[00:46:16.254 --> 00:46:33.059]  Even though Jones never mentioned their name and the parents never sought a retraction, Alex Jones is being sued for defamation and intentional infliction of emotional distress by parents of children who were murdered at Sandy Hook Elementary School.
[00:46:33.079 --> 00:46:41.922]  The rest of the plaintiffs are federal agents and the legal team is comprised of highly politicized members of the anti-gun lobby.
[00:46:42.262 --> 00:46:46.085]  Who have admitted their intention is to silence Alex Jones.
[00:46:46.846 --> 00:46:58.754]  So with this new precedent, if you dare question the official narrative, say for example, the school shooting in Uvalde, Texas, then someone can sue you into oblivion for emotional distress.
[00:46:59.315 --> 00:47:00.336]  But it only gets worse.
[00:47:01.016 --> 00:47:09.702]  The plaintiffs claim that Alex Jones was the perpetrator of the Sandy Hook Crisis Actor Conspiracy Theory, which is demonstrably false.
[00:47:10.223 --> 00:47:22.572]  After all the censorship and deleted videos, one can still find hours and hours of video content compiled from hundreds of sources, all questioning the official narrative of Sandy Hook.
[00:47:23.432 --> 00:47:28.457]  It was arguably the most discussed conspiracy theory since 9-11.
[00:47:29.118 --> 00:47:34.663]  And over the course of seven years, Alex Jones spent less than 30 minutes discussing it.
[00:47:35.223 --> 00:47:38.166]  We know this because it's all part of the public record.
[00:47:38.547 --> 00:47:41.790]  But these radical judges do not care about evidence.
[00:47:42.070 --> 00:47:45.553]  I am not currently representing Alex Jones, so I am free to speak my mind.
[00:47:47.055 --> 00:47:54.222]  They're already, apparently I've heard, that the plaintiff's lawyers are complaining about me speaking out about the case.
[00:47:54.382 --> 00:47:56.965]  That's how corrupt these plaintiff's lawyers are.
[00:47:57.065 --> 00:48:04.052]  They're political hacks standing on the bodies of dead kids to line their pockets and take away other people's political rights.
[00:48:04.372 --> 00:48:06.374]  And I find it disgusting what they've done.
[00:48:07.255 --> 00:48:11.639]   And so, but in this particular context, Jones has produced more discovery than anybody.
[00:48:11.859 --> 00:48:15.662]  I can't find anyone that's produced more discovery than he is, and yet they pretended that he didn't.
[00:48:15.982 --> 00:48:16.323]  Why?
[00:48:17.003 --> 00:48:19.705]  Because they built their whole case on a big lie.
[00:48:20.066 --> 00:48:30.334]  Both Judge Gamble in Texas and Judge Bellis in Connecticut have found Alex Jones guilty without ever holding a trial or hearing any evidence.
[00:48:30.754 --> 00:48:37.623]  Which is worse treatment than anyone has ever gotten in America, including Charles Manson and Al Capone.
[00:48:38.204 --> 00:48:47.837]  And their excuse for this abomination of justice is they claim that Jones failed to provide them with the incriminating evidence that they imagine must exist.
[00:48:48.577 --> 00:48:56.143]  Whatever that mysterious, unspecified evidence is, both judges have stripped Jones of his First Amendment right.
[00:48:56.603 --> 00:48:59.045]  But Judge Gamble has gone much further.
[00:48:59.665 --> 00:49:07.231]  Judge Maya Gamble comes from CPS, who has been exposed for human trafficking and working with pedophiles.
[00:49:07.771 --> 00:49:19.160]  Gamble helped publish CPS propaganda praising the state's authority and advising parents that it's normal for their children to lie about being abused in foster care.
[00:49:19.900 --> 00:49:31.369]  In the Alex Jones case, Judge Gamble has ordered that the words First Amendment and free speech cannot be used by Alex Jones, his witnesses, or even his lawyers.
[00:49:32.089 --> 00:49:34.031]  He is not allowed to defend himself.
[00:49:34.751 --> 00:49:42.973]  Judge Gamble has instructed that the jury is not allowed to hear about the emotional trauma caused by the mass murderer who killed the children.
[00:49:43.653 --> 00:49:48.795]  They are only allowed to hear how their trauma was caused by the words of Alex Jones.
[00:49:49.675 --> 00:49:57.517]  And during jury selection, not a single juror thought the media has ever treated Alex Jones or InfoWars unfairly.
[00:49:58.457 --> 00:50:05.647]  And any juror who questioned the $100 million amount casually discussed by the plaintiff's lawyers were kicked off the jury.
[00:50:06.884 --> 00:50:12.809]  Alex Jones was cancelled from social media in 2018, and is now being cancelled from the U.S.
[00:50:12.849 --> 00:50:14.750]  Bill of Rights and Constitution.
[00:50:15.551 --> 00:50:18.754]  And because of our complacency, everyone else is next.
[00:50:19.514 --> 00:50:26.019]  And in case you were wondering, the way we used to do justice was a thing called innocent until proven guilty.
[00:50:26.680 --> 00:50:30.163]  It relied upon the burden of proof, and it was pretty good.
[00:50:31.483 --> 00:50:34.226]  Reporting for InfoWars, this is Greg Reese.
[00:50:34.706 --> 00:50:36.508]  Welcome back to the Alex Jones Show.
[00:50:36.548 --> 00:50:38.430]  This is Robert Barnes hosting.
[00:50:38.930 --> 00:50:42.974]  Today we'll be discussing a little bit later, will Donald Trump be indicted?
[00:50:43.354 --> 00:50:52.884]  We'll also be discussing whether or not the judge in the Alex Jones case lied to the jury about the law in the rather peculiar professional history of the judge before she became a judge.
[00:50:53.504 --> 00:50:57.307]  But up first, we're going to be discussing geopolitics around the globe.
[00:50:57.727 --> 00:51:01.350]  Will the deep state lose its globalist battle in Ukraine?
[00:51:01.670 --> 00:51:05.933]  What is happening with the Great Reset from the Netherlands to Sri Lanka?
[00:51:06.393 --> 00:51:13.658]   What is going to be the geopolitical future Of the globe, in light of the Ukrainian conflict and the Biden administration's policies.
[00:51:14.198 --> 00:51:20.042]  The best independent geopolitical analyst I know anywhere in the globe is the Durand.
[00:51:20.422 --> 00:51:23.264]  You can find them at the durand.locals.com.
[00:51:23.644 --> 00:51:27.046]  You can also find their YouTube, Rumble, Odyssey, and other channels.
[00:51:27.546 --> 00:51:36.332]  They also have separate independent channels, and that's Alex Christoforou, or as I like to say, Christ for you, and Alexander Makoris.
[00:51:36.711 --> 00:51:43.211]   whose family has a George Washington type legacy in Greek politics bringing independence and freedom to that country.
[00:51:43.211 --> 00:51:50.012]   They're both named Alex, so unsurprisingly, they have great names in the name of Alex Jones, but also they're Greeks.
[00:51:50.012 --> 00:51:57.521]   But so let's start to discuss global geopolitics with two of the best analysts I know, Alex and Alexander, welcome to
[00:51:57.521 --> 00:51:58.911]  the show.
[00:51:58.911 --> 00:52:01.711]  Delighted to be here.
[00:52:01.711 --> 00:52:03.411]  Great to be here, Robert.
[00:52:03.490 --> 00:52:21.161]  Can you, Alex, start off with what was supposed to be the objective in Ukraine, and how much has the globalist agenda, the Western agenda, the Biden administration, EU agenda, how much have they been able to achieve that agenda?
[00:52:23.082 --> 00:52:26.865]  Well, the agenda, I believe, was regime change.
[00:52:27.558 --> 00:52:28.078]  In Moscow.
[00:52:28.539 --> 00:52:29.840]  I mean, they wanted Putin out.
[00:52:29.920 --> 00:52:33.822]  You actually had Biden on a trip to Poland about three months ago.
[00:52:33.922 --> 00:52:39.967]  He actually let it slip that the goal of of Ukraine was regime change in Moscow.
[00:52:40.027 --> 00:52:48.132]  In other words, Ukraine was just going to be kind of this this proxy war that would eventually lead to regime change in the Russian Federation.
[00:52:48.492 --> 00:53:01.164]   Their hopes was that this conflict in Ukraine, coupled with an economic shock and awe type of of war would lead the Putin government to collapse and then,
[00:53:01.164 --> 00:53:07.516]   you know, within a matter of two, three, four weeks, they would have their new guy as the president
[00:53:07.516 --> 00:53:13.806]   of Russia. It did not work. Obviously, we've seen the Russian economy bounce back very, very
[00:53:13.806 --> 00:53:20.634]   strong. We see the Russians are winning the war in Ukraine. They're doing it with a force that is still
[00:53:20.634 --> 00:53:26.306]   geared towards a special military operation. The Russians have not declared war. They have
[00:53:26.306 --> 00:53:31.775]   not thrown all of their military behind this war. As a matter of fact, Robert, the Russians are
[00:53:31.775 --> 00:53:36.945]   even going to hold drills in the east of the country to show that they still have much of
[00:53:36.945 --> 00:53:42.576]   their military not participating in this conflict. So this has been an absolute policy
[00:53:42.576 --> 00:53:43.355]  disaster.
[00:53:43.429 --> 00:53:48.331]  And Alexander, what did they get wrong?
[00:53:48.571 --> 00:53:50.052]  And why did they get it wrong?
[00:53:50.552 --> 00:54:02.596]  What did the Biden administration, the State Department, the EU crowd, the Boris Johnson administration, as long as it lasts, what did they get wrong in assessing what they thought they could achieve versus what the outcome has been in Ukraine?
[00:54:03.886 --> 00:54:06.628]  I think what they got wrong was briefly Russia.
[00:54:06.868 --> 00:54:09.850]  I think they completely underestimated the country.
[00:54:10.370 --> 00:54:22.038]  I think they had a very mistaken idea of the size of its economy, the diversity of its economy, the sophistication of its economic decision-making.
[00:54:22.458 --> 00:54:27.982]  They thought, they really believed that it was a gas station masquerading as a country.
[00:54:28.442 --> 00:54:37.129]   And I think they also greatly underestimated the extreme ability Of Russia's diplomacy and of its military side.
[00:54:37.569 --> 00:54:48.057]  So we see now, you know, the Russian Foreign Minister, Sergei Lavrov, travelling to the Middle East, to Africa, on what is starting to look like almost a triumphant tour.
[00:54:48.437 --> 00:54:50.118]  He's got friends everywhere.
[00:54:50.558 --> 00:55:03.275]   Part of the reason he's got friends is because Putin and the Russian leadership have actually said quite clearly, quite explicitly, This is a war about globalisation.
[00:55:03.656 --> 00:55:11.999]  We are resisting the drive of certain people in the West to impose globalisation upon us.
[00:55:12.599 --> 00:55:17.741]  And that message is receiving support across the world.
[00:55:18.101 --> 00:55:30.280]   So they underestimated Russia's inherent potential And they underestimated the amount of political and diplomatic support and economic support Russia is getting around the world.
[00:55:31.235 --> 00:55:33.376]  Alexander, what do you think comes next?
[00:55:33.556 --> 00:55:35.597]  In other words, in the near short-term future.
[00:55:35.757 --> 00:55:43.902]  Both of you have been spectacular at predicting this conflict from the very inception as to what was likely to happen in the near short-term and mid-term.
[00:55:44.282 --> 00:55:46.904]  What do you see as the future of this conflict?
[00:55:46.984 --> 00:55:48.024]  What happens to Ukraine?
[00:55:48.404 --> 00:55:49.465]  What happens to Russia?
[00:55:49.805 --> 00:55:53.107]  What happens to the agenda of the globalists as it relates to Ukraine?
[00:55:55.064 --> 00:56:04.991]  Well, I think if we're talking about Ukraine and Russia, Russia is going to win the war, and it's going to win the war within the next couple of weeks, months at most.
[00:56:05.271 --> 00:56:14.318]  I don't know how... I can't give you a definite timeline, but I think August, the month that's coming, is going to be the decisive month.
[00:56:14.718 --> 00:56:19.942]  We're starting to see battles happening in eastern Ukraine, in southern Ukraine.
[00:56:20.082 --> 00:56:24.365]  It's clear that the Russian military is winning the war and is going to win it big.
[00:56:24.825 --> 00:56:34.077]  Now, at the same time, what's it going to mean for the sort of geopolitical, global way in which international architecture works?
[00:56:34.538 --> 00:56:48.749]   Well, the first thing you've got to see is that people around the world Now see that the EU, the globalist power centres, are not as powerful as they first seemed.
[00:56:49.489 --> 00:56:51.771]  And that's going to give people a lot of encouragement.
[00:56:52.211 --> 00:57:15.014]   It's going to mean a major reordering of the world towards, as Putin has said, this power going back to sovereign states, a repudiation of the globalist project And you're going to see that this project is now going to, over the next couple of weeks and months, face a major setback.
[00:57:15.474 --> 00:57:20.956]  Now, people have been talking about the economic problems in the United States and they're real.
[00:57:21.216 --> 00:57:22.677]  They're indisputably real.
[00:57:23.157 --> 00:57:27.539]  The economic problems in the European Union are far greater.
[00:57:28.059 --> 00:57:33.826]  Because the Europeans are completely aligned with this globalist project.
[00:57:34.266 --> 00:57:39.972]  They believe that propaganda, that Russia was this house of cards, that it would collapse quickly.
[00:57:40.573 --> 00:57:45.759]  And what we now have is the prospect of energy rationing in Europe.
[00:57:46.259 --> 00:57:49.121]  We have a major industrial crisis in Europe.
[00:57:49.561 --> 00:57:56.504]  We have an inflation crisis which makes that in the US seem almost minor by comparison.
[00:57:57.025 --> 00:58:01.747]  So things are looking like, you know, in Europe we're going to see a major shift.
[00:58:02.527 --> 00:58:17.010]   And we've just learned today that Gerhard Schroder, who is the politician, he was the former German Chancellor, He's known to be the representative of German industry, of the big industrial groups.
[00:58:17.390 --> 00:58:20.014]  He has very strong connections with Volkswagen.
[00:58:20.393 --> 00:58:28.873]   He's now in Moscow on some kind of private, perhaps semi-secret mission, and all the word
[00:58:28.873 --> 00:58:34.273]   is that he's out there, he's now trying to make connections with the Russian leadership
[00:58:34.273 --> 00:58:38.353]  to try to find some way out for Europe from this.
[00:58:38.353 --> 00:58:43.272]   And that will mean the shattering of the EU consensus, the shattering of the globalist
[00:58:43.272 --> 00:58:51.033]   power structures, and a return to a world system based on sovereign states.
[00:58:51.033 --> 00:58:55.972]   And Alex, can you sum up for people that may not have followed European politics in detail
[00:58:55.972 --> 00:59:01.832]   just the number of countries that have suffered political turmoil from blowback from the Ukrainian
[00:59:01.832 --> 00:59:05.832]  conflict in terms of Britain, France, Italy, Bulgaria, etc.?
[00:59:05.832 --> 00:59:15.832]  [BLANK_AUDIO]
[00:59:07.071 --> 00:59:16.177]  Yeah, well France, Macron didn't have such a good go in the recent elections, and he did lose his power in the Parliament.
[00:59:17.137 --> 00:59:23.761]  We had Estonia actually, the government collapsed, though it has now come back again, the same government, but it did collapse.
[00:59:24.201 --> 00:59:30.005]  We had the government in Bulgaria collapse, and I'm not sure where they are right now, but I think they're having a hard time trying to form.
[00:59:30.305 --> 00:59:37.265]   a new coalition and the previous government that did collapse was very much aligned with the WEF,
[00:59:37.265 --> 00:59:44.545]   with the globalist center. You also have, of course, Draghi, Mario Draghi, the former Goldman
[00:59:44.545 --> 00:59:50.144]   Sachs ECB head, who was the unelected prime minister of Italy.
[00:59:50.391 --> 00:59:54.493]  He has bolted and he has decided to call it quits.
[00:59:54.873 --> 01:00:06.218]  He's very happy to leave because he sees what's coming and we are going to have elections in Italy and Robert, I think this is very much kind of the the curse of Zelensky.
[01:00:06.258 --> 01:00:10.039]  It seems like whoever is supporting Zelensky, their government is collapsing.
[01:00:10.060 --> 01:00:11.040]  Of course, we have Boris Johnson.
[01:00:11.775 --> 01:00:16.802]  Boris Johnson is out, though he may be the new NATO Secretary General, if you believe the Telegraph.
[01:00:17.062 --> 01:00:17.483]  Exactly.
[01:00:17.663 --> 01:00:21.568]  When we come back, we will discuss, will Biden start World War III with China?
[01:00:22.009 --> 01:00:23.691]  And more, right after the break.
[01:00:24.171 --> 01:00:24.772]  So join us then.
[01:00:25.578 --> 01:00:28.561]  Welcome back to the Alex Jones Show, Robert Barnes hosting.
[01:00:29.021 --> 01:00:36.248]  Later on, we'll be discussing Will Biden indict Donald Trump as his Hail Mary to save his own skin in the midterms?
[01:00:36.928 --> 01:00:44.716]  Did the judge in the Alex Jones case lie to the jury about the law of libel and the right of apology as a mitigating aspect for damages?
[01:00:45.296 --> 01:00:47.437]  That we'll be discussing a little bit later in the show.
[01:00:48.037 --> 01:01:06.443]  Also, later in the bottom half of the hour, we'll be discussing with The Duran, that you can find at theduran.locals.com, also on YouTube and Rumble and other platforms, the issue of whether or not we will end up going to war with China, and is that a realistic risk moving forward?
[01:01:06.943 --> 01:01:09.466]  But first up, what about the future of Europe?
[01:01:09.907 --> 01:01:11.208]  Is Europe collapsing?
[01:01:11.609 --> 01:01:12.189]  What might be?
[01:01:12.249 --> 01:01:14.592]  Is Europe just going to become a future Disneyland?
[01:01:14.652 --> 01:01:17.256]  A place you go and visit for the history and the tourism?
[01:01:18.017 --> 01:01:19.859]  That is the question at this segment.
[01:01:20.399 --> 01:01:26.407]  Alexander, you mentioned the collapsing aspect of Europe's economy, of critical aspects of that economy.
[01:01:26.767 --> 01:01:40.975]  The historic deal that Putin did with Germany to establish cheap natural gas in exchange for them getting rid of nuclear energy to satisfy their greens, in exchange gave them an economic edge in industrial production and kept Germany's industrial economic engine alive.
[01:01:41.415 --> 01:01:48.318]  Now they're scrapping all that and they're talking about maybe you shouldn't shower for a couple of months and maybe you should go to a heating center somewhere.
[01:01:48.799 --> 01:01:51.180]  What is the future of Germany?
[01:01:51.420 --> 01:01:55.022]  What is the future of Europe economically given its current pace?
[01:01:56.804 --> 01:01:58.906]  In a word, Robert, it's bleak.
[01:01:59.506 --> 01:02:03.709]  It's very, very difficult to be at all optimistic about Europe.
[01:02:03.749 --> 01:02:07.252]  In fact, the more pessimistic you are, the more realistic you are.
[01:02:07.532 --> 01:02:09.113]  You summed it up perfectly.
[01:02:09.594 --> 01:02:18.421]  The whole economic system in Germany was based upon importing cheap energy from Russia.
[01:02:18.461 --> 01:02:19.822]  That was why they did that.
[01:02:19.862 --> 01:02:22.664]  They didn't do it out of charity for the Russians.
[01:02:23.204 --> 01:02:27.945]  German industry needs cheap power in order to remain competitive.
[01:02:28.365 --> 01:02:36.067]  It doesn't have the giant economies of scale that you find, for example, in China in the United States.
[01:02:36.128 --> 01:02:45.615]   So this was this energy partnership that they created and it was primary driver of the German economy, and because the German economy is
[01:02:45.615 --> 01:02:52.245]   the dominant economy in Europe, it was what kept the whole locomotive of the European Union
[01:02:52.245 --> 01:02:59.125]   together and enabled the European Union, the people who lead it, to carry through with their
[01:02:59.125 --> 01:03:05.096]   ideas of EU unity, integration, basically doing away with sovereign states within Europe,
[01:03:05.096 --> 01:03:06.236]  all that kind of thing.
