[00:00:00.029 --> 00:00:01.270]  That's who these people are.
[00:51:09.186 --> 00:51:10.206]  Nothing against talk radio.
[00:51:10.306 --> 00:51:10.666]  I love it.
[00:51:11.167 --> 00:51:12.827]  We're on over 300 radio stations.
[00:51:13.767 --> 00:51:16.308]  They try to deplatform us and take us off air.
[00:51:17.208 --> 00:51:21.369]  We only survived as we built back up our Internet presence because of the AM FM stations.
[00:51:21.409 --> 00:51:21.950]  They're awesome.
[00:51:22.590 --> 00:51:27.331]   And the average Radio show has 14 minutes of ads an hour and that's what we
[00:51:27.331 --> 00:51:32.690]   have 14 minutes of ads an hour and it's great It helps our affiliates helps sponsors all that. I'm gonna
[00:51:32.690 --> 00:51:39.789]   keep doing this show. I've been doing for 25 years in the slot 24 and a half years syndicated. Yeah
[00:51:39.789 --> 00:51:46.300]   in this slot Talk radio needs to continue on but as people migrate away
[00:51:46.300 --> 00:51:53.251]   from it as it contracts as it shuts down Except for a few major stations in a few major markets in
[00:51:53.251 --> 00:51:59.430]   the next five ten years Maybe even sooner we will then move and segue
[00:51:59.430 --> 00:52:08.517]   into a pure quote podcast format If we're even still here, if we're able to back the globalists off, stop them, slow them down, you know, it's all in God's will.
[00:52:09.600 --> 00:52:16.525]  But we trust in God, but we were away from the rocks, as Hunter S. Thompson said, or that's kind of a ripoff of the Bedouins saying, trust in God, but tie up your camel.
[00:52:19.167 --> 00:52:20.748]  God helps those that helps themselves.
[00:52:21.649 --> 00:52:23.010]  So that's where we are right now.
[00:52:23.210 --> 00:52:24.931]  And I sit here looking at all this news I've got.
[00:52:26.255 --> 00:52:31.756]  And I wouldn't do a rant about the FBI director saying he suddenly discovered Chinese spies when we're just totally overrun.
[00:52:31.776 --> 00:52:34.297]  He was too busy saying white people are inherently bad.
[00:52:34.317 --> 00:52:39.058]  And the ADL spouting Hitlerian talking points for school children.
[00:52:39.098 --> 00:52:47.000]  I have the training manuals right here that being white is inherently bad and that you have guilt as a white person, original sin.
[00:52:47.020 --> 00:52:51.341]  I mean, this is just absolutely outrageous.
[00:52:51.841 --> 00:52:54.942]  ADL teaching school children only white people can be racist.
[00:52:56.496 --> 00:53:01.902]  They train the police departments, they train the public school children as young as five years old, that they're bad because they're white.
[00:53:03.703 --> 00:53:06.787]  I just can't think of a more abusive, sickening evil.
[00:53:07.507 --> 00:53:09.590]  And I don't want to dislike the ADL.
[00:53:09.710 --> 00:53:14.575]  I don't want to have people divided off of Judaism and the rest of it.
[00:53:14.975 --> 00:53:16.677]  But the ADL is a leftist group.
[00:53:17.737 --> 00:53:24.379]  That lives off of racism and division and that lives off of people attacking Jews.
[00:53:24.479 --> 00:53:31.841]  And so that's going to make their business better to brand the New World Order and all the evil stuff it's doing as an ADL enterprise when it's not.
[00:53:33.621 --> 00:53:35.822]  And then you try to oppose any of the evil going on.
[00:53:37.002 --> 00:53:44.264]  Transgender training for kids, drag queen story time, open borders, forced injections, and the ADLs out there pushing censorship and control.
[00:53:45.228 --> 00:53:57.635]  And billions of dollars of bots spying on where you go and what you do on Twitter and Instagram and reporting it back and putting reports out about where the general public goes and helping publish names of concealed carry owners.
[00:53:57.895 --> 00:54:05.459]  I mean, you're a bunch of crazy, horrible bullies that know you are, and you're making your move against America.
[00:54:07.640 --> 00:54:25.646]   And I look at the tactics Hitler used, race-based systems, gangs, thuggery, de-platforming, de-banking, and It's just wild to watch George Soros, who worked for Hitler, now help finance and run the ADL, literally brand America as Hitler.
[00:54:25.846 --> 00:54:27.606]  I mean, we didn't work for Hitler, dude.
[00:54:28.006 --> 00:54:29.427]  We don't like Hitler like you.
[00:54:29.867 --> 00:54:32.228]  We don't create Hitlerian policies everywhere.
[00:54:32.248 --> 00:54:34.829]  And of course, George Soros knows that.
[00:54:34.669 --> 00:54:43.669]   that he's a complete psychotic, sociopathic devil. It's just...
[00:54:43.669 --> 00:54:53.669]  [BLANK_AUDIO]
[00:54:44.881 --> 00:55:04.534]  Mind-blowing to realize that's going on and I you go off into the whole race division divide-and-conquer Tribalism crap and it just gives you a headache That's why I try to just stay out of it and away from it and just expose the operations of the globalist But man, we got to protect our children from these race mayors from these cult leaders.
[00:55:04.955 --> 00:55:11.751]   We've got to protect them from these deadly shots We've got to protect them from what these sinister establishment people are doing.
[00:55:12.032 --> 00:55:15.214]  We have to recognize there's always been evil people in the world of every race, color, and creed.
[00:55:16.375 --> 00:55:19.297]  They get together and they organize themselves to control good people.
[00:55:20.878 --> 00:55:31.606]  And good people have to organize themselves with a basic code of freedom and liberty and then live by it and not let monster authoritarians tell us we're all bad because we're white.
[00:55:31.967 --> 00:55:36.110]  So we have to bow down and worship Black Lives Matter as the new religion.
[00:55:37.051 --> 00:55:38.392]  When it's not even black people.
[00:55:38.572 --> 00:55:46.035]  It's a weird, rich, communist group that's got six million dollar communist command bases and four million dollar airfields.
[00:55:47.395 --> 00:56:00.261]  It's all horrible, selfish people appointing themselves as the priest above you and saying they're good and they're pure and they will show you how to be a good person if you submit to them.
[00:56:02.101 --> 00:56:03.162]  It's truly disgusting.
[00:56:03.182 --> 00:56:05.963]  Alright, let's take a phone call right now.
[00:56:06.977 --> 00:56:08.798]  Let's go ahead and talk to folks in Pennsylvania.
[00:56:09.057 --> 00:56:11.057]  Tim in Pennsylvania, go ahead.
[00:56:11.057 --> 00:56:18.557]  I know they didn't go to you right away, Tim.
[00:56:17.943 --> 00:56:18.383]  It's okay.
[00:56:18.403 --> 00:56:19.124]  Go ahead now, Trump.
[00:56:20.064 --> 00:56:20.544]  Hey, you there?
[00:56:20.725 --> 00:56:21.245]  Yeah, go ahead.
[00:56:22.165 --> 00:56:23.846]  Hey, Alex, how you doing?
[00:56:25.187 --> 00:56:33.552]  I just like, I don't know, this vlog is going crazy, but I just want to like bring up a point, you know, bring up a point about the ADL, man.
[00:56:33.632 --> 00:56:36.496]   It's like, We have to have an honest discussion.
[00:56:36.576 --> 00:56:41.438]  Like, if you look at the COVID stuff, I mean, so many of these people are Jewish, man.
[00:56:44.019 --> 00:56:47.340]  Well, yeah, the head of Pfizer is Jewish, and is Bill Gates Jewish?
[00:56:47.380 --> 00:56:50.081]  I mean, my point is there's a lot of Jews opposing the tyranny.
[00:56:50.121 --> 00:56:55.484]  I mean, it's, in fact, I'd say there's a predominant number for their racial number of, what, 2% or whatever.
[00:56:55.524 --> 00:56:58.705]  I'd say there's an oversampling of Jews fighting this tyranny as well.
[00:57:00.433 --> 00:57:00.873]  I agree.
[00:57:00.893 --> 00:57:01.754]  I mean, it's pretty sad.
[00:57:01.774 --> 00:57:05.376]  Like, I have some Jewish friends, but I mean, it seems like... I mean, let's just say this.
[00:57:05.396 --> 00:57:07.437]  Jews, on average, are in the game.
[00:57:08.037 --> 00:57:10.619]  And some are in the game for the bad guys, and some are in the game for the good guys.
[00:57:10.859 --> 00:57:13.600]  That's why I judge people off what they do themselves.
[00:57:14.140 --> 00:57:15.441]  That's why I'm mad at the ADL.
[00:57:15.721 --> 00:57:19.904]  They want to organize us into racial groups and tell me I'm bad because I'm white?
[00:57:20.364 --> 00:57:20.584]  No!
[00:57:20.764 --> 00:57:23.125]  You're Hitler telling me I'm bad because of what color I am.
[00:57:23.325 --> 00:57:24.366]  You are Hitler!
[00:57:24.606 --> 00:57:26.067]  You are Hitler, not me!
[00:57:27.268 --> 00:57:29.749]  Don't you project your weird Hitler crap on me, ADL!
[00:57:31.025 --> 00:57:32.166]  I agree, I'm totally with you.
[00:57:32.546 --> 00:57:37.791]  I think, though, it's important to look at, you know, the precepts of Talmudic Judaism.
[00:57:37.831 --> 00:57:40.613]  They really are a supremist kind of organization.
[00:57:40.693 --> 00:57:43.375]  It's not like a rabbinical, it's not the Torah.
[00:57:43.676 --> 00:57:50.842]  Like, Dr. Zelenko... Well, I mean, if you read the Old Testament, it's go out and kill everybody that worships Moloch and eats their children.
[00:57:50.862 --> 00:57:51.522]  I mean, look.
[00:57:52.742 --> 00:57:54.563]  That's kind of manifest destiny for America.
[00:57:54.723 --> 00:57:58.404]  Every group that has done anything has said, we're the best, we're going to do this.
[00:57:59.024 --> 00:58:02.185]  And so yes, but I mean, I like the Old Testament.
[00:58:02.605 --> 00:58:06.307]  And I mean, I think what I'm reading there is, hey, these people are eating their kids.
[00:58:06.367 --> 00:58:07.207]  Let's wipe them out.
[00:58:08.007 --> 00:58:12.869]  I mean, instead, we have the leftists that literally want to eat the kids running things now.
[00:58:12.889 --> 00:58:15.150]  I mean, look, you're either pagan or you believe in God.
[00:58:15.170 --> 00:58:15.690]  Does that make sense?
[00:58:16.920 --> 00:58:24.462]  No, absolutely, but Jesus Christ is the Son of God, and I think it's... All our problems would go away if people would just accept Jesus Christ as the Son of God.
[00:58:24.482 --> 00:58:29.283]  You know, with the Muslims and Jesus not fighting... Yes, yes, yes, absolutely, and accept God-consciousness.
[00:58:29.303 --> 00:58:31.284]  Become conscious of God and God's will.
[00:58:32.384 --> 00:58:33.284]  Yeah, absolutely.
[00:58:33.324 --> 00:58:39.306]  I think we just got to be more... Listen, you got to stop being afraid to call out the bad actors in each group, you know?
[00:58:39.386 --> 00:58:40.046]  Absolutely!
[00:58:40.106 --> 00:58:44.147]  Listen, I mean... Look, the media doesn't give it attention.
[00:58:44.187 --> 00:58:45.868]  You know how many Jews call out the ADL?
[00:58:46.778 --> 00:58:48.379]  You think they want that group representing them?
[00:58:49.079 --> 00:58:50.960]  I mean, you think the KKK represents me?
[00:58:51.040 --> 00:58:53.322]  No, they don't!
[00:58:53.342 --> 00:58:58.485]  We got some really incredibly important COVID news coming up with lawyer Tom Renz.
[00:58:59.285 --> 00:59:00.746]  Next segment, then we'll continue with your calls.
[00:59:00.806 --> 00:59:07.930]  And we have a special guest joining us, former NBA star and current MMA fighter who's doing a great job standing up against globalist genocide.
[00:59:08.731 --> 00:59:11.332]  There's been some very exciting developments.
[00:59:11.392 --> 00:59:14.154]  I was already intending to talk about Melinda French-Gates.
[00:59:15.527 --> 00:59:22.168]  Today and tie it into Jeff Zucker and how all of the pedophilia stuff start to come out.
[00:59:23.191 --> 00:59:28.955]  Because we never knew if she herself was a eugenicist and she never made statements about wanting to exterminate black people.
[00:59:29.515 --> 00:59:37.360]  And folks always wondered if she was a beard for Gates, not because he could be homosexual or bisexual, but a beard just to make it look like he's married and a family man.
[00:59:38.181 --> 00:59:40.222]  But she is really coming out against Gates.
[00:59:41.463 --> 00:59:43.505]  And so she's now pulling her money out of the foundation.
[00:59:44.085 --> 00:59:47.007]  So that is a big, big, big deal.
[00:59:48.368 --> 00:59:49.029]  So that's coming up.
[00:59:49.409 --> 00:59:52.291]  Right now let's go to Stewie in Illinois with a point about the UN Charter.
[00:59:52.591 --> 00:59:55.173]  Now Biden invited the UN and NATO in.
[00:59:55.193 --> 00:59:58.135]  Want to find out more, we'll talk to Lisa and Josh after him.
[00:59:58.435 --> 00:59:59.295]  Stewie, thanks for calling.
[01:00:00.196 --> 01:00:01.957]  Hey Alex, man, it's good to talk to you.
[01:00:02.397 --> 01:00:05.179]  Alright, so I just learned this, and this kind of blew my mind a little bit.
[01:00:06.500 --> 01:00:13.825]  Article 6 of our Constitution says any treaty that we will make becomes part of the supreme law of the land.
[01:00:14.654 --> 01:00:28.087]  Now, Article 48 and 49 of the UN Charter requires all member nations to carry out the decisions of the Security Council to maintain the maintenance of international peace and security.
[01:00:29.047 --> 01:00:37.355]  Now, Biden invited these people in, and I believe that's all part of the Disarm America movement, and he was saying it was to investigate racism.
[01:00:37.735 --> 01:00:38.776]  He did that earlier in the year.
[01:00:38.796 --> 01:00:40.358]  I just want you to think about that.
[01:00:42.426 --> 01:00:43.628]  Well, you're absolutely right.
[01:00:43.808 --> 01:00:45.710]  All of this is about the UN being in charge.
[01:00:45.750 --> 01:00:52.659]  Remember what Loretta Lynch did right before Obama left office five and a half years ago?
[01:00:53.680 --> 01:00:54.541]  Remember what happened?
[01:00:55.635 --> 01:00:56.576]  They went to the U.N.
[01:00:56.596 --> 01:00:58.397]  and had a strong cities convention.
[01:00:58.437 --> 01:01:01.960]  Henry Kissinger was there, George Sulz was there, they had tears in their eyes.
[01:01:02.500 --> 01:01:03.842]  And they signed the U.S.
[01:01:03.902 --> 01:01:05.002]  cities under U.N.
[01:01:05.042 --> 01:01:08.605]  control and promised to fire the police and bring in U.N.
[01:01:08.645 --> 01:01:11.668]  approved police through a process called munialization.
[01:01:12.248 --> 01:01:14.870]  And Schwarzenegger gave a speech saying, we will bring in it.
[01:01:15.751 --> 01:01:24.574]   We're going to bring in the control for the Carbon tax through the cities, doesn't matter what presidents do, or Congress.
[01:01:25.175 --> 01:01:32.102]  And so this is how they're taking over everything, is the UN, which is again just the front group for the big corporations.
[01:01:32.142 --> 01:01:40.411]  And now you see that openly, where, oh you can't say Ivermectin works, doesn't matter if it's a major study, the UN doesn't allow that, they're the boss.
[01:01:41.317 --> 01:01:42.918]  Yeah, that's exactly what I was thinking.
[01:01:43.078 --> 01:01:51.080]  And when I heard he was inviting a man to combat our racism, which is all completely made up, I mean, that's just going to be the way that they try to disarm American citizens.
[01:01:51.320 --> 01:01:51.581]  That's right.
[01:01:51.601 --> 01:01:54.342]  Well, we forget that last year he, quote, brought in the U.N.
[01:01:54.362 --> 01:01:59.023]  to oversee the southern and northern border and brought him in to help combat racism in America.
[01:01:59.403 --> 01:02:05.425]  Oh, world government that runs around running slave camps and exploiting third world labor, especially Africa, and stars people to death.
[01:02:05.745 --> 01:02:07.366]  Come in and teach us.
[01:02:07.886 --> 01:02:09.367]  Teach us how to not be bad, U.N.
[01:02:10.669 --> 01:02:11.949]  Yeah, yeah, 100% man.
[01:02:12.269 --> 01:02:15.050]  So I just learned that, that kind of blew my mind.
[01:02:16.090 --> 01:02:18.091]  I had one more question too and that's unrelated.
[01:02:18.731 --> 01:02:19.851]  You guys still doing Summerfest?
[01:02:19.951 --> 01:02:21.971]  Because I know you guys have been going through hell lately with all that.
[01:02:22.391 --> 01:02:23.031]  We're still doing what?
[01:02:24.272 --> 01:02:24.712]  Summerfest.
[01:02:26.732 --> 01:02:27.552]  Summerfest?
[01:02:28.633 --> 01:02:30.193]  I know you guys are talking about it.
[01:02:30.873 --> 01:02:35.534]  Owen was talking about getting big on it probably beginning of the year before they turned up the heat on you guys.
[01:02:36.360 --> 01:02:38.681]  No, I never made a big thing out of that.
[01:02:39.642 --> 01:02:45.705]  Owen, I remember vaguely, wanted to have a party out at the lake or something back during lockdowns a couple years ago.
[01:02:45.745 --> 01:02:47.186]  I'm not against that.
[01:02:47.606 --> 01:02:51.949]  I'm just not really doing big events just because that's not our strategy.
[01:02:52.369 --> 01:02:55.411]  They can also try to infiltrate those, but I appreciate your call.
[01:02:55.951 --> 01:02:57.512]  Nothing against Owen doing that.
[01:02:57.932 --> 01:03:02.014]   It's just that I'm not big into the Patriot Fest type deals.
[01:03:02.535 --> 01:03:04.936]  I'm not against them, it's just not what we're doing here.
[01:03:05.276 --> 01:03:11.779]  We're getting strategic information out in the public, talking points to counter the globalists and for people to understand their larger narrative and operation.
[01:03:12.339 --> 01:03:14.580]  Alright, let's go ahead and talk to Lisa in Florida.
[01:03:14.620 --> 01:03:15.401]  Lisa, you're on the air.
[01:03:17.302 --> 01:03:17.622]  Hello.
[01:03:18.182 --> 01:03:18.983]  Yes, welcome Lisa.
[01:03:20.023 --> 01:03:23.605]  Hi, I wanted to talk about the restart war.
[01:03:25.187 --> 01:03:28.889]  And also talk about afterwards some of the product plugins.
[01:03:29.009 --> 01:03:31.990]  Absolutely, please give us your view.
[01:03:32.010 --> 01:03:34.611]  The Reset Wars is a great course.
[01:03:34.811 --> 01:03:51.879]  I took a similar course a couple of years before COVID started and it was a longer course and it was the same stuff except it was, you know, I wanted to point out that it's really important with this material to repeat it frequently.
[01:03:54.178 --> 01:04:02.843]  Because when you, it's about your subconscious mind and how it really imprints in your subconscious.
[01:04:03.483 --> 01:04:12.828]  And yeah, I mean, it's just, it's like everything that happens to you.
[01:04:12.848 --> 01:04:21.173]  It's like when something goes in your subconscious mind, you don't realize how it's imprinting on your life.
[01:04:22.059 --> 01:04:29.642]  You know that is so beautifully said and I didn't go plagiarize this, I didn't go reverse engineer somebody else's course.
[01:04:30.023 --> 01:04:35.925]  A lot of what you're going to see is going to be out there with other thinkers and folks that are dialed in because it's the truth.
[01:04:36.485 --> 01:04:43.189]  And then it's also in CIA documents how they're using the same technology but to keep people in this artificial construct.
[01:04:43.569 --> 01:04:48.871]   And so absolutely, look the things I know in the course I implement 10% of it and it's changed the world.
[01:04:49.232 --> 01:04:51.673]  I'm trying to be not under their control.
[01:04:51.733 --> 01:04:54.094]  I'm trying to not be under their construct.
[01:04:54.154 --> 01:04:58.137]  And just being aware is powerful, but it's a process because we're not God.
[01:04:58.197 --> 01:04:58.977]  We're not Jesus.
[01:04:59.217 --> 01:04:59.978]  We're not perfect.
[01:05:00.218 --> 01:05:02.459]  In fact, we're absolute, you know, fools.
[01:05:02.919 --> 01:05:09.023]  But being aware of that allows us on the journey to really get out of the globalist control and then help others.
[01:05:09.983 --> 01:05:11.603]  And so that's why we made Reset Wars.
[01:05:11.663 --> 01:05:15.484]  It's really powerful info, but you get out of it what you put into it.
[01:05:15.724 --> 01:05:26.146]  And I agree, it's something you've got to watch, you've got to take notes, you've got to really focus on it to deprogram yourself, and then literally God's real will help come in and deprogram you.
[01:05:26.366 --> 01:05:30.687]  But the Holy Spirit isn't like Satan's spirit that pushes its way in.
[01:05:31.187 --> 01:05:35.468]  It's very, very gentle, and it's like a gently, gently catchy monkey.
[01:05:35.548 --> 01:05:37.509]  You've got to really try to get it into you.
[01:05:37.749 --> 01:05:38.389]  Does that make sense?
[01:05:39.229 --> 01:05:39.870]  Yes, yeah.
[01:05:39.910 --> 01:05:41.031]  I put it in my car.
[01:05:41.611 --> 01:05:43.894]  I listen to it when I'm in the kitchen.
[01:05:43.914 --> 01:05:52.402]  It's just really important that when you're in that state of mind, when you're in it, sort of like the trance-like state, it's just seeping in.
[01:05:52.482 --> 01:06:16.323]   It's sort of like the globalists do when they have you in that trance state when you're watching TV or you're in that sort of state of mind that You know, where you're not really, or when you're driving your car, it's just sort of going in there in a gentle way, and you just keep listening to it, and the next thing you know, you just feel your life changing, and in ways you probably wouldn't imagine.
[01:06:16.443 --> 01:06:25.445]  It's just, sometimes it's like yo-yo dieting, like the thermostat in your home, where you might, it's set, and you may not realize where that's set.
[01:06:26.312 --> 01:06:29.414]  And so you can lose weight, but then you gain it back.
[01:06:29.494 --> 01:06:32.335]  And I hear a lot of people think they don't really know why.
[01:06:32.355 --> 01:06:35.517]  And it's because you have that imprint in your brain.
[01:06:35.577 --> 01:06:43.722]  Until you change your lifestyle, until you get that change in your subconscious mind, it will, you know, keep coming back in a way.
[01:06:44.556 --> 01:06:49.036]   You are saying that so well, and again, just like the advice I give, when I'm pointing
[01:06:49.036 --> 01:06:54.016]   one finger at you, three more back at me, this is so real and it's so powerful
[01:06:54.016 --> 01:07:00.395]   to get into that expanded consciousness state to open up to God's creation, a larger universe,
[01:07:00.395 --> 01:07:05.516]   and then it will slowly start blocking out what the globals are doing, and then that energy force
[01:07:05.516 --> 01:07:07.056]  will push back on you as well.
[01:07:07.056 --> 01:07:12.656]   I found it's not just our independence, that there's outside bad forces that are gonna push in
[01:07:12.656 --> 01:07:16.376]   when you try to get rid of it, so it's gonna be a battle, but overall,
[01:07:16.376 --> 01:07:17.696]  you're gonna get stronger in the process.
[01:07:17.696 --> 01:07:19.415]  Thank you, Lisa, for your support.
[01:07:19.415 --> 01:07:21.016]  God bless you for your testimony.
[01:07:20.794 --> 01:07:26.180]  And right now, Reset Wars is 50% off at ResetWars.com.
[01:07:26.200 --> 01:07:26.801]  I want you to get it.
[01:07:26.821 --> 01:07:27.782]  They've been trying to censor it.
[01:07:28.102 --> 01:07:28.984]  They've been trying to block it.
[01:07:29.044 --> 01:07:30.726]  It really is powerful information.
[01:07:31.046 --> 01:07:32.908]  ResetWars.com, 50% off.
[01:07:32.948 --> 01:07:33.549]  Thank you so much.
[01:07:35.131 --> 01:07:36.713]  Tom Renz joins us.
[01:07:37.816 --> 01:07:39.538]  And I appreciate him coming on on short notice.
[01:07:39.858 --> 01:08:03.856]   I saw that he was on American Journal with Harrison Smith this morning, and he was the first person a long time ago in this last two years, he can give you the actual dates, to come out and point out Project Solace, not Solace or Salus, Solace or however you say it, the big Pentagon AI program that is gathering all the data and is even better than VAERS and
[01:08:03.856 --> 01:08:08.657]   shows massive upticks in heart attacks, cancers, heart swelling, you name it. We
[01:08:08.657 --> 01:08:13.367]   see similar numbers out of Europe, out of Australia, out of New Zealand, out of the UK,
[01:08:13.367 --> 01:08:20.667]   out of Canada, of 300% increases in heart attacks and 1000% increases in
[01:08:20.667 --> 01:08:25.056]   neurological disorders and so much more. Some numbers vary, some are worse. Those are
[01:08:25.056 --> 01:08:32.766]   conservative numbers I just put out. So he just spoke at the US Senator's big event where they were laying
[01:08:32.766 --> 01:08:38.166]   all of this out. We played some of the clips a few days ago.
[01:08:38.325 --> 01:08:43.826]  But there have been some new developments there, so I appreciate him coming on to lay this out for us.
[01:08:43.866 --> 01:08:44.907]  Tom, thank you so much.
[01:08:45.667 --> 01:08:49.148]  Please give us the 35,000-foot view on Project Solace.
[01:08:49.968 --> 01:08:53.108]  Study 5.6 million vaccinated Medicare beneficiaries.
[01:08:53.649 --> 01:08:57.049]  Warning, mRNA vaccine effectiveness raises questions.
[01:08:57.830 --> 01:08:59.410]  Mapped Medicare data helps U.S.
[01:08:59.450 --> 01:09:00.810]  military deliver pandemic support.
[01:09:00.830 --> 01:09:11.095]   I mean, these are mainstream news articles about this real Pentagon program and now I'm told, because I saw you talking about it, that they're doing some damage control and trying to fudge the numbers.
[01:09:11.356 --> 01:09:12.116]  So tell us what's happening.
[01:09:13.577 --> 01:09:13.817]  Right.
[01:09:14.037 --> 01:09:17.940]  So we've got multiple things happening here, Alex, and it's really easy to get it mixed up.
[01:09:17.980 --> 01:09:20.261]  So I'm going to try and hit you from a few different directions.
[01:09:21.142 --> 01:09:32.829]  So Project Salus is the program that they're using in conjunction with the CDC and that crew to monitor the danger and injury from all the vaccines.
[01:09:33.604 --> 01:09:45.233]  Now what we just got and what we were talking about, we brought that up and we talked about that and that showed 71% of new cases are in fully vaxxed and 60% of new hospitalizations are in fully vaxxed.
[01:09:45.774 --> 01:09:53.880]  So yeah, that came out about the time that Anthony Fauci was running around telling us all that it's a crisis to the un-vaxxed.
[01:09:53.920 --> 01:09:57.523]  The un-vaxxed are, you know, filling up our hospitals.
[01:09:58.283 --> 01:10:07.630]   Well now, We get another set of whistleblowers from the military, and they're using a database called DMED, and that's the Defense Medical Epidemiology Database.
[01:10:08.030 --> 01:10:17.712]  So, this is the premier database in the world for analyzing what's going on with health trends and epidemiology, and it focuses on our soldiers.
[01:10:17.772 --> 01:10:29.035]  So, all the data that's in there comes through a system called DMSS, which is a Defense Medical Surveillance System, and that's the medical records, electronic medical records for all our soldiers.
[01:10:29.776 --> 01:10:42.242]  And DMED is there, and we pay millions of dollars per year for a whole bunch of people to sit and watch DMED, and to watch for injuries, and to watch for trends, and to make sure that it's good, strong, solid data, and that it's real good.
[01:10:43.123 --> 01:10:47.865]  So we had some whistleblowers from the military that had the courage, and here it is.
[01:10:48.085 --> 01:10:50.326]  I'm so glad we got these graphs to you.
[01:10:51.347 --> 01:10:55.689]  This graph that you guys got on the screen right now is from DMED.
[01:10:57.006 --> 01:11:05.012]  And what you'll see is the years there are 2016, 2017, 2018, 2019, 2020, and then 2021.
[01:11:06.153 --> 01:11:13.738]  And what those numbers are is it's a total, it's the total count of ICD codes for each year.
[01:11:13.878 --> 01:11:20.863]  ICD codes being the injuries or, you know, the things that are put into the computer, things that are issues with soldiers, right?
[01:11:21.283 --> 01:11:26.307]  So on a normal year, you have roughly 2 million per year with our soldiers.
[01:11:27.142 --> 01:11:32.886]  In 2021, and I want to point out, you see the downtick in 2020, not an uptick.
[01:11:33.446 --> 01:11:37.068]  The COVID year 2020, there's a downtick, right?
[01:11:37.629 --> 01:11:40.811]  Probably because everybody's locked in their house.
[01:11:40.831 --> 01:11:47.115]  2021, you see a jump by a factor of a thousand percent over average, right?
[01:11:48.110 --> 01:11:49.551]  So what happened?
[01:11:49.591 --> 01:11:50.151]  What's different?
[01:11:50.371 --> 01:11:52.192]  Well, that's the year the vaccines were given.
[01:11:52.492 --> 01:11:58.394]  And by the way, Tom, you've got all the science, the same numbers in Europe, everywhere showing what these Pentagon numbers are showing.
[01:11:58.414 --> 01:12:02.135]  But what's incredible is I anecdotally had a bunch of family die.
[01:12:02.155 --> 01:12:04.496]  I knew a bunch of people that took the shot that died.
[01:12:04.756 --> 01:12:06.096]  My dad almost got killed.
[01:12:07.477 --> 01:12:10.938]  Dr. Malone explains that this created mutations that actually did it.
[01:12:11.238 --> 01:12:16.200]  But the point is, all over the world, when they start the injections, the illnesses and deaths explode.
[01:12:17.569 --> 01:12:31.959]  Absolutely, and this shows that our Defense Department knew it, Fauci and crew knew it, and they continue pushing this, they continue shoving it out there, and continue trying to force our soldiers to be injured and or killed.
[01:12:32.359 --> 01:12:33.160]  This is sick!
[01:12:33.320 --> 01:12:35.641]  This is sick on a level that's mind-blowing.
[01:12:36.322 --> 01:12:41.065]  So we have all this stuff, it's all going to be on Wren's Dash Law as soon as I can get it up there.
[01:12:41.970 --> 01:12:44.911]  We're going to be submitting it to the courts under penalty of perjury.
[01:12:45.251 --> 01:12:47.652]  So our whistleblowers are standing behind this data.
[01:12:48.032 --> 01:12:50.973]  And Alex, this is the incredible part, right?
[01:12:51.673 --> 01:12:54.093]  So this, oh, by the way, this is neurological issues.
[01:12:54.133 --> 01:12:55.734]  You see the neurological diseases?
[01:12:56.214 --> 01:12:56.334]  So 80,000, 80,000, 80,000.
[01:12:56.213 --> 01:13:03.453]   So 80,000, 80,000, 80,000, then in 2021, we jump up to 863,000, right?
[01:13:03.453 --> 01:13:10.233]   It's over a thousand percent of average or 963% over average.
[01:13:10.521 --> 01:13:13.863]  It is mind-blowing how high this is jumping.
[01:13:14.243 --> 01:13:16.544]  This is unbelievable, these numbers.
[01:13:18.465 --> 01:13:20.386]  And there's nothing different but the vaccine.
[01:13:20.786 --> 01:13:21.207]  That's it.
[01:13:21.487 --> 01:13:23.228]  And it's just like we've seen everywhere in the world.
[01:13:23.448 --> 01:13:25.769]  So these guys were covering this up and they were hiding it.
[01:13:26.189 --> 01:13:27.550]  Well, guess what happened, Alex?
[01:13:28.371 --> 01:13:32.613]  We go and we make this public and it's blowing up all over the internet.
[01:13:33.513 --> 01:13:44.240]  So, you know, the fact-checkers have to come up with something because, you know, they're bought and paid for by Big Pharma, so they've got to come up with some sort of an excuse somewhere.
[01:13:44.560 --> 01:13:53.085]  They go to the DOD, who I've got three different whistleblowers telling me in the last few days how panicked the DOD is over this, because the truth is coming out.
[01:13:54.486 --> 01:13:56.808]  And it shows that they're aware that they're killing our soldiers.
[01:13:58.649 --> 01:14:03.711]   The DOD comes out and says, Well, we made a mistake for the last five years.
[01:14:04.391 --> 01:14:05.731]  Now, let me explain that to you.
[01:14:06.552 --> 01:14:14.694]  Now, they could have said, well, we made a mistake in 2021, but that wouldn't have worked well because they want to keep forcing our soldiers to get this.
[01:14:15.114 --> 01:14:18.996]  And so they know that the new baseline for injuries is going to be way high.
[01:14:19.836 --> 01:14:31.547]   So now what's going to happen is they had to go back and they're saying that the premier military database, you know, watching our soldiers' health, was wrong.
[01:14:32.027 --> 01:14:34.549]  We pay millions of dollars a year for this database.
[01:14:34.909 --> 01:14:41.034]  It was wrong for five years, and they didn't notice until I blew the whistle with a sitting senator.
[01:14:41.675 --> 01:14:45.097]  Then all of a sudden, oh my gosh, we found a mistake.
