[00:00:00.000 --> 00:00:02.000]  [static]
[00:25:20.292 --> 00:25:29.093]   But don't worry they now have their new COVID-19 influenza A and B antigen test kit
[00:25:29.093 --> 00:25:31.491]  where it won't tell you you have the flu or COVID.
[00:25:31.540 --> 00:25:43.008]  Remember, there was basically no flu worldwide during the first year of COVID because they were counting flu as COVID to scare people into the shot that actually causes COVID and makes your body actually grow the spike proteins that make you sick.
[00:25:43.568 --> 00:25:50.453]  But now the main antigen test counts flu as COVID and they tell you on the box it does.
[00:25:51.033 --> 00:25:54.156]  Fraud upon fraud upon fraud.
[00:25:55.877 --> 00:25:59.239]  Half a million UK workers drop out of workforce citing long-term illnesses.
[00:25:59.639 --> 00:26:02.321]  Most of them quote vaccinated.
[00:26:03.202 --> 00:26:05.123]  Now that's just one stack on the COVID.
[00:26:06.184 --> 00:26:07.305]  I've got three more.
[00:26:08.439 --> 00:26:17.342]  But when we come back, Klaus Schwab tells it all and says China is the model of the global government takeover and what they're about to set up.
[00:26:17.402 --> 00:26:23.123]  And we're going to look at the huge, massive demonstrations against dehumanization and mass death.
[00:26:23.463 --> 00:26:29.025]  People are locked up to 100 plus days starving to death inside these buildings who aren't even sick.
[00:26:30.285 --> 00:26:34.207]  Everybody knows the virus is only effective for like two weeks, but they don't care.
[00:26:34.488 --> 00:26:37.389]  It's all about a raw, crazy exercise of power.
[00:26:37.730 --> 00:26:39.230]  Why is Xi Jinping doing this?
[00:26:40.131 --> 00:26:42.272]  It started one month before he was declared dictator.
[00:26:43.813 --> 00:26:44.434]  It's all coming up.
[00:26:44.454 --> 00:26:44.774]  Stay with us.
[00:26:47.188 --> 00:26:53.772]  In the modern world, where they convince a woman to get a job, the man to get a job, they inflate the currency so nobody can exist any other way because it's too expensive.
[00:26:54.073 --> 00:26:55.474]  The parents are out working all day.
[00:26:55.634 --> 00:26:58.376]  The school and the internet and the matrix raise your children.
[00:26:58.396 --> 00:27:01.718]  Your children go to school all day and be told things that you may not want them to learn.
[00:27:01.838 --> 00:27:05.220]  Then they sit on the internet and read things and watch things you may not want them to watch.
[00:27:05.240 --> 00:27:07.722]  You talk to them for 10 minutes at the end of the day, they go to bed.
[00:27:07.762 --> 00:27:14.786]  You're fighting with your 10 minutes against endless hours of the most entertaining programming or the most forceful programming.
[00:27:14.806 --> 00:27:15.767]  In school, it's forceful.
[00:27:16.027 --> 00:27:17.028]  On the internet, it's entertaining.
[00:27:17.288 --> 00:27:19.830]  Convincing them of ideas that you perhaps don't agree with.
[00:27:20.130 --> 00:27:21.331]  I've seen it myself on YouTube.
[00:27:21.351 --> 00:27:27.535]  I've seen a guy in America driving his car and his kids were in the backseat and he was arguing with them about an issue and they was like, where did you hear that?
[00:27:27.795 --> 00:27:28.095]  School?
[00:27:28.276 --> 00:27:29.777]  He's like, why did the school tell you that?
[00:27:29.797 --> 00:27:30.277]  That's not true.
[00:27:30.317 --> 00:27:33.339]  And his own children are arguing with him because they learned it in school.
[00:27:33.479 --> 00:27:34.840]  Have you ever tried to take your children out of school?
[00:27:35.040 --> 00:27:35.580]  You'll get fined.
[00:27:35.601 --> 00:27:36.241]  You'll get in trouble.
[00:27:36.281 --> 00:27:37.462]  No, your kids have to go to school.
[00:27:37.642 --> 00:27:39.243]  You have to give your kids away to the school.
[00:27:39.503 --> 00:27:42.485]  If you don't give your kids away to the brainwashing, you'll get in trouble.
[00:27:42.866 --> 00:27:50.191]  As an all-star fighter, businessman, motivational speaker, and philanthropist, Andrew Tate has truly earned the title of Top G.
[00:27:50.871 --> 00:27:54.494]  But there's another title Andrew Tate holds that has enraged the globalists.
[00:27:54.894 --> 00:28:00.038]  He is consecutively the most googled man in the world in the last two years.
[00:28:00.318 --> 00:28:04.921]  And that's because his message is about human and specifically male empowerment.
[00:28:05.401 --> 00:28:11.146]  Now, Andrew Tate is taking his fight to empower and supercharge men to the next level.
[00:28:11.666 --> 00:28:14.028]  Introducing Top G Supplements.
[00:28:14.608 --> 00:28:19.610]  We are proud to introduce and sponsor the Top G line of supplements by Andrew Tate and his crew.
[00:28:19.890 --> 00:28:25.492]  Now you have the chance to benefit in body, mind, and soul with the same supplements that Andrew Tate takes himself.
[00:28:25.872 --> 00:28:30.193]  Learn more about these amazing products at AndrewTatePower.com.
[00:28:30.673 --> 00:28:37.136]  AndrewTatePower.com and discover the power of Andrew Tate's new supplements that are the highest quality on the market.
[00:28:37.156 --> 00:28:46.157]   I think there's a whole bunch of men in the world who understands my value and if men grow up to be like me, you're going to have a whole bunch of people with no criminal record, dedicated athletes, who protect and provide for the people close to them.
[00:28:46.157 --> 00:28:53.157]  (music)
[00:28:53.157 --> 00:29:00.157]   Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:29:00.157 --> 00:29:05.157]   So, there is a world financial collapse designed to get rid of all the major currencies
[00:29:05.157 --> 00:29:10.157]   and bring in a global digital currency that is programmable and tracks what you buy,
[00:29:10.157 --> 00:29:16.157]   where you go, what you do, and that can turn your money off, turn it on, devalue it,
[00:29:16.157 --> 00:29:19.157]  increase its value, in their own words.
[00:29:19.969 --> 00:29:26.915]  They call it the Central Bank Digital Currency System, and as Tucker Carlson said Friday night, they get this in, it is game over.
[00:29:26.975 --> 00:29:29.317]  That clip is coming up next segment.
[00:29:29.898 --> 00:29:31.479]  But here's Klaus Schwab this week.
[00:29:31.539 --> 00:29:32.300]  This is a new clip.
[00:29:34.694 --> 00:29:38.376]  Saying that China should be the role model for the world.
[00:29:38.396 --> 00:29:41.638]  And that the Chinese model is the model.
[00:29:41.678 --> 00:29:43.879]  Now, how many times have you heard me call it the Chinese model?
[00:29:44.319 --> 00:29:49.442]  That comes from the Council on Foreign Relations, Harvard, and the Trilateral Commission.
[00:29:49.842 --> 00:29:51.763]  I've been reading that for 30 years.
[00:29:51.963 --> 00:29:56.385]  I've been working full-time on this 28 years, almost 29 years on air.
[00:29:58.386 --> 00:29:59.087]  Since the early 90s.
[00:30:00.868 --> 00:30:03.469]  And this is their plan.
[00:30:05.168 --> 00:30:08.851]  This is their program of total absolute control.
[00:30:09.191 --> 00:30:12.974]  Because once they get rid of the cash, you think they debank you now?
[00:30:13.094 --> 00:30:15.056]  You think they censor you now?
[00:30:15.336 --> 00:30:16.477]  You think they surveil you now?
[00:30:16.937 --> 00:30:22.321]  This is child's play compared to what they're going to be able to do.
[00:30:22.361 --> 00:30:29.447]  So here's Klaus Schwab with China's social credit score and all of it and their medical ID saying they're the model.
[00:30:29.687 --> 00:30:31.128]  Then we'll look at what's currently happening in China.
[00:30:32.734 --> 00:30:41.558]  So we have to define how the world should look like, which we want to come out of this transformation period.
[00:30:42.859 --> 00:30:52.884]  I respect China's achievements, which are tremendous over the last over 40 years.
[00:30:53.645 --> 00:30:57.667]  I think it's a role model for many countries.
[00:30:58.547 --> 00:31:08.652]  But I think also we should leave it to each country to make its own decision what system it wants to adopt.
[00:31:09.252 --> 00:31:13.835]  And I think we should be very careful in imposing systems.
[00:31:14.295 --> 00:31:20.638]  But the Chinese model is certainly a very attractive model for quite a number of countries.
[00:31:21.454 --> 00:31:23.837]  So Klaus Schwab is the former head of the Bilderberg Group.
[00:31:23.857 --> 00:31:25.018]  He's still on the steering committee.
[00:31:25.599 --> 00:31:31.285]  He set up the Davos Group, WEF, World Economic Forum, as the mouthpiece of it.
[00:31:31.806 --> 00:31:38.333]  And his minion, he says his favorite pupil, we've played the clip probably a hundred times, I'm going to play it again, is Justin Trudeau.
[00:31:40.376 --> 00:31:44.098]   And he explains that Trudeau is the model.
[00:31:44.378 --> 00:31:45.419]  They've penetrated the cabinets.
[00:31:45.439 --> 00:31:47.721]  Well, what did Trudeau say just two years ago?
[00:31:47.881 --> 00:31:48.942]  We put that clip over 200 times.
[00:31:49.002 --> 00:31:50.443]  I'm not going to play it again.
[00:31:51.104 --> 00:31:55.147]  He was asked by a group of preening women, what is your role model?
[00:31:55.468 --> 00:31:57.750]  And he said, communist China and Xi Jinping.
[00:31:59.111 --> 00:31:59.951]  A dictatorship.
[00:32:00.312 --> 00:32:01.833]  A basic dictatorship.
[00:32:02.213 --> 00:32:03.394]  They know how to get stuff done.
[00:32:03.434 --> 00:32:04.035]  That's the quote.
[00:32:04.816 --> 00:32:06.037]  Pretty amazing, right?
[00:32:06.917 --> 00:32:10.841]  Well, you just heard his mentor say China is the model.
[00:32:12.250 --> 00:32:13.951]  Now, do I need to tell you what China does?
[00:32:14.131 --> 00:32:22.033]  Human-animal cloning, tens of millions in death camps, forced organ harvesting, killing of Christians, forced abortions, one-child policy.
[00:32:22.113 --> 00:32:24.214]  I mean, it's a frickin' hellscape.
[00:32:26.495 --> 00:32:29.275]  You run over by a car, people just leave you dead on the road, maggots eat you.
[00:32:29.656 --> 00:32:32.016]  There's just skeletons on the side of the road, no one cares.
[00:32:34.697 --> 00:32:37.178]  Absolute satanic system.
[00:32:40.558 --> 00:32:49.208]  And now we've got the biggest demonstrations as humanity wakes up over there that they have had since the communists took over in the late 1940s.
[00:32:50.329 --> 00:33:01.411]   And our media for the last two plus years, almost three years, has been defending for 30 plus months what they're doing.
[00:33:01.431 --> 00:33:04.253]  But finally, we're seeing cracks in the facade.
[00:33:04.273 --> 00:33:06.755]  So radio listeners, I'm laying this out for TV viewers.
[00:33:06.775 --> 00:33:08.756]  Let's just roll some of the B-roll.
[00:33:08.796 --> 00:33:10.077]  But what really started this?
[00:33:10.137 --> 00:33:11.178]  Well, not just one fire.
[00:33:12.659 --> 00:33:18.763]  There have been fires in more than a dozen major Chinese cities in high-rises.
[00:33:19.184 --> 00:33:22.306]  Most of them live in high-rises, stacked one on top of another.
[00:33:23.772 --> 00:33:26.654]  And predominantly poor areas are the ones that get locked down.
[00:33:26.694 --> 00:33:27.455]  It's not for COVID.
[00:33:27.495 --> 00:33:29.256]  It's a test of control.
[00:33:31.077 --> 00:33:36.781]  And they've been locked down for over 100 days in one of their regional capital cities.
[00:33:37.522 --> 00:33:39.483]  Over 100 million have been locked down for over 100 days.
[00:33:40.264 --> 00:33:49.430]  And this fire last week baked everybody alive in the building, and the police would not let the firefighters through to save them.
[00:33:49.450 --> 00:33:54.301]   We have all the videos of them welding the doors shut, All the rest of it.
[00:33:54.322 --> 00:33:56.883]  Now again, almost no one's dying from the virus there.
[00:33:56.943 --> 00:33:58.184]  The virus was made there.
[00:33:59.605 --> 00:34:02.147]  The virus doesn't last more, doesn't incubate more than two weeks.
[00:34:02.247 --> 00:34:05.209]  Why would you be locked up in your house for a hundred days?
[00:34:06.730 --> 00:34:09.932]  Because it's all a giant, raw exercise of power.
[00:34:09.992 --> 00:34:10.852]  So we have these footage.
[00:34:11.813 --> 00:34:12.593]  Never comply.
[00:34:12.674 --> 00:34:16.276]  Pray for the persecuted in China, says Elijah Schaffer.
[00:34:17.182 --> 00:34:31.665]  We've got this video right here that just shows, and then they pull back, tens of thousands of white-suited thugs, covering their faces, attacking peaceful people that have refused to be locked down and just starve to death in their homes.
[00:34:32.166 --> 00:34:46.529]  And now, suddenly, the white-clad paramilitary, because the world saw the military locking people in their houses and doing this, and people said, that's terrible, China's bad, but oh, they're medical workers, it's okay, now they're carrying machine guns.
[00:34:49.011 --> 00:35:00.322]  And we have Dr. Ryan of the UN Global Emergency Response Unit two years ago saying, this is our pretext to arrest our political enemies, to take the children out and raise them separately.
[00:35:00.342 --> 00:35:04.806]  We need to get people used to having us come in their homes and break up their families.
[00:35:07.168 --> 00:35:09.751]  So that's what this is all about.
[00:35:11.337 --> 00:35:12.778]  What is China getting ready for?
[00:35:12.978 --> 00:35:17.261]  It wants to be locked down and in control because they've already crashed their real estate market.
[00:35:17.681 --> 00:35:19.802]  They've already crashed their currency.
[00:35:19.883 --> 00:35:22.664]  Now they're bringing out their central bank digital currency.
[00:35:23.305 --> 00:35:24.566]  Gold's being outlawed.
[00:35:24.706 --> 00:35:27.027]  No one's allowed to have their own business anymore that's small.
[00:35:27.407 --> 00:35:29.749]  They're going back under hardcore communism.
[00:35:29.949 --> 00:35:35.513]  So they're getting them used to being locked down and in martial law ahead of the collapse.
[00:35:35.553 --> 00:35:52.246]   And that's what the last two plus years of beta testing Has been about is getting you ready for the communist Chinese model where you drive down the road, small roads, big roads, highways, and drones fly over with a QR code.
[00:35:52.266 --> 00:35:55.069]  You've got to get out and scan and it tells you pull over to the side.
[00:35:55.369 --> 00:35:57.631]  You're taken away and if you're political dissident, you never come back.
[00:35:57.951 --> 00:35:59.633]  People say, where did Chin go?
[00:36:00.153 --> 00:36:01.154]  Or where did Bob go?
[00:36:02.850 --> 00:36:03.551]  No one knows.
[00:36:03.751 --> 00:36:11.237]  It's all a cover for the martial law worldwide run by the United Nations.
[00:36:11.257 --> 00:36:13.099]  And then we can show you these camps.
[00:36:13.139 --> 00:36:15.841]  Some of these camps hold 200,000 people.
[00:36:16.181 --> 00:36:18.804]  They've built hundreds and hundreds and hundreds in China.
[00:36:18.824 --> 00:36:23.708]  They're building them all over the world with the same specs and the same designs everywhere.
[00:36:25.069 --> 00:36:28.372]  Getting you ready for the control.
[00:36:30.600 --> 00:36:32.882]  All directed by the U.N., all centralized.
[00:36:34.423 --> 00:36:40.307]  We have incredible footage of what happens once you obey and live in these things, how they bring you food once a day.
[00:36:40.827 --> 00:36:42.909]  But that's the lucky ones that get locked up in the camps.
[00:36:43.329 --> 00:36:46.691]  The rest of the people get whole neighborhoods just get locked down.
[00:36:48.092 --> 00:36:50.114]  We've got the footage of which neighborhoods get locked down.
[00:36:50.514 --> 00:36:53.516]  It's where the robots and the troops come in and order everybody to stay in their houses.
[00:36:53.976 --> 00:37:00.061]  When they don't, they come at night and weld them into their houses, and then snipers shoot you if you try to climb out a window.
[00:37:01.701 --> 00:37:03.164]  This isn't some science fiction movie.
[00:37:03.385 --> 00:37:04.768]  This isn't some zombie apocalypse.
[00:37:05.108 --> 00:37:10.399]  This is reality, and this is what CNN and The Washington Post are defending.
[00:37:12.935 --> 00:37:18.240]  And on Twitter, the left calls for firing anybody that doesn't agree and go along with this.
[00:37:18.280 --> 00:37:22.844]  But suddenly, even the Associated Press and others are saying, wait, this is dangerous.
[00:37:23.445 --> 00:37:24.085]  This is wrong.
[00:37:24.366 --> 00:37:25.707]  Have they found their souls?
[00:37:26.507 --> 00:37:34.535]  Or are they just now criticizing the Communist Chinese under their same globalist controllers because they're getting political points for it?
[00:37:36.018 --> 00:37:42.122]  Because there is a fissure now where Communist China is even breaking with the globalists and trying to take over the New World Order itself.
[00:37:42.543 --> 00:37:46.165]  It was set up to de-industrialize us, take all our jobs, be a model of tyranny.
[00:37:46.626 --> 00:37:53.010]  But tyrants, just like Stalin and Hitler, had a deal the first two years of World War II, but then turned against each other.
[00:37:54.591 --> 00:37:59.755]  When you get down to the endgame, the different sides start slitting each other's throats.
[00:38:00.556 --> 00:38:04.218]  Crowd angered by lockdowns called for China's Xi to step down.
[00:38:04.238 --> 00:38:04.278]  A.P.
[00:38:05.942 --> 00:38:10.184]  COVID lockdown protests erupt in Beijing, Xinjiang, after deadly fires.
[00:38:11.725 --> 00:38:12.585]  It goes on and on.
[00:38:12.605 --> 00:38:21.870]  But I want to look at what's at the heart of the biggest demonstrations ever in China, and what's coming here next with the central bank, digital currencies.
[00:38:21.950 --> 00:38:25.652]  And in Tucker Carlson's own words, they get this in, we're done.
[00:38:26.593 --> 00:38:28.233]  Everything is stopping this.
[00:38:28.754 --> 00:38:31.395]  Everything they've done is to get us ready to accept it.
[00:38:31.515 --> 00:38:33.056]  Anybody going along with it is a fool.
[00:38:34.332 --> 00:38:38.197]  Let me tell you about all the latest specials right now at InfoWarsTore.com.
[00:38:38.237 --> 00:38:39.599]  Let me go down the list here.
[00:38:39.679 --> 00:38:44.566]  Now again, folks, you came through yesterday and shopped at InfoWarsTore.com, so I'm going to be able to take the truck out.
[00:38:44.586 --> 00:38:46.348]  Thanks to everybody for tuning in, for sharing it.
[00:38:46.368 --> 00:38:48.171]  We're going to be going over two hours as well.
[00:38:48.191 --> 00:38:48.731]  It was a huge success.
[00:38:49.512 --> 00:38:50.733]  Big up to the crew behind me.
[00:38:50.773 --> 00:38:54.614]  Big up to the writers in the studio putting up the story at InfoWars.com.
[00:38:54.634 --> 00:38:57.975]  Remember folks, if you like this, go shop at InfoWarsStore.com.
[00:38:57.995 --> 00:38:59.176]  They're trying to shut us down.
[00:38:59.196 --> 00:39:02.797]  It's so funny, they all come out and are like, oh, you owe a trillion dollars.
[00:39:02.817 --> 00:39:04.518]  You owe two trillion, three trillion dollars.
[00:39:04.638 --> 00:39:05.058]  Oh, really?
[00:39:05.498 --> 00:39:07.519]  No, we've got you, and that's all we need.
[00:39:07.961 --> 00:39:09.802]  InfoWarsStore.com.
[00:39:10.102 --> 00:39:11.563]  No big groups funding us.
[00:39:11.663 --> 00:39:13.945]  It's just you shopping at InfoWarsStore.com.
[00:39:13.965 --> 00:39:15.906]  That's why we're still on the air.
[00:39:16.066 --> 00:39:18.708]  And of course, the big specials live right now.
[00:39:19.328 --> 00:39:24.792]  If you're a fan of any of these supplements from InfoWarsStore.com, now is the time to make a purchase.
[00:39:24.852 --> 00:39:25.933]  Listen to these big discounts.
[00:39:26.333 --> 00:39:28.554]  The Whole Food Multivitamin is 40% off.
[00:39:28.594 --> 00:39:29.535]  This has been a top seller.
[00:39:29.555 --> 00:39:34.118]  You know, we really don't even market it that much, but Whole Food Multivitamins are so popular right now.
[00:39:34.318 --> 00:39:38.021]  In the supplement industry, people are just finding ours and realizing it's the best out there.
[00:39:38.081 --> 00:39:40.864]  Vitamin D3 gummies, 40% off, but selling out quickly.
[00:39:40.944 --> 00:39:41.664]  Winner is here.
[00:39:41.724 --> 00:39:47.729]  You gotta make sure you're getting your Vitamin D. Great way to do it is the Vitamin D3 gummies at InfoWarsStore.com, 40% off.
[00:39:48.030 --> 00:39:50.011]  Vitamin Z Plus Zinc, same story, folks.
[00:39:50.051 --> 00:39:51.052]  Build that immune system up.
[00:39:51.092 --> 00:39:53.694]  Vitamin C Plus Zinc, 40% off at InfoWarsStore.com.
[00:39:53.874 --> 00:39:55.816]  DNA Force Plus, 50% off.
[00:39:56.156 --> 00:39:57.137]  Flagship supplement.
[00:39:57.257 --> 00:39:58.178]  Fizzy Magnesium, 50% off.
[00:39:58.198 --> 00:39:58.799]  Brain Force Ultra, 50% off.
[00:39:58.919 --> 00:40:03.762]   Brain Force Plus, I took my Brain Force Plus today.
[00:40:03.782 --> 00:40:04.423]  60% off.
[00:40:04.643 --> 00:40:07.225]  Organic Greens, Fiber Caps, 50% off.
[00:40:07.265 --> 00:40:10.027]  Super Male and Super Female Vitality, 50% off.
[00:40:10.127 --> 00:40:12.308]  Ultimate Krill Oil, back in stock, 40% off.
[00:40:12.529 --> 00:40:15.070]  Knockout Sleep Support, almost sold out, but 40% off.
[00:40:15.210 --> 00:40:16.852]  Alpha Power, almost sold out, but 40% off.
[00:40:17.432 --> 00:40:18.653]  Welcome back to the Alex Jones Show!
[00:40:18.673 --> 00:40:20.154]  Hour number two is coming up here in about 13 minutes.
[00:40:20.194 --> 00:40:22.316]  This segment is going to be really important as we tie all this together.
[00:40:22.316 --> 00:40:27.035]   support your immune system naturally. Bezo beef complete 40% off limited supply on that but still
[00:40:27.035 --> 00:40:31.595]   in stock. Ultimate fish oil 40% off and so much more. Don't forget about the additional 10% with
[00:40:31.595 --> 00:40:41.116]   coupon code 1776. Welcome back to the Alex Young Show. Hour number two is coming up here in about
[00:40:41.116 --> 00:40:45.835]   13 minutes. This segment is going to be really important as we towel this together. So there's
[00:40:45.835 --> 00:40:50.956]   a global corporate scientific mad science takeover happening in
[00:40:51.053 --> 00:40:52.994]  It's not a lot of the Communist China, but there's a rift there.
[00:40:53.874 --> 00:40:57.035]  And it wants to take full control of the entire human biological system.
[00:40:57.055 --> 00:41:02.016]  It wants to get rid of the old upper mobility system of trying to be wealthy and successful.
[00:41:02.036 --> 00:41:06.195]   wants to get rid of the Renaissance and basic Christian society and replace it
[00:41:06.195 --> 00:41:11.836]   with a social Darwinistic predatory system in their own words that has an
[00:41:11.836 --> 00:41:17.155]   end goal of 90% depopulation and accelerated scientific developments that
[00:41:17.155 --> 00:41:20.356]   allow the elites to live forever. So that's why they're doing this. They're
[00:41:20.356 --> 00:41:23.836]   very very selfish. They believe that if they leave humans free and open we'll
[00:41:23.836 --> 00:41:27.075]   continue to develop technology, do all these incredible things and they'll lose
[00:41:27.075 --> 00:41:33.115]   control of the future. So they're doing it really out of desperation. But if you
[00:41:33.115 --> 00:41:36.356]   look into the globalist arms of the very worst of humanity and should not be in
[00:41:36.356 --> 00:41:39.556]  control of a dictatorship.
[00:41:37.958 --> 00:41:39.279]  I'm not endorsing dictatorship.
[00:41:39.579 --> 00:41:40.700]  That's the whole point of dictatorship.
[00:41:40.720 --> 00:41:42.041]  Not working is the very worst.
[00:41:42.361 --> 00:41:43.342]  We're always in control of it.
[00:41:45.063 --> 00:41:46.564]  So let's go ahead and get into this.
[00:41:47.005 --> 00:41:48.206]  This is the biggest news here.
[00:41:48.286 --> 00:41:49.827]  Japan dumping record U.S.
[00:41:49.847 --> 00:41:50.367]  Treasuries.
[00:41:50.807 --> 00:41:51.688]  China's selling.
[00:41:51.728 --> 00:41:52.609]  The Fed is selling.
[00:41:52.989 --> 00:41:54.850]  The Social Security Trust Fund is selling.
[00:41:55.771 --> 00:41:57.412]  At the biggest dump of U.S.
[00:41:57.452 --> 00:42:00.495]  Treasuries in world history.
[00:42:01.360 --> 00:42:03.422]  Right as they reach all-time prices.
[00:42:04.102 --> 00:42:07.384]  So that's another bubble that they are now popping.
[00:42:07.785 --> 00:42:16.611]  To again, in their own words, I played the clips, the head of the EU Central Bank, the head of the private Federal Reserve Bank here, all of them the last month, saying we're coming to an end.
[00:42:17.111 --> 00:42:23.696]  The central banks will lose control unless they launch their central bank digital currencies, which they have ready.
[00:42:25.267 --> 00:42:28.029]  But to launch those, they've got to get rid of the old system.
[00:42:28.049 --> 00:42:29.669]  They've got to have something to blame it on.
[00:42:30.310 --> 00:42:37.674]  They're blaming it on COVID collapsing the world economy, which they purposely already collapsed themselves because they want to control the collapse.
[00:42:39.795 --> 00:42:40.535]  Key point here.
[00:42:40.695 --> 00:42:47.879]  Under no circumstances are we going to accept their digital ID and the CBDC, Centralized Bankster Digital Slave Currency.
[00:42:48.580 --> 00:42:52.342]  Here's Tucker Carlson, Friday night, explaining what the CBDCs are.
[00:42:56.271 --> 00:42:59.853]  The cryptocurrency exchange FTX blew up in spectacular fashion.
[00:42:59.934 --> 00:43:01.074]  It looks like fraud.
[00:43:01.855 --> 00:43:05.477]  But in the wake of that, rather than thinking through, like, why did regulators let this happen?
[00:43:05.497 --> 00:43:15.764]  There's a new effort underway to regulate every single financial transaction that occurs in this country through something called the Central Bank Digital Currency, CBDC.
[00:43:17.005 --> 00:43:19.227]  If that happens, we're done!
[00:43:19.887 --> 00:43:22.209]  They can control you with the flick of a switch.
[00:43:22.966 --> 00:43:26.486]   So you should know what they're planning and how we might be able to stop it.
[00:43:26.486 --> 00:43:31.286]  I want to wish Tucker Carlson a great Thanksgiving.
[00:43:31.286 --> 00:43:36.046]   I was visiting Florida during Thanksgiving and I just want to wish Tucker a great Thanksgiving.
[00:43:36.046 --> 00:43:37.645]  I bet he had a great Thanksgiving.
[00:43:37.645 --> 00:43:39.325]  I know I sure did.
[00:43:39.325 --> 00:43:42.485]  It's always good to spend Thanksgiving with your friends.
[00:43:43.447 --> 00:43:45.649]  Oh, and here's one of the clips I played last week.
[00:43:46.109 --> 00:43:52.233]  The G20 calls for G20 to adopt vaccine passports using WHO standards.
[00:43:52.574 --> 00:43:55.816]  That'll also be the new central bank.
[00:43:56.776 --> 00:43:59.939]  That'll also be the new central bank digital currency.
[00:43:59.979 --> 00:44:00.839]  Let's go and play that clip.
[00:44:01.680 --> 00:44:13.270]   So let's have a digital health certificate acknowledged by WHO If you have been vaccinated or tested properly, then you can move around.
[00:44:14.070 --> 00:44:25.734]  So for the next pandemic, instead of stopping the movement of the people 100%, which clogged the economy globally, you know, you can still provide some movement of the people.
[00:44:26.094 --> 00:44:42.523]   Indonesia has achieved, G20 countries have agreed to have this digital certificate using WHO standards, and we will submit it to the next The World Health Assembly in Geneva has the revision to international health regulation.
[00:44:42.823 --> 00:44:51.052]  So hopefully for the next pandemic, we can still see some movement of the people, some movement of the goods, and movement of the economy.
[00:44:52.274 --> 00:44:55.417]  Oh, the next pandemic, they're planning and gearing up.
[00:44:55.457 --> 00:44:56.879]  And I got a few clips I'm not going to play, but...
[00:44:57.932 --> 00:45:02.714]  Klaus Schwab, can you imagine in 10 years when we're sitting here and we all have implants on our brains?
[00:45:03.374 --> 00:45:07.736]  He goes on, you'll be forced to take the implant if you want to be able to buy food or have a job.
[00:45:08.417 --> 00:45:09.137]  It's real simple.
[00:45:09.517 --> 00:45:16.620]  Once they have you with a digital currency and track and control everything you do, now they can make you submit to whatever they want to have access to it.
[00:45:19.041 --> 00:45:22.683]  He goes on to brag he controls half the world leaders already.
[00:45:24.412 --> 00:45:26.854]  So it's a pretty, pretty big deal.
[00:45:27.214 --> 00:45:32.058]  And they couch it all in neoliberalism about helping the third world and helping the children and all the rest of it.
[00:45:33.059 --> 00:45:34.701]  Folks, we're not financed by the globalists.
[00:45:35.121 --> 00:45:36.382]  We can't operate without your support.
[00:45:36.422 --> 00:45:37.963]  Plus, we've got great products that you need.
[00:45:39.585 --> 00:45:40.806]  Infowarsstore.com.
[00:45:41.566 --> 00:45:45.089]  We have the Cyber Monday, Black Friday, Christmas all rolled into one.
[00:45:45.229 --> 00:45:47.711]  Everything is up to 60% off with promo code 1776 with a free gift.
[00:45:50.796 --> 00:46:08.346]   With every order, but I got to tell you, we're going to have to end the sale soon because we're already sold out of a bunch of items like X2, X3, Biodrys Selenium, DNA Force Plus, Vitamin Mineral Fusion, Body's Ultimate Turmeric Formula, Supramel Vitality, Bazo Beats, Ultra 12.
[00:46:08.426 --> 00:46:11.589]  We're about to sell out of all of these products.
[00:46:12.010 --> 00:46:14.052]  We're going to keep them on sale till they sell out.
[00:46:14.453 --> 00:46:16.254]  Should order as quickly as you can.
[00:46:16.275 --> 00:46:17.816]  Infowarstore.com.
[00:46:17.836 --> 00:46:18.397]  They're incredible.
[00:46:18.417 --> 00:46:19.878]  I want to thank you all for your support.
[00:46:20.219 --> 00:46:22.601]  Here's a special report and we'll start hour number two.
[00:46:23.042 --> 00:46:25.425]  Operation Lockstep Double Down.
[00:46:27.273 --> 00:46:29.994]  I want them shut down, I want them silenced, I want them muted.
[00:46:30.014 --> 00:46:31.954]  I think they are horrible for our society.
[00:46:32.234 --> 00:46:40.996]  The best way, I believe, to counter misinformation and disinformation is to spread good information, to spread science-based information, to have trusted voices.
[00:46:41.496 --> 00:46:55.478]   So, I started my comments by reminding everybody that America's physicians, like the real leaders of American medicine, the people you trust for your cancer care and your heart care and your pediatrics care, People are out there telling you you need to go get a vaccine.
[00:46:55.798 --> 00:46:59.441]  You can decide to trust America's physicians, or you can trust some random dude on Twitter.
[00:46:59.881 --> 00:47:00.922]  Like, those are your choices.
[00:47:00.942 --> 00:47:05.225]  People are right to question whether this virus actually exists.
[00:47:05.826 --> 00:47:13.672]  But we now, in Europe for the first time, have scientific proof that it does not exist.
[00:47:13.752 --> 00:47:28.315]   And this is thanks to a Department of Health A letter that has been received following a request by a citizen in the UK, which he actually had to appeal.
[00:47:29.156 --> 00:47:41.900]  But he requested the Department of Health and Social Care in the United Kingdom to give him scientific proof of the existence of a virus called SARS-CoV-2.
[00:47:43.360 --> 00:47:56.908]  And they confirmed that the Department of Health and Social Care does not hold any information on the isolation of a SARS-CoV-2 virus.
[00:47:57.428 --> 00:48:00.950]  In other words, it does not exist.
