[00:00:00.000 --> 00:00:01.000]  [BEEP]
[01:07:09.344 --> 01:07:10.725]  I know why you did it.
[01:07:10.785 --> 01:07:13.567]  I know you were afraid, fooling me.
[01:07:14.067 --> 01:07:16.108]  War, terror, disease.
[01:07:16.748 --> 01:07:23.092]  There were a myriad of problems which conspired to corrupt your reason and rob you of your common sense.
[01:07:23.192 --> 01:07:28.935]  Fear got the best of you, and in your panic you turned to the now High Chancellor, Adam Sutler.
[01:07:29.376 --> 01:07:36.376]   He promised you order, he promised you peace, and all he demanded in return was your silent, obedient consent.
[01:07:36.376 --> 01:07:44.376]  There is a war.
[01:07:44.154 --> 01:07:45.134]  It's happening now.
[01:07:46.015 --> 01:07:47.837]  It will decide the fate of humanity.
[01:07:48.377 --> 01:07:50.219]  The time to choose sides has come.
[01:07:50.979 --> 01:07:52.441]  We are the Resistance.
[01:07:52.701 --> 01:07:54.701]  We are the Infowar.
[01:07:54.701 --> 01:08:12.701]  Defending the Republic from enemies foreign and domestic.
[01:08:12.787 --> 01:08:14.787]  It's Alex Jones.
[01:08:14.787 --> 01:08:19.787]   ♪ Longing for the sun ♪ ♪ You will come to me ♪
[01:08:19.787 --> 01:08:22.787]  Alright, I've been following his work for 20 years.
[01:08:22.921 --> 01:08:26.865]  Martin Armstrong is an economist, an inventor, stock market expert.
[01:08:26.885 --> 01:08:27.845]  I'm not going to go over his whole bio.
[01:08:27.885 --> 01:08:28.646]  It would take an hour.
[01:08:29.107 --> 01:08:35.833]  ArmstrongEconomics.com, AskDoc-Socrates.com, Ask-Socrates.com.
[01:08:36.413 --> 01:08:41.678]  And he has been, for several years, here on air predicting exactly what we're going through now.
[01:08:42.939 --> 01:08:51.324]  So, I would ask him to cut to the chase with what he's predicting is about to happen, and then walk through the mechanics of all of that, because we need to be ready for what is taking place.
[01:08:52.024 --> 01:08:56.847]  A major political realignment, a major economic realignment taking place on the planet.
[01:08:57.047 --> 01:09:01.789]  Klaus Schwab, two days ago, G20 saying, America's power is over.
[01:09:02.249 --> 01:09:05.111]  I mean, they are really setting us up for a fall.
[01:09:05.591 --> 01:09:09.413]  So, Mr. Armstrong, great to have you with us here today.
[01:09:09.473 --> 01:09:10.514]  Thank you so much for joining us.
[01:09:11.707 --> 01:09:13.268]  Well, thank you for inviting me, Alex.
[01:09:14.009 --> 01:09:15.930]  So, I'm going to try to give you the floor for most of the hour.
[01:09:17.051 --> 01:09:22.494]  You want to give us the big picture first and walk through it, or you want to start with the technicals and give us the answer?
[01:09:22.514 --> 01:09:23.815]  How do you want to start here?
[01:09:25.176 --> 01:09:30.700]  Well, I think that, you know, people have to understand what is actually taking place here.
[01:09:31.240 --> 01:09:37.084]  Because a lot of it is just propaganda that tends to try to distract people.
[01:09:38.673 --> 01:09:46.715]  I mean, for years, you know, I've been basically on the opposite side of Schwab in meetings for a long time.
[01:09:47.595 --> 01:10:00.698]  And the reason these governments are lining up with Schwab is because we have a sovereign debt crisis and that's what's taking place.
[01:10:03.656 --> 01:10:07.980]  We've been borrowing since World War II with no intention of ever paying anything back.
[01:10:09.061 --> 01:10:23.395]  And the real crisis here that is developing is that what Yellen came out and was saying that, oh, maybe the Treasury should step in and start buying long-term debt, etc.
[01:10:23.956 --> 01:10:31.226]   And the reason Is that the amount of new debt that came out over COVID, it exploded.
[01:10:31.786 --> 01:10:34.048]  And now you have this Ukrainian war.
[01:10:35.850 --> 01:10:49.243]  And what she's really concerned about is that we have surpassed the ability of basically the primary dealers to even buy the debt.
[01:10:50.177 --> 01:10:56.482]  And people have to understand that the US government traditionally never sold the debt itself.
[01:10:56.602 --> 01:10:59.505]  It went to the bankers and the bankers are the ones that sold it.
[01:11:00.385 --> 01:11:07.091]  So to be a primary dealer, you have to get on the list and you have to guarantee to buy X amount.
[01:11:08.011 --> 01:11:18.541]   And the problem is, is that as we saw in the UK, You know, you can't imagine the losses that pension funds have endured.
[01:11:19.001 --> 01:11:26.506]  They've had long-term bonds and the EU was issuing debt negative in 2014.
[01:11:26.586 --> 01:11:31.388]  So all of a sudden you have interest rates soaring to 4%.
[01:11:31.808 --> 01:11:36.331]  The value of those bonds is just has been collapsing.
[01:11:37.091 --> 01:11:48.545]   So what Yellen was talking about, some people miss Interpreted it and saying that, oh, she's competing with the Federal Reserve.
[01:11:48.585 --> 01:11:49.526]  And that's not true.
[01:11:50.266 --> 01:11:51.806]  The Fed creates the money.
[01:11:51.866 --> 01:11:53.087]  The Treasury does not.
[01:11:53.747 --> 01:11:59.609]  She was talking about buying in long term debt and swapping it for short term.
[01:12:00.149 --> 01:12:09.633]  In other words, that interest rates have been going up so much that what's happened is, is that the bond market itself has been collapsing.
[01:12:10.347 --> 01:12:12.829]  That was the real problem in the UK.
[01:12:13.610 --> 01:12:17.653]  And so she recognizes a twofold problem here.
[01:12:17.913 --> 01:12:22.056]  One is that as interest rates are going up, nobody wants the long term.
[01:12:22.436 --> 01:12:23.637]  They lose too much money.
[01:12:24.338 --> 01:12:38.489]  And two, you have the primary dealers are choking on the debt, because if they have to buy it to keep their franchise, but can't sell it, then you're looking at taking down the banks, you know, like Goldman and all the primary dealers.
[01:12:39.398 --> 01:12:45.843]  So they were largely complaining and that's why she came out and was talking about swapping the debt.
[01:12:47.424 --> 01:12:56.091]  And what Schwab has been tapping into is that these governments know that the jig is up.
[01:12:56.671 --> 01:13:05.629]   If they can't sell the long-term debt, You know, they can no longer continue to fund their appropriations.
[01:13:06.349 --> 01:13:11.193]  And so what you're looking at is a real debt crisis.
[01:13:11.213 --> 01:13:15.676]  And they've been using this Ukrainian war.
[01:13:16.337 --> 01:13:17.798]  They need a distraction.
[01:13:18.238 --> 01:13:19.800]  I mean, Covid was one.
[01:13:20.360 --> 01:13:24.844]  But honestly, they ended up, you know, exploding the debt.
[01:13:26.885 --> 01:13:27.866]  All around the world.
[01:13:28.730 --> 01:13:30.992]  And now they can't really fund it.
[01:13:31.853 --> 01:13:37.478]  And as interest rates go up, the interest expenditures on the government explode.
[01:13:38.358 --> 01:13:44.363]  So, you know, people have to understand that, you know, Keynesian economics was formed in the Great Depression.
[01:13:45.384 --> 01:13:50.889]  And when, you know, he came up with that idea, the United States had a balanced budget.
[01:13:52.020 --> 01:14:03.303]  So, you know, he basically said that's when the government should enter a deficit because the demand in the private sector is contracting.
[01:14:04.063 --> 01:14:10.705]  And to ease the economy, the government spending should increase to compensate for the contraction in the private.
[01:14:11.585 --> 01:14:22.002]   Now, the problem was once you Uh, told the government that, gee, they can actually spend, you know, and go into deficit.
[01:14:23.524 --> 01:14:26.566]  Our politicians have done it year after year after year.
[01:14:26.586 --> 01:14:35.915]  So in all fairness, I mean, they never really, they took one sentence from Keynes and ignore the rest of it.
[01:14:36.135 --> 01:14:48.318]   Keynes also said, you know, you can stimulate the economy by lowering Taxes, you know, they, you know, they go into convulsions if you ever suggest such a thing.
[01:14:48.398 --> 01:14:49.579]  I mean, how dare we?
[01:14:49.659 --> 01:14:50.760]  We always need more.
[01:14:51.600 --> 01:15:07.772]  And so, you know, for 40 some years, I've been dealing with governments and our political system, I think, is collapsing largely because nobody will ever address anything long term.
[01:15:09.341 --> 01:15:14.968]  When I've been in meetings and I said, listen, we can't continue this borrowing indefinitely.
[01:15:15.829 --> 01:15:22.117]  And they would respond, yes, but we're different with the government thinking that somebody will always buy their debt.
[01:15:22.878 --> 01:15:30.759]   And secondly, that they've always said, well, You know, you're talking about something that may hit in 20 years.
[01:15:30.779 --> 01:15:32.019]  I won't be here then.
[01:15:32.159 --> 01:15:33.920]  So that would be somebody else's problem.
[01:15:33.940 --> 01:15:34.520]  All right, stand there.
[01:15:34.540 --> 01:15:35.260]  We got to go to break.
[01:15:35.520 --> 01:15:38.481]  Martin Armstrong, famous economist, amazing at predicting things.
[01:15:38.901 --> 01:15:41.622]  We've seen senators and House members say, though, we have unlimited money.
[01:15:42.162 --> 01:15:43.342]  Government can never run out of money.
[01:15:43.382 --> 01:15:44.863]  But we're now coming to that point.
[01:15:45.383 --> 01:15:46.483]  How does this thing break?
[01:15:46.563 --> 01:15:53.266]   What do you see unfolding when you talk about The end of America, the end of the dollar and more with Martin Armstrong.
[01:15:53.307 --> 01:15:53.868]  I'm Alex Jones.
[01:15:53.888 --> 01:15:54.309]  Stay with us.
[01:15:54.710 --> 01:15:55.712]  InfoWars.com.
[01:15:55.732 --> 01:15:56.755]  Tomorrow's news today.
[01:15:57.076 --> 01:15:58.178]  ArmstrongEconomics.com.
[01:16:00.657 --> 01:16:02.058]  I've got some good news and bad news.
[01:16:02.959 --> 01:16:07.844]  InfoWars is running the biggest sale of 2022 right now on our amazing products.
[01:16:08.164 --> 01:16:13.189]  Your chance to empower your body, your health, your immune system, and more, and keep us on the air, a win-win.
[01:16:13.709 --> 01:16:21.796]  The bad news is a bunch of our best-selling products have already sold out, and because of supply chain breakdowns, it'll be months and months until these great products come back in.
[01:16:22.237 --> 01:16:23.198]  X3 sold out.
[01:16:23.578 --> 01:16:26.861]   Our great American Coffee Blend has sold out.
[01:16:27.561 --> 01:16:29.023]  Biotricillinium has sold out.
[01:16:29.303 --> 01:16:42.334]  But what hasn't sold out is DNA Force Plus, Vitamin Mineral Fusion, Body's Ultimate Turmeric Formula, Whole Food Multivitamin, Rain Force Ultra, Super Mel Vitality, and so much more.
[01:16:42.774 --> 01:16:48.080]  So, you've only got a few weeks to get these products at the lowest price you're ever going to find them.
[01:16:48.320 --> 01:16:49.261]  Don't fight the crowds.
[01:16:49.321 --> 01:16:50.282]  Don't fight the traffic.
[01:16:50.583 --> 01:16:52.705]  Don't do all your Christmas shopping in a month like a fool.
[01:16:53.125 --> 01:16:53.826]  Do it now.
[01:16:54.287 --> 01:16:55.147]  Get it all over with.
[01:16:55.167 --> 01:16:55.888]  Get a great deal.
[01:16:56.289 --> 01:16:58.291]  Keep InfoWars on the air while empowering your body.
[01:16:58.611 --> 01:17:02.636]   InfoWarsStore.com It's a post-COVID world now.
[01:17:03.317 --> 01:17:06.960]  Americans have lost trust in their doctors and the healthcare system.
[01:17:07.340 --> 01:17:08.281]  There's a solution.
[01:17:08.661 --> 01:17:09.602]  The Wellness Company.
[01:17:09.642 --> 01:17:12.744]  I'm Dr. Peter McCullough, and I'm the Chief Scientific Officer.
[01:17:12.964 --> 01:17:46.483]   And I can tell you firsthand that these verticals of uncensored content, virtual appointments, doctors on demand, Prescriptions through a network of community pharmacies, in-home, in vitro diagnostics, laboratory testing, imaging, an online set of holistic products can help guide you for your usual general medical care, but also COVID-19, acute and post-COVID syndromes, vaccine injury syndromes, and the array of things that now America has to work through in this new
[01:17:47.486 --> 01:17:48.628]  World that we're living in.
[01:17:48.948 --> 01:17:55.456]  So go to onlinehealthnow.com and check out the wellness company for a low monthly fee.
[01:17:55.696 --> 01:17:58.440]  You can get started today and on a pathway to better health.
[01:18:00.609 --> 01:18:08.451]  In Arizona, I think we watched the election be stolen, slowly stolen, day by day, counting these mail-in ballots.
[01:18:09.132 --> 01:18:17.114]  And it's absolutely absurd for anyone to take our election seriously when we just... It's election month, Alex.
[01:18:17.194 --> 01:18:18.275]  It's not election day.
[01:18:18.755 --> 01:18:19.835]  And that's the problem.
[01:18:20.435 --> 01:18:23.076]  And everything changed after COVID-19.
[01:18:23.196 --> 01:18:25.957]  They illegally changed state elections.
[01:18:26.857 --> 01:18:32.019]  Mailing ballots to anyone and everyone, and sometimes mailing multiple ballots to people.
[01:18:32.399 --> 01:18:34.360]  Well, this isn't any way to run an election.
[01:18:34.420 --> 01:18:38.121]  We are in a serious country when we have elections that can be stolen like this.
[01:18:38.681 --> 01:18:56.352]   And I believe that, just like I believe the election was stolen in 2020, and I have no problem saying that, and it is so absurd for the media and the Democrats to attack us that question our election integrity, and question the fact that elections Shouldn't be run the way they are.
[01:18:56.653 --> 01:18:57.996]  We're not election deniers.
[01:18:58.037 --> 01:18:59.420]  We're election realists.
[01:19:00.535 --> 01:19:07.077]  For only the second time in the entirety of the InfoWars store, we are announcing a selling out mega blowout sale.
[01:19:07.537 --> 01:19:11.798]  Many of our top selling items are included in this sale and are in limited supply.
[01:19:11.898 --> 01:19:15.979]  So once they're out, they will probably not be back in stock until next year.
[01:19:16.339 --> 01:19:20.460]  Everything is listed at deep discounts of up to 60% off market price.
[01:19:20.560 --> 01:19:26.201]  Plus, if you order now, we will include a free gift from the store for every order, regardless of what you buy.
[01:19:26.801 --> 01:19:33.444]  This item will be chosen at random from a hand-picked selection of our DVDs, books, stickers, and so much more.
[01:19:33.885 --> 01:19:38.727]  This is our gift to you for supporting the InfoWars and the Voice of Freedom worldwide.
[01:19:39.047 --> 01:19:49.833]  After the seemingly never-ending barrage of attacks on us, Alex and the rest of the crew here at InfoWars needs all the help we can get to allow the message of a pro-human future to reach the masses.
[01:19:50.333 --> 01:19:59.576]  Hurry to the store of InfoWars now to check out the Mega Blowout Sale because some of these items are already selling out at InfoWarsStore.com.
[01:20:01.797 --> 01:20:07.636]   Leading a frontal assault on the lies of the New World Order. It's Alex Jones
[01:20:07.636 --> 01:20:25.037]   One of the top economists out there we spent the whole hour about his bio I'm not gonna do it. It's Martin Armstrong
[01:20:25.085 --> 01:20:28.227]  He has predicted everything that's happened in the last 25, 30 years.
[01:20:28.947 --> 01:20:30.568]  And he's here making some really scary predictions.
[01:20:30.588 --> 01:20:33.530]  We're coming to an end of a cycle, an end of a system.
[01:20:33.570 --> 01:20:36.912]  I have the head of the European Central Bank saying, we're coming to an end.
[01:20:36.972 --> 01:20:37.713]  It's collapsing.
[01:20:37.733 --> 01:20:43.696]  We've got to move to a new digital currency that controls every facet of our lives and creates a new Ponzi scheme with carbon taxes.
[01:20:43.716 --> 01:20:46.138]  So you're getting into all the technicals last segment.
[01:20:46.988 --> 01:20:56.153]  I want you to drill back into those, Martin, but big picture, how would you describe the world economy, the different players, the different groups, and where we're at, and what are you predicting is about to happen?
[01:20:58.114 --> 01:21:12.883]  Well, what they've been doing is we have, we have, I would say, another little group that really have the White House in control, and they're the climate change people.
[01:21:13.826 --> 01:21:22.770]  And they are the ones that are really, I'm not sure if they're just completely insane or they actually know what they're doing.
[01:21:23.791 --> 01:21:33.669]   But trying to shut down fossil fuels on a global scale without alternatives already in place is really insane.
[01:21:34.249 --> 01:21:37.111]  And this is causing the civil unrest to rise.
[01:21:37.131 --> 01:21:40.774]  And we're seeing that outside the United States first.
[01:21:41.395 --> 01:21:46.699]  Eventually, it will get to the United States, but we're looking at probably a lot more civil unrest next year.
[01:21:46.719 --> 01:21:53.385]  And we have to understand that energy is priced in dollars.
[01:21:53.765 --> 01:21:59.565]   So as the dollar has been going up, Uh, their energy costs have exploded.
[01:22:00.427 --> 01:22:07.337]  And this is why you're seeing civil unrest in everywhere from Asia and Sri Lanka to Pakistan.
[01:22:07.357 --> 01:22:12.425]  Um, you know, it's it's just spreading and it will continue.
[01:22:13.834 --> 01:22:16.956]  Thanks also, you know, to the COVID lockdowns, etc.
[01:22:16.976 --> 01:22:25.220]  I mean, we just had a conference in Orlando last week, and like three of our staff, they wouldn't even let into the country.
[01:22:25.900 --> 01:22:29.201]  You know, they're stranded off in Dubai.
[01:22:30.162 --> 01:22:33.984]  But it's just, you know, this is what's happening.
[01:22:34.664 --> 01:22:43.798]   The economic system That we've been under with these people and the central banks are no longer able to really control anything.
[01:22:46.180 --> 01:22:56.330]  Raising interest rates to stop inflation only makes more inflation because this type of inflation is based upon shortages.
[01:22:56.972 --> 01:23:12.316]  The COVID nonsense, lockdown, everything that we had as far as the supply chain, and as a result... And by the way, just to interrupt you, look, the head of the European Central Bank just said yesterday they're losing control.
[01:23:12.336 --> 01:23:17.837]  To have a central bank head saying they're losing control, that's got to be a terrifying statement.
[01:23:19.697 --> 01:23:22.198]  Yes, you know, this is what we saw in London.
[01:23:22.874 --> 01:23:27.416]  Okay, that the long term debt, nobody wants it.
[01:23:28.056 --> 01:23:32.138]  You've wiped out all the pension funds in Europe.
[01:23:32.478 --> 01:23:33.019]  They're broke.
[01:23:33.779 --> 01:23:34.179]  All right.
[01:23:34.239 --> 01:23:37.961]  You took interest rates to negative in 2014.
[01:23:38.481 --> 01:23:44.444]  And then you also had a law saying that pension funds had to be secure and had to buy government debt.
[01:23:45.104 --> 01:23:47.585]  I mean, they need a percent to break even.
[01:23:48.368 --> 01:23:52.351]  We have, as you know, we're probably the largest in the world.
[01:23:52.391 --> 01:23:56.573]  We have clients with portfolios of over a trillion dollars.
[01:23:57.073 --> 01:24:02.817]  And we get requests, can you create a green portfolio that they just break even?
[01:24:02.837 --> 01:24:10.822]  Because they have to have green investments politically to satisfy the politicians, but they lose money on everything.
[01:24:10.842 --> 01:24:15.225]  I mean, it's an absolute insane world that we're looking at.
[01:24:15.465 --> 01:24:16.165]  And that's the SEGs.
[01:24:16.245 --> 01:24:17.106]  Explain SEGs.
[01:24:19.140 --> 01:24:24.407]  Well, basically, there's nothing that they can actually make money on.
[01:24:24.427 --> 01:24:28.873]  I mean, you just look at Germany.
[01:24:28.913 --> 01:24:35.702]  I mean, these people are so climate insane that they don't even want nuclear power.
[01:24:36.880 --> 01:24:48.402]  I mean, I think the former head of Greenpeace came out and said to AOC, I mean, how are people going to get their food into the into cities, horse and buggy?
[01:24:48.422 --> 01:24:52.223]  I mean, it's gotten really insane with these people.
[01:24:52.343 --> 01:25:02.225]  And they are looking at it, saying that they have to destroy as much of our energy capacity to produce.
[01:25:03.391 --> 01:25:07.112]  In case the other side gets back in, they won't be able to rebuild it.
[01:25:07.272 --> 01:25:08.773]  And that's really what they're trying to do.
[01:25:09.013 --> 01:25:14.415]  Quantify that, that's so huge, because they have all the energy heads saying, we're in transition, we're destroying the old system.
[01:25:14.935 --> 01:25:16.876]  You said, quote, so the other side can't get in.
[01:25:16.916 --> 01:25:17.536]  That is so key.
[01:25:17.596 --> 01:25:18.316]  Elaborate on that.
[01:25:19.597 --> 01:25:29.157]   Yeah, I mean, if you destroy most of your capacity, your ability to produce energy, All right.
[01:25:29.557 --> 01:25:30.478]  That's what they want.
[01:25:30.518 --> 01:25:33.959]  They don't want us to be able to go ever go back to fossil fuels.
[01:25:34.439 --> 01:25:41.601]  This is really why the West is using Ukraine as cannon fodder against Russia.
[01:25:42.361 --> 01:25:44.422]  Russia is the biggest energy producer.
[01:25:44.442 --> 01:25:48.463]  50 percent of their GDP is all is all energy.
[01:25:49.033 --> 01:25:52.416]  It's why the US, you know, basically took out their pipeline.
[01:25:53.257 --> 01:25:57.020]  If you go back to Syria, why did Obama wanted to go into Syria?
[01:25:57.040 --> 01:26:03.827]  Because Qatar wanted to put a pipeline through Syria to cut off the supply from Russia, and he refused.
[01:26:04.407 --> 01:26:10.373]  And so right away he wanted to go in and say, oh, they abused their people, but he lost.
[01:26:11.214 --> 01:26:14.577]  And we, you know, Americans are getting tired of these endless wars.
[01:26:16.925 --> 01:26:22.429]  I was actually went to Mar-a-Lago to see Trump back in March of 2020.
[01:26:24.050 --> 01:26:26.693]  And I've met many heads of state.
[01:26:27.433 --> 01:26:33.278]  But I will say this for all the people that don't like Trump, I was actually impressed for the first time.
[01:26:34.479 --> 01:26:35.640]  He was a world leader.
[01:26:36.340 --> 01:26:41.785]  And he actually said that he wanted to pull the troops out of Afghanistan.
[01:26:42.515 --> 01:26:48.778]  Because he was sick and tired of writing letters to their parents and saying their son died for God and country.
[01:26:49.538 --> 01:26:53.460]  And he said, point blank, he says, what are we there for?
[01:26:53.920 --> 01:26:56.642]  They've been fighting over borders for a thousand years.
[01:26:56.722 --> 01:26:58.242]  What difference are we going to make?
[01:26:58.903 --> 01:27:00.303]  That's why Bolton came out.
[01:27:00.383 --> 01:27:01.404]  No, he has to be.
[01:27:01.564 --> 01:27:03.585]  He's terrible president, blah, blah, blah.
[01:27:03.985 --> 01:27:08.327]  But he was the first head of state of any country that I ever encountered.
[01:27:09.332 --> 01:27:12.973]  Whoever was concerned about the people that actually died on the battlefield.
[01:27:14.413 --> 01:27:17.994]  I mean, they all want, oh, look, this is a war we have to defeat.
[01:27:18.074 --> 01:27:19.494]  Russia, we should push them out.
[01:27:20.254 --> 01:27:22.135]  How many lives is that going to cost?
[01:27:22.195 --> 01:27:30.437]  How many children will be, you know, lose their fathers and grow up as, you know, without, you know... Martin, I totally agree.
[01:27:30.497 --> 01:27:31.377]  And we got to go to break again.
[01:27:31.397 --> 01:27:32.337]  A long segment is coming up.
[01:27:32.377 --> 01:27:36.338]  But just quantify, how would you describe the world economy right now?
[01:27:38.729 --> 01:27:45.914]  Basically, we're collapsing and I don't think you'll see the dollar remain as a viable currency after 2028.
[01:27:46.855 --> 01:27:48.897]  Well, you talk about they're destabilizing things.
[01:27:49.017 --> 01:27:53.300]  Schwab brags they're destabilizing things on purpose to bring in what?
[01:27:53.400 --> 01:27:55.201]  But doesn't he know he's getting the blame now?
[01:27:55.562 --> 01:27:57.543]  He thinks he can do this collapse and not get the blame.
[01:27:57.923 --> 01:27:59.825]  Do you think things are going well for the WEF?
[01:28:01.286 --> 01:28:06.430]  No, look, I mean, Schwab, I can tell you that he is a control freak.
[01:28:07.190 --> 01:28:12.816]  This is why everything he is proposing is absolute control.
[01:28:13.937 --> 01:28:16.799]  Chips and people and all sorts of crazy ideas.
[01:28:17.900 --> 01:28:25.448]  He's an academic, and every academic I've ever encountered are Marxists.
[01:28:27.834 --> 01:28:33.821]  His view is Marxism would have succeeded had they also had Europe and the United States.
[01:28:34.342 --> 01:28:37.145]  So this is what they're pushing here.
[01:28:37.165 --> 01:28:39.047]  A one world government.
[01:28:39.107 --> 01:28:42.591]  They think the UN can basically then control everybody.
[01:28:42.611 --> 01:28:44.153]  I mean, it's going to fail.
[01:28:44.213 --> 01:28:46.936]  Our computer shows that it's going to absolutely fail.
[01:28:47.536 --> 01:28:54.037]  Absolutely, and he is an admitted Marxist, an ultra-rich Marxist, who believes we were all robots, then his utopia would work.
[01:28:54.557 --> 01:28:57.538]  Another bureaucrat control freak, Martin Armstrong's our guest.
[01:28:57.558 --> 01:28:57.898]  Stay with us.
[01:29:00.678 --> 01:29:05.699]  Someone compared me to Socrates, which is a compliment, but he was vilified.
[01:29:05.739 --> 01:29:11.900]  He ended up poisoning himself in Athens, and the charge against him, if you read about his poisoning and his arrest, they said he was corrupting the youth.
[01:29:11.980 --> 01:29:14.561]  But he wasn't corrupting them, he was inspiring them to challenge authority.
[01:29:14.581 --> 01:29:16.121]  He was inspiring them to think for themselves.
[01:29:16.761 --> 01:29:22.704]  When you have the youth, the masculine youth of the world, thinking for themselves, that's pretty scary to authority.
[01:29:23.364 --> 01:29:29.527]  Because it's the masculine youth of the world that is, one, the revolutionaries, and two, also, that's the backbone of the slave force.
[01:29:30.128 --> 01:29:33.209]  If you need people to go die in a ditch in Afghanistan, you need them.
[01:29:33.570 --> 01:29:39.152]  More than you need the feminists and the liberals, you need the real men to go out there to purport and prop up a system.
[01:29:39.312 --> 01:29:44.035]  And if enough of these men stand in one place and say, this is enough, that's when a revolution happens.
[01:29:44.375 --> 01:29:53.997]   So this is the most dangerous, There's a group of the demographic that the Matrix and the people are trying to control and they have to have a narrative over and that's why they're trying to weaken them in every regard.
[01:29:55.259 --> 01:30:06.907]  As an all-star fighter, businessman, motivational speaker, and philanthropist, Andrew Tate has truly earned the title of Top G. But there's another title Andrew Tate holds that has enraged the globalists.
[01:30:07.307 --> 01:30:12.451]  He is consecutively the most Googled man in the world in the last two years.
[01:30:12.711 --> 01:30:17.334]  And that's because his message is about human, and specifically, male empowerment.
[01:30:17.815 --> 01:30:23.479]  Now, Andrew Tate is taking his fight to empower and supercharge men to the next level.
[01:30:24.059 --> 01:30:26.420]  Introducing Top G Supplements.
[01:30:27.020 --> 01:30:32.042]  We are proud to introduce and sponsor the Top G line of supplements by Andrew Tate and his crew.
[01:30:32.642 --> 01:30:33.562]  Feared Opponent.
[01:30:33.902 --> 01:30:38.984]  Increases testosterone levels, promotes physical strength and energy, and elevates male libido.
[01:30:39.904 --> 01:30:46.309]  Unmatched Perspicacity is the smart nutrient powerhouse to take your mind and focus to the next level.
[01:30:46.869 --> 01:30:53.654]  Shear Indefacticability, the new kid on the block of nutraceutical brain science for cognitive function.
[01:30:54.234 --> 01:30:59.818]  Scientifically researched quality, now available at andrewtatepower.com.
[01:31:00.078 --> 01:31:03.961]  Discover the entire amazing line at andrewtatepower.com today.
[01:31:04.261 --> 01:31:05.243]  My life is a fight.
[01:31:05.303 --> 01:31:06.464]  What do you mean I'm not fighting a battle?
[01:31:06.504 --> 01:31:08.627]  I'm fighting a battle against the oppression of humankind.
[01:31:09.008 --> 01:31:13.274]  AndrewTatePower.com The only way you fail is not taking action.
[01:31:13.634 --> 01:31:18.061]   AndrewTatePower.com They see me as a threat because of my mass influence.
[01:31:18.341 --> 01:31:23.304]  And me being positive in and of itself is also a threat to the establishment because they don't want people to be happy.
[01:31:23.324 --> 01:31:28.808]  They want you to be semi-depressed and sad and miserable because when you're sad, you're self-obsessed.
[01:31:29.129 --> 01:31:29.689]  And you're distracted.
[01:31:30.009 --> 01:31:31.490]  You're distracted and you're self-obsessed.
[01:31:31.530 --> 01:31:34.773]  When you're sad, you're sitting at home, me, me, me, me.
[01:31:34.853 --> 01:31:35.793]  It makes you very selfish.
[01:31:35.873 --> 01:31:37.615]  You don't care about your community when you're sad.
[01:31:37.975 --> 01:31:42.018]  So the fact that I have mass influence and I can just make people feel better is a threat to them.
[01:31:42.518 --> 01:31:44.239]  They don't want me to make people feel better.
[01:31:44.360 --> 01:31:50.664]  They talk about men's mental health and pretend to care, but when I come along and genuinely help and stop people from committing suicide, they delete me.
[01:31:50.704 --> 01:31:51.265]  They don't want that.
[01:31:51.305 --> 01:31:52.485]  They want everybody semi-depressed.
[01:31:53.026 --> 01:31:53.867]  They want you miserable.
[01:31:54.027 --> 01:31:59.851]  They want you distracted, so that you're too busy crying your eyes out in a room somewhere, so they can just continue to run the world.
[01:32:00.151 --> 01:32:03.912]  We don't just have it for 60% off with promo code 1776, ladies and gentlemen.
[01:32:04.032 --> 01:32:08.933]  We have a free gift with every single order, no matter how small.
[01:32:09.353 --> 01:32:10.933]  Actually, on big orders, you get more than one gift.
[01:32:11.154 --> 01:32:12.294]  You get a free gift.
[01:32:12.334 --> 01:32:15.975]  And we're not just talking about, in some cases, it'll be a bunch of bumper stickers or an Alex Jones mask.
[01:32:15.995 --> 01:32:19.996]  In some cases, it'll be a book or a film or just a bunch of other amazing items.
[01:32:20.016 --> 01:32:22.796]  So we have some big-ticket items as well that are going to be free gifts.
[01:32:23.076 --> 01:32:25.577]  Free gifts with every single order.
[01:32:25.757 --> 01:32:28.786]   So again, with Whether you make a $5 order for one of the t-shirts, the
[01:32:28.786 --> 01:32:34.676]   big blowout, or whether you make a $50 order, you will get a free gift at infowarestore.com.
[01:32:34.676 --> 01:32:37.856]   It's all randomly selected by our shopping cart computer system.
[01:32:37.856 --> 01:32:42.037]   It just goes through with all the items, hundreds of different items that we're going to be
[01:32:42.037 --> 01:32:45.476]   able to offer free and just randomly picks one of those and puts it in the box.
[01:32:45.476 --> 01:32:48.716]   So this is undoubtedly now officially the biggest sell we've ever done.
[01:32:48.716 --> 01:32:53.757]   Up to 60% off, promo code 1776, total liquidation blowout, the funnest end of the new year,
[01:32:53.757 --> 01:32:55.476]  and a free gift in every order.
[01:32:55.476 --> 01:33:01.916]  Free gifts in every order.
[01:33:01.916 --> 01:33:08.037]   Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:33:08.037 --> 01:33:12.596]  [music]
[01:33:12.596 --> 01:33:18.876]  [music]
[01:33:18.815 --> 01:33:27.981]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:33:29.261 --> 01:33:31.082]  ArmstrongEconomics.com.
