[00:00:00.269 --> 00:00:02.130]  The power structure is not completely unified.
[00:46:47.955 --> 00:46:48.876]  So what are they going to do?
[00:46:48.916 --> 00:46:51.516]  Because we're not bragging more than ever, it just shows the public's not buying it.
[00:46:51.756 --> 00:46:56.017]  What are they going to do with the paradox is they try to silence us, it only makes us bigger, the Streisand effect.
[00:46:57.034 --> 00:47:02.198]  Yeah, well this is, what's happened, and I've had many, many messages like this.
[00:47:03.279 --> 00:47:13.566]   People in the Netherlands that didn't really know about me, or even know of me, were saying, hold on a minute, what is this guy saying that's getting this massive Kind of reaction.
[00:47:13.627 --> 00:47:14.467]  What's going on?
[00:47:14.927 --> 00:47:20.189]  And they look at what you're saying and they go, oh my God, I can see why they want to ban him now.
[00:47:20.570 --> 00:47:22.871]  And it gets bigger and bigger and bigger and bigger.
[00:47:23.171 --> 00:47:29.213]  The more they try to demonize you, the more people are attracted to ask the question, but what's he saying then?
[00:47:29.714 --> 00:47:35.176]  And then they see what you're saying and more and more people start to see stuff they wouldn't otherwise have seen.
[00:47:35.596 --> 00:47:45.741]   I could have gone into Amsterdam On the weekend, I could have spoken for half an hour in front of a group of people in the square and I would have gone home.
[00:47:46.301 --> 00:47:49.163]  But instead, I've been all over the Netherlands.
[00:47:49.223 --> 00:47:50.363]  In fact, all over the world.
[00:47:50.383 --> 00:47:52.104]  This story has been covered all over the world.
[00:47:52.864 --> 00:47:57.887]   And so, In a way, it's almost like a panic.
[00:47:58.408 --> 00:48:15.459]  We've got to silence them, but if we try to do it in this panic, extreme, massively over-the-top way with you and then with me here, then you're going to alert people to see that actually there's something going on.
[00:48:15.999 --> 00:48:24.146]  And when then people start to realise that you've been saying that current events were coming for decades, then they start to get even more interested.
[00:48:24.786 --> 00:48:30.591]  So it's almost, what's that old saying, no publicity is bad publicity?
[00:48:30.611 --> 00:48:40.716]   Well that's in so many ways what we're looking at, because the people who demonise you, and attack you and abuse you, they're not going to listen
[00:48:40.716 --> 00:48:41.836]  to you anyway.
[00:48:41.836 --> 00:48:48.635]   But in doing so, you alert more people who do have a mind of their own and they start to see
[00:48:48.635 --> 00:48:53.516]   stuff they wouldn't have looked at before. So there's many positives to this as well.
[00:48:53.516 --> 00:48:57.116]  Beautifully said, David.
[00:48:57.280 --> 00:48:57.600]  Wow.
[00:48:57.721 --> 00:49:07.349]  When we come back, we're going to get into that big question I posed before the break about, we don't want to kill the dumbed-down masses, but the globalist social Darwinism is, if they don't know we're killing them, they deserve it.
[00:49:07.729 --> 00:49:09.170]  How do we deal with that paradox?
[00:49:09.210 --> 00:49:10.271]  Then you want to talk about Elon Musk.
[00:49:10.291 --> 00:49:11.612]  I wanted to get you on about Elon Musk.
[00:49:11.652 --> 00:49:14.335]  We've got some big Twitter news with you and Elon Musk.
[00:49:14.655 --> 00:49:16.136]  It's all coming up with David Icke.
[00:49:16.537 --> 00:49:19.099]  And David, the best site is DavidIcke.com or Iconic.
[00:49:19.399 --> 00:49:20.080]  DavidIcke.com?
[00:49:21.304 --> 00:49:21.604]  Really?
[00:49:22.205 --> 00:49:32.390]  One's a massive media platform with original news shows and original documentaries, and DavidIke.com is the hub where all my stuff is on.
[00:49:32.930 --> 00:49:38.353]  All right, David Ike, the icon of human liberty and expanding our awareness, is our guest.
[00:49:38.472 --> 00:49:41.192]   We'll be back in 60 seconds, so everybody you know, tune in now.
[00:49:41.192 --> 00:49:52.753]   And it's time for humanity to stand up in the info war and say, I don't know what's
[00:49:52.753 --> 00:49:55.233]  going to happen at the end of this, but you want to fight?
[00:49:55.465 --> 00:49:57.626]  You better believe you got one!
[00:49:59.567 --> 00:50:06.567]   From the front lines of the information war, it's Alex Jones.
[00:50:06.567 --> 00:50:22.567]  [Music]
[00:50:22.567 --> 00:50:29.567]   Alright, we have coming up after David leaves us, massive news of election fraud by the Democrats across the country.
[00:50:29.567 --> 00:50:35.567]   Video of it, machines shutting down in the key districts, Democrats saying it will go for weeks, so much more.
[00:50:36.211 --> 00:50:40.271]   But David Icke is target number one right now for the New World Order, listed by the
[00:50:40.271 --> 00:50:47.911]   EU as a level three terrorist for calling for peace and an end to war and banned from
[00:50:47.911 --> 00:50:51.391]  entering the continent of Europe for two years.
[00:50:51.391 --> 00:50:54.112]   And I asked you at the end of the last hour, David, for stations that just joined us and
[00:50:54.112 --> 00:50:59.431]   listeners that just tuned in, you were talking about how you've got to be a complete moron
[00:50:59.431 --> 00:51:03.070]   to not see the world government, the tyranny and the deadly shots and the surveillance
[00:51:03.070 --> 00:51:07.070]   and the control now and the very fact that these are tyrants we're dealing with, the
[00:51:07.070 --> 00:51:07.751]  bad guys.
[00:51:08.263 --> 00:51:10.804]  So then doesn't the public, going along with it, deserve it?
[00:51:10.844 --> 00:51:12.125]  But the children don't deserve it.
[00:51:12.645 --> 00:51:14.026]  And most of the public's still in a trance.
[00:51:14.066 --> 00:51:16.807]  But I saw national polls that the Democrats even did.
[00:51:16.827 --> 00:51:17.527]  They're shocked by it.
[00:51:17.827 --> 00:51:21.909]  Forty-four percent of voters think they're shadow evil cabals are running things.
[00:51:23.189 --> 00:51:27.212]  50 plus percent of Republicans, 37 percent of Democrats, 40 plus percent of Independents.
[00:51:27.552 --> 00:51:32.315]  So there's a real awakening happening, but there's still those that are in a trance.
[00:51:32.355 --> 00:51:35.416]  It seems there's a splitting apart right now.
[00:51:35.477 --> 00:51:45.822]  So how do we deal with the social Darwin idea that those in the public that fail the IQ test and go and take the shot and get sick and die, well in a way the globalists are doing us a favor.
[00:51:46.163 --> 00:51:47.944]  But that's buying into their mindset.
[00:51:48.164 --> 00:51:49.425]  They're trying to dumb everybody down.
[00:51:49.785 --> 00:51:51.646]  How do we thread the needle on that concept?
[00:51:53.007 --> 00:51:56.710]  Well, you see, there's a massive parting of the ways.
[00:51:57.890 --> 00:52:03.955]  But it doesn't have to be, you know, this group is going that way and that group's going that way.
[00:52:04.575 --> 00:52:15.082]  There can be movement from the group that is responsible for what's going on, and they are, to the ones that are awakening to it.
[00:52:15.523 --> 00:52:18.705]  Because if you break it down, there's three types of people.
[00:52:19.560 --> 00:52:22.602]  And two of them are responsible for this tyranny.
[00:52:23.103 --> 00:52:27.266]  Yes, this cult is trying to impose it, but they can't without these two groups.
[00:52:27.886 --> 00:52:32.569]  One is that which just believes what they're told without question.
[00:52:33.130 --> 00:52:43.317]   So you have the global warming human cause climate change believers, Who are just repeating what they've been told to believe.
[00:52:43.377 --> 00:52:45.159]  They don't have a mind of their own.
[00:52:45.199 --> 00:52:45.860]  They don't think.
[00:52:45.900 --> 00:52:46.620]  They don't question.
[00:52:46.640 --> 00:52:47.521]  They don't research.
[00:52:47.561 --> 00:52:48.542]  They repeat.
[00:52:49.022 --> 00:52:59.231]  And this unquestioning group that just do whatever they're told without thinking or questioning, we saw that classically in Covid, that's what they are.
[00:52:59.311 --> 00:53:00.752]  They are repeaters.
[00:53:01.073 --> 00:53:07.158]  They haven't got an original thought in their head because they haven't had a thought in their head that someone else hasn't put there.
[00:53:07.618 --> 00:53:12.618]   And then you've got another second group also responsible for what's happening and how it's
[00:53:12.618 --> 00:53:13.618]  possible.
[00:53:13.618 --> 00:53:15.658]  And they do see it.
[00:53:15.658 --> 00:53:17.178]  They do see some of it.
[00:53:17.178 --> 00:53:21.137]  And they absolutely don't want to do what they're told.
[00:53:21.137 --> 00:53:24.218]  But they're terrified of not doing what they're told to do.
[00:53:24.218 --> 00:53:25.898]  And so they do it.
[00:53:25.898 --> 00:53:31.538]   And these two groups have been responsible for every tyranny in history.
[00:53:31.538 --> 00:53:37.337]   Because fascism is not brought in by fascists, communism, whatever you want to call it.
[00:53:37.337 --> 00:53:39.338]  Because there's never enough of them.
[00:53:39.665 --> 00:53:45.730]  Fascism and communism is brought in by the public's acquiescence to the communists and the fascists.
[00:53:46.350 --> 00:53:50.633]  And these are the two groups that have got us where we are now.
[00:53:51.054 --> 00:53:54.156]  Then the third group, which is getting bigger, it is.
[00:53:55.939 --> 00:54:07.468]  Are those that can see it, they're the real renegades, the ones that can see it and they're seeing more of it as we move forward and they're not prepared to cooperate with it.
[00:54:07.788 --> 00:54:22.898]   They're not prepared to just believe it without question and they're not prepared to have their backbone vibrating like a jelly And therefore do what they really don't want to do because they're frightened of not doing it.
[00:54:23.358 --> 00:54:29.682]  This is the renegade group that is the only group that can bring this down.
[00:54:30.102 --> 00:54:35.186]  Because it's the only group that will act in ways that remove the cause of the problem.
[00:54:35.626 --> 00:54:43.631]  And the cause of the problem is human acquiescence in the form of unquestioning obedience and belief.
[00:54:44.231 --> 00:54:48.233]  And the other one in fear of not doing what you're told.
[00:54:48.653 --> 00:54:59.979]  The only group that can bring this down, or any other tyranny in history, it's the group that's brought down every tyranny in history, those that see it and are not bloody having it.
[00:55:00.440 --> 00:55:27.115]   And that's why no matter what they throw at me, throw at you, and all the rest of it, we must get stronger as a result of it, not weaker, because as they throw this They're telling us they're frightened of us and they're frightened of us because they know their narrative is unsustainable in terms of credibility.
[00:55:27.495 --> 00:55:31.697]  They have no narrative that will stand up to public debate.
[00:55:32.177 --> 00:55:40.205]  Not the climate changers, not the Wokers, not the transgender activists, not the World Economic Forum.
[00:55:40.265 --> 00:55:43.348]  It will not stand up to scrutiny and debate.
[00:55:43.688 --> 00:55:48.593]  And because they fear that, and they know that, they have to stop the debate.
[00:55:48.713 --> 00:55:53.978]  And that's what they're doing with this hysterical censorship.
[00:55:54.298 --> 00:56:08.929]   The more hysterical the censorship gets, They're just betraying how frightened they are of other forms of information that unravel and destroy what they're trying to get people to believe.
[00:56:09.870 --> 00:56:16.975]  The bottom line of all this, the stadium in which this is all played out, is human perception.
[00:56:17.315 --> 00:56:22.419]  That's what they have to control to get billions of people to do what they want.
[00:56:22.879 --> 00:56:24.440]  So, human perception.
[00:56:24.660 --> 00:56:25.901]  Authority knows best.
[00:56:26.001 --> 00:56:27.882]  I must believe what authority says.
[00:56:28.302 --> 00:56:33.965]  A human perception, oh well, I don't want to do it, but what the consequences of not doing it?
[00:56:34.225 --> 00:56:35.246]  Human perception.
[00:56:35.686 --> 00:56:38.187]  I can see it and I'm not bloody having it.
[00:56:38.587 --> 00:56:45.231]  And they are the perceptions that we're looking at and the third one is the only one that can bring this down.
[00:56:48.192 --> 00:56:49.033]  Perfectly said.
[00:56:50.680 --> 00:56:55.141]  David, I've got a lot of other questions for you in general, but with just three minutes to break.
[00:56:56.642 --> 00:56:58.743]  Obviously, we know the Republican Party isn't perfect.
[00:56:58.823 --> 00:57:01.844]  They got a lot of evil people at the top, but there is a populist movement taking it over.
[00:57:02.304 --> 00:57:04.825]  Other populist movements in Brazil and Sweden and everywhere else.
[00:57:05.245 --> 00:57:06.185]  The system's after it.
[00:57:07.165 --> 00:57:13.427]  What do you make of the midterms here and the already evidence is coming out of mounting fraud?
[00:57:13.747 --> 00:57:15.428]  What's your gut level view on that?
[00:57:17.168 --> 00:57:20.750]  Well, you're not supposed to say it, but anyway, I couldn't care less.
[00:57:20.891 --> 00:57:25.133]  I mean, it's obvious that the last presidential election was stolen.
[00:57:25.674 --> 00:57:36.681]  I mean, how you get more votes for Biden than any other presidential candidate in history when he's clearly senile and oddly left his bunker for the entire election campaign.
[00:57:36.721 --> 00:57:37.482]  I mean, hello?
[00:57:37.602 --> 00:57:40.524]  I mean, how much evidence do you need beyond that even?
[00:57:40.584 --> 00:57:41.625]  It's ridiculous.
[00:57:42.305 --> 00:57:54.259]  And so when you are doing things and you're pushing an agenda, which actually even a lot of Democrats have started to go, well, hold on a minute, this is the best stream now, isn't it?
[00:57:56.981 --> 00:58:03.942]   to manipulate elections, you have to use fear and all the rest of the techniques that they
[00:58:03.942 --> 00:58:11.541]   use because you're losing the population. The population doesn't want what you're doing.
[00:58:11.541 --> 00:58:16.242]   You look at what's happening not just in the United States but around the world where inflation
[00:58:16.242 --> 00:58:22.481]   and energy prices and food prices and all these things are making the basic survival
[00:58:22.481 --> 00:58:27.521]  of families and people nigh impossible and ever more so.
[00:58:27.521 --> 00:58:35.762]   The World Economic Forum controlled Netherlands which is why this has happened to me, run by
[00:58:35.762 --> 00:58:40.501]   this WEF agent called Mark Rutter, the Prime Minister.
[00:58:40.854 --> 00:58:49.442]  Remember, he's the one that's targeting hundreds and hundreds of Dutch farmers to destroy their ability to produce... Hold on there, we've got to go to break.
[00:58:49.622 --> 00:58:51.563]  Because I want to get to Elon Musk, we'll do that at the bottom of the hour.
[00:58:51.623 --> 00:58:55.804]  Next segment, let's get into your new Prime Minister tied into the carbon taxes, WUF.
[00:58:56.104 --> 00:58:58.605]  Let's get into the Netherlands, how they put their operators everywhere.
[00:58:58.625 --> 00:59:02.027]  And now there's a big awakening to that and major political opposition to it.
[00:59:02.047 --> 00:59:03.527]  But that's a very important point.
[00:59:04.468 --> 00:59:08.889]  Shut down the farms when the Netherlands is what, the fourth biggest producer of food in the world.
[00:59:09.349 --> 00:59:10.490]  They want to starve people to death.
[00:59:10.830 --> 00:59:11.230]  David Icke.
[00:59:13.231 --> 00:59:14.071]  David Icke's our guest.
[00:59:14.091 --> 00:59:15.311]  DavidIcke.com.
[00:59:15.351 --> 00:59:16.012]  We'll be right back.
[00:59:16.032 --> 00:59:16.412]  Stay with us.
[00:59:18.573 --> 00:59:26.818]  It's Election Day 2022 as the American people attempt to wrest control of their country from the WF and the New World Order.
[00:59:28.759 --> 00:59:33.022]  And national polls show close to half the Americans know there's a New World Order and it's their enemy.
[00:59:33.722 --> 00:59:34.503]  Soon it'll be 78%.
[00:59:35.884 --> 00:59:38.425]  Make no mistake, we're winning, but the enemy's gonna double down.
[00:59:40.186 --> 00:59:40.627]  David Icke.
[00:59:41.940 --> 00:59:47.162]  Listed last week as a terrorist in the EU for calling for peace and justice.
[00:59:47.222 --> 00:59:49.443]  Joins us exclusively and we're very honored to have him.
[00:59:50.564 --> 01:00:01.748]  David, you were getting into the Netherlands and their war on farmers, their war on food production, what that means for the world, and this depopulation agenda, and then your new Prime Minister, they already had one for a few months, shoveled her around, now they've got another one.
[01:00:02.088 --> 01:00:07.731]  This guy's a total globalist calling for SEGs, carbon taxes, just absolute nightmare.
[01:00:08.391 --> 01:00:11.792]  Talk about the WEF and how that, which is really run by the Bilderberg Group.
[01:00:12.112 --> 01:00:16.133]  Now they put these puppets in, as Klaus Schwab says, we penetrate the cabinets.
[01:00:18.533 --> 01:00:31.276]  Yeah, I mean, what's happening is, you know, I've come on this show, Alex, with you so many times over the decades, and we've talked about how a few people are controlling the direction of human society.
[01:00:31.989 --> 01:00:38.799]  And the closer they come to their end goal, the more they have to put themselves on public display.
[01:00:39.480 --> 01:00:41.603]  And the World Economic Forum, I mean...
[01:00:42.413 --> 01:00:48.815]  If anyone looks at that, I was reading the other day, oh no, the World Economic Forum, it's a conspiracy theory.
[01:00:48.975 --> 01:00:49.855]  Oh really?
[01:00:50.315 --> 01:01:01.498]  So you have young leader schools run by that forum and that guy Klaus Schwab and they just happen to turn up in positions of power all over the world.
[01:01:01.918 --> 01:01:06.759]  Like Trudeau and Ardern in New Zealand and Macron in France and on and on it goes.
[01:01:06.819 --> 01:01:11.700]  And then the WEF brags that they control everything and then you get banned from Europe for saying it.
[01:01:12.794 --> 01:01:14.295]  It's, I mean, it's ridiculous.
[01:01:14.355 --> 01:01:16.496]  I mean, talk about on public display.
[01:01:16.936 --> 01:01:25.000]  And in the Netherlands, this guy, Mark Rutter, is a total agent for the World Economic Forum.
[01:01:25.340 --> 01:01:32.624]  In Britain now, we have another in Rishi Sunak and the Chancellor of the Exchequer, a guy called Jeremy Hunt, is the same.
[01:01:33.527 --> 01:01:46.595]  And they are going to push this World Economic Forum agenda, the Great Reset in Britain, at a very fast pace now, as these other clones around the world are doing.
[01:01:47.275 --> 01:02:08.686]   And so you look at the people that run the so-called individual countries, and as I was saying in a speech online to people in the Netherlands over the weekend, these people like Rutte, And Trudeau and Macron, they're not your Prime Minister or President.
[01:02:08.766 --> 01:02:09.546]  They're not.
[01:02:10.127 --> 01:02:25.858]  They're agents of this central cabal and they therefore represent the interests and the agenda of that cabal, which is why they do so many things constantly that are against the interests of the people of the country.
[01:02:26.178 --> 01:02:27.739]  That's why they do it.
[01:02:28.500 --> 01:02:29.540]  Why are they doing that?
[01:02:29.780 --> 01:02:31.382]  Why is this guy Rutter?
[01:02:32.342 --> 01:02:35.804]  Trying to destroy hundreds and hundreds of Dutch farmers.
[01:02:35.864 --> 01:02:37.125]  I mean, why would he do that?
[01:02:37.866 --> 01:02:38.866]  It makes no sense.
[01:02:38.886 --> 01:02:42.889]  Well, it does when you realize he's not the Prime Minister of the Netherlands.
[01:02:43.349 --> 01:02:47.972]  He's the agent in the Netherlands for the World Economic Forum.
[01:02:48.032 --> 01:02:49.573]  So that's why he's doing it.
[01:02:49.813 --> 01:02:52.294]  World Economic Forum wants to destroy farming.
[01:02:52.815 --> 01:02:54.836]  Then he destroys farming.
[01:02:55.176 --> 01:03:05.327]   And when the penny drops, That these leaders, we've got now, as I say, Sunak in Britain and in the wings is a guy called Keir Starmer, leader of the Labour Party.
[01:03:05.747 --> 01:03:14.458]  If he gets in, and there is a chance at some point, then he'll turn Britain into what the Democrats have turned America into.
[01:03:14.718 --> 01:03:22.142]  Because the Democrats are totally controlled by this cult and that's why they have devastated, destroyed America.
[01:03:22.462 --> 01:03:24.604]  That's why they've opened the southern border.
[01:03:25.024 --> 01:03:30.447]  That's because they want to change the demographic of America as they're changing the demographic of Europe.
[01:03:30.947 --> 01:03:39.327]   That's why they have targeted fossil fuels to destroy access to energy and push the price
[01:03:39.327 --> 01:03:42.767]  up massively of what you do have access to.
[01:03:42.767 --> 01:03:48.887]   It's about dismantling Western society, well global society too, but Western society.
[01:03:48.887 --> 01:03:53.086]   And by the way, we've got all the energy heads in Europe, the EU, the UK, everywhere, the
[01:03:53.086 --> 01:03:57.465]   US saying we're involved in a transition, but they're not even giving us something to
[01:03:57.465 --> 01:03:58.465]  transition to.
[01:03:58.465 --> 01:04:04.547]   So what's the end game of their collapse of civilization and how is it going for them?
[01:04:04.547 --> 01:04:12.507]   The point being that if you want to introduce a totally different system in the world, you've
[01:04:12.507 --> 01:04:16.346]  got to dismantle and destroy the one that went before.
[01:04:16.732 --> 01:04:18.995]  I call it creative destruction.
[01:04:19.595 --> 01:04:24.779]  You have a status quo, and then you destroy that status quo and create another.
[01:04:24.839 --> 01:04:27.541]  That's what happened with the First World War, for instance.
[01:04:27.921 --> 01:04:39.629]  Then you had the Second World War, and the status quo changed again, and you had all these global institutions like the IMF, the World Bank, the Bretton Woods Agreement, and all that stuff.
[01:04:40.269 --> 01:04:44.269]  And you go on destroying status quos.
[01:04:44.269 --> 01:04:49.868]  9/11 massively destroyed a status quo in America.
[01:04:49.868 --> 01:04:56.308]   All going forward towards what is called this Great Reset, which is basically, well not
[01:04:56.308 --> 01:05:04.389]   basically, it's a global centralized tyranny in which the entirety of humankind will be
[01:05:04.389 --> 01:05:12.549]   connected to an AI, artificial intelligence system, which will do all their thinking for
[01:05:12.549 --> 01:05:13.549]  them.
[01:05:13.549 --> 01:05:20.469]   They won't have to manipulate information any longer once that happens because people's
[01:05:20.469 --> 01:05:21.469]  perceptions will be manipulated.
[01:05:22.196 --> 01:05:22.596]  Absolutely.
[01:05:22.436 --> 01:05:25.236]  come direct through AI.
[01:05:25.236 --> 01:05:30.836]   And this is what's unfolding in front of our eyes while people are watching the sport
[01:05:30.836 --> 01:05:35.836]  or campaigning to stop me having any platform to speak.
[01:05:35.836 --> 01:05:38.516]  And it's unbelievable.
[01:05:38.516 --> 01:05:41.876]  Absolutely, what do you make of the new UK prime minister?
[01:05:41.876 --> 01:05:47.315]   The level of moron it takes not to see it now is absolutely extraordinary.
[01:05:47.315 --> 01:05:53.716]   And you can only say they have to be, And they are under a form of mass mind control and mass
[01:05:53.716 --> 01:05:54.396]  psychosis.
[01:05:54.434 --> 01:05:55.934]  It's the only way of explaining it.
[01:05:56.274 --> 01:06:03.397]  When it's here in your face and you can't see it, then you're obviously not in control of your own mind in any way, shape or form.
[01:06:04.037 --> 01:06:08.799]  David, I want to talk Elon Musk next segment, but just briefly, the new UK Prime Minister, what do you make of him?
[01:06:10.510 --> 01:06:17.057]  Oh, he's an absolute gopher for this agenda.
[01:06:17.437 --> 01:06:33.693]  You go into his family through his wife and you go into the very companies, I think they call it Infosys, which are providing the very technology for this social credit system.
[01:06:34.273 --> 01:06:36.135]  He's into it up to his neck.
[01:06:36.175 --> 01:06:40.781]  That's why they managed to manipulate him in there through a number of others.
[01:06:41.001 --> 01:06:46.407]  Another Johnson and then this Liz Trust lady that stayed around for five minutes.
[01:06:46.827 --> 01:06:48.149]  That's what they're doing.
[01:06:48.209 --> 01:06:52.173]  They get their people and they put them in positions of power.
[01:06:52.434 --> 01:07:18.319]   What we have, Alex, now in Who was the Chancellor of the Exchequer that devastated the British economy when he was the Chancellor through the Covid era and now he's saying we've got to have pain and cutbacks and tax increases and cutting benefits of various kinds because we've got a massive economic problem.
[01:07:18.660 --> 01:07:21.281]  Yes, which you bloody cause mate!
[01:07:21.841 --> 01:07:22.862]  This is what they do.
[01:07:22.922 --> 01:07:30.625]  They create the problem and then somehow they put themselves forward as the person to solve the problem that they've created.
[01:07:30.925 --> 01:07:32.426]  Exactly how this system works.
[01:07:32.446 --> 01:07:38.829]  Perfect example is the UN, world lockdowns, hundreds of millions starving to death, and then they say there's a global starvation problem.
[01:07:38.849 --> 01:07:42.031]  David Icke, davidicke.com, Alex Jones, themfullwars.com.
[01:07:42.331 --> 01:07:42.971]  Spread those links.
[01:07:43.011 --> 01:07:46.713]  When we come back, you've got a lot to say about Elon Musk.
[01:07:47.133 --> 01:07:48.974]  And so we're going to be going over all that.
[01:07:50.091 --> 01:08:12.036]  We're going to be live past midnight tonight, and next hour, I am going to massively drill into the huge developments and evidence of deep state election fraud that is taking place.
[01:08:13.076 --> 01:08:15.376]  And then again, we're going to have a whole bunch of other big guests tonight.
[01:08:15.416 --> 01:08:18.037]  You don't want to miss this broadcast, but David Icke is our guest.
[01:08:20.205 --> 01:08:24.827]  You've been a big critic of Elon Musk, and I want to hope and believe he's a good guy.
[01:08:24.847 --> 01:08:33.851]  That if you balance out some of the bad things he's done and the good things, it's pretty much a wash in my view.
[01:08:33.951 --> 01:08:43.915]  But definitely he's promoting globalism in many ways, and now that he's taken over Twitter, I'll give him some time, but you've got some Twitter news on that front.
[01:08:43.935 --> 01:08:48.757]  You put a meme out last week, cult-owned Elon Musk is free speech hero.
[01:08:49.969 --> 01:08:50.669]  Some questions.
[01:08:52.430 --> 01:09:06.078]  You say, the cult of driverless vehicle agenda, the cult of 5G, 6G, 7G from space, smart grid, the Neuralink brain chips with AI to control our minds.
[01:09:07.539 --> 01:09:09.960]  Why would cult-owned Twitter sell to Musk?
[01:09:09.980 --> 01:09:11.301]  Well, they acted like they fought it.
[01:09:12.588 --> 01:09:14.229]  But what is your view?
[01:09:14.289 --> 01:09:18.731]  Is he newer, older 2.0, more sophisticated, acts like he's our friend but he isn't?
[01:09:18.751 --> 01:09:21.172]  What do you think is really going on with Elon Musk?
[01:09:22.392 --> 01:09:25.994]  I wouldn't trust him to tell by the time in a room full of clocks, mate.
[01:09:26.975 --> 01:09:36.599]  His grandfather was the head of the technocracy movement and the technocracy party in America, in Canada rather, in the 1930s.
[01:09:37.619 --> 01:09:47.923]   Just as, you know, Bezos was connected with his grandfather People don't get to their billionaire status by accident.
[01:09:48.003 --> 01:09:50.564]  They get there because of what they're doing.
[01:09:50.984 --> 01:09:54.725]  And those examples I gave you, I mean, it's quite simple.
[01:09:55.486 --> 01:09:56.406]  Never mind this.
[01:09:56.966 --> 01:09:59.127]  I'm not interested in what you're saying, mate.
[01:09:59.507 --> 01:10:01.208]  I'm interested in what you're doing.
[01:10:01.308 --> 01:10:03.409]  By their actions shall you see them.
[01:10:04.191 --> 01:10:21.317]  And you look at the Tesla agenda, electric cars, driverless cars, that's absolutely straight off the script of the cult, because a driverless car is not taken to its destination by you if it's the wrong destination.
[01:10:21.558 --> 01:10:26.259]  You're not going there because the computer is going to decide where you can and cannot go.
[01:10:26.279 --> 01:10:34.971]   And you cannot have driverless cars with petrol engines and diesel engines, it's got to be electrical and that's that
[01:10:34.971 --> 01:10:35.840]  so he's pushing that agenda.
[01:10:35.840 --> 01:10:45.440]   Then he's putting up these low orbit satellites in vast and increasing numbers to fire 5G etc etc
[01:10:45.440 --> 01:10:52.560]   at the earth and that's to create every inch of the planet being hit by what they call
[01:10:52.560 --> 01:10:58.400]   the cloud and it's the cloud that people are supposed to be connected to not least by the
[01:10:59.121 --> 01:11:05.119]   nanotechnology self-replicating in the body of those who've been vaccinated.
[01:11:05.346 --> 01:11:17.054]  So, he's pushing that agenda, the driverless cars, he's fronting up the agenda for the smart grid, the cloud, without which it wouldn't be possible.
[01:11:17.114 --> 01:11:23.238]  You can't cover the whole Earth with 5G towers, but you can through space.
[01:11:23.758 --> 01:11:29.742]  And then he's talking about, oh yeah, well, AI could be the end of humanity.
[01:11:29.783 --> 01:11:30.323]  Yes, mate!
[01:11:30.962 --> 01:11:31.763]  Yes, it could.
[01:11:32.003 --> 01:11:39.647]  So why are you starting a company called Neuralink to connect computers to the human brain?
[01:11:39.707 --> 01:11:40.748]  Why are you doing that?
[01:11:41.008 --> 01:11:50.594]  I've been pointing out for decades that the agenda is to move people into tiny, tiny micro houses, micro homes.
[01:11:51.854 --> 01:11:54.756]  And out of the way we live now.
[01:11:55.116 --> 01:11:58.297]  And he's pushing micro-homes and producing micro-homes.
[01:11:58.597 --> 01:12:04.540]  Everywhere you look with Musk, you're looking at the script of this global cult.
[01:12:05.120 --> 01:12:12.563]  And so when he's talking about free speech and he's going to take over Twitter and he's going to do this, that, the other, I don't believe it.
[01:12:12.783 --> 01:12:13.724]  It's all that again.
[01:12:15.490 --> 01:12:29.640]  When he took over, my son Gareth was told, well, you know, first of all, you need to ask them to reinstate your dad's account, which was taken down in 2020.
[01:12:30.140 --> 01:12:32.982]  But that's going to take a while.
[01:12:33.022 --> 01:12:37.205]  So the best thing to do is just to start a new account.
[01:12:37.425 --> 01:12:39.626]  So he did, a David Icke official.
[01:12:40.006 --> 01:12:42.028]  It lasted 12 hours and it was down.
[01:12:42.468 --> 01:13:00.454]   And we heard today, a few hours ago, That Twitter have said that they are not going to reinstate my account, which was taken down in 2020, because I breached their rules as a result of questioning the whole Covid hoax.
[01:13:00.894 --> 01:13:03.176]  So I'm not going back on Twitter.
[01:13:03.716 --> 01:13:10.761]  And anyone else who's saying anything, I mean, let's just take a calm look at this.
[01:13:11.534 --> 01:13:24.597]  Twitter was owned by the cultists and that's why Twitter has been such a dramatic censor of information that is challenging the cult agenda.
[01:13:24.977 --> 01:13:38.060]  So why would they, not only why would they sell to Elon Musk, why would they threaten to go to court to make him buy it when he was apparently going, oh I'm not so sure now with the bots and stuff.
[01:13:38.721 --> 01:13:39.182]  Why?
[01:13:39.202 --> 01:13:49.410]  Does a cult-owned organisation that's censoring on behalf of the cult, are they going to say, oh, we're going to sell it to someone who put free speech back?
[01:13:49.470 --> 01:13:50.771]  Is anyone having a laugh?
[01:13:51.151 --> 01:13:53.994]  And the other kind of backstory... I agree, and I'm not defending him.
[01:13:54.014 --> 01:13:57.917]  Remember, he said we shouldn't get rid of humans, we need to have a higher birthrate.
[01:13:58.337 --> 01:14:02.361]  He said he's not going to take the COVID shot, he doesn't trust it.
[01:14:02.721 --> 01:14:03.702]  He does all that stuff.
[01:14:04.703 --> 01:14:05.863]  I'm not interested in that.
[01:14:06.004 --> 01:14:07.465]  I'm interested in action.
[01:14:08.115 --> 01:14:11.278]  And that's what I look at him about.
[01:14:11.418 --> 01:14:16.362]  Anyone can say that, but actually playing it out... No, I hear you.
