[00:00:00.369 --> 00:00:03.111]  I guess we all know Joe Biden is not running this country.
[00:45:49.067 --> 00:45:54.351]  This is a clip from MSNBC from Shadi Hamid.
[00:45:55.812 --> 00:46:06.282]   I asked Hassan, whether he would accept the election results if Trump or someone like him wins fair and square in 2024, a spirited back and forth ensued.
[00:46:06.682 --> 00:46:09.525]  So they're already denying the presidential election from 2024.
[00:46:09.845 --> 00:46:16.785]   You had Hillary Clinton Come out and make a video denying the election results from the presidential election in 2024?
[00:46:17.106 --> 00:46:18.946]  I'm saying, Owen, what are you saying?
[00:46:18.986 --> 00:46:19.686]  You sound crazy.
[00:46:19.806 --> 00:46:22.367]  How can they deny election results from an election that haven't happened?
[00:46:23.088 --> 00:46:24.388]  You're asking the wrong guy.
[00:46:24.588 --> 00:46:26.149]  You need to ask MSNBC that.
[00:46:26.189 --> 00:46:27.509]  You need to ask Hillary Clinton that.
[00:46:27.649 --> 00:46:28.450]  I'm not the one doing it.
[00:46:29.110 --> 00:46:30.150]  So, oh, okay.
[00:46:31.251 --> 00:46:33.832]  I mean, let's just give full spectrum analysis here.
[00:46:34.952 --> 00:46:40.054]  The Democrats have denied the results of every presidential election that they've lost in the 20th century.
[00:46:42.210 --> 00:46:42.710]  Al Gore.
[00:46:44.111 --> 00:46:44.811]  Hillary Clinton.
[00:46:46.692 --> 00:46:47.012]  Okay?
[00:46:48.873 --> 00:46:51.594]  And they were even complaining when Bush beat Kerry, too.
[00:46:52.415 --> 00:46:53.855]  And they did their whole appeals.
[00:46:54.215 --> 00:46:56.056]  They had their whole January 6th thing.
[00:46:56.336 --> 00:46:57.957]  They denied the electoral votes.
[00:46:59.058 --> 00:47:00.578]  They tried to have an investigation.
[00:47:00.658 --> 00:47:01.919]  They tried to shut that down.
[00:47:03.820 --> 00:47:04.480]  They've done that.
[00:47:04.960 --> 00:47:06.041]  They've done that in history.
[00:47:09.702 --> 00:47:27.004]   But then you See the obvious anomalies of the 2020 presidential election, and you say something is fishy here, not to mention all the illegalities of the mail-in votes and the different COVID measures that were taken.
[00:47:28.484 --> 00:47:30.185]  And you say, hey, I don't trust these results.
[00:47:30.826 --> 00:47:35.108]  They say you're a terrorist, you should be censored, you should be imprisoned, you should be arrested.
[00:47:36.300 --> 00:47:37.362]  And you know the rest of the story.
[00:47:37.743 --> 00:47:39.225]  But Democrats get to die.
[00:47:39.505 --> 00:47:41.589]  Hillary Clinton never lost the 2016 election.
[00:47:41.629 --> 00:47:43.412]  Stacey Abrams never lost an election.
[00:47:43.712 --> 00:47:44.253]  And they go on.
[00:47:44.554 --> 00:47:45.515]  And now they say...
[00:47:47.588 --> 00:47:50.289]  The Republicans are trying to steal the 2024 election.
[00:47:50.710 --> 00:47:56.332]  We haven't even gotten through the 2022 election yet, and they're already complaining about the 2024 election.
[00:47:56.372 --> 00:47:57.253]  How can this be?
[00:47:57.713 --> 00:48:14.622]  What kind of insane world are we living in now, where the Democrats for two years have been labeling election deniers terrorists, now come out and are already denying the results of elections that haven't even happened yet?
[00:48:15.702 --> 00:48:16.963]  It just shows what scum they are.
[00:48:17.794 --> 00:48:19.274]  It just shows what frauds they are.
[00:48:21.195 --> 00:48:22.375]  And of course it's Hillary Clinton.
[00:48:22.655 --> 00:48:23.976]  Of course it's MSNBC.
[00:48:24.256 --> 00:48:24.796]  But you know what?
[00:48:26.336 --> 00:48:27.176]  I'm okay with this.
[00:48:28.717 --> 00:48:29.517]  I'm okay with this.
[00:48:29.637 --> 00:48:44.201]  And in fact, I wish we could somehow defeat this urge, which is totally real and legitimate, to call them out on their hypocrisy of election denying.
[00:48:45.382 --> 00:48:52.707]  And instead, embrace their hysteria, add fuel to their fire, and say, you're right.
[00:48:53.627 --> 00:48:54.328]  You're right.
[00:48:56.669 --> 00:48:57.250]  You're right.
[00:48:57.370 --> 00:48:59.731]  Somebody's trying to steal the 2024 elections.
[00:48:59.811 --> 00:49:00.372]  And you know what?
[00:49:00.732 --> 00:49:01.232]  You're right.
[00:49:01.492 --> 00:49:06.556]  Someone's trying to steal the 2022 elections too, since you're talking about that.
[00:49:07.176 --> 00:49:10.338]  I think there's only one rational solution here.
[00:49:11.319 --> 00:49:12.520]  Paper ballots.
[00:49:13.320 --> 00:49:14.421]  It's the only rational solution.
[00:49:16.903 --> 00:49:18.724]  Single-day voting, paper ballots.
[00:49:19.305 --> 00:49:19.785]  Period.
[00:49:19.925 --> 00:49:20.625]  End of sentence.
[00:49:22.306 --> 00:49:22.567]  Right?
[00:49:23.447 --> 00:49:24.888]  I mean, what could be more trustworthy?
[00:49:26.289 --> 00:49:28.791]  Democrats don't believe they've ever lost a presidential election.
[00:49:29.191 --> 00:49:32.453]  They're already complaining that they're getting the 2024 election stolen from them.
[00:49:32.473 --> 00:49:33.534]  It's two years away!
[00:49:34.634 --> 00:49:37.236]  So how could we possibly remedy this situation?
[00:49:37.676 --> 00:49:41.659]  This is a major Democrat Party propaganda going all around Twitter today.
[00:49:42.984 --> 00:49:44.805]  Texans, please check your ballots.
[00:49:45.185 --> 00:49:49.508]  There are multiple reports of votes being changed from Beto to Greg Abbott.
[00:49:49.588 --> 00:49:50.989]  They're cheating again.
[00:49:52.190 --> 00:49:54.291]  From a bunch of verified leftists on Twitter.
[00:49:54.311 --> 00:49:54.912]  So, okay.
[00:49:55.552 --> 00:49:59.375]  Forget about the hypocrisy of you now claiming the elections are stolen and rigged.
[00:49:59.395 --> 00:50:00.135]  Forget about that.
[00:50:00.295 --> 00:50:01.616]  I don't even want to get into that.
[00:50:01.916 --> 00:50:02.617]  Everybody knows that.
[00:50:03.297 --> 00:50:04.338]  We need a solution.
[00:50:04.718 --> 00:50:05.799]  Democrats are right.
[00:50:06.279 --> 00:50:07.340]  Elections are rigged.
[00:50:07.660 --> 00:50:11.463]  The only solution is paper ballots, same-day voting.
[00:50:12.620 --> 00:50:17.477]  So we can fall into the gravity, which is powerful.
[00:50:19.758 --> 00:50:24.900]  To say, look, here's Democrats denying election results in 2002.
[00:50:24.980 --> 00:50:27.240]  Here's Democrats denying election results in 2006.
[00:50:27.580 --> 00:50:30.902]  Here's Democrats denying election results in 2016.
[00:50:30.962 --> 00:50:35.903]  Here's Democrats denying election results in 2018, in 2020, and now in 2024.
[00:50:35.983 --> 00:50:36.143]  What?
[00:50:36.243 --> 00:50:36.963]  Even in the future?
[00:50:37.043 --> 00:50:37.384]  Yes!
[00:50:38.384 --> 00:50:38.784]  Yes!
[00:50:39.044 --> 00:50:40.985]  Democrats denying election results!
[00:50:41.525 --> 00:50:42.105]  Democrats!
[00:50:42.145 --> 00:50:44.186]  They're the ones, actually, in U.S.
[00:50:44.226 --> 00:50:50.996]   history Who initiated the process that they are complaining about from January 6th, 2021.
[00:50:51.316 --> 00:50:53.277]  Democrats are the ones that have done that in American history.
[00:50:53.518 --> 00:51:00.042]  Denied the electoral votes, demanded an investigation and an extension to count them in a review of a presidential election.
[00:51:00.142 --> 00:51:01.884]  It's Democrats that have done that before.
[00:51:02.184 --> 00:51:12.592]  Even Democrats that are in Congress today like Maxine Waters and Chuck Schumer and others have been a part of that process back when they believed that Gore beat, Al Gore beat George Bush.
[00:51:13.632 --> 00:51:15.054]  But they don't want you to know about that.
[00:51:16.041 --> 00:51:20.384]  We can sit here and point out Hillary Clinton complaining and all the Democrats complaining 2016 was stolen.
[00:51:20.964 --> 00:51:24.387]  That's obviously the easy argument here.
[00:51:24.767 --> 00:51:32.032]  As you now see Democrats complaining that elections are stolen, saying that Republicans are going to steal 2022, Republicans are going to steal 2024.
[00:51:32.512 --> 00:51:41.490]   We need to resist the urge to fall into that trap and instead We need to agree with them and say, you're right.
[00:51:41.651 --> 00:51:42.631]  Elections are rigged.
[00:51:42.771 --> 00:51:43.852]  Elections are stolen.
[00:51:43.952 --> 00:51:45.253]  There's only one solution.
[00:51:45.694 --> 00:51:46.774]  Paper ballots.
[00:51:47.495 --> 00:51:48.396]  Single day voting.
[00:51:51.118 --> 00:51:53.659]  And I'm all for innovation.
[00:51:54.687 --> 00:51:55.528]  For efficiency?
[00:51:56.209 --> 00:51:56.930]  So, who knows?
[00:51:56.990 --> 00:51:58.952]  Maybe single-day voting isn't the right way to go.
[00:51:58.992 --> 00:52:00.794]  Maybe you make it a weekend thing.
[00:52:00.834 --> 00:52:02.416]  Maybe you make it a two-day holiday.
[00:52:02.456 --> 00:52:04.398]  Maybe, you know, because it's a pain to go vote.
[00:52:04.438 --> 00:52:05.439]  Sometimes it can take hours.
[00:52:05.499 --> 00:52:05.840]  I get it.
[00:52:06.240 --> 00:52:08.222]  And counting the ballots is a process and everything.
[00:52:09.704 --> 00:52:10.064]  But no.
[00:52:10.505 --> 00:52:26.904]   Let's at least get Democrats In this period of them denying election results, in this period of them not trusting elections, them calling elections rigged, let's all get together to say paper ballots.
[00:52:28.445 --> 00:52:29.605]  Paper ballots.
[00:52:29.985 --> 00:52:31.026]  Paper ballots.
[00:52:33.306 --> 00:52:43.747]   It's mainstream liberal news that has run Headline pieces, special reports showing how electric voting machines can get hacked.
[00:52:44.107 --> 00:52:52.792]  It's Kamala Harris who's given speeches on the House floor about how voting machines can be hacked to rig elections.
[00:52:53.552 --> 00:52:55.593]  So let's not point out their hypocrisy here.
[00:52:55.613 --> 00:52:56.314]  There's no point.
[00:52:56.674 --> 00:52:58.075]  Let's agree with them.
[00:52:59.216 --> 00:53:00.596]  I had my years wrong earlier.
[00:53:00.616 --> 00:53:01.337]  It was 2000.
[00:53:01.377 --> 00:53:03.278]  Thank you, the crew, for correcting me.
[00:53:03.298 --> 00:53:04.479]  It was 2000 and then 2004.
[00:53:04.639 --> 00:53:05.239]  Earlier I'd said 0206.
[00:53:08.001 --> 00:53:09.422]  It was 2000-2004 when they were denying it.
[00:53:11.223 --> 00:53:12.523]  And they're just rolling the clips of all that.
[00:53:12.563 --> 00:53:14.264]  So no, let's agree with the Democrats.
[00:53:14.304 --> 00:53:16.105]  That's the best way to go about this.
[00:53:16.345 --> 00:53:18.846]  Agree with the Democrats denying election results.
[00:53:19.286 --> 00:53:21.387]  Agree with the Democrats saying elections are rigged.
[00:53:21.407 --> 00:53:23.468]  And say, let's find the solution.
[00:53:23.868 --> 00:53:26.390]  Which is paper ballots, get rid of the voting machines.
[00:53:26.710 --> 00:53:29.031]  Because how can you rig paper ballots?
[00:53:29.271 --> 00:53:31.792]  And then maybe if they want to expose how they do it, that'd be one thing.
[00:53:33.453 --> 00:53:35.274]  So this is all over Twitter, I'm telling you.
[00:53:36.766 --> 00:53:46.331]  They're saying, in Texas, where early voting has started now, oh, you voted for Beto, and now your vote's been changed to Abbott.
[00:53:46.511 --> 00:53:47.331]  Oh, this is happening.
[00:53:47.411 --> 00:53:50.633]  Oh, well, electronic voting machines clearly don't work.
[00:53:50.673 --> 00:53:54.995]  They're rigging the election for Republicans, so we should probably get rid of the electronic voting machines.
[00:53:55.315 --> 00:54:09.146]   But do you think If CNN or MSNBC or one of them decided they were going to call out the elect voting machine companies like Dominion, do you think they'd get sued for billions of dollars like Fox News?
[00:54:09.186 --> 00:54:10.328]  Do you think that's how that would go down?
[00:54:10.368 --> 00:54:11.309]  Or is that just Fox News?
[00:54:11.329 --> 00:54:14.032]  Is that just conservatives that get the suits for billions of dollars?
[00:54:15.794 --> 00:54:17.857]  Will Hillary Clinton get sued for denying election results?
[00:54:19.209 --> 00:54:22.673]  Well Kamala Harris gets sued for showing how electronic voting machines can be hacked.
[00:54:22.834 --> 00:54:31.044]  What about all the other local news groups that have actually sat there with the electronic voting machines and a tech guy showing how they can get hacked in real time?
[00:54:31.244 --> 00:54:31.885]  What about all that?
[00:54:31.905 --> 00:54:33.547]  Are they going to get sued or is it just Fox News?
[00:54:35.990 --> 00:54:37.052]  So it's all over.
[00:54:38.208 --> 00:54:39.229]  It's all over the internet.
[00:54:39.889 --> 00:54:43.592]  Democrats, liberals saying Republicans are stealing the midterms.
[00:54:43.793 --> 00:54:45.654]  They've rigged the electronic voting machines.
[00:54:45.754 --> 00:54:47.776]  You vote for the Democrat, it switches to the Republican.
[00:54:48.116 --> 00:54:53.641]  Now, I haven't seen any actual video evidence of this like we saw in 2020.
[00:54:55.142 --> 00:54:58.625]  I won't even say which way it went because for the sake of this argument, it doesn't matter.
[00:54:59.773 --> 00:55:06.178]  But we've seen it before in the actual voting booths where someone would click one candidate and the other would get highlighted.
[00:55:06.218 --> 00:55:07.680]  We've actually seen videos of that from 2020.
[00:55:07.980 --> 00:55:13.304]  I haven't seen any videos of that from 2022, but that's the claim by Liberal Democrats.
[00:55:13.324 --> 00:55:17.708]  So, I agree, Republicans are stealing the 2022 elections.
[00:55:18.149 --> 00:55:23.413]  Therefore, we should stop that from happening and get rid of the electronic voting machines that they're using to do it.
[00:55:23.833 --> 00:55:25.575]  Don't you agree, Democrats?
[00:55:26.315 --> 00:55:27.757]  You're the ones saying this.
[00:55:31.294 --> 00:55:35.496]  Now, I don't expect conservatives and republicans to get on board with that message.
[00:55:35.516 --> 00:55:39.318]  That's part of the problem, is when liberals and democrats act, they act in unison.
[00:55:39.378 --> 00:55:41.740]  There is no unison on the right side of the aisle.
[00:55:42.140 --> 00:55:45.962]  It's a bunch of free thinkers, independent-minded people, so it's like, it just doesn't happen.
[00:55:47.093 --> 00:55:48.134]  But that's how this should go.
[00:55:48.814 --> 00:55:52.777]  In fact, if there should be any unity, it should be the GOP.
[00:55:52.797 --> 00:55:53.897]  It should be the official party.
[00:55:54.218 --> 00:56:05.445]  But that is fractured right now, too, because you have the Bush establishment, GOP people now kind of colliding with the new Trump populist GOP people.
[00:56:05.545 --> 00:56:07.546]  There's a struggle for control of the GOP.
[00:56:08.047 --> 00:56:17.933]   The results of this midterm election will probably determine the future of the leadership of the GOP, whether you have the defunct Uniparty GOP that just works with Democrats.
[00:56:18.514 --> 00:56:19.774]  Democrat-lite if you will.
[00:56:20.875 --> 00:56:22.456]  Giving you squish representation.
[00:56:23.117 --> 00:56:30.021]  Or you'll have a new GOP that's actually active, innovative, inspired, and making moves.
[00:56:30.621 --> 00:56:34.524]  Like you see with some aspects of the GOP like the Texas GOP doing a good job.
[00:56:35.492 --> 00:56:44.542]  But the overall GOP is a failure right now, but that's a lot to do with the party being fractured, with the populist movement, anti-establishment movement, trying to take it back from the DC establishment.
[00:56:46.484 --> 00:56:47.986]  So, that should be the message though.
[00:56:48.046 --> 00:56:48.587]  Hey, look!
[00:56:49.568 --> 00:56:50.929]  The GOP should come out...
[00:56:51.826 --> 00:56:55.168]  And they should create... I mean, the Texas GOP might actually do this.
[00:56:55.709 --> 00:56:58.491]  The Texas RNC Research Center might actually do this.
[00:56:58.931 --> 00:57:00.492]  Because they put out these great video clips.
[00:57:00.812 --> 00:57:02.193]  They should just do a compilation.
[00:57:02.333 --> 00:57:03.774]  Actually, they already have done the compilation.
[00:57:03.794 --> 00:57:07.357]  They just need to kind of change the angle, change the perspective.
[00:57:07.757 --> 00:57:10.239]  And just so all the Democrats denying election results...
[00:57:10.859 --> 00:57:25.626]  You can start it from 2000, so you can say this entire century, this entire millennia, Democrats have denied election results, and then show all the clips starting in 2000, all the way up to now, where they say Republicans will rig 2024, and then you say, we agree!
[00:57:26.786 --> 00:57:28.507]  We agree with the Democrat Party!
[00:57:28.567 --> 00:57:29.307]  Isn't this great?
[00:57:29.728 --> 00:57:32.309]  Republicans and Democrats finally agree on the same thing!
[00:57:33.405 --> 00:57:37.266]  Elections get stolen and rigged and so therefore we must find a solution.
[00:57:37.786 --> 00:57:39.186]  Paper ballots!
[00:57:40.347 --> 00:57:41.027]  One day!
[00:57:41.487 --> 00:57:42.147]  One vote!
[00:57:42.547 --> 00:57:43.627]  One paper ballot!
[00:57:44.728 --> 00:57:47.128]  To save our elections.
[00:57:47.208 --> 00:57:51.249]  To save the integrity of our elections.
[00:57:53.550 --> 00:57:57.291]  That's what the Republican Party should be doing right now.
[00:57:57.731 --> 00:58:00.932]  That's what GOP leadership should be doing right now.
[00:58:04.875 --> 00:58:17.379]  Taking away from all of that, stepping away from all that, what is it, because the Democrats are in unison right now, what is it causing the Democrats to call elections rigged all of a sudden?
[00:58:18.359 --> 00:58:19.019]  What is that?
[00:58:20.080 --> 00:58:22.821]  Are they afraid that the results aren't going to go their way?
[00:58:23.381 --> 00:58:24.401]  Is that what this is about?
[00:58:24.901 --> 00:58:33.064]  Are they afraid they're going to become so unpopular in the next two years that they have to get out ahead of a landslide in 2024 and say that's rigged too?
[00:58:36.403 --> 00:58:40.686]  If there's any good signs ahead of the midterms right now, that's one of them.
[00:58:41.446 --> 00:58:46.109]  The Democrats are legitimately scared that these elections are not going to go their way.
[00:58:46.570 --> 00:58:47.610]  And they're already crying foul.
[00:58:50.256 --> 00:58:59.299]  And I wish the Republicans could take advantage of this strategically to solve one of the biggest issues that are in their voting base right now, and that's the integrity of elections.
[00:58:59.779 --> 00:59:02.120]  But the GOP will probably not even swing.
[00:59:02.260 --> 00:59:03.540]  So it won't even be a swing and miss.
[00:59:03.660 --> 00:59:05.721]  It'll just be a strike right down the plate.
[00:59:05.741 --> 00:59:07.581]  They're watching it.
[00:59:08.622 --> 00:59:09.662]  But they should come out and agree.
[00:59:10.462 --> 00:59:12.283]  Democrats say elections are rigged.
[00:59:12.323 --> 00:59:12.803]  We agree.
[00:59:12.883 --> 00:59:14.664]  We need election integrity, security.
[00:59:14.724 --> 00:59:16.644]  So let's just go back to paper ballots.
[00:59:16.724 --> 00:59:19.165]  One person, one vote, one day, one paper ballot.
[00:59:20.848 --> 00:59:25.149]  Now I've got more midterm news coming up on the other side of this break.
[00:59:26.510 --> 00:59:30.991]  Some funny developments as we get closer, and then some serious ones as well.
[00:59:31.331 --> 00:59:35.532]  Ladies and gentlemen, remember InfoWarsStore.com.
[00:59:35.892 --> 00:59:36.112]  50% off!
[00:59:36.132 --> 00:59:37.893]  Have you tried Vitamin Mineral Fusion?
[00:59:37.993 --> 00:59:39.373]  If not, I highly suggest it.
[00:59:39.513 --> 00:59:45.195]  I drink Vitamin Mineral Fusion every day to get more than 100% of the daily value of some of those vitamins and minerals.
[00:59:45.255 --> 00:59:48.776]  You can get it right now, 50% off at InfoWarsStore.com.
[00:59:50.513 --> 01:00:02.903]  So you may have gotten a good laugh out of us crashing the Robert Francis O'Rourke rally, known as Beto O'Rourke.
[01:00:04.104 --> 01:00:09.308]  And when he goes on the stage, you can hear me in the background on the PA chanting Robert Francis.
[01:00:10.809 --> 01:00:12.350]  People looking around like, who's Robert Francis?
[01:00:12.410 --> 01:00:16.453]  Oh, that's the guy that you're about to vote for who lied to you about his name.
[01:00:17.814 --> 01:00:25.948]   And so I bring this up because Mayra Flores is currently in Congress, running for re-election.
[01:00:27.689 --> 01:00:33.134]  Mayra Flores tried to join the Congressional Hispanic Caucus.
[01:00:33.174 --> 01:00:35.336]  Of course, Mayra Flores is Hispanic.
[01:00:38.218 --> 01:00:48.587]  But she was prevented from joining the Congressional Hispanic Caucus because she's a Republican and membership is only for Democrats.
[01:00:50.199 --> 01:00:53.902]  And doesn't that just tell you the whole identity politics story?
[01:00:55.503 --> 01:01:04.550]  Liberals pretend to care about you if you have a certain trait, whether that be a skin color, sexual preference, whatever the characteristic is.
[01:01:05.070 --> 01:01:13.636]  They pretend to care about you, but then when they realize that you're not a liberal, they actually hate you and want nothing to do with you.
[01:01:14.737 --> 01:01:15.518]  See how that works?
[01:01:16.954 --> 01:01:20.536]  So we have a Hispanic caucus, but it's only for liberal Democrats.
[01:01:21.316 --> 01:01:22.336]  So it's not for Hispanics.
[01:01:22.376 --> 01:01:23.397]  It has nothing to do with Hispanics.
[01:01:23.457 --> 01:01:25.077]  It has everything to do with liberal Democrats.
[01:01:25.458 --> 01:01:26.878]  So that's just like everything else.
[01:01:27.999 --> 01:01:29.980]  But why am I talking about Beto?
[01:01:30.960 --> 01:01:35.522]  Well, there's something that Flores and O'Rourke have in common.
[01:01:36.860 --> 01:01:41.222]  They were both denied from the Hispanic Caucus.
[01:01:41.662 --> 01:01:42.702]  But here's the difference.
[01:01:43.662 --> 01:01:51.265]  Why was Robert Francis O'Rourke denied entry to the Congressional Hispanic Caucus?
[01:01:51.985 --> 01:01:54.026]  Because he's not Hispanic!
[01:01:55.407 --> 01:01:55.847]  Yeah!
[01:01:56.427 --> 01:01:59.088]  El Paso lawmaker can't join Hispanic Caucus.
[01:02:00.131 --> 01:02:04.772]  This was back from 2013 when he was a House representative.
[01:02:05.412 --> 01:02:12.734]  So he tried to join the Hispanic caucus and the Democrats rejected him because he's not Hispanic.
[01:02:14.094 --> 01:02:18.395]  And he runs around Texas pretending to be a Hispanic named Beto.
[01:02:21.656 --> 01:02:22.976]  You can't make this stuff up.
[01:02:23.596 --> 01:02:31.211]   Now, at the time, I bet you If they would have known Beto was going to become such an important attempt.
[01:02:32.262 --> 01:02:40.164]  Uh, figure to get into Congress failed, lost to Ted Cruz, but then to get into the governor's mansion in Texas.
[01:02:40.184 --> 01:02:42.285]  We'll see how that goes in 12 short days.
[01:02:42.645 --> 01:02:44.485]  They probably wouldn't have rejected him.
[01:02:44.525 --> 01:02:47.366]  They probably would have let him in, but at the time he was just a nobody.
[01:02:47.406 --> 01:02:53.908]  He didn't really have all the, the, uh, the flair around him and he was just a fake Hispanic and they knew he was a fake Hispanic.
[01:02:53.928 --> 01:02:57.109]  So they said, no, we don't want fake Hispanics in the Hispanic caucus.
[01:02:57.349 --> 01:02:58.489]  Uh, we want real Hispanics.
[01:02:58.549 --> 01:02:58.969]  You're not.
[01:03:00.010 --> 01:03:01.170]  So, uh, but there you go.
[01:03:02.535 --> 01:03:03.476]  There you go, folks.
[01:03:03.716 --> 01:03:07.118]  Even the Democrats know Beto is a fake Hispanic.
[01:03:07.178 --> 01:03:12.301]  Now, liberals are getting protested by their own, and rightfully so, on the war issue.
[01:03:13.581 --> 01:03:20.285]  Anti-war protesters tag-team warmongers Elizabeth Warren and squad member Ayanna Pressley over their push for nuclear war with Russia.
[01:03:20.846 --> 01:03:31.272]  So everywhere liberal Democrats are going who ran as anti-war, they're getting protested by the anti-war liberals that voted for them and feel let down because they're now pro-war.
[01:03:32.267 --> 01:03:35.950]  And the truth of the matter is not that the Democrats lied about being pro-war.
[01:03:36.210 --> 01:03:36.711]  And they're not.
[01:03:36.771 --> 01:03:37.792]  They lie about everything.
[01:03:38.652 --> 01:03:40.073]  Every stance they take, they lie about.
[01:03:40.133 --> 01:03:43.176]  Except they really want to chop up boys and girls and call it trans kids.
[01:03:43.196 --> 01:03:45.258]  And they really do want to abort a million babies a year.
[01:03:45.838 --> 01:03:47.359]  That they are serious about.
[01:03:48.781 --> 01:03:50.002]  When they campaign on those issues.
[01:03:51.523 --> 01:03:56.567]  Democrats are running young radical for Michigan Statehouse who was arrested for plotting school shooting.
[01:03:57.007 --> 01:03:58.729]  Sounds right up the Democrat Party aisle to me.
[01:03:59.946 --> 01:04:08.651]  Michigan Democrat nominee for state representative Maurice Imhoff wanted to carry out a school shooting of Northwest Middle School in Jackson, Michigan.
[01:04:09.032 --> 01:04:14.255]  He was arrested by the police before he could carry out the shooting and charged for threat of terrorism.
[01:04:14.695 --> 01:04:19.758]  In response to the public finding this out about his past, he admitted to making poor decisions.
[01:04:19.978 --> 01:04:20.719]  Poor decisions.
[01:04:21.860 --> 01:04:22.460]  Poor decisions.
[01:04:23.400 --> 01:04:23.741]  Yeah.
[01:04:24.835 --> 01:04:35.861]  Maurice Imhoff, Democrat for Congress, says his arrest for threat of terrorism was a poor decision.
[01:04:36.201 --> 01:04:36.901]  You don't say.
[01:04:37.702 --> 01:04:39.703]  But the Democrats say you're the terrorist.
[01:04:39.763 --> 01:04:40.523]  You see how that works.
[01:04:41.004 --> 01:04:46.406]  Arizona's Democrat gubernatorial candidate, Katie Hobbs, claims someone broke into her campaign office.
[01:04:47.267 --> 01:04:52.930]  And now, without any evidence, she's claiming it was someone from Carrie Lake's campaign!
[01:04:54.175 --> 01:05:07.760]  Well, that's just projection, because we all know about three dozen GOP headquarters in the last two years have been firebombed by Liberal Democrats, the real terror group in this country.
[01:05:09.489 --> 01:05:15.613]  All across the country, GOP headquarters have been firebombed by Democrat activists.
[01:05:16.153 --> 01:05:20.275]  Not a single act of violence has been condemned by the Democrats.
[01:05:20.875 --> 01:05:30.681]  And so, of course, they assume when something happens to their office, it must be the opposition, because when they see the things happening to the GOP offices, they know it's their people.
[01:05:32.298 --> 01:05:42.121]  But there was an image that came out of the individual, and let's just say he doesn't fit the Republican type, let's say.
[01:05:42.341 --> 01:05:43.642]  But who knows?
[01:05:43.902 --> 01:05:49.063]  They do have an image, and investigation will obviously be ongoing, and we shall see what happens.
[01:05:49.903 --> 01:05:59.860]   My guess is it was probably I mean, maybe a Democrat doing this for a false flag or for, you know, a victim economy thing, but who knows?
[01:05:59.880 --> 01:06:01.120]  Could've just been a random act.
[01:06:01.880 --> 01:06:10.522]  People are breaking into stuff all the time these days in Biden's America, so anything to save her chance in the governor's race.
[01:06:10.982 --> 01:06:14.083]  Say that your opponent broke into your office.
[01:06:16.063 --> 01:06:20.044]  Yeah, I think that the investigation will bear that that is not the case.
[01:06:21.272 --> 01:06:26.735]  Liberal pro-abortion organization files lawsuit over people monitoring ballot drop boxes in Arizona.
[01:06:26.895 --> 01:06:34.138]  Why don't Democrats want mail-in drop box overseers?
[01:06:34.258 --> 01:06:39.380]  Why are liberal Democrats so scared of drop box monitors?
[01:06:40.941 --> 01:06:41.862]  Why would that be?
[01:06:43.835 --> 01:06:45.817]  I just can't think of it, guys.
[01:06:46.457 --> 01:06:51.721]  Why are the Democrats so afraid that people are monitoring the mail-in Dropboxes?
[01:06:51.821 --> 01:06:53.282]  Can anybody figure that out for me?
[01:06:53.322 --> 01:06:54.003]  I'm just at a loss.
[01:06:55.083 --> 01:06:58.386]  I can't figure out why the Democrats would be so against that.
[01:06:59.607 --> 01:07:11.615]  Attorney General Merrick Garland promises to address voter intimidation after armed and masked Dropbox election observers who look an awful lot like the fake Patriot Front group show up at Dropbox in Arizona.
[01:07:13.632 --> 01:07:20.298]  Nobody's claimed these individuals as a group that they're with, or affiliated with, when it comes to the Dropbox monitoring.
[01:07:21.179 --> 01:07:32.250]  I'm yet to see the individuals in the photos that are armed and face-masked up make any claims about, hey, here's who we are, we're not this, we're not that, we are this, we are that.
[01:07:32.750 --> 01:07:36.454]  So I'm still leaning on the edge of these are just Democrats.
[01:07:38.090 --> 01:07:54.506]  Uh, posing as Republicans so they can have this story, and now that the Attorney General is getting involved, calling it voter intimidation and all this stuff, maybe that adds a little more fuel to that conspiracy theory.
[01:07:54.866 --> 01:08:00.212]  But, legal experts have weighed in on this, and they've actually said, there is no case here.
[01:08:01.238 --> 01:08:03.780]  Nothing they were doing is illegal.
[01:08:04.600 --> 01:08:14.927]  The places they were, you can open carry a long arm, a rifle, obviously face masks are legal, you can do that, and there's no law against sitting in a parking lot where there's a mail-in drop box.
[01:08:14.967 --> 01:08:16.308]  So, I don't know.
[01:08:17.209 --> 01:08:21.472]  Alright, let's look at a couple geopolitical developments here.
[01:08:23.047 --> 01:08:23.407]  U.S.
[01:08:23.487 --> 01:08:28.869]  ready to protect Asian allies with nukes, Biden official says in Tokyo.
[01:08:29.989 --> 01:08:40.772]  A hugely alarming scenario when world leaders and government officials representing nuclear-armed superpowers appear to increasingly be spouting nuclear rhetoric and warnings in almost a casual manner.
[01:08:41.812 --> 01:08:42.312]  And it's U.S.
[01:08:42.332 --> 01:08:48.367]   Deputy Secretary of State Wendy Sherman said The U.S.
[01:08:48.427 --> 01:08:54.431]  is ready to protect its Asian allies using nukes if they came under attack, spelling out that the U.S.
[01:08:54.471 --> 01:08:56.753]  would deploy its nuclear, conventional, and missile defense.
