[00:00:00.000 --> 00:00:16.000]  (outtro music)
[00:31:12.576 --> 00:31:21.324]  The people's ability to find independent information to find to speak their own mind and to share their own perspective was at an extraordinary level.
[00:31:21.845 --> 00:31:31.054]  And so they needed to use the people who had such disparate monopoly power over these social media platforms to act as their gatekeeper.
[00:31:31.633 --> 00:31:58.301]  And to act as their gatekeeper, not only in censoring dissident information, but in promoting information they knew was often false or inaccurate in order to be able to buttress the institutional narrative, like we saw throughout the election fornication issues, like we saw throughout COVID and the lockdowns, like we've seen throughout the vaccine mandate issues, as Peter McCullough talking to Alex yesterday detailed in great detail.
[00:31:58.781 --> 00:32:13.625]  Robert Malone has also done as well, and many others, that all of this dissident information was not just excluded from the court of public opinion, but certain people within the public square were given louder microphones and bigger platforms than everybody else.
[00:32:14.025 --> 00:32:15.346]  But it didn't come from the people.
[00:32:15.946 --> 00:32:19.327]  They made it look like it came from the people, but it was illusory.
[00:32:19.467 --> 00:32:20.547]  It was like the Matrix.
[00:32:20.968 --> 00:32:22.428]  It was like being inside the system.
[00:32:22.968 --> 00:32:28.353]  What it is, is they use the bots to make somebody look much more popular than they actually were.
[00:32:28.753 --> 00:32:32.757]  To make a certain message look much more popular than it actually was.
[00:32:33.417 --> 00:32:38.422]  Just as they were suppressing the indigenous organic popularity of other components.
[00:32:38.782 --> 00:33:03.425]   To give just one recent illustration this week, Taglines like Red Sermon, in reference to Biden's horrific authoritarian speech, or talking about the nature of Biden's relationship, Pedo-Biden, and various versions of that as well, were both organically trending on Twitter, but they were arbitrarily and artificially suppressed, while other topics were artificially inflated.
[00:33:03.805 --> 00:33:08.127]  But they need not only algorithmic manipulation, they need fake bots to achieve it and attain it.
[00:33:08.587 --> 00:33:19.975]  That's what the big tech is in operative of the Deep State always has been, but now we may be getting enough factual details through Musk's suit and these other suits to expose it and unwind it for good.
[00:33:20.656 --> 00:33:32.164]  When we come back, we'll be discussing a range of topics, but including what the Deep State's agenda may be up next for Trump, for MAGA, for America in desperate times from their perspective.
[00:33:37.119 --> 00:33:38.660]  Welcome back to the Alex Jones Show.
[00:33:38.681 --> 00:33:40.102]  This is Robert Barnes guest hosting.
[00:33:40.642 --> 00:33:57.378]  Discussing a little bit later, what is the chances the deep state accelerates or escalates its actions in unparalleled and unprecedented ways and in ways that reflect and represent the Red Sermon speech we got from V for Vendetta would-be President Joe Biden this past week.
[00:33:57.898 --> 00:34:00.861]  We'll be discussing that a little bit more and a little bit later.
[00:34:01.556 --> 00:34:23.921]  But first up, talking about big tech collusion and its various constituent components, another example of what big tech is up to showed up in Colorado this past week as various thermostats were taken over by the power company through its digital control over those thermostats in order to dictate what temperature people could find acceptable and would be okay for the big companies.
[00:34:24.699 --> 00:34:49.092]  And now take that capability and combine it and it becomes like a one of the more recent last version of the X-Files season that new season they did a few years ago that had a few episodes in it or a Black Mirror episode from the Netflix series where what happens in the X-Files show is that the they go everything is automated and so they go to a sushi shop where everything is automated and they give a bad review.
[00:34:49.821 --> 00:34:54.864]  And because they give a bad review, there's a complete attack on everything concerning them.
[00:34:54.944 --> 00:35:05.609]  Their ability to get into the automated car, to their ability, the automated vacuum that works in their home, the automated security system, the automated weather temperature system.
[00:35:05.909 --> 00:35:09.291]  Basically, it's 2001 Space Odyssey brought to your everyday life.
[00:35:09.938 --> 00:35:17.288]  So if they can do that in Colorado, where they can just dictate what temperature is now acceptable for your home, imagine what else they can do.
[00:35:17.709 --> 00:35:25.039]  The more they have complete digital control, where you have a real grid, like the cinematic style real grid.
[00:35:25.899 --> 00:35:30.221]  Then what you're going to have is you're going to be subject to their complete control.
[00:35:30.382 --> 00:35:32.262]  That's what a large part of big tech is about.
[00:35:32.843 --> 00:35:39.186]  It's not it's about control, controlling information, controlling your activities, controlling your ability to function.
[00:35:39.366 --> 00:35:45.489]  That's what increasing talk this week of a central bank digital currency is all about.
[00:35:46.475 --> 00:35:52.320]  As people are aware, Biden has required that there be a study made of how quickly the U.S.
[00:35:52.380 --> 00:35:57.123]  government itself could shift or transition to a central bank digital currency.
[00:35:57.523 --> 00:36:04.228]  We've been warning about this for several years, going back to our interviews with George Gammon here on InfoWars back during 2020.
[00:36:06.002 --> 00:36:08.403]  And we're seeing those escalate more and more talk.
[00:36:08.443 --> 00:36:22.690]  In fact, now the International Monetary Fund and other groups are talking about setting up a universal settlement process of recognizing financial transfers and property protocols through a uniform central mechanism.
[00:36:23.130 --> 00:36:28.953]  This would be a critical step to a global central bank digital currency.
[00:36:29.494 --> 00:36:39.082]  Now, the only thing blowing back against them in this capacity is their complete failure at the economic war on Russia that has created troubles around the globe.
[00:36:39.462 --> 00:36:50.370]  It's unlikely most of the world will be interested in this, so the initial guinea pigs for the central bank digital currency operation will be those of us here in the United States and in the West.
[00:36:51.031 --> 00:37:05.830]   But it is likely coming, because imagine if your complete access to funds You no longer could have a means of exchange with just printed dollar bills, which have their own issue, or any other means of exchange through coins or your own choice of barter.
[00:37:06.331 --> 00:37:12.477]  But instead, you had to use the government's digital currency only accessible and available on your phone.
[00:37:12.938 --> 00:37:15.861]  Well, then you could be like those Chinese protesters recently.
[00:37:16.443 --> 00:37:37.693]  So the due to the Chinese real estate problems that go from the real estate bubble they created in China with the facilitation of local governments, developers, bankers and others, they diverted a lot of excess savings from the Chinese developing working and middle classes into excess housing and what was basically a big fat real estate bubble.
[00:37:38.711 --> 00:37:48.837]  As that bubble has begun to pop, it has had ramifications throughout the entire banking industry, the savings policies, and then public protests have then followed.
[00:37:49.417 --> 00:38:04.405]  However, when somebody went out to try to protest at the bank, their means of getting on the train, their means of communicating, their means of even legally outside without papers, so to speak, was revoked on the grounds they now had a public health red label.
[00:38:04.845 --> 00:38:11.187]  This is the beginning stages of China's social credit system that is going to be exported here soon.
[00:38:11.687 --> 00:38:14.248]  That is the goal and objective of global digital currency.
[00:38:14.668 --> 00:38:19.709]  Because what it can do is it can prevent you from doing pretty much anything that requires money.
[00:38:20.189 --> 00:38:22.710]  And if you think about it, pretty much everything requires money.
[00:38:23.210 --> 00:38:33.913]  Even the ability to pay for your internet service, your cable service, your phone service, your electric bill, your water bill, your housing bill, your car bill, your gas bill, your food bill.
[00:38:34.708 --> 00:38:35.308]  All our bills.
[00:38:35.689 --> 00:38:36.409]  All our costs.
[00:38:36.829 --> 00:38:38.511]  What happens if the government turns it off?
[00:38:38.931 --> 00:38:40.292]  Says, nope, can't do it this week.
[00:38:40.412 --> 00:38:41.052]  No food for you.
[00:38:41.292 --> 00:38:42.253]  No fuel for you.
[00:38:42.613 --> 00:38:43.374]  No water for you.
[00:38:43.754 --> 00:38:44.614]  No electric for you.
[00:38:44.995 --> 00:38:45.435]  You name it.
[00:38:45.555 --> 00:38:47.836]  It's the ultimate method and mechanism of control.
[00:38:48.197 --> 00:38:52.439]  And that's why they love the idea of global digital currencies.
[00:38:52.659 --> 00:38:54.601]  And you're likely to see an expansion of it.
[00:38:55.261 --> 00:39:01.245]  But just as that is expanding in the power grab space, they're also moving in the censorship space.
[00:39:01.849 --> 00:39:18.179]  So this week a website known as Kiwi Farms was targeted by Taylor Lorenz, the Washington Post defamer and libeler who has gone after a range of politically inconvenient individuals at the behest and behalf of either the New York Times or the Washington Post.
[00:39:18.639 --> 00:39:34.548]  Which has led to a range of suits against her, including one major one pending by Adriana Jacobs, someone who wasn't even political at all, just posed a threat to certain parts of the Hollywood industry at their ability to control upcoming talent, particularly social media influencer talent.
[00:39:35.469 --> 00:39:44.314]  She has now targeted the Kiwi Farm site, and this is because Kiwi Farms outed grooming activities by various trans individuals.
[00:39:45.155 --> 00:39:58.000]  And in fact, not only that, the lawyer who discussed this, Nick Ricada, people can find him online, Nick Ricada, Ricada Law, and had a debate with someone about it, also got another YouTube strike.
[00:39:58.320 --> 00:40:16.109]   The person who popularly broadcast the Kyle Rittenhouse trial and the Johnny Depp trial, exposing that a lot of woke agendas and media agendas in those cases were false and a lie, And expose these activities of these various trans groomers.
[00:40:16.870 --> 00:40:19.732]  He too suffered a suspension at YouTube.
[00:40:20.293 --> 00:40:23.715]  But the Cloudfair went in and took down Kiwi Farms altogether.
[00:40:24.236 --> 00:40:30.281]  This was another example where InfoWars was the canary in the coal mine.
[00:40:30.581 --> 00:40:38.267]  For those that don't remember, many years ago, several years ago, after the success of the Trump campaign, Alex Jones and InfoWars was target number one.
[00:40:38.982 --> 00:40:40.503]  And it wasn't just the lawfare.
[00:40:40.983 --> 00:40:45.345]  They used the lawfare as a means to de-platform InfoWars.
[00:40:45.465 --> 00:40:47.346]  And not only that, they went after everything.
[00:40:47.446 --> 00:40:49.047]  They went after payment processors.
[00:40:49.447 --> 00:40:52.048]  They went after online servers.
[00:40:52.348 --> 00:40:59.371]  They went after anybody who simply platformed, broadcast, published, or had any kind of financial transaction with InfoWars.
[00:40:59.811 --> 00:41:03.913]  InfoWars survived thanks to the audience, thanks to the people.
[00:41:04.173 --> 00:41:05.414]  It wasn't supposed to happen.
[00:41:05.914 --> 00:41:07.416]  Infowars was supposed to be gone.
[00:41:07.576 --> 00:41:09.198]  Alex Jones was supposed to be gone.
[00:41:09.679 --> 00:41:20.433]  As Peter McCullough said yesterday in his interview with Alex and as he talked about on social media today, it was great to be on Infowars because it was great to be on a no censorship platform.
[00:41:20.833 --> 00:41:22.655]  A place that did not censor people.
[00:41:23.176 --> 00:41:24.578]  And that's why they were obsessed.
[00:41:25.532 --> 00:41:29.717]  We're taking InfoWars out because it was the primary source of independent information.
[00:41:30.118 --> 00:41:34.543]  But it failed because you, the people, refused to allow it to fail.
[00:41:35.004 --> 00:41:39.209]  This is in fact the key to any popular resistance anywhere in the history of man.
[00:41:39.710 --> 00:41:43.935]  It requires broad public support from key parts of the community.
[00:41:44.175 --> 00:41:45.616]  It doesn't require a majority.
[00:41:45.977 --> 00:41:49.980]  Half the country in any point in time is going to be uninformed.
[00:41:50.440 --> 00:41:56.526]  It just requires the informed and educated portion that's passionate about it to hold their ground.
[00:41:56.986 --> 00:41:59.708]  And that's what you at InfoWars have done.
[00:42:00.169 --> 00:42:01.129]  And how do you do that?
[00:42:01.310 --> 00:42:03.291]  You do that by going to InfoWarsStore.com.
[00:42:04.696 --> 00:42:07.460]  You can go there right now and get a wide range of discounts.
[00:42:07.821 --> 00:42:12.749]  You can find something, the way I like to put it is, why do I go to InfowarsStore.com?
[00:42:12.809 --> 00:42:15.253]  Why have I been purchasing products for many years there?
[00:42:15.693 --> 00:42:19.940]  Because it makes you healthier, wealthier, and wiser in one clean step.
[00:42:20.535 --> 00:42:31.657]  First of all, it makes you healthier because there's a bunch of products that Alex and his crew have personally vouched for, personally vetted, personally reviewed, personally used, and have great confidence in.
[00:42:31.777 --> 00:42:36.598]  And you can see that reaffirmed in the wide range of commenters who have reviewed on it over time.
[00:42:36.919 --> 00:42:43.620]  You can see it has some of the highest rates of approval, likability, and satisfaction you'll get of any products out there.
[00:42:44.142 --> 00:42:56.452]  So it makes you wealthier because these products are being offered at great discounts right now and at a substantial discount compared to many of the competitors for the same quality level of product.
[00:42:56.892 --> 00:43:00.895]  Sometimes people compare the product versus something that purports to be the alternative.
[00:43:01.216 --> 00:43:05.279]  But if you look at the ingredient list, you find it often is not an effective alternative.
[00:43:05.763 --> 00:43:08.785]  So you can get whether it's DNA force, fish oil.
[00:43:09.165 --> 00:43:14.769]  The other thing I always recommend is just go in there and see if there's something you can substitute your everyday life for.
[00:43:15.149 --> 00:43:19.512]  This is the part that makes you and everyone else wiser, is keeps InfoWars online.
[00:43:19.933 --> 00:43:22.254]  And the value of that is your value.
[00:43:22.634 --> 00:43:26.977]  It's not only your value that you are contributing to others, but it's a value that you receive.
[00:43:27.398 --> 00:43:29.359]  It is a reciprocal gift of sorts.
[00:43:29.779 --> 00:43:31.864]  Because you make yourself better educated.
[00:43:32.205 --> 00:43:35.772]  Because free speech is about the audience more than it's about the speaker.
[00:43:36.273 --> 00:43:39.400]  It's about the right to listen as much as it's about the right to talk.
[00:43:40.149 --> 00:43:48.410]  And you keep that alive for everybody by going to InfoWarsTore.com and just find something you already use that is an effective substitute right there.
[00:43:49.091 --> 00:43:52.411]  Or maybe it's something as simple as Alex Jones's new book, The Great Reset.
[00:43:52.551 --> 00:43:55.272]  Simple, short, succinct, to the point, well detailed.
[00:43:55.412 --> 00:43:55.892]  You can get it.
[00:43:55.992 --> 00:43:59.292]  Steve Bannon himself says one of the best books written, period.
[00:43:59.812 --> 00:44:02.053]  So you can get one of those, get a t-shirt, get something else.
[00:44:02.433 --> 00:44:09.754]  But go to InfoWarsTore.com now to continue to keep freedom and liberty alive in America by keeping information free and alive.
[00:44:14.585 --> 00:44:16.127]  Welcome back to the Alex Jones Show!
[00:44:16.307 --> 00:44:17.628]  This is Robert Barnes guest hosting.
[00:44:17.648 --> 00:44:34.143]  Today we're discussing a range of topics including what might be the next deep state tactics and techniques chosen to go after Trump and the MAGA movement in light of its slipping hold on power with its dementia candidate in the White House and its debacles and disasters both at home and overseas.
[00:44:34.684 --> 00:44:36.746]  We'll be discussing that a little bit later in the show.
[00:44:37.341 --> 00:44:51.906]  But to give you an example of why the Deep State has to go to such great efforts, from Operation Mockingbird forward, to suppress and censor independent information, it's because these are just a small sampling of the kind of stories they suppressed just this week.
[00:44:52.587 --> 00:44:56.028]  For example, have you heard about the billionaire heiress kidnapped in Memphis?
[00:44:56.758 --> 00:44:58.039]  You've heard almost nothing about it.
[00:44:58.459 --> 00:45:02.442]  Something about that story is striking and unusual in its absence of coverage.
[00:45:02.882 --> 00:45:09.647]  Something is going on behind the scenes that's kind of like the shooting that occurred with Dutch Special Forces in Indianapolis.
[00:45:09.667 --> 00:45:14.150]  It's like, what are Dutch Special Forces doing in a shootout in Indianapolis in the first place?
[00:45:14.750 --> 00:45:16.852]  The kind of story that warrants further digging.
[00:45:17.372 --> 00:45:20.034]  But it's not the kind the media these days tends to do.
[00:45:20.674 --> 00:45:24.737]  So, another version of that is, where is Gavin McInnes?
[00:45:25.461 --> 00:45:36.084]  Gavin McInnes, the co-founder of Vice, who later left it for a sort of more populist, conservative path, went into the independent media space, the original founder of the Proud Boys.
[00:45:36.525 --> 00:45:47.208]  And once the Proud Boys got infiltrated by some rogue elements, he stepped down from it in order to protect its reputation and the good intentions of many of its constituent members.
[00:45:48.128 --> 00:46:00.696]  He was broadcasting live when it appeared, it's unclear, someone off script, someone off the setting, off the stage, is interacting with what appears to be law enforcement, and he disappeared.
[00:46:01.196 --> 00:46:02.357]  And he hasn't been heard from since.
[00:46:03.477 --> 00:46:09.541]  And it's important to remember that Gavin McInnes, to my understanding, is a citizen of Canada and the UK, but is only on a green card here in the United States.
[00:46:10.467 --> 00:46:11.428]  And the U.S.
[00:46:11.468 --> 00:46:15.252]  government deep state operators have often taken the position that non-U.S.
[00:46:15.292 --> 00:46:20.178]  citizens can be seized and, you know, Gitmoed or any version thereof.
[00:46:20.778 --> 00:46:21.679]  So where is he?
[00:46:21.919 --> 00:46:28.907]  And yet there's very little media interest and media curiosity and media coverage of these kind of extraordinary cases.
[00:46:29.588 --> 00:46:55.875]  Another example was a Biden proposal that only got a little bit of coverage, which is, but I heard directly from potential whistleblowers about, Biden plans to convert America's VA clinics, Veterans Affairs clinics, place they're supposed to take care of veterans, but often have failed to adequately and competently do so, going to convert them in his latest scheme, in his latest baby killing scheme, to convert it into an abortion center.
[00:46:56.627 --> 00:47:25.363]  So apparently what's going to happen is that the very nature of what is taking place in transpiring is that the federal government is trying to use any place it has power, whether that's offshore, whether that's on federal parks, whether that's in military facilities, whether that's through their control of Medicare and Medicaid funding, all of which they've tried to utilize to force and coerce abortions on unwilling medical care providers who don't want to do it.
[00:47:25.903 --> 00:47:31.946]  As they've already tried to do to various religious facilities in cases that they consistently lose but keep trying anyway.
[00:47:32.606 --> 00:47:41.950]  Now they're going to try to turn Veterans Affairs facilities into abortion clinics in places where abortion is illegal under local and state law.
[00:47:42.450 --> 00:47:46.032]  This shows what many people warned about the usurping federal power.
[00:47:46.678 --> 00:48:00.408]  But speaking of questionable mechanisms of power, the local school system in Loudoun County, Virginia, attempted to try to basically cover up for its trans policies leading to sexual assaults in girls' bathrooms.
[00:48:01.449 --> 00:48:10.636]  When a grand jury was formed to investigate this criminal behavior by the Virginia local schools, the Virginia local schools claimed to be above the grand jury, to be beyond it.
[00:48:11.056 --> 00:48:12.477]  They can't be reached by the law.
[00:48:13.192 --> 00:48:21.603]  The Virginia Supreme Court said otherwise this week, said the school systems are no more exempt and immune from grand jury investigations and inquiry than anybody else.
[00:48:22.164 --> 00:48:25.028]  What exactly are the schools so afraid of that they're hiding?
[00:48:25.822 --> 00:48:33.064]  Well, in the same capacity, it might be what we talked about BLM, if you go back to our videos years ago, about what BLM really was.
[00:48:33.184 --> 00:48:35.605]  It was not an authentic civil rights organization.
[00:48:36.085 --> 00:48:41.566]  It was a politically driven, motivated organization that was mostly run by, for, and of grifters.
[00:48:42.046 --> 00:48:45.807]  Indeed, it was founded literally by several witches, people who believe in witchcraft.
[00:48:46.207 --> 00:48:48.788]  This was not your Martin Luther King civil rights organization.
[00:48:49.301 --> 00:48:53.765]  Well, this week they're all suing each other because of all the different fraud that took place.
[00:48:53.925 --> 00:48:56.527]  They need to rename and relabel BLM.
[00:48:57.167 --> 00:49:00.910]  Better laundering money is what they effectively are and were.
[00:49:01.551 --> 00:49:05.714]  We'll be talking about the deep state and more when we come back right after the break.
[00:49:06.855 --> 00:49:07.295]  Join us then.
[00:49:09.257 --> 00:49:11.959]  Welcome back to the Alex Jones Show.
[00:49:11.979 --> 00:49:13.160]  This is Robert Barnes, guest host.
[00:49:18.030 --> 00:49:20.671]  Discussed a little bit later, what are the deep state's next steps?
[00:49:21.271 --> 00:49:24.392]  What are they going to be up to now that various efforts have failed?
[00:49:24.693 --> 00:49:25.993]  What was their original script?
[00:49:26.473 --> 00:49:28.654]  How has reality deviated from that script?
[00:49:29.054 --> 00:49:30.475]  Can they continue to cover up?
[00:49:31.455 --> 00:49:35.757]  Can they continue to engage in dangerous corrupt behavior towards President Trump?
[00:49:35.997 --> 00:49:37.417]  Could they remove him from the ballot?
[00:49:37.537 --> 00:49:38.918]  Could they take him out through other ways?
[00:49:39.438 --> 00:49:41.899]  We'll be discussing that and more a little bit later in the show.
[00:49:42.748 --> 00:50:06.867]  But as to the issue of abortion, one of the popular talking points by no less than the Ben Shapiros of the world, who is one of the worst political prognosticators maybe in American political history, was that the Dobbs decision, overturning and reversing Roe, would be and was going to be politically, at least short term, very damaging to the Republican cause.
[00:50:07.308 --> 00:50:10.250]  This has been the institutional narrative repeated all the way throughout.
[00:50:10.805 --> 00:50:26.763]  The prediction was that this would show up in primary turnout participation rates, that this would show up in voter registration rates, and it would show up in public opinion polling, even though the last, of course, is often manipulated by the media at their will and at their behest.
[00:50:27.446 --> 00:50:48.551]  So the two most objective metrics and measurements we have for testing whether or not there is really this mass demand for abortion on demand in America, that there's this mass desire to support baby killing, there's mass requirement that this be a nationally decided issue and not a locally decided issue, got tested.
[00:50:49.071 --> 00:50:55.193]  And it got tested in a range of primaries, and it got tested again in a range of voter registration files.
[00:50:55.760 --> 00:51:01.045]  So now we've had all of July, all of August to see what happened.
[00:51:01.085 --> 00:51:08.171]  We've had plenty of primaries across the country and geographically diverse regions in various competitive primary election contexts.
[00:51:08.572 --> 00:51:13.016]  We've also had a range of voter registration activity now going on for months.
[00:51:13.997 --> 00:51:15.318]  And what does that data show?
[00:51:15.970 --> 00:51:30.714]  Well, the data shows what Richard Barris, known as People's Pundit Daily, or you can find his polling at Big Data or peoplespundit.locals.com, who has new data from Pennsylvania up today at his People's Pundit site.
[00:51:31.354 --> 00:51:33.515]  What we predicted is what has in fact come true.
[00:51:34.075 --> 00:51:39.897]  Voter registration trends over the last two months continue to shift dramatically in Republicans' favor.
[00:51:40.464 --> 00:51:47.913]  There was no huge, role-loving perspective out there that was going to lead to a surge of voter registration, and it did not.
[00:51:48.534 --> 00:51:54.421]  In fact, this includes even states like New Jersey, where Republicans picked up net votes that wasn't supposed to happen.
[00:51:55.362 --> 00:51:58.406]  Similarly, what happened in voter primary participation areas?
[00:51:58.931 --> 00:52:11.017]  Well, Democratic voter participation rate prior to the Dobbs decision had been down on average around 7% from 2018, while Republican voter participation rates were generally up.
[00:52:11.938 --> 00:52:13.638]  Well, what happened after Dobbs?
[00:52:13.959 --> 00:52:19.421]  Democratic relative voter participation rates in the primaries continued to decline at the same rate over the 2018 level.
[00:52:21.428 --> 00:52:32.740]  Indeed, it was only because there was some lower Republican turnout in some states where Republicans were unhappy with their options, particularly some populist Republican voters, that saw a slight dip in Republican turnout.
[00:52:33.160 --> 00:52:35.463]  But there was no Democratic voter turnout surge.
[00:52:35.942 --> 00:52:37.443]  So there was no voter turnout search.
[00:52:37.603 --> 00:52:39.363]  There was no voter registration search.
[00:52:39.803 --> 00:52:42.404]  The myth that these things are popular with people is wrong.
[00:52:42.985 --> 00:52:48.847]  And as Richard Behrs of People's Pundit reporting, Republicans are back up in the generic congressional vote.
[00:52:49.387 --> 00:52:56.850]  And in fact, if you want my breakdown of the various House and Senate races out there, the summary and summation is this.
[00:52:57.558 --> 00:53:00.340]  Republicans will win the governorship of Pennsylvania.
[00:53:00.480 --> 00:53:02.902]  Republicans will win the governorship of Wisconsin.
[00:53:03.302 --> 00:53:09.706]  The Republicans may win the governorship of Michigan, even though that will be closer and more competitive.
[00:53:09.746 --> 00:53:12.348]  Republicans will win the governorship of Arizona.
[00:53:12.808 --> 00:53:15.669]  Republicans will win the Senate seat in Pennsylvania.
[00:53:16.169 --> 00:53:19.329]  Republicans will win the Senate seat in Wisconsin.
[00:53:19.669 --> 00:53:22.210]  Republicans will win the Senate seat in Arizona.
[00:53:22.590 --> 00:53:24.991]  Republicans will win the Senate seat in Georgia.
[00:53:25.391 --> 00:53:28.291]  Republicans will win the Senate seat in Ohio.
[00:53:28.691 --> 00:53:36.393]  And Republicans might steal a seat, as some polls showed this week, either in a place like Washington or a state like New Hampshire.
[00:53:36.949 --> 00:53:39.151]  By no means are they out of the game.
[00:53:39.492 --> 00:53:58.492]  Either way, my conclusion is that come January 2023, you're going to see more than 250 members of the House of Representatives are Republicans, and you're going to see the highest number of MAGA populist Republicans you have ever witnessed, thanks in part due to the Biden Red Sermon speech of this past week.
[00:53:59.162 --> 00:54:11.908]  And you're going to see 53 or more Republicans in the United States Senate, which will have some of the strongest populist voices on a range of topics, including Blake Masters, including J.D.
[00:54:11.969 --> 00:54:20.693]  Vance, including Eric Schmidt, including Josh Hawley, and others who may discover their populist voice with Rand Paul on a range of topics.
[00:54:21.674 --> 00:54:33.948]  As they see that populism is the direction of the Republican Party in the country, and there's nothing the deep state can do about it, besides trying to do what they are doing, which is mostly backfiring.
[00:54:34.789 --> 00:54:39.254]  In that same capacity, there was some confusion this week about what happened in Alaska.
[00:54:39.815 --> 00:54:45.717]  The discussion was, well, maybe Alaska shows that the abortion issue is cutting against Republicans.
[00:54:46.077 --> 00:54:49.958]  Maybe it's showing that the Trump issues are cutting against Republicans.
[00:54:50.358 --> 00:54:52.559]  Indeed, that's what Ben Shapiro was out saying.
[00:54:52.859 --> 00:55:02.302]  He was saying the Republican Party needs to abandon Donald Trump, needs to abandon populism, abandon MAGA, need to just focus on Biden and say negative things about Biden.
[00:55:02.742 --> 00:55:07.724]  Be the party of just opposition, not the party of substantive positive policies and proposals.
[00:55:08.334 --> 00:55:21.362]  That is exactly how Republicans could lose their opportunities to seize big margins in the House of Representatives and get back control, majority control, of the Senate and get key gubernatorial control of the competitive state.
[00:55:21.763 --> 00:55:28.347]  And for those folks out there that undervalue what that means, Arizona and Georgia have already passed election reforms.
[00:55:28.914 --> 00:55:36.761]  Wisconsin, Michigan, and Pennsylvania have not passed the same kind of election reforms because they have Democratic governors blocking them.
[00:55:37.181 --> 00:55:39.463]  We need Republican governors in those states.
[00:55:39.843 --> 00:55:45.328]  Two of the three, for sure, ideally all three, and I think Republicans can run the trifecta.
[00:55:45.668 --> 00:55:49.027]   The only way they don't is if they run away from Donald Trump.
[00:55:49.027 --> 00:55:54.347]   The only way they don't is if they abandon criticism of the Justice Department of this
[00:55:54.347 --> 00:55:59.148]   administration politically weaponizing it to go after its dissidents as the deep state
[00:55:59.148 --> 00:56:03.867]   has used it as a tool to attack anyone that is part of its opposition.
[00:56:03.867 --> 00:56:06.268]  That's the only way they could fail in that respect.
[00:56:06.268 --> 00:56:12.268]   What happened in Alaska has nothing to do with either Trump or with abortion.
[00:56:12.745 --> 00:56:18.229]  It has everything to do with the unique election system there and Republicans handling of it.
[00:56:18.809 --> 00:56:25.635]  So Senator Lisa Murkowski knew she could not win re-election if she had to go through a Republican primary process.
[00:56:26.635 --> 00:56:29.778]  She didn't want to run as an independent again, as she had in the past.
[00:56:30.478 --> 00:56:40.406]  So she helped facilitate the change in Alaska's election laws to do something called ranked choice voting, or sometimes called an instant runoff.
[00:56:41.303 --> 00:56:52.432]  The idea of an instant runoff is that the election should come down to just the top two candidates, but that you should have a choice of other candidates prior to that.
[00:56:52.973 --> 00:57:02.921]  And so with ranked choice voting, you go into the election booth and you get basically as many votes as you have candidates, but you have to rank those votes.
[00:57:03.501 --> 00:57:09.106]  So your first favorite, your number one favorite, you put a one by, or depends on the jurisdiction, but this is the principle.
[00:57:09.865 --> 00:57:13.769]  Uh, number two by your second favorite, third by your third favorite, so on and so forth.
[00:57:14.830 --> 00:57:30.705]  Uh, as the ballots happen, once somebody's not in the top two, they're, like, let's say somebody was somebody's number one choice, but they finished third, then their voter's number two choice gets cast instead if it was for one of the other two leading candidates.
[00:57:31.337 --> 00:57:39.904]  And that keeps going on and on and on throughout the process, creating a little bit of mathematical complexity, but nothing too difficult for ordinary voters to understand.
[00:57:40.545 --> 00:57:46.049]  However, a lot of institutional Republicans oppose the idea of ranked choice voting in general.
[00:57:46.729 --> 00:57:57.138]  Now, I can tell you in theory, ranked choice voting actually can help reformers and outsiders because it allows people to get to vote for who they actually like as their favorite candidate.
[00:57:57.805 --> 00:57:59.046]  Without wasting the vote.
[00:57:59.526 --> 00:58:04.828]  Because if their favorite candidate isn't in the top two, they get to then vote for their second favorite candidate.
[00:58:05.148 --> 00:58:07.490]  They don't have to always vote for the lesser of two evils.
[00:58:07.930 --> 00:58:10.471]  So it was not too difficult a process.
[00:58:10.931 --> 00:58:14.393]  However, the institutional Republican Party doesn't like that.
[00:58:15.073 --> 00:58:19.555]  They want ranked choice voting for Lisa Murkowski, but they don't want it for everybody else.
[00:58:20.156 --> 00:58:27.479]  And so what they did is they encouraged local Republicans to not be well educated on how to simply execute a ranked choice ballot.
[00:58:28.027 --> 00:58:53.031]  Now, Sarah Palin didn't help herself by having a bunch of Washington insiders run her campaign, and consequently, and a bunch of institutional political class types run her campaign, ran a lousy campaign, but what happened is even though 60% of people in Alaska voted for Republicans, many of those 60% didn't have a second favorite after Sarah Palin, and consequently, Palin didn't get those second ballots of other Republican candidates, and that's the only reason she lost.
[00:58:53.491 --> 00:58:57.192]  So, it was simply Republican miseducation on ranked choice voting.
[00:58:57.532 --> 00:59:00.273]  It has nothing to do with the fundamental election dynamics.
[00:59:00.693 --> 00:59:05.434]  When we come back, we'll talk about what threats the Deep State may face, and they may pose to us.
[00:59:09.675 --> 00:59:11.055]  Welcome back to the Alex Jones Show.
[00:59:11.095 --> 00:59:13.216]  This is Robert Barnes, guest hosting.
[00:59:13.236 --> 00:59:21.298]  We're going to be discussing what the Deep State's strategy was, what it is, and what it might be coming up a little bit later in the bottom half of the hour.
[00:59:22.185 --> 00:59:26.146]  But first, let's talk about the verdict is in on COVID.
[00:59:26.886 --> 00:59:34.848]  When many of us were challenging and questioning and contesting the institutional narrative all the way back in March of 2020, we were often alone.
