[00:00:00.333 --> 00:00:01.674]  So it's all official.
[00:49:15.460 --> 00:49:17.202]  They own and control the corporations.
[00:49:17.222 --> 00:49:20.704]  They've long since bought and paid for the Senate, the Congress, the state houses, the city halls.
[00:49:20.724 --> 00:49:22.305]  They got the judges in their back pockets.
[00:49:22.625 --> 00:49:27.468]  And they own all the big media companies, so they control just about all of the news and information you get to hear.
[00:49:27.629 --> 00:49:29.290]  They got you by the balls.
[00:49:30.752 --> 00:49:32.793]  They want obedient workers.
[00:49:33.234 --> 00:49:34.775]  Obedient workers.
[00:49:35.115 --> 00:49:47.803]  People who are just smart enough to run the machines and do the paperwork, and just dumb enough to passively accept jobs with the lower pay, the longer hours, the reduced benefits, the end of overtime, and the vanishing pension that disappears the minute you go to collect it.
[00:49:47.864 --> 00:49:54.188]  And now, they're coming for your social security money, so they can give it to their criminal friends on Wall Street.
[00:49:55.643 --> 00:49:58.323]  It's a big club, and you ain't in it.
[00:49:58.604 --> 00:50:03.924]  You said recently, quote, when you give, they do whatever the hell you want them to do.
[00:50:04.245 --> 00:50:05.145]  You better believe it.
[00:50:05.245 --> 00:50:07.145]  So what specifically did they do?
[00:50:07.565 --> 00:50:12.726]  If I ask them, if I need them, you know, most of the people on this stage, I've given to, just so you understand.
[00:50:12.946 --> 00:50:13.566]  A lot of money.
[00:50:14.166 --> 00:50:16.947]  You and I are not in the big club.
[00:50:17.227 --> 00:50:19.187]  The owners of this country know the truth.
[00:50:19.807 --> 00:50:23.508]  It's called the American dream, because you have to be asleep to believe it.
[00:50:25.009 --> 00:50:26.391]  But I'll tell you what they don't want.
[00:50:26.812 --> 00:50:30.298]  They don't want a population of citizens capable of critical thinking.
[00:50:30.318 --> 00:50:34.245]  They don't want well-informed, well-educated people capable of critical thinking.
[00:50:34.285 --> 00:50:35.647]  They're not interested in that.
[00:50:35.687 --> 00:50:36.448]  That doesn't help them.
[00:50:36.829 --> 00:50:38.191]  That's against their interest.
[00:50:39.975 --> 00:50:46.918]  All right, we are in the aftermath of the bioweapon attack the Globalists created at the Wuhan lab and released, and their deadly injections.
[00:50:47.478 --> 00:50:52.560]  Dr. Sherry Tenpenny, medical doctor, has been a real trailblazer exposing all of that.
[00:50:52.620 --> 00:50:55.382]  She'll be joining us in the third hour today.
[00:50:56.442 --> 00:51:01.144]  But I want to give the number out specifically on a topic for listeners.
[00:51:01.224 --> 00:51:11.611]   Now, most of the time I say it's a free-for-all, whatever topic you want, but every 10 or so times I open the phones up, I say, hey, I've got a topic I want to discuss.
[00:51:12.471 --> 00:51:29.181]  I would like you to call in on this topic, this topic only, and it's what do you think of China and India and a bunch of other countries moving to the ruble to buy fuel and building their own digital banking system that they'd already basically set up in China?
[00:51:30.054 --> 00:51:36.177]  And our leaders knew that would take America's greatest ace in the hole, the dollar.
[00:51:36.517 --> 00:51:38.858]  Nothing's even a close second or close hundredth.
[00:51:39.558 --> 00:51:43.580]  Our military is trumped by this.
[00:51:44.280 --> 00:51:53.944]  If the world reserve currency is no longer the dollar and this new global digital basket of currencies at the IMF and World Bank and BlackRock and Larry Fink have won it.
[00:51:54.804 --> 00:51:56.165]  I mean, this is their wish list.
[00:51:56.645 --> 00:52:05.831]   I watch C-SPAN and Davos meetings for decades about their plan, and I've seen them talk about it thousands of times.
[00:52:05.871 --> 00:52:08.633]  I've got articles with videos of them saying it this week.
[00:52:10.134 --> 00:52:12.616]  They are positioning us for total collapse.
[00:52:12.636 --> 00:52:29.780]   They're shutting off our infrastructure, imploding our borders, pumping up the welfare system, devaluing the dollar, doing everything they can to get the world to dump the dollar, and getting Biden in there and Kamala, who they know have zero Appeal with people.
[00:52:32.381 --> 00:52:34.282]  To be emblematic of the end of the country.
[00:52:34.322 --> 00:52:37.104]  So I don't say this to be negative.
[00:52:37.144 --> 00:52:40.366]  It's like telling your three-year-old, don't go out the street, you can get run over and killed.
[00:52:40.386 --> 00:52:44.129]  And I remember when I was about three, I kept doing it.
[00:52:44.189 --> 00:52:46.310]  One time my dad was driving down the street, he goes, hey, let's pull over right here.
[00:52:47.451 --> 00:52:53.155]  He pulled over, there was this dead orange and white cat, looked like Garfield, blood coming out of his nose, all been run over.
[00:52:53.175 --> 00:52:56.477]  The night before down the street, kids were drag racing, my dad said.
[00:52:58.322 --> 00:53:01.263]  And that cat was all rigor mortis with blood coming out of its nose.
[00:53:01.683 --> 00:53:05.744]  And my dad said, that's what you'll be like if you keep going out in the street.
[00:53:05.765 --> 00:53:07.145]  Because I'd climb out a window.
[00:53:07.205 --> 00:53:13.667]  My mom would like me cleaning or doing something and I'd just, she'd lock the doors because I'd, you know, run out the backyard and just be gone.
[00:53:14.487 --> 00:53:17.809]  And we lived in an area of Dallas that, you know, wasn't super nice, but wasn't super bad.
[00:53:17.829 --> 00:53:21.170]  But it was still, I mean, I was just out of control like a raccoon or something myself.
[00:53:21.930 --> 00:53:24.791]  And I'd open a window up and go outside.
[00:53:26.018 --> 00:53:26.638]  Had to be watched.
[00:53:26.979 --> 00:53:28.399]  I'd climb on neighbor's roofs.
[00:53:28.479 --> 00:53:29.680]  I'd climb up their vans.
[00:53:29.800 --> 00:53:31.161]  I mean, I was a little animal.
[00:53:32.501 --> 00:53:33.962]  And my dad spanked me and stuff.
[00:53:33.982 --> 00:53:34.462]  It didn't work.
[00:53:34.523 --> 00:53:38.785]  So he went and showed me that raccoon or that dead cat.
[00:53:38.985 --> 00:53:42.727]  He also showed me a dead raccoon once and said, you've got to stop.
[00:53:43.747 --> 00:53:44.608]  You'll be run over.
[00:53:44.528 --> 00:53:51.528]  you will be smashed, flattered, and a pancake.
[00:53:51.528 --> 00:53:55.528]   And I remember that like it was yesterday, and I was like two and a half, three years old.
[00:53:55.465 --> 00:54:00.411]  And then I still snuck out again, and there was this old guy that actually owned the house my parents were renting that lived on the street.
[00:54:00.431 --> 00:54:02.613]  He owned like half the houses, named Mr. Bruner.
[00:54:03.840 --> 00:54:05.941]  I don't know why I'm telling you these stories.
[00:54:05.760 --> 00:54:07.260]  gesturing his overalls.
[00:54:07.260 --> 00:54:09.179]  He's always giving me candy and stuff.
[00:54:09.179 --> 00:54:10.360]  He goes, "Get over here, Alex."
[00:54:10.360 --> 00:54:11.940]  He goes, "Let me show you this."
[00:54:11.940 --> 00:54:13.360]  It was a grease spot on the ground.
[00:54:13.360 --> 00:54:14.661]  He goes, "You see that?
[00:54:14.661 --> 00:54:18.661]   "That's a little boy went out in the street "and smashed his like a dead little booger.
[00:54:18.661 --> 00:54:20.920]  "So promise me you're not gonna go back in that street."
[00:54:20.920 --> 00:54:23.420]  And listen, I don't know why I'm telling you these stories.
[00:54:23.420 --> 00:54:29.599]   The point is, I'm telling you this because I'm not trying to be negative
[00:54:29.599 --> 00:54:31.260]  or scare you for no reason.
[00:54:31.390 --> 00:54:33.671]  This is real, ladies and gentlemen.
[00:54:36.753 --> 00:54:37.773]  This is horrible.
[00:54:38.433 --> 00:54:39.354]  This is wrong.
[00:54:39.834 --> 00:54:52.140]  And all the dumb bureaucrats on TV, and the politicians, and the judges, and the idiot lawyers, and all of them don't understand, the music's stopping, the musical chairs are over, and we're the one left without a seat.
[00:54:52.701 --> 00:54:54.862]  We have been royally screwed.
[00:54:57.842 --> 00:55:10.186]  And then you learn about what's going to happen with the social engineering during this long protracted depression where we're taught the new way and we build back better by collapsing what we were.
[00:55:12.547 --> 00:55:15.488]  So let's put the show headline up on screen for people when I'm a certain one of these headlines.
[00:55:16.568 --> 00:55:17.749]  But I really want to give the number out.
[00:55:17.809 --> 00:55:40.861]   I want to take your calls on this topic specifically because if there's a big enough uproar, And if there's a big enough awakening, and if there was enough courage in Congress, and by governors, and by legislatures, and if Trump could figure this out, or if DeSantis could figure it out, then there might be some hope.
[00:55:40.901 --> 00:55:47.966]  These politicians, even if they're good people, they all look at it one-dimensionally about, okay, is it a policy that's good for America?
[00:55:48.706 --> 00:55:50.208]  And will it make me look good?
[00:55:50.368 --> 00:55:51.488]  Even the good ones are like that.
[00:55:52.089 --> 00:55:54.831]  The bad ones are like, who's paying me, and what makes me look good in the media?
[00:55:56.274 --> 00:56:02.335]  But for a Trump or a DeSantis or anybody, yeah, sanctions on Russia, yeah, war, makes them sound good.
[00:56:03.276 --> 00:56:06.937]  But the globalists did something and made a deal with Putin to invade, you know that.
[00:56:08.357 --> 00:56:20.600]  To get America to go against its own interests and do these sanctions, which would put Russia already in a dominant position energy-wise, into the main position of power.
[00:56:20.940 --> 00:56:29.046]   How do you get a Trump or a DeSantis or a Senator Paul or Cruz To come out and say that, they're not going to do it.
[00:56:30.307 --> 00:56:32.668]  They don't believe the people are sophisticated enough to know this.
[00:56:33.109 --> 00:56:40.653]  And I'll guarantee you that DeSantis, and I'll guarantee you that Senator Cruz and Senator Paul are all as smart as I am.
[00:56:41.133 --> 00:56:41.933]  They all know this.
[00:56:42.694 --> 00:56:43.554]  Trump, probably not.
[00:56:44.195 --> 00:56:47.156]  He's not dumb, he's just in his own world.
[00:56:47.396 --> 00:56:50.798]  So, this is really bad.
[00:56:53.099 --> 00:57:06.712]   And all I'm saying is, We should instantly slam on the brakes and say, instead of all this posturing, oh we'll show you Putin, we'll stop buying your fuel and your gas, yeah.
[00:57:07.072 --> 00:57:11.778]  And then he just gets the whole world, other than a few European countries and us, to switch away.
[00:57:13.618 --> 00:57:17.543]  And a lot of folks will say, well screw the dollar and screw this and we're sick of the American empire.
[00:57:17.864 --> 00:57:26.996]  Do you understand that the globalists that have been running the American empire and sucking us dry to do this and de-industrializing us, they are the ones that are doing this.
[00:57:27.056 --> 00:57:28.198]  This is what they want.
[00:57:30.256 --> 00:57:32.737]  It isn't about are the Russians right or the Ukrainians right.
[00:57:32.757 --> 00:57:36.779]  It isn't about how many Ukrainian flags you put on your Twitter or how many Russian flags.
[00:57:36.839 --> 00:57:57.008]  It's about pulling back to the 35,000 foot view and going, oh my gosh, they're using this to move people off the dollar onto this new digital global index, a basket of currencies that the globalists can manipulate and control and screw everybody around the world because now the world reserve currency will be controlled by the central banks.
[00:57:57.648 --> 00:58:02.589]  Completely, and there won't be any input from America, or Congress, or anybody else.
[00:58:04.310 --> 00:58:06.790]  So the morons in Congress just get paid off.
[00:58:06.870 --> 00:58:09.611]  They're not even smart enough to figure this out, or want real power.
[00:58:10.011 --> 00:58:17.313]  Because they could parlay this right now, a Ted Cruz, or a Senator Paul, or a Josh Hawley, or any of these people.
[00:58:18.271 --> 00:58:18.952]  But are they doing it?
[00:58:19.553 --> 00:58:23.258]  Because it's in the Economist and it's in the Financial Times and it's all known.
[00:58:23.478 --> 00:58:24.480]  It's not even debatable.
[00:58:24.820 --> 00:58:27.544]  What I'm telling you is like known policy globally.
[00:58:30.949 --> 00:58:39.200]   So yeah, when Biden says it's the end of the New World Order, And that Russia and China have set up a New World Order, but America needs to lead the New World Order.
[00:58:39.800 --> 00:58:41.680]  He's actually being honest in his Alzheimer's.
[00:58:42.060 --> 00:58:49.682]  He's saying we, the former people that ran America, have screwed over, we're handing the baton to China and Russia for the New World Order.
[00:58:49.722 --> 00:58:57.824]  He's actually up there wheeling around all crazy, CFR member with Richard and Haas, who admitted this was the plan all along, and they're doing it!
[00:58:58.644 --> 00:59:08.010]  And instead we're debating about who's committing more war crimes in Ukraine when this whole thing is designed to destroy America dominance.
[00:59:10.692 --> 00:59:14.114]  And put the globalists completely in the catbird seat.
[00:59:15.489 --> 00:59:20.330]  So here's the toll-free number to join us, 877-789-ALEX, 877-789-2539.
[00:59:20.350 --> 00:59:22.411]  877-789-2539.
[00:59:23.251 --> 00:59:31.693]  And, first-time callers only, on the subject of the end of the dollar, we're very close.
[00:59:32.213 --> 00:59:33.394]  Do you want it to end?
[00:59:33.714 --> 00:59:34.594]  Are you concerned?
[00:59:34.634 --> 00:59:36.015]  Do you know what it's going to mean?
[00:59:36.395 --> 00:59:38.255]  The ramifications are just insane.
[00:59:38.275 --> 00:59:40.336]  I'm going to come back and talk about the ramifications.
[00:59:42.537 --> 00:59:43.398]  I got courage, okay?
[00:59:43.939 --> 00:59:44.800]  And I can deal with stuff.
[00:59:45.481 --> 00:59:49.065]  And I'm really shook up by this, because the globalists already released a deadly virus.
[00:59:49.405 --> 00:59:50.807]  They already gave out deadly shots.
[00:59:51.207 --> 00:59:55.552]  And now they're killing the main source of US power and parlaying it to China.
[00:59:56.033 --> 00:59:59.337]  And the average American has no idea what's about to hit him.
[00:59:59.557 --> 01:00:00.858]  You think high gas prices?
[01:00:01.078 --> 01:00:02.620]  You think devalued currency's bad?
[01:00:02.720 --> 01:00:10.767]  Ladies and gentlemen, we're going to remember $4, $5 a gallon gas as a wonderful thing, because there's not going to be gas in many areas.
[01:00:10.987 --> 01:00:11.568]  We'll be right back.
[01:00:13.069 --> 01:00:25.200]  So while Westerners argued about what a man and a woman was, the big banks cut off the energy, devalued the currencies, and accelerated the collapse of civilization.
[01:00:26.963 --> 01:00:44.372]  It was Winston Churchill, as World War II was really kicking off, and as British forces have been forced out of France at the Battle of Dunkirk, that he said, I have nothing to offer but blood, toil, and tears, and sweat.
[01:00:45.673 --> 01:00:48.474]  We have before us an ordeal, the most grievous kind.
[01:00:49.915 --> 01:00:53.457]  We have before us many, many long months of struggle and suffering.
[01:00:57.005 --> 01:01:08.318]  Then he went on to basically say, all of that is terrible, but I'm being honest with you because it's better to know what you're facing and deal with it and defeat it than the alternative that is far worse.
[01:01:09.480 --> 01:01:11.542]  And then he laid that out as well.
[01:01:13.084 --> 01:01:16.088]  So I'm not like the Q people that tell you a bunch of lies.
[01:01:17.810 --> 01:01:23.913]  I really like Michael Lindell, who I don't think was lying, but he was overly hopeful about Trump being reinstated, and everything's pie in the sky.
[01:01:23.933 --> 01:01:26.075]  And I told him, you know, a year ago, I said, you need to stop that.
[01:01:26.635 --> 01:01:27.435]  You're a good guy.
[01:01:27.515 --> 01:01:28.656]  The election was a fraud.
[01:01:28.676 --> 01:01:31.097]  We need to let folks know it's a long, hard fight.
[01:01:31.117 --> 01:01:32.318]  They're going to steal the next election.
[01:01:32.338 --> 01:01:34.399]  You need to make it about stopping the next theft.
[01:01:35.780 --> 01:01:41.803]  And he just, he's a great guy, but the energy and the attention he was getting to tell people what they wanted to hear was too much for him.
[01:01:42.504 --> 01:01:46.466]  You don't tune in here to get sugar-coated crap.
[01:01:47.551 --> 01:01:50.535]  You're going to get some of the best thinking on what's going down.
[01:01:51.856 --> 01:01:59.445]  And that's because I believe in you and I believe when you know what you're facing, you're going to take action in different ways and all of us collectively together.
[01:02:00.424 --> 01:02:01.604]  Many hands make light work.
[01:02:01.624 --> 01:02:03.244]  We're going to not lay down to this.
[01:02:03.264 --> 01:02:18.787]  We're going to be aware of what's happening to us so we have the real narrative to counter their engineered collapse and their engineered virus that's supposed to bring in their new cashless society and their universal basic income that can only happen once they've collapsed things.
[01:02:19.047 --> 01:02:20.567]  They're writing books about it.
[01:02:20.828 --> 01:02:22.168]  They give speeches about it.
[01:02:22.448 --> 01:02:27.949]  I could play you hours of clips of Debo's group with Klaus Schwab and others saying, why do we need so many people?
[01:02:27.969 --> 01:02:28.909]  We need to get rid of people.
[01:02:29.529 --> 01:02:31.050]  This is an attack on you!
[01:02:31.370 --> 01:02:32.691]  This is modern warfare!
[01:02:33.911 --> 01:02:35.612]  War never looks like the last war.
[01:02:37.773 --> 01:02:42.015]  And this doesn't look like any war you see in movies, with aliens landing with laser beams.
[01:02:42.716 --> 01:02:43.636]  This is economic.
[01:02:43.696 --> 01:02:44.476]  This is cultural.
[01:02:44.496 --> 01:02:45.497]  This is biological.
[01:02:45.777 --> 01:02:49.539]  This is total, unrestricted warfare against you and your family.
[01:02:52.460 --> 01:02:53.801]  So let's just run through these headlines right now.
[01:02:54.961 --> 01:02:56.462]  Ruble at highest rate against the U.S.
[01:02:56.502 --> 01:02:57.863]  dollar ever.
[01:03:00.003 --> 01:03:06.529]  Indian refineries, despite Western threats, have now moved to buying oil in the ruble from the Russians.
[01:03:07.610 --> 01:03:11.774]  India now dropping the digital global SWIFT system they're using to sanction Russia.
[01:03:12.074 --> 01:03:15.457]  And so has China, launching their own new system a month ago.
[01:03:15.798 --> 01:03:16.839]  And now it's up and running.
[01:03:17.779 --> 01:03:18.840]  And the dollar is dropping.
[01:03:19.881 --> 01:03:20.422]  We're losing.
[01:03:21.843 --> 01:03:23.445]  And our own leaders did it by design.
[01:03:25.100 --> 01:03:25.440]  Look at this.
[01:03:25.560 --> 01:03:32.284]  Shutting Canadian pipelines will cost US consumers $23.7 billion a year in a big report.
[01:03:32.524 --> 01:03:33.585]  But of course, it's not enough.
[01:03:33.665 --> 01:03:43.710]  Biden's moving to break a treaty and shut down another pipeline.
[01:03:44.490 --> 01:03:45.191]  Is Putin doing that?
[01:03:45.591 --> 01:03:47.072]  Everything's being done to shut us down.
[01:03:49.312 --> 01:03:54.777]  Government minister tells Germans to cope with soaring energy costs by wearing warmer sweaters.
[01:03:57.459 --> 01:03:58.700]  Oil's entering a new world order.
[01:03:58.780 --> 01:04:00.661]  Here are the big winners and the losers.
[01:04:01.162 --> 01:04:01.582]  China.
[01:04:02.223 --> 01:04:02.823]  Blackrock.
[01:04:03.143 --> 01:04:03.984]  The big hedge funds.
[01:04:04.304 --> 01:04:04.825]  The banks.
[01:04:05.305 --> 01:04:05.706]  Russia.
[01:04:06.106 --> 01:04:06.486]  India.
[01:04:06.706 --> 01:04:07.287]  Who pays?
[01:04:07.507 --> 01:04:07.787]  Europe.
[01:04:07.887 --> 01:04:08.388]  America.
[01:04:08.528 --> 01:04:08.808]  England.
[01:04:09.309 --> 01:04:09.829]  Australia.
[01:04:10.369 --> 01:04:11.470]  But we're the target!
[01:04:11.651 --> 01:04:13.072]  And we keep not getting that!
[01:04:16.929 --> 01:04:18.530]  Oh, then the World Food Program is out.
[01:04:19.031 --> 01:04:22.794]  Oh, not just 40 million are going to starve to death like Exeter did in the last few years.
[01:04:23.134 --> 01:04:24.815]  Hundreds of millions are going to die, which is all true.
[01:04:25.176 --> 01:04:26.397]  They engineered the lockdown.
[01:04:26.657 --> 01:04:32.862]  They engineered it all, and now they need you to give them millions to feed people, which they're not going to feed people.
[01:04:32.922 --> 01:04:36.545]  So now we've got double the number, from 135 million on the verge of dying to 276 million.
[01:04:36.365 --> 01:04:38.764]  on the verge of dying to 276 million.
[01:04:38.764 --> 01:04:47.765]  And it goes on and on and on and on.
[01:04:47.765 --> 01:04:51.645]  Let's look at some more of what they're up to right here.
[01:04:51.645 --> 01:04:53.985]  (crunching)
[01:04:54.418 --> 01:05:00.948]  With $20 trillion between them, BlackRock and Vanguard, same people, could own almost everything by 2028.
[01:05:00.988 --> 01:05:01.449]  Financial Post.
[01:05:05.029 --> 01:05:23.801]  And it goes on to describe how they basically run the world, run China, run America, run everything, and then they run all the leftist engineering, and they run at BlackRock the program, demanding decarbonization in Europe, the UK, and the US and Canada, Australia, New Zealand, but nowhere else.
[01:05:26.636 --> 01:05:31.820]  Can't use dollars anymore, and you gotta move to China or India, but they're allowed to have all the cold-flower plants they want.
[01:05:32.560 --> 01:05:33.181]  It's real simple.
[01:05:33.221 --> 01:05:39.185]  They're turning our lights off and turning their lights on, while the news tells you they're at war with Putin.
[01:05:41.247 --> 01:05:44.870]  And even mainline conservatives are like, yeah, sock it to them, Putin!
[01:05:45.350 --> 01:05:48.793]  Show Biden what an idiot he is, and it's all at the higher-level stage.
[01:05:50.914 --> 01:05:52.896]  And Putin knows that, and so does Xi Jinping.
[01:05:54.257 --> 01:05:55.798]  So it's just levels of idiocy.
[01:05:57.622 --> 01:06:06.026]  And you go to Twitter, Instagram, thousands of tweets an hour, arrest Alex Jones, he's a Russian agent, kill him, shoot him, murder him.
[01:06:07.407 --> 01:06:12.749]  Meanwhile, I'm actually trying to stop the destruction of the US dollar and US power.
[01:06:17.232 --> 01:06:22.674]  But see, that's being informed, living in the real world, not these people prepared for destruction.
[01:06:23.234 --> 01:06:28.111]   So yeah, I guess That's what Satan does.
[01:06:28.131 --> 01:06:33.136]  He gets you dehumanized and dumbed down and moronic and evil before you get destroyed.
[01:06:36.099 --> 01:06:37.120]  That's how the universe works.
[01:06:37.140 --> 01:06:40.823]  So I guess we just deserve what's about to happen to us.
[01:06:42.285 --> 01:06:43.926]  Oh, look at this article, though, out of The Hill.
[01:06:44.507 --> 01:06:45.948]  BlackRock sponsored, of course.
[01:06:47.082 --> 01:06:49.964]  People over 60 account for a third of greenhouse gas emissions.
[01:06:50.424 --> 01:06:54.267]  We need to go ahead and euthanize them like Ezekiel Emanuel that wrote Obamacare said.
[01:06:54.627 --> 01:06:57.149]  They've got it all lined up and prepared, decades in the making.
[01:06:57.589 --> 01:06:58.810]  That just came out a few days ago.
[01:06:58.890 --> 01:07:00.231]  Isn't that sweet?
[01:07:02.493 --> 01:07:06.676]  Oh my God, to save the Earth, humans put off carbon that plants breathe.
[01:07:07.036 --> 01:07:07.997]  That's dangerous!
[01:07:08.497 --> 01:07:10.098]  Mammals are bad!
[01:07:10.118 --> 01:07:13.280]  Is this the Borg saying this?
[01:07:13.320 --> 01:07:14.041]  No, it's the Globalist.
[01:07:16.021 --> 01:07:18.522]  Oh, but Larry Fink, he's not going to be getting euthanized, though.
[01:07:21.382 --> 01:07:25.023]  Next, as soon as I tweeted this out, the oceans are rising rapidly.
[01:07:25.063 --> 01:07:32.545]  They said we'd be feet underwater by 2017, and we'll soon swallow up our coastal areas, but Barack Obama's at one foot level above sea level.
[01:07:33.586 --> 01:07:35.466]  So is Nancy Pelosi, and so is Bill Gates.
[01:07:36.587 --> 01:07:38.607]  No, they're doing just fine.
[01:07:39.027 --> 01:07:40.368]  But we're not doing just fine.
[01:07:40.748 --> 01:07:44.929]  You think when grain prices triple to all-time highs, that hurts Bill Gates?
[01:07:44.949 --> 01:07:44.989]  No.
[01:07:46.584 --> 01:07:50.607]  That starves the third world to death, then they collapse and they flood us, and the U.N.
[01:07:50.627 --> 01:07:54.949]  and Bill Gates then control that operation.
[01:07:56.871 --> 01:08:11.700]  The good news is Biden's approval rating falls a record low amid soaring inflation and high gas prices, but the bad news is people are rejecting the evil, but they believe it's Biden doing it when he's just a placeholder and a puppet.
[01:08:14.943 --> 01:08:19.325]  But the rich elites just say, let them eat cake.
[01:08:21.666 --> 01:08:28.949]  But of course, you're not a biologist, you can't say what a woman is, so you can't have any more tweets because you're not a tweeterologist, right?
[01:08:28.989 --> 01:08:33.191]  Or you can't even tell folks if it's raining because you're not a meteorologist.
[01:08:33.231 --> 01:08:37.753]  But here's BlackRock CEO Larry Fink says Russia-Ukraine war is upending world order.
[01:08:38.333 --> 01:08:39.793]  But when we say it, it doesn't exist.
[01:08:39.813 --> 01:08:47.231]   We're not allowed to because, well, the writers over at the New York Times Say so, and Bill Gates is announcing you'll never get beef again.
[01:08:47.251 --> 01:08:49.835]  It should be outlawed for the earth, but only here.
[01:08:50.296 --> 01:08:51.358]  Everywhere else, we'll have it.
[01:08:52.300 --> 01:08:53.842]  Boy, these are some sick people.
[01:08:54.735 --> 01:08:57.657]  We're talking about the purposeful collapse of the U.S.
[01:08:57.717 --> 01:09:03.862]  dollar by design, by the criminals that set up communist China, that run our government today.
[01:09:03.882 --> 01:09:05.823]  It is just an unprecedented moment.
[01:09:06.404 --> 01:09:08.045]  Can we get enough people talking about this?
[01:09:08.065 --> 01:09:10.727]  Because it took us a year to get people awake to the deadly vaccines.
[01:09:11.507 --> 01:09:12.668]  It takes us a long time.
[01:09:12.868 --> 01:09:18.973]  Once we get going, this audience, this show, we're really the tip of the spear when it comes to foiling their plans.
[01:09:19.013 --> 01:09:20.334]  But we don't have much time now.
[01:09:21.431 --> 01:09:27.533]  Because we told you they're going to move into war and economic disaster and the end of the dollar to bring in the new global currency.
[01:09:27.573 --> 01:09:28.633]  I told you that years ago.
[01:09:29.013 --> 01:09:38.056]  I said the next phase after COVID will be war and economic disaster and de-dollarization because that's next up on the agenda.
[01:09:39.237 --> 01:09:41.457]  Not going to waste your time playing clips of me saying it.
[01:09:41.717 --> 01:09:42.838]  Most of you heard me say it 50 times.
[01:09:46.172 --> 01:09:48.836]  But what comes next after this and I want to go to your calls first.
[01:09:49.877 --> 01:09:51.039]  It's just such a big topic.
[01:09:51.099 --> 01:09:56.847]  I should do like a three hour commercial free show or something just on what the end of the dollar is going to look like and what it's going to cause.
[01:09:59.631 --> 01:10:01.153]  It makes my head spin there so much.
[01:10:01.773 --> 01:10:02.595]  It's it's it's.
[01:10:05.069 --> 01:10:05.730]  It's unspeakable.
[01:10:06.170 --> 01:10:11.855]  I want to go to your phone calls, many of you that have been home the longest, Matt and Susan and others, here in just a moment.
[01:10:11.875 --> 01:10:13.716]  Let me just say this or we won't be on the air anymore.
[01:10:13.996 --> 01:10:15.358]  Plus, it's an amazing thing.
[01:10:15.438 --> 01:10:19.561]  It's a historic piece that I hope you take advantage of and get because there's only 10,000 of them.
[01:10:20.742 --> 01:10:26.987]  We're doing a three-part series at 1776coin.com.
[01:10:27.027 --> 01:10:29.449]  A three-part series.
[01:10:29.489 --> 01:10:33.773]  The first was George Washington slaying the dragon with the American Eagle on the back.
[01:10:35.535 --> 01:10:43.162]  And on the front of this is a skull, on the back is a Tree of Liberty, and it says, the Tree of Liberty must be refreshed with the blood of patriots and tyrants.
[01:10:43.783 --> 01:10:57.516]  It is the Liberty Tree coin put out and designed by yours truly in the year 2022, and it is key to founding new systems and new important operations that will be announced in the future.
[01:10:58.217 --> 01:11:03.200]   And those of you that are members, We'll be getting exclusive content information.
[01:11:03.240 --> 01:11:03.840]  I'll leave it at that.
[01:11:04.120 --> 01:11:05.741]  Unless there's a nuclear war and we get shut down.
[01:11:05.781 --> 01:11:07.502]  But you're betting on the future.
[01:11:07.522 --> 01:11:09.842]  You're supporting us and becoming a founding member.
[01:11:09.962 --> 01:11:11.423]  Only three founding member coins.
[01:11:12.483 --> 01:11:13.104]  And then that's it.
[01:11:13.784 --> 01:11:14.824]  This is very historic.
[01:11:15.705 --> 01:11:21.487]  And you'll be able to carry this in your pocket, be able to have this and know the critical time you fought for America and freedom in the world.
[01:11:21.947 --> 01:11:22.927]  It's an amazing coin.
[01:11:23.848 --> 01:11:25.348]  The other one sold out in 10 days.
[01:11:25.388 --> 01:11:26.008]  We held back 300.
[01:11:27.655 --> 01:11:32.695]   of the George Washington coins and those are about to sell out. We put those out for folks
[01:11:32.695 --> 01:11:39.735]   and then they're gone. So 300 of those and there are now 7,000 left. We sold 3,000
[01:11:39.735 --> 01:11:42.695]  of the Liberty Tree coin and that will keep us on the air.
[01:11:42.822 --> 01:11:43.662]  It's absolutely critical.
[01:11:44.522 --> 01:11:48.563]  But there's no coin like these, and I'm very, very proud of them, and it's just historic.
[01:11:48.603 --> 01:11:59.646]  So go to 1776coin.com or infowarrestore.com and get your 1776 Part II coin, Tree of Liberty, right now at infowarrestore.com.
[01:12:00.586 --> 01:12:04.309]  And then, of course, at InfoWareStore.com in general, all the great books, films, t-shirts.
[01:12:04.829 --> 01:12:12.755]  We have the emergency blowout sale going of up to 75% off on things like t-shirts that are great designs that I never promoted, so they never sold.
[01:12:12.775 --> 01:12:13.956]  There's a bunch of them.
[01:12:13.976 --> 01:12:15.297]  They're there, and it's not just t-shirts.
[01:12:15.738 --> 01:12:16.278]  It's a lot more.
[01:12:16.318 --> 01:12:21.522]  And I was even saying a few weeks ago, I can't do 50% off anymore on supplements because the supply chain's broke down.
[01:12:21.882 --> 01:12:22.723]  It costs more to get them.
[01:12:22.763 --> 01:12:23.644]  I'm not going to raise prices.
[01:12:24.244 --> 01:12:26.125]  So, 25% is about as good as we can do.
[01:12:26.145 --> 01:12:28.327]  A lot of our products are 25% off.
