[00:00:00.409 --> 00:00:01.650]  So I am in anguish.
[00:49:40.287 --> 00:49:43.769]  It relied upon the burden of proof, and it was pretty good.
[00:49:45.006 --> 00:49:47.126]  We are now into hour number two.
[00:49:47.146 --> 00:49:48.787]  I am your host Alex Jones.
[00:49:49.627 --> 00:49:58.129]  Let's go to some of the insane, purposeful, worldwide shutdown of economies to bring us to our knees.
[00:49:59.609 --> 00:50:16.264]   Here are some excerpts of Joe Biden saying in the last day that we are not in a recession despite the fact the exact definition of recession is two consecutive quarters With negative growth.
[00:50:18.105 --> 00:50:22.728]  And we are at negative growth for more than two quarters.
[00:50:23.409 --> 00:50:25.030]  Of course, this is far beyond a recession.
[00:50:25.050 --> 00:50:31.674]  This is an economic implosion, getting the workforce to give up, destroying small businesses and infrastructure for the Great Reset.
[00:50:32.275 --> 00:50:36.197]  But towards the end, in another clip, he admits this is a great transition we're in.
[00:50:36.738 --> 00:50:37.118]  Here it is.
[00:50:38.888 --> 00:50:51.073]  Both Chairman Powell and many of the significant banking personnel and economists say we're not in a recession.
[00:50:52.353 --> 00:50:54.014]  That doesn't sound like a recession to me.
[00:50:54.154 --> 00:50:54.834]  Thank you very much.
[00:50:57.489 --> 00:51:01.733]  How confident are you that we're not heading towards a recession?
[00:51:02.353 --> 00:51:12.223]  And how we transition from a historic economic recovery to a stable steady growth and lower inflation without letting go of all the historic gains we've made over the last 18 months.
[00:51:13.314 --> 00:51:28.478]  Right now, there are an enormous set of global headwinds, including a war in Europe and successive variants of the pandemic, but our economy remains resilient.
[00:51:29.738 --> 00:51:39.537]   So, they shut down the economy, they implode the third world, they starve 60-plus million people to death, they go, well, despite the virus we released, And our economic warfare against you.
[00:51:39.577 --> 00:51:40.499]  We're strong.
[00:51:40.880 --> 00:51:44.487]  So while they crush you, while they destroy you, they tell you it's not happening.
[00:51:44.848 --> 00:51:48.755]  Here's the so-called White House Press Secretary gaslighting folks further.
[00:51:50.725 --> 00:51:51.546]  The D.C.
[00:51:51.606 --> 00:51:59.629]  Mayor sent the White House a letter asking for National Guard help with migrants that have been bused here from Texas and Arizona.
[00:51:59.689 --> 00:52:02.370]  Is the President going to approve that request for the National Guard?
[00:52:02.550 --> 00:52:06.752]  So, to your question on the National Guard, I refer you to the Department of Defense.
[00:52:06.952 --> 00:52:09.153]  They will have that answer for you.
[00:52:09.493 --> 00:52:12.174]  We have been in regular touch with Mayor Bowser and her team.
[00:52:12.955 --> 00:52:18.557]  And I said this before, I said this last week about Republicans using migrants as a political tool.
[00:52:19.097 --> 00:52:23.079]  Okay, so let's just stop here, because I was going to get to this clip later.
[00:52:22.919 --> 00:52:25.758]  in place for managing migrants at the border.
[00:52:25.758 --> 00:52:28.699]  This is not it, what they're doing currently.
[00:52:28.699 --> 00:52:34.799]   That includes expelling migrants as required by court order under Title 42, transferring
[00:52:34.799 --> 00:52:42.118]   them to ICE custody, or placing them in the care of local NGOs as they await further processing
[00:52:42.118 --> 00:52:43.118]  against.
[00:52:43.118 --> 00:52:46.379]   Okay, so let's just stop here because I was going to get to this clip later.
[00:52:46.379 --> 00:52:51.798]   We played a different club, which is her gaslighting as well, saying the Republicans are flooding
[00:52:51.798 --> 00:52:56.439]   the border, the Republicans are bad, and the Democrat cities don't want Texas and Florida
[00:52:56.439 --> 00:52:58.678]  to bus the illegals to their cities.
[00:52:58.678 --> 00:53:07.278]   So that's more gaslighting, but the clip I wanted from her was the clip.
[00:53:07.325 --> 00:53:14.628]  Dealing with her also denying that we're in a recession, but we know they're all doing that so we don't really need to play the club for you.
[00:53:14.928 --> 00:53:19.690]  They're all saying that we are not in a recession, ladies and gentlemen.
[00:53:20.430 --> 00:53:25.472]  And the open borders are the Republicans' fault and they don't want people bused to their cities.
[00:53:25.812 --> 00:53:28.153]  They want them in your towns.
[00:53:33.123 --> 00:53:37.408]  And it just goes on and on and on from there.
[00:53:42.274 --> 00:53:49.002]  You know, I, just at this point, don't know how much more we can take.
[00:53:51.485 --> 00:53:53.485]  I mean this really is 1984.
[00:53:53.485 --> 00:54:00.923]  And...
[00:54:00.923 --> 00:54:04.525]  Where do these people think they're gonna live?
[00:54:04.212 --> 00:54:07.273]  How do they think they're going to be doing during the destruction of civilization?
[00:54:07.693 --> 00:54:10.194]  How do they think wrecking everything is going to make it better for them?
[00:54:10.294 --> 00:54:25.179]  But they have this, they have this instinct, they have this drive that if they can just dominate and hurt people, somehow that makes them more powerful.
[00:54:26.799 --> 00:54:31.401]  And for me, it's extremely sad and frustrating.
[00:54:35.987 --> 00:54:44.134]  But we're entering a period of total destruction and war and collapse by design.
[00:54:45.135 --> 00:54:51.882]  And I really feel sorry for the average person out there that still doesn't know what they've been hit by and just how intense this is going to get.
[00:54:51.902 --> 00:54:57.327]  I mean, really, that's what this comes down to.
[00:54:59.148 --> 00:55:05.679]   Think about The fact that we have Fauci and Burks and all of them on TV.
[00:55:05.699 --> 00:55:06.740]  We played the clubs many times.
[00:55:08.181 --> 00:55:08.881]  Should I play them again?
[00:55:08.901 --> 00:55:11.603]  Saying, oh, we knew the shot wouldn't work.
[00:55:13.084 --> 00:55:13.844]  Well, we knew that too.
[00:55:13.884 --> 00:55:14.325]  We told you.
[00:55:15.866 --> 00:55:17.127]  And then they censored everybody.
[00:55:19.488 --> 00:55:22.090]  So that information couldn't and wouldn't get out.
[00:55:23.551 --> 00:55:30.416]  And then now they say, but don't worry, we've got a new super shot that's going to fix all your problems as well.
[00:55:32.110 --> 00:55:36.833]  They are tightening the noose around our necks.
[00:55:36.873 --> 00:55:38.154]  Let's play clip 10.
[00:55:39.355 --> 00:55:44.178]  Here are two minutes of Democrats lying about inflation.
[00:55:45.019 --> 00:55:49.762]  I really doubt that we're going to see an inflationary cycle.
[00:55:49.782 --> 00:55:54.065]  Most economic analysts believe that it will have a temporary or transitory impact.
[00:55:54.145 --> 00:55:57.587]  A faster than expected increase in some of those prices is actually a good sign.
[00:55:57.767 --> 00:56:01.210]  Overwhelming consensus is going to pop up a little bit and then go back down.
[00:56:02.070 --> 00:56:05.393]  No one's talking about this great, great deal.
[00:56:05.673 --> 00:56:08.655]  This is something that will settle down.
[00:56:08.996 --> 00:56:09.576]  Transitory.
[00:56:09.976 --> 00:56:10.617]  Transitory.
[00:56:10.697 --> 00:56:17.462]  And the data shows that most of the price increases we've seen were expected and are expected to be temporary.
[00:56:17.542 --> 00:56:20.785]  There's nobody suggesting there's unchecked inflation on the way.
[00:56:20.845 --> 00:56:21.125]  It's on.
[00:56:21.305 --> 00:56:25.587]  It's highly unlikely that it's going to be long-term inflation that's going to get out of hand.
[00:56:25.768 --> 00:56:28.929]  I don't know anybody who's worried about inflation.
[00:56:29.170 --> 00:56:33.252]  Over the last couple of months, we actually saw it trended downward.
[00:56:33.292 --> 00:56:44.378]  President Biden's chief of staff, Ron Klain, enthusiastically retweeted an economist who had said, in part, most of the economic problems we're facing, inflation, supply chains, etc., are high-class problems.
[00:56:44.598 --> 00:56:49.881]  What is the Granholm plan to increase oil production in America?
[00:56:52.883 --> 00:56:53.884]  That is hilarious.
[00:56:54.064 --> 00:56:58.347]  Well, the number one thing that the president can do is help get COVID under control.
[00:56:59.187 --> 00:57:01.689]  That we know is the root cause of inflation.
[00:57:01.849 --> 00:57:07.772]  President Biden this afternoon saying he thinks we're at the peak of the crisis right now and that lower prices are on the way.
[00:57:07.792 --> 00:57:10.634]  The inflation has everything to do with the supply chain.
[00:57:11.054 --> 00:57:13.576]  Make no mistake, inflation is largely the fault of Putin.
[00:57:13.616 --> 00:57:16.999]  I'm going to do everything I can to minimize Putin's price hike here at home.
[00:57:17.279 --> 00:57:24.184]  If you want to get rid of inflation, the only way to do it is to undo a lot of the Trump tax cuts.
[00:57:24.264 --> 00:57:26.626]  Ever since you've come into office, things are really looking up.
[00:57:27.166 --> 00:57:29.408]  You know, gas is up, rent is up, food is up.
[00:57:30.509 --> 00:57:30.909]  Everything.
[00:57:34.612 --> 00:57:39.876]  The mayor of New York says they are in a complete and total collapse.
[00:57:41.536 --> 00:57:42.957]  The video's on Infowars.com.
[00:57:43.498 --> 00:57:44.619]  Wall Street's collapsing.
[00:57:44.639 --> 00:57:52.205]  New York City Mayor says, quote, we're in a financial crisis like you can never imagine.
[00:57:52.245 --> 00:57:53.366]  Wall Street is collapsing.
[00:57:53.826 --> 00:57:54.727]  We're in a recession.
[00:57:55.427 --> 00:58:03.193]  Adam said New York event hosted by nonprofit project Hospitality is cited by the news outlets.
[00:58:03.714 --> 00:58:06.236]  And it goes through what he had to say about that.
[00:58:06.716 --> 00:58:09.839]  So they can't even get their propaganda straight.
[00:58:11.018 --> 00:58:19.340]  And the reason they want shows like this one off is they don't want us to show you clips of them a few years ago versus now, or even a month ago versus now.
[00:58:19.760 --> 00:58:23.682]  Here's one of Deborah Birx, again, who now admits the vaccine doesn't work.
[00:58:24.842 --> 00:58:26.602]  And it was all a fraud and they knew it didn't work.
[00:58:27.122 --> 00:58:29.023]  Wow, that's the mission of criminal fraud.
[00:58:29.283 --> 00:58:30.643]  They've made hundreds of billions of dollars.
[00:58:30.944 --> 00:58:32.204]  They poisoned a bunch of people.
[00:58:32.804 --> 00:58:34.244]  And now they've got more shots coming out.
[00:58:34.605 --> 00:58:36.065]  We'll play this clip and come back from break.
[00:58:36.701 --> 00:58:42.725]  To truly achieve herd immunity is going to take through the summer and potentially even into the fall.
[00:58:43.105 --> 00:58:47.248]  That's getting, you know, 80, 70, 80% of Americans immunized.
[00:58:47.428 --> 00:58:50.410]  I knew these vaccines were not going to protect against infection.
[00:58:50.450 --> 00:58:58.776]  And I think we overplayed the vaccines and it made people then worry that it's not going to protect against severe disease and hospitalization.
[00:58:58.916 --> 00:59:00.837]  It will, but let's be very clear.
[00:59:00.857 --> 00:59:06.301]  50% of the people who died from the Omicron surge were older, vaccinated.
[00:59:08.422 --> 00:59:13.767]  Ladies and gentlemen, we are back live broadcasting worldwide on this Friday edition.
[00:59:15.548 --> 00:59:20.952]  And I'm just here looking at the news and watching what's unfolding and it's just totally insane.
[00:59:21.413 --> 00:59:23.895]  They declared a worldwide UN emergency.
[00:59:24.435 --> 00:59:32.582]  They're talking about new lockdowns for monkeypox that they admit have not killed one person and is 99% in homosexual men.
[00:59:37.028 --> 00:59:40.469]  So that's the backdrop of what we've got going on here.
[00:59:42.029 --> 00:59:54.211]  And we've got mad scientists in government and corporate labs all over the world in an insane race to find new technologies that are all extremely dangerous.
[00:59:55.051 --> 01:00:01.912]  So everybody knows the parable, the legend of Atlantis, whether it's real or not, is up for debate.
[01:00:01.992 --> 01:00:04.833]  But we've built the new Atlantis, and I've talked about this a lot.
[01:00:07.048 --> 01:00:16.877]  And because people aren't governing themselves and aren't thinking about what they're doing because they've lost their morals or never had them, they're just doing every horrible thing you can imagine.
[01:00:17.257 --> 01:00:31.810]  Creating new microbes that aren't even made of plants or animals or insects that are just completely generated by computers that could easily get out and spread and take over the planet like the Andromeda strain.
[01:00:32.864 --> 01:00:40.569]  And then what I mentioned earlier in the first hour, yes, scientists turned dead spiders into gripping claws.
[01:00:42.010 --> 01:00:49.054]  Scientists have repurposed dead spiders into a device capable of picking up and moving small objects.
[01:00:49.874 --> 01:00:59.260]  It is heralded as the first step in neurobotics, or necrobotics, or the combination of a corpse and robotics.
[01:01:01.521 --> 01:01:11.033]   It all began When members of the Daniel Preston Medical Engineering Lab in Rice University, that's Texas, came across a dead spider.
[01:01:11.693 --> 01:01:14.194]  They wondered why the legs are always curled up.
[01:01:14.714 --> 01:01:28.997]  When the students learned the mechanism involved in the system, a way to manipulate it in a lab setting, apparently these are the kinds of fun hijinks medical engineers get up to when they should be cleaning the lab.
[01:01:29.338 --> 01:01:30.698]  They just make a big joke about it.
[01:01:33.871 --> 01:01:36.912]  But imagine what's really going on.
[01:01:39.392 --> 01:01:46.494]  And imagine what this nanotech in these shots are doing to humanity.
[01:01:46.314 --> 01:01:55.314]   I want to play a short clip from CBS News where they talk about the necrobots, the zombie
[01:01:55.314 --> 01:01:59.314]  cyborg robot spiders.
[01:01:59.314 --> 01:02:26.314]  [Music]
[01:02:26.233 --> 01:02:32.160]   A hundred times It's white.
[01:02:32.160 --> 01:02:40.679]   And when you see what scientists are doing, they're doing this to humans.
[01:02:40.730 --> 01:02:45.916]  They're treating us like we're nothing more than lab rats.
[01:02:46.777 --> 01:02:47.538]  Now getting back.
[01:02:49.232 --> 01:02:50.373]  To Monkeypox.
[01:02:51.434 --> 01:02:54.956]  If you don't have some fun with this, you're gonna go crazy.
[01:02:55.016 --> 01:02:55.637]  I know I am.
[01:02:56.197 --> 01:02:57.538]  So we should have some fun with it.
[01:02:57.878 --> 01:02:59.319]  Tucker Carlson had a vote.
[01:02:59.819 --> 01:03:02.721]  They have a new name for Monkeypox.
[01:03:03.642 --> 01:03:04.603]  Where it's coming from.
[01:03:06.360 --> 01:03:07.261]  Now even though the U.N.
[01:03:07.301 --> 01:03:20.989]  said, I don't need to listen to them, it's true, 99% of the monkeypox cases around the world are homosexual men that are having multiple partners a day with hundreds of people every few months, and they're just absolutely giving each other every disease known to man.
[01:03:24.611 --> 01:03:28.193]  And so now Tucker Carlson has developed a new name for the monkeypox.
[01:03:32.967 --> 01:03:35.650]  So Monkeypox is about the coolest name ever for a disease.
[01:03:35.690 --> 01:03:37.032]  Can't come tonight, I got the monkey.
[01:03:37.753 --> 01:03:41.177]  But they are changing the name because racism or something.
[01:03:41.217 --> 01:03:42.599]  Well, for once, we don't know who they are.
[01:03:42.639 --> 01:03:43.500]  We're not going to allow it.
[01:03:43.620 --> 01:03:45.062]  We're going to change the name this time.
[01:03:45.082 --> 01:03:47.645]  We're going to do it with the public's help because democracy is real.
[01:03:47.665 --> 01:03:48.205]  So we had a vote.
[01:03:49.002 --> 01:03:50.123]  There was no ballot harvesting.
[01:03:50.584 --> 01:03:52.486]  You can trust our counting.
[01:03:52.806 --> 01:03:57.131]  And the new name for monkey pox is now officially, and we're declaring it, schlong COVID.
[01:03:57.831 --> 01:04:00.674]  That won our audience election with about 40% of the vote.
[01:04:00.694 --> 01:04:02.756]  So let Rochelle Walensky at the CDC know.
[01:04:03.157 --> 01:04:04.218]  Her number is 1-800-232-4636.
[01:04:04.959 --> 01:04:11.466]  Wait for the prompt on monkey pox and make your voice heard, because it's still a democracy.
[01:04:12.529 --> 01:04:14.830]  Now, we've taken shots at Eric Swalwell over the years.
[01:04:15.410 --> 01:04:17.091]  And to be fair, we want him to come on and respond.
[01:04:17.131 --> 01:04:17.811]  He will never come on.
[01:04:17.851 --> 01:04:18.551]  He's too busy.
[01:04:18.591 --> 01:04:19.111]  What's he doing?
[01:04:19.151 --> 01:04:19.711]  We don't know.
[01:04:19.771 --> 01:04:20.912]  But we just got this picture in.
[01:04:20.972 --> 01:04:22.432]  We think it's actually Eric Swalwell.
[01:04:22.452 --> 01:04:23.453]  We don't know who he's talking to.
[01:04:23.513 --> 01:04:23.893]  Fang-fang.
[01:04:23.973 --> 01:04:24.593]  We don't know.
[01:04:25.894 --> 01:04:26.654]  But he's clearly busy.
[01:04:27.154 --> 01:04:30.055]  So maybe that's why he's not accepting our offers to come on.
[01:04:29.875 --> 01:04:34.474]   But if he can break away and spend the time, he's always welcome on this show.
[01:04:34.474 --> 01:04:36.914]  Shlong COVID.
[01:04:36.914 --> 01:04:44.434]   Tucker Carlson, slandered over a homophobic name for new monkeypox.
[01:04:44.917 --> 01:04:45.617]  It's cruel!
[01:04:47.378 --> 01:04:52.901]  No, it's cruel to have hundreds of sexual partners unprotected and spread diseases.
[01:04:52.961 --> 01:04:56.382]  I don't care whether you're heterosexual or homosexual.
[01:04:56.983 --> 01:04:58.403]  That is the reality here.
[01:05:00.124 --> 01:05:02.906]  But we're certainly not following God's plan.
[01:05:04.466 --> 01:05:07.328]  That's the thing that's really clear here.
[01:05:09.111 --> 01:05:11.612]  And we're marching towards thermonuclear war.
[01:05:13.252 --> 01:05:15.492]  We're abandoning all the things that made us great.
[01:05:15.532 --> 01:05:24.354]  We are letting corrupt corporations control our governments and annihilate our free speech, our due process, our privacy.
[01:05:24.374 --> 01:05:27.195]  And they're just getting started.
[01:05:27.535 --> 01:05:35.496]  And I got to tell you, the Republican leadership is almost completely mum on all of this.
[01:05:35.536 --> 01:05:37.777]  They're not talking about the issues that are real.
[01:05:38.936 --> 01:05:42.260]  And the issues that energize the general public.
[01:05:43.341 --> 01:05:43.802]  And I get it.
[01:05:44.222 --> 01:05:46.024]  They've got into Congress, they want to keep their head down.
[01:05:46.405 --> 01:05:50.269]  You stick your head up too high, well you know what happened to Alex Jones.
[01:05:50.890 --> 01:05:53.993]  But if everybody cowers, we all get destroyed.
[01:05:54.654 --> 01:06:02.325]   So you can sit there and look at people that stick their heads up and Try to fix society and say, well, maybe I shouldn't do that.
[01:06:02.905 --> 01:06:04.066]  I'm just going to play it safe.
[01:06:04.126 --> 01:06:09.829]  But when everybody plays it safe, we have stagnation and collapse of civilization.
[01:06:10.349 --> 01:06:12.230]  But Trump is really starting to get it.
[01:06:12.270 --> 01:06:25.138]   If he'll just come out against the shots, like Bolsonaro did, and admit he was conned with what Birx and others have admitted, We can all get behind Trump again, but I like what he's doing.
[01:06:25.178 --> 01:06:30.281]  We'll talk about it when we come back on the other side of this Live Friday Worldwide Broadcast.
[01:06:30.941 --> 01:06:35.764]  And Robert Barnes is coming in to co-host with me in the third and fourth hour today.
[01:06:35.784 --> 01:06:38.066]  Infowars.com.
[01:06:39.466 --> 01:06:49.012]  Tomorrow's News Today and Bandot Video with not just our content, but hundreds of other band creators with incredible information at Bandot Video.
[01:06:49.292 --> 01:06:50.073]  Please share that link.
[01:06:54.161 --> 01:06:56.964]  There are, of course, those who do not want us to speak.
[01:06:57.064 --> 01:06:58.145]  Let me think, just let me think.
[01:06:58.165 --> 01:07:03.690]  I suspect even now, orders are being shouted into telephones and men with guns will still be on their way.
[01:07:03.731 --> 01:07:05.132]  It's Chancellor Sutler.
[01:07:05.192 --> 01:07:05.753]  Damn it!
[01:07:05.793 --> 01:07:06.293]  Why?
[01:07:06.834 --> 01:07:13.420]  Because while the truncheon may be used in lieu of conversation, words will always retain their power.
[01:07:13.460 --> 01:07:16.303]  Words offer the means to meaning and for those who will listen.
[01:07:19.190 --> 01:07:24.172]  The truth is, there is something terribly wrong with this country, isn't there?
[01:07:24.212 --> 01:07:25.172]  You decided, sir.
[01:07:25.232 --> 01:07:26.132]  You wanted it foolproof.
[01:07:26.152 --> 01:07:27.613]  You taught me every television in London!
[01:07:27.833 --> 01:07:31.334]  Cruelty and injustice, intolerance and oppression.
[01:07:31.734 --> 01:07:41.837]  And where once you had the freedom to object, think and speak as you saw fit, you now have censors and systems of surveillance coercing your conformity and selecting your submission.
[01:07:42.577 --> 01:07:43.978]  How did this happen?
[01:07:44.038 --> 01:07:44.778]  Who's to blame?
[01:07:45.739 --> 01:07:48.463]  Well, certainly there are those who are more responsible than others.
[01:07:48.803 --> 01:07:50.346]  They will be held accountable.
[01:07:50.366 --> 01:07:56.235]  But again, truth be told, if you're looking for the guilty, you need only look into a mirror.
[01:07:57.424 --> 01:07:59.205]  I know why you did it.
[01:07:59.405 --> 01:08:01.665]  I know you were afraid, cahooting me.
[01:08:02.146 --> 01:08:04.226]  War, terror, disease.
[01:08:04.847 --> 01:08:11.189]  There were a myriad of problems which conspired to corrupt your reason and rob you of your common sense.
[01:08:11.269 --> 01:08:17.611]  Fear got the best of you, and in your panic you turned to the now High Chancellor, Adam Sutler.
[01:08:17.471 --> 01:08:24.471]   He promised you order, he promised you peace, and all he demanded in return was your silent, obedient consent.
[01:08:24.471 --> 01:08:32.471]  There is a war.
[01:08:32.237 --> 01:08:33.278]  It's happening now.
[01:08:34.098 --> 01:08:35.899]  It will decide the fate of humanity.
[01:08:36.440 --> 01:08:38.341]  The time to choose sides has come.
[01:08:39.101 --> 01:08:40.582]  We are the resistance.
[01:08:40.783 --> 01:08:42.783]  We are the InfoWar.
[01:08:42.783 --> 01:08:48.783]  [Music]
[01:08:48.783 --> 01:08:54.783]   The biggest thing we can all do is recognize a bunch of fellow humans have joined the evil
[01:08:54.783 --> 01:08:59.783]   and decided to play God and try to take all our basic rights away and enslave us.
[01:09:00.056 --> 01:09:20.109]  An example is, I was reading the news during the break about the show trial here in Austin, the first of three, two in Austin, one in Connecticut, and they had their media expert, the former editor of the Austin American Statesman, a guy that hates me on, and when my lawyer got up to cross-examine, judge wouldn't even let him ask questions.
[01:09:21.721 --> 01:09:23.001]  And said, you can't get into this stuff.
[01:09:24.102 --> 01:09:26.223]  Oh, Jones isn't a journalist.
[01:09:26.663 --> 01:09:28.763]  Jones hurt people with things he said.
[01:09:29.063 --> 01:09:29.884]  Really, how'd he hurt them?
[01:09:30.224 --> 01:09:31.444]  Oh, you can't ask that question.
[01:09:32.165 --> 01:09:35.926]  Just like Steve Bannon's criminal trial that falsely convicted him in a D.C.
[01:09:35.946 --> 01:09:36.726]  jury two weeks ago.
[01:09:36.826 --> 01:09:39.427]  And this is the model for everybody.
[01:09:40.407 --> 01:09:44.909]  They are fully weaponizing the lawyers and the judiciary against the American people.
[01:09:46.829 --> 01:09:48.170]  But their whole system's coming down.
[01:09:49.608 --> 01:09:57.590]  And as long as we identify what they're doing, and as long as we expose what they're doing, they will never get away with their endgame.
[01:09:57.630 --> 01:10:10.774]  They will destroy themselves in the process, and all the numbers, and all the statistics, and all the polls, and the history, and common sense, absolutely 110% document that.
[01:10:13.174 --> 01:10:18.576]  But they're making their move against humanity in a big, big way right now.
[01:10:21.004 --> 01:10:24.445]  And this is just the process that we're going to have to go through.
[01:10:24.625 --> 01:10:25.345]  Here's an example.
[01:10:25.385 --> 01:10:27.106]  Again, this isn't about me, it's about all of us.
[01:10:27.126 --> 01:10:34.088]  I don't want to sit here and talk about myself, but this is Texas Monthly, and it says the free speech elephant in the Alex Jones courtroom.
[01:10:34.988 --> 01:10:37.528]  And it says everyone's asking, why doesn't he have free speech?
[01:10:37.929 --> 01:10:40.529]  Everyone's asking why he couldn't question something.
[01:10:40.569 --> 01:10:48.451]  Everybody's asking, well, Jones didn't show up for court during the lawsuit, and so he's defaulted, it says.
[01:10:48.792 --> 01:10:50.112]  But none of that's true either.
[01:10:51.308 --> 01:11:03.457]  They sit there in the court with all our emails, all our records, everything, more than anybody ever gave over in a defamation case, and they still default to this because they have to say I'm guilty and then tell a jury they decide how guilty.
[01:11:03.877 --> 01:11:07.319]  And then not let us talk, and not let us challenge anything.
[01:11:08.080 --> 01:11:09.401]  And keep all our exhibits out.
[01:11:10.529 --> 01:11:21.476]  She won't let exhibits in about how less than one-tenth of one percent of our coverage was Sandy Hook, and analytics we have showing we made no money off of it, obviously.
[01:11:21.956 --> 01:11:28.240]  We barely ever talked about it, and they went and dredged it up to demonize questioning anything.
[01:11:30.362 --> 01:11:38.167]  Just like they're demonizing you if you question a recession, or open borders, or if you say there's inflation, they tell you there isn't inflation.
[01:11:41.598 --> 01:11:44.641]  That's their answer to everything they're doing is a lie to us.
[01:11:44.681 --> 01:11:45.342]  Here's an example.
[01:11:47.344 --> 01:11:53.751]  Mother loses custody of daughter for refusing transgender status and saying she's a girl.
[01:11:55.392 --> 01:12:03.638]   A court decided a mother's custody of her daughter 2019 when she refused to validate her 12-year-old's claim that she was transgender.
[01:12:03.658 --> 01:12:09.223]  The daughter, Sophie, never returned after visiting her father after she claimed she felt unsafe being with her mother.
[01:12:09.744 --> 01:12:17.311]  Jeanette, a liberal feminist, is fighting to regain custody of her daughter without submitting the court's demand that she declare Sophie is now her son.
[01:12:17.331 --> 01:12:19.753]  They're gonna cut her breast off next.
[01:12:20.954 --> 01:12:21.474]  Mutilation.
[01:12:22.095 --> 01:12:27.351]   If you tried to go in to the doctor and say, I want My finger cut off, they put you in a mental institution.
[01:12:27.551 --> 01:12:32.293]  But if you want your breast, or your penis, or your testicles cut out, they're all for it.
[01:12:35.694 --> 01:12:37.735]  Well, you raise your daughter liberal and see what happens.
[01:12:40.816 --> 01:12:41.797]  She lives in Chicago.
[01:12:41.817 --> 01:12:43.817]  Poor lady, I'm so sorry for her.
[01:12:43.817 --> 01:12:50.817]  Just...
[01:12:50.817 --> 01:12:52.817]  Just unspeakable.
[01:12:52.817 --> 01:12:59.171]   *sniff* Sweden is moving to emancipate children so they can be sterilized under the new gender law.
[01:12:59.671 --> 01:13:12.702]  That's what this is, making being sterilized a new right, a new fashionable thing, and the schools you put your children in confuse them and convince them that they have a right to do this, and their real goal is sterilizing children at age three.
[01:13:13.483 --> 01:13:16.585]  They've been sterilizing children in some parts of the world at age seven.
[01:13:19.648 --> 01:13:20.789]  That's where we are in the year.
[01:13:24.259 --> 01:13:26.660]  2022.
[01:13:25.780 --> 01:13:26.660]  But there's good news.
[01:13:28.341 --> 01:13:33.423]  Trump, more and more, is getting hardcore against the New World Order to the next level.
[01:13:34.224 --> 01:13:34.664]  Video!
[01:13:34.704 --> 01:13:35.824]  Trump blasts sickos.
[01:13:35.844 --> 01:13:37.225]  In fact, I forgot to tell you to get this clip.
[01:13:37.245 --> 01:13:37.805]  Get the clip, please.
[01:13:38.666 --> 01:13:39.946]  Trump—oh, you have the clip.
[01:13:40.487 --> 01:13:44.588]  Trump blasts sickos pushing sexual content in kindergarten.
[01:13:45.229 --> 01:13:52.712]  A society that refuses to protect its children is a society that soon will not be able to protect anybody.
[01:13:54.684 --> 01:13:55.705]  We'll play that clip in a moment.
[01:13:56.385 --> 01:14:00.669]  And then now Trump comes out and says nobody's gotten to the bottom of 9-11.
[01:14:01.610 --> 01:14:02.451]  What a true statement.
[01:14:02.911 --> 01:14:08.035]  And two days after he was on multiple TV channels, he played the clips many times, saying there were bombs in the buildings.
[01:14:08.075 --> 01:14:09.176]  That's why I like Trump.
[01:14:09.797 --> 01:14:29.631]   So how can he see all that, but not see that even Birx, his top advisor, or number two advisor after Fauci, But top White House advisor says, oh, we knew it wouldn't work, but we told him he would.
[01:14:30.091 --> 01:14:34.754]  She just gave him the out like Bolsonaro has to say, I didn't know they lied to me.
[01:14:35.594 --> 01:14:40.697]  But again, by him going along with this, he signs himself up with it.
[01:14:41.297 --> 01:14:42.798]  He connects himself to it.
[01:14:44.039 --> 01:14:45.360]  And it's just bad, bad, bad.
[01:14:45.380 --> 01:14:51.043]  But the good news is, when he's at rallies, he says, I can't say the V word, but I still think it's good.
[01:14:51.103 --> 01:14:52.223]  And I'm proud of it.
[01:14:52.263 --> 01:14:52.964]  And people boo him.
[01:14:54.218 --> 01:15:04.046]  In the face, which almost makes him endearing, because in the face of his own constituents not liking what he's doing, he's pigheaded and still thinks he's the right thing.
[01:15:04.947 --> 01:15:11.292]  So it's an attribute, but it's also a big, big, giant negative to be dealing with this.
[01:15:12.613 --> 01:15:13.533]  We've got the Trump clip.
[01:15:13.553 --> 01:15:15.175]  We'll play it when we come back, and then I'm going to hit.
[01:15:16.398 --> 01:15:19.277]   There's a whole bunch of news breaking and I got to be honest with you.
[01:15:19.277 --> 01:15:24.877]   I'm just, I don't want to say I'm depressed because I know where this is all going, but
[01:15:24.877 --> 01:15:31.757]   I am dizzy that this is so dangerous and that we're so deep now into this and I know where
[01:15:31.757 --> 01:15:39.677]   it goes next and I am just here bracing for the near future crises, war, serious economic
[01:15:39.677 --> 01:15:48.077]   collapse, more power outages, food rationing, and oh, the answer is QR codes and rationing
[01:15:48.077 --> 01:15:53.837]   systems which have already been brought in in Australia, Europe, and so many other areas
[01:15:53.837 --> 01:15:54.837]  like Sri Lanka.
[01:15:55.630 --> 01:15:58.432]  So it's all coming up on the other side of this quick break.
[01:15:58.532 --> 01:16:00.313]  Infowars.com tomorrow's news today.
[01:16:00.713 --> 01:16:02.735]  We're going to come out of break and play the Trump clip.
