[00:00:00.289 --> 00:00:01.830]  End-of-the-world alert!
[00:37:22.916 --> 00:37:27.818]  And it's not on our news, because we have controlled news in this country.
[00:37:31.659 --> 00:37:44.083]  And you know, if Joe Rogan comes out, in a couple days, if I send this to him, or if he finds out about it, and tells tens of millions of people, they'll call him a Russian agent, just because he doesn't want to die, or start a war.
[00:37:46.227 --> 00:37:48.829]  And you'll be called a Russian agent, or I'll be called a Russian agent.
[00:37:48.909 --> 00:37:49.809]  It's ridiculous.
[00:37:49.849 --> 00:37:51.150]  How about an agent of sanity?
[00:37:55.512 --> 00:37:56.673]  Now here's a perfect example of that.
[00:37:56.893 --> 00:37:58.414]  You see how that's a whitewash headline?
[00:37:59.775 --> 00:38:01.115]  And at least the Daily Mail reported on it.
[00:38:03.257 --> 00:38:04.357]  Look at this Politico article.
[00:38:04.937 --> 00:38:10.801]  Capital Police examined background social media feeds of some who meet with lawmakers.
[00:38:11.501 --> 00:38:14.803]  You read the article, it says, yeah, they also get in plain clothes and spy on people.
[00:38:15.638 --> 00:38:24.585]  But now the documents are coming out being released by Congress and the investigation of the Inspector General, Inspector themselves, of the Capitol Police.
[00:38:25.545 --> 00:38:27.907]  And when you read what's in this, it's unbelievable.
[00:38:30.108 --> 00:38:47.641]   They went into members of Congress's offices at night, like the plumbers, like Nixon did, having G. Gordon Liddy and others break into the psychiatrist of the Democrat candidate to find out about him for dirt.
[00:38:48.021 --> 00:38:49.983]  Not right, not good, Nixon had to leave office.
[00:38:50.884 --> 00:39:03.515]  This is the Capitol Police breaking in people's offices, posing as Capitol Repair Officers, or Capitol Repair Technicians, and photographing and stealing material.
[00:39:06.432 --> 00:39:09.474]  And this is what they've gotten the university students to do.
[00:39:10.034 --> 00:39:11.715]  I mean, the left is recruited.
[00:39:11.755 --> 00:39:14.156]  You think Antifa is the only folks out breaking into things?
[00:39:14.416 --> 00:39:19.299]  The ADL got caught in the 80s breaking into police departments and stealing their files on people.
[00:39:19.899 --> 00:39:21.240]  And now they just run the police.
[00:39:23.261 --> 00:39:23.942]  So here we are.
[00:39:24.522 --> 00:39:33.847]  Congresswoman Troy Neils says the Capitol Police Intelligence Division investigated my office illegally and one of my staffers caught them in the act.
[00:39:35.914 --> 00:39:47.643]  On November 20th, 2021, Capitol Police entered my office without my knowledge and photographed confidential legislative products protected by speech and debate clause enshrined in the Constitution, Article 1, Section 6.
[00:39:49.485 --> 00:39:58.252]  Two days later, on Monday, November 22nd, Thanksgiving week, three intelligence officers attempted to enter my office while the House was in recess.
[00:39:59.048 --> 00:40:08.772]  Upon discovering a member of my staff, special agent dressed like construction workers began to question him as to his contents of a photograph taken illegally two days earlier.
[00:40:09.412 --> 00:40:10.813]  Yep, secret police, folks.
[00:40:11.393 --> 00:40:14.014]  With $2 billion of funding from Pelosi.
[00:40:14.254 --> 00:40:17.675]  You think they're going to give up power in 273 days?
[00:40:17.875 --> 00:40:18.075]  No.
[00:40:18.456 --> 00:40:19.096]  No, they're not.
[00:40:19.676 --> 00:40:20.096]  They're not.
[00:40:21.497 --> 00:40:24.538]  And we can't let them trick us into violent confrontations.
[00:40:26.411 --> 00:40:27.311]  Everybody hates them.
[00:40:27.652 --> 00:40:28.712]  Everybody knows they're evil.
[00:40:29.032 --> 00:40:30.753]  Everybody knows the government's run by pedophiles.
[00:40:30.793 --> 00:40:31.854]  The Democrats are satanic.
[00:40:32.394 --> 00:40:33.354]  Everybody knows it now.
[00:40:33.454 --> 00:40:34.075]  Basically everybody.
[00:40:34.275 --> 00:40:38.077]  There's a total collapse in confidence in these people.
[00:40:39.357 --> 00:40:41.938]  All they can do now is violence and war and depression.
[00:40:42.319 --> 00:40:45.340]  And so, we just let everybody know they're the ones behind that, too!
[00:40:47.081 --> 00:40:49.042]  And their own families will then turn against them.
[00:40:50.763 --> 00:40:51.563]  Their own society.
[00:40:51.583 --> 00:40:53.524]  They want to shun us, we're going to shun them, ladies and gentlemen.
[00:40:53.544 --> 00:40:55.545]  We're not going to give them the war they want, though.
[00:40:58.155 --> 00:41:01.478]  They know they're a power structure that has maybe 10% support.
[00:41:01.998 --> 00:41:03.039]  They know it's over for them.
[00:41:04.060 --> 00:41:06.682]  And all they've got left is to overturn it.
[00:41:06.982 --> 00:41:07.622]  But it gets better.
[00:41:07.943 --> 00:41:09.724]  You heard how they're setting up offices around the country?
[00:41:10.985 --> 00:41:21.184]   In the documents, even political reports on, they set up fake offices, fake construction
[00:41:21.184 --> 00:41:31.745]  workers, fake companies.
[00:41:31.745 --> 00:41:38.704]   Just days before the USCP officer entered the congressperson's office and took the picture
[00:41:38.704 --> 00:41:40.945]  of the whiteboard.
[00:41:40.836 --> 00:41:44.519]  He said his staff used to brainstorm and catalog legislative ideas.
[00:41:44.879 --> 00:41:55.666]  The Washington Post ran a story about a federal government contractor in rural Texas who defrauded the United States by supplying Chinese-made body armor instead of body armor manufactured in the United States.
[00:41:56.067 --> 00:42:06.174]  From his home in rural Texas, a would-be defense contractor spun a web of fake companies and testing reports to pass the Chinese-made body armor onto American equipment that met rigorous standards.
[00:42:09.315 --> 00:42:18.840]  The Washington Post wrote on November 2001, Tanner Jackson, 32, pled guilty Tuesday in Alexandria federal court to one of the wire fraud felony, punishable 20 years in prison.
[00:42:19.160 --> 00:42:27.644]  According to Nels, who previously served as the sheriff of Fort Bend County, Texas, his office white board specifically called out faulty Chinese body armor.
[00:42:27.704 --> 00:42:35.588]  In fact, the Washington Post article was a key catalyst spurring Nels to consider dropping legislation, banning the procurement of Chinese body armor.
[00:42:36.690 --> 00:42:39.672]  But why were the Capitol Police there wanting to know about that?
[00:42:39.712 --> 00:42:40.333]  Well, they go on.
[00:42:40.773 --> 00:42:44.316]  They found patterns of the Chinese-run Democrats.
[00:42:44.336 --> 00:42:51.141]  I mean, most of the top Democrats are Chinese, double-agent spies on record, wanting to try to stop any legislation that exposes the Chinese infiltration.
[00:42:51.621 --> 00:42:54.884]  So you see how this just gets worse and worse and worse?
[00:42:57.606 --> 00:43:02.149]  It also gets into all the other things that they basically stole and took.
[00:43:04.291 --> 00:43:05.852]  And it's just absolutely insane.
[00:43:07.637 --> 00:43:11.759]  And there's a lot more of this going on as they set these offices up around the country.
[00:43:12.119 --> 00:43:13.599]  Not just California, not just Florida.
[00:43:14.020 --> 00:43:15.320]  Georgia, Texas, you name it.
[00:43:15.800 --> 00:43:21.442]  And we had Marjorie Taylor Greene on last week and I talked to her a day after she sent us exclusive stuff.
[00:43:21.783 --> 00:43:33.227]  She said people break in, they break things, they threaten them, they attack their signage at their office in Georgia and the Capitol Police are in the building with her now in Georgia and they know who's doing it and do nothing.
[00:43:34.164 --> 00:43:35.805]  Well of course not, it's mostly peaceful.
[00:43:36.225 --> 00:43:41.828]  Hell, if somebody burned down our office, the Vice President might bail them out of jail.
[00:43:43.809 --> 00:43:45.930]  Because this is a communist takeover, folks.
[00:43:46.030 --> 00:43:59.357]  This is a classic Marxist-Leninist communist takeover, funded by big banks offshore, the same ones that toppled Russia, the same ones that toppled China, and put their own communist control system in to exploit the people, is now being set up here.
[00:43:59.737 --> 00:44:02.098]  We are just absolutely devastated right now.
[00:44:03.112 --> 00:44:06.334]  At least the FBI has come out and said, okay, well, there is a giant Chinese communist threat.
[00:44:06.354 --> 00:44:07.155]  They've infiltrated everything.
[00:44:07.395 --> 00:44:07.935]  Worst in U.S.
[00:44:07.955 --> 00:44:08.236]  history.
[00:44:08.276 --> 00:44:08.616]  Red alert.
[00:44:08.636 --> 00:44:08.996]  Red alert.
[00:44:09.416 --> 00:44:10.937]  And maybe that's why the Democrats are panicking.
[00:44:10.957 --> 00:44:12.538]  Maybe they think something is going to happen to them.
[00:44:12.779 --> 00:44:16.401]  But all I can tell you is, this country is totally infiltrated and overrun.
[00:44:16.421 --> 00:44:22.105]  What we need is a mass awakening to it, not a conflict where they manipulate us into a fight with each other.
[00:44:22.365 --> 00:44:23.566]  That is the last thing we want.
[00:44:24.426 --> 00:44:28.589]  We need to expose it with the light of truth and spotlight the cockroaches, like Ted Nugent says.
[00:44:28.609 --> 00:44:29.990]  I'm going to start the next hour.
[00:44:30.010 --> 00:44:31.091]  We've got so much coming up.
[00:44:32.563 --> 00:44:35.586]  Please remember that we got a bunch of sales that end today.
[00:44:35.726 --> 00:44:45.036]  I said last week to end the multivitamin and the zinc vitamin C deal because it was about to sell out, and I wanted to sell it at full price for a while to bring in money, but they never got rid of the sale.
[00:44:45.076 --> 00:44:47.158]  I'm not mad at them, but it is going to end today.
[00:44:48.300 --> 00:44:49.101]  It is going to end.
[00:44:49.121 --> 00:44:50.342]  That's 40% off on those.
[00:44:50.643 --> 00:44:52.445]  The new sale is X3 triiodine.
[00:44:52.465 --> 00:44:54.928]  Amazing for your body, your immune system, all your cells.
[00:44:55.348 --> 00:44:56.990]  Some of you will have iodine deficiency.
[00:44:57.010 --> 00:44:58.753]  This is the best type you're going to find.
[00:44:58.773 --> 00:45:00.375]  It's 50% off and it supports the broadcast.
[00:45:00.715 --> 00:45:02.377]  Infowarstore.com.
[00:45:02.537 --> 00:45:06.137]   But whatever you do, get prepared and get ready and get ready with God.
[00:45:06.137 --> 00:45:16.537]  Sold out for months, X3 is now back in stock.
[00:45:17.200 --> 00:45:21.282]  Ladies and gentlemen, just like our information is game-changing, our products are game-changing.
[00:45:21.382 --> 00:45:24.643]  And so many people are deficient in iodine.
[00:45:24.683 --> 00:45:25.943]  It's not the soil anymore.
[00:45:26.583 --> 00:45:28.124]  Most of it, the ocean, is contaminated.
[00:45:28.604 --> 00:45:39.047]  But when you get high-quality triiodine, all three of the healthy types together, it does amazing things for your stamina, your libido, but most importantly, your immune system.
[00:45:39.067 --> 00:45:48.855]   So, X3, the only tri-iodine on the market, highest grade, is now exclusively available again at 50% off at InfoWarshaw.com.
[00:45:49.296 --> 00:45:56.522]   If you've not experienced clean, pure iodine and what it does for your body, takes about two weeks to kick in on average, You really need to experience X3.
[00:45:56.542 --> 00:45:59.725]  Those of you that have tried it and used it, I know you're going to be reordering it.
[00:46:00.225 --> 00:46:05.209]  But particularly those that haven't ever tried the product, you need it because it's amazing what it does for your body.
[00:46:05.489 --> 00:46:09.772]  It's the good halogen, not the bad halogen, and it funds the Info War, a true 360 win.
[00:46:10.032 --> 00:46:11.994]  So again, X3, back in stock.
[00:46:12.755 --> 00:46:13.575]  50% off for a limited time.
[00:46:13.595 --> 00:46:22.402]  Alright, a former Special Forces officer and a great reporter and patriot we've had on many times over the years is in Ottawa and he's joining us in this segment.
[00:46:23.055 --> 00:46:34.183]  He's got police and military sources that they are preparing to basically attack, like Tiananmen Square 2.0, the peaceful demonstrators that are simply wanting their country to get out from under the lock of martial law.
[00:46:34.203 --> 00:46:41.688]  They're getting ready to turn the cell phones off, basically jam the communications, turn off the cell service, to be technical, not physically turn the phones off.
[00:46:42.369 --> 00:46:43.550]  That's coming up next segment.
[00:46:44.671 --> 00:46:52.646]   Then Ted Anderson, the owner of the GCN Radio Network, is going to give you the big inside scoop on plans to try to completely take us off the air.
[00:46:52.646 --> 00:46:57.567]   And it's time for me to start telling folks what's going on here, so I'm not crying wolf.
[00:46:57.567 --> 00:47:02.266]   But I wanted to take a few minutes out to talk about something that all of you can do
[00:47:02.266 --> 00:47:05.407]  and that I can do to win this fight against the tyrants.
[00:47:05.407 --> 00:47:07.427]  And that's get the word out.
[00:47:07.427 --> 00:47:11.187]   We've all seen that saying on the internet, nobody knows who said it, but
[00:47:11.187 --> 00:47:17.387]   if the situation was hopeless, the propaganda would not be necessary.
[00:47:16.364 --> 00:47:28.715]  They can't get away with the Great Reset, and these wars, and the devaluation of the currencies, and the open borders, and the sexualization of our children, and the human-animal cloning, and all of these terrible, horrible things.
[00:47:29.496 --> 00:47:37.163]  They can't get away with that if we have speech, and we can show we're the majority, and we can point out what they're doing is wrong.
[00:47:37.523 --> 00:47:39.325]  Now, I know that's very elementary.
[00:47:40.236 --> 00:47:41.677]  You're like, yeah, tell us something we don't know.
[00:47:41.757 --> 00:47:48.459]  Well, I see quotes like this on Instagram, on YouTube, on Twitter, every time I'm on it.
[00:47:48.799 --> 00:47:56.362]  And every day I go out in public, every time in a shopping mall or a store or anywhere, if you guys do overhead shot, I'll show this.
[00:47:57.422 --> 00:48:01.384]  Every time people walk up to me and they say things just like this.
[00:48:02.244 --> 00:48:02.924]  This is on Twitter.
[00:48:03.584 --> 00:48:04.865]  Is he back on YouTube?
[00:48:06.485 --> 00:48:07.946]  What platform is he on?
[00:48:10.613 --> 00:48:25.477]  I took my four-year-old daughter and my 17-year-old daughter to Kalahari Indoor Water Park this weekend for a day and a half, and I probably had, no exaggeration, 200 people come up to me and say they were listeners.
[00:48:26.077 --> 00:48:28.918]  In the video game arcade, the bowling alley, and the water park.
[00:48:29.738 --> 00:48:32.719]  And about half of them said, man, I used to be a huge fan.
[00:48:33.579 --> 00:48:34.839]  Where do I find you?
[00:48:35.900 --> 00:48:37.220]  Are you back on the air?
[00:48:39.255 --> 00:48:54.266]  And I look at them, and I don't want to be mean to them, because they're not stupid, they're just not thinking, because they're so trained at YouTube, and Instagram, and Facebook, that they don't even remember things like InfoWars.com, or, you know, DrudgeReport.com, that they're still websites.
[00:48:54.306 --> 00:49:00.150]  We have our own video production, audio production, research, reporters, millions and millions and millions of people.
[00:49:00.490 --> 00:49:07.735]  We conservatively reach three to four million a day with the radio show that's live, and then millions and millions every day at Man.Video.
[00:49:08.638 --> 00:49:09.038]  Millions.
[00:49:10.299 --> 00:49:20.846]  And if those millions went out and talked to people at a level that they could really get through their head that, you know, that censored InfoWars, the guy they don't want you to hear, the guy that's been proven right about almost everything?
[00:49:21.246 --> 00:49:24.088]  He's still on the air on his own website.
[00:49:24.128 --> 00:49:24.808]  It's forbidden.
[00:49:25.209 --> 00:49:26.629]  It's InfoWars.com.
[00:49:26.850 --> 00:49:28.411]  You're not really able to share it online.
[00:49:28.451 --> 00:49:28.951]  They block it.
[00:49:28.991 --> 00:49:33.434]  But you can go there and you can word of mouth tell people about InfoWars.com.
[00:49:34.975 --> 00:49:36.876]  And I love people in the comments under this fellow.
[00:49:37.509 --> 00:49:38.750]  This is just one example of it.
[00:49:39.491 --> 00:49:40.231]  I see it all the time.
[00:49:40.832 --> 00:49:48.359]  Saying, yeah, he's at Band.Video, he's at Getter, he's at Rumble, he's at Gab, and he's all right there.
[00:49:48.379 --> 00:49:54.584]  But notice, InfoWarsRedAlerts, who's a fan, had to put spaces, because Twitter won't let you post those evil banned words.
[00:49:54.944 --> 00:49:57.186]  InfoWars.com, Band.Video.
[00:49:58.147 --> 00:50:03.492]  You're not even allowed to put those URLs in, so we create new URLs, like FutureNews.News.
[00:50:04.454 --> 00:50:07.355]  They're already putting warnings on that on Twitter and Facebook and Instagram.
[00:50:07.815 --> 00:50:08.555]  Okay, fine.
[00:50:08.795 --> 00:50:12.236]  But you can right now share futurenews.news.
[00:50:13.056 --> 00:50:19.478]  Because the truth is being suppressed and because it's the antidote like an antibiotic to a bad strep infection.
[00:50:19.958 --> 00:50:25.739]  You need to get it into your body, ladies and gentlemen, or vitamin D for your immunity before you get sick.
[00:50:26.633 --> 00:50:35.578]  Infowars is the vitamin D and the zinc and the hydroxychloroquine and the ivermectin and the sunshine of liberty.
[00:50:36.138 --> 00:50:37.699]  And you can carry the ball.
[00:50:37.899 --> 00:50:38.820]  Only you can.
[00:50:39.560 --> 00:50:41.221]  So just, I know you know where we're at.
[00:50:41.261 --> 00:50:41.841]  You found us.
[00:50:41.861 --> 00:50:42.241]  You're here.
[00:50:42.281 --> 00:50:44.022]  But the public's like, where's Alex Jones?
[00:50:44.042 --> 00:50:44.663]  Where's Alex Jones?
[00:50:45.363 --> 00:50:46.964]  You got to tell him he's still on the air.
[00:50:47.765 --> 00:50:50.210]  At Band.Video and InfoWars.com.
[00:50:50.230 --> 00:50:51.813]  You can't share those URLs most places.
[00:50:52.094 --> 00:50:55.541]  So you gotta tell them word of mouth and then tell them to tell others, creating what?
[00:50:55.621 --> 00:51:02.621]  the chain reaction.
[00:51:02.621 --> 00:51:22.500]   That is the eerie sound of the dreaded terrorist honking.
[00:51:22.500 --> 00:51:32.501]  [BLANK_AUDIO]
[00:51:24.742 --> 00:51:35.413]  Now, I could play you the city councils, the national government, the would-be dictator who says he wants to be a dictator, Trudeau, denouncing them, saying they're terrorists, saying they're illegal, but you've probably already seen it.
[00:51:37.055 --> 00:51:39.498]  And listening and watching Trudeau is a little more than I can stomach today.
[00:51:40.729 --> 00:51:41.590]  But it's incredible.
[00:51:41.610 --> 00:51:43.871]  And they're like, how dare them blockade us?
[00:51:43.912 --> 00:51:51.557]  How dare them try to keep us from going out and try to bankrupt us and try to make us stay in our homes when that's what they've been doing for two years to the Canadians.
[00:51:53.219 --> 00:51:57.502]  Through their nanny state garbage with the coronavirus they cooked up and they released on us.
[00:51:57.982 --> 00:52:04.527]  Through the Davos group, through Klaus Schwab and his acolyte, his sworn servant that he brags that he owns.
[00:52:06.389 --> 00:52:07.630]  Klaus Schwab brags he owns.
[00:52:08.931 --> 00:52:09.271]  Trudeau.
[00:52:10.450 --> 00:52:17.245]  So joining us is Jeremy McKenzie, and he is joining us here on air.
[00:52:17.265 --> 00:52:19.891]  He's also a popular podcaster.
[00:52:20.757 --> 00:52:32.287]  He's joining us to talk about the latest incredible developments and, you know, we could air a little four-minute video he put out last night that went viral about his police and military sources about the military crackdown that's about to happen.
[00:52:33.068 --> 00:52:36.551]  But instead he can just repeat that here for us now and give us some updates.
[00:52:36.591 --> 00:52:38.132]  There's been big developments since then.
[00:52:38.713 --> 00:52:44.658]  He's seeing all of the troops and military, some in plain clothes, some not, moving into the area.
[00:52:44.758 --> 00:52:45.699]  Massive harassment.
[00:52:46.079 --> 00:52:49.020]  Arresting and beating up old people that honk their horns, there's video of that.
[00:52:49.401 --> 00:52:52.602]  I mean, this is Tiananmen Square starting to unfold, ladies and gentlemen.
[00:52:52.862 --> 00:52:59.165]  The key is to not be violent, like Mahatma Gandhi, following the example of Christ, or Martin Luther King Jr.
[00:52:59.905 --> 00:53:03.987]  And I'm just telling you, this is the time that they're going to destroy themselves doing this.
[00:53:04.828 --> 00:53:07.389]  And so, he who shoots first, loses.
[00:53:08.169 --> 00:53:11.971]  Same thing's happening in Australia, in Europe, everywhere, people are taking action.
[00:53:13.777 --> 00:53:17.870]  Jeremy McKenzie at RagingDissident.com joins us.
[00:53:17.910 --> 00:53:18.712]  Thank you so much, sir.
[00:53:20.447 --> 00:53:20.987]  How you doing, Alex?
[00:53:21.008 --> 00:53:21.448]  Thanks so much.
[00:53:21.468 --> 00:53:22.068]  Thanks for having me back.
[00:53:22.168 --> 00:53:29.134]  Okay, so yeah, like as you were saying, it does appear, so there's supposed to be some negotiations happening with the organizers today.
[00:53:29.274 --> 00:53:32.857]  Right now, an hour ago, I haven't heard anything back from these guys.
[00:53:33.117 --> 00:53:34.478]  I'm waiting to see how that took place.
[00:53:34.498 --> 00:53:38.121]  They're expecting to meet with a delegation or some kind of representative from the federal government.
[00:53:38.501 --> 00:53:44.266]  The mayor of Ottawa is basically at his wit's end from what I've heard, that he wants to settle one way or another.
[00:53:44.326 --> 00:53:45.667]  So that's what they're hoping for.
[00:53:45.687 --> 00:53:46.447]  I haven't heard anything back.
[00:53:48.671 --> 00:53:55.815]  It was fed to me from certain people inside the apparatus that there is a scenario on the table for mass arrests.
[00:53:56.135 --> 00:54:02.138]  They're busing in hundreds of federal police riot cops from the Public Order Unit, I guess it's called, the POU.
[00:54:02.178 --> 00:54:02.858]  I wasn't a cop.
[00:54:02.918 --> 00:54:04.759]  I'm learning as I go here.
[00:54:06.059 --> 00:54:09.061]  They're staging now and planning for this around the clock.
[00:54:09.141 --> 00:54:11.342]  Apparently, they're not very happy that I leaked that out there.
[00:54:11.382 --> 00:54:14.243]  They're cranky about that, but I'm sorry, but I'm not sorry.
[00:54:14.403 --> 00:54:15.724]  I forget to tell people.
[00:54:16.164 --> 00:54:19.824]   And you know spirits are high people are holding the line here. There's more
[00:54:19.824 --> 00:54:25.193]   You know reinforcements if you will coming every day. It's families. It's truckers. It's farmers. It's blue-collar
[00:54:25.193 --> 00:54:28.784]   Canadians. There's kids down there There's bouncy castles. There's free food the homeless have
[00:54:28.784 --> 00:54:33.214]   never been more better fed in their lives Crime has actually gone down in the city and people that I
[00:54:33.214 --> 00:54:35.664]   know that live here say it's never been more pleasant to live in
[00:54:35.664 --> 00:54:40.624]   Ottawa as it is right now and and unfortunately you know the honking will continue until freedom improves. That's
[00:54:40.624 --> 00:54:45.804]   just how it is Well expanding on that for those that don't know recap what
[00:54:45.804 --> 00:54:51.364]   the City Council what the central government What they're all saying
[00:54:50.590 --> 00:54:55.773]  I mean, they're calling people terrorists, they're calling them insurrectionists, they're saying racists are attacking and beating people.
[00:54:56.093 --> 00:54:56.793]  None of it's true.
[00:54:56.813 --> 00:54:58.294]  Of course, they never show the evidence.
[00:54:58.895 --> 00:54:59.695]  It's just unbelievable.
[00:55:01.252 --> 00:55:02.873]  Yeah, the federal government's been doing this.
[00:55:02.893 --> 00:55:07.014]  They've been fomenting hatred and division in the country for years now, and it's really ramped up the couple of months.
[00:55:07.054 --> 00:55:11.736]  And since this, you know, we've had BLM protests, we've had, you know, indigenous people's protests, and this kind of thing.
[00:55:11.756 --> 00:55:12.916]  They never had any issue with any of that.
[00:55:12.936 --> 00:55:16.598]  They're blocking pipelines, they were doing all kinds of stuff, trying to derail trains.
[00:55:16.638 --> 00:55:19.339]  But now everyone's a terrorist, because coincidentally it doesn't...
[00:55:19.919 --> 00:55:22.780]  You know, a fit with the government's plans of their narrative, I suppose.
[00:55:23.221 --> 00:55:25.542]  And yeah, they were calling us, you know, terrorists, insurrectionists.
[00:55:25.682 --> 00:55:26.782]  Nothing could be further from the truth.
[00:55:26.842 --> 00:55:27.663]  It's absolutely ridiculous.
[00:55:27.683 --> 00:55:29.423]  Yeah, that video there you're playing is a joke.
[00:55:29.444 --> 00:55:31.845]  You know, they're like, look at these violent truckers, you know.
[00:55:33.065 --> 00:55:35.706]  And yeah, they have no intention of negotiating with these people.
[00:55:35.726 --> 00:55:36.567]  It doesn't seem like.
[00:55:36.647 --> 00:55:38.328]  I'm concerned it may be a trap of some kind.
[00:55:39.208 --> 00:55:40.228]  They're busting in a lot of cops.
[00:55:40.248 --> 00:55:45.591]  They're preparing to break this up by force that's allegedly that's coming straight from the top of the government.
[00:55:46.189 --> 00:55:47.730]  That they want this gone.
[00:55:47.750 --> 00:55:50.451]  And no one, as of yet, has even tried to speak to these people.
[00:55:51.091 --> 00:55:52.211]  There's been no crimes committed.
[00:55:52.251 --> 00:55:54.712]  No one, like hardly, I don't know if there's even been any arrests.
[00:55:54.892 --> 00:55:55.792]  Nothing like this is going on.
[00:55:55.852 --> 00:56:00.094]  Everything they're reporting is lopsided and incorrect, factually incorrect.
[00:56:00.114 --> 00:56:03.015]  And they're posting hoaxes.
[00:56:03.895 --> 00:56:10.918]   One of the guys from the Canadian Anti-Hate Network tried to use a flyer that was posted in Miami That's a beautiful quote by Scholz and Eatson.
[00:56:10.998 --> 00:56:11.879]  What do you expect to happen?
[00:56:11.699 --> 00:56:13.699]  and say that it was here in Ottawa.
[00:56:13.699 --> 00:56:16.699]   Like blatantly, demonstrably untrue, and yet they still do it.
[00:56:16.699 --> 00:56:17.699]  They lie.
[00:56:17.699 --> 00:56:18.699]  That's what the left does.
[00:56:18.699 --> 00:56:20.699]  It's the Solzhenitsyn quote.
[00:56:20.699 --> 00:56:22.699]  They're lying. We know they're lying.
[00:56:22.699 --> 00:56:24.699]  They know that we know that they're lying.
[00:56:24.699 --> 00:56:27.699]   We know that they know that we know that they're lying, and yet they still lie.
[00:56:27.699 --> 00:56:30.699]  That's a beautiful quote by Solzhenitsyn.
[00:56:30.699 --> 00:56:32.699]  What do you expect to happen?
[00:56:32.699 --> 00:56:35.699]   Because this isn't just your sources in the police that are telling you this.
[00:56:35.699 --> 00:56:38.699]  Trudeau's on TV saying this will not be tolerated.
[00:56:38.699 --> 00:56:39.699]  Their views are not tolerable.
[00:56:39.699 --> 00:56:42.099]  They're not acceptable views, is the quote.
[00:56:42.130 --> 00:56:50.096]  You have the City Council with the police, you know, in these virtual meetings, saying, you will get out there, you will stop them, they are terrorists.
[00:56:50.116 --> 00:56:58.562]  They're using the word terrorist, and they're, I know, seizing people's gas cans, they're not letting people gas up their vehicles, they're calling it material support.
[00:56:58.602 --> 00:57:00.784]  Well, that's a term you use for supporting terrorists.
[00:57:02.136 --> 00:57:11.086]  Yeah, and the good people that we do still have in law enforcement are starting to kind of break ranks now, and they're disgusted by this, that they're seeing what they're seeing these police officers do.
[00:57:12.307 --> 00:57:14.669]  It's completely out of line, it's completely insane.
[00:57:15.891 --> 00:57:20.072]  Yeah, they're using intimidation tactics, like this raid, you know, you've got the footage there.
[00:57:20.112 --> 00:57:27.435]  There was guys with, you know, like M4s, there was a guy with a tear gas grenade launcher, they're all dressed, you know, like show of force, right?
[00:57:28.295 --> 00:57:33.877]  It was a tense situation, there was families there, there was kids there, he was nervous, you know, it wasn't a good time, apparently.
[00:57:35.755 --> 00:57:36.376]  There's no need for this.
[00:57:37.297 --> 00:57:38.199]  It's completely insane.
[00:57:38.899 --> 00:57:40.622]  All they want is to be spoken to.
[00:57:40.922 --> 00:57:42.324]  They're saying they want all these crazy demands.
[00:57:42.344 --> 00:57:43.466]  They're trying to take over the country.
[00:57:43.946 --> 00:57:45.088]  They want the mandates gone.
[00:57:45.288 --> 00:57:46.670]  They want the vaccine passports gone.
[00:57:46.690 --> 00:57:47.571]  They want the testing.
[00:57:47.611 --> 00:57:48.312]  Get rid of all of it.
[00:57:50.375 --> 00:57:54.375]   the demands are. Stop the fake PCR test, stop trying to put an experimental shot
[00:57:54.375 --> 00:57:57.775]   in us, and we don't want vaccine passports. We don't want the mark of the
[00:57:57.775 --> 00:58:01.414]   beast. We don't want this. I mean these are valiant good people saying don't
[00:58:01.414 --> 00:58:04.813]   discriminate against me because I don't want to take your big pharma product
[00:58:04.813 --> 00:58:10.414]   that your prime minister has already bought out to 2026 and is
[00:58:10.414 --> 00:58:14.974]   saying that he owns your body. Yeah and you had some footage there from Cootes
[00:58:14.974 --> 00:58:18.934]  Alberta near the the Montana Alberta border.
[00:58:16.909 --> 00:58:19.430]  There's a huge situation going on there as well.
[00:58:20.270 --> 00:58:21.311]  People have come out in support.
[00:58:21.471 --> 00:58:23.111]  This is a national movement.
[00:58:23.131 --> 00:58:24.172]  This is a grassroots movement.
[00:58:24.192 --> 00:58:34.495]  It's happening all over the country, and it's a beautiful thing to see people come together like this and unite, ironically, above all of their differences together, in opposition of this authoritarian government.
[00:58:35.896 --> 00:58:43.425]  I couldn't be prouder of these people for what they're doing and it's just again, it's disgusting to see how they're treating this and apparently all options are on the table still.
[00:58:44.206 --> 00:58:48.571]  Even just this morning you had a liberal, I've been saying this for a little while, they're going to start jumping ship.
[00:58:48.611 --> 00:58:54.658]  One of the liberal MPs, I don't recall his name off the top of my head right now, but he's come out and condemned the Prime Minister and what they're doing.
[00:58:55.138 --> 00:59:04.902]  And the Republican or the, excuse me, the Tory or Conservative leader up there, I know because he was going along with the lockdowns and the forced shots, his party made him step down, correct?
[00:59:06.742 --> 00:59:10.664]  Yes, he was a completely weak, feckless, you know, pointless, you know, leader.
[00:59:10.684 --> 00:59:11.604]  I wouldn't even use the term.
[00:59:12.204 --> 00:59:12.985]  He's been ousted now.
[00:59:13.025 --> 00:59:15.826]  We've got another guy that's gonna, you know, try and get in there.
[00:59:15.846 --> 00:59:20.527]  I don't know if it's political opportunism or what's going on there, but the fact remains that this is a people's movement.
[00:59:20.547 --> 00:59:21.488]  This is a grassroots thing.
