[00:00:00.129 --> 00:00:01.752]  Emergency Friday broadcast.
[00:44:08.010 --> 00:44:08.631]  I'm a weirdo.
[00:44:11.784 --> 00:44:13.687]  And I want you to know about all that.
[00:44:14.128 --> 00:44:18.454]  And so coming up after Dr. McCullough leaves us, we're going to play the club and get into all of it.
[00:44:18.494 --> 00:44:20.377]  But it's a wild world, folks.
[00:44:22.227 --> 00:44:22.928]  We're going to go to break.
[00:44:22.988 --> 00:44:31.237]  Please don't forget, you've only got nine days until the 13th to get 25% off of the highest quality, affordable food you're going to find out there for anywhere near this price.
[00:44:31.257 --> 00:44:32.458]  It's what I've got for my family.
[00:44:32.618 --> 00:44:33.279]  It's what I use.
[00:44:33.479 --> 00:44:35.321]  And at this price, they haven't offered this in four years.
[00:44:35.341 --> 00:44:36.723]  You're not going to see this for a long time.
[00:44:36.743 --> 00:44:37.884]  They're ready to ship to you right now.
[00:44:38.224 --> 00:44:43.950]  PrepareWithAlex.com, PrepareWithAlex.com or InfoWarsTore.com has the direct links right there.
[00:44:44.211 --> 00:44:46.278]   And Today is the final day.
[00:44:46.318 --> 00:44:54.305]  We might extend it into Sunday, but this weekend's the last time to get 50% off on our new amazing course and in breakdown analysis.
[00:44:54.185 --> 00:45:10.185]  It's beyond the course at resetwars.com.
[00:45:10.185 --> 00:45:11.524]  [MUSIC PLAYING]
[00:45:11.477 --> 00:45:23.909]  To take on the establishment with a lot of bombshell information, new developments, and also countering the corporate media that's on the payroll of Big Pharma, lying and saying that he gave out this information without ever giving any specifics.
[00:45:24.590 --> 00:45:29.915]  Who's going to respond to the big Joe Rogan controversy coming up here in just a moment?
[00:45:29.995 --> 00:45:32.578]  Greg Reese has filed a new report I want to get to.
[00:45:33.894 --> 00:45:39.498]  Right now, and there's such big developments with the convoy in Canada and the truckers on the border with Canada and everything.
[00:45:39.538 --> 00:45:40.519]  It's beautiful what's happening.
[00:45:40.940 --> 00:45:42.621]  They're talking about using the military on them now.
[00:45:42.681 --> 00:45:44.662]  That'll definitely backfire.
[00:45:44.682 --> 00:45:45.883]  We've got that information.
[00:45:46.424 --> 00:45:53.809]  We've got Dem Senator Ben Ray Lugin suffers stroke at age 49, halting Dem's slim majority.
[00:45:53.850 --> 00:45:57.773]  He's so sick and so ill after he got his third shot.
[00:45:59.406 --> 00:46:00.987]  You know, I saw the OAN statement.
[00:46:01.027 --> 00:46:03.128]  Others may get, hey, liberals, please take more shots.
[00:46:03.448 --> 00:46:04.229]  Please take boosters.
[00:46:05.349 --> 00:46:06.570]  I understand it's a turn of phrase.
[00:46:06.590 --> 00:46:08.952]  We don't mean it, but this is really serious.
[00:46:09.612 --> 00:46:18.977]  But I would tell them before they want to make children take it who aren't of age and can't make a decision for themselves, I would ask people that are wanting to hurt the children because they think there's too many people on the planet.
[00:46:19.978 --> 00:46:20.538]  Kill yourselves.
[00:46:21.059 --> 00:46:21.399]  Seriously.
[00:46:22.459 --> 00:46:25.761]  I mean, if there's too many people, show us how you do it.
[00:46:26.302 --> 00:46:26.762]  Bill Gates.
[00:46:27.907 --> 00:46:28.988]  I don't wish any harm upon you.
[00:46:29.008 --> 00:46:29.988]  I'm not going to attack you myself.
[00:46:30.048 --> 00:46:30.608]  Nobody should.
[00:46:30.909 --> 00:46:36.071]  But if you want to pour gasoline all over yourself on national television, you already pay for most of the media.
[00:46:36.091 --> 00:46:41.714]  You buy all the channels for an hour, come on every channel in the world that's corporate, and then just pour gasoline on yourselves.
[00:46:41.734 --> 00:46:42.494]  There's too many people.
[00:46:42.954 --> 00:46:50.638]  And I mean to show you that I mean to act by example, lead by example, just strike the match, self-immolate, and I will really respect Bill Gates.
[00:46:50.758 --> 00:46:57.758]  Here's Greg Rees's report.
[00:46:57.758 --> 00:47:08.758]   If the government served the people, then the government would have nothing to fear from the people.
[00:47:09.011 --> 00:47:10.956]  But it is clear that now the government fears us.
[00:47:12.373 --> 00:47:20.280]  After years of persistent abuse of the Constitution, during which time they have betrayed, robbed, injured and killed the Australian people, we have had enough.
[00:47:20.840 --> 00:47:21.641]  And we are not alone.
[00:47:22.301 --> 00:47:28.767]  Internationally, the people are rising up peacefully against the unlawful and criminal excesses of those whom they have elected.
[00:47:29.207 --> 00:47:34.791]  Millions of good and decent men and women around the world have decided that this war for the world must end.
[00:47:35.292 --> 00:47:39.996]  And they know it will end when enough of us stand up and declare, in one voice, no more.
[00:47:41.098 --> 00:47:57.267]  Here in Australia, the people are gathering in the nation's capital, Canberra, in order to communicate their intent that the Governor-General should meet his constitutional responsibility by dissolving the Parliament and appointing a new Executive Council in order to prepare for free and fair elections.
[00:47:58.387 --> 00:48:02.630]  In the long journey from barbarism to civilisation, days such as these are rare.
[00:48:03.570 --> 00:48:10.574]  Seminal days, when a people bands together, putting aside their petty differences in order to secure their lives and their liberty.
[00:48:11.551 --> 00:48:14.714]  In other words, to earn their rights to their sovereign nationhood.
[00:48:15.595 --> 00:48:18.798]  Now is the time to play your part in the liberation of Australia.
[00:48:18.858 --> 00:48:22.641]  Now is the time to stand alongside your fellow Australians and resist tyranny.
[00:48:23.242 --> 00:48:26.785]  Now is the time to ensure your children and grandchildren are free.
[00:48:27.586 --> 00:48:32.170]  You are here because generations ago your ancestors sacrificed all for you.
[00:48:32.551 --> 00:48:34.252]  It is now time to pay that debt forward.
[00:48:35.233 --> 00:48:36.975]  Now, nothing else matters.
[00:48:37.924 --> 00:48:39.084]  This is not about politics.
[00:48:39.184 --> 00:48:40.604]  This is a non-political event.
[00:48:40.985 --> 00:48:43.145]  This is about our very lives and our very future.
[00:48:43.605 --> 00:48:46.525]  You must drop everything and get to Canberra as soon as you can.
[00:48:47.166 --> 00:48:52.206]  Some have made their way from far afield as Adelaide, Melbourne and Rockhampton.
[00:48:53.207 --> 00:48:54.047]  What's your excuse?
[00:48:55.287 --> 00:48:57.607]  And they plan to stay until we win.
[00:48:58.908 --> 00:49:01.488]  Remain calm regardless of the force used against you.
[00:49:01.988 --> 00:49:07.069]  They will provoke a reaction which ultimately will see the use of police snipers opening fire.
[00:49:07.930 --> 00:49:09.430]  This is a reality.
[00:49:09.450 --> 00:49:15.592]  Regardless of the force used against you, you must, we must, remain calm in order to win.
[00:49:16.533 --> 00:49:21.754]  Fly, drive, walk if you must, but we need an army of millions in Canberra to win this war.
[00:49:22.134 --> 00:49:24.155]  And we will win if you attend.
[00:49:25.135 --> 00:49:26.977]  Pack up as much food and water as you can.
[00:49:27.257 --> 00:49:30.459]  The people already there are sharing and cooperating as never before.
[00:49:30.919 --> 00:49:33.001]  If you can't find accommodation, sleep in your car.
[00:49:33.441 --> 00:49:34.682]  We must come together now.
[00:49:35.242 --> 00:49:36.523]  This is our time.
[00:49:37.083 --> 00:49:37.704]  We the people.
[00:49:38.204 --> 00:49:40.766]  Do it for your family, and do it for the future of Australia.
[00:49:41.546 --> 00:49:42.387]  I'm Riccardo Bozzi.
[00:49:42.727 --> 00:49:43.868]  I'm looking forward to seeing you there.
[00:49:46.550 --> 00:49:52.114]  And they've now announced they're going to use the military against the truckers in Canada, which is going to blow up their face, just like Ceausescu in Romania.
[00:49:52.173 --> 00:49:59.173]  This is the fall of the New World Order.
[00:49:59.173 --> 00:50:07.974]   Experience the next level in high-powered energy nootropics with our latest BrainForce
[00:50:07.974 --> 00:50:10.052]  offering, BrainForce Ultra.
[00:50:10.050 --> 00:50:19.433]  Now it is easier than ever to take in the new liquid form with 8 beneficial super ingredients, BrainForce Ultra is the result of years of enhanced formulation.
[00:50:19.673 --> 00:50:25.014]  Free of toxic additives, each ingredient is specifically selected for its many key properties.
[00:50:25.414 --> 00:50:47.419]  Some of the proprietary super-ingredients behind Brain Force Ultra include Gorana Seed, which is loaded with energy compounds and antioxidants that have been used by Amazonian tribes for centuries, Alpha GPC, a natural compound found in the brain that delivers an essential nutrient, Choline, and Ginkgo Leaf, which is also known for its exceptional antioxidant content.
[00:50:47.679 --> 00:50:53.446]  This product is more than twice the servings of our Brain Force Plus as well, so you know it's packed full of the good stuff.
[00:50:53.786 --> 00:51:02.717]  Destroy that brain fog today and secure your bottle of Brain Force Ultra before it is completely sold out at m4store.com.
[00:51:03.438 --> 00:51:05.280]  Dr. Peter McCullough is our guest.
[00:51:06.158 --> 00:51:11.063]  And he's a cardiologist, very respected, run different government FDA study programs.
[00:51:11.823 --> 00:51:15.867]  And he went on Joe Rogan in late December and came on our show a few days later.
[00:51:16.548 --> 00:51:25.636]  And over the next three plus hours, he just laid out the science, the studies, the facts, citing them all, showing everything that he talked about.
[00:51:26.457 --> 00:51:32.087]   Then CNN and every other globalist establishment channel Literally.
[00:51:32.248 --> 00:51:33.028]  Attacked him.
[00:51:33.449 --> 00:51:35.470]  Then Dr. Malone came on, the inventor of mRNA.
[00:51:35.490 --> 00:51:36.271]  They attacked him.
[00:51:36.291 --> 00:51:40.354]  And just would never, though, specifically say what they said was wrong.
[00:51:40.715 --> 00:51:42.496]  They just say, they're crazy.
[00:51:42.856 --> 00:51:43.697]  They're kooks.
[00:51:44.037 --> 00:51:45.438]  They're giving out this information.
[00:51:45.679 --> 00:51:47.840]  But they never showed what it was.
[00:51:47.880 --> 00:51:51.123]  So I asked Dr. McCullough a couple weeks ago to please come on.
[00:51:51.163 --> 00:51:52.344]  He had time today.
[00:51:52.845 --> 00:51:58.809]  He was going to be here, but the I-35 from Dallas to Austin basically shut down in many areas from the snowstorm.
[00:51:59.150 --> 00:52:05.630]   but he joins us now and in the next hour and a half of time we have, we're gonna have a lot of B-roll.
[00:52:05.630 --> 00:52:11.349]   After he goes, we're gonna play some of the clips of the big anti-forced injection rally
[00:52:11.349 --> 00:52:13.530]  that happened a few weeks ago in D.C. and more.
[00:52:13.530 --> 00:52:19.550]   But I wanted him to first get into the Joe Rogan interview and it really seems like the tipping point
[00:52:19.550 --> 00:52:27.110]   and the attacks and the disinformation and how we counter these disinformation specialists
[00:52:27.110 --> 00:52:33.189]   that then project onto us and say we are the people involved in disinformation when we are showing people
[00:52:33.189 --> 00:52:34.490]  everything we're claiming.
[00:52:34.251 --> 00:52:36.093]  So, Dr. McCullough, thank you so much for coming on with us.
[00:52:37.034 --> 00:52:37.894]  Well, thanks for having me.
[00:52:38.895 --> 00:52:41.097]  Well, again, Dr. Peter McCullough is our guest.
[00:52:41.357 --> 00:52:44.720]  You can find him on Twitter at P underscore McCullough MD.
[00:52:45.560 --> 00:52:46.421]  Where do you want to start here?
[00:52:48.115 --> 00:52:52.902]  Alex, I just wanted to tell the audience about the context of my Joe Rogan interview.
[00:52:53.302 --> 00:53:00.532]  Joe had reached out to me about a month in advance, and because of scheduling, it was about a month period of time for me to get down there.
[00:53:00.552 --> 00:53:01.954]  I was down there on December 8th.
[00:53:03.175 --> 00:53:11.602]  And, you know, I sent Joe a slide deck, a slide deck of all the data on COVID-19 that I had.
[00:53:11.662 --> 00:53:14.705]  In fact, a slide deck I've reviewed with your audience in studio.
[00:53:15.205 --> 00:53:27.015]  That slide deck was continuing medical education certified for a presentation at the Association of American Physicians and Surgeons meeting in October of 2021.
[00:53:27.235 --> 00:53:30.318]  So this was semi-certified.
[00:53:32.845 --> 00:53:34.706]  Every single slide was cited.
[00:53:35.627 --> 00:53:37.128]  All the evidence was there.
[00:53:37.688 --> 00:53:43.271]  And so I brought my computer in studio and I brought it and I showed Joe the slides and went over it.
[00:53:43.291 --> 00:53:44.832]  And, you know, Joe was the journalist.
[00:53:44.972 --> 00:53:47.053]  Joe did not offer any medical opinions.
[00:53:47.334 --> 00:53:49.615]  Neither did I. I simply was showing the data.
[00:53:49.655 --> 00:53:58.060]  I left the slide file as well as separate figures for his producers, you know, as I would with your studio.
[00:53:58.875 --> 00:54:07.677]  And the interesting thing is the reaction actually was basically levered at Joe, as if Joe had, quote, spread misinformation.
[00:54:07.717 --> 00:54:08.677]  Joe was the journalist.
[00:54:08.697 --> 00:54:10.257]  I was the doctor expert.
[00:54:10.697 --> 00:54:12.858]  I know because I've published some of these studies.
[00:54:13.458 --> 00:54:18.859]  And so the bottom line is, you know, this is just part of medical scientific interchange.
[00:54:19.439 --> 00:54:21.280]  No one reached out to me at all.
[00:54:21.420 --> 00:54:21.720]  No one.
[00:54:21.780 --> 00:54:22.560]  Spotify.
[00:54:22.940 --> 00:54:24.600]  No one sent me any messages.
[00:54:24.660 --> 00:54:26.821]  No one asked me for the slides or opinions.
[00:54:27.141 --> 00:54:28.241]  None of the fact checkers.
[00:54:28.701 --> 00:54:33.260]   reached out to me. None of the fact-checkers produced any of their slides. And so my point
[00:54:33.260 --> 00:54:38.960]   is, and this escalated all the way to the White House, where Jen Psaki in a press interview
[00:54:38.960 --> 00:54:41.581]  said that Rogan should be censored.
[00:54:41.603 --> 00:54:47.927]  I reached out through Twitter and I said listen I'd be happy to sit down with the President, the Surgeon General, Jen Psaki.
[00:54:48.207 --> 00:54:49.928]  We'll go over all the data.
[00:54:50.209 --> 00:54:55.732]  There now are a thousand papers on vaccine injuries in the peer-reviewed literature.
[00:54:55.792 --> 00:54:57.153]  A thousand papers Alex.
[00:54:57.554 --> 00:54:58.954]  So I'd be happy to go through them.
[00:54:58.974 --> 00:55:04.038]  It'll take about a day and we can organize it into myocarditis, blood clots.
[00:55:04.058 --> 00:55:10.182]  We can go through all the diseases and they can figure out what published scientific papers they would want to censor or not.
[00:55:10.771 --> 00:55:12.351]  But what you're saying is so key here.
[00:55:12.511 --> 00:55:16.773]  You spent two plus hours with us after Joe, only showing part of the slides.
[00:55:16.833 --> 00:55:18.633]  I mean, it would take days, as you said.
[00:55:18.653 --> 00:55:20.994]  This is college-level medical stuff.
[00:55:21.334 --> 00:55:23.875]  But it's all well known, as you said six months ago on the show.
[00:55:24.275 --> 00:55:28.596]  They now have a term in cardiology for vaccine-caused microcarditis.
[00:55:28.816 --> 00:55:29.716]  This is not debated.
[00:55:29.796 --> 00:55:31.937]  The inserts admit it can cause this.
[00:55:31.997 --> 00:55:33.437]  They admit increases in it.
[00:55:33.777 --> 00:55:35.798]  But then they turn around and say, you're just making it up.
[00:55:36.058 --> 00:55:38.979]  But then they never challenge what you're specifically lying about.
[00:55:39.019 --> 00:55:44.045]   And the key, as you said, Didn't reach out to you to ever get a comment or let you defend yourself.
[00:55:44.306 --> 00:55:45.087]  They just lied.
[00:55:46.500 --> 00:55:49.963]  Actually, they never reached out for the slides or the figures.
[00:55:50.003 --> 00:55:52.685]  I mean, they actually never reached out to see the information.
[00:55:53.165 --> 00:56:02.033]  So I'd be happy to, it's an open offer, I'm happy to sit down with any platform if, you know, Spotify being a common carrier, essentially, or any journalist.
[00:56:02.393 --> 00:56:07.817]  I thought Joe Rogan was a very perceptive, intelligent, wonderful journalist.
[00:56:08.518 --> 00:56:10.860]  There was no hyperbole, there was no opinion.
[00:56:11.720 --> 00:56:18.446]  In fact, one of the fact-checkers raised some issue with a comment about pandemic planning.
[00:56:19.027 --> 00:56:25.912]  And you know, just as I did with you, Alex, I referred to the book by Peter Breggin, COVID-19 and the Global Press, We Are the Prey.
[00:56:26.032 --> 00:56:27.634]  It has all the citations in it.
[00:56:27.954 --> 00:56:29.976]  Actually, I gave you a print copy, Alex.
[00:56:30.336 --> 00:56:35.320]  So, you know, I am just referring to the information that's out there.
[00:56:35.340 --> 00:56:38.443]  People can seek it themselves and they can review it themselves.
[00:56:40.157 --> 00:56:40.778]  Absolutely.
[00:56:40.818 --> 00:56:43.281]  But again, they can't counter us on facts.
[00:56:43.321 --> 00:56:46.185]  So they just say disinformation, silence them, censor them.
[00:56:46.205 --> 00:56:49.750]  But I think it's safe to say this has backfired on them mightily.
[00:56:50.371 --> 00:56:52.914]  Previously, Elon Musk had the biggest interview with Joe Rogan.
[00:56:53.074 --> 00:56:59.074]   I had the second, third, fourth, and fifth biggest, but now you and Malone's interviews are right up there
[00:56:59.074 --> 00:57:02.474]  in the top five with myself and Elon Musk, which is great.
[00:57:02.474 --> 00:57:06.833]   So his normal show has 10 million, but now it's got 50, 60, 70 million
[00:57:06.833 --> 00:57:11.233]   on the different platforms because they tried that and everywhere the world is waking up
[00:57:11.233 --> 00:57:12.432]  and turning against him.
[00:57:12.432 --> 00:57:14.633]  It's true.
[00:57:14.633 --> 00:57:21.514]   And Neil Young didn't reach out to me, neither did Prince Harry.
[00:57:21.514 --> 00:57:23.313]  None of these celebrities--
[00:57:23.227 --> 00:57:27.091]  I'm the guest, I presented all the data, I've published in this field.
[00:57:27.311 --> 00:57:30.295]  I've had Aaron Rodgers reach out to me, I've had Eric Clapton.
[00:57:30.795 --> 00:57:31.416]  Reach out to me.
[00:57:31.456 --> 00:57:34.758]  I've had Arthur Joseph reach out to me.
[00:57:34.778 --> 00:57:39.781]  So listen, it's not an unusual thing for people to reach out and want to have a discussion.
[00:57:40.121 --> 00:57:46.705]  But the fact that Spotify or the White House Press Secretary, no one actually wanted to have a discussion and review of the data.
[00:57:46.986 --> 00:57:48.847]  They simply wanted to slam Joe Rogan.
[00:57:49.567 --> 00:58:07.220]  I thought that was wrong and unfair and I saw Joe's response and when Joe basically got out there and said listen I brought on these experts he's on a doctor and I think both you and Joe have a terrific journalism style where you're you're simply you know helping the viewers get access to medical experts.
[00:58:07.820 --> 00:58:08.341]  Exactly.
[00:58:08.401 --> 00:58:16.211]  We have known, I mean, many, many years ago I had Shoemaker and Levy on because I wanted to know about comets and things, you know, hitting gas giants.
[00:58:16.251 --> 00:58:17.112]  And so I didn't do it.
[00:58:17.132 --> 00:58:17.853]  I'm not an astronomer.
[00:58:18.113 --> 00:58:24.161]  And it was a cool interview where I had all the people that discovered it, the amateur astronomers, one was a professional, two were amateur, on.
[00:58:24.181 --> 00:58:24.982]  It was a two-hour interview.
[00:58:25.902 --> 00:58:30.245]  Because I'm not an astronomer, but I had famous astronomers on, and it's the same thing.
[00:58:30.305 --> 00:58:41.791]  We have, and that's why they're so scared of you, is you are one of the top people in your field, and so instead of debate your credentials or the facts, they try to shut down the venue you were on to punish people to not have you on.
[00:58:41.991 --> 00:58:45.353]  But let me guess, that's not probably silence to you.
[00:58:45.993 --> 00:58:49.595]  I would imagine after Joe, you got a lot more media requests, even though you were already flooded.
[00:58:51.454 --> 00:58:56.375]  You know, I had made one statement on Joe Rogan that evolved with the science.
[00:58:56.415 --> 00:58:59.877]  You know, on December 8th, I said you can't get COVID-19 a second time.
[00:59:00.597 --> 00:59:04.898]  And on December 10th, the news broke that, in fact, Omicron broke through natural immunity.
[00:59:05.338 --> 00:59:10.220]  So when I went on your show and others, I let the audience know.
[00:59:10.520 --> 00:59:12.300]  I was on Laura Ingraham and Fox News.
[00:59:12.360 --> 00:59:14.521]  I said, listen, you know, the virus is mutated.
[00:59:14.881 --> 00:59:15.701]  Things change.
[00:59:16.381 --> 00:59:17.762]  But everything is factual.
[00:59:17.782 --> 00:59:23.678]   I think Let's just start discussing the data.
[00:59:23.758 --> 00:59:27.423]  More and more information comes out on my Twitter feed.
[00:59:27.503 --> 00:59:29.786]  I have five papers today.
[00:59:29.806 --> 00:59:31.688]  It's very factual.
[00:59:31.748 --> 00:59:33.791]  These come out in the British Medical Journal.
[00:59:34.451 --> 00:59:36.874]  One is by the CDC, the MMWR.
[00:59:38.156 --> 00:59:46.202]  Well, Doc, stay there.
[00:59:46.222 --> 00:59:59.071]  It sounds like you want to go to that first because, wow, Japanese come out with a huge study on ivermectin, a couple other big studies, now even Reuters admits, okay, ivermectin is antiviral, and these other papers vindicating everything you have said.
[00:59:59.271 --> 01:00:05.036]  We'll be right back with Dr. Peter McCullough and we'll give you all his websites and more, but the best place is his Twitter.
[01:00:05.516 --> 01:00:06.477]  We'll be right back.
[01:00:06.817 --> 01:00:10.039]  Best place to find us is futurenews.news.
[01:00:10.339 --> 01:00:12.020]  That's the current URL they haven't banned.
[01:00:12.060 --> 01:00:13.181]  Futurenews.news.
[01:00:14.682 --> 01:00:21.306]  So the hallmark of my broadcast are that when I talk about something, I neurotically show it to you.
[01:00:21.986 --> 01:00:24.128]  It doesn't mean that piece of information is always totally accurate.
[01:00:24.148 --> 01:00:25.769]  It doesn't mean things don't change.
[01:00:25.789 --> 01:00:32.438]   Like Dr. McCullough said, normally, Viruses don't evolutionarily just jump like Omicron did.
[01:00:32.458 --> 01:00:44.311]  And that's why a lot of top scientists said, this looks like it was lab manipulated to actually end this pandemic and some white hats made it to counter the lab-made virus that we know from my research Fauci made.
[01:00:44.351 --> 01:00:45.752]  But Dr. McCullough doesn't go there.
[01:00:45.772 --> 01:00:46.734]  He doesn't like to speculate.
[01:00:47.334 --> 01:00:51.638]   The point is, is that 99% of the time, you don't see stuff like that happen.
[01:00:51.898 --> 01:00:57.362]  But when suddenly, okay, Omicron has now, you know, done this and people that were immune can get sick from it.
[01:00:57.502 --> 01:01:01.804]  I know because I've had both Delta and Omicron, that that's absolutely true.
[01:01:02.565 --> 01:01:04.867]  But when he wasn't wrong, things just changed.
[01:01:04.987 --> 01:01:06.608]  In general, that's normally how it is.
[01:01:06.668 --> 01:01:09.209]  But this is a weird, wacky world we're in right now.
[01:01:09.249 --> 01:01:13.612]  So doctor, let's go through I think the best place to start is the latest information.
[01:01:13.993 --> 01:01:16.054]  And people can follow along with that on your Twitter.
[01:01:17.263 --> 01:01:24.470]  So Dr. Peter McCullough, people should go to at P underscore MC McCullough MD or just go to Twitter and search Dr. Peter McCullough.
[01:01:25.291 --> 01:01:29.635]  We'll also link to his Twitter under the live show feed right now so folks can find that easier.
[01:01:29.896 --> 01:01:30.997]  Let's start getting into these studies.
[01:01:32.558 --> 01:01:37.942]  Okay, well the first one is let's pick up on Haase et al from the CDC, MMWR.
[01:01:38.463 --> 01:01:47.630]  They published six weeks of safety data of children ages 5 to 11 getting the vaccines and the data were not good at all.
[01:01:48.370 --> 01:01:54.916]  They ended up with 100 serious safety reports, 15% of which had an elevation intraponin.
[01:01:54.956 --> 01:01:59.076]   That means there's heart injury occurring in children below age 12.
[01:01:59.076 --> 01:02:01.516]  We previously didn't think this was possible.
[01:02:01.516 --> 01:02:07.635]   When we looked at myocarditis before COVID-19 vaccination, you almost never saw it before puberty.
[01:02:07.635 --> 01:02:09.795]  Almost, just basically just didn't happen.
[01:02:09.795 --> 01:02:14.195]   A paper by Aurelia and colleagues from Finland demonstrated that, you know,
[01:02:14.195 --> 01:02:19.516]   the explosion in myocarditis is very rare, but if it happens, it happens after puberty.
[01:02:19.516 --> 01:02:24.315]   Here with the COVID-19 vaccines, it looked like it's gonna happen in younger children.
[01:02:24.315 --> 01:02:30.995]   And then in the HACI paper, the self-reported data came in from V-safe, Alex,
[01:02:30.995 --> 01:02:40.516]   and reported their systemic reactions were reported in 34% of the children on shot one,
[01:02:40.516 --> 01:02:46.355]   40% on shot two, and then a negative health impact on the children,
[01:02:46.355 --> 01:02:51.355]  10% of those at shot one and 15% in shot two.
[01:02:52.276 --> 01:02:56.155]  And that's by HACI in MMWR.
[01:02:56.155 --> 01:02:57.995]  That was just out recently.
[01:02:58.325 --> 01:02:59.265]  This does not look good.
[01:02:59.305 --> 01:03:17.109]  This is CDC data, and I can tell you, since children at this age have a negligible symptomatic presentation for COVID-19, and it's likely the majority are now COVID-recovered, to actually sustain this type of damage and injury is simply unacceptable.
[01:03:17.749 --> 01:03:20.272]  And sir, they're trying to spin it, I've noticed, to interrupt.
[01:03:20.292 --> 01:03:25.438]  They're trying to spin it now that, oh, inflation's causing heart attacks, including in eight-year-olds.
[01:03:25.738 --> 01:03:28.762]  I have articles saying, well, now little kids have heart attacks.
[01:03:28.782 --> 01:03:29.643]  It's just the new normal.
[01:03:29.923 --> 01:03:30.964]  It's the stress.
[01:03:31.825 --> 01:03:32.946]  No, doctor, what's really happening?
[01:03:32.966 --> 01:03:38.312]  Because first they said, oh, COVID-19's causing the myocarditis, but then now it's happening in people that have already been recovered.
[01:03:38.332 --> 01:03:38.973]  What's really happening?
[01:03:39.784 --> 01:03:43.607]  No, Joe Rogan and I, you know, have had a conversation offline on this too.
[01:03:44.207 --> 01:03:48.350]  The COVID-19, the respiratory infection, does not cause myocarditis.
[01:03:48.390 --> 01:03:53.454]  That's been ruled out by a paper by Joy and colleagues from Washington University in St.
[01:03:53.474 --> 01:03:53.714]  Louis.
[01:03:53.934 --> 01:04:01.139]  What happens in sick adults, they can have an isolated elevated troponin because they're sick in the ICU, just like someone with pneumococcal sepsis.
[01:04:01.159 --> 01:04:08.063]   But the clinical definition of myocarditis, chest pain, EKG changes, heart failure, Sky Hydroponin.
[01:04:08.103 --> 01:04:13.265]  That is basically what we see with the vaccines, not with the respiratory illness.
[01:04:13.365 --> 01:04:17.866]  I want to move to, you made a comment regarding mutations of Omicron.
[01:04:18.246 --> 01:04:32.094]   Paper out by medical reporter in British Medical Journal, Mahasi, it's on my Twitter feed, Mahasi, Remember, the BA1 signifies the Omicron variant, and then the BA2 is the sub-variant.
[01:04:32.394 --> 01:04:43.961]  It turns out, you're right Alex, that the BA2 looks like it's actually a back mutation, where there's been some code restored for the spike protein in the BA2.
[01:04:44.001 --> 01:04:47.506]   That's picking up in In Europe.
[01:04:47.526 --> 01:04:50.528]  But the point is, in the Mahasi paper, look at this.
[01:04:50.848 --> 01:05:00.593]  At 25 weeks, the vaccines only had 9% vaccine efficacy for the original Omicron and only 13% for the BA2.
[01:05:01.133 --> 01:05:09.958]  And the boosted, the freshly boosted calculated vaccine efficacy was 63% for BA1 and 70% for BA2.
[01:05:10.418 --> 01:05:16.361]  I can tell you that the non-randomized estimates of vaccine efficacy are gross overestimates.
[01:05:16.801 --> 01:05:19.003]  And these are low gross overestimates.
[01:05:19.043 --> 01:05:27.668]  What I'm telling you is, with no randomized data at this point in time, it would be my inference that the vaccines are fundamentally useless against Omicron.
[01:05:29.129 --> 01:05:31.111]  Which they tried to deny just a few months ago.
[01:05:31.151 --> 01:05:42.038]  They said, get your shot, all these world leaders, and it'll protect you, just like Biden kept saying, oh, get the shot, you're totally protected, six months, a year after they were admitting that it had waning effectiveness.
[01:05:43.092 --> 01:05:56.557]  Well, you see this in the report again on my Twitter feed by Ioko Biusi, also in British Medical Journal, where the National Health System alleges completely dropped vaccines for the health care workers in the UK.
[01:05:57.537 --> 01:06:01.378]   So I can tell you it's just not a compelling Proposition.
[01:06:01.898 --> 01:06:05.979]  The next big update actually came from JAMA in the United States.
[01:06:06.019 --> 01:06:07.119]  This just hit the wires.
[01:06:08.019 --> 01:06:08.820]  Very good study.
[01:06:08.860 --> 01:06:10.580]  High quality antibody study.
[01:06:10.960 --> 01:06:11.600]  Listen to this.
[01:06:11.720 --> 01:06:12.880]  It's by Alejo.
[01:06:13.180 --> 01:06:14.181]  A-L-E-J-O.
[01:06:14.861 --> 01:06:26.563]  Alex, in those who have COVID recovered like you and I, 99% have positive antibodies and it's not limited by time with these better antibody tests.
[01:06:27.423 --> 01:06:32.525]  Of those who had suspected COVID but never got a test, 55% had antibodies.
[01:06:32.925 --> 01:06:36.666]  And completely asymptomatic, 11% had antibodies.
[01:06:36.726 --> 01:06:51.031]  And now we saw something hit the newswire that Starbucks and GE and other companies are hiring back unvaccinated workers, since unvaccinated workers look so good in terms of their immunity for those who are COVID recovered.
[01:06:51.451 --> 01:06:54.632]  And let me just interrupt before you keep going and go back, because I saw this.
[01:06:54.652 --> 01:06:56.273]  It's one of the reasons I was begging you to come on last week.
[01:06:56.853 --> 01:07:03.156]  This is huge to have the British medical system, the UK, say, OK, we're not going to make our workers take it anymore.
[01:07:03.617 --> 01:07:12.121]  And then they start sourcing and people have interviewed them and they're told, hey, we're told this vaccine is getting pulled soon or the whole program is going to be pulled.
[01:07:12.421 --> 01:07:13.221]  We've seen that.
[01:07:13.261 --> 01:07:14.922]  We've heard that from sources in the UK.
[01:07:15.162 --> 01:07:16.103]  Have you heard any rumblings?
