[00:00:00.189 --> 00:00:01.772]  Oh, no!
[00:40:05.983 --> 00:40:07.944]  Who is associated with Bain?
[00:40:08.504 --> 00:40:08.925]  Romney.
[00:40:09.725 --> 00:40:21.532]  And so we start seeing, and what's amazing is we see these outlets like NPR saying, not only is Romney himself not involved, but not to worry, even if he was, there's no problem.
[00:40:25.691 --> 00:40:26.352]  We're good.
[00:40:36.074 --> 00:41:03.343]  Yeah, you have the Democrats and the Republicans defending a proven fraudulent system, and again, I mean, I've got a couple of subsidiary companies, but they're still under my control, and to sit there and say, oh well, you know, it's a subsidiary, so it's not a conflict of interest, that's kind of like Romney saying, I have these blind trust, and they're not really blind trust, because they're still in there manipulating them.
[00:41:03.928 --> 00:41:04.208]  Right.
[00:41:04.308 --> 00:41:09.593]  So, you know, I think we're getting closer, though, Alex, to getting the public to the tipping point.
[00:41:09.973 --> 00:41:17.140]  And so now we're seeing these games of diversion, but they're really, even those aren't really working all that well.
[00:41:17.440 --> 00:41:26.508]  And, you know, I've told some people, look, if Romney does win, which looks very probable to me, but if he does win, then
[00:41:28.564 --> 00:41:35.232]  He better do poorly on the heart machines because no amount of denial is going to take people's attention off those heart machines.
[00:41:37.059 --> 00:41:37.559]  You're right.
[00:41:37.619 --> 00:41:42.903]  Let's talk about that because I mean, I see it kind of like one is cyanide, one is arsenic.
[00:41:43.283 --> 00:41:44.524]  Both of them are poisonous.
[00:41:44.604 --> 00:41:46.084]  Both of them are lethal doses.
[00:41:46.465 --> 00:41:47.906]  They work for the same globalist.
[00:41:48.846 --> 00:41:50.647]  But there are going to be some differences.
[00:41:50.667 --> 00:41:55.270]  I mean, I don't like the fact that Obama openly says he's going to go after handguns and rifles.
[00:41:55.870 --> 00:41:58.832]  You've got Romney saying he wants to, you know, expand big wars.
[00:41:58.972 --> 00:41:59.733]  I don't like that.
[00:42:00.173 --> 00:42:01.714]  I mean, it's kind of like pick your poison.
[00:42:02.514 --> 00:42:05.776]  But I do see Michael Moore calling for violence if
[00:42:06.917 --> 00:42:09.999]  Obama is not elected, saying that, well, if he's not elected, it's fraud.
[00:42:10.019 --> 00:42:16.582]  I see Bill Maher stirring up Divide and Conquer, really saying some horrible things.
[00:42:16.942 --> 00:42:18.423]  What do you think is going on behind that?
[00:42:18.463 --> 00:42:28.808]  Because you and I that are, you know, old-school hands of the world studying this, they wouldn't let them, you know, go out and put this out in the media if they weren't being given some type of okay from up top.
[00:42:28.848 --> 00:42:32.690]  So, what do you think the strategies are on both sides from these groups?
[00:42:32.770 --> 00:42:34.271]  And I really respect your view.
[00:42:34.351 --> 00:42:35.872]  Why do you think it's going to be Romney
[00:42:36.172 --> 00:42:39.975]  When the mainstream media is saying it's going to be Obama?
[00:42:40.575 --> 00:42:48.801]  Well, what I watch, why I think it's going to be Romney, and by the way, that doesn't have anything to do with who really voted for who, that just has to do with who the chosen winner will be.
[00:42:50.623 --> 00:42:57.668]  What I watch right before the election is when they send out things all over the mainstream media to create plausibility.
[00:42:58.208 --> 00:42:58.388]  Okay.
[00:43:15.314 --> 00:43:23.119]  You know, Hillary was 18 points behind, but she's caught up now because she cried, and that made all the women decide to vote for Hillary.
[00:43:23.419 --> 00:43:28.643]  That's what I call implausibly trying to develop a veneer of plausibility.
[00:43:28.903 --> 00:43:40.831]  Well, I've been seeing a lot of that in terms of the Romney thing, where they're trotting out polls that are from these companies that use a known bias in their sampling method, and they're ignoring some of the other polls.
[00:43:41.431 --> 00:43:52.594]  And if they're working so hard to create plausibility, then it makes me think that they need that plausibility for some reason, i.e., they plan to create a result, but they need plausibility as well.
[00:43:52.614 --> 00:43:55.795]  Sure, Bev, I agree with you to a point, but we see both sides doing this.
[00:43:56.196 --> 00:43:59.236]  You know, having the bookies come out in Europe and the U.S.
[00:43:59.257 --> 00:44:03.438]  and say, you know, 70-plus percent chance that it's going to be...
[00:44:04.638 --> 00:44:12.541]  Obama or all the polls that were showing Romney winning by three to five points suddenly show it neck and neck or Obama winning.
[00:44:13.342 --> 00:44:14.722]  Oh now see I've missed that.
[00:44:14.762 --> 00:44:17.603]  I've been watching the other flip so who knows now.
[00:44:19.004 --> 00:44:20.925]  Yeah well then maybe not you know.
[00:44:21.445 --> 00:44:22.946]  Who knows we're going to find out tomorrow.
[00:44:22.986 --> 00:44:26.227]  I'm not as terrible at predicting winners by the way I should tell you that.
[00:44:26.837 --> 00:44:27.978]  Well, Bev, let me just add this.
[00:44:28.638 --> 00:44:32.560]  When it's all a smokescreen and fraud with both sides, who could know?
[00:44:33.200 --> 00:44:35.841]  I mean, it's gotten so corrupt, maybe they don't even know.
[00:44:36.101 --> 00:44:39.663]  It's whoever can snatch the most, you know, control the most machines.
[00:44:40.276 --> 00:44:41.016]  Well, yeah.
[00:44:41.436 --> 00:44:45.077]  Regardless of who wins, there's absolutely no reason to have confidence in it.
[00:44:45.357 --> 00:44:48.398]  And there's also no reason to commit violence, because guess what?
[00:44:48.678 --> 00:44:50.459]  That's not going to get us any farther.
[00:44:50.479 --> 00:44:55.540]  Any more than, you know, you see a bunch of people marching around on the street with signs down.
[00:44:55.800 --> 00:44:56.440]  That doesn't work.
[00:44:56.460 --> 00:44:57.220]  That worked in the 60s.
[00:44:57.420 --> 00:44:58.401]  It doesn't work now.
[00:44:58.721 --> 00:45:05.302]  You know, we're really looking at, at this point, we need to expose the fraud and we need to do litigation and hope that we get a good judge.
[00:45:05.342 --> 00:45:07.143]  You remember with the tobacco litigation?
[00:45:07.783 --> 00:45:14.808]  They eventually won after losing a lot of battles because they just kept throwing it against the wall until they got a judge that found their way.
[00:45:14.828 --> 00:45:21.052]  Well that's like George Washington lost almost every battle but never gave up so they finally won.
[00:45:21.072 --> 00:45:22.954]  I mean it's whoever wants it the most.
[00:45:23.959 --> 00:45:24.659]  Yeah, exactly.
[00:45:25.740 --> 00:45:32.102]  And we see this when we see them, you know, pushing in, for example, internet voting, which is like the worst of all worlds.
[00:45:32.642 --> 00:45:40.925]  And every time it gets defeated by citizens coming up to the legislator and testifying against it, it comes right back the next year with its corporate sponsors.
[00:45:40.945 --> 00:45:42.406]  Well, we've got to do the same thing.
[00:45:42.446 --> 00:45:46.207]  If we want public sovereignty, if we want public
[00:45:46.767 --> 00:45:47.127]  Thank you.
[00:45:59.741 --> 00:46:00.181]  That's right.
[00:46:00.542 --> 00:46:04.944]  We get 60% turnouts on average for these big presidential elections, or close to it.
[00:46:05.284 --> 00:46:07.125]  And you get, what, eight and a half or so?
[00:46:07.206 --> 00:46:08.106]  No, what's the average?
[00:46:08.126 --> 00:46:08.766]  Last time I checked, 8.6.
[00:46:10.748 --> 00:46:11.548]  Local turnout.
[00:46:12.008 --> 00:46:14.750]  We need people to take over their local towns and cities.
[00:46:15.150 --> 00:46:17.592]  We need people to take over the states.
[00:46:17.672 --> 00:46:19.213]  That's where the rubber meets the road.
[00:46:19.513 --> 00:46:22.775]  Not just every four years, wake up for a few months and then go back to sleep.
[00:46:23.404 --> 00:46:35.729]  And the same thing goes with if you're going to litigate about election, getting them back in the open, pick a small issue-oriented thing that happens locally, because there's not going to be as much dollars behind defending that.
[00:46:36.149 --> 00:46:38.190]  And all you have to do is win the principal.
[00:46:38.230 --> 00:46:41.051]  It doesn't matter which race you win the principal with.
[00:46:41.940 --> 00:46:47.323]  Now I know in the past one of the final questions we've gotten, we'll get a bigger update from you on Election Day and then on Wednesday in the aftermath.
[00:46:47.624 --> 00:46:52.246]  Obviously that's what's going to be really important is what happens in the aftermath with Bev Harris of blackboxvoting.org.
[00:46:53.207 --> 00:47:00.231]  Now I've studied this quite a bit, but break it down as simply as you could in a few minutes like you were talking to, you know, say a CNN audience.
[00:47:01.807 --> 00:47:07.850]  How does the election work when you see them come out and act like they've all gotten the numbers first?
[00:47:08.170 --> 00:47:12.252]  I know it was voter news services in the past, because it's not just regional fraud.
[00:47:12.272 --> 00:47:16.534]  I know we've seen chicanery up at the national level when they integrate that.
[00:47:16.594 --> 00:47:17.755]  What's the company called now?
[00:47:18.404 --> 00:47:20.344]  It's called NEP, National Election Pool.
[00:47:20.364 --> 00:47:22.425]  It's the same guys as the Voter News Service.
[00:47:22.445 --> 00:47:23.485]  They just changed their name.
[00:47:24.745 --> 00:47:34.327]  And essentially, when you're watching CNN and you're channel surfing from channel to channel and they're all pretending that they have their own analysts and they're going to tell you.
[00:47:34.747 --> 00:47:35.267]  It's not!
[00:47:35.427 --> 00:47:36.587]  They don't have different analysts.
[00:47:36.607 --> 00:47:38.087]  They're all using NEP.
[00:47:38.387 --> 00:47:39.688]  They all pay NEP.
[00:47:39.728 --> 00:47:47.169]  They have one set of analysts and they all repeat the same numbers and pretend that they're having a horse race for who can get the results first.
[00:47:47.929 --> 00:47:53.052]  And what's so interesting is NET this year has decided it's not going to exit poll 19 states.
[00:47:53.112 --> 00:48:02.136]  So I just, I tell you, I really am, I'm going to watch TV tomorrow night with a stopwatch and see how quickly they call the states where they happen to have canceled the exit poll.
[00:48:03.180 --> 00:48:03.821]  Unbelievable.
[00:48:04.562 --> 00:48:07.506]  What's your intel on what CBS News and others are reporting?
[00:48:07.526 --> 00:48:12.973]  The New York Board of Elections is saying they may allow voting past Tuesday.
[00:48:13.053 --> 00:48:14.876]  What in the world is that going to do?
[00:48:18.080 --> 00:48:18.580]  I don't know.
[00:48:41.642 --> 00:48:51.338]  They say that New York and New Jersey are not particularly swing states, so I don't know if that might be aimed at the House or something like that.
[00:48:53.066 --> 00:48:56.489]  Yeah, we've got some close races in the House and the Senate on both fronts.
[00:48:56.549 --> 00:49:00.893]  But, I mean, that gives the lawyers more time to stir stuff up.
[00:49:01.113 --> 00:49:04.937]  That gives companies longer to find extra votes, tweak things.
[00:49:05.738 --> 00:49:11.062]  That's not a good sign, though, probably, if they keep the election results out there for a couple days.
[00:49:11.483 --> 00:49:12.644]  Well, you think that's bad?
[00:49:12.664 --> 00:49:13.525]  Try California.
[00:49:13.545 --> 00:49:16.848]  They keep counting the votes three weeks after the election.
[00:49:17.791 --> 00:49:18.732]  I'm not kidding you.
[00:49:18.752 --> 00:49:21.194]  This is the thing down in California.
[00:49:21.214 --> 00:49:27.940]  They start counting the absentee votes, which is about 50% of the votes in California, three weeks before the election.
[00:49:27.960 --> 00:49:30.162]  So they pretty much know what they need on election day.
[00:49:30.543 --> 00:49:34.607]  And they keep counting these straggler votes all the way up for another three weeks.
[00:49:35.387 --> 00:49:37.249]  It's crazy to keep doing that.
[00:49:37.329 --> 00:49:37.910]  Unbelievable.
[00:49:37.990 --> 00:49:39.071]  Bab, we've got a minute left.
[00:49:39.111 --> 00:49:39.992]  You're back with us tomorrow.
[00:49:40.132 --> 00:49:42.254]  Any other tidbits you'd like to relay to the audience?
[00:49:44.414 --> 00:49:52.378]  I think we're just going to have to watch and see which way the wind blows and then the real work starts to unravel and find out how it happened.
[00:49:53.039 --> 00:49:55.340]  Regardless of who wins, it doesn't really matter.
[00:49:55.760 --> 00:50:04.786]  We have to unravel it and prove, at least find one or two locations that will make good tests, either lawsuits or fraud investigations.
[00:50:05.226 --> 00:50:08.728]  Because we've got to get the integrity of the system back if we're ever going to get out of this mess.
[00:50:13.801 --> 00:50:27.630]  Folks, if you want to make real change, go to blackboxvoting.org and donate, support this lady.
[00:50:27.650 --> 00:50:29.771]  She's going to be out there in the days and weeks after.
[00:50:30.051 --> 00:50:32.713]  We'll get updates from her as she ferrets out more corruption.
[00:50:33.273 --> 00:50:37.556]  She is absolutely like a pit bull, exposed these guys over and over again.
[00:50:37.576 --> 00:50:39.157]  Bev Harris, we'll talk to you again tomorrow.
[00:50:39.755 --> 00:50:40.256]  Thanks, Alex.
[00:50:57.458 --> 00:51:07.408]  I quite frankly just want to get this thing over with, because it becomes a big distraction while they're busy having the courts rule there's no Fourth Amendment, while they're busy, you know, coming after our freedoms.
[00:51:07.908 --> 00:51:10.711]  The Republicans and Democrats are both the problem.
[00:51:10.731 --> 00:51:11.332]  We'll be right back.
[00:51:12.540 --> 00:51:18.683]  The worst drought in 50 years continues, and the first six months of 2012 marks the hottest half year on record.
[00:51:19.043 --> 00:51:21.444]  78% of the Midwest corn belt is in drought conditions.
[00:51:21.644 --> 00:51:26.747]  Not only corn, but soy, alfalfa, fruits, vegetables, and wheat are all impacted, raising prices.
[00:51:27.047 --> 00:51:31.729]  The cost to feed livestock is forcing farmers and ranchers out of business, blowing up your food prices.
[00:51:31.989 --> 00:51:39.374]  The only strategy to counter this is to freeze your food cost at today's prices by getting your own supply of foods from eFoods Direct now.
[00:51:39.634 --> 00:51:43.336]  As the price of raw ingredients increases, eFoods will have to raise prices too.
[00:51:43.516 --> 00:51:45.097]  Now is the time to get your supply.
[00:51:45.298 --> 00:51:49.180]  I recently increased my supply from eFoods Direct because we have all known this was coming.
[00:51:49.320 --> 00:51:51.942]  You know about their delicious long-term storable foods.
[00:51:52.222 --> 00:51:54.863]  The fact is, you can eat it any time to save money today.
[00:51:55.003 --> 00:51:59.424]  And because it's stored for 25 years, you're locking in today's prices and avoiding the rising food costs.
[00:51:59.564 --> 00:52:00.084]  Don't wait!
[00:52:00.204 --> 00:52:02.085]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex.
[00:52:02.105 --> 00:52:03.645]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:52:03.665 --> 00:52:05.226]  You can bet your life on eFoodsDirect.
[00:52:12.383 --> 00:52:16.848]  We can buy GMOs stressed out about money and blasted by the electric environment.
[00:52:17.148 --> 00:52:21.132]  Hi, I'm Pastor Jenny and that was the state I was in back in 2010.
[00:52:21.493 --> 00:52:23.395]  Then I learned about RNA drops.
[00:52:23.675 --> 00:52:33.366]  I learned that 97% of my DNA that scientists have called junk is actually packed with millions of gene switches that play a critical role in controlling how my cells, organs,
[00:52:33.626 --> 00:52:33.806]  I think?
[00:53:00.807 --> 00:53:00.927]  577-3703.
[00:53:01.087 --> 00:53:04.889]  Pay only shipping and handling for a free 30-day supply of RNA drops.
[00:53:05.029 --> 00:53:09.751]  Get the information you need and the health you want at rnafreesample.com.
[00:53:11.786 --> 00:53:17.428]  Would it save you time to get the best quality water filters and the best quality storable foods from one company?
[00:53:17.808 --> 00:53:18.568]  You bet it would!
[00:53:18.828 --> 00:53:19.888]  And now you can!
[00:53:20.188 --> 00:53:22.389]  At BigBerkyWaterFilters.com.
[00:53:22.649 --> 00:53:30.411]  Big Berky Water Filter products and great tasting, long-lasting, storable Wyze Foods are both now available on one website.
[00:53:30.671 --> 00:53:32.572]  BigBerkyWaterFilters.com.
[00:53:32.832 --> 00:53:33.512]  Wyze Foods.
[00:53:33.732 --> 00:53:38.759]  Ready-to-eat meals are packed in airtight nitrogen pouches and come with a 25-year shelf life.
[00:53:39.039 --> 00:53:45.087]  Big Berkey water filters are powerful enough to purify treated, untreated, or even stagnant pond water.
[00:53:45.348 --> 00:53:49.914]  Combine Berkey water filters with Wise Foods for an unbeatable preparedness combination.
[00:53:50.254 --> 00:53:56.817]  Get free shipping on every order over $50, and GCN listeners receive 5% off all ceramic filter systems.
[00:53:57.177 --> 00:54:02.459]  Visit bigberkeywaterfilters.com or call 877-99-BERKEY.
[00:54:02.619 --> 00:54:03.200]  That's 877-99-BERKEY.
[00:54:03.240 --> 00:54:05.140]  Or go to bigberkeywaterfilters.com.
[00:54:27.085 --> 00:54:35.228]  Okay, we're going to be getting into hurricane victims and what they're witnessing while we're busy, distracted by the election.
[00:54:36.368 --> 00:54:41.670]  And another example of government can't and won't protect you, but if you've got a bow and arrow to protect your house, they're going to arrest you.
[00:54:42.371 --> 00:54:47.973]  If you drive to the nearby state to get cans of gas for your neighbors and deliver it to your neighbors, not even selling it, you're going to go to jail.
[00:54:49.313 --> 00:54:51.334]  If you try to help anybody, you're going to go to jail.
[00:54:52.533 --> 00:54:55.696]  Government's still out writing tickets, generating revenue with pleasure.
[00:54:56.896 --> 00:55:00.459]  Churches are trying as best they can to feed and clothe people as usual.
[00:55:01.160 --> 00:55:06.824]  Government's working as best it can to abolish churches and turn them into government 501c3 charities.
[00:55:07.644 --> 00:55:08.505]  That's all coming up.
[00:55:08.625 --> 00:55:13.309]  Incredible videos contained in the article by Paul Joseph Watson.
[00:55:13.769 --> 00:55:17.291]  Threats to riot by Obama supporters reaches crescendo.
[00:55:18.254 --> 00:55:19.435]  We're going to be going over all that.
[00:55:20.316 --> 00:55:27.102]  Now, on Friday, we had some callers who were in New Jersey and in New York.
[00:55:27.122 --> 00:55:32.707]  There was three or four of them left on the line when the show ended who wanted to tell what they'd seen and what's happening.
[00:55:33.147 --> 00:55:34.569]  That was four days into it.
[00:55:35.877 --> 00:55:36.538]  Five days into it.
[00:55:36.598 --> 00:55:43.985]  We're now seven days into millions and millions of people in New Jersey, New York without power, looting, intensifying, you name it.
[00:55:44.305 --> 00:55:47.548]  Media keeping it as quiet as they can because they don't want it to be an election issue.
[00:55:47.568 --> 00:55:49.570]  We're going to be breaking all that down.
[00:55:49.610 --> 00:55:51.472]  The toll free number to join us on air.
[00:55:51.492 --> 00:55:51.532]  800-259-9231.
[00:55:51.552 --> 00:55:51.592]  800-259-9231.
[00:56:00.871 --> 00:56:11.137]  Now if you go up to InfoWars.com or PrisonPlanet.com, we have InfoWars Nightly News every night at 7 o'clock, but we're going to have tomorrow a free video feed.
[00:56:11.157 --> 00:56:14.719]  The audio feeds are always free, but we couldn't pay to have free video feeds all the time.
[00:56:15.360 --> 00:56:18.822]  It cost me sometimes $15,000 to stream free video, because if you get
[00:56:19.722 --> 00:56:22.824]  You know, 800,000 people over a day logging in.
[00:56:22.844 --> 00:56:26.626]  I mean, it's a big bill, even if you buy it in bulk.
[00:56:26.686 --> 00:56:30.428]  But we are going to have free video feeds tomorrow at 11 a.m.
[00:56:30.448 --> 00:56:30.488]  to 2.
[00:56:32.632 --> 00:56:45.041]  In the Listen Live area, if you just click the big mega banners at the top of Infowars.com that show Mitt Romney and Obama as puppets, you click on that, it'll take you to a page that has a video box.
[00:56:45.081 --> 00:56:47.022]  In fact, we ought to just start having that stream today.
[00:56:47.163 --> 00:56:50.085]  Just get people used to it so folks can send that link out.
[00:56:50.105 --> 00:56:53.267]  I'll tell the IT guys to go ahead and fire that video link up today.
[00:56:53.587 --> 00:56:54.888]  And then start tomorrow, 11 a.m.
[00:56:54.908 --> 00:56:56.449]  Central, 12 noon Eastern during the show.
[00:56:56.469 --> 00:56:57.250]  It'll be a live feed.
[00:56:57.910 --> 00:56:59.731]  The audio feeds will be carrying it as well.
[00:57:01.052 --> 00:57:09.439]  And then, 5 to midnight, we'll have live election coverage, 4 Info Wars Nightly News, free to everybody.
[00:57:09.459 --> 00:57:17.606]  We're going to have Gerald Cilente on, then Max Keiser, Wayne Madsen, Paul Craig Roberts, Lou Rockwell, Nomi Prins, Webster Tarpley, and others.
[00:57:19.130 --> 00:57:21.411]  David Icke, by the way, is on tomorrow in the middle of the show.
[00:57:22.051 --> 00:57:26.253]  We got Jesse Ventura up for the aftermath of the election on Wednesday.
[00:57:27.373 --> 00:57:30.555]  So that is all coming up here.
[00:57:30.635 --> 00:57:33.076]  And I want to ask everybody to go to InfoWars.com.
[00:57:33.696 --> 00:57:37.237]  You know, the whole top of the site now looks like a stage because it's puppets on it.
[00:57:37.518 --> 00:57:37.978]  Click that.
[00:57:38.038 --> 00:57:43.960]  It takes you to the page with a short blurb that Kurt Nemo put together with the free video feed.
[00:57:44.060 --> 00:57:45.561]  And that's the link to have.
[00:57:46.061 --> 00:57:48.303]  You go to Infowars.com, click here to watch.
[00:57:48.743 --> 00:57:52.867]  You click on that and you get the link and it goes out to everybody.
[00:57:53.227 --> 00:57:55.449]  Show that everybody has that link.
[00:57:55.489 --> 00:58:00.754]  And by the way, radio stations out there, I know you'll be carrying Fox and CNN and AP radio and stuff.
[00:58:01.114 --> 00:58:06.679]  Anytime you want to just hear something you like during live election coverage, our affiliates out there, you are more than welcome.
[00:58:08.147 --> 00:58:14.131]  To go and grab the high-fidelity audio feeds we're going to have with all these big guests.
[00:58:14.571 --> 00:58:25.998]  Or you're welcome to cut any excerpts out and play it on your news with people like Dr. Paul Craig Roberts, former head of the Treasury Department and Policy, Lou Rockwell, Ron Paul's former Chief of Staff, Nomi Prins, Webster Tarpley, Gerald Cilente, and many others.
[00:58:26.458 --> 00:58:30.380]  By the way, Ron Paul, it was nice to get contacted by Ron Paul.
[00:58:30.440 --> 00:58:31.361]  Usually we do the other way.
[00:58:31.781 --> 00:58:36.084]  Last week we got contacted via Lou Rockwell for Ron Paul saying, hey, you want to come on the show?
[00:58:36.764 --> 00:58:38.866]  Friday coming up in the aftermath of the election.
[00:58:39.446 --> 00:58:40.567]  Ron Paul had been on a while.
[00:58:40.587 --> 00:58:43.589]  He was so busy with the campaign I didn't want to wear him out.
[00:58:44.390 --> 00:58:47.933]  So Ron Paul is going to be on the show as well.
[00:58:48.293 --> 00:58:49.153]  Alright, stay with us.
[00:58:49.173 --> 00:58:50.214]  Your calls are coming up.
[00:58:55.098 --> 00:58:58.921]  This is GCN, the Genesis Communications Radio Network.
[00:59:02.387 --> 00:59:07.631]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:59:07.872 --> 00:59:10.073]  Start purifying your water with ProPure.
[00:59:10.294 --> 00:59:15.818]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure.
[00:59:15.998 --> 00:59:19.241]  And it's available discounted at InfoWars.com.
[00:59:19.381 --> 00:59:22.564]  Its filters are silver impregnated to prevent bacterial growth.
[00:59:22.844 --> 00:59:24.245]  There's no priming required.
[00:59:24.525 --> 00:59:26.567]  It's NSF-42 certified.
[00:59:26.787 --> 00:59:29.269]  Optional fluoride filters can reduce fluoride up to 95%.
[00:59:30.350 --> 00:59:31.691]  Easy to set up and use.
[00:59:31.871 --> 00:59:33.172]  Doesn't require electricity.
[00:59:33.292 --> 00:59:36.155]  Purify water from lakes, streams, ponds, and wells.
[00:59:36.455 --> 00:59:39.638]  This filter system leaves in beneficial minerals, which is key.
[00:59:39.858 --> 00:59:43.841]  Save money by not buying bottled water, and avoid BPA that leaches from the plastic.
[00:59:43.981 --> 00:59:46.583]  ProPure is the best gravity-fed filter out there.
[00:59:46.743 --> 00:59:48.044]  It's what my family uses.
[00:59:48.305 --> 00:59:51.507]  Infowars.com already has the lowest price on ProPure.
[00:59:51.607 --> 00:59:56.872]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:59:57.452 --> 01:00:00.415]  You can also call to order 888-253-3139.
[01:00:05.261 --> 01:00:07.183]  Waging war on corruption.
[01:00:07.663 --> 01:00:10.446]  Alex Jones on the GCM Radio Network.
[01:00:17.096 --> 01:00:21.279]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:21.920 --> 01:00:22.720]  You want answers?
[01:00:23.521 --> 01:00:24.422]  Well, so does he.
[01:00:25.042 --> 01:00:28.625]  He's Alex Jones on the GCN Radio Network.
[01:00:29.245 --> 01:00:33.368]  And now, live from Austin, Texas, Alex Jones.
[01:00:40.033 --> 01:00:42.755]  We are back live, ladies and gentlemen, another hour.
[01:00:44.073 --> 01:00:46.677]  of the Alex Jones Show and I am your host Alex Jones.
[01:00:46.717 --> 01:00:50.382]  It is the day before the elections, the eve of the elections.
[01:00:51.423 --> 01:00:54.768]  And we're going to be here, I don't know, like 10 hours tomorrow total.
[01:00:55.729 --> 01:00:56.470]  Maybe longer.
[01:00:56.930 --> 01:01:01.376]  I'm going to go until midnight central tomorrow and then whoever wants to
[01:01:02.841 --> 01:01:17.908]  From our great crew, David Knight, David Ortiz, Jakari Jackson, Melissa Melton, Darren McBreen, John Bowne, Aaron Dykes, Paul Watson, and so many others here of our great reporters.
[01:01:18.368 --> 01:01:20.449]  Dan Badanti's coming back today.
[01:01:21.429 --> 01:01:22.850]  From visiting family in Rhode Island.
[01:01:22.870 --> 01:01:23.591]  He went through the storm.
[01:01:23.631 --> 01:01:39.201]  He'll be here as well Of all our great reporters Rob do they're all gonna will probably have some roundtables after all the guests and stuff tomorrow Anyways, I've just got that on my mind I just can't wait to see what comes out of this giant puppet event because you've got election fraud by both sides.
[01:01:39.221 --> 01:01:44.605]  You've got You've got no doubt I'm gonna talk about this more in the next segment after some calls.
[01:01:44.625 --> 01:01:49.908]  I mean, I cannot believe well you guys queue up the Michael Moore and then the
[01:01:51.457 --> 01:01:52.017]  Other clip.
[01:01:53.698 --> 01:02:05.045]  Bill Maher, yeah, and Aaron just found more clips of serious demonstrators for Obama saying, we want abortion to get rid, basically, of the ugly black kids.
[01:02:05.245 --> 01:02:06.385]  Black people saying this.
[01:02:07.246 --> 01:02:10.108]  And I've actually had black people tell me this repeatedly.
[01:02:10.128 --> 01:02:16.611]  I've had white people say it about black... It's so sick that the left is not the left at all.
[01:02:16.651 --> 01:02:17.732]  They are a bunch of monsters.
[01:02:19.185 --> 01:02:26.442]  They are a bunch of, the pie is one size, we want socialism, we want to pull everybody down, and we want to abort people.
[01:02:26.483 --> 01:02:27.745]  He was just showing me this footage.
[01:02:28.783 --> 01:02:32.486]  What made me so mad about it is I saw it weeks ago and didn't even play it on air because it's so horrible.
[01:02:32.846 --> 01:02:39.091]  We're going to have to bleep that out and then tie it in with the other doctor saying, you know, we're going to abort all the ugly black babies.
[01:02:39.131 --> 01:02:41.453]  And I'm not trying to just get off into this all day.
[01:02:41.533 --> 01:02:47.558]  I just, every time I'm around the so-called left, all they talk about is killing babies and how great it is and how they love death.
[01:02:47.578 --> 01:02:52.662]  I mean, I can play Bill Maher saying he loves death because they're eugenicists and even their minions are eugenicists.
[01:02:53.183 --> 01:02:55.885]  The victims of it sit around getting into it.
[01:02:56.385 --> 01:02:58.386]  And I guess it's the old thing, if you can't beat them, join them.
[01:02:58.946 --> 01:03:00.586]  I, for one, have had enough of these people.
[01:03:01.307 --> 01:03:03.747]  And then I wish there was an alternative in Mitt Romney.
[01:03:04.368 --> 01:03:06.949]  But I'm not dumb enough to sit there and be suckered by it.
[01:03:07.309 --> 01:03:10.850]  But still, at a subconscious level, you want to hit the reset button.
[01:03:10.930 --> 01:03:12.070]  Come on, change something.
[01:03:12.410 --> 01:03:13.751]  I hope Obama changes it all.
[01:03:13.791 --> 01:03:14.631]  He did what I thought he'd do.
[01:03:14.911 --> 01:03:17.092]  Come on, Romney, change it, change it, but he won't.
[01:03:19.659 --> 01:03:23.363]  Because we've gotten lazy and we've let corrupt people run everything.
[01:03:24.104 --> 01:03:27.328]  Tommy, from Friday, we got his number and called him back.
[01:03:27.348 --> 01:03:28.109]  We didn't get to him on air.
[01:03:28.149 --> 01:03:28.790]  He's in New York.
[01:03:29.230 --> 01:03:31.393]  Man, seven days without power in many areas.
[01:03:31.673 --> 01:03:32.434]  How are you faring?
[01:03:32.454 --> 01:03:33.114]  What can you tell us?
[01:03:34.897 --> 01:03:35.858]  I'm actually pretty good.
[01:03:36.078 --> 01:03:37.339]  I have a couple locations.
[01:03:37.519 --> 01:03:40.581]  I was down in the East Village where that power plant blew up.
[01:03:40.961 --> 01:03:42.301]  I don't know if you saw the video online.
[01:03:42.642 --> 01:03:45.503]  I'm about like three or four blocks away from that.
[01:03:45.563 --> 01:03:46.184]  Wow.
[01:03:46.784 --> 01:03:48.585]  It was really, really, really, really crazy.
[01:03:48.625 --> 01:03:57.730]  I mean, the East River, the ocean was coming right down Avenue C and Avenue D. People did not leave their homes, people were not prepared, and they all got flooded out.
[01:03:59.011 --> 01:04:04.639]  So, I mean, it was definitely, definitely shocking to see that in the place that, you know, people were not expecting it.
[01:04:06.242 --> 01:04:12.351]  Have you seen the reports of police arresting people trying to defend their homes and arresting people that try to bring gasoline to their neighbors?
[01:04:13.326 --> 01:04:15.728]  I've seen those reports and actually I want to speak on that too.
