[00:00:41.150 --> 00:00:44.252]  Welcome, ladies and gentlemen, to the InfoWars Nightly News.
[00:28:02.478 --> 00:28:05.919]  And yet, you know, there's been a number of federal investigations that found fraud.
[00:28:06.719 --> 00:28:12.080]  So I've never seen this story done that didn't have the influence of the government, you know, on it.
[00:28:12.861 --> 00:28:17.242]  So, you know, my goal is to try to get someone from the mainstream media to do this story.
[00:28:17.362 --> 00:28:20.903]  And so much to ask President Obama this question during the elections.
[00:28:20.923 --> 00:28:23.723]  I think it'd be a great question for the presidential debate.
[00:28:23.743 --> 00:28:25.804]  If it took real questions.
[00:28:26.718 --> 00:28:35.160]  Well, I'd like to have someone ask President Obama why his administration is giving small business contracts to an arms dealer owned by the Russian government, for example.
[00:28:35.180 --> 00:28:36.420]  I'd like to see what he says to that.
[00:28:37.480 --> 00:28:41.121]  But of course, we're dealing with a two-party deception, a two-party cover-up.
[00:28:41.701 --> 00:28:43.481]  Romney's a big part of this as well.
[00:28:44.341 --> 00:28:48.822]  Yeah, in fact, you know, it doesn't really matter to me who's elected.
[00:28:50.963 --> 00:28:52.943]  Whoever it is will still be
[00:28:54.491 --> 00:28:59.094]  Controlled significantly by Fortune 500 corporations.
[00:29:00.195 --> 00:29:06.039]  And it doesn't matter if Romney's elected or Obama's elected, I know that they're going to keep giving small bits and contracts to Fortune 500 firms.
[00:29:06.700 --> 00:29:10.843]  Even if it pushes America into a depression, we won't recover from, you know, for 20 years.
[00:29:11.543 --> 00:29:13.765]  Because those people are the ones that run our government.
[00:29:14.858 --> 00:29:16.239]  And they're prostituted out to them.
[00:29:16.279 --> 00:29:19.660]  What's been your reaction to Paul Ryan being picked as VP?
[00:29:19.980 --> 00:29:27.884]  He has the public image of someone who could reform the economy, but these are such deep-set issues, and there's so much avoiding of the real problems.
[00:29:28.764 --> 00:29:32.205]  I don't see any possibility for serious reform, but I'd like your take.
[00:29:33.086 --> 00:29:34.486]  No, again, it doesn't matter.
[00:29:34.506 --> 00:29:39.729]  I've fought this through, gosh, how many administrations?
[00:29:39.769 --> 00:29:42.310]  You know, three or four, maybe four.
[00:29:43.582 --> 00:29:44.743]  And it doesn't matter.
[00:29:45.783 --> 00:29:50.927]  It's all about, you know, the corporations have so much influence in Washington.
[00:29:51.367 --> 00:30:00.292]  When you think about the people of America, if we were to poll the people of America and say, do you think that Fortune 500 firms should get federal small business contracts?
[00:30:00.372 --> 00:30:03.174]  I would say 100% of people would say absolutely not.
[00:30:03.955 --> 00:30:10.559]  And yet this has gone on every single day for over a decade, and no legislation or policy has ever been adopted to stop it.
[00:30:11.818 --> 00:30:13.824]  And it's, um, it's very troubling.
[00:30:14.386 --> 00:30:15.088]  I'll tell you a story.
[00:30:15.790 --> 00:30:18.417]  Maybe I've told this story before, but about two years ago...
[00:30:19.659 --> 00:30:21.541]  I fell asleep on my couch one night watching television.
[00:30:21.581 --> 00:30:27.305]  I woke up in the middle of the night, and it was what looked like a BBC, a CNN show.
[00:30:28.066 --> 00:30:30.068]  And there were five economists from around the world.
[00:30:30.128 --> 00:30:33.911]  I think Japan, Russia, France, England, someplace else.
[00:30:34.612 --> 00:30:36.293]  And 24 months ago, they said, if the U.S.
[00:30:36.333 --> 00:30:39.276]  doesn't bring down unemployment, it's going to push the U.S.
[00:30:39.316 --> 00:30:46.361]  into another economic downturn, which will push the world economy over the edge into a worldwide depression.
[00:30:46.402 --> 00:30:47.803]  That was two years ago.
[00:30:49.434 --> 00:30:54.196]  The only way to cut unemployment is to start giving money to small businesses.
[00:30:55.256 --> 00:30:57.777]  You know, small businesses create over 90% of all net-new jobs.
[00:30:57.797 --> 00:31:05.360]  The Kauffman Foundation came out with a study a couple years ago, and they said small businesses have created 100% of the net-new jobs since 1980.
[00:31:06.300 --> 00:31:10.602]  Conversely, that means Fortune 1000 firms haven't created one net-new job in 30 years.
[00:31:11.963 --> 00:31:16.847]  So the only way to actually create jobs is to, you know, try to get more government spending to small businesses.
[00:31:16.887 --> 00:31:19.669]  Of course, there's a law in place, you know, designed to do that.
[00:31:22.225 --> 00:31:28.051]  So what's funny to me is I think this issue has a lot to do with why U.S.
[00:31:28.071 --> 00:31:41.566]  unemployment is still so low and it could be, this issue could be a contributing factor to pushing the entire world into a worldwide recession because it's based so much on the U.S.
[00:31:41.606 --> 00:31:42.066]  economy.
[00:31:42.326 --> 00:31:42.527]  Right.
[00:31:43.191 --> 00:31:48.634]  So Lloyd, I've got Bloomberg from February 2012 saying it's a $16 billion fraud.
[00:31:49.014 --> 00:31:52.655]  This is just over the contracts that were supposed to be awarded to small businesses.
[00:31:53.296 --> 00:31:58.618]  A, is that the real scale or has that grown since the number of dollars not awarded to small businesses?
[00:31:58.998 --> 00:32:06.322]  But separate from government contracts, what other factors in the economy are keeping small businesses from being able to do what they're supposed to be doing?
[00:32:07.262 --> 00:32:08.863]  Well, I say it's about $100 billion a year, not $16.
[00:32:11.437 --> 00:32:15.719]  So I've seen individual companies getting as much as a billion a year in small business contracts.
[00:32:16.180 --> 00:32:21.923]  A few years ago, Titan Industries, a Fortune 500 defense contractor in San Diego, got $500 million.
[00:32:21.963 --> 00:32:26.725]  So in my mind, it's closer to $100 billion for a couple of reasons.
[00:32:28.426 --> 00:32:34.990]  The law says that small business should get a minimum of 23% of the total value of all federal contracts and subcontracts.
[00:32:36.195 --> 00:32:40.177]  The government says that the acquisition budget is around $500 billion.
[00:32:40.577 --> 00:32:41.718]  It's closer to a trillion.
[00:32:42.638 --> 00:32:45.699]  The Pentagon budget is, I think, somewhere over $500 billion.
[00:32:46.640 --> 00:32:49.501]  So they're lying to us about how much money they're spending, first of all.
[00:32:50.662 --> 00:32:56.705]  Second of all, the Obama administration came out recently and said they awarded both the 22.7% to small businesses.
[00:32:57.265 --> 00:33:03.528]  But of the top 100 recipients, 72 were large corporations, including, I think, this Russian company.
[00:33:04.784 --> 00:33:06.585]  So it's just a complete, you know, sham.
[00:33:06.605 --> 00:33:14.051]  In fact, I've had two senior SBA executives tell me in the last few years that the government's entire small business program is all smoke and mirrors.
[00:33:15.272 --> 00:33:21.637]  So solving that problem, which would be real simple, President Obama could do it with a one-line executive order, which would say the U.S.
[00:33:21.657 --> 00:33:25.040]  will no longer report awards to publicly traded companies or small business awards.
[00:33:25.942 --> 00:33:28.965]  That would do more to create jobs than anything President Bush ever did.
[00:33:29.365 --> 00:33:34.530]  But again, that's not going to happen because that's not what the Fortune 500 firms that pull the strings in Washington want.
[00:33:35.210 --> 00:33:37.312]  We talk about other problems facing small businesses.
[00:33:39.854 --> 00:33:42.677]  The government seems to be anti-small business.
[00:33:42.777 --> 00:33:43.618]  They talk a lot.
[00:33:43.638 --> 00:33:48.722]  You'll see Paul Ryan and Obama and Biden and Mitt Romney talking about small businesses.
[00:33:48.762 --> 00:33:50.223]  But when you look at what the government does,
[00:33:51.294 --> 00:33:55.117]  The Small Business Administration is the only agency in this country to help small businesses.
[00:33:55.798 --> 00:33:57.379]  There's 28 million small businesses.
[00:33:57.459 --> 00:33:59.942]  Again, we talked about they create almost all the net new jobs.
[00:34:00.562 --> 00:34:03.445]  That agency has a budget of something like 700 million.
[00:34:04.165 --> 00:34:06.287]  That's ridiculous.
[00:34:07.628 --> 00:34:11.832]  I think the SBA budget is something like, you know, 1% of what the Pentagon budget is.
[00:34:12.693 --> 00:34:14.675]  That should be one of the largest agencies in Washington.
[00:34:15.135 --> 00:34:18.058]  When you have a country whose economy is based upon small businesses,
[00:34:19.195 --> 00:34:22.418]  And you've got one agency to service those small businesses.
[00:34:22.658 --> 00:34:27.242]  By the way, the SBA's staff has been gutted in the last five or six years, probably the last decade.
[00:34:28.923 --> 00:34:37.270]  But I put out a piece over the weekend that said that doubling the Small Business Administration's budget could help solve the deficit problem.
[00:34:38.531 --> 00:34:43.175]  And when you watch the news about the deficit, they talk about cutting spending and raising taxes.
[00:34:43.215 --> 00:34:46.178]  What they don't talk about is how can we increase revenue
[00:34:47.455 --> 00:34:56.400]  Without raising taxes, a real easy way is to start channeling the proper amount of federal contracts of small businesses the law requires.
[00:34:57.521 --> 00:35:01.503]  And that would generate lots of revenue and really help cut the deficit.
[00:35:01.523 --> 00:35:03.024]  But again, I don't think that's going to happen.
[00:35:03.484 --> 00:35:07.547]  By the way, you talk about 72 of the 100 companies you profiled being too big.
[00:35:07.907 --> 00:35:09.448]  What's the best working definition?
[00:35:09.528 --> 00:35:14.271]  When does a business stop being a small business and become these giant corporate entities?
[00:35:15.083 --> 00:35:17.625]  I think everybody in America knows what a small business is if you ask them.
[00:35:19.427 --> 00:35:20.248]  Again, according to the U.S.
[00:35:20.268 --> 00:35:22.250]  Census Bureau, 98% of all U.S.
[00:35:22.290 --> 00:35:23.551]  firms have less than 100 employees.
[00:35:24.752 --> 00:35:27.034]  And I would say that's a good definition.
[00:35:27.254 --> 00:35:28.555]  By the way, 89% of all U.S.
[00:35:28.595 --> 00:35:29.936]  firms have less than 20 employees.
[00:35:30.857 --> 00:35:38.064]  So if you went to federal court and asked a federal judge to come up with a definition, I think a judge would probably say no more than 50 employees would be a small business.
[00:35:38.104 --> 00:35:39.265]  But I'll go ahead and go with up to 100.
[00:35:40.834 --> 00:35:46.037]  But quite frankly, a small business in America is a company with probably, you know, I think the average U.S.
[00:35:46.077 --> 00:35:47.718]  firm has something like nine employees.
[00:35:48.599 --> 00:35:51.841]  But I think it'd be fair to say that a small business is up to 100 employees.
[00:35:53.762 --> 00:35:54.602]  But again, you see.
[00:35:56.215 --> 00:36:01.197]  Gosh, I can't think of a Fortune 500 firm off the top of my head that has not gotten small business contracts.
[00:36:01.617 --> 00:36:10.860]  Microsoft, Dell, Apple, IBM, Sherwin-Williams, Marriott, Lockheed, Boeing, Northrop, Raytheon.
[00:36:13.766 --> 00:36:13.966]  No.
[00:36:14.707 --> 00:36:20.014]  But everyone in America knows what a small business is, and it's certainly not Fortune 500 companies.
[00:36:20.534 --> 00:36:20.815]  Sure.
[00:36:21.355 --> 00:36:25.561]  Now you talk about the contempt from the government against small businesses.
[00:36:25.781 --> 00:36:29.726]  I don't know if we've had a greater remark in the rhetoric side of things than Obama.
[00:36:30.386 --> 00:36:44.694]  What a month and a half ago saying you didn't build that, his big gaffe, his unscripted moment where he kind of let out this contempt for people who have built their own businesses, tried to pave their own way, and is really heralding the age of big and bigger government.
[00:36:45.808 --> 00:36:46.448]  Absolutely.
[00:36:47.529 --> 00:36:53.050]  You know, I endorsed President Obama for president, and he put my endorsement on the front page of his website.
[00:36:53.110 --> 00:36:54.591]  We worked with his campaign.
[00:36:55.411 --> 00:37:01.252]  And in February of 2008, he came out with a statement that said it's time to end the diversion of federal small business contracts to corporate giants.
[00:37:02.273 --> 00:37:13.036]  Not only has he not done that, but a couple years ago, his administration removed a field on the government's database of contractors, which was called the parent company Dun & Bradstreet number.
[00:37:13.823 --> 00:37:19.086]  That's how federal investigators and people like me and journalists would use to see who really owns a company.
[00:37:19.286 --> 00:37:20.887]  Makes it easier to hide a shell company.
[00:37:21.208 --> 00:37:32.255]  So President Obama's administration made it easier for people to commit felony contracting fraud, made it harder for federal investigators and journalists to show that they're diverting small business contracts to large businesses.
[00:37:33.055 --> 00:37:43.538]  In fact, about a month ago, the Small Business Administration proposed a policy to give federal small business contracts to foreign-owned companies.
[00:37:44.718 --> 00:37:53.260]  Now, when Fortune 500 becomes the biggest donors to the Romney campaign, to the Obama campaign, there's all this insider knowledge, no-bid contracts.
[00:37:53.780 --> 00:37:57.521]  Obviously, this is not just money issues, but it's affecting policy as well.
[00:37:58.542 --> 00:37:59.162]  Absolutely.
[00:37:59.203 --> 00:38:11.170]  In fact, I wrote a bill called the Fairness and Transparency Contracting Act about six years ago, and that's a bill that I think 100% of American people would support.
[00:38:12.411 --> 00:38:15.673]  It's just going to stop the government from giving small business contracts to Fortune 500 firms.
[00:38:17.626 --> 00:38:20.148]  And that bill will never be passed, I don't think.
[00:38:20.468 --> 00:38:28.914]  It doesn't have a snowball's chance of passing because the Fortune 500 firms that receive so much of this money, they control it.
[00:38:29.474 --> 00:38:34.317]  You know, the congressional committees like the House and Senate Small Business Committee that you would have to get that bill through.
[00:38:35.158 --> 00:38:38.920]  But it's really disturbing.
[00:38:39.561 --> 00:38:43.283]  But it's having a dramatic negative impact on this nation's economy.
[00:38:44.304 --> 00:38:45.524]  And I would have to say that
[00:38:47.761 --> 00:38:50.103]  I would call the government anti-small business.
[00:38:50.143 --> 00:38:53.426]  I would call the United States government anti-small business.
[00:38:53.546 --> 00:38:55.908]  In fact, here's something I'll say that'll make a lot of people mad.
[00:38:57.510 --> 00:39:03.195]  If anyone watching this can think of a group that you think represents small businesses, call them up and ask them.
[00:39:03.835 --> 00:39:17.679]  While they've never come out opposing the cut in the Small Business Administration budget, and asked them why they've never said a word about the diversion of billions of dollars a month in federal small business contracts to Fortune 500 firms.
[00:39:18.659 --> 00:39:28.142]  So, if you really look at who backs groups out there that hold themselves up as being small business organizations, I've never seen one that wasn't backed by Fortune 500 firms.
[00:39:29.386 --> 00:39:39.853]  So every group out there in America that holds themselves out as a national group to support small businesses is, in truth, funded primarily by money from Fortune 500 firms.
[00:39:39.953 --> 00:39:45.237]  So I don't think there is a legitimate small business group in America, quite frankly, other than American Small Business League.
[00:39:45.277 --> 00:39:53.343]  Anyone that's mad about that, show me what you've done to stop them from giving small business contracts to Fortune 500 firms.
[00:39:53.843 --> 00:39:55.364]  To put that in perspective, by the way,
[00:39:56.465 --> 00:40:00.809]  I think that's the single biggest issue that affects small businesses, because it's the most money.
[00:40:01.970 --> 00:40:08.516]  We're talking about probably $100 billion a year that small businesses should be getting.
[00:40:08.837 --> 00:40:10.799]  They're being diverted to large corporations.
[00:40:10.859 --> 00:40:17.285]  But any group that claims to represent small businesses, if they were legitimate, would have gotten more of this issue.
[00:40:17.305 --> 00:40:19.487]  But I don't think you'll find any national group that's done that.
[00:40:20.262 --> 00:40:22.484]  The Republican Convention is kicking off this week.
[00:40:22.524 --> 00:40:26.767]  We know what kind of circus and farce this staged election is about to be.
[00:40:26.827 --> 00:40:30.530]  We know the issues the corporate media are going to refuse to touch.
[00:40:31.070 --> 00:40:39.617]  But what is the short, simple message you would send out to the people about the incredible importance of small business to reviving the economy?
[00:40:39.657 --> 00:40:47.883]  How can we get this into people's heads to the extent that the alternative media now carries the message in a competing fashion with the controlled corporate media?
[00:40:48.991 --> 00:40:53.876]  Well, I think, you know, when I'm trying to be persuasive, I try to just stick to the facts.
[00:40:54.978 --> 00:40:55.458]  So the U.S.
[00:40:55.698 --> 00:41:01.705]  Census Bureau, if you look on their website today, they say that small businesses create over 90% of all net new jobs.
[00:41:03.127 --> 00:41:06.310]  Now, compare that with where the stimulus money has gone.
[00:41:07.287 --> 00:41:13.568]  Probably 95% of stimulus money has gone to Fortune 1000 firms that haven't created hardly any net new jobs in the last decade.
[00:41:13.608 --> 00:41:19.730]  So people need to realize this is a small business nation based upon a small business economy.
[00:41:20.970 --> 00:41:23.350]  And you will not see that mentioned on national television.
[00:41:23.390 --> 00:41:30.632]  You can sit there and watch national television all day long, and you'll never see Wolf Blitzer or anybody else from the mainstream media mention that fact.
[00:41:31.482 --> 00:41:38.989]  And until people start to realize America is based upon a small business economy, our economy is going to continue to struggle.
[00:41:39.950 --> 00:41:43.574]  And people need to, people need to get mad about this.
[00:41:44.094 --> 00:41:45.696]  People should be outraged about this.
[00:41:45.716 --> 00:41:47.217]  There's a lot of things people are mad about.
[00:41:47.978 --> 00:41:54.845]  But this is to me, this is something that people should really be outraged about, is how the government, how poorly they treat small businesses.
[00:41:56.041 --> 00:42:07.693]  Lloyd, remind people where they can find your work, what your website is, and what issues you're going to be focusing on the most as this election comes up, as we try to speak some sense into a system that isn't prepared to listen.
[00:42:08.614 --> 00:42:10.096]  Our website is ASBL.com.
[00:42:10.216 --> 00:42:16.863]  You can go to YouTube and search on Lloyd Chapman and see all my appearances on your show and a lot of other shows.
[00:42:21.281 --> 00:42:40.331]  I think my main focus until the election is to try to get someone from the mainstream media to cover this story and have someone ask President Obama one question, which is, why is your administration giving federal small business contracts to Fortune 500 firms and an arms dealer owned by the Russian government?
[00:42:40.571 --> 00:42:43.413]  I'd love to see President Obama answer that question on national television.
[00:42:43.813 --> 00:42:45.354]  I'd love to see people ask Mitt Romney.
[00:42:45.934 --> 00:42:51.469]  If you're elected president, will you end the Obama administration policy of giving small business contracts to Fortune 500 firms?
[00:42:52.171 --> 00:42:53.615]  I'd love to see what Mitt Romney would say to that.
[00:42:54.889 --> 00:42:55.369]  There you have it.
[00:42:55.689 --> 00:42:58.930]  Lloyd Chapman, thanks for joining us, and we'll speak to you again in the future.
[00:42:59.350 --> 00:42:59.650]  All right.
[00:43:00.110 --> 00:43:03.671]  That's it for the InfoWars Nightly News tonight, but it's a no-brainer.
[00:43:03.751 --> 00:43:08.532]  Controlled economies are destructive and despotic, and people die from them.
[00:43:08.852 --> 00:43:11.833]  Small businesses are the spark that made America great.
[00:43:11.893 --> 00:43:13.393]  You just heard Lloyd Chapman on it.
[00:43:13.413 --> 00:43:14.373]  Do your own research.
[00:43:14.453 --> 00:43:15.713]  It's true throughout history.
[00:43:16.073 --> 00:43:17.334]  We'll be back again tomorrow.
[00:43:17.374 --> 00:43:19.314]  Thanks for watching the InfoWars Nightly News.
[00:43:19.654 --> 00:43:23.355]  Don't forget about PrisonPlanet.tv, where you can support us financially.
[00:43:23.675 --> 00:43:28.679]  But also get the information, the tools, the videos, to spread to other people, to help wake them up.
[00:43:28.739 --> 00:43:30.180]  That's what we need more than ever.
[00:43:30.561 --> 00:43:32.762]  And of course, PlanetInfoWars.com.
[00:43:33.103 --> 00:43:33.663]  It's growing.
[00:43:33.743 --> 00:43:35.124]  People are posting contents.
[00:43:35.445 --> 00:43:37.166]  They're fighting the Info War their way.
[00:43:37.206 --> 00:43:42.310]  They're reaching people in their niches, in their parts of the world, and in their common interest pools.
[00:43:42.630 --> 00:43:51.497]  And that's how we're going to win this war, all together, doing our own part for liberty, for truth, in a decentralized manner, globally, people, globally.
[00:43:52.098 --> 00:43:52.758]  Thanks for watching.
[00:43:53.019 --> 00:43:53.239]  Good night.
