[00:00:14.190 --> 00:00:16.991]  It's time for you men to stand up in the info form.
[00:28:40.271 --> 00:28:48.837]  Inner anger at the state, against a foreign state, and to reduce the population of young males that you didn't have jobs for.
[00:28:49.197 --> 00:28:53.420]  The two-sided fight is a bygone era.
[00:28:53.960 --> 00:29:04.267]  In truth, for more than 300 years, the globalists have been financing multiple sides of wars, knowing that conflict destroys nations and gets countries deep into debt.
[00:29:04.748 --> 00:29:06.049]  And that is the key.
[00:29:06.869 --> 00:29:25.963]  They're financing both sides, and we see this being pioneered by people like the Rothschilds, starting in the 1700s and 1800s, where they would finance sometimes three or four different factions, and it didn't matter who won, because all of them were in debt to them and had societies that were wrecked after the wars.
[00:29:27.560 --> 00:29:29.541]  Next, let's look at the game of Risk.
[00:29:30.062 --> 00:29:39.707]  These are primitive attempts to distill down human conflict and domination into a game you can play in a few hours.
[00:29:40.768 --> 00:29:50.894]  The militaries all have basically equal resources, equal numbers of troops, and to enter into the equation, some type of random probability, we have dice and we have cards.
[00:29:52.261 --> 00:29:58.067]  There is no discussion here on looking at the real model that we are under today.
[00:29:58.087 --> 00:30:05.354]  We're going to come back to risk here in a moment, but first let's move to the game of Monopoly.
[00:30:06.468 --> 00:30:22.558]  In the game of Monopoly, you have different economic groups or four players that attempt to engage in economic warfare against each other and then be able to create a monopoly or a single entity that is in control of New York City.
[00:30:22.838 --> 00:30:31.043]  To understand the real system we're under, it's important to combine monopoly and risk with an overlay of strategy from chess.
[00:30:31.664 --> 00:30:35.126]  And this is a key part of the real system we live under today.
[00:30:35.666 --> 00:30:48.909]  The founder of the Rockefeller dynasty famously said that competition was a sin, and they wanted big governments that they financed and controlled to be able to shut down their competition and pick winners and losers.
[00:30:49.289 --> 00:30:57.951]  This is the essence of monopoly capitalism, the opposite of free market, and is simply a form of fascism, what Mussolini called corporatism.
[00:30:58.951 --> 00:31:04.136]  So out of these three board games, Monopoly best describes our modern system.
[00:31:04.616 --> 00:31:06.457]  But it itself is only two-dimensional.
[00:31:06.778 --> 00:31:13.303]  You see, the private Federal Reserve that's owned by six private banks, Goldman Sachs, JP Morgan, Bank of America, and others,
[00:31:14.244 --> 00:31:15.265]  They always win.
[00:31:15.985 --> 00:31:17.646]  You're playing their game.
[00:31:17.806 --> 00:31:28.251]  You think you're battling it out for houses and apartments and for Park Place and for the electric company and for the railroad and for the top hat and for the fashion show.
[00:31:28.631 --> 00:31:30.953]  But it's the bankers that control the politicians.
[00:31:31.233 --> 00:31:33.314]  They've got to get out of jail free card.
[00:31:33.654 --> 00:31:36.655]  And they've got control of the money.
[00:31:36.856 --> 00:31:38.396]  The Treasury works for them.
[00:31:38.737 --> 00:31:40.798]  So the bank always wins.
[00:31:41.618 --> 00:31:45.061]  But what happens if a country won't sell?
[00:31:45.861 --> 00:31:50.425]  What happens if an African nation won't play the Monopoly game?
[00:31:50.905 --> 00:31:58.371]  Or what happens if a Middle Eastern country doesn't want to be part of the modern bankster system based in London and New York?
[00:31:59.011 --> 00:32:01.013]  Well, then that's where risk comes in.
[00:32:01.633 --> 00:32:09.559]  Because they want to be able to take you over through economic espionage, as John Perkins has written in his bestseller, Confessions of an Economic Hitman.
[00:32:10.080 --> 00:32:11.101]  But if they can't,
[00:32:12.025 --> 00:32:15.066]  This is in all the official CIA and State Department documents.
[00:32:15.686 --> 00:32:20.788]  They will then come and finance your neighbor to attack you.
[00:32:21.308 --> 00:32:23.328]  So Libya is not playing ball.
[00:32:23.748 --> 00:32:26.569]  It's building up and industrializing all of Africa.
[00:32:26.909 --> 00:32:28.490]  You want a global monopoly.
[00:32:28.750 --> 00:32:30.851]  You just play countries off against each other.
[00:32:31.171 --> 00:32:32.091]  You're a globalist.
[00:32:32.331 --> 00:32:35.992]  You've made yourselves exempt with diplomatic immunity at the United Nations.
[00:32:36.032 --> 00:32:36.872]  Who set that up?
[00:32:36.912 --> 00:32:37.633]  The robber barons.
[00:32:37.693 --> 00:32:38.193]  What do you do?
[00:32:39.233 --> 00:32:57.151]  You just have Al-Qaeda come out of Egypt into Libya, ethnically cleanse, blow up most of the infrastructure, knock out Gaddafi, and now they have to come to you and borrow money out of your bank to rebuild and you own and control everything.
[00:32:57.571 --> 00:32:58.252]  And guess what?
[00:32:58.372 --> 00:33:03.477]  If you want to get that welfare check, well, you got to take the vaccines, which, by the way, sterilize you.
[00:33:03.817 --> 00:33:22.065]  So they're using the strategy of chess, but they're employing it through a monopolistic system, where they have a monopoly on the issuance of currency and credit, and they also have the biggest militaries on Earth, from the United States and Europe, controlled and dominated 100% by them.
[00:33:22.405 --> 00:33:30.969]  They've announced that we're totally their slaves, and they have such disdain for us, they use our supposed enemy, Al-Qaeda, against the Russians,
[00:33:31.929 --> 00:33:35.530]  Against the Serbs and now against other Middle Eastern nations.
[00:33:36.431 --> 00:33:50.756]  While simultaneously telling us we need military-style occupation within our countries by the TSA and the military to keep us safe from Al-Qaeda, who they sponsored and created.
[00:33:51.656 --> 00:33:59.703]  And remember, the banksters are openly crowing and bragging that they have conquered you through monopoly capitalism.
[00:34:00.263 --> 00:34:03.225]  The question is, do we all work for central bankers?
[00:34:03.265 --> 00:34:05.507]  That's what I want to address to our guest tonight.
[00:34:06.048 --> 00:34:08.089]  Is this global governance at last?
[00:34:08.189 --> 00:34:10.611]  Is it one world, the central bankers in charge?
[00:34:10.691 --> 00:34:13.954]  Aren't we all just living and dying for what the central banks do?
[00:34:13.974 --> 00:34:17.457]  To answer your question, we are absolutely slaves to central banks.
[00:34:17.737 --> 00:34:20.378]  And they weren't able to do this because they had better products.
[00:34:20.778 --> 00:34:26.160]  They were able to do it because they created, through fractional reserve banking here in the U.S.
[00:34:26.600 --> 00:34:34.783]  and similar systems worldwide, unlimited free credit for themselves, which they then loan out to you at interest.
[00:34:35.723 --> 00:34:37.525]  But that wasn't enough of a fraud for them.
[00:34:37.925 --> 00:34:46.412]  In the last 20 years, they've deployed derivatives, completely made-up counterfeit instruments to the tune of more than 1.5 quadrillion.
[00:34:46.432 --> 00:34:48.233]  That's 1,500 trillion.
[00:34:51.736 --> 00:35:04.048]  With that counterfeit money, they were able to buy up all of their competition, pay off the governments, and dominate defense industries, as well as media, to carry out their propaganda.
[00:35:04.549 --> 00:35:07.992]  And herein lies the big secret that they don't want you to know.
[00:35:08.413 --> 00:35:10.135]  The big secret hiding in plain view.
[00:35:11.431 --> 00:35:16.033]  We think about nations, and continents, and cultures.
[00:35:16.733 --> 00:35:37.281]  But in truth, the globalists, the bankers, who have unlimited money, they're waging war against anyone else that has any assets, because they want everyone to be impoverished, so you have to go to them, and so that you have to follow all of their orders, so they can control human development and society.
[00:35:37.961 --> 00:35:43.903]  In the past, they would brag about their real political system in fictional accounts, in movies like Network.
[00:35:44.163 --> 00:35:45.404]  Let's analyze a clip of that.
[00:35:45.724 --> 00:35:46.864]  There is no America.
[00:35:47.724 --> 00:35:49.185]  There is no democracy.
[00:35:50.245 --> 00:36:00.609]  There is only IBM and ITT and AT&T and DuPont, Dow, Union Carbide and Exxon.
[00:36:01.849 --> 00:36:04.490]  One vast and ecumenical holding.
[00:36:05.824 --> 00:36:12.244]  For whom all men will work to serve a common profit in which all men will hold fast.
[00:36:14.361 --> 00:36:17.984]  Oh, there are no more peoples, there are no more nations, Mr. Beale.
[00:36:18.444 --> 00:36:22.166]  Each one of us has one piece of stock in the global system.
[00:36:22.687 --> 00:36:25.429]  One ecumenical, giant global government.
[00:36:25.749 --> 00:36:26.569]  Except one thing.
[00:36:26.890 --> 00:36:32.493]  That big global corporate system they've been selling us on doesn't want us to even be alive.
[00:36:32.854 --> 00:36:40.359]  It's designed to consolidate control and then slowly cut off the resources while the banksters themselves pose as the saviors
[00:36:40.919 --> 00:36:44.622]  Selling people on getting deeper into the tyranny and the pain will stop.
[00:36:45.203 --> 00:36:57.754]  When at the end of the tunnel is nothing but global extermination and eugenics so that these selfish, greedy scam artists can have the world and all of the incredible technology and life extension for themselves.
[00:36:58.155 --> 00:37:00.136]  And that's the big secret here.
[00:37:00.957 --> 00:37:01.818]  You have been warned.
[00:37:02.218 --> 00:37:05.421]  I'm Alex Jones signing off for InfoWars.com.
[00:37:06.522 --> 00:37:07.542]  The ball is in your court.
[00:37:08.043 --> 00:37:09.023]  The rest is up to you.
[00:37:09.383 --> 00:37:12.084]  Please get this presentation out to everyone you know.
[00:37:12.485 --> 00:37:17.467]  We've got to understand the enemy we're facing if we have any chance of defeating these people.
[00:37:18.187 --> 00:37:19.748]  Humanity hangs in the balance.
[00:37:28.592 --> 00:37:30.614]  We're going to go to a break now on InfoWars Nightly News.
[00:37:30.674 --> 00:37:36.859]  Coming up after the break, Rob Dew talks to Liz Reitziger from foodfreedom.org.
[00:37:36.960 --> 00:37:40.263]  And again, I urge you to sign up at prisonplanet.tv.
[00:37:40.303 --> 00:37:42.164]  That's our subscription website.
[00:37:42.625 --> 00:37:45.848]  You get to see this show first at prisonplanet.tv.
[00:37:45.868 --> 00:37:47.950]  You get access to all the archives.
[00:37:48.570 --> 00:37:57.013]  It's been going since 2004, so there's just a ton of multimedia content on there, a lot of which is not on YouTube, and it's all in one place.
[00:37:57.073 --> 00:38:05.336]  Every Alex Jones film features special events, audio archives, video archives, and it's what funds this network.
[00:38:05.416 --> 00:38:09.357]  We couldn't do it without your support at prisonplanet.tv.
[00:38:09.377 --> 00:38:11.278]  You can still get the 15-day free trial.
[00:38:11.758 --> 00:38:17.459]  And of course, our other new offensive in the Infowars is planetinfowars.com.
[00:38:17.479 --> 00:38:21.180]  That's the social network which is taking the web by storm.
[00:38:21.260 --> 00:38:22.961]  Tens of thousands of members already.
[00:38:23.481 --> 00:38:29.722]  You can host your own blog, you can arrange activist events, meet people in your area, get together with like-minded people.
[00:38:29.742 --> 00:38:31.162]  There's a dating section as well.
[00:38:31.222 --> 00:38:32.243]  You can host your own blog.
[00:38:32.703 --> 00:38:33.443]  And it's all free.
[00:38:33.563 --> 00:38:36.104]  And it's all at planetinfowars.com.
[00:38:36.124 --> 00:38:36.904]  Sign up today.
[00:38:36.984 --> 00:38:37.624]  Stay tuned.
[00:39:02.685 --> 00:39:05.429]  Alex Jones here with a message to fellow freedom lovers.
[00:39:05.710 --> 00:39:10.557]  The prognosis for the entire planetary economic system runs from bad to worse.
[00:39:10.738 --> 00:39:17.949]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[00:39:18.069 --> 00:39:23.494]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[00:39:23.715 --> 00:39:27.458]  These are items that I did research on, that I personally use.
[00:39:27.759 --> 00:39:32.323]  You've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[00:39:32.503 --> 00:39:37.989]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[00:39:38.029 --> 00:39:41.032]  Strategic Relocation 3rd Edition by Joel Scalzo.
[00:39:41.232 --> 00:39:43.493]  When Disaster Strikes by Matthew Stein.
[00:39:43.753 --> 00:39:48.394]  Therosafe, used by Homeland Security to protect yourself during any radiological event.
[00:39:48.514 --> 00:39:50.994]  Hand-cranked shortwave AM FM radios.
[00:39:51.434 --> 00:39:58.476]  Everything that we've researched and found to be the best is available at Infowarshop.com and your purchase makes our Infowar possible.
[00:39:58.656 --> 00:39:59.716]  We're getting prepared.
[00:39:59.936 --> 00:40:00.356]  Are you?
[00:40:00.617 --> 00:40:02.317]  Infowarshop.com
[00:40:04.449 --> 00:40:09.732]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:40:09.992 --> 00:40:12.194]  Start purifying your water with ProPure.
[00:40:12.414 --> 00:40:21.399]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure, and it's available discounted at InfoWars.com.
[00:40:21.559 --> 00:40:24.761]  Its filters are silver impregnated to prevent bacterial growth.
[00:40:25.042 --> 00:40:26.462]  There's no priming required.
[00:40:26.723 --> 00:40:28.764]  It's NSF-42 certified.
[00:40:29.024 --> 00:40:31.505]  Optional fluoride filters can reduce fluoride up to 95%.
[00:40:32.586 --> 00:40:33.927]  Easy to set up and use.
[00:40:34.127 --> 00:40:35.428]  Doesn't require electricity.
[00:40:35.568 --> 00:40:38.450]  Purify water from lakes, streams, ponds, and wells.
[00:40:38.750 --> 00:40:41.932]  This filter system leaves in beneficial minerals, which is key.
[00:40:42.152 --> 00:40:46.175]  Save money by not buying bottled water, and avoid BPA that leaches from the plastic.
[00:40:46.315 --> 00:40:48.937]  ProPure is the best gravity-fed filter out there.
[00:40:49.077 --> 00:40:50.398]  It's what my family uses.
[00:40:50.678 --> 00:40:59.284]  Infowars.com already has the lowest price on ProPure, but if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:40:59.864 --> 00:41:07.446]  You can also call to order 888-253-3139.
[00:41:08.186 --> 00:41:10.246]  Welcome back to the InfoWars Nightly News.
[00:41:10.306 --> 00:41:11.327]  I'm your host Rob Dew.
[00:41:11.367 --> 00:41:17.168]  Thanks to Paul Joseph Watson over there in England for doing the news portion and to David Knight for sitting in.
[00:41:17.208 --> 00:41:18.248]  He's visiting us right now.
[00:41:18.328 --> 00:41:20.809]  He's one of the finalists in the reporter contest.
[00:41:21.329 --> 00:41:22.329]  You may be asking yourself,
[00:41:23.080 --> 00:41:25.301]  Why is Rob Dew holding a glass of milk?
[00:41:25.341 --> 00:41:26.901]  Well, this is not ordinary milk.
[00:41:27.041 --> 00:41:29.942]  This is evil al-Qaeda raw milk.
[00:41:30.622 --> 00:41:36.544]  This is what the FDA is going after people for, for selling it, for traveling with it across state lines.
[00:41:36.584 --> 00:41:37.164]  Here it is.
[00:41:37.244 --> 00:41:40.125]  I mean, this, look at the deadliness in this milk.
[00:41:40.945 --> 00:41:41.866]  And guess what I'm going to do?
[00:41:42.086 --> 00:41:42.846]  I'm going to drink some.
[00:41:42.866 --> 00:41:44.446]  Mmm.
[00:41:45.667 --> 00:41:45.967]  Wow.
[00:41:46.407 --> 00:41:49.308]  Man, that is just the taste of freedom there.
[00:41:50.430 --> 00:41:55.174]  Speaking of freedom, we have with us one of the raw milk freedom riders, Liz Reitzig.
[00:41:55.554 --> 00:42:00.598]  She was a mother trying to get milk for her kids after they were having allergies.
[00:42:00.618 --> 00:42:01.859]  I'm going to let her tell you the story.
[00:42:02.119 --> 00:42:07.723]  But basically, it became illegal for her to get the type of food she wanted to feed her family.
[00:42:08.063 --> 00:42:09.945]  So without further ado, we turn to Liz Reitzig.
[00:42:09.965 --> 00:42:10.685]  How are you doing, Liz?
[00:42:11.346 --> 00:42:11.746]  Hi, Rob.
[00:42:11.806 --> 00:42:12.066]  Great.
[00:42:12.106 --> 00:42:13.327]  Thanks so much for having me on.
[00:42:13.628 --> 00:42:14.288]  No problem.
[00:42:14.648 --> 00:42:15.469]  So tell us your story.
[00:42:15.509 --> 00:42:18.091]  Why did you get into the raw milk freedom movement?
[00:42:19.144 --> 00:42:24.146]  Well, basically, like you said, it was just I was trying to find good, healthy, wholesome food for my children.
[00:42:24.166 --> 00:42:30.449]  And we, for a small time, we had a cow share in Maryland until that became illegal.
[00:42:30.889 --> 00:42:34.991]  And then we started getting raw milk from out of state.
[00:42:35.871 --> 00:42:44.475]  And that is illegal also because it's illegal for people to transport raw milk intended for human consumption across state lines.
[00:42:46.035 --> 00:42:57.493]  Wow, so it's actually illegal to share a cow where you can get, what, 12 gallons of milk a day out of a cow, but you can't share it with another family in Maryland, and you also can't just go out and get it.
[00:42:57.593 --> 00:42:59.837]  So you had to go across state lines and effectively break
[00:43:00.373 --> 00:43:04.594]  Maryland law, and also, is that a federal law that you're breaking as well?
[00:43:04.955 --> 00:43:10.636]  Well, yeah, it's a federal regulation that makes it illegal to transport raw milk across state lines.
[00:43:11.037 --> 00:43:18.979]  And technically, it's not illegal to own it or consume it anywhere, but that act of transporting it across state lines is a federal offense.
[00:43:19.119 --> 00:43:20.340]  It's always in the details.
[00:43:20.920 --> 00:43:22.541]  The devil's in the details, as they say.
[00:43:22.921 --> 00:43:25.682]  So you sent me a press release on August 3rd.
[00:43:26.162 --> 00:43:29.843]  Mothers to risk jail over lemonade or milk.
[00:43:30.185 --> 00:43:36.390]  Farmers, others criminalized for feeding communities, and you guys are going to hold an event later on this month in DC.
[00:43:36.410 --> 00:43:37.491]  Why don't you tell us all about it?
[00:43:38.450 --> 00:43:39.771]  Okay, it's an event.
[00:43:40.011 --> 00:43:49.798]  It's two groups coming together, Lemonade Freedom Day and the Raw Milk Freedom Riders, and we're really coming together to celebrate our freedom for voluntary exchange.
[00:43:49.958 --> 00:43:57.523]  So we're getting together on the lawn of the Capitol Reflecting Pool, and we're just going to engage in peaceful, voluntary exchange for the foods of our choice.
[00:43:57.924 --> 00:44:07.831]  This is a very simple, very clear event, and our message is simply that if the regulations interfere with the voluntary exchange, we will not comply.
[00:44:08.658 --> 00:44:09.158]  I like that.
[00:44:09.238 --> 00:44:18.543]  We will not comply with these people who think they can step all over us and tell us what to do, tell us what to think, tell us how to act, tell us where we can have our free speech.
[00:44:18.583 --> 00:44:25.206]  That was another story we covered tonight, how now the federal courts are upholding free speech zones, which is a total travesty.
[00:44:25.246 --> 00:44:28.227]  And you guys are voluntary exchange.
[00:44:28.347 --> 00:44:31.449]  We want to have the ability anytime we want.
[00:44:31.569 --> 00:44:35.691]  If I want to give somebody something and somebody wants to take it, that's okay.
[00:44:36.209 --> 00:44:37.270]  Especially milk.
[00:44:37.510 --> 00:44:39.412]  And here it is, once again, the milk.
[00:44:39.832 --> 00:44:42.174]  So, how many people are you expecting at this event?
[00:44:43.115 --> 00:44:44.897]  Well, several hundred.
[00:44:44.917 --> 00:44:47.779]  Well, we need to get more than that.
[00:44:47.839 --> 00:44:48.940]  We need several thousand.
[00:44:49.320 --> 00:44:50.221]  That would be wonderful.
[00:44:50.662 --> 00:44:52.944]  And where can people find out information about this event?
[00:44:53.484 --> 00:44:59.189]  Well, they can go to rawmilkfreedomriders.com or lemonadefreedom.com.
[00:44:59.689 --> 00:44:59.930]  Right.
[00:45:00.570 --> 00:45:03.813]  And the Lemonade Freedom, I guess you guys banded with the group who was
[00:45:04.378 --> 00:45:07.299]  They were selling lemonade for 10 cents a glass on the lawn.
[00:45:07.739 --> 00:45:11.140]  They were arrested viciously by the cops.
[00:45:11.460 --> 00:45:24.943]  And also, it reminds me of another event where Adam Kokesh led a group of people who were silent dancing at the Jefferson Memorial, another outlawed event at our nation's capital, a place that we built with our tax money.
[00:45:25.683 --> 00:45:35.066]  Right, and that was actually organized by Eddie Free, and he also organized the Lemonade Stand on the lawn of the Capitol last year, and he is a big part of this event as well.
[00:45:35.646 --> 00:45:54.512]  And Rob Fernandez, he's the founder of Lemonade Freedom Day, and we're organizing it together, you know, to bring this celebration to the forefront that we actually do have this right to voluntary exchange, and that we're going to engage in that, and we're not going to comply with the regulations, and we will suffer the consequences if that's what it's going to take.
[00:45:55.154 --> 00:46:00.798]  Are you expecting a violent response from the global love cops when they see you exchanging this milk voluntarily?
[00:46:00.818 --> 00:46:02.539]  No, we're not expecting that.
[00:46:02.559 --> 00:46:10.205]  We're expecting to just peacefully engage in normal, natural human behavior to get the foods of our choice from the producers of our choice.
[00:46:10.705 --> 00:46:13.187]  And hopefully we'll be just left alone to do just that.
[00:46:14.261 --> 00:46:16.543]  Well, hopefully they will leave you alone and let you guys do that.
[00:46:16.924 --> 00:46:22.889]  It seems like when people push the system, they do back down, but then they ratchet it up again later.
[00:46:22.929 --> 00:46:28.715]  So it's like a constant situation of where we have to keep pushing, keep prodding, keep telling them to stay out of our business.
[00:46:28.795 --> 00:46:29.956]  Otherwise, they're not going to stop.
[00:46:30.576 --> 00:46:33.179]  They'll take one step forward to two steps back, essentially.
[00:46:33.579 --> 00:46:38.721]  And the reason we're doing this, one of the main reasons is because of the aggression against our farmers.
[00:46:38.821 --> 00:46:41.302]  It's time to take some of the pressure off our farmers.
[00:46:41.742 --> 00:46:50.565]  And you know, we all enjoy the foods that they produce, but yet how many of us are willing to risk what the farmers are risking every day by getting us these amazing foods?
[00:46:51.045 --> 00:46:51.225]  Right.
[00:46:51.265 --> 00:46:57.267]  And speaking of that, we've had the FDA actually have chased a farmer basically out of his profession.
[00:46:57.747 --> 00:46:59.248]  They've kind of forced him to
[00:46:59.924 --> 00:47:01.989]  voluntarily stopped selling his milk.
[00:47:02.010 --> 00:47:03.634]  Why don't you tell us about Mr. Algier?
[00:47:05.353 --> 00:47:12.278]  Well, Dan Allgaier was just peacefully supplying food to a community here in D.C.
[00:47:12.298 --> 00:47:21.486]  and the FDA found out that he was producing milk that was being transported across state lines and they went after him viciously.
[00:47:21.546 --> 00:47:25.709]  They conducted a two and a half year long undercover investigation on the buying club.
[00:47:26.209 --> 00:47:31.533]  They conducted numerous armed raids on his farm and they filed a
[00:47:33.955 --> 00:47:39.199]  A permanent injunction against him, and then they filed a motion for the judge to sign
[00:47:44.130 --> 00:47:51.292]  A motion of summary judgment, basically so that the judge would sign off that he was guilty without actually having any trial.
[00:47:52.132 --> 00:47:58.434]  And the judge granted that motion, and with it came horrible consequences for Dan and his family.
[00:47:58.935 --> 00:48:04.496]  And so he thought it was wise at that point to not risk having armed federal marshals on his farm at any time.
[00:48:04.536 --> 00:48:10.098]  He does have small children, so he opted to stop producing rather than risk that.
[00:48:10.518 --> 00:48:19.224]  Yeah, and those thugs will come on your property, they'll shoot your dogs if they bark, you know, they'll claim that you pulled a gun on them even though you're just opening the door.
[00:48:19.244 --> 00:48:23.206]  And what really gets me is one of the quotes in here.
[00:48:23.627 --> 00:48:38.296]  After a two-year expensive, exhaustive undercover operation including multiple armed raids on Allgers Farm, FDA agents and a team of 10 federal lawyers amassed 276 pages of evidence allegedly proving that
[00:48:38.971 --> 00:48:46.337]  Al Gore openly admits that he is selling fresh, raw, unpasteurized milk to customers who knowingly carry the milk across state lines.
[00:48:46.377 --> 00:48:49.339]  I mean, it's comical and it's absurdity.
[00:48:50.600 --> 00:48:52.621]  This is supposedly a free country.
[00:48:52.902 --> 00:48:58.346]  We supposedly fight the terrorists for our freedom, yet we don't have the freedom to drink milk.
[00:48:59.026 --> 00:48:59.427]  That's right.
[00:48:59.827 --> 00:49:06.332]  And if you look at it from the production perspective, the people who are actually producing something for our economy and
[00:49:08.268 --> 00:49:11.931]  Selling it to people who want this product, they're the ones being criminalized.
[00:49:11.971 --> 00:49:13.152]  They're creating jobs.
[00:49:13.512 --> 00:49:21.137]  You know, when a farm is productive and when a farm is making money, they're creating jobs for their community and they're putting money back into their rural communities.
[00:49:21.598 --> 00:49:23.439]  And they're the ones being criminalized.
[00:49:23.839 --> 00:49:28.543]  And that's one of the main ways most people do make money is by selling it to these local communities.
[00:49:29.123 --> 00:49:31.905]  They're not selling out to these giant agribusinesses.
[00:49:31.945 --> 00:49:35.948]  They're not having, you know, these Tyson chicken farms that spring up everywhere.
[00:49:36.328 --> 00:49:37.229]  Yeah, these guys have
[00:49:37.577 --> 00:49:44.221]  They don't seem to get regulated at all, even though their chickens are walking around without beaks and feathers and stuff like that.
[00:49:44.261 --> 00:49:48.543]  And then they go after the little guy over and over again with a white glove, is what it seems to me.
[00:49:48.663 --> 00:49:49.864]  What's your perspective on that?
[00:49:50.124 --> 00:49:51.865]  Actually, they're not going after them with a white glove.
[00:49:51.885 --> 00:49:53.846]  They're going after them with guns and handcuffs.
[00:49:55.047 --> 00:49:55.627]  There you go.
[00:49:56.627 --> 00:49:57.888]  Let's move over to Canada.
[00:49:59.049 --> 00:50:01.970]  What's the case of Michael Schmidt and his rare breed of sheep?
[00:50:02.010 --> 00:50:03.011]  Tell us a little bit about that.
[00:50:03.746 --> 00:50:05.807]  Well, they actually were not Michael's sheep.
[00:50:05.847 --> 00:50:08.369]  They belonged to a farmer named Montana Jones.
[00:50:09.169 --> 00:50:26.480]  And what happened was several months ago, the CFIA, the Canadian Food Inspection Agency, they had a quarantine order on Montana Jones' entire herd because at one point, one sheep that she had sold to another farm years ago tested positive for scrapie.
[00:50:26.540 --> 00:50:30.283]  Now, without any further testing, they condemned her entire herd of sheep.
[00:50:31.593 --> 00:50:39.475]  And she worked, and several people worked, to have another level of testing for those sheep rather than just slaughter them all.
[00:50:40.216 --> 00:50:42.616]  And CFIA said no, and they were going to slaughter them.
[00:50:42.656 --> 00:50:50.639]  So the morning that they came out to slaughter the sheep, the sheep were gone, and there was a note from a group calling themselves the Farmers Peace Corps.
[00:50:51.579 --> 00:51:03.742]  Saying that the sheep had been taken into protective custody, still in quarantine, until a better solution could be found, or at least talked about, rather than just arbitrary slaughter of the entire herd.
[00:51:03.822 --> 00:51:09.484]  Now keep in mind, this is a genetically rare sheep that they were slaughtering.
[00:51:10.084 --> 00:51:14.825]  So, because of that, the CFIA went on this hunt for the sheep.
[00:51:16.159 --> 00:51:22.764]  And early in June, about June 13th, they found those sheep on a farm and immediately slaughtered them.
[00:51:24.166 --> 00:51:27.908]  Now Michael Schmidt, he came out and made a public statement about that.
[00:51:29.026 --> 00:51:37.608]  And said that knowingly he was he was acting on behalf of the Farmers Peace Corps and he knew that because of that he might suffer the consequences.
[00:51:38.369 --> 00:51:44.810]  And sure enough a couple days later they raided his farm and they did it again last week.
[00:51:45.351 --> 00:51:48.812]  This time taking all of his electronics, his computers, everything.
[00:51:48.872 --> 00:51:53.353]  But Michael is is incredibly peaceful and he just has an amazing way of dealing with all of this.
[00:51:54.153 --> 00:52:03.719]  And he's, I mean, he's handling it all so well, but they do want to charge him and the farmer and two others with conspiracy charges.
[00:52:04.459 --> 00:52:04.699]  Wow.
[00:52:05.080 --> 00:52:06.841]  And this is something we've seen in Michigan.
[00:52:07.281 --> 00:52:08.602]  We had a pig farmer there.
[00:52:08.642 --> 00:52:09.462]  They were going after it.
[00:52:09.482 --> 00:52:15.986]  They said his pigs were infected with the wild pig genes or, you know, they're part wild pig.
[00:52:16.026 --> 00:52:20.949]  So just because they didn't look like a pink pig, you know, they may have been a brown pig or a spotted pig.
[00:52:21.229 --> 00:52:22.490]  Well, we got to kill all the pigs.
[00:52:23.071 --> 00:52:23.691]  And it's just this,
[00:52:24.384 --> 00:52:27.586]  One size fits all to any situation.
[00:52:27.626 --> 00:52:31.488]  The government always has one problem, which is either kill it, get rid of it, or put it in jail.
[00:52:32.068 --> 00:52:32.428]  That's right.
[00:52:32.468 --> 00:52:37.871]  And it's also very interesting to look at how these things happen in conjunction on both sides of the border.
[00:52:38.611 --> 00:52:43.774]  So a few years ago, there was massive crackdowns on raw milk farmers in Canada and in the U.S.
[00:52:43.914 --> 00:52:50.738]  And now, in Canada and the U.S., they're both targeting genetically rare breeds of animals.
[00:52:51.423 --> 00:52:53.804]  Right, and we're seeing this between both countries.
[00:52:53.824 --> 00:53:04.648]  They're creating all these treaties, these North American treaties, the Free Trade Organization of the Americas, even though none of it has to do with free trade, it all has to do with corporate control over this stuff and limiting our choices.
[00:53:05.148 --> 00:53:17.332]  And anything organic or raw milk, for instance, you know, anything that isn't under the regulation microscope of these people, they just want to do away with because it's seen as a threat to their existence, essentially.
[00:53:17.892 --> 00:53:20.133]  Well, they want to regulate it out of existence, yeah.
[00:53:21.573 --> 00:53:23.633]  So, where can people go to find out more information?
[00:53:23.653 --> 00:53:25.074]  You have two main websites.
[00:53:26.554 --> 00:53:32.936]  Well, for anything related to the Michael Schmidt case, farmfoodfreedom.org.
[00:53:33.396 --> 00:53:34.676]  We have information about that.
[00:53:35.096 --> 00:53:42.378]  And for the Lemonade and Raw Milk Freedom Day, you can go to rawmilkfreedomriders.com or lemonadefreedom.com.
[00:53:43.338 --> 00:53:43.678]  Awesome.
[00:53:44.078 --> 00:53:47.419]  Well, I hope the global love cops do not
[00:53:48.842 --> 00:53:53.766]  ...exert violence over you guys when you're voluntarily exchanging milk.
