[00:00:22.233 --> 00:00:24.815]  Welcome, it's Wednesday, February 22nd, 2012.
[00:24:42.168 --> 00:24:48.071]  Now they've got the so-called law in Australia, which I'm sure is going to be a model law for the whole world.
[00:24:48.532 --> 00:24:54.715]  No scan, no fly, reports the Digital Journal, as Australian airports roll out full body scans.
[00:24:54.995 --> 00:24:58.777]  They're telling everyone, you will go through the body scanners or you won't fly.
[00:24:58.797 --> 00:25:00.218]  And that's really a shame.
[00:25:00.278 --> 00:25:02.179]  I really wanted to visit Australia someday.
[00:25:02.540 --> 00:25:04.741]  So many interesting landmarks and culture there.
[00:25:05.181 --> 00:25:09.023]  But with this so-called law in place, I will never be visiting them.
[00:25:10.484 --> 00:25:25.670]  And what's more dangerous anyway, these body scanners that they said wouldn't store images, they said they couldn't look at you, they said perverts wouldn't be looking at it and pulling out quote cute looking women with quote good figures to go through the body scanners again?
[00:25:26.090 --> 00:25:26.831]  Well it turns out...
[00:25:27.771 --> 00:25:33.177]  They had a study in 1998, yes 1998, before the 2001 9-11 hijacking incident, the 9-11 attacks, the big event for this whole new society.
[00:25:33.197 --> 00:25:38.643]  1998, government ignored report finding up to 100 cancer deaths from TSA naked body scanners per year.
[00:25:49.634 --> 00:26:00.244]  A hundred deaths a year statistically from the radiation scanners because it's just like stuff you dose in the water, whether it's fluoride or whether it's these crazy proposals for lithium.
[00:26:00.604 --> 00:26:09.952]  Even a depressed person has to have a very metered out, very careful dosage based on their body weight, on their other conditions, other factors.
[00:26:10.273 --> 00:26:11.734]  You can't mass dose people.
[00:26:12.014 --> 00:26:16.337]  You've got people already at risk, and when they're forced through these body scanners, it triggers something.
[00:26:16.377 --> 00:26:17.198]  People get cancer.
[00:26:17.218 --> 00:26:25.343]  It's statistically known that if you put all the travelers through these body scanners, you're going to get statistically 100 deaths a year.
[00:26:25.643 --> 00:26:26.124]  They knew that in 1998.
[00:26:26.424 --> 00:26:31.467]  They've had the other John Hopkins studies and everything else showing how dangerous this stuff is.
[00:26:31.968 --> 00:26:34.650]  And the TSA, Homeland Security, keeps lying about it.
[00:26:34.930 --> 00:26:36.071]  They keep obfuscating.
[00:26:36.111 --> 00:26:38.012]  They keep waffling back and forth.
[00:26:38.152 --> 00:26:38.832]  No, it's here.
[00:26:38.952 --> 00:26:41.954]  It causes deaths that's less than terrorism causes.
[00:26:43.355 --> 00:26:44.655]  If you even believe in that stuff.
[00:26:45.055 --> 00:26:49.437]  The body scanners are more dangerous than the terrorists you claim you're going to catch that you don't even catch.
[00:26:50.198 --> 00:26:51.398]  Don't try to put me through one.
[00:26:51.718 --> 00:26:53.199]  And don't try to stop our travel.
[00:26:53.239 --> 00:26:54.380]  We have a right to travel.
[00:26:55.120 --> 00:26:56.041]  We have a right to travel.
[00:26:56.101 --> 00:26:57.022]  It's constitutional.
[00:26:57.682 --> 00:26:58.583]  It's a God-given right.
[00:26:58.623 --> 00:26:59.884]  It's a natural right.
[00:27:00.225 --> 00:27:03.067]  You can't violate our God-given rights.
[00:27:03.408 --> 00:27:04.489]  They're unalienable.
[00:27:04.729 --> 00:27:06.050]  They're unalienable.
[00:27:06.350 --> 00:27:07.551]  They can't be transferred.
[00:27:07.592 --> 00:27:09.093]  We have a natural right.
[00:27:09.553 --> 00:27:15.399]  And here we go from 2008 and from 2009, how they were planning to put the body scanners in.
[00:27:15.699 --> 00:27:19.462]  Again, all before the stupid underwear bomber incident, which
[00:27:20.143 --> 00:27:21.243]  We have a witness coming up.
[00:27:21.263 --> 00:27:22.603]  We're going to show you even more video.
[00:27:22.663 --> 00:27:26.644]  Kurt Haskell and his wife were on the plane with the underwear bomber.
[00:27:26.924 --> 00:27:30.705]  They witnessed what a setup it was, how the sharp-dressed man helped get him on the plane.
[00:27:31.025 --> 00:27:41.107]  They witnessed how there were the other weird suspects and how the law enforcement didn't want to hear their accounts and they didn't want to admit or release the video cameras that there was a sharp-dressed man.
[00:27:41.447 --> 00:27:47.908]  Then later the State Department, that guy under Secretary Kennedy, had to admit, yeah, he was given the visa waiver
[00:27:48.848 --> 00:27:56.072]  Excuse me, the visa waiver, even though he didn't have his ID, even though he didn't, uh, even appear to be coherent at the time.
[00:27:56.092 --> 00:27:59.513]  A lot of people said he looked drugged up and was lit on the plane.
[00:27:59.873 --> 00:28:04.756]  Well, none of that matters because everyone who wants to travel will go through the body scanners just as they planned.
[00:28:05.396 --> 00:28:06.097]  Just as a plan.
[00:28:06.437 --> 00:28:09.559]  TSA whole-body scanners to replace metal detectors.
[00:28:10.319 --> 00:28:11.760]  That is in April 7, 2009.
[00:28:12.941 --> 00:28:22.107]  In a change of plans, the TSA says it will now replace the walk-through metal detectors at airport checkpoints with whole-body imaging machines.
[00:28:22.487 --> 00:28:24.749]  They're already at six airports nationwide.
[00:28:25.089 --> 00:28:30.953]  The TSA's plans aren't set in stone, they say, but unless there's an uproar, everyone gets to go through them.
[00:28:31.013 --> 00:28:31.313]  Why?
[00:28:31.373 --> 00:28:32.874]  Because Michael Chertoff
[00:28:33.274 --> 00:28:36.977]  Former head of Homeland Security has an investment in the body scanner machines.
[00:28:37.317 --> 00:28:47.564]  There's a lobby for them, and what better lobby than to be in the position to create a hoax, a pretext for putting everyone through the machines and selling them to airports.
[00:28:47.905 --> 00:28:48.605]  Great scam.
[00:28:48.645 --> 00:28:51.867]  No one seems to be able to figure it out, except our brilliant listeners here.
[00:28:52.768 --> 00:28:55.010]  I know you know, but go tell other people, please.
[00:28:55.550 --> 00:28:56.311]  Just disgusting.
[00:28:56.331 --> 00:29:01.735]  I give you now part two of the exclusive InfoWars interview with Kurt Haskell.
[00:29:02.216 --> 00:29:04.498]  Ah, I really wish he would have filed that lawsuit, though.
[00:29:04.518 --> 00:29:05.598]  That's so disappointing.
[00:29:05.959 --> 00:29:08.341]  We really have to hold these people accountable as much as we can.
[00:29:08.361 --> 00:29:09.902]  This whole thing is such a hoax.
[00:29:09.962 --> 00:29:11.163]  They're trying to shut down our travel.
[00:29:11.203 --> 00:29:12.744]  I'm going to stop ranting now.
[00:29:12.764 --> 00:29:15.346]  I give you part two of that interview.
[00:29:15.426 --> 00:29:18.469]  This part is about how it's a government cover-up and a false flag.
[00:29:39.284 --> 00:29:46.629]  Continuing now with our breaking news coverage, new facts on the table tonight about just how hard the father of the alleged Christmas bomber tried to warn U.S.
[00:29:46.669 --> 00:29:48.710]  intelligence about his son.
[00:29:49.151 --> 00:29:52.032]  One thing I'd like to point out is that the system worked.
[00:29:58.317 --> 00:30:00.518]  And we're learning tonight more about the suspect.
[00:30:00.818 --> 00:30:02.479]  Let's get to Fox 2's Andrea Isom.
[00:30:02.519 --> 00:30:03.920]  She begins our team coverage.
[00:30:03.980 --> 00:30:05.902]  She is live at Metropolitan Airport.
[00:30:05.962 --> 00:30:06.242]  Andrea?
[00:30:07.743 --> 00:30:09.344]  As the hours go on, you are right.
[00:30:09.404 --> 00:30:13.447]  We are learning more about the suspect, and quite frankly, the details are chilling.
[00:30:14.768 --> 00:30:19.331]  The man, the menace, 23-year-old Abdul Mudalla of Nigeria.
[00:30:19.691 --> 00:30:23.794]  Mudalla's despicable actions were all on Al-Qaeda's behalf.
[00:30:24.314 --> 00:30:29.018]  Sources telling Fox News his instructions were to blow up the plane over U.S.
[00:30:29.098 --> 00:30:29.458]  soil.
[00:30:30.379 --> 00:30:38.263]  The intelligence community knew about Umar Farooq Abdulmutallab weeks ago and failed to spread word that would have put him on the no-fly list.
[00:30:39.003 --> 00:30:42.845]  The father of the suspect in the Christmas incident warned U.S.
[00:30:42.885 --> 00:30:46.087]  officials in Africa about his son's extremist views.
[00:30:46.920 --> 00:30:56.106]  That a report was prepared and it was sent on to the CIA in Langley, Virginia, CIA headquarters, but it was not disseminated to the wider intelligence community.
[00:30:57.007 --> 00:31:11.037]  Obviously when you have a father coming in and talking to the embassy about a son who's radicalized, gives the embassy the passport number, the first thing you would think is a very fast effort to see if the person's got a visa and suspend the visa.
[00:31:11.844 --> 00:31:19.673]  One of the things you don't know about is the number of people that we have turned away because their name has been on the watch list or on the no-fly list.
[00:31:20.534 --> 00:31:25.820]  Only my mom could, but not me and my dad, because both me and my dad are on the watch list.
[00:31:26.901 --> 00:31:32.888]  Tough to believe, but eight years later, we are still talking about connecting the dots and the failure to communicate.
[00:31:34.164 --> 00:31:35.085]  This is a controlled Patsy.
[00:31:49.295 --> 00:31:50.176]  Facts are facts.
[00:31:50.276 --> 00:31:52.578]  You can have your own opinions, but you can't have your own facts.
[00:31:53.419 --> 00:31:58.143]  When we first took off, I noticed about 10 seats ahead of us to the left-hand side.
[00:31:58.883 --> 00:32:02.527]  He had a camcorder, and I didn't think much of it.
[00:32:02.547 --> 00:32:12.916]  I thought maybe this was his first flight and was just excited, and then when the actual incident occurred, I looked up and he was the only one standing and filming the entire thing.
[00:32:13.476 --> 00:32:15.799]  You know, when we were on the plane, I didn't notice anybody filming.
[00:32:16.239 --> 00:32:22.346]  My understanding is that there was someone filming, but my view of his seat was blocked by the restroom.
[00:32:22.766 --> 00:32:30.335]  He was on the left side of the plane, I was on the right, and between us there was a restroom, so I wouldn't have been able to see him anyway.
[00:32:30.355 --> 00:32:32.678]  I know more about this story later on.
[00:32:32.778 --> 00:32:33.438]  I initially
[00:32:34.744 --> 00:32:45.807]  Tried to contact him, the man, shortly after the flight, and I just received an email back from an attorney, you know, and not him.
[00:32:45.847 --> 00:32:46.987]  He wouldn't talk to me at all.
[00:32:47.108 --> 00:32:49.548]  So that was my initial contact with him.
[00:32:49.608 --> 00:32:55.150]  Now, interestingly enough, about six months ago, this man contacted me out of the blue.
[00:32:56.441 --> 00:33:19.534]  uh... he was going to have a deposition in regards to the trial where prosecutors uh... fbi agents and i think some dutch police or someone around ten people were coming to interview him in uh... in holland where he lives holland not michigan holland the country or the netherlands if you will and uh...
[00:33:20.595 --> 00:33:23.136]  He called me to talk about it, so I actually got to talk to him.
[00:33:23.476 --> 00:33:29.018]  He doesn't speak real good English, but we had a conversation for about an hour, and this is what he told me.
[00:33:29.558 --> 00:33:31.198]  He said he was traveling by himself.
[00:33:32.559 --> 00:33:39.681]  He had just purchased a video camera of some sort, and he was filming us coming in for a landing.
[00:33:41.782 --> 00:33:45.063]  Now mind you, when this started, we were at an altitude of 20,000 feet.
[00:33:46.898 --> 00:33:53.987]  Uh, the media reports it was 10,000 feet, but it was 20,000 feet because I know I was watching the CBAC monitor when it started.
[00:33:54.428 --> 00:33:58.513]  So I'm not sure what exactly you can film that high, other than some clouds, but anyway.
[00:33:59.154 --> 00:34:03.219]  So just filming out the window, heard a commotion, he turned and started filming.
[00:34:05.916 --> 00:34:07.657]  He said he had video of the incident.
[00:34:07.677 --> 00:34:17.265]  He also said he had still pictures of the man in orange, who was the man taken into custody after he landed.
[00:34:18.900 --> 00:34:26.364]  He told me that the video was seized by the FBI after landing and that he still had the still pictures of the man in orange.
[00:34:26.604 --> 00:34:33.967]  So I asked him to forward me copies so I could verify that it was the same man and just for me to look at too.
[00:34:34.247 --> 00:34:41.671]  And he asked me why I wanted those and I said, for my own personal interest, and he said, I don't trust that you won't put them on the internet.
[00:34:41.711 --> 00:34:43.952]  I'm going to keep them for my own personal safety.
[00:34:46.271 --> 00:34:47.333]  Make of that what you will.
[00:34:47.393 --> 00:34:47.753]  I don't know.
[00:34:47.793 --> 00:34:48.694]  That's his statement.
[00:34:50.016 --> 00:34:54.761]  He didn't seem to be anything other than what he's claiming.
[00:34:55.201 --> 00:34:57.203]  From what I could tell, he didn't seem to be lying to me.
[00:34:59.625 --> 00:35:03.626]  You know, make up your own mind whether that story is credible or not.
[00:35:04.126 --> 00:35:05.526]  The video has never been released.
[00:35:06.287 --> 00:35:16.949]  No video of anything in this case has been released to anyone other than the prosecutors, the judge, and the underwear bomber himself.
[00:35:17.169 --> 00:35:25.291]  There is a protective order in the case indicating that any attorney involved in the case cannot speak about what evidence there is.
[00:35:25.311 --> 00:35:26.772]  I have a suspicion
[00:35:28.072 --> 00:35:31.914]  that Anthony Chambers has some of the videos.
[00:35:32.354 --> 00:35:41.897]  Maybe not the video on the plane, but I have a strong suspicion that he has the airport security video from Amsterdam.
[00:35:42.538 --> 00:35:49.120]  There's never been any picture or video of the Underwater Bomber release going through security or at the airport or anything.
[00:35:49.340 --> 00:35:50.341]  He didn't go through security.
[00:35:51.081 --> 00:35:52.582]  He was escorted around security.
[00:35:53.163 --> 00:35:57.427]  And actually, shortly after this incident, there was an article.
[00:35:57.927 --> 00:36:08.676]  It's from the Herald Scotland, December 28th, 2009, and this is a really important article, and this is the only paper to ever report on this, and nobody talks about it, for this one sentence.
[00:36:08.897 --> 00:36:15.883]  The military police have already said Abdulmutallab did not go through passport control at Schiphol when he arrived from Lagos.
[00:36:17.139 --> 00:36:28.545]  Okay, they admit he didn't go through passport control, but what they don't tell you here is that passport control and security are in the same line at Schiphol.
[00:36:28.725 --> 00:36:31.846]  So if you're not going through passport control, you're not going through security.
[00:36:32.306 --> 00:36:33.427]  So there's an omission here.
[00:36:33.447 --> 00:36:38.009]  Abdulmutallab not only did not have his passport checked, but he didn't go through security at all.
[00:36:38.549 --> 00:36:41.351]  They leave out the fact that he was escorted, but
[00:36:42.425 --> 00:36:46.407]  Obviously, this is the reason no one else is reporting on this article or talking about it.
[00:36:46.467 --> 00:36:48.048]  But again, here we have an admission.
[00:36:48.068 --> 00:36:52.650]  The underwear bomber did not go through passport control at Schiphol Airport.
[00:36:53.110 --> 00:36:56.492]  And passport control is the same line as security.
[00:36:56.652 --> 00:37:00.734]  So therefore, 2 plus 2 means he didn't go through security.
[00:37:00.794 --> 00:37:01.934]  So he didn't go through security.
[00:37:02.375 --> 00:37:07.257]  So therefore, there are no pictures possible of him going through security because he didn't go through it.
[00:37:18.556 --> 00:37:23.819]  The FBI contacted Lori and I on December 28, 2009.
[00:37:24.960 --> 00:37:29.343]  So three days after this happened, they visited our office here in Detroit.
[00:37:29.563 --> 00:37:30.203]  South of Detroit.
[00:37:30.584 --> 00:37:34.866]  The first thing I asked them was, hey, you know, I can help you in the investigation.
[00:37:34.906 --> 00:37:37.168]  I saw the accomplice at the Amsterdam airport.
[00:37:37.248 --> 00:37:44.533]  Wouldn't it be wise to show me the video from the airport or some still pictures so I can identify him?
[00:37:45.612 --> 00:37:54.455]  And the two agents, and they were two different agents this time, they kind of did like a half head turn near each other and kind of did like a chuckle under their breath.
[00:37:54.795 --> 00:37:59.476]  And that was right at the start of the interview and it raised red flags with me right away.
[00:37:59.776 --> 00:38:06.098]  There was no response to, you know, we don't have the video at this time or we don't think you should see it, nothing.
[00:38:06.519 --> 00:38:07.459]  No response at all.
[00:38:08.775 --> 00:38:12.517]  They then proceeded to ask me the story again, which I told them the story again.
[00:38:13.338 --> 00:38:19.522]  They showed me a series of around ten pictures, and I looked through them.
[00:38:20.122 --> 00:38:23.084]  The first eight, I said, I have no idea who these people are.
[00:38:23.144 --> 00:38:33.490]  The next two were of the Underwear Bomber, and I got the impression that they were trying to confuse me to destroy my credibility, maybe?
[00:38:33.590 --> 00:38:34.010]  I don't know.
[00:38:34.030 --> 00:38:37.933]  It was rather strange, but none of the Man in Orange, and none of
[00:38:39.441 --> 00:38:44.265]  The man in the tan suit that escorted the bomber at the Amsterdam airport, so it's kind of strange.
[00:38:45.166 --> 00:39:06.565]  Pretty early on, within a few days anyway, that there's something really weird going on, maybe a cover-up, because, you know, I had the FBI agents come to my office on December 28th, and I didn't even want to talk about the man in the tan suit that helped the bomber at Schiphol Airport, which to me was a huge red flag, because as far as I know,
[00:39:08.281 --> 00:39:10.503]  Myself and only one other person saw him.
[00:39:10.683 --> 00:39:13.606]  The one other person hasn't been willing to talk about it.
[00:39:14.186 --> 00:39:20.332]  So, it would make sense that the government would want to talk to the eyewitness and have the eyewitness identify the man.
[00:39:20.352 --> 00:39:25.976]  And when they didn't do that, being a lawyer, it started really raising red flags with me, number one.
[00:39:26.037 --> 00:39:33.363]  Then number two, in regards to the man in orange who was taken into custody after we landed,
[00:39:35.615 --> 00:39:41.642]  You see, the government couldn't say he didn't exist because he was taken away from a group of all of us passengers.
[00:39:42.002 --> 00:39:46.768]  And several other passengers saw this, so they had to line cover up.
[00:39:47.654 --> 00:39:52.235]  After we had been there for about an hour, all the time with our carry-on bags, three bomb-sniffing dogs were brought in.
[00:39:52.255 --> 00:39:54.756]  One of them sat down by the bag,
[00:40:16.724 --> 00:40:19.387]  That was brought in by the man in orange.
[00:40:19.427 --> 00:40:20.308]  He had an orange.
[00:40:20.369 --> 00:40:25.335]  He appeared to be of Indian or Pakistani or some similar descent, maybe around age 30.
[00:40:26.716 --> 00:40:30.541]  He was walked back to a room, not in handcuffs.
[00:40:30.741 --> 00:40:31.682]  He went in the door.
[00:40:31.822 --> 00:40:33.424]  He was in there approximately an hour.
[00:40:33.665 --> 00:40:36.228]  When he came out, he was handcuffed, taken away.
[00:40:37.274 --> 00:40:44.482]  An FBI officer came up to the group of the rest of us passengers and said the following, which is not exact, but close.
[00:40:44.943 --> 00:40:46.484]  You're being moved to another area.
[00:40:46.665 --> 00:40:47.606]  It's not safe here.
[00:40:48.246 --> 00:40:52.491]  I'm sure all of you saw what just happened and can figure out why you're being moved.
[00:40:53.217 --> 00:41:00.321]  We were taken to a customs area and they brought bomb dogs and checked all the luggage with that.
[00:41:00.822 --> 00:41:08.726]  Another person was taken aside and handcuffed and brought out and we were moved into another room for safety reasons they told us.
[00:41:09.527 --> 00:41:22.335]  My story on this has been the same all along and the FBI now has five versions of their stories which I clearly lay out with a time period and with each version and they're just not, they're not credible.
[00:41:23.459 --> 00:41:32.384]  There is absolutely no excuse for the reason why, number one, we were left on the plane for 20 minutes not knowing if there was another bomb there.
[00:41:32.945 --> 00:41:40.870]  Number two, security allowing us to take our carry-on bags off the plane and we stood there with all of our bags together.
[00:41:41.830 --> 00:41:42.971]  We're good to go.
[00:41:54.628 --> 00:41:55.088]  You were there.
[00:41:55.148 --> 00:41:57.070]  They didn't stop him for immigration violations.
[00:41:57.110 --> 00:41:59.471]  The dog went over and sat down in front of his bag.
[00:41:59.791 --> 00:42:01.373]  The alert for explosives.
[00:42:01.933 --> 00:42:02.193]  Right.
[00:42:02.493 --> 00:42:04.735]  Unless this is a passport sniffing dog.
[00:42:05.635 --> 00:42:06.956]  This is a huge story.
[00:42:06.976 --> 00:42:08.057]  One of the biggest out there.
[00:42:08.097 --> 00:42:09.798]  The FBI is on this full time.
[00:42:10.258 --> 00:42:11.359]  They know what's going on.
[00:42:11.539 --> 00:42:13.541]  Why are they being dishonest?
[00:42:14.909 --> 00:42:21.536]  And how do we investigate this when the investigators themselves are engaged in clear obstruction of the truth?
[00:42:22.136 --> 00:42:24.198]  You know, I don't know how else to take it.
[00:42:24.278 --> 00:42:30.545]  It's either utter incompetence or intentionally hiding something, you know, and I don't know how to take it.
[00:42:31.252 --> 00:42:34.455]  I came out to the media and I said, look, that's not possible.
[00:42:34.495 --> 00:42:38.278]  These were bomb sniffing dogs, not agricultural sniffing dogs.
[00:42:38.898 --> 00:42:43.222]  And this went on five times and then they finally quit talking about him and gave up.
[00:42:43.262 --> 00:42:44.963]  But they kept changing their story about him.
[00:42:45.464 --> 00:42:48.726]  You know, obviously it would be easier for them to say like they did.
[00:42:50.117 --> 00:42:56.019]  The man in Tansu that he just didn't exist, but they couldn't do that because there were so many witnesses, so that's how they handled that man.
[00:42:56.079 --> 00:42:58.581]  But eventually they just gave up on even talking about him.
[00:42:59.181 --> 00:43:18.889]  Interestingly enough, at the end of January 2010, when this case was about a month old, well a little earlier on we had Obama come out and say, hey this was just a series of mistakes that we made and you know we need to beef up our security procedures or what have you, but then recently after that
[00:43:20.842 --> 00:43:24.543]  We had two important things at the end of January 2010.
[00:43:24.803 --> 00:43:35.946]  One was an ABC News article by Brian Ross where he came out and said, yeah, you know, this man in a tan suit that was witnessed by passengers.
[00:43:36.746 --> 00:43:39.006]  He said passengers, but really it was just me.
[00:43:41.107 --> 00:43:46.908]  You know, we're looking into this guy and we think he actually helped the underwear bomber so that he wouldn't get cold feet.
[00:43:48.409 --> 00:43:49.029]  You know, they didn't
[00:43:50.420 --> 00:44:15.245]  go so far as to admit what I had been saying that you know that that would have been impossible that it was Al-Qaeda because he went to the desk and said we do this all the time then he had enough authority to walk down this hallway in a secure area and talk to the manager and get the man on the flight so obviously Al-Qaeda couldn't do that but they did admit the existence of the man in this article so to me that was a big story because
[00:44:16.371 --> 00:44:22.054]  It was not only the first time they admitted his existence, but they've never admitted his existence after that.
[00:44:22.374 --> 00:44:31.439]  But at least we have it once, detailed, not only that, but it's by ABC News, so fairly credible media, at least to some.
[00:44:32.440 --> 00:44:44.627]  But later, in January 2010, we had hearings in Congress on this, where we had Undersecretary of State Patrick Kennedy come out, and if you watch the video of him, it's pretty telling that he's
[00:44:45.771 --> 00:44:47.915]  Thank you for watching!
[00:45:00.029 --> 00:45:03.352]  You know, we knew Abdulmutallab was a terrorist.
[00:45:03.472 --> 00:45:07.576]  We wanted to stop him from coming in the country and revoke his visa.
[00:45:08.096 --> 00:45:20.687]  There have been numerous cases where our unilateral and uncoordinated revocation of the visa would have disrupted important investigations that were underway by one of our national security partners.
[00:45:21.343 --> 00:45:38.982]  They had the individual under investigation and our revocation action would have disclosed US government's interest in that individual and ended our colleagues ability such as the FBI to pursue the case quietly and to identify terrorist plans and co-conspirators.
[00:45:39.463 --> 00:45:40.584]  But we had a request
[00:45:41.678 --> 00:45:57.277]  from an intelligence agency and he didn't say which one what he said was we'll talk about in closed session and he said we had a request from an intelligence agency that they're tracking Abdulmutallab they want to let him into the US to follow him and to catch bigger fish
[00:45:58.358 --> 00:46:10.592]  And they honored that request in order to let whatever intelligence agency do their business so that they wouldn't knock out one lone soldier in the war on terror and they could essentially follow him in the U.S.
[00:46:10.632 --> 00:46:11.653]  and catch accomplices.
[00:46:11.713 --> 00:46:13.034]  So that's what they admitted to.
[00:46:14.195 --> 00:46:19.581]  But Patrick Kennedy went on to say there's more to this we need to talk about in closed session and that's kind of where it ended.
[00:46:21.743 --> 00:46:24.144]  Obviously, I don't believe that for a minute.
[00:46:24.644 --> 00:46:40.471]  What I believe through, and what's been shown through the evidence I believe, is that an intelligence agency gave Abdulmutallab an intentionally defective bomb and put him on the plane to stage a fake terrorist attack.
[00:46:40.491 --> 00:46:44.173]  So those two things, early on, raised a lot of red flags with me.
[00:46:44.193 --> 00:46:46.614]  And then, because of that, I just started
[00:46:48.117 --> 00:47:06.597]  Paying attention to every single detail in this case, going to all the court hearings, and it's just been one contradiction after another after another, one lie after another after another, and the media not wanting to report on things, and it's just, to me, it's a very, very obvious staged event.
[00:47:21.673 --> 00:47:35.118]  And that was our exclusive interview with Kurt Haskell, witness and outspoken critic of the entire fraudulent underwear bomber case, another false flag set up to enslave us and force us through body scanners, shut down our travel.
[00:47:35.478 --> 00:47:36.678]  But that was only part two.
[00:47:36.738 --> 00:47:38.059]  We have another part coming up.
[00:47:38.079 --> 00:47:42.300]  Of course, it'll all be up for our great Prison Planet subscribers later.
[00:47:42.880 --> 00:47:45.101]  But now, of course, we turn to our quote of the day.
[00:47:45.401 --> 00:47:47.962]  Coming up after the break is, of course, none other
[00:47:48.442 --> 00:47:50.803]  Then Sheriff Richard Mack, it's going to be a great interview.
[00:47:51.484 --> 00:47:52.264]  Such a great guy.
[00:47:52.284 --> 00:47:53.344]  A constitutionalist.
[00:47:53.384 --> 00:47:54.005]  Can't go wrong.
[00:47:54.045 --> 00:48:00.628]  He's going to run, actually in Congress, against some of these unconstitutional monsters who've been in office for decades.
[00:48:00.928 --> 00:48:04.210]  Vote for NDAA, internet control bills, everything.
[00:48:04.770 --> 00:48:08.273]  Anyway, our quote is from Arnold J. Toynbee.
[00:48:08.973 --> 00:48:11.875]  There's another Arnold Toynbee as well, the elder.
[00:48:12.496 --> 00:48:16.879]  This Toynbee was 1889 to 1975 lifespan.
[00:48:17.139 --> 00:48:23.224]  He was actually the first president of the Royal Institute of International Affairs, the public branch off
[00:48:23.584 --> 00:48:40.456]  That is the sister organization to the Council on Foreign Relations, all coming from the Rhodes, Cecil Rhodes Secret Society that steers so much of our modern day, all based on that Jesuit model of secret societies, based on that Illuminati model of secret societies, always working in secret.
[00:48:40.797 --> 00:48:47.181]  And here's that quote from Professor Arnold Toynbee, best known for his 12-volume series, A Study of History.
[00:48:48.482 --> 00:48:58.468]  We are presently working discreetly, with all our might, to wrest this mysterious force called sovereignty out of the clutches of the local nation-states of the world.
[00:48:59.268 --> 00:49:01.029]  That's right, they want to destroy sovereignty.
[00:49:01.389 --> 00:49:03.010]  That quote's from 1931.
[00:49:03.871 --> 00:49:10.815]  You've heard the other quotes, the founding quote of the CFR, about how they want to undermine, circumvent, destroy national sovereignty.
[00:49:11.255 --> 00:49:13.697]  And all the other players that are part of the system.
[00:49:13.717 --> 00:49:17.321]  Dolderberg, again, is a branch from the Cecil Road Secret Society.
[00:49:17.801 --> 00:49:19.103]  And it's just crazy.
[00:49:19.583 --> 00:49:21.104]  Crazy what these people are involved in.
[00:49:21.124 --> 00:49:23.667]  We're going to continue to expose them and stop them.
[00:49:24.127 --> 00:49:25.068]  We have no other choice.
[00:49:25.088 --> 00:49:25.789]  This is our future.
[00:49:25.829 --> 00:49:26.570]  This is our lives.
[00:49:26.590 --> 00:49:27.250]  This is our right.
[00:49:27.530 --> 00:49:29.572]  We have a right to the life.
[00:49:30.674 --> 00:49:34.837]  To our lives, to our pursuit of happiness, and that's just the way it is.
[00:49:34.957 --> 00:49:35.758]  We're never going to stop.
[00:49:36.358 --> 00:49:37.459]  We'll be back after this break.
[00:49:37.559 --> 00:49:38.100]  Stay tuned.
[00:49:38.180 --> 00:49:38.880]  Thanks for watching.
[00:49:38.900 --> 00:49:44.164]  Of course, Alex will be speaking this Sunday at the Hi-Li in Orlando, Florida.
[00:49:44.525 --> 00:49:52.691]  It's sold out, but you'll be able to see it later on the web if you're not able to attend, as well as the speaking agent last week in Dallas, Texas.
[00:49:53.172 --> 00:49:56.154]  So thanks for watching, and we'll be back with Sheriff Richard Mack.
[00:50:00.037 --> 00:50:01.218]  America is in trouble.
[00:50:01.358 --> 00:50:03.258]  Washington is a disgrace.
[00:50:03.458 --> 00:50:04.839]  Government has become too big.
[00:50:04.919 --> 00:50:06.700]  It's overtaxing, overspending.
[00:50:06.840 --> 00:50:08.281]  We need to change direction.
[00:50:08.301 --> 00:50:09.401]  We really need change.
[00:50:09.441 --> 00:50:12.202]  We can't afford to make the same mistakes we've made in the past.
[00:50:12.342 --> 00:50:14.503]  Mitt Romney's reputation is a flip-flopper.
[00:50:14.543 --> 00:50:17.765]  He went the other way when he got paid to go the other way.
[00:50:17.785 --> 00:50:19.805]  There is need for economic stimulus.
[00:50:19.825 --> 00:50:21.426]  It's about serial hypocrisy.
[00:50:21.486 --> 00:50:23.227]  This election is about trust.
[00:50:23.447 --> 00:50:26.789]  There's been one true, consistent candidate, and that's Dr. Ron Paul.
[00:50:26.869 --> 00:50:29.870]  Ron Paul has been so consistent from the very beginning.
[00:50:30.090 --> 00:50:31.931]  He seems like a more honest candidate.
[00:50:31.971 --> 00:50:34.612]  He tells the truth about what he believes, whether you like it or not.
[00:50:34.652 --> 00:50:39.414]  He's never once voted for a tax increase, never once voted for an unbalanced budget.
[00:50:39.434 --> 00:50:42.335]  Ron Paul's plan is bold, cuts five departments.
[00:50:42.616 --> 00:50:43.256]  It's what we need.
[00:50:43.476 --> 00:50:47.159]  When he says he's gonna cut a trillion dollars in the first year, I believe it.
[00:50:47.239 --> 00:50:52.324]  If you don't like how things are going and you're tired of politicians, he's something different.
[00:50:52.584 --> 00:50:53.164]  Ron Paul.
[00:50:53.264 --> 00:50:53.845]  Ron Paul.
