[00:00:00.029 --> 00:00:01.213]  Correct from Austin.
[00:26:46.241 --> 00:26:48.602]  Bankers declare they've conquered the US and Europe.
[00:26:50.482 --> 00:26:51.443]  Economic takeover.
[00:26:52.723 --> 00:26:59.526]  And in that huge 12-page article, I don't know, it's got to have a hundred
[00:27:01.442 --> 00:27:05.803]  Bibliography links, and it's online too, free online!
[00:27:07.044 --> 00:27:29.731]  And video clips of them saying they've conquered us, they're going to shut off the economy, make us all poor, bankrupt us, and socialize us, and then they're going to carry out open eugenics on us, one-child families, forced abortions, infanticide of the young up to age three, getting rid of old people, euthanasia,
[00:27:31.735 --> 00:27:34.856]  Which they've made so fashionable, forced government euthanasia.
[00:27:35.757 --> 00:27:42.120]  And I sit here, realizing the general public doesn't even know what these words are.
[00:27:43.360 --> 00:27:52.584]  When I sit up here and talk to them, you know, people think it's like, people think intellectualism, even fake intellectualism, is only for maybe 1% of the population.
[00:27:53.765 --> 00:27:55.386]  You know, maybe 1% would watch
[00:27:56.497 --> 00:27:59.159]  Firing line, like I would watch when I was a kid.
[00:27:59.459 --> 00:28:01.341]  And even I knew that was affected and fake.
[00:28:02.261 --> 00:28:05.664]  A guy with a fake Atlantic accent, up there with his feet kicked up high.
[00:28:05.944 --> 00:28:06.765]  Let me talk to you.
[00:28:07.145 --> 00:28:08.326]  Now, let's see here.
[00:28:08.446 --> 00:28:10.067]  Let's answer this question now.
[00:28:10.828 --> 00:28:11.168]  Yes.
[00:28:11.689 --> 00:28:12.209]  Ah, good.
[00:28:13.110 --> 00:28:14.531]  Isn't that really what it's all about?
[00:28:15.438 --> 00:28:21.961]  And then people sit around watching that, thinking they're intellectuals, and even that isn't even real.
[00:28:22.782 --> 00:28:27.324]  It's a sub-basement of fake debate within a limited paradigm structure.
[00:28:27.704 --> 00:28:41.892]  And I realize, I'm sitting here with the textbooks and the documents, like eco-science, right over there on the shelf, where the White House science czar says they're putting poison in our water to reduce our fertility and reduce our lifespans, and it's all happening
[00:28:42.756 --> 00:28:45.397]  People don't even know what reduced fertility or lifespan means.
[00:28:45.678 --> 00:28:52.481]  Or if they do, they're in such a catatonic, dream-like state, they don't even understand they're under mortal assault.
[00:28:53.642 --> 00:28:57.404]  Brutal, concerted, scientific attack!
[00:28:57.584 --> 00:28:59.645]  I mean, we're being overrun, taken over.
[00:29:00.005 --> 00:29:02.106]  Civilization has officially collapsed.
[00:29:02.386 --> 00:29:03.427]  The family is gone.
[00:29:03.447 --> 00:29:05.328]  The general public are dumb animals.
[00:29:07.429 --> 00:29:10.151]  Alex Jones here with a message to fellow freedom lovers.
[00:29:10.451 --> 00:29:15.274]  The prognosis for the entire planetary economic system runs from bad to worse.
[00:29:15.454 --> 00:29:22.639]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[00:29:22.779 --> 00:29:28.182]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[00:29:28.402 --> 00:29:32.144]  These are items that I did research on, that I personally use.
[00:29:32.424 --> 00:29:36.966]  You've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[00:29:37.166 --> 00:29:42.369]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[00:29:42.629 --> 00:29:45.691]  Strategic Relocation 3rd Edition by Joel Skousen.
[00:29:45.851 --> 00:29:48.093]  When Disaster Strikes by Matthew Stein.
[00:29:48.353 --> 00:29:52.936]  Therosafe used by Homeland Security to protect yourself during any radiological event.
[00:29:53.116 --> 00:29:55.557]  Hand crank shortwave AM FM radios.
[00:29:55.998 --> 00:30:03.042]  Everything that we've researched and found to be the best is available at Infowarshop.com and your purchase makes our Infowar possible.
[00:30:03.222 --> 00:30:04.243]  We're getting prepared.
[00:30:04.483 --> 00:30:04.904]  Are you?
[00:30:05.144 --> 00:30:05.984]  Infowarshop.com
[00:30:09.361 --> 00:30:17.027]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:30:17.467 --> 00:30:21.109]  Alex and his staff have used these pure soap products for years.
[00:30:21.550 --> 00:30:28.355]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:30:28.855 --> 00:30:31.677]  See them on the web at 5starsoap.com.
[00:30:31.877 --> 00:30:36.380]  Or call 800-340-7091 for a free catalog.
[00:30:36.700 --> 00:30:42.363]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:30:42.644 --> 00:30:47.747]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:30:48.047 --> 00:30:49.688]  This is an amazing deal.
[00:30:50.048 --> 00:30:54.591]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:30:55.251 --> 00:30:58.456]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[00:31:06.860 --> 00:31:09.641]  Have you ever wanted to generate your own supply of electrical power?
[00:31:09.901 --> 00:31:11.581]  Even save money on your electric bill?
[00:31:11.881 --> 00:31:15.202]  If so, this could be one of the most important messages you will ever hear.
[00:31:15.503 --> 00:31:17.583]  Solar power generators are now available.
[00:31:17.703 --> 00:31:21.144]  These emergency backup systems provide life-saving electrical power.
[00:31:21.344 --> 00:31:27.166]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[00:31:27.426 --> 00:31:30.787]  It's like having an electrical power plant running quietly in your own home.
[00:31:31.127 --> 00:31:35.730]  Run sump pumps, shortwave radios, computers, and even keep your food from spoiling.
[00:31:35.870 --> 00:31:41.593]  Whether it's hurricanes, ice storms, brownouts or blackouts, you'll never suffer through painful power outages again.
[00:31:41.853 --> 00:31:42.913]  And here's the best news.
[00:31:43.133 --> 00:31:46.035]  A remarkable fall truckload sale is going on right now.
[00:31:46.295 --> 00:31:50.096]  It gets you $1,700 in bonuses when you buy a solar generator.
[00:31:50.196 --> 00:31:57.918]  To find out why these solar generators are the best generators and get $1,700 in bonuses for doing so, go to falltruckloadsale.com.
[00:31:58.058 --> 00:31:59.918]  That's falltruckloadsale.com.
[00:32:00.138 --> 00:32:02.179]  Generate your own supply of electricity.
[00:32:02.299 --> 00:32:04.259]  Go to falltruckloadsale.com.
[00:32:04.359 --> 00:32:06.160]  That's falltruckloadsale.com.
[00:32:07.262 --> 00:32:17.429]  The Silver Lungs Generator is the only all-encompassing professional class product for producing endless colloidal and ionic silver solutions right from the convenience of your home.
[00:32:17.889 --> 00:32:28.095]  With recent regulations threatening the sale of silver-based supplements, now you can secure yourself and your family by producing your own silver solutions anywhere, anytime.
[00:32:29.036 --> 00:32:36.380]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere, for any application.
[00:32:36.581 --> 00:32:43.445]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[00:32:43.785 --> 00:32:48.227]  This product was designed to be an invaluable part of your vital preparations.
[00:32:48.568 --> 00:32:55.892]  For a detailed report on the differences between ionic silver, colloidal silver, and what most silver solution manufacturers are producing,
[00:32:56.092 --> 00:33:05.957]  Please visit our website at www.silverlungs.com for more information on why you should be producing your own silver solutions right from your home forever.
[00:33:08.319 --> 00:33:09.499]  Coast to Coast.
[00:33:09.860 --> 00:33:11.260]  Direct from Austin.
[00:33:11.921 --> 00:33:15.122]  You're listening to the Alex Jones Broadcasting Network.
[00:33:19.708 --> 00:33:28.431]  I have sworn upon the altar of God eternal hostility against every form of tyranny over the mind of man.
[00:33:29.232 --> 00:33:30.232]  Thomas Jefferson.
[00:33:30.252 --> 00:33:34.554]  It's Alex Jones on the GCN Radio Network.
[00:33:39.976 --> 00:33:45.158]  We are back live, and some people would tune into a broadcast like this and say, oh, this guy's negative.
[00:33:46.417 --> 00:34:05.125]  Really, it's negative when there's a scientific, technocratic elite writing hundreds of books and white papers publicly, describing, going back 80 years ago, right through to today, exactly what they're doing to us, and talking about us like we don't even hear them or see what they're saying or doing, in plain view.
[00:34:06.186 --> 00:34:10.868]  You know, I personally take that very, very personally.
[00:34:14.699 --> 00:34:17.263]  As a man, try to then learn more about these enemies.
[00:34:18.084 --> 00:34:26.377]  I try to learn what they stand for, what they believe in, what their goals are, and how that's going to affect myself and my family.
[00:34:27.218 --> 00:34:30.503]  Because I've noticed with the general public, there's a fake sentimentality.
[00:34:31.264 --> 00:34:34.226]  They like the appearance of caring about their children.
[00:34:34.907 --> 00:34:38.449]  They like the appearance of caring about their society.
[00:34:39.010 --> 00:34:44.234]  They like the appearance of being involved in their community or being informed.
[00:34:44.614 --> 00:34:48.497]  But they are a mile wide and a millimeter deep.
[00:34:49.257 --> 00:34:51.399]  There is nothing real there.
[00:34:51.659 --> 00:34:52.740]  They're not alive.
[00:34:53.160 --> 00:34:54.481]  They're not real people.
[00:34:54.741 --> 00:34:56.162]  They have no depth.
[00:34:57.223 --> 00:34:58.104]  They have no depth.
[00:34:58.224 --> 00:34:59.905]  Now there are a lot of people that do have depth.
[00:35:00.694 --> 00:35:04.116]  And there are a lot of good men and women of every race, color, and creed across this club.
[00:35:04.997 --> 00:35:15.043]  But I'll tell you this, if you don't fight for liberty and freedom, and if you don't fight for dignity, and if you don't fight to be treated with respect, then you are a barbarian.
[00:35:15.603 --> 00:35:17.084]  You don't want civilization.
[00:35:17.264 --> 00:35:20.406]  And I'll tell you, civilization as we know it is already gone.
[00:35:20.947 --> 00:35:27.211]  We live in a facade, an artificial environment, bombarding everyone with incredibly
[00:35:27.951 --> 00:35:30.173]  Negative, anti-family, pro-death.
[00:35:30.433 --> 00:35:35.136]  I've got a stack of articles here about new sitcoms in North America and in the UK.
[00:35:36.036 --> 00:35:39.478]  New BBC where it's people committing suicide and how cool it is.
[00:35:40.559 --> 00:35:44.281]  Other shows where it's bad to have a mommy and a daddy.
[00:35:44.561 --> 00:35:47.363]  See, it's not just okay to have two daddies or two mommies.
[00:35:47.643 --> 00:35:48.063]  No, no, no.
[00:35:48.203 --> 00:35:50.685]  It's bad to have a daddy and a mommy.
[00:35:51.786 --> 00:35:52.106]  You see?
[00:35:54.518 --> 00:35:59.363]  I was in Whole Foods yesterday because my wife asked me to go to the grocery store for her, and I don't go very often.
[00:35:59.383 --> 00:36:03.327]  There's a Whole Foods closer to our house because I live out in the country.
[00:36:03.767 --> 00:36:07.671]  Believe it or not, there's a satellite Whole Foods sticking out towards the edge of town.
[00:36:08.592 --> 00:36:13.357]  And I drove over to it, and I was buying a bunch of vegetables mainly.
[00:36:13.377 --> 00:36:16.420]  That's what my wife put on the list.
[00:36:20.086 --> 00:36:24.590]  A guy walks over and he says, oh, you're making some very healthy choices.
[00:36:25.551 --> 00:36:28.574]  And I looked at the guy and thought, does this guy know who I am?
[00:36:28.654 --> 00:36:29.514]  And I said, hi, how are you doing?
[00:36:29.534 --> 00:36:30.455]  He goes, hi.
[00:36:31.056 --> 00:36:31.937]  Didn't know who I was.
[00:36:33.958 --> 00:36:35.960]  Walked on to the store, ran into a few listeners.
[00:36:37.161 --> 00:36:41.365]  And then another woman walks over and says, oh, you've made very healthy choices.
[00:36:42.486 --> 00:36:45.148]  And I thought, OK, this is on purpose.
[00:36:45.609 --> 00:36:46.670]  And then I rounded
[00:36:47.901 --> 00:37:01.104]  The area over where they got the yogurt and all the rest of it, and there was a big hand-drawn sign, or meant to look hand-drawn, over the cold cabinets.
[00:37:02.785 --> 00:37:05.685]  And it said, my name's blah blah, and I should have taken a photo of it.
[00:37:05.725 --> 00:37:07.386]  In fact, I'm going to go back in there and do a report on it.
[00:37:08.223 --> 00:37:12.807]  And he said, the reason I like working here 16 years is I get to influence what people eat.
[00:37:13.427 --> 00:37:16.670]  It wasn't, I get to work somewhere where we promote healthy food.
[00:37:16.690 --> 00:37:18.732]  He goes, I get to influence what people eat.
[00:37:19.692 --> 00:37:27.679]  And so I guess this is some new rollout where they don't just peck at you, you shouldn't get plastic, and then get rid of plastic entirely, about social engineering.
[00:37:29.180 --> 00:37:34.024]  It's all about being fully immersed, and America is a giant re-education camp.
[00:37:34.713 --> 00:37:35.333]  That's what it is.
[00:37:36.614 --> 00:37:42.535]  Public schools are total systems to turn you against your parents, dumb you down, teach you to be herd-driven.
[00:37:42.995 --> 00:37:50.637]  I've had the former head of the Department of Education and Policy on many times, Charlotte Littlefield, Charlotte Isserby, and
[00:37:55.882 --> 00:37:58.983]  You know, just an amazing lady.
[00:37:59.824 --> 00:38:01.425]  And you know, her dad was skull and bones.
[00:38:01.445 --> 00:38:02.565]  The rest of it.
[00:38:03.365 --> 00:38:07.567]  She's the lady that leaked to Anthony Sutton and to Congress all that info in the 70s.
[00:38:08.628 --> 00:38:10.449]  But the point is, I mean, she's got all the documents.
[00:38:10.529 --> 00:38:11.269]  It was all planned.
[00:38:11.929 --> 00:38:14.251]  This is a planned, deliberate dumbing down.
[00:38:14.291 --> 00:38:14.991]  We sell the book.
[00:38:15.391 --> 00:38:16.311]  Deliberate Dumbing Down.
[00:38:16.351 --> 00:38:19.013]  If anybody still reads, at InfoWorksStore.com.
[00:38:21.104 --> 00:38:24.486]  It's the size of a little phone book, breaking all that down.
[00:38:24.906 --> 00:38:30.269]  This has been done by design, and people should be upset about going into bondage.
[00:38:30.649 --> 00:38:33.711]  They should be upset about social engineering.
[00:38:34.451 --> 00:38:39.394]  They should be upset about classical authoritarianism.
[00:38:40.234 --> 00:38:46.276]  They should be upset when the White House First Lady is, quote, setting standards on what kids eat.
[00:38:46.637 --> 00:38:57.561]  And from Colorado to Illinois, there are mainstream news articles, you can pull them up, where the parents aren't allowed to pack the lunch, the school decides.
[00:38:59.182 --> 00:39:02.003]  I mean, this is the type of stuff we're dealing with.
[00:39:03.283 --> 00:39:04.964]  And Bloomberg comes out.
[00:39:06.195 --> 00:39:06.675]  I don't know.
[00:39:26.400 --> 00:39:30.324]  Troop of baboons, where the dominant one gets the highest in the tree.
[00:39:30.344 --> 00:39:40.273]  Or a flock of cockatoos, you know, in Australia, where the dominant one gets in the top of the tree and chirps and sings proudly.
[00:39:42.035 --> 00:39:46.719]  Or iguanas, where the dominant iguana, you know, gets up on the highest branch of the tree.
[00:39:46.739 --> 00:39:49.942]  I mean, I'm not thrilled and excited by that.
[00:39:50.362 --> 00:39:51.683]  That doesn't make me happy.
[00:39:52.654 --> 00:39:57.497]  And running other people's lives and having power over people doesn't make me happy.
[00:39:58.177 --> 00:40:01.880]  Inventing things, creating things, being private.
[00:40:03.301 --> 00:40:07.843]  I mean, I'm on a search for normal, good people that aren't users and mentally ill.
[00:40:08.244 --> 00:40:10.585]  I'm on a search for people that could be my friend.
[00:40:10.925 --> 00:40:16.309]  I'm on a search for any decent people that aren't backstabbing, stupid nothings.
[00:40:16.969 --> 00:40:18.890]  You know, and I never had a high view of myself.
[00:40:19.110 --> 00:40:22.691]  I just began to realize, you know, this species is a stinking joke!
[00:40:23.271 --> 00:40:39.877]  The elite are a group of knuckle-dragging, cancerous control freaks who are just psychopaths, who've created a, a sadistic psychopaths, who've created a cosmology to carry out their control freak dreams and lust and things upon the population so they can have the most beautiful and creative and
[00:40:40.157 --> 00:40:46.922]  You know, kneel down to them because they control the symbol of energy, money, through fractional reserve derivatives fraud.
[00:40:47.242 --> 00:40:50.665]  They control everything because they literally have a magic hat.
[00:40:50.885 --> 00:40:58.170]  Through fraud, because they control the media, they bought off in the last hundred years to tell everybody that they're actually running everything and are good people.
[00:40:58.651 --> 00:41:08.138]  So you've got a degenerate hunchback, literally elite, uglier than the day is long, spiritually and physically, who hate everyone that are pure or beautiful.
[00:41:09.912 --> 00:41:16.336]  And then you've got, they've turned the general public into mutated ugly slobs, and I mean spiritual slobs.
[00:41:17.416 --> 00:41:23.000]  Just, just, I mean you look at men today, and I mean they are just incredibly shallow, nothing weaklings.
[00:41:23.500 --> 00:41:29.003]  And they want to argue with you about sports, and when you don't know about sports, they'll laugh and go, oh you don't know.
[00:41:29.023 --> 00:41:32.966]  Like you're not, yeah man, I'm not cool.
[00:41:33.906 --> 00:41:34.606]  Yeah, right.
[00:41:34.686 --> 00:41:47.209]  I know about the economy, and quantum mechanics, and engineering, and societal development, and sociology, and anthropology, because it's addicting to know how the world really works.
[00:41:47.509 --> 00:41:54.631]  Except careful how much knowledge you get, because then you come to grips with the fact that the humanity is rotting.
[00:41:55.651 --> 00:41:57.272]  Absolutely rotting.
[00:41:58.908 --> 00:42:12.582]  And the only way to save my family is to go out and engage the rotting carcass, and try to reanimate it against the globalists, because the globalists are engineering a world government, shutting off the resources, while posing as the savior.
[00:42:12.763 --> 00:42:21.592]  They need to shut the resources off, and so there's lesser and less resources, so you'll sell out for nothing, so they can give you chicken feed for your birthright of liberty.
[00:42:23.214 --> 00:42:30.348]  And so they can forge you into little armies of waddling effeminate nothings, these men.
[00:42:31.909 --> 00:42:36.493]  Who openly tell you they have power through the Borg Hive Collective.
[00:42:36.793 --> 00:42:38.354]  Who are proud of it.
[00:42:38.815 --> 00:42:41.677]  Who are proud of their pathetic weakness.
[00:42:42.017 --> 00:42:44.199]  They are proud of how destroyed they are.
[00:42:44.899 --> 00:42:47.301]  They are proud of how spiritually dead they are.
[00:42:47.561 --> 00:42:54.327]  These churches, these Rockefeller World Council of Churches, literal government propaganda whorehouses.
[00:42:54.627 --> 00:42:58.210]  The people, most people love their kids dying of cancer nowadays.
[00:42:58.370 --> 00:42:59.894]  Because they get attention from their neighbors.
[00:43:00.094 --> 00:43:04.846]  They don't want to know why their kids are dying of cancer because they injected them in the vaccines with it.
[00:43:04.906 --> 00:43:06.109]  They're murdering you!
[00:43:08.095 --> 00:43:13.098]  We just had a terrible storm in the east, but we are all still in the eye of the perfect storm.
[00:43:13.498 --> 00:43:21.343]  We have the most devastating economic conditions since the Great Depression, America's worst drought in agricultural history, and what about the presidential election?
[00:43:21.643 --> 00:43:25.306]  This perfect storm is a huge threat to everyone's food supply.
[00:43:25.626 --> 00:43:29.488]  eFoods Direct is preparing for the shortages, and you had better do the same.
[00:43:29.929 --> 00:43:31.890]  I can warn you, but I can't feed you.
[00:43:32.230 --> 00:43:35.533]  You know that eFoods is the best tasting and safest food on the planet.
[00:43:35.773 --> 00:43:38.956]  We all need a bunch of storable and usable food from eFoods Direct.
[00:43:39.316 --> 00:43:42.960]  None of us wants to be standing in a bread line trading our freedom for food.
[00:43:43.380 --> 00:43:47.503]  Anyone who doesn't take control of their uncertain future has to be just a little bit nuts.
[00:43:47.704 --> 00:43:54.710]  Go to efoodsdirect.com slash alex starting Thursday November 22nd at midnight through Monday November 26th.
[00:43:54.870 --> 00:43:58.173]  You can save 25 to 30 percent on the Black Friday specials.
[00:43:58.433 --> 00:44:00.138]  Give the gift of food security.
[00:44:00.278 --> 00:44:03.828]  Would you rather prepare six months too early or one day too late?
[00:44:04.009 --> 00:44:06.516]  Go to efoodsdirect.com slash Alex.
[00:44:07.270 --> 00:44:12.533]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:44:12.774 --> 00:44:14.975]  Start purifying your water with ProPure.
[00:44:15.195 --> 00:44:24.141]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure, and it's available discounted at InfoWars.com.
[00:44:24.301 --> 00:44:27.483]  Its filters are silver impregnated to prevent bacterial growth.
[00:44:27.743 --> 00:44:29.184]  There's no priming required.
[00:44:29.424 --> 00:44:31.466]  It's NSF-42 certified.
[00:44:31.706 --> 00:44:34.187]  Optional fluoride filters can reduce fluoride up to 95%.
[00:44:35.268 --> 00:44:36.609]  Easy to set up and use.
[00:44:36.789 --> 00:44:38.090]  Doesn't require electricity.
[00:44:38.210 --> 00:44:41.072]  Purify water from lakes, streams, ponds, and wells.
[00:44:41.373 --> 00:44:44.535]  This filter system leaves in beneficial minerals, which is key.
[00:44:44.755 --> 00:44:46.536]  Save money by not buying bottled water.
[00:44:46.657 --> 00:44:48.758]  And avoid BPA that leaches from the plastic.
[00:44:48.898 --> 00:44:51.500]  ProPure is the best gravity-fed filter out there.
[00:44:51.640 --> 00:44:52.961]  It's what my family uses.
[00:44:53.221 --> 00:44:56.424]  Infowars.com already has the lowest price on ProPure.
[00:44:56.524 --> 00:45:02.128]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:45:02.368 --> 00:45:03.509]  You can also call to order.
[00:45:03.609 --> 00:45:03.649]  888-253-3139
[00:45:07.290 --> 00:45:11.313]  Millions of people are going to get sick this winter from colds, flu, and other illnesses.
[00:45:11.393 --> 00:45:12.514]  Don't be one of them!
[00:45:12.614 --> 00:45:18.158]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial solution.
[00:45:18.318 --> 00:45:27.944]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold, and food poisoning, and help improve wound healing.
[00:45:28.124 --> 00:45:34.809]  Supernatural Silver is safe enough to consume every day, while powerful enough to destroy the causes of many serious diseases.
[00:45:34.909 --> 00:45:36.270]  We're good to go.
[00:45:55.845 --> 00:46:02.116]  Go to SupernaturalSilver.com today and use the promo code SILVER2012 for 20% off.
[00:46:02.236 --> 00:46:05.702]  That's SupernaturalSilver.com and like us on Facebook.
[00:46:09.105 --> 00:46:16.789]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:46:17.230 --> 00:46:20.852]  Alex and his staff have used these pure soap products for years.
[00:46:21.292 --> 00:46:28.116]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:46:28.596 --> 00:46:31.418]  See them on the web at 5starsoap.com.
[00:46:31.618 --> 00:46:36.122]  Or call 800-340-7091 for a free catalog.
[00:46:36.462 --> 00:46:42.128]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:46:42.408 --> 00:46:47.513]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:46:47.813 --> 00:46:49.434]  This is an amazing deal.
[00:46:49.795 --> 00:46:54.399]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:46:55.040 --> 00:46:57.202]  See them on the web at 5starsoap.com
[00:46:58.062 --> 00:47:02.667]  Or call 800-340-7091 for a free catalog.
[00:47:08.272 --> 00:47:09.453]  Coast to Coast.
[00:47:09.814 --> 00:47:11.155]  Direct from Austin.
[00:47:11.856 --> 00:47:15.079]  You're listening to the Alex Jones Broadcasting Network.
[00:47:21.406 --> 00:47:27.733]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:47:32.118 --> 00:47:37.404]  Careful that you not stare into the abyss too long, or at least you'd become the abyss.
[00:47:38.705 --> 00:47:39.786]  Was it Nietzsche who said that?
[00:47:40.976 --> 00:47:45.718]  Or as he also said, that which does not kill you, only makes you stronger.
[00:47:45.738 --> 00:47:52.601]  You know, I study this, I'm not going to exaggerate, not as much as I used to, 15 hours a day.
[00:47:54.041 --> 00:47:58.583]  There's been times in my life where I've studied 18 hours a day on the New World Order.
[00:47:59.383 --> 00:48:00.904]  And that's why it's so frustrating.
[00:48:01.084 --> 00:48:06.226]  I study what the globalists write and say, because they operate like you don't even know they exist.
[00:48:07.062 --> 00:48:10.746]  The general public, you go out and say, hey, have you heard about the world government?
[00:48:10.926 --> 00:48:16.971]  They'll say, oh, that's what kooks talk about, even though it's now admitted we're going under a private corporate world government.
[00:48:17.652 --> 00:48:22.316]  And they think you care what they think about you.
[00:48:23.858 --> 00:48:28.382]  And it's not that that affects you that they don't care in the way they think.
[00:48:28.442 --> 00:48:32.126]  It affects you that you realize they're helpless and it's very upsetting.
[00:48:35.000 --> 00:48:44.067]  And I liken it to, you know, telling somebody, hey, you know, don't get in the car with that guy.
[00:48:45.428 --> 00:48:48.931]  And then the woman gets found two days later dead in a field.
[00:48:49.411 --> 00:48:52.033]  I mean, you don't feel good about the fact you were right about it.
[00:48:57.042 --> 00:48:58.184]  You don't feel good about that.
[00:48:59.085 --> 00:49:07.698]  It's very frustrating to be absolutely on target about where the world's going and to know so few even know it.
[00:49:09.721 --> 00:49:11.264]  So few are even aware.
[00:49:19.309 --> 00:49:43.972]  It is just so frustrating that the globalists openly announce what they're doing to us, how they're socially engineering us, how they're taking over our lives, and how they're doing it towards a bad aim, but they have this general PR cover story that all these incredibly satisfied trendies who call themselves liberals buy into, who just walk around with a satisfied look on their face,
[00:49:44.944 --> 00:49:47.326]  And who just will not face reality.
[00:49:48.026 --> 00:49:52.849]  You know, at least conservatives think freedom and private property is a good thing.
[00:49:53.410 --> 00:50:00.674]  Sure, they buy into mainline Republican leaders that will absolutely sell them out, and they're conned to a great extent, but at least they have some of the basic facts.
[00:50:05.778 --> 00:50:13.483]  I mean, I look at these articles I have here, we're going to take calls in the second hour and get into a bunch of other news, and it makes my head spin.
[00:50:15.555 --> 00:50:18.176]  I mean, look at this NBC World News headline.
[00:50:18.876 --> 00:50:22.958]  Kids removed from UK couple over support for independence from Europe.
[00:50:27.836 --> 00:50:34.860]  They took their children and gave them to foster care because they were politically active in the UK Independence Party.
[00:50:34.900 --> 00:50:38.682]  Now, if they were active in a white supremacist group, you shouldn't take their kids.
[00:50:39.022 --> 00:50:48.988]  But UKIP, our frequent guest here, they are the third largest party in England, in the UK, the fastest growing, gaining all these seats in the European Union Parliament.
[00:50:49.348 --> 00:50:52.910]  That's rubber stamped, the bureaucrats run it, but at least they're in it.
[00:50:53.689 --> 00:50:55.951]  Nigel Farage, just incredible speaker.
[00:50:57.051 --> 00:50:58.973]  It's about getting sovereignty back.
[00:50:59.053 --> 00:51:00.434]  It's about cutting taxes.
[00:51:01.254 --> 00:51:03.896]  It's basically a mild libertarian group.
[00:51:03.916 --> 00:51:05.177]  They're not even libertarian.
[00:51:05.837 --> 00:51:07.338]  They're so mainline conservative.
[00:51:07.658 --> 00:51:09.700]  Folks, they're taking their kids.
[00:51:09.760 --> 00:51:10.961]  They're arresting them.
[00:51:11.861 --> 00:51:13.702]  Lord Monckton's one of the founders of it.
[00:51:14.043 --> 00:51:15.003]  You've heard him here on the show.
[00:51:15.544 --> 00:51:16.464]  Lord Christopher Monckton.
[00:51:16.644 --> 00:51:22.388]  In fact, I want to get him on this week about this, or Nigel Farage, member of the UK Independence Party.
[00:51:23.089 --> 00:51:28.773]  And you can go watch NBC News is covering this, going, should your children be taken if you're conservative?
[00:51:29.673 --> 00:51:31.755]  And see, it's not just a standalone case.
[00:51:32.475 --> 00:51:39.040]  I happen to know about this in Europe and now starting in Canada, and they're starting it here.
[00:51:39.080 --> 00:51:40.601]  They're arresting preachers.
[00:51:42.130 --> 00:51:44.893]  That read out of the Bible criticizing homosexuality.
[00:51:47.156 --> 00:51:49.539]  This is authoritarianism, ladies and gentlemen.
[00:51:49.919 --> 00:51:55.286]  And again, they're not even being authoritarian because they want to be sweet to downtrodden groups.
[00:51:55.526 --> 00:51:56.127]  That's a cover.
[00:51:56.567 --> 00:51:59.211]  This is a cold-blooded program.
[00:52:02.554 --> 00:52:09.000]  Do you ever hear of the gay and lesbian groups criticizing the fact that it's been declassified, that HIV, this came out in Congress, look it up.
[00:52:09.800 --> 00:52:22.991]  You can debate whether it was manufactured or not, but the point is, in the late 70s, it was put in hepatitis shots in San Francisco, New York, London and Paris, and given to gay men, because they were having hundreds of partners a month at that time, to spread it.
[00:52:25.954 --> 00:52:27.896]  They used them to spread HIV.
[00:52:31.075 --> 00:52:33.277]  It's all just a cover, ladies and gentlemen.
[00:52:33.617 --> 00:52:39.242]  When you come to grips with the full magnitude of what we're facing, people ask, why am I still alive?
[00:52:39.282 --> 00:52:40.103]  Why am I still in the air?
[00:52:40.483 --> 00:52:42.044]  They think you're so lost.
[00:52:42.485 --> 00:52:44.006]  They think you're so pathetic.
[00:52:44.246 --> 00:52:45.928]  They think you're in such a trance.
[00:52:47.469 --> 00:52:50.212]  That so what if Alex Jones goes on the air and tells you about it?
[00:52:50.532 --> 00:52:53.435]  Ron Paul gave his 49-minute speech a week and a half ago.
