[00:00:21.894 --> 00:00:25.575]  Welcome to the Groundhog Day edition of the Infowars Nightly News.
[00:28:39.195 --> 00:28:50.380]  Obviously, that's been a huge question in your work, but now we've got the Georgia judge, I believe he's about to rule within a day or two's time on whether or not Obama has proven himself eligible.
[00:28:50.420 --> 00:28:54.661]  He didn't show up for the hearing, and that could spread, as you've mentioned before, to other states.
[00:28:54.721 --> 00:28:55.622]  Where do you see that going?
[00:28:56.092 --> 00:28:58.995]  Well, I think it's going to be a 50-state challenge, state-by-state.
[00:28:59.975 --> 00:29:04.860]  The Administrative Law Judge in Georgia has very little time to make the decision.
[00:29:05.600 --> 00:29:16.830]  The Georgia primary, Democratic primary, I believe is on March 6th, and the ballots have to be printed or reprinted if Obama's name is going to be taken off the Democratic primary ballot.
[00:29:17.431 --> 00:29:19.592]  And the President's attorney didn't show up.
[00:29:20.753 --> 00:29:23.434]  The judge indicated he was ready to do a default judgment.
[00:29:24.254 --> 00:29:33.296]  Clearly, the judge has already said there was going to be no motion to dismiss the procedure that the president had made such a motion.
[00:29:33.336 --> 00:29:39.778]  The judge refused to grant it, saying that the laws that the president cited were not controlling.
[00:29:39.838 --> 00:29:44.059]  And that's very bad news for the White House, because what it kind of telegraphs
[00:29:44.719 --> 00:29:54.044]  Is that this judge may be going more in the direction of minor v. haperset, requiring natural born citizens to be eligible to be president, to have two U.S.
[00:29:54.905 --> 00:30:03.029]  citizen parents at birth, and born in the United States, and Barack Obama probably is disqualified on both counts.
[00:30:03.670 --> 00:30:06.131]  His father was Kenyan, never a U.S.
[00:30:06.171 --> 00:30:06.611]  citizen.
[00:30:07.972 --> 00:30:12.195]  The arguments were made at the court that the birth certificate is a fraud, a forgery.
[00:30:13.135 --> 00:30:18.419]  And in Indonesia, Obama may also have lost his natural born citizenship status.
[00:30:18.739 --> 00:30:25.244]  He was Barry Satoro officially, Barry Sori Barka, when his mother removed him from her passport.
[00:30:25.804 --> 00:30:29.727]  How can a person have an Indonesian surname and still be a natural born U.S.
[00:30:29.767 --> 00:30:30.107]  citizen?
[00:30:30.127 --> 00:30:30.868]  It's not possible.
[00:30:31.468 --> 00:30:31.668]  Right.
[00:30:32.389 --> 00:30:45.139]  And so obviously this should have been dealt with before Barack Obama ran the first time, but now that he's running the second time, if people do accept the idea that he's not eligible, what kind of crisis of confidence is this going to create?
[00:30:45.179 --> 00:30:47.081]  What's going to happen to our entire country?
[00:30:47.557 --> 00:30:52.964]  Well, first of all, I think it clearly is going to be a major detriment to Obama getting re-elected.
[00:30:53.344 --> 00:31:06.140]  If one state fights and keeps Obama off the ballot, how's he going to win the presidency of Georgia, or several other states along with Georgia, say to Obama, you're not going to be on the ballot, you're not a natural born citizen.
[00:31:06.741 --> 00:31:08.042]  Problem's not going away.
[00:31:08.062 --> 00:31:16.629]  It might even get it to the point where there's a constitutional crisis and his current presidency is questionable whether he's a usurper.
[00:31:16.649 --> 00:31:32.663]  Remember, we've also got Sheriff Arpaio conducting a law enforcement investigation in Maricopa County in Arizona for the Tea Party residents who have asked and petitioned that Sheriff look into whether Obama's eligible to be president.
[00:31:33.303 --> 00:31:37.044]  And that report is going to come out at the end of February.
[00:31:37.784 --> 00:31:41.565]  Now, Sheriff Arpaio is doing the first law enforcement investigation.
[00:31:41.585 --> 00:31:44.385]  It's a very serious, very professional investigation.
[00:31:45.105 --> 00:31:49.466]  And I think that the President ought to be deeply concerned what the results are going to be.
[00:31:49.486 --> 00:31:52.967]  The Sheriff has already said some of the results are going to be shocking.
[00:31:53.027 --> 00:31:55.628]  Well, let's hold the Sheriff at his word.
[00:31:55.648 --> 00:31:58.008]  And again, we'll have the results there.
[00:31:58.188 --> 00:32:01.189]  And the issue is unlikely to go away
[00:32:01.949 --> 00:32:09.036]  Going to continue to be debated and a law enforcement determination is going to have to make some impact on millions of Americans.
[00:32:11.038 --> 00:32:11.938]  Yeah, it's outrageous.
[00:32:12.619 --> 00:32:14.821]  So where do you see the final direction going?
[00:32:15.141 --> 00:32:16.783]  They're building up for war in Iran.
[00:32:17.083 --> 00:32:18.805]  The economic crisis continues.
[00:32:19.205 --> 00:32:20.627]  Where are we going in general, Doctor?
[00:32:21.206 --> 00:32:23.228]  Well, I think you're headed to some major crises.
[00:32:23.288 --> 00:32:31.476]  I think it's not clear today whether the EU is going to be able to get a new refinancing in place for Greece.
[00:32:32.076 --> 00:32:34.799]  Greece today says it needs $20 billion more.
[00:32:34.819 --> 00:32:36.820]  I mean, the truth is Greece is bankrupt.
[00:32:37.441 --> 00:32:41.985]  It's got a social welfare state, they're paying out entitlement benefits they can't afford.
[00:32:42.685 --> 00:32:46.408]  And Germany's going to have to cover Greece, which I don't think is going to happen.
[00:32:46.988 --> 00:33:00.239]  Iran and Israel, Israel even today is again saying, making statements that all of the nuclear facilities in Iran could be hit by a preemptive Israeli military strike.
[00:33:00.819 --> 00:33:10.005]  This is the first time Israeli officials have been making statements like this and I think it again telegraphs that a real shooting war is about to start in the Middle East.
[00:33:10.365 --> 00:33:16.729]  I think the covert war, the secret war with Israel and Iran has already started.
[00:33:17.389 --> 00:33:28.558]  These assassinations of Iranian nuclear scientists, the explosions at Iranian nuclear facilities, the hands of Israeli intelligence and probably U.S.
[00:33:28.598 --> 00:33:31.481]  intelligence are all over those kinds of operations.
[00:33:31.521 --> 00:33:32.742]  I think the war has already begun.
[00:33:33.402 --> 00:33:33.782]  Certainly.
[00:33:34.103 --> 00:33:46.233]  Have you seen the Brookings Institute report, Which Path to Persia, where they discuss everything from a velvet color revolution to another false flag, as well as economic sanctions and other means to start that war?
[00:33:47.113 --> 00:33:59.361]  Well, I think, yes I have, and I think the best path, the one I've been fighting for since I wrote Atomic Iran in 2005, was for peaceful change from within.
[00:33:59.381 --> 00:34:01.943]  And we had the opportunity for that.
[00:34:01.983 --> 00:34:16.573]  If you remember, in June, I believe it was 2009, when the presidential election was held in Iran, it was a green revolution, and all the Iranians in the streets protesting, all Obama had to do
[00:34:17.253 --> 00:34:23.378]  Would say that he supported the people in the streets to get freedom and a change of government.
[00:34:23.438 --> 00:34:26.841]  Obama didn't do it and we lost a huge opportunity.
[00:34:27.581 --> 00:34:29.222]  I think a war is going to be disastrous.
[00:34:29.283 --> 00:34:30.363]  I've been against a war.
[00:34:30.904 --> 00:34:34.807]  Remind people it's not, you know, it's not an electronics game here.
[00:34:35.347 --> 00:34:38.149]  There's going to be thousands of people killed.
[00:34:38.210 --> 00:34:39.731]  The war is unpredictable.
[00:34:40.331 --> 00:34:42.992]  It could lead to a regional war, it could be nuclear in scope.
[00:34:43.532 --> 00:34:50.575]  I've been praying and doing everything I can, writing, to try to convince people that a war is the worst solution.
[00:34:51.055 --> 00:35:01.799]  And the Iranians, and I walked 200 miles with the Iranian freedom fighters in the United States, after I wrote the book in 2005, calling for freedom in Iran.
[00:35:02.280 --> 00:35:03.720]  The Iranian people want freedom.
[00:35:04.120 --> 00:35:06.201]  We have no problem with the Iranian people.
[00:35:06.241 --> 00:35:07.742]  It's this Iranian government
[00:35:08.362 --> 00:35:18.565]  That is a group of radical religious zealots that in fact are going to pursue a nuclear weapon and will not be stopped by sanctions or negotiations.
[00:35:19.486 --> 00:35:31.670]  When the world comes to recognize that, war is still not the only solution and I pray that we can be more intelligent and support the people within Iran who want to change their own government from within.
[00:35:31.730 --> 00:35:33.150]  We don't need to do it for them.
[00:35:33.190 --> 00:35:34.090]  We shouldn't do it.
[00:35:34.510 --> 00:35:35.711]  We shouldn't be involved.
[00:35:36.331 --> 00:35:44.640]  But in a war, it's going to involve, I think, regionally, the United States almost immediately, and it has the potential of becoming a war that could escalate out of control.
[00:35:45.834 --> 00:35:49.236]  Doctor, looking back over the past year, what does it say about the U.S.
[00:35:49.296 --> 00:35:58.962]  and the NATO allied forces that in fighting Libya and now look like in fighting Syria, we've allied with Al-Qaeda forces, actual members of Al-Qaeda?
[00:35:58.982 --> 00:36:02.945]  Well, I've been writing about this at WND and objecting to it.
[00:36:03.565 --> 00:36:07.207]  This was all billed as the Arabian Spring.
[00:36:07.227 --> 00:36:08.908]  It was a burst of freedom in the region.
[00:36:15.192 --> 00:36:16.974]  Obama knew what he was doing.
[00:36:17.654 --> 00:36:20.857]  This was a move to radicalize the Middle East.
[00:36:20.957 --> 00:36:25.441]  The winners were the Islamic Brotherhood, the Muslim Brotherhood.
[00:36:25.461 --> 00:36:29.564]  There's not a more radical force in the Middle East.
[00:36:30.065 --> 00:36:34.868]  This is a force that today we're seeing controlling a military dictatorship.
[00:36:34.929 --> 00:36:37.110]  It's going to be in Egypt.
[00:36:37.170 --> 00:36:38.471]  Americans are going to have to get out.
[00:36:39.632 --> 00:36:41.153]  It's not going to be democracy.
[00:36:41.794 --> 00:36:48.598]  The Muslim Brotherhood controls the voting, votes in a much higher proportion, wins control of the government, and stops elections.
[00:36:49.478 --> 00:36:54.661]  We've just seen a radicalizing of the Middle East, and it's going on country by country by country.
[00:36:55.261 --> 00:37:02.306]  You know, Assad in Syria is being again besieged by the Muslim Brotherhood forces.
[00:37:03.186 --> 00:37:04.087]  And, I mean, Assad
[00:37:05.047 --> 00:37:11.455]  It was a dictator, a no-gem, an ally with Iran, but what's coming into Syria is probably going to be worse.
[00:37:12.076 --> 00:37:22.869]  And Obama, again, either knowingly participated in engineering this, or didn't understand it, which I don't believe, and didn't take the steps necessary to be on the right side.
[00:37:23.610 --> 00:37:37.702]  We've been on the wrong side consistently, a side of forces that are not going to impose democracy and freedom in these countries throughout Northern Africa and the Middle East, Syria, Libya, etc.
[00:37:38.362 --> 00:37:50.392]  But it's going to become a Muslim radical group of countries that will ally, even though they're Sunnis, will ally with Iran and cause the Middle East to be a much more dangerous region for everyone.
[00:37:51.297 --> 00:38:06.240]  Now, in closing, and feel free to add any other topics you want to bring up, to what extent are we being driven by the Western foreign policy wonks who've wanted a clash of cultures and who in many senses are building up an artificial extremism in the Middle East to build up an enemy?
[00:38:06.809 --> 00:38:12.513]  Well, I think there's a good deal of that, and I also put it squarely at the globalists on both sides.
[00:38:12.553 --> 00:38:23.702]  You know, the Henry Kissingers and the Zygmunt Brzezinski's, who had this grand idea of causing all these crises in order to gain more power.
[00:38:23.722 --> 00:38:31.528]  You know, the EU and the Euro collapses, well, advance the International Monetary Fund in a global currency.
[00:38:32.088 --> 00:38:33.089]  That's been the plan.
[00:38:33.129 --> 00:38:34.750]  I think it's going to fail miserably.
[00:38:35.290 --> 00:38:47.638]  But the tragedy is that the world is going to go through a period of economic depression and wars that could be a prelude to a like World War I, World War II.
[00:38:48.539 --> 00:38:49.840]  And ultimately there's going to be
[00:38:50.660 --> 00:38:54.181]  Millions of people in economic misery, millions of people in warfare.
[00:38:54.661 --> 00:39:06.403]  This is a formula for having to send on the earth the kind of catastrophes economically and with governments and military conflicts that we haven't seen since World War II.
[00:39:07.383 --> 00:39:16.685]  And when I try to calculate the millions of people that died in World War II, what's coming could make World War II look like a minor event.
[00:39:17.385 --> 00:39:18.045]  That's what I fear.
[00:39:20.083 --> 00:39:21.004]  And what a shame, too.
[00:39:21.044 --> 00:39:29.669]  I mean, obviously the muddy water is muddy on all sides of this issue, but most of all, I think we really don't want that larger war, because it would be so devastating.
[00:39:29.789 --> 00:39:42.736]  The point is, what I've been writing for so much is to get to the truth, that we get back, for instance, to the principles of our founding fathers and the Constitution, go back to the Tenth Amendment, say to the federal government, we don't want to participate anymore.
[00:39:43.697 --> 00:39:48.860]  Government does not need to have greater power and to be aggrandized at a greater level.
[00:39:49.600 --> 00:39:52.001]  We need people to be in control of their own lives.
[00:39:52.482 --> 00:40:02.928]  We need the media to stop being a political media, making millions of dollars telling the global story, while all along the people are lying to and not given the truth.
[00:40:03.688 --> 00:40:15.655]  The internet shows, like Alex's, are great resources, but we've got to get back to the fundamental reality that we the people of the United States are sovereign, not the government in Washington.
[00:40:17.259 --> 00:40:18.400]  And we'll leave it there for today.
[00:40:18.440 --> 00:40:21.283]  We look forward to future updates from you, Dr. Jerome Corsi.
[00:40:21.303 --> 00:40:22.504]  Thanks very much for joining us.
[00:40:22.864 --> 00:40:23.665]  Thank you very much.
[00:40:24.066 --> 00:40:24.446]  Take care.
[00:40:25.727 --> 00:40:30.051]  And that's it for tonight's InfoWars Nightly News, but we do want to remind you of our specials.
[00:40:30.111 --> 00:40:37.178]  We're not corporate funded, we're not foundation funded, and we're trying to get out a message to stop what they have designed.
[00:40:37.258 --> 00:40:41.762]  So with that in mind, we want to remind you we have 44% off of a yearly subscription right now.
[00:40:42.864 --> 00:40:46.248]  That ends on Friday, so take advantage of that offer now.
[00:40:46.749 --> 00:40:51.735]  And you can also take a 15-day free trial, take a look for yourself, see if it's something you want to support.
[00:40:52.396 --> 00:40:57.943]  We're available on other platforms as well, but we do need your help getting that message out so we can grow this mission.
[00:40:58.023 --> 00:40:58.824]  Thank you and good night.
