[00:00:22.045 --> 00:00:23.586]  It's fight time, ladies and gentlemen.
[00:30:49.828 --> 00:30:56.613]  One, do you think the global political awakening, will the people buy another war in terms of media hype?
[00:30:57.013 --> 00:31:05.399]  And two, is this a real strain we see in the U.S.-Israeli relationship or do you think that'll be a factor whether or not the war actually happens?
[00:31:07.641 --> 00:31:10.063]  I don't think there could be any real
[00:31:11.075 --> 00:31:15.461]  By straining the relationship because the Israeli government owns Congress.
[00:31:16.222 --> 00:31:20.948]  Everyone knows that, and the Congress knows it, the Israeli government knows it, and anyone who pays any attention.
[00:31:21.949 --> 00:31:24.511]  Knows it, so they own Congress.
[00:31:24.571 --> 00:31:46.711]  I think the Israelis, the government, not necessarily all the Israeli people, but the Israeli government, it's right-wing, somewhat crazed, and I think they get carried away with their influence and power over the United States government, and they lose their patience if they meet slightest
[00:31:47.732 --> 00:31:55.796]  Resistance, like they have apparently met recently from Obama, who has good reasons for not wanting the war right now.
[00:31:56.937 --> 00:31:59.298]  And so they, you know, they say, what do you mean?
[00:31:59.318 --> 00:32:01.679]  How dare you not do what we want?
[00:32:02.480 --> 00:32:05.921]  And so they lose their patience and it looks like there's a strain.
[00:32:06.562 --> 00:32:16.487]  But it's really just the hubris and arrogance of the Israeli leadership who are used to pulling all of our strings and not meeting any kind of
[00:32:17.787 --> 00:32:20.048]  No, well, maybe, or later.
[00:32:20.068 --> 00:32:23.109]  And they don't know how to handle that.
[00:32:23.169 --> 00:32:25.169]  They're not used to it.
[00:32:26.870 --> 00:32:27.410]  What a shame.
[00:32:28.050 --> 00:32:32.071]  Well, if you could give us an update on the most important economic factors going on, too.
[00:32:32.111 --> 00:32:34.372]  I know you've been writing that as well, of course.
[00:32:34.452 --> 00:32:35.292]  I mean, it's your focus.
[00:32:36.332 --> 00:32:39.393]  Well, there's no recovery.
[00:32:40.819 --> 00:32:59.151]  The only evidence of a recovery is the gross domestic product, the real gross domestic product that is deflated with the newer measures or the newer methodologies used to measure the consumer price index.
[00:32:59.732 --> 00:33:03.694]  You see, they have changed in two big ways since about 1980.
[00:33:06.959 --> 00:33:10.342]  One way is there are there are many kinds of
[00:33:11.767 --> 00:33:15.228]  Adjustments made for quality improvements.
[00:33:16.548 --> 00:33:20.650]  And so they use these adjustments to reduce the rate of inflation.
[00:33:20.690 --> 00:33:24.211]  They say, oh, that's not really a higher price, that's an increase in quality.
[00:33:25.091 --> 00:33:26.451]  Now, some of that is correct.
[00:33:28.032 --> 00:33:34.393]  But a good deal of it is simply the product of mathematical models trying to estimate it.
[00:33:34.994 --> 00:33:35.774]  It's nebulous.
[00:33:37.168 --> 00:33:51.801]  And it may or may not be there, but the overall effect that we are confident of is that the inflation rate is reduced by these estimates more than is likely to be the case.
[00:33:52.682 --> 00:33:54.284]  And then another thing they have done
[00:33:55.310 --> 00:34:03.418]  Now that all started around 1980, 1981, and grew over the decades.
[00:34:03.519 --> 00:34:07.583]  Now, beginning with Clinton, they did something else.
[00:34:07.763 --> 00:34:10.846]  They added a new development, a new methodology.
[00:34:10.926 --> 00:34:12.007]  Instead of measuring
[00:34:13.008 --> 00:34:13.468]  Thank you.
[00:34:34.073 --> 00:34:39.176]  One of those goes up in price, they simply substitute something else that didn't go up in price.
[00:34:39.236 --> 00:34:43.798]  So if sirloin steak goes up in price, they take it out and stick in round steak.
[00:34:44.878 --> 00:34:53.903]  So it's no longer a consistent measure of inflation because the items in the basket change as their prices change.
[00:34:55.003 --> 00:35:00.766]  And so if you add that, then obviously you're going to have a lower rate of inflation.
[00:35:02.443 --> 00:35:17.048]  On the other hand, if you deflate the GDP according to the methodologies, say, prior to 1981, you see there's been a tremendous drop and really no recovery.
[00:35:19.529 --> 00:35:24.491]  And no other indice or evidence shows a recovery.
[00:35:24.571 --> 00:35:28.312]  If you look at, for example, real retail sales,
[00:35:30.226 --> 00:35:30.867]  I think so.
[00:35:45.456 --> 00:35:53.259]  There's just no sign of recovery, and yet one was declared by the National Bureau of Economic Research.
[00:35:54.019 --> 00:35:59.280]  They declared it in 2010 and said that it had occurred in 2009.
[00:36:01.341 --> 00:36:06.563]  Actually, in my opinion, based on the statistical work of John Williams,
[00:36:07.843 --> 00:36:09.664]  We're still in the recession.
[00:36:09.764 --> 00:36:19.808]  It's now four or more years old, and this is a serious situation for a country to be in.
[00:36:21.568 --> 00:36:28.591]  If you look at average weekly earnings and use, say, 1967 dollars deflated by the CPIW,
[00:36:35.717 --> 00:36:38.380]  The wages today are below where they were in 1964.
[00:36:38.680 --> 00:36:41.723]  The real wages.
[00:36:42.824 --> 00:36:47.969]  And they're far below where they were in 1973.
[00:36:48.109 --> 00:36:52.153]  And of course, they're far below where they were in the Reagan years.
[00:36:53.154 --> 00:36:59.201]  So, with these kinds of measures and this kind of evidence,
[00:37:00.191 --> 00:37:04.534]  We have to ask, why none of this comes out in the financial press?
[00:37:04.614 --> 00:37:07.577]  Why is it not in the financial news?
[00:37:07.657 --> 00:37:10.319]  Why isn't Congress holding hearings?
[00:37:10.959 --> 00:37:17.003]  Instead, we hear all this stuff, oh, recovery, or oh, we have job increases in jobs.
[00:37:18.084 --> 00:37:19.105]  It's just all BS.
[00:37:20.606 --> 00:37:21.967]  People are living in the matrix.
[00:37:24.246 --> 00:37:40.403]  Well, Doctor, I don't know if you connect the dots in the same way I do, but of course there is the potential for a perfect storm brewing, another war, the economic crisis, and a number of very heavy-handed measures building up to sort of contain the people if that crisis reaches, I guess, a tipping point.
[00:37:41.083 --> 00:37:56.968]  We covered today congressional hearings on Homeland Security's monitoring basically dissidents and bloggers and so forth and the FBI this week branding sovereigns and just about any kind of ordinary American with an opinion as a potential terrorist.
[00:37:57.729 --> 00:37:58.989]  Where does the rubber meet the road?
[00:37:59.049 --> 00:38:04.271]  How bad can things get and what are we likely to see if things reach this tipping point?
[00:38:05.916 --> 00:38:15.983]  Well, they obviously have a police state there, and they'll use it if they need to, or have a chance, or think they need to.
[00:38:17.304 --> 00:38:18.425]  There's nothing to stop it.
[00:38:19.085 --> 00:38:21.687]  The courts have given up, the Congress have endorsed it.
[00:38:23.429 --> 00:38:29.313]  You know, when they codified that amendment to the National Defense Authorization Act,
[00:38:30.632 --> 00:38:37.802]  What that did, that codified all the violations of the Constitution that Bush had gotten away with.
[00:38:39.384 --> 00:38:42.448]  Bush didn't have law behind him, the law was against him.
[00:38:44.369 --> 00:38:48.330]  But they established, through use, those powers.
[00:38:48.990 --> 00:38:55.632]  And now they're codified in the law so that Obama is not at risk if he uses them.
[00:38:55.732 --> 00:39:00.693]  Nobody can say, as they did to Bush, that he's behaving illegally and should be arrested.
[00:39:01.333 --> 00:39:05.214]  And now he can use them with the full force of the law.
[00:39:05.634 --> 00:39:07.154]  They remain unconstitutional.
[00:39:08.604 --> 00:39:22.770]  And whether or not someone can get standing to bring the case and whether or not the Supreme Court would hear it and overturn this codification, I don't know.
[00:39:23.430 --> 00:39:25.191]  We can hope something like that happens.
[00:39:26.243 --> 00:39:39.857]  But if not, what we have is no longer aboundable to law, and our civil liberties protected by the Constitution and its amendments are gone.
[00:39:39.977 --> 00:39:44.302]  They can be removed just at the discretion of someone in the executive branch.
[00:39:44.862 --> 00:39:46.324]  It doesn't even have to be the President.
[00:39:48.086 --> 00:39:52.608]  I mean, those of us paying attention, I think, are almost universally outraged, or should be.
[00:39:53.028 --> 00:40:01.032]  But those who serve the system, is there any point where they get out of the bureaucratic mode and start to remember that they're doing this to actual people?
[00:40:02.193 --> 00:40:02.953]  I don't think so.
[00:40:03.613 --> 00:40:06.455]  Look, anyone who's got power loves to use it.
[00:40:08.310 --> 00:40:11.292]  Just think about something very simple.
[00:40:11.392 --> 00:40:15.955]  Suppose a man and a woman are living together.
[00:40:15.995 --> 00:40:16.816]  They're not married.
[00:40:17.897 --> 00:40:26.223]  Suppose one or the other of them has some medical issue and their partner can't get access to the data.
[00:40:26.883 --> 00:40:27.863]  Because they're not married.
[00:40:28.864 --> 00:40:37.947]  And it makes no sense, but a nurse or a doctor would use this power because, oh, we've got this power to deny you.
[00:40:38.167 --> 00:40:42.009]  And they routinely do from everything that I hear.
[00:40:42.089 --> 00:40:45.670]  So I think people are enamored of power.
[00:40:45.690 --> 00:40:47.111]  If they have it, they want to use it.
[00:40:47.891 --> 00:40:57.075]  And so I don't think we'll have any Gestapo running around acting like Jesus Christ.
[00:40:57.095 --> 00:40:59.096]  I think they'll act like a Gestapo.
[00:41:01.457 --> 00:41:02.217]  So unfortunate.
[00:41:02.917 --> 00:41:04.998]  Anything else you'd like to add as we close here?
[00:41:05.979 --> 00:41:08.740]  Well, I think we've talked about a lot.
[00:41:08.780 --> 00:41:10.881]  We can probably close.
[00:41:11.741 --> 00:41:12.061]  Yes, sir.
[00:41:12.181 --> 00:41:14.002]  We have to keep our eyes open because
[00:41:17.632 --> 00:41:19.145]  Things can happen very quickly.
[00:41:20.771 --> 00:41:30.814]  And we can all be deceived, and surely a false flag attack, if Washington can stand up and say, oh, the Iranians attacked us.
[00:41:30.914 --> 00:41:33.735]  They sunk a ship, or they attacked a ship.
[00:41:33.755 --> 00:41:36.115]  Then the people are going to rush into the war.
[00:41:36.876 --> 00:41:41.417]  They'll forget all about how they were deceived in Vietnam and Iraq and everywhere else.
[00:41:42.257 --> 00:41:45.958]  They'll just say, oh, we've got to defend our country, and that'll be it.
[00:41:46.839 --> 00:41:47.699]  That's how it works.
[00:41:48.659 --> 00:41:49.480]  It always works.
[00:41:49.941 --> 00:41:50.741]  We're in a lot of trouble.
[00:41:50.781 --> 00:41:52.443]  Of course you're right, we have to remain vigilant.
[00:41:52.463 --> 00:41:54.385]  Thank you so much for joining us, Dr. Roberts.
[00:41:54.725 --> 00:41:57.588]  Your website again is paulcraigroberts.org, correct?
[00:41:58.228 --> 00:41:58.629]  Correct.
[00:41:58.709 --> 00:42:01.972]  And that's where you can find all your most recent articles, as well as on InfoWars.
[00:42:02.432 --> 00:42:04.774]  That's it for tonight's InfoWars Nightly News.
[00:42:05.215 --> 00:42:07.877]  We'll be back again tomorrow, and keep watching.
[00:42:07.957 --> 00:42:08.278]  Thank you.
