[00:00:21.587 --> 00:00:22.688]  Welcome to the program.
[00:32:06.373 --> 00:32:18.498]  It's called the National Bio and Agro Defense Facility and even though it's a level 4 bio lab, which is the highest secured rating issued by the CDC, the expert panel found that there is nearly a 70% chance
[00:32:21.620 --> 00:32:27.984]  And it went on to say that the U.S.
[00:32:28.024 --> 00:32:36.289]  Department of Homeland Security has not adequately gauged the potential risk of a dangerous airborne pathogen escaping the compound.
[00:32:36.969 --> 00:32:53.338]  There are what they call bioweapons that are in unsecured, well, moderately secured environments, like in Galveston, Texas, and the CDC even went to one of these facilities in Kansas, and they're not nearly as safe as they would hope.
[00:32:53.938 --> 00:33:00.702]  And they even said, the CDC even said the one in Kansas has a 70% chance of some dangerous virus getting released.
[00:33:01.583 --> 00:33:03.865]  What are the bylaws in keeping them safe?
[00:33:03.945 --> 00:33:08.529]  I don't think there's anything even designated to making sure that they're safe.
[00:33:09.070 --> 00:33:13.514]  It's that gray area of the world that nobody really thinks about, but is.
[00:33:13.534 --> 00:33:18.398]  So you think it's a clear and present danger that we should try to prepare for something like that?
[00:33:18.578 --> 00:33:21.621]  I think everybody should always be prepared for anything.
[00:33:22.002 --> 00:33:24.144]  You know, it's like hope for the best, prepare for the worst.
[00:33:25.145 --> 00:33:28.527]  Can you imagine the awakening that's gonna happen if they release those bioweapons?
[00:33:29.267 --> 00:33:30.588]  After we've warned people so much?
[00:33:30.668 --> 00:33:34.990]  God Almighty, I hope the next phases of what we've broken down don't happen.
[00:33:35.550 --> 00:33:37.291]  God Almighty, I hope they don't.
[00:33:38.332 --> 00:33:41.533]  But I know one thing, I'm sure selfish, I've sure gotten my family ready.
[00:33:41.553 --> 00:33:50.758]  Do you think it's wise for people that collect food and they have stockpiles of food and stuff like that just in case of emergency and have a place to go just in case something like this were to happen?
[00:33:51.098 --> 00:33:52.299]  I don't have anything stockpiled.
[00:33:52.950 --> 00:33:54.610]  I'm all about having weapons.
[00:33:54.911 --> 00:33:57.951]  I'm all about getting as much ammunition as you can get.
[00:33:58.111 --> 00:33:59.592]  Everybody's going to get crazy.
[00:33:59.632 --> 00:34:03.253]  They're going to want to get their hands on whatever sources are available.
[00:34:03.373 --> 00:34:05.593]  Food, water, natural resources.
[00:34:06.013 --> 00:34:09.294]  Anything to keep the normalcy of life continuing.
[00:34:09.554 --> 00:34:11.015]  That's why I'm out here on the streets.
[00:34:11.435 --> 00:34:13.495]  I want to learn some street smarts.
[00:34:13.555 --> 00:34:17.316]  If it goes down, I want to be able to find a way around it.
[00:34:17.356 --> 00:34:18.837]  Let me tell you something.
[00:34:19.654 --> 00:34:25.142]  Once something like that goes down, the people in the high-rise apartments and stuff, they're not going to know what to do.
[00:34:25.182 --> 00:34:28.207]  It's the people with street smarts that are going to be the ones that are going to survive.
[00:34:28.528 --> 00:34:35.197]  Just making sure that you have the resources that you need because when the world gets chaotic, everybody loses their minds.
[00:34:35.731 --> 00:34:37.032]  Let me put this in layman terms.
[00:34:37.993 --> 00:34:56.333]  A level four bioweapons lab should be three floors under the ground, barbed wire fences, minefields, and machine guns, and a system that if the super germs get out, they pull a lever, alarms go off, and the whole place goes up in flames.
[00:34:57.349 --> 00:35:09.753]  But instead, the global elite are storing it in level 2 facilities, like the University of Texas at Galveston, behind a glass door with a swipe guard, right there in Petri dishes.
[00:35:10.574 --> 00:35:17.516]  And they're doing this so that when they release it to massively reduce population, they can claim it was an accident.
[00:35:22.486 --> 00:35:33.394]  And it's so creepy these cases where they're obviously trying to flirt with disease, trying to bring it back out and overall weaken everyone's immune system and really at least consider a mega death.
[00:35:33.474 --> 00:35:34.615]  Let's hope they don't do it.
[00:35:34.915 --> 00:35:37.237]  But it's so creepy to study this stuff for years.
[00:35:37.637 --> 00:36:01.702]  And know that people like Sir Robert Malthus, Sir Thomas Malthus, from the late 1700s, who really was the forebearer to this entire eugenics model, said openly, instead of promoting cleanliness to the poor, we should court the return of the plague, make the beds narrow together, the streets narrow, stop cleaning the streets, allow disease to spread and hope it kills people to contain population.
[00:36:02.102 --> 00:36:12.069]  Then, in the modern day, you see people like Lord Bertrand Russell saying, yes, it would be nice if we had a Black Plague once every generation to keep population levels intact.
[00:36:12.350 --> 00:36:15.292]  Well, someone else talked about something once in every generation.
[00:36:15.632 --> 00:36:22.297]  That was Thomas Jefferson talking about a new revolution to keep freedom alive once in every generation.
[00:36:22.677 --> 00:36:24.599]  Now, we are going to go to break.
[00:36:24.739 --> 00:36:26.020]  Yet again, don't go.
[00:36:26.200 --> 00:36:34.267]  We're going to have a bombshell interview coming up with Dr. Meyer Eisenstein, but I've got to let you know we're taking a hiatus on the InfoWars Nightly News.
[00:36:34.687 --> 00:36:50.140]  We're going to take time out to search for and hire and seek out better new reporters, and we're going to up our graphics game, and we're going to get better at condensing this whole program so it can be easily digested and absorbed and then spread everywhere to the four winds.
[00:36:50.680 --> 00:36:52.502]  And so I hope you'll help us do that.
[00:36:52.642 --> 00:36:56.165]  One way to do it is to consider subscribing at PrisonPlanet.tv.
[00:36:56.505 --> 00:36:57.826]  We don't have corporate handouts.
[00:36:57.846 --> 00:36:59.568]  We don't work for the big foundations.
[00:37:00.208 --> 00:37:04.432]  We're regular people here trying to warn you, and so we'll help you support us.
[00:37:04.812 --> 00:37:10.597]  We hope that you would help support us financially that way, but if not, tell people about the broadcast.
[00:37:10.617 --> 00:37:14.641]  Tell them where they can tune in for free, and let's hope to spread the word that way.
[00:37:14.941 --> 00:37:17.903]  We'll be back in two weeks, but in the meantime, we will be showing you
[00:37:18.664 --> 00:37:21.526]  New segments and new old segments you may have missed.
[00:37:22.946 --> 00:37:29.770]  And, of course, we're going to take one more look at that upcoming Dave Mustaine piece, which will again air and be released next week.
[00:37:29.870 --> 00:37:31.471]  And then, of course, Mayor Eisenstein.
[00:37:31.491 --> 00:37:31.891]  Stay tuned.
[00:37:32.151 --> 00:37:33.012]  Thanks for watching.
[00:37:33.092 --> 00:37:34.753]  Yeah, I'm signing these evil 1776 flags.
[00:37:35.293 --> 00:37:37.914]  Doesn't get any more out of control than that, ladies and gentlemen.
[00:37:49.369 --> 00:37:51.650]  It's pretty un-American what we're doing here at InfoWars.com.
[00:37:51.830 --> 00:38:00.375]  I mean, not only are we promoting liberty, but we're selling 1776 flags.
[00:38:01.115 --> 00:38:03.917]  Now that is Al-Qaeda.
[00:38:25.623 --> 00:38:31.266]  Something that everybody should aspire to do, to make a contribution to this great nation for the good of everybody.
[00:38:31.286 --> 00:38:37.289]  And if you don't know the difference between what's right and what's wrong, just open your mind up.
[00:38:37.909 --> 00:38:40.930]  In-depth, uncensored, and unchanged.
[00:38:41.091 --> 00:38:44.912]  It's Dave Mustaine and the Infowars.com interview.
[00:38:45.012 --> 00:38:50.215]  I remember we had people die in Castle Donington, we had people die when we did Rock in Rio.
[00:38:53.760 --> 00:39:00.646]  I went out there, I showed up in a neck brace, you know, and everybody's there going like, oh my god, what's happening, what's happening?
[00:39:00.686 --> 00:39:05.269]  I said, well, so-and-so called me this, and, you know, I just want to show him that he's that.
[00:39:08.171 --> 00:39:09.713]  I don't want to play with any satanic bands.
[00:39:09.753 --> 00:39:13.956]  I'll play with bands that have darkness in them, because we all have a little darkness in us, or we wouldn't be human.
[00:39:14.336 --> 00:39:20.942]  But guys that are confessed Satanists, you know, I just don't really have time for that.
[00:39:23.979 --> 00:39:27.521]  I can't take any credit for James' songwriting ability or his guitar playing.
[00:39:27.681 --> 00:39:31.304]  He blew my mind when he picked up the guitar the first time, because he used to just sing.
[00:39:31.484 --> 00:39:35.446]  And I did all the guitar playing, and in fact, I talked between every song, too.
[00:39:35.506 --> 00:39:41.190]  And when he picked up the guitar the first time, I remember watching him, and I was like, oh my God, this guy's really, really good.
[00:39:41.550 --> 00:39:43.952]  And in fact, it almost intimidated me.
[00:39:46.698 --> 00:39:50.640]  You know, the road got smooth and my career's turned around.
[00:39:50.680 --> 00:39:53.101]  I've got my best friend back playing bass with me.
[00:39:53.141 --> 00:39:54.101]  My kids like me.
[00:39:54.121 --> 00:39:55.622]  You know, traffic's gotten better.
[00:39:55.642 --> 00:39:58.743]  You know, it's just a whole complete paradigm shift.
[00:39:58.803 --> 00:40:00.184]  The universe lays before you.
[00:40:00.504 --> 00:40:02.825]  It's a long way to the top if you want to rock and roll.
[00:40:02.865 --> 00:40:03.465]  That's right.
[00:40:15.515 --> 00:40:18.239]  Coming to The Info War, Thursday, March 15th.
[00:40:35.700 --> 00:40:38.363]  And we are back from break on the InfoWars Nightly News.
[00:40:38.423 --> 00:40:43.948]  We are joined now by a very important and interesting guest, Dr. Meyer Eisenstein.
[00:40:44.029 --> 00:40:50.295]  He holds a medical doctor degree as well as a law degree, and he's the medical director of Home First Health Services.
[00:40:50.675 --> 00:40:51.596]  He's written many books.
[00:40:51.636 --> 00:40:56.621]  We carry at least one of them, Don't Vaccinate Before You Educate, available at InfoWars.com.
[00:40:56.982 --> 00:40:58.684]  Dr. Eisenstein, thank you for joining us.
[00:40:59.284 --> 00:41:05.070]  I know that a large percentage of your listening audience already has decided they don't want to vaccinate.
[00:41:05.390 --> 00:41:12.677]  So this afternoon I'd like to talk about how you can write a valid legal waiver, be it for your child or be it for yourself.
[00:41:13.457 --> 00:41:13.698]  Right.
[00:41:14.759 --> 00:41:17.842]  So do you want to get into that first or cover some of the things happening in the news?
[00:41:18.422 --> 00:41:30.286]  Well, I'd love to get that first because I think that's really, you know, as we're getting close to school physical year, you know, this becomes an issue with millions and millions of families.
[00:41:30.326 --> 00:41:43.971]  And I want to start by saying that this Sunday night at 7 o'clock at night, that's a central time, I will be having a complimentary webinar, How to Write a Legal Waiver for Vaccines.
[00:41:45.231 --> 00:41:54.574]  All you have to do is go to our website, homefirst.com, that's H-O-M-E-F-I-R-S-T dot com, hit the webinar button, and you just put your email address and you can sign up.
[00:41:54.934 --> 00:42:05.117]  Or you can give my office a call at 866-395-1881, that's 866-395-1881, you can sign up for the webinar.
[00:42:05.177 --> 00:42:13.739]  And I intend to answer everyone's question who calls, because I find this kind of really important, because I also like to get the pulse of what the public
[00:42:14.160 --> 00:42:15.163]  What are their questions?
[00:42:15.204 --> 00:42:18.215]  What are their concerns when it comes to the whole vaccine issue?
[00:42:20.669 --> 00:42:22.391]  Okay, Doctor, yeah, just please elaborate.
[00:42:22.991 --> 00:42:29.597]  Okay, good, you know, if you could put the slides up, you know, let's see, can I see the slides that are going up?
[00:42:30.037 --> 00:42:32.799]  Because I have a couple of them that I'm going to use on Sunday night.
[00:42:34.281 --> 00:42:35.301]  Let's see if I can see them.
[00:42:36.182 --> 00:42:43.869]  Otherwise, I can just start talking about that and we can, well, I've been very proud that I've been the
[00:42:44.629 --> 00:42:45.390]  We're good to go.
[00:43:05.599 --> 00:43:11.401]  Allergies, ADD, ADHD, virtually no diabetes, and virtually no autism.
[00:43:12.001 --> 00:43:13.301]  Is this related to the vaccines?
[00:43:13.341 --> 00:43:29.245]  Well, I'm sure there's a large percentage of that that's related, you know, but I'd like other people to say why we have such a large population, and you would expect in this population at least 400 children with autism-like symptoms, about 2,000 with
[00:43:32.086 --> 00:43:35.307]  Learning disorders, and more than 4,000 with allergies.
[00:43:35.387 --> 00:43:36.148]  It runs about 10%.
[00:43:37.008 --> 00:43:38.329]  And yet we have virtually none.
[00:43:38.949 --> 00:43:42.430]  And it seems that the correlation is very strong.
[00:43:42.490 --> 00:43:44.291]  Now that wasn't the reason why I got involved with this.
[00:43:45.031 --> 00:43:51.094]  I'm a student with the late Dr. Robert Mendelson, and he was the National Medical Director of Head Start.
[00:43:51.554 --> 00:43:58.177]  And Dr. Mendelson came to the conclusion over 40 years ago, because my oldest son is 40 years old now, that
[00:43:58.737 --> 00:44:06.921]  That there was not a single vaccine that ever came out that ever made any difference as far as the population went for health care.
[00:44:07.402 --> 00:44:19.348]  And so slowly but surely, from the early 1970s when I met him, he started realizing that the vaccines weren't only helpful, but they could have been very dangerous.
[00:44:19.868 --> 00:44:24.591]  And now we have some graphs actually put out by the Center for Disease Control
[00:44:25.091 --> 00:44:34.217]  And if we can show the first graph here, and I'm looking at a picture of myself here, and that is, you take a look, it looks like these little squiggly lines.
[00:44:34.557 --> 00:44:36.958]  It says United States mortality rates.
[00:44:37.739 --> 00:44:45.323]  And what you see is lines that, death rate, starting from 1900 and going all the way up to almost 1970.
[00:44:46.004 --> 00:44:52.328]  And you can see that the death rate of all these diseases seemed to be parallel as far as they were going away.
[00:44:53.208 --> 00:45:07.146]  But what's fascinating about this, if you look at this graph, is there's no vaccine for scowl fever, there's no vaccine for typhoid, and yet these diseases disappeared at the very same rate.
[00:45:07.567 --> 00:45:09.829]  And if you go to the second graph... With the rise of sanitation, right?
[00:45:10.430 --> 00:45:12.672]  Well, you can make an argument.
[00:45:12.812 --> 00:45:15.234]  You know, that's an argument, you know, sanitation.
[00:45:16.094 --> 00:45:18.136]  But it's very difficult to make an argument.
[00:45:18.156 --> 00:45:22.779]  And when I went to public health school, I endlessly argued with the professors who would show these graphs.
[00:45:23.279 --> 00:45:28.923]  And then they would say, vaccines, I said, but your own graphs show that vaccines had no impact on this.
[00:45:29.524 --> 00:45:36.749]  And then you take a look at the next one, which is maybe the most striking one, is you take a look at tuberculosis, because tuberculosis
[00:45:37.449 --> 00:45:45.335]  In the 1900s, it was one of the largest causes of death in this country and in the world, and it's virtually disappeared.
[00:45:45.675 --> 00:45:47.677]  There is a vaccine for tuberculosis.
[00:45:47.757 --> 00:45:52.540]  It's given in Europe, but it's not given here, and tuberculosis virtually doesn't exist.
[00:45:53.021 --> 00:45:58.705]  And so, you know, I think what's critical is that we have to take a look at,
[00:46:01.466 --> 00:46:05.068]  Why this is happening and what is the whole vaccine program been about?
[00:46:05.528 --> 00:46:10.950]  And the third graph that I brought here today was one of showing the flu vaccine.
[00:46:10.970 --> 00:46:24.415]  And if you take a look that the death rate from flu continues to go up since 1980 and it goes up almost directly with the percentage of people receiving the flu vaccine.
[00:46:24.816 --> 00:46:25.436]  Now I don't want to
[00:46:25.896 --> 00:46:28.918]  I don't want anyone to say that the flu vaccine is causing a death.
[00:46:28.978 --> 00:46:30.278]  It's a possibility.
[00:46:30.598 --> 00:46:31.439]  It's one of the thoughts.
[00:46:32.319 --> 00:46:38.562]  But surely it has to be addressed and this goes along with correlation doesn't necessarily mean causation.
[00:46:38.982 --> 00:46:48.387]  But the bottom line is that there's never ever been any evidence that flu vaccine has done anything and yet we have year after year.
[00:46:48.407 --> 00:46:50.408]  The biggest problem I have as an attorney
[00:46:51.108 --> 00:47:02.531]  Helping nurses to be able to, and healthcare workers, is the attempt at mandates that they won't let them work unless they take a flu vaccine.
[00:47:02.871 --> 00:47:05.592]  Yet there's zero evidence that this vaccine does any good.
[00:47:05.932 --> 00:47:08.033]  In fact, we have some evidence that it may actually cause harm.
[00:47:08.593 --> 00:47:29.102]  And of course in 2009 when we had the big H1N1 scare and they hurried to rush the vaccine, we had Wolfgang Roderich of the European Parliament come forward and say it was just a big scandal, that they elevated the hoax, you know, without good cause, basically just to sell vaccines at a minimum and perhaps to introduce even more dangerous things.
[00:47:29.822 --> 00:47:48.231]  You're 100% right, you know, and I think that if you take a look business-wise, every one of the major pharmaceutical companies in the last five years has bought or developed their own vaccine tract, and there's more than 200 vaccines in the hopper because this is a windfall profit.
[00:47:48.511 --> 00:47:50.712]  Can you imagine having a product
[00:47:51.252 --> 00:47:55.354]  Which you can give to everyone, sick or non-sick, young or old.
[00:47:55.775 --> 00:47:57.676]  It doesn't work and next year you give it again.
[00:47:57.696 --> 00:48:00.417]  I mean, that's the flu vaccine more than anything else.
[00:48:00.457 --> 00:48:07.041]  And that may be one of the strongest arguments as to the ridiculousness of this whole vaccine program.
[00:48:07.061 --> 00:48:14.865]  You know, it's like they have to stand on the leg of their weakest component and without a doubt the flu vaccine is the weakest component.
[00:48:16.384 --> 00:48:18.865]  Go ahead, please.
[00:48:19.065 --> 00:48:33.810]  I just want to bring up the larger issue of the Great Awakening among parents and individuals who don't want to be vaccinated, as you realize that at a minimum this is very corrupt, politically driven science, and it's almost at a barbaric level.
[00:48:33.910 --> 00:48:38.912]  I mean, of course people are going to say no when they begin to inform themselves and find out about this stuff.
[00:48:39.412 --> 00:48:40.353]  I think you're absolutely right.
[00:48:40.453 --> 00:48:52.544]  I can tell you that as a practicing physician for almost 40 years, I never imagined that we would reach a point where millions and millions of people reject vaccines.
[00:48:53.425 --> 00:48:54.466]  I find it incredible.
[00:48:54.486 --> 00:48:57.869]  It's almost mind-boggling.
[00:48:58.249 --> 00:49:07.014]  It really speaks to the will and testament of the public who are willing to put themselves at great detriment in order to do what's right.
[00:49:07.054 --> 00:49:08.955]  And this is very exciting, you know, very, very exciting.
[00:49:08.975 --> 00:49:25.283]  I mean, that's why I believe that this country will survive no matter what, no matter what type of abusive administrations we have, because we still do have a Constitution, even though I know lots of the people in the present administration don't think so, and they would like to get rid of it.
[00:49:25.863 --> 00:49:38.235]  But I believe we'll triumph over that, and it kind of ties in so nicely the whole concept of constitutional rights and the whole issue of vaccines.
[00:49:38.315 --> 00:49:42.640]  I'd like to spend about five minutes on that, and if you could put up the slide of
[00:49:43.320 --> 00:49:43.600]  We're good.
[00:50:00.025 --> 00:50:01.846]  And you'll have it there on the screen right now.
[00:50:02.526 --> 00:50:04.767]  This protects our right to refuse vaccines.
[00:50:05.187 --> 00:50:14.630]  The First Amendment Congress shall make no law respecting an establishment of religion or prohibiting the free exercise thereof.
[00:50:15.251 --> 00:50:21.533]  You know, and of course it's got free speech there, but that's the part of the law that gives us the strength.
[00:50:22.250 --> 00:50:22.350]  Yes.
[00:50:42.620 --> 00:50:46.764]  The vaccine waivers, there's three ways which you legally can avoid vaccines.
[00:50:47.825 --> 00:50:50.227]  One is medical, and all 50 states accept that.
[00:50:50.708 --> 00:50:55.812]  The second one is philosophical, which means you just say, I don't want to.
[00:50:55.832 --> 00:50:59.876]  18 states currently accept that, including Texas.
[00:51:00.216 --> 00:51:04.740]  Texas, California, Wisconsin are philosophical exemption states.
[00:51:05.741 --> 00:51:13.967]  And for a long time I would lobby in favor of trying to get all the states to be philosophical exemption states.
[00:51:14.367 --> 00:51:16.268]  But I decided that was a wrong position.
[00:51:16.789 --> 00:51:25.455]  And the reason I decided it was wrong is because something that's made by a legislature, and by the way all vaccines are state mandated,
[00:51:26.115 --> 00:51:27.556]  That can be overturned one day.
[00:51:27.576 --> 00:51:39.060]  So let's say you live in Texas, and you decide that you want to send your children to school, and you don't want to vaccinate them, and you write a philosophical exemption which just says, I don't want to vaccinate my child.
[00:51:39.160 --> 00:51:44.042]  And that's, you know, you may want to put it a little bit better, but that's all you really legally technically need.
[00:51:44.363 --> 00:51:47.344]  And then all of a sudden, Texas legislature changes the law.
[00:51:47.944 --> 00:51:49.165]  Oh my God, you're in problem now.
[00:51:49.205 --> 00:51:49.705]  Now you have to say,
[00:51:50.625 --> 00:51:52.167]  It wasn't that, it's something else.
[00:51:52.587 --> 00:52:01.114]  And by the way, the medical exemption won't work, because every state has written into their state statutes that if you use a medical waiver
[00:52:05.546 --> 00:52:10.928]  They have a right to send you to another doctor to decide if the waiver is correct.
[00:52:11.028 --> 00:52:30.214]  I'm presently involved in a legal case here in Illinois, exactly that, where they're refusing the medical waiver and they're saying that they won't take care of this child who needs a surgical procedure, even though the surgeon has already agreed that the vaccines have nothing to do with the surgery and the child's at no harm because of that.
[00:52:30.534 --> 00:52:35.096]  But the pediatrician, the head of pediatrics at the hospital, said we will not allow this child to have
[00:52:35.516 --> 00:52:37.577]  We're good to go.
[00:53:03.392 --> 00:53:05.874]  Then the third one is a religious exemption.
[00:53:06.194 --> 00:53:17.401]  Interestingly enough, two states, Mississippi and West Virginia, don't believe in a religious waiver, which means they're essentially in violation of the Constitution.
[00:53:17.942 --> 00:53:20.763]  It's a serious problem, but once again, it's a big fight.
[00:53:21.464 --> 00:53:26.167]  What you learn in law is that you may be right, but it doesn't help you.
[00:53:26.607 --> 00:53:32.788]  What we learned in law school, which is great, you know, the good lawyer knows the law, the better lawyer knows the judge.
[00:53:33.628 --> 00:53:37.909]  I think that that most probably speaks more for law.
[00:53:38.229 --> 00:53:47.071]  But I now believe everyone should do a religious waiver, you know, and the law speaks very well to that.
[00:53:47.191 --> 00:53:49.251]  I'll be speaking about that Sunday night.
[00:53:49.931 --> 00:53:53.552]  And because that's a constitutional right.
[00:53:54.392 --> 00:53:56.954]  That's very difficult to take away with.
[00:53:57.174 --> 00:54:02.118]  Doctor, does that hold up for people who don't have an official religious affiliation?
[00:54:02.639 --> 00:54:03.319]  Exactly right.
[00:54:03.700 --> 00:54:05.181]  You're asking the absolute perfect question.
[00:54:05.401 --> 00:54:09.284]  Let's just quickly look at the next slide, then I'll address that right away.
[00:54:09.304 --> 00:54:17.991]  If we take a look at the slide of the United States, it's got a list of all the states, and on the lower left-hand side, there's a
[00:54:19.752 --> 00:54:33.017]  It shows you which states believe in religious exemption, which one believes in medical exemption, and there are many websites where you can look up all the law, but unless you live in West Virginia or Mississippi, there's not a problem.
[00:54:33.337 --> 00:54:35.078]  So the question you ask is a perfect question.
[00:54:36.568 --> 00:54:38.690]  What's if I'm not a Christian scientist?
[00:54:39.311 --> 00:54:40.652]  What's if I'm not Amish?
[00:54:41.633 --> 00:54:47.898]  What is my role when it comes to how do I write a religious waiver?
[00:54:48.459 --> 00:54:59.128]  And this was addressed in 1987 in New York by the Wexler Court, and what they said is they felt that the person has a right for a personal religious belief.
[00:54:59.728 --> 00:55:00.488]  We're good to go.
[00:55:18.935 --> 00:55:24.158]  But the courts will look to other states and what their Supreme Courts have said.
[00:55:24.178 --> 00:55:29.361]  It's not precedent, but it'll help them decide what they're going to do.
[00:55:30.022 --> 00:55:36.206]  And so what the Wechsler Court held was that there were two prongs to it.
[00:55:37.187 --> 00:55:42.010]  It was you were either part of an established religion or it was personal.
[00:55:42.330 --> 00:55:43.251]  And personal meant
[00:55:44.611 --> 00:55:47.073]  It was your specific personal belief.
[00:55:47.153 --> 00:55:47.833]  And it's kind of interesting.
[00:55:48.413 --> 00:55:50.254]  I learned this in law school, actually.
[00:55:50.294 --> 00:55:51.055]  I loved law school.
[00:55:51.615 --> 00:55:54.477]  I didn't like medical school until I met Dr. Mendelson.
[00:55:55.197 --> 00:55:58.159]  And I thank God every day for being able to practice medicine.
[00:55:58.179 --> 00:55:59.139]  I enjoyed it immensely.
[00:55:59.479 --> 00:56:00.900]  I loved law school.
[00:56:01.100 --> 00:56:02.021]  Absolutely loved law school.
[00:56:02.421 --> 00:56:05.304]  You know, but I didn't find anything in law that interested me whatsoever.
[00:56:05.684 --> 00:56:08.947]  But of course, I'm excited to be able to help with this whole vaccine issue.
[00:56:08.967 --> 00:56:10.789]  It is a very important aspect.
[00:56:10.849 --> 00:56:13.992]  And there's, what's exciting is there's lawyers around the country now.
[00:56:14.712 --> 00:56:18.355]  There's Patty Finn, there's Alan Phillips, there's Mary Holland.
[00:56:18.976 --> 00:56:26.221]  Phenomenal constitutional lawyers who are helping families all around the country with vaccine waivers.
[00:56:27.002 --> 00:56:42.954]  The second thing that happened here was in Wyoming in 2001, where they upheld that the First Amendment right of freedom of religion could not be changed by the state courts.
[00:56:43.054 --> 00:56:44.575]  Obviously, the states cannot
[00:56:48.698 --> 00:56:49.159]  We're good.
[00:57:08.199 --> 00:57:16.184]  And I think that's kind of exciting, because what the court said was that a lot of people, when they're younger, have one belief, and then as you get older, you have other beliefs.
[00:57:16.545 --> 00:57:26.611]  And that's kind of like a little bit of an introduction, and what we'll do is, on Sunday night, I'll go very specifically into how to write the waiver, the religious waiver.
[00:57:26.631 --> 00:57:29.052]  You don't need a rabbi, a priest, or a minister.
[00:57:30.573 --> 00:57:34.115]  You don't have to join a Christian Science Church or an Amish Church.
[00:57:34.956 --> 00:57:38.698]  Every person in this country can do it, and I'll show them how.
[00:57:38.779 --> 00:57:43.201]  And by the way, my question is, is this a sham?
[00:57:43.422 --> 00:57:49.626]  I don't like sham, only because I think if you do something legitimate, you stay on the legitimate track.
[00:57:50.286 --> 00:57:51.067]  The bottom line is,
[00:57:53.192 --> 00:58:02.196]  Every one of us who questions vaccines doesn't really have, I don't care if we're a layperson, a doctor, really 100% know if we're right or wrong.
[00:58:03.156 --> 00:58:05.297]  But in our heart, we know that this is wrong.
[00:58:05.957 --> 00:58:07.117]  And what does it mean in our heart?
[00:58:07.137 --> 00:58:09.178]  That's essentially a religious belief.
[00:58:09.698 --> 00:58:16.241]  And so I think the religious belief is exactly the reason why virtually everyone doesn't believe in vaccines.
[00:58:16.601 --> 00:58:19.522]  And that's why it's important when you write this religious waiver,
[00:58:20.612 --> 00:58:23.093]  That you don't go into medical talk.
[00:58:23.453 --> 00:58:24.473]  Vaccines are dangerous.
[00:58:24.493 --> 00:58:25.753]  There's mercury in vaccines.
[00:58:26.013 --> 00:58:28.194]  There's fetal tissues in vaccines that cause harm.
[00:58:28.614 --> 00:58:32.215]  Because that now crosses over to be a medical waiver.
[00:58:32.635 --> 00:58:34.555]  And the goal here is for a religious waiver.
[00:58:35.175 --> 00:58:41.557]  And essentially, very quickly, a religious waiver means, in my heart, I don't believe God intends me to do this.
[00:58:41.877 --> 00:58:52.184]  Well, is it not central to the whole basis of natural law and the idea that no state power can even begin to presume it's above God, no matter what kind of belief you hold?
[00:58:52.224 --> 00:58:53.545]  I mean, it's a personal issue.
[00:58:53.585 --> 00:58:54.425]  It always has been.
[00:58:54.445 --> 00:58:58.628]  It's central to life, liberty, and the pursuit of happiness in the preamble of the Constitution.
[00:58:59.108 --> 00:59:18.266]  Oh my god, you're so right, you're so on point, you know, and what they try to do is say for the better interest of the country, the better interest of the state, but that's why I showed in the beginning the graphs showing that it's a questionable argument if any vaccine has ever been in the best interest of the state.
[00:59:18.626 --> 00:59:22.550]  You know, it's the illusion, you know, it's become almost a new
[00:59:22.850 --> 00:59:23.971]  Knee-jerk reaction.
[00:59:24.391 --> 00:59:25.772]  Disease, vaccine.
[00:59:25.792 --> 00:59:31.877]  In fact, all these movies that you see over the last 20 years, some contagion comes into our society.
[00:59:31.917 --> 00:59:33.978]  Their first answer is vaccines, vaccines.
[00:59:34.398 --> 00:59:44.225]  You know, it's kind of the ultimate brilliance of marketing by the pharmaceutical industry to get us thinking that vaccines are the answer.
[00:59:44.786 --> 00:59:48.969]  This is the same marketing that went on 50 years ago with antibiotics.
[00:59:49.849 --> 00:59:53.711]  We thought that antibiotics would be the answer to all bacterial infection.
[00:59:53.731 --> 01:00:06.537]  And what we found is the abuse of antibiotics, giving it just almost for colds and just for no reasons, has now developed strains that antibiotics don't work.
[01:00:07.017 --> 01:00:11.220]  And so all of a sudden we are losing the battle with infection.
[01:00:11.560 --> 01:00:19.466]  And people are dying from infection that most probably never would have died if we only gave antibiotics to the rare exception.
[01:00:19.786 --> 01:00:29.594]  And even the American Academy of Pediatrics, or I like to call them the American Academy of Pharmaceuticals, you know, they said for children the only time you should give
[01:00:30.394 --> 01:00:31.455]  Thank you.
[01:00:46.235 --> 01:00:50.337]  And there they go again, the state playing God, assuming they know so much about life.
[01:00:50.398 --> 01:00:59.283]  It's just, it's comparable to when they discovered DNA and assumed 96% of it was junk, that they would know all the ins and outs of the system.
[01:00:59.303 --> 01:01:06.727]  You've got the probiotic systems and the gut flora, that's proven so important in conjunction with vaccine studies, and a whole lot more.
[01:01:06.807 --> 01:01:14.812]  I mean, let's go back to Benjamin Rush, who warned that if they didn't put medical freedom in the Constitution, we would have medical tyranny.
[01:01:15.672 --> 01:01:20.435]  And that's what's coming now with Obamacare, you know, exactly that.
[01:01:20.535 --> 01:01:30.340]  I mean, it's just, I find it incredulous that anyone would vote on a 1,100 page bill without reading it.
[01:01:30.780 --> 01:01:34.002]  I mean, I find this just unconscionable.
