[00:00:22.839 --> 00:00:24.646]  It's Thursday, September 27.
[00:28:11.149 --> 00:28:12.710]  And healthy future.
[00:28:41.529 --> 00:28:42.850]  Easy to set up and use.
[00:28:43.050 --> 00:28:44.351]  Doesn't require electricity.
[00:28:44.471 --> 00:28:47.374]  Purify water from lakes, streams, ponds, and wells.
[00:28:47.674 --> 00:28:50.856]  This filter system leaves in beneficial minerals, which is key.
[00:28:51.076 --> 00:28:55.099]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[00:28:55.239 --> 00:28:57.861]  ProPure is the best gravity-fed filter out there.
[00:28:58.001 --> 00:28:59.322]  It's what my family uses.
[00:28:59.582 --> 00:29:02.805]  Infowars.com already has the lowest price on ProPure.
[00:29:02.925 --> 00:29:08.209]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:29:08.789 --> 00:29:11.351]  You can also call to order 888-253-3139.
[00:29:11.371 --> 00:29:20.399]  Alex Jones here with a message that could revolutionize health in this country.
[00:29:20.679 --> 00:29:26.525]  Going back about a year and a half ago, I began to learn about the incredible health effects of longevity products.
[00:29:26.925 --> 00:29:30.708]  Erin Dykes lost 92 pounds.
[00:29:30.728 --> 00:29:32.550]  We're going to show you some before and afters.
[00:29:32.950 --> 00:29:34.732]  Aaron, break down what happened.
[00:29:34.752 --> 00:29:35.313]  Your story.
[00:29:35.593 --> 00:29:40.659]  I've worked really hard with diet and exercise to try to lose weight, but I just didn't get the results.
[00:29:40.699 --> 00:29:41.580]  It just didn't happen.
[00:29:41.881 --> 00:29:44.464]  Then I saw what you were doing with Infowarsteam.com.
[00:29:44.944 --> 00:29:48.748]  I wasn't even trying to lose weight, but I got it because I wanted to feel better energy.
[00:29:48.789 --> 00:29:49.169]  I wanted that
[00:29:49.189 --> 00:29:49.809]  I don't think so.
[00:30:18.584 --> 00:30:21.445]  My friends, Alex Jones here with a very important announcement.
[00:30:21.845 --> 00:30:27.666]  We are launching a new salvo in the info war, because there is a war on for your mind.
[00:30:28.326 --> 00:30:38.589]  You know that the globalists are trying to get everybody online, and only online, so they can control and surveil information, and also erase books, videos, whatever they want to, en masse.
[00:30:39.369 --> 00:30:44.471]  That's why we're launching our answer to the internet kill switch, InfoWars Magazine.
[00:30:44.912 --> 00:30:51.354]  The first issue, we printed over 90,000 copies of the September issue, and it sold out in less than two days.
[00:30:51.935 --> 00:30:56.997]  So get your copy of the new technocratic elite issue today before it sells out.
[00:30:57.517 --> 00:31:07.982]  Again, we cover from the technocratic social engineers' own words, their own admissions, their plan to take over our society and replace us with robots.
[00:31:08.302 --> 00:31:14.588]  But we don't just stop with the rise of the robots and the end of humanity, or will humanity survive the singularity?
[00:31:15.028 --> 00:31:20.253]  We get into the government buying now 1.6 billion bullets against the American people.
[00:31:20.614 --> 00:31:26.279]  We get into Big Sis' surveillance of this magazine and my website, InfoWars.com.
[00:31:26.719 --> 00:31:31.304]  We cover QE3 and what hyperinflation means to you and your family.
[00:31:31.764 --> 00:31:36.049]  Whatever you do, don't look back later and wish that you would have taken action.
[00:31:36.490 --> 00:31:37.611]  Take action now.
[00:31:37.731 --> 00:31:41.196]  People have never been more ready for this information.
[00:31:41.276 --> 00:31:45.201]  People have never been this hungry, starving for the truth.
[00:31:45.841 --> 00:31:49.967]  And it is contained in the new issue of InfoWars Magazine.
[00:31:50.427 --> 00:31:51.668]  This is a time capsule.
[00:31:52.268 --> 00:31:54.048]  It is so important we get it out to everyone.
[00:31:54.449 --> 00:32:00.391]  If you subscribe now for 12 issues, we will give you the first issue absolutely free.
[00:32:00.431 --> 00:32:03.952]  So that's 13 issues for our 13 colonies.
[00:32:04.373 --> 00:32:06.393]  Part of restoring the spirit of 1776 worldwide.
[00:32:08.507 --> 00:32:15.968]  Again, go to infowarestore.com and order 10 packs, up to 100 packs at cost and give them out to people in your area.
[00:32:16.248 --> 00:32:18.469]  The response last month was incredible.
[00:32:18.769 --> 00:32:23.110]  People are hungry to actually hold this information in their hands.
[00:32:24.150 --> 00:32:30.431]  You can also subscribe and get 12 issues delivered to your door and get the first inaugural issue free.
[00:32:31.371 --> 00:32:36.852]  I'm Alex Jones, thanking all of you for your support and making our operation a huge success.
[00:32:54.156 --> 00:32:57.018]  And welcome back to InfoWars Nightly News.
[00:32:57.698 --> 00:33:14.530]  You know that I don't talk about sports a lot because I'm aware of the fact that historically in the ancient Mayan Aztec Kingdom, but also in Rome and in most other civilizations, sports has been used as a tool of dehumanization and political control.
[00:33:14.550 --> 00:33:19.033]  I mean, my children win blue ribbons almost every weekend on the swim team.
[00:33:19.533 --> 00:33:20.434]  I played football.
[00:33:20.554 --> 00:33:21.534]  I was in track and field.
[00:33:21.835 --> 00:33:23.816]  I think it's great to be in sports.
[00:33:24.876 --> 00:33:24.996]  No.
[00:33:25.016 --> 00:33:31.038]  And if it hadn't become so Romanesque and decadent, I wouldn't be against going to a baseball game or football game.
[00:33:31.339 --> 00:33:46.264]  But it's gotten very, very sick where it's downright unmanly to be informed about politics, what's happening in the world, but it's really trendy and cool to be completely obsessed with sports.
[00:33:47.364 --> 00:33:52.188]  We've seen a lot of cases out there of gambling in sports, insider deals.
[00:33:52.548 --> 00:33:55.250]  Everybody knows about professional boxing being a joke.
[00:33:55.511 --> 00:33:57.152]  That's why the sport's in so much trouble.
[00:33:57.672 --> 00:33:59.574]  But what's happening in the NFL?
[00:33:59.614 --> 00:34:01.716]  What's happening in other areas like that?
[00:34:02.136 --> 00:34:05.599]  Brian Tuohy has been on hundreds of radio and TV shows.
[00:34:05.639 --> 00:34:07.741]  He's an expert on Fox Sports.
[00:34:07.761 --> 00:34:10.583]  The New York Times have sought out his views on things.
[00:34:10.623 --> 00:34:11.884]  And he's got an amazing book.
[00:34:12.604 --> 00:34:13.805]  In fact, I can't put it down.
[00:34:14.126 --> 00:34:15.247]  The Fix is in.
[00:34:15.467 --> 00:34:16.147]  Showbiz.
[00:34:17.108 --> 00:34:23.369]  The showbiz manipulation of the NFL, MLB, NBA, NHL, and NASCAR, and more.
[00:34:23.909 --> 00:34:24.770]  And he goes over it.
[00:34:25.190 --> 00:34:28.670]  And he's going to break down in the next 30 minutes just how deep the rabbit hole goes.
[00:34:28.710 --> 00:34:32.011]  Because it's not just frauds about lies about WMDs in Iraq.
[00:34:32.051 --> 00:34:36.792]  It's not just frauds concerning stimulus money being given to insiders.
[00:34:37.292 --> 00:34:39.153]  It's frauds in sports as well.
[00:34:39.253 --> 00:34:40.853]  And being naive about this,
[00:34:41.733 --> 00:34:44.575]  Is what has allowed this corruption to spread and spread and spread.
[00:34:45.315 --> 00:34:52.740]  And so joining us is Brian Toohey of TheFixIsIn.net here on the Nightly News Show.
[00:34:53.421 --> 00:34:54.882]  Brian, where should we start?
[00:34:55.022 --> 00:34:58.764]  We've got the big controversy with the refs, but really that's the tip of the iceberg.
[00:34:59.085 --> 00:35:06.630]  Where should we start for people that aren't aware of this or maybe think that, hey, it's a conspiracy theory that Don King
[00:35:07.290 --> 00:35:10.751]  You know, who runs both boxers and fights would do anything wrong.
[00:35:10.771 --> 00:35:11.671]  I mean, he's a nice man.
[00:35:12.912 --> 00:35:16.393]  Well, I think what it is is you have to ask yourself a simple question.
[00:35:17.133 --> 00:35:20.734]  Would you leave a multi-billion dollar industry up to chance?
[00:35:21.194 --> 00:35:25.796]  Because this is exactly what fans think the owners of professional sports leagues do.
[00:35:26.536 --> 00:35:29.737]  But the fact is the owners control everything that surrounds their sports.
[00:35:30.137 --> 00:35:31.558]  And in fact, they control
[00:35:32.558 --> 00:35:36.319]  The media that covers the sports, who actually even fund professional sports.
[00:35:36.959 --> 00:35:41.101]  So why would we think that they don't actually reach down and manipulate what occurs out on the field?
[00:35:41.201 --> 00:35:49.763]  Because the fact is, if they did this, they would generate more fan interest, they would get higher TV ratings, more ad revenue, and thus make more profit.
[00:35:50.203 --> 00:35:58.366]  And the scary thing is, and the one thing I think everybody should walk away from this interview remembering is, is that it's not illegal for the leagues to fix their own games.
[00:36:00.097 --> 00:36:03.579]  Well, give us some historical examples of this.
[00:36:03.639 --> 00:36:16.127]  I mean, your book breaks down the fact that this is on record quite a bit, and the public that sees the NFL especially as their religion, I mean, this is like telling them Jesus doesn't exist.
[00:36:17.298 --> 00:36:20.119]  Well, in a way it is, but just think of it this way.
[00:36:20.299 --> 00:36:36.805]  If the league, like the NFL, which is an employer, asks its employees, the referees for example, to call a game a certain way, to call certain fouls or not call certain fouls, or to give certain players more room to operate, they are manipulating games.
[00:36:37.105 --> 00:36:38.366]  They can control these games.
[00:36:38.426 --> 00:36:40.647]  They can control how long these games last.
[00:36:40.687 --> 00:36:42.448]  They can control what penalties are called.
[00:36:42.948 --> 00:36:46.030]  They can really manipulate the games, and I believe they can manipulate their outcomes.
[00:36:46.070 --> 00:36:55.035]  And I think with the NFL, it started way back with Super Bowl III, because it was a business deal, basically, when the original AFL and the NFL were about to merge.
[00:36:55.615 --> 00:36:57.877]  Fans didn't believe in the AFL.
[00:36:57.917 --> 00:37:02.842]  They thought it was, you know, sub-level football, basically, compared to the National Football League.
[00:37:03.262 --> 00:37:08.567]  And I believe they allowed Joe Namath and the Jets to win Super Bowl III in order to legitimize the league.
[00:37:08.947 --> 00:37:12.811]  And it brought literally billions of dollars of profits to all the owners when that occurred.
[00:37:13.411 --> 00:37:23.674]  Well, we know organized crime has been on top of sports since the days of illegal boxing, but I mean, you're telling me that when you've got billions of dollars betted every month that there might be corruption?
[00:37:24.174 --> 00:37:26.595]  I mean, next you're going to tell me the sun's coming up tomorrow.
[00:37:27.675 --> 00:37:29.355]  Well, just think of it this way.
[00:37:29.856 --> 00:37:33.797]  The last estimate that was done on illegal sports gambling in the United States was 1999.
[00:37:35.177 --> 00:37:44.604]  And that estimated anywhere from $80 billion to $380 billion is wagered illegally on professional sports or on sports every year.
[00:37:44.624 --> 00:37:46.826]  And now that's the low estimate.
[00:37:46.846 --> 00:37:52.290]  The $80 billion is nearly four times what all the major professional sports leagues earn in a year.
[00:37:53.031 --> 00:37:57.354]  So that amount of money, which is all controlled basically by organized crime,
[00:37:57.834 --> 00:38:00.036]  Has to have some sort of influence upon the game.
[00:38:00.337 --> 00:38:12.588]  And I've talked to numerous members of the sports gambling community, be it gamblers, be it bookmakers, even FBI agents, and all of them have told me that it's no doubt that games are being fixed, just proving it is nearly impossible.
[00:38:13.507 --> 00:38:15.969]  You mean there's organized bad people working together?
[00:38:16.049 --> 00:38:17.651]  I thought conspiracies didn't exist.
[00:38:17.711 --> 00:38:24.517]  I mean, the FBI director before Congress, what, in 1952, J. Edgar Hoover said there was no such thing as organized crime.
[00:38:25.138 --> 00:38:26.920]  And, of course, I'm being sarcastic here.
[00:38:27.260 --> 00:38:29.742]  The naivete is still just amazing.
[00:38:30.143 --> 00:38:34.026]  I hear sports fans arguing about there's no way they fix this or fix that.
[00:38:34.086 --> 00:38:35.828]  But what are some of the ways they do it?
[00:38:35.848 --> 00:38:37.229]  I mean, they could go to the players.
[00:38:38.110 --> 00:38:40.793]  Individually and get them to, you know, shave points or whatever.
[00:38:40.833 --> 00:38:41.673]  Break that down for us.
[00:38:41.974 --> 00:38:45.597]  They can target refs individually or they can do it through the owners.
[00:38:45.657 --> 00:38:51.262]  I mean, what are some of the ways that we know they've, I mean, famously Pete Rose and people have been caught doing stuff.
[00:38:51.282 --> 00:38:54.905]  I mean, what are some of the other examples of how we know this is being done?
[00:38:56.033 --> 00:39:02.635]  One of the things I obtained in my research was a video that was put together by the FBI and the NBA.
[00:39:03.335 --> 00:39:05.636]  And I obtained it through the Freedom of Information Act.
[00:39:05.876 --> 00:39:16.359]  And in watching the video, which is about 30 minutes long, and a lot of it is redacted, but what I've seen is that they know that games have been fixed and they just haven't made it public.
[00:39:16.399 --> 00:39:18.840]  And what they do is, these organized crime members
[00:39:19.700 --> 00:39:21.141]  They basically get to the players.
[00:39:21.181 --> 00:39:24.323]  And that's one thing the mob has always been able to do, is to get to people.
[00:39:24.363 --> 00:39:25.304]  They find their weakness.
[00:39:25.384 --> 00:39:34.570]  Be it a player who has, you know, drinking problems, be it they have gambling problems, they maybe have women problems, or even perhaps, you know, they may be homosexual even.
[00:39:34.890 --> 00:39:38.993]  And that's one of the things you can't even name a homosexual athlete that's currently in the league right now.
[00:39:39.033 --> 00:39:41.655]  Well what if they got compromising photos of that player?
[00:39:42.115 --> 00:39:46.198]  It'd be very easy to get him to do what you want, to make sure those photos didn't go public.
[00:39:46.678 --> 00:39:48.099]  And the same thing with the referees.
[00:39:48.139 --> 00:39:49.000]  The referees today,
[00:39:49.900 --> 00:39:57.006]  Even though they have, you know, this big controversy over the replacement referees, the current referees make $8,000 a game for the NFL.
[00:39:57.506 --> 00:40:03.851]  In the NFL, illegally, anywhere between $1 and $4 billion is wagered on NFL games each week.
[00:40:04.432 --> 00:40:10.516]  So, if you wanted to approach a referee, maybe who's got some money problems, like the Tim Donahy example in the NBA,
[00:40:11.417 --> 00:40:21.072]  It'd be very easy to offer them $50,000, $100,000 to fix the game and then go bet millions in this illegal gambling market because no one monitors this illegal gambling market.
[00:40:21.333 --> 00:40:21.813]  No one at all.
[00:40:21.853 --> 00:40:24.898]  Not the FBI, not the leagues, not even the gamblers themselves.
[00:40:24.998 --> 00:40:26.280]  It's just a free-for-all out there.
[00:40:26.801 --> 00:40:29.604]  Well, I go back to this, studying history itself.
[00:40:30.104 --> 00:40:42.096]  In every culture, from the Japanese, right through to the Romans, right through to the Aztecs, there was massive wagering on sporting events, including some of them that were gladiatorial, where people died.
[00:40:42.596 --> 00:40:46.300]  And there were all sorts of deals made to drug people so they'd lose.
[00:40:46.320 --> 00:40:49.944]  I mean, sports has been corrupt from its very beginning.
[00:40:50.504 --> 00:40:52.765]  And that's why I just completely turn away from it.
[00:40:52.805 --> 00:40:58.907]  I know a lot of people are sports fans, and they don't want to believe this, but I mean, what else should people know about this?
[00:40:58.927 --> 00:41:02.888]  Because I'm asking the questions here, and you're the expert.
[00:41:03.849 --> 00:41:08.610]  Well, I think people should realize, too, that it's not just necessarily an independent thing.
[00:41:08.710 --> 00:41:12.071]  It actually has a lot of government involvement in professional sports today.
[00:41:12.091 --> 00:41:16.373]  I mean, you think about it on a local level, many municipalities give
[00:41:17.338 --> 00:41:24.736]  Teams tax breaks, they give them free land to build these massive stadiums upon, and then they tax us to pay for these stadiums.
[00:41:25.097 --> 00:41:26.260]  And then on the federal level...
[00:41:27.791 --> 00:41:32.414]  The government has offered these leagues antitrust exemptions.
[00:41:32.474 --> 00:41:37.657]  In fact, Major League Baseball is in effect a monopoly and one allowed by the United States Congress.
[00:41:38.218 --> 00:41:52.967]  And even on top of that, when you get to gambling, right now the state of New Jersey is being sued by professional sports leagues and the NCAA because the state wants to legalize sports gambling and reap some of the profit from those billions of dollars that are wagered illegally each year.
[00:41:53.727 --> 00:41:58.371]  Well, that's why I like your book, The Fix is In, because I can show viewers right now, the first chapter, you quote Congressman Emanuel Seller,
[00:42:12.941 --> 00:42:15.243]  Pro Football provides the circus for the hordes
[00:42:42.962 --> 00:42:44.094]  The greatest hits of your book.
[00:42:45.384 --> 00:42:55.449]  Well, it's one of those things where, as a fan, and if you ever listen to sports radio, you hear it all the time, when fans call in, a lot of times they will say, we, as if they're part of the team.
[00:42:55.489 --> 00:43:00.752]  You know, we did really well this weekend, and we really got a good deal with this player, and et cetera, et cetera.
[00:43:01.252 --> 00:43:03.453]  Well, as a fan, you're really not a member of the team.
[00:43:03.513 --> 00:43:05.714]  All you do is give money to these teams.
[00:43:05.734 --> 00:43:09.936]  You're not a member of them, but people bat what they call bask in reflected glory.
[00:43:10.557 --> 00:43:13.138]  They get a little bit of self-worth
[00:43:14.264 --> 00:43:17.806]  From these sporting leagues and from these teams by just being a fan of them.
[00:43:17.846 --> 00:43:20.307]  So it's almost like a drug, like you said.
[00:43:20.547 --> 00:43:27.670]  And the leagues know this and they can manipulate the people into giving them more and more because they need more and more of this drug.
[00:43:28.190 --> 00:43:30.872]  It's something that, you know, a lot of fans I don't think stop to think about.
[00:43:30.892 --> 00:43:38.115]  And when I finally stopped and thought about it, that's when it changed my whole perception of sports and what's really going on within these leagues.
[00:43:38.735 --> 00:43:42.677]  And what I tried to do with the book is lay this out for people that the leagues lie to us.
[00:43:42.797 --> 00:43:45.458]  They flat out lie to us about the drugs that are in the game.
[00:43:45.578 --> 00:43:48.459]  Be they illegal drugs or performance enhancing drugs.
[00:43:48.899 --> 00:43:51.180]  They lie to us about the gambling that surrounds the games.
[00:43:51.240 --> 00:43:53.981]  They lie to us about the criminals that are playing the games.
[00:43:54.521 --> 00:43:56.622]  And I say if they're lying to us about everything else...
[00:43:57.322 --> 00:43:59.145]  Are they really being truthful about the games?
[00:43:59.225 --> 00:44:00.386]  Because that is their product.
[00:44:00.466 --> 00:44:01.808]  That is what they're selling to us.
[00:44:02.248 --> 00:44:06.294]  And why are we being so gullible to believe everything that these leagues are feeding us?
[00:44:06.354 --> 00:44:07.996]  Because there is no oversight.
[00:44:08.476 --> 00:44:11.220]  The ESPNs of the world are funding these leagues.
[00:44:11.320 --> 00:44:15.025]  So they have no incentive to reveal the corruption that's going on within them.
[00:44:16.533 --> 00:44:23.061]  Well, take Formula One that they're building outside Austin, Texas, where we originate this television transmission.
[00:44:24.683 --> 00:44:31.451]  The fellow that owns all the big circuits around the world, every one of them was paid for by taxpayer money, not just incentives.
[00:44:32.272 --> 00:44:36.757]  And that's fine if the people want it, but in poll after poll, the people don't want it.
[00:44:37.637 --> 00:44:43.521]  But the cities go along with it just because they get box seats or whatever, or some of their family members get a job.
[00:44:44.642 --> 00:44:50.406]  And I, as a true media business owner, I've tried to get tax incentives for my 50 crew members.
[00:44:51.706 --> 00:44:53.268]  I'm laughed at by the city of Austin.
[00:44:54.148 --> 00:45:00.709]  I look at Cowboy Stadium, over a billion dollars of taxpayer money one way or another, and it's just all a joke.
[00:45:00.729 --> 00:45:06.630]  And then I look at the owner of the whole franchise, one guy that controls it, of Formula One.
[00:45:07.030 --> 00:45:12.511]  He gave his daughters, he has two of them, seven billion dollars this year.
[00:45:12.531 --> 00:45:13.191]  This is a gift.
[00:45:13.211 --> 00:45:14.952]  Four billion to one, three billion to the other.
[00:45:15.852 --> 00:45:18.912]  And both of them own two of the biggest houses in the country.
[00:45:19.493 --> 00:45:21.693]  And literally, it's my money!
[00:45:22.572 --> 00:45:28.333]  Going so they can be given billions of dollars, and I'm actually employing people.
[00:45:28.854 --> 00:45:41.937]  I'm actually a real capitalist, and there's always these ultra-rich crony capitalists in sports, so many of them mob-connected, and I'm just tired of it.
[00:45:41.977 --> 00:45:44.918]  I mean, that's why now people try to, hey, man, the game's on.
[00:45:45.038 --> 00:45:46.018]  I'm like, look, I hate it.
[00:45:46.898 --> 00:45:52.019]  Because I've gone from just knowing it's a distraction to realizing, like you said, it's this false reality.
[00:45:52.059 --> 00:45:53.059]  Take the University of Texas.
[00:45:53.099 --> 00:45:54.360]  I don't want you to comment on Formula One.
[00:45:55.420 --> 00:45:56.840]  It's the biggest university in the world.
[00:45:56.880 --> 00:45:58.160]  It's always raising tuition.
[00:45:58.240 --> 00:46:07.842]  It has less and less services to the people, but it has Bevo in the horns, so you go there to pay hundreds of thousands of dollars for a degree most of the time you'll never get your money back for.
[00:46:08.162 --> 00:46:12.183]  It's a giant scam, but you can be part of the Bevo BS.
[00:46:12.743 --> 00:46:13.484]  No, that's okay.
[00:46:13.544 --> 00:46:16.545]  You're right, there's no, like on a local level, there's no economist that has ever proved
[00:46:34.190 --> 00:46:36.531]  That a sports team actually benefits the city.
[00:46:36.991 --> 00:46:41.652]  Like, when the Baltimore Colts left to become the Indianapolis Colts, the city of Baltimore didn't shut down.
[00:46:41.672 --> 00:46:47.574]  I mean, the city of Baltimore, that money that was basically entertainment money just went to other local things.
[00:46:47.614 --> 00:46:50.535]  You know, local music, local plays, that sort of thing.
[00:46:51.355 --> 00:46:55.116]  Well, cities don't need these teams to operate.
[00:46:55.156 --> 00:46:58.777]  They don't need the revenue because they really don't generate as much revenue as people think.
[00:46:59.217 --> 00:47:00.758]  And it's the same, like you said, in college.
[00:47:01.938 --> 00:47:09.000]  These people are, the coaches are making millions of dollars, the administrators are making millions of dollars, all of which is, you know, state money.
[00:47:09.400 --> 00:47:12.601]  But yet the players, which is what everybody's paying to see, get nothing.
[00:47:13.021 --> 00:47:14.822]  They get their, sure they get, you know, their
[00:47:16.135 --> 00:47:21.719]  They get their college education if most of them stick around for it, but for the most part... They get to pill for the cheerleaders and that's about it.
[00:47:21.739 --> 00:47:26.401]  Yeah, they don't get paid to play, but meanwhile people are making tons of money off of their backs.
[00:47:26.501 --> 00:47:36.367]  So when you see potentially, you know, gambling corruption break out in college sports, it only makes sense because it's very easy to approach these kids and say, hey look, I'll give you five or ten thousand dollars.
[00:47:36.388 --> 00:47:37.508]  You don't have to lose the game.
[00:47:37.908 --> 00:47:39.089]  You just don't cover the spread.
[00:47:39.129 --> 00:47:41.291]  Don't win by as much as we want you to win by.
[00:47:41.871 --> 00:47:45.053]  And it's very easy money, and it's very easy money for everybody involved.
[00:47:46.260 --> 00:47:50.723]  And that's why we see these thousands of examples where it's obvious that they fall down.
[00:47:50.803 --> 00:47:52.384]  It's obvious they drop the ball.
[00:47:52.825 --> 00:47:55.146]  It's obvious they stop short.
[00:47:55.527 --> 00:47:56.347]  It's obvious.
[00:47:56.888 --> 00:48:10.458]  And at a point, though, when it becomes obvious, like heavyweight boxing, doesn't these different sports have the danger of dying or degenerating, and then it goes into something that's newer and a little bit cleaner, like UFC?
[00:48:11.749 --> 00:48:15.252]  Well, I don't necessarily think the UFC is any cleaner than boxing has been.
[00:48:15.652 --> 00:48:25.720]  I mean, people forget, and I didn't even know this until I researched it, professional boxing was literally controlled by one gangster, a man by the name of Frankie Carbo, from the late 1940s until the 1960s.
[00:48:25.760 --> 00:48:26.261]  Sure.
[00:48:26.961 --> 00:48:33.646]  And he controlled it not just by himself, but with big businessmen and the influence of, you know, the major TV networks.
[00:48:34.227 --> 00:48:38.670]  And what happened there is very similar to what happens in mixed martial arts and the UFC today.
[00:48:38.711 --> 00:48:40.372]  You can see that same kind of control.
[00:48:40.892 --> 00:48:48.316]  And it'd be very easy to approach a boxer, because in boxing or UFC fighting, you only need to get to one guy to fix a match.
[00:48:49.116 --> 00:48:55.640]  It'd be very easy to say, hey look, like they did when, you know, if you've ever seen the movie Raging Bull, which is a true story about boxer Jake LaMotta.
[00:48:56.040 --> 00:49:01.203]  Frankie Carbo went to Jake LaMotta and said, look, you lose this fight, we'll get you a title fight down the line.
[00:49:01.223 --> 00:49:05.385]  And that's exactly what happened with, you know, the Raging Bull, but
[00:49:06.005 --> 00:49:07.707]  I can see it happening today in the UFC.
[00:49:07.727 --> 00:49:09.869]  The problem is nobody investigates this stuff.
[00:49:09.909 --> 00:49:11.971]  They all want the rah-rah aspect of sports.
[00:49:12.632 --> 00:49:12.992]  Sure, sure.
[00:49:13.012 --> 00:49:21.120]  Well, I wasn't implying UFC was as pure as the Durban snow, but I've had a chance to be behind the scenes and some of it looks pretty darn real to me.
[00:49:21.521 --> 00:49:25.565]  It's just seen as newer and not as corrupt as professional boxing.
[00:49:25.605 --> 00:49:26.265]  Is that fair to say?
[00:49:27.102 --> 00:49:27.863]  I would think so.
[00:49:28.304 --> 00:49:30.246]  But again, you know, anything's corrupt.
[00:49:30.286 --> 00:49:32.829]  I mean, again, what business isn't corrupt on some level?
[00:49:33.490 --> 00:49:36.834]  I mean, it exists because the idea of being in business is to make more money.
[00:49:36.854 --> 00:49:45.625]  And if you could influence, for example, a UFC fight to get a higher rating or to get more money on their pay-per-view event, well, why wouldn't you do it if everybody involved was profiting?
[00:49:45.785 --> 00:49:49.368]  Now, I just started your book two days ago and haven't had a chance to read the whole thing.
[00:49:49.388 --> 00:49:50.128]  I've read part of it.
[00:49:50.688 --> 00:49:51.729]  Again, I'm not just typing this.
[00:49:51.769 --> 00:49:52.570]  I'm not selling the book.
[00:49:52.590 --> 00:50:01.596]  We probably should carry it at InfoWarstore.com if we'll probably talk about that, because everything I'm here about is getting people to be skeptic and look behind the curtain, look behind the facade.
[00:50:01.636 --> 00:50:11.123]  But going through the rest of the book, what are some of the historical examples of fraud, and which sport that you've researched has the most fraud, or is that unknown?
[00:50:12.160 --> 00:50:12.861]  That's unknown.
[00:50:12.921 --> 00:50:16.624]  I think most fans believe the NBA is the most crooked of them all.
[00:50:17.185 --> 00:50:27.515]  And I think when you have the example of Tim Donaghy, who basically, after he got busted for gambling on professional basketball, he wrote a book that said, hey, professional basketball isn't what you think.
[00:50:27.555 --> 00:50:36.804]  They tell the owners, the league tells the referees how to manipulate these games, and they do it in a very subtle way, but they get the message across, and then you see, you know,
[00:50:37.584 --> 00:50:41.866]  Certain superstars always wind up in the finals and it always winds up being big ratings.
[00:50:42.426 --> 00:50:55.472]  But I think to prove that there's a conspiracy within sports and that these things can happen is you have to look back to baseball in the 1980s when all the owners of these teams who are usually very individualistic type of people got together and colluded.
[00:50:56.192 --> 00:50:58.274]  To not pay free agents any money.
[00:50:58.394 --> 00:51:07.483]  And they did it for three years in a row, but they did it in such an obvious fashion that they were busted for it, they were sued for it, and lost nearly $300 million in a lawsuit against the Players Union.
[00:51:07.824 --> 00:51:19.956]  But the fact is, these owners could come together secretly with the Commissioner and create a plan that says, we're going to make more money, we don't care about wins, we don't care about losses, we don't care about bettering the team, we just care about our bottom line.
[00:51:21.641 --> 00:51:25.904]  From your research, is it the players that get bought off more often?
[00:51:25.944 --> 00:51:29.087]  It sounds like you're implying who they really go after is the refs.
[00:51:30.179 --> 00:51:32.942]  Well, the refs are the easiest because they don't make the money.
[00:51:33.202 --> 00:51:34.123]  And they're not looked at.
[00:51:34.183 --> 00:51:38.406]  And the scary thing is, if you're in the media, you can't interview the referees.
[00:51:38.847 --> 00:51:40.568]  There's no access to them.
[00:51:41.229 --> 00:51:42.670]  They're just out there.
[00:51:42.710 --> 00:51:44.072]  They're just basically employees.
[00:51:44.112 --> 00:51:51.819]  So again, they claim, so that they, you know, are pure as an urban snow, no one can see what's happening in there, which is the perfect climate for corruption.
[00:51:52.891 --> 00:51:53.411]  Exactly!
[00:51:53.812 --> 00:52:07.239]  Because if you can't talk to these people, if you can't ask them, why did you make that call, why didn't you make this call, how on instant replay when we saw clearly that the guy's foot was inbounds, you ruled him out of bounds, when they're accountable to no one but the league, well, what are you going to do?
[00:52:09.378 --> 00:52:15.822]  And sports is only getting more popular as we decline, so why shouldn't they stop?
[00:52:15.842 --> 00:52:17.923]  You know, you were listing some statistics.
[00:52:17.963 --> 00:52:18.803]  Go back over that.
[00:52:19.303 --> 00:52:24.766]  How many times larger is the gambling compared to the above board profit?
[00:52:24.786 --> 00:52:36.693]  Because if the gambling is 2, 3, 4, 5 times bigger than the sport itself, the legitimate areas of it, then it just goes to show, of course it's going to be rigged.
[00:52:37.517 --> 00:52:38.037]  Well, exactly.
[00:52:38.057 --> 00:52:48.482]  I believe from 2011, I think the stat was from, the NFL, NBA, NHL, and Major League Baseball all made a combined $25 billion.
[00:52:49.662 --> 00:52:54.464]  But yet the last investigation of illegal sports gambling in the United States, which dates back to 1999,
[00:52:55.825 --> 00:53:00.987]  It says the bare minimum illegal amount of money being gambled on these sports is $80 billion.
[00:53:01.387 --> 00:53:03.728]  But it could be as high as $380 billion.
[00:53:03.988 --> 00:53:12.251]  And when they always talk about, well, you know, Las Vegas and the amount of sports gambling in Las Vegas, Las Vegas took in $3 billion last year on sports gambling.
[00:53:12.271 --> 00:53:15.692]  That's 1% of all the money that's being gambled within this nation.
[00:53:16.132 --> 00:53:20.114]  So it means 99% of it is being done illegally, being done offshore.
