[00:00:21.673 --> 00:00:26.738]  Hello and welcome to InfoWars Nightly News on this February 23rd edition.
[00:28:18.033 --> 00:28:23.038]  And what Anthony Chambers said was, remember this is maybe a year and a half after the incident.
[00:28:24.159 --> 00:28:32.086]  He said, look, I've just been dumped all this evidence that I consider the most important evidence in the entire case.
[00:28:32.366 --> 00:28:33.587]  And he went and listed it.
[00:28:34.710 --> 00:29:03.348]  I've just been given Abdulmutallab's passport, I've just been given the airport security video, security and audio video, I've just been given the composition of the bomb by the government's so-called experts, and he listed a couple other things too, something about DNA, which I didn't know what exactly he was talking about with that, but I thought it was pretty telling because several of the things he listed
[00:29:04.369 --> 00:29:33.070]  tie exactly into what I've been saying all along, that Abdulmutallab did not have a passport, that he was given a fake bomb, and that he was escorted on the plane without going through security, and that would all tie into that, and the reason I thought it was important was because the government withheld this evidence for almost a year and a half, giving chambers the least amount of time to look at it, the least amount of time to hire experts to testify for the defense, and have them look at it,
[00:29:34.025 --> 00:29:39.367]  Which is a common tactic of lawyers that want to play games in a case.
[00:29:39.667 --> 00:29:42.508]  You hide evidence and you give it at the last possible minute.
[00:29:42.528 --> 00:29:49.490]  Because if you hide it entirely and don't give it to the other side, well then that can change the outcome of the case entirely due to hidden evidence.
[00:29:49.610 --> 00:29:51.731]  But not if you give it at the last minute.
[00:29:52.151 --> 00:29:53.392]  So I thought that was pretty telling.
[00:29:53.432 --> 00:29:58.273]  And again, no report on the media about this or why it's important.
[00:29:58.313 --> 00:29:59.194]  So just another
[00:30:00.971 --> 00:30:03.953]  You know another incident I saw in court that didn't really get reported.
[00:30:05.054 --> 00:30:12.100]  Now later on as the trial was getting closer I started going to the jury selection hearings.
[00:30:13.141 --> 00:30:20.127]  How this works is you put a potential juror on the witness stand and each lawyer and the judge gets to ask a certain amount of questions.
[00:30:21.108 --> 00:30:23.030]  Well the questions that were being asked were
[00:30:25.200 --> 00:30:27.181]  The same couple repeated over and over again.
[00:30:27.821 --> 00:30:34.603]  And Chambers would say, will you be able to tell the difference whether Abdulmutallab actually possessed a bomb?
[00:30:35.603 --> 00:30:39.224]  Or whether he actually had an explosive device?
[00:30:39.284 --> 00:30:40.984]  And different offshoots of that question.
[00:30:41.745 --> 00:30:49.607]  So I knew what Anthony Chambers' defense in this case was, that Abdulmutallab did not have
[00:30:50.840 --> 00:30:52.681]  uh... bomb that could have exploded.
[00:30:53.482 --> 00:30:58.505]  And Judge Edmonds, when she was asking her question, she kept asking this question over and over again.
[00:30:59.026 --> 00:31:02.828]  Do you realize that sometimes the media does not tell the truth?
[00:31:04.670 --> 00:31:06.090]  You know, and questions like that.
[00:31:06.211 --> 00:31:10.534]  So, and it was pretty telling knowing that Judge Edmonds
[00:31:11.745 --> 00:31:12.667]  I don't know.
[00:31:28.963 --> 00:31:34.905]  And there was a date set just a few days before the trial for final jury selection.
[00:31:35.645 --> 00:31:43.648]  As my trial was ending, I got a text from my brother indicating that I would be testifying in the Underwear Bomber case that he heard on the radio in Florida.
[00:31:46.218 --> 00:31:55.303]  I was actually shocked, because even though I'd been talking to Anthony Chambers, who indicated if he was appointed full attorney on the case, he would call me.
[00:31:56.124 --> 00:32:06.190]  He was not full attorney on the case, he was still standby, and therefore, Abdulmutallab himself had full decision over the witnesses in the case.
[00:32:06.270 --> 00:32:09.512]  So, I immediately
[00:32:11.178 --> 00:32:14.963]  Headed over to the courthouse to see if I could find out what's going on.
[00:32:15.003 --> 00:32:17.707]  And I ran into Anthony Chambers outside the courthouse.
[00:32:17.867 --> 00:32:21.773]  Different courthouse than the one I was at, but only about three blocks, three or four blocks away.
[00:32:22.898 --> 00:32:37.973]  I ran into Anthony Chambers outside and he said earlier that day that Judge Edmonds asked Abdul Mutlaq, who he'd be calling as a witness, and he said the only witness he would be calling would be Attorney Haskell, me.
[00:32:38.914 --> 00:32:42.257]  So again, I was quite shocked at that.
[00:32:42.297 --> 00:32:44.700]  I really wasn't expecting him to call me as a witness.
[00:32:46.657 --> 00:32:49.519]  The trial was then set for just a few days later.
[00:32:49.539 --> 00:32:54.583]  I think this happened on a Thursday and the trial was set for the next Tuesday, I believe.
[00:32:57.586 --> 00:33:12.089]  Lori and I were planning on attending every day of the trial and we went down there on the first day of the trial and the very first matter that was taken up was the prosecutor's request to kick both of us out of the courtroom for the entire trial, which I thought was pretty interesting.
[00:33:12.109 --> 00:33:17.351]  It was a motion to remove Kurt and Lori Haskell from the court or something.
[00:33:17.371 --> 00:33:18.571]  It was titled something like that.
[00:33:19.911 --> 00:33:26.677]  And the prosecutors indicated that I shouldn't be able to see all the witnesses before I testify.
[00:33:26.697 --> 00:33:34.584]  I was set to testify at the end of the case after the prosecution put their case on, so I wouldn't be testifying for about a month is what they estimated.
[00:33:35.645 --> 00:33:39.068]  And Lori wasn't actually listed as a witness at all.
[00:33:40.149 --> 00:33:41.850]  So they argued their case and
[00:33:43.587 --> 00:33:48.471]  Anthony Chambers said he didn't care if we were kicked out or not, so he had no response.
[00:33:48.551 --> 00:33:52.253]  But interestingly enough, Judge Edmunds said, I'm not kicking Lori Haskell out.
[00:33:52.293 --> 00:33:53.634]  She's not listed as a witness.
[00:33:53.835 --> 00:34:01.480]  I only have one requirement, and that is that she cannot talk to her husband, Kurt, about anything that goes on in this trial until it's concluded.
[00:34:02.020 --> 00:34:09.166]  Which, again, was going to last over a month, so it would have made for some very interesting times in our household.
[00:34:11.221 --> 00:34:25.109]  Very early on the next day, the case was settled with Abdulmutallab pleading guilty to charges that require a mandatory life sentence, which nobody ever pleads to a mandatory life sentence.
[00:34:25.289 --> 00:34:32.513]  Not only that, he made this long, pre-prepared speech that sounded like it came straight from the Pentagon, if you ask me.
[00:34:33.234 --> 00:34:37.696]  It used language and words that I don't even think he knows what they mean.
[00:34:40.017 --> 00:35:07.339]  They weren't, it wasn't language that I'd been accustomed to hearing from Abdulmutallab during the case, and I thought it was part, at least to me, I think there's some sort of plea deal going on that we don't know about, that required Abdulmutallab to give the speech, plead guilty to all the charges, and, you know, in order for some sort of promise that we don't know about, and nobody knows what that is, but you just don't plead guilty to a mandatory life sentence.
[00:35:08.980 --> 00:35:09.421]  Further,
[00:35:11.056 --> 00:35:20.865]  I've known for quite some time that Abdulmutallab has offered some very lenient plea deals, and it's told us by Anthony Chambers, and he turned them all down.
[00:35:21.525 --> 00:35:29.613]  So then I have the question of why would you turn down a lenient plea deal just to plead guilty to charges that require a mandatory life sentence?
[00:35:30.013 --> 00:35:34.257]  And I would really like an answer to that question, but I don't think we'll ever get it.
[00:35:49.974 --> 00:35:52.937]  Well, the sharp-dressed man is important for this reason.
[00:35:53.337 --> 00:36:00.683]  One, he was the one that I saw get Abdulmutallab or help Abdulmutallab aboard without even having a passport.
[00:36:00.743 --> 00:36:01.904]  Now, who else can do that?
[00:36:03.406 --> 00:36:07.629]  Not only that, he was a man of some authority because he went down in a secure
[00:36:08.650 --> 00:36:09.410]  We're good to go.
[00:36:32.483 --> 00:36:38.430]  Dutch police that Abdulmutallab didn't even go through passport control and therefore he didn't go through security there at all.
[00:36:39.755 --> 00:36:42.117]  You have to really wonder, who is this guy?
[00:36:42.137 --> 00:36:54.165]  He's speaking perfect American English at a Dutch airport, getting someone on a plane, an international flight, without a passport, without any bags or winter clothes, except for a small gym bag I think he had.
[00:36:54.785 --> 00:36:56.066]  Why and how did this happen?
[00:36:56.126 --> 00:36:56.546]  Who is he?
[00:36:56.606 --> 00:36:58.688]  He's the key to the whole story, if you ask me.
[00:36:58.908 --> 00:36:59.949]  That's why it's important.
[00:37:00.149 --> 00:37:04.172]  This wasn't just some normal passenger that boarded his plane and he didn't go through
[00:37:05.112 --> 00:37:05.993]  You know, security.
[00:37:06.013 --> 00:37:11.359]  It was someone put on the plane who shouldn't have been on, who didn't go through security.
[00:37:12.020 --> 00:37:15.184]  And that's why the sharp-dressed man is important, whatever his role in that was.
[00:37:16.085 --> 00:37:23.853]  The mainstream media won't talk about the sharp-dressed man because it blows the whole official story out of the water that Abdulmutallab just got through security by mistake.
[00:37:24.594 --> 00:37:27.117]  You know, and he boarded the flight like everyone else.
[00:37:27.157 --> 00:37:27.537]  He didn't.
[00:37:27.857 --> 00:37:28.838]  He didn't go through security.
[00:37:28.858 --> 00:37:29.839]  He didn't show a passport.
[00:37:30.620 --> 00:37:34.965]  And he gets on our flight with a bomb or, you know, an intentionally defective bomb.
[00:37:35.045 --> 00:37:37.828]  So, how can the media justify that?
[00:37:37.928 --> 00:37:41.652]  And not only that, you have the comments by Patrick Kennedy that we wanted him in the U.S.
[00:37:41.692 --> 00:37:42.292]  to track him.
[00:37:44.094 --> 00:37:47.117]  You know, anyone with three brain cells can figure out what's going on here.
[00:37:48.146 --> 00:37:50.048]  So how can they cover and actually report it?
[00:37:50.689 --> 00:38:07.066]  A week or so after the flight, very early on, I got a call from another passenger and he said, look, I don't want you to sound stupid when all the evidence comes out and the truth is known to everyone, but you didn't see what you did.
[00:38:07.126 --> 00:38:07.687]  What you saw was
[00:38:10.409 --> 00:38:22.440]  An unaccompanied minor being escorted through security and you know, I saw him after we landed in Detroit and I said Okay, and then I said well He wasn't a minor.
[00:38:22.580 --> 00:38:31.448]  He was You know a teenager at least and this man said no, he was a minor I saw him after we landed in Detroit and I said well, did you see him before boarding?
[00:38:32.209 --> 00:38:36.133]  And he said no, I didn't see him before boarding, but I know that's the same person and
[00:38:37.057 --> 00:38:39.318]  I thought it was really suspicious that he would say this.
[00:38:40.598 --> 00:38:48.360]  So I ended the conversation and I did some looking into the man's background.
[00:38:48.420 --> 00:38:54.841]  I found out that he worked for a contractor for the Department of Defense, which raised red flags to me.
[00:38:54.901 --> 00:38:56.882]  And then I did some more looking into
[00:38:58.055 --> 00:39:08.603]  This unaccompanied minor thing and I found out well you have to be under age 12 to be an unaccompanied minor and the bomber does not look like he's under age 12.
[00:39:08.663 --> 00:39:27.097]  You know maybe he could pass for 16 or so but not under 12 and Delta admitted that there were no unaccompanied minors on our flight so that leaves me with a passenger calling me to try and get me to change my story
[00:39:28.921 --> 00:39:29.942]  For what reason?
[00:39:29.962 --> 00:39:30.642]  I don't know.
[00:39:31.062 --> 00:39:34.245]  It's highly suspicious of me that he works for the Department of Defense.
[00:39:34.585 --> 00:39:52.560]  Interestingly enough, I googled him recently and I see that he switched employers again and now he works for a company that's supported by the Department of Defense, various members of Congress, the Senate, and various other people in the government.
[00:39:54.073 --> 00:39:59.897]  To me, it all points to what I've been saying for quite some time now, that that's what happened here.
[00:39:59.977 --> 00:40:03.460]  They gave him a fake bomb, they needed to stage a terrorist attack, and that's what they did.
[00:40:04.240 --> 00:40:10.224]  The place I get the information from that it was a defective bomb was two things.
[00:40:11.145 --> 00:40:21.612]  First of all, for months and months and months, I'm just living with this idea that maybe my government tried to kill me by giving a terrorist a bomb to blow up my plane.
[00:40:23.277 --> 00:40:29.103]  I didn't want to believe that, and I really wrestled with this a lot, wondering if that was really true or not.
[00:40:29.203 --> 00:40:30.864]  And I didn't know what to make out of it.
[00:40:30.884 --> 00:40:33.267]  It was a big piece to the puzzle that I didn't have.
[00:40:34.368 --> 00:40:42.896]  And in late December 2010, Anthony Chambers was quoted in the Detroit Free Press as saying,
[00:40:44.311 --> 00:40:55.221]  The government's own experts that they've hired to be expert witnesses in the trial have reported that the bomb was impossibly defective because it lacked a blasting cap.
[00:40:56.282 --> 00:41:03.227]  So to me, that was quite telling that the own experts hired by the US government don't even support their own theory on the case.
[00:41:03.588 --> 00:41:06.931]  That they have said that the bomb was impossibly defective.
[00:41:09.053 --> 00:41:34.376]  If you add that piece of the puzzle together with all the other terrorist attacks that have been happening in the past couple years, where the FBI has admitted to giving out fake bombs, such as Mohamed Mouhamoud, the Portland Christmas Tree bomber, and the Wrigley Field bomber, and at least five or six other ones that I'm aware of, I can't remember all their names, but they're all documented and all admitted.
[00:41:35.077 --> 00:41:35.858]  by the FBI.
[00:41:35.878 --> 00:41:39.200]  You see a modus operandi or an M.O.
[00:41:39.480 --> 00:41:45.705]  of the government here, where they admit to giving out fake bombs to stage terrorist attacks.
[00:41:45.785 --> 00:41:52.690]  And to me, it all points to what I've been saying, you know, for quite some time now, that that's what happened here.
[00:41:52.750 --> 00:41:56.213]  They gave them a fake bomb, they needed to stage a terrorist attack, and that's what they did.
[00:42:12.128 --> 00:42:24.836]  Astounding revelations there from Kurt Haskell, Delta253, eyewitness on false flag terrorism, which of course is especially important now with the build-up to war with Iran.
[00:42:24.876 --> 00:42:26.337]  Astounding revelations there.
[00:42:27.157 --> 00:42:29.939]  Today's quote of the day comes from Will Rogers.
[00:42:30.499 --> 00:42:34.021]  A fool and his money are soon elected.
[00:42:34.882 --> 00:42:38.224]  That certainly pertains to what we were talking about with Mitt Romney before.
[00:42:38.564 --> 00:42:40.525]  A fool and his money are soon elected.
[00:42:40.565 --> 00:42:41.106]  Will Rogers.
[00:42:42.096 --> 00:42:45.883]  That's gonna do it for this edition of InfoWars Nightly News.
[00:42:46.104 --> 00:42:47.887]  I've been your host, Paul Joseph Watson.
[00:42:53.484 --> 00:42:55.306]  Greetings, fellow InfoWarriors.
[00:42:55.946 --> 00:43:03.672]  Alex Jones here, announcing the first of many trips that I'm going to take across this wonderful United States that we live in.
[00:43:03.973 --> 00:43:13.881]  And we get so busy here at InfoWars.com, the nightly news, the daily radio show, the documentary films, and all the other things we're doing that I tend to never go out and give speeches anymore.
[00:43:14.301 --> 00:43:18.044]  And I've got a lot of ideas bubbling around in my head about the history of the New World Order.
[00:43:18.324 --> 00:43:19.705]  What makes them tick and how to defeat them.
[00:43:20.005 --> 00:43:22.407]  So I'm titling this key speech I'm going to give.
[00:43:23.007 --> 00:43:24.608]  It'll run around two hours long.
[00:43:25.228 --> 00:43:26.990]  Blueprint to Defeat the New World Order.
[00:43:27.270 --> 00:43:33.014]  And we're also going to have a surprise premiere of a short documentary film we've been working on at the event.
[00:43:33.454 --> 00:43:35.575]  First off, I'm going to be going to Dallas, Texas.
[00:43:35.996 --> 00:43:37.537]  Sunday, February 19th, 2012.
[00:43:37.857 --> 00:43:40.399]  To the historic Lakewood Theater.
[00:43:40.979 --> 00:43:45.181]  And the next Sunday, February 26th, I'm going to be in Orlando, Florida.
[00:43:45.842 --> 00:43:51.485]  You can find out more about the events and buy tickets at infowars.com forward slash events.
[00:43:52.455 --> 00:43:55.877]  Now unfortunately, every event I've ever had, we've had to turn people away.
[00:43:56.497 --> 00:44:00.419]  So get your tickets early at InfoWars.com forward slash events.
[00:44:00.719 --> 00:44:02.680]  There's a lot of crazy stuff going on in this world.
[00:44:03.381 --> 00:44:05.922]  The craziest of all is this explosive awakening.
[00:44:06.602 --> 00:44:08.363]  I can't wait to meet you and shake your hand.
[00:44:08.803 --> 00:44:10.784]  I'll see you in Dallas and I'll see you in Orlando.
[00:44:11.445 --> 00:44:13.386]  InfoWars.com forward slash events.
[00:44:21.738 --> 00:44:26.361]  Yeah, I'm signing these evil 1776 flags.
[00:44:26.661 --> 00:44:33.946]  Doesn't get any more out of control than that, ladies and gentlemen.
[00:44:34.986 --> 00:44:37.788]  It's pretty un-American, what we're doing here at InfoWars.com.
[00:44:40.289 --> 00:44:45.913]  I mean, not only are we promoting liberty, but we're selling 1776 flags.
[00:44:46.914 --> 00:44:47.414]  Now that...
[00:44:49.187 --> 00:44:50.409]  He's our killer.
[00:45:07.895 --> 00:45:16.179]  Hello and welcome to InfoWars Nightly News with me, your host, Paul Joseph Watson, on this Thursday, February 23rd edition.
[00:45:16.660 --> 00:45:22.403]  Now I'm delighted to welcome to the show this evening Dr. Michael Coffman, PhD.
[00:45:23.123 --> 00:45:23.463]  Well, thank you.
[00:45:23.603 --> 00:45:24.424]  I'm glad to be with you.
[00:45:46.596 --> 00:45:52.139]  Well, let's get straight to the heart of the matter, which of course is Agenda 21.
[00:45:52.179 --> 00:45:56.822]  We've got the big 20th anniversary of Rio coming up.
[00:45:57.062 --> 00:45:59.103]  Tell the viewers about Agenda 21.
[00:45:59.163 --> 00:46:05.947]  How does it manifest itself today, and how will it affect our lives if we don't stand up and resist it?
[00:46:07.588 --> 00:46:12.351]  Well, listeners are probably aware that it's a 40-chapter document that was
[00:46:12.915 --> 00:46:29.746]  Brought out and signed by President Bush in 1992 at the Rio de Janeiro Earth Summit, and basically those 40 chapters cover everything that humanity does as it interacts with the environment in some form or another, plus some other things like women's rights and that type of thing.
[00:46:30.486 --> 00:46:32.908]  It really is a very comprehensive effort.
[00:46:32.988 --> 00:46:33.948]  It is soft law.
[00:46:34.029 --> 00:46:41.733]  It doesn't have any teeth or legal teeth to it, but they do have what is known as the Covenant on the Environment and Development in the Wings.
[00:46:41.754 --> 00:46:42.374]  It's a treaty
[00:46:42.955 --> 00:46:44.475]  That will be a hard law.
[00:46:44.495 --> 00:46:47.476]  In other words, it will have penalties if you do not do it.
[00:46:48.156 --> 00:47:01.200]  So as a consequence, it is a potentially very dangerous type of agreement that uses a socialistic philosophy to basically develop what's called global governance.
[00:47:01.480 --> 00:47:04.221]  It is the heartbeat of what we call global governance.
[00:47:04.821 --> 00:47:11.203]  It will really allow government to manifest itself in everybody's life on a
[00:47:11.880 --> 00:47:17.447]  Very, very minor, but basically a very detailed level.
[00:47:17.948 --> 00:47:21.952]  There's no one that can escape this, assuming they want to come down on you.
[00:47:22.613 --> 00:47:30.463]  And of course, as a consequence, we are going to have, I think, a lot of trouble if this thing ever gets fully implemented.
[00:47:32.213 --> 00:47:38.135]  Now, of course, one of the key facets of this is so-called sustainable development.
[00:47:38.195 --> 00:47:48.878]  I mean, every time I turn on the television, whether it be the news or indeed commercials, I constantly hear this word sustainable or sustainability.
[00:47:49.578 --> 00:47:56.961]  Dr. Coffman, when we hear that word, what is the true meaning behind the phrase sustainability as it relates to Agenda 21?
[00:47:58.803 --> 00:47:59.943]  Well, there's two levels.
[00:48:00.203 --> 00:48:05.865]  One is the public level, where we're not supposed to do anything that would cause damage to future generations.
[00:48:06.825 --> 00:48:09.786]  The other is more spiritual in its nature.
[00:48:09.866 --> 00:48:11.206]  It's occultish in its nature.
[00:48:11.326 --> 00:48:20.089]  It believes, and it's based upon the fact that nature is God, and therefore we must do things that will not harm God.
[00:48:20.549 --> 00:48:28.111]  That is a very, very powerful concept, and it's one that drives the whole sustainable development agenda.
[00:48:28.755 --> 00:48:38.361]  Behind Agenda 21, it's not necessarily what you see on the surface that you just don't want to do things that are going to cause harm in the future.
[00:48:38.982 --> 00:48:44.905]  It literally is that you can no longer do anything that they perceive causes harm to Mother Nature.
[00:48:45.025 --> 00:48:50.729]  And that is a very restrictive type of concept of sustainable development.
[00:48:51.269 --> 00:48:55.412]  One that's guaranteed to destroy property rights, one that's guaranteed to destroy
[00:48:55.973 --> 00:49:09.463]  Basically, many of the freedoms that we have around in the Western world, and as a consequence, I think it's going to be, as we get into this, as more and more of this is revealed, going to be very, very dangerous.
[00:49:10.063 --> 00:49:16.908]  It's going to be harder and harder to stop it the longer it goes, and the deeper it gets itself entrenched into our law.
[00:49:18.905 --> 00:49:21.046]  Now, you mentioned private property there.
[00:49:21.086 --> 00:49:25.268]  I know that is a key aspect of this Agenda 21.
[00:49:26.028 --> 00:49:32.310]  I mean, what's amazing to me is these technocrats are so apparently hostile to the idea of
[00:49:34.051 --> 00:49:55.524]  Private citizens owning property, and yet their own adherents, people like, you know, Ted Turner and Prince Philip, own millions of acres of property themselves, and they have huge mansions all over the world, and yet they tell us, via all these regulations, as you explain, that come with this environmental agenda, that it's somehow dirty for
[00:49:56.164 --> 00:49:56.424]  You bet.
[00:49:56.544 --> 00:50:00.065]  It is one of the things that is very classically elitist in its nature.
[00:50:00.085 --> 00:50:04.627]  In other words, I can do what I want to do, but you cannot do anything because it'll be harmful.
[00:50:04.647 --> 00:50:05.247]  That is their attitude.
[00:50:20.760 --> 00:50:28.626]  It's actually in what is called the Global Biodiversity Assessment that I used to stop the ratification of the Convention on Biological Diversity on the U.S.
[00:50:28.646 --> 00:50:29.947]  Senate floor back in 1994.
[00:50:31.389 --> 00:50:48.202]  That particular portion of it, I don't have it in front of me right now, but basically extolled the virtues of the feudal system of Europe back when the nobility ruled over the peasants as the desirable form of government that would be established
[00:50:48.827 --> 00:50:59.916]  Once it gets into place, which leads directly into the idea that the only one during that time that could own property were the elites, the nobility.
[00:51:00.156 --> 00:51:09.704]  Basically, they want to go back to that so that they can define exactly what happens on this land as if they knew better than we did how to use property.
[00:51:09.744 --> 00:51:11.766]  In fact, it's really kind of ironical.
[00:51:12.728 --> 00:51:22.450]  That much of the damage you've seen to the environment has been caused by the elite because they have no restrictions on them whatsoever, and not by the average person.
[00:51:22.970 --> 00:51:36.333]  And it's only until the average person owns their own property, uses it to make a living, that it usually gets protected because they need to protect it in order to continue to make a living generation after generation.
[00:51:38.499 --> 00:51:39.480]  I mean it's amazing.
[00:51:40.340 --> 00:51:57.809]  Prince Philip, also of course the frontman of the World Wildlife Fund and he's the guy, you know, back 20 years ago who was in Africa shooting tigers dead and yet the charity people from the World Wildlife Fund still come knocking at your door begging for donations to save the tigers!
[00:51:58.869 --> 00:51:59.109]  Yeah.
[00:51:59.149 --> 00:52:00.170]  The hypocrisy is incredible.
[00:52:17.199 --> 00:52:18.320]  To save water.
[00:52:19.500 --> 00:52:25.263]  It just illustrates, as you said, the hypocrisy and the fact that it's one rule for them and another rule for everybody else.
[00:52:26.324 --> 00:52:32.346]  Global warming, of course, this is again tied into agenda 21, the environmentalist agenda.
[00:52:33.908 --> 00:52:47.662]  The latest data we've got came out a couple of weeks ago actually shows that the Himalayas and the nearby mountain peaks there in that region in China and along the border there, they've lost none of their ice over the last 10 years.
[00:52:49.724 --> 00:52:52.685]  I mean, this stunned climate change proponents, of course.
[00:52:52.725 --> 00:53:05.873]  We've had ClimateGate, we've had PolarBearGate in recent years, we've had the failure at Copenhagen, the failure at Durban, and it really seems that the man-made global warming alarmists are on the ropes.
[00:53:07.054 --> 00:53:21.485]  Dr. Coffman, how close are we to actually pushing this back and collapsing the entire carbon tax agenda behind global warming, or do you think they'll just continue to push ahead with it despite all the opposition and evidence building against them?
[00:53:23.006 --> 00:53:25.749]  They have to get control over the global economy.
[00:53:25.789 --> 00:53:32.554]  There is no other way that they can rule with global governance until they get control of the economy, especially that of the US economy.
[00:53:33.146 --> 00:53:42.131]  And the easiest way of doing that is to use carbon credits and trading, as many of our pieces of legislation have attempted to do, but all of them have failed.
[00:53:42.451 --> 00:53:50.316]  The Environmental Protection Agency of the United States is now attempting to do this piecemeal, but the fact is they have to control our economy.
[00:53:50.376 --> 00:53:55.439]  And the easiest way of doing that is through scaring us to death with global warming.
[00:53:55.979 --> 00:53:59.021]  It's amazing, as you have indicated, how many things
[00:53:59.491 --> 00:54:00.031]  We're good to go.
[00:54:24.045 --> 00:54:35.109]  What most people may not realize fully, they understand it in general but don't understand it fully, is that there's a one-to-one relationship between energy and our civilization.
[00:54:35.589 --> 00:54:39.490]  We cannot have a healthy economy without cheap energy.
[00:54:40.031 --> 00:54:52.695]  And what we're experiencing here in the States is that our President, President Obama, is doing everything he can to stop all use of fossil fuel energy and replace it with alternative or clean fuel energy
[00:54:53.194 --> 00:54:55.735]  That doesn't work, and it's very expensive.
[00:54:56.415 --> 00:54:59.696]  That way, they can control how we live.
[00:54:59.876 --> 00:55:05.318]  Our standard of living actually will reduce our standard of living somewhere between 25 and 50 percent.
[00:55:05.858 --> 00:55:19.883]  It's already happening in England, I'm sure you know, and Germany and France and others are beginning to cut back on their subsidies for the so-called green energy because it's so expensive and it doesn't produce anything.
[00:55:21.994 --> 00:55:27.757]  Now, Dr. Coffman, tell us why, what's the main reason they want to reduce our living standards?
[00:55:27.818 --> 00:55:32.841]  Why are they so keen to usher in this post-industrial revolution that they talk about?
[00:55:34.522 --> 00:55:36.183]  I think it's because of control.
[00:55:36.703 --> 00:55:42.747]  They have to have a dumbed-down, impoverished civilization to be able to control it adequately.
[00:55:43.407 --> 00:55:46.549]  If we get a good education and we're prosperous,
[00:55:47.108 --> 00:55:59.934]  It really creates a nightmare for them to be able to control us, and as a consequence, that is a mechanism that they can use to not only get us more impoverished, but to dumb us down.
[00:56:00.294 --> 00:56:08.178]  They are using really nasty scare stories that have no truth at all in substance and validity.
[00:56:08.418 --> 00:56:14.501]  It is incredible how they have literally tried to use every excuse they can
[00:56:15.000 --> 00:56:27.384]  To justify the need for having all these cap-and-trade schemes that they've come up with to control carbon, which does nothing more than controls energy, which controls or provides for our economy.
[00:56:27.784 --> 00:56:35.346]  Once they have control of that, and they're down to 80% reduction in our energy use, we will not have an economy.
[00:56:35.526 --> 00:56:38.347]  We'll be a third world nation here in the United States.
[00:56:39.168 --> 00:56:56.378]  And unless they can develop some sort of incredible battery storage capability, green energy can never, ever replace fossil fuel energy for both the expense as well as the type and power of energy that's produced.
[00:56:57.018 --> 00:57:04.962]  There's just no way that they can do it, because when the wind doesn't blow, windmills don't work, and when the sun doesn't shine, solar panels don't work.
[00:57:04.982 --> 00:57:06.043]  It's as simple as that.
[00:57:06.756 --> 00:57:23.566]  There's a lot of other reasons why this is not an efficient type of approach either, but the fact is our president here in this country and in Europe, now that they're starting to back off, but for a long time, we're pushing very heavily this alternative energy that just doesn't work.
[00:57:25.854 --> 00:57:35.218]  And of course now we've got the EU trying to impose, well it already is, imposing carbon taxes on any flight that, you know, goes into European airspace.
[00:57:35.298 --> 00:57:36.999]  I mean, China's rejected that.
[00:57:37.679 --> 00:57:38.899]  What do you think of that move?
[00:57:38.939 --> 00:57:41.961]  Is that, you know, a backdoor carbon tax effort?
[00:57:43.081 --> 00:57:44.141]  Oh, absolutely it is.
[00:57:44.262 --> 00:57:45.682]  I just don't think it's going to work.
[00:57:45.782 --> 00:57:52.525]  I think there's going to be... I think what's going to happen is it's going to hurt Europe more than it helps anything, and as a consequence
[00:57:53.249 --> 00:57:57.471]  They're going to have to back off of that, but it is there now, so you have to deal with it.
[00:57:58.072 --> 00:58:05.716]  It's just one more mechanism to try to basically put this cap on energy use into place.
[00:58:08.847 --> 00:58:16.470]  You briefly mentioned before reduction in living standards, of course that's also tied into population control in general.
[00:58:16.490 --> 00:58:36.838]  A couple of years ago we had the UN come out in their blueprint which got leaked and basically admit that the global warming agenda is starting to be discredited so now they're going to shift the alarmist propaganda over to the population bomb which of course we heard back in the seventies from people like John P Holdren.
[00:58:38.659 --> 00:58:53.177]  Do you see this big reduction of population that they're calling for, or is it more a case of, you know, they're gonna push abortion and so-called fertility rights in the third world to keep the population down as it is?
[00:58:53.197 --> 00:58:53.837]  Because as we know,
[00:58:54.318 --> 00:59:10.688]  Their own figures say that population will naturally level off around 2050, and yet still, even as the host population of countries in Europe, like Russia and Italy for example, declines, they're still obsessively pushing this population control agenda.
[00:59:11.449 --> 00:59:20.835]  Can you explain why they're still insistent on that, despite the fact that, as we know from their own figures, the population will eventually level out by the middle of the century?
[00:59:22.518 --> 00:59:24.379]  Actually, I think it's going to happen sooner than that.
[00:59:24.399 --> 00:59:29.641]  It wasn't until about 10 years ago that they said it would reach its peak in 2010.
[00:59:30.261 --> 00:59:34.623]  It hasn't done that, obviously, but nonetheless, we are gradually slowing down.
[00:59:34.663 --> 00:59:39.725]  The fertility rate, as you just mentioned, in Europe is below 2.1, which is the replacement rate.
[00:59:40.265 --> 00:59:48.228]  It's way down in Russia and other parts of the world, and the only thing that is keeping this going are some of the third world nations.
[00:59:48.288 --> 00:59:50.950]  The question becomes, I believe, in this whole issue.
[00:59:52.486 --> 01:00:03.049]  If you create wealth on an individual basis, which goes right back to the property rights discussion that we had earlier in the interview, because you cannot create wealth without property rights.
[01:00:03.709 --> 01:00:21.595]  Nonetheless, if you were to create wealth in these third world nations by giving them property rights, it's been shown very, very clearly that once a nation starts to get wealthy, it all of a sudden naturally begins to reduce its own replacement rate.
