[00:00:02.011 --> 00:00:03.131]  We've got it better.
[00:25:42.540 --> 00:25:45.141]  Now look, Ecuador has, right now it runs on the U.S.
[00:25:45.181 --> 00:25:48.122]  currency, so the dollar is the currency in Ecuador.
[00:25:48.622 --> 00:25:49.363]  But as the U.S.
[00:25:49.483 --> 00:26:00.947]  inflates, or I should say devalues the currency, causing price inflation by creating more fiat currency, which gets back to the counterfeit currency keyword that we mentioned earlier,
[00:26:01.997 --> 00:26:05.300]  They are, in essence, stealing purchasing power from the people of Ecuador.
[00:26:05.901 --> 00:26:22.677]  And in Ecuador, right now, today, if you go there and you talk to the taxi drivers, they will rant endlessly to you about the increase in prices of cooking gas, of basic staples, of rice, of gasoline, fuel, all these things that they need to live.
[00:26:23.732 --> 00:26:24.813]  Why are those prices rising?
[00:26:25.213 --> 00:26:27.654]  Because the Ecuadorian economy is based on the U.S.
[00:26:27.674 --> 00:26:28.595]  dollar, and the U.S.
[00:26:28.615 --> 00:26:30.716]  dollar is being devalued due to the U.S.
[00:26:30.776 --> 00:26:41.583]  and Federal Reserve's policies of printing more fiat currency, or digitally creating it in essence, thereby devaluing the purchasing power of the currency that exists in circulation.
[00:26:42.023 --> 00:26:43.984]  So, Correa has a backup plan.
[00:26:44.465 --> 00:26:51.689]  And he, along with other Latin American leaders, they've been talking about a plan to have their own South American, Latin American currency.
[00:26:52.110 --> 00:26:52.310]  Okay?
[00:26:52.990 --> 00:26:55.193]  So this is the big backup plan when the U.S.
[00:26:55.233 --> 00:26:59.638]  dollar collapses or becomes massively devalued or...
[00:27:00.916 --> 00:27:06.979]  You know, new currency floods the marketplace, or China sells off its holdings, and so on.
[00:27:07.279 --> 00:27:15.003]  Whatever crisis happens, Ecuador and the rest of Latin America is ready to switch to their own currency.
[00:27:15.423 --> 00:27:21.907]  That's the information that I got when I was living down there, and that was over a year ago that I got that information.
[00:27:22.407 --> 00:27:26.329]  Since then, I haven't had any updates, so I can only imagine this is
[00:27:26.769 --> 00:27:26.909]  I think?
[00:27:49.645 --> 00:27:51.167]  It was a bully down in Ecuador.
[00:27:51.227 --> 00:27:58.754]  America was launching its drug war chemical assaults on local farmers using the military base that used to exist in Manta.
[00:27:59.455 --> 00:28:02.157]  And Korea kicked the U.S.
[00:28:02.377 --> 00:28:04.119]  out of Manta so that the U.S.
[00:28:04.219 --> 00:28:08.824]  could not launch its chemical weapons attacks on coca tea growers in Ecuador.
[00:28:09.184 --> 00:28:11.206]  This was done under the drug war.
[00:28:11.847 --> 00:28:13.588]  So if you live in Ecuador,
[00:28:14.611 --> 00:28:21.737]  And you're trying to grow your little farm of coca tea, which is perfectly legal, it's just consumed as a tea, it's not cocaine, there's nothing wrong with it.
[00:28:22.637 --> 00:28:37.189]  And imagine, you see the evil airplane from the US Empire come over and spray like an Agent Orange type of chemical all over your village, all over your children, all over your farms, destroying your livelihood, destroying your health.
[00:28:37.529 --> 00:28:38.650]  Are you going to be happy about that?
[00:28:39.210 --> 00:28:40.591]  No, you're not going to be happy about that.
[00:28:40.691 --> 00:28:45.475]  It's an attack from a foreign empire destroying your local farming economy.
[00:28:45.835 --> 00:28:47.397]  That's the way Ecuadorians see it.
[00:28:48.397 --> 00:28:50.539]  And that's the reality of what's happening down there.
[00:28:50.579 --> 00:28:53.021]  No wonder Correa is standing up to the U.S.
[00:28:53.161 --> 00:28:53.882]  and the U.K.
[00:28:55.563 --> 00:28:57.805]  in giving Assange political asylum.
[00:28:58.365 --> 00:28:58.826]  Stay with us.
[00:28:58.846 --> 00:28:59.947]  A lot more straight ahead right here.
[00:29:01.801 --> 00:29:07.064]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:29:07.324 --> 00:29:09.506]  Start purifying your water with ProPure.
[00:29:09.726 --> 00:29:18.671]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure and it's available discounted at InfoWars.com.
[00:29:18.831 --> 00:29:22.013]  Its filters are silver impregnated to prevent bacterial growth.
[00:29:22.273 --> 00:29:23.714]  There's no priming required.
[00:29:23.954 --> 00:29:25.995]  It's NSF 42 certified.
[00:29:26.235 --> 00:29:28.717]  Optional fluoride filters can reduce fluoride up to 95%
[00:29:29.797 --> 00:29:31.138]  Easy to set up and use.
[00:29:31.318 --> 00:29:32.618]  Doesn't require electricity.
[00:29:32.738 --> 00:29:35.599]  Purify water from lakes, streams, ponds, and wells.
[00:29:35.899 --> 00:29:39.060]  This filter system leaves in beneficial minerals, which is key.
[00:29:39.280 --> 00:29:43.282]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[00:29:43.422 --> 00:29:46.022]  ProPure is the best gravity-fed filter out there.
[00:29:46.163 --> 00:29:47.483]  It's what my family uses.
[00:29:47.743 --> 00:29:50.944]  Infowars.com already has the lowest price on ProPure.
[00:29:51.044 --> 00:29:56.306]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:29:56.866 --> 00:29:59.427]  You can also call to order.
[00:29:59.447 --> 00:29:59.487]  888-253-3139.
[00:29:59.587 --> 00:30:02.927]  Hi, this is Alex Jones.
[00:30:02.967 --> 00:30:08.309]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:30:08.549 --> 00:30:13.190]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[00:30:13.570 --> 00:30:18.651]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:30:19.151 --> 00:30:23.832]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:30:24.372 --> 00:30:31.277]  They call it a survival seed bank and it can produce an endless supply of nutrient dense food for you and your family.
[00:30:31.477 --> 00:30:32.377]  And here's the best part.
[00:30:32.598 --> 00:30:35.379]  These seeds have not been genetically modified in any way.
[00:30:35.660 --> 00:30:38.962]  And you actually get enough seeds to plant a full acre crisis garden.
[00:30:39.282 --> 00:30:42.124]  So visit them today at survivalseedbank.com.
[00:30:42.484 --> 00:30:45.466]  That's survivalseedbank.com or give them a call at 877-327-0365.
[00:30:45.486 --> 00:30:45.726]  That's 877-327-0365.
[00:30:45.746 --> 00:30:45.986]  Remember,
[00:30:54.412 --> 00:30:57.995]  In a real crisis, non-hybrid seeds are the ultimate barter item.
[00:30:58.336 --> 00:31:00.698]  This is Alex Jones for survivalseedbank.com.
[00:31:01.425 --> 00:31:04.507]  Alex Jones here with a very important announcement for truth seekers.
[00:31:04.888 --> 00:31:10.612]  We've carried a lot of amazing films and books over the years on the online video bookstore at Infowars.com.
[00:31:10.832 --> 00:31:17.236]  And out of all the titles we've carried, one stands out because it is just so chillingly convincing.
[00:31:17.416 --> 00:31:22.840]  And that's Dreams from My Real Father by Joel Gilbert, available at Infowars.com.
[00:31:23.120 --> 00:31:26.763]  This film exposes the fraud that Obama is like nothing I've seen.
[00:31:26.923 --> 00:31:30.506]  If you want to know who Obama's real daddy is, this is the film for you.
[00:31:30.746 --> 00:31:35.129]  Don't forget, your purchase supports our broadcast and our growing media network.
[00:31:35.349 --> 00:31:41.394]  You'll also find at Infowarshop.com, None Dare Call a Conspiracy by Gary Allen, the book that woke me up.
[00:31:41.694 --> 00:31:45.977]  We're also carrying Behind the Green Mask, UN Agenda 21, by Rosa Corey.
[00:31:46.137 --> 00:31:48.779]  This book is coffin nails to the globalist takeover.
[00:31:49.079 --> 00:31:55.623]  The Greater Good, the most professional and up-to-date film I've ever seen exposing the scourge that is vaccines.
[00:31:55.924 --> 00:32:00.627]  These titles and a lot more are all available at InfoWarshop.com.
[00:32:02.248 --> 00:32:16.698]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:32:17.717 --> 00:32:21.419]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:32:22.399 --> 00:32:34.405]  Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:32:35.165 --> 00:32:42.429]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:32:43.129 --> 00:32:52.714]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:32:53.494 --> 00:32:56.756]  As well, we are always ready to answer any questions you may have.
[00:32:57.416 --> 00:33:00.618]  That's www.SilverLungs.com.
[00:33:02.659 --> 00:33:03.820]  Coast to Coast.
[00:33:04.200 --> 00:33:05.500]  Direct from Austin.
[00:33:06.241 --> 00:33:09.462]  You're listening to the Alex Jones Broadcasting Network.
[00:33:22.365 --> 00:33:31.490]  Alright, in just a few minutes we're going to be joined by John B. Wells, the Saturday night host of Coast to Coast AM.
[00:33:32.070 --> 00:33:35.012]  This is Mike Adams here, hosting for Alex Jones today.
[00:33:35.072 --> 00:33:35.772]  Thanks for joining us.
[00:33:36.513 --> 00:33:44.337]  I'm the editor of NaturalNews.com, known as the Health Ranger, and I've got a little bit of a personal story for you about health transformation.
[00:33:45.297 --> 00:33:49.886]  Many of you may not know this, but a decade ago, I was borderline obese.
[00:33:50.046 --> 00:33:51.809]  I was borderline type 2 diabetic.
[00:33:52.330 --> 00:33:53.693]  I was hypoglycemic.
[00:33:53.974 --> 00:33:54.975]  I mean, I was in bad shape.
[00:33:56.187 --> 00:33:57.348]  I had chronic pain.
[00:33:57.388 --> 00:33:58.269]  I had high cholesterol.
[00:33:58.309 --> 00:34:00.170]  I had depression.
[00:34:00.190 --> 00:34:02.692]  I had a lot of things wrong, you know, health-wise.
[00:34:02.732 --> 00:34:03.933]  I was eating a junk food diet.
[00:34:04.314 --> 00:34:05.715]  I was taking medications.
[00:34:06.495 --> 00:34:07.496]  I wasn't aware.
[00:34:07.516 --> 00:34:08.237]  I wasn't awakened.
[00:34:08.257 --> 00:34:09.678]  I wasn't informed like I am now.
[00:34:09.998 --> 00:34:11.540]  But I've learned so much since then.
[00:34:11.580 --> 00:34:24.790]  In fact, that's sort of how I came onto the scene, was teaching people about nutrition and the transformative power of superfoods and great nutrition and how that can just absolutely transform not just your body, but your mind as well.
[00:34:26.138 --> 00:34:26.618]  You know, it's funny.
[00:34:27.179 --> 00:34:30.320]  I just got to plug this product here.
[00:34:30.540 --> 00:34:31.481]  It's called Enerfood.
[00:34:31.581 --> 00:34:34.422]  It's at the InfoWars store, which is InfoWarsStore.com.
[00:34:34.762 --> 00:34:44.327]  And the reason I have to mention this is because I gave this company my Editor's Choice Award years before InfoWars ever even started carrying it.
[00:34:44.687 --> 00:34:45.867]  This product is so good.
[00:34:45.907 --> 00:34:47.168]  It's so nutrient-dense.
[00:34:47.828 --> 00:34:50.850]  I wish I'd had this available 10 years ago when I was getting healthy.
[00:34:51.250 --> 00:34:52.130]  I had to use other things.
[00:34:52.170 --> 00:34:54.111]  It was hard kind of to mix it all up myself.
[00:34:54.211 --> 00:34:54.872]  But today,
[00:34:55.672 --> 00:35:00.576]  You can get this, Enerfood, it's E-N-E-R, food, at the Infowars store.
[00:35:00.596 --> 00:35:01.957]  They have all their products there.
[00:35:01.977 --> 00:35:03.418]  They're really just quite amazing.
[00:35:03.438 --> 00:35:04.799]  You know, I've, um...
[00:35:05.902 --> 00:35:12.944]  I mean, you talk about nutrient-dense superfoods, we're talking about seaweeds with the trace minerals, with the iodine, we're talking about the microalgae, the chlorella, the spirulina.
[00:35:13.284 --> 00:35:25.668]  And by the way, I mix this, believe it or not, listen carefully, I mix this with chocolate, that is cacao powder, and avocado, yes, a fresh avocado, blended with almond milk.
[00:35:26.348 --> 00:35:38.057]  So if you blend, again, enter food with cacao and almond milk and an avocado and a little bit of sweetener like palm sugar or stevia or raw honey, you are going to have a delicious shake.
[00:35:38.377 --> 00:35:40.819]  It tastes like a chocolate ice cream shake.
[00:35:41.299 --> 00:35:42.220]  I kid you not.
[00:35:42.801 --> 00:35:45.082]  A lot of people say, what, you're drinking avocados?
[00:35:45.122 --> 00:35:45.923]  That sounds weird.
[00:35:47.364 --> 00:35:49.266]  Not in Latin America, it doesn't seem weird.
[00:35:49.326 --> 00:35:50.687]  Not in Asia, it doesn't seem weird.
[00:35:50.727 --> 00:35:52.869]  Only in America, people do not really drink avocados.
[00:35:53.530 --> 00:35:56.793]  Believe me, it tastes like ice cream because avocados are fatty and rich.
[00:35:58.857 --> 00:35:59.778]  I'm actually drooling right now.
[00:35:59.918 --> 00:36:00.679]  I gotta get some of this.
[00:36:01.059 --> 00:36:03.342]  But anyway, check that out at InfoWarsStore.com.
[00:36:03.362 --> 00:36:04.483]  It's a very good product.
[00:36:04.543 --> 00:36:11.790]  And lastly, before we go to John Wells, you know, the deal is, I'm a big advocate of what I call Patriot Nutrition.
[00:36:12.111 --> 00:36:14.313]  And by Patriot, I mean people who believe in America.
[00:36:14.793 --> 00:36:16.575]  You know, people who believe in the Founding Fathers.
[00:36:16.996 --> 00:36:21.821]  People who believe in the Bill of Rights and the Constitution and keeping our oaths to protect those rights.
[00:36:22.341 --> 00:36:23.881]  So that's America to me, you know.
[00:36:24.161 --> 00:36:27.882]  These globalists running the show in Washington, they are not America.
[00:36:27.982 --> 00:36:29.023]  That's not real America.
[00:36:29.723 --> 00:36:35.344]  I'm all for empowering and protecting real America, and you gotta remember the nutritional component, folks.
[00:36:35.904 --> 00:36:39.285]  If you have good nutrition, you have better automatic night vision.
[00:36:39.325 --> 00:36:43.246]  I mean, literal biological night vision works better when you have good nutrition.
[00:36:43.746 --> 00:36:47.007]  You heal faster, you deal with stress better, you're more fertile.
[00:36:47.147 --> 00:36:49.548]  I mean, your reproductive organs even work better.
[00:36:49.588 --> 00:36:50.388]  Here, there's a better shot.
[00:36:51.325 --> 00:36:51.625]  I don't know.
[00:37:09.522 --> 00:37:13.645]  Now, thanks for your attention on that issue of huge importance.
[00:37:13.665 --> 00:37:15.667]  I want to introduce John B. Wells now.
[00:37:15.747 --> 00:37:17.908]  Many of you are probably already familiar with him.
[00:37:18.228 --> 00:37:21.431]  He's just an all-around awesome dude, I gotta tell ya.
[00:37:22.071 --> 00:37:25.154]  He's obviously the Saturday night host of Coast to Coast AM.
[00:37:25.874 --> 00:37:28.356]  He is a musician, a writer, a composer.
[00:37:28.376 --> 00:37:30.378]  He's into martial arts.
[00:37:30.578 --> 00:37:31.659]  He's into liberty.
[00:37:31.739 --> 00:37:40.166]  He's been all over working on Discovery Channel's Deadliest Catch and Gold Rush because of his incredible voice talent that you're going to hear.
[00:37:40.627 --> 00:37:49.874]  He's got a website called caravan2midnight.com, caravan2midnight.com, where he offers and discusses some solutions for
[00:37:50.615 --> 00:38:04.545]  being exposed to radiation and and other threats to your health and I encourage you to check out that website and he joins us now for the next roughly hour and twenty minutes to talk about a number of subjects but especially what we see is the coming collapse.
[00:38:04.645 --> 00:38:07.006]  John B. Wells, welcome to the Alex Jones Show.
[00:38:10.871 --> 00:38:12.252]  You referred to me as the dude.
[00:38:12.952 --> 00:38:13.933]  That's quite an honor, Mike.
[00:38:13.973 --> 00:38:14.333]  Thank you.
[00:38:14.973 --> 00:38:15.373]  The dude.
[00:38:15.413 --> 00:38:19.896]  That's not a reference to Lebowski or that movie, but yeah.
[00:38:20.256 --> 00:38:21.156]  Well, it's true.
[00:38:21.196 --> 00:38:22.337]  The dude abides, you know.
[00:38:23.838 --> 00:38:24.578]  Most definitely.
[00:38:24.638 --> 00:38:26.059]  Well, John, welcome to the show.
[00:38:26.099 --> 00:38:27.080]  It's great to have you on.
[00:38:27.240 --> 00:38:28.200]  Thank you for having me.
[00:38:28.760 --> 00:38:29.281]  Absolutely.
[00:38:29.481 --> 00:38:36.204]  So, I don't know if you heard what we covered earlier, but Department of Homeland Security has been monitoring InfoWars.com.
[00:38:36.304 --> 00:38:37.325]  What do you think about that?
[00:38:39.465 --> 00:38:40.065]  Hi, Janet.
[00:38:40.946 --> 00:38:42.606]  I think you're so, I think you're adorable.
[00:38:42.626 --> 00:38:43.627]  I think you're so cute.
[00:38:44.287 --> 00:38:45.247]  It doesn't surprise me.
[00:38:46.168 --> 00:38:54.371]  You know, Mike, just to start, I know we don't want to be men who multiply at the words without wisdom or knowledge.
[00:38:55.411 --> 00:38:58.993]  But if the capability is there, eventually it's going to be used.
[00:39:00.197 --> 00:39:07.619]  Frankly, I'm shocked that we haven't learned they've been monitoring InfoWars for as long as it's been on the air.
[00:39:07.639 --> 00:39:10.020]  As long as they've been able to monitor it.
[00:39:10.420 --> 00:39:12.601]  I'm shocked to find out that we're just finding out.
[00:39:13.081 --> 00:39:15.942]  Well, they probably have been monitoring it for as long as it's been on.
[00:39:16.202 --> 00:39:18.403]  We just finally got the FOIA documents.
[00:39:18.903 --> 00:39:19.703]  That's the situation.
[00:39:21.533 --> 00:39:34.820]  You know, at every university registration back in the day, I was approached by some people who began speaking to me about, for one reason or another, probably just dumb luck, I managed to score pretty high on these national tests, and they would come to talk to me.
[00:39:35.700 --> 00:39:36.821]  And they would say odd things.
[00:39:36.901 --> 00:39:44.344]  It didn't take very long to map out a profile of their psychology.
[00:39:45.505 --> 00:39:49.987]  So, you just said, well, they probably have been monitoring us.
[00:39:50.107 --> 00:39:50.528]  It's true.
[00:39:50.708 --> 00:39:51.088]  And now,
[00:39:52.526 --> 00:39:55.527]  Now comes the part where they tell us we are monitoring you.
[00:39:57.107 --> 00:39:58.248]  Right, it's out in the open.
[00:39:58.968 --> 00:40:04.049]  Yeah, and I think it's an intimidation technique to just let it ride.
[00:40:04.089 --> 00:40:11.411]  Maybe they just cop to the fact that one person can cause so many problems if they get loose and they have a little bit of...
[00:40:12.703 --> 00:40:14.605]  And the field is tilted a little bit in their favor.
[00:40:14.625 --> 00:40:16.046]  They can be quite destructive.
[00:40:16.146 --> 00:40:21.751]  Well, John, is that because the truth is now so dangerous that they have to try to intimidate those who share the truth?
[00:40:21.791 --> 00:40:25.234]  I mean, you're the Coast to Coast AM Saturday night host.
[00:40:25.314 --> 00:40:28.256]  You help a lot of people have a voice to share the truth.
[00:40:28.737 --> 00:40:33.060]  You know, here you are on the Alex Jones Show and you've hosted the show before as well.
[00:40:34.061 --> 00:40:35.983]  Is the truth that dangerous in America today?
[00:40:36.823 --> 00:40:48.009]  Well, you can see me on the video, so it's different than if you're hearing me go, uh, well, because it's not that I'm confused or lost or, you know, recovering from an overdose of cough syrup.
[00:40:48.029 --> 00:41:01.597]  It's because I have to continually weigh the option of asking or stating something and determine if it should be asked.
[00:41:02.384 --> 00:41:06.686]  Or stated, so that's the long answer, that's the long way to your answer, which is a resounding yes.
[00:41:06.726 --> 00:41:14.570]  The truth is, is potentially dangerous, because the other component is, who will react to it, and how will they react?
[00:41:15.750 --> 00:41:26.115]  Well, maybe that's what they're afraid of, that if people really knew the truth, that, you know, people would, I don't know, take their money out of the banks, or buy more ammo, as the DHS itself is doing.
[00:41:26.155 --> 00:41:29.757]  What, what do you think, what actions do you think they might be afraid of, John?
[00:41:33.416 --> 00:41:40.141]  Well, ultimately I think they're afraid of a physical show of something that could be perceived as force.
[00:41:40.782 --> 00:41:49.348]  Much the way that the Wall Street protesters were eventually, you know, manhandled and booted out.
[00:41:50.209 --> 00:41:54.853]  It didn't get as ugly as it could have been, but there was the potential for it to be ugly.
[00:41:55.458 --> 00:42:01.060]  Well, maybe that's why they took it over, but I didn't mean to sort of ambush you with this one question.
[00:42:01.120 --> 00:42:03.121]  I mean, you brought a lot of issues to the show.
[00:42:03.462 --> 00:42:07.723]  What's on your mind as the big things that we need to talk about and know about today?
[00:42:08.564 --> 00:42:10.505]  Well, I hope you didn't think that was some sort of a stall.
[00:42:10.585 --> 00:42:11.365]  It's not.
[00:42:12.005 --> 00:42:19.769]  Last night on Coast, for example, and I'll have to take the long way to answer your question there, too, we had called the show The Two Franks.
[00:42:20.849 --> 00:42:24.831]  We had Frank Wuko and Frank Vernuccio.
[00:42:26.022 --> 00:42:32.125]  And Frank Wuko has a website where he actually portrays a terrorist talking about how much they hate.
[00:42:33.185 --> 00:42:33.585]  They hate.
[00:42:34.606 --> 00:42:43.829]  They must destroy because they hate and bring about, you know, it's just the same stuff that you can get on a cartoon version of, uh, that would be in Thailand.
[00:42:44.290 --> 00:42:45.410]  John, I gotta interrupt you here.
[00:42:45.430 --> 00:42:52.933]  We're about to go to break, but hold that thought and we'll be right back in a few minutes right here on the Alex Jones Show with John B. Wells.
[00:42:52.953 --> 00:42:53.673]  So stay with us.
[00:42:54.054 --> 00:42:54.774]  We'll be right back.
[00:43:01.755 --> 00:43:07.740]  The worst drought in 50 years continues, and the first six months of 2012 marks the hottest half year on record.
[00:43:07.920 --> 00:43:10.683]  78% of the Midwest corn belt is in drought conditions.
[00:43:10.883 --> 00:43:15.967]  Not only corn, but soy, alfalfa, fruits, vegetables, and wheat are all impacted, raising prices.
[00:43:16.268 --> 00:43:20.952]  The cost to feed livestock is forcing farmers and ranchers out of business, blowing up your food prices.
[00:43:21.232 --> 00:43:28.597]  The only strategy to counter this is to freeze your food cost at today's prices by getting your own supply of foods from eFoods Direct now.
[00:43:28.877 --> 00:43:32.579]  As the price of raw ingredients increases, eFoods will have to raise prices too.
[00:43:32.739 --> 00:43:34.320]  Now is the time to get your supply.
[00:43:34.521 --> 00:43:38.403]  I recently increased my supply from eFoods Direct because we've all known this was coming.
[00:43:38.543 --> 00:43:41.165]  You know about their delicious long-term storable foods.
[00:43:41.445 --> 00:43:44.066]  The fact is, you can eat at any time to save money today.
[00:43:44.226 --> 00:43:48.648]  And because it's stored for 25 years, you're locking in today's prices and avoiding the rising food cost.
[00:43:48.788 --> 00:43:49.309]  Don't wait!
[00:43:49.429 --> 00:43:51.290]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex.
[00:43:51.310 --> 00:43:52.870]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:43:52.890 --> 00:43:54.431]  You can bet your life on efoodsdirect.
[00:44:01.494 --> 00:44:06.737]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:44:06.997 --> 00:44:09.199]  Start purifying your water with ProPure.
[00:44:09.399 --> 00:44:18.344]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure, and it's available discounted at InfoWars.com.
[00:44:18.504 --> 00:44:21.686]  Its filters are silver impregnated to prevent bacterial growth.
[00:44:21.946 --> 00:44:23.367]  There's no priming required.
[00:44:23.627 --> 00:44:25.669]  It's NSF-42 certified.
[00:44:25.909 --> 00:44:28.390]  Optional fluoride filters can reduce fluoride up to 95%.
[00:44:29.531 --> 00:44:30.792]  Easy to set up and use.
[00:44:30.992 --> 00:44:32.292]  Doesn't require electricity.
[00:44:32.412 --> 00:44:35.273]  Purify water from lakes, streams, ponds, and wells.
[00:44:35.593 --> 00:44:38.755]  This filter system leaves in beneficial minerals, which is key.
[00:44:38.975 --> 00:44:42.956]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[00:44:43.117 --> 00:44:45.718]  ProPure is the best gravity-fed filter out there.
[00:44:45.838 --> 00:44:47.158]  It's what my family uses.
[00:44:47.418 --> 00:44:50.620]  Infowars.com already has the lowest price on ProPure.
[00:44:50.740 --> 00:44:56.022]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:44:56.762 --> 00:45:00.745]  You can also call to order 888-253-3139.
[00:45:01.666 --> 00:45:04.889]  Supernatural silver is not an ionic or a colloidal silver.
[00:45:05.149 --> 00:45:10.733]  It is a nanocatalytic silver salt technology with superior benefits to the colloidal silvers of yesterday.
[00:45:10.753 --> 00:45:14.156]  This new molecular structure is permanently bonded to water.
[00:45:14.436 --> 00:45:20.741]  It is the only water-soluble silver that is 99% bioavailable and non-toxic with no known side effects.
[00:45:21.241 --> 00:45:28.823]  Silversol's patented technology has advanced antibacterial, antiviral, and antifungal properties with a 15-year shelf life.
[00:45:29.223 --> 00:45:34.864]  It can be used internally as well as topically and is one of the most important items needed in any emergency.
[00:45:35.384 --> 00:45:42.126]  Independent testing from universities, hospitals, military, and private labs make this the most proven product in the industry.
[00:45:42.526 --> 00:45:44.708]  No silver solution is better or safer.
[00:45:45.089 --> 00:45:47.772]  Protect yourself and your loved ones and be prepared.
[00:45:48.012 --> 00:45:55.080]  Go to www.SupernaturalSilver.com and don't forget to use the promo code AlexSays for 20% off.
[00:45:55.420 --> 00:45:58.944]  Go to www.SupernaturalSilver.com today!
[00:46:03.098 --> 00:46:10.765]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:46:11.205 --> 00:46:14.829]  Alex and his staff have used these pure soap products for years.
[00:46:15.269 --> 00:46:22.095]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:46:22.595 --> 00:46:25.398]  See them on the web at 5starsoap.com.
[00:46:25.598 --> 00:46:30.101]  Or call 800-340-7091 for a free catalog.
[00:46:30.441 --> 00:46:36.105]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:46:36.385 --> 00:46:41.488]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:46:41.789 --> 00:46:43.410]  This is an amazing deal.
[00:46:43.770 --> 00:46:48.373]  You can save thousands of dollars and you will love the way Real Soap makes you feel.
[00:46:49.013 --> 00:46:51.175]  See them on the web at 5starsoap.com
[00:46:52.055 --> 00:46:56.659]  Or call 800-340-7091 for a free catalog.
[00:47:02.644 --> 00:47:03.825]  Coast to Coast.
[00:47:04.185 --> 00:47:05.587]  Direct from Austin.
[00:47:06.227 --> 00:47:09.450]  You're listening to the Alex Jones Broadcasting Network.
[00:47:23.547 --> 00:47:31.266]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:47:33.519 --> 00:47:34.740]  Welcome back to the show.
[00:47:34.840 --> 00:47:38.182]  Mike Adams, the Health Ranger, here today filling in for Alex Jones.
[00:47:38.242 --> 00:47:38.942]  Thank you for joining us.
[00:47:38.962 --> 00:47:43.965]  We've got John B. Wells as our featured guest, and we're going to go to him in just a second.
[00:47:43.985 --> 00:47:45.906]  But first, got to get this out there.
[00:47:46.346 --> 00:47:55.952]  Because of the assault on our Second Amendment rights in this country, I've just released two video mini-documentaries that you can find on YouTube right now.
[00:47:56.392 --> 00:47:57.933]  I put those out late last night.
[00:47:57.973 --> 00:48:00.695]  I want to give you the titles because I know that all Alex Jones listeners
[00:48:01.315 --> 00:48:02.856]  And viewers will want to see these videos.
[00:48:02.876 --> 00:48:09.321]  The first one is called The Divine Right of Self-Defense, and the second one is called Gun Control is Genocide.
[00:48:09.841 --> 00:48:14.764]  So check out those two videos again, The Divine Right of Self-Defense and Gun Control is Genocide.
[00:48:14.784 --> 00:48:23.891]  This provides the philosophical argument for why self-defense and the Second Amendment is so crucial for humanitarian reasons, if not other reasons.
[00:48:24.571 --> 00:48:26.693]  Check out those two videos and again thanks for joining us.
[00:48:26.713 --> 00:48:28.455]  We're going to go straight to John B. Wells.
[00:48:28.495 --> 00:48:33.840]  Now John is of course the host of the Saturday night edition of Coast to Coast AM.
[00:48:33.860 --> 00:48:43.951]  He's also got a fantastic voice that we're all envious of here in the InfoWars studios and his website is caravan2midnight.com where you can find information
[00:48:44.651 --> 00:48:48.132]  On radiation protection devices and solutions.
[00:48:48.172 --> 00:48:49.173]  So check out that website.
[00:48:49.593 --> 00:48:59.157]  Now, John, we promised, or at least I promised my audience that we would get into some preparedness information and talk about what we think might be a coming financial crisis.
[00:48:59.937 --> 00:49:01.137]  You want to get into some of that right now?
[00:49:02.198 --> 00:49:05.079]  Yeah, but let's finish up where we left off, if you don't mind.
[00:49:05.139 --> 00:49:10.881]  I just want this a great way to, I think, maybe answer your question about the danger of the information.
