[00:00:22.415 --> 00:00:25.816]  Greetings, it's InfoWars Nightly News, it's your Friday edition.
[00:26:10.483 --> 00:26:12.464]  They're going to use this as just a precursor.
[00:26:12.704 --> 00:26:14.805]  They're going to go after these guys and you're like, yeah, go get them.
[00:26:14.825 --> 00:26:17.966]  They shouldn't be selling, you know, pirated NFL merchandise.
[00:26:18.006 --> 00:26:19.486]  But that's not where it's going to stop.
[00:26:19.866 --> 00:26:20.306]  Believe me.
[00:26:20.907 --> 00:26:21.707]  It doesn't stop there.
[00:26:21.747 --> 00:26:24.628]  It stops at your blog, you posting your opinion.
[00:26:26.035 --> 00:26:28.458]  That's all we have today except our daily quote.
[00:26:29.499 --> 00:26:31.361]  Our quote of the day comes from Robert Heinlein.
[00:26:31.601 --> 00:26:32.702]  Very short, very sweet.
[00:26:33.163 --> 00:26:35.705]  Secrecy is the beginning of tyranny.
[00:26:36.066 --> 00:26:36.787]  Robert A. Heinlein.
[00:26:38.066 --> 00:26:38.647]  There you go.
[00:26:39.628 --> 00:26:44.333]  And there was a Secret Society speech that President Kennedy made just a few days before he was shot.
[00:26:44.353 --> 00:26:51.261]  It talks about Secret Societies and Secret O's are repugnant, especially to a free republic like ours.
[00:26:51.281 --> 00:26:56.427]  Coming up next, Bloodlines of the Illuminati, a bombshell interview with...
[00:26:57.208 --> 00:26:58.569]  The one and only Fritz Springmeier.
[00:26:58.649 --> 00:27:00.710]  Alex is going to do an over 30 minute interview with him.
[00:27:00.730 --> 00:27:09.655]  If you like what you're seeing here and you're watching this on YouTube and you're not a member, please consider supporting us at PrisonPlanet.tv or InfoWarsNews.com.
[00:27:09.675 --> 00:27:18.100]  I think today is our last day to get 44% off the yearly special and we also have a 10-day trial, or 15-day trial that you can try out.
[00:27:18.660 --> 00:27:20.021]  Give us a try, see if you like us.
[00:27:20.421 --> 00:27:22.242]  We're doing this every day of the week.
[00:27:22.582 --> 00:27:23.583]  We're going to keep on doing it.
[00:27:24.523 --> 00:27:30.130]  As long as the governments out there are causing problems for free-loving individuals like ourselves.
[00:27:30.550 --> 00:27:31.471]  With that, I'm Rob Due.
[00:27:31.511 --> 00:27:35.136]  You can send me emails at robd at Infowars.com.
[00:27:35.696 --> 00:27:37.799]  And Alex will be right back after this short break.
[00:27:38.219 --> 00:27:38.620]  Stay tuned.
[00:27:45.242 --> 00:27:47.044]  Greetings, fellow InfoWarriors.
[00:27:47.684 --> 00:27:55.411]  Alex Jones here, announcing the first of many trips that I'm going to take across this wonderful United States that we live in.
[00:27:55.732 --> 00:28:05.641]  And we get so busy here at InfoWars.com, the nightly news, the daily radio show, the documentary films, and all the other things we're doing that I tend to never go out and give speeches anymore.
[00:28:06.061 --> 00:28:09.784]  And I've got a lot of ideas bubbling around in my head about the history of the New World Order.
[00:28:10.064 --> 00:28:11.465]  What makes them tick and how to defeat them.
[00:28:11.765 --> 00:28:14.147]  So I'm titling this key speech I'm going to give.
[00:28:14.767 --> 00:28:16.348]  It'll run around two hours long.
[00:28:16.968 --> 00:28:18.750]  Blueprint to Defeat the New World Order.
[00:28:19.030 --> 00:28:24.774]  And we're also going to have a surprise premiere of a short documentary film we've been working on at the event.
[00:28:25.214 --> 00:28:27.335]  First off, I'm going to be going to Dallas, Texas.
[00:28:27.736 --> 00:28:29.277]  Sunday, February 19th, 2012.
[00:28:29.437 --> 00:28:32.159]  To the historic Lakewood Theater.
[00:28:32.719 --> 00:28:36.923]  And the next Sunday, February 26th, I'm going to be in Orlando, Florida.
[00:28:37.583 --> 00:28:43.249]  You can find out more about the events and buy tickets at infowars.com forward slash events.
[00:28:44.212 --> 00:28:47.634]  Now, unfortunately, every event I've ever had, we've had to turn people away.
[00:28:48.255 --> 00:28:52.157]  So get your tickets early at InfoWars.com forward slash events.
[00:28:52.477 --> 00:28:54.419]  There's a lot of crazy stuff going on in this world.
[00:28:55.119 --> 00:28:57.661]  The craziest of all is this explosive awakening.
[00:28:58.341 --> 00:29:00.102]  I can't wait to meet you and shake your hand.
[00:29:00.543 --> 00:29:02.544]  I'll see you in Dallas and I'll see you in Orlando.
[00:29:03.184 --> 00:29:05.146]  InfoWars.com forward slash events.
[00:29:13.496 --> 00:29:17.599]  Yeah, I'm signing these evil 1776 flags.
[00:29:17.699 --> 00:29:25.244]  Doesn't get any more out of control than that, ladies and gentlemen.
[00:29:26.745 --> 00:29:29.207]  It's pretty un-American, what we're doing here at InfoWars.com.
[00:29:29.367 --> 00:29:37.653]  I mean, not only are we promoting liberty, but we're selling 1776 flags.
[00:29:37.673 --> 00:29:39.154]  Now that...
[00:29:41.147 --> 00:29:41.507]  We're good.
[00:29:59.551 --> 00:30:04.515]  And welcome back to InfoWars Nightly News, another bifurcated transmission.
[00:30:05.016 --> 00:30:12.763]  We had Rob Dew doing a great job in the earlier news segment today, and now we're going to be joined by Fritz Springmeier.
[00:30:12.783 --> 00:30:24.133]  I had him on a few weeks ago, back on yesterday on the radio, but I wanted to have him back here commercial-free for 30 minutes or so to expand our discussion of the New World Order's goals, the way they're controlling us,
[00:30:25.033 --> 00:30:34.658]  And how it ties in with his seminal work, Bloodlines Illuminati, which, by the way, is available at InfoWars.com and is back in print.
[00:30:35.859 --> 00:30:37.720]  Very, very exciting to see that happening.
[00:30:37.760 --> 00:30:51.348]  And Fritz, who's published more than 15 books, is getting his publishing company back going, selling some of the books that he had in storage, and is now having the bank not just put a hold on his money, but take it!
[00:30:52.308 --> 00:30:54.408]  And we're not going to get too much into all the details.
[00:30:54.449 --> 00:30:59.109]  Everybody's familiar with this, that this is a new phenomenon in the last few years under the Patriot Act.
[00:30:59.510 --> 00:31:00.810]  It happens to our operation.
[00:31:01.150 --> 00:31:02.830]  It happens to little old ladies I know.
[00:31:03.230 --> 00:31:04.331]  It happens to my dad.
[00:31:04.691 --> 00:31:05.951]  It happens to everybody.
[00:31:06.191 --> 00:31:11.712]  Or when you try to use your credit card or your debit card to get gas, it says fraud control calls up to check.
[00:31:12.572 --> 00:31:14.513]  We're guilty until proven innocent.
[00:31:14.953 --> 00:31:16.493]  When you go to get a rent car, they're asking
[00:31:16.513 --> 00:31:17.053]  Where you going?
[00:31:17.073 --> 00:31:17.594]  What you doing?
[00:31:17.614 --> 00:31:18.395]  Oh, you're visiting your mom?
[00:31:18.415 --> 00:31:18.935]  How's she?
[00:31:19.656 --> 00:31:20.977]  All going into a database.
[00:31:21.377 --> 00:31:23.238]  And the average American is not being told this.
[00:31:23.258 --> 00:31:25.220]  We're being treated like we're the bad guys.
[00:31:26.321 --> 00:31:33.547]  We're not the ones that the Justice Department caught framing people all across the United States with 98% fraudulent conviction rates in federal court.
[00:31:33.567 --> 00:31:35.488]  Do you really believe 98% of people are guilty?
[00:31:35.568 --> 00:31:35.768]  No.
[00:31:35.969 --> 00:31:37.530]  They have picked juries.
[00:31:37.830 --> 00:31:40.172]  They have lying federal informants that lie about people.
[00:31:40.472 --> 00:31:42.474]  The court system, all of it's discredited.
[00:31:43.354 --> 00:31:44.896]  And expanding on that,
[00:31:46.850 --> 00:31:58.077]  The system is now setting up this giant cashless control grid, where you think Bank of America was bad and others announcing $5 fees to use your debit card?
[00:32:01.118 --> 00:32:13.005]  The globalists are admitting that once they have their global cashless society and even to use cash, there's going to be a camera there at the cash register that checks your digital photo, face scan, with the driver's license database.
[00:32:13.185 --> 00:32:13.926]  This is all admitted!
[00:32:15.230 --> 00:32:22.278]  They're talking about now adding biometrics face scan on top of groping your wife and children and putting in a microwave oven at the TSA.
[00:32:22.298 --> 00:32:23.680]  The TSA is now on the highways.
[00:32:23.960 --> 00:32:27.504]  They're training all of the vendors at the Super Bowl to spy on patrons.
[00:32:27.564 --> 00:32:29.407]  Next year it rolls out to all Super Bowls.
[00:32:31.223 --> 00:32:33.063]  This is all about total control.
[00:32:33.163 --> 00:32:36.124]  No Fifth Amendment, no Fourth Amendment, no nothing.
[00:32:36.484 --> 00:32:38.605]  It is a complete revolution against our Republic.
[00:32:38.845 --> 00:32:48.107]  So we'll start with that with Fritz Springmeier, who after being a political prisoner, and I've looked at the case, completely set up years after the fact for a bank robbery he didn't commit.
[00:32:48.267 --> 00:32:49.907]  Guy with no criminal record before that.
[00:32:50.267 --> 00:32:53.248]  Total set up with the feds on him because of this book.
[00:32:53.908 --> 00:32:55.209]  You talk about incendiary.
[00:32:56.069 --> 00:32:57.750]  I wish the stuff in this book wasn't true.
[00:32:58.271 --> 00:33:00.572]  When I first read it in the late 90s, I didn't believe a lot of it.
[00:33:01.092 --> 00:33:04.514]  But later, separately, it continued to confirm much of what's in here.
[00:33:04.915 --> 00:33:05.875]  And that's why they went after him.
[00:33:06.215 --> 00:33:10.518]  So I hope and pray if they ever set me up with some crime I didn't commit, that you'll stand up for us as well.
[00:33:11.418 --> 00:33:16.241]  Because we have a government that ships guns into Mexico, and drugs back into the U.S.
[00:33:16.281 --> 00:33:20.123]  to blame the Second Amendment, and got caught, and no one has gotten in trouble.
[00:33:20.404 --> 00:33:22.365]  We have MF Global tied in with the White House.
[00:33:23.698 --> 00:33:25.579]  Stealing a billion, two hundred million dollars.
[00:33:25.619 --> 00:33:27.480]  Getting in no trouble, caught stealing it.
[00:33:27.761 --> 00:33:29.061]  And they're just like, that's what we do now.
[00:33:29.502 --> 00:33:31.903]  They've now announced they've taken all the veterans pension funds.
[00:33:32.303 --> 00:33:33.524]  Those will be IOUs now.
[00:33:33.564 --> 00:33:35.225]  The federal pension funds have all been drained.
[00:33:35.485 --> 00:33:36.626]  That was in the news last week.
[00:33:36.966 --> 00:33:37.466]  IOUs.
[00:33:37.666 --> 00:33:40.828]  They're bringing it all down with martial law over it.
[00:33:41.189 --> 00:33:42.810]  All the investments, all the savings.
[00:33:43.710 --> 00:33:44.811]  They've destroyed the family.
[00:33:44.951 --> 00:33:46.953]  Everything is falling apart by design.
[00:33:47.313 --> 00:33:48.354]  Order out of chaos.
[00:33:48.835 --> 00:33:50.096]  So, Fritz Springmeier joins us.
[00:33:50.116 --> 00:33:54.199]  If you want the book, Bloodlines of the Illuminati, you can get it at InfoWars.com.
[00:33:54.219 --> 00:33:55.700]  That also supports our transmission.
[00:33:55.720 --> 00:34:01.986]  But also, Fritz Springmeier, again, trying to get all 16, 17 of his books back in print, or is it 19 total?
[00:34:02.166 --> 00:34:03.107]  I know a few are pamphlets.
[00:34:04.868 --> 00:34:06.889]  Trying to take a little bit of money.
[00:34:06.929 --> 00:34:10.792]  We've given him to deposit it and from the books We bought from him other books.
[00:34:10.812 --> 00:34:16.175]  He's selling himself that he has a little bit of in storage They're out of print basically trying to do that.
[00:34:16.655 --> 00:34:22.679]  He's been there with his bank for since he got out of jail a year ago and Even when the checks clear they just take it and say we're keeping it
[00:34:23.960 --> 00:34:26.042]  I mean, this is the new America.
[00:34:26.562 --> 00:34:29.025]  And this is the system where they turn you off.
[00:34:29.065 --> 00:34:30.166]  They turn your card off.
[00:34:30.466 --> 00:34:31.487]  They turn everything off.
[00:34:31.747 --> 00:34:33.609]  And no one's allowed to buy or sell.
[00:34:34.010 --> 00:34:37.533]  And they're saying TSA will control the streets of America as the brown shirts.
[00:34:37.793 --> 00:34:39.555]  You won't be able to have a job unless they approve it.
[00:34:39.835 --> 00:34:41.957]  The unions are already voluntarily doing this.
[00:34:42.338 --> 00:34:44.020]  It is a total reign of darkness.
[00:34:44.580 --> 00:34:45.300]  That is being set up.
[00:34:45.320 --> 00:34:55.283]  They're harassing the Amish, the farmers, arresting people with lemonade stands, going after all people that are trying to be self-sufficient.
[00:34:55.823 --> 00:34:56.623]  It's just amazing.
[00:34:57.203 --> 00:34:59.084]  Fritz Springmeier, thank you for coming on with us.
[00:34:59.124 --> 00:35:02.905]  So let's break down this Orwellian cashless society.
[00:35:04.431 --> 00:35:06.052]  Yes, great to be on, thank you.
[00:35:06.072 --> 00:35:21.459]  Yeah, I wanted to emphasize that because in talking with a lot of youngsters, I realize that they grew up with this police state and they really don't understand the enormity of what you're talking about.
[00:35:21.539 --> 00:35:22.680]  They think this is normal.
[00:35:23.640 --> 00:35:25.420]  This tyranny is not normal.
[00:35:25.500 --> 00:35:30.501]  They've gotten us really prepared for this Orwellian newspeak that they have.
[00:35:30.521 --> 00:35:34.202]  You know, war is peace, freedom is slavery, ignorance is strength.
[00:35:34.422 --> 00:35:37.043]  So they're calling this tyranny security.
[00:35:37.543 --> 00:35:39.423]  So they can come along.
[00:35:39.483 --> 00:35:41.304]  I know this case of this grandmother.
[00:35:41.644 --> 00:35:44.944]  She had saved her money in a mattress.
[00:35:44.984 --> 00:35:46.265]  She didn't trust the banks.
[00:35:46.685 --> 00:35:50.766]  And she's moving from her place to move in with her daughter.
[00:35:50.826 --> 00:35:53.006]  And she's going through the airport with all this cash.
[00:35:53.446 --> 00:36:00.051]  Well, now they assume that you are guilty until proven innocent, so they seize the money from her.
[00:36:00.312 --> 00:36:04.695]  And of course, she didn't have any money to get an attorney to get her money back.
[00:36:04.755 --> 00:36:05.896]  She just got robbed.
[00:36:06.576 --> 00:36:10.780]  By the way, I was about to say, I was about to say, Fritz, it's worse than innocent.
[00:36:11.660 --> 00:36:13.942]  Or, you're supposed to be innocent until proven guilty.
[00:36:14.242 --> 00:36:16.004]  It's worse than guilty until proven innocent.
[00:36:16.444 --> 00:36:18.886]  It's, we're taking the cash out of your wallet.
[00:36:19.447 --> 00:36:26.113]  There are cases in Texas and other areas where they pull over old ladies, this has been on CNN, and they got two grand in their wallet.
[00:36:26.133 --> 00:36:27.274]  They say, why do you have this?
[00:36:27.334 --> 00:36:28.315]  Well, I'm Depression-era.
[00:36:28.715 --> 00:36:29.936]  I keep a lot of money on me.
[00:36:29.956 --> 00:36:30.616]  And they go, nope!
[00:36:31.457 --> 00:36:34.019]  Our new kangaroo law, we can just take that.
[00:36:34.039 --> 00:36:35.540]  No judge, no jury, no arrest.
[00:36:35.840 --> 00:36:36.921]  You can't prove it's yours.
[00:36:37.261 --> 00:36:40.063]  Even when people have bank receipts now, they're taking cash.
[00:36:40.463 --> 00:36:45.166]  When they raid houses for other reasons, find nothing wrong, find $10,000 and you're safe, they just take it.
[00:36:45.466 --> 00:36:47.288]  It's a criminal group of scum.
[00:36:47.528 --> 00:36:48.548]  I'm sorry, but you're right.
[00:36:48.789 --> 00:36:53.932]  You're guilty until robbed and enslaved and gang-raped by narcotics trafficking goons.
[00:36:54.192 --> 00:36:56.333]  It's not guilty until proven innocent.
[00:36:56.373 --> 00:36:58.275]  It's guilty until we totally enslave you.
[00:36:59.687 --> 00:37:04.608]  That's correct, and so after I was on your show yesterday, I got to deal with that.
[00:37:04.748 --> 00:37:10.150]  I got my money back, but welcome to the New World Order!
[00:37:13.530 --> 00:37:18.512]  So, you know, a picture of how the founders of this country would feel if
[00:37:20.972 --> 00:37:43.163]  If these kind of controls have been put on them back then in the revolution, you know, okay, you gotta license your horse and have your horse inspected by the government before you can ride it, and you gotta have emissions controls on your horse, and you gotta have a license plate on your horse, and driver's license to ride the horse, and then a separate driver's license for your buggy, and on and on, and all these taxes.
[00:37:43.823 --> 00:37:45.365]  How would they have felt, you know?
[00:37:45.485 --> 00:37:47.887]  I mean, this was not what was intended.
[00:37:48.507 --> 00:37:56.855]  And the youngsters that have grown up in this police state, they really don't understand that this is not the way it was when I was young.
[00:37:58.980 --> 00:37:59.741]  It's changed.
[00:38:00.361 --> 00:38:02.182]  The police used to be your friend.
[00:38:03.383 --> 00:38:04.804]  They were there to protect you.
[00:38:04.844 --> 00:38:05.964]  They were there to help you.
[00:38:06.545 --> 00:38:10.727]  But now they're out looking for someone's head to bash in.
[00:38:11.327 --> 00:38:15.650]  And, you know, it's just so totally different.
[00:38:17.951 --> 00:38:20.313]  It's not got the same feel at all.
[00:38:20.473 --> 00:38:22.294]  And the youngsters don't realize this.
[00:38:23.533 --> 00:38:41.146]  So, where we're going with all of this is, you know, increasingly the government's taking more control, but they're being very sly about this, and that's where having the bigger picture helps, because it's more than the government.
[00:38:41.547 --> 00:38:48.092]  It's the people that are controlling the government, the families we've been talking about, the families that the bloodlines we were...
[00:38:48.812 --> 00:38:51.956]  that are exposed in this Bloodlines of the Illuminati book.
[00:38:52.377 --> 00:38:57.723]  So the corporations are in cahoots with this whole thing.
[00:38:58.064 --> 00:38:59.305]  So what you're seeing is
[00:39:00.865 --> 00:39:04.748]  Our cars are increasingly being controlled by the internet.
[00:39:04.948 --> 00:39:15.775]  As we go on through the next few years, they'll even take driving your car away from you and your car will be controlled through the internet, along with the rest of the cars on the road.
[00:39:16.495 --> 00:39:21.719]  So, you know, we already have these smart cars that talk back to us and decide what they're going to do.
[00:39:22.760 --> 00:39:25.902]  It's going to be increasingly that way and people don't
[00:39:26.682 --> 00:39:33.506]  People's guard is not up because they don't realize that these corporations don't have their best interest.
[00:39:35.026 --> 00:39:51.855]  No, they want to force all of us into an artificial environment, a controlled artificial habitat where everything is digital so they can track, trace and force fines and fees and things onto that that you can't escape.
[00:39:52.395 --> 00:39:55.458]  And so it's about an artificial system where you're dependent on them.
[00:39:55.918 --> 00:40:02.163]  They admit this, and that's why they're coming after the underground economy, garage sales.
[00:40:02.523 --> 00:40:07.808]  I saw a Fox News headline, $15 million fine for garage sale.
[00:40:07.828 --> 00:40:10.010]  And I didn't believe it, and I went and read, and there it was.
[00:40:10.030 --> 00:40:10.430]  What?
[00:40:11.331 --> 00:40:12.432]  Yes, I'm not joking.
[00:40:13.573 --> 00:40:23.598]  If they say you sold a recalled toy, even though you didn't know, or a table, or any of tens of thousands of recalled things every year, you then get a million dollar fine.
[00:40:24.258 --> 00:40:28.780]  And if they catch multiple items, it's up to 15 mil, and they come and just take your house.
[00:40:29.041 --> 00:40:35.424]  So again, here's all the big banks, offshore corporations, tax exempt, involved in every crime you can imagine.
[00:40:36.873 --> 00:40:40.038]  And meanwhile they're throwing the book at the general public.
[00:40:40.058 --> 00:40:45.425]  These are just monopoly men and we're getting so close to this control grid being in place.
[00:40:47.207 --> 00:40:48.870]  Yes, very close.
[00:40:51.429 --> 00:40:59.731]  And so that's what we're dealing with here, and it's important for people to understand that there's controllers beyond the government.
[00:40:59.771 --> 00:41:01.892]  There's controllers beyond the corporations.
[00:41:02.252 --> 00:41:10.114]  The corporations, the government, they're like unfriendly fronts for these power structures behind them.
[00:41:12.154 --> 00:41:15.939]  Same way with the organized religion.
[00:41:16.159 --> 00:41:25.850]  Organized religion has been set up to a large degree to control people, but who's controlling those organized religions?
[00:41:25.910 --> 00:41:29.635]  What semi-secret fraternal organization is controlling it?
[00:41:29.955 --> 00:41:30.455]  And then what?
[00:41:31.016 --> 00:41:33.658]  And then who's controlling those fraternal organizations?
[00:41:33.718 --> 00:41:38.221]  So it's like an onion that has layers and layers and layers to it.
[00:41:38.302 --> 00:41:54.594]  And what I've been doing is, over the last 25 years, is I've been peeling those onion, layers of the onion, free, and describing them to people in books like the one that you've been talking about, The Bloodlines of the Illuminati.
[00:41:56.024 --> 00:42:01.466]  Now, some people think you can't defeat the New World Order, but it's not even our job to defeat it.
[00:42:01.506 --> 00:42:07.148]  It's our job to stand up against evil and help others, because we don't fear those that kill the body, those that kill the soul.
[00:42:07.608 --> 00:42:11.530]  And the globalists themselves, as you know, they're all into the soul, the essence.
[00:42:11.570 --> 00:42:15.231]  They want to program us, they want to take free will, but
[00:42:16.071 --> 00:42:17.392]  But we are having victories.
[00:42:17.432 --> 00:42:19.432]  The problem is people are asleep.
[00:42:19.492 --> 00:42:20.353]  They're in a trance.
[00:42:20.393 --> 00:42:22.093]  They're given a great delusion.
[00:42:22.133 --> 00:42:23.514]  But there is a great awakening.
[00:42:24.014 --> 00:42:26.635]  Even Zbigniew Brzezinski is now writing a new book about this.
[00:42:26.675 --> 00:42:27.976]  Hillary Clinton is admitting it.
[00:42:28.456 --> 00:42:31.017]  I don't think that the globalists are invincible.
[00:42:32.717 --> 00:42:34.338]  But I want to get your take and view on that.
[00:42:35.475 --> 00:42:37.736]  Wow, I'm glad you brought that up.
[00:42:38.597 --> 00:42:44.900]  This whole interview is unrehearsed, so I didn't know what we would really be discussing, but that's great.
[00:42:45.341 --> 00:42:46.621]  Yes, there is hope.
[00:42:47.642 --> 00:43:01.150]  And I was asked to be the main speaker down in Ashland recently, and I met a group of young people who are dynamically creating alternative technologies to
[00:43:02.051 --> 00:43:10.844]  To give us back our freedom and make a self-reliant perpetual motion machines and stuff like this.
[00:43:10.885 --> 00:43:13.228]  They've really done a lot of incredible stuff.
[00:43:14.190 --> 00:43:19.532]  There is a lot of technology out there that could solve the problems that we have.
[00:43:19.932 --> 00:43:35.419]  So I would just encourage people not to lose hope, but to turn their focus away from the controlled corporations who are only giving us technology in a controlled fashion.
[00:43:36.019 --> 00:43:43.388]  And look to people like this young community down there in Ashland that has viable solutions.
[00:43:43.448 --> 00:43:45.070]  There are solutions out there.
[00:43:45.090 --> 00:43:46.411]  Well that's what I was about to say.
[00:43:46.471 --> 00:43:48.253]  We've got to stop using the big mega banks.
[00:43:48.273 --> 00:43:50.315]  We've got to start using local banks and credit unions.
[00:43:50.996 --> 00:43:57.040]  We've got to abolish the money monopoly power of the private Federal Reserve and get the currency back under the U.S.
[00:43:57.080 --> 00:44:03.143]  government control and create state banks and alternative state currencies that's in the Constitution or local barter economies.
[00:44:03.443 --> 00:44:04.864]  We've got to stop eating GMO.
[00:44:04.904 --> 00:44:07.285]  We've got to support the local businesses.
[00:44:07.325 --> 00:44:12.128]  We've got to shop at second-hand stores for clothes and goodwill that sometimes has the coolest stuff ever.
[00:44:12.408 --> 00:44:16.931]  We've got to stop buying whatever the big corporate plastic culture hype is
[00:44:17.591 --> 00:44:19.713]  And be ourselves and true individuals.
[00:44:20.073 --> 00:44:21.814]  That's how the globalists can't control us.
[00:44:21.934 --> 00:44:30.882]  Everything they do is about trying to force us into their controlled parameters and the fake choices that they give us that are no choices at all.
[00:44:31.702 --> 00:44:33.984]  We've got to start organic gardening ourselves.
[00:44:34.004 --> 00:44:41.090]  We've got to start even with small steps, little things, and getting to know our neighbors and not watching as much mainline television.
[00:44:41.510 --> 00:44:47.951]  And all of this coming out of the system because it's all about, again, forcing us into this artificial habitat, controlling us.
[00:44:48.011 --> 00:44:49.011]  I wanted to ask you about this.
[00:44:49.391 --> 00:44:53.352]  New Jersey, Arkansas, other states, now that cities all over the U.S.
[00:44:53.432 --> 00:45:04.374]  and Europe and Canada and Australia and New Zealand are saying, we're not going to put toxic fluoride and other chemicals that the toxic waste companies sell us and make us pay for with their lobbyists in our water.
[00:45:04.614 --> 00:45:07.674]  The states are coming in and saying, it's the law you'll drink this substance.
[00:45:08.054 --> 00:45:10.795]  And now California says, we'll give your kids shots.
[00:45:11.275 --> 00:45:13.919]  Even if you don't say they can, we'll do it.
[00:45:13.979 --> 00:45:19.206]  I mean, they're really showing who they are, showing that they know there's a rebellion taking place.
[00:45:19.526 --> 00:45:20.327]  Can you speak to that?
[00:45:22.009 --> 00:45:22.209]  Wow!
[00:45:23.050 --> 00:45:32.777]  It's exactly what you're talking about, how they're going to make our decisions and control us, and they're going to shove this poison down us whether we want it or not.
[00:45:33.958 --> 00:45:34.298]  Wow!
[00:45:35.119 --> 00:45:45.566]  Those are amazing things, and to think that they're happening here in a country that considers itself the land of the free, it's just outrageous.
[00:45:48.348 --> 00:45:53.071]  Yeah, when I was a teacher years ago, I had to bump into this.
[00:45:53.492 --> 00:46:00.256]  The government was trying to get me to report on what parents had not gotten shots for their children.
[00:46:00.696 --> 00:46:06.920]  And I was like thinking to myself, who made me a policeman for the world order, you know?
[00:46:06.940 --> 00:46:09.102]  Yeah, that's indentured servitude.
[00:46:10.672 --> 00:46:25.767]  Yeah, yeah, they're getting a free policeman out of the teachers and my son was going to Christian parochial school and the teacher was having the students
[00:46:26.167 --> 00:46:50.933]  This was, he was 14, the teacher was having the students spy, this was back in 1990, was having the students spy on their parents, keep secret journals, this was in a Christian parochial school, and they were not, and the parents were not to be informed of this, and I caught wind of it, and I asked her, well who told you to do this?
[00:46:51.313 --> 00:46:54.134]  Well they're teaching the Christian teachers
[00:46:55.004 --> 00:46:57.606]  In state-run schools.
[00:46:58.267 --> 00:47:04.613]  To become certified as a teacher, you have to go through a state program, and they teach them to spy.
[00:47:05.233 --> 00:47:09.897]  Now, now, that sounds incredible, but Pete, this is in my film The Takeover, now out for 12 years.
[00:47:10.458 --> 00:47:12.279]  We have the documents and the news articles.
[00:47:12.299 --> 00:47:13.560]  When I first saw it, I didn't believe it.
[00:47:14.021 --> 00:47:17.284]  All over the country, they have six-month programs in 6th and 7th grade.
[00:47:17.344 --> 00:47:19.065]  I remember when I was in high school, I didn't take it.
[00:47:19.906 --> 00:47:25.629]  It's called law enforcement in intermediate school, in public school, but it's also in private.
[00:47:26.529 --> 00:47:33.693]  And then they have other programs where a local deputy is certified by ATF and it says they'll have access to the kids on the playground, all this other stuff.
[00:47:34.013 --> 00:47:38.516]  And they have them writing journals about their family life for the police.
[00:47:38.596 --> 00:47:39.996]  What's in the medicine cabinet?
[00:47:40.817 --> 00:47:45.199]  They give them cards and say you get money put on this when you turn people in for stuff.
[00:47:45.279 --> 00:47:46.380]  What's mommy doing?
[00:47:47.020 --> 00:47:53.284]  And now, it's across the board this is going on in the government training centers, and they're being public about it.
[00:47:53.324 --> 00:48:07.114]  And remember two years ago, Philadelphia, and it turned out other cities, Sacramento, the laptops, the free laptops that taxpayers pay for, were watching the kids at home, and the schools announced it, and nobody got in trouble, and this is the new way they do it.
[00:48:07.834 --> 00:48:16.317]  And now they're putting cameras from Tennessee to, you name it, in the showers at the public schools, saying we must watch your children, something might happen.
[00:48:16.337 --> 00:48:17.537]  So they're just training us.
[00:48:17.557 --> 00:48:19.958]  TSA will grope your daughters and sons and wives.
[00:48:20.218 --> 00:48:22.919]  We will watch your daughters in the showers.
[00:48:23.619 --> 00:48:25.500]  We will tell them to spy on you.
[00:48:25.800 --> 00:48:27.320]  We will frisk them in the school.
[00:48:27.340 --> 00:48:29.821]  I mean, we're just being taught to be total prisoners.
[00:48:30.081 --> 00:48:34.583]  The whole country, the whole world, is turning incrementally into a giant re-education camp.
[00:48:35.984 --> 00:48:40.029]  Yes, and then they're going to shove down what kind of poisonous water they want.
[00:48:40.389 --> 00:48:44.153]  They're going to give us what kind of food with poisons that they want.
[00:48:44.714 --> 00:48:51.962]  All in order to keep us weak and unhealthy because we're easier to control when we're not healthy.
[00:48:53.164 --> 00:48:55.567]  Yeah, it should outrage people.
[00:48:57.523 --> 00:49:00.326]  Well, again, they had a more incremental timeline.
[00:49:00.366 --> 00:49:03.069]  I know you concur with this in your analysis, but I want you to speak to this.
[00:49:03.509 --> 00:49:14.661]  They wanted more incremental, but they got so behind, and then people started waking up, so now they're accelerating, and it's going to be a wild period, but I don't see it going well for them.
[00:49:14.681 --> 00:49:15.602]  Fred, what's your view on that?
[00:49:17.784 --> 00:49:19.126]  They've had their ups and downs.
[00:49:21.318 --> 00:49:23.079]  Things did get slowed down.
[00:49:23.499 --> 00:49:31.622]  They initially were on the fast track, and then they switched to the slow track, which their slow track is way too fast for me.
[00:49:31.642 --> 00:49:36.404]  I don't know where we are.
[00:49:36.424 --> 00:49:41.485]  I know that they're scrambling with their backup plans.
[00:49:43.286 --> 00:49:46.028]  But they have such enormous amount of power.
[00:49:46.888 --> 00:49:55.594]  The thing that keeps me going is, is I have faith in a good higher power that I know that whatever they do, they're being allowed to do.
[00:49:55.654 --> 00:50:04.520]  It's like Christ before, you know, when he was standing trial that last day, he said, unless this power was given to you by God, you wouldn't have the power.
[00:50:05.041 --> 00:50:12.766]  And so I rest in that assurance that eventually, you know, God's going to bring good out of everything.
[00:50:13.426 --> 00:50:23.493]  But like you say, we as good, decent people need to stand up for what's right.
