[00:00:00.229 --> 00:00:01.151]  Welcome to GCN.
[00:43:30.573 --> 00:43:32.174]  I mean, it's just unbelievable.
[00:43:32.394 --> 00:43:37.518]  And then you send them, it's happened to white kids, Hispanic as well, to the colleges of crime.
[00:43:38.632 --> 00:43:40.597]  Where that's, it's like hunting.
[00:43:40.637 --> 00:43:43.244]  It's like Comanche Indians raiding other Indians.
[00:43:43.285 --> 00:43:46.493]  That's the, you know, the manly thing is to go out and rob liquor stores.
[00:43:48.126 --> 00:43:50.167]  And the rap music put out by MTV.
[00:43:50.187 --> 00:43:51.969]  I mean, I've talked to high-level folks at MTV.
[00:43:51.989 --> 00:43:52.829]  I'm just going to leave it at that.
[00:43:53.009 --> 00:43:53.750]  Boy, this is big.
[00:43:54.811 --> 00:44:00.494]  In 1996 or so, and they're telling people, we're now going to put out gangster death rap, cop killer rap.
[00:44:00.855 --> 00:44:05.598]  We're going to kill rock and roll and all the rest of the music because this is the message that the establishment wants.
[00:44:05.638 --> 00:44:09.540]  They force-fed that to destroy the entire culture.
[00:44:09.560 --> 00:44:11.482]  A lot of people say, oh, good.
[00:44:11.522 --> 00:44:12.042]  I'm racist.
[00:44:12.062 --> 00:44:12.943]  Destroy the black people.
[00:44:12.983 --> 00:44:14.003]  Sell the drugs in their neighborhood.
[00:44:14.324 --> 00:44:17.306]  It's like the Godfather line, which is very accurate about
[00:44:18.426 --> 00:44:21.829]  I don't want it sold to kids, keep it with the colored people.
[00:44:23.710 --> 00:44:25.932]  They're animals anyways, let them lose their souls.
[00:44:26.252 --> 00:44:29.234]  That is the racist attitude that's going on.
[00:44:29.254 --> 00:44:35.419]  But folks, that's a no pun intended black hole to suck everyone into it.
[00:44:36.508 --> 00:44:38.170]  Okay, that is what it is.
[00:44:38.610 --> 00:44:39.691]  It's so dehumanizing.
[00:44:39.911 --> 00:44:43.114]  The globalists, people say, oh, kill them Arabs, just nuke their whole area.
[00:44:43.335 --> 00:44:45.777]  Good, I'm glad we've got Al-Qaeda over there killing them.
[00:44:45.817 --> 00:44:46.257]  I've heard that.
[00:44:46.678 --> 00:44:47.158]  So what?
[00:44:47.198 --> 00:44:48.219]  Just let them kill each other.
[00:44:48.239 --> 00:44:49.300]  Yeah, we're using Al-Qaeda.
[00:44:49.320 --> 00:44:50.061]  Big deal, Alex.
[00:44:50.782 --> 00:44:52.643]  Well, they're using Al-Qaeda to take my rights, too.
[00:44:53.164 --> 00:44:58.229]  The globalists hate the American people because we have a history of liberty and fighting back more than anybody.
[00:44:58.509 --> 00:45:00.271]  They hate us a lot more than the Arabs.
[00:45:01.158 --> 00:45:03.859]  So you're like, hey, let the blacks die, kill each other.
[00:45:03.899 --> 00:45:06.239]  Hey, let the Arabs kill each other.
[00:45:06.279 --> 00:45:07.499]  Get, get, get, get, get.
[00:45:07.539 --> 00:45:09.660]  You know, Roscoe Pico train.
[00:45:09.700 --> 00:45:11.180]  Hey, boss hog, get, get, get.
[00:45:11.580 --> 00:45:15.421]  There's all these people that think they're part of the power structure who aren't.
[00:45:15.801 --> 00:45:18.622]  Look, you can't do bad stuff to other people and not have it come back on you.
[00:45:20.883 --> 00:45:21.143]  Okay?
[00:45:21.203 --> 00:45:22.643]  I mean, it is just unbelievable.
[00:45:23.695 --> 00:45:24.815]  And here's what's happening.
[00:45:25.095 --> 00:45:26.516]  There is a collective consciousness.
[00:45:26.536 --> 00:45:30.097]  There's a collective, it's been scientifically proven with computer breakdowns.
[00:45:30.697 --> 00:45:31.898]  Sixth Sense has been proven.
[00:45:31.918 --> 00:45:39.860]  They don't know really how it works, but it's the same way I believe fish and birds, and we're even more advanced, know when a tornado's coming, know when the cold front's coming to fly south.
[00:45:40.800 --> 00:45:42.861]  It's why, it's been proven.
[00:45:43.921 --> 00:45:50.203]  Because that's why we used to go down to Ambergris Key in Belize, because we had friends that were microbiologists with government grants who lived on Ambergris Key.
[00:45:50.543 --> 00:45:52.144]  So my parents would go a lot more than I did.
[00:45:53.445 --> 00:46:14.878]  And they were studying lobsters and groupers and things, but it's now been proven, off that 30-year research, that lobsters, a half a day before a big storm hits, in the coral that beats them to death, that's how ancient natives knew that when a hurricane was coming, before the wind was even blowing, when it was blue skies, a half day, a day, sometimes two days before,
[00:46:15.859 --> 00:46:23.527]  The natives say, when the lobsters come out of their holes and walk out into the underwater sand dunes, a hurricane's coming.
[00:46:24.648 --> 00:46:38.202]  And it turns out all ancient cultures that lived in Pacific areas or tropical areas, in their own translations say, when the lobsters walk, or when the crabs leave their holes and go out into the deeper water.
[00:46:41.904 --> 00:46:42.685]  I mean, how do they know?
[00:46:42.705 --> 00:46:45.567]  The brain, folks, is an incredible computer.
[00:46:46.088 --> 00:46:53.074]  And it's been proven humans, that guys type in, you know, studies prove birds and fish, but it's also humans.
[00:46:53.194 --> 00:46:57.438]  Birds and fish have magnetic sensor cells.
[00:46:59.161 --> 00:47:00.722]  And they've proven humans have a sixth sense.
[00:47:00.742 --> 00:47:01.782]  You know when somebody's looking at you?
[00:47:02.542 --> 00:47:07.084]  I can't tell you how many times I've been on our family ranch that doesn't have a lot of poachers on it.
[00:47:07.384 --> 00:47:07.844]  It's big.
[00:47:08.084 --> 00:47:10.165]  We've had it since the 1830s.
[00:47:11.145 --> 00:47:24.910]  And I'm walking through Total Woods, you know, a mile from any people, and I'm walking in the woods and I feel somebody looking at me, and I feel it, and I walk through a glade through an opening and somebody's like, oh, am I not supposed to be over here?
[00:47:24.950 --> 00:47:26.491]  And a guy's up in a tree stand.
[00:47:29.107 --> 00:47:32.108]  Well, I mean, you know, the guy had a rifle out and was sitting there like an idiot.
[00:47:32.168 --> 00:47:33.589]  I mean, look at that guy with the scope.
[00:47:33.889 --> 00:47:35.910]  I felt those crosshairs on the back of my head.
[00:47:37.630 --> 00:47:40.651]  One time I was down in Waco protesting the Ku Klux Klan.
[00:47:40.671 --> 00:47:42.092]  We got that video somewhere around here.
[00:47:42.112 --> 00:47:43.032]  A little bit of it's on the internet.
[00:47:43.072 --> 00:47:44.213]  Mike Hansen's got the whole thing.
[00:47:44.253 --> 00:47:44.733]  I know he does.
[00:47:44.753 --> 00:47:46.414]  Mike, can you put that up on YouTube, please?
[00:47:47.234 --> 00:47:48.595]  I know folks listen.
[00:47:48.615 --> 00:47:50.295]  He has the Mike Hansen channel on YouTube.
[00:47:50.995 --> 00:47:53.536]  And there's like a parking garage 500 yards away.
[00:47:55.498 --> 00:47:56.759]  I just kept feeling something.
[00:47:57.220 --> 00:48:03.045]  I'm protesting the Klan and they're saying, my second amendment means I have the right to kill this guy that later came out the guy was a Fed.
[00:48:03.065 --> 00:48:03.626]  I mean, I knew that.
[00:48:03.786 --> 00:48:08.010]  That's what it demonized the Second Amendment is have the Klan go around and promote it when they're actually the ones that were against it.
[00:48:09.391 --> 00:48:10.192]  And I'm sitting there.
[00:48:12.093 --> 00:48:18.255]  And I just feel it, and I look up, and I couldn't even see it 500 yards in the parking garage, the cops with sniper rifles.
[00:48:18.595 --> 00:48:21.256]  I just walked towards it, and there were the cops.
[00:48:21.536 --> 00:48:25.877]  As I walked up, and Mike's with me, he's got, with the gun, on me.
[00:48:27.618 --> 00:48:31.759]  And I went over to the police, and I said something, and they said, get out of here, Jones.
[00:48:31.819 --> 00:48:34.060]  And it turned out, they knew the Klan were feds.
[00:48:35.302 --> 00:48:39.083]  And they had called the Klan out to support the Branch Davidians, who didn't want them.
[00:48:39.103 --> 00:48:42.844]  About half the Davidians were Hispanic or Black, just to demonize the Davidians.
[00:48:42.864 --> 00:48:46.426]  And the cops were all in on it, the Sheriff's Department, the McClellan County Sheriff's Department.
[00:48:46.486 --> 00:48:48.986]  I mean, that is the dirtiness of this country.
[00:48:50.267 --> 00:48:53.228]  That is how dirty, dirty, dirty.
[00:48:53.748 --> 00:48:59.890]  And I was looking, and the cops had their guns on us, the protesters, and not on the Klan.
[00:49:02.090 --> 00:49:05.452]  And I was wearing a t-shirt and blue jeans, but I looked like I had some backpack and was suspicious.
[00:49:05.712 --> 00:49:07.394]  They knew I was in McClellan County.
[00:49:07.454 --> 00:49:08.174]  That's the county, isn't it?
[00:49:08.474 --> 00:49:10.956]  We had just built a memorial church for all those that died there.
[00:49:13.778 --> 00:49:15.579]  That's America, ladies and gentlemen.
[00:49:16.580 --> 00:49:17.441]  That's America.
[00:49:18.161 --> 00:49:19.602]  That's the kind of stuff that goes on.
[00:49:19.762 --> 00:49:21.804]  And I was getting off into this.
[00:49:21.824 --> 00:49:23.585]  The point is, there's a sixth sense.
[00:49:25.308 --> 00:49:34.873]  And collectively they've pumped the image through the media and the culture that we're animals, we're ugly, we're bad, we need to die, there needs to be a bioweapon release, the world's be better off without humans.
[00:49:35.353 --> 00:49:43.317]  They've sold that idea so that we collectively download that and decide we're failures so that we'll go out and be failures.
[00:49:45.629 --> 00:49:50.293]  And this isn't metaphysical, like it's some magic thing, like the secret, you say it'll happen, it will.
[00:49:50.934 --> 00:49:55.518]  You say it'll happen, you start believing it'll happen, you will take actions that will make it happen.
[00:49:55.858 --> 00:49:58.240]  Not, it just appears like a genie gave it to you.
[00:49:59.561 --> 00:50:02.544]  If it's possible, if it's... We're made the image of the creator of the universe, folks.
[00:50:02.584 --> 00:50:03.344]  We are creators.
[00:50:03.885 --> 00:50:04.906]  We're little creators.
[00:50:05.466 --> 00:50:06.267]  But look what we've built.
[00:50:08.953 --> 00:50:11.534]  And the devil and his fallen angels, they are not creators.
[00:50:11.574 --> 00:50:15.815]  They have to manipulate us to build things they want, and they want to play God.
[00:50:16.135 --> 00:50:19.136]  And even if you don't believe in all that, the elite believe in it, so they're manifesting that.
[00:50:20.836 --> 00:50:24.697]  You notice revelations are starting to unfold with the chips and the Big Brother and all the rest of it.
[00:50:24.917 --> 00:50:26.898]  And believe me, folks, you're not going to get raptured out of this.
[00:50:28.427 --> 00:50:29.148]  That's a distortion.
[00:50:30.048 --> 00:50:34.632]  And so you better make sure you get your soul right and on the right side of this because that's all that matters.
[00:50:34.672 --> 00:50:37.014]  No matter what happens to your body, folks, you're going to die anyways.
[00:50:37.355 --> 00:50:46.923]  You've got to step across the fear line into the empowerment area and realize that we all collectively are wishing for our own destruction right now.
[00:50:47.263 --> 00:50:48.945]  At some level, we all hate ourselves.
[00:50:49.525 --> 00:50:50.786]  Because we're not righteous.
[00:50:51.326 --> 00:50:52.466]  We have become degenerate.
[00:50:52.846 --> 00:50:55.948]  I'll get into Bob Costa speaking of degenerate.
[00:50:56.028 --> 00:51:01.130]  It is degenerate to blame law-abiding citizens for what a bunch of gang-banging drug addicts do.
[00:51:01.790 --> 00:51:04.271]  And we're going to talk about this demon and play these clips coming up.
[00:51:04.291 --> 00:51:04.711]  Stay with us.
[00:51:06.178 --> 00:51:15.145]  If you've ever wanted to be able to produce boiling hot water anytime, anywhere, with absolutely no power whatsoever, then this is going to be the most important message you'll ever hear.
[00:51:15.205 --> 00:51:15.846]  Here's why.
[00:51:15.866 --> 00:51:22.051]  There's a brand new self-reliance product available that makes producing piping hot water in any emergency fast and easy.
[00:51:22.191 --> 00:51:25.013]  Introducing the Hot Water Rocket from Solutions from Science.
[00:51:25.053 --> 00:51:30.217]  The Hot Water Rocket is lightweight, extremely durable, and generates boiling hot water using only the sun.
[00:51:30.257 --> 00:51:30.998]  Simply add water
[00:51:30.998 --> 00:51:31.398]  We're good to go!
[00:52:01.231 --> 00:52:10.313]  Hello, this is Ty Bollinger, author of the best-selling book, Cancer Step Outside the Box.
[00:52:10.973 --> 00:52:13.113]  I want you to know some very important information.
[00:52:14.014 --> 00:52:22.356]  In 1985, President Ronald Reagan requested that carnivora be sent directly to the White House at a time when only the President could obtain this world-class healer.
[00:52:22.976 --> 00:52:27.877]  Now, 27 years later, carnivora capsules are used around the world to keep people healthy.
[00:52:28.513 --> 00:52:39.476]  Now you can protect yourself and your loved ones in this age of superbugs with 17 naturally occurring compounds that instinctively respond to abnormal cells only without harming a single normal cell.
[00:52:39.876 --> 00:52:46.878]  If you want to stay healthy, now's your chance to literally wake up your critical immune cells to attack harmful invaders that don't belong in your body.
[00:52:47.558 --> 00:52:51.844]  Call 1-866-VENUSFLY or order from carnivora.com.
[00:52:51.864 --> 00:52:55.048]  That's C-A-R-N-I-V-O-R-A dot com.
[00:52:55.469 --> 00:53:02.438]  That's 1-866-836-8735, 1-866-VENUSFLY or visit carnivora.com.
[00:53:02.739 --> 00:53:03.740]  Protect your immune system.
[00:53:04.020 --> 00:53:05.042]  It's the only one you've got.
[00:53:06.707 --> 00:53:13.737]  When natural disasters strike and the water supply is shut off, you won't panic because you have a CWR Emergency Water Filter.
[00:53:14.097 --> 00:53:19.364]  CWR Environmental has been supplying emergency water filters worldwide for over 25 years.
[00:53:19.725 --> 00:53:20.125]  The difference?
[00:53:20.526 --> 00:53:22.869]  CWR Emergency Water Filters are portable.
[00:53:23.129 --> 00:53:30.714]  Easy to set up and exceptional at removing bacteria, parasites, sediment, and many harmful contaminants, including chlorine and harmful microorganisms.
[00:53:31.034 --> 00:53:33.456]  Plus, they are NSF certified to assure performance.
[00:53:33.836 --> 00:53:42.062]  CWR Emergency Water Filters can produce thousands of gallons of safe drinking water from any water source and come with a 5-year warranty and money-back guarantee.
[00:53:42.382 --> 00:53:45.564]  For a limited time, the filters are specially priced with free shipping.
[00:53:45.905 --> 00:53:46.645]  Call now, 800-444-3563.
[00:53:46.685 --> 00:53:46.865]  That's 800-444-3563.
[00:53:52.449 --> 00:53:54.990]  Or go to CWRSurvival.com.
[00:53:55.230 --> 00:53:57.511]  That's CWRSurvival.com.
[00:53:57.892 --> 00:53:59.853]  CWR Emergency Water Filters.
[00:54:00.173 --> 00:54:02.754]  Drinking water you can trust for when you need it most.
[00:54:03.014 --> 00:54:04.855]  CWRSurvival.com.
[00:54:19.962 --> 00:54:21.203]  Ira hates me.
[00:54:23.439 --> 00:54:33.353]  Ira Hayes, call him Drunken Ira Hayes, he won't answer anymore.
[00:54:33.433 --> 00:54:38.379]  Not the whiskey drinkin' Indian, nor the Marine that went to war.
[00:54:44.730 --> 00:54:49.815]  Ladies and gentlemen, we are going to just have a jam-packed show today.
[00:54:50.315 --> 00:54:54.500]  We are going to release the White House footage of the Bin Laden raid.
[00:54:54.520 --> 00:54:56.742]  And yes, it's satire.
[00:54:56.782 --> 00:54:58.203]  The Easter Bunny is involved.
[00:54:58.223 --> 00:54:59.444]  Total theater.
[00:54:59.464 --> 00:55:00.746]  Zero dark Easter Bunny.
[00:55:01.586 --> 00:55:05.690]  We're going to be premiering an audio video here that breaks down the fact that it's an admitted fraud.
[00:55:06.491 --> 00:55:08.252]  With Jakari Jackson and Melissa Melton.
[00:55:09.173 --> 00:55:15.818]  And we've got a bunch of other reports we're going to be premiering and I will give the phone number out starting in the next hour to get your take on all this.
[00:55:15.898 --> 00:55:18.160]  But Bob Costa says he's not apologizing.
[00:55:18.400 --> 00:55:20.422]  He's sorry he used the NFL to do it.
[00:55:21.143 --> 00:55:24.045]  But now he's going to go grandstand and say, you know what?
[00:55:25.026 --> 00:55:26.787]  You don't have a right to own guns, okay?
[00:55:27.668 --> 00:55:31.591]  And of course that little scumbag you know has bodyguards and also has guns.
[00:55:32.779 --> 00:55:38.663]  And he's saying NFL players in their 20s and 30s are stupid and cannot be trusted.
[00:55:38.723 --> 00:55:39.924]  Let's go ahead and play this clip.
[00:55:42.405 --> 00:55:51.311]  People in all the sports on our program on Sunday night said that one year when he coached the Colts he had 80 players before they cut the roster down 80 players in training camp.
[00:55:51.732 --> 00:55:59.797]  He said how many of you guys own a gun and roughly 65 hands went up even if all those guns were obtained legally.
[00:56:00.914 --> 00:56:09.700]  You can't have 65 guys in their 20s and 30s, aggressive young men, subject to impulses, without something bad happening.
[00:56:10.220 --> 00:56:14.042]  And I posed this question, didn't have time to pose it on Sunday night, but I'll pose it here.
[00:56:14.983 --> 00:56:24.729]  Give me one example of an athlete, I know it's happened in society, but give me one example of a professional athlete, who by virtue of his having a gun,
[00:56:25.917 --> 00:56:42.844]  We need to go look that up because I've seen cases where people tried to rob professional athletes and they've protected themselves not just in football but in golf, basketball.
[00:56:43.084 --> 00:56:44.305]  I remember cases of that.
[00:56:44.725 --> 00:56:48.867]  So their idea is, of course the real FBI statistics are for every crime
[00:56:50.219 --> 00:56:55.204]  Where a gun is used, it's more than 14 times, some statistics are over 20, that it's used to frustrate crime.
[00:56:55.584 --> 00:56:57.566]  Everybody knows lower crime rates, more guns.
[00:57:00.349 --> 00:57:00.970]  It's so simple.
[00:57:01.790 --> 00:57:03.872]  You have less home invasions in areas.
[00:57:03.912 --> 00:57:06.115]  The less gun laws, the less home invasions.
[00:57:06.475 --> 00:57:08.197]  Kennesaw, Georgia made it the law.
[00:57:08.888 --> 00:57:10.309]  Decades ago, you had to own guns.
[00:57:10.349 --> 00:57:16.493]  The suburb of Atlanta, they had a crime wave and their crime dropped by 87% in one year.
[00:57:16.513 --> 00:57:18.014]  That's just department numbers.
[00:57:18.034 --> 00:57:18.755]  You can pull those up.
[00:57:19.095 --> 00:57:20.416]  There's been documentaries made about it.
[00:57:21.755 --> 00:57:24.216]  But this idea, and they go on from there.
[00:57:24.276 --> 00:57:25.677]  It goes on and on.
[00:57:25.717 --> 00:57:27.058]  It's like a seven, eight minute clip.
[00:57:27.779 --> 00:57:31.040]  We'll play some more of it coming up in the next hour, but I want to go to break with this clip.
[00:57:31.321 --> 00:57:35.183]  Bob Costas, gun control, speech response.
[00:57:35.563 --> 00:57:38.045]  This is from just a wise man on YouTube.
[00:57:38.065 --> 00:57:38.405]  Here it is.
[00:57:39.164 --> 00:57:41.767]  As far as I'm concerned, there is no current gun culture.
[00:57:42.127 --> 00:57:44.490]  America's gun culture began at its inception.
[00:57:44.610 --> 00:57:52.078]  America's gun culture will ensure more and more that the woman alone at home with her kid can protect herself when three armed men arrive at her back door.
[00:57:52.159 --> 00:57:55.182]  And attempted mass shootings will no longer end in countless lives lost.
[00:57:55.362 --> 00:57:58.946]  Where the husband and father can come home to his family after an attempted armed robbery.
[00:57:58.986 --> 00:58:07.095]  Handguns give people a fighting chance in a world where evil is no respecter of man, obeys no rules, and whose appearance cannot be determined with any precision.
[00:58:07.576 --> 00:58:10.159]  Only that its appearance will definitely be made at some point.
[00:58:10.299 --> 00:58:15.464]  In the coming days, evil will be overlooked as too easy an explanation for why Javon Belcher did what he did.
[00:58:15.484 --> 00:58:16.385]  But here's what I believe.
[00:58:16.425 --> 00:58:19.429]  You take away guns from American history, and there is no America.
[00:58:19.649 --> 00:58:23.173]  There is no platform for Bob Costa to share his opinion on national television.
[00:58:23.193 --> 00:58:26.256]  Take away guns, and you take away people's ability to protect themselves.
[00:58:26.616 --> 00:58:31.518]  You take away people's ability to protect themselves in a world where evil does everything it can to deprive us of life.
[00:58:31.558 --> 00:58:32.999]  You take away our right to life.
[00:58:33.439 --> 00:58:36.060]  In the history of man and gun, the gun has remained constant.
[00:58:36.480 --> 00:58:40.442]  Always at the mercy of man's influence to launch his projectile at an intended target.
[00:58:40.562 --> 00:58:44.383]  And as far as history is concerned, man has always determined the target, whether lawfully or not.
[00:58:44.463 --> 00:58:45.584]  Alright, we're going to break.
[00:58:45.604 --> 00:58:46.925]  We'll play the rest of this coming up.
[00:58:46.965 --> 00:58:48.065]  Second hour, stay with us.
[00:58:49.265 --> 00:58:52.727]  GCN, the Genesis Communications Radio Network.
[00:58:56.747 --> 00:59:02.611]  Now that we have moved into the winter season, there is an increased need to support our immunity and health.
[00:59:03.511 --> 00:59:09.395]  At Silverlungs, we are committed to meeting your needs by providing a full selection of silver-based products.
[00:59:10.256 --> 00:59:20.342]  Our most popular silver-based products are the 32-ounce NanoSilver solutions, our 2-ounce NanoSilver nasal applicators, as well as our all-natural silver soaps.
[00:59:21.223 --> 00:59:22.844]  Just released is our 100% natural silver gel.
[00:59:25.325 --> 00:59:31.547]  Our new silver gel is not based on synthetic gelling agents which quickly evaporate and leave the silver at the surface.
[00:59:32.267 --> 00:59:42.690]  But rather, we have formulated our silver gel using the natural skin nourishing chemistry of aloe vera to quickly penetrate and nourish the skin while delivering the silver more effectively.
[00:59:43.511 --> 00:59:51.093]  Visit www.silverlungs.com and click on our store page to find what silver based products are best for you.
[00:59:52.264 --> 00:59:55.269]  That's www.silverlungs.com.
[00:59:59.135 --> 01:00:01.058]  Waging war on corruption.
[01:00:01.539 --> 01:00:04.283]  Alex Jones on the GCM Radio Network.
[01:00:10.816 --> 01:00:14.058]  Ladies and gentlemen, we are live
[01:00:35.040 --> 01:00:41.882]  I will be giving out the phone number coming up in the next segment to take calls for at least the last hour and a half of the transmission today.
[01:00:41.902 --> 01:00:43.963]  Please have your questions and comments ready.
[01:00:44.583 --> 01:00:47.164]  Obviously, what do you think of Bob Costa's doubling down?
[01:00:47.204 --> 01:00:49.205]  That's one of the questions I'm going to be asking.
[01:00:49.725 --> 01:00:52.386]  Just basically saying men cannot be trusted to own guns.
[01:00:52.446 --> 01:00:52.926]  Men are bad.
[01:00:54.927 --> 01:00:58.229]  Government men are good, so he would like to move to North Korea.
[01:00:59.009 --> 01:01:01.690]  We have the really big news, haven't even gotten into yet in detail.
[01:01:01.710 --> 01:01:08.433]  You know, we covered McClatchy yesterday, Al-Qaeda-linked group, Syrian rebels, once denied, now key to anti-Assad victories.
[01:01:09.434 --> 01:01:22.500]  So when you're walking down the street taking photos and stuff, and the cop pulls over and says, you can't take photos in America, I'll arrest you, which happens everywhere, just constantly in the news every day, you can say, really, the government admits they run Al-Qaeda?
[01:01:23.900 --> 01:01:25.782]  Uh, and are letting him take over governments.
[01:01:25.842 --> 01:01:27.043]  I mean, I look like Al Qaeda?
[01:01:27.063 --> 01:01:28.384]  I mean, because they...
[01:01:29.766 --> 01:01:33.808]  Look, officer, I know your training manuals say it's veterans, gun owners, conservatives, libertarians.
[01:01:33.828 --> 01:01:36.529]  Do you really think we have a good government that demonizes the founding fathers?
[01:01:37.230 --> 01:01:47.814]  Why don't we stop the drama queen fake reality garbage where I'm a criminal now and everyone's a suspect and no one has rights because you're doing your job keeping us safe.
[01:01:48.415 --> 01:01:55.858]  You may not be a bad person yourself, but the system is becoming criminal and oppressive and it's time for the people to push back.
[01:01:59.700 --> 01:02:01.321]  Also, I haven't even really plugged this.
[01:02:03.062 --> 01:02:07.046]  Tonight on the nightly news, again my voice is shot if I'm laboring here, I apologize.
[01:02:11.289 --> 01:02:14.371]  I forgot to bring a bullhorn to the federal building yesterday and I screamed at him for 30 minutes.
[01:02:14.411 --> 01:02:14.932]  He just joined us.
[01:02:14.952 --> 01:02:19.135]  So it's a good thing I'm going to be taking your calls because I don't know if my voice is going to hold out.
[01:02:19.616 --> 01:02:21.377]  I don't even know if I can do the nightly news tonight.
[01:02:22.378 --> 01:02:25.660]  Because I'm telling you, after two more hours of this, I just don't know.
[01:02:25.720 --> 01:02:27.282]  I'm actually losing my voice right now.
[01:02:29.321 --> 01:02:29.921]  Sign language.
[01:02:30.121 --> 01:02:31.582]  Sign language is the answer, yes.
[01:02:32.182 --> 01:02:33.363]  Radio sign language.
[01:02:35.544 --> 01:02:38.705]  Well, you know, all the info babes on TV reading the news, that is sign language.
[01:02:40.786 --> 01:02:44.227]  What is the international sign for headlights?
[01:02:45.988 --> 01:02:46.688]  I'm out of control.
[01:02:46.788 --> 01:02:49.249]  I apologize, and I'm not going to try to be funny.
[01:02:50.710 --> 01:02:57.953]  Joe Rogan tells me I'm really funny in private, and Bill Hicks' former producer, Kevin Booth, says I'm funnier than Bill Hicks.
[01:02:59.090 --> 01:03:01.112]  I mean, not just, I don't think that's true.
[01:03:01.692 --> 01:03:06.576]  I think I could write comedy that funny, but Bill Hicks had his own funny way of delivering it, you know.
[01:03:06.596 --> 01:03:07.957]  Well, wait a minute, I am Bill Hicks.
[01:03:08.838 --> 01:03:11.360]  I had a face change and everything else.
[01:03:11.500 --> 01:03:12.381]  I am Bill Hicks.
[01:03:12.421 --> 01:03:13.121]  You didn't know that?
[01:03:15.443 --> 01:03:16.684]  You haven't heard that, CJ?
[01:03:17.765 --> 01:03:18.285]  Oh, you've heard it?
[01:03:18.606 --> 01:03:22.489]  No, I've had people come up on the street and go, man, Bill, that's just, it's so incredible.
[01:03:22.509 --> 01:03:23.630]  And I'm like, you're joking, right?
[01:03:24.462 --> 01:03:25.382]  I'm not Bill Hicks.
[01:03:26.063 --> 01:03:26.903]  I'm not Bill Hicks.
[01:03:26.943 --> 01:03:30.305]  But people always say, why don't you respond on air to the fact that you're Bill Hicks?
[01:03:30.685 --> 01:03:31.966]  I have like 10 times.
[01:03:32.566 --> 01:03:33.607]  I'm not Bill Hicks, folks.
[01:03:34.847 --> 01:03:36.288]  And yeah, Bill Hicks would be like 60.
[01:03:37.068 --> 01:03:38.569]  And I've responded to it.
[01:03:39.850 --> 01:03:43.752]  And people say, oh, why don't you respond?
[01:03:43.772 --> 01:03:49.195]  I want to create a video that we can just email people and they email us or call us or whatever.
[01:03:50.506 --> 01:03:53.728]  Where it's like an auto-response, and I could tape it now and then just use that.
[01:03:53.868 --> 01:03:55.089]  Like, why I don't respond.
[01:03:55.129 --> 01:03:58.472]  It's always, RESPOND to Genesis being owned by ABC.
[01:03:58.692 --> 01:03:59.112]  It's not.
[01:03:59.553 --> 01:04:00.213]  It's a fraud.
[01:04:00.693 --> 01:04:01.434]  It's not true.
[01:04:01.774 --> 01:04:02.995]  Never owned by ABC.
[01:04:03.616 --> 01:04:07.678]  One time we leased a satellite to be on talk radio from Clear Channel and ABC.
[01:04:08.519 --> 01:04:09.879]  Because that's who own the Starguides.
[01:04:09.899 --> 01:04:10.920]  They use different satellites now.
[01:04:11.160 --> 01:04:14.421]  They like saying I work for Apple because I have an Apple phone.
[01:04:15.141 --> 01:04:17.342]  I mean, it is just... It's COINTELPRO stuff.
[01:04:17.882 --> 01:04:20.823]  But people say, you need to respond to the fact that you're Bill Hicks.
[01:04:21.243 --> 01:04:22.843]  And folks, I am not Bill Hicks.
[01:04:23.424 --> 01:04:28.205]  So... They even went and found my high school yearbooks.
[01:04:29.866 --> 01:04:31.786]  Which is great because I can't find them.
[01:04:32.246 --> 01:04:33.667]  And my kids are always wanting to see them.
[01:04:33.927 --> 01:04:36.088]  And they scanned them for me online.
[01:04:36.108 --> 01:04:37.448]  So I'm actually pretty thankful for that.
[01:04:38.473 --> 01:04:40.695]  I found that once and sent it to you guys to save.
[01:04:41.295 --> 01:04:42.797]  I don't think I ever showed it on air, though.
[01:04:45.499 --> 01:04:49.342]  But, I mean, they actually went to the Rockwall Library and physically got them.
[01:04:49.882 --> 01:04:52.224]  By the way, I want my Anderson High yearbooks.
[01:04:52.685 --> 01:04:53.846]  I don't think I ever bought those.
[01:04:54.326 --> 01:04:55.507]  I did two years of high school here.
[01:04:56.368 --> 01:04:56.988]  Folks, don't look.
[01:04:57.028 --> 01:04:58.009]  Don't look at my Anderson High.
[01:04:58.289 --> 01:04:58.950]  Don't go find them.
[01:04:59.210 --> 01:05:00.311]  Because it's not real.
[01:05:00.971 --> 01:05:02.152]  No, no, no.
[01:05:02.192 --> 01:05:02.793]  Don't upload them.
[01:05:02.833 --> 01:05:03.373]  Don't upload them.
[01:05:03.393 --> 01:05:05.195]  See, I want those photos, so they'll go do it.
[01:05:07.611 --> 01:05:12.475]  We have witnessed two terrible storms in the East, but we are still in the eye of the perfect storm.
[01:05:13.196 --> 01:05:15.998]  The most devastating economic condition since the Great Depression.
[01:05:16.438 --> 01:05:18.800]  America's worst drought in agricultural history.
[01:05:19.241 --> 01:05:21.823]  And now the economic results of the presidential election.
[01:05:22.263 --> 01:05:25.266]  This perfect storm is a huge threat to everyone's food supply.
[01:05:25.766 --> 01:05:30.390]  I just doubled down and got even more supplies from eFoodsDirect, and I recommend you do the same.
