[00:00:00.009 --> 00:00:01.980]  Visit GCNLive.com today!
[00:38:01.676 --> 00:38:02.236]  No, no, no.
[00:38:02.276 --> 00:38:02.837]  Settle down.
[00:38:03.197 --> 00:38:04.157]  Lower the rhetoric.
[00:38:04.237 --> 00:38:05.078]  Lower the rhetoric.
[00:38:05.698 --> 00:38:06.639]  Don't get upset.
[00:38:06.699 --> 00:38:07.239]  Be quiet.
[00:38:07.279 --> 00:38:07.899]  Be reasonable.
[00:38:08.239 --> 00:38:08.960]  Compromise.
[00:38:09.460 --> 00:38:10.861]  But notice they never compromise.
[00:38:10.881 --> 00:38:12.482]  Notice their rhetoric is in our face.
[00:38:12.742 --> 00:38:13.722]  They're trying to scare us.
[00:38:13.942 --> 00:38:15.103]  They're trying to terrorize us.
[00:38:15.343 --> 00:38:16.944]  They're trying to do extreme things to us.
[00:38:17.164 --> 00:38:22.467]  They're always trying to push the envelope because they know what they're doing and they are committed.
[00:38:23.729 --> 00:38:25.870]  You're not going to negotiate with them any of that.
[00:38:26.310 --> 00:38:45.682]  And so when we, when I get up here and describe the fact that they put cancer viruses and over 200 million Americans vaccines just with polio alone, and I've got videos of the inventors bragging that they gave us cancer and laughing in a PBS television show produced in Boston, the inventors of it admitting that, well, there are too many people.
[00:38:45.722 --> 00:38:47.663]  We, yeah, yeah, yeah, we killed people.
[00:38:48.263 --> 00:38:50.544]  I mean, I've played that clip probably 40 times over the years.
[00:38:51.044 --> 00:38:57.126]  They think you're so dumb, they get on the news nationwide and tell you mercury is good for your child's brain.
[00:38:58.186 --> 00:39:02.748]  They know since the 20s that fluoride causes retardation.
[00:39:04.688 --> 00:39:09.470]  And adjuvants accelerates all the other chemicals, just as the big Harvard study just showed.
[00:39:09.490 --> 00:39:11.691]  That they're calling breakthrough.
[00:39:14.331 --> 00:39:15.892]  You think they're just hitting you with fluoride?
[00:39:17.930 --> 00:39:21.533]  They are gauging how to kill us and how to dumb us down.
[00:39:21.773 --> 00:39:24.815]  We can't get mad at the public, unable to wake up and get angry.
[00:39:25.136 --> 00:39:27.437]  A lot of them are too far gone, folks.
[00:39:27.818 --> 00:39:29.539]  These are walking casualties.
[00:39:30.259 --> 00:39:32.281]  People always say, aren't you worried about getting killed?
[00:39:32.501 --> 00:39:35.503]  Folks, there is no future if we don't beat these people.
[00:39:35.804 --> 00:39:38.786]  No, I go get in my bed at night and I go to sleep.
[00:39:39.066 --> 00:39:43.309]  I'm not worried about myself, my wife, my kids, even though I love my kids more than life itself.
[00:39:44.290 --> 00:39:46.412]  Because they don't have a future if we don't beat these people.
[00:39:47.301 --> 00:39:48.081]  It's kind of like that.
[00:39:49.001 --> 00:39:49.301]  Okay?
[00:39:49.561 --> 00:39:51.502]  The ship is in freezing water.
[00:39:51.782 --> 00:39:53.342]  It's got a time bomb in the bottom.
[00:39:53.582 --> 00:39:54.302]  It's gonna blow.
[00:39:54.522 --> 00:39:55.643]  The ship's gonna break in two.
[00:39:55.663 --> 00:39:58.843]  We're all gonna die if I don't get in there and disarm that.
[00:39:59.763 --> 00:40:01.064]  My kids are up on the deck.
[00:40:01.384 --> 00:40:03.344]  There's a bunch of globalist zombies up there.
[00:40:03.724 --> 00:40:04.704]  They're trying to stop us.
[00:40:04.925 --> 00:40:05.365]  You know what?
[00:40:05.865 --> 00:40:06.265]  You know what?
[00:40:06.585 --> 00:40:08.225]  They've got to be thrown to the wind.
[00:40:09.945 --> 00:40:12.106]  I'm being really honest with you here, ladies and gentlemen.
[00:40:12.944 --> 00:40:16.665]  Everything's gotta be thrown to the wind, because that's the only way you save us!
[00:40:17.305 --> 00:40:17.925]  You understand that?
[00:40:18.945 --> 00:40:26.487]  All this plotting, and, oh, what's the neighbor gonna think, and caring about peer pressure, I cannot believe people that are into peer pressure.
[00:40:26.927 --> 00:40:30.328]  I mean, that's so far back for me, so, so ridiculous.
[00:40:30.688 --> 00:40:42.510]  When some stupid dumbed-down zombie laughs at you, it's, it's, it's a medical issue of a poor, mentally ill, you know, artificially induced, mentally defunct person.
[00:40:44.013 --> 00:40:46.974]  It doesn't pierce me when I get ridiculed or made fun of.
[00:40:47.754 --> 00:40:49.074]  Because this is a victim.
[00:40:49.854 --> 00:41:00.096]  This is like a homeless person who's got schizophrenia from chemicals, standing on the street corner, gibbering at people, and then pointing at you and laughing at you.
[00:41:00.316 --> 00:41:01.436]  Does that upset you?
[00:41:01.476 --> 00:41:01.676]  No.
[00:41:01.696 --> 00:41:03.736]  Well, it doesn't upset me they're making fun of me.
[00:41:04.077 --> 00:41:06.957]  It upsets me that they are so mind-fried.
[00:41:11.498 --> 00:41:12.198]  You understand that?
[00:41:14.460 --> 00:41:17.283]  So, I said I'd go to your calls.
[00:41:18.724 --> 00:41:19.545]  Here's the point.
[00:41:20.166 --> 00:41:21.086]  Here it is crystallized.
[00:41:21.867 --> 00:41:32.477]  When we are faced with absolute, out-of-control, megalomania craziness, which is actually a repeat of every other society always trying to exterminate the group they've been at war with for a long time.
[00:41:32.958 --> 00:41:34.179]  The globalists want total victory.
[00:41:34.499 --> 00:41:35.661]  Total victory means killing us.
[00:41:36.857 --> 00:41:41.803]  Then they have all the advanced technology, life extension, all the movies I go out and see now are about this.
[00:41:42.403 --> 00:41:55.378]  I went and saw Spider-Man with my wife, I thought it was a really good movie, compared to Batman and had a good message of anti-transhuman genetic engineering and the mad scientist who wants to live forever and is injecting himself with it.
[00:41:59.124 --> 00:42:01.245]  And I know a lot of people in Hollywood, they're not all bad.
[00:42:01.265 --> 00:42:04.567]  A lot of them are actually waking up and that's threatening the power structure.
[00:42:04.908 --> 00:42:09.070]  But my point is, is that this is the real issue.
[00:42:09.110 --> 00:42:14.434]  The whole destiny of humanity is being decided right now.
[00:42:16.595 --> 00:42:16.915]  Okay?
[00:42:19.617 --> 00:42:19.757]  And
[00:42:21.866 --> 00:42:28.810]  We have to escalate our rhetoric because no amount of rhetoric is enough in the face of this evil.
[00:42:29.050 --> 00:42:35.894]  This evil is so deep, so big, so large, so complex, if you can think about it, you go look it up, they're doing it.
[00:42:36.714 --> 00:42:38.635]  And stuff you can't imagine, they're doing it.
[00:42:38.936 --> 00:42:46.180]  Inventing new sins, inventing new evil, inventing playing God, wrecking things, screwing things up.
[00:42:47.668 --> 00:42:55.229]  It might as well be an intergalactic group of invisible aliens that landed here and are trying to destroy our civilization by manipulating people.
[00:42:55.509 --> 00:42:57.190]  Basically, you know, what the Bible says.
[00:42:58.190 --> 00:42:59.090]  Demons, whatever.
[00:42:59.630 --> 00:43:03.931]  But all of that aside, there are people that want to screw everything up.
[00:43:04.691 --> 00:43:06.831]  There are people who like to dominate innocence.
[00:43:07.152 --> 00:43:14.953]  There are people that are bad, and they're being forged into a battering ram to smash our civilization, and I'm not going to sit here and put up with it.
[00:43:16.343 --> 00:43:19.785]  People that think it's the safe path to go along with this are fools.
[00:43:21.926 --> 00:43:24.407]  So, here's the little secret that everybody knows.
[00:43:24.427 --> 00:43:25.668]  Isn't that funny, the secret?
[00:43:25.728 --> 00:43:27.169]  It's a secret because it's not being used.
[00:43:27.549 --> 00:43:32.432]  People ask, I was on Max Keiser, one of his international TV shows, was it RT or Press TV?
[00:43:32.912 --> 00:43:41.397]  I was on it this morning, and he asked, why are you undoubtedly the most successful alternative media, heads and shoulders above the rest globally?
[00:43:42.217 --> 00:43:45.579]  Why are you number one?
[00:43:48.456 --> 00:43:53.459]  And I basically said, because I will tell people just how bad it is.
[00:43:58.063 --> 00:43:58.903]  I mean, it's really simple.
[00:44:01.305 --> 00:44:02.926]  I will talk about what's really important.
[00:44:03.866 --> 00:44:05.708]  Because you can debate stuff all day long.
[00:44:05.728 --> 00:44:07.389]  I mean, I go back to this every 10 minutes now.
[00:44:08.169 --> 00:44:09.971]  I think we're gonna do whole shows on this again.
[00:44:09.991 --> 00:44:14.394]  We've done them before, but I'm gonna get a compendium together, do a whole special report,
[00:44:15.507 --> 00:44:22.672]  Of government secret experimentation on populations, killing little kids, killing women, killing children, killing troops.
[00:44:23.492 --> 00:44:26.494]  You know, folks, they know D.U.'
[00:44:26.474 --> 00:44:28.475]  's a death sentence to all the troops that use it.
[00:44:29.316 --> 00:44:32.558]  But they know they're macho and young, and they tell them it's going to be fine, you know.
[00:44:33.098 --> 00:44:35.480]  They'll serve their two or three tours, then go home and have kidney failure.
[00:44:39.520 --> 00:44:46.907]  And when you realize that the elite even write books about how we're dumb animals and we deserve what's happening to us, I take real offense at that.
[00:44:47.527 --> 00:44:50.170]  Because I've studied the elite and they're not elite.
[00:44:51.711 --> 00:44:56.816]  There's nothing elite about cheating outside the laws of humanity to be in control.
[00:44:56.836 --> 00:45:00.419]  And you know my analogy of cancer.
[00:45:00.559 --> 00:45:01.721]  Cancer is not in control.
[00:45:03.118 --> 00:45:09.021]  If cancer could have a consciousness, it would think that it was really cool and it was racing through the body and nothing could stop it.
[00:45:09.301 --> 00:45:10.602]  No, you're going to kill the body.
[00:45:12.243 --> 00:45:18.866]  And so my children, my wife, live within the body politic of terra firma on this planet.
[00:45:19.487 --> 00:45:23.549]  And see, the body is going to die if we don't cut the cancer out.
[00:45:24.329 --> 00:45:29.171]  So everybody's running, trying to save their family individually, save their own little corner of the world.
[00:45:29.471 --> 00:45:34.033]  That isn't going to happen, ladies and gentlemen, until we address the big cancer.
[00:45:34.713 --> 00:45:35.613]  It's got to be met.
[00:45:35.774 --> 00:45:36.734]  It's got to be dealt with.
[00:45:38.795 --> 00:45:40.296]  It's got to be committed against.
[00:45:40.917 --> 00:45:41.937]  You have to commit against it.
[00:45:42.378 --> 00:45:44.940]  And to do that, you've got to really see it.
[00:45:45.040 --> 00:45:49.903]  And let me tell you, there's the old saying that the teacher appears when the student is ready.
[00:45:50.324 --> 00:45:53.366]  Ladies and gentlemen, I don't have to sit here and tell you all the stuff that's going on.
[00:45:53.606 --> 00:45:55.587]  It's happening everywhere in your face now.
[00:45:56.228 --> 00:45:57.629]  World government's out in the open.
[00:45:58.429 --> 00:46:00.451]  Run by the exact group we told you was building it.
[00:46:02.392 --> 00:46:05.975]  They're militarizing, they're announcing martial law, troops on the streets.
[00:46:05.995 --> 00:46:08.417]  They're not calling it martial law, but we're going into it.
[00:46:09.969 --> 00:46:13.533]  People are sending me comments and emails going, well Alex, it's the collapse of course.
[00:46:13.793 --> 00:46:16.415]  Yeah, but they collapsed it to then sell this.
[00:46:16.455 --> 00:46:18.477]  Yes, I know it's for the collapse.
[00:46:18.517 --> 00:46:20.119]  Yes, I understand that.
[00:46:20.619 --> 00:46:22.181]  I understood that 15 years ago.
[00:46:22.721 --> 00:46:24.904]  I really started waking up 15 years ago.
[00:46:25.224 --> 00:46:27.006]  I thought I knew a lot, I didn't know anything.
[00:46:27.626 --> 00:46:32.073]  And now every month I learn more than I knew in the decade before.
[00:46:32.093 --> 00:46:41.226]  Let me tell you, that's what's wild, is that my knowledge of this is now compounding and accelerating to a point where I can't even handle it.
[00:46:41.666 --> 00:46:41.846]  Okay?
[00:46:42.495 --> 00:46:57.103]  I mean, I know what they're going to do before they do it, I know what their battle plans are, I know what they're thinking, because I have spent so much time following what they do, and I've studied what they're into, and let me just tell you something, these people might as well be demons out of hell.
[00:46:57.863 --> 00:47:04.907]  I'll tell you right now, all you atheists don't believe in heaven and hell, even though every ancient culture said there's these really bad things and these good things.
[00:47:05.267 --> 00:47:08.829]  Let me tell you something, folks, it might as well be, because
[00:47:10.785 --> 00:47:14.106]  It's like creatures out of Hellraiser have taken over or something.
[00:47:14.927 --> 00:47:16.607]  That's exactly the kind of stuff they're into.
[00:47:16.987 --> 00:47:18.728]  All that art is imitating life.
[00:47:19.929 --> 00:47:22.110]  It's like Final Fantasy.
[00:47:22.190 --> 00:47:22.690]  It's like, uh...
[00:47:26.371 --> 00:47:27.552]  Event Horizon.
[00:47:27.832 --> 00:47:30.353]  You're like, what do they want?
[00:47:31.654 --> 00:47:32.795]  What does the new order want?
[00:47:32.855 --> 00:47:35.276]  Well, they want to murder people.
[00:47:35.717 --> 00:47:39.079]  I mean, what am I supposed to... People are like, well, why did he have 35 bodies in his basement?
[00:47:39.259 --> 00:47:41.480]  Because this crazy person likes it!
[00:47:42.921 --> 00:47:45.843]  To a psychopath, rotten bodies is like pumpkin pie.
[00:47:46.103 --> 00:47:48.344]  To a normal person, we're like, oh man, that's really horrible.
[00:47:48.584 --> 00:47:49.145]  Not to them!
[00:47:53.646 --> 00:47:56.927]  You ever been out on a ranch or something and pull up next to a dead cow?
[00:47:57.128 --> 00:48:04.471]  It's been dead four or five days, and a, uh, possum comes right out of its... right out of a hole in it?
[00:48:05.371 --> 00:48:06.752]  Just as happy as you could be?
[00:48:06.772 --> 00:48:11.014]  With that look on its face?
[00:48:12.154 --> 00:48:13.235]  That's David Rockefeller.
[00:48:15.816 --> 00:48:18.677]  Have you ever seen a possum come out of the hind end of a rotten cow?
[00:48:18.877 --> 00:48:20.358]  You've seen David Rockefeller's spirit.
[00:48:22.625 --> 00:48:25.367]  And you're like, well, I would never want to climb inside a dead cow.
[00:48:25.488 --> 00:48:25.908]  Exactly.
[00:48:25.928 --> 00:48:27.149]  You're not a New World Order person.
[00:48:27.169 --> 00:48:27.930]  You're not an elitist.
[00:48:28.791 --> 00:48:30.172]  You just want to be a good, decent person.
[00:48:30.392 --> 00:48:32.174]  And that's why you're wide open to their attacks.
[00:48:32.254 --> 00:48:32.814]  I'm going to shut up.
[00:48:32.874 --> 00:48:33.375]  Anonymous.
[00:48:33.895 --> 00:48:37.238]  And we're going to go to James, Robert, Jacob and Max.
[00:48:38.319 --> 00:48:40.301]  Anonymous, you're on the air from Texas.
[00:48:40.321 --> 00:48:40.741]  Go ahead.
[00:48:41.962 --> 00:48:43.284]  Thank you for taking my call, Alex.
[00:48:43.384 --> 00:48:44.525]  It's an honor to speak with you.
[00:48:45.426 --> 00:48:49.109]  My friends and family and people I hold dear think of you as a modern day Paul Revere.
[00:48:49.912 --> 00:48:51.393]  Well, sir, I'm just trying to survive.
[00:48:51.433 --> 00:48:51.713]  Thank you.
[00:48:51.733 --> 00:48:52.334]  What's on your mind?
[00:48:53.454 --> 00:49:00.299]  Well, I had a two-part question, but before I asked that question, I wanted to lead up to it for the American people who listen to your show.
[00:49:00.319 --> 00:49:04.742]  They'll understand why I'm so mad and why I have to ask this question.
[00:49:05.883 --> 00:49:10.186]  Right now, these global scum are poisoning our air with aluminum oxide.
[00:49:10.206 --> 00:49:12.227]  They're poisoning our food by Monsanto.
[00:49:12.247 --> 00:49:14.469]  They're fluoriding and poisoning our water.
[00:49:15.129 --> 00:49:19.412]  And imploding our economy and selling our children's souls to debt for the future.
[00:49:19.752 --> 00:49:26.696]  Our children are being raped and murdered by the likes of the Bohemian Grove, and our ability to protect ourselves is now being taken away.
[00:49:26.816 --> 00:49:30.778]  And now we face a future under martial law and the likes of Agenda 21.
[00:49:31.238 --> 00:49:40.864]  So my question to you, Alex, is do the American people, through the Second Amendment, does it still enable us, the American people, to organize a malicious system?
[00:49:41.209 --> 00:49:47.912]  Yes, the right to revolt is in the Bill of Rights Constitution and the state constitutions.
[00:49:50.172 --> 00:49:51.713]  ...voice, you reach so many people.
[00:49:52.313 --> 00:49:55.114]  I don't understand why you don't call us to arms.
[00:49:55.554 --> 00:50:00.476]  You are the proverbial head of the... Well, let me just explain something.
[00:50:00.916 --> 00:50:04.358]  The NSA's got kill switches all throughout the infrastructure.
[00:50:05.418 --> 00:50:07.219]  The minute I started doing that,
[00:50:08.410 --> 00:50:12.193]  They would hit a kill switch, but now that I think about it, they wouldn't even do that.
[00:50:12.593 --> 00:50:17.396]  They probably want that so that they could get the civil war going.
[00:50:17.456 --> 00:50:26.643]  Sir, they want to shut the web down and shut people up because they're a tiny globalist minority of crooks manipulating us through false stories.
[00:50:27.944 --> 00:50:34.989]  Everyone, before we talk about being called out to start shooting people, should be shooting people with info weapons of truth.
[00:50:36.050 --> 00:50:36.430]  Okay?
[00:50:37.111 --> 00:50:44.595]  The minute we went out and started blasting idiot government people would be the minute that they could spin things against us.
[00:50:44.995 --> 00:50:48.577]  We need to wait and let them pull off some more WACOs and stuff.
[00:50:48.977 --> 00:50:51.379]  For all you people that want to get a physical war going, stay there.
[00:50:51.399 --> 00:50:52.199]  I'm going to come back to you.
[00:50:52.259 --> 00:50:52.479]  Listen.
[00:50:52.499 --> 00:50:58.583]  Everybody wants to talk about shooting war, okay?
[00:50:58.663 --> 00:51:02.225]  You want to go out and wake up the police and military, not kill them.
[00:51:02.685 --> 00:51:03.406]  We'll be right back.
[00:51:03.426 --> 00:51:03.826]  Stay with us.
[00:51:05.185 --> 00:51:05.565]  Hi there.
[00:51:06.166 --> 00:51:07.226]  My name is Frank Bates.
[00:51:07.707 --> 00:51:10.909]  What I'm about to tell you in the next 60 seconds could get me in a lot of trouble.
[00:51:11.529 --> 00:51:20.315]  I just created a free video presentation at 123coverup.com that exposes the electricity monopolies and government agencies for what they really are.
[00:51:20.675 --> 00:51:26.699]  Incompetent, lying crooks that are counting on your ignorance and fear to keep your power bills criminally high.
[00:51:27.380 --> 00:51:28.961]  Some have called this a conspiracy.
[00:51:29.561 --> 00:51:34.665]  Others have called it a cover-up and you will be shocked to find out how deep the conspiracy goes.
[00:51:35.385 --> 00:51:42.447]  My video at 123coverup.com exposes the truth and shows you the secret of how I beat them and how you can beat them too.
[00:51:43.327 --> 00:51:48.228]  Watch the controversial video that thousands of other smart patriots have already seen in the last three months.
[00:51:48.888 --> 00:51:54.789]  Go to 123coverup.com and discover one weird trick to slash your power bill and protect your home.
[00:51:55.389 --> 00:52:00.730]  Go watch my video now at 123coverup.com before they force me to shut it down.
[00:52:01.110 --> 00:52:02.251]  Again, that's 123coverup.com.
[00:52:04.158 --> 00:52:10.525]  Hey guys, what if I told you that I know how you can improve your libido, enhance your sex life, and even increase sexual desire?
[00:52:10.705 --> 00:52:15.029]  The key is to maintain healthy testosterone levels, and now there's a way you can do it naturally.
[00:52:15.230 --> 00:52:15.890]  Here's the secret.
[00:52:16.151 --> 00:52:17.392]  It's all about TGen.
[00:52:17.572 --> 00:52:22.097]  TGen is an all-natural formula that contains ingredients proven to boost your own testosterone.
[00:52:22.357 --> 00:52:25.841]  Not only that, but these ingredients were shown to increase your sexual desire.
[00:52:26.061 --> 00:52:26.401]  I think so.
[00:52:51.408 --> 00:52:56.872]  In a study of exercising men using the ingredient in TGen, a majority reported an improvement in sexual desire.
[00:52:57.033 --> 00:52:57.433]  Don't wait!
[00:52:57.533 --> 00:52:58.033]  Call now!
[00:52:58.253 --> 00:53:01.656]  Call 800-577-8644.
[00:53:01.676 --> 00:53:02.477]  800-577-8644.
[00:53:03.618 --> 00:53:08.962]  American gardeners and fellow patriots, make the right choice with your money, time, and your family food supply.
[00:53:09.082 --> 00:53:13.666]  Choose 100% pure heirloom seeds in the Survival Seed Vault from MyPatriotsupply.com.
[00:53:14.266 --> 00:53:15.107]  Why spend more?
[00:53:15.247 --> 00:53:23.015]  The Survival Seed Vault from MyPatriotSupply.com is only $37.95 and includes 20 varieties of pure, hardy, easy to grow heirloom seeds.
[00:53:23.295 --> 00:53:23.755]  Yes, only $37.95.
[00:53:23.816 --> 00:53:27.199]  That's 70% less than our competitors.
[00:53:27.459 --> 00:53:30.622]  You could buy three Survival Seed Vaults for less than one of theirs.
[00:53:30.842 --> 00:53:37.309]  The Survival Seed Vault from MyPatriotSupply.com includes detailed planting and seed saving instructions and ships same day.
[00:53:37.469 --> 00:53:40.110]  Plus, all orders over $49 ship free.
[00:53:40.291 --> 00:53:43.953]  MyPatriotSupply.com is American-owned by Patriots like you.
[00:53:44.173 --> 00:53:45.974]  Passionate about freedom and preparedness.
[00:53:46.194 --> 00:53:49.035]  Call now, 866-229-0927.
[00:53:49.355 --> 00:53:53.278]  That's 866-229-0927.
[00:53:53.438 --> 00:53:58.060]  Or discover more emergency preparedness items when you order at MyPatriotSupply.com.
[00:53:58.200 --> 00:53:59.181]  Choose the original.
[00:53:59.301 --> 00:54:02.863]  Choose the Survival Seed Vault at MyPatriotSupply.com.
[00:54:11.072 --> 00:54:28.315]  Now I'm not knocking anonymous, and I'm not challenging this person to give their full name, but I'm here on the radio reaching millions of people right now, and if I thought violence was the answer, I would certainly discuss it.
[00:54:29.116 --> 00:54:30.416]  But that is not the answer.
[00:54:30.576 --> 00:54:33.256]  Offensive violence is never the answer.
[00:54:34.317 --> 00:54:34.637]  Okay?
[00:54:34.777 --> 00:54:36.177]  That's just the way it works.
[00:54:37.313 --> 00:54:40.858]  And the system is amassing force against us.
[00:54:41.278 --> 00:54:42.840]  They are attacking us more and more.
[00:54:43.181 --> 00:54:44.803]  And that's waking people up.
[00:54:46.164 --> 00:54:51.992]  And so it's the old saying, you've got to know when to hold them, know when to fold them, know when to walk away, know when to run.
[00:54:54.779 --> 00:54:59.722]  Everybody just buys more guns and digs in and says we're ready to kill somebody that comes to take the guns.
[00:55:00.482 --> 00:55:05.585]  You should be using your First Amendment at the county level, the city level, the legislature.
[00:55:06.326 --> 00:55:08.267]  You should be doing banner hangs.
[00:55:08.747 --> 00:55:16.932]  I see people all over Austin, my wife sees it every week, different people with Infowars.com signs, with signs saying tune in to the local radio stations.
[00:55:18.991 --> 00:55:20.252]  That's happening all over the country.
[00:55:20.972 --> 00:55:29.157]  Dave Mustaine has been in Manila, Philippines, and now China, and he says in all those countries, people come up and say, Alex Jones, Infowars.com.
[00:55:30.097 --> 00:55:38.202]  I was talking to Max Keiser today, before he taped his TV show that's airing on Friday, and he was saying, yeah, you're huge over here in Europe.
[00:55:38.742 --> 00:55:39.863]  And I know that.
[00:55:40.763 --> 00:55:43.064]  But again, it isn't about Alex Jones is huge.
[00:55:43.124 --> 00:55:45.786]  Let me tell you, that's just a danger issue for my physical body.
[00:55:46.946 --> 00:55:48.107]  And it's a responsibility.
[00:55:48.367 --> 00:55:50.388]  But let me just give Americans the little message.
[00:55:50.749 --> 00:55:56.893]  We are absolutely destroying the globalists right now in the Info War.
[00:55:57.173 --> 00:56:02.876]  That's why they want to start a big war, get everybody distracted, and they want to stage some false flag events.
[00:56:04.538 --> 00:56:05.538]  So they can grandstand.
[00:56:05.798 --> 00:56:08.520]  But they did that thing out in Aurora, and yeah, it's staged, folks.
[00:56:08.540 --> 00:56:09.261]  There's no doubt now.
[00:56:09.341 --> 00:56:10.922]  It's ridiculous how much evidence.
[00:56:11.562 --> 00:56:13.423]  And poll numbers went up for guns.
[00:56:13.884 --> 00:56:15.545]  So they're really freaking out right now.
[00:56:17.904 --> 00:56:19.766]  Again, people say, well, what's the call to arms?
[00:56:20.146 --> 00:56:20.766]  What do you do?
[00:56:20.866 --> 00:56:21.827]  March on D.C.?
[00:56:21.867 --> 00:56:23.709]  They've got alternate governments all over the place.
[00:56:26.611 --> 00:56:28.072]  Then you get something even worse.
[00:56:28.913 --> 00:56:34.057]  The answer is not having some war, offensively.
[00:56:34.077 --> 00:56:37.400]  If they start trying to confiscate guns, 1776 will start.
[00:56:37.440 --> 00:56:38.781]  And let me just go further here.
[00:56:39.542 --> 00:56:40.462]  They want that.
[00:56:41.003 --> 00:56:45.627]  The globalists have gauged the public, and I think they've gauged incorrectly, and they think
[00:56:46.687 --> 00:56:48.730]  These are guys that make 41 bets on the stock market.
[00:56:48.750 --> 00:56:49.611]  The globalists are crazy.
[00:56:50.452 --> 00:56:54.298]  They think that you are going to just turn them all in.
[00:56:55.079 --> 00:56:58.744]  And they don't care if 2 or 3 percent doesn't turn them in and shoots up police and military.
[00:56:59.064 --> 00:57:00.707]  That will start the real police state.
[00:57:01.826 --> 00:57:05.489]  See, because they see the cops and the military in the same boat as us.
[00:57:05.769 --> 00:57:06.729]  See, that's what's so stupid.
[00:57:07.390 --> 00:57:10.612]  People sit there and talk about going out and having a war with the police and military.
[00:57:10.852 --> 00:57:13.714]  Have you read globalist documents that have been leaked?
[00:57:14.355 --> 00:57:16.356]  They hate the military, the veterans.
[00:57:16.696 --> 00:57:19.018]  They hate police officers, folks.
[00:57:20.018 --> 00:57:23.821]  They hate anybody that knows how to use a gun, anybody that's lived in the real world.
[00:57:24.021 --> 00:57:26.843]  They want to make us all a bunch of jellyfish nanny state people.
[00:57:27.163 --> 00:57:28.124]  They do not like
[00:57:30.859 --> 00:57:31.640]  Oh my gosh.
[00:57:31.660 --> 00:57:36.685]  You know, I said I'd get a bunch of calls and this one caller I could talk for two hours with about this issue.
[00:57:38.263 --> 00:57:43.146]  I constantly see people anonymously saying it's time to start killing, and a lot of them are feds.
[00:57:43.166 --> 00:57:45.667]  You know, listening to your voice, this guy probably isn't.
[00:57:46.247 --> 00:57:55.272]  But if you knew how many times I've been at a signing event or, you know, speaking, and a guy that's clearly a cop or an informant comes over and says, let's engage in violence.
[00:57:55.592 --> 00:57:58.594]  Sometimes I later learn they're, you know, Marines in plain clothes.
[00:57:59.254 --> 00:57:59.994]  You know, that's happened.
[00:58:00.014 --> 00:58:03.056]  I've had Marine Corps colonels and people try to set me up in America.
[00:58:04.363 --> 00:58:06.546]  This is a serious issue, folks.
[00:58:06.586 --> 00:58:07.487]  This isn't a game.
[00:58:07.868 --> 00:58:09.830]  And I haven't ever been in a shootout with people.
[00:58:10.351 --> 00:58:11.312]  I am good with a gun.
[00:58:11.332 --> 00:58:13.575]  I've got that Texas heritage.
[00:58:13.595 --> 00:58:14.737]  But I've been in a lot of fights.
[00:58:15.498 --> 00:58:17.060]  And I've had people pull a gun on me.
[00:58:17.180 --> 00:58:18.082]  I mean, it's not fun.
[00:58:19.643 --> 00:58:29.546]  Okay, so I'm not, even though I survived all the things I witnessed, I've seen enough violence to be able to tell people this is not a good place to go.
[00:58:30.386 --> 00:58:38.529]  Anonymous, again, if you're looking for violence, remember, remember, he who shoots first loses.
[00:58:40.069 --> 00:58:42.410]  And remember, you start killing people, you're not going to be anonymous.
[00:58:46.923 --> 00:58:50.917]  This is GCN, the Genesis Communications Radio Network.
[00:58:54.312 --> 00:58:59.574]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:58:59.814 --> 00:59:02.015]  Start purifying your water with ProPure.
[00:59:02.235 --> 00:59:11.178]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure, and it's available discounted at InfoWars.com.
[00:59:11.338 --> 00:59:14.499]  Its filters are silver impregnated to prevent bacterial growth.
[00:59:14.779 --> 00:59:16.200]  There's no priming required.
[00:59:16.460 --> 00:59:18.501]  It's NSF-42 certified.
[00:59:18.741 --> 00:59:21.222]  Optional fluoride filters can reduce fluoride up to 95%.
[00:59:22.302 --> 00:59:23.643]  Easy to set up and use.
[00:59:23.823 --> 00:59:25.124]  Doesn't require electricity.
[00:59:25.264 --> 00:59:28.105]  Purify water from lakes, streams, ponds, and wells.
[00:59:28.425 --> 00:59:31.587]  This filter system leaves in beneficial minerals, which is key.
[00:59:31.787 --> 00:59:33.568]  Save money by not buying bottled water.
[00:59:33.688 --> 00:59:35.789]  And avoid BPA that leaches from the plastic.
[00:59:35.929 --> 00:59:38.531]  ProPure is the best gravity-fed filter out there.
[00:59:38.671 --> 00:59:39.991]  It's what my family uses.
[00:59:40.252 --> 00:59:43.453]  Infowars.com already has the lowest price on ProPure.
[00:59:43.553 --> 00:59:48.876]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:59:48.896 --> 00:59:50.537]  You can also call to order.
[00:59:50.657 --> 00:59:51.318]  888-253-3139 Waging war on corruption.
[00:59:51.398 --> 00:59:53.081]  Alex Jones on the GCN Radio Network.
[01:00:09.008 --> 01:00:13.170]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:13.831 --> 01:00:14.651]  You want answers?
[01:00:15.432 --> 01:00:16.332]  Well, so does he.
