[00:00:22.096 --> 00:00:26.140]  Tyrannies throughout history count on one thing, your submission.
[00:31:12.681 --> 00:31:17.063]  Then in the New Testament, you see Paul, he's imprisoned and persecuted by government.
[00:31:17.123 --> 00:31:18.223]  He tries to escape them.
[00:31:18.243 --> 00:31:24.125]  He doesn't go along with government, even at times when he's a victim of the Roman Empire, of the empires of that era.
[00:31:24.855 --> 00:31:30.440]  You know, not only did Paul not go along with, but he actually asserted his rights in the courts.
[00:31:30.960 --> 00:31:36.925]  He actually used the law against the government who was trying to accuse him and trying to prosecute him.
[00:31:37.305 --> 00:31:39.047]  He appealed to natural law.
[00:31:39.427 --> 00:31:40.728]  He appealed to Roman law.
[00:31:41.129 --> 00:31:42.950]  He appealed to law as a citizen.
[00:31:43.391 --> 00:31:48.074]  And so Paul never just blindly or sheepishly went along with government.
[00:31:48.475 --> 00:31:49.956]  The same could be said about Jesus.
[00:31:50.076 --> 00:31:51.998]  Many times they tried to kill Jesus.
[00:31:52.719 --> 00:31:58.167]  The government did, and those people in higher powers tried to kill Jesus, but he would not let them do it.
[00:31:58.247 --> 00:32:03.776]  He escaped them many times, and thus he deprived them of what they tried to do under the name of law.
[00:32:05.592 --> 00:32:06.873]  I want to bring this point up.
[00:32:07.553 --> 00:32:08.834]  It's Henry David Thoreau.
[00:32:08.894 --> 00:32:10.075]  He was a transcendentalist.
[00:32:10.095 --> 00:32:11.976]  I don't really know if that's a compatible view.
[00:32:12.416 --> 00:32:14.998]  But he also said, disobey an unjust government.
[00:32:15.058 --> 00:32:17.460]  Don't just go along with unjust laws.
[00:32:17.520 --> 00:32:19.021]  You have to be that resistance.
[00:32:19.501 --> 00:32:22.703]  And so I want to read in part from his civil disobedience essay.
[00:32:23.143 --> 00:32:30.128]  Thus, the state never intentionally confronts a man's senses, intellectual or moral, but only his body, his senses.
[00:32:30.168 --> 00:32:34.691]  It's not armed with superior wit or honesty, but with superior physical strength.
[00:32:35.191 --> 00:32:42.218]  I was not born to be forced, I will breathe after my own fashion, and that in part is what they mean by the state is not the higher power.
[00:32:43.078 --> 00:32:49.364]  Natural law, God is the higher power, not some measly state that can only oppress and suffer your own body.
[00:32:49.705 --> 00:32:56.651]  And so he says, when I meet a government which says to me, your money or your life, why should I be in haste to give it my money?
[00:32:58.052 --> 00:33:00.935]  That's an excellent thought, and I think that
[00:33:02.210 --> 00:33:02.710]  That's a great thing.
[00:33:02.750 --> 00:33:10.397]  You know, what's interesting is that, you know, these Christians will put so much priority on human law or human institution, and yet Jesus himself
[00:33:11.084 --> 00:33:23.976]  We found occasion to deviate from the law of God, the law of Moses, which was considered much more sacred than any other human law that was ever instituted by man.
[00:33:24.336 --> 00:33:34.786]  And yet when it came to the Sabbath day, the holy day, you were supposed to prepare your meals before the Sabbath day so that you would not have to prepare any food for yourself and your family.
[00:33:35.186 --> 00:33:36.227]  And yet we see Jesus
[00:33:38.368 --> 00:33:42.729]  Sabbath day where he picked corn from a field and he fed himself and the disciples.
[00:33:43.109 --> 00:33:47.830]  And when he was accused of violating the Sabbath, Jesus said, you know, there's a higher law than this.
[00:33:48.190 --> 00:33:59.452]  He said there is a higher natural law and that law is not made to make men slaves, but yet the law is made so it could best and benefit mankind.
[00:33:59.552 --> 00:34:03.073]  And so Jesus gave us an illustration as it relates to even God's law itself.
[00:34:03.971 --> 00:34:05.131]  That's right, we're not slaves.
[00:34:05.191 --> 00:34:17.495]  Now, turning back to the book you wrote with your father, Romans 13, your father has been a great patriot pastor, pursuing both what this country stands for and his religion and everything.
[00:34:17.515 --> 00:34:19.076]  You're following in his footsteps.
[00:34:19.816 --> 00:34:23.457]  But so many people in the American Revolution were patriot pastors.
[00:34:23.497 --> 00:34:25.738]  That's how it got started at Lexington and Concord.
[00:34:26.298 --> 00:34:32.500]  Is it that the true spirit of freedom and of America, and why has this deception fallen on us regarding Romans 13?
[00:34:33.646 --> 00:34:38.988]  Well, again, if you look at the history of Romans 13, we see in the Dark Ages this divine right of kings argument.
[00:34:39.289 --> 00:34:46.612]  That was the argument that was rejected by the Enlightenment philosophers, by the pastors in the Christian communities in America.
[00:34:47.032 --> 00:34:53.735]  And there was this very detailed exposition of Romans 13 in the churches of America during the 16th and 1700s.
[00:34:55.476 --> 00:35:08.508]  That was the message that the pastors used to equip their citizens to become educated as to what was the purpose of government, where are its boundaries, where are its limits, and what does God actually ordain in the Word of God.
[00:35:09.009 --> 00:35:11.031]  And so, absolutely, you're right.
[00:35:11.071 --> 00:35:12.812]  That's the argument that was...
[00:35:14.925 --> 00:35:35.272]  The political understanding of the United States, and it carried on in this country for many, many years, and as we said before, it wasn't really until George Hagel came on the scene that this divine right of government argument really took seed once again in America, and we've seen the detrimental effects of it in the Christian community and in American politics ever since the mid-1800s.
[00:35:37.403 --> 00:35:44.529]  Tim, today we have this domestic security force, Homeland Security, beginning to occupy more and more of our country.
[00:35:44.909 --> 00:35:46.190]  The war machine rolls on.
[00:35:46.270 --> 00:35:48.332]  So many other problems at this point in time.
[00:35:48.752 --> 00:35:50.113]  Why is this book important now?
[00:35:50.174 --> 00:35:51.675]  What are you hoping people get out of it?
[00:35:52.495 --> 00:35:54.097]  What is the overall takeaway message?
[00:35:54.892 --> 00:36:12.215]  Well, first of all, we will not change really anything important in this country, politically or socially or in religion, until we start to really understand the true core or the true essence of our duties as Christians or just simply as a man or as a woman.
[00:36:13.883 --> 00:36:19.425]  And one of those core issues is this idea of where is our limitations of submission to government?
[00:36:19.785 --> 00:36:21.205]  And what is the purpose of government?
[00:36:21.405 --> 00:36:23.006]  How do we even understand these things?
[00:36:23.406 --> 00:36:35.730]  If we can't wrap our minds around this core issue, then it's very unlikely that we're going to know how to act, how to think, and where to put our energies in as it relates to our response to these things.
[00:36:36.130 --> 00:36:47.295]  So, Romans 13, the true meaning of submission is a crucial element of restoring the ideas of liberty as understood by our founding generation if we ever are again in this country.
[00:36:48.696 --> 00:36:50.717]  Okay, Timothy Baldwin, thanks for joining us.
[00:36:50.757 --> 00:36:53.978]  And I just want to say in closing, we were put on this earth free.
[00:36:54.038 --> 00:36:56.159]  We were put on this earth with free will.
[00:36:56.560 --> 00:36:58.561]  Government is a resistance to that force.
[00:36:58.781 --> 00:36:59.701]  It is an evil.
[00:37:00.021 --> 00:37:03.303]  And rolling over to it, I agree, is not going to solve the issues we have.
[00:37:05.034 --> 00:37:22.066]  No, we have to become educated, and I certainly hope that Romans 13, the true meaning of submission, will help enlighten the mind of a Christian, or even a non-Christian, it doesn't matter, but we need to be able to equip ourselves with this particular argument, because it's used by politicians, even, to get Christians to lay down and do nothing.
[00:37:22.826 --> 00:37:28.991]  So Romans 13 is at the Infowars store, and you can also find it, I'm sure, at Pastor Chuck Baldwin's website.
[00:37:29.271 --> 00:37:30.712]  Tell us where to find his and your work.
[00:37:31.874 --> 00:37:36.740]  You can find the book on your site as well as Romans13truth.com.
[00:37:37.921 --> 00:37:41.666]  You can also find my work at LibertyDefenseLeague.com.
[00:37:42.226 --> 00:37:45.891]  And you can find Chuck Baldwin's work at ChuckBaldwinLive.com.
[00:37:47.008 --> 00:37:48.369]  Alright, thanks so much for joining us.
[00:37:48.889 --> 00:37:49.870]  We'll speak to you in the future.
[00:37:50.290 --> 00:37:58.876]  And that's it for tonight's InfoWars Nightly News, but we leave you with the daily quote from the Magna Carta in 1215.
[00:37:59.317 --> 00:38:04.961]  To no one will we sell, to no one will we refuse or delay right or justice.
[00:38:06.533 --> 00:38:14.159]  And so that's from the Magna Carta, one of the founding documents of freedom as far as putting natural rights on paper and recognizing the individual.
[00:38:14.599 --> 00:38:16.720]  Signing off tonight for the InfoWars Nightly News.
[00:38:16.740 --> 00:38:17.621]  We'll be back tomorrow.
[00:38:17.981 --> 00:38:18.542]  I'm Aaron Dykes.
