[00:00:21.795 --> 00:00:23.555]  Welcome, it is February 21st, 2012.
[00:29:07.953 --> 00:29:09.574]  And Ron Paul does that.
[00:29:10.115 --> 00:29:10.875]  That's his feeling.
[00:29:10.955 --> 00:29:11.716]  That's his thrust.
[00:29:12.416 --> 00:29:19.862]  And that's why if you look at the percentages that support him in the military, it's huge.
[00:29:20.723 --> 00:29:21.283]  Why is that?
[00:29:21.984 --> 00:29:23.505]  Because they've raised their right hands.
[00:29:23.965 --> 00:29:27.367]  And they're putting their lives on the line for us here in the United States.
[00:29:27.968 --> 00:29:29.629]  And they know that Ron Paul does the same.
[00:29:38.510 --> 00:29:41.831]  We are back from break, and in this segment we turn to Ron Paul news.
[00:29:42.132 --> 00:29:51.256]  There's been what I would consider another watershed moment in his tremendous 2012 campaign that's had a lot of victories, psychological and concrete.
[00:29:51.616 --> 00:29:55.537]  And that is the Veterans for Ron Paul rally, which was held at the White House.
[00:29:55.978 --> 00:29:58.739]  ABC News covered it, but only in their blog.
[00:29:59.179 --> 00:30:06.961]  They covered how current and former service members staged a rally outside the White House today in support of Republican presidential candidate Ron Paul.
[00:30:07.401 --> 00:30:10.301]  Several hundred troops and their supporters attended the event.
[00:30:10.721 --> 00:30:13.882]  At least that's what they reported after they corrected it.
[00:30:13.982 --> 00:30:23.384]  They made another classic Ron Paul mistake as the media seems to get so much wrong in regard to his campaign as they earlier reported that only dozens showed up.
[00:30:23.704 --> 00:30:37.027]  However, there were several hundred comments in their own article pointing out their mistake and they were forced to create an update and a retraction where they said a previous version of this blog post incorrectly listed the number of attendees at the event.
[00:30:37.367 --> 00:30:39.048]  They of course regret the error.
[00:30:39.688 --> 00:30:49.030]  But they also cite the fact that Ron Paul has an unusually high percentage of supporters in the military as compared with the other candidates and it is important that they covered it.
[00:30:49.790 --> 00:30:53.495]  The larger establishment media did ignore this march.
[00:30:53.535 --> 00:30:55.037]  People like Adam Kokesh led it.
[00:30:55.457 --> 00:30:57.520]  It was joined by all kinds of military people.
[00:30:57.600 --> 00:31:02.165]  And they're really speaking out and saying, we don't agree with where this foreign policy is going.
[00:31:02.546 --> 00:31:04.568]  Among other things, we don't want a new war with Iran.
[00:31:05.229 --> 00:31:09.053]  And here's footage of that rally, the stuff you didn't see on the mainstream news.
[00:31:09.474 --> 00:31:19.204]  It's this imagery of active duty and former veterans coming together, saying no to the war, saying yes to Ron Paul, that the media chose not to show you.
[00:31:19.264 --> 00:31:20.485]  You didn't see these images.
[00:31:20.966 --> 00:31:25.811]  And I don't know if it's in this clip, but they dramatically did an about face outside the White House.
[00:31:26.992 --> 00:31:47.665]  Symbolizing their opposition to Obama's continuation of the war, and they had a moment of silence for all the soldiers who've died in combat under Obama's term, and furthermore, of all the soldiers and former soldiers who've committed suicide as they've come to grips with very strong, very tough to deal with emotional issues.
[00:31:47.985 --> 00:31:51.967]  We're going to be joined by Adam Kokesh momentarily to discuss that even more.
[00:31:53.408 --> 00:31:58.871]  Steve Watson has put out a report that even defense contractors are supporting Ron Paul for president.
[00:31:59.191 --> 00:32:11.537]  We've already covered how the military, the active duty military, have contributed more to Ron Paul than any other candidate, way more than Mitt Romney, way more than Santorum, way more than Newt Gingrich, and even more than Obama.
[00:32:12.597 --> 00:32:15.219]  He even has the support of defense contractors.
[00:32:15.419 --> 00:32:15.980]  Why is that?
[00:32:16.020 --> 00:32:23.586]  If Ron Paul wants to freeze military spending and stop the corruption, well, it's because it's from individual donors, people who understand.
[00:32:23.966 --> 00:32:34.294]  Mitt Romney actually does have a lot of defense contractor donations, not that far behind Paul's numbers, but if you look at the number of donators, that's where the real story is.
[00:32:34.734 --> 00:32:41.678]  Ron Paul had at least 824 individual contributors who averaged about $215 per person.
[00:32:42.078 --> 00:32:46.281]  Almost certainly regular people working for working stiff wages.
[00:32:46.321 --> 00:32:51.624]  While Mitt Romney's contributions were fewer individuals and a higher dollar contribution.
[00:32:52.004 --> 00:32:55.166]  I think more than $800 if I read this article correctly.
[00:32:55.186 --> 00:32:56.467]  And that tells a story.
[00:32:57.427 --> 00:33:03.450]  In itself, Obama's got a lot of contractor contributions too, but none of them as much as Ron Paul.
[00:33:04.031 --> 00:33:05.592]  People understand where this is going.
[00:33:05.912 --> 00:33:09.994]  Of course, it was in Defense News on February 20th of this year.
[00:33:10.614 --> 00:33:18.138]  It says, Ron Paul may not support increasing defense spending, but he's certainly receiving the support of those who work in the defense industry.
[00:33:18.158 --> 00:33:24.082]  And then they go on to cite FEC filings that record just more contributions, more than $177,000 for Ron Paul.
[00:33:26.863 --> 00:33:28.644]  Will the media begin to report on this?
[00:33:28.804 --> 00:33:29.845]  Is that dam breaking?
[00:33:57.103 --> 00:33:57.443]  Hey, my pleasure.
[00:34:18.772 --> 00:34:27.723]  Sure and I appreciate that and it has become really significant because what we saw yesterday was just the warm-up, just the start for Veterans for Ron Paul 2012.
[00:34:29.039 --> 00:34:32.342]  Because the message of the event was Ron Paul is the choice of the troops.
[00:34:33.043 --> 00:34:41.750]  And if the Republican Party isn't willing to listen to that message, if we can't get Ron Paul the nomination, we can't ensure that he is our ex-commander-in-chief, then it might all be for naught.
[00:34:41.790 --> 00:34:46.955]  And so we are going to be marching on the Republican National Convention in Tampa Bay later this year.
[00:34:47.395 --> 00:34:49.177]  What we did yesterday was blow a hole
[00:34:49.917 --> 00:35:02.001]  I apologize for my voice being a little rough here, but we had an incredible time with over 400 troops that marched in that formation, active duty soldiers and veterans.
[00:35:02.281 --> 00:35:08.543]  We also had several squads from Fort Meade that were there from the intelligence community within the military.
[00:35:08.923 --> 00:35:09.703]  We're good to go.
[00:35:39.125 --> 00:35:46.207]  Since we did something in a month and a half of preparation and planning with just two guys, myself and Nathan Cox, when we started this thing.
[00:35:46.607 --> 00:35:53.788]  And we ended up with, like I said, somewhere between four and five hundred in this formation and thousands that would have been there if it wasn't for the warning from the military.
[00:35:53.868 --> 00:35:56.889]  Maybe if we had a little more help from the mainstream media.
[00:35:57.269 --> 00:36:01.890]  But when we go in Tampa, we go March in Tampa, we're not starting with two veterans.
[00:36:02.150 --> 00:36:03.711]  We're starting with thousands.
[00:36:04.011 --> 00:36:05.571]  We're starting with over five hundred.
[00:36:05.931 --> 00:36:12.416]  That we're there yesterday, that we're willing to show up, to do the work, to get the word out to support Ron Paul.
[00:36:12.796 --> 00:36:14.438]  Now we've got six months.
[00:36:14.798 --> 00:36:19.181]  It looks like we're coming to a brokered convention after the first round of voting in Tampa Bay.
[00:36:19.482 --> 00:36:26.187]  Mitt Romney is most likely not going to be the nominee and all those delegates at the convention are going to be unbound delegates at that point.
[00:36:26.227 --> 00:36:27.448]  And for the second round of voting,
[00:36:27.928 --> 00:36:29.750]  They're going to get to vote their conscience.
[00:36:30.351 --> 00:36:34.676]  And we're going to be there as Veterans for Ron Paul 2012, surrounding the convention.
[00:36:34.696 --> 00:36:36.198]  We're going to be marching on the RNC.
[00:36:36.518 --> 00:36:47.171]  And if they want to disregard the voice of the troops, if they want to say they support the troops, but we're not going to listen to them, they're going to have to do it to our faces in Florida.
[00:36:47.631 --> 00:36:53.855]  Well, you mentioned it in passing, and I know our InfoWars readers know, who check the website every day, but other people may have missed it.
[00:36:54.416 --> 00:37:03.142]  They sent out a memo warning people not to show up in uniform at this event, trying to intimidate them out of their free speech and their right to political expression.
[00:37:03.202 --> 00:37:07.605]  Why is the system so afraid of troops coming together in support of Ron Paul?
[00:37:07.665 --> 00:37:08.806]  Maybe it's an obvious question.
[00:37:09.807 --> 00:37:17.232]  Well, you know, there's one thing in particular about what we did yesterday that I think
[00:37:18.123 --> 00:37:28.151]  particularly discredits the entire paradigm of our current foreign policy and the strategy of policing the world and liberal nation-building in Iraq and Afghanistan.
[00:37:28.171 --> 00:37:36.377]  And that is that when we got to the White House, we did an about-face and a symbolic repudiation of that foreign policy to turn our backs on the White House and President Obama.
[00:37:36.758 --> 00:37:44.584]  But at that point, we held a flag-folding ceremony and held a hand salute to a folded flag for as many seconds as troops who have committed suicide
[00:37:45.578 --> 00:37:48.480]  While Barack Obama was their commander-in-chief.
[00:37:48.941 --> 00:37:52.823]  And that alone, the fact that those statistics are in record numbers right now.
[00:37:53.124 --> 00:37:56.086]  The troops are coming home and not just getting out and committing suicide.
[00:37:56.506 --> 00:38:01.350]  Staying on active duty and as Barack Obama is their commander-in-chief.
[00:38:01.750 --> 00:38:07.272]  Committing suicide, taking their own lives in desperation because of their role in our foreign policy.
[00:38:07.572 --> 00:38:09.793]  It's not just the strains of repeated deployments.
[00:38:10.073 --> 00:38:15.655]  It's coming home and not being able to say that the buddies you saw get blown up by IEDs died for a good cause.
[00:38:16.095 --> 00:38:22.558]  And because of that, we got that email that was sent out by a Navy attorney just a few days before the event.
[00:38:22.918 --> 00:38:24.218]  We're really grateful for that.
[00:38:24.258 --> 00:38:28.480]  Like I said, we were cruising around all the bars,
[00:38:29.204 --> 00:38:33.465]  Strip clubs, pawn shops, and tattoo parlors here in the D.C.
[00:38:33.525 --> 00:38:37.866]  area trying to collect all the active duty emails one at a time, and we're having a hell of a time of it.
[00:38:38.266 --> 00:38:42.767]  But this Navy attorney saved us all the work and sent out the email to promote our event.
[00:38:42.787 --> 00:38:45.887]  He even included the Facebook event page link in there.
[00:38:46.227 --> 00:38:47.888]  So, you know, if anything, I think that helped.
[00:38:47.928 --> 00:38:54.629]  But more importantly, a lot of the guys who are on active duty, like Corporal Jesse Thorson, who spoke at the Ron Paul event in Iowa,
[00:38:55.109 --> 00:39:03.173]  After he was cut off by CNN's live feed mysteriously going out after saying Israel could take care of herself and we shouldn't be starting a war with Iran.
[00:39:03.613 --> 00:39:07.055]  Well, there are guys like that saying screw it, it doesn't matter.
[00:39:07.355 --> 00:39:10.457]  You just drew the line in the sand and we know what side we're on.
[00:39:10.737 --> 00:39:12.559]  We're on the side with Ron Paul.
[00:39:12.839 --> 00:39:14.040]  We're on the side of peace.
[00:39:14.320 --> 00:39:15.861]  We're on the side of freedom.
[00:39:16.102 --> 00:39:18.043]  We're on the side of defending America.
[00:39:18.384 --> 00:39:29.373]  And it shouldn't be a surprise to anybody that the people who are willing to put their lives on the line to defend this country want a Commander-in-Chief who's going to be decisive, who's going to put America's security first.
[00:39:29.873 --> 00:39:35.799]  And who is only going to send us into harm's way with a clear mission where we can go win a war and come home.
[00:39:36.060 --> 00:39:38.442]  Or as he would call it, a constitutional declaration of war.
[00:39:38.782 --> 00:39:44.088]  And the only candidate that even comes close to measuring up to that standard is Ron Paul.
[00:39:44.537 --> 00:39:51.898]  The only one who comes close, and what you said sounds like a strong statement based on the way things have been going for decades, but it ought to be just common sense.
[00:39:51.938 --> 00:39:55.799]  Of course it has to be a constitutionally declared war with a clear mission.
[00:39:55.839 --> 00:39:57.220]  I mean, just common sense.
[00:39:57.280 --> 00:40:09.042]  Now it's worth mentioning that ABC News covered your rally, the Veterans for Ron Paul rally at the White House was their headline, and they reported, I guess by accident, as so many Ron Paul accidents
[00:40:09.622 --> 00:40:10.062]  I don't know.
[00:40:33.408 --> 00:40:35.250]  Oh yeah, like I said, we blew a hole in this thing.
[00:40:35.630 --> 00:40:38.212]  And a lot of people are going to be marching through behind us.
[00:40:38.252 --> 00:40:42.816]  But as you pointed out, ABC covered the event.
[00:40:42.856 --> 00:40:47.840]  Now when most people hear ABC News, they don't go, oh yes, they have a blog, don't they?
[00:40:48.120 --> 00:40:50.902]  Because I think they also have a TV network.
[00:40:51.002 --> 00:40:57.547]  And they didn't provide any video coverage whatsoever of what was obviously a very visual presentation, a very visual event.
[00:40:58.188 --> 00:40:58.929]  They didn't do that.
[00:40:58.949 --> 00:41:00.530]  We got that story picked up by Drud.
[00:41:00.590 --> 00:41:01.651]  We're very grateful for that.
[00:41:02.131 --> 00:41:07.618]  That mainstream token of support was picked up and was carried in the news of the day.
[00:41:08.078 --> 00:41:13.565]  But it was really, if anything, token coverage, and as he pointed out, dozens.
[00:41:13.745 --> 00:41:14.806]  I mean, we had
[00:41:17.935 --> 00:41:22.878]  We were eight squads across, eight squads by about 50 deep.
[00:41:23.238 --> 00:41:31.824]  We're working on an exact count right now, but clearly it was maybe a little over 500, but between 400 and 500 for this formation.
[00:41:31.844 --> 00:41:36.447]  So to say dozens is an obvious slam in an attempt to downplay this event and to
[00:41:38.545 --> 00:41:49.252]  You know, try to disenfranchise the voice of the troops who we know have overwhelmingly supported Ron Paul in terms of campaign contributions, having received more than all other candidates combined from active duty.
[00:41:49.632 --> 00:41:55.056]  It's this inconvenient little fact that the mainstream media doesn't want to acknowledge because it doesn't fit in their paradigm.
[00:41:56.057 --> 00:41:59.961]  I think that's breaking too, Adam, because I know you've personally been covering that for months.
[00:42:00.021 --> 00:42:04.745]  I think you may have been among the first to at least take it into the national conversation.
[00:42:05.146 --> 00:42:11.632]  And here it is from today, or rather yesterday's news, Defense News, Obama-Paul lead in defense contributions.
[00:42:11.672 --> 00:42:14.114]  Of course, Ron Paul has even more than Obama.
[00:42:14.134 --> 00:42:16.877]  And I think that media dam is breaking too.
[00:42:17.297 --> 00:42:18.939]  People are having to acknowledge what's happening.
[00:42:19.299 --> 00:42:27.424]  And I would imagine troops are even more upset than ever about our crazy foreign policy with Iran, Syria, the prospect of World War III all on the table.
[00:42:28.165 --> 00:42:38.090]  Well, let me just say, there are a lot of people who have reacted to this and said, well, we've got to get on the phone with CNN, we've got to get on the phone with NBC and ABC, all the mainstream networks.
[00:42:40.021 --> 00:42:43.004]  We gotta beg them to cover our event.
[00:42:43.024 --> 00:42:45.487]  We have to beg them to connect with their audience, you know?
[00:42:45.927 --> 00:42:54.776]  And I think when things like this happen and the mainstream media doesn't cover them, a lot of people are inclined to ask why and say, well, where did I hear about this?
[00:42:54.836 --> 00:42:56.357]  And, oh, I heard about it through YouTube.
[00:42:56.397 --> 00:42:58.739]  I heard about it from the Adam vs. the Man YouTube channel.
[00:42:58.759 --> 00:43:03.204]  We got a video up there right now with really the essential, the quintessential
[00:43:04.905 --> 00:43:09.528]  We heard about it from InfoWars.
[00:43:10.029 --> 00:43:11.830]  We heard about it from the Internet.
[00:43:12.070 --> 00:43:16.453]  And I just want to say that you can't trust the mainstream media to give you the full picture.
[00:43:16.473 --> 00:43:19.735]  You can't trust the mainstream media to give you the information that you need.
[00:43:19.975 --> 00:43:21.356]  So don't go begging to them.
[00:43:21.657 --> 00:43:25.059]  Don't go crying to those dinosaurs of the old corporate media.
[00:43:25.479 --> 00:43:27.160]  Start tuning in somewhere else.
[00:43:27.440 --> 00:43:47.826]  You know, no one can be trusted to give you a complete worldview, but I very much appreciate Alex Jones for bringing me on InfoWars last week, for everybody with InfoWars Nightly News for helping promote this event, for bringing me on tonight, because you're showing that you're the ones that care about the people, that you're the ones that care about delivering an honest message, and I think your listeners and your viewers are smart enough to know
[00:43:48.362 --> 00:43:57.545]  That they can't trust any single source, even yours, and I encourage everybody to consume news with a critical mind, to get their news from a variety of sources.
[00:43:57.725 --> 00:44:04.467]  And I'm not, with Adam vs. the Man, presenting an entire worldview as Alex Jones's, but you can do that.
[00:44:04.527 --> 00:44:15.730]  You can look at InfoWars.com, you can listen to the Alex Jones Radio Show, you can get a sense of, at least from Alex Jones, this is the essential information that I need to know about what is going on in the world today.
[00:44:16.030 --> 00:44:20.311]  I hope to be expanding my operation personally to that and adding a radio show or a podcast.
[00:44:20.791 --> 00:44:27.092]  And if I can just get one more plug in, adamvstheman.com is where the conversation about that is happening at our forums.
[00:44:27.132 --> 00:44:29.393]  But like I said, I'm grateful for Alex Jones.
[00:44:29.453 --> 00:44:38.275]  I'm grateful for everybody in FORS for really doing the job of the people's media when the mainstream media, when the establishing corporate media isn't doing its job.
[00:44:38.315 --> 00:44:39.655]  But, you know, I almost
[00:44:40.015 --> 00:44:55.149]  Don't hesitate to say Alex Jones versus the mainstream because now your operation there is turning into something that is so powerful and so massive that you're rising to the mainstream and the mainstream is turning to the internet and that's where the future of independent media is.
[00:44:55.189 --> 00:44:56.630]  That's where the future of information is.
[00:44:56.690 --> 00:44:59.131]  And I appreciate the plug and everything, Adam, for InfoWars.
[00:44:59.171 --> 00:45:02.953]  I want to bring this up because I was at the event with Alex over the weekend.
[00:45:02.973 --> 00:45:04.854]  He spoke in Dallas to a packed house.
[00:45:05.215 --> 00:45:09.437]  And a lot of those people were military because they came forward in the question and answer sessions.
[00:45:10.017 --> 00:45:11.858]  And Alex mentioned it in the speech, too.
[00:45:11.978 --> 00:45:17.541]  Who has ever seen a pro-Mitt Romney sticker, a pro-Gingrich sticker, a pro-Santorum sticker?
[00:45:17.962 --> 00:45:20.343]  They're a rare find, if anywhere out there.
[00:45:20.923 --> 00:45:25.588]  And the people in the military came forward to say the same thing, that they're talking to people at the base.
[00:45:26.109 --> 00:45:38.942]  Most of those who support any candidate are behind Ron Paul, and in particular, many of them are outraged and very upset about the NDAA, and more than ever, awoken to the issue of not complying with the illegal orders.
[00:45:39.342 --> 00:45:43.067]  Not going along with this slide into total despotism and tyranny.
[00:45:43.147 --> 00:45:51.857]  I think the military is waking up and that's probably going to be the biggest factor in reclaiming our republic if they don't go along with this, that Oath Keepers mission.
[00:45:52.799 --> 00:45:53.379]  Absolutely.
[00:45:53.459 --> 00:45:55.620]  I'm very proud to be a member of Oath Keepers.
[00:45:55.660 --> 00:45:57.521]  I think their mission is absolutely essential.
[00:45:57.541 --> 00:46:08.606]  And for those who don't know, Oath Keepers is encouraging people on active duty, both within the military and in the law enforcement community, to honor their oath to the Constitution before any illegal orders they may receive.
[00:46:10.005 --> 00:46:17.071]  It's always so heartwarming when you get so many veterans together and active duty guys who are passionate about this cause.
[00:46:17.351 --> 00:46:23.676]  Because it's a real community of people who have woken up to the message of liberty, who have woken up to the reality of our foreign policy.
[00:46:24.016 --> 00:46:25.557]  And it's a lot of guys who are hurting too.
[00:46:25.637 --> 00:46:32.323]  It's a lot of guys dealing with Post Traumatic Stress Disorder, a lot of pain and regret, a lot of issues to deal with their own military service.
[00:46:32.363 --> 00:46:33.984]  And so to see that coming together,
[00:46:34.444 --> 00:46:38.489]  Last night was really beautiful, especially the after party.
[00:46:38.569 --> 00:46:40.712]  I just want to thank everybody who made that possible.
[00:46:40.732 --> 00:46:46.759]  Ian Schiaffi, Gigi Bowman, and all the artists, Amy Allen, Jordan Page, Golden State, Rebel Inc.
[00:46:46.779 --> 00:46:47.279]  for coming out.
[00:46:47.339 --> 00:46:50.223]  Really, they just played their hearts out for us last night.
[00:46:50.243 --> 00:46:54.348]  Obviously, I lost my voice mostly singing along, but I want to share
[00:46:55.536 --> 00:47:04.063]  One exchange that I had with a young active-duty Marine, Lance Corporal, who is in the intelligence community.
[00:47:04.123 --> 00:47:10.369]  I won't really say anything more to reveal his identity, but he's in a unit with about 520 Marines, and he has access to SIPRNet, S-I-P-R.
[00:47:13.550 --> 00:47:17.952]  The internet, the government's secret internet for military and government purposes.
[00:47:18.613 --> 00:47:32.500]  And he said that that was what turned him to Ron Paul, the things that he was seeing going out over the internet, the secret internet, that is, reports from commanders in the field talking about incidents that were going to get covered up, things that they knew they couldn't release to the public.
[00:47:32.881 --> 00:47:37.363]  And what he told me, and this is really, really just heartwarming for me in a personal sense, I guess,
[00:47:37.867 --> 00:47:47.408]  He said that of the 520 Marines in his unit, every single one of them knew me by name as a result of this event, and most of them were Ron Paul supporters.
[00:47:48.567 --> 00:47:51.349]  It's great, Adam, what you put together with this event.
[00:47:51.389 --> 00:47:53.972]  We're glad it's going to move forward with other events.
[00:47:54.392 --> 00:48:00.497]  I hope it becomes like a We Are Change and Oath Keepers thing where it's decentralized and people everywhere are talking about this issue.
[00:48:00.517 --> 00:48:03.520]  I think it's time to hear from individual military members.
[00:48:03.560 --> 00:48:08.304]  We've heard from the sellout scumbag people at the top military brass level.
[00:48:08.664 --> 00:48:11.545]  Absolutely, but let me just say one final plug here because this is really important.
[00:48:11.565 --> 00:48:12.745]  It's not just the ongoing thing.
[00:48:36.585 --> 00:48:49.821]  Certain sense of urgency right now with Ron Paul running for president and the opportunity that represents, like one that we have never seen before in human history, to make the most powerful man on the planet the one who would exercise the least amount of power over you.
[00:48:50.342 --> 00:48:53.586]  And we are marching on the RNC, the Republican National Convention,
[00:48:54.046 --> 00:48:57.687]  In Florida, August 27th to August 30th is Veterans for Ron Paul.
[00:48:57.707 --> 00:49:04.109]  So to all the veterans and active duty members in the audience listening right now, watching this, please mark your calendars.
[00:49:04.429 --> 00:49:09.391]  Prepare to be in Tampa Bay, in Florida, August 27th to the 30th.
[00:49:09.491 --> 00:49:12.812]  At some point in there, Veterans for Ron Paul 2012 will be a presence.
[00:49:12.872 --> 00:49:15.773]  We will be marching on the convention.
[00:49:16.053 --> 00:49:20.754]  We will be making it clear to the Republican Party that Ron Paul is the choice of the troops.
[00:49:21.014 --> 00:49:22.815]  And if they want to nominate someone else,
[00:49:23.155 --> 00:49:35.484]  And slap us all in the face, they're going to have to do it right in front of us, right in front of the national media, in front of the entire world, and reveal that the neocons, the establishment, the party hacks, don't support the troops.
[00:49:36.004 --> 00:49:39.907]  It's going to make such a mockery of all their demonization of Ron Paul and his foreign policy.
[00:49:40.847 --> 00:49:41.948]  Thanks for joining us Adam.
[00:49:42.048 --> 00:49:44.670]  Adam vs. the Man and what, March to Washington?
[00:49:44.690 --> 00:49:46.291]  Is that still a viable website?
[00:49:46.931 --> 00:49:50.013]  You know what, we have a Facebook page, Veterans for Ron Paul 2012.
[00:49:51.109 --> 00:49:54.130]  I've got my page, and of course, adamvstheman.com.
[00:49:54.550 --> 00:49:58.050]  I apologize, we haven't had the first official planning meeting for this.
[00:49:58.411 --> 00:50:04.152]  We just decided last night that, well, I just decided that I was going to be doing it and going to invite people to join me.
[00:50:04.192 --> 00:50:07.232]  So, we're going to be figuring out the framework for this and putting out the call.
[00:50:07.252 --> 00:50:11.433]  We're going to need people to help spread the message every way we can, and to get their butts down in Florida.
[00:50:11.853 --> 00:50:13.334]  Well, we'll talk to you in the future, Adam.
[00:50:13.354 --> 00:50:14.094]  Thanks for joining us.
[00:50:14.594 --> 00:50:15.014]  Thank you.
[00:50:15.334 --> 00:50:17.795]  And we're going to take another break, but we'll be back with more.
[00:50:17.855 --> 00:50:19.575]  Stay tuned on the InfoWars Nightly News.
[00:50:25.549 --> 00:50:27.349]  Greetings, fellow InfoWarriors.
[00:50:27.990 --> 00:50:35.711]  Alex Jones here, announcing the first of many trips that I'm going to take across this wonderful United States that we live in.
[00:50:36.012 --> 00:50:45.934]  And we get so busy here at InfoWars.com, the nightly news, the daily radio show, the documentary films, and all the other things we're doing that I tend to never go out and give speeches anymore.
[00:50:46.354 --> 00:50:50.076]  And I've got a lot of ideas bubbling around in my head about the history of the New World Order.
[00:50:50.376 --> 00:50:51.757]  What makes them tick and how to defeat them.
[00:50:52.057 --> 00:50:54.458]  So I'm titling this key speech I'm going to give.
[00:50:55.058 --> 00:50:56.659]  It'll run around two hours long.
[00:50:57.259 --> 00:50:59.040]  Blueprint to Defeat the New World Order.
[00:50:59.340 --> 00:51:05.063]  And we're also going to have a surprise premiere of a short documentary film we've been working on at the event.
[00:51:05.503 --> 00:51:07.624]  First off, I'm going to be going to Dallas, Texas.
[00:51:08.025 --> 00:51:09.585]  Sunday, February 19th, 2012.
[00:51:09.906 --> 00:51:12.447]  To the historic Lakewood Theater.
[00:51:13.027 --> 00:51:17.234]  And the next Sunday, February 26th, I'm going to be in Orlando, Florida.
[00:51:17.895 --> 00:51:23.563]  You can find out more about the events and buy tickets at infowars.com forward slash events.
[00:51:24.500 --> 00:51:27.942]  Now, unfortunately, every event I've ever had, we've had to turn people away.
[00:51:28.562 --> 00:51:32.424]  So get your tickets early at InfoWars.com forward slash events.
[00:51:32.444 --> 00:51:34.725]  There's a lot of crazy stuff going on in this world.
[00:51:35.426 --> 00:51:37.967]  The craziest of all is this explosive awakening.
[00:51:38.647 --> 00:51:40.408]  I can't wait to meet you and shake your hand.
[00:51:40.848 --> 00:51:42.829]  I'll see you in Dallas and I'll see you in Orlando.
[00:51:43.490 --> 00:51:45.431]  InfoWars.com forward slash events.
[00:51:58.871 --> 00:52:00.111]  And we are back from break.
[00:52:00.251 --> 00:52:08.133]  As you know from our coverage, there's a number of states that are willing to take on the NDAA issue of indefinite detention of American citizens.
[00:52:08.693 --> 00:52:12.374]  And one of the states that's working on legislation is Washington State.
[00:52:13.094 --> 00:52:18.315]  Reps like Matt Shea are working on that legislation, and they're working with the Tenth Amendment Center.
[00:52:18.335 --> 00:52:26.737]  And so we are joined now to flesh out that issue and talk about its implications by the Deputy Director of the Tenth Amendment Center, Bryce Shonka.
[00:52:26.757 --> 00:52:27.897]  Thanks for joining us, Bryce.
[00:52:28.575 --> 00:52:30.196]  Thank you Aaron, always good to be here.
[00:52:30.957 --> 00:52:50.936]  So obviously, glad you could join us, obviously a lot of people are concerned about the implications, the slippery slope of total government power, the ability to black bag someone and put them in a hole that, you know, who knows if they're ever going to resurface, no right to due process, no trial, not even any formal accusations perhaps under this law.
[00:52:51.576 --> 00:52:54.079]  Do you see the same crazy implications under NDAA?
[00:52:55.151 --> 00:53:01.754]  Yeah, well, basically what we're talking about here is, you know, a common scene in Iran.
[00:53:02.374 --> 00:53:10.257]  A van pulls up, puts a bag over somebody's head after a bunch of guys jump out, and then they throw him in the van and drive off, and that person's never seen again.
[00:53:10.617 --> 00:53:18.340]  This is what we've always associated with dictatorships all my life, and places that were full of quote-unquote bad guys.
[00:53:18.940 --> 00:53:32.632]  Well, with the NDAA, they have basically thrown out three quarters of the Bill of Rights, and when Obama signed that, that's effectively the power that he gave to the federal government to do against the American people.
[00:53:33.370 --> 00:53:41.956]  Well exactly, it has a lot less to do with terrorism than it does the classic kind of Stalinist techniques, and of course it's happened in so many other countries as you recognize.
[00:53:42.396 --> 00:53:51.522]  Now, Virginia has already passed legislation regarding the NDAA, kind of really refuting the idea of kidnapping someone.
[00:53:52.063 --> 00:53:58.087]  Can you tell us the different types of legislation that are going on in Washington State, in Virginia, I believe Maryland,
[00:53:58.767 --> 00:54:03.588]  And Tennessee are also on the list, among other states, Arizona and Oklahoma as well.
[00:54:04.169 --> 00:54:09.270]  Can you talk about what the different states are trying to work on and what other states might be considering this legislation?
[00:54:10.230 --> 00:54:17.472]  Well, there's a host of states that are already drafting up versions of NDAA nullification bills.
[00:54:18.552 --> 00:54:23.734]  About a month ago, Matt Shea called me up and he said, hey, have you heard about this NDAA thing?
[00:54:23.754 --> 00:54:25.194]  And I said, well, yeah, absolutely.
[00:54:25.254 --> 00:54:27.695]  It's a scary, scary thing.
[00:54:28.415 --> 00:54:41.560]  And he asked me if 10th Amendment Senator would be willing to help him and a few other legislators from around the republic to write up a bill to nullify this and to say no at our state lines and we jumped right on it.
[00:54:42.521 --> 00:54:49.623]  Collaboratively came up with a package of four bills that we call the Liberty Preservation Act.
[00:54:50.304 --> 00:54:56.526]  And this, you know, on the lighter end for more timid legislators,
[00:54:57.086 --> 00:55:21.122]  Just identifies it as such and in certain cases where they feel like going all the way Like in Virginia you mentioned the the language stating it as kidnapping they're actually talking about nullifying this and codifying into law penalties and legal action against federal agents that are that are found guilty of doing this to us and
[00:55:23.277 --> 00:55:27.098]  Yeah, it seems to me we have multiple levels of overreach of power.
[00:55:27.218 --> 00:55:29.578]  Obviously you cannot violate the Bill of Rights.
[00:55:29.618 --> 00:55:32.359]  Those are guaranteed rights to the individual and to the state.
[00:55:32.699 --> 00:55:35.300]  Really something central to the Tenth Amendment Center's work.
[00:55:35.660 --> 00:55:42.641]  But there's also that overreach of executive power just within the federal government powers and the way it's dispersed among the three branches.
[00:55:43.221 --> 00:55:46.802]  And so it seems to me it's all the more important that states take on this issue.
