[00:00:21.880 --> 00:00:25.526]  Good evening, this is InfoWars Nightly News, and I'm David Ortiz.
[00:26:42.403 --> 00:26:45.165]  So again, this is all part of conditioning your garbage.
[00:26:45.685 --> 00:26:48.868]  The police state is growing to heck with due process.
[00:26:48.928 --> 00:26:50.949]  We see that with the NDAA law.
[00:26:51.309 --> 00:26:52.410]  We're going to break laws.
[00:26:52.430 --> 00:26:53.711]  You need to get used to it.
[00:26:54.272 --> 00:26:59.636]  And now they're treating students as criminals for the most minor of offenses.
[00:27:00.096 --> 00:27:04.179]  And once again, all part of the conditioning process, all part of the growing police state.
[00:27:04.499 --> 00:27:05.100]  But notice
[00:27:05.580 --> 00:27:09.901]  They don't do this to the local school board member who steals $5,000.
[00:27:10.461 --> 00:27:14.482]  They don't say, we're going to throw you in prison and we'll talk about it after the case.
[00:27:15.302 --> 00:27:16.522]  They only do that with students.
[00:27:16.562 --> 00:27:19.263]  They don't do this to the police department that has pensions.
[00:27:19.583 --> 00:27:26.164]  I'm not saying that specific town, but they don't do this to the police departments that have pensions that nobody can afford, that the taxpayers can't afford.
[00:27:26.704 --> 00:27:29.204]  They don't do this to the criminal element in the police department.
[00:27:29.244 --> 00:27:30.565]  They do this to you, the people.
[00:27:31.145 --> 00:27:31.685]  So there you go.
[00:27:33.010 --> 00:27:35.812]  Another situation of the growing police state.
[00:27:36.673 --> 00:27:44.078]  And in other news, this was also posted on InfoWars.com, Texas warns globalist vote observers they may be arrested.
[00:27:44.739 --> 00:27:58.929]  And it reads later on in the article, the United Nations affiliated group has dispatched election monitors from Europe and Central Asia to polling locations around the United States to document voter suppression activities by conservative groups, The Hill reported last week.
[00:27:59.549 --> 00:28:00.110]  We're good.
[00:28:20.385 --> 00:28:34.381]  The UN is not welcome here, we honor sovereignty, and that sounds nice in theory, but yet Governor Rick Perry and other neocons demand that the United Nations have monitors monitor other countries' elections.
[00:28:35.282 --> 00:28:40.044]  And if they don't, well then they're, you know, they don't want democracy, and they're a bad country.
[00:28:40.504 --> 00:28:52.209]  But when these UN monitors, who from what I understand aren't really going to do anything but basically breathe over the officials here, when they come over to the United States, then, you know, you're not allowed to do that.
[00:28:52.309 --> 00:28:53.069]  That's evil.
[00:28:53.429 --> 00:28:56.631]  Now listen, the United Nations is obviously a corrupt organization.
[00:28:56.851 --> 00:28:58.571]  We're not saying that they're the good guys.
[00:28:59.252 --> 00:29:04.494]  It just seems like these are two different groups of people pointing the finger at each other when they're both
[00:29:05.194 --> 00:29:06.754]  Partake in criminal activity.
[00:29:07.194 --> 00:29:13.555]  What are you afraid, Governor Perry, that maybe that the UN finds out that we are involved in fraudulent elections?
[00:29:14.176 --> 00:29:16.556]  That some of the elections have fraud going on?
[00:29:17.176 --> 00:29:27.958]  And once again, if in fact you're all about sovereignty, well that sounds noble on the surface, then do me this favor, don't demand that the Iraqis have, quote, transparent elections.
[00:29:28.378 --> 00:29:33.879]  Don't demand that the Afghanistan citizens have transparent elections and then demonize them
[00:29:34.199 --> 00:29:38.781]  When they don't have UN monitors monitoring their elections.
[00:29:39.461 --> 00:29:47.664]  I think it was President Carter, who obviously was a horrible president, but he said the United States obviously has a lot of fraud going on in its elections.
[00:29:48.444 --> 00:29:58.127]  So it seems again, once again, these are two criminal groups, two ridiculous groups pointing the finger at one another when they're both doing things that are illegal.
[00:29:58.147 --> 00:30:01.989]  The United Nations is obviously a corrupt organization and we have
[00:30:02.489 --> 00:30:02.929]  I don't know.
[00:30:22.685 --> 00:30:31.634]  And it says, while the Secretary of Defense suggests this capability might be possessed by terrorist organizations, the U.S.
[00:30:31.694 --> 00:30:35.819]  military continues to deny that they also control such technology.
[00:30:36.459 --> 00:30:39.002]  And that was from Dr. Nick Begich, obviously.
[00:30:39.402 --> 00:30:41.885]  He's talking about the hypocrisy of our government.
[00:30:42.425 --> 00:30:48.187]  And, you know, we're allowed to have nuclear weapons, but if another country has nuclear weapons, they're evil.
[00:30:48.627 --> 00:30:55.730]  We're allowed to spy with drone airplanes, but if you spy on us with drone airplanes, that's an act of war.
[00:30:56.090 --> 00:31:04.133]  We're allowed to practice military war games on the Straits of Hormuz, but if China practices in the Gulf of Mexico, they're evil.
[00:31:05.273 --> 00:31:07.414]  It talks about the hypocrisy of our country.
[00:31:07.894 --> 00:31:10.995]  Never confuse great ideals with great government.
[00:31:11.135 --> 00:31:13.876]  The United States has great ideals, in my estimation.
[00:31:13.976 --> 00:31:15.016]  The greatest ideals.
[00:31:15.557 --> 00:31:18.658]  But our government is far, far from great.
[00:31:19.938 --> 00:31:25.180]  And obviously, we have some of Nick Begich's books at infowarshop.com.
[00:31:25.220 --> 00:31:26.340]  He's a great author.
[00:31:26.760 --> 00:31:30.982]  And if you're interested, one of the books that we have is called Angels Don't Play This Harp.
[00:31:32.028 --> 00:31:36.689]  by the doctor, and there's another book that we have called, Controlling the Human Mind.
[00:31:37.850 --> 00:31:44.131]  So once again, if you want some food for thought, you can go to InfoWarshop.com and check out those two books.
[00:31:44.651 --> 00:31:46.832]  Now in just a minute, we will return.
[00:31:46.892 --> 00:31:53.794]  I recently conducted an interview earlier today with Dr. Will Spencer of VibrantBees.com.
[00:31:54.274 --> 00:31:58.815]  Now, Dr. Spencer focuses on the honeybee,
[00:31:59.415 --> 00:32:11.471]  He has his own bee farm, and he's going to be talking about the colony collapse disorder, which is a major, major issue, and is affecting everyone watching this newscast right now.
[00:32:11.831 --> 00:32:13.534]  He'll tell you how in just a minute.
[00:32:18.078 --> 00:32:21.460]  I want to share a story back in August when I traveled to Austin, Texas.
[00:32:22.220 --> 00:32:30.324]  I met a man from Homeland Security and he was a ground transportation coordinator.
[00:32:31.024 --> 00:32:34.846]  Long story short, when I got to talk to him, he was an Alex Jones fan.
[00:32:34.866 --> 00:32:36.867]  He's been working for FEMA for about 17 years.
[00:32:38.408 --> 00:32:40.409]  I think it was 17 or 18 years.
[00:32:41.249 --> 00:32:42.889]  I learned he was an Alex Jones fan.
[00:32:42.909 --> 00:32:44.270]  I had an Infowars t-shirt on.
[00:32:44.310 --> 00:32:49.231]  He spotted me and I started talking to him.
[00:32:49.251 --> 00:32:51.032]  I heard him on the phone talking to his brother.
[00:32:51.052 --> 00:32:54.333]  He was talking about Janet Napolitano and all that.
[00:32:54.573 --> 00:32:59.935]  Anyway, long story short, he told me that he got called on an emergency meeting.
[00:33:00.595 --> 00:33:07.623]  That day, to fly to Washington, which was at BWI Baltimore Washington International Airport, that's where I met him.
[00:33:07.923 --> 00:33:14.230]  I was on layover, waiting for my flight, and he told me a very interesting story.
[00:33:14.871 --> 00:33:19.155]  And he said, they don't tell me everything, this is his words, they don't tell me everything.
[00:33:19.476 --> 00:33:22.279]  But he goes, they called me on an emergency meeting today.
[00:33:22.719 --> 00:33:25.061]  Man, he's looking around and I'm like, you alright?
[00:33:25.081 --> 00:33:29.245]  I'm like, yeah, I'm here with a few people, but I gotta be careful.
[00:33:29.685 --> 00:33:36.492]  So, you guys, anyway, what they told me was that they called me, you know, today, they called us an emergency.
[00:33:36.512 --> 00:33:39.054]  Get to Washington now, you're on an express flight, basically.
[00:33:39.634 --> 00:33:40.996]  And he was heading home.
[00:33:41.816 --> 00:33:42.998]  And he said, his job,
[00:33:44.779 --> 00:33:45.659]  I don't know.
[00:34:00.126 --> 00:34:02.508]  He had his job to organize 20,000.
[00:34:02.648 --> 00:34:09.332]  That's 20,000 Metro City buses along the East Coast and key points of the East Coast.
[00:34:09.912 --> 00:34:13.574]  And he goes, something big is coming October, November.
[00:34:13.875 --> 00:34:14.435]  He told me that.
[00:34:14.475 --> 00:34:17.097]  He goes, October, November, there's going to be something big.
[00:34:17.117 --> 00:34:18.297]  He goes, I don't know what it is.
[00:34:18.317 --> 00:34:19.138]  They don't tell me everything.
[00:34:19.158 --> 00:34:23.561]  But he said, it's going to be in the guise of a natural disaster.
[00:34:24.821 --> 00:34:25.362]  And he told me.
[00:34:26.567 --> 00:34:38.791]  He said, when you go home, you know, because I told him what I was doing, because when you go back to Rhode Island, okay, within a week from then, they're going to be organizing disaster drills throughout New England.
[00:34:39.271 --> 00:34:42.192]  And sure enough, this was not announced on mainstream media either.
[00:34:42.873 --> 00:34:43.413]  Sure enough.
[00:34:44.892 --> 00:34:49.897]  Well, it was announced like a day before, and it was the one place that the mainstream media was talking about.
[00:34:50.357 --> 00:34:53.641]  Sure enough, when I went home, a week later, boom!
[00:34:54.201 --> 00:35:02.650]  There was natural disaster drills being conducted by FEMA, just like he said, and by the National Guard, just like he said, a joint exercise.
[00:35:03.350 --> 00:35:06.734]  Well, the mainstream media says they're conducting one in Naragansett, Rhode Island.
[00:35:09.196 --> 00:35:13.179]  They already mentioned one, but there were three in Rhode Island and several in Massachusetts.
[00:35:13.620 --> 00:35:27.630]  I managed to get to one, which I have the video on my YouTube, and basically they were conducting a natural disaster drill, like he said, communications being gone, a natural disaster, and power outages.
[00:35:28.351 --> 00:35:30.553]  That's what they were conducting, just like he told me.
[00:35:32.296 --> 00:35:34.477]  And he said there's going to be a natural disaster.
[00:35:34.537 --> 00:35:36.918]  He said, I am not sure what it is.
[00:35:36.958 --> 00:35:43.621]  They don't tell me everything, but he said my job is to organize and get together the 20,000 Metro buses that they need on the East Coast.
[00:35:44.562 --> 00:35:46.083]  And real scary stuff.
[00:35:46.423 --> 00:35:48.524]  And he showed me documents in his briefcase.
[00:35:50.285 --> 00:35:53.706]  And it says FEMA Homeland Security right on the documents.
[00:35:53.886 --> 00:35:57.128]  And I mentioned about the FEMA camps, the internment camps.
[00:35:58.120 --> 00:36:00.501]  Which is on record HR 645, Army Regulations 210-35, FM 3-39.40, and anyway, um...
[00:36:09.882 --> 00:36:11.784]  I told him, I said, I've been to one of these camps.
[00:36:11.804 --> 00:36:15.326]  I've seen one with my own eyes, actually two, and the third one being built.
[00:36:16.207 --> 00:36:17.468]  And he goes, where was that?
[00:36:17.608 --> 00:36:20.230]  And I said, Fort Devens, FMC Devens.
[00:36:20.270 --> 00:36:25.034]  If you go to Google Earth right now, type in FMC Devens, Massachusetts.
[00:36:25.714 --> 00:36:28.957]  That's Army Field Medical Center.
[00:36:29.733 --> 00:36:35.983]  And if you type that in, and you go east toward there, and zoom it in, you're gonna see prisons there.
[00:36:36.684 --> 00:36:42.092]  Now there's a state prison near there, but that's not the one I'm talking about, and they just built a whole new facility.
[00:36:42.273 --> 00:36:42.873]  Now it's empty!
[00:36:43.797 --> 00:36:45.697]  They have trucks patrolling and everything.
[00:36:46.138 --> 00:36:47.178]  Anyway, I mentioned this to him.
[00:36:47.198 --> 00:36:48.338]  He goes, hold on one second.
[00:36:48.378 --> 00:36:49.498]  And you get him looking around.
[00:36:49.518 --> 00:36:52.259]  And he goes, opens a document.
[00:36:52.419 --> 00:36:53.079]  Another book.
[00:36:53.880 --> 00:36:55.320]  And he's flipping through the pages.
[00:36:55.600 --> 00:36:56.820]  He goes, is this what you're talking about?
[00:36:56.840 --> 00:36:58.681]  And it was a satellite image.
[00:36:58.761 --> 00:37:00.881]  All the statistic data of that kid.
[00:37:02.022 --> 00:37:03.082]  And Fort Devens mask.
[00:37:03.422 --> 00:37:06.323]  He goes, yeah, it is disguised as a medical center.
[00:37:07.256 --> 00:37:12.000]  And I told him when I went there, because I know, I got friends who work at federal prisons.
[00:37:12.101 --> 00:37:13.642]  They don't have government license plates.
[00:37:14.523 --> 00:37:17.425]  All the work is coming in and they have government license plates.
[00:37:18.516 --> 00:37:22.499]  Homeland Security FEMA badges on their uniforms as well.
[00:37:23.280 --> 00:37:26.602]  I'm saying to myself, this is not a regular federal prison camp.
[00:37:27.163 --> 00:37:27.663]  Not at all.
[00:37:28.224 --> 00:37:30.445]  Anyway, he described this.
[00:37:30.465 --> 00:37:37.170]  He showed me the layout, the data, and said they're building another one, which is already built now, because it's been a couple years since I've been up there.
[00:37:37.631 --> 00:37:38.992]  He goes, there's three of them over there.
[00:37:39.232 --> 00:37:40.053]  Three of them.
[00:37:40.073 --> 00:37:43.715]  And exactly how I seen it, he described, he showed me the map and everything.
[00:37:44.155 --> 00:37:45.916]  But he said, again, they don't tell me everything.
[00:37:45.996 --> 00:37:51.259]  He said, be aware, they're going to have natural disaster drills up there, up in New England.
[00:37:52.420 --> 00:37:58.384]  There's going to be a martial law called in the guise of a natural disaster.
[00:38:00.205 --> 00:38:02.787]  And he said it's going to be late October, early November.
[00:38:03.726 --> 00:38:06.066]  And he goes, coincidental, just in time for the elections.
[00:38:06.126 --> 00:38:07.487]  He told me that back then.
[00:38:08.707 --> 00:38:13.368]  And you see mainstream media folks calling for October Surprise.
[00:38:13.628 --> 00:38:18.209]  And we've been saying October Surprise is going to be in November, which is basically at the beginning for the elections.
[00:38:18.929 --> 00:38:27.050]  So, basically, we're getting ready for the storm here, and I'm going to go out on the field, I'm going to go to the beaches, I'm going to go to places.
[00:38:27.110 --> 00:38:28.510]  I've been to the gas stations, folks.
[00:38:28.851 --> 00:38:30.391]  Gas stations are out of gas.
[00:38:31.755 --> 00:38:34.297]  I'm going to go on the road today and show you the stuff.
[00:38:34.677 --> 00:38:36.358]  But the gas stations are out of gas.
[00:38:36.758 --> 00:38:38.239]  The supermarkets are whipped out.
[00:38:38.920 --> 00:38:41.281]  I mean, they're spreading fear-mongering about the storm.
[00:38:41.301 --> 00:38:53.249]  And yes, it could be a really bad storm, as we think it might be, because of, again, the guys to call for martial law to evacuate, which Rhode Island has already evacuated several cities, folks.
[00:38:54.370 --> 00:38:57.732]  Several South County cities have been mandatory evacuated.
[00:38:58.942 --> 00:39:01.345]  So, um, and they have national gods out there.
[00:39:01.385 --> 00:39:05.030]  We're hopefully going to take a ride down there today and get all this on film.
[00:39:05.651 --> 00:39:12.921]  But folks, um, I'm just standing for the West because right now everything this guy has told me has come true to a T.
[00:39:14.042 --> 00:39:20.047]  And we're going to get all this on video, and I hope to God they don't call for martial law, because you know what that means.
[00:39:20.107 --> 00:39:25.192]  Gun confiscations, even though when I confronted FEMA, they said we don't do that.
[00:39:25.252 --> 00:39:26.713]  I'm like, what about Hurricane Katrina?
[00:39:27.153 --> 00:39:27.994]  Oh, we never did that.
[00:39:28.014 --> 00:39:29.115]  It's on mainstream media.
[00:39:29.936 --> 00:39:33.679]  You know, they didn't show the national guards going from door to door confiscating weapons.
[00:39:34.219 --> 00:39:37.502]  But anyway, they're not going to get my gun, and you know, it's just...
[00:39:41.089 --> 00:39:45.072]  A lot of propaganda out there, folks, to say, oh, we're all here for your safety.
[00:39:45.253 --> 00:39:45.873]  Get on the buses.
[00:39:45.913 --> 00:39:47.494]  We're going to take you to a safe place.
[00:39:48.255 --> 00:39:50.697]  But anyway, I'll get back to you, folks.
[00:39:50.737 --> 00:39:53.680]  I'm going to show you some videos of the gas pumps being out of gas.
[00:39:54.220 --> 00:39:56.062]  Signs that we had no gas.
[00:39:56.182 --> 00:39:57.743]  Water's like bottled water.
[00:39:57.783 --> 00:39:58.744]  You can't find it anywhere.
[00:39:59.164 --> 00:40:00.606]  Generators, forget about that.
[00:40:01.466 --> 00:40:05.009]  And, you know, I hope this guy's wrong.
[00:40:05.209 --> 00:40:05.610]  I really do.
[00:40:53.035 --> 00:41:00.600]  While we fight to retain our liberty, while we fight to expose globalism, we have to realize we're talking about a very powerful combination of power.
[00:41:01.061 --> 00:41:08.826]  Renowned author and expert, Joel Skousen, breaks down the globalist plan to shut down America and stage a new world war.
[00:41:09.547 --> 00:41:12.889]  In one day, America will go from day to night.
[00:41:14.430 --> 00:41:21.495]  And if you haven't prepared in advance, there's not enough time to prepare in 24 hours, even if you saw it that early.
[00:41:23.396 --> 00:41:28.820]  Coming to the Info War in November is our new documentary film presentation.
[00:41:29.561 --> 00:41:35.866]  Strategic relocation is a systematic way to think strategically in the future about how do I safeguard.
[00:41:36.307 --> 00:41:38.929]  Joel Skousen, Strategic Relocation.
[00:41:41.653 --> 00:41:48.579]  The freeways are going to be crowded, they're going to run out of gasoline, they're going to run out of food, and then they're going to start to go north and south of those freeways.
[00:41:48.799 --> 00:41:54.885]  Joel Skousen is renowned as one of the world's foremost experts in strategic relocation and the securing of your home.
[00:41:55.245 --> 00:42:00.570]  We talk about natural disasters, the health environment, we talk about pollution, the water quality.
[00:42:00.910 --> 00:42:03.753]  My personal experience about being in every one of these states...
[00:42:04.193 --> 00:42:10.117]  Government is digging in for the organized incremental collapse of society and world war.
[00:42:10.377 --> 00:42:15.020]  The US isn't building huge underground bases and bunkers because of some terrorist threat.
[00:42:15.480 --> 00:42:18.382]  They know that a massive nuclear attack is coming.
[00:42:18.763 --> 00:42:20.103]  They want that attack to come.
[00:42:20.544 --> 00:42:25.107]  Most people won't even be ready and won't be able to get out of town when any of these nuclear weapons fall.
[00:42:25.667 --> 00:42:27.288]  Because there'll be absolute panic.
[00:42:27.588 --> 00:42:30.110]  There is no preparedness without strategy.
[00:42:30.546 --> 00:42:33.347]  What I tell people is that you do have time.
[00:42:33.367 --> 00:42:35.387]  Prepare wisely in advance.
[00:42:35.607 --> 00:42:38.288]  This Christmas, give the gift of preparedness.
[00:42:39.108 --> 00:42:40.868]  Strategic Relocation the Film.
[00:42:41.369 --> 00:42:43.389]  With Joel Skousen and Alex Jones.
[00:42:58.499 --> 00:43:01.360]  My friends, Alex Jones here with a very important announcement.
[00:43:01.760 --> 00:43:07.581]  We are launching a new salvo in the InfoWars, because there is a war on for your mind.
[00:43:08.242 --> 00:43:18.624]  You know that the Globalists are trying to get everybody online, and only online, so they can control and surveil information, and also erase books, videos, whatever they want to, en masse.
[00:43:19.285 --> 00:43:24.406]  That's why we're launching our answer to the Internet Kill Switch, InfoWars Magazine.
[00:43:24.826 --> 00:43:26.447]  The first issue, we printed over 90,000 copies.
[00:43:27.907 --> 00:43:28.087]  I think?
[00:43:48.206 --> 00:43:54.509]  But we don't just stop with the rise of the robots and the end of humanity, or will humanity survive the singularity?
[00:43:54.949 --> 00:44:00.172]  We get into the government buying now 1.6 billion bullets against the American people.
[00:44:00.512 --> 00:44:06.175]  We get into big sister surveillance of this magazine and my website, Infowars.com.
[00:44:06.635 --> 00:44:11.218]  We cover QE3 and what hyperinflation means to you and your family.
[00:44:11.678 --> 00:44:15.983]  Whatever you do, don't look back later and wish that you would have taken action.
[00:44:16.403 --> 00:44:17.525]  Take action now.
[00:44:17.645 --> 00:44:21.109]  People have never been more ready for this information.
[00:44:21.189 --> 00:44:25.113]  People have never been this hungry, starving for the truth.
[00:44:25.754 --> 00:44:29.879]  And it is contained in the new issue of InfoWars Magazine.
[00:44:30.339 --> 00:44:31.581]  This is a time capsule.
[00:44:32.181 --> 00:44:33.983]  It is so important to get it out to everyone.
[00:44:34.364 --> 00:44:40.311]  If you subscribe now for 12 issues, we will give you the first issue absolutely free.
[00:44:40.351 --> 00:44:43.915]  So that's 13 issues for our 13 colonies.
[00:44:44.316 --> 00:44:46.338]  Part of restoring the spirit of 1776 worldwide.
[00:44:48.439 --> 00:44:55.900]  Again, go to Infowarsstore.com and order 10 packs, up to 100 packs at cost and give them out to people in your area.
[00:44:56.180 --> 00:44:58.401]  The response last month was incredible.
[00:44:58.701 --> 00:45:03.042]  People are hungry to actually hold this information in their hands.
[00:45:04.082 --> 00:45:10.363]  You can also subscribe and get 12 issues delivered to your door and get the first inaugural issue free.
[00:45:11.303 --> 00:45:16.784]  I'm Alex Jones, thanking all of you for your support and making our operation a huge success.
[00:46:03.286 --> 00:46:04.287]  Welcome back.
[00:46:04.327 --> 00:46:09.731]  Well, we are now joined by Dr. Will Spencer of VibrantBees.com.
[00:46:10.131 --> 00:46:23.401]  Dr. Spencer is an expert in bees, specifically the honeybee, and the doctor is going to talk about a lot of issues, including colony collapse disorder and how this affects you, the viewer.
[00:46:24.102 --> 00:46:26.724]  Doctor, thank you for joining us here on InfoWars Nightly News.
[00:46:27.144 --> 00:46:27.705]  Glad to be here.
[00:46:28.806 --> 00:46:31.628]  Now, Doctor, briefly tell us a little bit about yourself.
[00:46:33.587 --> 00:46:57.559]  Well, I've had bees for quite a while, and I've actually had some problems with my honeybees, which led me into discovering a lot of things with the health of the honeybees, because mine basically died because of surrounding farming and other contributing factors.
[00:46:58.035 --> 00:47:04.421]  Which led me to developing some solutions for my own personal bees and then started to share that with other people.
[00:47:04.901 --> 00:47:07.784]  How long have you been studying honeybees and working with honeybees?
[00:47:08.885 --> 00:47:09.526]  Oh, since about 2000.
[00:47:09.566 --> 00:47:09.666]  Okay.
[00:47:12.859 --> 00:47:16.361]  Now, Doctor, most people do not know a lot about honeybees.
[00:47:16.461 --> 00:47:19.603]  It's obviously not a topic that they talk about quite often.
[00:47:20.824 --> 00:47:23.806]  Explain to us, why are honeybees so important?
[00:47:24.266 --> 00:47:29.129]  I mean, a lot of people just think that they're annoying insects that just fly over our potato salad.
[00:47:29.869 --> 00:47:33.812]  But tell us a little bit about the honeybees and why they are important to us.
[00:47:34.592 --> 00:47:37.374]  Well, in the industrialized food chain that we have today,
[00:47:38.308 --> 00:47:45.033]  They say up to 70% of our food is due to the honey bees pollinating the crops.
[00:47:46.454 --> 00:47:58.563]  The agriculture moves the bees around from crop to crop, like from the almond pollination in California to the citrus to the apples up in Washington and the pears and the cherries.
[00:47:59.483 --> 00:48:02.906]  The importance of the bees in agriculture
[00:48:04.193 --> 00:48:08.276]  Allows for the production of the plants to be much greater than they normally would be.
[00:48:08.737 --> 00:48:15.222]  Because the bees are moved into the fields to help the flowers, more flowers get pollinated.
[00:48:15.603 --> 00:48:19.446]  So therefore the production of food increases on the same amount of land.
[00:48:21.127 --> 00:48:26.231]  So the bees are extremely important because they're helping us get more production out of the land.
[00:48:26.892 --> 00:48:29.014]  Out of the crops because
[00:48:30.467 --> 00:48:40.169]  Normally there's not that many native pollinators in the areas around the field, so they're moving the bees into the fields, around the fields, to help with the pollination.
[00:48:40.190 --> 00:48:41.290]  Okay.
[00:48:41.610 --> 00:48:50.752]  Now for the past couple of years, Doctor, we've been hearing about colony collapse disorder, colony collapse disorder, and how it's very important that we acknowledge the issue.
[00:48:51.292 --> 00:48:53.673]  Tell us a little bit about this concerning trend.
[00:48:55.413 --> 00:49:04.096]  Well, my research and investigations have led me into several contributing factors.
[00:49:04.136 --> 00:49:05.836]  Tell us a little bit about Colony Collapse Disorder.
[00:49:05.856 --> 00:49:06.876]  Some people don't even know what it is.
[00:49:07.136 --> 00:49:18.680]  Colony Collapse Disorder, on a whole, on a general, is the bees leave, their colony collapses, meaning the bees actually leave the colony.
[00:49:19.940 --> 00:49:20.660]  Or they die.
[00:49:23.288 --> 00:49:28.230]  There's roughly 60,000 bees in a healthy colony.
[00:49:29.150 --> 00:49:34.972]  And when the colony collapses, there could be just a handful of bees left.
[00:49:35.872 --> 00:49:37.973]  And they're not even dead in the hive.
[00:49:37.993 --> 00:49:38.733]  They're just gone.
[00:49:38.793 --> 00:49:39.474]  There's nothing.
[00:49:39.514 --> 00:49:40.614]  The bees are gone.
[00:49:41.934 --> 00:49:50.157]  Sometimes there's a queen left or just a few bees, but the majority of the bees leave for one reason or another.
[00:49:51.098 --> 00:49:52.218]  Okay, and this has been occurring.
[00:49:52.802 --> 00:49:57.064]  This has been occurring really big time since about 2006 is when it first started.
[00:49:57.104 --> 00:49:59.406]  In Florida, my understanding is.
[00:50:00.166 --> 00:50:09.431]  And that was because of, they say, because of the introduction to some of these pesticides that have been in the food chain now.
[00:50:09.691 --> 00:50:11.152]  And that all started roughly in about 2006.
[00:50:11.492 --> 00:50:12.153]  Okay.
[00:50:13.934 --> 00:50:17.456]  Now, what type of impact has this been having on our food supply?
[00:50:20.757 --> 00:50:21.158]  Well, the
[00:50:22.228 --> 00:50:36.253]  The overall loss of the bees is directly related to the food prices because we're having less food, less flowers pollinated because we're having less bees.
[00:50:36.273 --> 00:50:42.135]  It's also putting a strain on the honey industry because we're having less bees now.
[00:50:42.616 --> 00:50:43.376]  There's less hives.
[00:50:43.416 --> 00:50:47.177]  Some beekeepers are losing up to 80-90% of their bee colonies.
[00:50:47.857 --> 00:50:51.699]  So some of the larger beekeepers having several thousand hives
[00:50:52.682 --> 00:50:56.944]  They have, they're losing 80% of their hives in one season.
[00:50:56.964 --> 00:51:07.390]  They have to spend a lot of extra money to rebuild their hive population so they can continue to do their livelihood, which is pollinate crops.
[00:51:09.070 --> 00:51:18.535]  Now, how has this negatively impacted, you know, what type of economic impact has this had on people in your industry and in other industries?
[00:51:19.616 --> 00:51:21.677]  Well, it's driven up the cost of honey.
[00:51:24.006 --> 00:51:31.348]  For instance, a lot of the honey in this country now, in the conventional market, is actually not even honey.
[00:51:31.468 --> 00:51:33.649]  They're supplementing it to keep the price down.
[00:51:33.709 --> 00:51:35.149]  It's driving the honey prices up.
[00:51:36.710 --> 00:51:46.032]  In the food, because of the lack of pollinators, that equates into less food production, so it's driving the cost of food up.
[00:51:49.238 --> 00:51:59.729]  It's also causing, in the beekeeping industry, it's driving prices up because of the supply and demand of hives, of bees, of queens.
[00:52:00.570 --> 00:52:11.441]  It's causing pollination costs to go up because there's less bees to do the pollinating, so therefore the farmers have to pay more to get
[00:52:12.153 --> 00:52:19.835]  To attract beekeepers to send their bees to certain, like almond pollination or apple pollination.
[00:52:19.895 --> 00:52:24.497]  So it's costing the farmers more because there's less bees available.
[00:52:25.557 --> 00:52:27.677]  So it's a simple supply and demand.
[00:52:27.698 --> 00:52:28.418]  Okay.
[00:52:29.078 --> 00:52:30.518]  Now, what is the cause of this?
[00:52:32.299 --> 00:52:33.439]  Well, there's several theories.
[00:52:33.979 --> 00:52:39.541]  My own personal experience is it's directly related to pesticide use.
[00:52:41.867 --> 00:52:56.301]  The small farm that I had my bees on, the bees were doing fine until they switched to using pesticides around the fields, around the land where my hives were.
[00:52:57.102 --> 00:53:01.366]  And by the second year of the pesticides being used, I lost 12 hives.
[00:53:05.703 --> 00:53:14.289]  In the pollination, the migratory pollination, there's the overworking of the bees because bees naturally take a break in the wintertime.
[00:53:15.110 --> 00:53:22.375]  While the pollination, the bees that do the pollination year-round, they're trucking their bees all over the country so they're severely stressed.
[00:53:25.337 --> 00:53:32.382]  In Europe, they've proved now that the electrical smog or the EMS in the environment is directly related to
[00:53:33.303 --> 00:53:34.404]  The stress on the bees.
[00:53:34.424 --> 00:53:44.533]  Because you can take a phone, especially a smart phone, and just leave it on and set it on the entrance of the hive and eventually within a month the bees will leave.
[00:53:46.574 --> 00:53:54.341]  So that's pretty profound and in this country they're not even addressing the electrical smog issue, the EMF issue at all with the bees.
[00:53:55.862 --> 00:54:00.306]  And first and foremost I believe it has to do with malnutrition.
[00:54:01.556 --> 00:54:06.238]  Because the bees' food is the pollen and the nectar.
[00:54:07.219 --> 00:54:10.460]  And the soil, we know, has been deficient for a solid hundred years.
[00:54:12.281 --> 00:54:20.065]  And when you have a diminished food source, you have a diminished immunity, you have a diminished organism.
[00:54:20.925 --> 00:54:30.170]  And I'm finding that bees that are fed extra minerals and extra food to increase their nutritional density
[00:54:30.663 --> 00:54:30.783]  Okay.
[00:54:30.803 --> 00:54:33.285]  Now, this has been occurring for about five, six years now.
[00:54:33.325 --> 00:54:36.307]  Has it been getting worse, or has the situation been improving?
[00:54:51.009 --> 00:54:54.553]  I don't see any improvements from my view.
[00:54:55.834 --> 00:55:00.598]  Some beekeepers are overcoming and adapting so they're getting some increase in health.
[00:55:01.439 --> 00:55:09.647]  But overall, I've been traveling around the country talking to a lot of beekeepers and I don't see it getting any better.
[00:55:10.127 --> 00:55:11.628]  I see it continually getting worse.
[00:55:13.290 --> 00:55:13.510]  Okay.
[00:55:16.241 --> 00:55:20.723]  I mean, is there anything we the public can do, you know, to make the situation better?
[00:55:21.923 --> 00:55:29.186]  Well, like they're doing out in California, where they're standing up and protesting against the use of pesticides.
