[00:00:22.682 --> 00:00:23.262]  It's October 24, 2012.
[00:30:18.613 --> 00:30:26.054]  Again, go to Infowarsstore.com and order 10 packs, up to 100 packs at cost and give them out to people in your area.
[00:30:26.354 --> 00:30:28.555]  The response last month was incredible.
[00:30:28.875 --> 00:30:33.196]  People are hungry to actually hold this information in their hands.
[00:30:34.236 --> 00:30:40.517]  You can also subscribe and get 12 issues delivered to your door and get the first inaugural issue free.
[00:30:41.457 --> 00:30:47.018]  I'm Alex Jones, thanking all of you for your support and making our operation a huge success.
[00:31:01.755 --> 00:31:05.137]  Good evening and welcome to our second installment of InfoWars Nightly News.
[00:31:06.278 --> 00:31:07.618]  Now this is going to get pretty serious.
[00:31:07.938 --> 00:31:10.100]  I just want to go over a few articles to set this up.
[00:31:10.120 --> 00:31:11.741]  So we're going to move through these pretty quickly.
[00:31:12.241 --> 00:31:14.222]  Get your pens, write down these headlines.
[00:31:15.054 --> 00:31:18.136]  Because we're about to lay some heavy information on you.
[00:31:18.276 --> 00:31:19.497]  First one is from March 19, 2012.
[00:31:20.157 --> 00:31:26.661]  Obama's latest executive order, martial law confiscation of private property and forced labor.
[00:31:27.081 --> 00:31:30.823]  On Friday, March 16, Obama issued another unconstitutional executive order.
[00:31:31.363 --> 00:31:41.489]  The National Defense Resources Preparedness Executive Order allows the government to confiscate your property without due process under the direction of Janet Napolitano and DHS.
[00:31:43.268 --> 00:31:44.509]  And here is the executive order.
[00:31:44.529 --> 00:31:47.852]  It's called the National Defense Resources Preparedness.
[00:31:47.992 --> 00:31:53.377]  And it basically takes an executive order that Bill Clinton instituted and ramps it up.
[00:31:53.978 --> 00:31:55.819]  So go look up that executive order.
[00:31:55.839 --> 00:31:59.703]  It says everything just in nice lawyer language, how they're going to take your property.
[00:32:01.324 --> 00:32:01.905]  Moving on.
[00:32:02.950 --> 00:32:03.791]  Leaked U.S.
[00:32:03.851 --> 00:32:07.232]  Army document outlines plans for re-education camps in America.
[00:32:07.493 --> 00:32:09.033]  We reported on this back in May.
[00:32:09.414 --> 00:32:11.034]  People said, no, it wasn't true.
[00:32:11.415 --> 00:32:13.136]  Then we reported, oh, the U.S.
[00:32:13.176 --> 00:32:17.058]  Army said it was true, but that they really didn't want that information to get out to the public.
[00:32:17.258 --> 00:32:19.699]  Go read that article and all the relating articles.
[00:32:20.239 --> 00:32:23.721]  It talks about having PSYOP officers, command centers.
[00:32:23.761 --> 00:32:25.362]  They're taking people domestically.
[00:32:25.822 --> 00:32:30.425]  These operations may be performed as domestic civil support operations.
[00:32:31.274 --> 00:32:32.695]  That's rounding people up.
[00:32:33.276 --> 00:32:33.596]  Okay?
[00:32:34.156 --> 00:32:36.118]  And talks about all kinds of stuff in there.
[00:32:36.138 --> 00:32:37.820]  Go read the document, read it for yourself.
[00:32:38.861 --> 00:32:39.561]  Next article.
[00:32:39.981 --> 00:32:44.005]  DHS purchases 200 million more rounds of ammunition.
[00:32:44.766 --> 00:32:58.798]  Following the controversy over its purchase of around 1.2 billion bullets in the last six months alone, the Department of Homeland Security has put out a new solicitation for over 200 million more rounds of ammunition, some of which are designated to be used by snipers.
[00:32:59.713 --> 00:33:02.416]  Okay, so this is just 200 million rounds.
[00:33:02.616 --> 00:33:05.398]  They already, before that, bought 1.2 billion.
[00:33:06.219 --> 00:33:10.463]  And so we're looking at over 1.6 billion in ammo purchases lately through the government.
[00:33:11.644 --> 00:33:12.745]  Now let's go back to 2009.
[00:33:13.906 --> 00:33:18.230]  HR 645, the National Emergency Centers Establishment Act.
[00:33:19.201 --> 00:33:20.502]  And let's just look at the top line there.
[00:33:20.762 --> 00:33:22.563]  To direct, nope, scroll right there.
[00:33:22.684 --> 00:33:29.789]  To direct the Secretary of Homeland Security to establish national emergency centers on military installations.
[00:33:31.910 --> 00:33:33.872]  Now, remember New Orleans and Katrina?
[00:33:34.932 --> 00:33:36.694]  Okay, remember what the Chief of Police had to say?
[00:33:36.714 --> 00:33:38.815]  Guns will be taken.
[00:33:38.875 --> 00:33:39.936]  No one will be able to be armed.
[00:33:40.136 --> 00:33:41.157]  We will take all weapons.
[00:33:44.304 --> 00:33:45.506]  So all guns will be taken.
[00:33:45.546 --> 00:33:48.049]  They went into the high and dry areas and took people's guns.
[00:33:48.370 --> 00:33:49.932]  They took little old ladies' guns.
[00:33:50.392 --> 00:33:53.296]  Anybody who had a gun trying to protect themselves and their property, it was taken.
[00:33:53.617 --> 00:33:57.161]  Here's the article, New Orleans Merit Admits Illegal Gun Confiscation.
[00:33:57.562 --> 00:33:59.585]  That was from the National Rifle Association out of 2008.
[00:34:02.310 --> 00:34:07.674]  Now, if you go to this video, which we played not too long ago, Troops Ordered to Kill All Americans Who Do Not Turn in Guns.
[00:34:07.695 --> 00:34:09.536]  This was a nightly news piece that we put out.
[00:34:10.096 --> 00:34:10.717]  Go check that out.
[00:34:10.757 --> 00:34:16.522]  It's 21 minutes long, and it goes over the whole history of what they're trying to do with the guns in America.
[00:34:16.562 --> 00:34:23.588]  And also, we have Mike Adams, who interviewed a whistleblower, said, yeah, he was in the National Guard and the Army at the time.
[00:34:23.928 --> 00:34:29.532]  He said, yeah, we were going in, kicking in doors, saying, you know, anybody there, do you have any guns?
[00:34:29.573 --> 00:34:31.114]  Taking people's guns in the middle of the night.
[00:34:32.438 --> 00:34:33.339]  Now we go to this next one from 2006.
[00:34:33.379 --> 00:34:35.460]  You see, this isn't just Obama.
[00:34:35.660 --> 00:34:40.083]  This is Bush, and this is Clinton before him, and then Reagan, and old Bush Sr.
[00:34:40.363 --> 00:34:43.085]  The Military Commissions Act, Questions and Answers.
[00:34:43.566 --> 00:34:45.787]  This is from the Center of Constitutional Rights.
[00:34:45.807 --> 00:34:46.568]  This is from October 24, 2006.
[00:34:47.088 --> 00:34:50.450]  Go read that article.
[00:34:50.470 --> 00:34:54.893]  It talks about how they're going to suspend habeas corpus and other nice things.
[00:34:56.590 --> 00:34:59.513]  Habeas Corpus has its origins in the Magna Carta of 1215.
[00:34:59.873 --> 00:35:05.897]  It is the great writ that protects people from arbitrary arrest, disappearance, and indefinite detention without charge.
[00:35:06.378 --> 00:35:14.824]  The cornerstone of Western justice and is essential to the idea that laws, not individuals, be they presidents or kings, govern the land.
[00:35:15.004 --> 00:35:15.485]  That's right.
[00:35:16.485 --> 00:35:18.107]  So the law is bigger than any man.
[00:35:18.527 --> 00:35:19.067]  Now what do we have?
[00:35:19.087 --> 00:35:19.808]  The NDAA?
[00:35:20.588 --> 00:35:22.630]  Now, here's an article that we just published.
[00:35:23.676 --> 00:35:25.198]  On October 17th, breaking.
[00:35:25.718 --> 00:35:29.202]  Prepper put on no-fly list, stranded in Hawaii.
[00:35:29.222 --> 00:35:37.971]  This is a man named Dave Hicks, or Wade Hicks, who was flying to see his wife and somewhere along the line he was put on a no-fly list and he was stranded in Hawaii.
[00:35:38.612 --> 00:35:39.873]  Now you go check out this video.
[00:35:39.933 --> 00:35:42.335]  Prepper put on no-fly list speaks out.
[00:35:43.777 --> 00:35:46.580]  A man named Wade Hicks basically got stranded in Hawaii.
[00:35:47.392 --> 00:35:53.758]  There he goes through everything, how they had a preppers group that they had and some guy who they didn't really trust.
[00:35:53.798 --> 00:35:55.100]  He came in and said some weird things.
[00:35:55.120 --> 00:36:00.305]  Well, they followed him and he went to a Department of Homeland Security headquarters and they said he parked in the handicapped spot.
[00:36:00.345 --> 00:36:01.066]  Very interesting.
[00:36:01.446 --> 00:36:03.068]  And then he gets put on a no-fly list.
[00:36:03.648 --> 00:36:06.811]  Well, yesterday I got an email from a National Guardsman.
[00:36:06.831 --> 00:36:07.832]  We're about to bring him up here.
[00:36:08.673 --> 00:36:11.216]  And basically, he says that
[00:36:12.233 --> 00:36:14.194]  Well, here's what he wrote me in an email.
[00:36:14.254 --> 00:36:16.856]  Doomsday preppers will be treated as terrorists.
[00:36:16.896 --> 00:36:18.197]  Let's get a shot of this real quick.
[00:36:18.217 --> 00:36:19.938]  This is the email that came to me, and there it is.
[00:36:20.458 --> 00:36:22.880]  Doomsday preppers will be treated as terrorists.
[00:36:22.900 --> 00:36:31.926]  There's a lot of other stuff in this, but that's what really caught my eye, because we just had Wade Hicks on the show talking about this, how he was a prepper, and he was put on a no-fly list.
[00:36:32.833 --> 00:36:46.720]  So, our government is digging in, they're buying ammo, they're preparing for civil unrest, but you, as an individual, if you do it, well now we're being told you're going to be treated as a terrorist, and we've already had people on the show that have been treated as terrorists.
[00:36:46.760 --> 00:36:48.060]  They've been put on no-fly lists.
[00:36:48.721 --> 00:36:55.184]  So, this individual sent us this email, he is who he says he is, we've vetted him, but he wants to remain anonymous.
[00:36:55.544 --> 00:36:59.346]  So, for now we're going to call him Soldier X, and Soldier X, how you doing?
[00:36:59.366 --> 00:37:01.267]  I'm doing alright today.
[00:37:01.940 --> 00:37:02.300]  Excellent.
[00:37:02.320 --> 00:37:04.562]  So let's start off with this Doomsday Preppers.
[00:37:04.722 --> 00:37:10.287]  Where were you told this information and how many times were you told that Doomsday Preppers will be treated as terrorists?
[00:37:12.369 --> 00:37:15.892]  I've only been told once when I was told it was a briefing.
[00:37:18.271 --> 00:37:34.379]  In the event that there is civil unrest after the election because of all the talks of if Romney gets elected, there's going to be people going around trying to kill Romney, and they say that there's going to be people that are Democrats trying to kill Republicans because Romney got elected.
[00:37:34.519 --> 00:37:43.603]  So, in the event of that civil unrest, they're asking the Army National Guard troops to come in and basically
[00:37:47.379 --> 00:37:51.042]  Take over the civil unrest and calm it down is basically what I understood.
[00:37:52.223 --> 00:37:53.323]  Well, and that's happened before.
[00:37:53.644 --> 00:37:55.125]  We saw that in the LA riots.
[00:37:55.165 --> 00:37:56.766]  We saw it in New Orleans.
[00:37:56.806 --> 00:38:01.949]  So bringing in the National Guard is something that the government does from time to time.
[00:38:02.390 --> 00:38:08.974]  But now you're saying doomsday preppers, they're going to be specifically going after people who are prepared for this type of event?
[00:38:12.156 --> 00:38:35.582]  They have a list compiled, and I haven't seen the list, but they have a list compiled of all these Doomsday Peppers that have gone public, and they plan to go after them first, because they think that they're going to be the worst part of the civil unrest, even though those people are going to be the people sitting at home defending their homes.
[00:38:36.269 --> 00:38:40.191]  And their own property from those that just want to go crazy and lose their minds.
[00:38:40.571 --> 00:38:43.493]  Yeah, that's the crazy thing, because these people aren't going to need to be taken care of.
[00:38:43.573 --> 00:38:45.334]  They're not going to be standing in the food lines.
[00:38:45.394 --> 00:38:46.534]  They're not going to be looting.
[00:38:47.115 --> 00:38:49.896]  Yet now it seems as if they're going to be treated as terrorists.
[00:38:49.936 --> 00:38:55.959]  But beyond that, they also said soldiers who are preppers will be treated as defects.
[00:38:56.379 --> 00:39:01.342]  Now, what does defect mean in your lexicon, in the National Guard lexicon?
[00:39:02.842 --> 00:39:07.968]  Basically a defect of somebody who has turned and started hating the enemy.
[00:39:08.188 --> 00:39:09.229]  A traitor basically.
[00:39:10.070 --> 00:39:14.414]  Somebody who no longer wants to conform to the way that they want things to be.
[00:39:14.474 --> 00:39:16.577]  And if you don't conform, they'll get rid of you.
[00:39:17.498 --> 00:39:19.099]  And you were told this in a briefing as well?
[00:39:20.040 --> 00:39:20.260]  Yes.
[00:39:21.322 --> 00:39:21.502]  Wow.
[00:39:21.522 --> 00:39:25.266]  We were told not to be in any affiliation with them or any part of them.
[00:39:27.307 --> 00:39:27.547]  Man.
[00:39:28.267 --> 00:39:42.053]  And your email is filled with all kinds of stuff and you were talking about how they're going to have sanctions on fuel and that you've already seen the preparedness of basically refueling stations, temporary refueling stations being set up.
[00:39:42.073 --> 00:39:42.734]  Tell us about that.
[00:39:45.235 --> 00:39:53.398]  I know that the equipment is coming in in mass numbers and none of it's been set up yet.
[00:39:53.739 --> 00:39:56.560]  All of it's still coming in and all the pieces are still coming in.
[00:39:57.714 --> 00:40:11.982]  Um, if they say we're not at war and that, you know, we don't need all this combat equipment anymore, then I'm wondering why do they keep building this stuff that we used in Iraq and Afghanistan?
[00:40:12.822 --> 00:40:19.286]  And they say they're cutting troops numbers and cutting back on defense and stuff, but yet they keep building war fighting vehicles.
[00:40:19.346 --> 00:40:25.009]  And my question was, who's going to operate these pieces of equipment if you get rid of us?
[00:40:26.770 --> 00:40:26.990]  Right.
[00:40:28.184 --> 00:40:29.706]  And yeah, who is going to operate them?
[00:40:29.726 --> 00:40:30.987]  Are they going to bring in foreign troops?
[00:40:31.067 --> 00:40:36.032]  Is this going to be a UN takeover via the National Guard, working together with the National Guard?
[00:40:36.592 --> 00:40:43.298]  I've already got them on camera working with Polish troops, the National Guard, you know, and they do this all the time.
[00:40:43.459 --> 00:40:47.382]  In Chicago, Poland is our Illinois National Guard.
[00:40:47.422 --> 00:40:49.104]  Their sister country is Poland.
[00:40:49.810 --> 00:40:57.212]  And so I'm sure there are other sister countries out there, and I don't want you to name your sister country, but you agree with me, right?
[00:40:57.232 --> 00:41:00.373]  You've heard of that before, the sister countries that work with our National Guards?
[00:41:01.734 --> 00:41:06.595]  I have heard of it, but I have not experienced it firsthand myself on that part of it.
[00:41:08.796 --> 00:41:13.817]  I know that a lot of us are keeping low-key and trying to stay out of the limelight.
[00:41:14.658 --> 00:41:15.558]  Our worry is that
[00:41:17.034 --> 00:41:23.097]  Obama's going to do what he said he was going to do, and he's going to outlaw all weapons altogether.
[00:41:23.157 --> 00:41:26.399]  And anybody's name who's on a weapon, they're going to come to your house and try to take them.
[00:41:27.299 --> 00:41:35.984]  And our take on that is that they're going to call us National Guard troops and tell us we've got to go take guns away from hard-working Americans like, you know, you and me.
[00:41:36.844 --> 00:41:41.427]  And I'm sorry, but I don't believe in suicide.
[00:41:42.358 --> 00:41:43.238]  Yeah, I agree.
[00:41:43.379 --> 00:41:47.200]  It's going to be blood on both sides and it's not going to be pretty.
[00:41:50.402 --> 00:41:52.283]  Now, your buddies, what are you guys saying?
[00:41:52.323 --> 00:41:54.084]  Are you guys planning on going along with this?
[00:41:55.224 --> 00:41:58.866]  If you're ordered to take guns from Americans, what is your response going to be?
[00:42:00.387 --> 00:42:03.848]  We're going to basically go underground, basically.
[00:42:06.109 --> 00:42:07.350]  We're not going to answer the phone.
[00:42:07.370 --> 00:42:08.851]  We're not going to show up.
[00:42:08.871 --> 00:42:11.572]  We're just going to basically disappear.
[00:42:12.611 --> 00:42:13.892]  So essentially standing down?
[00:42:15.552 --> 00:42:16.192]  Basically, yes.
[00:42:16.573 --> 00:42:17.993]  I got to commend you for that.
[00:42:18.173 --> 00:42:21.174]  We're not going to fight for a cause that's not right.
[00:42:22.235 --> 00:42:30.858]  I understand fighting a cause in Iraq against terrorists that are trying to kill us every day, but I don't believe in fighting our own people.
[00:42:31.718 --> 00:42:32.999]  I don't understand the point.
[00:42:33.959 --> 00:42:34.179]  Right.
[00:42:35.019 --> 00:42:36.540]  Now, what do you make of this?
[00:42:36.580 --> 00:42:41.522]  You also mentioned in this about you were doing some training in White Sands, Mexico.
[00:42:42.543 --> 00:42:45.645]  And that there were heavily armed special forces on the border.
[00:42:45.665 --> 00:42:46.466]  Were you in New Mexico?
[00:42:46.506 --> 00:42:47.807]  You said Mexico in your email.
[00:42:48.247 --> 00:42:50.048]  I meant to say New Mexico.
[00:42:50.088 --> 00:42:51.710]  We were in White Sands, New Mexico.
[00:42:51.750 --> 00:42:55.052]  There's a training ground out there in White Sands called Camp McGregor.
[00:42:55.953 --> 00:42:57.414]  And we were training out there.
[00:42:57.434 --> 00:43:02.437]  Me and my buddies, we all saw the special forces out there training out behind buildings.
[00:43:02.617 --> 00:43:03.998]  And they were loading up in trucks.
[00:43:04.278 --> 00:43:05.399]  And they were very heavily armed.
[00:43:05.439 --> 00:43:07.401]  I'm talking sniper rifles, machine guns, you name it.
[00:43:07.421 --> 00:43:07.861]  They had it.
[00:43:08.752 --> 00:43:16.034]  And they all headed towards the border, and they disappeared for probably, I don't know, four or five days.
[00:43:17.154 --> 00:43:17.374]  Wow.
[00:43:18.534 --> 00:43:23.275]  So, bottom line, you've got them decimating the ranks.
[00:43:23.295 --> 00:43:29.237]  You were telling me that they were cutting people out who put 20 to 30 years in service, and they're just cutting them out.
[00:43:29.617 --> 00:43:33.398]  Have you seen them bringing in younger people, or have you seen the ranks being replenished?
[00:43:33.778 --> 00:43:34.638]  Tell us a little bit about that.
[00:43:36.619 --> 00:43:38.199]  I haven't seen any ranks replenishing.
[00:43:38.877 --> 00:43:51.743]  What I see every day is people that have given 20 to 30 years of their lives in service to this country, who've given sweat, blood, and tears, and put boot to ash for this country, and thrown out on the streets with nothing.
[00:43:52.624 --> 00:43:55.786]  I had a good buddy of mine who gave the military 35 years of his life.
[00:43:57.566 --> 00:44:05.831]  And the best they could do was a random phone call from a random sergeant major saying that, sorry, but your service is no longer needed.
[00:44:06.771 --> 00:44:08.432]  And there's no warning when it comes.
[00:44:09.477 --> 00:44:14.922]  It's just a phone call and if you ask him any questions, he says, I don't have any information to answer any questions.
[00:44:14.962 --> 00:44:16.363]  I'm just calling to get the bad news.
[00:44:17.324 --> 00:44:21.068]  And before this year, they weren't doing the phone calls.
[00:44:21.148 --> 00:44:23.990]  It was a random letter that came in the mail and you never know if it was going to come.
[00:44:26.451 --> 00:44:31.413]  There are no transition programs in place to help soldiers go from soldier to civilian.
[00:44:31.613 --> 00:44:43.999]  And, you know, I actually addressed my congressman with this problem, and my congressman told me, welcome to the real world, because he said, corporate companies are doing that all over the world.
[00:44:44.539 --> 00:44:45.980]  And I said, it's not the same.
[00:44:47.180 --> 00:44:55.864]  Being in a civilian company, going to another civilian company is one thing, but being a soldier who's done nothing but be a soldier since he left high school,
[00:44:57.213 --> 00:45:09.181]  And if all he knows, and all of a sudden you're telling him he's out of a job, and in the guard, we are federal technicians if we work full-time for the guard.
[00:45:09.201 --> 00:45:12.122]  And if you get kicked out of the guard, you lose your full-time job.
[00:45:12.703 --> 00:45:19.827]  So basically, you get a phone call that says, sorry to get out of a job, and there's no warning, there's no prep, there's no nothing.
[00:45:19.887 --> 00:45:22.329]  It's just to throw you out on the street and hope you make it.
[00:45:23.385 --> 00:45:29.609]  Now do you think they're targeting so-called preppers in this movement, or do you think it's just kind of across the board?
[00:45:31.530 --> 00:45:32.551]  It's kind of across the board.
[00:45:32.591 --> 00:45:34.272]  They're trying to get people for medical stuff.
[00:45:34.292 --> 00:45:46.400]  They're either getting people for medical, they're getting them saying that if they got 20 or 30 years that they need to get them out and get new faces in and fresh soldiers in, but I haven't seen the replenishment of the ranks myself.
[00:45:48.642 --> 00:45:50.443]  Basically what it comes down to is
[00:45:51.468 --> 00:45:58.739]  They're decimating our military and I don't see how we're supposed to hold our own borders and end all these wars if you get rid of all of our troops.
[00:45:59.019 --> 00:46:03.466]  I mean, who's going to fight the wars if you fire all of us?
[00:46:04.801 --> 00:46:13.963]  Well, you've got the UN, and you've got NATO, you've got troops that will follow any orders, including, you know, killing women and children, and working with terrorists.
[00:46:14.043 --> 00:46:16.443]  Al-Qaeda, we've already shown that to happen.
[00:46:16.763 --> 00:46:31.626]  So, bottom line, basically, you've been told in briefings that if you're a, quote, doomsday prepper, you're going to be treated as a terrorist, and those who are in the ranks of the National Guard will be seen as defects if they're preppers as well.
[00:46:32.586 --> 00:46:32.726]  Yes.
[00:46:34.051 --> 00:46:34.251]  Wow.
[00:46:34.571 --> 00:46:40.653]  And, uh, right before the end of the day today, they said that there was going to be something on the news tonight.
[00:46:41.133 --> 00:46:42.494]  It's supposed to be on the Austin News.
[00:46:42.534 --> 00:46:43.394]  I don't know what channel.
[00:46:43.434 --> 00:46:55.137]  They said it was going to be on the Austin News, and apparently it's a discussion about the, uh, the way that the Texas Army National Guard has been spending money.
[00:46:55.858 --> 00:46:59.979]  Apparently, um, they see a lot of stuff that's going on as frivolous spending.
[00:47:00.763 --> 00:47:06.986]  And they see a lot of stuff going on that's like wasteful spending and it's abuse of the government's money and of the taxpayers' money.
[00:47:07.606 --> 00:47:13.509]  And some of the news people are taking notice of all this money that's going out.
[00:47:13.729 --> 00:47:23.454]  But my problem with that is that they're going to question soldiers that are in lower ranks like me and my buddies who have nothing to do with where the spending goes.
[00:47:23.474 --> 00:47:25.215]  We're just soldiers and we do as we're told.
[00:47:26.934 --> 00:47:33.416]  Yeah, why don't they question the banks and why they're getting $40 billion a month from the Fed, and what are they doing with that money?
[00:47:33.436 --> 00:47:34.676]  That seems like a big waste of money.
[00:47:34.876 --> 00:47:36.457]  But they won't be doing that, we know that.
[00:47:37.657 --> 00:47:51.862]  Well, we in the last year have seen so much wasteful spending that we've noticed as soldiers, and we kind of question it, and we're like, you know, why is the Army wasting money doing this stuff?
[00:47:52.022 --> 00:47:54.783]  And we're told, don't ask questions, just do what you're told.
[00:47:55.083 --> 00:47:55.963]  Yeah, just follow orders.
[00:47:59.051 --> 00:48:01.412]  That's what the Germans used as their excuse in Nuremberg.
[00:48:01.432 --> 00:48:02.633]  We were just following orders.
[00:48:03.894 --> 00:48:21.601]  And now it's come down to basically a very minute, well I won't say minute, there's a group of us that have gotten tired of all the stuff that's going on.
[00:48:22.822 --> 00:48:26.784]  There's a lot of times when we look back when we were in Iraq and now we
[00:48:27.822 --> 00:48:35.172]  Well, it was to train you to be able to come back home and do the same thing here to the American people.
[00:48:45.749 --> 00:48:46.549]  Alright, thank you.
[00:49:10.393 --> 00:49:11.134]  Well, there it is, folks.
[00:49:12.515 --> 00:49:17.819]  You know, I just laid out a bunch of articles and executive orders and stuff that's coming down the pike.
[00:49:18.119 --> 00:49:20.161]  So, you better check yourself.
[00:49:20.201 --> 00:49:25.085]  You better make sure your house is in order because this stuff is coming down the pike and we're not just blowing smoke.
[00:49:25.105 --> 00:49:27.207]  We're not just crazy conspiracy theorists.
[00:49:27.868 --> 00:49:29.449]  We're gonna be right back with Greg Palast.
[00:49:30.250 --> 00:49:34.913]  I gotta take a second and check my head and we'll be right back.
[00:49:34.934 --> 00:49:36.555]  This is InfoWars Nightly News and I'm Rob Due.
[00:49:40.954 --> 00:49:47.076]  I really enjoy it when the globalists try to poison us and, well, we resist them via a free market system.
[00:49:47.976 --> 00:49:49.517]  Hello, my fellow info warriors.
[00:49:49.697 --> 00:49:54.918]  Alex Jones here, introducing you to the pro-pure family of gravity-fed filters.
[00:49:55.379 --> 00:50:02.321]  Now, you know that the globalists are filling our water with radioactive isotopes, fluoride, lead, mercury, arsenic.
[00:50:03.021 --> 00:50:12.390]  And one of the few systems that can efficiently and economically remove or reduce down to non-detectable levels these poisons are gravity-fed filters.
[00:50:12.830 --> 00:50:15.112]  And ProPure is the top of the line.
[00:50:15.593 --> 00:50:18.175]  Their filters are impregnated with silver.
[00:50:18.996 --> 00:50:20.177]  A natural antibiotic.
[00:50:20.837 --> 00:50:24.219]  On top of that, they're bigger, so they filter faster.
[00:50:24.499 --> 00:50:27.601]  You don't have to prime these the first time you use them.
[00:50:27.981 --> 00:50:28.641]  It's amazing.
[00:50:28.681 --> 00:50:34.465]  Go to InfoWars.com and click on the shopping cart link to see the entire family of these babies.
[00:50:35.498 --> 00:50:40.502]  Now, the fluoride they add to our water is so tiny that most filters can't cut it out.
[00:50:40.762 --> 00:50:46.726]  But ProPure has their system that will, again, reduce it to non-detectable levels.
[00:50:46.846 --> 00:50:48.728]  Almost get all of it out of there.
[00:50:49.048 --> 00:50:50.029]  That's also available.
[00:50:50.349 --> 00:51:02.318]  And if you look at the different systems they offer, the ProPure Big Brush Finish is on a stand, so it's easier on a table or at your restaurant or wherever you have it to go up with a glass or a mug and fill it up.
[00:51:02.418 --> 00:51:06.480]  Then there's this big baby right here, the Pro-Pure King large version.
[00:51:06.720 --> 00:51:08.821]  Got a lot of different options that come with it.
[00:51:09.181 --> 00:51:13.503]  Also, they have the Pro-Pure Big, probably one of the best values out there.
[00:51:13.763 --> 00:51:15.764]  And of course, it's burnished stainless steel.
[00:51:16.124 --> 00:51:23.528]  And then, what I use on my RV, something that's great for your hunting cabin or the back porch, is the Pro-Pure Traveler.
[00:51:24.048 --> 00:51:29.233]  Small and portable but packs a huge punch, cleans out all that garbage.
[00:51:29.633 --> 00:51:36.320]  They also have a glass site spigot so you don't have to take the top off and look in the bottom area to see how much water.
[00:51:36.360 --> 00:51:39.823]  You can see how fast it's filtering with this optional system.
[00:51:40.063 --> 00:51:40.724]  The Globalist
[00:51:41.164 --> 00:51:42.906]  Obviously you're hitting us through our water.
[00:51:43.206 --> 00:51:44.908]  It's time to take control of our lives.
[00:51:45.148 --> 00:51:53.055]  It's time to not give our children and families these poisons and these systems cut it down to non-detectable levels across the board.
[00:51:53.415 --> 00:51:55.657]  ProPure is the name.
[00:51:56.178 --> 00:51:58.180]  I only promote what I believe in.
[00:51:58.800 --> 00:52:02.364]  And I use ProPure in my home and my office.
[00:52:02.664 --> 00:52:06.929]  And I recommend that you check out the information on ProPure at InfoWars.com.
[00:52:07.149 --> 00:52:13.375]  We already have the lowest price at InfoWars.com on the ProPure gravity filter system.
[00:52:14.156 --> 00:52:22.143]  But when you add in the 10% off when InfoWarriors use the product code WATER at InfoWars.com, nobody can top it.
[00:52:22.523 --> 00:52:23.884]  So again, it's a win-win-win.
[00:52:23.944 --> 00:52:32.632]  Stop drinking the poison water, checkmate the globalists when it comes to your health, and support InfoWars.com and the work we're doing here.
[00:52:32.972 --> 00:52:37.254]  You know, many revolutionaries rob banks and things and kidnap people for funds.
[00:52:37.674 --> 00:52:42.255]  We promote in the free market the products we use that are about preparedness.
[00:52:42.576 --> 00:52:52.779]  That's how we fund this revolution against the New World Order in our move to restore our constitutional republic and a spirit of 1776 worldwide.
[00:52:53.159 --> 00:52:54.780]  Check it out at InfoWars.com.
[00:52:55.200 --> 00:53:00.082]  ProPure, top of the line, number one, most powerful and effective
[00:53:00.182 --> 00:53:00.803]  Thank you.
[00:53:43.993 --> 00:53:45.855]  Welcome back to the InfoWars Nightly News.
[00:53:45.895 --> 00:53:56.104]  This is our final segment, and we're going to sit down with a corporate fraud investigator turned journalist who won an Orwell Award for the documentary Bush Family Fortunes that was aired on the BBC.
[00:53:56.685 --> 00:54:03.911]  He's also won six Project Censored Awards, which are stories that our corporate masters don't want us to hear in the United States, but are heard everywhere else around the world.
[00:54:04.372 --> 00:54:07.695]  He's an investigative journalist and author, Greg Pallast, and we turn to him now.
[00:54:07.775 --> 00:54:08.596]  Greg, how are you doing today?
[00:54:09.195 --> 00:54:09.715]  Pretty good.
[00:54:10.176 --> 00:54:10.536]  Excellent.
[00:54:10.576 --> 00:54:14.458]  Well, we've been covering a lot of this proposed voting fraud that's going to be going on.
[00:54:14.578 --> 00:54:15.819]  You know, it happens every year.
[00:54:16.320 --> 00:54:18.161]  You've covered it in 2000 and 2004.
[00:54:19.081 --> 00:54:23.924]  Well, now we've got nearly 1,112 year olds voting in North Carolina.
[00:54:23.944 --> 00:54:26.486]  They're really getting the vote out for the centurions.
[00:54:28.047 --> 00:54:28.668]  I'll take carpool.
[00:54:28.948 --> 00:54:29.648]  Yeah, there you go.
[00:54:29.668 --> 00:54:35.973]  And then we got a, uh, in North Carolina voter, uh, machine recorded vote for Obama twice.
[00:54:36.453 --> 00:54:39.756]  And then Romney family buys voting machines through bank capital investment.
[00:54:39.776 --> 00:54:40.977]  Which one do you want to hit on first?
[00:54:42.728 --> 00:54:48.952]  Well, I think that... How about the voting machines in Bain Capital?
[00:54:50.293 --> 00:54:56.077]  It's interesting that Bain seems to be concerned most with voting machines in Colorado and Ohio.
[00:54:56.817 --> 00:54:59.900]  And the question is, why those two states?
[00:54:59.920 --> 00:55:02.801]  A lot of places are buying voting machines.
[00:55:03.242 --> 00:55:05.803]  Why was it so necessary to make a big push to sell there?
[00:55:06.384 --> 00:55:08.665]  Those are the two big swing states plus Florida.
[00:55:08.685 --> 00:55:10.266]  You have three big swing states.
