[00:00:28.908 --> 00:00:30.789]  Good evening and welcome, ladies and gentlemen.
[00:29:05.219 --> 00:29:07.521]  Well, first of all, I guess I should be honored.
[00:29:07.561 --> 00:29:14.246]  It's the first time I've been, to add to my resume, that I've been banned on YouTube now, based on our previous interview.
[00:29:14.566 --> 00:29:16.688]  What you showed was a 10-10-10 video.
[00:29:16.768 --> 00:29:17.589]  It was from October 10, 2010.
[00:29:18.609 --> 00:29:22.332]  It is from the UK group, as you mentioned, Corporate Sponsorship.
[00:29:22.793 --> 00:29:25.675]  This was the global warming activist idea of humor.
[00:29:25.815 --> 00:29:31.819]  And it was a gory graphic video that was on the level of Texas Chainsaw Massacre or something like that.
[00:29:32.060 --> 00:29:32.520]  And you're right.
[00:29:32.540 --> 00:29:33.421]  This is on YouTube.
[00:29:33.461 --> 00:29:34.602]  This was shown on television.
[00:29:35.382 --> 00:29:35.943]  We're good to go.
[00:29:53.226 --> 00:29:54.568]  They don't like dissent.
[00:29:54.848 --> 00:29:56.170]  They don't like anyone disagreeing.
[00:29:56.390 --> 00:29:58.312]  And this is what they wish they could do.
[00:29:58.552 --> 00:30:04.619]  And it falls in line, blowing up someone's head and blowing them up in the classroom, falls in line with what they've stated.
[00:30:04.980 --> 00:30:07.723]  Nuremberg-style trials for global warming skeptics.
[00:30:08.283 --> 00:30:10.265]  Crimes against humanity, if you disagree.
[00:30:10.425 --> 00:30:12.626]  Treason from Robert F. Kennedy Jr.
[00:30:12.867 --> 00:30:13.887]  It goes on down the line.
[00:30:13.927 --> 00:30:15.389]  These are not isolated cases.
[00:30:15.409 --> 00:30:18.031]  This is not just a little satirical video they showed.
[00:30:18.411 --> 00:30:20.472]  This was their inner impulse.
[00:30:20.953 --> 00:30:26.137]  And in terms of the looks, if you will, of Professor Cary Norgard,
[00:30:26.577 --> 00:30:27.738]  It isn't her outside looks.
[00:30:27.758 --> 00:30:29.939]  People always say, well, it's the inner beauty.
[00:30:29.959 --> 00:30:30.879]  It's what's on the inside.
[00:30:31.179 --> 00:30:38.102]  And the bottom line is her views and her sociological studies are rotten to the core.
[00:30:38.342 --> 00:30:41.384]  They're ultimately anti-human nature.
[00:30:41.724 --> 00:30:43.585]  And all we're doing is pointing that out.
[00:30:43.985 --> 00:30:46.586]  And for YouTube, it seems to be here having a massive
[00:30:46.966 --> 00:31:14.818]  Double standard to allow this kind of stuff as far as I know you can watch Robert F Kennedy jr Give his speech calling for treason for political figures who disagree on man-made global warming that hasn't been cool But yet, you know you question someone start going after some of their would have been accurately dubbed Totalitarian views and Stalinistic views and there's an update by the way to that Alex, which is even more Stalinist than we talked about the other day that it's just this is just it's a ridiculous and
[00:31:19.964 --> 00:31:27.213]  Mark, continue, get into this new update because they're now going into the memory hole and actually excising things in her paper.
[00:31:28.038 --> 00:31:37.440]  Yes, what's happened is, since you, of course, highlighted it, we had the Climate Depot, Rush Limbaugh's brought it up, the Drudge Report's featured it, multiple UK papers, this made international firestorm.
[00:31:37.900 --> 00:31:53.204]  The idea that global warming skeptics were something somehow wrong with them, and that we were akin to racists and slave owners, and that, you know, we needed to be treated, well, the University of Oregon, where Professor Kerry Norgaard, the sociologist, actually resides,
[00:31:53.740 --> 00:31:55.841]  decided that this didn't exist anymore.
[00:31:56.181 --> 00:31:59.642]  They removed the words treatment, treated, from the website.
[00:32:00.142 --> 00:32:01.082]  It no longer exists.
[00:32:01.102 --> 00:32:02.202]  They didn't make a notation.
[00:32:02.362 --> 00:32:03.343]  They didn't make an announcement.
[00:32:03.543 --> 00:32:04.643]  They offered no explanation.
[00:32:04.883 --> 00:32:05.523]  Just poof!
[00:32:05.663 --> 00:32:06.184]  It was gone.
[00:32:06.504 --> 00:32:07.264]  And it goes deeper.
[00:32:07.684 --> 00:32:11.185]  Professor Carrie Norgard's page at the University of Oregon went missing.
[00:32:11.645 --> 00:32:12.665]  Error.
[00:32:12.685 --> 00:32:12.985]  404 error.
[00:32:13.025 --> 00:32:13.286]  Web.
[00:32:13.546 --> 00:32:14.846]  Nowhere to be found.
[00:32:15.126 --> 00:32:15.906]  Her email address?
[00:32:16.306 --> 00:32:16.687]  Gone.
[00:32:16.747 --> 00:32:19.747]  Replaced with a private or some Yahoo type email address.
[00:32:19.787 --> 00:32:21.748]  No longer a university email address.
[00:32:22.308 --> 00:32:26.050]  And on my website, Climate Depot, we called this Stalin-esque.
[00:32:26.311 --> 00:32:29.332]  This was rewriting of history, Soviet style.
[00:32:29.592 --> 00:32:31.514]  Here you have a controversy, someone you don't like.
[00:32:32.574 --> 00:32:39.939]  I guess somehow the powers that be decided she was a liability at that moment for the global warming community, so they went poof and disappeared her.
[00:32:40.339 --> 00:32:42.000]  And this is just like on my website.
[00:32:42.020 --> 00:32:43.981]  I have a book called The Commissar Vanishes.
[00:32:44.637 --> 00:32:57.705]  Stalin, as different commissars in the old Soviet Union, would fall out of his favor, would either be sent to the gulag or murdered, would then just, new photos of them would appear with Stalin, and they would just be absent, just no explanation missing from the photos.
[00:32:57.945 --> 00:33:03.968]  And as time went on, member commissars or commissar would slowly disappear, and suddenly you just had Stalin standing alone.
[00:33:04.349 --> 00:33:08.671]  Well, that's what the University of Oregon was practicing, their amateur version of rewriting history.
[00:33:08.911 --> 00:33:09.712]  You don't like something?
[00:33:09.752 --> 00:33:10.712]  Oh, it never existed.
[00:33:10.752 --> 00:33:11.192]  It's gone.
[00:33:11.233 --> 00:33:11.733]  It's not there.
[00:33:12.233 --> 00:33:20.384]  Fortunately, Google Cache was there to find it, and that's how we actually have the screenshots and everything else.
[00:33:20.444 --> 00:33:24.069]  It's like WhatsApp with that aided in that, and we have all this stuff here.
[00:33:24.870 --> 00:33:27.093]  And it's an amazing development.
[00:33:27.213 --> 00:33:27.894]  Beyond that,
[00:33:28.493 --> 00:33:36.738]  ClimateGate Professor Michael Mann from Penn State University who loves to tout the fact that Penn State University cleared him of wrongdoing.
[00:33:37.218 --> 00:33:49.265]  Penn State University cleared their own cash cow, their six million dollar global warming cash cow of wrongdoing and ClimateGate has come out now in defense of Professor Kerry Norgard and he's gone beyond the pale and he calls her quote
[00:33:50.146 --> 00:33:52.868]  A very respected, responsible scientist.
[00:33:53.168 --> 00:34:06.518]  So the climate scientists, some of them have come out and now are defending Professor Norgaard as her own university is disassociating themselves from her, removing the word treatment, removing her webpage, removing her email address.
[00:34:06.919 --> 00:34:09.641]  This is right out of the playbook from 1950s Soviet Union.
[00:34:11.582 --> 00:34:18.095]  Well, and I want to be clear, she's a public figure, and I rarely get into how people look, because I'm not the best looking person in the world.
[00:34:18.796 --> 00:34:22.604]  The photos, all of them, it's not even that she physically looks bad.
[00:34:23.937 --> 00:34:25.078]  She looks crazed.
[00:34:25.238 --> 00:34:30.022]  And I've had national TV show goofy photos of me and make fun of me.
[00:34:30.382 --> 00:34:32.804]  And I didn't call for it to be shut down.
[00:34:33.224 --> 00:34:37.888]  And I was simply, here's the lady saying we're crazy and need treatment.
[00:34:38.388 --> 00:34:40.029]  And I said, here she is.
[00:34:40.570 --> 00:34:41.490]  Because it's funny.
[00:34:42.351 --> 00:34:44.513]  And that was my only point.
[00:34:44.813 --> 00:34:47.515]  But then when you read what she's saying, it's very, very dangerous.
[00:34:47.575 --> 00:34:50.897]  It's this idea of, they won't debate us.
[00:34:52.347 --> 00:35:04.931]  On the facts, they just want to silence us, and all of them constantly... I mean, you saw the articles in the last year out of England and Europe and even the US, where all these professors say, it's time for green fascism.
[00:35:05.111 --> 00:35:08.152]  In fact, guys, search the term real fast here on the fly.
[00:35:08.172 --> 00:35:10.953]  I mean, there were a bunch of them last few years.
[00:35:11.533 --> 00:35:14.535]  Academics says... I'm sure you know the answer, but let's see if I know it.
[00:35:14.915 --> 00:35:19.716]  Academics says, you know, it's time to bring in authoritarianism to force it.
[00:35:19.896 --> 00:35:20.557]  What's the name of those?
[00:35:20.597 --> 00:35:21.577]  I mean, there's so many of them.
[00:35:22.237 --> 00:35:23.317]  Mark, who were they?
[00:35:24.418 --> 00:35:34.260]  Well, just recently, we have Professor Lau from the SUNY, State of New York University, came out and was calling for human engineering to combat global warming.
[00:35:34.580 --> 00:35:39.081]  And they're calling it, they're trying to say it's voluntary right now, but it's not going to be voluntary.
[00:35:39.181 --> 00:35:42.262]  Once they get this kind of technology, this is very frightening stuff.
[00:35:42.582 --> 00:35:46.503]  So we have this on the heels of that, where he's openly calling for psychiatric drugs to make us
[00:35:47.083 --> 00:36:10.833]  Can serve more to make us repulse the repulsive the taste and sight of meat they're talking about medicating the population They're talking about making babies swallow in the womb so that we have smaller carbon footprints out of England And I'll just be posting this story a woman was banned from going to her doctor And she was actually thrown out of her practice because her carbon footprint was too big by how long she commuted This is in the actual newspaper.
[00:36:11.014 --> 00:36:12.394]  We'll be going up on Climate Depot.
[00:36:12.754 --> 00:36:14.195]  This is the insanity of
[00:36:14.275 --> 00:36:23.501]  Whoa, whoa, whoa, whoa, whoa, let me stop you because they're openly talking about not giving people medical care because they need to go ahead and die under the death panels for your carbon footprint.
[00:36:23.541 --> 00:36:30.126]  I've seen, you know, the New York Times say, hey, the recession depression is good because it lowers carbon footprint.
[00:36:30.446 --> 00:36:36.590]  You're telling me in England now they're saying, hey, you can't come see the doctor because you're commuting too far.
[00:36:36.930 --> 00:36:39.412]  That's what they talk about in those weird planopolis.
[00:36:40.132 --> 00:36:45.675]  Things they show kids where people think it's a joke that we made, you know, making them look like fascists.
[00:36:45.755 --> 00:36:47.235]  No, this is what they really want.
[00:36:47.916 --> 00:36:55.980]  Yeah, 83 or 82 year old woman got a formal letter saying she could no longer could go to the surgery center because it was considered too far in her carbon footprint.
[00:36:56.260 --> 00:36:57.900]  They urge her to find a closer one.
[00:36:57.920 --> 00:36:59.161]  They would no longer see her.
[00:36:59.461 --> 00:37:01.502]  The lady is in stunned disbelief.
[00:37:01.522 --> 00:37:07.305]  Wait a minute, Prince Charles has royal trains, dozens of aircraft, but he says don't take a hot bath.
[00:37:08.018 --> 00:37:09.179]  Yes, and that's right.
[00:37:09.199 --> 00:37:11.601]  And Al Gore has, of course, private jets and limousines.
[00:37:11.621 --> 00:37:13.742]  And of course, he says, take city transit.
[00:37:14.003 --> 00:37:19.787]  Don't bother with, you know, don't bother, you know, with your own car or, you know, don't even drive a hybrid.
[00:37:19.807 --> 00:37:20.968]  He tells you to take the city bus.
[00:37:20.988 --> 00:37:23.049]  When was the last time Al Gore was on a city bus?
[00:37:23.250 --> 00:37:24.050]  And I'm not making that up.
[00:37:24.090 --> 00:37:30.915]  When Al Gore and Leonardo DiCaprio came out at the Academy Awards, they flashed on the screen when Al Gore won his Oscar, use city transit.
[00:37:30.935 --> 00:37:32.016]  They had these little helpful hints.
[00:37:32.396 --> 00:37:35.599]  When was the last time Leonardo DiCaprio was on the city bus?
[00:37:35.999 --> 00:37:40.804]  This is that idea that the masses have one set of rules and the leaders, i.e.
[00:37:41.145 --> 00:37:46.030]  the Politburo... It's pure eugenics, pure eugenics, double standard.
[00:37:46.070 --> 00:37:48.032]  They want us out of their way.
[00:37:48.652 --> 00:37:50.674]  The good news is they are being exposed.
[00:37:50.694 --> 00:37:51.876]  I mean, I'll be getting my hair cut.
[00:37:53.177 --> 00:37:57.260]  And hear women talking about how it's all a scam, global warming attacks people.
[00:37:57.900 --> 00:38:00.622]  Even all the liberals I know have pretty much woken up to it.
[00:38:02.003 --> 00:38:06.926]  Even President Obama now says it's not even possible to talk about climate change because the members don't buy it.
[00:38:06.986 --> 00:38:08.067]  So it's amazing.
[00:38:08.087 --> 00:38:10.509]  His fellow Democrats aren't with him.
[00:38:10.529 --> 00:38:13.671]  But the problem is they're doing this all behind the scenes bureaucratically right now.
[00:38:13.731 --> 00:38:18.034]  So even if the public rejects it, even if Congress rejects it, we're still getting it.
[00:38:18.294 --> 00:38:21.096]  And that's what we're getting through the unelected bureaucrats at the EPA.
[00:38:21.636 --> 00:38:25.005]  In a way, they're having the ultimate final victory behind the scenes there.
[00:38:25.566 --> 00:38:27.631]  We've won every battle, but we're losing the war.
[00:38:27.691 --> 00:38:29.014]  That's the irony of this whole thing.
[00:38:30.662 --> 00:38:33.263]  Because the system controls the dominant media.
[00:38:33.944 --> 00:38:36.846]  They control the systems like YouTube.
[00:38:37.806 --> 00:38:42.549]  YouTube, owned by Google, put a light bulb on Earth Hour up over the weekend.
[00:38:43.010 --> 00:38:46.412]  And at first, it had a light switch where you could dim your pixels.
[00:38:47.233 --> 00:38:49.334]  I guess the dark age is good for humanity.
[00:38:49.694 --> 00:38:51.756]  That Maury Strong talks about a post-industrial world.
[00:38:52.016 --> 00:38:57.860]  But then later, I went back for the second half of the day, and it was just automatically dark, automatically flipped to dark.
[00:38:58.380 --> 00:38:59.181]  So it's this idea.
[00:39:00.021 --> 00:39:03.923]  They always start out by saying it's voluntary and then eventually it doesn't turn out well.
[00:39:04.163 --> 00:39:06.264]  We saw this with seatbelt laws across the country.
[00:39:06.684 --> 00:39:15.789]  Every state, well it's just voluntary, you don't have to wear a seatbelt, but we're making it voluntary and then soon, it was soon, you know, we won't, cops won't pull you over for it, then soon it became mandatory.
[00:39:15.989 --> 00:39:16.969]  This is the way they do it.
[00:39:17.310 --> 00:39:26.794]  And this is what, this human engineering, along with what Professor Norgaard is talking about, you know, in the treatment, it starts out, they emphasize, oh it's going to be voluntary, but guess what?
[00:39:26.934 --> 00:39:28.335]  Once you get into it, once it starts,
[00:39:28.855 --> 00:39:31.056]  It's not voluntary after it begins.
[00:39:31.116 --> 00:39:32.416]  And that's what's so scary about this.
[00:39:32.436 --> 00:39:34.877]  That's the history of governments, history of people.
[00:39:35.377 --> 00:39:38.538]  The most violent institutions throughout history have been governments.
[00:39:38.918 --> 00:39:56.703]  And people need to remember that when we empower governments and institutions with what they're talking about, the ability to do psychiatric drugs to make us like and dislike things, the ability to shrink ourselves to reduce our carbon footprint, the ability to tell us we can't go to a doctor because we're commuting too far and our carbon imprint is too big,
[00:39:57.063 --> 00:40:14.729]  The ability to regulate our shower heads, the ability to destroy washing machines with Energy Star regulations, the ability to destroy our ice makers, the ability to take away SUVs because of carbon-based fares, the ability to control your thermostat, the ability to skyrocket your electricity rates.
[00:40:15.189 --> 00:40:16.390]  It just goes on and on.
[00:40:16.430 --> 00:40:22.672]  They literally will control every aspect of our lives, as the German climate advisor said, with a CO2 budget for every man, woman, and child.
[00:40:23.072 --> 00:40:30.174]  Germany, as you know, passed regulations that by 2020 something, you're not allowed to have a single parent home.
[00:40:30.514 --> 00:40:32.515]  You've all got to live in communal homes.
[00:40:33.095 --> 00:40:36.736]  And Der Spiegel, I remember a few years ago, had an article like this was reasonable.
[00:40:37.056 --> 00:40:42.158]  I mean, this is total corporate borg, pod people, crazy cult.
[00:40:42.978 --> 00:40:46.200]  And then I make a joke and say, look at this person.
[00:40:46.680 --> 00:40:48.001]  You know, she says we're crazy.
[00:40:48.081 --> 00:40:49.001]  She looks crazy.
[00:40:49.562 --> 00:40:52.143]  But like you said, hey, let's stick to what she says.
[00:40:52.443 --> 00:40:54.264]  The point is, it's still she's a public figure.
[00:40:54.324 --> 00:40:55.064]  It's my joke.
[00:40:55.505 --> 00:40:57.005]  And they're going to shut me down for that.
[00:40:57.286 --> 00:41:01.648]  I mean, it just shows their authoritarian impulse is so frightening.
[00:41:02.642 --> 00:41:10.587]  Yeah, and I remember, Popular Science, I believe, a few years ago had an article, can we just allow people to reproduce willy-nilly?
[00:41:10.967 --> 00:41:27.737]  And their idea was essentially that the government would control sperm banks, and if a couple or someone wanted to have a child, you'd have to go apply for it, do all the paperwork, and the government would decide based on, you know, population numbers and economic and sociological factors, whether your area, whether you could actually have these children.
[00:41:28.157 --> 00:41:29.658]  This is just the impulse
[00:41:30.098 --> 00:41:30.338]  I think so.
[00:41:49.973 --> 00:41:52.994]  Regulating carbon is a wonderful way for them to do it.
[00:41:53.435 --> 00:41:56.856]  Upcoming UN Summit in Rio is going to be regulating all aspects of our life.
[00:41:56.896 --> 00:42:00.398]  As I mentioned last time, it's going to cover endangered species.
[00:42:00.438 --> 00:42:02.419]  It's going to cover sustainable development.
[00:42:02.439 --> 00:42:05.360]  So they're going to be able to talk about the waterways, transportation.
[00:42:05.780 --> 00:42:06.601]  We're good to go.
[00:42:21.161 --> 00:42:23.683]  Really, it's just about them having a total power grab.
[00:42:23.923 --> 00:42:25.164]  We're about to end this interview.
[00:42:25.204 --> 00:42:30.487]  I know you've got to go, Mark, and get back to your work at climatedepot.com, but I did find one of those articles I mentioned.
[00:42:30.507 --> 00:42:31.087]  There's so many.
[00:42:31.347 --> 00:42:32.468]  Let's put it up on screen.
[00:42:32.828 --> 00:42:39.412]  Global warming alarmist calls for eco-gulags, his words, not mine, to re-educate climate deniers.
[00:42:39.452 --> 00:42:48.158]  And again, we went and searched, you know, arrest climate deniers, imprison them, and we found dozens of professors, U.S., England, Europe,
[00:42:48.778 --> 00:42:50.339]  And it's all the same.
[00:42:50.940 --> 00:43:00.007]  And we have Dr. Pianka at the Texas Academy of Sciences getting a standing ovation when he said, bring in Chinese police state, arrest people, kill 90%.
[00:43:00.888 --> 00:43:04.451]  And now, I mean, I've seen one of the heads of the Green Party in England call for this.
[00:43:04.871 --> 00:43:12.237]  A Finnish environmentalist guru has gone further than any other global warming alarmist and openly calling for fascism as a necessary step.
[00:43:12.538 --> 00:43:15.340]  And he goes on to say, we will re-educate in gulags.
[00:43:15.680 --> 00:43:15.860]  Yeah.
[00:43:15.900 --> 00:43:16.120]  Yeah.
[00:43:32.328 --> 00:43:35.069]  is a way to flog us into submission to these people.
[00:43:35.369 --> 00:43:39.971]  It has nothing to do with the environment and it's all about their total will to power.
[00:43:40.351 --> 00:43:47.915]  You say we're winning the intellectual battle but losing the war because these authoritarians squat on us in their hippie camo garb.
[00:43:47.935 --> 00:43:51.476]  They're not even really hippies, they're just total control freaks.
[00:43:51.756 --> 00:43:52.837]  How do we defeat them?
[00:43:52.877 --> 00:43:55.158]  How do you see this unfolding?
[00:43:55.198 --> 00:43:58.039]  What can we do to defeat the greatest threat to human liberty?
[00:43:58.646 --> 00:44:05.290]  Well right now, the greatest threat to human liberty is coming through the Environmental Protection Agency, and we need to defund the EPA.
[00:44:05.330 --> 00:44:10.234]  We need to cripple the EPA's ability to regulate these coal plants, to regulate carbon dioxide.
[00:44:10.414 --> 00:44:18.119]  And this is what's happening, despite the fact that Congress failed to do anything, the United Nations failed to do anything, President Obama has the U.S.
[00:44:18.259 --> 00:44:24.143]  EPA now doing all the things that everyone else failed, but doing it successfully through the bureaucracy.
[00:44:24.543 --> 00:44:25.624]  And this is the way it works.
[00:44:25.684 --> 00:44:27.365]  Liberalism has so many options.
[00:44:27.405 --> 00:44:30.326]  The intellectual left have so many options using the power of the state.
[00:44:30.606 --> 00:44:33.107]  They put on the pretense that we have a choice.
[00:44:33.408 --> 00:44:37.590]  And we can be all cheering, oh, we defeated the cap-and-trade bill, the global warming bill in Congress.
[00:44:37.990 --> 00:44:40.131]  Oh, you know, we defeated the United Nations.
[00:44:40.551 --> 00:44:41.872]  But yet, it's still coming.
[00:44:41.912 --> 00:44:42.772]  It's still coming down the pike.
[00:44:42.792 --> 00:44:47.975]  They just keep coming, layer after layer, wave after wave of their nonsense.
[00:44:47.995 --> 00:44:48.695]  They don't give up.
[00:44:49.075 --> 00:44:49.836]  And we have to have
[00:44:50.376 --> 00:44:52.337]  We've got to raise this to national dialogue.
[00:44:52.357 --> 00:44:59.181]  I'm disappointed so far in the alleged opposition party in Washington, the Republican Party, raising this as an issue right now.
[00:44:59.722 --> 00:45:07.606]  And you have people like Mayor Bloomberg, the former Republican in New York, bragging that they're stopping hundreds of coal plants and their alliances with environmental groups, and now the EPA is joining them.
[00:45:08.046 --> 00:45:10.148]  This is the lifeblood of our society.
[00:45:10.368 --> 00:45:12.189]  I would also argue people like John Holdren,
[00:45:12.669 --> 00:45:12.990]  We're good.
[00:45:27.886 --> 00:45:39.595]  In his efforts to bring golden rice to Asia, which ended up feeding millions of people and brought people life and fed people and helped and support people that would not otherwise be alive today.
[00:45:40.015 --> 00:45:43.958]  This was John Holdren saying, we don't want better agricultural practices.
[00:45:44.158 --> 00:45:45.759]  We don't want foods that resist pests.
[00:45:45.960 --> 00:45:50.303]  We don't want all these people eating and living because the earth can't handle it.
[00:45:50.883 --> 00:45:54.584]  Well, in the 70s they said by 2000 we'd be in an ice age.
[00:46:09.028 --> 00:46:10.309]  They said we'd be an ice age.
[00:46:10.329 --> 00:46:14.231]  They said, you know, we would have such massive famines from overpopulation.
[00:46:14.611 --> 00:46:17.412]  They live, and those predictions live to be laughed at.
[00:46:17.432 --> 00:46:26.037]  And as we've talked about, now the global warming alarmists have learned most of the dire predictions they make are long after the person making them will be dead.
[00:46:26.317 --> 00:46:33.200]  So, in other words, if someone's, you know, 60 years old today, they're making predictions, you know, of the year 2075 long after they'll be dead.
[00:46:33.240 --> 00:46:35.521]  So, they have learned their lesson to some degree.
[00:46:35.782 --> 00:46:38.263]  They try to make the predictions much further down the road.
[00:46:39.443 --> 00:46:41.625]  Alright, well let me just ask you this in closing.
[00:46:42.105 --> 00:46:51.333]  On the First Amendment issue, the fact that they're nakedly censoring more and more, not just calling for it, I think that shows how weak they are.
[00:46:52.788 --> 00:46:53.088]  It does.
[00:46:53.148 --> 00:46:54.949]  They can't handle dissent or debate.
[00:46:55.450 --> 00:46:58.792]  Al Gore, in 1992, declared debate about global warming over.
[00:46:58.812 --> 00:47:02.214]  Al Gore has never once consented to a debate.
[00:47:02.874 --> 00:47:07.477]  You have major scientists like James Hansen, who's never been involved in a climate debate.
[00:47:07.837 --> 00:47:09.739]  And all these guys, they claim there's no debate.
[00:47:09.759 --> 00:47:10.459]  They claim it's over.
[00:47:10.499 --> 00:47:13.421]  Michael Mann, the guy I mentioned previously, will not appear at any debates.
[00:47:14.093 --> 00:47:14.433]  Why?
[00:47:14.693 --> 00:47:21.338]  Because all the nonsense they spew would be destroyed within the first five minutes, and they'd be rambling incoherently.
[00:47:21.498 --> 00:47:22.418]  And they know that.
[00:47:22.678 --> 00:47:25.100]  So what they do is they try to suppress debate.
[00:47:25.260 --> 00:47:26.541]  This has been since the beginning.
[00:47:26.801 --> 00:47:29.723]  If you're an impartial viewer, don't know anything about the science,
[00:47:30.203 --> 00:47:31.584]  Which side are you going to believe?
[00:47:31.784 --> 00:47:51.111]  The guy who's out there screaming, there's no debate, there's no debate, it's all settled, and all these people with huge credentials, Nobel Prize winners, former UN scientists, PhDs in chemistry and oceanography and climatology, all saying this is bunk, it's nonsense, and yet the people claiming it, the people that are funded with government blessing, won't debate them.
[00:47:51.351 --> 00:47:52.872]  This is why the public turns against them.
[00:47:52.892 --> 00:47:53.972]  They know it's nonsense.
[00:47:54.292 --> 00:47:58.594]  If you're going to buy someone's theory, you want to see the theory... And they run around and lie!
[00:47:58.994 --> 00:48:11.385]  Just two years ago they were still saying not one scientist disagrees 100% and it turned out the majority of those that had their name put on the UN thing as approving were just invited to the conference.
[00:48:11.425 --> 00:48:12.746]  It didn't mean they agreed with it.
[00:48:13.047 --> 00:48:20.553]  And not only that but they were anthropologists and sociologists and it turns out that the entire report it comes down to like 52 scientists
[00:48:21.574 --> 00:48:22.275]  We're good to go!
[00:48:47.090 --> 00:48:47.730]  We're good to go.
[00:49:14.275 --> 00:49:16.076]  Well, I mean, look how obvious it is.
[00:49:16.917 --> 00:49:19.960]  It's quasi-religious, so I guess abomination would probably work there.
[00:49:20.080 --> 00:49:20.560]  Well, exactly.
[00:49:20.580 --> 00:49:27.566]  I mean, you've got a global government body with a bunch of bureaucrats that want more funding saying, the Earth's about to die, give us all the power or you're dead.
[00:49:27.586 --> 00:49:29.307]  And we won't debate anyone.
[00:49:29.847 --> 00:49:30.928]  We won't allow challenges.
[00:49:31.309 --> 00:49:34.071]  And we find that I have a whole report on all the scientists that resigned.
[00:49:34.271 --> 00:49:35.372]  We had UN scientists
[00:49:35.812 --> 00:49:36.393]  We're good to go.
[00:49:57.930 --> 00:49:59.171]  And there was supposed to be
[00:50:13.166 --> 00:50:15.187]  We'll be all gone, right, by last year?
[00:50:15.207 --> 00:50:15.627]  Right.
[00:50:15.688 --> 00:50:19.750]  There were many predictions 2010, 2012, 2014, that all are the case.
[00:50:20.010 --> 00:50:25.514]  And now global sea ice is now greater than it was in the 1980s, before most of this hysteria started.
[00:50:25.534 --> 00:50:30.336]  In fact, it's greater today, this week, than it was in most of the years of the 1980s on this date.
[00:50:31.497 --> 00:50:37.922]  Well, listen, folks, we better use the internet and free speech and defend it or lose it.
[00:50:38.343 --> 00:50:40.825]  ClimateDepot.com, get that address out to everybody.
[00:50:41.165 --> 00:50:47.030]  Mark Moreno, thanks for joining us on short notice with this development, and we really appreciate the work you're doing.
[00:50:47.530 --> 00:50:48.110]  Thank you, Alex.
[00:50:48.130 --> 00:50:51.133]  We don't know if anyone will ever see this video, but we're still doing it.
[00:50:52.774 --> 00:50:53.595]  Make the light of day.
[00:50:54.255 --> 00:50:55.576]  Well, you know, they're the boss.
[00:50:55.656 --> 00:50:57.458]  I mean, they said so, you know.
[00:50:57.558 --> 00:50:59.760]  We both need to be locked up in a mental institution.
[00:51:00.543 --> 00:51:01.083]  That's right.
[00:51:01.584 --> 00:51:04.385]  And imagine if the government gets into regulating the internet now.
[00:51:06.526 --> 00:51:07.867]  This is a scary world.
[00:51:07.887 --> 00:51:12.489]  The internet is the last bastion of freedom we have and it's just horrifying to think.
[00:51:12.990 --> 00:51:26.037]  It's one thing to even have self-control, but now we're talking about various plots that keep reappearing in the United States Senate and the House to try to regulate the internet and it's very scary because that can be easily manipulated.
[00:51:26.758 --> 00:51:28.198]  Mark, thank you so much for joining us.
[00:51:28.218 --> 00:51:28.679]  Thanks, Alex.
[00:51:28.919 --> 00:51:29.239]  Thank you.
[00:51:29.859 --> 00:51:32.700]  All right, there goes Mark Moreno, ClimateDepot.com.
[00:51:32.760 --> 00:51:35.841]  Folks, this is not a game and this is not a joke, okay?
[00:51:36.161 --> 00:51:41.022]  And I'm here to tell you, the enviro power grabbers could care less about the environment.
[00:51:41.642 --> 00:51:44.643]  They never talk about toxic waste dumping or other stuff that's going on.
[00:51:45.463 --> 00:51:49.565]  It's all about the carbon dioxide you're breathing or that you're exhaling.
[00:51:50.025 --> 00:51:51.885]  It's a total and complete power grab.
[00:51:52.085 --> 00:51:53.866]  And remember Al Gore with the fake graphic?
[00:51:55.044 --> 00:52:00.948]  of the polar bear that couldn't swim when it's the greatest land animal swimmer, period.
[00:52:02.149 --> 00:52:09.915]  Or, they always show the North Pole or the South Pole in the summer, which is the opposite.
[00:52:11.196 --> 00:52:14.138]  Whenever the Arctic is in winter, the North Pole is in summer.
[00:52:14.158 --> 00:52:17.020]  But the point is, they'll show a satellite image
[00:52:18.226 --> 00:52:21.970]  And they'll show it in the spring and summer where every year it contracts.
[00:52:22.831 --> 00:52:30.498]  That's like the North Passage is available, you know, from the United States over to Russia or Canada over to Russia during the summer, but it freezes up during the winter.
[00:52:30.518 --> 00:52:31.559]  That's why they have icebreakers.
[00:52:32.080 --> 00:52:34.562]  The point is they prey on the public's interest and they say...
[00:52:35.763 --> 00:52:43.810]  Public, since you're ignorant, we're going to show you in the summer it melting and say, look, it's melting, it'll soon be gone.
[00:52:44.290 --> 00:52:49.675]  They don't show you the rest of the satellite imagery that in the winter it goes back.
[00:52:50.496 --> 00:52:51.597]  This is what the ice caps do.
[00:52:55.239 --> 00:52:59.080]  And so they'll point a camera at glaciers collapsing into the ocean and say, look!
[00:52:59.360 --> 00:53:00.161]  They're collapsing!
[00:53:00.181 --> 00:53:00.701]  They're melting!
[00:53:01.041 --> 00:53:04.482]  That's what rain does on the North and South Pole.
