[00:00:21.587 --> 00:00:22.007]  Welcome.
[00:30:25.663 --> 00:30:27.984]  And, you know, it's just endless.
[00:30:28.024 --> 00:30:33.325]  You know, even if it wasn't about vaccines, it's still, the harassment's been endless.
[00:30:33.525 --> 00:30:41.548]  Every time, or most times, when I answered something, I was brought up on more charges for lying.
[00:30:41.748 --> 00:30:44.408]  Well, let me get to the substance of the harassment here.
[00:30:44.448 --> 00:30:53.191]  I have a letter in my hand from the state of New York, signed by Gary Casella, Chief Counsel of the 9th Judicial District, and he demands
[00:30:54.211 --> 00:31:07.354]  A written answer from you to the allegations contained herein and that your answer should include a detailed list of all of your firm's current clients, including their docket numbers and copies of all their cases.
[00:31:07.675 --> 00:31:10.715]  Isn't that a violation of basic attorney-client privilege?
[00:31:11.436 --> 00:31:20.838]  Yes, and quite possibly a violation of HIPAA and my client's First Amendment rights to the free exercise of religion.
[00:31:21.451 --> 00:31:26.354]  I mean, a lot of the people that I represent don't vaccinate because of their religious beliefs.
[00:31:27.034 --> 00:31:33.658]  So, it is unusual, but what's important here is that this is the second time I've been charged with this.
[00:31:34.199 --> 00:31:49.368]  In 2009, a pediatrician here in New York filed a complaint saying that my work was designed to assist people to subvert the law and that it could actually be a public health risk.
[00:31:50.188 --> 00:32:01.416]  And when I answered that complaint, I was not charged with that, but I was charged with an advertising violation that sought the same information that is being requested now.
[00:32:01.936 --> 00:32:07.140]  And when I did not provide that information, I was admonished.
[00:32:07.240 --> 00:32:08.001]  I objected.
[00:32:08.161 --> 00:32:10.963]  And when I objected, I said I was going to appeal.
[00:32:11.818 --> 00:32:34.128]  And as I was leaving the secret types of meetings that are held, or let me be clear, the closed doors meetings, I was followed to the door and I was told that if I appeal, I would be brought up on higher charges, which, you know, is also very questionable because what else, you know, are they holding back on me, you know, or something?
[00:32:34.168 --> 00:32:34.869]  I don't really know.
[00:32:35.329 --> 00:32:37.410]  You know, it's really a scary thing.
[00:32:38.280 --> 00:32:42.284]  I am quite upset about it, but I had no choice but to go public.
[00:32:43.405 --> 00:32:46.929]  Let me get to some other language that's contained in this complaint against you.
[00:32:46.949 --> 00:32:55.858]  They have a finding, they say, upon a finding that the respondent is guilty of misconduct immediately threatening the public interest.
[00:32:56.929 --> 00:33:06.897]  Now this is based on the assumption that vaccinations are the one and only way, you know, granted by God to protect public health.
[00:33:07.358 --> 00:33:11.981]  Now that is provably false, so there's a lot of scientific fraud behind that, but
[00:33:12.762 --> 00:33:34.898]  This reasoning that they can do anything they want to you, they can violate attorney-client privilege, they can take away your license to practice law, they can harass you because you don't comply with their distorted definition of what is in the public interest, this strikes me as egregious and very scary in a society that's supposed to be ruled by law.
[00:33:36.363 --> 00:33:45.426]  Well, you know, what's happening here is that I was admonished in 2009 on these complaints that were very, very mild.
[00:33:45.526 --> 00:33:50.868]  And I had provided, I mean, that's a really harsh sanction.
[00:33:51.488 --> 00:33:57.010]  And I provided evidence to the contrary to basically all of the allegations, you know.
[00:33:57.250 --> 00:34:03.472]  And so they found me liable of violating these ethical codes.
[00:34:04.284 --> 00:34:07.265]  I chose not to appeal them because I was afraid.
[00:34:08.165 --> 00:34:21.308]  And now the harassment continued and I brought another lawsuit to try to stop the harassment because one of the complaints was time barred by the statute of limitations.
[00:34:21.348 --> 00:34:27.070]  You don't have to go to law school to know about any parent with autism knows about the statute of limitations.
[00:34:27.590 --> 00:34:32.311]  And because I, an attorney, filed a lawsuit to protect my rights,
[00:34:33.055 --> 00:34:39.237]  Regarding a decision that was incorrect, I'm now being charged with violating yet another admonishment.
[00:34:39.838 --> 00:34:45.740]  So it's just, it's a constant snowballing and it's starting to get twisted and perverted.
[00:34:45.840 --> 00:34:52.563]  And, you know, and of course people are so quick to judge attorneys in particular, and they're very harsh.
[00:34:52.623 --> 00:34:56.885]  But, you know, I'm quite clear that I've done absolutely nothing wrong.
[00:34:56.925 --> 00:35:00.446]  And if I did do something wrong, it was, it was exceptionally minor.
[00:35:01.172 --> 00:35:06.474]  And it's just this snowballing effect and harassment and intimidation.
[00:35:06.634 --> 00:35:19.660]  It seems that this judicial district has taken the position that anything that big government says is correct for public health, that if you defend someone to opt out of that, then you're evil.
[00:35:19.700 --> 00:35:28.004]  So if the government said that all children should be bloodletted, that you should take half a pint of blood from your child every evening because that's great for their health,
[00:35:28.504 --> 00:35:32.286]  And you defended parents to say maybe we shouldn't take blood from our children.
[00:35:32.807 --> 00:35:37.430]  You would be harassed for the same thing we're seeing here because the government says bloodletting is good for children.
[00:35:37.770 --> 00:35:39.831]  I mean, there's no sense to it.
[00:35:40.672 --> 00:35:52.439]  Well, you know, as I stated previously, I don't know what is in the minds of those individuals reviewing my record and picking apart my life and my practice.
[00:35:53.157 --> 00:36:03.122]  I do know that these charges against me were bogus and ridiculous, and I know that when I defended them, the evidence I provided was overlooked.
[00:36:03.562 --> 00:36:06.263]  When I wanted to appeal, I was harassed.
[00:36:06.723 --> 00:36:15.247]  Then I filed a lawsuit finally to stop the harassment, and now I'm being charged with violating the underlying admonishments.
[00:36:15.799 --> 00:36:25.547]  The issue, though, I think that is scary here is that the advertising claim, you know, my activity on the Internet is obviously being monitored.
[00:36:26.608 --> 00:36:37.016]  Someone from the Grievance Committee went to my website, found this statement, and is now trying to charge me with violating making the statement three years ago.
[00:36:37.824 --> 00:36:41.747]  Three years ago, I wouldn't give up the kids' names, and I'm not giving them up now.
[00:36:42.227 --> 00:36:48.432]  And I don't know why they're harassing me, other than I do know that they told me they don't like my tone.
[00:36:49.152 --> 00:36:52.595]  And I find that, you know, I have a right of speech.
[00:36:53.325 --> 00:36:55.727]  I have a right of complexion in my speech.
[00:36:55.767 --> 00:37:01.891]  Well, let's talk about what can the viewing public, the InfoWars fans out there, do to help support your cause here?
[00:37:01.931 --> 00:37:03.573]  Is there a website they can go to?
[00:37:03.653 --> 00:37:06.475]  Is there a letter they can write to someone?
[00:37:07.215 --> 00:37:08.856]  What kind of action can help support you?
[00:37:11.678 --> 00:37:13.299]  You know, that's interesting.
[00:37:13.379 --> 00:37:20.202]  I would ask that people do go to my wall, Patricia Finn Attorney, and kind of stay close.
[00:37:20.702 --> 00:37:21.742]  Is that a dot com?
[00:37:21.902 --> 00:37:23.003]  Patricia Finn Attorney?
[00:37:23.943 --> 00:37:25.184]  No, on Facebook.
[00:37:25.204 --> 00:37:34.468]  You can go to Patricia Finn Attorney, and you can certainly watch what's being posted and what's being said.
[00:37:35.226 --> 00:37:51.019]  As for writing letters on my behalf, I don't, as an officer of the court, would not encourage anybody to deluge the court or the grievance committee with letters, although people are free to do whatever they want.
[00:37:51.640 --> 00:37:53.982]  And I'm certainly free to take this to the press.
[00:37:54.322 --> 00:37:58.646]  I don't think any lawyer, probably, that I know of has ever done something like this.
[00:37:58.706 --> 00:38:02.389]  But Mike, I have to tell you, practicing law is a joke.
[00:38:02.950 --> 00:38:08.134]  I make absolutely no money whatsoever and they want to now come and take my license from me?
[00:38:08.154 --> 00:38:08.454]  You know what?
[00:38:08.474 --> 00:38:10.636]  They can have it.
[00:38:10.736 --> 00:38:13.298]  The work that I've done, so much of it is pro bono.
[00:38:14.399 --> 00:38:19.743]  They make me look like I'm some fat cat here taking advantage of people and it's completely not true.
[00:38:19.763 --> 00:38:21.124]  I have lawyers working for me.
[00:38:21.144 --> 00:38:23.826]  They haven't been paid in months and we still come to work.
[00:38:24.798 --> 00:38:26.859]  And the harassment is endless.
[00:38:27.039 --> 00:38:32.503]  Well, we know they will twist reality to tell their narrative, their false narrative, in whatever way they want.
[00:38:32.543 --> 00:38:46.272]  In fact, I would say that you're being victimized as part of what we call the Wakefield effect, referring to Dr. Andrew Wakefield, who had his medical license stripped away when he began to really ask scientific questions about the links between vaccines
[00:38:47.012 --> 00:38:48.413]  And the health effects in children.
[00:38:48.433 --> 00:38:53.035]  And then others have said, well, there's a link between vaccines and autism, for example.
[00:38:53.055 --> 00:39:06.582]  Now it wasn't Wakefield who actually said that, but then he is smeared in the media as saying that Wakefield said vaccines cause autism, and they use that disinformation, completely lying about him to take away his license.
[00:39:07.083 --> 00:39:09.384]  It looks like they're attempting to do similar things to you.
[00:39:11.085 --> 00:39:13.046]  It's endless, the harassment.
[00:39:13.146 --> 00:39:15.567]  I've been accused of lying over and over again.
[00:39:15.587 --> 00:39:21.209]  I was accused of ducking the FedEx guy when a package was supposedly delivered here.
[00:39:21.729 --> 00:39:24.870]  When I said I was out of town, I was actually in West Virginia.
[00:39:24.890 --> 00:39:28.171]  I had to provide airline tickets showing where I was.
[00:39:30.572 --> 00:39:35.494]  I had to provide a floor plan to show where I sit in relation to the door.
[00:39:38.635 --> 00:39:43.196]  Yeah, because I was accused of being here when the FedEx man came.
[00:39:43.276 --> 00:39:45.076]  I mean, it's just ridiculous, you know?
[00:39:45.156 --> 00:39:54.458]  And if it was any other attorney that fell in the line or was part of the old boy network, my explanations that I provided would have solved this matter.
[00:39:55.058 --> 00:39:56.059]  And they weren't.
[00:39:56.119 --> 00:39:58.979]  It's so outrageous, I have no choice.
[00:39:59.119 --> 00:40:00.519]  I don't care anymore, you know?
[00:40:00.599 --> 00:40:02.480]  I do care about the children.
[00:40:02.960 --> 00:40:07.741]  And if I have to lose my license to elevate this issue, then
[00:40:08.618 --> 00:40:09.639]  That's my destiny.
[00:40:09.659 --> 00:40:17.687]  I mean, I don't think I will because I'm hoping that I'm going to get in front of a judge that's finally going to take a look at this and say, hey, what the heck is going on?
[00:40:17.807 --> 00:40:17.987]  Right.
[00:40:18.047 --> 00:40:19.108]  You'll have plenty of support.
[00:40:19.468 --> 00:40:20.990]  I'm sorry.
[00:40:21.410 --> 00:40:26.755]  I'm saying you'll have plenty of support in the alternative media, the real media, like InfoWars Nightly News.
[00:40:26.775 --> 00:40:28.297]  That's where the real news gets reported.
[00:40:28.917 --> 00:40:29.898]  You can't expect a fair
[00:40:31.059 --> 00:40:36.704]  Fair coverage in the hoax, prostitute press, or the prostitutes, as we sometimes say out there.
[00:40:37.145 --> 00:40:40.408]  Just like Wakefield did not get a fair shake out there.
[00:40:41.249 --> 00:40:42.169]  Any final thoughts?
[00:40:43.030 --> 00:40:43.431]  In closing?
[00:40:43.451 --> 00:40:44.051]  Yes.
[00:40:44.091 --> 00:40:52.479]  You know, on Dr. Wakefield, I watched in horror as he was picked apart, and it was awful what happened to him, and I can tell you that
[00:40:52.970 --> 00:40:55.313]  I'm going through exactly the same thing.
[00:40:55.333 --> 00:40:57.295]  I'm a good woman.
[00:40:57.395 --> 00:40:58.416]  I'm a moral woman.
[00:40:58.536 --> 00:40:59.477]  I work hard.
[00:40:59.858 --> 00:41:05.804]  I've helped thousands of people with their rights to avoid vaccinations.
[00:41:07.354 --> 00:41:19.000]  I'm being barred admission to the Supreme Court because I'm accused of not stamping an envelope with the words attorney advertising when it wasn't even, in my opinion, an advertisement.
[00:41:19.040 --> 00:41:20.281]  It was a letter from a doctor.
[00:41:21.721 --> 00:41:28.905]  It also strikes me as odd that the highest attorney in our nation, Attorney Eric Holder, Attorney General Eric Holder,
[00:41:29.645 --> 00:41:40.349]  You know, he's involved in running guns into Mexico, illegal firearms crossing the border as part of a really a false flag scheme to blame the Second Amendment.
[00:41:40.449 --> 00:41:57.957]  I mean, you've got high-level attorneys throughout Washington who are committing crimes, who are pedophiles, who are raping children, who are violating the Constitution, the Bill of Rights, who are taking bribery money, who are just violating every ethical standard of practicing law, and then they come after you for this?
[00:41:58.937 --> 00:42:00.498]  A housewife from New York.
[00:42:00.798 --> 00:42:01.878]  It's incredible.
[00:42:02.418 --> 00:42:03.419]  It is incredible.
[00:42:03.499 --> 00:42:04.259]  And I'm done.
[00:42:04.279 --> 00:42:05.880]  Gloves are off.
[00:42:06.000 --> 00:42:20.485]  And I'm going to go to the appellate division and I'm going to get in front of a judge and I'm going to show him what I have been subjected to because I faxed the letter instead of mailing it or I didn't write attorney advertising on an envelope.
[00:42:20.545 --> 00:42:21.285]  It's ridiculous.
[00:42:21.676 --> 00:42:29.286]  I cannot argue these cases in the Supreme Court of the United States because of this harassment, and that's really what has brought me to the media.
[00:42:29.727 --> 00:42:30.228]  I'm done.
[00:42:30.248 --> 00:42:35.114]  I am the one that I should be bringing this case before the court, and I will.
[00:42:35.414 --> 00:42:36.075]  I will indeed.
[00:42:36.656 --> 00:42:37.937]  Please continue to speak out.
[00:42:37.997 --> 00:42:39.538]  We love your attitude, Patricia.
[00:42:39.598 --> 00:42:54.986]  We want to wish you our love and our support in your endeavor to speak the truth and stand up for these children who are being harmed by vaccines, or at least we should say that the parents should have the right to choose whether they wish to expose their children to these vaccines, many of which are linked to seizures and some linked to death.
[00:42:55.346 --> 00:42:58.528]  So, you know, you are really an American hero and I appreciate what you're doing.
[00:42:59.246 --> 00:43:00.326]  Thank you so much.
[00:43:00.566 --> 00:43:01.326]  Thank you Patricia.
[00:43:02.187 --> 00:43:04.107]  Good to have you on InfoWars Nightly News.
[00:43:04.847 --> 00:43:07.028]  Alright folks, that was the interview with Patricia Fenn.
[00:43:07.068 --> 00:43:13.329]  Check out her Facebook page at Patricia Fenn Attorney and stay in touch with her activities.
[00:43:13.609 --> 00:43:17.150]  We'll be covering her continued coverage here on InfoWars.com.
[00:43:17.450 --> 00:43:19.811]  Perhaps Alex will talk to her down the road, we'll let him decide.
[00:43:20.071 --> 00:43:23.772]  But this is a very important story, so stay tuned in on what the outcome is.
[00:43:23.832 --> 00:43:25.012]  We will continue to fight
[00:43:25.532 --> 00:43:32.229]  For her free speech rights and the right to represent parents who are trying to protect their children from the dangers of vaccines.
[00:43:32.569 --> 00:43:32.870]  Thank you.
