[00:00:27.786 --> 00:00:30.251]  It's August 30th, it's InfoWars Nightly News.
[00:29:14.907 --> 00:29:24.915]  And the previous weeks have been things like guns, where we have InfoWars users send in pictures that they've designed, you know, on their Photoshop or Illustrator, or they've hand-drawn.
[00:29:25.395 --> 00:29:28.638]  And these are actually going to be used in all kinds of different places.
[00:29:29.118 --> 00:29:29.839]  On our Facebook,
[00:29:30.439 --> 00:29:35.462]  Alexander Emmerich Jones, or our Twitter, RealAlexJones.
[00:29:36.063 --> 00:29:41.546]  We've even started a Pinterest, RealAlexJones, where you can go and find these cool images.
[00:29:41.567 --> 00:29:42.807]  So those are awesome.
[00:29:42.847 --> 00:29:43.608]  Keep those coming.
[00:29:44.048 --> 00:29:55.376]  And actually, we have been hiring new reporters here in the studio, and one of them is Melissa Melton, and she actually got started and kind of discovered, if you will, through this infographic group.
[00:29:55.436 --> 00:29:59.619]  So we pay attention to a lot of really cool stuff on Planet InfoWars.
[00:30:00.819 --> 00:30:13.848]  And if you missed it, I'm wearing the In The Fed t-shirt, which, when you see this message, the sale on it, it's $11.95 on sale in the Infowarsshop.com, just for the end of the day till midnight.
[00:30:13.908 --> 00:30:21.233]  Now, you can buy at regular price, but August 30th, by the end of the day, midnight, it's going to be, it'll go back to regular price.
[00:30:21.293 --> 00:30:24.755]  So, get that while you can, and be as cool as me.
[00:30:24.975 --> 00:30:25.356]  No, I'm teasing.
[00:30:26.438 --> 00:30:27.802]  So, thanks for tuning in.
[00:30:28.304 --> 00:30:30.751]  Patriots out there, y'all are talking and we're listening.
[00:30:30.992 --> 00:30:31.935]  So, till next time.
[00:30:40.040 --> 00:30:44.564]  Alex Jones here with a message that could revolutionize health in this country.
[00:30:44.884 --> 00:30:50.709]  Going back about a year and a half ago, I began to learn about the incredible health effects of longevity products.
[00:30:51.109 --> 00:30:53.451]  Erin Dykes lost 92 pounds.
[00:30:53.831 --> 00:30:56.734]  We're going to show you some before and afters.
[00:30:57.154 --> 00:30:58.915]  Aaron, break down what happened.
[00:30:58.955 --> 00:30:59.515]  Your story.
[00:30:59.796 --> 00:31:04.858]  I've worked really hard with diet and exercise to try to lose weight, but I just didn't get the results.
[00:31:04.898 --> 00:31:05.759]  It just didn't happen.
[00:31:06.059 --> 00:31:08.640]  Then I saw what you were doing with Infowarsteam.com.
[00:31:09.141 --> 00:31:12.943]  I wasn't even trying to lose weight, but I got it because I wanted to feel better energy.
[00:31:12.983 --> 00:31:13.743]  I wanted that nutrition.
[00:31:13.823 --> 00:31:19.467]  I didn't even understand how that could kickstart my own weight loss goals, but the products did that for me.
[00:31:19.808 --> 00:31:27.573]  I found myself suddenly losing weight, more energetic, wanting to exercise, wanting to eat the right foods, and they don't even advertise it as weight loss!
[00:31:27.894 --> 00:31:37.481]  I want to challenge our radio listeners to go to Infowarsteam.com, sign up as a distributor, and get wholesale pricing discounts at Infowarsteam.com.
[00:32:05.999 --> 00:32:08.541]  Welcome back to the InfoWars Nightly News.
[00:32:08.701 --> 00:32:09.502]  I'm Aaron Dykstra.
[00:32:09.522 --> 00:32:12.744]  In just a moment, we're going to have a very interesting interview segment.
[00:32:13.044 --> 00:32:16.307]  But first, I want to thank Paul Joseph Watson for doing the News Blitz.
[00:32:16.667 --> 00:32:22.772]  And I also want to introduce Dan Badondi, one of our new reporters fielded from the Reporter Contest.
[00:32:23.212 --> 00:32:25.534]  Also an activist I've been following for years.
[00:32:25.854 --> 00:32:27.375]  He has a wealth of information.
[00:32:27.435 --> 00:32:31.498]  It's so interesting talking to him just behind the scenes here in the studio.
[00:32:31.899 --> 00:32:34.641]  And he's put together one of his first in-depth reports.
[00:32:34.881 --> 00:32:42.447]  It's going to be a two-part report on the government's admitted experimentation and testing on our own soldiers.
[00:32:42.567 --> 00:32:43.948]  Hundreds of thousands of them.
[00:32:44.288 --> 00:32:48.351]  Not to mention the other vulnerable and exploited groups they've also done tests on.
[00:32:48.872 --> 00:32:51.634]  So with no further ado, I give you Dan Bodondi.
[00:32:53.635 --> 00:32:56.377]  This is Dan Bodondi reporting for the InfoWars Nightly News.
[00:32:57.838 --> 00:33:03.802]  You're always told that the American dream was owning your own home, driving a nice car, having a big family.
[00:33:04.426 --> 00:33:11.147]  But in addition, paying your dues to society by joining the armed forces, as seen by many as the right thing to do.
[00:33:11.767 --> 00:33:32.251]  But what if I was to tell you that in some cases, joining the military isn't exactly about defending our country, but about being a human test guinea pig for military classified medical experiments, which includes force medicated by drugs, inoculations, inhalation of poisonous gases, and even torture by electrical shocks.
[00:33:33.325 --> 00:33:36.286]  Now let's take a good look at this article from CNN.
[00:33:37.186 --> 00:33:41.188]  CNN reports vets feel abandoned after secret drug experiments.
[00:33:42.348 --> 00:33:49.670]  The moment 18-year-old private Tim Joseph arrived at Edgewood Arsenal in 1968, he knew there was something different about the place.
[00:33:50.611 --> 00:33:55.612]  It just didn't look like a military base, more like a hospital, recalls Joseph, a Pittsburgh native.
[00:33:56.092 --> 00:33:57.933]  He quotes, it was like a plum assignment.
[00:33:58.553 --> 00:34:06.760]  The idea they would be testing new army field jackets, clothing, weapons, and things of that nature, but no mention of drugs or chemicals.
[00:34:07.180 --> 00:34:14.967]  But when he went to fill out the paperwork the morning after his arrival, the base personnel were wearing white lab coats and Joseph said that he had second thoughts.
[00:34:15.527 --> 00:34:17.749]  An officer took him aside and told him,
[00:34:18.730 --> 00:34:20.232]  If you don't do it, you're going to jail.
[00:34:20.752 --> 00:34:36.830]  And then from 1955 to 1975, military researchers at Edgewood were using not only animals, but human subjects to test witches' brews of drugs and chemicals that range from potentially lethal nerve gases like VX and sarin to incapacitating agents like BZ.
[00:34:38.723 --> 00:34:44.449]  And the military also tested tear gas, tranquilizers, narcotics, hallucinogens, like LSD.
[00:34:45.250 --> 00:34:47.393]  In this first report, it's a U.S.
[00:34:47.493 --> 00:34:51.016]  Army Chemical Research and Development Laboratory's technical report.
[00:34:51.777 --> 00:34:56.983]  And as we scroll through the document, you can see the chemicals that they use in reactions of BZ.
[00:34:58.163 --> 00:35:03.045]  And in this next document, it's called The Effects of Drugs on Human Operant Performance.
[00:35:03.945 --> 00:35:11.588]  And as we scroll through this document, in the highlights, you can clearly see that the United States Army used humans for test subjects.
[00:35:12.488 --> 00:35:16.489]  In this public record, titled Exclusive CIA Experiments on U.S.
[00:35:16.569 --> 00:35:18.070]  Soldiers Linked to Torture Program,
[00:35:19.272 --> 00:35:28.454]  A number of new articles have been published recently that have highlighted evidence of illegal human experimentation on U.S.-held terrorism prisoners undergoing torture.
[00:35:28.974 --> 00:35:45.677]  Then the article goes on to state that this report looks at those recent charges and reveals that experiments by a CIA researcher on human subjects undergoing SARE training went unreported in the legal memos of the Bush administration drafted to approve their torture program.
[00:35:46.457 --> 00:35:57.962]  It will also connect major military and intelligence figures to the CR experiments and tie some of them to major science and experimental directorates at the CIA and Special Operations Command.
[00:35:59.673 --> 00:36:11.302]  And this article exposes the sinister plot called Project Shipboard Hazard in Defense, known as SHAD, was a program started back in the early 1960s to learn the vulnerabilities of U.S.
[00:36:11.362 --> 00:36:14.424]  warships during chemical and biological warfare attacks.
[00:36:15.005 --> 00:36:17.306]  Under Project SHAD were 113 different operations or tests.
[00:36:19.668 --> 00:36:19.808]  U.S.
[00:36:19.848 --> 00:36:25.652]  Naval crews and marine personnel were spraying various biological chemical germ warfare agents and simulants.
[00:36:26.192 --> 00:36:33.917]  Some ships and even marine personnel were sprayed from overflying aircraft, while other tests on ships were being sprayed by aircraft carriers.
[00:36:34.378 --> 00:36:39.641]  While some high-ranking personnel may have had knowledge of what was happening, most of the ship's crews did not.
[00:36:41.220 --> 00:36:41.840]  Project S.H.I.E.D.
[00:36:41.880 --> 00:36:43.021]  was controlled by the U.S.
[00:36:43.201 --> 00:36:47.983]  Army Desert Test Center, later known as the Dugway Proving Grounds in Utah.
[00:36:48.584 --> 00:36:53.786]  And for over 35 years, the Department of Defense said there was no Project S.H.I.E.D.
[00:36:54.767 --> 00:37:00.710]  This report and these military classified documents you have just seen are nothing but the tip of the iceberg.
[00:37:01.582 --> 00:37:08.248]  And keep in mind, folks, that most military are completely unaware that they are being tested on by their own government.
[00:37:08.829 --> 00:37:17.197]  In part two of this special report, we're going to look at government admission of using troops as guinea pigs and its links to suicides.
[00:37:17.677 --> 00:37:20.220]  And this is Dan Badani reporting for the InfoWars Nightly News.
[00:37:22.423 --> 00:37:23.884]  Thanks, Dan, for that report.
[00:37:23.984 --> 00:37:25.325]  Very interesting, indeed.
[00:37:25.645 --> 00:37:39.033]  Now, before we turn to our primary interview subject, Michael J. Murphy, I want to give you a preview of his latest film, Why in the World Are They Spraying?, and it's fascinating the agenda he's put together through his thorough research.
[00:37:39.073 --> 00:37:39.513]  Take a look.
[00:37:52.381 --> 00:37:53.242]  My name is Scott Stevens.
[00:37:53.642 --> 00:37:55.684]  I was a television weatherman for 20 years.
[00:37:56.405 --> 00:38:03.832]  These chemtrails are absolutely required to impact whatever weather event they were designing.
[00:38:04.372 --> 00:38:11.019]  And the trails were an absolute necessary ingredient for them to achieve their weather modification goals.
[00:38:11.939 --> 00:38:20.301]  Chemtrails are a key element in the whole thing because they're obviously a way of putting a highly reflective material into the atmosphere.
[00:38:20.341 --> 00:38:29.503]  With cloud seeding, the cooling will be achieved by making clouds reflect a bit more sunlight back to space than they would otherwise, and less sunlight reaching the surface would tend to cool the planet.
[00:38:30.403 --> 00:38:34.604]  So let's say we were doing geoengineering because we wanted to make the weather a little bit better.
[00:38:35.264 --> 00:38:38.745]  The more we see these trails in the sky, the less rain we get.
[00:38:39.437 --> 00:38:46.999]  Virtually all scientific data, even from the proponents of geoengineering, state clearly, saturating the atmosphere with particulates will create drought.
[00:38:47.260 --> 00:38:50.961]  Much has been made of this issue of damage from precipitation.
[00:38:51.041 --> 00:38:56.663]  If the issue is understanding the climatic response, which is, I think, most of where this is going, and it's exactly where the precipitation gets higher and lower.
[00:38:56.943 --> 00:39:00.764]  There will be monsoon failures during that period, there will be huge hurricanes.
[00:39:00.984 --> 00:39:03.445]  It's likely to cause some damage in some places.
[00:39:04.366 --> 00:39:10.968]  The global studies indicate there will be some impact on precipitation patterns and obviously there's a lot more opportunity for work in that area.
[00:39:11.188 --> 00:39:19.391]  Just seeding can be pretty effective for the clouds we explored, but the interactions between seeding and precipitation in the form of drizzle are really complex.
[00:39:20.071 --> 00:39:28.353]  So we're finding the aerosols, the metal particulates, the weather engineering, whether it's scalar, ionic, or orgon, or the chi of the atmosphere.
[00:39:28.893 --> 00:39:33.475]  All of those can be used and leveraged to create weather events that are
[00:39:34.295 --> 00:39:38.438]  Several standard deviations or outside what would be typically normal.
[00:39:38.658 --> 00:39:39.939]  Brush forms known.
[00:39:40.620 --> 00:39:43.542]  The manzanita and it looks like it's been hit with insecticide.
[00:39:43.562 --> 00:39:46.104]  And we're seeing this throughout the ecosystem.
[00:39:46.945 --> 00:39:59.795]  And there's virtually no growth and we see whole plants, whole mature plants, 50, 60, 70 year old, almost trees die out for no reason whatsoever that we can find other than the contaminated soils.
[00:40:00.535 --> 00:40:02.077]  If it's in the rain, it's in the soil.
[00:40:02.817 --> 00:40:12.983]  And now we see incredibly hardy organisms dying for no other cause that we can find other than the contamination in our rain from these aerosol operations.
[00:40:13.443 --> 00:40:15.624]  And so you get ecosystem collapses.
[00:40:16.905 --> 00:40:20.967]  And if you control the weather, you're going to control the planet.
[00:40:22.368 --> 00:40:23.168]  It's that simple.
[00:40:23.568 --> 00:40:27.370]  The work we're doing will provide cover for others to come out.
[00:40:28.271 --> 00:40:30.172]  And I'm most interested in whistleblowers.
[00:40:31.758 --> 00:40:35.781]  So that is the trailer for Why in the World Are They Spraying?
[00:40:36.161 --> 00:40:40.264]  The follow-up to the hugely provocative film, What in the World Are They Spraying?
[00:40:40.304 --> 00:40:42.366]  We have both at Infowars.com.
[00:40:42.686 --> 00:40:48.470]  You can get just the new film or you can get them both in the Chemtrails special package, discounted at $34.95.
[00:40:50.091 --> 00:40:51.552]  Why in the World Are They Spraying?
[00:40:51.712 --> 00:40:51.812]  is $19.95.
[00:40:52.933 --> 00:40:59.558]  We are joined now by the main producer, one of the co-producers of both films, Michael J. Murphy.
[00:40:59.618 --> 00:41:00.659]  Thanks for joining us, Michael.
[00:41:01.138 --> 00:41:05.363]  Hey, thanks for having us on, Aaron, and thanks for covering this most dire issue.
[00:41:05.403 --> 00:41:16.396]  Those of us who have been researching this believe that there's been no greater threat to our planet than the ongoing Chemtrail geoengineering programs that we're now experiencing around the world.
[00:41:16.696 --> 00:41:17.197]  So thank you.
[00:41:18.283 --> 00:41:26.426]  So a lot of people saw the first film, What in the World Are They Spraying?, and it was the right time for that film because it's something people have been talking about for decades.
[00:41:26.846 --> 00:41:36.150]  It had been admitted in different lingo in the academic circles, but by this point it's become an unavoidable issue that no one in the media is talking about.
[00:41:36.490 --> 00:41:45.473]  There's no one giving answers on the issue other than a bunch of climate scientists saying it could be one way to solve what they say is the global warming problem.
[00:41:45.973 --> 00:41:47.394]  What have you really found
[00:41:47.774 --> 00:41:54.654]  What kind of questions have come out since the first film and what's been the overall public reaction that led you to make this follow-up film?
[00:41:55.145 --> 00:41:57.146]  Well, the reaction was great.
[00:41:57.206 --> 00:42:08.929]  We went to a geoengineering conference and actually filmed geoengineers talking about their plans and proposals for spraying 10 to 20 million tons of toxic aluminum oxide and other particles into our sky.
[00:42:09.609 --> 00:42:12.990]  They state that these programs are for the mitigation of global warming.
[00:42:13.310 --> 00:42:20.033]  Aluminum oxide is very reflective, and that's the theory, that putting these aerosols into the sky will reflect the sun.
[00:42:20.173 --> 00:42:21.173]  Since we released
[00:42:21.753 --> 00:42:23.014]  What in the world are they spraying?
[00:42:23.054 --> 00:42:26.396]  People from around the world have been testing rain.
[00:42:26.916 --> 00:42:38.164]  Rain is a very good indicator of atmospheric contamination, and what they're finding around the world is what many people are calling the chemtrail geoengineering footprint of aluminum barium and strontium.
[00:42:38.864 --> 00:42:46.810]  These metals match a number of geoengineering patents that were devices actually designed to spray these metals out of airplanes.
[00:42:47.551 --> 00:42:52.574]  They match what geoengineers deny they're spraying but state they urgently want to spray.
[00:42:53.135 --> 00:42:58.559]  Geoengineers now are calling for emergency geoengineering to start as early as 2013.
[00:42:59.219 --> 00:43:00.300]  That's in less than one year.
[00:43:00.800 --> 00:43:11.723]  And what we see in the sky on a regular basis, these long lingering trails that do not dissipate, they spread out and they block their sun, is an express goal of geoengineering programs.
[00:43:11.783 --> 00:43:14.624]  We now have an issue called global dimming.
[00:43:14.664 --> 00:43:22.806]  The Earth is receiving 20% less sun than it did just a couple decades ago, and that is also a stated goal of geoengineering.
[00:43:22.866 --> 00:43:23.906]  So what we found
[00:43:24.526 --> 00:43:30.910]  After we produced the film, we found a number of studies that indicate actually putting aerosols into our sky.
[00:43:30.950 --> 00:43:33.292]  These are NASA studies and university studies.
[00:43:33.732 --> 00:43:39.676]  And Aaron, I don't necessarily trust NASA, but it indicates that putting aerosols into our sky will...
[00:43:40.396 --> 00:43:50.667]  Temporarily regionally cool the planet and you'll notice on warm days when they begin to spray the temperature below those aerosols drops about five to seven degrees.
[00:43:51.027 --> 00:43:53.770]  However, at night the aerosols act as a blanket.
[00:43:53.810 --> 00:43:56.953]  They trap heat and that's exactly what these studies indicate.
[00:43:56.993 --> 00:44:00.897]  So the question really that we've been asked is why is this happening?
[00:44:00.957 --> 00:44:02.419]  So we began to look into
[00:44:02.899 --> 00:44:13.852]  Many of the agendas, and there are many agendas associated with these programs, but it looks like, and it appears based on our studies, that weather control is one of the main agendas.
[00:44:14.690 --> 00:44:16.111]  Now you say weather control.
[00:44:16.271 --> 00:44:23.213]  Obviously a lot of our audience is well aware of this issue, has done their own research, seen Alex and others talking about it for years.
[00:44:23.693 --> 00:44:30.036]  But a lot of other new listeners, people out there, may not realize what a mainstream idea weather control is.
[00:44:30.396 --> 00:44:36.458]  Can you just explain briefly the history and how prevalent weather control admittedly is at this point in time?
[00:44:36.909 --> 00:44:37.850]  Well, absolutely.
[00:44:37.890 --> 00:44:40.651]  And weather control has been going on for over 100 years.
[00:44:41.191 --> 00:44:49.956]  They learned that people interested in these types of technologies learned that putting particulates into our sky could affect where rain falls or where it doesn't fall.
[00:44:50.417 --> 00:44:55.740]  It's been used by the military for a number of years, which we'll get into in the interview, but there is
[00:44:56.360 --> 00:45:02.369]  Our companies now that focus on weather control in typically historically they have used silver iodide.
[00:45:02.429 --> 00:45:11.862]  So it's been very regional in ski resorts have used it to get snow when those clouds have been seeded.
[00:45:12.302 --> 00:45:18.308]  What we're seeing now though is much different because the weather modification again was very small programs.
[00:45:18.869 --> 00:45:20.751]  They affected just a small region.
[00:45:20.811 --> 00:45:24.675]  We now have an agenda to completely corporatize our weather.
[00:45:25.215 --> 00:45:30.380]  And what we began to notice in the investigation about 500 to 700 miles ahead of storms,
[00:45:32.182 --> 00:45:39.588]  Well, you know, those are the days where you saw the intense trailing back and forth, back and forth, when the sky turned into this milky white.
[00:45:39.968 --> 00:45:44.092]  And then within 24 to 72 hours, you see these intense storms coming in.
[00:45:44.492 --> 00:45:54.460]  So we met with former 20-year weatherman Scott Stevens and Nick Begich, who is a HAARP expert, and he explained to us some of the science, which is very basic, behind these programs.
[00:45:54.821 --> 00:45:59.965]  And if you look back to what we're finding in rain tests again, in very, very major quantities,
[00:46:00.765 --> 00:46:05.606]  And the geoengineering's main ingredient is aluminum oxide.
[00:46:05.886 --> 00:46:12.728]  And while aluminum oxide is very reflective, we also found that it was a very effective conductor in our sky.
[00:46:13.068 --> 00:46:23.470]  So by putting a blanket of aluminum in our sky, and by the way, that's why we're seeing an increase in lightning around the world, because aluminum, again, it is a very effective conductor.
[00:46:24.170 --> 00:46:26.913]  By putting a canopy into our sky.
[00:46:26.953 --> 00:46:32.500]  They literally through the use of harp and other technologies have the ability to heat up that canopy.
[00:46:33.001 --> 00:46:34.863]  And what does a heated atmosphere do?
[00:46:35.283 --> 00:46:37.546]  It raises in that raising.
[00:46:37.666 --> 00:46:39.849]  It literally creates a low pressure vacuum.
[00:46:40.169 --> 00:46:48.175]  And it enables these corporations to literally steer storms into certain regions, or the case of this summer, out of certain regions.
[00:46:48.776 --> 00:46:53.920]  We went back and we also looked at a number of the geoengineers talking about their conference.
[00:46:53.980 --> 00:47:02.126]  I went through about 12 hours of footage and found out that one of the consequences of geoengineering programs is disrupted weather patterns.
[00:47:02.447 --> 00:47:03.668]  It's ozone depletion.
[00:47:03.708 --> 00:47:08.431]  We now have a huge ozone hole above the northern hemisphere.
[00:47:09.392 --> 00:47:15.098]  And they state that these programs could disrupt the food supply of over 2 billion people, but I'll get into that in a second.
[00:47:15.158 --> 00:47:23.528]  But the science behind this, these particulates are nanoparticles, and they act as what's called cloud condensation nuclei.
[00:47:24.108 --> 00:47:25.750]  And again, geoengineers are very open.
[00:47:25.770 --> 00:47:29.114]  They state if we start these programs, we will have drought.
[00:47:29.134 --> 00:47:30.075]  And the reason is this.
[00:47:31.856 --> 00:47:44.529]  The cloud condensation nuclei, when normal water evaporates from the ocean, it evaporates and combines with other water molecules, and when it condenses, it forms a cloud and eventually rains.
[00:47:44.829 --> 00:47:47.832]  But when these particulates are introduced into the atmosphere,
[00:47:48.152 --> 00:47:53.874]  Instead of the water condensing, it actually condenses on these metal particulates, and it drifts.
[00:47:53.934 --> 00:48:11.178]  And that's one of the reasons why we're seeing drought conditions in California, because the rain that we should be getting drifts over the continental divide, but eventually it has to fall, and that's why we're seeing the intense flooding in the Midwest and then on the East Coast, because again, it does have to fall.
[00:48:11.478 --> 00:48:13.859]  Remarkable thing that we've seen this summer
[00:48:14.219 --> 00:48:16.841]  Without question is an engineered drought.
[00:48:17.221 --> 00:48:22.224]  A lot of people have been contacting me stating, Mike, you know that they're not spraying over California.
[00:48:22.244 --> 00:48:23.585]  I think they've stopped the program.
[00:48:23.625 --> 00:48:34.092]  So we started looking at satellite and what we noticed the entire Pacific all summer long from the equator all the way up to Alaska is completely covered by aerosols.
[00:48:34.412 --> 00:48:38.515]  And what this does a couple of things again going back to the basic science.
[00:48:38.575 --> 00:48:41.477]  It prevents the sunlight from hitting the ocean.
[00:48:42.097 --> 00:48:45.219]  So we're not getting as much evaporation, which forms our clouds.
[00:48:45.539 --> 00:48:53.925]  And then the evaporation that does occur, again, instead of falling as rain, it actually hooks on to this metal particulate and it drifts.
[00:48:54.285 --> 00:48:56.306]  Interesting, Aaron, I was in the Midwest.
[00:48:56.887 --> 00:48:58.568]  They're having an intense drought there.
[00:48:59.068 --> 00:49:05.152]  And when storms and when rain was in the forecast, I would go outside and I would watch the storms and we'd see the
[00:49:05.472 --> 00:49:16.239]  Storms starting to build these big cumulus under heads would start developing and then the planes would come boom back and forth, back and forth, putting literally seeding these clouds.
[00:49:16.279 --> 00:49:20.241]  And within about 45 minutes, we would see the clouds collapse and the
[00:49:22.182 --> 00:49:25.266]  So again, definitely an agenda to create droughts.
[00:49:25.306 --> 00:49:38.520]  What we found, and hopefully we'll get into in the interview, is there are many agendas, many corporations, many individuals that benefit both financially and there are a lot of political agendas that can be used by weather control, weather modification.
[00:49:38.660 --> 00:49:48.365]  Well we definitely want to go there but I just want to point out you're already saying this isn't just well-meaning scientists who think they're going to fix the earth and haven't considered all the risks that are there.
[00:49:48.826 --> 00:49:54.669]  These are people who know the risks and are willing to implement it on purpose knowing this is going to happen.
[00:49:54.689 --> 00:49:58.131]  I mean that is total bombshell and no one's stopping them.
[00:49:58.171 --> 00:49:59.512]  There's no informed consent.
[00:49:59.532 --> 00:50:05.235]  There's no public dialogue other than this flimsy pretext that it has to do with the global warming issue.
[00:50:05.831 --> 00:50:08.793]  Well, and I think that's an important point that you stated.
[00:50:08.854 --> 00:50:13.097]  Again, geoengineers state, you know, our programs are very damaging.
[00:50:13.157 --> 00:50:14.578]  They will deplete our ozone.
[00:50:14.598 --> 00:50:15.919]  That is our protective layer.
[00:50:16.280 --> 00:50:19.262]  Again, we have a huge hole over the northern hemisphere.
[00:50:19.583 --> 00:50:23.326]  Most people now are beginning to notice that they burn very quickly in the sun.
[00:50:23.366 --> 00:50:26.508]  I used to be able to sit out in the sun for four or five hours.
[00:50:26.568 --> 00:50:28.350]  Now, within about half an hour, I start to burn.
[00:50:28.710 --> 00:50:36.154]  That is because our protective layer is literally being shredded every time they put more aerosols into our sky.
[00:50:37.315 --> 00:50:45.179]  Some of the other consequences, they state that if they start these programs, and of course they have, potentially 2 billion people could have their food disrupted.
[00:50:45.219 --> 00:50:45.659]  Guess what?
[00:50:45.979 --> 00:50:47.840]  People are having their food disrupted.
[00:50:48.320 --> 00:50:50.782]  They talk about pH changes of the soil.
[00:50:50.842 --> 00:50:52.144]  In the first film, we covered that.
[00:50:52.624 --> 00:50:59.350]  Up in Northern California, where they typically have an acidic soil, we're seeing 10 to 12 times the normal alkalinity of the soil.
[00:50:59.410 --> 00:51:04.194]  Of course, this is collapsing not only natural food supplies, but forests around the world.
[00:51:04.795 --> 00:51:08.999]  In Why in the World Are They Spraying?, we interviewed several farmers across the globe.
[00:51:09.379 --> 00:51:10.320]  They are seeing
[00:51:10.700 --> 00:51:16.221]  Collapses due to many different stresses, which we'll get to hopefully in a minute.
[00:51:16.261 --> 00:51:19.022]  But these programs are literally devastating.
[00:51:19.062 --> 00:51:26.263]  This is complete corporatization of our weather and the human health implications are unquantifiable.
[00:51:27.203 --> 00:51:32.404]  We're not only finding aluminum in the rain, but people now have began taking blood tests.
[00:51:32.444 --> 00:51:36.825]  And again, they're finding this chemtrail geoengineering footprint of aluminum, barium and strontium.
[00:51:37.205 --> 00:51:41.886]  We have seen aluminum-related illnesses go through the roof in Riverside County alone.
[00:51:41.926 --> 00:51:46.807]  We've seen Alzheimer's go up over 260 percent.
[00:51:47.387 --> 00:51:56.529]  We see ADD, asthma going through the roof, respiratory mortality went from number eight down to number three in just a six-year period.
[00:51:56.969 --> 00:51:59.010]  And barium lowers our immune system.
[00:51:59.050 --> 00:52:04.511]  So we're constantly inhaling this, and it's depleting our immune systems as well.
[00:52:05.091 --> 00:52:18.806]  It's deeply concerning to us just from the human health and ecological standpoint but it goes much deeper than that and that's what we investigated really was the financial components of this and then the genetically modified seed component.
[00:52:19.026 --> 00:52:24.092]  There are definitely corporations that are literally making billions of dollars this summer alone.
[00:52:24.352 --> 00:52:24.552]  Right.
[00:52:24.572 --> 00:52:25.853]  Well, let's get right into that.
[00:52:25.913 --> 00:52:29.155]  Of course, Bill Gates is a known big player on this front.
[00:52:29.475 --> 00:52:31.677]  He has major stock in Monsanto.
[00:52:32.017 --> 00:52:36.180]  They've been pushing things like drought-resistant crops as a solution for Africa.
[00:52:36.520 --> 00:52:43.064]  They've been pushing aluminum-resistant crops, which may have a direct relation with this geoengineering issue.
[00:52:43.445 --> 00:52:44.826]  And there's so much more involved.
[00:52:44.866 --> 00:52:46.086]  Let's start to get into that.
[00:52:46.106 --> 00:52:49.789]  I don't know if you want to talk about Bill Gates specifically or the bigger picture,
[00:52:50.129 --> 00:52:54.593]  But there are major financial incentives here and major rigging of the games.
[00:52:54.633 --> 00:52:58.937]  They're controlling the inputs to determine who's going to make money on these markets.
[00:52:59.257 --> 00:53:02.560]  And it impacts everything, including especially our food supply.
[00:53:02.880 --> 00:53:07.605]  And you've already got one to two billion people at or close to the edge of starvation.
[00:53:07.685 --> 00:53:11.308]  This is going to have very costly effects if this is not stopped.
[00:53:11.890 --> 00:53:13.311]  It absolutely is.
[00:53:13.451 --> 00:53:20.957]  And from the financial standpoint alone, in investigating this, we learned that weather is being traded on the Chicago Mercantile Exchange.
[00:53:21.398 --> 00:53:24.900]  And I'm going to say that again, because my mouth dropped when I learned this.
[00:53:25.361 --> 00:53:28.243]  Weather is being traded on the Chicago Mercantile Exchange.
[00:53:28.263 --> 00:53:29.504]  Weather is being traded, yeah.
[00:53:29.964 --> 00:53:33.666]  Yeah, it had to be said three times because I couldn't believe it myself.
[00:53:33.726 --> 00:53:39.690]  So we contacted a trader and went out to Chicago, and we found out about weather derivatives.
[00:53:39.770 --> 00:53:42.571]  And certain corporations are interested in these.
[00:53:42.651 --> 00:53:52.017]  We met with trader Mike Agnew, who explained that derivatives are a way for corporations or individuals to offset the risk due to adverse weather conditions.
[00:53:52.837 --> 00:53:53.338]  I don't know.
[00:54:17.393 --> 00:54:21.755]  Every commodity is driven by the ability to predict weather.
[00:54:21.855 --> 00:54:29.598]  So those who knew about this drought, I'm not saying everybody involved with these weather derivatives is involved in insider trading.
[00:54:29.938 --> 00:54:32.679]  And most people think that our weather is 100% natural.
[00:54:32.739 --> 00:54:34.860]  And that is the furthest thing from the truth.
[00:54:34.920 --> 00:54:35.560]  We proved that.
[00:54:35.660 --> 00:54:37.501]  And why in the world are they spraying?
[00:54:37.541 --> 00:54:47.045]  So those, again, who had the playbook are literally making billions of dollars this summer just on the Chicago Mercantile Exchange playing with derivatives.
[00:54:47.265 --> 00:54:48.725]  I want to stop you and add to that.
[00:54:49.045 --> 00:54:57.448]  Okay, so they're trading weather, trading derivatives on the future of weather, but it's also become a big scandal that they're betting on the future of food commodities.
[00:54:57.908 --> 00:55:13.171]  It's become such a scandal in Europe that certain banks are backing off of it, mainly for public relations reasons, but you've got people betting on the future of weather, the future of crops, and all this is going on as they produce crops for ethanol instead of for food.
[00:55:14.032 --> 00:55:15.272]  Well, let's get back into it.
[00:55:15.725 --> 00:55:17.646]  Well, Aaron, there's no question about it.
[00:55:17.686 --> 00:55:22.247]  We have seen considerable increases in both our gasoline and our food prices.
[00:55:22.647 --> 00:55:23.627]  This is nothing.
[00:55:23.687 --> 00:55:30.790]  Because of this year's drought, which again, we illustrated it without question, is an engineered drought.
[00:55:30.850 --> 00:55:35.071]  There are people, again, making billions of dollars just from the food market.
