[00:00:36.440 --> 00:00:41.887]  It's September 20, 2012.
[00:29:08.757 --> 00:29:24.407]  So this confirms what we've reported from the start, which is the attack on the US consulate in Benghazi was carried out by the same Libyan militants funded and backed by the Obama administration last year in overthrowing Colonel Gaddafi.
[00:29:24.767 --> 00:29:33.313]  It had nothing whatsoever to do with this ridiculous, puerile, anti-Mohammed film, they call it a film, it's not even a film,
[00:29:34.233 --> 00:29:45.497]  Which was hyped, completely hyped, blown out of all proportion by the establishment media, by Western governments as part of this contrived clash of civilizations.
[00:29:46.437 --> 00:29:50.598]  So we have the US Embassy in Pakistan today under siege.
[00:29:50.958 --> 00:29:55.180]  You know, more riots, more demonstrations, Afghanistan, Iran, Iraq, Indonesia.
[00:29:56.340 --> 00:29:57.941]  But I go back to what I said before.
[00:29:58.722 --> 00:30:02.085]  Where were the mass riots after a million Iraqis were killed?
[00:30:02.705 --> 00:30:08.970]  Where were the mass riots after the public execution of Gaddafi with the regime change in Libya?
[00:30:09.751 --> 00:30:15.095]  You've got huge numbers of Muslims being manipulated into expressing outrage
[00:30:16.096 --> 00:30:19.600]  Over a badly made 13-minute YouTube clip.
[00:30:20.061 --> 00:30:21.302]  Remember, it's not a film.
[00:30:21.723 --> 00:30:23.845]  No one's actually seen a full-length film.
[00:30:24.666 --> 00:30:31.273]  It's a 13-minute YouTube clip made by a convicted criminal, former US Federal Government informant.
[00:30:32.190 --> 00:30:39.617]  In which the actual insults towards Mohammed, which all these Muslims are getting up in arms about, were dubbed in after the fact.
[00:30:40.077 --> 00:30:44.161]  They were badly dubbed in after the whole thing had been filmed and put in the can.
[00:30:44.961 --> 00:30:49.626]  So all these Muslims laying siege to embassies across the Middle East, you know, Asia, North Africa,
[00:30:50.839 --> 00:30:57.366]  They either haven't actually seen the film, the shoddy YouTube clip that's not even a film, or they're just stupid.
[00:30:57.506 --> 00:31:06.375]  A lot of them have been told, ordered by their clerics and their religious leaders and people like the leader of Hezbollah to go out and riot.
[00:31:06.576 --> 00:31:07.757]  And they haven't even seen the film.
[00:31:07.777 --> 00:31:09.319]  They don't even know what they're rioting about.
[00:31:09.359 --> 00:31:11.381]  They're just happy burning US flags.
[00:31:12.898 --> 00:31:27.171]  And it's a shame, because they're being manipulated by the very same military-industrial complex system that probably, given the fact that it's put out all manner of dubious Al-Qaeda videos in the past, they probably were responsible for putting out this ridiculous YouTube clip.
[00:31:28.342 --> 00:31:35.745]  I mean, I could go on YouTube right now and find a dozen videos that are more offensive to Muslims than this pathetic film is.
[00:31:36.486 --> 00:31:38.386]  But you don't see anyone up in arms about them.
[00:31:38.927 --> 00:31:39.207]  Why?
[00:31:39.327 --> 00:31:41.888]  Because it's a contrived media creation.
[00:31:42.128 --> 00:31:50.852]  It's designed to provoke chaos, designed to further radicalise, and it's designed to grease the skids for further military intervention in the Middle East.
[00:31:51.612 --> 00:31:54.954]  And again, I'm not against protest, but why not protest something real?
[00:31:56.084 --> 00:32:05.307]  Instead of being manipulated into protesting a terribly made, badly dubbed YouTube clip that's put out by somebody linked to the US government.
[00:32:06.367 --> 00:32:14.730]  It makes no sense unless these people are being manipulated to do this, which is exactly what's happening from all the news, from all the information that I've seen.
[00:32:14.750 --> 00:32:19.132]  Now we're going to go to David Ortiz to cover more of the news.
[00:32:19.212 --> 00:32:20.112]  David, over to you.
[00:32:22.776 --> 00:32:23.437]  Thank you, Paul.
[00:32:23.717 --> 00:32:26.841]  For InfoWars Nightly News, I'm David Ortiz.
[00:32:27.141 --> 00:32:36.772]  Well, the Department of Justice this week released a lengthy and detailed report that focuses on the controversial Fast and Furious operation.
[00:32:37.152 --> 00:32:42.158]  According to a report released by the Inspector General, the Department of Justice's Inspector General,
[00:32:42.558 --> 00:32:50.302]  The report says Attorney General Eric Holder was not made aware of potential flaws in the program until February of last year.
[00:32:50.782 --> 00:33:02.869]  But the report cites 14 other department employees, including criminal division head Lanny Brewer, for potentially wrongdoing, recommending the department consider disciplinary action against them.
[00:33:03.589 --> 00:33:09.032]  One congressional source told Fox News the report was, quote, more brutal than was expected.
[00:33:10.040 --> 00:33:21.776]  The report also marked Jason Weinstein, the Deputy Assistant Attorney General for the Criminal Division, as the highest-ranking DOJ employee in a position to stop the program.
[00:33:22.197 --> 00:33:26.743]  Weinstein, who disputes the findings, is resigning in the wake of the report.
[00:33:27.757 --> 00:33:34.763]  Now another individual who was named in that report, who was also reprimanded in that report, was a gentleman by the name of Kenneth Melson.
[00:33:35.043 --> 00:33:38.246]  And Mr. Melson has also resigned as well.
[00:33:38.506 --> 00:33:43.370]  So that's two of the 14 people mentioned in the report who have decided to resign.
[00:33:44.111 --> 00:33:47.714]  But in short, Eric Holder seems to have been exonerated.
[00:33:47.794 --> 00:33:49.855]  Whether you believe that or not, that's what the report says.
[00:33:49.895 --> 00:33:51.297]  The report was about 500 pages in length.
[00:33:53.278 --> 00:33:59.840]  And it'll be interesting to see what penalties these 14 individuals are issued.
[00:34:00.420 --> 00:34:01.681]  So the debate will continue.
[00:34:01.721 --> 00:34:02.581]  Was the U.S.
[00:34:02.661 --> 00:34:05.742]  government trying to protect us from Mexican cartels?
[00:34:06.142 --> 00:34:12.144]  Or was this a very sly way to try to restrict our Second Amendment rights?
[00:34:13.024 --> 00:34:20.913]  Now, speaking of the Department of Justice, we're going to talk a little bit about a character who supposedly serves justice, and that's Judge Dredd.
[00:34:21.233 --> 00:34:27.460]  His movie is coming out this week, the character's movie is coming out this week, and Jakari Jackson wants to talk a little bit about it.
[00:34:27.500 --> 00:34:32.286]  But before we go over to Jakari, I want to make you aware of a spoiler alert.
[00:34:32.926 --> 00:34:34.308]  So, Jakari, over to you.
[00:34:44.176 --> 00:34:46.699]  Judge Joseph Dredd has come to the screens once again.
[00:34:47.119 --> 00:34:49.481]  This time the adaptation simply titled Dredd.
[00:34:50.002 --> 00:34:52.324]  I'm Jakari Jackson for the Info Wars Nightly News.
[00:34:52.744 --> 00:34:56.548]  Let's analyze this trailer to find the fact behind the fiction of this new film.
[00:34:56.908 --> 00:34:57.669]  Spoiler alert!
[00:34:57.969 --> 00:35:00.172]  You know how often we get a judge up in peace treats?
[00:35:01.213 --> 00:35:02.374]  Well, you got one now.
[00:35:06.280 --> 00:35:16.508]  The Judge Dredd storyline takes place in 2070, after war has devastated the majority of the United States, leaving only a few large sections of land known as megacities inhabitable.
[00:35:16.528 --> 00:35:19.310]  800 million people living in the ruin of the old world.
[00:35:20.511 --> 00:35:24.234]  Megacities are full of cramped skyscrapers that house the city's population.
[00:35:24.730 --> 00:35:30.136]  Agenda 21 highlights include the destruction of the family unit in the name of sustainable development.
[00:35:30.496 --> 00:35:38.104]  With people being forced to live in tight, compact cities in high-rise stack-em-and-pack-em apartments no bigger than this 16 by 16 foot space.
[00:35:38.845 --> 00:35:39.766]  See any similarities?
[00:35:50.416 --> 00:35:52.579]  There we saw a drone patrolling the city skies.
[00:35:52.979 --> 00:35:56.143]  Now this is probably the least futuristic aspect of the entire trailer.
[00:35:56.524 --> 00:35:58.486]  Mainly because there are drones patrolling the U.S.
[00:35:58.506 --> 00:35:59.728]  skies right now.
[00:36:00.629 --> 00:36:03.092]  It wasn't long ago that it was said that drones in the U.S.
[00:36:03.112 --> 00:36:03.933]  would be unarmed.
[00:36:04.374 --> 00:36:09.220]  But even relatively small law enforcement agencies have been able to secure them for their own purposes.
[00:36:09.620 --> 00:36:11.822]  This one's even designed to carry weapons.
[00:36:11.882 --> 00:36:14.063]  You have a stun baton where you can actually engage somebody.
[00:36:14.083 --> 00:36:16.385]  Let's take a look now at a judge's uniform.
[00:36:17.086 --> 00:36:20.648]  Black, heavy armor, with a helmet that doubles as a mask.
[00:36:21.109 --> 00:36:26.973]  Back in 1977 when Judge Drant first debuted, it was considered science fiction for police to dress like this.
[00:36:27.493 --> 00:36:30.616]  Now in cities such as Colorado Springs, it's standard issue.
[00:36:31.738 --> 00:36:34.160]  Also, take note of a judge's lawgiver.
[00:36:34.541 --> 00:36:38.023]  A biometric firearm that can only be fired by its designated user.
[00:36:38.624 --> 00:36:42.968]  A modification that the New Jersey Institute of Technology has been developing for years.
[00:36:43.408 --> 00:36:48.953]  Now, it's important to point out that even though judges are charged with executing, quote, law, they are not police.
[00:36:49.433 --> 00:36:53.497]  Judges came into power at the end of the 21st century when they overthrew the U.S.
[00:36:53.537 --> 00:36:54.237]  Constitution.
[00:36:54.678 --> 00:36:57.160]  But I'm sure nothing like that could ever happen in our time.
[00:36:57.825 --> 00:37:03.727]  I've told my administration we're going to look every single day to figure out what we can do without Congress.
[00:37:04.467 --> 00:37:06.788]  What can we do without them?
[00:37:07.288 --> 00:37:12.729]  Do I think that our actions in any way violate the War Powers Resolution?
[00:37:13.430 --> 00:37:14.070]  The answer is no.
[00:37:15.730 --> 00:37:17.671]  So I don't even have to get to the constitutional question.
[00:37:18.615 --> 00:37:25.856]  Now, I'm not saying that Karl Urban, the writer, the directors, or anybody else involved in this film is purposely pushing a police state agenda.
[00:37:26.176 --> 00:37:33.518]  I'm just saying that this film is a great example of what a police state can be, and as you've seen from this short video, we are not very far from it.
[00:37:34.018 --> 00:37:36.258]  Now, here's a good spoiler for all you fanboys out there.
[00:37:36.678 --> 00:37:42.819]  At the end of the film, Dredd kills the movie's villain, Mama, by throwing her from the top of a 200-story building.
[00:37:44.540 --> 00:37:46.080]  The sentence is death.
[00:37:49.773 --> 00:37:54.163]  Dread has already been released in the UK and is set for release here in the States at the end of September.
[00:37:54.183 --> 00:37:56.849]  I'm Jakari Jackson for the InfoWars Nightly News.
[00:38:08.482 --> 00:38:13.267]  Thank you for that hard-hitting report, Jakari, and it's amazing listening to the comments of the President.
[00:38:13.828 --> 00:38:16.771]  The Constitution is actually something that gets in his way.
[00:38:17.112 --> 00:38:27.323]  There's also a video clip where the President says sometimes he wishes he could just bypass Congress and his supporters who supposedly love liberty, they condemned George Bush with the Patriot Act,
[00:38:27.723 --> 00:38:29.185]  We're applauding when he said that.
[00:38:29.565 --> 00:38:33.370]  When he said, sometimes Congress gets in the way and I wish I could just bypass them.
[00:38:33.710 --> 00:38:36.533]  A true police state, that is what we are experiencing.
[00:38:37.034 --> 00:38:43.762]  And stay tuned, continue following InfoWars where we will continue to focus on the growing police state.
[00:38:44.282 --> 00:39:06.489]  Now, in other news, as if we didn't already know that Jerry Sandusky is a deeply, deeply disturbed human being, another individual is coming out and saying that Mr. Sandusky not only molested him, but oversaw a four-man child pedophile ring, which encompassed New York, New Jersey, and Pennsylvania, according to Greg Bucciarone, who is now 48 years old.
[00:39:08.234 --> 00:39:28.276]  He was introduced to Mr. Sandusky through Sandusky's Second Mile charity in Pennsylvania, and Mr. Butrianni describes himself as a child prostitute who was used by a pedophile ring, which included Sandusky, Phil Faglietta, who is now deceased, now deceased Philadelphia businessman Ed Savitz,
[00:39:28.676 --> 00:39:33.339]  And former Wharton School of Business Professor Lawrence Scott Ward.
[00:39:33.559 --> 00:39:35.680]  This is according to the New York Daily News.
[00:39:35.740 --> 00:39:42.945]  So, he's saying that Mr. Sandusky not only molested him, but oversaw a four-man child pedophile ring.
[00:39:43.205 --> 00:39:51.890]  And he submitted a letter to authorities who are investigating a large-scale child molestation case at Poly Prep School in Brooklyn.
[00:39:52.270 --> 00:39:56.175]  Now, that case is eerily similar to what happened at Penn State.
[00:39:56.836 --> 00:40:07.571]  The PolyPrep administrators are investigating a gentleman who is now deceased by the name of Phil Foglietta, and according to this individual, he wrote to authorities investigating that case, quote,
[00:40:10.154 --> 00:40:16.724]  Sandusky became unavailable and I was introduced to Phil Foglieta by Ed Savitz and Jerry Sandusky.
[00:40:17.245 --> 00:40:22.513]  Foglieta was introduced to us as coach Phil who coached youth football in New York City.
[00:40:23.014 --> 00:40:24.636]  Foglieta agreed to pay $200 for child sex
[00:40:26.218 --> 00:40:33.404]  Obviously these are graphic comments and it's a shame that we have to talk about them but we do expose bad people here so again
[00:40:42.891 --> 00:40:56.564]  Mr. Sandusky, not just accused of molesting another individual, but of overseeing a four-man child prostitution ring, and it's important that we keep our eyes on the case that's going on at Poly Prep in Brooklyn.
[00:40:57.745 --> 00:41:05.793]  Many individuals are outing another instructor there, and that was swept under the table by authorities for many, many years.
[00:41:05.853 --> 00:41:07.635]  Now, Alex has talked at great length
[00:41:08.215 --> 00:41:11.177]  About how child molestation is sadly not a rare occurrence.
[00:41:11.297 --> 00:41:14.979]  It's sadly something that occurs frequently among the elite.
[00:41:15.519 --> 00:41:21.783]  So he has stated that child molestation, the Penn State situation, is just scratching the surface.
[00:41:22.223 --> 00:41:24.645]  It is a very, very sad turn of events.
[00:41:26.826 --> 00:41:33.990]  And speaking about the moral decay of our country, there's a gentleman that we're going to talk about here at the Daily Quote of the Day that talked a little bit
[00:41:34.921 --> 00:41:39.603]  about the decline of our morality here, according to Aldous Huxley.
[00:41:40.244 --> 00:41:45.926]  This is what he had to say, quote, armaments, universal debt and planned obsolescence.
[00:41:46.607 --> 00:41:49.968]  Those are the three pillars of Western prosperity.
[00:41:50.509 --> 00:41:59.853]  Now, when we come back, we're going to go to an interview that I conducted with Michael Heiss, who is the national organizer of this weekend's End the Fed rally.
[00:42:00.073 --> 00:42:01.154]  We'll be back in a minute.
[00:42:28.061 --> 00:42:32.584]  Alex Jones here with a message that could revolutionize health in this country.
[00:42:32.884 --> 00:42:38.727]  Going back about a year and a half ago, I began to learn about the incredible health effects of longevity products.
[00:42:39.108 --> 00:42:42.910]  Erin Dykes lost 92 pounds.
[00:42:42.930 --> 00:42:44.731]  We're going to show you some before and afters.
[00:42:45.151 --> 00:42:46.932]  Aaron, break down what happened.
[00:42:46.952 --> 00:42:47.512]  Your story.
[00:42:47.792 --> 00:42:52.854]  I've worked really hard with diet and exercise to try to lose weight, but I just didn't get the results.
[00:42:52.894 --> 00:42:53.774]  It just didn't happen.
[00:42:54.074 --> 00:42:56.655]  Then I saw what you were doing with Infowarsteam.com.
[00:42:57.135 --> 00:43:00.936]  I wasn't even trying to lose weight, but I got it because I wanted to feel better energy.
[00:43:00.976 --> 00:43:01.917]  I wanted that nutrition.
[00:43:01.957 --> 00:43:02.597]  Didn't even understand
[00:43:02.637 --> 00:43:07.479]  I don't understand how that could kickstart my own weight loss goals, but the products did that for me.
[00:43:07.799 --> 00:43:15.583]  I found myself suddenly losing weight, more energetic, wanting to exercise, wanting to eat the right foods, and they don't even advertise it as weight loss!
[00:43:15.883 --> 00:43:25.468]  I want to challenge our radio listeners to go to Infowarsteam.com, sign up as a distributor, and get wholesale pricing discounts at Infowarsteam.com.
[00:43:34.235 --> 00:43:34.916]  Welcome back.
[00:43:34.956 --> 00:43:37.239]  Well, right now I'm joined by Michael Heiss.
[00:43:37.420 --> 00:43:43.368]  Michael Heiss is the national organizer for this weekend's National End the Fed Rally.
[00:43:43.668 --> 00:43:46.853]  It's taking place at many locations throughout the country.
[00:43:48.024 --> 00:43:51.405]  Now obviously last year Alex participated in the event.
[00:43:51.445 --> 00:44:02.508]  He visited many locations, many Federal Reserve locations throughout Texas and we obviously want this year's End the Fed Rally to be even more popular and more boisterous.
[00:44:02.848 --> 00:44:04.869]  Michael Heiss is the National Organizer.
[00:44:05.229 --> 00:44:08.850]  He is a local activist based out of the Philadelphia area.
[00:44:10.074 --> 00:44:15.695]  He focuses on many issues, among them chemtrails, ending the Fed, 9-11, inside truth.
[00:44:16.015 --> 00:44:20.256]  Michael, thank you so much for joining us tonight on InfoWars Nightly News.
[00:44:21.456 --> 00:44:22.336]  Good to be here, thanks.
[00:44:23.076 --> 00:44:27.997]  Now Michael, I've given the public a little bit of background information on as to who you are.
[00:44:29.117 --> 00:44:31.138]  Just let the public know a little bit more about yourself.
[00:44:32.558 --> 00:44:38.179]  Well, basically I started getting active in my local area about a year and a half ago when
[00:44:38.740 --> 00:44:51.291]  Me and a couple of my friends finally crossed that Rubicon of, you know, we've been researching things for a long time, we have access to vital information, and it's time to take that responsibility to start doing, to start spreading that information.
[00:44:51.351 --> 00:45:02.861]  So, it simply started out with me and two friends just getting cardboard boxes from outside of stores and spray painting Info Wars on the cardboard boxes and putting them around town.
[00:45:04.275 --> 00:45:07.376]  Ron Paul 2012 and putting them around town and things like that.
[00:45:09.117 --> 00:45:23.841]  Basically, I bought a bullhorn and me and one friend went to the Federal Reserve Bank of Philadelphia and just started bullhorning people across the street at the Constitution Center about the fact that the Fed was private and the money's not backed by anything and things like that.
[00:45:24.941 --> 00:45:26.582]  I kept setting up these little rallies.
[00:45:27.382 --> 00:45:33.026]  And eventually, you know, like 60 people were there, and they came out from this group that I'm affiliated with called Truth, Freedom, Prosperity.
[00:45:33.507 --> 00:45:41.232]  And they've been doing it for a couple of years, so I just kind of teamed up with them, and I've been very active with them for the past year.
[00:45:42.273 --> 00:45:43.094]  Wonderful, wonderful.
[00:45:43.134 --> 00:45:49.838]  Well, Michael, it's exciting stuff, because this Saturday, September the 22nd, there is a national End the Fed rally.
[00:45:50.259 --> 00:45:51.700]  Tell us a little bit more about that event.
[00:45:52.967 --> 00:45:57.650]  Well, it's going on simultaneously in 23 major cities across the country.
[00:45:57.670 --> 00:46:04.374]  They're all going on at noon, it's not time-sensitive or anything like that, so noon in the East Coast, noon in the West Coast.
[00:46:06.356 --> 00:46:07.136]  Wonderful, wonderful.
[00:46:07.456 --> 00:46:12.199]  What do you hope to, you know, just let the public know, what do you hope occurs as a result of this?
[00:46:12.259 --> 00:46:16.202]  You obviously want to end the Fed, but do you want Ron Paul's bill to pass the Senate?
[00:46:17.349 --> 00:46:19.171]  Well, there's many different focuses.
[00:46:20.051 --> 00:46:34.003]  It is somewhat a grassroots push for the Audit the Fed bill, but number one priority is to raise awareness and to get the information out to people and let people see that this is a movement and that it's not going anywhere.
[00:46:34.223 --> 00:46:45.193]  And I feel that in an era where Ron Paul is going to be leaving office, probably, that these messages that he's sent out to us, the pursuit of liberty and everything that entails,
[00:46:45.513 --> 00:46:46.014]  Wonderful, wonderful.
[00:46:46.034 --> 00:46:47.496]  Now you're in the Philadelphia area.
[00:46:47.516 --> 00:46:50.820]  How many people do you estimate will attend both in the Philadelphia area and nationally?
[00:47:04.358 --> 00:47:05.058]  It's hard to say.
[00:47:05.098 --> 00:47:08.400]  I mean, we've been doing these for a while in the Philadelphia region.
[00:47:08.440 --> 00:47:14.002]  We've built up quite a reputation, so I expect several hundred in Philadelphia.
[00:47:14.022 --> 00:47:17.524]  Nationwide, somewhere in the thousands.
[00:47:17.764 --> 00:47:18.784]  It's really hard to say.
[00:47:20.205 --> 00:47:20.625]  Understand.
[00:47:21.317 --> 00:47:28.024]  Now Michael, aside from obviously protesting going on, what other events are going to be taking place at this rally?
[00:47:28.044 --> 00:47:30.187]  Will there be politicians attending?
[00:47:30.227 --> 00:47:31.548]  Will flyers be handed out?
[00:47:31.568 --> 00:47:34.791]  I understand that there's going to be several speakers speaking at this event?
[00:47:35.752 --> 00:47:38.896]  Yep, I encouraged each of the organizers at
[00:47:39.515 --> 00:47:44.038]  In each city to do whatever they can to get the information out and how they see fit.
[00:47:44.078 --> 00:47:47.761]  So, you know, if you could bring out speakers, that'd be great, or a march.
[00:47:48.141 --> 00:47:50.643]  We'll be doing everything in Philadelphia.
[00:47:50.683 --> 00:47:57.107]  We have speakers, we have music, we'll be doing a march around City Hall, coming back to the Fed.
[00:47:57.147 --> 00:48:03.312]  There are some state politicians in some of these speeches going on, and I know North Carolina has a state politician.
[00:48:03.352 --> 00:48:07.675]  I believe Atlanta at least has somebody running for state
[00:48:09.386 --> 00:48:09.666]  Okay.
[00:48:10.126 --> 00:48:11.927]  Now, Michael, a $10 million question.
[00:48:11.967 --> 00:48:14.707]  In your estimation, why is it important to end the Fed?
[00:48:17.088 --> 00:48:19.509]  So many answers for that one.
[00:48:19.589 --> 00:48:22.590]  They are the core problem to our country.
[00:48:22.930 --> 00:48:34.093]  Every problem that we have is funded through the Federal Reserve, and it serves to help the people at the top of the pyramid, you know, from the trickle-down effect of inflation where they get
[00:48:35.233 --> 00:48:35.653]  I don't know.
[00:48:52.541 --> 00:49:13.041]  That's going on with, you know, building bubbles in the student debt bubble, the credit bubble, the derivatives bubble, you know, spending patterns that are out of control and nothing's being done about them, you know, over a trillion dollars a year deficit spending, you know, plus the announcement of this $40 billion a month in QE3, it's just, we're,
[00:49:15.188 --> 00:49:16.690]  We're losing all of our wealth.
[00:49:16.971 --> 00:49:19.234]  We're losing our ability to be middle class at all.
[00:49:19.475 --> 00:49:21.358]  The wealth gap is getting out of control.
[00:49:22.339 --> 00:49:27.948]  That's originally what really ignited me because I felt that my future had been sold out from under me.
[00:49:29.170 --> 00:49:29.851]  It was looking like
[00:49:31.001 --> 00:49:36.924]  You know, I can get a job doing some kind of consumer job, you know, register or something like that.
[00:49:37.044 --> 00:49:45.788]  Or I can go to college, get 50, 60 grand and have no guarantee of a job afterward because through regulation and inflation they've chased all the jobs away.
[00:49:47.669 --> 00:49:48.750]  Absolutely, absolutely.
[00:49:48.790 --> 00:49:57.794]  Now Michael, what are your thoughts on the fact that the Republicans have introduced auditing the Fed and returning to the gold standard into their platform?
[00:49:59.204 --> 00:50:01.065]  Well, an audit of the Fed would be good.
[00:50:01.485 --> 00:50:07.987]  That would be the ultimate way to raise awareness of the Fed and show just how devious they are and how much money they are printing.
[00:50:08.188 --> 00:50:11.909]  With that partial audit, $16 trillion, a lot of which is going to foreign banks.
[00:50:12.549 --> 00:50:15.610]  That should be bad enough, but it wasn't.
[00:50:15.650 --> 00:50:21.673]  So this could be the ultimate light shined on them and maybe where we, the people, can render them irrelevant through our actions.
[00:50:22.273 --> 00:50:25.996]  In terms of going back to a gold standard, I mean, it's better.
[00:50:26.556 --> 00:50:29.318]  I mean, obviously, competition in any marketplace is better.
[00:50:30.138 --> 00:50:31.799]  So, it's a step in the right direction.
[00:50:31.899 --> 00:50:36.542]  Ultimately, I kind of reject the idea of central control over our money at all.
[00:50:36.963 --> 00:50:42.146]  So, I'm an advocate of local currencies and individual freedom at the highest level.
[00:50:43.689 --> 00:50:52.995]  Now, Michael, what type of media attention do these rallies usually receive from the, first of all, just media attention period, but then also from the mainstream media?
[00:50:53.015 --> 00:50:59.378]  What type of feedback do you get from the media in relation to last year's rally and this upcoming rally?
[00:51:00.319 --> 00:51:05.222]  In Philly, I have never, never seen any kind of media response.
[00:51:05.302 --> 00:51:06.883]  I've never seen media coverage.
[00:51:08.984 --> 00:51:09.785]  I mean, you know how it is.
[00:51:09.805 --> 00:51:11.086]  They don't want to cover these issues.
[00:51:12.416 --> 00:51:15.499]  It doesn't serve their interests to cover these issues, and to be fair.
[00:51:15.719 --> 00:51:18.602]  I've never really seen any kind of media response.
[00:51:18.662 --> 00:51:23.186]  I haven't gotten contacted by anybody in any mainstream media as far as covering this event.
[00:51:24.668 --> 00:51:28.431]  What type of advancement has the End the Fed movement made?
[00:51:30.533 --> 00:51:33.496]  Oh, I think it's grown by leaps and bounds.
[00:51:33.536 --> 00:51:36.118]  I mean, obviously a lot of it has been championed by Ron Paul.
[00:51:38.238 --> 00:51:41.422]  We weren't talking about these issues.
[00:51:41.502 --> 00:51:51.414]  The Fed wasn't even necessarily a name that you might know what it means five years ago before Ron Paul was talking about it in the debates and getting on mainstream media and giving a voice.
[00:51:52.515 --> 00:51:55.719]  Through Ron Paul, it's becoming very widespread information.
[00:51:57.105 --> 00:52:02.310]  Now that his era in politics is over, we have to take that information and spread it ourselves.
[00:52:03.230 --> 00:52:05.632]  And that's what I think is the interesting turn here.
[00:52:05.712 --> 00:52:15.381]  If you look at social media, I think, and the Fed might even be trending on Twitter right now, it's being spread at a grassroots level.
[00:52:15.421 --> 00:52:21.766]  And it's just now it's up to we the people and other people's receptiveness and how effective we are at spreading that message.
[00:52:21.786 --> 00:52:23.228]  But in terms of has it grown?
[00:52:23.268 --> 00:52:24.589]  Yes, I would say it definitely has.
[00:52:25.034 --> 00:52:28.883]  Now correct me if I'm wrong, is this event going to be streamed online?
[00:52:29.884 --> 00:52:32.806]  Yeah, many of the locations are going to have live streams.
[00:52:32.846 --> 00:52:36.789]  Not all of them, but I think there's about 12 of them at least that are going to have live streams.
[00:52:37.490 --> 00:52:51.540]  You can go to the event page on Facebook to see them, or if anybody's familiar with RTR.org or Restore the Republic Reality Report with Gary Franchi, they're going to be sponsoring, well not sponsoring, they're going to be hosting all of the live streams.
[00:52:51.780 --> 00:52:55.583]  So you can go there and they will keep up with the action throughout the country throughout the day.
[00:52:56.183 --> 00:52:58.725]  Or you can just pick the individual live streams there.
[00:52:59.699 --> 00:53:01.202]  Two more questions in closing.
[00:53:01.242 --> 00:53:04.268]  You mentioned RTR.org.
[00:53:04.529 --> 00:53:09.219]  Tell us a little bit about that website, because it seems to be a place where patriots can talk.
[00:53:10.461 --> 00:53:27.915]  Yeah, it's a social... I mean, they have a news aspect to it, such as, like I mentioned, Reality Report with Gary Franchi, but it's a social media network aimed particularly at patriots, so whether it's people in the liberty movement, people in the truth movement, which we really need to join together and be the truth and liberty movement anyway.
[00:53:29.216 --> 00:53:39.265]  It's a place to come together, much like Planet Infowars, for people to come together and talk and communicate and to form ideas on grassroots actions.
[00:53:40.518 --> 00:53:43.419]  Absolutely, and you mentioned PlanetInfoWars.com as well.
[00:53:43.479 --> 00:53:44.299]  Thank you for that.
[00:53:45.120 --> 00:53:51.322]  Michael, is there any last statement you want to leave with the viewers here?
[00:53:51.402 --> 00:53:58.685]  Is there any last thing you'd like to say to them regarding this upcoming event, which again is taking place this Saturday nationwide?
[00:54:00.454 --> 00:54:02.415]  Yeah, just do anything you can to spread the word.
[00:54:02.455 --> 00:54:08.240]  I mean, something as simple as a tweet or sharing the Facebook event page.
[00:54:10.341 --> 00:54:12.983]  We really do want to make this as big of an event as possible.
[00:54:13.003 --> 00:54:20.189]  The idea was to have the biggest movement against central backing since the days of Andrew Jackson.
[00:54:20.749 --> 00:54:28.539]  Now that QE3 has been announced and the more they do this, the more inflation they inflict upon us, the more relevant our message is becoming.
[00:54:28.579 --> 00:54:38.332]  So it's important that we really take this seriously and spread the message so that people can become aware and start to phase them out through our free market actions.
[00:54:39.315 --> 00:54:41.258]  Well, Michael, thank you so much for your time.
[00:54:41.318 --> 00:54:46.846]  This is an issue that many people are talking a lot about on our social network, PlanetInfoWars.com.
[00:54:47.287 --> 00:54:51.533]  We wish you the best of luck this upcoming weekend, and let's hope that viewers attend.
[00:54:52.715 --> 00:54:53.697]  Thank you, and the Fed.
[00:54:54.698 --> 00:54:55.239]  Thank you, Michael.
[00:54:56.397 --> 00:55:05.731]  And as I stated earlier, I will be covering the End the Fed Rally from San Antonio this weekend, so be sure to watch that news piece early next week.
[00:55:06.131 --> 00:55:11.680]  And if you want to find like-minded people who are also going to be attending the End the Fed Rally,
[00:55:12.455 --> 00:55:16.717]  At an area near you, be sure to log on to PlanetInfoWars.com.
[00:55:16.757 --> 00:55:20.898]  You can find some like-minded individuals who will be attending the event.
[00:55:21.319 --> 00:55:26.861]  Obviously, the larger the number, the harder it will be for the corporate whore media to
[00:55:27.967 --> 00:55:29.348]  Not cover the event.
[00:55:29.608 --> 00:55:31.329]  So PlanetInfoWars.com.
[00:55:31.970 --> 00:55:36.813]  And if you want to continue supporting this operation, become a member of PrisonPlanet.TV.
[00:55:36.873 --> 00:55:38.655]  It's less than six dollars a month.
[00:55:39.115 --> 00:55:44.118]  You're gonna get access to a lot of great programming, documentaries in HD.
[00:55:44.138 --> 00:55:46.280]  You'll be able to see Alex's show live.
[00:55:46.960 --> 00:55:51.744]  I am a member of PrisonPlanet.TV and I was a member before I got here.
[00:55:52.464 --> 00:55:55.150]  I was addicted to the website, so I can vouch for it.
[00:55:55.190 --> 00:55:57.053]  It is a great, great website.
[00:55:57.414 --> 00:55:59.077]  Well, that's all for us this evening.
