[00:00:21.118 --> 00:00:25.500]  Welcome to InfoWars Nightly News, this Monday, January 16th edition of 2012.
[00:27:04.537 --> 00:27:10.059]  I guess this is their way to try to rectify a global price inflation and currency devaluation.
[00:27:10.739 --> 00:27:12.020]  I mean, this is bad.
[00:27:12.040 --> 00:27:16.942]  I mean, I've heard of national governments dumping gold, but not eight men in Korea.
[00:27:16.982 --> 00:27:19.302]  That's a totally different story.
[00:27:19.602 --> 00:27:20.583]  I will go no further.
[00:27:21.523 --> 00:27:22.043]  On this story.
[00:27:22.083 --> 00:27:25.985]  I'm just glad they weren't trying to smuggle $260,000 worth of silver coins.
[00:27:26.866 --> 00:27:29.767]  That might have been a very painful way to go about it.
[00:27:29.827 --> 00:27:30.888]  Alright, enough of that.
[00:27:30.908 --> 00:27:32.249]  It's a serious topic.
[00:27:33.291 --> 00:27:35.993]  The Daily Quote is next on our agenda here.
[00:27:36.053 --> 00:27:43.898]  Speaking of agenda, we have, oh man, Brzezinski, Zbigniew Brzezinski, I hope I got his name right.
[00:27:44.379 --> 00:27:47.501]  His quote is relevant to what's happening in our world today, so listen up.
[00:27:48.121 --> 00:27:53.525]  Quote, the technocratic age is slowly designing an everyday more controlled society.
[00:27:54.066 --> 00:27:57.448]  The society will be dominated by an elite of persons,
[00:27:57.568 --> 00:27:59.229]  And that's the quote from Zbigniew Brzezinski,
[00:28:25.170 --> 00:28:27.555]  Is he a famous author or something?
[00:28:27.635 --> 00:28:29.057]  I'm sorry, I'm not familiar.
[00:28:30.039 --> 00:28:31.061]  Oh, the Grand Chess Board.
[00:28:31.081 --> 00:28:32.263]  Alright.
[00:28:34.444 --> 00:28:43.033]  Oh, thank you, Dew, who explains that he helped found Al-Qaeda, Al-Cieda, with other... Okay, never mind.
[00:28:43.053 --> 00:28:44.054]  That's an important quote.
[00:28:44.535 --> 00:28:49.800]  Now, I want to remind you that we do have a special still going here at InfoWars, the InfoWars store.
[00:28:50.461 --> 00:28:54.925]  It has the, what is it, the 99... No, I'm sorry, the 15-day free trial is still going on.
[00:28:55.606 --> 00:29:09.938]  So, a 15-day free trial, no charge, to try out to become a member at PrisonPlanet.tv where you can check out all the nightly news videos and of course you have the ability to share that login password with multiple friends so that you can help inform them as well.
[00:29:10.858 --> 00:29:14.400]  This trial is limited, so check it out now while you still can.
[00:29:14.840 --> 00:29:16.620]  I know they're not going to keep running this for very long.
[00:29:16.981 --> 00:29:20.282]  Also available is the Alex Jones Everything Special.
[00:29:20.322 --> 00:29:23.083]  It's over $300 worth of DVDs and documentaries.
[00:29:23.643 --> 00:29:27.225]  Everything that Alex Jones has put together in documentary form for just $99.95.
[00:29:27.485 --> 00:29:27.665]  Is it $0.95?
[00:29:31.548 --> 00:29:32.349]  Okay, $99.95.
[00:29:32.629 --> 00:29:34.430]  I own this set myself, by the way.
[00:29:34.450 --> 00:29:37.551]  Saw some of my Christmas viewing and it was very educational.
[00:29:38.052 --> 00:29:38.652]  It's amazing!
[00:29:38.672 --> 00:29:44.895]  You've got to go back and watch this stuff because now you see how far ahead of the curve Alex Jones really was.
[00:29:45.315 --> 00:29:47.737]  Now stay with us here on InfoWars Nightly News.
[00:29:47.757 --> 00:29:54.160]  We'll be right back after this break with an interview with Ed Corcoran, who is the founder and editor of Survivalist Magazine.
[00:29:54.200 --> 00:29:56.721]  This is Mike Adams, the health ranger, filling in tonight.
[00:29:56.761 --> 00:29:57.261]  Stay with us.
[00:29:57.321 --> 00:29:58.062]  We'll be right back.
[00:30:02.259 --> 00:30:03.439]  America is in trouble.
[00:30:03.579 --> 00:30:05.480]  Washington is a disgrace.
[00:30:05.680 --> 00:30:07.060]  Government has become too big.
[00:30:07.140 --> 00:30:08.920]  It's overtaxing, overspending.
[00:30:09.040 --> 00:30:10.481]  We need to change direction.
[00:30:10.521 --> 00:30:11.621]  We really need change.
[00:30:11.641 --> 00:30:14.421]  We can't afford to make the same mistakes we've made in the past.
[00:30:14.541 --> 00:30:16.722]  Mitt Romney's reputation is a flip-flopper.
[00:30:16.762 --> 00:30:19.983]  He went the other way when he got paid to go the other way.
[00:30:20.003 --> 00:30:22.023]  There is need for economic stimulus.
[00:30:22.043 --> 00:30:23.683]  It's about serial hypocrisy.
[00:30:23.703 --> 00:30:25.464]  This election is about trust.
[00:30:25.684 --> 00:30:29.024]  There's been one true consistent candidate, and that's Dr. Ron Paul.
[00:30:29.084 --> 00:30:32.065]  Ron Paul has been so consistent from the very beginning.
[00:30:32.325 --> 00:30:34.166]  He seems like a more honest candidate.
[00:30:34.186 --> 00:30:36.848]  He tells the truth about what he believes, whether you like it or not.
[00:30:36.868 --> 00:30:41.651]  He's never once voted for a tax increase, never once voted for an unbalanced budget.
[00:30:41.671 --> 00:30:44.533]  Ron Paul's plan is bold, cuts five departments.
[00:30:44.834 --> 00:30:45.554]  It's what we need.
[00:30:45.714 --> 00:30:49.377]  When he says he's gonna cut a trillion dollars in the first year, I believe it.
[00:30:49.457 --> 00:30:54.540]  If you don't like how things are going, and you're tired of politicians, he's something different.
[00:30:54.820 --> 00:30:55.401]  Ron Paul.
[00:30:55.481 --> 00:30:56.081]  Ron Paul.
[00:30:56.121 --> 00:30:56.802]  Ron Paul.
[00:30:56.922 --> 00:30:57.642]  Ron Paul.
[00:30:57.722 --> 00:30:59.283]  Is the one we've been looking for.
[00:30:59.303 --> 00:31:01.785]  I'm Ron Paul, and I approve this message.
[00:31:29.847 --> 00:31:31.248]  And it's time to get out of the comfort zone.
[00:31:31.268 --> 00:31:33.710]  Because these people aren't playing games.
[00:31:35.131 --> 00:31:47.159]  We're gonna organize.
[00:31:47.399 --> 00:31:48.780]  Humanity's gonna come together.
[00:31:48.940 --> 00:31:51.942]  We are swinging muskets here.
[00:31:52.263 --> 00:31:53.724]  Toe-to-toe with the globalists.
[00:31:53.844 --> 00:31:54.584]  They're bloodied.
[00:31:54.684 --> 00:31:55.425]  We're bloodied.
[00:31:55.785 --> 00:31:58.247]  It is absolute total war.
[00:32:11.243 --> 00:32:17.665]  If you believe in this information and want to support its viral spread, go to the InfoWars store at InfoWars.com.
[00:32:17.965 --> 00:32:18.846]  We've got the new G.I.
[00:32:18.866 --> 00:32:20.806]  Joe InfoWars t-shirts.
[00:32:21.186 --> 00:32:27.289]  We've got the incredible ProPure gravity-fed filters available at InfoWars.com in the store.
[00:32:27.849 --> 00:32:32.230]  We've got a new DVD, Titus Under Attack, the Don't Tread On Me flag.
[00:32:32.910 --> 00:32:36.872]  We've got all sorts of different bumper stickers to help spread the rebellion virally.
[00:32:37.532 --> 00:32:38.173]  It's all there.
[00:32:38.273 --> 00:32:41.037]  Wristbands, citizen rule books, in every order.
[00:32:41.497 --> 00:32:44.201]  Order online at InfoWars.com today.
[00:32:44.461 --> 00:32:47.485]  The water filters, the canteens, it's all there.
[00:32:47.886 --> 00:32:48.787]  InfoWars.com
[00:32:55.953 --> 00:33:01.618]  All right, welcome back, and now we're going to be speaking with the founder and editor of Survivalist Magazine.
[00:33:01.979 --> 00:33:04.801]  He's the founder of the website Completesurvivalist.com.
[00:33:05.122 --> 00:33:11.227]  His name is Ed Corcoran, and he's here to talk to us about what he calls a collapse in slow motion.
[00:33:11.868 --> 00:33:16.232]  A lot more going on in the world today that you need to know about, and Ed's here to help analyze it for us.
[00:33:16.372 --> 00:33:19.495]  Ed, thank you for joining us today on InfoWars Nightly News.
[00:33:19.535 --> 00:33:19.916]  How are you doing?
[00:33:21.076 --> 00:33:22.097]  I'm doing swell, Mike.
[00:33:22.117 --> 00:33:22.957]  Thanks for having me on.
[00:33:23.598 --> 00:33:25.799]  Now, you've got a lot on your mind today with world events.
[00:33:25.859 --> 00:33:29.122]  What do you think are the most important things happening that people need to know about today?
[00:33:30.828 --> 00:33:37.171]  Well, one of the things I like to stress to people is, you know, people ask me all the time, you know, what is the biggest thing to be concerned about?
[00:33:37.191 --> 00:33:52.058]  A lot of people seem to have the notion that, you know, they're going to wake up one morning and our cities are going to be on fire or there's going to be martial law or something, you know, drastic is going to happen immediately overnight and it's just going to be, you know, one, you know, quick event.
[00:33:53.318 --> 00:33:57.941]  What we're really experiencing is what I call a collapse in slow motion.
[00:33:58.741 --> 00:34:03.003]  We are in the midst of a societal and economic collapse right now.
[00:34:03.303 --> 00:34:08.506]  It's just happening by degrees rather than happening in one drastic fell swoop.
[00:34:09.406 --> 00:34:14.549]  Some of the issues that concern me and other survivalists and preppers the most
[00:34:15.249 --> 00:34:16.329]  It is the economy.
[00:34:17.009 --> 00:34:18.710]  Most of us, that's our number one issue.
[00:34:18.790 --> 00:34:21.650]  I mean, I don't think I need to belabor the point too much.
[00:34:21.690 --> 00:34:30.812]  I think most people realize that, you know, our phony debt-based fiat currency and economic system is unsustainable.
[00:34:31.452 --> 00:34:33.232]  It's designed to collapse.
[00:34:34.033 --> 00:34:38.233]  There is no, you know, what we're doing right now is we're living on borrowed time.
[00:34:38.634 --> 00:34:40.914]  Recently, Obama has asked for yet another
[00:34:41.875 --> 00:34:43.237]  We're good to go!
[00:34:57.797 --> 00:35:03.019]  When you say we're living on borrowed time, I want to ask you specifically about timing.
[00:35:03.399 --> 00:35:06.180]  And by the way, if you don't mind, could you look right at the webcam when you're talking to us?
[00:35:07.440 --> 00:35:15.302]  What kind of timetable do you think we're dealing with here in terms of the collapse of the EU's financial system or debt collapse of the EU?
[00:35:15.642 --> 00:35:21.204]  And then, what kind of timing for that to ripple back into the United States and affect people here in the USA?
[00:35:22.574 --> 00:35:23.955]  Well, I'm not an economist.
[00:35:24.676 --> 00:35:28.599]  Any kind of prognostication that I could make would simply be a guess.
[00:35:29.239 --> 00:35:44.871]  But based on the folks that I speak to and everybody who does spend the majority of their time following the economy and forecasting, making predictions, it could happen within this year.
[00:35:46.458 --> 00:35:55.602]  Now, that's precluding other situations, and a lot of us are watching the situation going on in Europe, especially Greece right now.
[00:35:55.622 --> 00:35:58.804]  You're not seeing a whole lot of what's going on in Greece in the mainstream media.
[00:35:58.864 --> 00:36:08.408]  Everybody knows that Greece is in default when they're counting on bailouts from Germany and Italy, but it's horrific what's going on there.
[00:36:09.208 --> 00:36:11.270]  I suggest a lot of people take a look at it.
[00:36:11.510 --> 00:36:14.693]  Go online and take a look at it.
[00:36:14.753 --> 00:36:16.974]  They can't get basic medicines anymore.
[00:36:17.395 --> 00:36:19.176]  People are starving over there.
[00:36:19.236 --> 00:36:20.477]  That's right.
[00:36:20.577 --> 00:36:22.919]  A lot of people in the U.S.
[00:36:22.939 --> 00:36:24.100]  don't know that that's the case.
[00:36:24.981 --> 00:36:31.646]  Pharmacies are begging for medicine in Greece, and that's just a small example of the kind of breakdowns we're going to see.
[00:36:32.086 --> 00:36:35.209]  Now, you're the editor of Survivalist Magazine.
[00:36:35.269 --> 00:36:36.710]  You cover this day in and day out.
[00:36:38.351 --> 00:36:49.233]  And do you think it's realistic for people in the USA and Canada to eventually expect those kinds of shortages to strike home as that economic collapse begins to ripple around the world?
[00:36:50.737 --> 00:36:52.817]  Well, you know, again, it's not an event.
[00:36:53.237 --> 00:36:55.218]  It's happening right now.
[00:36:55.258 --> 00:37:02.039]  I mean, anybody who's been paying attention to the prices in the grocery stores are seeing gradual increases in prices.
[00:37:02.739 --> 00:37:08.740]  And when other factors, I mean, there's a confluence of disasters going on right now.
[00:37:09.761 --> 00:37:15.642]  When you factor in oil, you know, the whole peak oil thing, which, you know, I like to address a little bit.
[00:37:15.882 --> 00:37:16.862]  I know a lot of people out there.
[00:37:17.602 --> 00:37:21.905]  We'll roll their eyes and say, oh, peak oil is a hoax, it's a myth and whatnot.
[00:37:21.945 --> 00:37:23.926]  And I believed that myself at one point.
[00:37:23.966 --> 00:37:33.373]  But, you know, my work through the magazine and through the radio show that I did puts me in contact with a lot of people whose business it is to know about these things.
[00:37:34.480 --> 00:37:34.801]  We're good.
[00:37:50.121 --> 00:37:57.128]  It's costing us more and more energy to extract the oil, and we're having trouble meeting up with demands.
[00:37:57.208 --> 00:38:08.640]  Now, a factor into that as well, M. King Hubbard, who was the one who proposed the Hubbard Curve back in 1956, predicting that peak oil would be achieved, or we would reach peak oil by 1970.
[00:38:10.502 --> 00:38:11.863]  And he was correct, by the way.
[00:38:12.363 --> 00:38:33.056]  What he didn't factor in was that there are a lot of other countries now who are emerging as major oil consumers, such as China, India, other emerging countries that are just becoming industrialized, who are just joining the party right now, and they're draining the resources and causing the resources to be depleted even faster.
[00:38:33.076 --> 00:38:34.977]  Right, so demand is way up.
[00:38:35.037 --> 00:38:36.818]  That's definitely the case.
[00:38:37.899 --> 00:38:44.040]  I do want to ask you more about peak oil, but first, what about the Strait of Hormuz and the situation with Iran?
[00:38:44.700 --> 00:38:45.501]  You know, the U.S.
[00:38:45.541 --> 00:38:48.541]  government is beating the war drums for war with Iran.
[00:38:48.661 --> 00:38:51.402]  Israel is upping their talk about Iran.
[00:38:51.442 --> 00:38:52.942]  There's a lot of pressure on Iran.
[00:38:54.022 --> 00:39:02.064]  How is that likely to impact energy supply to the United States and then trickle through the economy in terms of increased prices?
[00:39:02.104 --> 00:39:03.064]  What's your take on that?
[00:39:04.218 --> 00:39:08.120]  Well, it's already had an effect on the price of oil here in the United States.
[00:39:08.240 --> 00:39:10.061]  Oil prices have begun rising again.
[00:39:10.081 --> 00:39:17.324]  I think gasoline is up on average of seven cents per gallon right now.
[00:39:17.504 --> 00:39:22.086]  And in the wintertime, typically, historically, this is when oil prices usually go down.
[00:39:22.586 --> 00:39:25.488]  And this is directly related to tension.
[00:39:25.608 --> 00:39:26.648]  Anytime there's any kind of
[00:39:28.789 --> 00:39:29.609]  We're good to go!
[00:39:44.310 --> 00:39:50.514]  Whenever I read about it or research it, it kind of reminds me of several points of history.
[00:39:51.635 --> 00:40:00.161]  Well, first of all, the United States is putting sanctions and threatening embargoes due to Iran's nuclear program.
[00:40:00.541 --> 00:40:11.108]  Now, the International Atomic Energy Association has determined that they're nowhere close to producing weapons-grade uranium.
[00:40:11.778 --> 00:40:12.078]  I think?
[00:40:29.314 --> 00:40:33.837]  That is an act of aggression, and that's very provocative.
[00:40:34.658 --> 00:40:42.184]  That is usually the first thing that governments do when, you know, the first thing they do is they try to cripple another country's economy.
[00:40:42.825 --> 00:40:44.726]  But it can be said that the U.S.
[00:40:44.746 --> 00:40:48.930]  government is intentionally trying to provoke Iran into war.
[00:40:48.950 --> 00:40:51.492]  I mean, that almost seems obvious at this point.
[00:40:51.572 --> 00:40:54.114]  Why would they be doing that in your analysis?
[00:40:55.189 --> 00:40:55.809]  Absolutely.
[00:40:55.910 --> 00:41:01.713]  Well, you know, it takes me all the way back to Japan with the Roosevelt administration.
[00:41:02.694 --> 00:41:12.900]  You know, most people think that Pearl Harbor, the attack on Pearl Harbor, was completely unprovoked, but what we're not taught in our history class
[00:41:13.480 --> 00:41:13.560]  Yes.
[00:41:13.580 --> 00:41:13.660]  Yes.
[00:41:30.373 --> 00:41:39.239]  We can go down a line to go back to Iran back in 1953 when the United States was instrumental in removing their president and putting the Shah in power.
[00:41:40.539 --> 00:41:43.561]  It's always the economic guns that come out first.
[00:41:43.881 --> 00:41:55.669]  And so for anybody to say that Iran is overreacting by threatening to close the Strait of Hormuz, well, they're kind of doing that in a sense of self-preservation.
[00:41:56.669 --> 00:41:57.530]  They are reacting
[00:41:59.611 --> 00:42:02.013]  It's like an international game of chicken.
[00:42:03.254 --> 00:42:12.902]  There was a secret message delivered to Iran threatening that we would employ embargoes against Iran should they choose to close the Strait of Hormuz.
[00:42:13.662 --> 00:42:21.609]  The United States did not confirm that, and then eventually they did confirm it, but they didn't say what was actually said, or they didn't say where it was coming from.
[00:42:22.109 --> 00:42:27.433]  And just today I read that Iran has acknowledged that they have received this threat from the United States.
[00:42:27.853 --> 00:42:31.376]  Okay, so the economic guns have been brought out for sure.
[00:42:31.416 --> 00:42:34.778]  A lot of strategic political chess playing behind the scenes.
[00:42:35.358 --> 00:42:38.841]  But what about the political guns in terms of the presidential election in the USA?
[00:42:39.401 --> 00:42:42.383]  You know, people always rally behind their president in time of war.
[00:42:42.744 --> 00:42:55.814]  Doesn't it also seem likely that the Obama administration would welcome an act of war right before election day or sufficiently before election day to have time for the country to rally behind him and re-elect the president?
[00:42:56.274 --> 00:43:00.317]  Isn't it almost that, I mean, do you think that's a valid point?
[00:43:01.598 --> 00:43:02.499]  What's your take on it?
[00:43:03.510 --> 00:43:05.752]  I think, yeah, it's a valid speculation.
[00:43:06.213 --> 00:43:13.279]  And my speculation, and it is a speculation, this is my opinion, is that I think the American people are getting tired of war.
[00:43:13.459 --> 00:43:20.145]  We're getting tired of constantly being engaged in other countries while we're not taking care of our own domestic problems.
[00:43:20.666 --> 00:43:24.809]  So I don't know if that would be advantageous for the Obama administration.
[00:43:25.250 --> 00:43:27.652]  I don't see that as a rallying point, per se.
[00:43:29.303 --> 00:43:31.204]  I think we're weary of it.
[00:43:31.244 --> 00:43:34.267]  We want to get out of Iraq and Afghanistan.
[00:43:35.188 --> 00:43:42.634]  We're in the process of pulling out of Iraq, I guess, but Afghanistan... Or at least changing the labels of the soldiers that are still there.
[00:43:43.613 --> 00:43:44.954]  Yeah, yeah, exactly.
[00:43:45.014 --> 00:43:59.581]  I mean, you know, and then there's all these contractors, these security contractors and whatnot, and, you know, we have, we're not as, you know, we have, we have military bases in Iraq, we have, if you, if you look at the map of where all the military bases are located in the Middle East, I mean, we're basically surrounding Iran.
[00:44:00.401 --> 00:44:08.366]  In Afghanistan, in Iraq, and I think that was the long-term goal in invading Iraq.
[00:44:08.406 --> 00:44:09.726]  It wasn't so much about oil.
[00:44:09.746 --> 00:44:11.888]  It certainly wasn't about weapons of mass destruction.
[00:44:12.288 --> 00:44:14.649]  It was more about establishing a presence.
[00:44:15.410 --> 00:44:19.272]  Let me shift gears, if you don't mind, and get to a topic a little closer to home.
[00:44:20.012 --> 00:44:26.456]  You, as the editor of Survivalist Magazine, you do a lot of interviews, you talk to a lot of people out there.
[00:44:27.196 --> 00:44:27.936]  It's 2012.
[00:44:27.996 --> 00:44:30.157]  This is the big year that everyone was talking about.
[00:44:30.197 --> 00:44:33.399]  The Mayan calendar mythology has been floating around out there.
[00:44:33.839 --> 00:44:36.320]  The rapture talk has been out there.
[00:44:37.581 --> 00:44:43.404]  Are you seeing, first of all, an increase in interest in survival or preparedness strategies?
[00:44:44.344 --> 00:44:51.768]  And do you find, my second question is, do you find that people are approaching it from a practical point of view, or is there a sense of
[00:44:52.708 --> 00:44:57.374]  I mean, the Mayan Calendar thing, I would almost call that, you know, unfounded mythology.
[00:44:58.234 --> 00:45:01.819]  What are you seeing out there in terms of real people interested in preparedness?
[00:45:03.135 --> 00:45:09.739]  In terms of the people that I work with and the people that I talk to on a regular basis, no.
[00:45:10.880 --> 00:45:17.444]  The fact that the Mayan calendar ends on December 21, 2012 is largely happenstance.
[00:45:17.524 --> 00:45:18.965]  It doesn't signify anything.
[00:45:19.105 --> 00:45:22.127]  In fact, we have an issue coming out in which we address a lot of 2012 issues.
[00:45:23.508 --> 00:45:46.507]  And we have an article written by a fellow who, Christopher Naguiris, I hope I'm pronouncing his name correctly, and he has actually spent time in the Yucatan Peninsula with the Mayan people, the present-day Mayans, and they do not have any kind of interpretation in regards to, like, the end of the world as far as the Mayan calendar ending.
[00:45:46.547 --> 00:45:52.072]  So, if the Mayans don't think that the end of the Mayan calendar signifies the end of the world, then I don't think
[00:45:52.672 --> 00:45:53.553]  That's good enough for me.
[00:45:56.276 --> 00:45:57.438]  Take it from the source.
[00:45:58.539 --> 00:46:03.344]  Then there's all kinds of other fringe theories out there about Planet X and whatnot.
[00:46:04.345 --> 00:46:06.047]  I take a more practical stance.
[00:46:06.167 --> 00:46:09.811]  Just looking around, there's a perfect storm brewing.
[00:46:09.831 --> 00:46:11.032]  These are all issues that
[00:46:13.382 --> 00:46:14.983]  We're right in our faces.
[00:46:15.043 --> 00:46:23.410]  I mean, we don't have to speculate about, you know, any kind of mythical or, you know, and I'm not saying I'm not interested in those things.
[00:46:23.831 --> 00:46:24.151]  I am.
[00:46:24.651 --> 00:46:28.414]  You know, I've always been an avid reader.
[00:46:29.155 --> 00:46:34.119]  No, I mean, what you're saying is that there are plenty of down-to-earth reasons to be prepared.
[00:46:34.639 --> 00:46:39.884]  You don't have to reach for theories in outer space to have a justification to get prepared.
[00:46:39.904 --> 00:46:41.265]  I mean, just look at the Fed, right?
[00:46:42.069 --> 00:46:43.189]  Yeah, exactly.
[00:46:43.449 --> 00:46:51.452]  And they may not be as dramatic or as sexy or interesting as, say, the planet Nibiru crashing down on us.
[00:46:51.832 --> 00:47:07.217]  But yeah, I mean, with the growing food crisis that we have, increasing disasters, the peak oil issue, water shortages right now, the Ogallala aquifer is being pumped dry, where experts are predicting that.
[00:47:07.717 --> 00:47:14.200]  Eventually, the American breadbasket is going to turn back into the Dust Bowl, you know, and it's the same thing that's happening in other countries.
[00:47:14.701 --> 00:47:18.663]  Overpopulation, this is another issue people roll their eyes about, you know, and I did too.
[00:47:18.683 --> 00:47:19.763]  I was like, what are you talking about?
[00:47:19.783 --> 00:47:24.986]  There's still plenty of real estate to go around, but overpopulation is not about overcrowding, you know.
[00:47:25.186 --> 00:47:30.668]  We may still have plenty of space, but we don't, we're starting to outstrip our resources.
[00:47:30.909 --> 00:47:35.531]  We're using up our water, we're using up our ability for producing food.
[00:47:37.974 --> 00:47:39.456]  We're using up too many resources.
[00:47:40.057 --> 00:47:41.520]  It's getting to the point where...
[00:47:42.496 --> 00:47:45.138]  Nature doesn't have a chance.
[00:47:45.398 --> 00:47:51.383]  Through commercial farming practices, our soil is becoming depleted, and we're losing topsoil.
[00:47:51.463 --> 00:47:56.306]  We're losing the nutrients in the soil because of the way that factory farms operate.
[00:47:56.867 --> 00:47:59.629]  And it's not just here.
[00:47:59.669 --> 00:48:04.232]  You have to really look at what's going on on a global basis in China, in India.
[00:48:04.292 --> 00:48:09.516]  Those people are starving, and they're depleting their aquifers faster than they can be replenished.
[00:48:09.736 --> 00:48:11.017]  They're depleting their soil.
[00:48:11.637 --> 00:48:22.162]  So, you know, yeah, there's a number of issues that, you know, the economy being chief among them that, you know, are just bearing down on us.
[00:48:22.642 --> 00:48:32.567]  Yeah, and I like, Ed, how you describe this as a slow-motion collapse where it's not like you wake up one day and everything's on fire and the whole system has collapsed.
[00:48:32.687 --> 00:48:33.808]  It's actually, I mean,
[00:48:34.568 --> 00:48:44.091]  Maybe in the future, when historians look back at this time, they will call it one event, they'll have one name for this era of change and reform and collapse and rebirth, perhaps.
[00:48:44.471 --> 00:48:47.172]  But when you're living in it, it feels like slow motion.
[00:48:47.192 --> 00:49:02.776]  And I think that's a really wise message from you, that we need to be able to see the signs and recognize that we're in this time of change without needing to see that, oh, the whole world's exploding and aliens are jumping out of their lizard skin and taking the
[00:49:03.616 --> 00:49:07.420]  Taking a Federal Reserve officials back to Planet X or whatever they do.
[00:49:07.460 --> 00:49:11.385]  I mean, you know, this is real and it's kind of slower than what a lot of people imagine.
[00:49:11.405 --> 00:49:14.868]  Yeah, well, yeah, and you know, people ask me all the time.
[00:49:14.888 --> 00:49:18.632]  Well, you know, for again for predictions, you know, when is when is this going to happen?
[00:49:18.672 --> 00:49:19.253]  What do you think?
[00:49:19.433 --> 00:49:21.015]  How much time do you think we have left?
[00:49:22.027 --> 00:49:22.748]  I think?
[00:49:39.442 --> 00:50:03.800]  It was back in 1859, which wiped out, all we had back then were telegraph lines, but it wiped out our telegraph system and started fires and whatnot, and scientists are saying that we're overdue for that, and this year could possibly be, you know, if we get hit by a solar flare and other issues, the magnetic field around the Earth, there is a major gap in the magnetic field.
[00:50:03.960 --> 00:50:04.201]  Sure.
[00:50:05.041 --> 00:50:11.928]  What got me interested in survivalism in the first place, you know, I used to be, I classified myself as an outdoorsman.
[00:50:11.968 --> 00:50:15.932]  You know, I just, I just like camping and hiking, living in extreme environments.
[00:50:16.552 --> 00:50:25.701]  And I got woken up by, you know, the fact I saw a documentary that was produced back in the 80s about what actually happens when the grid goes down.
[00:50:26.001 --> 00:50:47.294]  You know, and I think most people, they downplay it or they don't, and they go, we'll just break out the candles and, you know, we'll be fine, you know, but in a long-term situation, you know, power loss situation that will last for years, if our grid crashes due to an EMP or a solar flare which creates, you know, an EMP event,
[00:50:48.795 --> 00:50:54.558]  That could be one of those situations where we wake up one morning and our world is fundamentally transformed.
[00:50:54.578 --> 00:50:58.581]  We're basically back into 19th century existence.
[00:50:59.742 --> 00:51:06.926]  That's where people would really wish they had gone through the skills and practiced these things and not just read the books and watched the TV shows.
[00:51:06.986 --> 00:51:09.088]  Any last thoughts as we wrap this up?
[00:51:10.995 --> 00:51:26.609]  Yeah, well, just to follow up on the grid crash event, I mean, there's going to be a long period of time, too, where there's going to be looting and rioting, and it's going to be very dangerous times, and it's not going to be a good time to live in a city.
[00:51:26.749 --> 00:51:33.635]  So, my recommendation is to all people, and I hope we would have had more time to discuss
[00:51:34.875 --> 00:51:48.982]  The membership site that we have is to be prepared, start stocking up on food, and even if there isn't an economic collapse, food prices are going up, oil prices are going to go up, and oil prices affect the price of everything else.
[00:51:49.002 --> 00:51:56.065]  It takes petroleum to grow our crops, it takes petroleum to transport our crops, it takes petroleum to do everything.
[00:51:56.406 --> 00:52:00.788]  We do not have an infrastructure to live in a non-petroleum-based society.
[00:52:01.568 --> 00:52:21.659]  And so, you know, food storage, even if there is no major economic collapse, you're going to save yourself a lot of money by buying your food now and putting it away, and you'll have that for, you know, if something drastic does happen, you know, overnight, or if we just find ourselves ignoring the road signs and find ourselves in a situation where, like, how did we get here?
[00:52:22.119 --> 00:52:23.880]  You'll have those provisions available.
[00:52:23.940 --> 00:52:27.502]  And a good place to start is at Completesurvivalist.com.
[00:52:27.542 --> 00:52:28.323]  That's our site.
[00:52:28.343 --> 00:52:30.104]  We have tons of survival guides.
[00:52:30.664 --> 00:52:33.206]  I want to ask you on Natural News as well.
[00:52:33.226 --> 00:52:35.568]  I'm sure Alex will want to talk to you again.
[00:52:48.959 --> 00:52:53.082]  I appreciate you joining us, and I'll give out your website again here for those who want to learn more.
[00:52:53.142 --> 00:53:04.610]  But the bottom line is, you're a guy who's been out there on the front lines of the survival industry, so to speak, and you sort of aggregate all the top knowledge from those out there, different writers.
[00:53:06.051 --> 00:53:13.055]  James Wesley Rawls, survivalblog.com, also wrote an article for you, and he's well-informed, so a lot of folks.
[00:53:13.095 --> 00:53:16.618]  So I appreciate what you're doing, and I think you bring a lot of value to the public.
[00:53:16.818 --> 00:53:18.059]  Thanks for joining us tonight, Ed.
[00:53:19.414 --> 00:53:20.395]  Thanks for having me on, Mike.
[00:53:20.415 --> 00:53:20.976]  It was a pleasure.
[00:53:22.077 --> 00:53:22.538]  All right, folks.
[00:53:22.558 --> 00:53:25.641]  That was Ed Corcoran from Completesurvivalist.com.
[00:53:25.681 --> 00:53:27.904]  A lot of good information from him there.
[00:53:28.404 --> 00:53:30.507]  Definitely take this seriously, folks.
[00:53:31.588 --> 00:53:32.048]  2012 is here.
[00:53:32.429 --> 00:53:37.835]  The world is changing rapidly, and it's time to do more than just listen and just be a spectator.
[00:53:38.255 --> 00:53:46.482]  Be an active participant in taking care of your own safety, your own health, your own freedom in 2012 and beyond.
[00:53:46.842 --> 00:53:49.284]  Thank you for watching InfoWars Nightly News tonight.
[00:53:49.304 --> 00:53:55.449]  This is Mike Adams, the health ranger from Natural News, signing off on Monday, January 16th.
[00:53:55.790 --> 00:53:56.290]  Have a good night.
[00:53:56.330 --> 00:53:57.191]  We'll talk to you again soon.
