[00:00:40.170 --> 00:00:42.513]  Good evening and welcome to the InfoWars Nightly News.
[00:25:28.186 --> 00:25:31.727]  The crisis is with these people going around brainwashing our young children.
[00:25:32.268 --> 00:25:33.588]  But did you see how he's doing it?
[00:25:33.968 --> 00:25:35.769]  It's going to be up to you guys out there.
[00:25:35.829 --> 00:25:37.470]  It's going to be your problem.
[00:25:37.490 --> 00:25:40.991]  It's not talking about the debt or the endless wars that we're fighting.
[00:25:41.131 --> 00:25:41.691]  No, no, no.
[00:25:41.771 --> 00:25:43.172]  It's all about the population.
[00:25:43.212 --> 00:25:44.092]  That's the only problem.
[00:25:44.132 --> 00:25:45.093]  Let's go to the next clip.
[00:25:45.333 --> 00:25:49.254]  Now, if we want to decrease the population, we can do it a number of different ways.
[00:25:49.634 --> 00:25:52.516]  I'm going to show you the thing that affects populations more than anything.
[00:25:52.796 --> 00:25:54.616]  And it's something I've already shown you one picture of.
[00:25:55.397 --> 00:25:55.897]  It's those.
[00:25:57.179 --> 00:25:57.439]  Okay.
[00:25:57.940 --> 00:26:04.544]  Sperm is a vector which ultimately leads to, and so do eggs, lead to increased population.
[00:26:05.425 --> 00:26:06.025]  There you go.
[00:26:06.265 --> 00:26:08.487]  So, how do we attack population?
[00:26:08.607 --> 00:26:10.228]  We attack it at the source.
[00:26:11.048 --> 00:26:14.991]  We go after the men, we go after the young women, we make them infertile.
[00:26:16.127 --> 00:26:22.630]  And he goes on to talk about cottonseed oil, which they figured out in China was a natural sterilant.
[00:26:22.670 --> 00:26:24.911]  People cooked with cottonseed oil, they didn't have as many kids.
[00:26:25.392 --> 00:26:29.914]  And so they basically stuck the World Health Organization and a bunch of Rockefeller-funded groups.
[00:26:29.954 --> 00:26:43.560]  We actually covered this in a couple of Yuri and Masan articles, how they were, in the 60s and 70s, funding experiments and working with Gossypol, also known as cottonseed oil, to create male infertility pills.
[00:26:43.580 --> 00:26:44.661]  The problem is, if you take more
[00:26:45.370 --> 00:26:49.734]  Then ten times the recommended dose for infertility, you die.
[00:26:49.754 --> 00:26:53.197]  Well, I guess that's another way to end the population.
[00:26:53.557 --> 00:26:55.919]  Let's go to this last clip.
[00:26:56.680 --> 00:27:12.434]  So, many scientists want to know, you know, are there ways, are there new ways that we can control population or fertility rates by targeting specific cells, sperm or eggs, okay, so that individuals can make the decision to keep those rates low?
[00:27:14.448 --> 00:27:14.928]  There it is.
[00:27:15.228 --> 00:27:19.089]  And it's all done in a nice, calm, simpering way.
[00:27:19.889 --> 00:27:21.150]  They put it in the textbooks.
[00:27:21.470 --> 00:27:23.070]  They put it in the TV shows.
[00:27:23.870 --> 00:27:25.711]  They put it in your Happy Meals.
[00:27:26.391 --> 00:27:31.853]  Anywhere they can put the information to make kids feel bad about themselves, they put it out there.
[00:27:33.773 --> 00:27:36.534]  Oh, and then we have back in March, an Anthony Gucciardi article.
[00:27:36.554 --> 00:27:39.054]  A medical journalist calls for after-birth abortions.
[00:27:39.094 --> 00:27:40.855]  Says infants aren't people.
[00:27:42.769 --> 00:27:49.031]  And a very interesting article there, saying that newborn babies simply do not have a moral right to life.
[00:27:51.052 --> 00:27:59.735]  And it talks about a eugenics program where 60,000 people were forcibly sterilized in 1929 by the U.S.
[00:27:59.775 --> 00:28:00.095]  government.
[00:28:02.208 --> 00:28:11.335]  Essentially, these people, starting with Malthus, have started creating this mindset that humans are bad, and there's too many humans, and we need to get rid of them.
[00:28:11.756 --> 00:28:21.724]  And they do this by brainwashing our children, because they know they're not going to get older people, because older people have experienced life, and the brainwashing wasn't there when I was a kid.
[00:28:21.744 --> 00:28:25.887]  There was stuff about recycling, and that was the start of it, and Earth Day.
[00:28:26.519 --> 00:28:27.600]  And it slowly creeps.
[00:28:27.800 --> 00:28:28.801]  Now it's light bulbs.
[00:28:28.881 --> 00:28:30.282]  Now it's too much gasoline.
[00:28:30.543 --> 00:28:36.788]  Now we have to take electric cars that our government subsidizes, or use solar, which I'm all for.
[00:28:37.489 --> 00:28:40.231]  I'm all for putting research into stuff like that instead of killing.
[00:28:40.251 --> 00:28:49.660]  You know, if we could take the money away from killing people, killing brown people and dirt farmers in Afghanistan, and putting it towards solar research, we could be powering everything.
[00:28:50.280 --> 00:28:51.041]  But we don't want to do that.
[00:28:51.081 --> 00:28:51.802]  We're more interested
[00:28:52.509 --> 00:28:52.789]  I don't know.
[00:29:13.226 --> 00:29:28.420]  This mind control with positivity and love and let kids know that we need more kids, more healthy kids, more unvaccinated kids, more kids who aren't eating GMOs, more kids who aren't sitting in front of the television, more kids who are playing.
[00:29:29.121 --> 00:29:31.143]  That's what we need to make a better Earth.
[00:29:31.563 --> 00:29:32.664]  We don't need less people.
[00:29:33.044 --> 00:29:38.890]  More people is what's going to make it better because many hands make light work, as they say.
[00:29:39.938 --> 00:29:43.339]  And with that, we're going to go to Jakari Jackson for a few more stories.
[00:29:43.419 --> 00:29:47.520]  I'll be back after the break with a quick update on the Barton Springs situation.
[00:29:47.560 --> 00:29:49.180]  This was mandated by Alex Jones.
[00:29:49.220 --> 00:29:51.000]  He said you must go on and talk about this.
[00:29:51.520 --> 00:30:03.083]  Another form of local tyranny where they lie and don't tell you what they're going to do and then all of a sudden they spring up with this multi-million dollar plan to basically hack up one of our little local treasures.
[00:30:05.322 --> 00:30:05.822]  Thanks, Rob.
[00:30:06.082 --> 00:30:08.983]  This is Jakari Jackson reporting for the Info Wars Nightly News.
[00:30:09.283 --> 00:30:13.264]  Headline, NYPD response to crime calls slows to nine minutes.
[00:30:13.624 --> 00:30:16.064]  Now before we get into this article, I just want to reference something.
[00:30:16.184 --> 00:30:28.447]  Many of you know that the new iPhone 5 is out, and we see this article here, the NYPD's response to calls has slowed to nine minutes, but the NYPD are actually out on iPhone patrols.
[00:30:28.487 --> 00:30:34.068]  They're posted up at your local Apple store if you're there in New York, but for some reason they can't get to
[00:30:34.988 --> 00:30:37.729]  Normal calls of their citizens right there in their own city.
[00:30:37.769 --> 00:30:40.289]  It's just something that seems a little silly to me.
[00:30:40.569 --> 00:30:41.589]  We'll get back into the article.
[00:30:42.470 --> 00:30:53.172]  Crimes may be near record low levels, but it took cops an average of 9.1 minutes last year to respond to crimes in progress, the NYPD's worst performance since Mary Bloomberg took office in 2002.
[00:30:53.372 --> 00:31:03.494]  The NYPD's chief spokesman attributed the latest increase to a spike in non-critical calls that drove up the overall averages, like cell phone patrols.
[00:31:03.994 --> 00:31:10.759]  Response times to critical calls such as robberies and progress or a man with a gun remain flat at 4.6 minutes.
[00:31:11.379 --> 00:31:17.943]  So we see here that they say for critical crimes as they deem them, they do stay average at 4.6 minutes.
[00:31:18.324 --> 00:31:24.628]  And I know the NYPD, they have, you know, budget cuts like everybody else and they have horrific traffic up there from what I understand.
[00:31:25.968 --> 00:31:29.910]  9.1 minutes for things that they don't deem as being that serious is kind of serious to me.
[00:31:29.930 --> 00:31:33.832]  Because, you know, I guess a serious crime is if you are in immediate peril.
[00:31:33.852 --> 00:31:36.533]  But let's say some guy is running down the street with your TV.
[00:31:36.573 --> 00:31:39.215]  That's not critical because you're not in direct danger.
[00:31:39.535 --> 00:31:43.016]  So this guy can hop in a cab, hop in a subway and be gone with your TV.
[00:31:43.377 --> 00:31:47.679]  And cops, you know, they come back from the Apple Store and they say, hey, your stuff's gone, so hey.
[00:31:48.579 --> 00:31:53.745]  Whatever, so it's it's just something that they could do better and police.
[00:31:53.805 --> 00:32:03.417]  I'm not you know bad against you But whoever said this iPhone patrol was a good deal was completely ridiculous next story now speaking of
[00:32:03.957 --> 00:32:06.938]  You know, keeping yourself safe and what you can do without the police.
[00:32:06.958 --> 00:32:07.838]  We have an article here.
[00:32:08.338 --> 00:32:11.038]  Mother, daughter and pink pistol subdued criminal.
[00:32:11.298 --> 00:32:12.759]  And this is exactly what I'm talking about.
[00:32:12.819 --> 00:32:18.920]  If police can't be there in a decent time to protect you and your property, you should be well able to protect yourself.
[00:32:19.000 --> 00:32:20.700]  And of course, I'm referring to a gun.
[00:32:21.340 --> 00:32:30.562]  Mother and daughter pinned a burglar to the floor of their home and called police while keeping a pink stock gun pointed at the intruder until officers arrived.
[00:32:30.602 --> 00:32:33.162]  And we actually have a clip of that video and we'll show that to you now.
[00:32:33.542 --> 00:32:34.523]  He was about right here.
[00:32:34.903 --> 00:32:37.005]  He was Marty Childs, according to police.
[00:32:37.305 --> 00:32:40.027]  Rebecca says he had cash from her purse in his hands.
[00:32:40.308 --> 00:32:43.130]  I shut and locked the door, the deadbolt door, so he couldn't get away.
[00:32:43.390 --> 00:32:47.694]  As Rebecca wrestled with Childs, she called for her sleeping daughter to grab her gun.
[00:32:48.074 --> 00:32:49.635]  I actually wasn't nervous.
[00:32:50.056 --> 00:32:53.499]  I knew I had to back away from him a bit so he couldn't get to me.
[00:32:54.537 --> 00:32:55.158]  So there we go.
[00:32:55.178 --> 00:32:58.382]  We see a mother and daughter fully able to take care of themselves.
[00:32:58.442 --> 00:33:03.769]  Had they been in New York, they'd had to wait around for God knows how many minutes for the police to come and get there.
[00:33:03.809 --> 00:33:11.879]  But since they took matters into their own hands, not took the law into their own hands, but took matters into their own hands, they had a firearm to defend themselves.
[00:33:12.199 --> 00:33:13.159]  And they did a great job.
[00:33:13.199 --> 00:33:16.541]  You see, they didn't run out there and shoot up the whole neighborhood trying to hit one guy.
[00:33:16.561 --> 00:33:18.381]  They were responsible gun owners.
[00:33:18.421 --> 00:33:20.022]  You heard the girl in the clip.
[00:33:20.062 --> 00:33:22.023]  She said, hey, she pointed her pistol at the guy.
[00:33:22.043 --> 00:33:22.883]  She didn't want to shoot him.
[00:33:23.163 --> 00:33:25.844]  She said as long as he stayed down, it wouldn't be a problem.
[00:33:25.864 --> 00:33:26.444]  He stayed down.
[00:33:26.744 --> 00:33:27.845]  The police came and arrested the guy.
[00:33:28.425 --> 00:33:28.945]  No problem.
[00:33:29.185 --> 00:33:38.270]  See, if we could see more things like that, where people are able to arm themselves, had this been, you know, the guy killed both of them, got away, it would have been in the news for one day and never heard again.
[00:33:38.551 --> 00:33:42.613]  But we see people here taking matters into their own hands and protecting themselves.
[00:33:42.633 --> 00:33:44.054]  And why is it always the older people?
[00:33:44.074 --> 00:33:53.919]  Because you see here in this clip, this older woman, I think that the article says she was about 56 or so, she wrestles a grown man to the ground and her daughter comes in and backs her up.
[00:33:54.219 --> 00:34:03.226]  You know, we see the older crowd, this lady and then the gentleman at the casino, the arcade, wherever he was, and also the older guy who shot the people coming in through his basement.
[00:34:03.986 --> 00:34:07.849]  I guess the older people know something that we don't, that you need to stand up and protect yourself.
[00:34:08.249 --> 00:34:11.932]  So good for you, ladies, and I hope that you don't have any more problems with that guy.
[00:34:11.952 --> 00:34:17.916]  They say he's a former convicted felon, so he may be doing a stretch here in the near future.
[00:34:18.316 --> 00:34:18.837]  Last story.
[00:34:19.497 --> 00:34:22.420]  Arizona immigrants concerned about Show Me Your Papers.
[00:34:22.940 --> 00:34:31.569]  Yes, they want you to show your papers in Arizona, just much like Nazi Germany or the American South during slavery times.
[00:34:31.629 --> 00:34:32.450]  Show me your papers.
[00:34:32.470 --> 00:34:33.491]  Show me your freedom papers.
[00:34:33.511 --> 00:34:35.793]  Let me know that you are free.
[00:34:35.873 --> 00:34:39.296]  So that's what our country has come to in the year of 2012.
[00:34:39.557 --> 00:34:40.658]  Let's get into the article.
[00:34:41.292 --> 00:34:53.398]  After a legal battle lasting more than two years, SB 1070's subsection 2B entered into full force on Tuesday after U.S.
[00:34:53.438 --> 00:34:57.380]  District Judge Susan Bolton lifted an injunction she imposed in 2010.
[00:34:58.701 --> 00:35:12.128]  Various Arizona law enforcement agencies said that when the law enters into full force, they will not use racial profiling, but activists fear that Hispanics will be discriminated against without regard to their immigration status.
[00:35:12.428 --> 00:35:14.329]  You think they're going to be discriminated against?
[00:35:14.889 --> 00:35:20.893]  How do you enforce immigration enforcement without racial profiling people?
[00:35:20.993 --> 00:35:24.995]  I mean, are they going to pull over, I don't know, some dark-skinned
[00:35:25.595 --> 00:35:27.437]  Person with long, dark hair?
[00:35:27.537 --> 00:35:30.580]  I mean, that's pretty much what it seems to be to me.
[00:35:31.140 --> 00:35:37.206]  And for all you people in Arizona, especially those in Arizona who thinks this is a good idea, yeah, show me your papers, boy.
[00:35:37.226 --> 00:35:41.410]  If that's the attitude you have, there's a gentleman who's been on this show many times.
[00:35:41.810 --> 00:35:54.125]  Pastor Steven Anderson, a white guy, a white Baptist male, that's pretty much as white as they get where I come from, and he's been pulled over and forced to show his papers, not in Arizona, but he's been forced to show his papers.
[00:35:54.566 --> 00:36:00.994]  So just keep thinking that if you think it's all for those people over there, just like the TSA pat-downs at the airport.
[00:36:01.414 --> 00:36:05.437]  Back when they were just harassing the big bushy beard man, nobody had any problems with it.
[00:36:05.717 --> 00:36:09.640]  But then they started filling up little Petey and Susie Q. And now people are all up in arms.
[00:36:09.880 --> 00:36:11.621]  Oh, the TSA, they're so evil.
[00:36:11.641 --> 00:36:12.522]  There's all this and that.
[00:36:12.922 --> 00:36:15.464]  And like, yeah, I mean, TSA, they definitely have their problems.
[00:36:15.484 --> 00:36:19.127]  And we definitely need to keep working on it if we can't get it all abolished.
[00:36:19.167 --> 00:36:21.668]  But let's at least, you know, keep your hands off the kids.
[00:36:22.009 --> 00:36:24.550]  But we have these people having to show your papers.
[00:36:24.570 --> 00:36:25.851]  This isn't Nazi Germany.
[00:36:25.871 --> 00:36:27.873]  This isn't, you know, you're a free person.
[00:36:27.893 --> 00:36:29.954]  You shouldn't have to show your papers.
[00:36:31.155 --> 00:36:37.519]  Okay, fine, you do have an immigration problem in Arizona, but this isn't how you're going to solve it by racially profiling your citizens.
[00:36:37.880 --> 00:36:43.683]  But hey, I mean, I'm not trying to encourage anybody to do this, but you know Arizona illegal immigrants?
[00:36:44.024 --> 00:36:50.768]  If you go to California, your big uncle Barack Obama will give you a free driver's license and a work permit so you can drive to work.
[00:36:51.028 --> 00:36:56.152]  And I'm not saying you should do that, I'm just saying this is a situation where one hand's not communicating with the other hand.
[00:36:56.432 --> 00:37:00.615]  So you can leave Arizona, go to California, get your driver's license, your work permit, and be set.
[00:37:01.596 --> 00:37:07.210]  But we definitely have some issues here and we need to get that settled as quickly as possible.
[00:37:08.357 --> 00:37:12.620]  Now for our quote of the day.
[00:37:12.640 --> 00:37:23.208]  And I don't agree with everything Mr. Orwell says, but that's a very good quote.
[00:37:23.228 --> 00:37:33.116]  And you know, I love my guns, I love my freedom, and I'm not telling you to run out and buy a gun, but if you are of sound mind and body and you can ably handle one, hey, there's nothing wrong with that.
[00:37:33.536 --> 00:37:36.419]  So anyway, that's it for this segment of the InfoWars Nightly News.
[00:37:36.459 --> 00:37:41.043]  We'll be right back with Rob Dew with his interviews and his special report on Barton Springs.
[00:37:41.323 --> 00:37:47.909]  So be sure to stop by the InfoWars shop, pick up some great materials there, books, DVDs, hats, and the like.
[00:37:48.210 --> 00:37:51.673]  And also, subscribe to PrisonPlanet.tv, great stuff there.
[00:37:52.153 --> 00:37:56.337]  It supports our broadcast, you help us grow, you help us expand, because people
[00:37:56.557 --> 00:37:58.178]  Hello, this is Linda West with a special report for InfoWars.com.
[00:37:58.198 --> 00:38:00.419]  A new DVD has come out by GMO expert and scholar Jeffrey Smith.
[00:38:00.439 --> 00:38:01.239]  It's entitled Genetic Roulette.
[00:38:26.266 --> 00:38:39.615]  It exposes the shockingly unbelievable connection between the proliferation of GMOs by huge agri-corporations and the huge increase in disease in America.
[00:38:39.916 --> 00:38:41.857]  Things we're seeing today aren't normal.
[00:38:43.438 --> 00:38:45.900]  We didn't see them 30 years ago or 50 years ago.
[00:38:46.100 --> 00:38:48.722]  Illnesses that weren't epidemic before are now epidemic.
[00:38:49.246 --> 00:39:03.725]  With this new comprehensive information, we can finally solve the mystery between the rising disease, cancer, allergies, Alzheimer's, premature aging, and even autism.
[00:39:08.052 --> 00:39:19.265]  I'm concerned about all the health issues that I'm seeing, but the one that I am most alarmed about is autistic spectrum, which is literally skyrocketed.
[00:39:19.785 --> 00:39:26.012]  We can't say for sure that GMOs have anything to do with autism, but we can't say for sure that it doesn't.
[00:39:26.829 --> 00:39:40.079]  In fact, there's been an increase in autism since GMOs were introduced, and animals that eat GMOs, both in laboratory and in livestock situations, have shown some tell-tale signs that some practitioners say are linked with autism.
[00:39:40.379 --> 00:39:52.968]  Jeffrey Smith has done the scientific research that finally reveals the truth about GMOs that Big Agricorps and the government has tried so hard to cover up.
[00:39:54.178 --> 00:39:59.965]  This food conspiracy is making them billionaires and us sick.
[00:40:00.466 --> 00:40:05.312]  He said he lost about 90% of his miniature steers.
[00:40:05.853 --> 00:40:13.182]  What the problem was is I guess he said that they weren't able to process the food correctly and they would bloat up and die from it.
[00:40:13.462 --> 00:40:16.423]  Now that we have the real information, we can make changes.
[00:40:16.783 --> 00:40:24.744]  Now we know exactly why diseases are on the rise, surgeries are on the rise, and so many small minds are being stolen from autism.
[00:40:24.965 --> 00:40:32.366]  I know today we all have a lot on our plate, but what's on our plate today is killing us.
[00:40:33.386 --> 00:40:36.207]  This is Linda West wishing your family
[00:40:37.202 --> 00:40:40.084]  A happy and healthy future.
[00:41:00.962 --> 00:41:02.383]  There's no priming required.
[00:41:02.643 --> 00:41:04.724]  It's NSF-42 certified.
[00:41:04.944 --> 00:41:07.465]  Optional fluoride filters can reduce fluoride up to 95%.
[00:41:07.645 --> 00:41:09.886]  Easy to set up and use.
[00:41:10.086 --> 00:41:11.386]  Doesn't require electricity.
[00:41:11.506 --> 00:41:14.388]  Purify water from lakes, streams, ponds, and wells.
[00:41:14.708 --> 00:41:17.889]  This filter system leaves in beneficial minerals, which is key.
[00:41:18.109 --> 00:41:22.111]  Save money by not buying bottled water, and avoid BPA that leaches from the plastic.
[00:41:22.271 --> 00:41:24.872]  ProFur is the best gravity-fed filter out there.
[00:41:25.032 --> 00:41:26.352]  It's what my family uses.
[00:41:26.613 --> 00:41:27.293]  Infowars.com
[00:41:27.893 --> 00:41:29.835]  Already has the lowest price on Propeer.
[00:41:29.935 --> 00:41:35.601]  But if you add the promo code WATER at checkout, you get an additional 10% off at InfoWars.com.
[00:41:35.801 --> 00:41:37.002]  You can also call to order.
[00:41:37.022 --> 00:41:37.062]  888-253-3139.
[00:41:42.890 --> 00:41:47.414]  Alex Jones here with a message that could revolutionize health in this country.
[00:41:47.714 --> 00:41:53.539]  Going back about a year and a half ago, I began to learn about the incredible health effects of longevity products.
[00:41:53.939 --> 00:41:57.722]  Erin Dykes lost 92 pounds.
[00:41:57.762 --> 00:41:59.564]  We're going to show you some before and afters.
[00:41:59.984 --> 00:42:01.745]  Aaron, break down what happened.
[00:42:01.785 --> 00:42:02.345]  Your story.
[00:42:02.625 --> 00:42:07.687]  I've worked really hard with diet and exercise to try to lose weight, but I just didn't get the results.
[00:42:07.727 --> 00:42:08.587]  It just didn't happen.
[00:42:08.888 --> 00:42:11.489]  Then I saw what you were doing with Infowarsteam.com.
[00:42:11.969 --> 00:42:15.770]  I wasn't even trying to lose weight, but I got it because I wanted to feel better energy.
[00:42:15.810 --> 00:42:16.751]  I wanted that nutrition.
[00:42:16.791 --> 00:42:20.392]  Didn't even understand how that could kickstart my own weight loss goals.
[00:42:20.552 --> 00:42:22.292]  But the products did that for me.
[00:42:22.633 --> 00:42:30.394]  I found myself suddenly losing weight, more energetic, wanting to exercise, wanting to eat the right foods, and they don't even advertise it as weight loss!
[00:42:30.715 --> 00:42:39.977]  I want to challenge our radio listeners to go to Infowarsteam.com, sign up as a distributor, and get wholesale pricing discounts at Infowarsteam.com.
[00:42:48.519 --> 00:42:50.521]  Welcome back to the InfoWars Nightly News.
[00:42:50.621 --> 00:42:52.843]  I'm your host Rob Dew.
[00:42:52.863 --> 00:42:57.086]  And thanks to Jakari for doing that last segment there on the, especially I like the pink gun story.
[00:42:57.166 --> 00:42:58.147]  Hold them off with the pink.
[00:42:59.148 --> 00:43:02.931]  Anyway, we're going to move on to this report we have here.
[00:43:02.951 --> 00:43:05.553]  Greedy Developers Set Sights on Austin Treasure.
[00:43:06.534 --> 00:43:16.922]  This is kind of an ongoing fight that's been going on between people who want to take this amazing pool, let's roll some of that footage over top of it, Barton Springs, and kind of
[00:43:17.941 --> 00:43:21.064]  Change it to where, you know, only rich people want to go there.
[00:43:21.104 --> 00:43:22.285]  Basically gentrify it.
[00:43:22.825 --> 00:43:26.688]  Right now, everybody in the world goes to Barton Springs in the summertime.
[00:43:26.748 --> 00:43:28.069]  It's about 105 out.
[00:43:28.429 --> 00:43:30.931]  The water is in the low 70s.
[00:43:31.572 --> 00:43:33.113]  Amazing place.
[00:43:33.854 --> 00:43:36.316]  The waters are, I mean, it feels like
[00:43:37.383 --> 00:43:39.504]  You're being bathed in the most amazing water.
[00:43:39.544 --> 00:43:40.384]  Just swimming there.
[00:43:40.884 --> 00:43:42.185]  There's where the salamanders live.
[00:43:42.205 --> 00:43:43.085]  They have that roped off.
[00:43:43.105 --> 00:43:45.346]  And there's all kinds of people who worry about these salamanders.
[00:43:45.426 --> 00:43:46.326]  And that's great.
[00:43:46.506 --> 00:43:47.547]  That's what environmentalists do.
[00:43:47.587 --> 00:43:48.567]  They worry about salamanders.
[00:43:49.007 --> 00:43:49.928]  And they have their spot.
[00:43:50.268 --> 00:43:52.349]  And we're able to swim with the salamanders.
[00:43:52.369 --> 00:43:53.109]  And everything's great.
[00:43:53.209 --> 00:43:53.769]  Hunky-dory.
[00:43:53.829 --> 00:43:54.970]  We can jump off the diamond board.
[00:43:56.470 --> 00:43:58.311]  Water flows through back out to Barton Creek.
[00:43:59.071 --> 00:43:59.871]  There you can see it flowing out.
[00:43:59.992 --> 00:44:02.613]  And just on the other side of that, people, you know, play with their dogs and stuff.
[00:44:02.733 --> 00:44:07.435]  I mean, this is all footage I shot basically underwater with the camera.
[00:44:07.575 --> 00:44:08.876]  Lots of fish down there.
[00:44:08.996 --> 00:44:10.056]  Beautiful plant life.
[00:44:10.076 --> 00:44:15.699]  They had these little flowers growing off of these plants.
[00:44:15.739 --> 00:44:17.480]  I mean, it's just amazing down there.
[00:44:17.760 --> 00:44:19.481]  Really is an amazing treasure.
[00:44:20.430 --> 00:44:29.896]  Well, the City Council armed with these architects who want to help beautify it and turn it into this pristine place where no one has to step on grass or dirt.
[00:44:30.416 --> 00:44:34.119]  They can simply walk along the concrete paths that we're going to build everywhere.
[00:44:34.139 --> 00:44:34.199]  Hmm.
[00:44:36.040 --> 00:44:39.142]  Well, actually, yeah, let's go to that map first.
[00:44:39.242 --> 00:44:39.722]  Right there.
[00:44:40.343 --> 00:44:41.844]  That's what they're going to propose to do.
[00:44:42.484 --> 00:44:44.325]  They want to beautify all these areas.
[00:44:44.385 --> 00:44:45.746]  They want to put some paths in.
[00:44:47.813 --> 00:44:49.975]  But what is the real problem with Barton Springs?
[00:44:49.995 --> 00:44:51.437]  Let's go to this overhead map here.
[00:44:51.477 --> 00:44:51.997]  I'm going to show you.
[00:44:52.798 --> 00:44:54.260]  This is what they say the problem is.
[00:44:54.900 --> 00:44:58.524]  Along here is this long sidewalk that you saw video of.
[00:44:58.644 --> 00:45:00.926]  And basically, it's a giant culvert.
[00:45:01.507 --> 00:45:07.013]  And Barton Creek, when it fills up with water, it runs along this culvert so it does not hit the springs and flows out.
[00:45:07.774 --> 00:45:09.415]  Because you get a lot of pollution and stuff in
[00:45:10.356 --> 00:45:11.356]  That spring area.
[00:45:11.817 --> 00:45:13.177]  Well, here's the culvert.
[00:45:13.557 --> 00:45:14.297]  This is what it looks like.
[00:45:14.317 --> 00:45:17.098]  You can basically fit a man in there very easily.
[00:45:17.819 --> 00:45:19.499]  They're saying it's cracked at the bottom.
[00:45:20.179 --> 00:45:22.640]  Some of the cracks are up to an inch wide.
[00:45:22.800 --> 00:45:23.300]  Oh, I'm sorry.
[00:45:23.440 --> 00:45:24.081]  That's an inch.
[00:45:24.701 --> 00:45:25.141]  Right there.
[00:45:25.201 --> 00:45:26.161]  An inch wide.
[00:45:26.421 --> 00:45:27.802]  And they have to do something about it.
[00:45:28.122 --> 00:45:29.122]  So what are they proposing?
[00:45:29.682 --> 00:45:31.163]  Well, let's go back to the map.
[00:45:31.203 --> 00:45:32.683]  They're going to rip up the entire
[00:45:35.293 --> 00:45:48.233]  Rip up the entire sidewalk there, rip up both dams on either side, and also put these paths in and increase the fence line and do all this other stuff because of some cracks in the culvert.
[00:45:49.056 --> 00:45:49.416]  Okay.
[00:45:49.816 --> 00:45:53.018]  It's like using a cannon to get a mosquito off your nose.
[00:45:53.738 --> 00:46:00.682]  And they have this architect that they already paid over $180,000 to, and she's passed the project on to her buddies, and they're going to get in.
[00:46:00.722 --> 00:46:09.347]  It's this big trendy thing they're going to do where we're going to remake Barton Springs, where if you look at this concrete, yes, it's aged, but it's strong concrete.
[00:46:09.387 --> 00:46:11.067]  This stuff isn't going anywhere for 50 years.
[00:46:12.268 --> 00:46:14.631]  Okay, it is hearty stuff.
[00:46:14.671 --> 00:46:16.774]  It's when they used to make things to last.
[00:46:17.294 --> 00:46:25.104]  Okay, they're going to put something in that'll have to be resurfaced every two years and cost $100,000 to upkeep, and then all of a sudden the city's going to go, you know what?
[00:46:25.959 --> 00:46:26.780]  We can't handle this.
[00:46:27.100 --> 00:46:32.323]  We need to give it to this private developer who just all of a sudden came out of the blue and is able to run Barton Springs.
[00:46:32.724 --> 00:46:40.609]  But they're going to jack up the rates from $3 a person to probably $8 a person, or maybe even $10 a person, and they're going to charge you to park every time you come in.
[00:46:41.009 --> 00:46:42.050]  That's also one of the things.
[00:46:42.110 --> 00:46:44.011]  In the back, it's a dirt parking lot.
[00:46:44.271 --> 00:46:45.132]  It's nondescript.
[00:46:45.592 --> 00:46:46.553]  People like it that way.
[00:46:46.613 --> 00:46:49.795]  When you talk to the people of Austin, they like it the way it is.
[00:46:50.295 --> 00:46:51.756]  We're not Dallas, okay?
[00:46:52.257 --> 00:46:53.097]  We are Austin.
[00:46:53.317 --> 00:46:55.639]  We don't mind a little dirt in our hippie shoes.
[00:46:56.119 --> 00:46:57.020]  That's the way it is.
[00:46:57.420 --> 00:47:03.485]  And so now they want to make this paved parking lot, which is going to trap more heat down there and just make it hotter out there, as it is.
[00:47:04.066 --> 00:47:12.612]  And they want to put up a better fence that's nicer than the one they have, which is just basically your basic industrial fence with some barbed wire pointing out to keep people out at night.
[00:47:13.733 --> 00:47:18.277]  Which, by the way, Barton Springs is a great place to swim at night, even though the water is cold.
[00:47:18.357 --> 00:47:20.819]  Man, let me tell you, it is invigorating.
[00:47:21.279 --> 00:47:22.921]  So now they want to close it in October 1st.
[00:47:24.554 --> 00:47:29.056]  They want to close it and do what they're saying is $2.2 million worth of work.
[00:47:29.456 --> 00:47:33.258]  Well, we all know that's going to balloon because they were telling people it's only going to be closed for nine months.
[00:47:33.618 --> 00:47:39.641]  Alex Jones was there talking with the engineers and the developers who were there with hard hats.
[00:47:40.161 --> 00:47:46.464]  They say it could take up to 11 months, it could go even longer than that, and it stipulates in their entire process.
[00:47:46.964 --> 00:47:48.985]  So they're using this excuse of
[00:47:49.705 --> 00:48:00.196]  Well, we've got to fix the covert to basically change the entire face of Barton Springs to make it more friendlier to people who don't like grass and trees and stuff like that.
[00:48:00.797 --> 00:48:05.161]  And, you know, have you ever seen a foundation repair to a house?
[00:48:05.942 --> 00:48:09.105]  They don't destroy the house in order to rebuild the foundation.
[00:48:09.506 --> 00:48:11.488]  They dig up underneath it and do that.
[00:48:11.528 --> 00:48:14.792]  And what they're going to do is actually drain Barton Springs to about a foot.
[00:48:15.172 --> 00:48:17.595]  So they can do all these repairs and it's going to kill all the wildlife there.
[00:48:17.615 --> 00:48:19.377]  It's going to kill the precious salamanders.
