[00:00:21.280 --> 00:00:22.221]  Hello again, everyone.
[00:27:44.000 --> 00:27:47.902]  So, to me, that was a sign that, do people in the U.S.
[00:27:47.922 --> 00:27:53.826]  really care if I prove beyond a shadow of a doubt that the underwear bomber case was a false flag event?
[00:27:53.906 --> 00:27:56.268]  And the answer to me was clearly, no.
[00:27:57.168 --> 00:28:03.352]  So, those two things, as well as number three, which was that every time I went to work on this case, I found that
[00:28:04.474 --> 00:28:26.053]  I had to put a great deal more time into it than I thought, and that this case would take probably, if not hundreds of hours of my time, thousands of hours of my time, and I'm already very busy as it is, and I decided that, you know, with myself leaving the country at the end of next year that I wasn't going to commit that kind of time.
[00:28:27.117 --> 00:28:29.539]  Um, into something that people don't really care about.
[00:28:29.619 --> 00:28:32.842]  So that's, those are the reasons that I decided to not file the case.
[00:28:33.002 --> 00:28:35.664]  Not due to intimidation or being paid off or anything like that.
[00:28:36.707 --> 00:28:38.708]  Yeah, Abdulmutallab hasn't been sentenced yet.
[00:28:38.768 --> 00:28:43.091]  He's actually being sentenced two days from now, February the 16th.
[00:28:44.212 --> 00:28:55.079]  And any passenger on the flight is allowed to make a victim impact statement, telling how this matter has affected their life or lives.
[00:28:56.100 --> 00:28:59.442]  And I'll be giving a victim impact statement.
[00:28:59.742 --> 00:29:04.746]  Unfortunately, Judge Edmunds has limited each passenger to only five minutes, so it'll be pretty limited.
[00:29:07.165 --> 00:29:10.367]  But I will be appearing Thursday and giving a victim impact statement.
[00:29:11.168 --> 00:29:18.393]  Obviously I'm going to talk about what I have been all along, which is that I think the media has been lying about this case.
[00:29:19.214 --> 00:29:25.959]  You know, what we're being shown in court isn't really what happened, and that this was a government setup with an intentionally defective bomb.
[00:29:27.019 --> 00:29:35.526]  Now I have to be really careful how I word things, because I'm still a practicing attorney, and I actually practice in the same court on a weekly basis, so
[00:29:37.334 --> 00:29:42.675]  I have to kind of restrict what I say to not get me in trouble with the state bar, but it'll be something along those lines.
[00:29:42.735 --> 00:29:44.295]  I'll have a pre-prepared statement.
[00:29:44.995 --> 00:29:51.317]  What made me come forward is that, one, I was very irritated that I almost lost my life on Christmas Day 2009.
[00:29:51.357 --> 00:29:57.978]  And, you know, I'm very irritated over who was behind it.
[00:29:58.258 --> 00:29:58.478]  U.S.
[00:29:58.498 --> 00:30:00.718]  government, for sure, my own government.
[00:30:01.298 --> 00:30:04.079]  And I thought it was important that I come out and talk about it.
[00:30:04.974 --> 00:30:06.374]  You know, I'm used to talking in public.
[00:30:06.434 --> 00:30:08.115]  I do it on a daily basis at court.
[00:30:08.915 --> 00:30:12.997]  I have no problem with people talking badly about me.
[00:30:13.017 --> 00:30:13.977]  They do that all the time.
[00:30:13.997 --> 00:30:16.758]  You know, the other side or whoever.
[00:30:16.778 --> 00:30:18.219]  I have no problem getting yelled at.
[00:30:19.810 --> 00:30:22.952]  I have a pretty thick skin for people talking badly about me.
[00:30:23.012 --> 00:30:26.274]  As far as intimidation, I don't really care.
[00:30:26.354 --> 00:30:28.015]  What is the government going to do to me?
[00:30:28.055 --> 00:30:32.157]  It's not like they can cost me my employment.
[00:30:32.237 --> 00:30:35.099]  It's not like they're more credible than I am.
[00:30:35.159 --> 00:30:38.040]  It's not like they have more evidence behind them in this case than I do.
[00:30:39.421 --> 00:30:41.622]  Frankly, I'm just not intimidated by them at all.
[00:30:42.302 --> 00:30:45.003]  I think it's important that we all come out and talk about it.
[00:30:45.183 --> 00:30:51.945]  If you do nothing and you're intimidated by the government and don't come out and speak about it, you're just going to encourage more of this behavior.
[00:30:52.646 --> 00:31:04.210]  I think at the very least I've awakened a lot of people, people that normally wouldn't think like this, and I've convinced them that my version of events are in fact correct.
[00:31:05.481 --> 00:31:10.383]  I encourage you to do the same that I have and eventually enough people will be convinced that the U.S.
[00:31:10.423 --> 00:31:13.243]  government is entirely corrupt and should be replaced.
[00:31:14.284 --> 00:31:16.865]  You know the next question is how do we fix the problems here?
[00:31:17.185 --> 00:31:24.127]  And I think people that think we're going to do this by vote, by voting out people and putting in
[00:31:25.580 --> 00:31:29.864]  You know, people that will honor the Constitution and protect the rights of U.S.
[00:31:29.904 --> 00:31:30.264]  citizens?
[00:31:30.664 --> 00:31:31.625]  I think you're being naive.
[00:31:32.226 --> 00:31:37.370]  I think this is an entirely corrupt organization running things in the U.S.
[00:31:37.410 --> 00:31:40.573]  now, controlled by greed and money.
[00:31:41.573 --> 00:31:57.944]  They're not going to willingly give that up voluntarily, so I don't think things are going to change here by voting, and I think you can see that with the primaries going on now, and Ron Paul, even though a lot of people are holding out their hopes for him, he has no chance.
[00:31:58.584 --> 00:32:04.869]  The media is against him, and there's been allegations of vote rigging in a couple of states already.
[00:32:05.809 --> 00:32:07.030]  And it's just not going to happen.
[00:32:07.370 --> 00:32:08.531]  He's not going to be elected.
[00:32:08.751 --> 00:32:14.334]  And that's the sort of thing you'll see with any candidate that might try and change things.
[00:32:14.634 --> 00:32:15.774]  That's what you're going to get.
[00:32:16.255 --> 00:32:17.455]  And it's just not going to happen.
[00:32:17.515 --> 00:32:19.716]  So I don't think things are going to change.
[00:32:19.736 --> 00:32:29.181]  They're going to get worse and worse and worse until there's total economic and political collapse here and this becomes a total dictatorship?
[00:32:29.441 --> 00:32:29.842]  I don't know.
[00:32:31.323 --> 00:32:37.388]  You're going to see a government collapse very soon though, and it's only going to change due to the people rising up.
[00:32:38.530 --> 00:32:45.936]  And I'm not talking about just blogs or watching shows or whatever, but physically going out and doing things and changing things.
[00:32:47.858 --> 00:32:48.719]  Not through elections.
[00:32:51.081 --> 00:33:03.345]  Since this happened a couple years ago, Christmas 2009, I've really changed my belief in regards to anything that has to do with the government.
[00:33:03.765 --> 00:33:06.385]  I was just a normal citizen before that.
[00:33:07.026 --> 00:33:08.146]  I didn't really have any
[00:33:09.720 --> 00:33:32.135]  I was just a regular person, and since this happened, and you can see it from some of my early videos or writings that I made, that I really questioned what happened here.
[00:33:32.175 --> 00:33:38.880]  I didn't come to conclusions right away, but my theory on what has happened has been developed over
[00:33:40.185 --> 00:33:41.008]  Thanks for watching!
[00:33:44.420 --> 00:33:48.041]  Where I'm at at this point is that I don't believe the government in anything.
[00:33:48.241 --> 00:33:49.422]  I don't trust them at all.
[00:33:50.362 --> 00:33:57.344]  I think they have some sort of an alternative agenda, which has to do with taking rights away of Americans.
[00:33:59.265 --> 00:34:10.869]  I'm not exactly sure why, but it's definitely there, and it's not for the reasons they're saying to protect you from terrorism, but it's due to alternative reasons.
[00:34:13.148 --> 00:34:20.093]  You know, maybe the coming economic collapse, or maybe to mask that the government wants to take over the world.
[00:34:20.754 --> 00:34:38.448]  I don't know, but you can see pretty obvious acceleration of the loss of our constitutional rights, and you know, I've really looked into these things a lot more since Christmas Day 2009, and again, I don't trust the government at all.
[00:34:40.701 --> 00:34:42.949]  I don't think they're working in the best interest of U.S.
[00:34:43.953 --> 00:34:44.355]  citizens.
[00:35:04.952 --> 00:35:06.773]  Greetings, fellow InfoWarriors.
[00:35:07.414 --> 00:35:15.140]  Alex Jones here, announcing the first of many trips that I'm going to take across this wonderful United States that we live in.
[00:35:15.440 --> 00:35:25.368]  And we get so busy here at InfoWars.com, the nightly news, the daily radio show, the documentary films, and all the other things we're doing that I tend to never go out and give speeches anymore.
[00:35:25.788 --> 00:35:29.511]  And I've got a lot of ideas bubbling around in my head about the history of the New World Order.
[00:35:29.791 --> 00:35:31.192]  What makes them tick and how to defeat them.
[00:35:31.492 --> 00:35:33.874]  So I'm titling this key speech I'm going to give.
[00:35:34.474 --> 00:35:36.075]  It'll run around two hours long.
[00:35:36.695 --> 00:35:38.457]  Blueprint to Defeat the New World Order.
[00:35:38.757 --> 00:35:44.501]  And we're also going to have a surprise premiere of a short documentary film we've been working on at the event.
[00:35:44.921 --> 00:35:47.042]  First off, I'm going to be going to Dallas, Texas.
[00:35:47.463 --> 00:35:49.004]  Sunday, February 19th, 2012.
[00:35:49.164 --> 00:35:51.866]  To the historic Lakewood Theater.
[00:35:52.446 --> 00:35:56.651]  And the next Sunday, February 26th, I'm going to be in Orlando, Florida.
[00:35:57.312 --> 00:36:02.979]  You can find out more about the events and buy tickets at infowars.com forward slash events.
[00:36:03.942 --> 00:36:07.364]  Now unfortunately, every event I've ever had, we've had to turn people away.
[00:36:07.984 --> 00:36:11.806]  So get your tickets early at InfoWars.com forward slash events.
[00:36:11.826 --> 00:36:14.147]  There's a lot of crazy stuff going on in this world.
[00:36:14.848 --> 00:36:17.389]  The craziest of all is this explosive awakening.
[00:36:18.069 --> 00:36:19.830]  I can't wait to meet you and shake your hand.
[00:36:20.270 --> 00:36:22.251]  I'll see you in Dallas and I'll see you in Orlando.
[00:36:22.912 --> 00:36:24.853]  InfoWars.com forward slash events.
[00:36:33.217 --> 00:36:37.839]  Yeah, I'm signing these evil 1776 flags.
[00:36:38.479 --> 00:36:45.443]  Doesn't get any more out of control than that, ladies and gentlemen.
[00:36:46.463 --> 00:36:49.264]  It's pretty un-American, what we're doing here at InfoWars.com.
[00:36:51.746 --> 00:36:57.388]  I mean, not only are we promoting liberty, but we're selling 1776 flags.
[00:36:57.408 --> 00:36:58.849]  Now that...
[00:37:00.692 --> 00:37:01.773]  I guess I'll cut.
[00:37:19.235 --> 00:37:30.600]  A recent report issued by the UK government calls for the UN to exclusively regulate worldwide geoengineering of the planet as an excuse to combat global warming.
[00:37:31.040 --> 00:37:40.925]  There are numerous patents and scientific proposals that focus around using man-made clouds and dispersal of aerosols to alter the atmosphere.
[00:37:41.545 --> 00:37:51.865]  Discussion of geoengineering technology is often framed as a future consideration, but governments are already conducting such programs at an advanced stage.
[00:37:53.197 --> 00:38:05.450]  We are now joined by Rosalind Peterson of the Agriculture Defense Coalition, which is a watchdog group that monitors uncontrolled experimental weather modification programs and geoengineering.
[00:38:05.931 --> 00:38:09.354]  AgricultureDefenseCoalition.org is the website.
[00:38:09.835 --> 00:38:14.860]  And Rosalind, right out the gate, I wanted to ask you about the calls on behalf of scientists
[00:38:15.501 --> 00:38:19.622]  To reduce global warming by injecting the atmosphere with aerosols.
[00:38:20.082 --> 00:38:24.224]  And we know the old saying goes, it's not nice to fool with Mother Nature.
[00:38:24.244 --> 00:38:29.185]  Do you think that the governments are exploiting global warming as an excuse to play God?
[00:38:31.666 --> 00:38:32.566]  I think that they are.
[00:38:33.586 --> 00:38:42.309]  Many of the scientists, and there aren't many really, that are advocating geoengineering or climate remediation, they sometimes call it,
[00:38:42.932 --> 00:38:54.394]  But they're talking about solar radiation management, which means that you're going to add particles and gases into the atmosphere artificially to reduce the amount of direct sunlight reaching the Earth.
[00:38:55.095 --> 00:38:59.215]  And the idea is to use these schemes to mask the symptoms.
[00:38:59.295 --> 00:39:11.438]  They will have no effect on climate, as far as changing our climate, and they won't have impacts on the weather, except that when you reduce the amount of direct sunlight reaching the Earth,
[00:39:12.043 --> 00:39:17.245]  It does have an effect on ocean climate and our weather in that means.
[00:39:17.585 --> 00:39:36.854]  And so what's happening is that we are using and talking about these schemes in a way that says that we want to control the entire Earth's atmosphere and that we're going to increase the pollutants and other things that are going to come down from these pollutants, chemicals and particles reaching the Earth.
[00:39:37.845 --> 00:39:41.878]  After a period of time after they're introduced into the atmosphere by the tongue.
[00:39:42.449 --> 00:39:45.151]  Well, I know that President Obama's sciences are.
[00:39:45.211 --> 00:39:49.474]  John P. Holdren, for example, he's a big advocate of geoengineering.
[00:39:49.954 --> 00:39:55.678]  There are proposals to disperse sulfur dioxide to reflect sunlight.
[00:39:56.419 --> 00:40:11.710]  And, in fact, there's an article I'm looking at right now in the London Guardian titled, Geoengineering the Radical Ideas to Combat Global Warming, where leading climate scientist Ken Caldera, he promotes the idea of aerosols, injecting aerosols into the atmosphere.
[00:40:12.230 --> 00:40:17.633]  But an environment loaded with sulfur dioxide, for example, now this is kind of stuff that sounds dangerous.
[00:40:17.973 --> 00:40:20.594]  I mean, isn't that the main compound in acid rain?
[00:40:20.795 --> 00:40:22.656]  Are these mad scientists we're talking about?
[00:40:24.417 --> 00:40:25.137]  Well, yes.
[00:40:25.657 --> 00:40:30.560]  Sulfur dioxide is the component in acid rain that causes tree decline.
[00:40:31.600 --> 00:40:38.084]  And when they talk about putting that into the atmosphere, or aluminum oxide, which is also being suggested by David Keith,
[00:40:38.672 --> 00:40:42.735]  They're adding particles and these chemicals into the atmosphere, which are going to come down.
[00:40:43.136 --> 00:40:44.757]  They're going to cause acid rains.
[00:40:44.817 --> 00:40:46.678]  They're going to pollute our air and water.
[00:40:46.698 --> 00:40:49.140]  They're going to cause increasing asthma.
[00:40:49.821 --> 00:41:00.870]  And one of the reasons we took sulfur out of diesel fuel here in California is to reduce the increase in asthma in adults and children across the state of California.
[00:41:01.550 --> 00:41:07.255]  And now we're going to add it back into the atmosphere, supposedly to reduce global warming.
[00:41:08.208 --> 00:41:17.348]  But global warming, as you said, is being used as an excuse to begin to do the testing and research on these programs.
[00:41:19.209 --> 00:41:35.819]  Well, I'm even looking at, you know, I found a quote and, you know, we've got all these different scientists, even Nobel Prize winner Paul Crutzen, he suggested using 747s to dump huge quantities of sulfur particles again into the far reaches of the stratosphere to cool down the atmosphere.
[00:41:35.839 --> 00:41:45.705]  I have a quote from scientist Tim Flannery, where he warns that mankind might not, or they might need to pump sulfur into the atmosphere to survive.
[00:41:46.405 --> 00:41:58.009]  So the world governments and scientists are getting us used to the idea of geoengineering, but we have plenty of evidence that suggests that they've been doing this for a long time.
[00:41:58.049 --> 00:41:58.469]  Am I right?
[00:41:59.930 --> 00:42:05.972]  Yes, we have evidence to suggest that they have been doing atmospheric experiments for a long time.
[00:42:06.592 --> 00:42:08.993]  We have NASA documents.
[00:42:09.053 --> 00:42:11.134]  We have university studies.
[00:42:11.730 --> 00:42:16.672]  We have all kinds of information that this has been conducted over a period of time.
[00:42:17.152 --> 00:42:23.835]  Experimental weather modifications are ongoing in the United States, according to NOAA, and also worldwide as well.
[00:42:24.616 --> 00:42:26.817]  And so there's documents to that effect.
[00:42:27.217 --> 00:42:31.719]  So we are having a tremendous impact on the climate and on our weather.
[00:42:32.486 --> 00:42:33.367]  Well, let me ask you this.
[00:42:33.387 --> 00:42:42.913]  Do you think that some of these experiments have gone beyond the experimental stage and now that they're full-blown, fully operational, covert programs?
[00:42:45.355 --> 00:43:01.967]  Yes, I think some of them conducted by the military are probably covert activities of which we don't know, but there are so many that are public because of the research being conducted on these experiments that we know a lot about many of them
[00:43:02.979 --> 00:43:06.676]  I'm going not only here, but in the United States, but around the world.
[00:43:07.731 --> 00:43:07.951]  Wow.
[00:43:08.812 --> 00:43:18.398]  Well, we've only got a few minutes tonight, but before we go, I was hoping you could briefly tell us about the melting of the glaciers in the Arctic and around Alaska.
[00:43:19.059 --> 00:43:34.389]  You posted some very interesting research on your website where it appears that many government agencies and leaders in the United States have discussed how the natural resources of those areas could be exploited if those areas were artificially warmed.
[00:43:34.429 --> 00:43:35.810]  I thought that was very interesting.
[00:43:35.830 --> 00:43:37.511]  I was hoping you could elaborate on that.
[00:43:38.852 --> 00:43:59.310]  Yes, it's been discussed back since the Carter administration and then the Nixon administration that warming the colder areas such as the Arctic and Alaska would allow for the exploitation of natural resources, oil, gas, and other minerals in those areas.
[00:43:59.610 --> 00:44:05.315]  It would be an advantage for the military and also shipping to be able to travel in those areas.
[00:44:05.990 --> 00:44:09.673]  During the winter months when most of the time it's frozen.
[00:44:10.474 --> 00:44:24.066]  And Shell Oil has talked to Charlie Rose a couple of years ago in a program where they talked about being able to get in now that the climate is changing there and things are warming so that they can extract oil and natural gas in the regions.
[00:44:24.647 --> 00:44:29.051]  And now the permits are being approved for them and other companies to do so.
[00:44:29.690 --> 00:44:37.913]  You know, I think I even saw a CNN report on your website that says that shipping lanes are wide open in that area because of climate change.
[00:44:39.493 --> 00:44:40.614]  Yes, that's correct.
[00:44:40.694 --> 00:44:52.278]  And also, there's military threats of engagement as well between Russia and the United States in that CNN report, which I do have on the Alaska section of my website.
[00:44:53.121 --> 00:45:10.011]  And you can really now look and see just exactly how much money and how much they want to continue to artificially warm those areas, because if they froze again, then they couldn't do the exploitation of the oil and natural gas in those areas.
[00:45:10.631 --> 00:45:21.418]  So there's actually part of our government is thinking about and wants to keep this artificial warming that's occurring, partially because of aviation
[00:45:22.014 --> 00:45:37.360]  Jet contrails according to Stanford reports and NASA reports that these contrails warm the environment and when you keep those contrails up, contrails produce water vapor, jet engines produce water vapor.
[00:45:37.921 --> 00:45:43.403]  So we're artificially warming those areas and I think it's for financial exploitation of those areas.
[00:45:44.741 --> 00:45:45.862]  Wow, interesting indeed.
[00:45:45.902 --> 00:45:49.764]  Well, we certainly want you to keep us posted on any new developments there.
[00:45:50.484 --> 00:45:55.367]  Meanwhile, I encourage everyone to visit the Agriculture Defense Coalition website.
[00:45:55.427 --> 00:45:57.829]  I mean, it is loaded with valuable information.
[00:45:57.889 --> 00:46:01.271]  It's got all kinds of studies, PDF files, videos, you name it.
[00:46:01.691 --> 00:46:05.554]  I spend lots of time there myself, and I visit the website often.
[00:46:05.634 --> 00:46:07.935]  So, Rosalind, it was great to have you with us.
[00:46:08.455 --> 00:46:12.758]  Take care, Godspeed, and please come back and spend more time with us in the near future.
[00:46:13.689 --> 00:46:16.431]  I will, and thank you for having me on your show today.
[00:46:16.511 --> 00:46:16.891]  Thank you.
[00:46:18.132 --> 00:46:19.953]  All right, well, thank you for tuning in tonight.
[00:46:19.993 --> 00:46:21.674]  Hope you all have a wonderful weekend.
[00:46:21.734 --> 00:46:25.277]  We will be back next week, Monday through Friday, 7 p.m.
[00:46:25.357 --> 00:46:27.758]  Central Time, usually about that time.
[00:46:27.798 --> 00:46:29.159]  We try the best we can.
[00:46:29.619 --> 00:46:34.182]  Until then, good night, God bless, and we'll catch you again next week.
[00:46:34.483 --> 00:46:34.743]  Thank you.
