[00:02:32.947 --> 00:02:33.527]  Pull this over.
[00:40:49.758 --> 00:40:51.639]  Because the globals are in control right now.
[00:40:51.679 --> 00:40:53.079]  You're trying to wrest control with us.
[00:40:53.499 --> 00:40:56.980]  Helping... I mean, when are you going to put out your battle plan?
[00:40:57.160 --> 00:40:58.641]  Or are you already putting it out in pieces?
[00:41:00.061 --> 00:41:05.783]  No, I mean, what I'm saying is that actually, I think we should expand humanity.
[00:41:05.823 --> 00:41:08.204]  Like, basically, we should have more kids.
[00:41:08.964 --> 00:41:10.825]  You know, the population should increase.
[00:41:12.405 --> 00:41:19.372]  And we should become a multi-planet species and make life multi-planetary.
[00:41:19.733 --> 00:41:22.656]  Build a self-sustaining civilization on Mars.
[00:41:23.296 --> 00:41:27.401]  And then ultimately, this will be long after I'm dead, probably.
[00:41:28.481 --> 00:41:29.702]  Well, almost certainly.
[00:41:31.023 --> 00:41:35.946]  We can go to other star systems and go out there and, I don't know, maybe we'll find some long-dead alien civilizations.
[00:41:37.566 --> 00:41:43.050]  And I don't think we want to be one of those lame one-planet civilizations that never got beyond, you know, its own planet.
[00:41:43.070 --> 00:41:45.591]  I mean, we gotta, you know...
[00:41:46.963 --> 00:41:48.885]  What are the aliens going to think of that?
[00:41:50.085 --> 00:41:52.567]  We've got to make a good showing.
[00:41:52.988 --> 00:41:53.488]  Team Human.
[00:41:53.668 --> 00:42:00.314]  I think something that is really important is you just literally have to have kids or there's no next generation.
[00:42:01.114 --> 00:42:02.195]  Alex, do you have kids?
[00:42:03.296 --> 00:42:03.716]  Yes, I do.
[00:42:03.736 --> 00:42:05.678]  I'm not as prolific as you, but I wish I was.
[00:42:05.698 --> 00:42:06.639]  They're the best thing in my life.
[00:42:06.719 --> 00:42:07.179]  I have four.
[00:42:08.260 --> 00:42:08.740]  Okay, great.
[00:42:09.020 --> 00:42:09.601]  And Andrew?
[00:42:10.521 --> 00:42:11.121]  I do have a few.
[00:42:11.181 --> 00:42:12.161]  I won't let you down, Elon.
[00:42:12.181 --> 00:42:12.621]  I'm coming.
[00:42:12.721 --> 00:42:14.102]  I'm coming to take over your title.
[00:42:14.442 --> 00:42:15.522]  I'm coming to take over.
[00:42:15.882 --> 00:42:16.682]  I'm doing my best.
[00:42:16.742 --> 00:42:19.263]  You know, I use my good looks for something.
[00:42:20.003 --> 00:42:25.144]  Well, I think we ought to encourage people to, you know, have kids.
[00:42:25.404 --> 00:42:28.365]  And this is the bottom line argument.
[00:42:28.405 --> 00:42:29.505]  This is what is so important.
[00:42:29.525 --> 00:42:33.066]  We just talked about how the globalists are ultimately selfish and only care about their own power.
[00:42:33.106 --> 00:42:34.546]  Most globalists don't have children.
[00:42:34.566 --> 00:42:36.466]  Because they're selfish.
[00:42:38.507 --> 00:42:39.307]  Powerful folks.
[00:42:40.526 --> 00:42:42.588]  We're going to continue here.
[00:42:42.788 --> 00:42:44.850]  We get Elon talking about Trump assassination more.
[00:42:44.870 --> 00:42:45.610]  It is wild.
[00:42:45.650 --> 00:42:49.113]  Jack Massovic coming up next hour on how the enemy is going to strike back though.
[00:42:49.834 --> 00:42:51.295]  But let's go to clip six.
[00:42:51.455 --> 00:42:53.517]  Elon, Tate and Jones talk about Team Humanity.
[00:42:53.898 --> 00:42:56.180]  And I said this a year ago, six months ago, we never made them.
[00:42:56.780 --> 00:42:59.502]  We are coming out with a Team Humanity InfoWarshirt.
[00:42:59.883 --> 00:43:03.025]  You've heard me say it a thousand times, but this is really getting picked up.
[00:43:03.486 --> 00:43:04.947]  This is the future, folks.
[00:43:05.287 --> 00:43:06.068]  This is the Zeitgeist.
[00:43:06.108 --> 00:43:07.950]  Thanks to all of you supporting this transmission.
[00:43:08.783 --> 00:43:13.250]  It's not about us getting the credit, it's about recognizing we're winning and we know what we're talking about together.
[00:43:14.692 --> 00:43:18.137]  Little stickers are everywhere of Biden at the gas pump and all over saying, I did that.
[00:43:18.197 --> 00:43:21.321]  Well, the good things that are happening, you did that with God working through you.
[00:43:21.602 --> 00:43:22.223]  Here's the next clip.
[00:43:22.998 --> 00:43:25.119]  Truthfully, it's so amazing we even speak about these things.
[00:43:25.179 --> 00:43:36.947]  Only two years ago, you couldn't even speak about these subjects, but it's so pertinently obvious to anyone who pays attention, and it is scary, and expansion and humanistic views are certainly the way to progress, and it has to be done.
[00:43:36.987 --> 00:43:37.607]  There's no other way.
[00:43:37.647 --> 00:43:40.329]  Just like a business, just like you guys said, if you stand still, you die.
[00:43:41.232 --> 00:43:44.575]  And, uh, it takes a few brave people to break the matrix.
[00:43:44.595 --> 00:43:45.636]  You have to break the dam.
[00:43:45.676 --> 00:43:58.948]  And I think bravery is so important because it puts a crack in the dam and it shows that if there's people out there brave enough to risk getting cancelled, risk lawsuits, risk lawfare, then it's going to inspire bravery amongst the rest of the populace.
[00:43:58.968 --> 00:44:01.711]  And it becomes extremely hard to lie to brave people.
[00:44:02.211 --> 00:44:05.492]  And I think that that's one of the largest pandemics of Earth today is bravery.
[00:44:05.532 --> 00:44:09.093]  And when I say bravery, I don't mean that in any kind of negative connotation.
[00:44:09.173 --> 00:44:15.255]  Bravery is being full of love and loving the people around you and sticking up for your community and loving where you live and loving your country.
[00:44:15.575 --> 00:44:16.976]  And it's brave to do those things.
[00:44:17.016 --> 00:44:17.436]  And it's love.
[00:44:17.456 --> 00:44:18.936]  What do the globalists teach us?
[00:44:19.296 --> 00:44:20.217]  Children are bad.
[00:44:20.297 --> 00:44:20.957]  We're ugly.
[00:44:21.057 --> 00:44:23.357]  Humans create all this racial division.
[00:44:23.718 --> 00:44:24.898]  They want us to hate each other.
[00:44:24.938 --> 00:44:28.179]  So we just give up, roll over so the globalists can have the future.
[00:44:28.985 --> 00:44:35.426]  I would just like to say here... I think the globalists are short-sighted, too, because the thing is that you can't really separate yourself from civilization.
[00:44:35.466 --> 00:44:42.628]  So I think those who are sort of advocating... I think it's just logical to be pro-civilization.
[00:44:42.648 --> 00:44:44.928]  You don't actually necessarily have to be altruistic.
[00:44:45.288 --> 00:44:50.389]  You just have to think long-term and say, obviously you cannot exist in any good way without civilization.
[00:44:50.769 --> 00:44:55.550]  I mean, just watch one episode of Naked and Afraid and see how much you want to go live in a forest by yourself.
[00:44:56.251 --> 00:44:56.971]  It's not fun.
[00:44:58.703 --> 00:45:04.705]  We're in a super pivotal moment now, and the reason we're in a pivotal moment is because the machines cannot do the policing as of yet.
[00:45:04.766 --> 00:45:09.708]  My brother and I often talk about how bad COVID would have been if they had Terminator machines.
[00:45:09.728 --> 00:45:14.990]  You didn't have your mask on, you couldn't even appeal to the empathy of the person who knew how insane it all was.
[00:45:15.290 --> 00:45:19.452]  As soon as the machines control the policing, it's absolutely over, and we're not that far away.
[00:45:19.752 --> 00:45:25.934]  So we're in a very pivotal period now where the bravery that's required to resist a globalist oppression has to happen now.
[00:45:26.314 --> 00:45:27.715]  Soon the technology will exist.
[00:45:28.235 --> 00:45:29.377]  And it's over for everybody.
[00:45:30.037 --> 00:45:36.585]  We are at a critical crossroads right now in the entire future of the human destiny.
[00:45:36.826 --> 00:45:39.829]  And I called it Plan B, but I mean, Elon, what do you call it?
[00:45:39.849 --> 00:45:41.612]  Just an alternate plan for humanity?
[00:45:42.112 --> 00:45:47.419]  Because we should have a debate because the Black Rocks and the Globalists are right now in control.
[00:45:48.557 --> 00:45:49.498]  Yeah, Team Humanity.
[00:45:49.558 --> 00:45:50.298]  Absolutely.
[00:45:50.438 --> 00:45:51.059]  That sounds good.
[00:45:51.179 --> 00:45:52.119]  Alright, we went on for a long time.
[00:45:52.139 --> 00:45:53.860]  It's over two and a half hours long.
[00:45:53.880 --> 00:45:55.181]  Two hours and forty-five minutes.
[00:45:55.261 --> 00:45:58.023]  Elon was there about two hours and twenty minutes.
[00:45:58.043 --> 00:45:59.924]  Now, when I play these clips I want to then analyze them.
[00:46:19.312 --> 00:46:26.075]  Like, we all know the rainbow's in the Bible, and God says in his promise not to destroy the earth with water again, but with fire the next time that he does.
[00:46:27.295 --> 00:46:30.876]  Well now, the rainbow is the symbol of the left and pedophilia.
[00:46:32.097 --> 00:46:36.599]  So you notice, Andrew Tate says we need to be pro-humanist.
[00:46:36.659 --> 00:46:43.261]  Well, humanism, starting in the 50s, 60s, and 70s, was to get God out of things and worship man and make it all about us.
[00:46:44.462 --> 00:46:47.843]  But humanism really should mean being pro-human and then pro-God that made us.
[00:46:49.431 --> 00:46:54.496]  So he's saying that it's team humanity, believing humanity, celebrating humanity, being human supremacist.
[00:46:56.277 --> 00:47:05.165]  Now, Musk talks about a lot of things in there as well that are really, really important.
[00:47:06.246 --> 00:47:09.489]  And we're going to be breaking that down more.
[00:47:09.529 --> 00:47:11.351]  But this is really historic.
[00:47:11.831 --> 00:47:12.672]  Also, we have
[00:47:14.571 --> 00:47:25.520]  Tate saying once they've got robots and drones to enforce this, like you saw in Communist China during the lockdowns, flying around face scanning people and reporting them to police that are outdoors they weren't supposed to.
[00:47:28.262 --> 00:47:40.732]  Once you see all that happen, and the clip I want is the drones on the highway blocking the highway with banners hanging under it, giving people orders and scanning their license plates and directing who's supposed to pull over to a police checkpoint.
[00:47:41.561 --> 00:47:42.141]  Remember that one?
[00:47:42.361 --> 00:47:47.744]  I mean, just type in Chinese drones, Chinese police drones, Chinese drones enforce COVID restrictions.
[00:47:47.784 --> 00:47:48.304]  It's everywhere.
[00:47:49.805 --> 00:47:51.026]  That's the clip I want, it's daytime.
[00:47:51.226 --> 00:47:51.766]  Yeah, there it is.
[00:47:51.806 --> 00:47:52.386]  Boom, you got it.
[00:47:53.567 --> 00:47:58.189]  And that's what they were doing.
[00:47:58.349 --> 00:48:01.811]  So that's where the globalists want to take you.
[00:48:04.932 --> 00:48:08.474]  And another key point Musk made that is beyond key,
[00:48:10.214 --> 00:48:15.417]  Is that go watch a TV show, Naked and Afraid, where people are put out for a month in the middle of nowhere.
[00:48:15.457 --> 00:48:17.037]  Almost all of them tap out, gotta go back.
[00:48:17.418 --> 00:48:19.939]  Even their survivalists are former Special Forces people.
[00:48:20.979 --> 00:48:22.780]  It's not some three-day Special Forces course.
[00:48:22.820 --> 00:48:23.881]  It's a month out in the jungle.
[00:48:24.421 --> 00:48:25.282]  A month out in the desert.
[00:48:27.082 --> 00:48:27.903]  And people die.
[00:48:29.363 --> 00:48:39.051]  So the globalists that they can collapse civilization and only have a few city-states that have technology, all the rest of us are either depopulated or put back into a rural capacity.
[00:48:39.071 --> 00:48:40.373]  And you're like, oh, that's Hunger Games.
[00:48:40.833 --> 00:48:42.354]  Well, they're not copying Hunger Games.
[00:48:42.494 --> 00:48:45.917]  Hunger Games is putting it in the novel form of what the globalists actually admit.
[00:48:45.978 --> 00:48:47.859]  They have all the technology, you have nothing.
[00:48:48.119 --> 00:48:54.205]  There's literally floating troop ships of the UN that come in and control your life.
[00:48:55.475 --> 00:48:58.642]  That's what Bertrand Russell in the 30s and 40s proposed.
[00:48:59.002 --> 00:49:00.045]  Hell, it's in H.G.
[00:49:00.085 --> 00:49:01.247]  Wells' Things to Come.
[00:49:01.969 --> 00:49:02.890]  It's moving in his book.
[00:49:05.464 --> 00:49:11.366]  So it's all planned, ladies and gentlemen, and they're trying to control the future trajectory of humanity.
[00:49:11.386 --> 00:49:12.127]  We have to say no.
[00:49:12.647 --> 00:49:15.208]  They can't collapse civilization and then get away with what they've done.
[00:49:15.488 --> 00:49:21.430]  It takes massive scale and billions of people, even if you have robots, to keep all this running and all this going.
[00:49:21.450 --> 00:49:29.194]  And we have unlimited space with hundreds of billions of galaxies that have been photographed and all these planets around us and all this incredible terraforming power we have.
[00:49:29.574 --> 00:49:30.814]  We have to have big goals.
[00:49:31.995 --> 00:49:34.796]  We don't even build stuff like the Suez Canal anymore or
[00:49:36.630 --> 00:49:37.390]  The Panama Canal.
[00:49:37.470 --> 00:49:39.011]  I mean, where is it?
[00:49:39.271 --> 00:49:43.973]  We can do all of this, and we have to have goals, and we can green the universe.
[00:49:44.553 --> 00:49:45.353]  We're not bad.
[00:49:47.014 --> 00:50:00.459]  We have sin, and the globalists are the most sinful and the worst of us, saying they're going to be gods, but first they've got to exterminate us and dominate the planet, and then they're going to have the life extension technology, and they're going to be the AI gods, and they're going to go forward into the universe.
[00:50:00.499 --> 00:50:01.659]  That's their mindset.
[00:50:02.059 --> 00:50:03.440]  Elon Musk has talked about that.
[00:50:05.162 --> 00:50:10.403]  But it's a reality, and he's been around them, he's quoted them, telling them, we're gonna merge the machines, humanity's over, it's all done.
[00:50:10.704 --> 00:50:13.344]  Now you see at the Davos Group, them saying that.
[00:50:21.406 --> 00:50:26.448]  Let's play clip eight, Vivek Ramaswamy, talks hierarchy and obligation, here it is.
[00:50:27.248 --> 00:50:34.190]  I wanna just respond to Ed, actually, for a second, because, again, when Ed comes out, I think it's good to get a good counter view here.
[00:50:35.037 --> 00:50:37.102]  I think that there's two different things going on.
[00:50:37.423 --> 00:50:38.826]  I know what you're trying to say.
[00:50:39.793 --> 00:50:43.275]  But there's a separate point about your obligations, right?
[00:50:43.295 --> 00:50:53.541]  So you can, and I believe a lot, everything has been said about the importance of expansionism for humanity being pro-civilization and expansion pro-human race to win.
[00:50:54.022 --> 00:51:00.065]  That's like a separate axis, though, from saying where are your obligations where you are, right?
[00:51:00.085 --> 00:51:01.886]  So we talked about procreation and family.
[00:51:01.906 --> 00:51:03.207]  Then we talked about the nation.
[00:51:03.848 --> 00:51:05.389]  Well, look, I have two kids.
[00:51:06.329 --> 00:51:11.751]  As a father, my moral obligation, I believe, is first and foremost to my family.
[00:51:12.511 --> 00:51:18.574]  And then, let's say, as a president, my moral obligation is to the citizens of the nation that I lead.
[00:51:19.274 --> 00:51:25.296]  And then you can worry about hunger in the Congo or whatever else needs to happen in the Darfur or in other places.
[00:51:25.897 --> 00:51:30.258]  And so I don't think that you're saying, necessarily, that that life... Charity begins at home.
[00:51:30.478 --> 00:51:30.939]  Exactly.
[00:51:30.979 --> 00:51:33.800]  And that's not saying that that life abroad is any less
[00:51:34.580 --> 00:51:42.926]  Valuable inherently and so when you say like the globalist view is that all it's saying is that all life is Equal wherever it is on earth.
[00:51:42.986 --> 00:51:49.710]  It's not like I think the view an alternative view is countering that There's also just a separate place in terms of where you're situated.
[00:51:50.231 --> 00:51:52.812]  Where's your obligations right is as a father?
[00:51:52.852 --> 00:52:04.080]  It's to your family as a president It's to your country and just because you believe that's the hierarchy of your obligations mean somebody else is the leader of one of those other countries and that's an obligation that they have to but by the way pause this
[00:52:04.900 --> 00:52:11.143]  So, I should have prefaced this, and the crew did a great job cutting this all down to play clips, but we probably should have left the intro in.
[00:52:11.183 --> 00:52:20.647]  They have some mainstream media reporter go, I thought globalism was about world love, and here in America we care about Africans and people, and we need a global government to save everybody.
[00:52:21.883 --> 00:52:22.564]  I don't think so.
[00:52:43.996 --> 00:52:45.077]  Or the world's going to end.
[00:52:45.097 --> 00:52:46.897]  Or we're going to have nuclear war with Russia.
[00:52:47.578 --> 00:52:48.458]  Like they're saying now.
[00:52:48.638 --> 00:52:49.579]  Give us unlimited money.
[00:52:49.599 --> 00:52:50.339]  Let us run things.
[00:52:50.679 --> 00:52:53.000]  Don't take us out of office or the Russians are going to nuke us.
[00:52:53.620 --> 00:52:55.141]  They're the ones threatening all of that.
[00:52:56.742 --> 00:52:58.223]  Now they're all over the news.
[00:52:58.283 --> 00:52:58.743]  Mayorkas.
[00:52:58.863 --> 00:53:00.504]  Oh yeah, terrorists are about to strike.
[00:53:01.864 --> 00:53:02.965]  The FBI director last week.
[00:53:03.025 --> 00:53:03.865]  Oh, terrorists are here.
[00:53:04.285 --> 00:53:05.126]  You brought them in.
[00:53:06.576 --> 00:53:07.737]  Yeah, the border's broken.
[00:53:08.298 --> 00:53:10.880]  You gotta give us a new law to legalize everybody.
[00:53:11.941 --> 00:53:13.002]  That's their fixing the border.
[00:53:13.742 --> 00:53:14.663]  They've just done it by fiat.
[00:53:14.743 --> 00:53:15.784]  Or the terrorists will hit us.
[00:53:15.944 --> 00:53:19.928]  They think we have no memory because they're getting ready for terror attacks, folks, as another October surprise.
[00:53:20.128 --> 00:53:21.709]  But we've said, hey, you're gonna get the blame for it.
[00:53:21.930 --> 00:53:32.239]  So they're like, oh yeah, we'll get ahead of it and say we're actually worried about terror and the border's open and we're really concerned illegal aliens don't come to New York or Chicago or Austin when they're the ones that told them, come here.
[00:53:33.476 --> 00:53:34.997]  When I win the election, Biden said.
[00:53:35.037 --> 00:53:38.560]  When I steal the election, he should have said, immediately surge the border.
[00:53:38.921 --> 00:53:41.002]  Now he's like, oh, the border's broken.
[00:53:42.524 --> 00:53:46.887]  We'll cover it all in a separate subject next hour, but that's what Vivek Ramaswamy was responding to.
[00:53:48.052 --> 00:53:53.016]  From the reporter about, well, globalism is just traveling the world and everybody's friends.
[00:53:53.076 --> 00:53:56.919]  And I go, no, that's a man of the world or an internationalist.
[00:53:57.680 --> 00:53:59.441]  Somebody that's into different countries, different worlds.
[00:54:00.082 --> 00:54:01.143]  That's not what we're talking about.
[00:54:01.163 --> 00:54:02.984]  We're talking about global government.
[00:54:03.244 --> 00:54:03.705]  Finish the clip.
[00:54:04.514 --> 00:54:07.016]  I have too, but that's like a different discussion.
[00:54:08.577 --> 00:54:13.902]  The neoliberals in their own PR, they're the ones doing the worst things on the earth.
[00:54:14.202 --> 00:54:18.665]  They just say, oh, we want global government because we want to give Africa's representation.
[00:54:18.886 --> 00:54:25.771]  Then they lock them down for three years and starve 30 million of them to death and then organize them to flood us as a political underclass.
[00:54:25.791 --> 00:54:29.774]  This is cold-blooded Henry Kissinger, State Department Miranda 200.
[00:54:36.622 --> 00:54:44.490]  What I do believe is black and white is simply if you read a history book you'll see the worst things that humanity have ever done have been done with good intentions.
[00:54:44.530 --> 00:54:47.834]  That's what's so bad about evil acts is that people think they're doing the right thing.
[00:54:48.474 --> 00:54:49.995]  And that's the most dangerous thing about it.
[00:54:50.456 --> 00:54:54.519]  And this idea that they look at all human life as sacred and all the same, I actually disagree.
[00:54:54.559 --> 00:54:59.303]  I think the reason they will prioritize people in a third world country, for example, you'll say it's because they see us as equal.
[00:54:59.683 --> 00:55:02.725]  I think it's because they see us now as spoiled and annoying.
[00:55:02.986 --> 00:55:05.768]  They don't like that we need pensions and living space and healthcare.
[00:55:05.808 --> 00:55:08.870]  They simply want slaves and a robot class and they'll do anything it takes to get it.
[00:55:09.131 --> 00:55:10.412]  And they'll get it from anywhere they can.
[00:55:10.872 --> 00:55:13.314]  And when someone comes along and says, well, my intentions are good.
[00:55:13.734 --> 00:55:14.675]  I'm not interested in that.
[00:55:14.795 --> 00:55:18.058]  Because you can name any Holocaust or any atrocity in history.
[00:55:18.098 --> 00:55:19.580]  The people didn't think they were the bad guys.
[00:55:19.600 --> 00:55:21.201]  They often thought they were the good guys.
[00:55:21.702 --> 00:55:26.266]  And I guess the easy way to look at life is you want to be having as many children as possible.
[00:55:26.306 --> 00:55:31.011]  You want to pray other people do the same and you want those people to enjoy freedom and anyone who's coming along.
[00:55:31.271 --> 00:55:37.553]  Restricting speech, restricting access to certain things, restricting movement, restricting, all they're doing is trying to restrict so they can control.
[00:55:37.893 --> 00:55:41.154]  And nobody in a history book ever who did that either was the good guy.
[00:55:41.214 --> 00:55:43.994]  I think it's very clear to see who's on the right side of history and who isn't.
[00:55:44.454 --> 00:55:45.995]  And I advocate freedom for everybody.
[00:55:46.255 --> 00:55:53.157]  If I had disagreed with absolutely everything Alex said, I'd still be glad he's back on X. And these people can't even handle a different opinion.
[00:55:53.457 --> 00:55:58.558]  Do you think they're going to allow the people who have a different opinion to them to share water or share food or share anything else once they have that?
[00:55:58.578 --> 00:56:10.427]  The reason they don't want another opinion is they want to misrepresent what Elon Musk or Andrew Tate or Vivek Ramaswamy or any of... I'm telling you, they want us silenced so they can lie about what we said.
[00:56:11.028 --> 00:56:12.609]  I agree that with you there.
[00:56:12.729 --> 00:56:20.255]  I think that a lot of the media and a lot of these platforms do want to silence voices because they want their voice to be heard louder.
[00:56:20.555 --> 00:56:22.397]  So yeah, I definitely hear you there.
[00:56:23.958 --> 00:56:25.359]  Because they're monopoly, man.
[00:56:25.399 --> 00:56:26.060]  We're going to go to break.
[00:56:27.352 --> 00:56:28.292]  Jack Passove is coming up.
[00:56:28.312 --> 00:56:31.313]  We're going to talk about the serious, dangerous stuff that's happening next hour.
[00:56:31.754 --> 00:56:34.915]  Please remember, my new book, The Great Awakening, is going right to number one.
[00:56:34.975 --> 00:56:36.775]  It's already number one on a bunch of charts.
[00:56:37.796 --> 00:56:40.597]  It's important as a message to the globalists, plus it funds this operation.
[00:56:40.697 --> 00:56:41.997]  It's twice the length of the last book.
[00:56:42.237 --> 00:56:43.177]  It's full of solutions.
[00:56:43.297 --> 00:56:43.798]  It's amazing.
[00:56:43.818 --> 00:56:47.159]  The Great Awakening, the plan to defeat the globalists and launch the next great renaissance.
[00:56:48.180 --> 00:56:49.641]  InfoWarsTore.com.
[00:56:50.181 --> 00:56:51.562]  Get signed copies of the fundraiser.
[00:56:51.602 --> 00:56:52.423]  I thank those that have.
[00:56:52.443 --> 00:56:54.444]  I want to ask others that want to keep us on air to do that.
[00:56:54.704 --> 00:56:55.625]  That's the action point.
[00:56:56.125 --> 00:56:57.266]  Please go to InfoWarsTore.com.
[00:56:57.286 --> 00:57:00.488]  Get a signed copy or unsigned copy at InfoWarsTore.com.
[00:57:00.548 --> 00:57:02.690]  A signed copy is like $30, $29.
[00:57:03.050 --> 00:57:03.610]  A signed copy is $100.
[00:57:03.650 --> 00:57:05.912]  And that's what it takes to fight the globalists.
[00:57:06.172 --> 00:57:12.096]  We have store-wide free shipping, including on the book, double Patriot points, and X2 is selling out but still discounted.
[00:57:12.476 --> 00:57:15.138]  TurboForce, 10 hours clean energy, back in stock.
[00:57:15.658 --> 00:57:20.323]  So many other great products like Down and Out Sleep Formula, Vitamin Refusion, DNA Force.
[00:57:20.383 --> 00:57:22.405]  It's up to 60% off.
[00:57:22.765 --> 00:57:25.348]  Do your Christmas shopping with us, and we appreciate you.
[00:57:25.368 --> 00:57:27.310]  These are great products that work really, really well.
[00:57:27.330 --> 00:57:31.394]  If you haven't tried X2 or Turbo Force, you really should, but DNA Force is amazing.
[00:57:31.414 --> 00:57:32.054]  They're all amazing.
[00:57:32.455 --> 00:57:33.436]  Infowar Store.
[00:57:34.016 --> 00:57:34.597]  I'm Alex Jones.
[00:57:49.924 --> 00:57:53.387]  Never forget that the answer to 1984 is 1776.
[00:57:54.768 --> 00:57:59.012]  We've come a long way in the fight against tyranny, and it's been listeners and viewers like you that have kept us on air.
[00:57:59.032 --> 00:58:08.961]  That's why we bring you the very best products, so you love them, so you enjoy them, as you come back and get them again and again, so we can stay on the air in the fight against the globalists, because it's viewers like you that keep this operation on air.
[00:58:09.401 --> 00:58:10.002]  And here we are.
[00:58:10.042 --> 00:58:10.923]  Another Christmas is here.
[00:58:11.264 --> 00:58:12.505]  Being the biggest sale of the year.
[00:58:12.966 --> 00:58:13.867]  Storewide free shipping.
[00:58:14.248 --> 00:58:15.289]  Double Patriot points.
[00:58:15.630 --> 00:58:16.791]  Up to 60% off.
[00:58:17.172 --> 00:58:17.873]  Storewide.
[00:58:18.133 --> 00:58:19.855]  My new book, The Great Awakening.
[00:58:20.116 --> 00:58:21.457]  Get a signed or unsigned copy.
[00:58:21.558 --> 00:58:22.218]  It's all there.
[00:58:22.479 --> 00:58:22.919]  X2.
[00:58:23.280 --> 00:58:24.401]  Finally back in stock.
[00:58:24.722 --> 00:58:25.483]  Turbo Force.
[00:58:25.703 --> 00:58:28.424]  Where were you when humanity was fighting for its life?
[00:58:54.505 --> 00:58:59.046]  Where were you when the globals were caught trafficking millions of children for sex slavery worldwide?
[00:58:59.686 --> 00:59:02.627]  Where were you when the New World Order was starting World War III with Russia?
[00:59:03.127 --> 00:59:03.887]  Well, I know where you are.
[00:59:04.207 --> 00:59:08.188]  You're watching and listening to Infowars.com right now, and I salute you and thank you.
[00:59:08.688 --> 00:59:14.550]  And I want to encourage all of you who've been in this fight so long to realize we've reached the critical juncture in the battle now.
[00:59:15.310 --> 00:59:15.711]  I think?
[00:59:30.768 --> 00:59:33.250]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[01:00:17.256 --> 01:00:23.358]  Jack Masov is coming up in a few minutes to talk about the Globalist's plan to trigger wider wars and an election October surprise.
[01:00:23.898 --> 01:00:30.621]  Let's play clip one and then Tristan Tate on AJ's reinstatement for the big Elon Musk massive interview yesterday.
[01:00:30.641 --> 01:00:32.222]  Here's clip one and two, back to back.
[01:00:32.915 --> 01:00:35.296]  This has been the problem since really 2018.
[01:00:36.116 --> 01:00:41.237]  And if Trump hadn't, because people need to remember what the internet was like before Trump won the election.
[01:00:41.317 --> 01:00:54.261]  It really wasn't Trump won the election because you had the head of Google go up there and say on election night at an internal meeting and Alan Bakari at Breitbart has the video on this said, we will not let this happen again.
[01:00:54.901 --> 01:01:02.604]  Big Tech said we will not let a populist uprising take over and put a candidate in office, right?
[01:01:02.784 --> 01:01:05.406]  Left or right, they said they will choose from now on.
[01:01:05.726 --> 01:01:08.047]  And that's when the censorship industrial complex began.
[01:01:08.447 --> 01:01:10.268]  So prior to Alex Jones's
[01:01:11.451 --> 01:01:11.591]  Just
[01:01:27.037 --> 01:01:32.158]  You know, really, you know, seriously violate terms of service, death threats, doxing.
[01:01:32.218 --> 01:01:33.278]  That was pretty much it.
[01:01:33.338 --> 01:01:36.719]  That was pretty much the only thing, or like actually hacking the system was the only thing to get you out.
[01:01:37.219 --> 01:01:44.040]  But when they did that to Alex Jones, it fundamentally changed the way that we operate on social media and the way that we share information.
[01:01:44.201 --> 01:01:50.482]  And up until the point where Elon Musk purchasing Twitter and transforming it now into X,
[01:01:51.602 --> 01:01:55.304]  We have not had the ability to freely share information.
[01:01:55.364 --> 01:01:59.526]  And that's why in the past year, it's basically been about a year and change since he purchased it.
[01:01:59.906 --> 01:02:06.269]  That's why you've suddenly started to see people and not even just on X, but out in the real world, out in normal conversations.
[01:02:06.629 --> 01:02:16.534]  We're finally starting to move past that point of intense censorship, where if you've lived in any country that has an authoritarian regime, you know that the censorship isn't external.
[01:02:16.634 --> 01:02:17.314]  It's internal.
[01:02:17.594 --> 01:02:18.515]  So it's internal.
[01:02:18.555 --> 01:02:19.195]  It's in your mind.
[01:02:19.500 --> 01:02:24.943]  You know you're not allowed to hold certain opinions, you know you're not allowed to say certain things, and so you censor yourself before you speak.
[01:02:24.983 --> 01:02:36.548]  And so, Alex, I just commend you for being able to always walk through these things, to never stop fighting, and then, you know, really, just you have to look at Elon Musk and say thank you for what he has done.
[01:02:36.568 --> 01:02:40.870]  Again, I literally don't say this to sound like I love everybody and I'm this, you know, gracious guy.
[01:02:41.170 --> 01:02:43.031]  This is not about me, it's about all of us.
[01:02:43.471 --> 01:02:46.793]  But once you get censored, and once people are scared to defend you,
[01:02:47.498 --> 01:02:49.960]  They can lie about you, they can attack you, they can demonize you.
[01:02:50.000 --> 01:02:57.747]  But more importantly, I was then used as a tool to scare everybody else and say, look what we did to Alex Jones.
[01:02:58.188 --> 01:03:00.650]  You better behave yourself or we'll Alex Jones you.
[01:03:01.091 --> 01:03:02.532]  We've got Tristan on stage.
[01:03:03.172 --> 01:03:10.099]  Tristan, we've got Alex Jones back on X. We'd love your thoughts on your experience getting censored and congratulations on finally being able to walk free.
[01:03:10.959 --> 01:03:18.803]  My quick thoughts on Alex Jones being reinstated to X. To be fair, today has been the happiest day of my life this year.
[01:03:19.163 --> 01:03:21.244]  And that includes my release from prison.
[01:03:21.925 --> 01:03:25.726]  I feel like Alex Jones is the canary in the coal mine.
[01:03:25.806 --> 01:03:28.668]  As he said, he was the guy who they cancelled first.
