[00:00:00.129 --> 00:00:01.929]  It's Alex Jones.
[00:25:15.627 --> 00:25:21.092]  All the persecution I've gone through, it's not as bad as what happened to Mickey Willis and his family.
[00:25:21.372 --> 00:25:28.068]   Now my grandmother was told, Back in the mid 1950s, my mother was four years old.
[00:25:28.588 --> 00:25:30.690]  She got the first round of the polio shot.
[00:25:31.370 --> 00:25:35.192]  Then they gave her the live polio shot that you take in your mouth.
[00:25:35.953 --> 00:25:39.234]  And her doctor, when she got polio a week later, got paralyzed and almost died.
[00:25:39.635 --> 00:25:41.936]  She lived to 92, though, but was in a wheelchair most of the time.
[00:25:42.576 --> 00:25:43.017]  Tough lady.
[00:25:43.037 --> 00:25:48.600]  She'd get up in crutches and do a lot of work, but usually get in a wheelchair if she was going somewhere because she couldn't walk more than 100 yards with crutches.
[00:25:49.480 --> 00:25:50.761]  It ate up half the nerves in her body.
[00:25:52.371 --> 00:25:56.395]  And the point is, is that her doctor told her, sorry, Benny.
[00:25:56.875 --> 00:25:57.836]  It was Benny Grace Hammond.
[00:25:58.536 --> 00:26:03.120]  Sorry, Benny Grace, you got this from the vaccine, which they now admit.
[00:26:03.801 --> 00:26:07.123]  And now they admit the number one cause of polio worldwide is Bill Gates' vaccine.
[00:26:07.163 --> 00:26:07.804]  That's Reuters.
[00:26:08.204 --> 00:26:08.845]  That's AP.
[00:26:09.125 --> 00:26:11.287]  So what's crazy is this stuff is hidden in plain view.
[00:26:11.307 --> 00:26:15.850]   So we know that great evil, that great depopulation, that great reset, It's happening.
[00:26:15.870 --> 00:26:16.830]  It's been going on a long time.
[00:26:17.190 --> 00:26:17.931]  Shocked the inventor.
[00:26:17.971 --> 00:26:18.871]  Joked about his vaccine.
[00:26:18.891 --> 00:26:20.011]  Gave him a bunch of people polio.
[00:26:20.271 --> 00:26:20.871]  Said, oh, it's okay.
[00:26:20.931 --> 00:26:21.651]  There's too many people.
[00:26:21.891 --> 00:26:22.532]  Look up the quote.
[00:26:23.652 --> 00:26:25.012]  It's even on Boston PBS.
[00:26:25.772 --> 00:26:28.413]  His deputy admitting he did say that and made jokes about it.
[00:26:28.613 --> 00:26:29.773]  Those are quotes in magazines.
[00:26:30.193 --> 00:26:33.354]  You got to read Prince Charles saying he wants to kill the majority of us or Prince Philip.
[00:26:33.974 --> 00:26:35.294]  You got to look this stuff up.
[00:26:36.175 --> 00:26:36.975]  Yeah, there's AP.
[00:26:37.035 --> 00:26:39.595]  More polio cases now caused by vaccine than by wild virus.
[00:26:39.635 --> 00:26:41.956]  Okay, so this isn't a game, all right?
[00:26:43.376 --> 00:26:45.257]  Mickey Willis' brother got killed by these people.
[00:26:45.297 --> 00:26:48.439]  My grandmother got maimed for much of her beautiful life by it.
[00:26:48.679 --> 00:26:49.320]  This is big.
[00:26:49.360 --> 00:26:50.100]  This is serious.
[00:26:50.441 --> 00:26:51.761]  So we know about their great tyranny.
[00:26:51.981 --> 00:26:55.824]  So why have I been calling it for many, many years, the Great Awakening?
[00:26:56.530 --> 00:26:58.091]  And I'm getting a lot of people asking, what does that mean?
[00:26:58.111 --> 00:27:04.957]  Well, there have been a lot of great awakenings throughout history, and they called the Greeks and the Egyptians a great awakening of civilization.
[00:27:04.977 --> 00:27:09.961]  And then you have the Protestant Reformation, they call, you know, as the first great awakening, the second, the third.
[00:27:10.001 --> 00:27:24.092]  Then you had blacks and white abolitionists after that great awakening, the 1700s, the 1800s, saying, we're not going to have human slavery anymore, and leading the fight against slavery, starting in England, against the slave trade worldwide, and then against slavery here in the United States in the Civil War.
[00:27:24.873 --> 00:27:28.275]  And so that was the third great awakening.
[00:27:28.576 --> 00:27:29.516]  But there have been others.
[00:27:29.596 --> 00:27:39.083]  And depending on how you look at it, even before the, quote, first, the 1730s, the big Protestant awakening, you have the great awakening of the beginning of the Renaissance, the Gutenberg Press, and the printing press.
[00:27:39.723 --> 00:27:46.488]  And so I'm not saying this is an anti-Catholic movement, because seeing it as a great awakening, that was against the power and the stagnation of that time.
[00:27:47.048 --> 00:27:52.751]  The Great Awakening today is about fighting the New World Order and the entire globalist program and bringing a new renaissance.
[00:27:52.772 --> 00:27:54.012]  So Kent Heckenliebly is here.
[00:27:54.032 --> 00:27:58.715]  I'm not going to go over his whole bio, but he is a prolific writer, a top writer.
[00:27:59.075 --> 00:28:00.776]  Kentheckenlieblybooks.com.
[00:28:01.016 --> 00:28:02.858]  He's written so many, I won't even try to go over them all.
[00:28:03.178 --> 00:28:05.399]  And he helped me write The Great Reset and The War for the World.
[00:28:05.419 --> 00:28:06.500]  We're working together right now.
[00:28:07.040 --> 00:28:12.941]  Intently, every day, on the new book that we're going to announce here today, and that is The Great Awakening.
[00:28:13.321 --> 00:28:16.282]  And he's here to give you the full breakdown on that.
[00:28:16.422 --> 00:28:18.322]  It's up on InfoWars.com live show feed.
[00:28:18.582 --> 00:28:22.963]  The Great Awakening, defeating the globalists and launching the next great renaissance.
[00:28:23.343 --> 00:28:32.325]  He's got a bunch of other points he wants to go over as well, but for anybody wondering where The Great Awakening came from, that is a term used in association for over 500 years with the renaissance.
[00:28:32.365 --> 00:28:33.525]  It is not a cue thing.
[00:28:34.026 --> 00:28:35.706]  I noticed the cue cards are out there.
[00:28:36.526 --> 00:28:40.930]  Attacking Mickey Willis in his movie saying, you know, oh that's something JFK Jr.
[00:28:40.970 --> 00:28:42.752]  invented and all this cuckoo land stuff.
[00:28:43.072 --> 00:28:45.734]  Great Awakening means the fight against tyranny.
[00:28:45.794 --> 00:28:47.095]  Humanity waking up.
[00:28:47.436 --> 00:28:48.357]  The Renaissance.
[00:28:48.957 --> 00:28:49.558]  I don't own it.
[00:28:49.678 --> 00:28:50.438]  You don't own it.
[00:28:51.359 --> 00:28:52.080]  No one owns it.
[00:28:52.160 --> 00:28:55.262]  It's about us waking up and saying no to the system.
[00:28:55.283 --> 00:28:57.765]  That's why I just gave you some background on what the Great Awakening means.
[00:28:57.785 --> 00:29:02.846]   And that's why, without even thinking, Six months ago, five months ago, we had the idea for The Great Awakening.
[00:29:03.187 --> 00:29:06.392]  Mickey Willis was in there a few months ago saying, please help me promote my new film, The Great Awakening.
[00:29:06.653 --> 00:29:07.695]  We're not in competition.
[00:29:07.975 --> 00:29:09.538]  We're all in The Great Awakening.
[00:29:10.018 --> 00:29:11.962]  It's our movement, ladies and gentlemen.
[00:29:12.162 --> 00:29:13.083]  The human movement.
[00:29:13.817 --> 00:29:15.297]  A quest for a pro-human future.
[00:29:15.577 --> 00:29:17.338]  So Kent, congratulations on all your great work.
[00:29:17.378 --> 00:29:18.498]  Incredible premiere last night.
[00:29:18.738 --> 00:29:25.460]  We should probably talk some about that and then get into just what this renaissance book means to you.
[00:29:26.020 --> 00:29:33.882]  And we're going to talk about your book, The Plague of Corruption, that helped lead to Mickey Willis' first pandemic film and just so much of this renaissance we've seen.
[00:29:33.902 --> 00:29:36.763]  Yeah, so it's really great to be here, Alex.
[00:29:36.963 --> 00:29:44.946]   And I think we got to take a moment and celebrate Chuck Todd's resignation from Meet the Press.
[00:29:45.106 --> 00:29:45.406]  Yes.
[00:29:45.727 --> 00:30:24.851]   Chuck Todd has been my nemesis because on May 17, 2020, when this book, Plague of Corruption, and Mickey Willis's 26-minute plannedemic video that I wrote the opening narrative for was screaming up the charts, Chuck Todd did an unconscionable five-minute segment Where he never mentioned the name of the book but he talked about conspiracy theories and he talked about this book and this video and he had somebody on from the Stanford Research Institute talking about the kindling of conspiracy theories.
[00:30:25.291 --> 00:30:33.498]   So I think Chuck Todd is one of the most reprehensible People in all of broadcasting and I celebrate his resignation.
[00:30:33.738 --> 00:30:38.724]  I hope he goes and spends time with his family and never shows his face again in public.
[00:30:38.784 --> 00:30:42.187]  So we got to celebrate the victories when they come, Alex.
[00:30:42.227 --> 00:30:43.469]  Well, they're all dropping like flies.
[00:30:43.509 --> 00:30:46.692]  I mean, populist pro-human media is exploding despite censorship.
[00:30:47.586 --> 00:30:49.788]  And then everything they do turns to pure crap.
[00:30:49.828 --> 00:30:55.192]  I mean, CNN has 100,000 viewers on average now, and they have headlines about, can it be revived?
[00:30:55.412 --> 00:30:56.353]  No way, it's over.
[00:30:56.874 --> 00:30:58.695]  It's, it's, it's, it's, they've lost.
[00:30:59.095 --> 00:31:06.821]  Yeah, and you know, one of the books that I wrote was called, This Was CNN, with Project Veritas whistleblower, Kerry Porch.
[00:31:07.062 --> 00:31:12.126]  And Kerry Porch entered CNN as a Bernie Sanders supporter.
[00:31:12.646 --> 00:31:18.989]   And the first job that he went and worked The first job that he went and worked was the Charlottesville riots.
[00:31:19.449 --> 00:31:50.057]   And so he saw what President Trump had said, and then he saw how CNN just completely changed the meaning, cut it up, edited it, and he went from a Bernie Sanders supporter to working for Project Veritas, Showing all of the bias at the at CNN and what we did in our book was we also found that more than 21 top employees at CNN had intelligence experience.
[00:31:50.077 --> 00:31:58.739]  So when you wonder why the news that you're getting doesn't seem to reflect reality, I always say, you know, you're getting the intelligence news network.
[00:31:58.820 --> 00:32:00.620]  That's what's happening with our media.
[00:32:00.680 --> 00:32:08.207]  We confirmed that when they started it in the early 1980s, it was CIA-funded, run, and used military satellites from the beginning.
[00:32:08.708 --> 00:32:09.849]  So that's how they were able to do it.
[00:32:09.909 --> 00:32:12.511]  There were not TV satellites for that type of thing for cable then.
[00:32:12.771 --> 00:32:13.953]  They used Pentagon satellites.
[00:32:14.153 --> 00:32:28.643]   Yeah, and you know, another thing that we found out was that they have this incredible digital intelligence group of more than 220 employees, and when I talked to top experts in the digital world, they said they should only have like
[00:32:28.643 --> 00:32:30.262]  20 or 30 of these people.
[00:32:30.262 --> 00:32:38.182]   Why do they have this digital intelligence group which is led by people who have military experience,
[00:32:38.182 --> 00:32:44.103]   you know, computer cyber warfare experience, you know, what is going on with the news media,
[00:32:44.103 --> 00:32:50.103]   the news media, so much of it can only be seen as an extension of the intelligence state.
[00:32:50.103 --> 00:32:55.462]   And again, Obama legalized two years in his office through congressional legislation,
[00:32:55.462 --> 00:32:58.902]  lying to the American people using domestic propaganda.
[00:32:59.077 --> 00:33:00.259]  We're going to skip this break, guys.
[00:33:01.240 --> 00:33:01.460]  Yeah.
[00:33:01.820 --> 00:33:02.401]  Yeah.
[00:33:02.461 --> 00:33:05.925]  So, yeah, Alex is called the Global Engagement Center.
[00:33:05.945 --> 00:33:12.492]  Now, this is what the government does when they want to pass something which is, you know, inconceivable.
[00:33:12.532 --> 00:33:25.433]   They give it some Fun little name like who doesn't want a global engagement center but you go and you look at the the details behind it and you find out that it allows them to lie to the people of the United States.
[00:33:26.154 --> 00:33:31.296]  The first iteration of it had all of these figure out who is really in charge of warp speed.
[00:33:31.716 --> 00:33:42.345]   It really seemed like the Big pharma representatives were telling the intelligence agencies and the government scientists what to do.
[00:33:42.445 --> 00:33:44.087]  So, I mean, that's an insider.
[00:33:44.107 --> 00:33:48.451]  And you know, I asked him a lot of tough questions about, you know, what do you think was going on?
[00:33:48.711 --> 00:33:50.473]  You know, why did Trump not do this?
[00:33:50.493 --> 00:34:01.662]   And he said, you know, even in the inside, they were saying, you know, that he they they speculated that There were threats against Trump's children, against Trump himself.
[00:34:02.062 --> 00:34:09.505]  Well, in December of 2019, they had the emergency UN meeting in Switzerland of the UN body over vaccines.
[00:34:09.725 --> 00:34:10.945]  And the deputy head of the WHO.
[00:34:11.265 --> 00:34:13.126]  And she said, hey, our doctors are faltering.
[00:34:13.426 --> 00:34:14.887]  The shots worldwide are killing people.
[00:34:14.947 --> 00:34:16.527]  The polio shots are killing people.
[00:34:16.727 --> 00:34:17.708]  We showed AP earlier.
[00:34:17.948 --> 00:34:19.328]  And she said, we've got to do something.
[00:34:19.568 --> 00:34:20.809]  We're not testing any of this.
[00:34:20.909 --> 00:34:22.409]  Big Pharma tells us what to do.
[00:34:22.669 --> 00:34:23.470]  We're not in charge.
[00:34:24.250 --> 00:34:35.477]  As she was speaking, they'd already released COVID to create such a new big story, it would cover up the fact that the UN itself, and I made a big deal about this in December 2019, now three and a half, four years ago.
[00:34:35.957 --> 00:34:38.499]  And we made a huge deal here, but no one paid attention to it.
[00:34:39.339 --> 00:34:44.343]  It's a two-day conference with the head of the vaccine program saying, we don't know what's in it.
[00:34:44.403 --> 00:34:46.724]  This is before, before the mRNA.
[00:34:47.344 --> 00:34:50.867]  So they were collapsing at that point, so they had to have a bigger crisis.
[00:34:51.647 --> 00:34:53.754]  To cover up the last crisis, that's my concern.
[00:34:54.155 --> 00:34:56.342]  Now they're seeing a new virus is coming, they're getting ready for the next one.
[00:34:56.603 --> 00:34:57.065]  That's why...
[00:34:58.071 --> 00:35:00.071]  This war against tyranny is so important.
[00:35:00.071 --> 00:35:05.071]   And so pre-sales of a book are critical to how many stores pick it up, how big it goes.
[00:35:05.071 --> 00:35:07.071]   The last book that we co-wrote together, you knocked it out of the park.
[00:35:07.071 --> 00:35:08.071]  We did a lot of research.
[00:35:08.071 --> 00:35:11.071]  This one's going to be even more powerful, thicker, longer.
[00:35:11.071 --> 00:35:15.071]   The globalist plan, the current information, but then how to stop them.
[00:35:15.071 --> 00:35:20.071]   That's why it's The Great Awakening, defeating the globalists and launching the next great renaissance.
[00:35:20.071 --> 00:35:23.071]   I'd say 60 percent of the book is the history, the enemy, what they did, what they're doing,
[00:35:23.071 --> 00:35:27.071]   what they're going to do, and the rest is solutions and the power we have to counter them.
[00:35:27.071 --> 00:35:31.351]   counter them, but I'm telling you, the end of the last pandemic, as I predicted.
[00:35:30.816 --> 00:35:35.245]  I said within a month they'll announce they ended it to declare victory so they can tell you another one's coming.
[00:35:35.585 --> 00:35:36.908]  Exactly as I said, Ted Rose.
[00:35:37.776 --> 00:35:41.458]  Heather W. H. O. One month later came out and announced victory did a great job.
[00:35:41.478 --> 00:35:42.119]  Let us be in charge.
[00:35:42.159 --> 00:35:44.860]  The next one and the next was gonna be much bigger and target Children.
[00:35:45.120 --> 00:35:50.364]  They talk to you like you're an idiot, like you're been hypnotized so that when it happens, you think, Oh, they're so smart.
[00:35:50.664 --> 00:35:51.784]  They know exactly what's happening.
[00:35:51.844 --> 00:35:57.488]  No, they tell you what's happening in Operation Lockstep and the rest of it because they're executing it and they get caught.
[00:35:57.908 --> 00:35:59.109]  They say, Oh, it's just a drill.
[00:35:59.409 --> 00:36:00.310]  It's just a tabletop.
[00:36:00.370 --> 00:36:05.493]  No, it's a manual, an attack profile on how they're executing an operation like a bombing run.
[00:36:05.913 --> 00:36:07.014]  That's what attack profile is.
[00:36:07.974 --> 00:36:16.056]  We're sitting here looking at this, and it is, again, beyond critical to understand that we're in an information war and that we've had major victories.
[00:36:16.076 --> 00:36:17.757]  We've got major beachheads, but now is the time.
[00:36:18.037 --> 00:36:20.437]  So go to InfoWars.com.
[00:36:20.717 --> 00:36:23.018]  Under the live show feed, there's a link to Amazon.com.
[00:36:23.358 --> 00:36:25.318]  Get The Great Awakening, my new book.
[00:36:25.698 --> 00:36:26.679]  The book, I would say, is what, 80% done?
[00:36:26.699 --> 00:36:26.779]  Yep.
[00:36:28.260 --> 00:36:29.881]  And we're going to be working to more today, tomorrow.
[00:36:29.901 --> 00:36:30.621]  We're working over the phone.
[00:36:30.641 --> 00:36:31.621]  We talk all the time.
[00:36:32.021 --> 00:36:33.982]  And it's been so collaborative.
[00:36:34.142 --> 00:36:36.043]  And he takes what I say to him.
[00:36:36.063 --> 00:36:36.923]  He records interviews.
[00:36:37.283 --> 00:36:38.483]  He goes and vets it and checks it.
[00:36:38.503 --> 00:36:45.266]  And I'm not bragging, but I think you said like 95%, 98% of what I've told you, you found word for words, but accurate.
[00:36:45.506 --> 00:36:48.987]  Sometimes I kind of conflate things, but you're helping me get it right.
[00:36:49.367 --> 00:36:51.790]  Yeah, I call myself the Alex Jones bird dog.
[00:36:52.491 --> 00:36:58.217]  You shoot the thing and I run into the tall grass to see if I can find it and 95-98% of the time it's there.
[00:37:00.039 --> 00:37:02.422]  What are some of the things you couldn't find and I'll guarantee I can dig them out?
[00:37:04.921 --> 00:37:06.482]  Uh, the flea story.
[00:37:06.502 --> 00:37:10.245]  Well, that one I said to you, no one's sure if this is accurate, but it's a good allegory.
[00:37:10.265 --> 00:37:12.647]  Yeah, it's a great allegory.
[00:37:12.827 --> 00:37:15.169]  So that was it.
[00:37:15.229 --> 00:37:29.619]  When you're talking about chickens and hawks flying over and never having seen a hawk before and they get scared, I was able to find research about that on ducks, but not on chickens.
[00:37:29.719 --> 00:37:32.001]  So, very minor differences.
[00:37:32.601 --> 00:37:34.022]  And I forget the rat study.
[00:37:34.482 --> 00:37:35.183]  What's the famous rat study?
[00:37:35.203 --> 00:37:36.103]  Oh, the mouse utopia.
[00:37:36.143 --> 00:37:37.664]  The mouse utopia is awesome.
[00:37:37.684 --> 00:37:38.245]  And that's in there?
[00:37:38.485 --> 00:37:39.265]  Oh yeah, 100%.
[00:37:39.305 --> 00:37:42.127]  Because the globalists, that's their model for us.
[00:37:42.447 --> 00:37:43.288]  That is terrifying.
[00:37:43.788 --> 00:37:44.108]  Explain it.
[00:37:44.128 --> 00:37:47.971]  They create the artificial utopia, and then what, four or five generations, we all extinct each other.
[00:37:48.351 --> 00:37:53.894]  Well, in the mouse utopia, what they do is they basically remove any stresses from the mice.
[00:37:54.134 --> 00:38:00.857]  So, you know, there's no predation going on, and so what happens, but there's overcrowding.
[00:38:01.278 --> 00:38:06.580]  And the overcrowding seems to drive some of the mice to become hermits.
[00:38:09.002 --> 00:38:13.708]  What will happen is usually that they're usually in a regular rat colony.
[00:38:13.768 --> 00:38:15.530]  There are alpha males.
[00:38:15.890 --> 00:38:19.594]  And so the alpha males then have access to their breeding harem.
[00:38:19.935 --> 00:38:28.845]  But because everybody's together, what happens is those who fail to mate keep fighting with the alpha.
[00:38:28.865 --> 00:38:33.825]   because in a usual colony those who lose will leave. So the alpha males are too
[00:38:33.825 --> 00:38:38.964]   stressed out, they don't breed with the females, so the colony starts to die.
[00:38:38.964 --> 00:38:44.105]   You have some of these really strange, and I'm trying to think of exactly the
[00:38:44.105 --> 00:38:49.665]   expression they use, "Pedophilia, transgenderism, it all happens."
[00:38:47.969 --> 00:38:58.475]  Well, they've got these mice who are constantly preening themselves and looking beautiful, and then the females come up to them, but these males don't want to breed.
[00:38:58.795 --> 00:39:02.518]  And so you find yourself saying, well, what the hell is going on?
[00:39:02.658 --> 00:39:12.424]  So much of what we see in society, I mean, with the transgenderism and so many of these other things, and you know, the young people not getting married, not having kids.
[00:39:12.464 --> 00:39:14.505]  Not wanting to learn how to drive a car, that's just sitting there.
[00:39:14.645 --> 00:39:15.466]  Not having sex?
[00:39:15.666 --> 00:39:16.828]  You know, I'm sorry.
[00:39:17.148 --> 00:39:20.452]  You know, something's going on.
[00:39:21.733 --> 00:39:26.699]  And it's questionable whether our society is actually heading towards species collapse.
[00:39:26.759 --> 00:39:33.318]   And for folks who don't know, you say you're a big science writer and a bestselling author
[00:39:33.318 --> 00:39:34.318]  and a science teacher.
[00:39:34.318 --> 00:39:36.239]  I call that a scientific mind.
[00:39:36.239 --> 00:39:37.239]  You say I'm not a scientist.
[00:39:37.239 --> 00:39:40.918]   But looking at this, from the science I've read, I'm not a science either, but I've read
[00:39:40.918 --> 00:39:45.958]   a lot about it, rats medically, if they give us drugs, give them, are more accurate to
[00:39:45.958 --> 00:39:48.998]   give them drugs to see the effect than say a chimpanzee that they claim we're closer
[00:39:48.998 --> 00:39:49.998]  to.
[00:39:49.998 --> 00:39:50.998]  We're also very close to pigs.
[00:39:50.998 --> 00:39:53.277]  That's why we can get pig hearts that are rejected.
[00:39:53.277 --> 00:39:57.637]   So we know in behavior and everything, we're very close to rats and now real society is
[00:39:57.637 --> 00:40:02.878]   marrying these 1960s, 70s and 80s rat studies and my studies that were duplicated.
[00:40:02.878 --> 00:40:03.878]  Yeah, yeah.
[00:40:03.878 --> 00:40:05.478]  It's 100 percent.
[00:40:05.478 --> 00:40:07.438]  And so that's just some of what's in.
[00:40:07.438 --> 00:40:17.438]  [BLANK_AUDIO]
[00:40:08.700 --> 00:40:15.462]  The new book, The Great Awakening, you can find it at Amazon.com, and normally I, you know, whatever, business doesn't matter.
[00:40:15.742 --> 00:40:17.863]  The point is, it's the real New York Times bestseller list.
[00:40:18.163 --> 00:40:25.706]  So yes, the book that I co-wrote with Kent Hecken-Lively, The Great Reset and The War for the World, did go to number one for about two weeks on the New York Times.
[00:40:25.726 --> 00:40:27.286]  But they said, we choose not even list it.
[00:40:27.847 --> 00:40:31.828]  If they would have listed it, it would have got picked up more places and sold more, but that's okay, it was still a bestseller.
[00:40:32.308 --> 00:40:34.029]  And it was in the top of the charts for six months.
[00:40:34.309 --> 00:40:37.650]  You can still get a copy of it or sign copy of it at InfoWareStore.com.
[00:40:37.870 --> 00:40:42.051]  But the only place to get this in pre-order right now is Amazon.com.
[00:40:42.351 --> 00:40:43.392]  We'll put it back on screen.
[00:40:43.412 --> 00:40:45.672]  It is the Great Awakening, ladies and gentlemen.
[00:40:45.692 --> 00:40:46.313]  You need to get it.
[00:40:46.733 --> 00:40:50.514]  The Great Awakening, defeating the globalists and launching the next great renaissance.
[00:40:50.854 --> 00:40:56.216]  And you better believe once this goes to number one again, there'll be 20 other titles of the same name, which I want.
[00:40:56.556 --> 00:41:02.338]  Because The Great Awakening belongs to everyone that wants to have a free, open, powerful, pro-human society.
[00:41:02.358 --> 00:41:03.938]  But Kent, you were excited about the last book.
[00:41:04.298 --> 00:41:05.839]  You are really excited about this one.
[00:41:06.139 --> 00:41:10.800]  We were already past 300 pages weeks ago, and we've decided, how long is this baby going to be?
[00:41:10.820 --> 00:41:11.640]  Because we're adding pages every day.
[00:41:11.660 --> 00:41:12.881]  Yeah, so I think it's going to be 275, 300 pages.
[00:41:12.901 --> 00:41:13.301]  But we're already at 300.
[00:41:13.281 --> 00:41:17.281]  Yeah, so I think it's going to be 275, 300 pages.
[00:41:17.281 --> 00:41:18.281]  But we're already at 300.
[00:41:18.281 --> 00:41:19.281]  You going to cut some out?
[00:41:19.281 --> 00:41:20.281]  [LAUGHS]
[00:41:20.281 --> 00:41:21.281]  I--
[00:41:21.281 --> 00:41:23.681]  The publisher's giving us trouble.
[00:41:22.786 --> 00:41:24.349]  The publisher's not giving us trouble.
[00:41:24.729 --> 00:41:26.011]  I don't think we'll have any trouble with that.
[00:41:26.031 --> 00:41:26.512]  I think we should.
[00:41:26.532 --> 00:41:27.513]  We were at 300 a week or so ago.
[00:41:27.333 --> 00:41:30.992]  You were at 300 a few days, a week or so ago.
[00:41:30.992 --> 00:41:33.632]  240 probably.
[00:41:33.632 --> 00:41:36.552]   Well I thought, I guess you were telling me on the phone it's going to be longer because
[00:41:36.552 --> 00:41:38.032]  I've been giving you so many recordings.
[00:41:37.991 --> 00:41:40.754]  Yeah, so the first book was 55,000 words.
[00:41:40.915 --> 00:41:41.876]  I'm at 75,000 right now.
[00:41:42.256 --> 00:41:43.478]  I'm expecting it to go probably 80,000.
[00:41:43.318 --> 00:41:48.418]   right now I'm expecting it should go probably 80,000. Okay so that's so it is
[00:41:48.418 --> 00:41:55.557]   bigger I just got the okay size yeah there's so much that way you know it
[00:41:53.833 --> 00:41:57.774]  What is so amazing about this book is it feels like it's writing itself.
[00:41:58.394 --> 00:42:10.056]  In going to see The Great Awakening, Mickey Willis' film, here I have been in this world for 15 years and I'm learning things that I did not learn.
[00:42:10.396 --> 00:42:23.946]   And so every day as I'm working on this book I'm learning new things and I think it's just going to be great for people to read and You know, I think reading is a different experience than a show or video.
[00:42:24.287 --> 00:42:32.657]   And so I'm really hoping that, you know, I heard this joke the other day that, you know, people saying, Don't do your own research.
[00:42:33.258 --> 00:42:36.599]  And this comedian said, didn't that used to be called reading?
[00:42:37.659 --> 00:42:41.040]  Oh yeah, that was the New York Times and a bunch of the publications said, do not.
[00:42:41.660 --> 00:42:43.201]  That was, what's that guy's name?
[00:42:43.241 --> 00:42:44.161]  Charlie Worzel.
[00:42:44.621 --> 00:42:46.442]  He wrote an article saying, do not do your own research.
[00:42:46.482 --> 00:42:47.342]  It's bad and dangerous.
[00:42:47.402 --> 00:42:53.645]  I mean, folks, you're in a cult when somebody says, don't question, don't go outside the building and don't look up at the stars.
[00:42:53.745 --> 00:42:54.725]  You know, don't read a book.
[00:42:54.825 --> 00:42:56.425]  I mean, you're in a freaking cult, man.
[00:42:56.485 --> 00:42:57.126]  Yeah.
[00:42:57.226 --> 00:43:03.818]   So the comedian was saying something like, so if you go to buy a car, Are you going to do some research on it? Or is your buddy
[00:43:03.818 --> 00:43:06.967]   going to say, "Hey, don't do research on the car." And then you'll go, "Well,
[00:43:06.967 --> 00:43:08.728]  how do I find out about the car?"
[00:43:08.728 --> 00:43:12.007]   And he says, "Well, ask the salesman, because he's the expert."
[00:43:12.007 --> 00:43:15.688]  And that's what Neil deGrasse Tyson said.
[00:43:15.688 --> 00:43:21.048]   And so what I'm really hoping with, you know, the- Hold on, hold on.
[00:43:21.217 --> 00:43:22.578]  Listen, we're going to go into the next hour.
[00:43:22.678 --> 00:43:25.740]  Judy, Mike, your favorite person is going to be in here, one of my favorite.
[00:43:25.840 --> 00:43:27.341]  We're going to talk about everything.
[00:43:27.381 --> 00:43:28.602]  We'll talk about that coming up.
[00:43:28.862 --> 00:43:30.883]  But I'm going to get in trouble if I don't fund InfoWars.
[00:43:31.263 --> 00:43:32.284]  InfoWarsStore.com.
[00:43:32.344 --> 00:43:34.365]  I got chewed out just a few days ago.
[00:43:34.385 --> 00:43:35.205]  I wasn't bringing enough money in.
[00:43:35.245 --> 00:43:36.206]  Plus, these are great products you need.
[00:43:36.446 --> 00:43:37.507]  You wanted to plug RainForce.
[00:43:37.527 --> 00:43:38.207]  Do you like RainForce?
[00:43:41.862 --> 00:43:42.963]  My name is Ken Heckenlabbey.
[00:43:43.243 --> 00:43:45.424]  How do I write all the books that I do?
[00:43:45.524 --> 00:43:51.406]  Four books with Dr. Judy Majkowicz, four books with Project Veritas Whistleblowers, and now two books with Alex Jones?
[00:43:51.826 --> 00:43:54.927]  That's because I use BrainForce every day.
[00:43:55.407 --> 00:43:59.869]  I take this and I'm good to go for the next five or six hours fighting the deep state.
[00:44:00.829 --> 00:44:01.529]  All right, we love you.
[00:44:01.549 --> 00:44:02.130]  We'll be right back.
[00:44:02.170 --> 00:44:06.971]  Get your BrainForce Plus, BrainForce Ultra, and TurboForce at InfoWarsTore.com.
[00:44:07.011 --> 00:44:08.272]  We'll be right back with hour number two.
[00:44:10.276 --> 00:44:14.277]  It's been said that my people perish for lack of knowledge.
[00:44:15.038 --> 00:44:17.398]  When Christ said that, we know it's totally true.
[00:44:17.999 --> 00:44:18.719]  Knowledge is power.
[00:44:19.319 --> 00:44:22.180]  It's also been said that God helps those that help themselves.
[00:44:23.240 --> 00:44:27.202]  Well, ladies and gentlemen, it's time to help yourself and help your family and help your community.
[00:44:28.314 --> 00:44:33.195]  If you research the iodine conspiracy and discover that in the U.S.
[00:44:33.355 --> 00:44:41.698]  and in China and many other countries, IQs were dropping, deformities were exploding, the 20s and 30s and 40s, so the governments put iodine in the food.
[00:44:42.138 --> 00:44:52.421]  Not high quality iodine, it was still bound iodine to other elements, it was really cheap iodine, but it boosted IQs, knocked out the infertility, really did great things to stop a lot of the mutations.
[00:44:53.883 --> 00:44:59.852]   Look it up for yourself. Just look up the iodine deficiency on Wikipedia and it's got all the links to the UN, the Lancet
[00:44:59.852 --> 00:45:03.883]   Medical Journal, everything about the number one cause of cognitive disability in the world.
[00:45:03.883 --> 00:45:10.442]   The number one cause of intellectual disability. The number one cause of all these different health problems is lack of
[00:45:10.442 --> 00:45:17.883]   iodine and how these bad halogens that counter and block iodine are purposely putting the food in water.
[00:45:18.300 --> 00:45:19.321]  They even admit that here.
