[00:00:05.739 --> 00:00:07.340]  Hitler took the guns.
[00:44:12.837 --> 00:44:16.000]  Oh, Biden.
[00:44:16.000 --> 00:44:18.081]  Yes.
[00:44:18.081 --> 00:44:19.523]  Wait, wait, you said Biden?
[00:44:19.523 --> 00:44:21.504]  Oh, Biden.
[00:44:21.504 --> 00:44:22.986]  Oh, Biden.
[00:44:22.986 --> 00:44:23.946]  Absolutely.
[00:44:23.946 --> 00:44:25.868]  Absolutely.
[00:44:25.868 --> 00:44:30.092]  So the other thing is you have the repackaging of groups.
[00:44:30.092 --> 00:44:36.337]  So this group may be for abortion or it may be for whatever other human rights cause.
[00:44:36.577 --> 00:44:40.300]  Anybody says they're for human rights, basically they're puppets of the Illuminati, right?
[00:44:40.300 --> 00:44:46.684]  But anytime you have these groups that say it's for human rights, they repackage them and say, well, here's the new grift.
[00:44:46.684 --> 00:44:47.845]  Here's the new thing.
[00:44:47.845 --> 00:44:50.767]  So you were for abortion, now you're for Palestine.
[00:44:50.767 --> 00:44:53.109]  So you're going to see a lot of that too.
[00:44:53.109 --> 00:44:59.233]  And you know, I hate to say it, but there are people who do care about this Palestinian issue, but they're going to be drowned out.
[00:44:59.233 --> 00:45:00.534]  They're going to be co-opted.
[00:45:00.534 --> 00:45:01.735]  They're going to be usurped.
[00:45:01.735 --> 00:45:04.237]  And their issue is going to turn into somebody else's issue.
[00:45:04.617 --> 00:45:06.599]  And then he's going to fundraise for the Deep State.
[00:45:06.599 --> 00:45:07.840]  So you've got to come back.
[00:45:07.840 --> 00:45:08.441]  You're on fire.
[00:45:08.441 --> 00:45:10.463]  I 100% agree with everything you're saying.
[00:45:10.463 --> 00:45:12.705]  The smartest analysis out there.
[00:45:12.705 --> 00:45:16.228]  But I'm really bummed out that you're saying we're 20 points behind the fourth quarter with five minutes to go.
[00:45:17.433 --> 00:45:21.615]  I see that in real-world numbers, but The Awakening's huge.
[00:45:21.615 --> 00:45:27.458]  All the most popular talk shows, from Joe Rogan to Tucker Carlson to you name it, are now anti-New World Order.
[00:45:27.458 --> 00:45:29.399]  That wasn't that way two years ago.
[00:45:29.399 --> 00:45:35.042]  The fact that, whether they're good guys or bad guys, they see it's popular to be anti-New World Order, to me, that's extremely exciting.
[00:45:35.042 --> 00:45:36.803]  I go out in public everywhere.
[00:45:36.803 --> 00:45:38.064]  Nothing but love now, Hotev.
[00:45:38.064 --> 00:45:41.446]  I mean, give me some positive love here, or are we that screwed?
[00:45:42.995 --> 00:45:45.699]  There's a lot to look forward to.
[00:45:45.699 --> 00:45:47.862]  Dana White has been a beacon of hope.
[00:45:47.862 --> 00:45:51.026]  Rogan, yourself, all beacons of hope.
[00:45:51.026 --> 00:45:51.487]  However...
[00:45:52.421 --> 00:45:53.882]  I don't know if it's enough.
[00:45:53.882 --> 00:45:55.042]  You know, I'm trying my best.
[00:45:55.042 --> 00:45:56.483]  You're trying your best.
[00:45:56.483 --> 00:46:00.305]  But we need the second tier of grifters to get on board, right?
[00:46:00.305 --> 00:46:01.845]  We need the Ben Shapiro's.
[00:46:01.845 --> 00:46:03.546]  We need Glenn Beck.
[00:46:03.546 --> 00:46:05.887]  We need Jason Whitlock.
[00:46:05.887 --> 00:46:07.768]  We need them to wake up.
[00:46:07.768 --> 00:46:18.333]  Because Ruben, you know, all these people who are Zionist aligners to take their issues over there.
[00:46:19.412 --> 00:46:20.773]  That's your issue.
[00:46:20.773 --> 00:46:22.194]  That ain't got nothing to do with us.
[00:46:22.194 --> 00:46:26.278]  Stop creating content for us to care about your issues.
[00:46:26.278 --> 00:46:27.118]  No.
[00:46:27.118 --> 00:46:31.022]  We need content about our issues, about something that's taking place today.
[00:46:31.022 --> 00:46:34.845]  They say, uh, Great Thomas Sowell said, there are no such thing as solutions.
[00:46:34.845 --> 00:46:36.006]  All we have are trade-offs.
[00:46:36.006 --> 00:46:42.471]  And right now we are making the hugest trade-off in history, and that is trading our attention for freedom.
[00:46:43.143 --> 00:46:46.108]  You're giving them your attention and they're taking your freedom.
[00:46:46.108 --> 00:46:46.629]  That's right.
[00:46:46.629 --> 00:46:50.715]  Flying a Palestinian flag or an Israeli flag does nothing.
[00:46:50.715 --> 00:46:54.881]  But shopping local and getting control of your school board does.
[00:46:54.881 --> 00:46:56.804]  And supporting media that tells the truth does.
[00:46:57.952 --> 00:46:58.572]  Absolutely.
[00:46:58.572 --> 00:47:00.173]  Russell Brand's got to get on board.
[00:47:00.173 --> 00:47:01.033]  Who else can I call out?
[00:47:01.033 --> 00:47:03.154]  The Quarter Ring, we got to get the Quarter Ring on board.
[00:47:03.154 --> 00:47:04.914]  We need Tim Pool on board.
[00:47:04.914 --> 00:47:05.955]  We need all these people on board.
[00:47:05.955 --> 00:47:08.355]  Hey, Russell Brand did a two-hour interview with me last week.
[00:47:08.355 --> 00:47:09.816]  I hope he airs it this week.
[00:47:09.816 --> 00:47:11.576]  Hadn't aired yet.
[00:47:11.576 --> 00:47:22.500]  In closing, not about myself, but why do you think, I respect your view, I want this for myself, why are they so want me shut down as much as Trump?
[00:47:22.500 --> 00:47:25.221]  They want me shut down, man.
[00:47:26.391 --> 00:47:28.435]  Because you did it on your own.
[00:47:28.435 --> 00:47:31.121]  You didn't do it with a cosign.
[00:47:31.121 --> 00:47:36.652]  You did it outside of their system, which shows that you possess something that
[00:47:37.822 --> 00:47:41.024]  You acquired on your own and didn't acquire with them.
[00:47:41.024 --> 00:47:46.126]  So, since you did it on your own, the only thing that can undo you is you.
[00:47:46.126 --> 00:47:49.448]  For example, when I was coming on this platform today, I went to go promo.
[00:47:49.448 --> 00:47:51.889]  I put the band.video link in there.
[00:47:51.889 --> 00:47:55.591]  It said, this is harmful to viewers of this platform or something.
[00:47:55.591 --> 00:47:58.073]  I'm like, wait, this is harmful?
[00:47:58.073 --> 00:48:00.674]  I thought this was the free speech platform.
[00:48:00.774 --> 00:48:14.563]  I don't know what's going on between you and Elon, but Elon got to get on board too, because it's not a free speech platform if Alex, because like when it comes to free speech, nobody really tests that boundary like you do.
[00:48:14.563 --> 00:48:24.990]  Like sometimes you say some, so if you don't have people who are stretching the boundaries of speech, then what you have is a shrinkage of free speech.
[00:48:25.859 --> 00:48:26.820]  And that's what they want.
[00:48:26.820 --> 00:48:38.454]  They have to take the people who are stretching those boundaries and limit them and try to, you know, keep them on the outskirts and vilify them.
[00:48:38.454 --> 00:48:38.714]  Exactly.
[00:48:38.714 --> 00:48:40.036]  They don't want trailblazers.
[00:48:40.036 --> 00:48:42.338]  And I'm not kissing your ass, but you're absolutely right.
[00:48:42.338 --> 00:48:44.040]  Because I didn't know what answer you'd give, but that's it.
[00:48:45.001 --> 00:48:52.166]  They even said in Pentagon documents and CIA documents in the leak, they said, we don't like Jones because he built his own thing.
[00:48:52.166 --> 00:48:54.488]  That's why they don't like Julian Assange.
[00:48:54.488 --> 00:49:03.494]  And they, like what you've done, they fear any real maverick that they don't control and that they can't put leverage on to shut down and shut up.
[00:49:03.494 --> 00:49:05.435]  And that's why they want a silence.
[00:49:05.435 --> 00:49:07.837]  And I know they've told Elon, I've talked to some of his people, I'll leave it at that.
[00:49:09.974 --> 00:49:11.454]  You think we've shut you down now.
[00:49:11.454 --> 00:49:12.355]  Jones is too far.
[00:49:12.355 --> 00:49:14.895]  And I asked myself, what is it I'm doing?
[00:49:14.895 --> 00:49:21.176]  And it's because in the next big wave that started in the mid-90s, I was the leader of that big wave.
[00:49:21.176 --> 00:49:24.057]  And they thought, well, if we can shut this down, we'll shut it all down.
[00:49:24.057 --> 00:49:25.597]  So I was a beta test of that.
[00:49:25.597 --> 00:49:31.459]  So sorry to bring myself into it, but I wanted to get your view because you got to come on more than twice a year.
[00:49:31.459 --> 00:49:32.079]  We love you to death.
[00:49:32.079 --> 00:49:33.639]  How do people find your great show and everything you do?
[00:49:34.471 --> 00:49:37.314]  Go to HotepJesus.com, best way to find me.
[00:49:37.314 --> 00:49:41.097]  Um, HotepTV on Rumble and HotepJesus everywhere else.
[00:49:41.097 --> 00:49:44.680]  I know you gotta go, 60 second closing comment.
[00:49:44.680 --> 00:49:48.283]  Um, I've been a fan of Alex Jones for years now.
[00:49:48.283 --> 00:49:50.966]  I remember showing somebody, they're like, what do you know about Alex Jones?
[00:49:50.966 --> 00:49:54.709]  I'm like, I've been posting about this dude since like 2010, like what are you talking about?
[00:49:56.283 --> 00:50:01.906]  Force your content creators to cover the important issues.
[00:50:01.906 --> 00:50:07.089]  Stop taking clickbait for the BS issues.
[00:50:07.089 --> 00:50:12.412]  Ask your congressman to support Emmer and his bill against CBDC.
[00:50:12.412 --> 00:50:14.794]  CBDC needs to be talked about.
[00:50:14.794 --> 00:50:16.655]  It is the new wave of enslavement.
[00:50:16.655 --> 00:50:21.057]  If you thought 1913 was bad, wait until you see what they got in store for you.
[00:50:21.057 --> 00:50:21.998]  Thank you for having me, Alex.
[00:50:21.998 --> 00:50:22.698]  Beautiful, sir.
[00:50:22.698 --> 00:50:24.720]  Thank you so much and God bless.
[00:50:24.720 --> 00:50:25.080]  God bless.
[00:50:25.998 --> 00:50:38.641]  Now I want to say something about what he just said, because everything, it's just true, out of all the guests, he's always really good, but today he just was, he hit a grand slam, a hole-in-one, ran the tables like a 100.
[00:50:38.641 --> 00:50:43.682]  And I've rarely done a 100 in like an hour-long show, this hour.
[00:50:43.682 --> 00:50:50.184]  That was a, everything he said was better than I could say it, crystallized, simply to understand.
[00:50:50.184 --> 00:50:53.284]  That was literally as good as it gets.
[00:50:53.284 --> 00:50:55.525]  People should go back to the last 50 minutes of that interview,
[00:50:57.108 --> 00:50:59.949]  What was the last thing he said?
[00:50:59.949 --> 00:51:07.891]  He said, they want you shut down because you did it on your own, and if other people believe they can do it on their own, it's game over.
[00:51:07.891 --> 00:51:11.751]  And then what was the last thing he said after that?
[00:51:11.751 --> 00:51:19.933]  What did he say after that?
[00:51:19.933 --> 00:51:22.194]  We'll talk about that tomorrow.
[00:51:23.473 --> 00:51:28.417]  Because I'm going to take, because I've noticed if something is so big and so important, if I just say it, nobody cares.
[00:51:28.417 --> 00:51:40.047]  But I'm going to take that HOTEP interview, and I'm going to make my entire Ladder with Crowder Friday show, I'm going to do like two hours on the HOTEP interview.
[00:51:40.047 --> 00:51:44.211]  I'm going to start it, stop it, play it, back up what he's saying, I'm going to show documents.
[00:51:45.526 --> 00:51:53.269]  And I'm gonna do, the interview's like 40 minutes with the brakes cut off, and I'm gonna do over an hour around what he said and back up everything he said.
[00:51:53.269 --> 00:51:56.571]  Because when he's saying stuff, it's like, everything he's saying is like dead on.
[00:51:56.571 --> 00:52:02.353]  Not like almost on, it's like when you hit the golf ball and it goes 200 yards into the hole.
[00:52:02.353 --> 00:52:06.295]  Over and over and over again.
[00:52:06.295 --> 00:52:10.116]  But that last thing he said was the most important.
[00:52:10.116 --> 00:52:11.677]  And if you grasp that,
[00:52:13.302 --> 00:52:15.423]  The last thing wasn't him saying, I was a maverick.
[00:52:15.423 --> 00:52:21.808]  That was the most, that was the penultimate, next to top point, was the last thing he said.
[00:52:21.808 --> 00:52:28.732]  That if you understand that, and that's how Easter egg hunts, treasure hunts work.
[00:52:28.732 --> 00:52:30.113]  And I've never been a manipulator on air.
[00:52:30.113 --> 00:52:31.434]  I've been on air almost 30 years.
[00:52:31.434 --> 00:52:32.835]  It'll be 30 years in like two months.
[00:52:37.372 --> 00:52:41.494]  I've learned, like, if something's so big and you just say it, nobody cares.
[00:52:41.494 --> 00:52:43.455]  But if we build it up, you do.
[00:52:43.455 --> 00:52:49.499]  So don't worry if you're not a subscriber at jonescrowder.com, Stephen Crowder, because I'm going to shoot a big two-hour report for Friday.
[00:52:49.499 --> 00:52:55.522]  But tomorrow, I'm going to just answer that last part he said on there.
[00:52:55.522 --> 00:52:57.943]  That last little part he said.
[00:52:57.943 --> 00:53:00.205]  And I'm, like, sitting there going, whoa, that's so important.
[00:53:00.205 --> 00:53:01.285]  I got chills up down my body.
[00:53:01.285 --> 00:53:04.527]  I was like, I'm not going to talk about it because it's too important.
[00:53:07.056 --> 00:53:12.137]  There's a lot of important stuff, folks.
[00:53:12.137 --> 00:53:18.039]  I intellectually study this stuff at least 15 hours a day.
[00:53:18.039 --> 00:53:22.320]  And then I eat, drink, and sleep and dream of stuff.
[00:53:22.320 --> 00:53:30.582]  But I talked about it yesterday and then I was so mad about a lot of stuff going on that I went off the air and
[00:53:33.524 --> 00:53:35.244]  Because it's a paradox.
[00:53:35.244 --> 00:53:41.926]  I don't want to whine about our problems, so when I do it, it's limited, and it's as much as I can do, and that's it.
[00:53:41.926 --> 00:53:49.328]  And I asked the callers, I said, I don't censor your calls and on-screen calls, but today, I am.
[00:53:49.328 --> 00:53:55.229]  I said, do not bring up the woes of InfoWars, because I've already spent too much time on it.
[00:53:56.530 --> 00:53:59.712]  And what Hotep said, a lot of big things here.
[00:53:59.712 --> 00:54:02.713]  Now the biggest thing he said at the end, I'm not going to say it yet.
[00:54:02.713 --> 00:54:14.038]  But the other big thing he said was, they want to shut us down because we can change the subject.
[00:54:14.038 --> 00:54:17.920]  Supporting Ukraine does nothing, whether you're for the Russians or the Ukrainians.
[00:54:17.920 --> 00:54:20.221]  It's just a thing to divert you.
[00:54:20.221 --> 00:54:22.402]  Supporting the Palestinians or Israel does nothing.
[00:54:22.402 --> 00:54:23.403]  It's just a football issue.
[00:54:25.371 --> 00:54:32.673]  And that's what they don't want, is us bringing up issues that are important that they don't want discussed.
[00:54:32.673 --> 00:54:34.174]  And I know it's like, well that's simple.
[00:54:34.174 --> 00:54:35.894]  Of course, exactly!
[00:54:35.894 --> 00:54:37.195]  Truth is self-evident, folks.
[00:54:37.195 --> 00:54:42.597]  I'm not here laying out stuff that's even hard to understand.
[00:54:42.597 --> 00:54:43.937]  That's what's frustrating.
[00:54:43.937 --> 00:54:49.959]  20 million people, according to insurance actuaries plus, that number's a few months old, have died from the shots they know.
[00:54:51.144 --> 00:54:52.665]  I mean, come on, man.
[00:54:52.665 --> 00:54:58.571]  You think they're not about to drop the hammer on everybody?
[00:54:58.571 --> 00:55:02.094]  When they already pulled that?
[00:55:02.094 --> 00:55:03.215]  And I said it three years ago.
[00:55:03.215 --> 00:55:05.177]  I said, the death's gonna be caused by this.
[00:55:05.177 --> 00:55:08.901]  Only way they get away with this is a bunch of wars, economic collapse, and now we're here.
[00:55:12.728 --> 00:55:15.790]  And you know, it's like Rodney Dangerfield said, I can't get no respect.
[00:55:15.790 --> 00:55:16.891]  I got respect from our listeners.
[00:55:16.891 --> 00:55:19.773]  I don't expect a bunch of respect from other people.
[00:55:19.773 --> 00:55:23.876]  I'm just telling you, I expect people to respect themselves.
[00:55:23.876 --> 00:55:28.279]  And let me tell you something.
[00:55:28.279 --> 00:55:29.800]  I don't have a lot of fear.
[00:55:29.800 --> 00:55:33.142]  In fact, I got the opposite.
[00:55:33.142 --> 00:55:36.324]  When I start thinking I fear something, I want to attack it.
[00:55:36.324 --> 00:55:37.845]  But let me tell you something.
[00:55:37.845 --> 00:55:39.726]  I'm shook up.
[00:55:39.726 --> 00:55:41.408]  And if you're not shook up right now,
[00:55:42.355 --> 00:55:47.301]  And if you're not rolling your sleeves up, there's something wrong with you.
[00:55:47.301 --> 00:55:51.967]  Because let me tell you, we are at the crossroads right now.
[00:55:51.967 --> 00:55:57.734]  If we wake up and say no, still stuff's going to be rough as hell.
[00:55:57.734 --> 00:55:58.816]  But we go along with this.
[00:56:00.540 --> 00:56:05.542]  They plan to kill 90% of us in the next decade in their official documents?
[00:56:05.542 --> 00:56:08.804]  You want to sit back and be part of this and watch this?
[00:56:08.804 --> 00:56:11.305]  And a lot of you I know, I used to think everybody was like me.
[00:56:11.305 --> 00:56:15.087]  I thought if we exposed all this evil, everybody would just join us.
[00:56:15.087 --> 00:56:18.889]  No, I've learned in the last five years, no, no, no!
[00:56:18.889 --> 00:56:22.170]  I've been a recruiter for the new world order!
[00:56:22.170 --> 00:56:26.532]  I teach people how this stuff works, and then they decide to join it!
[00:56:26.532 --> 00:56:28.113]  Thinking they're joining the winning team!
[00:56:31.280 --> 00:56:33.243]  So it's all about independent economies.
[00:56:33.243 --> 00:56:34.405]  It's all about freedom.
[00:56:34.405 --> 00:56:38.210]  We have products you need that will enrich your life and they fund the operation.
[00:56:39.215 --> 00:56:48.462]  I need you to go to InfoWarsTore.com and get Ultra 12, the highest quality B12, to get the InfoWars Platinum products, the HHH Max Boost and the 7076 Testosterone Boost and the Pain MD.
[00:56:48.462 --> 00:56:51.285]  I need you to get the water filtration, the air filtration, the storable foods.
[00:56:51.285 --> 00:56:52.486]  You need it all.
[00:56:52.486 --> 00:56:53.526]  It funds the operation.
[00:56:53.526 --> 00:56:57.770]  You could not get better products at lower prices and fund a free operation.
[00:56:57.770 --> 00:56:59.211]  It's a 360 win.
[00:56:59.211 --> 00:57:06.677]  InfoWarsTore.com and get a copy of my book, The Great Awakening, because it's going to be a great awakening that's going to stop this.
[00:57:06.677 --> 00:57:07.658]  And I don't agree with Hotel.
[00:57:08.885 --> 00:57:12.547]  We are in the fourth quarter.
[00:57:12.547 --> 00:57:15.208]  Five minutes left, 20 points down.
[00:57:15.208 --> 00:57:18.010]  But God's watching us for the decisions we make.
[00:57:18.010 --> 00:57:22.352]  It doesn't matter who wins the game, who wins the battle, it matters who wins the war.
[00:57:22.352 --> 00:57:24.253]  But yeah, I actually got to agree with him.
[00:57:24.253 --> 00:57:26.554]  That's why I'm so upset and so pissed.
[00:57:26.554 --> 00:57:28.335]  Because man, I thought we could stop this.
[00:57:28.335 --> 00:57:29.576]  And God told me we couldn't.
[00:57:29.576 --> 00:57:30.636]  It's going to go through.
[00:57:30.636 --> 00:57:33.898]  But it's what happens on the other side that governs it all.
[00:57:35.174 --> 00:57:40.561]  Alright, Michael Yon works with a bunch of reporters that got kidnapped on the Texas-Mexico border.
[00:57:40.561 --> 00:57:41.663]  We're trying to get them on.
[00:57:41.663 --> 00:57:42.885]  He's coming up.
[00:57:42.885 --> 00:57:44.287]  Hour number three straight ahead.
[00:57:44.287 --> 00:57:45.989]  Infowars.com.
[00:57:45.989 --> 00:57:47.070]  Tomorrow's news today.
[00:57:50.009 --> 00:57:56.213]  If you ever take one piece of my advice, it's get a bottle of X2.
[00:57:56.213 --> 00:58:00.896]  It's been sold out for over a year because we wouldn't cut corners and because it's so hard to produce.
[00:58:00.896 --> 00:58:05.279]  We finally have a limited run, back in supply, at infowarestore.com.
[00:58:06.700 --> 00:58:09.762]  So many people have serious issues.
[00:58:09.762 --> 00:58:11.323]  Look at the UN's own numbers.
[00:58:11.323 --> 00:58:17.266]  Billions have cognitive disabilities because they do not have true nascent iodine in their bodies.
[00:58:17.266 --> 00:58:23.310]  Most other iodine is bound to other heavy metals or bound to other elements, so you don't download it.
[00:58:23.310 --> 00:58:26.072]  But this is pure atomic certified
[00:58:27.964 --> 00:58:29.285]  I don't know.
[00:58:49.582 --> 00:58:57.826]  We have not had this many of our best-selling products back in stock in years because of supply chain breakdowns and all the rest of the stuff that's gone on.
[00:58:57.826 --> 00:58:59.207]  And these are game-changing products.
[00:58:59.207 --> 00:59:01.148]  It's like our information's game-changing.
[00:59:01.148 --> 00:59:03.369]  These products are incredible.
[00:59:03.369 --> 00:59:07.131]  And I'm personally glad that these are now back in stock.
[00:59:07.131 --> 00:59:17.717]  All three of the InfoWars Platinum flagship products that have been sold out for months are now back in stock, but a very limited run because we only had a budget to get
[00:59:19.028 --> 00:59:21.329]  3 or 4,000 bottles of each one of these.
[00:59:21.329 --> 00:59:26.811]  We've got 4,000 bottles of the HGH Max Boost that people love so much.
[00:59:26.811 --> 00:59:30.693]  We've got about 4,000 bottles of 1776 Testosterone Boost that just came in.
[00:59:30.693 --> 00:59:34.074]  And we've got about 3,000 bottles of Pain MD.
[00:59:34.074 --> 00:59:38.236]  Incredible natural pain reliever situation.
[00:59:38.236 --> 00:59:44.439]  All three of these are back in stock and they're incredible and they fund our operation at InfoWarsTore.com.
[00:59:51.457 --> 00:59:56.059]  Leading a frontal assault on the lies of the New World Order.
[00:59:56.059 --> 01:00:04.024]  It's Alex Jones.
[01:00:04.024 --> 01:00:08.146]  With all that's going on in the world, I couldn't think of a better person to interview than David Icke.
[01:00:08.146 --> 01:00:10.487]  He joins us in six minutes for the next two hours.
[01:00:10.487 --> 01:00:12.368]  Very honored to have him.
[01:00:13.757 --> 01:00:14.919]  We have certainly been vindicated.
[01:00:14.919 --> 01:00:16.882]  The New World Order is now out in the open.
[01:00:16.882 --> 01:00:18.544]  Here's a key report on the U.S.
[01:00:18.544 --> 01:00:21.208]  government launching the first phases of the central bank digital currencies.
[01:00:27.941 --> 01:00:37.565]  In a recent Time Magazine article, Ray Dalio of Bridgewater Associates Hedge Funds warned that the world is on the brink of disaster.
[01:00:37.565 --> 01:00:42.267]  He came to this conclusion based on current events that haven't happened since the 1930s.
[01:00:42.267 --> 01:00:53.391]  The largest amounts of debt and inflation, the biggest gaps in wealth and values, resulting in the rise of populism on both the left and the right against the elites.
[01:00:53.971 --> 01:00:57.954]  And the greatest international conflict between world powers.
[01:00:57.954 --> 01:01:01.436]  Most importantly, between the US and China.
[01:01:01.436 --> 01:01:08.821]  Peter Ange writes that the easy way out of this mess would be for the elite to proactively shrink in scope.
[01:01:08.821 --> 01:01:14.705]  Get government out of the economy, out of social engineering, and out of propagandizing kids.
[01:01:15.405 --> 01:01:17.727]  But of course, this won't happen.
[01:01:17.727 --> 01:01:31.656]  Common sense and simple observation will tell you that the so-called elites will continue on their path towards economic destruction and world war, which is likely what the international bankers had planned all along.
[01:01:31.656 --> 01:01:38.041]  Let us not forget that the fast-growing BRICS monetary system was born in 2001 out of Goldman Sachs.
[01:01:40.462 --> 01:01:50.926]  In 1971, President Nixon officially ended the gold standard and replaced it with the petrodollar, in which OPEC agreed to price their oil in U.S.
[01:01:50.926 --> 01:01:53.387]  dollars in exchange for U.S.
[01:01:53.387 --> 01:01:55.187]  military protection.
[01:01:55.187 --> 01:01:58.208]  This blood-money deal preserved U.S.
[01:01:58.208 --> 01:02:00.469]  control over the world economy.
[01:02:00.469 --> 01:02:01.469]  But when the U.S.
[01:02:01.469 --> 01:02:08.532]  weaponized the swift payment system against Russia, BRICS became the only viable solution for the rest of the world.
[01:02:09.412 --> 01:02:16.380]  Reuters in New Delhi reported that last May, the State Bank of India rejected Indian Oil Corp.'
[01:02:16.360 --> 01:02:18.102]  's planned payment in U.S.
[01:02:18.102 --> 01:02:20.004]  dollars for Russian oil.
[01:02:20.004 --> 01:02:28.534]  And so they went to a private bank and settled their trade for Russian oil by paying in Yuan to the Bank of China, and have continued to do so since.
[01:02:29.275 --> 01:02:30.216]  A shortage of U.S.
[01:02:30.216 --> 01:02:39.226]  dollars in Argentina has caused commercial banks to allow the Chinese Yuan as a form of currency in savings and checkings accounts.
[01:02:39.226 --> 01:02:50.417]  Argentina has already been issuing securities in the Chinese Yuan and has made a $2.7 billion payment to the International Monetary Fund using the Chinese BRICS currency.
[01:02:51.218 --> 01:02:56.461]  The Federal Reserve Bank's FedNow is scheduled for launch by the end of July.
[01:02:56.461 --> 01:03:06.867]  FedNow is officially an update to the Federal Reserve's payment processing and settlement system and appears to be a backdoor to creating a central bank digital currency.
[01:03:06.867 --> 01:03:15.432]  Private blockchain operator Tessat has partnered with the Federal Reserve's new payment system and will serve as an interface for FedNow.
[01:03:16.212 --> 01:03:29.223]  FedNow will also connect with Metal Blockchain, whose CEO and founder claims will allow banks to prepare for an eventual central bank digital currency, along with bank-issued stablecoins.
[01:03:29.223 --> 01:03:36.189]  The idea of a central bank digital currency is already hugely unpopular with the majority of Americans.
[01:03:36.189 --> 01:03:43.536]  But according to Dale Hauser, it is being set up to destroy alternative blockchain solutions, such as Ripple and Stellar.
[01:03:44.076 --> 01:03:47.258]  And if the powers that be are successful in destroying the U.S.
[01:03:47.258 --> 01:03:59.466]  economy, then the only other option to accepting a CBDC would be some sort of revolution, which would be nearly impossible seeing as how divided the populist movement is within the left-right paradigm.
[01:04:00.535 --> 01:04:13.619]  Last week in China, the World Economic Forum proclaimed that the entire world needs to switch to a central bank digital currency, with expiry dates and restrictions on undesirable purchases.
[01:04:13.619 --> 01:04:29.604]  They proposed using artificial intelligence to censor hate speech and disinformation on the Internet, and using artificial intelligence to control a global social credit system that will involve wearable devices with sensors to monitor everyone's actions.
[01:04:30.644 --> 01:04:41.233]  If we, the people, fail to unite against the powers that be, then their solution will most certainly be world war, depopulation, and total control.
[01:04:41.233 --> 01:04:44.015]  And this is all happening right now.
[01:04:44.015 --> 01:04:47.758]  Reporting for InfoWars, this is Greg Reese.
[01:04:47.758 --> 01:04:52.501]  Ladies and gentlemen, David Icke is live with us in 60 seconds.
[01:04:52.501 --> 01:04:55.444]  Could not have a more important guest at a more important time.
[01:04:55.444 --> 01:04:56.384]  DavidIcke.com.
[01:04:56.384 --> 01:04:56.765]  Stay with us.
[01:05:00.439 --> 01:05:20.129]  Normally Christmas is our biggest sale of the year, but because of supply chain breakdowns and other issues, this is our biggest sale because finally almost all of our best-selling products are finally back in stock, including, sold out for more than a year, X2, the only true nascent iodine out there, is finally back.
[01:05:20.129 --> 01:05:24.711]  What it does for your immune system, your body, all your cells, is miraculous.
[01:05:24.711 --> 01:05:26.652]  It's discounted at FortWorthShore.com.
[01:05:26.652 --> 01:05:28.693]  Double Patriot points, free shipping,
[01:05:29.213 --> 01:05:32.155]  Biggest sale, hands down, of 2023.
[01:05:32.155 --> 01:05:34.896]  I'm sure Christmas will have a big sale, but we'll be sold out of most of this.
[01:05:34.896 --> 01:05:36.777]  So, Christmas has come early.
[01:05:36.777 --> 01:05:38.338]  Black Friday's come early.
[01:05:38.338 --> 01:05:39.699]  And it funds the InfoWar.
[01:05:39.699 --> 01:05:40.899]  Get X2.
[01:05:40.899 --> 01:05:42.761]  Get VazoBeats back in stock.
[01:05:42.761 --> 01:05:47.983]  Get all the other great products at InfoWarStore.com right now.
[01:05:47.983 --> 01:05:48.324]  But again,
[01:05:49.304 --> 01:05:52.085]  Our fan favorite, my favorite, is X2.
[01:05:52.085 --> 01:05:53.566]  Sold out for over a year.
[01:05:53.566 --> 01:05:55.407]  Could be our last run if we're shut down.
[01:05:55.407 --> 01:05:56.488]  Get it while you can.
[01:05:56.488 --> 01:05:57.208]  X2.
[01:05:57.208 --> 01:05:58.989]  Discount at info or store.com.
[01:06:04.224 --> 01:06:12.411]  From the front lines of the Information War, it's Alex Jones.
[01:06:12.411 --> 01:06:13.692]  Well if anybody
[01:06:31.773 --> 01:06:37.494]  In the world has been completely vindicated in his work the last 35 years.
[01:06:37.494 --> 01:06:39.515]  It's David Icke.
[01:06:39.515 --> 01:06:42.876]  And of course myself and a few others are close seconds.
[01:06:42.876 --> 01:06:44.376]  And I wish we hadn't been vindicated.
[01:06:44.376 --> 01:06:47.837]  I wish that our understanding of the world had been wrong.
[01:06:47.837 --> 01:06:49.657]  But now it's all out in the open.
[01:06:49.657 --> 01:06:52.558]  Planetary world government that wants to depopulate us.
[01:06:52.558 --> 01:06:54.438]  Cashless societies.
[01:06:54.438 --> 01:06:59.300]  Takeovers of our bodies with nanotech and electromagnetic radiation.
[01:06:59.300 --> 01:07:00.480]  Open Satanism.
[01:07:02.041 --> 01:07:06.445]  I was just in Omaha to see my wife's father was in the hospital.
[01:07:06.445 --> 01:07:08.706]  They had a gay pride parade come by the hotel.
[01:07:08.706 --> 01:07:09.907]  They were wearing Satan shirts.
[01:07:09.907 --> 01:07:14.090]  I got photos of it, showed you, saying, you know, we're going to get your children.
[01:07:14.090 --> 01:07:18.373]  I mean, this is just so crazy.
[01:07:18.373 --> 01:07:23.397]  The Ukrainian dictator says that the Russians are going to blow up a nuclear power plant this week.
