[00:00:20.370 --> 00:00:26.575]  Send in the clowns.
[00:50:26.264 --> 00:50:39.974]  If there are federal charges, which I'm assuming there will be, trumped up, pardon the expression, federal charges, could any of this possibly all get to trial before the 2024 election?
[00:50:39.974 --> 00:50:42.235]  It would depend on the judge.
[00:50:42.235 --> 00:50:43.276]  If the judge in New York
[00:50:44.100 --> 00:50:50.443]  It does it by the book, then this is a case that could easily not get to trial until after the election.
[00:50:50.443 --> 00:51:01.329]  If, on the other hand, it's a politically motivated judge in New York, then you may see them try to rush the trial to take place long before the 2024 election.
[00:51:01.329 --> 00:51:06.532]  But you're going to have lots of motions to dismiss, motions on discovery, motions for misconduct.
[00:51:06.952 --> 00:51:11.857]  Yeah, you're going to have an unusual number of pre-trial motions in the proceedings.
[00:51:11.857 --> 00:51:24.129]  New York is not known for the speed of their cases progressing through, so I could easily see this case being, you know, end up being in the, during or after the election in terms of the trial.
[00:51:24.129 --> 00:51:29.214]  But if the prosecutor and the court are kind of working hand and foot together,
[00:51:29.734 --> 00:51:31.137]  Then you may see this case.
[00:51:31.137 --> 00:51:35.503]  The quickest I could see it going to trial is six months.
[00:51:35.503 --> 00:51:36.946]  That'd be the quickest.
[00:51:36.946 --> 00:51:38.829]  Normally it'd be 18 months.
[00:51:38.829 --> 00:51:44.678]  So the timing of this appears to be designed to try to have the trial take place during the primaries.
[00:51:47.819 --> 00:51:54.844]  One who's been subjected to an unconstitutional gag order while facing charges.
[00:51:54.844 --> 00:52:01.008]  How troubled are you by the drumbeat in the media that the judge here may gag Trump?
[00:52:01.008 --> 00:52:04.990]  And what would be his recourse if that were to be the case?
[00:52:04.990 --> 00:52:07.092]  I mean, obviously, he could appeal the gag.
[00:52:07.532 --> 00:52:08.073]  We're good to go.
[00:52:21.881 --> 00:52:32.370]  Yes, so if the judge tries to issue any kind of gag order, any kind of prior restraint, it will be clearly unconstitutional and outside the bail authority.
[00:52:32.370 --> 00:52:39.335]  We'll find out quickly what this judge is made of because issues about bail, issues about how the appearance is handled.
[00:52:39.335 --> 00:52:42.057]  There's ways to handle the appearance so that Trump never goes through.
[00:52:42.057 --> 00:52:44.479]  You can do a booking without going into the jail at all.
[00:52:44.479 --> 00:52:46.501]  Do we even know who this judge is yet?
[00:52:47.580 --> 00:52:48.240]  We do not.
[00:52:48.240 --> 00:52:51.722]  We do not know which judge has been assigned to this case.
[00:52:51.722 --> 00:53:00.985]  And sometimes there's one judge assigned for the bail hearing and a different judge for the actual trial in New York, so that they can rotate that depending on how it works.
[00:53:00.985 --> 00:53:09.268]  I represented Amy Cooper, the so-called Central Park Karen, in a New York case recently, and there, if they do it by the book,
[00:53:09.968 --> 00:53:13.190]  They can do it without creating undue problems for the president.
[00:53:13.190 --> 00:53:19.534]  If they don't do it by the book, then they will be exposing how politically corrupted the criminal justice process is.
[00:53:19.534 --> 00:53:31.381]  But if there is any kind of ridiculous bail order or any kind of a ridiculous gag order on Trump, that can be appealed all the way to the New York court system, but also to the United States Supreme Court.
[00:53:31.381 --> 00:53:39.046]  And I think this is somewhere where the US Supreme Court would get involved and prevent this from becoming a complete kangaroo court.
[00:53:39.526 --> 00:53:46.527]  Because you can't prevent, you can't use bogus criminal proceedings to prevent someone from being a candidate for office.
[00:53:46.527 --> 00:53:49.408]  Sure, what about this issue?
[00:53:49.408 --> 00:53:58.850]  Is it correct that in almost all cases, a president can only give people pardons for federal crimes?
[00:53:58.850 --> 00:54:04.651]  So if he's convicted right before the election, could he give himself a pardon in state cases?
[00:54:06.044 --> 00:54:07.925]  No he could not.
[00:54:07.925 --> 00:54:11.647]  That's where this is going to create a constitutional crisis.
[00:54:11.647 --> 00:54:27.717]  If state prosecutors are now going to weaponize their offices to go after the President of the United States or other federal office holders, this creates a major problem because all of a sudden any local DA can take out the President of the United States.
[00:54:28.437 --> 00:54:31.779]  And that's a problem the court skipped over.
[00:54:31.779 --> 00:54:35.662]  They should have dealt with it in Nixon in better ways than they did.
[00:54:35.662 --> 00:54:38.564]  They should have dealt with it in Clinton in a better way than they did.
[00:54:38.564 --> 00:54:41.866]  They skipped it in both cases because of the politics of those cases.
[00:54:41.866 --> 00:54:45.668]  So in the time we have with both of you, let me ask you, and you're going to continue on, Barnes.
[00:54:45.668 --> 00:54:47.109]  Roger, from a political angle,
[00:54:48.326 --> 00:54:52.331]  How do they get away with this when clearly all the cards show it blows up in their face?
[00:54:52.331 --> 00:54:54.674]  Makes Trump become even more popular, already has.
[00:54:54.674 --> 00:54:56.596]  I go back to false flags, staging violence.
[00:54:56.596 --> 00:54:58.859]  That's why we need to be out against violence now.
[00:54:58.859 --> 00:55:04.846]  Do you have any other ways you think they can try to turn this around or in their calculus why they thought it was okay to do this?
[00:55:05.768 --> 00:55:08.250]  Well, in many ways, it's still part of the information war.
[00:55:08.250 --> 00:55:13.913]  Look, they knew in two impeachments that they would never get enough votes in the U.S.
[00:55:13.913 --> 00:55:15.675]  Senate to convict Trump.
[00:55:15.675 --> 00:55:24.740]  But they used the impeachments as a jumping off point to destroy or try to destroy his reputation and his political standing.
[00:55:24.740 --> 00:55:28.143]  A lot of this is designed at that.
[00:55:28.143 --> 00:55:31.285]  The real jury is the one that votes in November of 2024.
[00:55:31.285 --> 00:55:34.547]  And that is what they're desperately afraid of.
[00:55:34.967 --> 00:55:42.035]  So it is why these legal questions and the timing are so crucial to how this unfolds.
[00:55:50.384 --> 00:55:51.885]  He's angry, he's out of control.
[00:55:51.885 --> 00:55:53.966]  All those things are false, Alex.
[00:55:53.966 --> 00:56:07.033]  He is cool as a cucumber, he is resolved, he is feisty, his sense of humor is intact, and he is completely determined to fight.
[00:56:07.033 --> 00:56:07.934]  He loves to fight.
[00:56:07.934 --> 00:56:09.655]  He's got ice water in his veins.
[00:56:09.655 --> 00:56:12.316]  Stonezone.com, Roger, thank you.
[00:56:12.316 --> 00:56:13.217]  Thank you, Alex.
[00:56:13.217 --> 00:56:14.177]  God bless you.
[00:56:14.177 --> 00:56:17.139]  Bars, we're going to break in a minute and a half, but what are you going to be covering coming up?
[00:56:17.139 --> 00:56:18.520]  You'll be riding the shotgun with Dershowitz.
[00:56:19.444 --> 00:56:22.868]  One minute on what's most important right now.
[00:56:22.868 --> 00:56:26.713]  This is unprecedented, unparalleled territory, so uncharted territory.
[00:56:26.713 --> 00:56:37.306]  We are a place where the left is willing to use any power it has to derail constitutional democracy and the rule of law in America.
[00:56:37.990 --> 00:56:44.493]  And so, I mean, what we're facing, I mean, we've never had a situation where a former president has been indicted.
[00:56:44.493 --> 00:56:50.416]  We've never had a situation where the leading opponent of the incumbent administration has been indicted.
[00:56:50.416 --> 00:56:52.337]  This has never happened before.
[00:56:52.337 --> 00:56:54.819]  So this is completely unprecedented.
[00:56:54.819 --> 00:57:01.182]  And it probably is a bit of a weakness in our constitutional system that this wasn't addressed or resolved sooner.
[00:57:01.936 --> 00:57:26.802]  But I think this is, just as Trump exposed the corruption of the FBI, exposed the degree of power of the deep state, exposed the nature of the George Soros and Bill Gates globalist operations, just by his presence triggering their opposition publicly and exposing themselves to the public, Trump is now exposing how dangerously politically weaponized our criminal and civil justice systems really have become.
[00:57:27.122 --> 00:57:28.103]  Perfectly said.
[00:57:28.103 --> 00:57:32.305]  That is the best summation of all the shows and all the information I've seen.
[00:57:32.305 --> 00:57:34.427]  Robert Barnes riding shotgun with us.
[00:57:34.427 --> 00:57:37.809]  And then after I leave, he'll be co-hosting Robert Barnes.
[00:57:37.809 --> 00:57:41.591]  I mean, Google his name, you'll find his popular podcast.
[00:57:41.591 --> 00:57:47.074]  We'll be right back in hour number two with Robert Barnes, myself, Alex Jones, Alan Dershowitz, and more.
[00:57:47.074 --> 00:57:47.595]  Stay with us.
[00:57:50.233 --> 00:57:53.618]  The fight against the New World Order is now the top story in the world.
[00:57:53.618 --> 00:57:55.380]  The globalists are in deep trouble.
[00:57:55.380 --> 00:58:04.492]  But they're striking back with all their deep state operatives to shut down Infowars and other truth tellers like James O'Keefe and Tucker Carlson and countless others.
[00:58:04.492 --> 00:58:06.294]  So please, pray for us now more than ever.
[00:58:06.855 --> 00:58:12.856]  Spread the word about the broadcast and get great products to keep us on air and fund our operation while at the same time enriching your life.
[00:58:12.856 --> 00:58:18.617]  Now we've got three new products available at InfoWarsTore.com and a bestseller back in stock.
[00:58:18.617 --> 00:58:22.698]  We have the amazing Dr. Jones Naturals Turmeric Toothpaste that's so much more.
[00:58:22.698 --> 00:58:24.478]  Find out more at InfoWarsTore.com.
[00:58:24.478 --> 00:58:30.059]  We have the Ashwagandha Root Pills with Black Powder Extract to accelerate your libido, stamina, testosterone.
[00:58:30.059 --> 00:58:33.540]  And we have pure Ashwagandha Gummies at InfoWarsTore.com as well.
[00:58:33.780 --> 00:58:35.582]  These are all the highest quality products.
[00:58:35.582 --> 00:58:37.703]  The prebiotic is now finally back in stock.
[00:58:37.703 --> 00:58:41.427]  They're all there at InfoWarsTore.com, so please take action now.
[00:58:41.427 --> 00:58:44.649]  Enrich your life, empower your body, and keep us on air.
[00:58:44.649 --> 00:58:45.910]  Please take action now.
[00:58:45.910 --> 00:58:47.652]  InfoWarsTore.com.
[00:58:52.208 --> 00:58:58.612]  It's hard to believe that we're already going into March 2023, and the world is an insane place.
[00:58:58.612 --> 00:59:00.353]  World War III has already started.
[00:59:00.353 --> 00:59:02.675]  Biden is a puppet and is dissolving our borders.
[00:59:02.675 --> 00:59:03.835]  There's mass censorship.
[00:59:03.835 --> 00:59:06.037]  James O'Keefe's been removed from Project Veritas.
[00:59:06.037 --> 00:59:08.318]  The list goes on and on of the bad things that are happening.
[00:59:08.318 --> 00:59:12.681]  But the good things that are happening is humanity is really accelerating its awakening.
[00:59:12.961 --> 00:59:16.904]  But those of us on the forefront are under more attack by the establishment than ever.
[00:59:16.904 --> 00:59:25.310]  That's why I'm counting on you to spread the word about the broadcast, to pray for the broadcast, and to keep the broadcast on the air by getting great products at InfoWarshaw.com.
[00:59:25.310 --> 00:59:33.976]  And whether it's a final signed copy, they're almost all sold out, or the great reset in the War for the World, or Ultimate Bone Broth, finally back in stock after over two years, it's all available at InfoWarshaw.com.
[00:59:33.976 --> 00:59:35.597]  These are truly amazing products.
[00:59:35.757 --> 00:59:41.938]  So get your InfoWars products at InfoWarsStore.com and enrich your life while keeping the broadcast on the air.
[00:59:41.938 --> 00:59:51.421]  It is your decision on whether or not we stay on air, so please take action now at InfoWarsStore.
[00:59:51.421 --> 00:59:57.322]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:00:14.221 --> 01:00:22.767]  Alright ladies and gentlemen, I'm really excited to have undoubtedly the top legal scholar in the country joining us in the next segment, Alan Dershowitz, another great legal eagle.
[01:00:22.767 --> 01:00:24.729]  Robert Barnes is riding shotgun with me today.
[01:00:24.729 --> 01:00:26.350]  In fact, he was going to be hosting today.
[01:00:26.350 --> 01:00:35.597]  I have my own court stuff I have to deal with, but I'm going to push it up to the time I've got to be in court in like an hour to talk to Alan Dershowitz about this historic event that's just unfolded.
[01:00:35.597 --> 01:00:41.861]  So Alan Dershowitz is coming up here with us live in five minutes when a couple hundred radio stations join us after this break.
[01:00:41.861 --> 01:00:42.542]  But Robert Barnes,
[01:00:43.122 --> 01:00:53.546]  Give us a prelude of some of what you're going to be talking about after Dershowitz goes, but also just in general of why this is so historic, what we've just witnessed.
[01:00:53.546 --> 01:00:58.668]  Well, I think as Professor Dershowitz has identified, this is all unchartered, unparalleled, unprecedented territory.
[01:00:58.668 --> 01:01:02.390]  This is an attempt to make something, it goes even worse than that.
[01:01:02.390 --> 01:01:08.252]  It's not only the just open, overt, Berea-style political weaponization of our legal criminal justice process.
[01:01:09.132 --> 01:01:13.857]  It also, it does things like define something as a crime that's not a crime.
[01:01:13.857 --> 01:01:21.884]  It ignores statute of limitations that are meant to protect innocent individuals from wayward politically motivated prosecutors in part.
[01:01:21.884 --> 01:01:28.150]  It's violation of due process and it's the most selective prosecution maybe at least in the modern history that I can remember.
[01:01:28.150 --> 01:01:33.134]  There have been many selective prosecutions but this is probably the most abusive and egregious one.
[01:01:33.134 --> 01:01:34.936]  You have a district attorney being elected
[01:01:35.396 --> 01:01:36.137]  We're good to go.
[01:01:52.575 --> 01:01:54.356]  Uh, and yet this one has.
[01:01:54.356 --> 01:01:58.118]  And then, and now we're going to see, how does the justice system handle the bail process?
[01:01:58.118 --> 01:01:59.919]  Do they abuse it too?
[01:01:59.919 --> 01:02:01.560]  The 8th Amendment exists for a reason.
[01:02:01.560 --> 01:02:02.821]  It says no unreasonable bail.
[01:02:02.821 --> 01:02:07.384]  It's supposed to be limited to conditions of release that guarantee appearance at trial.
[01:02:07.384 --> 01:02:11.186]  Not supposed to be used to publicly shame or humiliate people.
[01:02:11.186 --> 01:02:12.467]  Not supposed to be used to
[01:02:12.967 --> 01:02:13.528]  We're good to go.
[01:02:39.510 --> 01:02:43.012]  This is like the Chicago 7 trial on steroids.
[01:02:43.012 --> 01:02:45.313]  It's January 6th on steroids.
[01:02:45.313 --> 01:03:03.660]  It's taking a case that basically should not exist from a criminal proceedings, both because of who it is it's being targeted, who it is it's targeting, but also because of the substantive nature of the claims being made, the charges being leveled, and the limitations that are supposed to be present that are not being present.
[01:03:04.100 --> 01:03:07.162]  So, this goes right to the core of a constitutional democracy.
[01:03:07.162 --> 01:03:11.604]  I mean, people around the world are comparing us to a banana republic.
[01:03:11.604 --> 01:03:17.907]  Our global credibility has taken a substantial hit that will never fully come back.
[01:03:17.907 --> 01:03:22.910]  You know, we mock other countries when they try to lock up their political opponents.
[01:03:22.910 --> 01:03:28.213]  There was a kind of a fake documentary made, but a documentary made on behalf of
[01:03:28.873 --> 01:03:35.057]  That won an Oscar for Navalny, who's a very marginal political figure in Russia.
[01:03:35.057 --> 01:03:39.280]  But it won the best Oscar because he had been locked, just because he'd been locked up.
[01:03:39.280 --> 01:03:42.442]  Even though I think he got no more than like 1% of the vote ever.
[01:03:42.938 --> 01:03:51.124]  Here you have, what signal does it send that we're locking up the former president and leading presidential opponent of the existing incumbent?
[01:03:51.124 --> 01:04:02.071]  Based on completely nonsensical charges that have no basis in fact, no basis in law, no basis in due process, no basis in constitutional restraint on the criminal justice process.
[01:04:02.071 --> 01:04:03.753]  It's just extremely reckless.
[01:04:03.753 --> 01:04:05.394]  Stay there, you're going to ride shotgun with us.
[01:04:05.394 --> 01:04:07.775]  Alan Dersh was really excited about this interview.
[01:04:07.775 --> 01:04:11.098]  On Twitter, Alan Dersh, and of course he's got the new best-selling book.
[01:04:11.918 --> 01:04:38.516]  Get Trump the threat to civil liberties due process our constitutional rule of law number one New York Times best-selling author from Skyhorse Can't wait to get the book I've got one being sent to me by Skyhorse that published my book The Great Reset the War of the World that went to number one for two months number one of New York Times But they would not listen is number one, but number one on all the other systems This is going to go to number one get Trump by Alan Dershowitz perfect timing with this book I got to tell you coming up.
[01:04:38.516 --> 01:04:41.498]  We're back in 60 seconds joining hundreds of radio stations
[01:04:42.118 --> 01:04:44.339]  Everybody, tell your friends and family to tune in.
[01:04:44.339 --> 01:04:51.180]  You're going to hear from arguably, or not arguably, the top lawyer in the United States on what's really happening.
[01:04:51.180 --> 01:04:59.902]  Alan Dershowitz, stay with us.
[01:04:59.902 --> 01:05:05.243]  Ladies and gentlemen, we have a new toothpaste that my dad, a retired dentist and oral surgeon, developed.
[01:05:06.840 --> 01:05:10.864]  Dr. Jones Natural's Turmeric Toothpaste that just came into stock.
[01:05:10.864 --> 01:05:14.127]  And I gotta tell you, I got samples of this months ago and it is amazing.
[01:05:14.127 --> 01:05:18.091]  The way it makes your gums feel, what it does to your mouth is insane.
[01:05:18.091 --> 01:05:22.855]  We know turmeric is an antioxidant, an anti-inflammatory, and does such great things for the body.
[01:05:22.855 --> 01:05:25.718]  Then you add that with tea tree oil and a bunch of other essential oils.
[01:05:26.278 --> 01:05:27.500]  It is just dynamite.
[01:05:27.500 --> 01:05:32.085]  It is so good to detox and attack inflammation in your mouth.
[01:05:32.085 --> 01:05:36.331]  I want to challenge everybody to try the new toothpaste at Influentrestore.com.
[01:05:36.331 --> 01:05:39.054]  Dr. Jones Naturals Turmeric Toothpaste.
[01:05:39.054 --> 01:05:42.078]  And while you're at it, check out the new Ashwagandha line of products.
[01:05:42.278 --> 01:05:53.148]  We have ashwagandha with black pepper extract for your libido, your testosterone, in pill form, and we have the pure ashwagandha root gummies as well, now available at InfoWareStore.com.
[01:05:53.148 --> 01:05:55.650]  They're amazing products, and they fund the InfoWare.
[01:05:55.650 --> 01:05:57.652]  Take action now at InfoWareStore.com.
[01:06:11.397 --> 01:06:15.799]  You are listening to an InfoWars.com Frontline Report.
[01:06:15.799 --> 01:06:18.680]  It's Alex Jones.
[01:06:18.680 --> 01:06:23.621]  Alright, well I'm excited after many years trying to get him on the show that we've got him.
[01:06:23.621 --> 01:06:30.744]  I agree with him on about 90% of stuff, disagree about 10% but nobody can deny that Alan Dershowitz is hands down America's top lawyer.
[01:06:32.113 --> 01:06:37.217]  He's got the new book out, Get Trump, The Threat to Civil Liberties, Due Process, and Our Constitutional Rule of Law.
[01:06:37.217 --> 01:06:39.599]  Alan Dershowitz, number one New York Times bestselling author.
[01:06:39.599 --> 01:06:40.700]  I don't need to introduce him.
[01:06:40.700 --> 01:06:42.061]  Everybody knows who he is.
[01:06:42.061 --> 01:06:45.184]  Perfect timing that he was going to be coming on soon about this book.
[01:06:45.184 --> 01:06:46.245]  I've been wanting to get him.
[01:06:46.245 --> 01:06:49.147]  And then he's here today while this is happening.
[01:06:49.147 --> 01:06:51.349]  Robert Barnes is riding shotgun with us as well.
[01:06:51.349 --> 01:06:52.890]  He'll have some questions.
[01:06:52.890 --> 01:06:55.533]  So, Alan, thank you so much for coming on.
[01:06:55.533 --> 01:06:57.074]  Everybody wants to hear what you have to say.
[01:06:57.074 --> 01:06:58.495]  You've been warning about this for a long time.
[01:06:58.495 --> 01:07:00.417]  So I'm going to try to give you the floor here, sir.
[01:07:01.761 --> 01:07:04.162]  Well, I predicted this in my book, Get Trump.
[01:07:04.162 --> 01:07:11.185]  I knew that these district attorneys and attorney generals campaigned on the pledge to get Trump.
[01:07:11.185 --> 01:07:25.871]  These are Democratic district attorneys and attorneys general, and now they are prosecuting, forget about the fact that he's the first former president to be prosecuted, he's the first presidential candidate to be prosecuted, and he's running against
[01:07:26.471 --> 01:07:31.213]  The head Democrat in the world, obviously, President Joe Biden.
[01:07:31.213 --> 01:07:44.599]  And when a popularly elected Democratic DA who swore to get Trump is going after the man running against, essentially, his boss, the Chief Democrat, he better have a slam-dunk, ironclad case.
[01:07:44.599 --> 01:07:52.843]  And I have to tell you, I haven't seen the indictment yet, but based on what I've seen, this may be the weakest case I've seen in my 60 years of practicing
[01:07:53.942 --> 01:07:59.886]  So this is a great danger to American democracy and the rule of law.
[01:07:59.886 --> 01:08:09.753]  And I hope that Americans and people all over the world will read my book at Trump as a way of saying to Bragg, we're holding you accountable.
[01:08:09.753 --> 01:08:22.681]  You may not be held accountable in New York, where everybody votes against Trump, but we're going to hold you accountable around the country, in front of bar associations, and in front of the court of public opinion, because what you've done
[01:08:23.201 --> 01:08:24.742]  It endangers the rule of law.
[01:08:24.742 --> 01:08:26.422]  You know, today it's a Republican Trump.
[01:08:26.422 --> 01:08:28.243]  Tomorrow it could be a Democrat.
[01:08:28.243 --> 01:08:31.584]  Day after tomorrow, it's your Uncle Charlie and your niece.
[01:08:31.584 --> 01:08:33.585]  And this involves all Americans.
[01:08:33.585 --> 01:08:35.266]  I'm a liberal Democrat.
[01:08:35.266 --> 01:08:37.546]  I voted against Trump twice.
[01:08:37.546 --> 01:08:42.228]  I have no idea who I'll vote for this next time, but it has nothing to do with politics.
[01:08:42.228 --> 01:08:47.970]  It has everything to do with the fact that the Constitution requires a presumption of innocence.
[01:08:47.970 --> 01:08:49.751]  It doesn't allow targeting of people.
[01:08:50.531 --> 01:08:56.836]  And it, you know, Nancy Pelosi announced today that, no, Trump has to prove himself innocent.
[01:08:56.836 --> 01:08:58.738]  No, no, no, not in America.
[01:08:58.738 --> 01:09:00.959]  In America, an indictment doesn't mean anything.
[01:09:00.959 --> 01:09:05.723]  It's just a piece of paper charging somebody with a president with something.
[01:09:05.723 --> 01:09:14.450]  But, and I think every American has to be very concerned about what happened yesterday.
[01:09:15.151 --> 01:09:21.276]  Well, I'm not a top legal scholar like you, but studying history, this has never been done before for a reason.
[01:09:21.276 --> 01:09:25.679]  Why has no political party in our 240 plus year history ever done this?
[01:09:25.679 --> 01:09:30.943]  Why is this such a constitutional crisis as basically every analyst is saying?
[01:09:32.282 --> 01:09:40.386]  And as we know, there was a thought perhaps to go after a former president named Richard Nixon, and President Ford did the right thing.
[01:09:40.386 --> 01:09:42.728]  And he said, no, we don't do that in America.
[01:09:42.728 --> 01:09:49.231]  And he endangered his own presidential reelection by pardoning Trump, which was the right thing to do.
[01:09:49.231 --> 01:09:59.177]  I had dinner with President Ford some years after that, and he said that was the most important and principled thing he did during his presidency, preventing a
[01:10:00.658 --> 01:10:10.366]  Precedent being established that you go after former presidents criminally, even though there was very strong evidence that he had obstructed justice and paid bribes.
[01:10:10.366 --> 01:10:11.646]  Here, there's nothing.
[01:10:11.646 --> 01:10:12.567]  Here, there's nothing.
[01:10:12.567 --> 01:10:14.509]  Here, there's a non-disclosure agreement.
[01:10:14.509 --> 01:10:16.530]  Thousands of them are written every year.
[01:10:16.530 --> 01:10:29.200]  Nobody in history has ever then put on his corporate form, oh, the reason I paid $130,000 was to make sure my wife and family doesn't learn about the fact that I was accused of having an adulterous affair with a porn star.
[01:10:29.580 --> 01:10:33.763]  Why would anybody ever pay for a non-disclosure agreement and then disclose it?
[01:10:33.763 --> 01:10:42.751]  So never in history has anybody been indicted for that kind of Mickey Mouse crime, and then they stitch it together with a federal felony to try to make it a felony.
[01:10:42.751 --> 01:10:45.052]  That's not the way criminal justice should operate.
[01:10:45.052 --> 01:10:55.841]  You know, Thomas Jefferson once said that for a criminal statute to be constitutional, it has to be so clear that a person who is reading it while running, while running,
[01:10:56.345 --> 01:10:57.706]  I could understand it clearly.
[01:10:57.706 --> 01:11:14.940]  Now, I'm going to read this indictment while sitting with 60 years of experience and I can bet you that I will not understand how they could make a state felony out of a fake misdemeanor and a fake federal felony that nobody else previously wanted to prosecute.
[01:11:14.940 --> 01:11:22.166]  Mr. Jones, what's taking off your prestigious legal hat and putting on just an American citizen, you know, a historian hat?
[01:11:23.007 --> 01:11:28.848]  Why is the corrupt deep state bureaucracy doing a crazy Hail Mary like this?
[01:11:28.848 --> 01:11:46.813]  I mean, it'd be something if they had something to go after a former president, it'd still be unprecedented and explosive, but to do something with basically an unloaded gun, to threaten the world with banana republic status and not even have the goods, what do you think, just as an American, with your gravitas, why they're this desperate or why they're doing this?
[01:11:47.970 --> 01:11:49.711]  Well, first of all, I don't think you can say they.
[01:11:49.711 --> 01:11:57.373]  This was a decision made by one person, obviously the elected district attorney, and he knows he can win this case in New York.
[01:11:57.373 --> 01:11:59.793]  Do you remember what happened to me on Martha's Vineyard?
[01:11:59.793 --> 01:12:06.435]  I defended President Trump in front of the United States Senate on constitutional grounds, and I lost all my friends on the vineyard.
[01:12:06.435 --> 01:12:07.676]  My wife lost her friends.
[01:12:07.676 --> 01:12:09.736]  My children lost their friends.
[01:12:09.736 --> 01:12:15.998]  Everybody turned against us because I had exercised my and his constitutional right to defend themselves.
[01:12:16.599 --> 01:12:27.684]  If you just multiply that tenfold, that's what would happen to a judge in New York or a juror in New York who acquitted, who applied justice, actual justice to Donald Trump.
[01:12:27.684 --> 01:12:33.106]  He would never, ever again be part of New York life.
[01:12:33.106 --> 01:12:34.207]  He'd be ostracized.
[01:12:34.207 --> 01:12:37.508]  So he's doing it because he's in his own delusional bubbles, what you're saying?
[01:12:38.829 --> 01:12:40.290]  Because he knows he can win.
[01:12:40.290 --> 01:12:41.991]  No, he can win in New York.
[01:12:41.991 --> 01:12:47.095]  That's why the first thing that his lawyers have to do, Trump's lawyers have to do, is move the case out of New York.
[01:12:47.095 --> 01:12:49.957]  Move it to Staten Island, which is just across the river.
[01:12:49.957 --> 01:12:52.658]  But the voting demographics are very different.
[01:12:52.658 --> 01:12:54.259]  Move it to upstate New York.
[01:12:54.259 --> 01:12:58.602]  He cannot get a fair trial in New York City, and that's why Bragg went after him.
[01:12:58.602 --> 01:12:59.883]  Bragg doesn't want to lose this case.
[01:12:59.883 --> 01:13:01.064]  He doesn't care if it's reversed.
[01:13:01.084 --> 01:13:01.904]  We're good to go.
[01:13:29.092 --> 01:13:29.935]  It's very unlikely.
[01:13:29.935 --> 01:13:32.343]  So you're saying job number one is to move it out of New York City?
[01:13:33.382 --> 01:13:35.524]  That's step number one is out of New York City.
[01:13:35.524 --> 01:13:38.606]  Step number two is to apply the statute of limitations.
[01:13:38.606 --> 01:13:40.768]  This all happened seven years ago.
[01:13:40.768 --> 01:13:44.431]  And you know, they say, well, we couldn't have indicted him over the last seven years.
[01:13:44.431 --> 01:13:45.632]  A, we didn't know where he was.
[01:13:45.632 --> 01:13:46.933]  He was in the White House.
[01:13:46.933 --> 01:13:51.316]  And number two, you can't indict him if he's not in New York.
[01:13:51.316 --> 01:13:53.458]  Well, when do you think they indicted him?
[01:13:53.458 --> 01:13:55.320]  They indicted him when he was in Florida.
[01:13:55.320 --> 01:14:03.006]  So the fact that they indicted him when he was outside of New York means they could have indicted him any day during the seven previous years and they didn't do it.
[01:14:03.506 --> 01:14:05.567]  And I think they blew the statute of limitations.
[01:14:05.567 --> 01:14:14.109]  Now, they will argue that, no, because he was out of New York, the statute provides that the statute of limitations holds.
[01:14:14.109 --> 01:14:21.811]  But it's a nonsense argument in light of the fact that they did indict him while he was outside of New York, something they could have done for years.
[01:14:21.811 --> 01:14:27.953]  The reason they didn't indict him over the last seven years, previous prosecutors looked at the case and said, there's nothing to it.
[01:14:27.953 --> 01:14:29.113]  We're not going to indict him.
[01:14:30.886 --> 01:14:37.188]  Legitimate neutral prosecutors, and then you get a partisan political guy, and he says, no, no, no.
[01:14:37.188 --> 01:14:39.669]  The first two years I said I didn't think there was a case.
[01:14:39.669 --> 01:14:42.089]  In fact, two of his assistants quit over that.
[01:14:42.089 --> 01:14:42.890]  But I don't know.
[01:14:42.890 --> 01:14:45.850]  Did he get calls from George Soros, from other contributors?
[01:14:45.850 --> 01:14:47.591]  I don't know the answer to that.
[01:14:47.591 --> 01:14:49.552]  But he obviously had pressure put on him.
[01:14:49.552 --> 01:14:50.292]  Did he get blackmailed?
[01:14:52.156 --> 01:14:53.477]  Well, I don't know anything about that.
[01:14:53.477 --> 01:14:54.919]  I don't know what he'd be blackmailed for.
[01:14:54.919 --> 01:14:59.443]  He seems like an honorable and decent man and a good lawyer and he had a good reputation.
[01:14:59.443 --> 01:15:10.093]  But, you know, when you're caught up in the political winds and you're in New York City where nobody has anything good to say about Donald Trump, I don't mean nobody, but people, the voters.
[01:15:11.054 --> 01:15:11.394]  Don't.
[01:15:11.394 --> 01:15:18.800]  If you wear a MAGA hat in New York City, you know, you're going to get hit by a bike or you're going to get, you know, attacked and physically attacked.
[01:15:18.800 --> 01:15:20.682]  Sure, Alan, stay right there.
[01:15:20.682 --> 01:15:22.163]  We got to go to break the book.
[01:15:22.163 --> 01:15:23.604]  Get Trump available everywhere.
[01:15:23.604 --> 01:15:24.445]  Skyhorse Publishing.
[01:15:24.445 --> 01:15:25.326]  We're going to come back.
[01:15:26.066 --> 01:15:26.886]  And I think you misunderstood me.
[01:15:26.886 --> 01:15:31.748]  I was getting to your point earlier of they can try this in New York, the court of public opinion is against them.
[01:15:31.748 --> 01:15:39.770]  I was asking in general, I understand the pressure in New York, why they're not thinking outside of just Manhattan that you brought up when you first came on.
