[00:00:09.386 --> 00:00:13.140]  You're gonna pay somewhere between 20% and 40% less than those other countries.
[00:27:11.051 --> 00:27:14.452]  And you got to keep in mind, I knew that my friend here was a Biden supporter.
[00:27:14.452 --> 00:27:15.492]  I knew that he voted for Biden.
[00:27:15.492 --> 00:27:17.133]  I knew that he never voted for Trump.
[00:27:17.133 --> 00:27:17.853]  I didn't care.
[00:27:18.433 --> 00:27:24.858]  Because although I disagreed with him, I knew or assumed that he was doing what he did because of a misunderstanding, right?
[00:27:24.858 --> 00:27:27.660]  He had the right intentions, the right reasons.
[00:27:27.660 --> 00:27:33.704]  I believed he was wrong about those pretenses that he was using in order to make the decision to vote for Biden.
[00:27:33.704 --> 00:27:34.485]  Totally disagreed with him.
[00:27:34.565 --> 00:27:37.407]  We didn't talk about politics, we just sort of agreed to disagree.
[00:27:37.407 --> 00:27:55.457]  This is not somebody who I was irritating with my political views, it wasn't somebody who I was sending memes all the time, it's not somebody who I was badgering about their politics, this is somebody who I was willing to keep in my life because I believed he was a good friend, despite the fact that we disagreed politically.
[00:27:55.457 --> 00:28:02.241]  And the irony of it is, we are constantly called the party of hate, the party of division, the party of intolerance.
[00:28:03.291 --> 00:28:08.533]  But their hate for Trump is greater than our hate for Biden.
[00:28:08.533 --> 00:28:16.777]  I can't think of anybody in the world who I disapprove of more than Biden and his administration, who makes me sick every time to see speak.
[00:28:16.777 --> 00:28:22.540]  But my hate for him was not enough to alienate me from my close friends and family.
[00:28:22.540 --> 00:28:27.262]  But their hate for Trump, their Trump derangement syndrome is so great that they will
[00:28:28.453 --> 00:28:34.976]  Eradicate people from their lives who have any sort of political difference from them.
[00:28:34.976 --> 00:28:47.261]  My wife and I were doing some research on this and we found that suburban white liberal women are the most likely to cut off friends and family for their political views and I'm afraid that my friend Josh has become a suburban white liberal woman.
[00:28:47.261 --> 00:28:49.221]  Stick with us folks, we will be back after this break.
[00:28:49.221 --> 00:28:55.584]  Make sure you visit InfoWarsStore.com and keep us on the air with some of our great products for you and your loved ones.
[00:28:59.394 --> 00:29:00.795]  Bodies is back!
[00:29:00.795 --> 00:29:08.200]  The ultimate tumeric product on the market has returned to EmpowerStore.com and is now 25% off for a limited time.
[00:29:08.200 --> 00:29:13.583]  Utilized for thousands of years, tumeric is one of the most studied medicinal herbs today.
[00:29:13.583 --> 00:29:21.228]  Hundreds of peer-reviewed scientific articles are published every year on the chemistry and therapeutic potential of tumeric and its active components.
[00:29:21.408 --> 00:29:32.435]  Turmeric bodies will reduce inflammation throughout the body, help boost and support flexibility, increase mobility, assist in joint function, bolster your immune system, and so much more.
[00:29:32.435 --> 00:29:44.203]  Regular turmeric from the store contains about 1-5% of the active ingredient curcuminoids, but our super powerful extract using bodies contains over 95% of the active ingredients in turmeric.
[00:29:44.443 --> 00:29:47.929]  No other product can compare with this curcuminoid delivery system.
[00:29:47.929 --> 00:29:51.775]  So if you want to put the true power of turmeric to the test, then look no further.
[00:29:51.775 --> 00:29:56.022]  Grab yourself a bottle today for 25% off at m4store.com and put your body at ease.
[00:29:58.857 --> 00:29:59.917]  You wanted to plug RainForce.
[00:29:59.917 --> 00:30:00.998]  Do you like RainForce?
[00:30:00.998 --> 00:30:03.539]  Yeah, so my name is Ken Heckin-Ladley.
[00:30:03.539 --> 00:30:05.800]  How do I write all the books that I do?
[00:30:05.800 --> 00:30:12.083]  Four books with Dr. Judy Mykovitz, four books with Project Veritas Whistleblowers, and now two books with Alex Jones?
[00:30:12.083 --> 00:30:15.144]  That's because I use RainForce every day.
[00:30:15.484 --> 00:30:19.468]  What I always need is I always need some sort of boost in the morning.
[00:30:19.468 --> 00:30:23.411]  And so, you know, I try to exercise, eat well, take good vitamins.
[00:30:23.411 --> 00:30:28.996]  But the one thing that I have really found that makes a difference is brain force.
[00:30:28.996 --> 00:30:36.703]  I'll take brain force in the morning right before I go to my computer and I'm good for the next four or five hours writing a whole lot of stuff.
[00:30:36.703 --> 00:30:42.348]  So it really is true that brain force is something I use every day and it helps me with my writing.
[00:30:42.808 --> 00:30:43.531]  All right, we love you.
[00:30:43.531 --> 00:30:44.152]  We'll be right back.
[00:30:44.152 --> 00:30:49.208]  Get your BrainForce Plus, BrainForce Ultra, and TurboForce at InfowarStore.com.
[00:30:49.208 --> 00:30:50.271]  We'll be right back with hour number two.
[00:30:59.226 --> 00:31:05.992]  When I tell you we have the ultimate bone broth, hands down, this is the most concentrated, high quality bone broth there is.
[00:31:05.992 --> 00:31:09.635]  Concentrated chicken broth, patented amazing.
[00:31:09.635 --> 00:31:19.143]  Then a huge dose of chaga mushroom, a massive dose of beef pollen, a gigantic dose of highest quality turmeric, and then it just gets crazier from there.
[00:31:19.143 --> 00:31:20.324]  It's about to sell out.
[00:31:20.324 --> 00:31:21.826]  We haven't had it in stock for years.
[00:31:21.826 --> 00:31:23.747]  This first new run is about to sell out.
[00:31:23.747 --> 00:31:24.768]  Get it discounted right now.
[00:31:25.748 --> 00:31:29.129]  40% off at MFoneWorksStore.com and it funds their operation.
[00:31:29.129 --> 00:31:39.611]  And once you get addicted to it, once you get blown away by it, once you feel your joints and your energy and your stamina accelerate, then become a regular customer for Bone Broth, MFoneWorksStore.com.
[00:31:39.611 --> 00:31:48.073]  Whatever you do, spread the word about MFoneWorks, about the live show, and about all the other great products because these are great products that empower your life plus they fund their operation.
[00:31:48.073 --> 00:31:50.393]  Go to MFoneWorksStore.com right now.
[00:31:50.393 --> 00:31:52.754]  We're selling out ultimate bone broth.
[00:31:53.395 --> 00:31:56.287]  At InfowarsStore.com, 40% off, about to sell out!
[00:31:58.672 --> 00:32:03.176]  The InfoWars Live Silver Bullet Colloidal Silver has finally returned!
[00:32:03.176 --> 00:32:11.564]  To celebrate this powerful product's long-awaited homecoming, we're slashing $10 off the asking price, passing the savings on to you!
[00:32:11.564 --> 00:32:23.495]  Silver Bullet is the answer to Alex's extensive search for a powerful colloidal silver product that utilizes high-quality processes and has applications for both preparedness and regular use.
[00:32:23.795 --> 00:32:35.046]  Concentrated to 30 parts per million in a pure base of deionized water, this survival silver is the perfect fit for you and your family's routine and emergency supply.
[00:32:35.046 --> 00:32:40.591]  Baloidal silver is an amazing natural product that can assist your body's many healing processes.
[00:32:40.871 --> 00:32:49.096]  Do a deep dive, research the possibilities of colloidal silver yourself, and don't miss out on this limited time offer of $10 off.
[00:32:49.096 --> 00:32:53.178]  Try InfoWars Life Silver Bullet Colloidal Silver today!
[00:32:53.178 --> 00:33:01.783]  Available right now at InfoWarsStore.com.
[00:33:01.783 --> 00:33:07.686]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:33:13.274 --> 00:33:15.917]  Waging war on corruption.
[00:33:15.917 --> 00:33:23.665]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:33:23.665 --> 00:33:25.947]  Welcome back to the Alex Jones Show, folks.
[00:33:25.947 --> 00:33:30.312]  I am your guest host today, Chase Geyser, filling in for the great Alex Jones.
[00:33:30.312 --> 00:33:35.578]  I know that when you tune in, you always want to see the OG, but it is an honor and a pleasure to be here.
[00:33:37.415 --> 00:33:46.437]  Substituting for him, and to be with you, our incredible guests, I wouldn't rather be speaking to any other audience in the world than this audience right here, right now.
[00:33:46.437 --> 00:33:56.498]  There's a new video out showing a child faced with a choice between cookies and a substantial monetary reward, and it's being highlighted as an example of why children shouldn't be allowed to choose their gender.
[00:33:56.498 --> 00:33:57.678]  Let's go ahead and check out clip 4.
[00:34:08.908 --> 00:34:13.172]  Two out-of-the-box Oreo cookies.
[00:34:13.172 --> 00:34:15.073]  Oreo.
[00:34:15.073 --> 00:34:16.154]  Huh?
[00:34:16.154 --> 00:34:17.075]  Oreo.
[00:34:17.075 --> 00:34:17.575]  Are you sure?
[00:34:17.575 --> 00:34:18.897]  Yes.
[00:34:18.897 --> 00:34:21.339]  That's $10,000 cash.
[00:34:21.339 --> 00:34:22.360]  Yeah.
[00:34:22.360 --> 00:34:26.263]  Do you want the Oreo cookies?
[00:34:26.263 --> 00:34:26.783]  Are you sure?
[00:34:26.783 --> 00:34:28.705]  Yes.
[00:34:28.705 --> 00:34:29.386]  Okay.
[00:34:29.386 --> 00:34:29.646]  Go ahead.
[00:34:31.118 --> 00:34:36.964]  We've got another breaking story that includes a clip of a woman who also would have chosen the Oreos over the $10,000.
[00:34:36.964 --> 00:34:40.869]  Let's go ahead and go straight into clip three and then we'll dive into the new developments with Dove.
[00:34:42.811 --> 00:34:49.036]  My belief is that we should be centering the voices and experiences of the most marginalized people and communities at all times.
[00:34:49.036 --> 00:34:59.884]  So when I think about what fat liberation looks like to me, it looks like centering the voices and the experiences of those who live in and who maneuver through spaces and institutions in a fat body.
[00:34:59.884 --> 00:35:12.314]  It looks like making accessible spaces and having conversations that are aware of the fact that people have different bodies and that they are interacting with space and people and institutions and communities in a different way.
[00:35:12.594 --> 00:35:18.821]  Fat Liberation looks like fully embracing those differences and having those conversations instead of shying away from them.
[00:35:18.821 --> 00:35:27.411]  To learn more about Fat Liberation and the campaign for size freedom that Dove is supporting, visit dove.com forward slash size freedom.
[00:35:27.411 --> 00:35:30.134]  Tap in, join the campaign, support the campaign.
[00:35:30.134 --> 00:35:32.137]  This is important and we should all be talking about it.
[00:35:33.069 --> 00:35:46.540]  The Dove Soap Company is facing criticism for promoting the fat acceptance and body positivity movement by hiring a morbidly obese BLM activist who at one time falsely accused a female college student of making a racist remark.
[00:35:46.540 --> 00:35:53.525]  Last week, the Unilever-owned soap brand announced it had partnered with University of Virginia student Zianna Bryant
[00:35:54.466 --> 00:35:57.767]  To lead their movement to end body size discrimination.
[00:35:57.767 --> 00:36:01.868]  It's funny how they call it a movement given that it involves people who don't move at all.
[00:36:01.868 --> 00:36:03.349]  The new face of Dove soap.
[00:36:03.349 --> 00:36:06.970]  Will you still buy at Dove products after this?
[00:36:06.970 --> 00:36:11.731]  My belief is that we should be centering the voices and brand experiences of the most marginalized people in communities at all times.
[00:36:11.731 --> 00:36:17.253]  Brand 22 said in the video that we just watched and this all in the context of the fact that she
[00:36:18.663 --> 00:36:20.785]  Defame someone and falsely accuse them of racism.
[00:36:20.785 --> 00:36:23.387]  This ties in directly with what we were talking about with Russell Brand, right?
[00:36:23.387 --> 00:36:27.131]  They'll come out, they'll falsely accuse you of sexual assault.
[00:36:27.131 --> 00:36:34.017]  They'll defame you and they will do everything they can to do things like alienate best friends from over 10 years of wanting to be associated with you.
[00:36:34.017 --> 00:36:44.947]  And then, when they are proven to falsely come out against you with accusations of either sexual assault or racism, they will still be sponsored by major brands like Dove,
[00:36:46.687 --> 00:36:46.947]  I think?
[00:37:02.532 --> 00:37:06.535]  A business perspective are only going to alienate half of their audience.
[00:37:06.535 --> 00:37:19.004]  The smart businesses out there don't take a political stance on controversial issues like this because they know that it's going to alienate the market, divide their market, split their consumer base in half.
[00:37:19.004 --> 00:37:19.984]  It happens time and time again.
[00:37:20.905 --> 00:37:30.696]  Making these decisions, is it just because they're hiring stupid people who don't understand business and only think in the context of social justice and collectivism and Marxism?
[00:37:30.696 --> 00:37:33.279]  Is it literally just incompetence?
[00:37:33.279 --> 00:37:35.462]  Or is there a reason that they're doing this?
[00:37:35.462 --> 00:37:39.666]  We've seen in recent reports that ESG is something that sort of seems to be on the fall.
[00:37:40.307 --> 00:37:40.587]  Right?
[00:37:40.587 --> 00:37:54.934]  This Environmental Sustainability and Governance Initiative which was pushed by organizations like the WEF and people like Klaus Schwab as a new way of controlling which businesses receive financing from central banks.
[00:37:55.894 --> 00:37:56.554]  We're good to go.
[00:38:14.642 --> 00:38:27.197]  And so even though we see that ESG seems to be on the decline, we seem to see this backpedaling or this pulling away from ESG as a litmus test, these ESG scores, we still see businesses making decisions to do this.
[00:38:27.197 --> 00:38:30.500]  I don't understand why these businesses are doing this.
[00:38:31.301 --> 00:38:37.669]  At all when they know that it's just going to totally compromise the integrity of their business altogether.
[00:38:37.669 --> 00:38:45.599]  Like is something major coming where it doesn't even matter whether or not these businesses are successful and they're just trying to make sure they're on the quote right side of history?
[00:38:47.585 --> 00:38:51.487]  The other thing I was thinking about this week is just the notion of the right side of history.
[00:38:51.487 --> 00:38:53.188]  We constantly see the left.
[00:38:53.188 --> 00:38:56.550]  I certainly do in my replies say, oh, you're going to be on the wrong side of history.
[00:38:56.550 --> 00:38:58.732]  You're going to be on the wrong side of history.
[00:38:58.732 --> 00:39:03.915]  When everything shakes out and when good finally prevails, they're going to look back and say, you are the problem.
[00:39:03.915 --> 00:39:05.095]  You are the evil ones.
[00:39:05.095 --> 00:39:15.722]  And I think that's so interesting because for a political philosophy that doesn't seem to believe in the objective truth of good versus evil or in objective truth at all,
[00:39:16.684 --> 00:39:19.625]  This is a philosophy that believes only in subjectivism, right?
[00:39:19.625 --> 00:39:22.926]  Your truth versus my truth.
[00:39:22.926 --> 00:39:26.507]  How can they come out and say that we're going to be on the wrong side of history?
[00:39:26.507 --> 00:39:32.589]  Because to say that anyone is going to wind up on the wrong side of history at all is to say a couple of things implicitly.
[00:39:32.589 --> 00:39:36.070]  The first thing is to say that there is a good versus evil.
[00:39:36.070 --> 00:39:41.712]  And the second thing is that it is to say that good will prevail and evil will fail.
[00:39:42.785 --> 00:39:43.505]  Right?
[00:39:43.505 --> 00:39:47.347]  How can anyone be on the wrong side of history if good doesn't always win?
[00:39:47.347 --> 00:39:59.391]  So they're inherently sort of making a Christian claim, though they don't believe in Christianity whatsoever, or any of the values that our founders established this country on.
[00:39:59.391 --> 00:40:03.452]  And the other factor of that is, they're implicitly stating that good is going to win.
[00:40:03.452 --> 00:40:05.933]  If you're going to be on the wrong side of history.
[00:40:05.933 --> 00:40:09.694]  Do they actually believe that good always wins?
[00:40:11.567 --> 00:40:23.127]  And that evil is always overcome because we know here at InfoWars that history is written by the victors and just because it is written doesn't necessarily make it true.
[00:40:25.905 --> 00:40:35.011]  So I just think it's very interesting that we're seeing these decisions being made and we're seeing these accusations of who's going to be on the right side of history, who's going to be on the good side of history.
[00:40:35.011 --> 00:40:39.775]  And I agree that there is a good versus evil and that there is objective truth.
[00:40:39.775 --> 00:40:43.718]  And I do believe that in the end, good always wins.
[00:40:43.718 --> 00:40:45.359]  But I'm not so self-righteous.
[00:40:48.044 --> 00:40:56.228]  That I would presume to accuse someone else of going to be on the wrong side of history.
[00:40:56.228 --> 00:41:00.349]  I may reiterate the claims made in the Bible or the claims of my faith to that effect.
[00:41:00.349 --> 00:41:02.470]  That judgment will come for the evil.
[00:41:02.470 --> 00:41:05.912]  That the evil will face judgment and the voice of God.
[00:41:08.137 --> 00:41:15.041]  But to claim that we'll be on the wrong side of history is such a threat, especially in the context of everything that happened in the 20th century.
[00:41:15.041 --> 00:41:21.745]  I mean, the wrong side of history just inherently triggers thoughts of what happened in the Holocaust and with the Nuremberg Trials, right?
[00:41:21.745 --> 00:41:25.487]  All those Nazis are on the wrong side of history.
[00:41:25.487 --> 00:41:30.510]  So, is the left suggesting that there will be trials and tribunes?
[00:41:30.510 --> 00:41:36.234]  And that we will be faced with an international court which will judge us for our sins of thought crime?
[00:41:37.074 --> 00:41:50.648]  And that when we are found guilty and it is written in the books of history, what happened in the 21st century when the right-wing insurrectionists attempted to compromise the integrity and threaten our democracy?
[00:41:50.648 --> 00:41:58.977]  Are we being threatened implicitly by being accused of being on the wrong side of history with the death penalty?
[00:41:58.977 --> 00:42:00.098]  With imprisonment?
[00:42:01.593 --> 00:42:02.493]  I think we are.
[00:42:02.493 --> 00:42:26.361]  I think that when they say we'll be on the wrong side of history, what they're really saying is we're going to classify you as a domestic terrorist, akin to the Nazis after World War II, you are going to face a rigged court for your crimes, you are going to be found guilty, and you are going to face punishment of the state beyond anything you could possibly imagine.
[00:42:26.361 --> 00:42:27.621]  And we are the evil ones.
[00:42:29.642 --> 00:42:30.262]  Stick with us, folks.
[00:42:30.262 --> 00:42:31.523]  We will be back after this break.
[00:42:31.523 --> 00:42:34.925]  Make sure you visit InfoWarsStore.com.
[00:42:34.925 --> 00:42:37.606]  It is how we keep this broadcast coming to you.
[00:42:37.606 --> 00:42:46.852]  As we age, pregnenolone levels decrease with age by as much as 60% between the ages of 20 and 75, making you tired and lazy.
[00:42:46.852 --> 00:42:52.635]  With the Real Red Pill Plus, you can defy that test of time and keep your pregnenolone up for hormone balance.
[00:42:52.635 --> 00:42:53.235]  Stick with us, folks.
[00:42:53.235 --> 00:42:54.316]  We will be back after this break.
[00:42:54.316 --> 00:42:56.457]  Visit InfoWarsStore.com.
[00:42:59.400 --> 00:43:00.801]  I didn't realize this was back this week.
[00:43:00.801 --> 00:43:01.741]  I thought it was next week.
[00:43:01.741 --> 00:43:06.163]  I come in this morning, it's back in the warehouse, ready to roll.
[00:43:06.163 --> 00:43:08.384]  Bonnie's Ultimate Turmeric Formula.
[00:43:08.384 --> 00:43:12.225]  And the first thing I did was pop one of these bad boys.
[00:43:12.225 --> 00:43:14.126]  Overhead shot, please.
[00:43:14.126 --> 00:43:18.288]  Look how full this bottle is.
[00:43:18.288 --> 00:43:21.229]  Right to the top, folks.
[00:43:21.229 --> 00:43:23.990]  Right to the top with these 95% curcuminoids.
[00:43:27.088 --> 00:43:29.931]  Again, most turmeric formulas are five percent.
[00:43:29.931 --> 00:43:31.273]  Some are maybe ten.
[00:43:31.273 --> 00:43:33.976]  The other strongest brands are seventy-five percent.
[00:43:33.976 --> 00:43:37.900]  This is ninety-five percent.
[00:43:37.900 --> 00:43:38.861]  Super constant.
[00:43:38.861 --> 00:43:42.745]  So like taking one pill is like taking ten of the average pill.
[00:43:42.745 --> 00:43:44.227]  It's that powerful.
[00:43:44.227 --> 00:43:45.368]  Or more.
[00:43:45.368 --> 00:43:47.510]  So they're available at InfoWorksStore.com.
[00:43:49.929 --> 00:44:05.103]  A lot of listeners have complained in the last two years that our amazing, high-quality coffee has not been available.
[00:44:05.103 --> 00:44:09.927]  And that's because the prices went up too high for the raw beans and the quality had gone down some.
[00:44:09.927 --> 00:44:12.370]  I turned down so many companies that wanted to work with us.
[00:44:12.930 --> 00:44:22.513]  But now we have brought back the coffee and it's even better from a national supplier that's veteran-owned and veteran-operated.
[00:44:22.513 --> 00:44:25.774]  It's powered by the company Minuteman Coffee.
[00:44:25.774 --> 00:44:29.815]  Ladies and gentlemen, this is the best tasting, best smelling,
[00:44:30.815 --> 00:44:34.258]  Strongest coffee that I have ever drank.
[00:44:34.258 --> 00:44:36.119]  It is game-changing.
[00:44:36.119 --> 00:44:38.381]  All you gotta do is buy a bag of it and try it.
[00:44:38.381 --> 00:44:41.723]  I know you're gonna be hooked, which will then fund your operation a 360 win.
[00:44:41.723 --> 00:44:45.766]  Go to InfoWarsTore.com right now for Escape the Prison Planet Light Roast.
[00:44:45.766 --> 00:44:46.807]  That's the strongest.
[00:44:46.807 --> 00:44:49.669]  The amazing Medium Roast Wig of America.
[00:44:49.669 --> 00:44:57.175]  And finally, the best-tasting Dark Roast Tip of the Spear, now exclusively available at InfoWarsTore.com.
[00:44:57.175 --> 00:44:57.956]  Get your coffee now.
[00:44:59.423 --> 00:45:03.946]  The InfoWars Live Silver Bullet Colloidal Silver has finally returned!
[00:45:03.946 --> 00:45:12.312]  To celebrate this powerful product's long-awaited homecoming, we're slashing $10 off the asking price, passing the savings on to you!
[00:45:12.312 --> 00:45:18.896]  Silver Bullet is the answer to Alex's extensive search for a powerful colloidal silver product that utilizes high
[00:45:19.036 --> 00:45:19.657]  We're good to go!
[00:45:41.638 --> 00:45:49.865]  Do a deep dive, research the possibilities of colloidal silver yourself, and don't miss out on this limited-time offer of $10 off.
[00:45:49.865 --> 00:45:53.928]  Try InfoWars Life Silver Bullet Colloidal Silver today!
[00:45:53.928 --> 00:45:59.352]  Available right now at InfoWarsStore.com.
[00:45:59.352 --> 00:46:00.693]  The globalists are only humans.
[00:46:01.590 --> 00:46:05.533]  Yeah, they have control of the central banks, they have a lot of power, but they can be defeated.
[00:46:05.533 --> 00:46:08.736]  But some of their operations are going to take decades to stop.
[00:46:08.736 --> 00:46:16.483]  But one thing you can do right now is take control of your body and your family's body by purifying the water that you drink and that you cook with.
[00:46:16.963 --> 00:46:20.545]  And you do it with the highest quality gravity-fed filter out there.
[00:46:20.545 --> 00:46:22.765]  This thing does 10,000 gallons.
[00:46:22.765 --> 00:46:25.467]  You can sit there and put hundreds of gallons through it a day.
[00:46:25.467 --> 00:46:30.049]  It purifies very quickly and it cuts out thousands of chemicals to non-detectable levels.
[00:46:30.049 --> 00:46:32.049]  This is what I use, which my family uses.
[00:46:32.049 --> 00:46:34.210]  It's the very best system out there for the lowest price.
[00:46:34.210 --> 00:46:36.991]  For a limited time, 10% off on top of that.
[00:46:36.991 --> 00:46:42.094]  Exclusively at InfowarsStore.com on the Alexa Pure Water Filtration System.
[00:46:42.094 --> 00:46:45.315]  In stock and replacement filters for folks that need those in stock.
[00:46:45.695 --> 00:46:47.775]  Get it today and it funds the info war.
[00:46:47.775 --> 00:46:48.616]  Don't procrastinate.
[00:46:48.616 --> 00:46:55.597]  This is one of the main areas we can take control of our lives and stop the globalists from hitting us with poison that they allow in the water supply.
[00:46:55.597 --> 00:47:01.819]  In some cases, they add to the water supply like fluoride.
[00:47:01.819 --> 00:47:07.700]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:47:17.521 --> 00:47:20.507]  Welcome back to the Alex Jones Show, folks.
[00:47:20.507 --> 00:47:23.673]  I am your host today, Chase Geyser, filling in for Alex Jones himself.
[00:47:24.727 --> 00:47:27.808]  Covering all the news that has been breaking this weekend.
[00:47:27.808 --> 00:47:28.868]  Thank you so much for being with us.
[00:47:28.868 --> 00:47:36.649]  Make sure that you call in 877-789-2539 as we will be taking calls in the next hour.
[00:47:36.649 --> 00:47:38.869]  Again, that's 877-789-2539.
[00:47:38.869 --> 00:47:43.510]  The earlier you call, the more likely we can get to you on the show today.
[00:47:43.510 --> 00:47:46.111]  Thank you so much for tuning in.
[00:47:46.111 --> 00:47:53.492]  I do want to talk about the German MEP urging citizens worldwide to peacefully disobey COVID tyranny.
[00:47:54.392 --> 00:48:13.958]  German European Parliament member Christine Anderson told the group this week she'd continue fighting for the freedoms of people across the globe but asked that in return citizens everywhere peacefully reject the incoming wave of COVID mandates and lockdowns as Alex Jones predicted weeks ago on this show.
[00:48:13.958 --> 00:48:14.819]  Let's go to clip 01.
[00:48:17.677 --> 00:48:25.846]  Now I would like to make a promise to the people and I'm pretty sure I can speak or speak on behalf of my colleagues.
[00:48:25.846 --> 00:48:28.508]  We will continue to stand
[00:48:29.406 --> 00:48:31.667]  With you, the people.
[00:48:31.667 --> 00:48:37.109]  We will continue to fight for freedom, democracy, and the rule of law.
[00:48:37.109 --> 00:48:39.690]  We will not shut up.
[00:48:39.690 --> 00:48:47.814]  And we will not stop going after those despicable, globalitarian misanthropists.
[00:48:49.790 --> 00:48:56.991]  But we would also like to have you make a promise to us.
[00:48:56.991 --> 00:49:00.512]  You may have heard it's all coming back.
[00:49:00.512 --> 00:49:05.153]  The first countries are already starting about talking mass mandates in Israel.
[00:49:05.153 --> 00:49:06.713]  They're already imposing it.
[00:49:06.713 --> 00:49:09.714]  I've heard of a few universities in the United States.
[00:49:09.714 --> 00:49:14.715]  They're already bringing it all back.
[00:49:14.715 --> 00:49:18.716]  And I would really like for you, the people,
[00:49:20.322 --> 00:49:24.024]  To not go along.
[00:49:24.024 --> 00:49:27.825]  Simply say no.
[00:49:27.825 --> 00:49:29.386]  They want you to wear a mask?
[00:49:29.386 --> 00:49:30.646]  Say no.
[00:49:30.646 --> 00:49:33.507]  They want you to put in another mRNA shot?
[00:49:33.507 --> 00:49:34.788]  Say no.
[00:49:34.788 --> 00:49:37.229]  They want to impose a curfew on you?
[00:49:37.229 --> 00:49:39.910]  Say no!
[00:49:39.910 --> 00:49:41.050]  That's really all you have to do.
[00:49:42.995 --> 00:49:48.759]  Might sound a little hard, but it's actually not that hard.
[00:49:48.759 --> 00:50:00.787]  Because once you've made it clear to them that you will no longer go along, once you've let them know, they cannot scare you anymore.
[00:50:00.787 --> 00:50:07.132]  Because as long as you're afraid of what they might do, if you don't comply, they have power over you.
[00:50:08.291 --> 00:50:11.956]  Take the power away from them.
[00:50:11.956 --> 00:50:14.921]  Simply say no.
[00:50:14.921 --> 00:50:19.267]  Once you do that, they don't have power over you anymore.
[00:50:20.734 --> 00:50:22.955]  You will feel so free.
[00:50:22.955 --> 00:50:26.637]  Simply say no.
[00:50:26.637 --> 00:50:48.206]  And considering what we've heard today, and considering what we've seen in the last three years, considering what we know they want to implement, heck, you might even be well within your right to tell them to screw themselves and go to hell.
[00:50:49.520 --> 00:50:52.161]  That's where they belong.
[00:50:52.161 --> 00:50:54.101]  What will you get out of that?
[00:50:54.101 --> 00:50:55.181]  I can tell you.
[00:50:55.181 --> 00:51:06.283]  Once you've done that, once you've told them to just go to hell, they no longer have power over you, you will have an incredible feeling.
[00:51:06.283 --> 00:51:11.404]  Kind of like a sensation of freedom will swamp through your body.
[00:51:11.404 --> 00:51:12.264]  I promise.
[00:51:12.264 --> 00:51:14.125]  You will feel so relieved
[00:51:15.379 --> 00:51:21.281]  And this is the state of mind that I would ask all of you to get to.
[00:51:21.281 --> 00:51:25.662]  Simply don't let them grind you down anymore.
[00:51:25.662 --> 00:51:27.263]  You are worth it.
[00:51:27.263 --> 00:51:35.026]  You are deserving of just standing up for yourselves and tell them all to go to hell.
[00:51:35.026 --> 00:51:35.746]  Thank you very much.
[00:51:39.178 --> 00:51:43.642]  This, of course, all in the context of recent revelations.
[00:51:43.642 --> 00:51:49.789]  Bill Gates' massive COVID profiteering exposed in a viral social media post.
[00:51:49.789 --> 00:51:58.617]  So, we talk a lot on the show about globalism in general, the New World Order, and these moves or motions for depopulation.
[00:51:59.438 --> 00:52:05.280]  And I know there's a lot of theories out there as to why things like these vaccines come in place.
[00:52:05.280 --> 00:52:22.587]  A lot of people suggest that these pandemics, these emergencies, are used as a pretext to compromise, weaken, or mitigate the rights of individual people so that the state can continuously become increasingly empowered to subjugate the people of the world.
[00:52:24.485 --> 00:52:39.240]  Perhaps these lockdowns are done because small businesses are seen as competitors to major corporations and companies like Amazon or major fast food chains understand that they can sustain the hardship.
[00:52:39.841 --> 00:52:40.181]  I don't know.
[00:53:01.414 --> 00:53:02.275]  We're good to go.
[00:53:19.648 --> 00:53:29.110]  Feel like they have to take a vaccine even if they don't want to because they are afraid of losing their job or not being able to travel or see loved ones or go to the funeral of loved ones.
[00:53:29.110 --> 00:53:41.833]  But one thing is for sure, despite all of those previous speculations which I happen to agree with, one thing is for sure, there were some people among us who had a tremendous amount of money
[00:53:43.649 --> 00:53:46.151]  To be made off of this pandemic.
[00:53:46.151 --> 00:53:53.197]  A viral social media post revealing how much Bill Gates profited from the COVID pandemic was viewed over two million times in just two days.
[00:53:53.197 --> 00:53:56.079]  I'm sure it's up since the publication of this article on the 16th.
[00:53:56.079 --> 00:54:00.363]  Let's go into clip 02 and I will dive into the story more after that.
[00:54:02.679 --> 00:54:06.001]  The deaths, it's been completely horrific.
[00:54:06.001 --> 00:54:14.947]  And I would expect that will lead the R&D budgets to be focused on things we didn't have today.
[00:54:14.947 --> 00:54:18.489]  You know, we didn't have vaccines that block transmission.
[00:54:18.489 --> 00:54:23.172]  We got vaccines that help you with your health, but they only slightly reduce the transmissions.
[00:54:23.172 --> 00:54:26.094]  We need a new way of doing the vaccine.
[00:54:27.708 --> 00:54:39.101]  Bill Gates purchased shares in BioNTech, Pfizer's partner for its mRNA COVID shots, in September of 2019, just months before the pandemic was announced.
[00:54:39.101 --> 00:54:42.485]  And keep in mind that September of 2019 is when many experts believe that the COVID
